0100000008	1 Mózes
0b081400f3	És beteljesíté az Úr az ő beszédét, a melyet szólott; mert felkelék az én atyám, Dávid helyett, és ülék az Izráel királyi székibe, a miképen megmondotta vala az Úr, és megépítém a házat az Úr, Izráel Istene nevének.
0b0815009e	És helyet szerzettem ott a ládának, a melyben az Úrnak szövetsége vagyon, a melyet szerzett a mi atyáinkkal, mikor kihozta őket Égyiptom földéből.
0b0816007a	És oda állott Salamon az Úr oltára elé, az Izráel egész gyülekezetével szembe, és felemelé kezeit az ég felé,
0b081700e5	És monda: Uram, Izráel Istene! nincsen hozzád hasonló Isten, sem az égben ott fenn, sem a földön itt alant, a ki megtartod a szövetséget és az irgalmasságot a te szolgáidnak, a kik te előtted teljes szívvel járnak;
0b081800bb	A ki megtartottad azt, a mit a te szolgádnak, Dávidnak, az én atyámnak szólottál; mert magad szólottál néki, és a te hatalmaddal beteljesítetted, a mint e mai napon megtetszik.
0b0819014d	Most azért Uram, Izráel Istene, tartsd meg, a mit a te szolgádnak, Dávidnak, az én atyámnak igértél, ezt mondván: A te magodból való férfiú el nem fogy én előttem, a ki az Izráel királyi székibe üljön; csakhogy a te fiaid őrizzék meg az ő útjokat, hogy én előttem járjanak, a mint te én előttem jártál.
0b081a007a	Most teljesítsd be, Izráel Istene, a te szavaidat, a melyeket szólottál a te szolgádnak, Dávidnak, az én atyámnak.
0b081b00af	Vajjon gondolható-é, hogy lakozhatnék az Isten a földön? Ímé az ég, és az egeknek egei be nem foghatnak téged; mennyivel kevésbbé e ház, a melyet én építettem.
0b081c00c0	De tekints a te szolgád imádságára és könyörgésére, óh Uram, én Istenem, hogy meghalljad a dicséretet és az imádságot, a melylyel a te szolgád könyörög előtted e mai napon;
0b081d00c4	Hogy a te szemeid e házra nézzenek éjjel és nappal, e helyre, a mely felől azt mondottad: Ott lészen az én nevem; hallgasd meg ez imádságot, a melylyel könyörög a te szolgád e helyen.
0b081e00c4	És hallgasd meg a te szolgádnak és a te népednek, az Izráelnek könyörgését, a kik imádkozándanak e helyen; hallgasd meg lakhelyedből, a mennyekből, és meghallgatván légy kegyelmes!
0b081f009b	Mikor vétkezéndik valaki felebarátja ellen, és esküre köteleztetik, hogy megesküdjék és ő ide jő, megesküszik az oltár előtt ebben a házban:
0b082000e7	Te hallgasd meg a mennyekből, és vidd véghez, és tégy igazat a te szolgáid között, kárhoztatván az istentelent, hogy fején teljék a mit keresett; és megigazítván az igazat, megfizetvén néki az ő igazsága szerint.
0b082100df	Mikor megverettetik a te néped, az Izráel, az ő ellenségeitől, mivel ellened vétkeztek, és hozzád megtéréndenek, és vallást teéndenek a te nevedről, és néked imádkozándanak és könyörgéndenek e házban:
0b0822009f	Te hallgasd meg a mennyekből, és bocsásd meg az Izráelnek, a te népednek vétkét; és hozd vissza őket arra a földre, a melyet adtál az ő atyáiknak.
0b082300d3	Mikor berekesztetik az ég, és nem lészen eső, mert ellened vétkeztek; és imádkozándanak e helyen, és vallást teéndenek a te nevedről, és megtéréndenek az ő bűnökből, mert te szorongatod őket:
0b082400fb	Te hallgasd meg őket a mennyekből, és légy kegyelmes a te szolgáidnak és az Izráelnek, a te népednek vétke iránt, tanítsd meg őket a jó útra, a melyen járjanak; és adj esőt a te földedre, a melyet örökségül adtál a te népednek.
0b082500a2	Éhség ha lesz e földön, ha döghalál, aszály, ragya, sáska, cserebogár; ha ellenség szállja meg kapuit; vagy más csapás és nyavalya jövénd reájok:
0b082600b7	A ki akkor könyörög és imádkozik, legyen az bárki; vagy a te egész néped, az Izráel, ha elismeri kiki az ő szívére mért csapást, és kiterjeszténdi kezeit e ház felé:
0b082700e1	Te hallgasd meg a mennyekből, a te lakhelyedből és légy kegyelmes, és cselekedd azt, hogy kinek-kinek fizess az ő útai szerint, a mint megismerted az ő szívét, mert egyedül csak te ismered minden embernek szívét.
0b08280067	Hogy féljenek téged mind éltig, míg e földnek színén lakoznak, a melyet adtál a mi atyáinknak.
0b08290076	Sőt még az idegen is, a ki nem a te néped, az Izráel közül való, ha eljövénd messze földről a te nevedért;
0b082a0083	(Mert meghallják a te nagyságos nevedet és a te hatalmas kezedet és kinyújtott karodat), és eljövén imádkozánd e házban:
0b082b0149	Te hallgasd meg a mennyekből, a te lakhelyedből, és add meg az idegennek mindazt, a miért könyörög néked, hogy mind az egész földön való népek megismerjék a te nevedet, és féljenek úgy téged, miképen a te néped az Izráel; és ismerjék meg, hogy a te nevedről neveztetik ez a ház, a melyet én építettem.
0b082c00f3	Ha a te néped hadba megy ki az ő ellensége ellen, az úton, a melyen te küldöd el, és imádkozándik az Úrhoz, fordulván az úton e város felé, a melyet te magadnak választottál és e ház felé, a melyet építettem a te nevednek:
0b082d0064	Hallgasd meg a mennyekből az ő imádságokat és könyörgésöket, és szerezz nékik igazságot.
0b082e00ed	Ha te ellened vétkezéndenek, – mert nincsen ember, a ki ne vétkeznék – és megharagudván reájok, ellenség kezébe adándod, és fogva elviéndik őket azok, a kiktől megfogattak, az ellenségnek földére, messze vagy közel;
0b082f00ce	És eszökre térnek a földön, melyre fogva vitettek, és megtérvén könyörgenek néked azoknak földökön, a kiktől fogva elvitettek, mondván: Vétkeztünk, hamisan és istentelenül cselekedtünk!
0b08300155	És megtéréndenek te hozzád teljes szívökből és lelkökből, az ő ellenségöknek földében, a kik őket fogva elvitték, és imádkozándanak hozzád az ő földöknek útja felé fordulva, a melyet adtál az ő atyáiknak, és e város felé, a melyet magadnak választottál, és e ház felé, a melyet a te nevednek építettem:
0b08310078	Hallgasd meg a mennyekből, a te lakhelyedből az ő imádságokat és könyörgésöket, és szerezz nékik igazságot;
0b083200e8	És légy kegyelmes a te néped iránt, a kik ellened vétkezéndenek, és minden bűneik iránt, a melyekkel ellened vétkeztek; és szerezz kedvességet nékik azok előtt, a kik őket fogva tartják, hogy könyörüljenek rajtok;
0b08330063	Mert ők a te néped és örökséged, a kiket kihoztál Égyiptomból, a vaskemencze közepéből,
0b083400b1	Hogy a te szemeid nézzenek a te szolgádnak imádságára és a te népednek az Izráelnek könyörgésére; meghallgatván őket mindenkor, mikor téged segítségül hívnak.
0b083500d0	Mert te különválasztottad őket magadnak örökségül a földnek minden népei közül; a miképen megmondottad volt Mózes, a te szolgád által, mikor kihoztad a mi atyáinkat Égyiptomból, Uram Isten!
0b083600d1	És mikor elvégezte Salamon az Úr előtt való minden imádságát és könyörgését, felkele az Úr oltára elől, és megszünék az ő térdein való állástól, és kezeinek az égbe felemelésétől.
0b08370054	És felállván megáldá az Izráel egész gyülekezetét, felszóval ezt mondván:
0b083800e8	Áldott legyen az Úr, a ki nyugodalmat adott az ő népének, az Izráelnek, minden ő beszéde szerint, csak egy beszéde is hiábavaló nem volt minden ő jó beszédei közül, a melyeket szólott Mózes, az ő szolgája által.
0b0839007a	Az Úr, a mi Istenünk, legyen velünk, a miképen volt a mi atyáinkkal, ne hagyjon el minket, el se távozzék tőlünk,
0b083a00b5	Hanem hajtsa magához a mi szívünket, hogy járjunk minden ő útaiban, és őrizzük meg az ő parancsolatit, rendeléseit és végzésit, a melyeket a mi atyáinknak parancsolt.
0b083b00de	És ezek a szavak, a melyekkel imádkoztam az Úr előtt, legyenek jelen az Úr előtt a mi Istenünk előtt éjjel és nappal, hogy ítéletet tegyen az ő szolgájának és az ő népének, az Izráelnek, minden időben,
0b083c006d	Hogy megismerjék a földön minden népek, hogy csak az Úr az Isten, és hogy ő kívülötte nincsen más.
0b083d00a8	És a ti szívetek legyen tökéletes az Úrhoz, a mi Istenünkhöz, hogy járjatok az ő rendeléseiben, és őrizzétek meg az ő parancsolatit, miképen e mai napon.
0b083e0054	És a király és az egész Izráel ő vele, áldozatokat áldozának az Úr előtt.
0b083f00c8	És Salamon áldozék hálaadó áldozatul, a melyet áldozék az Úrnak: huszonkétezer ökröt, százhúszezer juhot. És e képen szentelék fel az Úr házát a király és az Izráel minden fiai.
0b08400155	Ugyanazon napon szentelé fel a király a középső pitvart, mely az Úrnak háza előtt vala; mert ott szerze egészen égőáldozatokat, ételáldozatokat és hálaáldozatok kövéreit. Mert a rézoltár, mely az Úr előtt állott, kisebb volt, mintsem reá fért volna az égőáldozat, az ételáldozat és a hálaáldozatok kövére.
0b084100f3	És Salamon ünnepet szerze ebben az időben, és vele együtt az egész Izráel; egy nagy gyűlést Hámát határától fogva Égyiptom határáig, az Úr előtt, a mi Istenünk előtt, hét napig és újra hét napig, azaz tizennégy napig.
0b084200fa	És a nyolczadik napon elbocsátá a népet. És áldák a királyt, és elmenének az ő hajlékaikba örömmel és víg szívvel, mindama jók felett, a melyeket cselekedett az Úr az ő szolgájával, Dáviddal, és az Izráellel, az ő népével.
0b09010097	És lőn, mikor elvégezte Salamon az Úr házának és a király házának építését, és mindent a mit kívánt és a mit akart építeni Salamon:
0b09020056	Megjelenék az Úr Salamonnak másodszor is, a miként megjelent volt néki Gibeonban.
0b09030113	És monda néki az Úr: Meghallgattam a te imádságodat és könyörgésedet, a melylyel könyörgöttél előttem: Megszenteltem e házat, a melyet építettél, abba helyheztetvén az én nevemet mindörökké, és ott lesznek az én szemeim, és az én szívem mindenkor.
0b090400d6	És ha te előttem járándasz, a mint járt Dávid, a te atyád, egyenes és tökéletes szívvel, úgy cselekedvén mindenekben, a mint néked megparancsoltam, az én rendelésimet és végzésimet megtartándod;
0b090500d5	Megerősítem a te birodalmadnak trónját az Izráelen mindörökké, a mint megígértem volt Dávidnak a te atyádnak, mondván: Nem fogy el a te nemzetségedből való férfiú az Izráel királyi székéből.
0b090600e4	De hogyha elszakadtok ti és a ti fiaitok én tőlem, és meg nem őrizénditek az én parancsolatimat és végzéseimet, melyeket előtökbe adtam; hanem elmentek, és idegen isteneknek szolgáltok, és meghajoltok azok előtt:
0b090700d1	Kigyomlálom az Izráelt e föld színéről, a melyet nékik adtam; e házat, melyet az én nevemnek szenteltem, elvetem szemeim elől, és az Izráel példabeszédül és meséül lészen minden nép előtt.
0b090800b1	És bár e ház felséges, mégis a kik elmennek mellette, elcsodálkoznak, felkiáltanak, és azt mondják: Miért cselekedett így az Úr ezzel a földdel és ezzel a házzal?
0b0909010d	És azt felelik: Azért, mert elhagyták az Urat, az ő Istenöket, a ki az ő atyáikat kihozta volt Égyiptom földéből, és idegen istenekhez ragaszkodtak, és azokat imádták, és azoknak szolgáltak: ezért bocsátá ő reájok az Úr mind ezt a nyomorúságot.
0b090a0076	És lőn a húsz esztendő végén, a mialatt Salamon a két házat, az Úr házát és a király házát megépíté,
0b090b00cc	A melyekhez Hírám, Tírus királya adott volt ajándékban Salamonnak czédrusfákat, fenyőfákat, aranyat egész kivánsága szerint: ada Salamon király Hírámnak húsz várost Galileának földén.
0b090c007f	És kiméne Hírám Tírusból, hogy megnézze azokat a városokat, a melyeket Salamon néki ada, de nem tetszettek azok néki.
0b090d007b	És monda: Miféle városok ezek, atyámfia, a melyeket nékem adtál? És Kábul földnek nevezé azokat mind e mai napig.
0b090e0047	Küldött vala pedig Hírám a királynak százhúsz tálentom aranyat.
0b090f00d5	És ez az összege annak az adónak is, a melyet kivetett volt Salamon király, hogy megépíthesse az Úr házát, és a maga házát, és Millót, és Jeruzsálem kőfalait, és Kháczort, Megiddót és Gézert.
0b091000e1	Mert a Faraó, Égyiptom királya, feljött volt, és meghódítá Gézert, és felégette tűzzel, és a Kananeusokat, a kik a városban laktak, megölte, és adá azt ajándékban az ő leányának, a Salamon feleségének.
0b09110037	És megépíté Salamon Gézert és az alsó Bethoront;
0b09120036	Bahalátot és Thadmort a pusztában, azon a földön;
0b091300fc	És a tárházak minden városait, a melyek a Salamonéi valának, a szekerek városait, és a lovagok városait, és mindeneket, a melyeknek építéséhez Salamonnak kedve volt Jeruzsálemben és a Libánonon, és az ő birodalmának egész földén.
0b091400a9	És mindazt a népet, a mely megmaradott volt az Emoreusoktól, Hitteusoktól, Perizeusoktól, Hivveusoktól, Jebuzeusoktól, a kik nem valának az Izráel fiai közül.
0b09150096	Azoknak fiait, a kik ő utánok azon a földön maradtak volt, a kiket az Izráeliták ki nem irthattak, Salamon jobbágyokká tette mind e mai napig.
0b091600c4	De az Izráel fiai közül senkit nem vetett Salamon szolgálat alá, hanem ezek hadakozó férfiak voltak és ő szolgái és főemberei és hadnagyai és az ő szekereinek és lovagjainak fejei.
0b09170095	És a hivatalnokoknak, a kik Salamon munkáinak élén állottak, száma ötszázötven volt, a kik igazgatták a népet, a mely dolgozott a munkán.
0b09180085	És a Faraó leánya felméne a Dávid városából a maga házába, a melyet Salamon épített néki. Akkor építé meg Millót is.
0b091900dc	És áldozék Salamon minden esztendőben háromszor, égő és hálaáldozatot azon az oltáron, a melyet épített vala az Úrnak, és áldozik vala jóillattal azon, a mely az Úr előtt vala. És elvégezé a házat.
0b091a007f	És hajókat is csináltata Salamon király Esiongáberben, a mely Elót mellett van a Veres tenger partján, az Edom földén.
0b091b007e	És elküldé Hírám az ő szolgáit a hajókon, a kik jó hajósok és a tengeren jártasak valának, a Salamon szolgáival.
0b091c0075	És egész Ofirig menének, és hozának onnét négyszázhúsz tálentom aranyat, és vivék azt Salamon királyhoz.
0b0a010087	A Séba királynéasszonya pedig hallván Salamonnak hírét és az Úr nevét, eljöve, hogy megkisértgesse őt nehéz kérdésekkel.
0b0a0200d5	És bejöve Jeruzsálembe igen nagy sereggel és tevékkel, a melyek hoznak vala fűszerszámokat, igen sok aranyat és drágaköveket, és Salamonhoz méne, és szóla vele mindenekről, a melyek szívén voltak.
0b0a030075	És Salamon megfelelt néki mindenre, semmi sem volt a király előtt elrejtve, a mire ne tudott volna néki felelni.
0b0a040074	És a mikor látta Séba királynéasszonya Salamonnak minden bölcseségét, és a házat, a melyet épített vala;
0b0a0500e7	És az ő asztalának étkeit, és szolgáinak lakásait, és szolgái udvarlásának módját, és azok öltözeteit, és pohárszékeit, és az ő áldozatját, a melylyel az Úrnak házában áldozott: a lélekzete is elállott;
0b0a060079	És monda a királynak: Mind igaz, a mit az én földemben hallottam volt a te dolgaid felől és a te bölcseségedről,
0b0a0700ea	De én hinni sem akartam azokat a beszédeket, míg én magam el nem jöttem, és szemeimmel nem láttam. És ímé nékem a felét sem beszélték el: te meghaladtad bölcseséggel és jósággal a hírt, a melyet hallottam felőled.
0b0a08007e	Boldogok a te embereid, boldogok ezek a te szolgáid, a kik udvarlanak néked mindenkor, és hallhatják a te bölcseségedet:
0b0a0900e0	Legyen az Úr, a te Istened áldott, a ki kedvelt téged, hogy az Izráel királyi székibe ültetett, mert szerette az Úr az Izráelt mindörökké, és királylyá tett téged, hogy ítéletet és igazságot szolgáltass.
0b0a0a00de	És ada a királynak száz és húsz tálentom aranyat, és igen sok fűszerszámot és drágakövet. Nem hoztak azután ilyen és ennyi sokaságú fűszerszámot, a mennyit Séba királynéasszonya ada Salamon királynak.
0b0a0b0078	És a Hírám hajója is, mely aranyat hozott Ofirból, ébenfát is hozott Ofirból nagy bőséggel és drágaköveket.
0b0a0c00e0	És csinála a király az ébenfából oszlopokat az Úr házába és a király házába, és az éneklőknek hegedűket és lantokat; nem hoztak soha többé olyan ébenfákat, és nem is láttak olyanokat mind e mai napig.
0b0a0d00f9	És Salamon király ada a Séba királynéasszonyának mindent, a mit csak kívánt és kért tőle, azokon kivül, a melyeket gazdagságához képest ada Salamon király néki. Annakutána megtére, és méne az ő földébe szolgáival egyetemben.
0b0a0e0082	Vala pedig mértéke az aranynak, a mely kezéhez jő vala Salamonnak minden esztendőben, hatszáz és hatvanhat tálentom arany.
0b0a0f00ae	Azonkivül, a mi jő vala az árus emberektől és a fűszerszámokkal kereskedő kalmároktól, és mind az Arábiabeli királyoktól, és annak a földnek tiszttartóitól.
0b0a100070	És csináltata Salamon király kétszáz paizst tiszta vert aranyból; mindenik paizsra hatszáz aranyat adott.
0b0a110093	És háromszáz kerek paizst vert aranyból, három font aranyat ada mindenik paizsra: és azokat a király helyhezteté a Libánon erdő házába.
0b0a120067	És készíte a király elefántcsontból egy nagy királyi széket és beborítá azt finom aranynyal.
0b0a1300af	Hat grádicsa volt e királyi széknek és e szék teteje kerekded vala hátul, és karjai valának mindkétfelől az ülés mellett, és két oroszlán álla ott a karoknál.
0b0a14007f	És tizenkét oroszlán álla ott kétfelől a grádics hat lépésén. Senki soha olyant nem csinált egyetlen országban sem.
0b0a1500da	És Salamon királynak összes ivóedényei is aranyból voltak, és a Libánon erdő házának összes edényei tiszta aranyból; nem volt azok között semmi ezüst, mert annak semmi becse nem vala Salamon idejében.
0b0a1600d4	Mert a király Társis hajója, a mely a tengeren Hírám hajójával járt, minden három esztendőben egyszer fordult meg, s hozott a Társis hajó aranyat, ezüstöt, elefántcsontokat, majmokat és pávákat.
0b0a170073	És feljebb magasztaltaték Salamon király gazdagsággal és bölcseséggel a földön való minden királyoknál.
0b0a180087	És mind az egész föld kivánja vala látni Salamont, hogy hallhatnák az ő bölcseségét, melyet Isten az ő szívébe adott volt.
0b0a1900a1	És azok néki ajándékot hoznak vala, ezüst és arany edényeket, öltözeteket, hadi szerszámokat, fűszerszámokat, lovakat, öszvéreket, esztendőnként.
0b0a1a00ca	És gyűjte Salamon szekereket és lovagokat, úgy hogy ezer és négyszáz szekere, és tizenkétezer lovagja volt néki, a kiket helyheztete a szekerek városaiba, és a király mellé Jeruzsálemben.
0b0a1b0096	És felhalmozá a király Jeruzsálemben az ezüstöt mint a követ, és a czédrust, mint a vad fügefákat, a melyek nagy tömegben vannak a mezőn.
0b0a1c007a	És Salamonnak Égyiptomból hozának lovakat, és a király kereskedői sereggel vették volt a lovakat megszabott áron.
0b0a1d00d4	És egy-egy szekér hatszáz ezüst siklusért és egy-egy ló százötven siklusért ment fel és jött ki Égyiptomból, és ugyancsak ők szállították ezeket a Hitteusok királyainak és Siria királyainak.
0b0b0100a5	Salamon király pedig megszerete sok idegen asszonyt, még pedig a Faraó leányán kivül a Moábiták, Ammoniták, Edomiták, Sídonbeliek és Hitteusok leányait,
0b0b0200f6	Olyan népek közül, a kik felől azt mondotta volt az Úr az Izráel fiainak: Ne menjetek hozzájok, és őket se engedjétek magatokhoz jőni, bizonyára az ő isteneik után hajtják a ti szíveteket. Ezekhez ragaszkodék Salamon szeretettel.
0b0b030081	És valának néki feleségei, hétszáz királynéasszony és háromszáz ágyas; és az ő feleségei elhajták az ő szívét.
0b0b0400d9	És mikor megvénült Salamon, az ő feleségei elhajták az ő szívét az idegen istenek után, úgy hogy nem volt már az ő szíve tökéletes az Úrhoz, az ő Istenéhez, a mint az ő atyjának, Dávidnak szíve.
0b0b050073	Mert Salamon követi vala Astoretet, a Sídonbeliek istenét, és Milkómot, az Ammoniták útálatos bálványát.
0b0b060088	És gonosz dolgot cselekedék Salamon az Úr szemei előtt, és nem követé olyan tökéletességgel az Urat, mint Dávid, az ő atyja.
0b0b0700b8	Akkor építe Salamon templomot Kámosnak, a Moábiták útálatos bálványának a hegyen, a mely Jeruzsálem átellenében van, és Moloknak, az Ammon fiai útálatos bálványának.
0b0b080076	És ekképen cselekedék Salamon mind az ő idegen feleségeivel, a kik az ő isteneiknek tömjéneztek és áldoztak.
0b0b09008a	Megharaguvék azért az Úr Salamonra, hogy elhajlott az ő szíve az Úrtól, Izráel Istenétől, a ki megjelent volt néki kétszer is,
0b0b0a0073	És azt parancsolta volt néki, hogy ne kövessen idegen isteneket, és mégsem őrizte meg az Úr parancsolatját.
0b0b0b00ed	Monda azért az Úr Salamonnak: Miután ez történt veled, és nem őrizted meg az én szövetségemet és az én rendelésimet, a melyeket parancsoltam néked: elszakasztván elszakasztom tőled az országot, és adom a te szolgádnak.
0b0b0c0079	Mindazáltal míg élsz, nem cselekeszem ezt Dávidért, a te atyádért; hanem a te fiadnak kezétől szakasztom el azt.
0b0b0d00a9	De nem szakasztom el az egész birodalmat; hanem egy nemzetséget adok a te fiadnak Dávidért, az én szolgámért és Jeruzsálemért, a melyet magamnak választottam.
0b0b0e006f	És ellenséget támaszta az Úr Salamonra, az Edombeli Hadádot, a ki az Edombeli királyi nemből való vala.
0b0b0f00a9	Mert mikor Dávid az Edomiták ellen ment volt, és Joáb, a sereg fővezére elment volt a megöletteknek temetésére, és levágott minden férfiú nemet Edomban, –
0b0b10006d	Mert hat hónapig volt ott Joáb az egész Izráellel, míg minden férfiúi nemet ki nem vesztett Edomban, -
0b0b1100ab	Akkor szaladott vala el Hadád és vele együtt valami Edomiták az ő atyjának szolgái közül ő vele, bemenvén Égyiptomba. Hadád pedig akkor még kis gyermek volt.
0b0b120101	Kik felkelvén Midiánból, menének Páránba, és melléjök vévén a Páránbeli férfiak közül, bemenének Égyiptomba a Faraóhoz, az Égyiptombeli királyhoz, a ki házat ada néki, és ételt, italt szolgáltata néki, és jószágot is ada néki.
0b0b130095	Igen kedvében lőn azért Hadád a Faraónak, úgyannyira, hogy feleségül adá néki az ő feleségének hugát, Táfnes királyasszonynak hugát.
0b0b1400ae	És a Táfnes huga szülé néki Génubátot, az ő fiát, és elválasztá azt Táfnes a Faraó házában, és Génubát ott volt a Faraó házában, a Faraó fiai között.
0b0b1500d2	Mikor pedig Hadád meghallotta Égyiptomban, hogy Dávid elaludt az ő atyáival, és hogy Joáb is, a seregnek fővezére, meghalt, monda Hadád a Faraónak: Bocsáss el engem, hadd menjek el az én földembe.
0b0b1600b4	És felele néki a Faraó: Mi nélkül szűkölködöl én nálam, hogy a te földedbe igyekezel menni? Felele az: Semmi nélkül nem szűkölködöm, de kérlek bocsáss el engem.
0b0b170097	És támaszta az Isten néki más ellenséget is, Rézont, az Eljada fiát, a ki elfutott vala Hadadézertől, a Sóbabeli királytól, az ő urától.
0b0b1800b2	És hadakozó férfiakat gyűjtött maga mellé, és ő vala a sereg hadnagya, mikor megölé őket Dávid; azután Damaskusba menvén ott lakának, és uralkodának Damaskusban.
0b0b1900a0	És ellensége volt Izráelnek Salamonnak egész életében, a nyomorúságon kivül, a melyet Hadád szerze, és gyűlölte Izráelt, és uralkodott Siriában.
0b0b1a00ab	Azután Jeroboám, a Nébát fia, Seredából való Efrateus, – a kinek anyja Sérua, egy özvegy asszony volt – a Salamon szolgája emelte fel kezét a király ellen.
0b0b1b00ac	Annak pedig, a miért felemelte kezét a király ellen, ez volt az oka: Mikor Salamon megépítette Millót, és berakatta az ő atyjának, a Dávid városának romlását;
0b0b1c00a5	Jeroboám erős férfiú vala; és látván Salamon, hogy az ő szolgája az ő dolgában szorgalmatos, reá bízá a József háza gondviselésének egész terhét.
0b0b1d00da	És történt ebben az időben, hogy mikor kiment egyszer Jeroboám Jeruzsálemből, találkozék az úton Ahijával, a Silóbeli prófétával, és rajta új köpönyeg volt, és csak ketten valának a mezőn együtt.
0b0b1e0057	És megragadván Ahija az új ruhát, a mely azon volt, hasítá azt tizenkét részre.
0b0b1f00b7	És monda Jeroboámnak: Vedd el magadnak a tíz részt; mert ezt mondja az Úr, Izráel Istene: Ímé elszakasztom ez országot Salamon kezétől, és néked adom a tíz nemzetséget;
0b0b2000ad	Egy nemzetséget hagyok pedig ő nála az én szolgámért, Dávidért, és Jeruzsálem városáért, a melyet magamnak választottam az Izráel minden nemzetségei közül,
0b0b210150	Még pedig azért, mert elhagytak engem, és imádták Astoretet, a Sídonbeliek istenét, és Kámost, a Moábiták istenét, és Milkomot, az Ammon fiainak istenét, és nem jártak az én utaimban, hogy azt cselekedték volna, a mi tetszett volna az én szemeimnek: az én rendelésimet és végzéseimet, a mint Dávid, az ő atyja.
0b0b2200ec	De nem veszem el az egész birodalmat az ő kezétől, hanem akarom, hogy fejedelem legyen életének minden idejében, Dávidért az én szolgámért, a kit választottam; mivelhogy megőrizte az én parancsolatimat és rendeléseimet;
0b0b230071	Hanem az ő fiának kezétől már elveszem a királyságot, és néked adom azt, tudniillik a tíz nemzetséget.
0b0b2400d9	Az ő fiának pedig egy nemzetséget adok, hogy Dávidnak, az én szolgámnak legyen előttem szövétneke mindenkor Jeruzsálemben, a városban, a melyet magamnak választottam, hogy ott helyheztessem az én nevemet.
0b0b250077	Téged pedig felveszlek, és uralkodol mindenekben a te lelkednek kívánsága szerint, és király lész az Izráelen.
0b0b260153	És ha te minden parancsolatimnak engedéndesz, és járándasz az én utaimban, és azt cselekedénded, a mi tetszik nékem, megőrizvén az én rendelésimet és parancsolatimat, a mint Dávid, az én szolgám cselekedett: én veled leszek, és építek néked állandó házat, a mint Dávidnak építettem, és néked adom az Izráelt.
0b0b270041	És megsanyargatom ezért a Dávid magvát: de még sem örökre.
0b0b2800b9	Igyekezik vala pedig Salamon megölni Jeroboámot; ezért felkelvén Jeroboám, futa Égyiptomba, Sésákhoz, az Égyiptombeli királyhoz, és ott volt Égyiptomban, Salamon haláláig.
0b0b2900aa	Salamonnak egyéb dolgai pedig és minden cselekedetei, a melyeket cselekedett, és bölcsesége avagy nem írattattak-é meg a Salamon cselekedeteiről írott könyvben?
0b0b2a0065	Az az idő pedig, a melyben uralkodott Salamon Jeruzsálemben az egész Izráelen: negyven esztendő.
0b0b2b008c	És elaluvék Salamon az ő atyáival, és eltemetteték az ő atyjának, Dávidnak városában. És Roboám, az ő fia uralkodék helyette.
0b0c010067	És elméne Roboám Síkembe; mert Síkembe gyűlt fel az egész Izráel, hogy királylyá tegyék őt.
0b0c0200a8	Mikor pedig meghallotta ezt Jeroboám, a Nébát fia, (a ki még Égyiptomban volt, a hová futott volt Salamon király elől, és Égyiptomban tartózkodék Jeroboám,
0b0c030084	És hozzá küldvén, elhivaták őt); elmenének Jeroboám és az Izráel egész gyülekezete, és szólának Roboámnak, mondván:
0b0c0400b5	A te atyád igen megnehezítette a mi igánkat, de te most könnyebbítsd meg atyádnak kemény szolgálatát, és a nehéz igát, a melyet mi reánk vetett, és szolgálunk néked.
0b0c050060	És monda nékik: Menjetek el, és harmadnap mulva jőjjetek vissza hozzám. És a nép elméne.
0b0c0600b9	És tanácsot tarta Roboám király a vénekkel, a kik Salamon, az ő atyja előtt állottak vala életében, mondván: Micsoda tanácsot adtok ti, hogy milyen választ adjak e népnek?
0b0c0700b4	És szólának azok, mondván: Ha e mai napon szolgája lész e népnek, és nékik szolgálsz, és választ adsz nékik, és jó szót adsz nékik: mind éltig szolgálnak néked.
0b0c0800a7	De ő megveté a vének tanácsát, a melyet néki adtak, és tanácsot tarta az ifjakkal, a kik ő vele együtt nevekedtek volt fel, és a kik ő előtte udvarlottak.
0b0c0900b4	És monda azoknak: Micsoda tanácsot adtok ti, hogy választ adjunk e népnek, a mely nékem szólván, azt mondja: Könnyebbítsd meg az igát, a melyet reánk vetett a te atyád?
0b0c0a0129	És mondának néki az ifjak, a kik együtt nevekedtek volt fel ő vele: Így szólj ennek a népnek, a mely szólván néked, ezt mondja: A te atyád megnehezítette a mi igánkat, te pedig könnyebbítsd meg nékünk; e képen szólj nékik: Az én kis ujjam vastagabb az én atyám derekánál.
0b0c0b00ba	Most azért, ha az én atyám reátok nehéz igát vetett, én még nehezebbé teszem a ti igátokat: ha az én atyám ostorral fékezett titeket, én skorpiókkal ostorozlak benneteket.
0b0c0c0091	És elméne Jeroboám és mind az egész nép Roboámhoz harmadnap, a mint meghagyta volt a király, ezt mondván: Jőjjetek hozzám harmadnapon.
0b0c0d0068	És a király kemény választ adott a népnek, megvetve a vének tanácsát, a melyet adtak vala néki;
0b0c0e00dc	És szóla nékik az ifjak tanácsa szerint, mondván: Ha az én atyám megnehezítette a ti igátokat, én még nehezebbé teszem azt; ha az én atyám ostorral fékezett titeket, én skorpiókkal ostorozlak benneteket.
0b0c0f00cb	És nem hallgatá meg a király a népet; mert ezt az Úr fordította ekként, hogy megerősítse az ő beszédét, a melyet szólott volt az Úr a Silóbeli Ahija által Jeroboámnak, a Nébát fiának.
