0100000007	Ts'etta
011104004e	– Yizde suralyna mugaavile vakana haane: Ğu geedne milletbışda dek ixhes.
0111050082	Zı vake geedne milletbışda dek ha'asva, g'iyniyle yiğın do İbram (xərna dek) deş, İbrıhım (xəppananbışda dek) ixhes.
0111060062	Yiğna nasıl geeb xəp qaa'as. Vake milletbı g'ales. Yiğne nasılee paççaharıb vuxhesınbı.
0111070090	Zı vakayiy vale qihnane yiğne nasılıka gırgıne gahbışisda mugaavile haa'a. Zı ixhes, yiğnayiy vale qihnane yiğne nasılbışda Allah.
0111080074	Vasiy vale qiyğiyne nasılbışis gırgıne gahbışis ğu alycaxvana Kana'anna ölka huvu, manbışda Allah ixhes.
011109008a	Qiyğa Allahee İbrıhımık'le uvhuyn: – Yiğne suraleb, ğunay vale qiyğiyne nasılbışe mugaavilee nəxüdiy eyhe, həməxüd he'e.
01110a0070	Vakayiy vale qiyğiyne nasılbışika hav'uyne mugaavileyn işaarat in vod: Gırgın adamer sunnat hav'u vuxhes.
01110b0054	Sunnatın ç'ürüx g'ats'ak'vne. Sunnat Yizdeyiy vuşde mugaavileyn işaarat ixhes.
01110c0073	Vuşde xaa yedike ıxhanar, menne milletbışiker alişşunar adameeşina insan molyulle yiğ ıxhamee sunnat he'e.
01110d00ad	Yiğne xaa yedike vuxhaynbıb, menne milletbışike alivşuynbıb sunnat hidyav'u g'ılymaa'a. Sunnat vuşde tanalin Yizde gırgıne gahbışisda mugaavileyn işaarat ixhes.
01110e005b	Sunnat hidi'ına adameeşina insan mugaavile havaakal hav'uva, milletne yı'q'nee mexhecen.
01110f0080	Allahee İbrıhımık'le meed eyhen: – Xhunaşşeyk'le Sarayva immeyhe. G'iyniyke şaqa məng'ı'n do Sarra (printsesa) ixhes.
01111000ca	Zı məng'ı's xayir-düə hevles: məng'ı'ker vas dix heles. Qiyğa məng'ı's sayib xayir-düə hevles: mana milletbışda yed yixhes, milletbışin paççahar məng'ı'ne nasıleençe qığeepç'es.
0111110094	İbrıhım aq'vahiyna gizerçu, əqəna ha'u, culed-alqa uvhuyn: – Vəş sennane insanıs uşax eyxheye? Yüç'əl sennane Sarraysse uxas əxəye?
0111120075	Qiyğa İbrıhımee Allahık'le eyhen: – Hasre saccu I'smı'ı'l xheeyir Yiğne xayir-düəyka üç'ürra axhvecen!
01111300b6	Allahemee uvhuyn: – Sarree, yiğne xhunaşşee vas dix uxas, doyud I'saq' (əqəna) gixhxhe. Zı mugaavile mang'ukab, mang'ule qihniyne nasılıkab gırgıne gahbışis havaacesda.
01111400c8	Ğu I'smı'ı'lil-alla uvhuyn Zak'le g'ayxhiyn. Mang'usub Zı xayir-düə hevles, mang'uke g'abıynbı geeb xəp qaa'as. Mang'uke yits'ıq'vəyre paççah g'avaales. Zı mang'uke xədın millet ha'as.
011115004c	Mugaavilemee Zı qööne sen ine gahıl Sarree vas uxasde I'saq'ıka haa'as.
0111160033	Allahee man İbrıhımık'le uvhu ooqa ts'ıts'xha.
01111700d5	Manecab yiğıl İbrıhımee cune xaabın gırgın adamer: dix I'smı'ı'l, cune xaa yedike vuxhayn gırgın nukarar, menne milletbışike alivşuynbıb sacigeeqa sav'u, Allahee cuk'le uvhuyn xhinne, sunnat hav'u.
0111180046	İbrıhım sunnat hı'iyng'a mang'uqa yüç'əle yüç'üd senniy vod.
011119003f	I'smı'ı'l sunnat ha'ang'a, mang'uqa yits'ıxhebad senniy vod.
01111a0031	İbrıhımiy I'smı'ı'l sa yiğıl sunnat hav'u.
01111b008a	Cuka sa yiğıl, cune xaabın gırgın adamer, menne milletbışike alivşuynbı, cune xaa yedike vuxhaynbı gırgınbı sunnat haa'anbı.
011201006e	Rəbb İbrıhımıs yiğıne pırane gahıl Mamreyne mı'qəəşine avur, çadırne ghalee gyu'uriynga gyagva.
0112020095	Mang'vee vuk'ul ooqa qav'umee xhebiyre insan g'ooce. Manbı g'avcu, çadırene ghaleençe manbışde ögiylqa g'adarxhun ç'iyelqamee k'yorzul eyhen:
0112030051	– Yizda xərna, zı ulen aqqıxhee, ulydyorzul yiğne nukarısse ılğımeç'e.
011204004a	Hasre g'elybı hoğalasın xhyan allecen, yivek avub gyuv're manzil hee'e.
01120500be	Şu vuşde nukarne çadırne k'anençevub ı'lğəə, zı şos sık'ınin gıney alles, oxhne yik' aqqecen. Mançile qiyğa şos vukkanxhee, hudoora. Manbışe eyhen: – Ğu eyhəxüd he'e.
01120600a5	Sark'ıl mana ek'ra Sarraysqa çadıreeqa ayk'an. Məng'ı'k'le eyhen: – Həşdexhinee xhebne xənne vexhxheedın yugun urva alyaat'u xamır hı'ı, kokaybı qece.
0112070081	Mana mançe çavra-vəq'əysqa g'adarxhun sa kokna q'ıka avqu mek'vung'usqa qoole. Mek'vnar giyğalna ek'da oxhanasın kar ha'a.
011208008a	İbrıhımee qoocuna q'ıka, şor, nyak manbışde ögiylqa qadı giyxhe. Manbışe man otxhanang'a, vucur cone k'ane yivek avur ulyoyzar.
0112090069	Manbışe qiyghıniyn: – Yiğna xhunaşşe Sarra nyayxha? Mang'vee eyhen: – İnyaa'ar, çadıree vor.
01120a00d3	Manbışde sang'vee meed eyhen: – Qööne ine gahıl zı vasqa meer ayresda. Manke yiğne xhunaşşeys Sarrays dix ixhes. Sarra mang'une yı'q'əl, çadıreeqa əkkəəne cigee ulyorzul, k'ırı iliyxhe yixha.
01120b0056	İbrıhımiy Sarra q'əsniy qeepxha. Sarrayn yadaaşik eyxhenbı ç'əveetxhaynbıniy.
01120c007b	Məng'ee yik'ee əqəna hı'ı, eyhen: – Zı g'art'una, məxbına xoşbaxtıyvalla vooxheyee? Yizda xərnar q'əs qıxha.
01120d007e	Rəbbee İbrıhımıke qiyghanan: – «Zı Sarra qəsra vor, zasse uşax uxas əxəye?» uvhu, nya'a məng'ee əqəna hı'ı?
01120e0070	Nya'a, Rəbbisse ha'as dəxən vodunne? Qööne sen ine gahıl Zı vasqa sark'ıling'a, Sarrays dix ıxha ixhes.
01120f0083	Sarree qərq'ı'niyvalin horbışika eyhen: – Zı əqəna hı'ı deşdiy. Rəbbee manke eyhen: – De'eş, ğu əqəna hı'inniy.
011210005e	Mançe in adamer suğootsu Sodomusqa avayk'an. İbrıhımır ayk'anna manbı yəqqı'l haa'as.
011211003e	Rəbbee eyhen: – Ha'asın kar İbrıhımılene dyugul ha'as?
0112120074	Hək'edad, İbrıhımıke xədın, gucnan millet g'ales, mang'ulek'ena gırgıne milletbışe xayir-düə alyapt'as.
01121300c4	Cule qiyğa yugun, qotkun ha'a Rəbbine yəqqı'n hophuriy dixbışis, cune xaabınbışis, xət qe'ecenva Zı mana g'əyxı'. Manke Zı Rəbbeeyid İbrıhımıs hucooyiy cuvab huvu, man ha'asın.
011214006b	Rəbbee eyhen: – Sodomulqanayiy Homorulqana şikayat geebıb. Maane insanaaşina bınah geeb yı'q'navub.
011215004e	Mançil-allar giç'u avqa ilyakkasda, Zalqa hiyxharanbı hək'enbıye, dişee.
0112160056	İnsanar sapk'ıl avayk'ananbı Sodomne suralqa. İbrıhımır axvana Rəbbine ögiyl.
0112170062	İbrıhım Mang'usqana qıxha eyhen: – Hək'ebane, bınahnanbışika qopkuynbub havaakal haa'as?
01121800ac	Eyhes, ine şaharee xhots'al qorkuna insan vor. Ğu mana hək'ebab havaakal haa'asdane? Mane xhots'alyne qorkune insannemee Ğu mane şaharne bınahıle ılyheç'es dişde?
0112190094	Ğu man hidya'a, qorkunayiy bınahnana sacigee gidek'a. Qorkunayiy bınahna Ğu sa hidya'a. İnimeen dyunye vuk'lek Ikkekkana, qorkura ixhes ıkkan!
01121a0083	Rəbbee eyhen: – Sodomne şaharee xhots'al qorkuna insan avaykee, manbışdemee ine cigayne bıkırra bınaheençe ılyheç'esda.
01121b007e	İbrıhımee meed eyhen: – Zı Yiğnemee yı'qiy tooz xhinnen sa kar ixheeyir, zı meed yik' hı'ı Xudaavandayke qiyghanan,
01121c00b4	xhots'alyna qorkuna g'ales xhoyre insan ivdekeene, mana xhoyre g'idiyxharva şahar havaakal haa'asdane? Rəbbee eyhen: – Yoq'ts'ale xhoyre aveykeene, şahar havaakal haa'as deş.
01121d0083	İbrıhımee meed qiyghanan: – Maa'ar yoq'ts'al aveykeene, hucoone ha'as? Rəbbee eyhen: – Yoq'ts'alyung'unemeeyir set'as deş.
01121e00c2	İbrıhımee eyhen: – Zı geer yuşanı'il-alla Xudaavandays qəl mooxhecen: maa'ar xhebts'al aveykeene, nəxüdne ixhes? Rəbbee uvhuyn: – Maa'ar xhebts'alir aveykeene, vuççud ha'as deş.
01121f00a9	İbrıhımee eyhen: – Zı meed yik' hı'ı Xudaavandayke in qiyghanan: maa'ar g'ayre aveykeene, hucoone ha'as? Rəbbee eyhen: – G'ang'unemeeyib havaakal haa'as deş.
01122000a6	İbrıhımee eyhen: – Zı sayid eyheva Xudaavandays qəl mooxhecen, yits'iyre aveykeene, hucoone ha'as? Rəbbee eyhen: – Yits'ıng'unemeeyib havaakal haa'as deş.
0112210062	Rəbbee İbrıhımıka haa'ana gaf ç'əvav'u, ayk'anna. İbrıhımır cune çadıreeqa siyk'alna.
01130100a1	Exheeqana Sodomeeqa şena q'öyre malaaik arayle. Lut şaharne akkaysana gyu'ur eyxhe. Manbı g'avcu, ayk'anna manbışde ögiylqa. Qiyğar ç'iyelqamee k'yorzul
01130200ca	eyhen: – Yizın ç'ak'ınbı, qudoora, vuşde g'ulune xaa g'elybı hoğle, xəm g'eehe. Miç'eeb suğootsu gyapk'e vuşde yəqqı'lqa. Manbışe alidghıniy qelen: – De'eş, şi xəm kuçee g'aahas.
0113030089	Lutee geed eyheva, malaaikar qavaylenbı mang'une xaaqa. Lutee manbışis exhalyne otxhuniyka qecuyn gıney qadayle, manbışed oyxhanan.
0113040078	Manbı g'alyapk'asse, Sodom şaharın gırgın adamer mek'vung'ule otçu q'əsıng'ulqamee savaylenbı xaane hiqiy-alla.
0113050082	İnsanaaşe Lut qort'ul eyhen: – G'iyna xəmde vasqa abıyn insanar nyavxha? Manbı şasqa qavaale, şi manbışika g'alyapk'as.
011306003a	Lut manbışisqa g'aqa qığeç'u, cuqad qihna akka qa'an.
011307002e	Mang'vee eyhen: – Çocar, qəlasın hıma'a.
0113080095	Zaqa q'öyre adamiys hidyark'ınna yiş vor. Qavaales şosqa hucooyiy ıkkan he'e. Saccu ine insanaaşik sumoot'a, manbı yizde xaabın mihmanar vob.
01130900c7	Adameeşe eyhen: – Yı'q'əlqa ts'ıts'xhe! İne insanee menne cigeençe qarı şas yuguniy pisın xət qa'a. Vak manbışiled yı'q'ı'n ha'as. Manbı Lutulqa hoohar, akka haq'var ha'as ıkkiykan.
01130a004d	Manke xaane malaaikaaşe xıl hotku Lut aqa cosqa ts'ıts'ı, akka it'uma'an.
01130b0084	Akkayne şene sural ulyobzurne insanaaşina k'ınnar, xərnar manbışe bı'rq' qaa'a. Mançil-alla insanaaşik'le akka iveeke deş.
01130c0092	Malaaikaaşe Lutuk'le eyhen: – Vaqa inya'ar merna vuşune vor? Dixbı, yişbı, yeznebı yiğne xizanın gırgınbı ine şahareençe qığee'e.
01130d0094	Şi in ciga hakkal ha'asın. İne milletıle geed şikayatbı Rəbbik'le g'ayxhı. Mançil-alla Rəbbee şi g'axuvuynbı ina şahar havaakal haa'as.
01130e00c7	Lutee hark'ın yişbı haa'asde adameeşik'le eyhen: – Zaraba hudoora ine cigeençe, Rəbbee ina şahar havaakal haa'as. Yişbı haa'asde adameeşine fıkreeqa, Lutee coka dem haa'a vuxhesva qayle.
01130f00b0	Miç'eed qexheng'a, malaaikaaşe Lutuk'le eyhen: – Ek'ra ixhe! Xhunaşşeyiy yişbı alyapt'ı ine cigeençe hoora. Deşxhee, şahar alytivk'al haa'amee şunab hapt'asınbı.
0113100098	Lut yı'q'ra ı'ğı'ykır. Rəbbina mang'ulqa rəhı'm qabıva, malaaikaaşe Lutur, cuna xhunaşşer, yişbıb xıleke avqu şahareençe qığaa'anbı.
01131100aa	Manbı qığaa'ane gahıl malaaikaaşine sang'vee eyhen: – Yı'q'əlqa ilydyakkı hivxe. İne Q'adaalil ulymoyzar, axtıne cigabışeeqa hivxe. Deşxhee, qik'u əəsda.
011312008d	Lutee manbışik'le eyhen: – Yizın ç'ak'ınbı! Vuşde ulen ina nukar aqqı, şu mana g'attixhanı'iyka, zas haa'ana yugvalla geeb qav'u.
01131300ac	Saccu hasre zı mane k'anene k'ınne şahareeqa hixu g'attixhanas. Man şu eyhen axtın cigabı geed əq'əna vod. Zı maqa hixharasse, balyaa zalqa hipxhır, zı gik'asda.
0113150069	Malaaikaaşine sang'vee Lutuk'le eyhen: – Yiğnimee manıd ha'a, ğu eyhena şahar alytivk'al hidyaa'a.
011316008d	Ek'ra ixhe, maqa hixve! Ğu maqa hidirxhıl, zı sa kar ha'as deş. Lutee mana şahar k'ınnava uvhiyl-alla, mançin do Tsoar (k'ınin) axva.
0113170036	Lut Tsoarqa hirxhıliyng'a, verığ ılqevç'u vooxhe.
0113180045	Rəbbee Sodomılqayiy Homoralqa ts'ayıkan xəənçe kukurt gyoğa'a.
0113190065	İne Q'adaalilin şaharbı, ç'iyel ələən gırgın kar, maa vooxhen gırgın insanar deşaa'anbı.
01131a004c	Lutuna xhunaşşe yı'q'əlqa sark'ıl ileekımee, q'evane g'ayelqa siyk'al.
01131b0059	Qinne yiğıl miç'eer İbrıhım oza qıxha Rəbbine ögiyl ulyorzulyne cigeeqa hayk'an.
01131c0095	Mana mançe Sodomıqa, Homorıqa mançine hiqiy-allane Q'adaaliqa ilyakka. Mang'uk'le mane cigeençe xənne ts'ayıke ı'lqən xhinnen sa kuma g'ece.
01131d0074	İne Q'adaalilin şaharbı hakkal ha'ang'a, Allahıs İbrıhım yik'el qarı, dişe Lut mançe hixu'u g'attixhana'a.
01131e0089	Lut q'öne yişşeka Tsoareençe qığeç'u, suvabışee aaxva. Mana Tsoar axvas qəyq'ən ıxha. Mana q'öne yişşeka sa mağaree axva.
01131f0087	Mang'une xərne yişşee k'ıning'ı'k'le eyhen: – Yişda dek q'əs qıxha, gırgıng'uka xhinne, şaka g'alixhasda sa adamiy deşda.
0113200069	Qeera, dekkıs çaxır ulyoğu'ı, mang'uka g'alyapk'as, yişde dekkıke g'abına şaqab nasıl vuxhecen.
01132100ab	Manbışe mane xəmde dekkıs çaxır ulyoğa'a. Xərna yiş dekkısqa iyç'u, mang'uka g'ıleexha. Dekkık'le mana mısa cusqa k'iyç'u, qığeyç'uycar ats'a eyxhe deş.
01132200d1	Qinne yiğıl xərne yişşee k'ıning'ı'k'le eyhen: – Zı sanıxha dekkıka g'alirxhu. Qeera, g'iynad mang'us çaxır ulyoğa'as, ğunar mang'usqa k'iyç'e, yişde dekkıke g'abına şaqab nasıl vuxhecen.
01132300ab	Manbışe mane xəmded dekkısqa çaxır ulyoğa'a. K'ınna yişşir k'iyç'u, mang'uka g'ıleexha. Dekkık'le mana mısa cusqa k'iyç'u, qığeyç'uycar ats'a eyxhe deş.
0113240036	Məxür Lutuna q'öyursana yiş dekkıke vuxhne aaxva.
0113250061	Xərne yişşee sa dix uxu, cun doyud Moav (dekkıke) giyxhe. Mana həşde Moavbışda dek eyxhe.
0113260074	K'ınne yişşeyir sa dix uxu mang'un do Ben-Ammi (yizde ebang'una dix) giyxhe. Mana həşde Ammonbışda dek eyxhe.
011401008d	İbrıhım mançe Negevne cigabışeeqa ayk'an. Mana Qadeşneyiy Şurune yı'q'nee axva. Qiyğa mana sabara gahna Gerar eyhene şaharee axva.
0114020099	İbrıhımee maa'ad cune xhunaşşeyne Sarrayne hək'ee «İna yizda yiçu vorva» uvhu. Gerarne paççahee, Avimelekee, insan g'axuvu, Sarra qiykekkana.
011403007d	Xəmde Allah Avimelekıs gyagu, uvhuyn: – Qiykiyne xhunaşşeyl-alla ğu qik'asda, mana merıng'una xhunaşşe yixhal-alla.
0114040077	Avimelek məng'ı'k qet'u ıxha deş. Mang'vee eyhen: – Xudaavanda, nya'a Vasse bınah deşin millet gik'as əxəyee?
01140500b6	Mane insanee «İna yizda yiçu vorva» dişde uvhu? Zəiyfee yiceeyid «Mana yizda çoc vorva» uvhu. Zı man kar yik'eene qəlıke deş hı'ı, yizde xıleppışilib bınah deşda.
01140600af	Allahee mang'uk'le nik'ek eyhen: – Zak'le ats'an, ğu man yik'eene qəlıke deş hı'ı. Mançil-allar Zı vas məng'ı'k xıl set'as hassır deş, Zı ğu bınahıke aqqı.
01140700d7	Həşdeme, zəiyfa adamiysqa sayk'al hee'e, mana peyğambar vorna. Mang'vee yiğnemee düə haa'as, ğunar üç'ürra axvas. Ğu mana zəiyfa sayk'al hidey'eene, ğunar, yiğın milletıd aaxvas deş, hapt'asınbı.
011408008f	Avimelek miç'eer çakra oza qıxha, cun gırgın insanar sav'u, man gırgın manbışis yuşan ha'a. İnsanar mançile geeb qəvəyq'ənanbı.
01140900c8	Avimelekee İbrıhım qort'ul, eyhen: – Ğu şak hı'iyn hucoona? Zı yiğne ögiyl nena bınahne hav'u, ğu zalqayiy yizde paççahiyvalilqa ina xəbna bınah qav'u? Ğu zak hidya'asın kar hı'ı.
01140a0068	Avimelekee meed İbrıhımık'le eyhen: – Ğu man kar ha'amee, hucooniy yiğne fıkreençe ı'lğəə?
01140b008c	İbrıhımee eyhen: – Yizde ək'leençe «İnyaa'ab Allahıle qəpq'ı'niy deşud, xhunaşşel-alla manbışe zı gik'asdava» ılğeç'u.
01140c0059	Mana hək'erar yizda yiçu vor: yişda dek sa vorna, yedyarme curaynbı. Zı mana hey'ı.
01140d00c2	Allahee zı dekkıne xaançe menne cigabışeeqa g'ıxelemee, zı məng'ı'k'le uvhuyn: «Zas inəxübna yugvalla hee'e: şi vüqqəsde cigabışee yizde hək'ee, „İna yizda çocva“ eyhe».
01140e007b	Avimelekee İbrıhımıs çavra-vəq'ə, həmbal adameriy həmbal yadar huvu. Xhunaşşer Sarrar yı'q'əlqa seek'al hee'e.
01140f0068	Avimelekee eyhen: – Yizda ölka yiğne ulene ögiyl vob, vas nyaqayiy ıkkan maayir vasse axvas əxə.
0114100097	Qiyğa Sarrayk'le eyhen: – İleeke zı yiğne çocus aazır nuk'rayn şekel hele. Hasre mane nuk'rayn gırgınbışik'le val bınah devxhay hagvecen.
01141100a9	İbrıhımee Allahıs düə haa'a, Allaheeyib Avimelekır, mang'una xhunaşşer, mang'un həmbal zəiyfabıb yug qaa'anbı: manbışisse meeb vuxhne aaxvas vəəxənbı.
0114120083	Rəbbee, İbrıhımne xhunaşşel, Sarral-allaniy, Avimelekne xaan gırgın zəiyfabı vuxhne aaxvas dəəxəsınbı xhinnee qav'u.
0115010057	Rəbbee ögiyl uvhuyn xhinne, Sarrays yugvalla haa'ana. Mang'vee huvuyn cuvab aqqaqqan.
0115020049	Allahee uvhuyne gahıl, Sarra vuxhne ayxu, q'əsde İbrıhımıs dix uxu.
0115030040	İbrıhımee Sarrayke ıxhayne dixes I'saq' (əqəna) do giyxhe.
011504006e	Allahee İbrıhımık'le cune əmree uvhuyn xhinne, mang'vee dix, I'saq' ıxhayne molyne yiğıle sunnat ha'a.
011505003a	I'saq' yedike ıxhayng'a, İbrıhımıqa vəş senniy vod.
0115060073	Sarree uvhuyn: – Allahee yizde aq'veeqa əqəna qali'ı! Man g'ayxhıyne gırgıng've zaka sacigee əqəna ha'as!
011507007a	Sarreecad meed eyhen: – Şavaa İbrıhımık'le eyheyiy, ine q'əsvalee zı uşax uxu yic gyoqa'as? Haane, yicıd uxuyn!
0115080079	Uşax xət qıxha, nikneke gyarğılyna. I'saq' nikneke gyarğılyne yiğıl, İbrıhımee xədın otxhun-ulyodğuy hele.
0115090062	Sarrayk'le g'ecen, Misirğançene Haacaree İbrıhımıke uxuyne dixee I'saq'ıle əqənavud ha'a.
01150a00a2	Sarree İbrıhımık'le eyhen: – İna həmbal zəiyfayiy cena dix g'e'eepşe. Mane həmbal zəiyfayne dixes yizde dixes I'saq'ıs xhinne yiğın kar axvas deş.
01150b0060	Mançike İbrıhımee it'umda aq'va givaxana'a, nya'as uvhee, I'smı'ı'lir mang'una dixniy vor.
01150c00e1	Allahee İbrıhımık'le eyhen: – Gadeyliy həmbal zəiyfayl-alla ğu aq'va givaxan hımaa'a. Sarree vak'le eyhene gırgınçil k'ırı alixhxhe. I'smı'ı'like g'abıynbı deş, I'saq'ıke g'abıynbı yiğna nasıl vuxhes.
01150d0049	Mane həmbal zəiyfayne dixeked millet g'alya'as, manar yiğna dixnançe.
01150e00c2	İbrıhım miç'eer çakra suğotsu, gıneyiy sa tuluğ xhinen alyaat'u, Haacarne mıgalqa hele. Qiyğa manayiy uşax mang'vee yəqqı'l aa'a. Haacar əlyhəəme, Beer-Şevayne sahree ileekkana.
01150f0043	Tuluğeedın xhyan g'att'umee, məng'ee dix ğı'ç'iyk avur gya'a.
0115100070	Qiyğar sa avhuyn vuk hixharasdemeena yəq apk'ın, «Dix nəxüriy qek'ava g'ımececenva» uvhu, geeşe giy'ar.
01151100c1	Allahık'le gade geşşe g'iyxhen. Allahne malaaikın xəənçe Haacarılqa onu'u, eyhen: – Haacar vak hucoona ıxha? Qı'meeq'ən, gade gyu'urne cigeençe Allahık'le mana geşşe g'ayxhiyn.
011512004f	Oza qiyxhe, yeera gade xılyaqa alert'e. Zı mang'uke xədın millet g'alya'as.
011513007f	Allahee Haacarın uleppı aaqa, məng'ı'k'le xhinekana kahrız g'ooce. Ark'ın, tuluğ xhinen gyatsts'ı'ı, gadeys ulyoğa'a.
0115140059	Allah mane gadeyka ıxha. Mana xər qıxha, sahree axva, mang'uke yugda vuk ayhena eyxhe.
0115150046	Mana Paranne sahree axva. Yedee mang'us Misirğançe xhunaşşe hee'e.
0115160089	Mane gahıl Avimelekeeyiy mang'une g'oşunne vuk'lel ulyorzulyne Pikolee, İbrıhımık'le eyhen: – Ğu hucooyid he'ee, Allah vaka vor.
01151700d1	Həşde inyaa'ad Allahne ögiyl ğu zas k'ın g'aysre, zasıy zake g'abıynbışis ğu qəlasın ha'as deş. Cuvab hele, zı vaka eyxhena xhinne, ğunar zakayiy ğu axvane cigabışde insanaaşika yugra ixhes.
011518002c	İbrıhımee «Zı k'ın g'iysaranva» eyhe.
0115190053	Avimelekne nukaraaşe avquyne kahrızıl-alla, İbrıhımee Avimelekıs güx haa'a.
01151a007f	Avimelekee eyhen: – Man şava hı'ı ıxhay zak'le ats'a deş. Ğunad zak'le ats'axhxhı'ı deş, man zak'le həşde g'iyxhe.
01151b005f	İbrıhımee çavra-vəq'ə g'əyxı', Avimelekıs hele. Məxüd manbışe cuvab g'ats'ayk'van.
01151c003c	İbrıhımee cune vəq'əbışike yighıble vəq'ə curaa'a.
01151d0058	Avimelekee İbrıhımık'le eyhen: – İna ğu curav'una yighıble vəq'ə nəxbınane?
01151e0075	Mang'vee eyhen: – İna yighıble vəq'ə alept'e, mana kahrız zı alipk'ırva, mana yizda vobva, işaarat ixhecen.
01151f007b	Mançil-allad mang'vee mane cigayn do Beer-Şeva (k'ınena kahrız) giyxhe, manbışde q'öng'eesana maa'ad k'ın g'aysır.
01152000a5	Məxüd Beer-Şevee cuvab g'ats'ayk'van. Mançile qiyğa Avimelekır, mang'une g'oşunne vuk'lel ulyorzulyna Pikolur mançe Filiştinbışde cigabışeeqa siviyk'al.
0115210073	İbrıhımee Beer-Şevee tamariskna yiv oozu, maa'ad Rəbbis, gırgıne gahbışil vorne Allahıs ı'bəədat ha'a.
0115220057	İbrıhım Filiştinbışde cigabışee menne cigabışeençe qarına xhinne geer axva.
0116010077	Sabara gahıle Allahee İbrıhım siliys ı'xı'yxə. Mang'vee «İbrıhımva!» ona'an. İbrıhımee «Hooyva!» eyhe.
01160200b3	Allahee mang'uk'le eyhen: – Vas ıkkanna, vorna-deşda yiğna dix I'saq'ır alyart'u Moriya eyhene cigeeqa hoora. Zı vak'le haagvasde suval, dix gyoxhxhane'e, q'urbanna alle'e.
01160300e4	İbrıhımee çakra miç'eeqana suğotsu cune əməleys palanbı ı'xı'yxə. Mang'vee cukasana q'öyre mek'vna, sayir dix I'saq' ıkkekka. Mang'vee q'urban gyooxhan ha'asın osbıd qaxı, yəq avqaaqana Allahee uvhuyne cigeeqa.
011604005b	Man ciga İbrıhımık'le xhebıd'esde yiğıl, vuk'ul ooqa qav'uyng'a, əq'ənançe g'ece.
011605007f	Mang'vee mek'vunbışik'le eyhen: – Şu əməleyka inyaa aaxve, zı dixeka şaqa ı'qqəs. I'bəədat ha'u, şosqa savk'alas.
0116060097	Q'urban gyooxhan ha'as qaxıyn osbı İbrıhımee cune dixene I'saq'ne mıgalqa hele. Ts'ayiy ç'ikad vucee alyaat'a. Cona q'öyre maqa əlyhəəng'ə,
01160700c8	I'saq'ee dekkık'le İbrıhımık'le eyhen: – Dek! Mang'vee alidghıniy qelen: – Dix, yizın k'ırı val vod. I'saq'ee qiyghanan: – Ts'ayiy osbı vodunbı, saccu q'urbanna beder nençene vuxhes?
0116080063	İbrıhımee eyhen: – Dix, q'urbanna beder Allahee Vucee haagvasda. İnbı sacigee avayk'ananbı.
01160900d2	Manbı qavaylenbı Allahee mang'uk'le uvhuyne cigeeqa. İbrıhımee maa'ad q'urbanbı allya'an ciga ali'ı, çilqad osbı giyk'an. Qiyğar I'saq' ayt'ıl mane q'urbanbı allya'ane cigalyne osbışilqa g'alya'a.
01160a0035	İbrıhımee dix gik'asva xıl hotku ç'ika alyaat'a.
01160b007f	Mane gahıl Rəbbine malaaikee xəybışeençe mang'ulqa ona'an: – İbrıhım, İbrıhım! Mang'vee eyhen: – Zı inyaa vor!
01160c00b3	Malaaikee eyhen: – Gadeyk simet'a! Mang'uk vuççud hıma'a! Həşde zak'le ats'axhxhayn, ğu Allahıle qəyq'ən vor, vaqa vornacar hamana sa dix, vucur ğu Cule qiykkın deş.
01160d009b	İbrıhımee vuk'ul ooqa qav'umee, ğı'ç'ee gaçbı açatxırna sa g'arg g'ooce. İbrıhımee hark'ın mana g'arg qabı, dixene cigee q'urbanna ablyaa'a.
01160e009a	İbrıhımee mane cigayn do Yahve-İre (Rəbbee hagvasın) giyxhe. Mançil-allad həşdilqamee insanaaşe məxüd eyhe: «Vucee Rəbbee suval hagvasın».
01160f0044	Rəbbine malaaikee xəybışeençe İbrıhımılqa onu'u meed eyhen:
0116100071	– Rəbbee inəxüdud eyhe: «Ğu ina iş hav'uva, vornacar sa dix qidiykınva, Zı Yizde doyulen k'ın g'iysar:
01161100ad	Zı vas hək'ebab xayir-düə hevles, yiğna nasıl xəədın xənebımee, deryahne hiqiy-allana g'um xhinne hexxaa'asda. Duşmanaaşin şaharbıd yiğne nasılınbı ixhes.
0116120077	Ğu Yizde cuvabıl k'ırı alixhxhiyl-alla, dyunyeyne gırgıne milletbışe yiğne nasılıke xayir-düə alyapt'as».
0116130084	İbrıhım siyk'alna cuka abıyne mek'vunbışisqa. Mançe manbı sacigee siviyk'alanbı Beer-Şeveeqa. İbrıhım Beer-Şevee axva.
011614007d	Sabara gah ılğevç'uyle qiyğa, İbrıhımık'le eyhen: – Milkayke yed yixha, məng'ee yiğne çocus Naxorus dixbı vuxu:
0116150048	ts'erriyna dix Uts, mang'una çoc Buz, Qemuel (Qemuel Aramna dek eyxhe),
0116160025	Kesed, Xazo, Pildaş, İdlaf, Betuel.
011617005d	(Betuelike yiş Rivq'a yeexhe.) Man molyulle uşax Milkee İbrıhımne çocus Naxorus uxooxa.
0116180062	Reuma donane mang'une həmbal zəiyfeeyib mang'us Tebax, Gaxam, Taxaş, Maaka donan dixbı uxooxa.
011701004c	Sarree vəşşe g'aye yighılle sen ha'a. Məng'ee manimeena ı'mı'r hav'u.
