2800000007	Matouš
2902130089	Nato jim Ježíš řekl: „Cožpak ženichovi přátelé odmítají na svatbě jídlo, když je ženich mezi nimi? To se přece radují,
2902140048	a teprve až je ženich opustí, budou mít důvod ke smutku a k půstu.
29021500fe	Nový život z Boha nelze vtěsnat do tradičních náboženských zvyků a forem, jako se na staré šaty nedá přišít záplata z neseprané látky. Vždyť záplata by se srazila, vytrhla by okolní chatrné tkanivo a díra by se ještě zvětšila.
29021600aa	Nové, bouřlivé víno také nedáváte do měchů ze staré kůže; ty by popraskaly a obojí by přišlo nazmar. Nové víno potřebuje nové, nezpuchřelé měchy.“
2902170084	Jednou v sobotu procházel Ježíš se svými učedníky obilným polem. Protože měli hlad, trhali učedníci klasy a jedli zrní.
2902180097	Farizejové to uviděli a vytýkali Ježíšovi: „Proč to dělají? Vždyť náš Zákon přece zakazuje v sobotu pracovat, a oni trhají obilí!“
2902190120	Ježíš na to odpověděl: „Nikdy jste nečetli, co udělal král David a jeho družina, když měli na útěku hlad? Neslyšeli jste o tom, jak vešli do Božího chrámu – nejvyšším knězem byl tehdy Ebjátar – a jedli posvátné chleby, které směli jíst pouze kněží?“
29021b006c	A potom ještě dodal: „Sobotní klid má přece sloužit člověku, a ne aby předpisy lidi zotročovaly.
29021c006d	Já, jako Syn člověka, který přišel z nebe, stojím nade všemi zákony, i nad dodržováním soboty.“
290301007e	Když opět přišel Ježíš do synagogy, spatřil tam člověka, který měl bezvládnou ruku. Protože byla právě sobota,
29030200b2	Ježíšovi nepřátelé napjatě sledovali, co učiní. Jestliže ho uzdraví, bude to vítaná příležitost, jak jej obžalovat z rušení předepsaného svátečního klidu.
2903030057	A opravdu, Ježíš vyzval postiženého, aby předstoupil před celé shromáždění,
29030400d5	a pak položil ostatním otázku: „Co se smí v sobotu? Mohou se konat dobré skutky, nebo se má páchat zlo? Je možné zachránit život, nebo jej zničit?“ Na tyto otázky se nikdo neodvážil odpovědět.
290305010c	Jejich mlčení Ježíše naplnilo spravedlivým hněvem, jejich lhostejnost k lidskému utrpení ho roztrpčila. Přeměřil si je přísným pohledem a potom se obrátil k postiženému. „Natáhni tu ruku!“ řekl mu. On to učinil, a ejhle – ruka byla zdravá.
2903060070	Farizejové opustili synagogu a šli se domlouvat s přívrženci krále Heroda na tom, jak Ježíše odstranit.
2903070079	Ježíš se opět se svými učedníky uchýlil k jezeru. Znovu jej následovaly zástupy lidí z celé Galileje, Judska,
29030800ea	Jeruzaléma, Idumeje a Zajordání, ba dokonce přišli i lidé z okolních pohanských měst Týru a Sidónu. Široko daleko se roznesly zprávy o jeho zázracích a velmi mnoho lidí se o nich chtělo přesvědčit na vlastní oči.
2903090089	Ježíš požádal své učedníky, aby pro něj měli připravenu loďku, na kterou by se mohl uchýlit, kdyby ho dav příliš tísnil.
29030a0067	Mnoho nemocných už totiž uzdravil a další se k němu přímo vrhali, jen aby se ho mohli dotknout.
29030b0073	A když ho spatřili ti, kdo byli posedlí démonem, padali před ním na zem a křičeli: „Ty jsi Boží Syn!“
29030c0045	On je však rázně umlčoval, protože nestál o jejich svědectví.
29030d006c	Potom k sobě zavolal ty, které si vybral pro zvláštní svědecké poslání, a vystoupil s nimi na horu.
29030e006c	Z nich pak ustanovil dvanáct, kteří ho měli všude doprovázet a které bude posílat samostatně kázat
29030f000d	a uzdravovat.
290310002e	Byli to: Šimon, kterému přidal jméno Petr,
2903110051	Jakub a Jan – synové Zebedeovi, kterým někdy říkával „synové hromu“,
290312005b	Ondřej, Filip, Bartoloměj, Matouš, Tomáš, Jakub Alfeův, Tadeáš, Šimon Kenaanský a
2903130031	Jidáš Iškariotský, který ho později zradil.
290314007f	Když se Ježíš vrátil domů, lidé se k němu začali znovu scházet a brzy jich bylo tolik, že se ani neměl kde najíst.
2903150092	Jeho příbuzní uslyšeli, co se děje, a tak se vypravili za ním, aby ho přinutili k návratu domů; domnívali se, že ztratil zdravý rozum.
29031600d2	Židovští náboženští učitelé, kteří přišli z Jeruzaléma, dokonce tvrdili, že Ježíš je posedlý Belzebubem, králem všech démonů. Jen proto prý ho ďáblové poslouchají, když je vyhání.
2903170084	Ježíš je pozval k sobě a vyvracel tyto pomluvy. Aby mu všichni rozuměli, použil příklad: „Jak může satan vyhnat satana?
2903180041	Království, které je vnitřně rozdělené, se musí zhroutit.
290319003c	Také rodina, kde je svár a nejednota, se nakonec rozpadne.
29031a0067	A jestliže satan bojuje sám proti sobě, jak může něco dokázat? Nutně musí přijít jeho konec.
29031b0098	Chce-li někdo vniknout do domu siláka a zmocnit se jeho věcí, musí ho nejprve spoutat. Tak i démony může vyhánět jen ten, kdo přemohl satana.
29031c0090	Ujišťuji vás o jednom: všechno může být lidem odpuštěno, i když se v nevědomosti Bohu rouhají a hrubě ho urážejí slovy i skutky.
29031d00c0	Když ovšem někdo v zatvrzelosti odmítá Boží zách-rannou moc a přitom ví, co odmítá, takový člověk se rouhá Du-chu svatému. A to je hřích, který nemůže být odpuštěn.“
29031e008c	To jim Ježíš řekl proto, že jeho činy úmyslně připisovali satanově moci, místo aby přiznali, že uzdravuje mocí Ducha svatého.
29031f0088	Tehdy přišli k přeplněnému stavení, kde Ježíš učil, také jeho bratři s matkou a vzkázali mu, že s ním potřebují mluvit.
2903200074	Sedělo kolem něj plno lidí, když mu kdosi oznámil: „Tvoje matka a tvoji bratři jsou venku a hledají tě.“
2903210078	Ježíš věděl, s jakým záměrem rodina přichází, a proto řekl: „Kdo je má matka? A kdo jsou moji bratři?“
2903220075	Rozhlédl se po těch, kteří mu dychtivě naslouchali, a řekl: „Hle, tady je má matka a tady jsou moji bratři.
2903230053	Každý, kdo jedná podle Boží vůle, je můj bratr, moje sestra i moje matka.“
29040100aa	Jednou Ježíš opět učil na břehu jezera. A protože se kolem něho znovu shromáždily davy lidí, nastoupil do člunu a odtud mluvil k těm, kteří byli na břehu.
2904020066	Ježíš své učení často vkládal do zvláštních obrazů – podobenství. Toto je jedno z nich:
2904030042	„Poslouchejte! Jeden rolník se vydal na pole, aby zasel obilí.
290404006a	Ne každé zrno však padlo na vhodnou půdu. Některá se dostala na okraj cesty, kde je sezobali ptáci.
2904050030	Jiná padla na skálu, kde bylo jen málo půdy.
2904060088	Tam sice zrna brzy vyklíčila, ale ve slunečním žáru osení uschlo, protože kořínky v mělké vrstvě země neměly dost vláhy.
2904070067	Jiná zrna zapadla mezi bodláčí, které záhy mladé rostlinky udusilo, takže ani nenasadily klasy.
2904080087	Ovšem to zrní, které padlo do úrodné půdy, přineslo třicetinásobný, jiné dokonce šedesáti – až stonásobný užitek.“
2904090059	„Kdo má uši k naslouchání, ten ať poslouchá a přemýšlí,“ uzavřel Ježíš.
29040a0073	Později, když byl sám se svými dvanácti učedníky, ptali se ho: „Jak máme tvým podobenstvím rozumět?“
29040b00c7	„Vy, kteří mi býváte nablízku,“ odpověděl, „jste už pochopili mnohé z tajemství Božího království. Ale těm, co jsou ještě opodál, se to snažím vysvětlovat v podobenstvích.
29040c00a8	Je však o nich psáno v proroctví: Dívají se, a nevidí, poslouchají, a přece nerozumějí, a tak nejsou ochotni obrátit se k Bohu, aby jim odpustil jejich viny.
29040d007e	Jestliže ovšem ani vy nechápete tento jednoduchý obraz, jak potom porozumíte všem dalším, které vám chci vyprávět?
29040e00a2	Zde je tedy výklad: Tím rolníkem, o kterém jsem mluvil, je každý, kdo lidem přináší Boží poselství, aby je zasel do jejich života jako dobrou setbu.
29040f0089	Srdce některých posluchačů je tvrdé jako ušlapaná cesta. Satan okamžitě přichází a usiluje o to, aby zapomněli, co slyšeli.
2904100070	Mělká skalnatá půda představuje srdce nestálých lidí. Boží poselství vyslechnou a radostně přijmou,
2904110089	jsou však povrchní a slovo u nich nepronikne do hloubky. I když si zpočátku vedou dobře, odpadají, jakmile mají pro víru trpět.
290412006a	Půda zaplevelená bodláčím je obrazem lidí, kteří dobrou Boží zprávu sice vyslechnou a přijmou,
290413007c	ale všední starosti, záliba v majetku a touha po blahobytu Boží poselství v srdci udusí, takže zůstane bez užitku.
29041400aa	Úrodné půdě se podobají ti, kteří bez výhrad přijímají Boží zvěst, a proto mohou přinést bohatou sklizeň – někteří dokonce mimořádnou sklizeň.“
29041500a3	„Když někdo z vás rozsvítí lampu, zakryje ji snad nádobou nebo ji strčí pod postel, aby zakryl její světlo? Určitě ne! Umístí ji tak, aby svítila.
29041600cf	Všechno, co je dosud skryto, vyjde najevo a tomu, co je nesrozumitelné, bude porozuměno. Dobře poslouchejte, co vám říkám. Kolik jste ochotni přijmout, tolik dostanete a ještě vám bude přidáno.
2904190059	Kdo už něco pochopil, porozumí ještě víc; kdo o to nestojí, přijde o všechno.“
29041a007c	Dále Ježíš vyprávěl jiné podobenství: „S Božím královstvím je to jako s rolníkem, který oseje pole a odejde.
29041b006a	Dny plynou, zrno vyklíčí a roste ve dne v noci, aniž by se o ně musel nějak starat nebo mu pomáhat.
29041c006e	Půda sama dává semenu, co potřebuje k růstu. Nejdříve vzejde klíček, pak vyroste stéblo, potom klas.
29041d0045	A když v něm nakonec dozraje zrno, přijde rolník a sklidí je.“
29041e005c	„Jak ještě znázornit Boží království? K čemu ho přirovnat?“ uvažoval Ježíš.
29041f002c	„Je to s ním jako se seménkem hořčice.
290420008e	To sice patří mezi nejmenší semena, ale vyroste z něho největší bylina na poli. Na jejích větvích mohou dokonce hnízdit ptáci.“
2904210058	Ještě mnoho podobných obrazů Ježíš použil, aby lidem přiblížil svoje učení.
2904220090	Když mluvil veřejně, používal výhradně přirovnání. Když však potom býval se svými učedníky o samotě, všechno jim vysvětloval.
2904230060	K večeru toho dne vyzval Ježíš své učedníky: „Přeplavme se na druhou stranu jezera.“
2904240078	Odrazili tedy s lodí, ve které seděl, a vzdalovali se od zástupů na břehu. Několik člunů však vyplulo za nimi.
290425006a	Zanedlouho se strhla silná větrná bouře. Vysoké vlny dorážely na člun a ten se začal plnit vodou.
2904260088	Ježíš však klidně spal na zádi, s poduškou pod hlavou. Učedníci ho probudili: „Mistře, tobě je jedno, že se potápíme?“
290427007e	Ježíš vstal, okřikl vítr a poručil vlnám: „Uklidněte se!“ V tu chvíli se vítr utišil a kolem se rozhostil klid.
2904280062	Pak se Ježíš obrátil na učedníky: „Proč jste se tolik báli? Copak mi nedůvěřujete?“
2904290072	Byli tím vším ohromeni a ptali se jeden druhého: „Kdo to jen může být, že ho poslouchá vítr i voda?“
290501003e	Na protějším břehu jezera přistáli v gerasenském kraji.
2905020068	Jakmile Ježíš vystoupil ze člunu, přiběhl k němu nějaký člověk. Byl to muž posedlý démony,
2905030035	který žil ve starých hrobech vytesaných do skály
29050400b0	a měl takovou sílu, že když ho spoutali okovy na nohou a řetězy na rukou, pouta vždycky rozlámal a řetězy roztrhal. Nenašel se nikdo tak silný, aby ho mohl zkrotit.
2905050068	Ve dne i v noci se skrýval v hrobech a toulal se po okolních pahorcích, skučel a tloukl se kamením.
2905060122	Když teď uviděl Ježíše, přiběhl a vrhl se před ním na zem. Ve chvíli, kdy Ježíš přikazoval démonovi, aby posedlého muže opustil, začal onen ubožák křičet: „Co si mne všímáš, Ježíši, Synu Boha nejvyššího? Zapřísahám tě při Bohu, nech mne na pokoji!“
2905090072	„Jak se jmenuješ?“ zeptal se Ježíš. „Zástup, protože je nás v tomto těle mnoho,“ zněla odpověď.
29050a003a	A potom démoni žadonili, aby je neposílal nikam daleko.
29050b003c	Na stráni nad pobřežím se právě páslo stádo vepřů.
29050c0032	„Pošli nás do těch prasat,“ volali démoni.
29050d00b8	Ježíš svolil a nečistí duchové vjeli do zvířat. Vzápětí se to velké, asi dvoutisícové stádo splašilo a hnalo se po stráni dolů k jezeru, vběhlo do vody a utopilo se.
29050e009e	Pasáci těch vepřů utekli do města a cestou všude rozhlašovali, co se stalo. Každý, kdo je uslyšel, spěchal se o tom přesvědčit na vlastní oči.
29050f008d	A tak se kolem Ježíše shromáždilo mnoho lidí. Když viděli uzdraveného muže, jak sedí oblečený a chová se rozumně, polekali se.
2905100070	Ti, kteří byli svědky celé události, jim totiž vyprávěli, co se událo s mužem a kam se poděli vepři.
290511004c	A tak začali všichni Ježíše prosit, aby z jejich kraje raději odešel.
290512004f	Nastoupil tedy zase do člunu. Uzdravený muž ho prosil, aby mohl jít s ním.
2905130090	Ježíš však odmítl: „Jdi domů ke své rodině a řekni všem známým, jaké dobrodiní ti Bůh prokázal a jak se nad tebou slitoval.“
290514008e	Ten člověk tedy v celém tom kraji zvaném Desítiměstí vyprávěl, jak velké dobrodiní mu prokázal Ježíš. A každý nad tím žasl.
2905150069	Když se Ježíš znovu vrátil na galilejský břeh, sešel se kolem něho zase obrovský zástup lidí.
2905160043	Přišel i představený místní synagogy Jairos, klekl před ním
2905170056	a úpěnlivě ho prosil: „Moje dceruška umírá. Pojď a zachraň ji, aby žila.“
2905180063	Ježíš tedy šel s ním. Také zástup se vydal s nimi a tlačil se na Ježíše ze všech stran.
2905190045	V davu byla jedna žena, která už dvanáct let trpěla krvácením.
29051a0082	Mnoho lékařů na ní zkoušelo své umění. Stálo ji to celé jmění, ale nebylo to nic platné, nemoc se stále zhoršovala.
29051b00a0	Až jednou se doslechla o Ježíšovi a jeho zázračné moci, a tak ho hledala s myšlenkou: „Když si jen sáhnu na jeho plášť, určitě se uzdravím.“
29051d005e	A opravdu! Jakmile se ho dotkla, krvácení přestalo a žena cítila, že je nadobro zdravá.
29051e0085	Ježíš ovšem ihned poznal, že z něho vyšla uzdravující síla, otočil se a otázal se: „Kdo se to dotkl mého pláště?“
29051f005e	Jeho učedníci se divili: „Všichni se na tebe tlačí a ty se ptáš, kdo se tě dotkl?“
2905200035	Ale Ježíš se rozhlížel, aby zjistil, kdo to byl.
2905210069	Žena, celá rozechvělá tím, co se s ní událo, padla mu k nohám a všechno mu pravdivě pověděla.
2905220073	On ji ujistil: „Dcero, tvá víra tě uzdravila. Můžeš klidně jít, protože nemoc tě už nebude trápit.“
29052300ba	Když s ní ještě mluvil, dorazili poslové z Jairova domu se zprávou, že již je pozdě shánět pomoc. „Tvá dcera právě umřela, už Mistra neobtěžuj,“ oznamovali Jairovi.
29052400d2	Jako by nic neslyšel, obrátil se Ježíš k Jairovi a řekl mu: „Jen se neboj a důvěřuj mi!“ Do Jairova domu s sebou vzal pouze Petra, Jakuba a jeho bratra Jana. Ostatní požádal, aby zůstali venku.
290526007d	Dům byl plný hlasitého pláče a nářku. „K čemu ten pláč a rozruch? Vždyť to děvče není mrtvé, jenom spí!“
2905280077	Vysmáli se mu. Vykázal všechny kromě rodičů a svých tří učedníků. Vešli do místnosti, kde dívka ležela.
2905290042	Vzal ji za ruku a řekl: „Děvčátko, přikazuji ti, vstaň!“
29052a0047	Dvanáctiletá dívka vstala a chodila. Přítomní oněměli úžasem.
29052b0078	Ježíš jim důrazně nařídil, aby nikomu nevypravovali, co se stalo. „Dejte jí najíst,“ připomněl rodičům.
290601004b	Pak se Ježíš s učedníky vrátil do svého domovského města Nazaretu.
29060200cb	Když přišla sobota, kázal v tamější synagoze, kde mu naslouchalo mnoho lidí. Všichni žasli a říkali si: „Kdepak se to naučil? Kde se u něho vzala ta moudrost? A dokonce dělá i zázraky!
29060300ca	Známe ho přece jako tesaře, syna Marie. Jeho bratři jsou Jakub, Josef, Juda a Šimon. A také jeho sestry žijí mezi námi.“ Nemohli se s tím prostě vyrovnat, dokonce se nad tím pohor-šovali.
2906040082	Ježíš jen poznamenal: „Nikde prorok neznamená tak málo, jako ve vlastní obci a rodině.“ Jejich nedůvěra ho zarmoutila
290605009a	a nemohl tam učinit žádný zázrak; jen na několik nemocných položil ruku a uzdravil je. Rozhodl se, že se obrátí k lidem v okolních vesnicích.
2906070090	Potom svolal svých dvanáct učedníků, vysílal je po dvojicích do okolních vesnic a propůjčil jim schopnost osvobozovat lidi z moci zla.
2906080095	Nakázal jim, aby si na cestu kromě hole nic nebrali: žádný chléb, žádná zavazadla, žádné peníze, dokonce ani náhradní obuv nebo šaty.
29060a005a	„V každé vesnici se ubytujte na jediném místě, a to tam, kde vás nejprve přijmou.
29060b0095	Když vás někde nebudou chtít přijmout ani vyslechnout, jděte pryč a vyklepejte i ten jejich prach ze svých bot; ať mají, co jim patří.“
29060c0081	Vydali se tedy na cesty a všude vyzývali, aby lidé zanechali svých zlých činů, litovali jich a začali žít nový život.
29060d003f	Vyháněli démony, nemocné potírali olejem a uzdravovali je.
29060e00b0	Ježíšův věhlas se šířil a zprávy o něm se donesly až k uším krále Heroda. Někteří lidé říkali, že to ožil Jan Křtitel, proto prý koná takové zázraky.
29060f00a7	Jiní se zase domnívali, že znovu přišel dávný prorok Elijáš, a další byli přesvědčeni, že prostě povstal nový prorok, jak tomu bývalo za starodávna.
2906100082	Sám Herodes, když se o Ježíši dozvěděl, se polekal: „Je to Jan, kterého jsem dal popravit. Určitě vstal z mrtvých.“
2906110041	Král dal již dříve Jana zatknout a uvěznil ho ve své tvrzi.
2906120054	Jan mu totiž vytýkal, že odloudil vlastnímu bratru Filipovi manželku Herodiadu.
290613007c	Ta Jana Křtitele za to nenáviděla a ukládala mu o ivot, bez králova souhlasu se však neodvažovala dát ho zavraždit.
29061400eb	Věděla, že Herodes si ho vážil jako spravedlivého a svatého člověka a držel nad ním ochrannou ruku. Rozhovory s ním ho sice vždycky jaksi znepokojovaly, ale přesto mu rád naslouchal a někdy se podle jeho slov i řídil.
29061500b0	Herodiadě se naskytla příležitost Jana odstranit, když král na oslavu svých narozenin uspořádal hostinu pro své dvořany, důstojnictvo a vedoucí osobnosti Galileje.
290616004c	Dcera Herodiady při banketu tančila před hosty a všem se velice líbila.
29061700ac	Král byl tak okouzlen, že jí pošetile slíbil splnit jakékoliv přání, i kdyby to měla být polovina království. Dokonce to přede všemi slavnostně odpřisáhl.
290618005a	Šla se tedy poradit se svou matkou a ta ji navedla, aby si řekla o hlavu Jana Křtitele.
2906190086	Rychle se vrátila ke králi a přednesla mu své přání: „Chci, abys mi hned teď dal přinést mísu s hlavou Jana Křtitele.“
29061a0060	Král tím byl otřesen, ale neměl odvahu odvolat, co přede všemi hosty tak okázale slíbil.
29061b002d	Poslal tedy do vězení kata, aby Jana sťal.
29061c0053	Kat rozkaz splnil a na míse přinesl Janovu hlavu. Děvče ji předalo své matce.
29061d0050	Když se to doslechli Janovi učedníci, přišli pro jeho tělo a pohřbili ho.
29061e0095	Apoštolové se vrátili z cest a znovu se sešli u Ježíše. Vyprávěli mu o všem, co dělali a o čem hovořili s lidmi, se kterými se setkali.
29061f00a5	Ježíš jim navrhl: „Pojďme na chvíli někam do ústraní a odpočiňme si.“ Stále totiž měli kolem sebe tolik lidí, že jim sotva zbýval čas na jídlo.
2906200025	Odjeli tedy lodí na odlehlé místo.
290621006f	Lidé je však viděli odplouvat, nadeběhli si je po břehu, a než loďka přirazila, už tam na ně čekali.
2906220090	Když Ježíš vystoupil a uviděl znovu veliký zástup, bylo mu jich líto, protože byli jako ovce bez pastýře. Začal je tedy opět učit.
29062300a3	Později odpoledne mu jeho učedníci připomínali: „Už bys je měl poslat domů. Tady se široko daleko nedá koupit nic k jídlu a za chvíli bude večer.“
290625009c	„Tak jim dejte najíst vy!“ navrhl Ježíš. „Kde bychom vzali tolik jídla,“ namítali, „to by stálo pěkné peníze nakrmit takový zástup.“
29062600a1	„Kolik tu mají lidé potravin? Jděte a zjistěte to!“ požádal Ježíš. „Všeho všudy jen pět chlebů a dvě ryby,“ hlásili mu, když se vrátili.
290627003c	Vyzval je, aby se posadili po padesáti na travnatá místa.
290628001d	Vzniklo sto takových skupin.
290629008e	Potom vzal těch pět chlebů a dvě ryby a poděkoval za ně Bohu. Lámal je na kusy a předával učedníkům, aby jídlo roznášeli lidem.
29062a001e	Tak se všichni najedli dosyta
29062b0038	a ještě se sesbíralo dvanáct plných košů zbytků.
29062c002f	Těch, kteří se najedli, bylo na pět tisíc.
29062d0113	Hned nato nařídil Ježíš svým učedníkům, aby nasedli na loď a vyrazili přes jezero do Betsaidy. Sám se rozhodl vydat se na cestu o něco později, protože se chtěl ještě s lidmi rozloučit a poslat je domů. Potom vystoupil na blízkou horu, aby se tam modlil.
29062f004b	Noc míjela, loď byla někde uprostřed jezera a on sám ještě na hoře.
29063000c0	Za ranního svítání viděl, že jeho učeníci stále ještě namáhavě veslují proti větru. Vydal se za nimi po hladině jezera. Přiblížil se až k lodi a chtěl kolem nich přejít.
2906310064	Když ho spatřili kráčet po vodě, začali křičet hrůzou, protože ho pokládali za přízrak.
290632003f	On je však uklidňoval: „Nebojte se, vždyť jsem to já!“
2906330056	Pak vstoupil k nim do člunu a vítr hned ustal. Dlouho se z toho nemohli vzpamatovat.
290634005a	Nechápali ještě, že když Ježíš může rozmnožit chléb, má moc i nad přírodou.
2906350068	Potom přistáli u nejbližšího břehu, v oblasti, která se nazývala stejně jako jezero: Genezaret.
2906360069	Sotva vystoupili z lodi, lidé hned Ježíše poznali a po celém okolí se rozkřiklo, že sem připlul.
2906370051	Ať Ježíš odešel kamkoliv, z celé té krajiny k němu přinášeli nemocné.
29063800e3	Všude, kam přišel, ve vesnicích, městech i venku na samotách, kladli na volně přístupná místa nemocné. Prosili ho, aby se mohli dotknout alespoň cípu jeho šatů. A každý, kdo se ho s vírou dotkl, byl uzdraven.
290701004c	Jednou za Ježíšem přišli z Jeruzaléma farizejové a učitelé zákona.
2907020077	Všimli si, že jeho učedníci nedodržují obřad umývání rukou před jídlem a tak porušují židovskou tradici.
290703008e	Židé a zvláště znalci zákona úzkostlivě lpěli na zvycích svých předků a nedotkli se jídla dříve, než si pečlivě umyli ruce.
29070400e5	A když přišli z trhu, vždy se umyli celí, než se pustili do přípravy pokrmů. Stejně pečliví byli i při omývání číší, džbánů a kuchyňského nádobí. Už po staletí dodržovali mnoho podobných předpisů.
290705007d	Teď tedy dotírali na Ježíše: „Proč tvoji učedníci nedodržují zvyky našich předků a jedí neumytýma rukama?“
290706006f	„Pokrytci!“ odrazil je. „Pravdivě o vás řekl Izajáš: ‚Ústa mají plná Boha, ale srdce prázdné.
290707004b	Jejich obřady jsou k ničemu, jejich učení nic než lidské výmysly.‘
290708004a	Opomíjíte skutečné Boží příkazy a nahrazujete je svými předpisy.
2907090043	Vždyť vy vlastně rušíte Boží zákon ve jménu svých tradic.
29070a00d9	Tak například Mojžíš vám tlumočil toto přikázání Božího zákona: ‚Měj v úctě svého otce i svou matku.‘ K tomu dodal, že každý, kdo by třeba jen nadával svým rodičům, propadá trestu smrti.
29070b00f4	Vy však připouštíte, aby člověk zanedbával své rodiče, kteří potřebují pomoc, jestliže má výmluvu: ‚Nemohu se o vás postarat, protože to, co z mého výdělku mělo patřit vám, jsem odevzdal jako příspěvek v chrámu.‘
29070d0057	Tak stavíte svoje názory nad Boží zákon. A to je jenom jeden příklad z mnoha.“
29070e0030	Pak k sobě přivolal zástup lidí a řekl jim:
29070f00c9	„Poslouchejte mě a snažte se porozumět. To, co sníte, nemůže nijak ublížit vaší duši; ničíte ji však, když se zabýváte nečistými a zlými myšlenkami a šíříte je kolem sebe.“
290711007f	Když potom vešel do nějakého domu, aby si odpočinul, začali se ho učedníci vyptávat na význam toho, co právě řekl.
2907120075	„Ani vy tomu nerozumíte?“ divil se Ježíš. „Nechápete, že duši člověka nemůže uškodit to, co snědl?
290713004e	Vždyť jídlo neznečišťuje nitro; projde jen žaludkem a vychází ven.“
2907140045	K tomu připojil: „Člověku škodí to, co pochází z jeho nitra.
2907150029	Tam se líhnou zlé myšlenky, necudnost,
2907160079	nevěra, krádež, vražda, sobectví, zlost, podlost, sprostota, závist, urážky, pýcha a všelijaké výstřednosti.
290717004b	To je to zlo, které vychází z nitra člověka a odděluje ho od Boha.“
29071800ba	Když opustil Ježíš Galileu, odešel na sever do pohanské Fénicie, kde se ubytoval v jednom domě. Chtěl utajit svou přítomnost, ale bylo to marné; už se o něm vědělo i tam.
290719002d	Tak o něm uslyšela i jedna Syroféničanka.
29071a0045	Přišla a prosila ho na kolenou, aby uzdravil její pomatenou dceru.
29071b00bc	Ježíš jí odpověděl: „Přišel jsem především pro ty, kdo se hlásí k živému Bohu. Nech nejprve najíst děti. Nebylo by správné vzít jim jídlo a hodit je štěňatům.“
29071c006b	Žena se však nevzdala: „To je pravda, Pane, ale i štěňata sbírají pod stolem, co dětem upadne.“
29071d0057	„Když to vidíš tak,“ řekl jí, „jdi klidně domů, tvoje dcera je zdravá.“
29071e0055	Vrátila se tedy domů, kde nalezla dítě, jak klidně spí, beze stopy pomatenosti.
29071f0076	Z Fénicie se Ježíš vracel velikou oklikou zpět ke Genezaretskému jezeru, až se ocitl na území Desítiměstí.
2907200058	Tamější lidé k němu přivedli hluchoněmého člověka a žádali, aby ho uzdravil.
290721009d	Ježíš si vzal muže stranou od zástupu. Nasliněným prstem se dotkl jeho jazyka a vložil mu své prsty do uší. (To byla jeho řeč k hluchoněmému.)
290722003c	Pak se Ježíš krátce pomodlil a zvolal: „Otevři se!“
2907230039	V té chvíli začal muž slyšet a srozumitelně mluvit.
29072400c0	Pak Ježíš žádal všechny shromážděné, aby se o tom nikomu nezmiňovali; ale čím více jim to zakazoval, tím více o tom mluvili, protože se s něčím podobným ještě nesetkali.
2907250070	Lidé žasli a říkali: „To už je schopen napravit všechno, když hluchým vrací sluch a němým řeč.“
29080100a7	Opět se kolem Ježíše shromáždilo velké množství lidí. Byli s ním tak dlouho, že dojedli své zásoby. Ježíš si svolal učedníky, aby se o tom poradili.
2908020055	„Je mi líto těch lidí,“ řekl. „Jsou zde již tři dny a nemají co do úst.
290803005a	Když je pošlu domů bez jídla, cesta je vyčerpá. Vždyť někteří bydlí daleko.“
2908040062	„Chceš snad, abychom jim tady v té pustině sháněli něco k jídlu?“ ulekli se učedníci.
2908050048	„Kolik chlebů máte?“ zeptal se Ježíš. „Sedm,“ odpověděli.
29080600bf	Nato řekl všem shromážděným, aby se posadili na zem. Vzal těch sedm chlebů, děkoval za ně Bohu, ulamoval z nich a dával svým učedníkům, kteří je rozdělovali všem ostatním.
290807007a	Měli ještě několik malých ryb, za které Ježíš také Bohu poděkoval a dal je učedníkům, aby je opět roznesli.
29080800b3	Všichni se dosyta najedli; bylo jich tentokrát asi čtyři tisíce. Když potom posbírali zbytky nalámaných chlebů, naplnili jimi sedm košů. Pak Ježíš poslal lidi domů
29080a0056	a sám se svými učedníky nastoupil na loďku a přeplavili se k městečku Magdala.
29080b00d1	Když se o Ježíšově příchodu dověděli tamější farizejové, přišli k němu a začali na něj dotírat: „Udělej nějaký zázrak! Prokaž se nějakým božským znamením, a pak ti uvěříme.“
29080c0079	„Kolik zázraků a znamení byste ještě chtěli?“ povzdechl si Ježíš. „Stejně byste ani potom neuvěřili.“
29080d0040	Nechal je, nastoupil s učedníky znovu do loďky a pluli jinam.
29080e005e	Protože se zapomněli postarat o doplnění zásob, měli s sebou jen jednu chlebovou placku.
29080f006b	Během plavby jim Ježíš vážně kladl na srdce: „Dejte si pozor na farizejský a herodovský kvas!“
2908100042	Tu si uvědomili, že nemají dost chleba. Neřešitelná situace!
290811007d	Ježíš zaslechl, co je znepokojuje. „Co se staráte o jídlo? Ještě pořád vám nic nedošlo? To jste tak nechápaví?
2908120050	‚Oči mají a nevidí, uši mají a neslyší.‘ Cožpak si nic nepamatujete?
2908130078	Co těch pět tisíc, které jsem nasytil pěti chleby? A kolik košů jste nasbírali?“ „Dvanáct,“ odpověděli.
29081400be	„A když jsem nasytil čtyři tisíce pouhými sedmi chleby, kolik ještě zbylo? Vzpomínáte si?“ „Sedm plných košů,“ přiznali. „Tak vidíte – ještě vám to nestačí?“
290816005e	Když dorazili do Betsaidy, přivedli k němu slepce s prosbou, aby ho svým dotekem uzdravil.
