0100000012	يارىتىلىش
06110201ae	ماناسسەھنىڭ قالغان ئەۋلادلىرىمۇ، جۈملىدىن ئابىئېزەرلەر، ھەلەكلەر، ئاسرىئەللەر، شەكەملەر، ھەفەرلەر بىلەن شېمىدالار ئۆز جەمەت-ئائىلىلىرى بويىچە مىراس ئۈلۈشىنى ئالدى. بۇلار بولسا يۈسۈپنىڭ ئوغلى ماناسسەھنىڭ ئەر جەمەت ئائىلىلىرى ئىدى.
061103019b	ئەمدى ماناسسەھنىڭ چەۋرىسى، ماكىرنىڭ ئەۋرىسى، گىلېئادنىڭ نەۋرىسى، ھەفەرنىڭ ئوغلى زەلوفىھادنىڭ ئوغۇل پەرزەنتلىرى يوق بولۇپ، پەقەت قىزلىرىلا بار ئىدى. ئۇنىڭ قىزلىرىنىڭ ئىسىملىرى ماھلاھ، نوئاھ، ھوگلاھ، مىلكاھ ۋە تىرزاھ ئىدى.
061104021f	ئۇلار كاھىن ئەلىئازار بىلەن نۇننىڭ ئوغلى يەشۇئا ۋە ئەمىرلەرنىڭ قېشىغا بېرىپ ئۇلارغا: ــ پەرۋەردىگار مۇساغا بىز توغرۇلۇق قېرىنداشلىرىمىز قاتارىدا مىراس بېرىشكە ئەمر قىلغانىدى، دېدى. شۇنى دېۋىدى، [يەشۇئا] پەرۋەردىگارنىڭ ئەمرى بويىچە ئۇلارنىڭ ئاتىسىنىڭ قېرىنداشلىرى قاتارىدا ئۇلارغا مىراس بەردى.
06110500e7	بۇنىڭ بىلەن ئىئوردان دەرياسىنىڭ ئۇ تەرىپىدىكى گىلېئاد بىلەن باشان زېمىنلىرىدىن باشقا، ماناسسەھكە يەنە ئون ئۈلۈش يەر بېرىلدى.
06110600ff	چۈنكى ماناسسەھنىڭ قىزلىرى ئۇنىڭ ئوغۇللىرىنىڭ قاتارىدا مىراسقا ئىگە بولغانىدى؛ گىلېئاد زېمىنى ماناسسەھنىڭ قالغان ئەۋلادلىرىغا تەگكەنىدى.
0611070143	ماناسسەھنىڭ زېمىنىنىڭ چېگرىسى بولسا ئاشىردىن تارتىپ شەكەمنىڭ ئۇتتۇرىدىكى مىكمىتاتقا بېرىپ، ئاندىن جەنۇب تەرىپىگە قايرىلىپ، ئەن-تاپپۇئاھدا تۇرغۇچىلارنىڭ جايىغىچە تۇتىشاتتى.
06110800e2	چۈنكى تاپپۇئاھنىڭ زېمىنى بولسا ماناسسەھكە تەگكەنىدى؛ لېكىن ماناسسەھنىڭ چېگرىسىدىكى تاپپۇئاھ شەھىرى ئەفرائىمغا تەۋە ئىدى.
06110901c5	چېگرىسى ئۇ يەردىن كاناھ ئېقىنىغا چۈشۈپ، جىلغىنىڭ جەنۇب تەرىپى بىلەن چىقتى. ئۇ يەردىكى شەھەرلەر بولسا ماناسسەھنىڭ شەھەرلىرىنىڭ ئارىسىدا بولسىمۇ، ئەفرائىمغا تەگدى. ماناسسەھنىڭ چېگرىسى جىلغىنىڭ شىمال تەرىپى بىلەن بېرىپ دېڭىزغا يېتىپ ئاخىرلىشاتتى.
06110a01a9	جىلغىنىڭ جەنۇب تەرىپىدىكى زېمىن ئەفرائىمغا، شىمال تەرىپىدىكى زېمىن ماناسسەھكە تەۋە ئىدى؛ غەرب تەرىپىنىڭ چېگرىسى دېڭىز ئىدى. ئۇلارنىڭ زېمىنى شىمال تەرىپىدە ئاشىرنىڭ ئۈلۈشىگىچە يېتىپ، شەرق تەرىپى ئىسساكارنىڭ ئۈلۈشىگە تۇتاشقانىدى.
06110b02b4	ماناسسەھكىمۇ ئىسساكار بىلەن ئاشىرنىڭ ئۈلۈشلىرى ئىچىدىن بەيت-شېئان ۋە ئۇنىڭغا قاراشلىق كەنتلەر، ئىبلېئام بىلەن ئۇنىڭغا قاراشلىق كەنتلەر، دور ئاھالىسى بىلەن دورغا قاراشلىق كەنتلەر، ئەن-دور ئاھالىسى بىلەن ئەن-دورغا قاراشلىق كەنتلەر، تائاناق ئاھالىسى بىلەن تائاناققا قاراشلىق كەنتلەر ۋە مېگىددو ئاھالىسى بىلەن مېگىددوغا قاراشلىق كەنتلەر، يەنى «ئۈچ ئېگىزلىك» دېگەن يۇرت تەگدى.
06110c00c7	لېكىن ماناسسەھ بۇ شەھەردىكىلەرنى قوغلىۋىتەلمىدى؛ قانائانىيلار شۇ يۇرتلاردا تۇرۇۋېرىشكە نىيەت باغلىغانىدى.
06110d0102	ئىسرائىللار بارغانسېرى كۈچەيگەچكە قانائانىيلارنى ئۆزلىرىگە ھاشارچى قىلىپ بېقىندۇردى، لېكىن ئۇلارنى ئۆز يەرلىرىدىن مۇتلەق قوغلىۋېتەلمىدى.
06110e0165	يۈسۈپلەر بولسا يەشۇئاغا: ــ بىزلەر پەرۋەردىگار ھازىرغىچە شۇنداق بەرىكەتلەپ كەلگەن، چوڭ بىر خەلق تۇرساق، سەن نېمىشقا چەك تاشلاش بىلەن بىزگە پەقەت بىر ئۈلۈش مىراس، بىر پارچە يەرلا بەردىڭ؟ ــ دېدى.
06110f01d6	يەشۇئا ئۇلارغا جاۋاب بېرىپ: ــ ئەگەر سىلەر چوڭ بىر خەلق بولساڭلار، ئەفرائىمنىڭ تاغلىق يۇرتى سىلەرگە تار كەلگەن بولسا، ئورمانغا بېرىپ ئۇ يەردىكى پەرىززىيلەر بىلەن [گىگانت] رەفايىيلار يۇرتىدا دەرەخلەرنى كېسىپ، ئۆزۈڭلار ئۈچۈن بىر جاينى چىقىرىۋېلىڭلار، دېدى.
06111001dd	لېكىن يۈسۈپلەر: ــ تاغلىق يۇرت بىزگە يەتمەيدۇ؛ شۇنىڭ بىلەن بىر ۋاقىتتا جىلغىدا تۇرۇۋاتقانلار، مەيلى بەيت-شېئاندا ۋە ئۇنىڭغا قاراشلىق كەنتلەردە بولسۇن ياكى يىزرەئەل جىلغىسىدا تۇرۇۋاتقان قانائانىيلار بولسۇن، ھەممىسىنىڭ تۆمۈردىن جەڭ ھارۋىلىرى بار ئىكەن، دېدى.
0611110163	شۇنداق دېۋىدى، يەشۇئا يۈسۈپ جەمەتى بولغان ئەفرائىم بىلەن ماناسسەھكە سۆز قىلىپ: ــ سىلەر دەرۋەقە چوڭ بىر خەلقسىلەر ۋە زور كۈچۈڭلار باردۇر؛ شۇڭا سىلەرگە پەقەت بىر ئۈلۈشلا مىراس بېرىلسە بولمايدۇ؛
06111201df	ئاشۇ پۈتكۈل تاغلىق يۇرتمۇ سىلەرگە بېرىلىدۇ؛ گەرچە ئۇ ئورمانلىق بولسىمۇ، سىلەر ئۇنى كېسىپ بوشىتىسىلەر ۋە ئۇنىڭ ئەتراپلىرىغىمۇ ئىگە بولىسىلەر؛ قانائانىيلارنىڭ تۆمۈر جەڭ ھارۋىلىرى بار، شۇنداقلا كۈچلۈك بولسىمۇ، سىلەر ئۇلارنى ھەيدەپ چىقىرىۋىتەلەيسىلەر، ــ دېدى.
06120100f0	پۈتكۈل ئىسرائىللار جامائىتى شىلوھقا يىغىلىپ، ئۇ يەردە ئىبادەت چېدىرى تىكتى. گەرچە زېمىن ئۇلارنىڭ ئالدىدا بويسۇندۇرۇلغان بولسىمۇ،
06120200a8	لېكىن ئىسرائىللار ئارىسىدا ئۆز مىراس ئۈلۈشى تېخى تەقسىم قىلىنمىغان يەتتە قەبىلە قالغانىدى.
061203013d	شۇڭا يەشۇئا ئىسرائىللارغا مۇنداق دېدى: ــ «ئاتا-بوۋىلىرىڭلارنىڭ خۇداسى پەرۋەردىگار سىلەرگە بەرگەن بۇ زېمىننى قولۇڭلارغا ئېلىشقا سۇسلۇق قىلىپ قاچانغىچە كەينىگە سۈرىسىلەر؟
0612040194	سىلەر ئۆزۈڭلار ئۈچۈن ھەر قەبىلىدىن ئۈچ ئادەمنى تاللاڭلار؛ مەن ئۇلارنى قوزغىلىپ بۇ پۈتكۈل زېمىننى ئايلىنىپ چىقىپ، ئۇنى ھەربىر قەبىلە ئۆز مىراس ئۈلۈشىگە مۇۋاپىق سىزىپ-خاتىرىلەشكە، ئاندىن قېشىمغا يېنىپ كېلىشكە ئەۋەتىمەن.
061205013c	ئۇلار زېمىننى يەتتە ئۈلۈشكە بۆلسۇن؛ لېكىن يەھۇدا قەبىلىسى بولسا جەنۇبتىكى ئۆز ئۈلۈش زېمىنىدا تۇرىۋەرسۇن، يۈسۈپنىڭ جەمەتىمۇ شىمال تەرەپتىكى ئۆز ئۈلۈش زېمىنىدا تۇرىۋەرسۇن.
0612060125	سىلەر زېمىننى يەتتە ئۈلۈشكە بۆلۈپ، پاسىلىنى خاتىرىلەپ سىزىپ يېنىمغا كېلىڭلار؛ ئاندىن مەن پەرۋەردىگار خۇدايىمىزنىڭ ئالدىدا بۇ يەردە سىلەر ئۈچۈن چەك تاشلايمەن.
0612070217	ئەمما لاۋىيلارنىڭ بولسا، ئاراڭلاردا ئۈلۈشى بولمايدۇ، چۈنكى پەرۋەردىگارنىڭ كاھىنلىقى ئۇلارنىڭ مىراسىدۇر. گاد بىلەن رۇبەن ۋە ماناسسەھ يېرىم قەبىلىسى بولسا ئىئوردان دەرياسىنىڭ ئۇ قېتى، شەرق تەرىپىدە پەرۋەردىگارنىڭ قۇلى بولغان مۇسا ئۇلارغا مىراس قىلىپ بەرگەن يەرلەرنى ئاللىقاچان ئالغاندۇر».
06120801fb	[زېمىننى خاتىرىلەشكە بېكىتكەن] كىشىلەر قوزغىلىپ يولغا چىققاندا، يەشۇئا ئۇلارغا قاتتىق جېكىلەپ: ــ سىلەر بېرىپ زېمىننى ئايلىنىپ، ئۇنى سىزىپ-خاتىرىلەپ مېنىڭ قېشىمغا يېنىپ كېلىڭلار؛ ئاندىن مەن مۇشۇ يەردە، شىلوھنىڭ ئۆزىدە پەرۋەردىگارنىڭ ئالدىدا سىلەر ئۈچۈن چەك تاشلايمەن، دېدى.
061209014b	شۇنداق دېۋىدى، بۇ ئادەملەر بېرىپ زېمىننى ئايلىنىپ، ئۇنى سىزىپ-خاتىرىلەپ، شەھەرلەر بويىچە يەتتە ئۈلۈشكە بۆلۈپ، خاتىرىگە سىزىپ، شىلوھدىكى چېدىرگاھقا، يەشۇئانىڭ قېشىغا يېنىپ كەلدى.
06120a010a	ئاندىن يەشۇئا شىلوھدا پەرۋەردىگارنىڭ ئالدىدا ئۇلار ئۈچۈن چەك تاشلىدى ۋە شۇ يەردە قەبىلە-جەمەتى بويىچە زېمىننى ئىسرائىللارغا تەقسىم قىلىپ بەردى.
06120b0123	بىنيامىنلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە چەك تارتىلدى؛ ئۇلار چەك ئارقىلىق ئېرىشكەن زېمىن يەھۇدالار بىلەن يۈسۈپلەرنىڭ زېمىنى ئوتتۇرىسىدىكى يۇرت بولدى.
06120c013f	ئۇلارنىڭ شىمالىي چېگرىسى ئىئوردان دەرياسىدىن باشلاپ، يېرىخونىڭ شىمال تەرىپىدىكى داۋاننى يانداپ، غەرب تەرىپىگە قاراپ تاغلىق يۇرتقا چىقىپ ۋە بەيت-ئاۋەننىڭ چۆلىگە تۇتىشاتتى؛
06120d0101	ئاندىن لۇزغا چىقىپ، لۇز، يەنى بەيت-ئەلنىڭ جەنۇب تەرىپىنى يانداپ ئۆتۈپ، ئاستىن بەيت-ھوروننىڭ جەنۇبىدىكى تاغقا يېقىن ئاتاروت-ئاددارغا چۈشتى؛
06120e017e	چېگرا شۇ يەردىن ئۆتۈپ غەربتىن جەنۇبقا قايرىلىپ، بەيت-ھوروننىڭ جەنۇبىنىڭ ئۇدۇلىدىكى تاغدىن يەھۇدالارنىڭ شەھەرلىرىدىن بىرى بولغان كىرىئات-بائال (يەنى كىرىئات-يېئارىم)غا تۇتاشتى. بۇ غەرب تەرەپنىڭ چېگرىسى ئىدى.
06120f00d3	جەنۇب تەرەپنىڭ چېگرىسى كىرىئات-يېئارىمنىڭ چېتىدىن باشلاپ غەرب تەرىپىگە مېڭىپ، نەفتوئاھتىكى سۇ مەنبەسىگە تۇتاشتى؛
06121001d2	چېگرا ئاندىن رەفايىيلارنىڭ جىلغىسىنىڭ شىمال تەرىپىگە جايلاشقان بەن-ھىننومنىڭ جىلغىسىنىڭ ئۇدۇلىدىكى تاغنىڭ بېشىغا چۈشۈپ، ئاندىن ھىننومنىڭ جىلغىسى بىلەن يەنە چۈشۈپ، يەبۇسىيلارنىڭ ئېگىزلىكىنىڭ جەنۇب تەرىپى بىلەن مېڭىپ، ئاندىن ئەن-روگەل بۇلىقىغا يەتتى؛
061211010b	ئاندىن شىمال تەرىپىگە قايرىلىپ ئەن-شەمەش بۇلىقىدىن ئۆتۈپ، ئادۇللام داۋىنىنىڭ ئۇدۇلىدىكى گەلىلوتقا بېرىپ، رۇبەننىڭ ئوغلى بوھاننىڭ تېشىغا چۈشۈپ،
06121200a6	ۋە ئاراباھ تۈزلەڭلىكىنىڭ شىمال تەرىپىدىكى ئېگىزلىكتىن ئۆتۈپ، ئاراباھ تۈزلەڭلىكىگە چۈشتى.
0612130159	ئاندىن چېگرا شىمال تەرىپىگە چىقىپ بەيت-ھوگلاھنىڭ داۋىنىغا تۇتىشىپ، ئىئوردان دەرياسىنىڭ جەنۇبىي ئېغىزىدا، يەنى شور دېڭىزىنىڭ شىمالىي قولتۇقىدا ئاخىرلاشتى. بۇ جەنۇب تەرەپنىڭ چېگرىسى ئىدى.
0612140122	شەرق چېگرىسى بولسا ئىئوردان دەرياسىنىڭ ئۆزى ئىدى. بۇ بىنيامىنلارنىڭ ئۈلۈشى بولۇپ، ئۇلارغا جەمەت-ئائىلىرى بويىچە توختىتىلغان مىراس زېمىنىنىڭ چېگرىسى شۇ ئىدى.
06121500e5	بىنيامىنلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تەگكەن شەھەرلەر بولسا تۆۋەندىكىلەردۇر: ــ يېرىخو، بەيت-ھوگلاھ، ئېمەك-كەزىز،
0612160040	بەيت-ئاراباھ، زەمارايىم، بەيت-ئەل،
061217002a	ئاۋۋىم، پاراھ، ئوفراھ،
06121800bb	كەفار-ھائاموناي، ئوفنى ۋە گېبا بولۇپ، جەمئىي ئون ئىككى شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئىدى؛
061219004a	بۇنىڭدىن باشقا گىبېئون، راماھ، بەئەروت،
06121a002c	مىزپاھ، كەفىراھ، موزاھ،
06121b0030	رەكەم، ئىرپەئەل، تارالاھ،
06121c019d	زەلاھ، ھا-ئەلەف، يەبۇسى (يەنى يېرۇسالېم)، گىبېئاھ ۋە كىرىئات بولۇپ، جەمئىي ئون تۆت شەھەر ۋە ئۇنىڭغا قاراشلىق كەنت-قىشلاقلارمۇ بار ئىدى. بۇ بولسا بىنيامىنلارنىڭ مىراس ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئۇلارغا بېرىلگەنىدى.
0613010125	ئىككىنچى چەك شىمېئونغا چىقتى، يەنى شىمېئونلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تارتىلدى؛ ئۇلارنىڭ مىراسى بولسا يەھۇدالارنىڭ مىراس ئۈلۈشىنىڭ ئارىسىدا ئىدى.
061302006d	ئۇلارنىڭ ئېرىشكەن مىراسى ئىچىدە بەئەر-شېبا، شېبا، مولاداھ،
0613030031	ھازار-شۇئال، بالاھ، ئېزەم،
061304002e	ئەلتولاد، بىتۇل، خورماھ،
0613050042	زىكلاگ، بەيت-ماركابوت، ھازار-سۇساھ،
06130600a9	بەيت-لىبائوت ۋە شارۇھەن بولۇپ، جەمئىي ئون ئۈچ شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئىدى.
06130700c5	بۇنىڭدىن باشقا يەنە ئايىن، رىممون، ئېتەر، ئاشان بولۇپ، جەمئىي تۆت شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار
0613080198	ھەمدە جەنۇب تەرەپتىكى بائالات-بەئەر (يەنى جەنۇبدىكى راماھ)غىچە بولغان بۇ [تۆت] شەھەرنىڭ ئەتراپىدىكى ھەممە كەنت-قىشلاقلارمۇ بار ئىدى. بۇلار شىمېئونلار قەبىلىسىنىڭ ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئېرىشكەن مىراسى ئىدى.
0613090184	شىمېئونلارنىڭ مىراس ئۈلۈشى يەھۇدالارنىڭ ئۈلۈشىنىڭ ئىچىدىن ئېلىپ بېرىلدى؛ چۇنكى يەھۇدالارنىڭ مىراس ئۈلۈشى ئۆزلىرىگە كۆپلۈك قىلغانىدى، شۇڭا شىمېئونلارنىڭ مىراس ئۈلۈشى ئۇلارنىڭ مىراس ئۈلۈشىنىڭ ئىچىدىن بېرىلدى.
06130a00ca	ئۈچىنچى چەك زەبۇلۇنلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تارتىلدى؛ ئۇلارنىڭ مىراس چېگرىسى سارىدقا باراتتى،
06130b00b8	چېگرىسى غەرب تەرەپتە مارېئالاھقا بېرىپ داببەشەتكە يېتىپ يوكنېئامنىڭ ئۇدۇلىدىكى ئېقىنغا تۇتىشاتتى؛
06130c00dd	ئۇ سارىدتىن شەرق تەرىپىگە قايرىلىپ، كۈن چىقىشقا بۇرۇلۇپ كىسلوت-تابور يۇرتىغا تۇتىشىپ، دابىراتقا ئۆتۈپ، يافىياغا باردى؛
06130d00fa	ئاندىن شۇ يەردىن ئۇ شەرق تەرىپىگە كۈن چىقىشقا [يەنە] بۇرۇلۇپ، گات-ھەفەر ۋە ئەت-كازىنغا كېلىپ نېئاھقا سوزۇلغان رىممون يۇرتىغا يېتىپ باردى.
06130e00bb	ئاندىن ئۇ يەردىن شىمال تەرەپكە قايرىلىپ، ھانناتونغا يېتىپ بېرىپ، يىفتاھ-ئەلنىڭ جىلغىسىدا ئاخىرلاشتى.
06130f0129	ئۇلارنىڭ ئۈلۈشى يەنە كاتتات، ناھالال، شىمرون، يىدالاھ ۋە بەيت-لەھەمنىمۇ ئوراپ، جەمئىي ئون ئىككى شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلارنىمۇ ئۆز ئىچىگە ئالاتتى.
0613100105	بۇ بولسا، يەنى بۇ شەھەرلەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار زەبۇلۇنلارنىڭ مىراس ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئۇلارغا بېرىلگەنىدى.
06131100ac	تۆتىنچى چەك ئىسساكارغا چىقتى، يەنى ئىسساكارلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تارتىلدى؛
0613120074	ئۇلارغا بېرىلگەن يۇرتلار يىزرەئەلگىچە بولۇپ، كەسۇللوت، شۇنەم،
0613130038	ھافارئايىم، شىئون، ئاناھارات،
061314002c	راببىت، كىشىئون، ئېبەز،
0613150076	رەمەت، ئەن-گاننىم، ئەن-ھادداھ ۋە بەيت-پاززەزنى ئۆز ئىچىگە ئالدى؛
0613160133	ئاندىن چېگرىسى تابور، شاھازىماھ ۋە بەيت-شەمەشكە يېتىپ، ئىئوردان دەرياسىدا ئاخىرلاشتى؛ ئۇلارنىڭ ئۈلۈشى جەمئىي ئون ئالتە شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئىدى.
0613170107	بۇ بولسا، يەنى بۇ شەھەرلەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئىسساكارلارنىڭ مىراس ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئۇلارغا بېرىلگەنىدى.
061318007b	بەشىنچى چەك ئاشىرلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تارتىلدى؛
0613190053	ئۇلارنىڭ زېمىنى ھەلكات، ھالى، بەتەن، ئاقساف،
06131a00c8	ئاللاممەلەك، ئامېئاد ۋە مىشالنى ئۆز ئىچىگە ئالدى؛ چېگرىسى غەرب تەرەپتە كارمەل بىلەن شىھور-لىبناتقا تۇتىشىپ،
06131b0159	ئاندىن شەرق تەرەپكە قايرىلىپ بەيت-داگونغا بېرىپ، زەبۇلۇن [زېمىنى] بىلەن يىفتاھ-ئەل جىلغىسىنىڭ شىمال تەرىپىدىن ئۆتۈپ، بەيت-ئېمەك بىلەن نېئىئەلگە يېتىپ بېرىپ كابۇلنىڭ شىمال تەرىپىگە چىقتى؛
06131c0088	ئېبرون، رەھوب، ھاممون ۋە كاناھنى ئۆز ئىچىگە ئېلىپ چوڭ زىدونغا يېتىپ باردى.
06131d0112	ئاندىن چېگرىسى راماھ تەرىپىگە قايرىلىپ، تۇر دېگەن مۇستەھكەم شەھىرگە بېرىپ، خوساھقا قايرىلىپ، ئاقزىب بىلەن ھەبەلگە تۇتاش بولغان دېڭىزدا ئاخىرلاشتى؛
06131e0100	زېمىنى ئۇمماھ، ئافەك ۋە رەھوبنىمۇ ئۆز ئىچىگە ئالغان؛ جەمئىي يىگىرمە ئىككى شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلارنى ئۆز ئىچىگە ئالغانىدى.
06131f0101	بۇ بولسا، يەنى بۇ شەھەرلەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئاشىرلارنىڭ مىراس ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئۇلارغا بېرىلگەنىدى.
06132000aa	ئالتىنچى چەك نافتالىغا چىقتى، يەنى نافتالىلار قەبىلىسىگە جەمەت-ئائىلىلىرى بويىچە تارتىلدى؛
061321012e	ئۇلارنىڭ چېگرىسى بولسا ھەلەفتىن چىقىپ، زائاناننىمدىكى دۇب دەرىخىدىن ئۆتۈپ، ئادامى-نەكەب ۋە يابنەئەلدىن چىقىپ، لاككۇمغا يېتىپ ئىئوردان دەرياسىغا بېرىپ ئاخىرلاشتى.
06132201bf	ئاندىن غەرب تەرەپكە قايرىلىپ ئازنوت-تابورغا بېرىپ، شۇ يەردىن ھۇككوكقا چىقىپ، جەنۇبتا زەبۇلۇننىڭ ئۈلۈش زېمىنىغا تۇتىشىپ، شىمالدا ئاشىرنىڭ ئۈلۈش زېمىنىغا يېتىپ، كۈن چىقىش تەرىپىدە ئىئوردان دەرياسىنىڭ يېنىدا، يەھۇدانىڭ ئۈلۈش زېمىنىغا ئۇلاشتى.
0613230083	نافتالىنىڭ مۇستەھكەم شەھەرلىرى زىددىم، زەر، ھاممات، راككات، كىننەرەت،
061324002a	ئاداماھ، راماھ، ھازور،
061325002f	كەدەش، ئەدرەي، ئەن-ھازور،
06132600e6	يىرون، مىگدال-ئەل، ھورەم، بەيت-ئانات ۋە بەيت-شەمەشلەر بولۇپ، جەمئىي ئون توققۇز شەھەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار ئىدى.
0613270116	بۇ بولسا، يەنى بۇ شەھەرلەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار نافتالىلار قەبىلىسىنىڭ مىراس ئۈلۈشى بولۇپ، جەمەت-ئائىلىلىرى بويىچە ئۇلارغا بېرىلگەنىدى.
06132800a1	يەتتىنچى چەك دانلارنىڭ قەبىلىسىگە چىقتى؛ ئۇ ئۇلارنىڭ جەمەت-ئائىلىلىرى بويىچە تارتىلدى.
061329006b	ئۇلارنىڭ مىراس زېمىنى بولسا زورېئاھ، ئەشتائول، ئىر-شەمەش،
06132a0038	شائالاببىن، ئايجالون، يىتلاھ،
06132b002e	ئېلون، تىمناتاھ، ئەكرون،
06132c0037	ئەل-تەكەھ، گىببېتون، بائالات،
06132d0038	يەھۇد، بەنە-باراك، گات-رىممون،
06132e0076	مە-ياركون، راككون ۋە يافونىڭ ئۇدۇلىدىكى يۇرتنى ئۆز ئىچىگە ئالدى.
06132f01ba	لېكىن دانلارنىڭ زېمىنى ئۆز قولىدىن كەتكەن بولغاچقا، دانلار چىقىپ لەشەمگە ھۇجۇم قىلىپ ئۇنى ئىشغال قىلدى؛ ئاھالىسىنى قىلىچلاپ يوقىتىپ، ئۇ يەرنى ئۆزىنىڭ قىلىپ ماكانلاشتى؛ ئاندىن ئۇلار لەشەمگە ئاتىسى داننىڭ ئىسمىنى قويۇپ، ئۇنى دان دەپ ئاتىدى.
0613300105	مانا بۇلار، يەنى بۇ شەھەرلەر ۋە ئۇلارغا قاراشلىق كەنت-قىشلاقلار دانلار قەبىلىسىگە، ئۇلارنىڭ جەمەت-ئائىلىلىرى بويىچە مىراس قىلىپ بېرىلگەنىدى.
06133100f5	بۇ تەرىقىدە [ئىسرائىللار] زېمىننى چېگرا-چېگرا بويىچە بۆلۈپ بولدى؛ ئاندىن ئۇلار نۇننىڭ ئوغلى يەشۇئاغا ئۆز ئارىسىدىن مىراس بۆلۈپ بەردى.
0613320138	پەرۋەردىگارنىڭ بۇيرۇقى بويىچە يەشۇئا تىلىگىنىدەك ئۇنىڭغا ئەفرائىم تاغلىق يۇرتىدىكى تىمنات-سېراھ دېگەن شەھەرنى بەردى؛ بۇنىڭ بىلەن ئۇ شەھەرنى قۇرۇپ چىقىپ، ئۇنىڭدا تۇردى.
061333020c	مانا بۇلار ئەلىئازار كاھىن بىلەن نۇننىڭ ئوغلى يەشۇئا ۋە ئىسرائىلنىڭ قەبىلە-جەمەتلىرىنىڭ كاتتاباشلىرى بىر بولۇپ شىلوھدا، جامائەت چېدىرىنىڭ دەرۋازىسىنىڭ ئالدىدا تۇرۇپ، پەرۋەردىگارنىڭ ئالدىدا چەك تاشلاپ بۆلۈپ تەقسىم قىلغان مىراسلاردۇر. بۇ تەرىقىدە ئۇلار زېمىننىڭ تەقسىماتىنى تۈگەتتى.
0614010055	پەرۋەردىگار يەشۇئاغا سۆز قىلىپ مۇنداق دېدى: ــ
0614020109	سەن ئىسرائىللارغا مۇنداق دېگىن: ــ «ئۆزۈم مۇسانىڭ ۋاسىتىسى بىلەن سىلەرگە بۇيرۇغاندەك، ئۆزۈڭلار ئۈچۈن «پاناھلىق شەھەرلەر»نى تاللاپ بېكىتىڭلار؛
061403013d	بىلمەي، تاسادىپىيلىقتىن ئادەم ئۇرۇپ ئۆلتۈرۈپ قويغان ھەرقانداق كىشى ئۇ شەھەرلەرگە قېچىپ كەتسۇن. بۇنىڭ بىلەن بۇ شەھەرلەر سىلەرگە قان ئىنتىقامىنى ئالغۇچىدىن پاناھگاھ بولىدۇ.
06140401d0	[ئادەمنى شۇنداق ئۆلتۈرگەن] كىشى بۇ شەھەرلەرنىڭ بىرىگە قېچىپ بېرىپ، شەھەرنىڭ قوۋۇقىغا كېلىپ، شۇ يەردە شەھەرنىڭ ئاقساقاللىرىغا ئۆز ئەھۋالىنى ئېيتسۇن؛ ئۇلار ئۇنى ئۆزىگە قوبۇل قىلىپ شەھەرگە كىرگۈزۈپ، ئۇنىڭ ئۆزلىرى بىلەن بىللە تۇرۇشىغا ئۇنىڭغا جاي بەرسۇن.
0614050196	ئەمدى قان قىساسىنى ئالغۇچى ئۇنى قوغلاپ كەلسە، ئۇلار ئادەم ئۆلتۈرگەن كىشىنى قىساسكارنىڭ قولىغا تاپشۇرۇپ بەرمىسۇن؛ چۈنكى شۇ كىشىنىڭ بۇرۇندىن ئۆز قوشنىسىغا ھېچ ئۆچ-ئاداۋىتى بولمىغان، بەلكى تاسادىپىي ئۇرۇپ ئۆلتۈرۈپ قويغان.
061406017e	[ئادەم ئۆلتۈرگەن] كىشى جامائەت ئالدىدا سوراق قىلىنغۇچە شۇ شەھەردە تۇرسۇن؛ ئاندىن شۇ ۋاقىتتىكى باش كاھىن ئۆلۈپ كەتكەندە، ئۇ شۇ شەھەردىن ئايرىلىپ، ئۆز شەھىرىگە، يەنى قېچىپ چىققان شەھەردىكى ئۆيىگە يېنىپ كەلسۇن.
