0100000012	پەیدابوون
04011b0075	تۆمارکراوان لە هۆزی یەهودا حەفتا و چوار هەزار و شەش سەد کەس بوون.
04011c014e	لە نەوەی یەساخار، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
04011d0079	تۆمارکراوان لە هۆزی یەساخار پەنجا و چوار هەزار و چوار سەد کەس بوون.
04011e014e	لە نەوەی زەبولون، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
04011f0079	تۆمارکراوان لە هۆزی زەبولون پەنجا و حەوت هەزار و چوار سەد کەس بوون.
0401200169	لە نەوەی یوسف، لە نەوەی ئەفرایم، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
0401210067	تۆمارکراوان لە هۆزی ئەفرایم چل هەزار و پێنج سەد کەس بوون.
040122014c	لە نەوەی مەنەشە، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
040123006d	تۆمارکراوان لە هۆزی مەنەشە سی و دوو هەزار و دوو سەد کەس بوون.
040124014e	لە نەوەی بنیامین، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
0401250073	تۆمارکراوان لە هۆزی بنیامین سی و پێنج هەزار و چوار سەد کەس بوون.
0401260146	لە نەوەی دان، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
040127006d	تۆمارکراوان لە هۆزی دان شەست و دوو هەزار و حەوت سەد کەس بوون.
040128014a	لە نەوەی ئاشێر، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
040129006d	تۆمارکراوان لە هۆزی ئاشێر چل و یەک هەزار و پێنج سەد کەس بوون.
04012a014e	لە نەوەی نەفتالی، هەموو نێرینەیەک لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپادا، بەپێی ناوەکان ڕێکخران، بەگوێرەی تۆمارکردنی خێڵەکانیان و بنەماڵەکانیان.
04012b0075	تۆمارکراوان لە هۆزی نەفتالی پەنجا و سێ هەزار و چوار سەد کەس بوون.
04012c010d	ئەوانە تۆمارکراوەکانن، ئەوانەی موسا و هارون و دوازدە سەرۆک هۆزەکانی ئیسرائیل تۆماریان کردن، هەر پیاوێک لە تۆمارکراوەکان نوێنەر بوو بۆ بنەماڵەکەی.
04012d010b	جا هەموو نەوەی ئیسرائیل، بەگوێرەی بنەماڵەکانیان لە گەنجی بیست ساڵ بەرەو سەرەوە، هەموو ئەوانەی دەتوانن خزمەت بکەن لە سوپای ئیسرائیلدا تۆمار کران،
04012e0078	هەموو تۆمارکراوەکان شەش سەد و سێ هەزار و پێنج سەد و پەنجا کەس بوون.
04012f0067	بەڵام هۆزی لێڤی بنەماڵەکانیان لەگەڵ ئەوان تۆمار نەکران،
0401300035	چونکە یەزدان بە موسای فەرموو:
0401310078	«هۆزی لێڤی تۆمار مەکە و لەنێوان نەوەی ئیسرائیلدا سەرژمێریان مەکە.
0401320188	بەڵکو لێڤییەکان لەسەر چادری پەیمان و هەموو قاپوقاچاغەکەی و هەموو ئەوەی هەیەتی دابنێ، ئەوان چادرەکەی پەرستن بە هەموو قاپوقاچاغەکانییەوە هەڵدەگرن و ئەوان خزمەتی دەکەن، لە چواردەوری چادرەکەی پەرستنیش چادر هەڵدەدەن.
040133014b	لە کاتی گواستنەوەی چادرەکەی پەرستن لێڤییەکان هەڵیدەگرنەوە و لە کاتی هەڵدانی چادرەکەی پەرستنیش لێڤییەکان دایدەمەزرێننەوە. هەرکەسێکی دیکە جگە لە لێڤییەکان لێی نزیک بێتەوە دەکوژرێت.
04013400ad	نەوەی ئیسرائیل هەریەکە لە ئۆردوگای خۆی لەژێر بەیداخەکەی خۆی بەپێی لەشکرەکانیان چادر هەڵدەدەن.
040135012d	بەڵام لێڤییەکان لە چواردەوری چادرەکەی پەیمان چادر هەڵدەدەن، هەتا تووڕەیی نەیەتە سەر کۆمەڵی نەوەی ئیسرائیل، جا لێڤییەکان بەرپرسیار دەبن لە پارێزگاری چادری پەیمان.»
0401360090	نەوەی ئیسرائیلیش ئاوایان کرد، بەگوێرەی هەموو ئەوەی یەزدان فەرمانی بە موسا کرد.
0402010047	هەروەها یەزدان بە موسا و هارونی فەرموو:
04020200f5	«با نەوەی ئیسرائیل، هەریەکە لەژێر بەیداخەکەی خۆی، بە لافیتەکانی بنەماڵەکانیانەوە چادر هەڵبدەن، ڕووەو چادری چاوپێکەوتن و دەوروبەری.»
0402030120	لەلای ڕۆژهەڵات، هۆزی یەهودا ڕووەو خۆر هەڵاتن لەژێر بەیداخی ئۆردوگاکەیان بەگوێرەی لەشکرەکانیان چادر هەڵدەدەن، سەرۆکی نەوەی یەهوداش نەحشۆنی کوڕی عەمینادابە.
0402040077	ژمارەی سەربازە تۆمارکراوەکانیش حەفتا و چوار هەزار و شەش سەد کەسە.
04020500ac	پاشان هۆزی یەساخار لەتەنیشتیانەوە چادر هەڵدەدەن، سەرۆکی نەوەی یەساخاریش نەتەنێلی کوڕی چوعەر.
0402060079	ژمارەی سەربازە تۆمارکراوەکانیش پەنجا و چوار هەزار و چوار سەد کەسە.
040207007c	پاشان هۆزی زەبولون دێت، سەرۆکی نەوەی زەبولونیش ئەلیابی کوڕی حێلۆنە.
0402080079	ژمارەی سەربازە تۆمارکراوەکانیش پەنجا و حەوت هەزار و چوار سەد کەسە.
04020900eb	هەموو پیاوانی دانراویش لە ئۆردوگای یەهودا، بەگوێرەی لەشکرەکانیان سەد و هەشتا و شەش هەزار و چوار سەد کەسن، یەکەمن لە بەڕێکەوتندا.
04020a0101	لەلای باشوور، هۆزی ڕەئوبێن لەژێر بەیداخی ئۆردوگاکەیان بەگوێرەی لەشکرەکانیان چادر هەڵدەدەن، سەرۆکی نەوەی ڕەئوبێنیش ئەلیسوری کوڕی شەدیئورە.
04020b0071	ژمارەی سەربازە تۆمارکراوەکانیش چل و شەش هەزار و پێنج سەد کەسە.
04020c00b2	پاشان هۆزی شیمۆن لەتەنیشتیانەوە چادر هەڵدەدەن، سەرۆکی نەوەی شیمۆنیش شەلومیێلی کوڕی چووریشەدایە.
04020d006f	ژمارەی سەربازە تۆمارکراوەکانی پەنجا و نۆ هەزار و سێ سەد کەسە.
04020e0074	پاشان هۆزی گاد دێت، سەرۆکی نەوەی گادیش ئەلیاسافی کوڕی دەعوئێلە.
04020f007f	ژمارەی سەربازە تۆمارکراوەکانیش چل و پێنج هەزار و شەش سەد و پەنجا کەسە.
04021000fb	هەموو پیاوانی دانراویش لە ئۆردوگای ڕەئوبێن، بەگوێرەی لەشکرەکانیان سەد و پەنجا و یەک هەزار و چوار سەد و پەنجا کەسن، دووەمن لە بەڕێکەوتندا.
040211012e	ئینجا چادری چاوپێکەوتن، ئۆردوگای لێڤییەکان لەناوەندی ئۆردوگاکان بەڕێ دەکەوێت، چۆن چادر هەڵدەدەن بە هەمان شێوە بەڕێ دەکەون، هەریەکە و لە شوێنی خۆی لەژێر بەیداخەکەی.
0402120107	لەلای ڕۆژئاوا، هۆزی ئەفرایم لەژێر بەیداخی ئۆردوگاکەیان بەگوێرەی لەشکرەکانیان چادر هەڵدەدەن، سەرۆکی نەوەی ئەفرایمیش ئەلیشاماعی کوڕی عەمیهودە.
0402130065	ژمارەی سەربازە تۆمارکراوەکانی چل هەزار و پێنج سەد کەسە.
04021400a1	پاشان هۆزی مەنەشە لەتەنیشتیانەوە دێت، سەرۆکی نەوەی مەنەشەش گەمالائیلی کوڕی پەداهچوورە.
040215006d	ژمارەی سەربازە تۆمارکراوەکانی سی و دوو هەزار و دوو سەد کەسە.
0402160085	پاشان هۆزی بنیامین دێت، سەرۆک بۆ نەوەی بنیامینیش ئەبیدانی کوڕی گدعۆنییە.
0402170073	ژمارەی سەربازە تۆمارکراوەکانیش سی و پێنج هەزار و چوار سەد کەسە.
04021800d8	هەموو پیاوانی دانراویش لە ئۆردوگای ئەفرایم، بەگوێرەی لەشکرەکانیان سەد و هەشت هەزار و سەد کەسن، سێیەمن لە بەڕێکەوتندا.
04021900f9	لەلای باکوور، هۆزی دان لەژێر بەیداخی ئۆردوگاکەیان بەگوێرەی لەشکرەکانیان چادر هەڵدەدەن، سەرۆکی نەوەی دانیش ئەحیعەزەری کوڕی عەمیشەدایە.
04021a0075	ژمارەی سەربازە تۆمارکراوەکانیش شەست و دوو هەزار و حەوت سەد کەسە.
04021b00b1	پاشان هۆزی ئاشێر دێت، لەتەنیشتیانەوە چادر هەڵدەدەن، سەرۆکی نەوەی ئاشێریش پەگعیێلی کوڕی عۆخرانە.
04021c0071	ژمارەی سەربازە تۆمارکراوەکانیش چل و یەک هەزار و پێنج سەد کەسە.
04021d0080	پاشان هۆزی نەفتالیش دێت، سەرۆکی نەوەی نەفتالیش ئەحیڕەعی کوڕی عێینانە.
04021e0075	ژمارەی سەربازە تۆمارکراوەکانیش پەنجا و سێ هەزار و چوار سەد کەسە.
04021f00e2	هەموو پیاوانی دانراویش لە ئۆردوگای دان سەد و پەنجا و حەوت هەزار و شەش سەد کەسن، لەژێر بەیداخەکانیان لە کۆتاییدا بەڕێ دەکەون.
0402200120	ئەوانە تۆمارکراوەکانی نەوەی ئیسرائیلن بەگوێرەی بنەماڵەکانیان. هەموو تۆمارکراوان لە ئۆردوگاکان بە لەشکرەکانیانەوە شەش سەد و سێ هەزار و پێنج سەد و پەنجا کەسن.
04022100a5	بەڵام لێڤییەکان لەنێوان نەوەی ئیسرائیلدا تۆمار نەکران، هەروەک یەزدان فەرمانی بە موسا کرد.
040222014d	جا نەوەی ئیسرائیل بەگوێرەی هەموو ئەوەی یەزدان فەرمانی بە موسا کرد، ئاوایان کرد، ئاوا لەژێر بەیداخەکانیان چادریان هەڵدا و ئاوا بەڕێکەوتن، هەریەکە بەگوێرەی خێڵەکەی خۆی لە بنەماڵەکەی.
0403010088	ئەمەش نەوەی هارون و موسایە، ئەو ڕۆژەی یەزدان لەگەڵ موسادا لە شاخی سینا دوا.
0403020084	ئەمەش ناوی کوڕەکانی هارونە، نادابی نۆبەرە و ئەبیهو و ئەلعازار و ئیتامار.
04030300af	ئەمەش ناوی نەوەکانی هارونە، کاهینە دەستنیشانکراوەکان ئەوانەی ئەرکی کاهینیێتییان پێ سپێردراوە.
0403040173	ناداب و ئەبیهو لەبەردەم یەزدان مردن، کاتێک لە چۆڵەوانی سینا ئاگرێکی نامۆیان لەبەردەم یەزدان پێشکەش کرد. لەبەر ئەوەی هیچ کوڕیان نەبوو، ئەلعازار و ئیتامار لەبەردەم هارونی باوکیان خزمەتی کاهینیێتییان کرد.
0403050039	هەروەها یەزدان بە موسای فەرموو:
0403060088	«هۆزی لێڤی بهێنە پێش و لەبەردەم هارونی کاهین ڕایانبگرە و با یاریدەدەری بن،
04030700d9	جا هەڵدەستن بە پارێزگاری بۆ ئەو و لە جیاتی هەموو کۆمەڵ لەبەردەم چادری چاوپێکەوتن، بەهۆی کارکردنیان لە چادرەکەی پەرستن.
04030800de	پارێزگاری لە هەموو قاپوقاچاغەکانی چادری چاوپێکەوتن دەکەن و بە کارکردنیان لە چادرەکەی پەرستن کار بۆ نەوەی ئیسرائیل دەکەن.
04030900ad	لێڤییەکان دەدەیتە هارون و کوڕەکانی، لەنێو نەوەی ئیسرائیلدا ئەوان بە تەواوەتی پێشکەشکراون بەو.
04030a00cb	هارون و کوڕەکانی دادەمەزرێنیت و کاهینیێتییەکەیان دەپارێزن و هەرکەسێکی دیکە لە پیرۆزگا نزیک ببێتەوە دەکوژرێت.»
04030b002a	یەزدان بە موسای فەرموو:
04030c0105	«ئێستا من لێڤییەکان دەبەم، لەنێو نەوەی ئیسرائیل لە جیاتی هەر نۆبەرەیەکی نێر لە سکی ئافرەت کە لە نەوەی ئیسرائیل بێت. ئیتر لێڤییەکان دەبنە هی من،
04030d0141	چونکە هەموو نۆبەرەیەک بۆ منە، ئەو ڕۆژەی لە خاکی میسردا لە هەموو نۆبەرەیەکم دا، ئەوا هەموو نۆبەرەیەک لە ئیسرائیلدا لە خەڵک و لە ئاژەڵ بۆ خۆمم تەرخان کرد، بۆ من دەبن، من یەزدانم.»
04030e005c	هەروەها یەزدان لە چۆڵەوانی سینادا بە موسای فەرموو:
04030f00e0	«نەوەی لێڤی بەگوێرەی بنەماڵەکانیان و خێڵەکانیان تۆمار بکە، هەموو نێرینەیەک لە کۆرپەی یەک مانگ بەرەو سەرەوە تۆمار دەکەیت.»
040310007d	موساش بەگوێرەی فەرمایشتی یەزدان هەروەک فەرمانی کردبوو، تۆماری کردن.
0403110063	ئەمانە ناوی نەوەکانی لێڤی بوو: گێرشۆن و قەهات و مەراری.
0403120079	ئەوەش ناوی دوو کوڕەکەی گێرشۆنە بەگوێرەی خێڵەکانیان: لیبنی و شیمعی.
040313007e	نەوەی قەهاتیش بەگوێرەی خێڵەکانیان: عەمرام و یەسهار و حەبرۆن و عوزیێل.
04031400b7	دوو کوڕەکەی مەراریش بەگوێرەی خێڵەکانیان: مەحلی و موشی. ئەمە خێڵی لێڤییەکانە بەگوێرەی بنەماڵەکانیان.
0403150088	بۆ گێرشۆن خێڵی لیبنییەکان و خێڵی شیمعییەکان. ئەمە خێڵەکانی گێرشۆنییەکانە،
04031600b9	ژمارەی هەموو نێرینەیەکی کوڕی یەک مانگ بەرەو سەرەوە، تۆمارکراوان لێیان حەوت هەزار و پێنج سەد کەس بوون.
0403170089	خێڵەکانی گێرشۆنییەکان لە پشت چادری پەرستنەوە بەلای ڕۆژئاوا چادر هەڵدەدەن،
0403180069	گەورەی بنەماڵەی گێرشۆنییەکانیش ئەلیاسافی کوڕی لائێل بوو.
04031900f8	نەوەی گێرشۆن لە چادری چاوپێکەوتن بەرپرسیار بوون لە پارێزگاری چادرەکەی پەرستن و چادرەکە و پۆشەرەکەی، پەردەی دەروازەی چادری چاوپێکەوتن،
04031a0136	پەردەکانی حەوشەکە و پەردەی دەروازەی حەوشەکە کە لە دەوری چادرەکەی پەرستنە و لە دەوری قوربانگاکەن بە چواردەوری و گوریسەکانی، لەگەڵ هەموو ئەو خزمەتەی پەیوەست بوو پێیانەوە.
04031b00df	بۆ قەهاتیش خێڵی عەمرامییەکان، خێڵی یەسهارییەکان، خێڵی حەبرۆنییەکان و خێڵی عوزیێلییەکان بوون. ئەمە خێڵەکانی قەهاتییەکانە
04031c00ee	ژمارەی هەموو نێرینەیەکی کوڕی یەک مانگ بەرەو سەرەوە هەشت هەزار و شەش سەد کەس بوون. قەهاتییەکان بەرپرسیار بوون لە پارێزگاری پیرۆزگا.
04031d0079	خێڵەکانی نەوەی قەهات لەلای باشووری چادرەکەی پەرستن چادر هەڵدەدەن.
04031e0082	گەورەی بنەماڵەکانی خێڵەکانی قەهاتییەکانیش ئەلیچافانی کوڕی عوزیێل بوو.
04031f013c	بەرپرسیار بوون لە پارێزگاری سندوقەکە، مێزەکە، چرادانەکە، قوربانگاکان، قاپوقاچاغی پیرۆزگاکە کە خزمەتی پێ دەکەن، پەردەی شوێنی هەرەپیرۆز و هەموو ئەوەی لەگەڵی بەکاردەهێنرێت.
04032000fd	بۆ سەرۆکی سەرکردەکانی لێڤییەکانیش ئەلعازاری کوڕی هارونی کاهین، سەرپەرشتیار بوو بەسەر ئەو کەسانەی کە بەرپرسیار بوون لە پارێزگاری پیرۆزگا.
040321007e	بۆ مەراری، خێڵی مەحلییەکان و خێڵی موشییەکان، ئەمە خێڵەکانی مەرارییە.
04032200be	تۆمارکراوان لێیان بەپێی ژمارەی هەموو نێرینەیەکی کوڕی یەک مانگ بەرەو سەرەوە شەش هەزار و دوو سەد کەس بوون.
04032300bf	گەورەی بنەماڵەی خێڵەکانی مەراریش چووریێلی کوڕی ئەبیحەیلە، لەلای باکووری چادرەکەی پەرستن چادر هەڵدەدەن.
0403240139	نەوەی مەراریش سەرپەرشتیاری پارێزگاریکردن بوون لە چوارچێوەکانی چادرەکەی پەرستن، هەروەها کاریتە، کۆڵەکە، بناغە، هەموو کەلوپەلەکانی و هەموو ئەوەی لەگەڵیدا بەکاردەهێنرێت،
0403250079	هەروەها کۆڵەکەکانی حەوشەکە لە چواردەوری و بنکە و سنگ و گوریسەکانی.
04032601a8	موسا و هارون و کوڕەکانی لەلای ڕۆژهەڵاتی چادرەکەی پەرستن، ڕووەو ڕۆژهەڵات لەبەردەم چادری چاوپێکەوتن چادر هەڵدەدەن. بەرپرسیار بوون لە پارێزگاری پیرۆزگا لە جیاتی نەوەی ئیسرائیل، هەرکەسێکی دیکەش کە لە پیرۆزگا نزیک بکەوتبایەوە دەکوژرا.
0403270149	هەموو تۆمارکراوانی لێڤییەکان ئەوانەی موسا و هارون بەپێی فەرمایشتی یەزدان بەگوێرەی خێڵەکانیان تۆماریان کردن، هەموو نێرینەیەکی کوڕی یەک مانگ بەرەو سەرەوە بیست و دوو هەزار کەس بوون.
0403280108	هەروەها یەزدان بە موسای فەرموو: «هەموو نێرینەیەکی نۆبەرە لە نەوەی ئیسرائیل لە کۆرپەی یەک مانگ بەرەو سەرەوە تۆمار بکە و لیستی ناوەکانیان وەربگرە.
0403290125	من یەزدانم، لێڤییەکان لە جیاتی هەموو نۆبەرەیەکی نەوەی ئیسرائیل و مەڕوماڵاتی لێڤییەکانیش لە جیاتی هەموو نۆبەرەیەک لە مەڕوماڵاتی نەوەی ئیسرائیل بۆ من دادەنێیت.»
04032a0091	جا موسا وەک یەزدان فەرمانی پێ کرد هەموو نۆبەرەیەکی لە نەوەی ئیسرائیل تۆمار کرد،
04032b00fd	هەموو کۆرپەیەکی نۆبەرەی نێرینە لە تەمەنی یەک مانگ بەرەو سەرەوە لە لیستی ناوەکان تۆمارکران، بیست و دوو هەزار و دوو سەد و حەفتا و سێ کەس بوون.
04032c002a	یەزدان بە موسای فەرموو:
04032d0111	«لێڤییەکان لە جیاتی هەموو نۆبەرەیەک لە نەوەی ئیسرائیل دابنێ و مەڕوماڵاتی لێڤییەکانیش لە جیاتی مەڕوماڵاتەکانیان، جا لێڤییەکان بۆ من دەبن. من یەزدانم.
04032e00a8	بۆ کڕینەوەی ئەو دوو سەد و حەفتا و سێیەش لە نۆبەرەکانی نەوەی ئیسرائیل کە لە لێڤییەکان زیاترن،
04032f00a9	پێنج شاقل بۆ هەر سەرێک وەردەگریت، بەگوێرەی شاقلی پیرۆزگا وەریدەگریت. هەر شاقلێک بیست گێرایە.
040330007e	زیوەکەش دەدەیتە هارون و کوڕەکانی، کڕینەوەی ئەوانەیە کە لێیان زیادن.»
0403310088	جا موسا زیوی کڕینەوەیانی وەرگرت، لەوانەی لە کڕینەوەی لێڤییەکان زیاد بوون،
04033200a9	لە نۆبەرەکانی نەوەی ئیسرائیل هەزار و سێ سەد و شەست و پێنج زیوی بەگوێرەی شاقلی پیرۆزگا وەرگرت.
04033300c9	موساش زیوی کڕینەوەکەی بە هارون و کوڕەکانی دا بەگوێرەی فەرمایشتی یەزدان، هەروەک یەزدان فەرمانی بە موسا کردبوو.
0404010038	یەزدان بە موسا و هارونی فەرموو:
04040200a2	«سەرژمێری نەوەی قەهات لەنێو نەوەی لێڤییەکان بکەن، بەگوێرەی خێڵەکانیان و بنەماڵەکانیان،
04040300cf	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ، هەموو ئەوانەی دەتوانن بچن بۆ خزمەت هەتا لە چادری چاوپێکەوتن کار بکەن.
040404007b	«نەوەی قەهات خزمەتی شتە هەرەپیرۆزەکانی ناو چادری چاوپێکەوتن دەکەن.
04040500d0	هارون و کوڕەکانی لە کاتی کۆچکردنی ئۆردوگا دێن و پەردەکەی شوێنی هەرەپیرۆز هەڵدەگرنەوە و سندوقی شایەتی پێ دادەپۆشن.
04040600fa	ئینجا پۆشەرەکەی لە پێستی مانگای دەریا بەسەردا دەدەن و لەسەر ئەوەشەوە قوماشێک هەمووی ڕیسی مۆر بێت ڕایدەخەن و دارەکانیشی دەخەنە شوێنی خۆی.
0404070128	«لەسەر مێزی نانی تەرخانکراو بۆ خودا قوماشێکی لە ڕیسی مۆر ڕادەخەن و لەگەن و قاپ و تاس و دۆلکەکانی شەرابی پێشکەشکراوی لەسەری دادەنێن و بەردەوام نانەکەی لەسەر دەبێت.
04040800c9	قوماشێکی سووری ئاڵیشی لەسەر ڕادەخەن و بە پۆشەرێک لە پێستی مانگای دەریا دای دەپۆشن و دارەکانی دەخەنە شوێنی خۆی.
04040900f7	«قوماشێک لە ڕیسی مۆر دەبەن و چرادانەکەی ڕووناکی و چراکانی و مەقاش و مەقەڵی و هەموو قاپوقاچاغەکانی زەیتەکەی کە خزمەتی پێ دەکەن دادەپۆشن.
04040a00a6	لەگەڵ هەموو قاپوقاچاغەکەی دەیخەنە ناو پۆشەرێک لە پێستی مانگای دەریا و دەیخەنە سەر هەڵگرێک.
04040b00e6	«لەسەر قوربانگا زێڕینەکەش قوماشێکی ڕیسی مۆر ڕادەخەن و بە پۆشەرێک لە پێستی مانگای دەریا دایدەپۆشن و دارەکانی دەخەنە شوێنی خۆی.
04040c013b	«هەموو قاپوقاچاغەکانی خزمەتکردن کە خزمەتی پێ دەکەن لە پیرۆزگا دەیبەن و لەناو قوماشێکی ڕیسی مۆر دایدەنێن و بە پۆشەرێک لە پێستی مانگای دەریا دای دەپۆشن و دەیخەنە سەر هەڵگرێک.
04040d008d	«خۆڵەمێشی قوربانگا بڕۆنزییەکەش هەڵدەگرن و قوماشێکی ئەرخەوانی لەسەر ڕادەخەن.
04040e01a8	هەموو قاپوقاچاغەکانی کە لە قوربانگاکە بۆ خزمەت بەکاریدەهێنن دەیخەنە سەری، مەقەڵییەکان، چەنگاڵەکان، خاکەنازەکان و تاسەکان، هەموو قاپوقاچاغی قوربانگاکە، پۆشەرێک لە پێستی مانگای دەریاشی بەسەردا ڕادەخەن و دارەکانی دەخەنە شوێنی خۆی.
04040f01c3	«کاتێک هارون و کوڕەکانی لە پۆشینی پیرۆزگاکە و هەموو قاپوقاچاغی پیرۆزگاکە دەبنەوە، لە کاتی کۆچکردنی ئۆردوگاکە، ئینجا نەوەی قەهات بۆ هەڵگرتن دێن، بەڵام دەست لە شتە پیرۆزکراوەکان نادەن نەوەک بمرن، ئەوە بارهەڵگرتنی نەوەی قەهاتە لە چادری چاوپێکەوتن.
04041001cd	«ئەلعازاری کوڕی هارونی کاهینیش سەرپەرشتی زەیتی ڕووناکی، بخوورە بۆنخۆشەکە، پێشکەشکراوی دانەوێڵەی بەردەوام و زەیتی دەستنیشانکردن دەکات. هەروەها سەرپەرشتی هەموو چادرەکەی پەرستن دەکات، هەموو ئەوەی تێیدایە، بە شتومەکە پیرۆزەکانی و قاپوقاچاغەکانییەوە.»
0404110047	هەروەها یەزدان بە موسا و هارونی فەرموو:
0404120058	«خێڵەکانی قەهاتییەکان لەنێو لێڤییەکان دامەبڕن،
040413013f	بەڵکو ئەمەیان بۆ بکەن، جا دەژین و لە کاتی نزیککەوتنەوەیان لە شتە هەرەپیرۆزەکان نامرن، هارون و کوڕەکانی دەچنە ژوورەوەی پیرۆزگاکە و هەرکەسێک لەسەر خزمەتەکەی و بارەکەی دادەنێن.
040414009f	بەڵام بۆ ساتێک قەهاتییەکان ناچنە ژوورەوە بۆ ئەوەی شتە پیرۆزکراوەکان ببینن نەوەک بمرن.»
040415002a	یەزدان بە موسای فەرموو:
040416006e	«سەرژمێری نەوەی گێرشۆنیش بکە بەگوێرەی بنەماڵە و خێڵەکانیان.
04041700d6	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ تۆمار بکە، هەموو ئەوانەی کە دێن بۆ ئەوەی لە چادری چاوپێکەوتندا خزمەت بکەن.
0404180074	«ئەمەش خزمەتی خێڵەکانی گێرشۆنییەکانە لە خزمەت و لە بارهەڵگرتن،
040419011f	پڵاسەکانی چادرەکەی پەرستن و چادری چاوپێکەوتن و پۆشەرەکەی و پۆشەرە پێست مانگای دەریاکە کە لە سەرەوە لەسەریەتی و پەردەکەی دەروازەی چادری چاوپێکەوتن هەڵدەگرن.
04041a01b9	هەروەها پەردەکانی حەوشەکە، ئەوانەی لە دەوری چادری پەرستن و لە دەوری قوربانگاکەن بە چواردەوریدا، پەردەی دەروازەی حەوشەکە، لەگەڵ گوریسەکانی و هەموو ئەوەی لەگەڵیدا بۆ خزمەت بەکاردەهێنرێت، هەموو ئەوەی بۆیان دیاری دەکرێت، گێرشۆنییەکان دەیکەن.
04041b0136	هەموو خزمەتی نەوەی گێرشۆنییەکان چ لە بارهەڵگرتن یان هەر کارێکی دیکە بە سەرپەرشتی هارون و کوڕەکانی دەبێت، تۆش دیاریکردنی بەرپرسیاریێتی هەموو بارەکانی خۆیان پێ دەسپێریت،
04041c00cb	ئەمە خزمەتی خێڵەکانی نەوەی گێرشۆنییەکانە لە چادری چاوپێکەوتن و ئیتاماری کوڕی هارونی کاهین سەرپەرشتییان دەکات.
04041d0062	«نەوەی مەراری بەگوێرەی خێڵ و بنەماڵەکانیان تۆمار بکە.
04041e00d8	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ تۆمار بکە، هەموو ئەوانەی دەچنە خزمەت هەتا خزمەتەکەی چادری چاوپێکەوتن بکەن.
04041f00fc	بەرپرسیاریێتی خزمەتەکەشیان لە چادری چاوپێکەوتن، بریتییە لە هەڵگرتنی چوارچێوەکانی چادرەکەی پەرستن و کاریتەکانی، کۆڵەکەکانی، بناغەکانی،
040420015c	کۆڵەکەکانی حەوشەکە بە چواردەوریدا، بناغەکانی، سنگەکانی و گوریسەکانی لەگەڵ هەموو قاپوقاچاغ و هەموو ئەوەی لەگەڵیدا بەکاردەهێنرێت. بە ناویش هەر پیاوێک دیاری بکە بۆ ئەو شتەی پێویستە هەڵیبگرێت.
04042100d8	ئەمە خزمەتی خێڵەکانی نەوەی مەرارییە، هەموو خزمەتەکەیان لە چادری چاوپێکەوتن بە سەرپەرشتی ئیتامار کوڕی هارونی کاهینە.»
04042200c0	جا موسا و هارون و ڕابەرەکانی کۆمەڵ نەوەی قەهاتییەکانیان تۆمار کرد، بەگوێرەی خێڵەکانیان و بنەماڵەکانیان،
04042300c4	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ، هەموو ئەوانەی دەچنە خزمەتەوە بۆ خزمەتکردن لە چادری چاوپێکەوتن.
040424008f	جا تۆمارکراوەکانیان بەگوێرەی خێڵەکانیان دوو هەزار و حەوت سەد و پەنجا کەس بوون.
