2800000007	Matiewo
2814120075	“Diidi mani, ti caa Jerusalema n yeni, bi ba kuadi o Nilo bijua ki mubni o salga yidkaaba yeni a gbanbanda nui nni.
28141300b9	Bi ba jia o ti buudi, ki cedi ban kpa o. Bi ba mubni o bi nilanba nui nni, ban laa o, ki sugi o, ki pua o a finfinba, ki kpaa o li dapɔnpɔnli po. Ama, li daataali daali o ba faadi.”
2814140052	Ke Sebedenba nagni Jesu kani yeni o bijaba. Ki ñuani o nintuali, ki mia o bonli.
281415008a	Ke Jesu buali o, “Amiabu tie be i?” Ke o jiini o, “Cedi n bijaba ne, ban ti kali a diema nni, yendo a jienu po, tiano, a ganu po.”
2814160099	Ke Jesu jiini ki maadi, “A ki bani ŋan miadi yaali. I ba fidi ki ñu min bobindi ki ba ñu ya bonñukaali nni ii?” ke bi yedi o “Ti ba fidi.”
28141700c2	Ke o maadi ba, “Li tie mɔni ke i ba ñu n bonñukaali nni, ama ki kali n jienu po bii n ganu po wani ii, li ki tie mini ka ba cabi lani, ama li tie n Báa ń bobni li kaani yaaba ya po i.
281418005b	ŋɔdkaaba piiga yaaba n sieni ń gbadi lanya maama, ke bi pali biidi li naataanliedba po.
281419008b	Ke Jesu yini ba, ke bi nagni, ke o yedi ba, I bani ke bi nilanba bado n die ba, ke a nigbenga wangi yaaba n sieni bi paalu ń dagdi maama.
28141a0068	Ama, li kan ya tie yeni ka i yasiiga. Ama yua n bua wan tua yua n cie ikuli i siiga, wan tua i naaciemo.
28141b003b	Yua mo n bua wan tua liiga yua i siiga, wan tua i naaciemo.
28141c0085	Nani o Nilo Bijua ń ki cua ke ban ya tuuni o po ka ama wani ń ya tuuni bi niba po, ki go yidi o miali salga bi niba boncianli po.
28141d003a	Ban ñani, ki gedi Jeriko, ke bi niba boncianli ŋɔdi o.
28141e0081	Ke juuanba lie kaa u sankunu. Ban gbadi ke Jesu pendi bi kani, ke bi tandi ki maadi, “O Diedo, Dafidi Bijua, gbadi ti niñima,
28141f008d	Ke ku niwulgu funi yeni ba, ki niini ba ke ban suoni, ama, ke bi tandi paama ke li cie kpiama, “O Diedo, Dafidi Bijua gbadi ti niñima.”
281420004b	Ke Jesu sedi cenm, ki yini ba ki buali ba, “I bua min tieni i po be i?”
281421003c	Ke bi jiini o, “O Diedo, ti bua ti ninbina ń luodi i.”
281422006a	Ke ti niñinpadi cuo Jesu, ke o sii bi ninbina. Lanyognu liga ke bi nuni luodi ke bi ji nua, ki ŋua Jesu
281501007a	Jesu yeni o ŋɔdkaaba ń nagi Jerusalema, ki pundi Betifaje, Olifie tiidi juali gamu, Jesu ń sɔni o ŋɔdkaaba bilie,
281502009d	ki maadi ba: «Gedi mani ki dogbiga yaaga ye i liiga ne; yin ba pundi ya yognu, i ba la ŋunñua ke o luoli, yeni ki ŋunbiga; yin lodi ba ki cua yeni ba na
2815030069	Nilo ya maadi yi bonli, yin jiini o: “O Diedo n bua ba. Lanyognu mɔno, o ba cabi, yin gedi yeni ba.”
2815040057	Mɔla, ya bonli ne tieni ke o sawalpualo ń den tuodi ki waani yaali ń tieni ki dudi
2815050084	Yedi mani Siyɔn bisalo: «Lani n yeni, a bisalo kpendi a kani, ki dingi boncianla, ki jagi o ŋunbo, ŋunbiga, ŋunñua ya biga.»
2815060044	O ŋɔdkaaba ń gedi ki tieni Jesu ń waani ba ki ban tieni yaali.
2815070058	Ban guani yeni o ŋunbo yeni ki ŋunbiga, ki ladi bi po bi tialakaadi, ki cedi ke o jagi
281508007b	Ku niwulgu siiga, bi niba boncianla den ladi bi tialakaadi u sanu nni; ke bi tianba padi i tiibensɔngi ki ladi u sanu nni.
28150900a1	Yaaba n den ye Jesu liiga yeni yaaba n den ŋua o den kpaandi ki maadi: “Osana, Daafiid Bijua! Mi yedŋanma yua n kpendi O Diedo yeli po! Osana hali tanpojoma.
28150a005e	Wan kua Jerusalema, lan yaa ki lidi yuakuli u dogciamu nni, ke bi ji maadi: One mo tie ŋma i?
28150b005f	Ke ku niwulgu tandi ku tua: “O tie Jesu i, o sawalpualo, ke o tie Galile nni Nasareti yua.”
28150c00bf	Jesu ń kua U Tienu jaadiegu nni, wan beli ki ñani yaaba n den kuadi yeni yaaba n den daa ku jaadiegu nni kuli, ki tudi ki lu lu yaaba n den cendi i ligi taablinba yeni a kpajekuada kpaga,
28150d0068	ki yedi ba: li diani: «“N diegu baa yi jaandiegu” Ama ke yinba wani nan cedi ke gu tua suudjongu.»
28150e0045	Ke a juama yeni mu wabmu nagni o kani li jaandieli nni, ke o tebi ba.
28150f00ab	Bi salga yidkacianba yeni a gbanbanda ń la wan tieni ya yaalidgu tuona, ki gbadi ke a bila kpaandi ku jaandiegu nni, ki tua: “Osana Daafiid Bijua!”, ke bi pala beni.
28151000c3	Ban maadi o: “A gbadi ban maadi yaali ii? Jesu ń jiini ba “Nn, i da ki kpeli ki cogi yaali diani ne ee?”: “A cedi ke a bila yeni ya canpandmu n da ŋaani mi biima pagi a, ki dondi a.”
2815110047	Ki ñani ki ŋa ba, ki lie u dogu, ki gedi Betani, ki ban duani li po.
2815120041	Ku siŋaagu nni wan den gɔa ki lebi u dogu po, ke mi koma cuo o.
28151300ad	Ke o la bu kankanbu u sankunu, ke o nagni, waa la kankanli se kankanfaadi. K o yedi bu: “luanli ń ji da jɔni a ya po palb.” Lanyognu mɔno, ke bu kankanbu yeni kuodi.
281514006a	Bi todkaaba ń la lani, lan yaa ki lidi ba, ban maadi: “li tieni ledi i, ke bu kankanbu ne kuodi yenma?
28151500f8	Jesu ń jiini ba: “N maadi yi i mɔni, i ya bi pia ti dudugdi ke tama ki ye, i bi kan tieni min tieni bu kankanbu yaali ne baba ka, ama i ya bi yedi li juali ne: “Figdi li kani ki gedi ban jiidi ki baa mi ñincianma nni.” Li bi ba tieni.”
2815160034	I ya jaandi, ki mia yaali yeni ti dudugdi, i ba baa.
28151700c0	Jesu ń gedi ku jaadiegu nni ki ban ya tundi; lanyognu, salga yidkaacianba yeni u dogu nni nikpela ń cua ki buali o: “Aduu li laa yiko po i ki tie ya bona ne kuli, ŋma n cabi li yiko?”
281518007c	Jesu ń jiini ba: “N mo ba buali yi i buali, i ya jiini nni i, n mo ba maadi yi ya yiko po ke duu, ki tie lan ya bona.”
28151900d2	Jan batisma, li den ñani le i? Tanpoli bii, bi niba kani i? Ama ban juogi bi ŋmiali nni, ki taa ya maalma ne; ti ya maadi ke li ñani U Tienu kani, o ba buali ti: “Be n cedi ke i den ki tuo ki ga o maama?
28151a0064	Ti ke li ñani bi niba kani mo, ku niwulgu kan tuo ti po; kelima bikuli bani ke o tie sawalpualo i.
28151b007f	Lanwani i, ban jiini Jesu: “Tii bani” Jesu mo ń guani ki jiini ba: “N mo ka maadi yi ya yiko po ke n tie ya bona ne.”
28151c0091	I pia mi laa maalma i? O ja bo ye, ki pia bijaba lie, ki yedi o bijakpelo: “Dinne n biga, ŋan gedi ki ban sɔni n daamɔgu tiidi kuanu nni.”
28151d004d	Wan jiini: “Mii caa.” lan yani waamu, wan tuuba, ki lebdi o yama, k gedi,
28151e0063	Wan maadi yua n sieni mo yeni, lan ya biga mo ń jiini: “Canbáa, n ba gedi. “Ama o naa gedi.
28151f00b8	Bani bijaba lie yeni, ole po n tieni o báa buama? Ban jiini o: “O bijakpelo” Jesu ń maadi ba: “N maadi yi i mɔni, lonpo gaala yeni a concona ba ga i liiga U Tienu diema nni.
28152000cb	Kelima Jan cua i kani mi teginma sani nni, ama, i naa tuo ki ga o maama. Ama, lompo gaala yeni a concona wani i, tuo ki ga o maama. Ke yinba yaaba n la lankuli, i ki tuuba, ki lebdi i pala ki ga o maama.
2815210135	Cengi mani kpanjantɔma. O ja den ye, ki tie diedaano, ki pia ku daamɔngu tiidi kuanu, ki ŋuu i tiidi ki kagni, ki lindi, ki lugdi ku tantiagu po ku buogu, ban baa to naani, ki ŋa ku daamɔngu, ki maa li pagli, ki pani, ki ji ga a tuonsɔnla ke bi guu lebli. O den fii, ki puodi li kpaali ki gedi dogtianu.
2815220072	U kuanu bona ń beni ke ku kpaangu yogu pundi, wan sɔni o naacenba bi kuaguudba kani ke ban ga o kuanu biinu na.
2815230056	Bi kuaguudba ń cuo bi naacenba, ki pua yendo, ki kpa o lielo, ki jaa o taalo a tana.
2815240057	Wan sɔni naacentɔba, ke bi yabi ki cie kpiama yaaba, bi kuaguudba tieni bi mo yeni i.
2815250054	Wan ji juodi ki sɔni o bijua, ki maadi o yama nni: “Bi ba cɔlni n bijua wani.”
2815260094	Ama bi kuaguudba ń la o bi cabáa bijua, ban juogi bi ŋmiali nni maama ne: “O faadilo n yeni; cua mani tin taani, ki kpa o, ki diedi li faali.
2815270042	Ke bi cuo o, ki dadi ki ñani o ki jɔndi yeni u kuanu, ki kpa o.
2815280043	Mɔla o kuadaano ji ya cua, o ji ba tieni bi kuaguudba yeni ledi i?
2815290095	Ke bi jiini: “O ba cedi ya cacagdanba ne ń kpe mi cacagkuuma, wan ga tuonsɔntianba ban ya guu o kuanu, ki tieni o o kuanu biinu ku kpaangu yogu.
28152a00bb	Jesu ń maadi ba: “I ki kpeli ki cogi i diani nni ii: “A tanmaala ń luni ya tanli yeni, lani n tua li tanpuukaali; lankuli ñani O Diedo kani i, ki tie yaalidgu bona ti nunbu nni.
28152b007a	Lani n cedi ke n maadi yi: “Bi ba fie U Tienu diema i nui nni, ki teni ya nibuolu n ba fidi ki cedi man loni a luana.”
28152c005e	“Yua baá li tanli po ba jendi jendi, li tanli ń baá yua ya po mo, o ba yodi yodi i.”
28152d0064	Salga yidkaacianba yeni farisienba ń gbadi Jesu maakpanjama, ban bandi ke o maadi bani ya maama i.
28152e005f	Ban ji ya gbaa ke ban cuo o; ama ki nan jie ku niwulgu, kelima bi den bani ke o tie sawalpualo.
281601002b	Jesu ga m maama, ki pua ya maakpanjanma ne:
281602003d	Ti Diedo diema naani nani ya bado bo tieni o biga janma yeni.
281603009a	O bo sɔni o tuonsɔnbila k ban gedi ki maadi yaabi k o yinba mi janma yeni ki bi gbeni mi jiema ki ban baa na ki je. Ama bi niba yen naa den bua ban cua.
28160400bf	Wan sɔni naacentɔba, ki yedi ba: “Ban maadi mani ba ke n bobni mi pocaajiema ki gbeni; n cedi ke bi kpaá n naakpanba yeni n yankpanba, likuli bobni ki gbeni, ji cua mani mi pocaajaanma.
281605006f	Ama baa cengi li pocaali jaanma po, yuakuli den toli wan bua naani, o ne, o kuanu po o tɔa mo o kpenkpendu po.
281606004b	Yaaba n sieni ń cuo bi naacenba ki pua, ki cagni bi ne, ki kpa bi tianba.
281607005c	O badciamo pali ń be, wan sɔni o jakɔnda ban biani a nibiada yeni miana, ki sia bi dogu.
281608005a	Yeni k o maadi o o jietienbila: mi jiema tieni ki gbeni, ama yaabi n ba je ki dagdi yenli.
281609003e	Yeni, gedi mani a sankaditaana nni, ki yini yin la yaabi kuli.
28160a009a	A tuonsɔnbila ne fii ki gedi a sanjala poki yini ban la yaabi kuli, a nibiada yeni a tadima, talgi nba kuliyeni, o jiediciagu gbie yeni bi niba yen kuli.
28160b0062	O badciamo ń kua ki diidi yaaba n kaa, ki ba di mi jaanjiema, ki la yendo ke waa la o jaantiadi.
28160c0061	Wan buali o: “N dɔnli, a tieni ledi i ki kua ne ki naa lani a jaantiadi? Li nilo ń ya ŋmini
28160d0098	Lanwani i, o badciamo ń maadi o naacenba: Loli mani o nui yeni o taana, ki lu o niinpo li biigli nni, li bubuuli yeni li ñinŋmanli ń ye naankani.
28160e0044	Kelima, ban yini yaaba yabi, ama ban gagdi ki lugdi yaaba wa ki cie.
28160f0073	lanyapo, farisienba ń jɔndi ki juogi bi ŋmiali nni, ki lingi ban ba tieni maama ki dali ki cuo Jesu o maama po.
28161000f1	Ban sɔni bi naacenba Jesu kani, ke bi yegi yeni Juufinba badciamo, Herodi niba, ban maadi: “Canbáa, ti bani ke a tie mɔmɔndaano, ki wangi U Tienu ń bili ya sanu yeni i mɔni, ŋaa jie nilobá kuli, kaa go pia lugdima bi niba siiga.
2816110051	Maadi ti ŋan pia ya maalma: Yiko cabi ke lan pa lompo Sesaari po bii laa cabi i?
28161200c9	Ke Jesu bandi bi biadma po. Bi den guu ke wan maadi ya maama n ba sagni o yeni juufinba bii Roma yikodanba i. Ke o buali ba, yinba mu muyiidmu ne, be n cedi ke i dia nni ku maadiagu ki bua yin cuo nni?
2816130052	“Waani mani nni yin kubi ya dibali ki pa lonpo”. Ke bi nagni o yeni li dibali.
281614004e	Jesu ń buali ba, “ŋma ya nannanli yeni ŋma ya yeli n ye li dibali ne po?
2816150089	Ke bi jiini, “Sesari i” Ke Jesu yedi ba, “Teni mani Sesari yaali n tie Sesari yaali, ki teni U Tienu, yaali n tie U Tienu yaali.”
281616003e	Ban gbadi lanya maama, ke li yaalidi ba, ke bi siedi ki ŋa o.
281617006d	Li daali mɔno, sadiseyennba, yaaba n maali ke faadma ki ye mi kuuma puoli po, ń cua Jesu kani, ki buali o.
2816180072	Canbáa, Moyiisi maadi, ke nilo ya kpe kaa pia biga, o ninjua ń taa o pakuali ki mali o kpiemo po puoli ŋuani.
2816190094	To, ti siiga ninjaba lele den ye. o ciamo po ń kuani o pua, ki kpe, waa pia biga. Nani wan den ki pia biga yeni i, o ninjawaaga ń taa o pakuali,
28161a0051	Lan tua yeni mo lielo po, ki tuani o taalo, ki ya maa yeni ki ban biini o lelelo.
28161b0021	Lani ń pendi, o pua mo ń kpe.
28161c003e	Mi faadma yogu, ŋma ba yendi o pua? Kelima bikuli na kuani o.
28161d006a	Jesu ń jiini ba: “I ye mi tudma nni kelima yii gbia i diani niima nni, i naa go bani U Tienu paaciamu.
28161e007b	Kelima mi faadma yogu, jaba ji kan taa puoba, puoba mo kan ji kuni jaba, bi baa tie nani U Tienu malekinba yeni tanpoli po.
28161f004d	Yaali n nua mi faadma bi tinkpiba siiga, i ki cogi U Tienu ń yedi yaali ii?
2816200075	N tie Abalahama Tienu, Isaka Tienu yeni Jakobo Tienu? U Tienu ki tie bi kpienba ya tienu ka ama bi fuodba ya Tienu i.
281621003c	Lan yaalidi ya niwulgu n bo ye li kani, ki cengi Jesu tunda.
2816220046	Farisienba ń gbadi ke o mubni sadiseyenba ñɔbu, ban taani ki kali
2816230050	yendo bi siiga, yua n tie yiko banciamo ń buali o ya buali ne, ki bua bigni o:
2816240040	“Canbáa, U Tienu maabilkaama nni, mi laa maama n cie mikuli?
2816250066	Jesu ń jiini o: “A baa bua O Diedo a Tienu yeni a pali kuli, yeni a naano kuli yeni a maalma kuli.
281626002e	Mani n tie ya maabilkaama n lii ki cie mikuli.
281627005f	Ya maabilkaama n tua, ki naani yeni cincinli yaama n ne: “A baa bua a lielo nani a bá yeni.
2816280046	Yiko yeni bi sawalpuaba maama kuli maa lani maabilkaaliedma yeni po i.
281629003e	Nani farisienba ń den taani ki ye yeni i, Jesu den buali ba.
28162a005d	Ki yedi ba: “I maali be i, Kiristu po? o tie ŋma ya biga i? Ke bi jiini o: Dafiid bijua i.
28162b0075	Ke Jesu maadi ba: “Li ga ledi i ke Dafiid ń gbie yeni Foŋanma ya yognu, ke o yini o O Diedo, wan maadi ya yognu:
28162c0065	O Diedo maadi n Diedo: “Kali n jienu ki guudi hali min ba cedi a yibalinba ń tua a taaŋmaada?”
28162d0044	Dafiid ya yini Kiristu O Diedo, li ba ga ledi wan go ya tie o bijua?
28162e0062	Obákuli ki fidi ki jiini o bá lanbonli. Hali yeni li daali, nilobá kuli ki ji buali o buali.
281701003c	Lani ki Jesu maadi yeni o nuwuligu yeni o ŋuankaabi ki tua:
2817020041	U Tienu kadabanda nba yeni farisien nba n kubi Moyiisi ñɔmaama,
281703006e	ya tie mani ki gɔ cɔlni ban wangi yaali, ama yinbi n da nua ban tiendi yaali, kilima bi maadi ki naa tiendi.
2817040057	Bi tungi bi niba ya tuga n kpiagi, yaali ki ban mɔno kan tuo ki taa bi nubila ki tugi.
281705009e	Bi tie bi bona kuli ki bi niba n ya nɔbi (nuabi), yeni bi tila yia ya po ki bi diani U Tienu maama yi gbengi ki cie li liela kuli, ki bi tiadi ñɔgbana pia.
2817060052	Bani n gɔ ŋanbi ki buadi a kinkaan cincina ti wondn ni yeni bi tintaandiena nni,
2817070041	bi bua k bi ya cua bi niba nni, ban ya fuondiba ki yib canba nba.
281708005a	Ama yinbi, da ŋaa mani ki bi yii canba nba, kilima i pia canba yendi, yua n ye tapoli po.
2817090057	Yin gɔ da yii nul i tinga ne po i baá, kilima i pia baá yendo, yua n ye tapoli po.
28170a0057	Da ŋaa mani k bi yii yonbidaan, kilima, yendo baba n tie i yudaano, lani n tie klisto.
28170b002c	Yua tie kpel i siign ni ba tua i tuonsɔnlo,
28170c003c	yua n dongi oba, b bu jiini o, ki yua jiindi oba ban doni o.
28170d00c0	Yubɔnli i po, yinbi a gbanbanda yeni falisien munafigi danbi ne, kilima i pangi bi niba U Tienu diema nni kuama, yinbi mɔno, i ki bua ki kua, i gɔ kan ŋaa yaabi n bua ban kua mɔ, ban kua.
28170e00bb	Yubɔnli i po, yinbi a gbanbanda yeni falisien mɔnafiki danba, kilima, i gbendi a pakuana (kpepuol) pianmi, k fani ki jaandi ki nan maadi ti maayuyuodi; li po n cedi ki buudi te baa bia.
28170f00b7	Fala tie i yaali yinbi a gbanbanda yeni falisien nba, ki dugni i caa ya longbana n fagn ki kpaani yaabi n bu kua i jaandi. I ya la nuyendi, o biidi gɔ yi pugni ki kuan o o muu diegu.
28171000e1	Yubɔnli i po yinbi yaabi n ki nɔ ki mɔ ji ŋmagdi i liebi, yinbi n maadi k nuli ya puoni o puoni u jaandidieciangu yeli po li ki biidi, ama nul ya puoni k li tie o jaandidieciangu wula po k k cɔlni li puoni, li kanŋaagu.
281711008c	I ki pia yami ba waami, i tie juama paaa, le po n ji yabi ki cie o lieli, wula bii o jandidieciangu yia cedi wula yi ŋanbi U Tienu nugn ni?
281712009c	Yinbi n gɔ maadi ki nul ya poli salgbinbindli po l ki pia maami ama nul ya poli k li tie salgi yaali n maa l binbindli po k ki cɔln o maami li kan ŋaagu.
2817130068	I tie juama paaa, le n cie l lieli i, salgi bii li binbindli yia cedi k salgi yen mɔni U Tienu nugn ni?
2817140044	Yua puoni bonli, altaro yeli po, o puoni yeni yaali n maa l po kuli.
2817150069	Yua n ́ puoni bonli k taa u jaandidieciangu yeli, u ta yeni U Tienu yeli, wani U le yeni li jaandidieli.
2817160076	Ki yua n gɔ puoni bonli tapoli po yeli po, wan bandi k o puoni U Tienu kankaanu yeli po i, o taani yeni U Tienu kuli.
28171700a9	Yubɔnli i po yinbi a gbanbanda yeni farisien nba munafiki danbi ne, kilkima i paa......... k ŋaan yaali n mɔni, lani n tie k n kuni i mɔni, sugli yeni ti ŋandi nni.
281718008d	Yinbi bi juanbi mɔ u, ki ji b dadi i lieba! Yinbi n yedi ki bua mi ñunŋanbi, ki bi tindi ki ñani i naasiigi ki nan sieni o taamo ki nali.
28171900b6	Fala tie i yali, yinbi a gbanbanda yeni ŋalacidanba, kilima i ŋanbd i jieditiadi yeni i ñuñubona puoli po i, ki ŋaa yaali n ye lien nni, k li gbieyeni ti naayignmi yeni o faagu.
28171a0077	Fini farisien juamo ne, cili ki ŋanbi a ñuñubonli nni yeni a jeditagdgin no, ki li puoli po n mɔn fidi ki ya ŋani.
28171b00cc	Yubɔnli i po yinbi a gbanbanda yeni farisien ŋalacidanbi ne, kilima i tie nani ya kakula (kula) k bi yi ŋanbi li puoli po lan bedi ama k li tingi po gbieyeni a kpab bedma yeni i cincibiadmu buoli kuli.
28171c0062	I mɔ tie yeni, cincanli po i naan yen nimɔnbi yeni ama ki tukdn nan gbie yeni ŋalaci yeni biid.
28171d007d	Yubonli, i po yinba gbanbanda yeni farisienba ŋalacidanba, kelima, i maa bi sawalpuaba kakula ki ŋanbdi bi nimɔnba kakula.
28171e005d	I maadi: “Ti ya bo ye ti yaajanba yogu, ti bo kan kuani ti nuu yaaba wuli sawalpuaba sɔma.
28171f0054	Lanwani ii, i tuo ki tieni kasiedi ke i tie yaaba n wuli bi sawalpuaba sɔma bila i.
2817200029	I mɔko gbie yeni i yaajanba tuonbiadi i.
281721005c	Waalaba, walabiada buolu, i ba fidi ki ciadi ku mubuogu yeni li daajuodkaali buudi jiama aa?
28172200e3	Lanyapo i ke n ba sɔni i kani bi sawalpuaba, bi yanfodanba, yeni yiko gbanbanda. I ba kpa bine, ki kpaa tianba li daapɔnpɔnli po, yaaba n sieni mo, yin pua ba a finfiba i yikodi cogdiena nni, ki beli ki ñani ba i dogu nni.
28172300d2	Lan ba baa maama, li tie ke ban wuli ya niteginkaaba sɔma ki tinga po, ki cili o niteginka Abeli, ki ban juodi Berekia bijua Sakari, yin bo kpa yua ku jaandiegu yeni li jaanbinbindli siiga baa maa i yula po i.
2817240048	N maadi yi i mɔmɔni, ya bona ne kuli ba tieni ya nifiima ne ya yogu i.
28172500d3	Jerusalema, Jerusalema, fini yua n kpa bi sawalpuaba, ki lugdi ban sɔni yaaba i kani a tana! bonmŋa i ke n bi sugni min taani a bila na ya koomado n yi taani o koobimu o fiabi nni yeni, ama a naa pia li buama.
2817260020	Diidi, a diegu ba tua diegbenli.
281727007d	Kelima N maadi yi, i ji kan la nni, ki cili mɔla hali yeni yin yedi, “Mi yediŋanma ye yeni yua kpendi o Diedo yeli po.”
2818010084	Jesu ñani ojaanddiecioangu n ni k paani k caa k u ŋuadi kaabi nagn ni k maad 'o yen'o k waan'o l jaanddiociangu n diena n maa maam
281802007a	k jesu ŋmianm i n tua i laa a? L kul t bu bedi k duani tingi sa -la -la -la k baa tan yeni kan sieni k yaa tua l lieli po
28180300bb	lani k jesu doni k kali oliif tiidi juali po. ku ŋuadikaabi baa k la'ɔg, k bual'o k wan waani ya yogu k l bona bu tieni yeni ya bona bu waani k u baami yeni ŋanduna juodnmi ji ki fagi.
2818040033	k Jesu ŋmian'mi juo mani i baa k ban daa bɔndi i.
2818050070	B nubi boncianli t bu baa k ya kubi n yeli k tua k bani tie kristo, b bu bɔndi b nubi boncianli ban tudi u sanu
281806007f	I baa gbia k u tɔbu pua k bia gbia o tɔbi i yam n daa ŋmadi kaa l buali k l kuli ne n tieni yo ama ŋanduna juodigi daa kaa.
281807009c	U buolu bo yi t fii k kɔni yeni buol tianu, dogu n fii k kɔni yeni dogutianu. M kom bu yi t baa a dongbanaa i boncianli, a dongbantiana mɔ tingi ń jegi
2818080025	L kuli ne daa tie u madu yianu cilgi.
2818090067	B nubi bu kuad'i ban cuo 'i k waani fala, k kpa'i, ŋanduna nubi kuli kan yaa bua i maam k dugn i n po.
28180a0057	l yogu nubi boncianli bu biani b dandanli, k kuadi b liebi k kan yaa bua b liebi nublu.
28180b0055	O faaugu dambi t bo fii k yedi k b tie u tienu sogni- nba, k bɔndi b nubi boncianli.
28180c004b	T biid boncianli t bo yabdi i tinga ne po, b nubi boncianli buami t bu wadi
28180d0033	Ama yua juuni caa yeni l juogi, u tienu bu fie wani
28180e0068	B bu muadi u tienu bal laabaamanli ŋanduna kuli, i buoli kuli n gbadi yo, ŋanduna ń ji fidi k juodi.
28180f009f	I ya t la o bonbiiugu yua ŋmadi b nubi yam baa k kua o jaanddieciangu n i nani u tienu sogni Daniali n bo maad maam (yua cogi l lanbonli ne wan gbadi l niimn)
2818100039	L yogu yaabi ye Suude dogu n i ban sani k kua a juana n i
281811003d	Yua ye o dekanbuag po wan daa kua deni n k u bu tugi u tiadi.
281812003b	Yua ye u kuan po n mɔ daa tua k u bu lebdi k taa u liadli.
2818130045	L dana n i fala b u gbadi a puotunpunma yeni i canpandimu naa -nba i.
2818140050	Ya jaandi mani k l nantaali daali ń daa tu yeni bɔdilua yogu bii Saaba daali.
281815008f	L dana n i b nubi bu cagn i yaa cacagnmi hal k baa ban k la ŋanduna n cil ya yogu yeni mɔlane. Nul bia ji kan ban k cagn i l cacagbuolu liemi
281816006d	L bo yaa tie k l dana ba tie yeni k fagdi, nul bo kan ciadi ama u tienu nigandikaabi po i k u bu wadi l dana.
2818170052	Lani nul yaa t maad'i k kristo ye ne lan bii k u ye ne po, yi daa tuo k tie mɔni.
28181800c8	K dugn i u faaugu dami t bo fii k yedi k bani n tie Kristo, b tianb n yedi k ban tie u tienu sogni -nba i, bt bu tienu o yaalidigu tuona, lyaa bo tie k b bu fidi, ban bɔndi u tienu nigannkaabi mɔno.
2818190017	N tuodi k waani n yeni.
28181a0066	Lani, nul yaa t maadi k wan ye i tinkuonŋ n i yi daa caa, bii ku ye deni po yi daa tuo k l tie mɔni.
28181b0057	nani u tañigidu i yi ña puoli k gadi nutuali yeni u nufosaalo bijua mɔ t bo cua yeni
28181c0038	l bonkpieli n ye naani nanyobil - nba mɔ tigi lan kani.
28181d00be	L cacagnm dana t baa pendi yeni k k u yenu bɔndo, o ŋmaali mɔ kan ya pieni t ŋmaabidi bo ña tanpol po k baa baa. ya bona ye tanpol po kuli k pia u paal kul bu sag g ŋmadi yeni l lieli.
28181e00cd	L yognui k b bu la l bonli tanpol po yal wangi k u nufosaali bijua baami pundi ŋanduna buoli kul ji baa fabn i, b bu la u nufosaali bijua n n ña t tawalgbandi n i yeni u paacianmu yeni t yudandi yua yabi
28181f0098	U bo sɔni u maleki -nba yeni a naatuna yaali n mɔ ban taani u nigandikaabi kuli yaab n bo ye puoli, nintuali yaangi yeni yanbangu, ŋanduna kaan kuli.
2818200071	Gaa mani l tudli ne o kinkanm kani. Yaa yogu k u tɔ a bendimaana k u faadi cil k bundi, i bani k l kpañili nag.
281821005d	Nani i mɔ ya t la l bona kuli, yi bandi k u nifosaali bijua nag i, k u ji ye i diñɔna n i.
281822005a	Yeni i mɔni n maadi l kuli ne b u tieni k sua mɔla nubi yaabi n ye ne k b tɔbi daa kpe.
281823003a	pol yeni i tingi b u pendi ama n maam wan kan ban k pendi.
2818240085	Baa nul k bani l daal k bua ya yogu k l bona bu tieni. Maleki - nba ye pol k bani, u tienu bijua mɔno k bani, n baa u tienu yaa kaa.
2818250057	Nani lan bo tieni nandi nowe yogu yeni l bia t baa tie yeni u nufosaalo bijua baa yogu.
281826009c	Ya dana n pend o k ñinm fidi yili ŋanduna kul yeni, b nubi bo di k ñu k kuandi b puobi k puuni b bidi b jabi, caa yeni yaa daali k Nowe kua u ŋadugu n i
2818270071	k ŋaa'b k b l ye kaa pia uyanbani baa kuli, k ñinm t baa dinb'i. U nufosaali bijua mɔ ya baanm t baa tie yeni.
2818280035	jabilie t baa ye u kpaabin i wan taa yedi k ŋa tiani
2818290034	puobilie t baa naan i dii wan taa yendi k ŋaa tiani
28182a0047	Lani daa guandi mani, k dugn i i k bani yaa daali k i yonmdaano bu cua.
28182b0075	ŋanbi mani k sogi ne: U diedaano bo ya bani u suud n bo baa ya yogu u bo kan guani, u bo kan ŋaa u suud n kua u den
28182c0059	lani mɔ baan mani k yaa guu kelima o nufosaali bijua t bo yi yaa maali k u bu yogubaa i.
28182d005b	Ya tuonsɔlo k u canba guun'o u tuonsunliebi, k wan yaa tien'mi t m jiemi ban bua yaa yogu,
28182e008c	l tuonsɔlo yaa sogi, g bia sogi u canbaa maami, k u t kpeni yaa daali g sua k u ŋanm k sɔni u tuonli l pamanli baa tie l tuonsɔnlo yaali
28182f003f	Yeni i mɔni n maad'i u canbaa bu taa u piami kuli k guun wani.
2818300059	Ama l yaa tie ya tuonsɔlo k pia yaam, k maadi u pal n i k u canbaa daa kan kpen mɔlane,
2818310074	k ji cuo u lieb k pua, k di k ñu yeni a dañuula u canbaa t bo kpeni wan k guu yaa daali, yeni yaa yogu k waa bani,
281833004b	k ñan'o, k taan'o yeni munafigidanmi naani k b baa buudi k ŋmani a ñina.
