0100000014	Medheteththa Maxaafa
020f1b0081	Hessafe istti tammanne nam7u haaththa pulttotinne laappun tammu zamba miththati dizaso Eelaame yiidi heen haaththa doonan uttida.
02100100bb	Gibxeppe kezida nam7anththo aginan, tammanne ichchashanththo gallassan Isra7eele asaa maabaray kumeth Elaameppe dendi biidi Eelaameppenne Siinappe giddon diza Siine geetettiza bazzo yida.
021002004b	Isra7eele asaa maabaray wuri bazzon Muse bollanne Aaroone bolla zuuzumides;
02100300f3	«GODAY nuna Gibxe biittan ba kushen wodhidaakko lo7okkoshin! Heen nuni asho miza kereza yuuyi aadhdhi uttidi nuni koyida mala kath kalli midos; gido attiin intte nuna heeppe kessidi hayssa deraa ubbaa gafan wodhanaas haa bazzo ehideta» gida.
02100400de	Histtiin GODAY Muses, «Tani inttes saloppe miza kath bukisana; asay ubba gallassika kezidi hachchis hachchis gidanaaz xalala maxana koshshees. Asay ta azazo kaallizaakkonne kaallonttaako tani istta hessan paacca xeellana.
0210050056	Usuppunththo gallas istti hara wode maxizayssas nam7u kushe maxidi kaththetto» gides.
0210060081	Hessa gishshas Museynne Aarooney Isra7eele asa ubbaas, «Inttena Gibxe biittafe kessiday GODAA gididayssa hach omars intte erana.
021007008b	Qasse iza bolla intte zuuzumidayssa izi siyida gishshas maalado intte GODAA bonchcho beyana. Intte nu bolla zuuzumanaas nuni oonee?» gida.
02100800fc	Hessafe guye Musey, «Intte iza bolla zuuzumidayssa izi siyida gishshas izi inttes maanaas omars asho immiko intte koyida mala miza ukeththaaka ubbaa inttes maalado immana. Nu oonee? Intte GODAA bolla zuuzumideta attiin nu bolla zuuzumibeekketa» gida.
021009008a	Musey Aaroones, «Neni Isra7eele asaa maabara ubbaa, ‹GODAY intte zuuzunththaa siyida gishshas GODAA sinth shiiqite› ga yoota» gides.
02100a0082	Aarooney Isra7eele asaa maabara ubbaas yootida mala asay bazzo simmi xeellishin heen GODAA bonchchoy shaarara qonccidayssa be7ida.
02100b00ce	GODAY Muses, «Tani Isra7eele nayta zuuzunththaa siyadis; neni isttas, ‹Intte omarsa wode asho maana; maalado uketh kallana; he wode tani GODAA intte Xoossaa gididayssa intte erana› gaada yoota» gides.
02100d007f	He gallassa omarsa wode kurachoti yiidi Isra7eele asay dizason kumida; qasse maalado istti dizaso yuushon xaazay may7i uttides.
02100e0050	Xaazay xoskishin biitta bollan booththa shach misatiza liiqo miishshi beettides.
02100f00bc	Isra7eele asay hessa be7idi ba garsan issoy issaa, «Hayssi aazee?» gida. Ays giikko istti izi aazakko eribeettenna. Histtiin Musey isttas, «Inttes maanaas GODAY immida kaththi hayssako.
0210100094	GODAY, ‹Asay issoy issoy baas maanaas koshshiza mala shiishsho; intte soo asaas hu7en hu7en issi issi kilonne bagga ekkite› gi azazides» gides.
0210110069	Isra7eele asay Musey isttas yootida mala ooththides; baggay darssidi baggay qasse guuththidi shiishshida.
021012009a	Shiishshidi istti makkiin darssidi shiishshidayssas palahibeenna; guuth shiishshidayssaska paccibeenna; wurikka issoy issoy baas gidiza mala shiishshides.
0210130044	Hessafe guye Musey isttas, «Oonikka izappe wontos ashshofo» gides.
02101400b4	Gidikkoka isttafe baggay Musey yootizayssa ekkontta aggidi attidayssa wonto maalado gakkanaas woththida; woththidayssika guxunidi xinqqides. Hessa gishshas Musey istta hanqettides.
0210150073	Maalado maalado asay wuri baas koshshizayssa lagge shiishshides; arshey michchiza wode biittan attidayssi maayides.
0210160096	Usuppunththa gallassan istti kaseyssas nam7u kushe issi issi asas heedzdzu kilo shiishshida. Histtiin maabara halaqati wuri yiidi hessa Muses yootida.
02101700c8	Izi isttas, «GODAY azazidayssi hayssa; wontoy shemppo gallassa, GODAAS geeshsha sambata. Hessa gishshas intte uukkanayssa uukkite; intte doyssanayssaka doyssite; palahidayssa wontos ashshite» gides.
021018005a	Hessa gishshas istti Musey azazida mala wontos woththiin xinqqibeenna woykko guxunibeenna.
0210190079	Wonteththa gallas Musey isttas, «Hayssa hach mi wursite; ays giikko hach GODAA Sambata; intte iza hach demban demmeketa.
02101a007c	Intte usuppun gallassan iza shiishshite; gido attiin laappunththa gallassay sambata gidida gishshas aykkoyka deenna» gides.
02101b0064	Gido attiin issi issi asati laappunththa gallassan shiishshanaas kezida shin aykkoka demmibeettenna.
02101c004c	GODAY Muses, «Intte ta azazotanne ta wogata naagoza ayde gakkanaas ixxanee?
02101d00cf	Ta inttes Sambata immidayssa akeekite; usuppunththa gallassan ta inttes nam7u gallassas kath immizayssi hessa gishshassa. Laappunththa gallas wurikka ba dizason dizason taakko; oonikka awakka booppo» gides.
02101e0035	Hessa gishshas asay laappunththa gallassan shempides.
02101f0083	Isra7eele asay he kaththaza manna gi sunththides. Izikka deebbo ayfe mala gididi booththa; eessara uukettida ukeththa mala mal7ees.
02102000f3	Musey Isra7eele asaas, «GODAY azazidayssi hayssa, ‹Tani inttena Gibxe biittafe kessida wode, bazzon mizida kaththaa istti beyana mala, mannafe issi issi kilonne bagga intte sinththafe yaana yeletatas ashshi woththite› gi azazides» gides.
021021009e	Histtiin Musey Aaroone, «Issi xaaro ekkada issi kilonne bagga gidiza manna izan qola; histtada yaana yeletatas minjjana mala GODAA sinththan woththa» gides.
021022005f	GODAY Muse azazida mala minjjanaas, Aarooney mannaa GODAA markka Taabotaa sinththan woththides.
0210230088	Isra7eele asay ba daana biitta bi gakkanaas oyddu tammu layth kumeth manna mida; Istti Kanaane biitta zawa gakkanaas manna mishe de7ida.
0210240050	Issi kiloynne baggay he wode makkiza gita maka miishshas tammaafe issi kushekko.
02110100a6	Isra7eele maabaray wuri GODAY azazida mala Siina geetettiza bazzofe dendi biidi Erafidime geetettizason uttides; gido attiin asaas uyanaas haaththi heen beettibeenna.
021102009e	Hessa gishshas istti Musera ooyettidi iza, «Nuus uyana haath imma» gida. Musey zaaridi, «Intte tanara ays ooyetteetii? GODAA intte ays paacceetii?» gides.
02110300a6	Gido attiin asay heen saamettidi Muse bolla zuuzumides. Istti, «Neni nuna, nu naytanne nu mehe saamon wodhdhanaas Gibxeppe ays kessadii?» giidi Muse bolla gugumida.
0211040068	Histtiin Musey, «Tani ha asaa wosttoo? Istti tana shuchchan caddana geettes» giidi GODAAKKO waassides.
0211050091	GODAY Muse, «Isra7eele asaa cimatappe nenara ekkada, kase neni Abbaye Shaafa haaththaa izara shocida guufeza ne kushen oykkada asaappe sinth ba.
02110600c5	Tani Siina zuman diza zaallaa bolla heen ne sinththan eqqada naagana; neni he zaallaa shoca; asay uyana mala haaththi izappe kezana» giin Musey Isra7eele cimata sinththan izi gida mala ooththides.
021107008b	Isra7eele asay, «GODAY nu giddon dizeyee? Deennee?» gi GODAA paaccidi ooyettida gishshas he sohoza Musey Maasanne Mariiba gi sunththides.
0211080037	Amaaleeqe asay yiidi Erafidimen Isra7eele nayta olides.
021109009c	Musey Iyaaso, «Neni nuus asaa garsafe issi issi as doora ekkada wonto Amaaleeqetara olettana keza; tanikka Xoossa guufe oykkada dhoqqasohon eqqana» gides.
02110a005c	Iyaasoy Musey gida mala, Amaaleeqetara olettides. Musey, Aarooneynne Huurey dhoqqaso kezida.
02110b006d	Musey ba kushe pude denththishin Isra7eele asay xoonees shin izi ba kushe ziqqisishin Amaaleeqe asay xoonees.
02110c00f6	Muse kushey ixettishin Aarooneynne Huurey shuch ekki ehidi Muse iza bolla utisida. Istti issoy issi baggara ushachcha kushaa issoy issi baggara hadirsa kushaa dhoqqu histti oykkida. Histtiin arshey wullana gakkanaas iza kushey dhoqqu gi gam7ides.
02110d0059	Hessa gishshas Iyaasoy Amaaleeqe olanchchatanne Amaaleeqe asaa giththa mashshan xoonides.
02110e00c1	Hessafe guye GODAY Muses, «Tani Amaaleeqe asay qofettontta mala istta biitta bollafe kumeth dhayssana. Hayssi ubba wode qofettana mala maxaafan xaafada Iyaasos nababa sissontta aggofa» gides.
02110f004a	Museykka yarsho yarshizaso ooththidi, «GODAY ta Bandira» gi sunththides.
0211100073	Qasseka, «Tumappe GODAY ba kushe denththidi yeletappe yeleta gakkanaas Amaaleeqetara olettanaas caaqqides» gides.
02120100a5	Midiyaame biitta qeese, Muse bollo Yootorey, Xoossay Musessinne iza asaa Isra7eele naytas ooththidayssa hessika GODAY istta Gibxe biittafe kessidayssa ubbaa siyides.
02120200cd	He wode Muse bollo Yootorey, Musey guye zaari moyzida Muse machcheyo Xipooronne izi nam7u nayta banara ekki yides. Museykka, «Tani asa biittan bete as gidadis» gishe bayra naaza Gershoome gi sunththides.
0212040085	Qasseka, «Ta aawaa Xoossi tana maaddides; izi tana Gibxe kawo toorappe ashshides» gishe Nam7anththo naaza El7ezeere gi sunththides.
0212050070	Muse bollo Yootorey Muse attuma naytaranne Muse machcheyra gididi bazzon Xoossa zuma achchan diza Musekko yides.
0212060072	Izi, «Tani ne bollo Yootorey, ne machcheyranne izi nayta nam7atara neekko he boos» giidi kiita Musekko yeddides.
021207008c	Hessa gishshas Musey ba bollozara gaagganaas kezidi hokkidi iza yeerides. Istti issoy issaa saroththidaappe guye Muse dunkaane giddo gelida.
02120800af	GODAY Isra7eele asaa gishshas Gibxe kawo bollanne Gibxe asaa bolla ooththidayssa, oge bolla istta gakkida daaburanne GODAY istta ashshidayssa ubbaa Musey ba bollozas yootides.
021209006b	Isra7eele asaa, Gibxe asaa kusheppe ashshanaas GODAY ooththida lo7o ooso ubbaa siyidi Yootorey ufayettides.
02120a0082	«Inttena Gibxe asaa kusheppenne kawo Paaroone kusheppe ashshida GODAY ba asaa Gibxe asaa kusheppe kessi ekkidayssi izi galatetto.
02120b008d	Izi Isra7eele asaa bolla otorettidaytas hayssa ooththida gishshas GODAY hara eeqa xoossata ubbaafe gooba gididayssa tani ha7i eradis» gides.
02120c00b3	Hessafe guye Muse bollo Yootorey xuugettiza yarsho qasseka hara yarshota Xoossas shiishshides. Aarooneynne Isra7eele cimati wuri Xoossa sinththan Muse bollozara kath maanaas yida.
02120d008d	Wonteththa gallas Musey asaas pirdanaas uttiin asay iza sinththan yiidi yiidi eqqiza gishshas Musey maaladoppe omarsa wode gakkanaas uttides.
02120e00fd	Muse bolloy Musey asaas ooththizayssa ubbaa be7idi, «Neni ha asaas ooththizayssi hayssi aazee? Hayssi asay wuri maaladoppe doommidi omarsa wode gakkanaas ne sinththan yiidi yiidi eqqishin, maadoy baynda asa mala neni nerkka ays pirdas uttadii?» gides.
02120f0053	Histtiin Musey ba bollozas, «Asay Xoossa shene oychchanaas taakko yiza gishshassa.
021210007f	Istta giddon yo7oy diikko taakko yeettes; tanikka istta giddon diza yo7o pirdays; Xoossa maaraanne wogaa istta erisays» gides.
0212110035	Yootoreykka, «Hayssi neni ooththizayssi lo7o deenna.
021212007d	Neninne nenara diza asay daabura xalala daabureeta; hayssi oosozi nees daro deexo; neni hayssa nerkka ooththanaas dandayakka.
0212130090	Ane ha7i ta nena zorays! Ta yootizayssa siya; Xoossi nenara gido. Neni ha asaa gishshas Xoossa sinththan eqqa; asaza yo7okka Xoossako shiishsha.
0212140063	Xoossa maaraanne wogaa istta neni tamaarsa; istti waani daanaakko istti ooththana ooso istta bessa.
02121500bd	Qasse asa ubbaa giddofe era asata, Xoossas babbizayta, ammanettidaytanne matta7e ixxizayta doorada isttafe asaas shaalaqata, mato halaqata, hamsa halaqatanne asira halaqata histta sunththa.
02121600ae	Istti ubba wode asaas pirdetto; gido attiin deexo yo7o ubbaa neekko ehetto; waayisontta yo7o ubbaa istti heen wursetto. Istti nenara gishettiza gishshas toohoy nees kawuyana.
021217009a	Neni hessaththo ooththiko hayssi Xoossa shene gidikko neni daro daaburakka. Qasse ha asay wurikka ba yo7oy polettiin ufayssan ba soo ba soo baana» gides.
0212180040	Musey ba bolloza qaala siyides; izi gidayssa ubbaaka ooththides.
0212190091	Musey Isra7eele ubbaa giddofe era asata dooridi asaa kaaleththiza shaalaqata, mato halaqata, hamsa halaqatanne asira halaqata histti sunththides.
02121a0070	Isttika asaas ubba wode pirdida; bana deexxida yo7oza Musekko ehida shin deexxontta yo7oza ubbaa barkka wursida.
02121b004b	Hessafe guye Musey ba bollo Yootore moyziin Yootorey guye ba dere simmides.
0213010057	Isra7eele asay Gibxeppe kezida heedzdzanththo aginan koyro gallas Siina bazzo gakkides.
0213020050	Istti Erafidimeppe dendidi Siina bazzo biidi bazzon diza zumaa sinththan uttida.
0213030090	Museykka Xoossaako pude zumaa bolla keziin GODAY zumaa bolla dishe iza xeygidi, «Neni Yaaqoobe keeththa as gidida Isra7eele naytas hizga yoota;
02130400a4	‹Tani Gibxe asaa bolla ay ooththidaakko qasse golle kafoy ba naa ba qefen tookkiza mala tani inttena wostta tookkada taakko ehidaakko intte intte ayfera beyideta.
021305009c	Histtiin ha7i intte taas kumeth azazettiko, intte ta caaqo qaalaa naagikko, kumeththa deraa garsan intte taas buzo dere gidana. Biittay wuri taas gidikkoka,
021306007e	intte ta kawoteththaas dumma shaakettida qeesetanne dumma dere gidana;› Neni Isra7eele naytas yootana qaalay hayssa» gides.
021307007f	Histtiin Musey zumaa bollafe duge asaakko wodhidi dere cimata xeygi shiishshidi GODAY yoota gida qaalata ubbaa isttas yootides.
0213080072	Asay wuri issi qaalan gididi, «GODAY gidayssa ubbaa nu ooththana» giin Musey istti gidayssa GODAAKKO ekki bides.
02130900c2	GODAY Muse, «Tani nenara haasayshin asay siyana malanne istti nenan ubba wodekka ammanettana mala, tani neekko wolqqama shaarara yaana» gides. Hessafe guye Musey asay gidayssa GODAAS yootides.
02130a005b	GODAY Muses, «Neni asaakko baada hachchinne wonto istta geeshsha. Istti ba may7o meeccidi,
02130b0082	heedzdzanththo gallassas giigettetto. Gaasoykka heedzdzanththo gallassan asay wuri beyishin tani GODAY Siina zuma bolla wodhdhana.
02130c00bd	Neni asay dizaso yuushon asaas zawa woththada isttas, ‹Zuma bolla pude kezontta mala woykko zumaa xapho bochchontta mala inttena erite. Zuma bochchiday oonikka tumappe hayqqanaas bessees.
02130d00cf	As woykko mehe gidiin zawa pinni aadhdhiko oonikka ba kushen iza bochchontta shuchchan caddidi woykko wondafen dukkidi wodho› gees. Zaye goochchi punniko istti pude zumaa bolla kezana dandayeettes» gides.
02130e0057	Musey zumaappe asaakko duge wodhdhidaappe guye asaa geeshshiin asay ba may7o meeccides.
02130f004b	Asaakka, «Heedzdzanththo gallassas giigettite; maccassara aqopite» gides.
02131000e1	Heedzdzanththo gallas maalado dada giirissi siyettides. Wolqqanththa poo7oynne wolqqama shaaray zumaa bolla beettides; Zayey punettiza daro wolqqama giirissi siyettides. Hessa gishshas asay wuri ba dizason babbidi kokkorides.
0213110055	Museykka asaa Xoossara gaththanaas asay dizasoppe kessiin asay zumaa achchan eqqides.
0213120097	GODAY Siina zumaa bolla tamara wodhdhida gishshas gita cooceppe keziza mala cuway tullu gi kezidi zumaa kumeth kammides; zumazi kumeth keehi qaaxxides.
0213130072	Zayeza giirissayka keehi dari dari bida wode Musey haasayiin haasayiin Xoossi izas zaari zaaridi qaalan haasaydes.
021314005c	GODAY kase Siina zumaa bolla wodhdhida wode Muse pude zumaa hu7e xeygiin Musey pude kezides.
021315007d	GODAY iza, «Neni duge baada asay beyana giidi haa taakko zawa aadhdhontta malanne isttafe daroti hayqqontta mala asaa hanqa.
0213160082	Haray attoshin ta mata shiiqiza qeesetikka ubba wode bana geeshshanaas koshshees; histtontta ixxiko GODAY istta qaxxayana» gides.
02131700c2	Musey GODAAS, «Asay zumaa bolla pude yaanaas dandayenna; ays giikko neni ne hu7en, ‹Ha sohoza geeshsha mala dummasada, ha zumaa achchan zawa woththite› gaada nuus yoota woththadasa» gides.
02131800aa	Histtiin GODAY iza, «Neni duge ha7i elle wodhdhada pude keza. Aarooneykka nenara yo. Qeesetanne asaa ta qaxxayontta mala istti zawa pinnidi pude taakko yoopetto» gides.
021319004b	Hessa gishshas Musey duge asaakko wodhdhidi GODAY gidayssa isttas yootides.
0214010032	GODAY haasayda qaalati ubbay hayssafe kaallizayta;
0214020044	«Nena Gibxeppe aylleteththa biittafe kessida GODAA ne Xoossay tana.
021403002d	«Taappe attiin hara eeqa xoossatas goynnofa.
02140400b2	«Bolla salon diza miish gidiin, woykko garsa sa7an diza miish gidiin, woykko biittafe garsan haaththa giddon diza miish gidiin aykkoka misatissada nees misle histtada medhdhofa.
02140500c3	Isttas hokkofanne isttas goynnofa. Ays giikko tani GODAA ne Xoossay qanaatiza Xoossako; tana ixxizayta aawata nagara gishshas nayta heedzdzanththo yeletanne oydanththo yeleta gakkanaas qaxxayays.
0214060070	Qasse tani tana siiqizaytassinne ta azazo naagizaytas daro shii yeleteth gakkanaas tani ta siiqo bessiza Xoossa.
021407006e	«GODAA ne Xoossaa sunth hadan denththofa; ays giikko GODAA ne Xoossay ba sunth hadan denththizayta qaxxayana.
0214080036	«Sambata gallassa hara gallassatappe dummasada naaga.
0214090034	Ne ooththiza ooso ubbaa usuppun gallassatan ooththa.
02140a0130	Gido attiin laappunththa gallassay GODAA ne Xoossaas Sambata. He gallas aykko oosokka ooththofa; neni woykko ne attuma nay, woykko ne macca nay, woykko ne attuma aylley, woykko ne macca aylley, woykko ne miizay, woykko ne deren diidi nees ooththiza hara dere as gidiin he gallassan ay oosokka ooththofte.
02140b00b8	Ays giikko usuppun gallassan GODAY salo, sa7a, abbanne istta giddon diza ubbaa medhdhidi laappunththa gallas shempides. Hessa gishshas GODAY Sambata gallassaa anjjidessinne dummasides.
02140c005e	«GODAA ne Xoossay nees immiza biittan ne daro layth daana mala, ne aawaanne ne aayo bonchcha.
02140d000e	«As wodhoppa.
02140e000d	«Laymatoppa.
02140f000d	«Kaysotoppa.
0214100021	«Oona bollaka wordo markkattofa.
0214110097	«Asa keeth amottofa; asa machcho woykko iza aylle woykko iza aylleyo woykko iza boora woykko iza hare woykko izas diza ay miishshika amottofa» gides.
0214120093	Asay wuri daday giirizayssanne zayey zayetizayssa siyidi qasse wolqqanththi wolqqamizayssanne zumay cuwattizayssa be7idi kokkorishe haahon eqqides.
0214130061	Asay Muses, «Nuni hayqqontta mala Xoossi nunara haasayoppo; neni nuus yoota; nuni siyana» gida.
0214140088	Musey asaas, «Xoossi inttena paaccanaas, iza yashshi intte wozinan kumiin intte nagara ooththontta mala yida gishshas babbofte» gides.
0214150050	Asay haahon eqqi dishin Musey Xoossi dizaso wolqqama shaara dhumaakko shiiqides.
021416006a	Hessafe guye GODAY Muse, «Isra7eele asaas, ‹Tani saloppe inttes haasayshin intte intte ayfera be7ideta.
021417006a	Taappe attiin hara xoossi inttes dooppo; birappe woykko worqqafe inttes eeqa xoossata medhdhidi goynnofte.
02141800f2	«‹Neni taas yarsho yarshizaso urqqafe medhdhada xuugettiza yarshota, issifeteththa yarshota, ne dorsatappe, ne deyshatappenne ne mehetappe iza bolla yarsha. Ta sunththi qofettana mala, intte ooththidaso ubbaa soho yaada ta inttena anjjana.
0214190099	Neni taas yarsho yarshizaso shuchchafe ooththizaa gidikko masettida shuchchafe ooththofa; ays giikko neni massiza biratan iza bochchiko ne iza tunisaasa.
02141a0095	Taas yarsho yarshizaso pude kezanaas yangare medhdhada iza bolla kezoppa; gaasoykka neni keziza wode ne kalloteththi beettana› gaada yoota» gides.
021501002c	«Neni Isra7eele naytas immana wogay hayssa.
02150200a6	Neni Isra7eele nayta garsafe aylle shammiko izi nees usuppun layth ooththo; gido attiin laappunththa layththan izi aykkoka qanxxontta aylleteththafe coo mela yedetto.
021503005a	Izi barkka yidaa gidikko barkka bo; ba machcheyra yidaa gidikko iza machcheyakka izara bu.
02150400a5	Iza goday izas machcho ekkidaa gidikko machcheya izas adde nayta woykko macca nayta yelidaa gidikko, he maccassayanne izi nayti iza godaas attiko izi barkka kezi bo.
0215050071	Gido attiin he aylley, ‹Tani ta godaa, ta machchiyonne ta nayta siiqays; tani aylleteththafe kezikke› giikko,
02150600bb	iza goday iza pirdiza asa sinth aaththo; hessafe guye keeththa penge woykko penge qosilaththaako iza efidi iza hayth goonththan lukko. Histtiko izi ba de7o layth ubbaan izas aylle gidana.
021507005f	«Asi ba macca nayo aylleteththas bayzikko adde aylleti aylleteththafe keziza mala iza kezuppu.
0215080099	Iza bana dooridi efida godaa ufayssontta ixxiko izi goday izo wozzisanaas koshshees. Izi izis ammanettontta aggida gishshas izo allagas bayzana bessenna.
0215090056	Izi izo ba naas ekkanaas koykko ba macca naas ooththiza mala izis bessizayssa ooththo.
02150a0061	Izi baas hara machcho ekkiko koyro machcheys quma woykko may7o pacisoppo; qasse izira aqo aggofo.
02150b0063	Izi hayta heedzdzata izis immontta ixxiko aykko miishsheyka qanxxettontta aylleteththafe kezada bu.
02150c0024	«As wodhida asi hayqqanaas bessees.
02150d0050	Xoossa shene gidi uttiin qoppontta dishe as wodhidaadey tani giigsidaso bete bo.
02150e00a5	Gido attiin as wodhana qoppidi erishe hara as wodhikko hessaadey attanaas giidi he ta giigsida taas yarsho shiishshizaso yiikko yarshizasohozappe haraso efada wodha.
02150f0036	«Ba aawa woykko ba aayo wadhdhiza asi oonikka hayqqo.
0215100068	«Asa wolqqan oykkidi bayzizaadey woykko wolqqan oykkiin asi iza kushen beettidaadey hayqqanaas bessees.
021511002b	«Ba aawa woykko ba aayo cayizaadey hayqqo.
021512008d	«Nam7u asati ba garsan ooyettiko, issoy issaa shuchchara caddiko woykko kushera icciko he qohettidaadezi hayqqontta hargidi hiixan ichchiko,
02151300c3	hessafe dendidi guufera kare giddon hemettiko, he qohidayssi qaxxayettontta attees; gidikkoka izi iza ooso teqqida gishshas miishshe qanxxanaassinne izi paxana gakkanaas iza xeellanaas koshshees.
021514008f	«Asi ba attuma aylle woykko macca aylleyo guufen shocikko he shochchaa geedon heerakka iza kushen hayqqiko shocidayssi qaxxayettanaas bessees.
0215150090	Gido attiin he qohettidayssi issi gallas woykko nam7u gallas gakkanaas hayqqontta aggiko he ayllezi iza miish gidida gishshas izi qaxxayettenna.
02151600f9	«Nam7u asati ba garsan issoy issaara ooyettishe qanththara diza maccassayo boshas gaththiko, hessafe hara iita miish izi bolla gaththontta aggiko, izi bolla qoho gaththidaadey he maccassay azinay oychchidayssa daannati pirdiko ay miishsheka qanxxo.
0215170039	Gido attiin izis boshay darikko shemppo gishshas shemppo,
0215180055	ayfe gishshas ayfe, achcha gishshas achcha, kushe gishshas kushe, toho gishshas toho,
0215190059	xuussa gishshas xuus, madunththa gishshas madunth, qoo7o gishshas qoo7o ekkanaas bessees.
02151a0067	«Issi asi attuma woykko macca aylle ayfe shoci toyssiko he ayfeza gishshas aylleteththafe kessi yeddo.
02151b0067	Hessaththoka ba aylley woykko ba aylleza ach menththiko he achchaa gishshas aylleteththafe kessi yeddo.
02151c008d	«Booray maccas woykko attumas icci wodhikko, he booray shuchchan cadetti hayqqo; iza ashoy meetettofo. Gido attiin boora goday qaxxayettofo.
02151d00e0	Gido attiin booray kasekka icciza boora gidikko, asay booraza godaas yootidishin booraa goday booraa qachchontta aggiko, booray adde woykko macca as wodhikko he booray shuchchan cadetti hayqqo; qasse booraza godaykka hayqqo.
02151e0069	Gido attiin izi cigo qanxxana mala oyshettiko istti oychchidayssa ay gidikkoka qanxxidi ba shemppo wozzo.
02151f0047	Booray attuma naa woykko macca naa icci wodhikko pirday issi mala gido.
0215200093	Booray attuma aylle woykko macca aylleyo icci wodhikko booraa goday aylleza godaas heedzdzu tammu bira ciggo; booraykka shuchchan cadettidi hayqqo.
021521006b	«Issi asi olla kama qaarikko woykko olla bookkidi kammontta aggiko, booray woykko harey he ollaan wulliko,
021522005c	he ollaza goday meheza waaga qanxxo. Izi meheza godaas waaga qanxxidi hayqeththaa baas ekko.
0215230095	«Issi asa booray hara asa boora icci wodhikko, icci wodhida paxa booraa bayzidi iza miishshanne hayqqida booraza ashoza giddon gina shaakki ekketto.
02152400a6	Gido attiin he booray icciza boora gididayssi kaseti erettishin, iza goday iza qachchontta aggiko, iza goday booraa gishshas boora qanxxidi he hayqqidayssa baas ekko.
0216010097	«Issi asi boora woykko dorsa kaysoti ekkidi shukkiko, woykko bayzi ekkiko, issi boora gishshas ichchashu boora, issi dorsa gishshas oyddu dors qanxxo.
0216020066	«Kaysoy keeth bookkishe oykettidi shocetti hayqqiko shocidayssi suuth gussida gishshas oychchettenna.
02160300cd	Gido attiin hessi gadey wonti geyiin hanizaa gidikko izi he gukkida suuththaa acon oyshettees. Kaysozi kaysotidayssa qanxxo; gido attiin izas aykkoyka bayndaa gidikko kaysotidayssa qanxxanaas izi bayzetto.
0216040086	Izi kaysotida mehey paxa dishe iza kushen beettiko, boora woykko hare woykko dorsa gidikkoka izi ba kaysotidayssas nam7u kushe qanxxo.
02160500d2	«Issi asi ba mehe demban woykko ayfey meetettiza miththa giddon heemmishe, meheta hara asa kaththan la7a yeddi heemmiko, izi ba kaththaafe woykko ayfey meetettiza ba miththa ubbaafe lo7izayssa afilaama qanxxo.
02160600a5	«Issi asi buuraa xuuggiko tamay dendidi buuraza wursidi dooren diza kath woykko eqon diza kaththaa mulera mizaa gidikko koyro tama oyththida addezi afilaama qanxxo.
02160700a9	«Issi asi bira woykko hara miish naagissanaas ba shooros hadara immiko, shoorozasoppe he miishshaa kaysotida kaysozi oykettiko, kaysozi he miishshas nam7u kushe qanxxo.
0216080084	Gido attiin kaysozi beettontta ixxiko, hadara ekkida addezi pirdizaytakko shiiqidi hadara miishsha izi miishshaa monttayssas caaqqo.
0216090117	«Asi ay mootonkka boora geedon, woykko hare geedon, woykko dorsa geedon, woykko may7o geedon, woykko hara dhayda miishsha geedon, ‹Hayssi tayssa› giidi mootettiko, nam7u baggayka ba yo7oza pirdizayta sinth aaththetto; pirdizayti wordosida asi hankkoyssas nam7u kushe qanxxo.
02160a009e	«Asi ba shooros hare, woykko boora, woykko dorsa, woykko hara ay mehekka hadara immiin oonikka be7ontta hayqqiko, woykko qohettiko, woykko asi bonqqi efikko,
02160b009d	hadaraaddey ba shooro meheza bochchonttayssas GODAA sinththan caaqqiko, istta giddon diza yo7ozi wurees. He meheza goday caaqoza ekko; qanxxisanaas bessenna.
02160c0047	Gido attiin mehezi hadaraaddefe kaysotettidaa gidikko mehaaddes qanxxo.
02160d0089	He meheza do7ay midaa gidikko, markka gidana mala do7ay mishin attidayssafe ekki ehi besso; histtidi meetettida meheza gishshas qanxxofo.
02160e0077	«Asi ba shooroppe mehe garxxi ekkiko iza goday bayndason he mehey qohettiko woykko hayqqiko he meheza gishshas qanxxo.
02160f007c	Gido attiin iza goday izara diikko, garxxidayssi qanxxofo; kiras ekkidaa gidikko kiras ciggiza miishshay acozas qanxxo gido.
021610006a	«Issi asi azinas giigontta geela7oyo baleththidi izira zin7izaa gidikko izo cilooshidi baas machcho ekko.
0216110071	Izi aaway izo izas immontta ixxiko, geela7oyo ekkiza asi cilooshas imettiza miishshaa keena bira izi aawaas immo.
0216120024	«Bita bitiza maccas paxa woththofa.
0216130025	«Mehera gaaggiza asi oonikka hayqqo.
0216140050	«GODAAS xalalappe attiin hara xoossas shukki yarshiza asi oonikka hayqqi dhayo.
0216150064	«Betidi yida as qohopite, woykko waayisopite; gaasoykka intteka Gibxe biittan bete gididi de7ideta.
0216160045	Azinay hayqqida am7eyonne aaway woykko aaya hayqqida naa waayisopite.
021617004c	Intte istta waayisiin istti taakko waassiko tani istta waaso tumappe siyana;
021618008b	he wode ta hanqoy intte bolla dendana; tani inttena mashshan wursana; intte machcheti am7eta intte naytikka aaway baynda yi7o nayta gidana.
0216190083	«Intte giddon diza ta asaas issi manqo asas miishshe tal7iko, ba miish dichchas immiza asa mala hanopite; neni yelo iza oychchofa.
02161a0056	Neni issi miishsha gishshas ne lagge may7o oykkiko arshey wullontta dishin izas zaara.
