2800000006	IMatta
280d220065	Nadidu uma ri ni, iYesu tẹri ikir bajiya ni ighang upii; Ata tẹri bọ ice ima ba ighang upii ba.
280d2300c3	Udii ni, ka ahwura upii ni aghọ pii kọ ọtọ Ọnọng tẹri wọ, “Imẹ ki yẹmi anyu mi ni ighang upii; Imẹ ki tẹri imumani ashọ wọ kọ kpaa ka akyua na akeri asing kọ.”
280d24009b	IYesu ba sang nga kidẹ ikir bajiya ki kyaa aca. Ni atina nga ba ukushi nga, ni asi, “Tẹri ayọ imumani ighang upii ọbọ kidẹ ija sọ nyeni.”
280d250049	Aba yira bọ si, “Aghọmani apila ighọ ididuma nga shi Anọ Ajiya.
280d260066	Ija kọ shi asing, ni ighọ ididuma yọ shi ẹrẹgọm Onọng. Ọbọ bọ shi anọ ishẹẹ,
280d27006f	ni asho mani apila nga shi ishẹẹ. Ucuru imila wọ sọ usang asing, aghọ ucuru bọ shi atuma Ọnọng.
280d280061	Kọnọ umani aka curu ọbọ ki ta ugha wọ ni, kindii wọ ni uki shi wọ kọ usang asing.
280d2900a3	Anọ Ajiya ki tuma atuma Ọnọng, ni aki curu nadidu uma umani uka sa uvulu, kina aghọ ju uma ububi, ka a woo bọ kini ọbọng bọ ni ki ẹrẹgọm nga,
280d2a0054	ka fẹni bọ kidẹ ugha ọlọ nagigang. Kọ ukadu wu ni aki ci na ghula ayiri.
280d2b0077	Ni agha aipang ki ma uyeri kini ọnọng utaa ni kidẹ ẹrẹgọm Ate bọ. Taani aghọ shi na atọ kọọ kọ.
280d2c00c5	“Ẹrẹgọm Ayaya shi kini upeni na ashọ kidẹ ija ni, unga umani ace ajiya peni ki ba khimi ushọ wọ. Ni ikwyifu na aba ya gbara uma umani ashi ni bọ nadidu ki ya ghẹẹ ija wọ.”
280d2d0065	“Kakyakyua ri, ẹrẹgọm ayaya shi kini aghọ gheli na agbara kina aghọ wang atii adaduma ni.
280d2e0062	Aya peni utii udọdọma uye ni, aba ya gbara nadidu imumani ashi ni yọ ki ya ghẹẹ wọ.”
280d2f0083	“Kakyakyua ri, ẹrẹgọm ayaya shi kini isha ọhwiri itagbo na a fẹni kidẹ ọghọng ki hwiri kwiligba ighọ itagbo ni.
280d300069	Iya tii ni, ajiya waa ki shii kaya asing ki hwiya ididuma ki sa kidẹ ọkọọ na ashi naa ibibi wọ.
280d31006d	Kindii wu ni uki shi wu kọ usang asing. Atuma Ọnọng ki kunu ka aba kau agha akakiya kidẹ agha aipang.
280d320055	Ni asa fẹni agha akakiya kidẹ ugha ọlọ nagigang umani aki ci na aghula ayiri.
280d330041	“Inu kpẹlẹ Uma ri nadidu?” Aba yira nga si, “Ẹẹ.”
280d3400dd	Aba ju bọ si, “Nadidu aghọmẹẹ umẹẹ iMusa umani apeni umẹẹ kaya ẹrẹgọm ayaya ni, ashi kini akọr ọna nga ni, aghọ umani aba na upeni ọsọsa nga kina ọtọtang nga ka uka ukyuru uma nga.”
280d350041	IYesu ya kpẹẹ nadidu ighang upii ni, aba sang nga kọ ukadu.
280d3600b7	Na aya ba ifọng bọ ni aba mẹẹ bọ kidẹ ọkọ takwyuẹ aYahudawa, aba wo ica, na tẹri si, “Abi wu ni ajiya ri peni uye ukyuu ri wọ kina akyuọ uju uma usa uwo ica?
280d370092	Anọ ikafinta ra nga ba? Ayuru nga ngaa ni aka yọrọ si iMaryamu ba? Anayuru nga bọ shi iYakubu, kina iYusufu, kina iSiman, kina iYahuda ba?
280d38005f	Afọọ nga nadidu bọ shi kina ayọ ri ba? Abi wọ ni ajiya ri peni nadidu uma ri kọ?”
280d390095	Aba kọọ anaa ni ngaa. IYesu ba ju bọ si, “Aka tọrọ bọ aghọ pii kọ ọtọ Ọnọng ba inbasi ki ifọng nga kina aca nga ba ni.”
280d3a0045	Ata ba ju nga uma usa uwo ica kọ ukadu ba ka ata ma bọ aipang ba.
280e01002f	Akyua ra ni iHiridus Antifas kọọ ila iYesu,
280e02008e	na aba tẹri agira nga si, “IYahaya aghọ uju iminimini wẹ ri. Akọ sang kọ ukpo; uwu sa ni ashi na akyuọ ju uma usa uwo ica ri.”
280e030078	Ka iHiridus kọ kpẹnẹ iYahaya ki lor, ki sọmọ nga kọ ubọọ itii kaya iHiridiya, ayiri anayuru nga iFilibus
280e04004f	ka iYahaya ka tẹri nga si, “Umẹẹ iMusa ta ma wu ni ingọ vo nga ba.”
280e050088	Akyua ni, iHiridus wang kọ pii iYahaya kọ, ni asọ tẹ ẹrẹbata bajiya, ka a kpaa nga si aghọ pii kọ ọtọ Ọnọng nga.
280e06006e	Ni awii na ajee iHiridus ya ba ni, anọ anayiri iHiridiya ya bọ ni ate nga iHiridus kọọ uhwai nagigang,
280e070045	na aba ta anyu kini ngaa, ki ba suu si aki ma nadidu imumani ashọr.
280e080070	Ayuru nga ngaa sa nga kọ, asi, “Ma mi ẹrẹkwẹ iYahaya aghọ uju iminimini kidẹ ipẹ ka aikyuari.”
280e09003d	Agọm ba duma, usuu nga kina akyeng ra sa ni asa si ama nga.
280e0a0041	Atuma na aya kyua iYahaya ẹrẹkwẹ wọ kidẹ ubọọ itii,
280e0b004a	na aba ni ẹrẹkwẹ kidẹ ipẹ ki ba ma anayiri, ni aya ma ayuru nga.
280e0c004c	Aghọyii nga ba kpaa ọkọ ki ya naa kọ, ni aba kyaa kiya tẹri iYesu.
280e0d00cd	IYesu ya kọọ kindii ni, aba sang ki ghila nga idẹ ọgbọlọ kọ uyuyi ki kyaa ọka umani ace aghọ shiya ba. Ni ikir bajiya ya kọọ kindọ ni, aba ki yii nga ni ifra kọ kpaa kọ ufọng.
280e0e0072	Aya kunu kidẹ ọgbọlọ ni aba nu ikir bajiya, aba kọọ ahwoo bọ, ni aba ma adumu kidẹ bọ ọkyuọ.
280e0f00db	Ọka ya ba ughẹ ni, aghọyii nga ba ki ju si, “Ba aghọ ya kọ kẹẹ ba, ni ọka wẹ ni uya sang ba ughẹ; shira ikir bajiya nga ka akyaa bọ anọrọfọng ushi kọ ukadu kaya gheli akwyi bọ imila.”
280e100067	IYesu ba ju bọ si, “Ba sa bọ ka kyaa uce ka ba, inu ka kyakwyuẹ nọ ma bọ ice ima ka ala.”
280e110042	Aba yira nga si, “Ayọ shina ubiredi utọ kina itagbo ipai.”
280e120023	Aba ju si, “Inu ba mi ni yọ.”
280e1300d8	Aba sa ikir bajiya nga si, acica kaya nọ ọbọ, aba kpaa ubiredi utọ kina itagbo ipai, aba zẹẹ ibate nga ka ayaya ki sa Ọnọng izaa. Asa wura ubiredi nga ki ma atina nga, atina nga ba ma ikir bajiya nga.
280e140055	Aba la nadidu bọ ki shuu. Aba curu awo na ashẹ ki sa ọkọọ ushọ nọ upai.
280e15004b	Ajiya umani ala ni afuma aghimi araji usọ atọ, bam na ayiri kina anọ.
280e160089	Akyua ra ni atina nga ya ghila bọ idẹ ọgbọlọ ki lite nga ki kyaa bọ udaa ugẹẹ, na asa laa nga kọ shira ikir bajiya nga.
280e170086	Aya kpẹẹ shira ikir bajiya ni, aba kila nga aya ọpang kayu nga kaya pii nọ Ọnọng. Ashi kayu nga kọ ukadu ki fuma ughẹ.
280e18007b	akyua ra ni ọgbọlọ nga shi ka abiyatẹ ighọ kina ẹrẹbọ, ugya sọ ca wọ, ka uwuu sọ ju irisho kini wọ.
280e190045	Kini ikwikweting ni ava ba ukushi bọ na asọ kyeng kaya na amusum.
280e1a0082	Ni atina nga ya nu nga na akyeng kaya na amusum ni, aba kọọ ẹrẹbata, ki ju si, “Ahwu nga!” Aba taa kpa ni ẹrẹbata.
280e1b0061	Kidẹ akyua ni iYesu pii ni bọ, si, “Inu ba duma ba! Imẹẹ. Ba kọọ ẹrẹbata ba.”
280e1c005d	IBitrus ba yira si, “Ate, insi ingọ ni, sa mi ki imẹ ba ukushi ngọ kaya na amusum.”
280e1d0077	IYesu ba ju si, “Ba.” IBitrus ba kunu kidẹ ọgbọlọ nga na asọ kyeng kaya na amusum na aki ba ukushi iYesu.
280e1e0090	Ni aya nu uwuu nọ usang ni ẹrẹkyuọ ni, aba kọọ ẹrẹbata wọ na asa dẹẹ kọ ghila idẹ. Aba gyo akpa si, “Ate, foo mi!”
280e1f0097	Kidẹ akyua ni iYesu nawa avọ nga ki kpẹnẹ nga, ki ju nga si, “Ingọ agha uma aipang na jẹẹ, ikẹmbọ sa ni ingọ shina ikwyi ipai?”
280e20002d	Aya fuma idẹ ọgbọlọ ni, uwuu ba tara.
280e21006e	Aghọ shi kidẹ ọgbọlọ ba ta agho kite iYesu, ki ju si, “Aipang ni ingọ na Anọ Ọnọng nga.”
280e22003e	Aya buu udaa ugẹẹ ni, aba kya bọ ẹrẹbọ aJanisarat.
280e23005c	Ni ajiya ukadu ya kpẹlẹ nga ni, aba tuma na ajiya ishi ọka nadidu ka aba nga na adumu.
280e24005b	Aba shọr nga ka ibọ piya anyu igbang nga. Nadidu aghọ umani apiya ni apeni ọkyuọ.
280f01005c	AFarisiyawa kina aghọmẹẹ umẹẹ iMusa ba ukushi iYesu ka Urushelima ki ba ghulu nga,
280f020073	“Ikẹmbọ sa ni atina ngọ wura italẹ inga anirakpẹẹ? Aka hwuru bọ ivọ bọ na atọ la imila ba.”
280f030062	IYesu ba yira bọ si, “Ikẹmbọ sa ni inu ka wura imumani Ọnọng tẹri kaya italẹ nọ?
280f04008b	Ka Ọnọng si, ‘Nu ọkpọtọrọ ate ngọ kina ayuu ngọ.’ Ni, ‘Aghọmani acira ate nga kina ayuru nga ni, aki kpoo iyiya.’
280f05005b	Ni inu ka tẹri si, ‘Imumani aki ma ate nọ kina ayuru nọ ni, inu ka ma Ọnọng.’
280f060057	Ata maa na ate nga ba.’ Kindọ ni inu ta manọ upii Ọnọng ba kaya italẹ nọ.
280f070056	“Inu, aghọ ju unu ica! Kindii wu ni Ishaya ghila amọ aghaghẹ kaya nu wọ, si,
280f080060	“Ajiya ri ni ibẹlẹ bọ yọ na ka jọọ mi kọ, ni ikwyi bọ shi atọọ kini imẹ,
280f090061	ijirija wọ na asọ jọọ mi wọ, aka mẹẹ umẹẹ bajiya kọ taa upii Ọnọng.’”
280f0a005a	IYesu va yọrọ ajiya nga kukushi nga ki tẹri bọ si, “Inu kọng ki inu kpẹlẹ,
280f0b0075	Ba imumani ika ghila anyu ajiya yọ ka sa nga irighe ba, si imumani ikunu ka anyu nga yọ ka sa nga ‘irighe’”
280f0c005f	Atina nga va ba ki ghulu nga si, “Ingọ ye si aFarisiyawa kọọ anaa kọ nọ upii ri?”
280f0d006a	IYesu va yira ki ju si, “Nadidu upila mani ba ate mi ka aYaya nga pila ba ni, aki yẹẹ kọ ka akang.
280f0e007f	Ya bọ ya; afoo bọ aghọ uyeni afoo itra. Insi afoo kpẹnẹ ace afoo ka ashi ni, nadidu bọ ni, aki kpaa kidẹ uhwo.”
280f0f003b	Ni iBitrus ba ju nga si, “Nyeni ayọ idi ighang upii.”
280f10004b	IYesu ba ju nga si, “Ki ta ka aikyua ri ni inu ta kọ kpẹlẹ nọ ba?
280f110076	Inu ta nu nọ ni nadidu imumani ighila idẹ anyu ka wor kyaa yọ idẹ afo ki va kunu yọ kidẹ ẹrẹnọma ba?
280f12004c	Ni imumani ikunu kidẹ anyu ba kidẹ ikwyi wọ, iyọ ka sa ajiya irighe.
280f1300b2	Ki idẹ ikwyi yọ ni uwang uju akakiya, kina upili ajiya, uwang ayiri kọ aghimi bajiya, uju uma ẹrẹnọma, uyi, uma upii atẹri kaya ace aghọ kọnọ ubra uca aghọ.
280f140065	Umumani uka sa ajiya irighe budibi. Ula ni avọ umani ahwuru bọ ba ka sa wọ aghọ irighe ba.”
280f150039	IYesu va sang nga kukadu ki kyaa ishii aTaya kina aSidon.
280f1600b1	Ashi kukadu ni, ace ayiri agha aKan’ana ba ukushi nga na asọ ci, “Kọng ahwoo mi, Ate, Anọ iDauda; ushẹẹ ghila anọ mi anayiri na asọ kọng ọlọ nagigang.”
280f170071	IYesu ta pẹni ni ngaa ba. Ni atina nga ba ki ba sọrọ nga si, “Kla nga! Ka asọ ci na duma ayọ kọ.”
280f180061	Aba yira si, “A tọrọ tuma mi si iya wang atẹm na avulu bọ kidẹ ọna Israila kọ.”
280f19003e	Ni ava ba ki ba ta agho kite nga, si, “Ate, sẹ mi kọ.”
280f1a004e	Na ava yira si, “Ushi wọ nọ uyeri na akpaa imila anọ ka ama ava ba.”
280f1b0063	Ayiri ba ju si, “Ẹẹ, Ate, ava ma ka la awo umani akpara ki ẹrẹbọ ka imila ate ọna.”
280f1c0095	IYesu ba yira nga si, “Ayiri, uma aipang ngọ shina ẹrẹkyuọ! Taani uba kọnọ uwang ngọ ni.” Anọ nga anayiri ba akyuọ ka akyua ra.
280f1d0062	IYesu sang nga kukadu ki ko nga abẹni ẹrẹyẹma aGalili. Aba kila nga aya ọpang kiya cica.
280f1e00a9	Ikir bajiya va ba ukushi nga, aba nga na agunu, afoo, aghọ uwẹni ifra, agbatọng na abẹbẹ, kina aghọ shẹẹ, ki ba kyo bọ kite nga, aba ma bọ ọkyuọ,
280f1f00c0	ki ta kọ umani ikir bajiya nga wo ica nọ umani agbatọng sọ pii, aghọ uwẹni ifra ni, ika bọ ba na ẹrẹkyuọ, agunu kyeng, afoo sọ kyoo uka. Ni aba jọọ Ọnọng Israila.
280f2000dd	IYesu ba yọrọ atina nga ki ju bọ si, “Imẹ hwiri ahwoo bajiya ri ka akọ la awii atai kini imẹ, ata kọ la bọ ighima ba. Imẹ wang mi nu vuu kini bọ ni idafo bọ ba, ka abọ ta na ya kpaa kọ utra.”
280f210074	Atina nga ba ju nga si, “Ọkọ ta ajiya ri, abi wu ni ayọ ki peni ubiredi umani ayọ ki cee ajiya ri wọ?”
280f220073	Ni iYesu ba ju bọ si, “Ubiredi umi wu ni inu sọnọ wu?” Asi, “Utinsara, kina anọ itagbo na zẹẹ.”
280f230029	Aba sa ajiya nga na acica ki ẹrẹbọ,
280f24007a	aba kpaa ubiredi utinsara kina itagbo, aya kpẹẹ usa Ọnọng izaa ni, aba wra ki ma atina nga, atina nga ba ma ajiya.
280f25005f	Kwinga la ki suu, atina nga ba tira awo mani ashẹ ki sa kọ ọkọọ utinsara ki tii wọ.
280f260050	Aghọmani ala ni ashi aghimi araji usọ anari ki tọ kpaa ayiri kina ananọ.
280f270050	Aya shira ajiya nga ni, aba ghila idẹ ọgbọlọ ki kyaa ishẹẹ aMagadan.
2810010062	AFarisiyawa kina aSadukiyawa ba ukushi iYesu ka aba mra nga, aju nga si anyeni bọ amaa ka ayaya.
2810020075	Aba yira bọ si, “Insi uka ba ughẹ ni, inu ka ju si, “Uka ki shi uduma, ka ayẹrẹmọọ shi na kyọng.’
28100300b8	Ni ikyuatii ni, “Aviya ki kpaa kaidii, ka ayẹrẹmọọ shina kyọng kọnọ uyuu.’ Inu ka kpẹlẹ ushii ayẹrẹmọọ, ni inu ta ki bọra nọ ukpẹlẹ amaa akyua ba.
28100400ae	Agha akakiya kini aghọ yẹẹ na ayiri kọ aghimi mani ashi angọ ba bọ ka wang amaa, ba amaa na aki nyeni nu iba si anga iYunusa ba ni.” Aba ya bọ ya ki sang nga.
2810050059	Atina iYesu ya fuma udaa ugẹẹ ọghọng ni, aba kpẹlẹ si ibọ yuu ubiredi wọ.
2810060065	IYesu ba ju bọ si, “Inu sa ica nu ci nazizal ki inu ye na uyisti aFarisiyawa kina aSadukiyawa.”
281007005d	Aba tee aghọ pii kina acee bọ, si, “ta mani ayọ ta ba yi nọ uce ubiredi wọ ba.”
281008009c	Ni iYesu, ye imumani asọ pii ni, iYesu va tẹri bọ si, “Inu aghọ uma aipang na zẹẹ, ikẹmbọ sa ni inu sọ pii kina acee nu kọ ta ubiredi?
2810090093	Inu kọ kpẹlẹ nu ba? Inu ta shuni nu mani imẹ cee ajiya araji usọ atọ kini ubiredi utọ ba, kọnọ umani ọkọọ ume tii na acuru?
28100a0053	Kina ubiredi utinsara ka ajiya araji usọ anari, kina ọkọọ ume tii na acuru?
28100b0079	Ikẹmbọ sa ni inu ta kpẹlẹ nu si ita pii mi kaya ubiredi ba? Inu sa ica ka uyisti aFarisiyawa kina aSadukiyawa.”
28100c0084	Asa kpẹlẹ si ata tẹri bọ si asa ica na uyisti idẹ ubiredi wọ ba, ni asa ica ka umẹẹ aFarisiyawa kina aSadukiyawa wu.
28100d007f	Akyua ni iYesu ya fuma ishii aKaisariya aFilibi ni, aba ghulu atina nga si, “Inga ni ajiya sọ tẹri si Anọ Ajiya shi?”
28100e00ae	Aba ju si, “Ace aghọ bọ si iYahaya aghọ uju iminimini, ace aghọ bọ si, Iliya, ace aghọ bọ si Irimiya ko agha yeng kidẹ aghọ pii kọ ọtọ Ọnọng.”
28100f0038	Aba ju bọ si, “Inu ni, inga ni inu si imẹ ashi?”
281010004a	IBitrus ba yira si, “Ingọ si uKristi, Anọ Ọnọng agha akyuọ.”
281011009c	IYesu ba yira nga si, “Ingọ ni agha anyu adaduma ngaa iSiman anọ iYunana! Ki ba ajiya na ayi nga nyeni ngọ udii ba, ate mi ka ayaya nga nyeni ngọ.
2810120092	Imẹ sọ va tẹri ngọ, ingọ si iBitrus, ka ya upa ri wọ ni imẹ ki vura ọna mi kọ, ni akyuọ ukpo ki shi wu na akyuọ kaya nga ba.
28101300b4	Imẹ ki ma ngọ aca ẹrẹgọm ayaya, nadidu imumani inu lor ka ya asing ni, kindii wu ni alor kọ ka ayaya, nadidu imumani ashii ka ya asing ri ni, aki shii yọ ka ayaya.”
281014004e	Aba waa atina nga atọng nagigang si aba tẹri aghọ si anga si uKristi ba.
28101500ee	Kọ kpaa ka akyua ra ni, iYesu tee aghọ nyeni atina nga si iyiya ni inga ki kyaa Urushelima, ka aya kọọ ọlọ kukushi akwite kina afirist akakọng kina aghọmẹẹ umẹẹ iMusa, ka aba pii nga kọ, awii itai ni, aki sisang.
2810160072	IBitrus ba kpaa nga ki kyaa uhwo wọ ki ya gẹr nga si, “Ọnọng kpaa kọ, Ate! Udii ki ba ngọ nga ba.”
28101700b3	Ni aba tee ki tẹri iBitrus si, “Sang ngọ kukushi mi, Ishẹẹ! Ingọ ni ima usa ukpaa yọ kukushi mi. Ingọ ka ghulu ikwyi ngọ kina ajiya nga ni, basi Ọnọng ba.”
281018008b	IYesu ba tẹri atina nga si, “Nadidu aghọmani awang yii mi ni, sa azọnọ tọrọ nga irikwyi nga ka kpaa ugara ushi nga ka yii mi.
281019006e	Ka aghọmani awang foo ọkyuọ nga ki taa wọ, ni aghọmani ataa ọkyuọ nga kaya mi ni, aki peni wọ.
28101a0081	Ikẹmbọ sọ uduma umani ajiya ki peni ashi nadidu kọ taa ọkyuọ nga? Ta ikẹmbọ ni ajiya ki ma kọ ta ọkyuọ nga?
28101b006d	Ka Anọ ajiya ki ba kina atuma nga kidẹ ujọọ Ate nga, ukadu wu ni aki piya kwinga utina mani aju kọ.
28101c008c	Aipang ni isọ tẹri nu, ace aghọ bọ ting ya kọ kẹẹ ni ata ki kpo bọ nga ba sa anu uba Anọ ajiya kidẹ ẹrẹgọm nga.”
2811010086	Awii atin ya wor bọ ni iYesu va kpaa iBitrus kina iYakubu kina iYahaya, anayuru nga, ki kyaa ni bọ kaya ọpang utitugu kayu bọ.
281102006f	Ushi nga ba tee kite bọ, ibate nga sọ ma uyeri kini ọnọng taa ni, ugbang uko nga ba kọ ufufuu na tas.
2811030048	Kidẹ akyua ni iMusa kina Iliya kunu kite bọ na asọ pii kini iYesu.
28110400b6	IBitrus ba tẹri iYesu si, “Ate, ọsọ uduma nọ umani ayọ shi kukadii, insi ingọ yira ni, imẹ ki ta uzọọ utai. Iye inga ngọ, iye inga iMusa, iye ni, inga Iliya.”
28110500c6	Ashi kidẹ upii ni ace amọ na pipar ba yuru bọ ya, ni aba kọọ ice ẹrẹwyuẹ kidẹ amọ si, “Anọ mi wẹ angọ umani imẹ yoo, ika kọọ uhwai nga nagigang; inu kọng ngaa!”
2811060056	Atina ya kọọ kindii ni, aba kpaa ki fuga ubate bọ ki ẹrẹbọ ni ẹrẹbata.
2811070048	IYesu va ba ki ba piya bọ si, “Sisang, ba kọọ ẹrẹbata ba.”
281108004f	Aya zẹẹ ubate bọ ka yaya ni, ata nu bọ ace aghọ ba si iYesu kayu nga.
2811090085	Asọ shulu kaya ọpang ni, iYesu ba waa bọ atọ si, “Ba tẹri ace aghọ imumani inu nu ba, sa Anọ Ajiya sang kọ ukpo.”
28110a0057	Atina ba ghulu nga si, “Ikẹmbọ sa ni aghọmẹẹ iMusa si sa Iliya kyọ ba?”
28110b003e	IYesu ba yira si, “Iyiya ni sa Iliya ba, aki ba ker kwikẹ.
28110c00a1	Ni imẹ sọ tẹri nu si Iliya kọ ba, ni ata kpẹlẹ bọ nga ba, aju nga ima uwang bọ. Kindọ wu ni Anọ Ajiya ki kọọ ọlọ wu ki ivọ bọ.”
28110d004a	Atina sa kpẹlẹ si asọ pii ni bọ kaya iYahaya aghọ uju iminimini.
28110e004f	Aya fuma uka ikir bajiya ni, ace ajiya va ba ukushi nga ki ba ta agho kite nga,
28110f008e	ki ju si, “Ate, kọ ahwoo anọ mi, asọ kpira itahwu na aka kọọ ọlọ nagigang. Akyua nagigang ni aka kpra kidẹ ugha kina amusum.
281110004f	Imẹ ba ni nga kukushi atina ngọ ni ata bọra bọ uma nga ọkyuọ ba.”
28111100cb	IYesu ba yira si, “Inu ajiya akyakyua ri, aghọ umani aka ma bọ aipang ba kina agha akakiya, agba akyua wu ni imẹ ki ci kini inu wu? Agba akyua ni imẹ ki mọr ni inu? Ba ni anọ kukushi mi.”
281112005e	IYesu ba gẹr ushẹẹ nga, aba kunu ki ẹrẹnọma nga, anọ va ba akyuọ kidẹ akyua.
2811130077	Atina iYesu va ba ukushi nga ku yuyi, ki ba tẹri nga si, “Ikẹmbọ sa ni ayọ ta biya bọ uwoo ushẹẹ ba?”
2811140101	Aba ju bọ si, “Uma aipang nọ shi na zẹẹ. Aipang, imẹ sọ tẹri nọ, insi inu shi na uma aipang na zẹẹ kini ikir ikpo ni, inu ki tẹri upang ri si, ‘Yini kọ kẹẹ kọ kya ngọ ukaa,’ ni uki yini, ba imumani inu ki biya nu ju ba.
281115004d	Idi ighọ ri ka kunu yọ ba sa apii nọ Ọnọng kina ukpẹnẹ anyu.”
2811160066	Aghọyii iYesu ya curu ka aGalili ni, aba ju bọ si, “Aya sọ ma Anọ Ajiya kidẹ ivọ bajiya,
2811170051	aki pii nga kọ, awii itai ni, aki sisang.” Ni aghọyii nga ba duma nagigang.
2811180088	Aya ba aKafarnahum ni, aghọ yira agonu ọna Ọnọng ba peni iBitrus ki ju si, “Aghọmẹẹ nu ka biya agonu ọna Ọnọng?”
28111900d6	Aba ju si, “Ẹẹ.” IBitrus ya ba idẹ ọna ni, iYesu ba kyọ pii ni nga, si, “Ikẹmbọ shi unu ngọ, iSiman? Kukushi inga wu ni agọm asing ka yira agonu wu? Kukushi anọ bọ ta ace aghọ bọ?”
28111a0068	Aya ju si, “Ace aghọ bọ,” ni, iYesu ba tẹri bọ si, “Unyeni si, anọ bọ ka biya bọ ba.
28111b010e	Kindii ni, ka ajiya ri ba kọọ anaa wọ ba ni, kya ngọ ẹrẹyẹma kọ ya fẹni ima uhwiri itagbo, kọ fumu anyu itagbo nọ ingọ kyọ kpẹnẹ, insi ingọ fumu anyu ni, ingọ ki nu ufe mani ọki maa ubiya, kpaa ufe kọ ya biya agonu mi kini ngọ.”
281201007d	Ka kyua ra ni Atina Ọnọng ba ukushi IYesu na sọ wulu nga si, “Inga nga gina nọ ughọghe kidẹ ẹrẹgọm ayaya?
281202003a	Avasa yọrọ ace ananọ, ki kyọ nga ka biyating bọ,
2812030080	Atẹri bọ si, “Iyiya ni isọ tẹri nọ, sọ nu tee ki ba kina ananọ bọ ni, inu ki ghila nọ ẹrẹgọm ayaya ba.
281204007c	Kindọ ni, aghọ mani akpaa irikwyi nga na kikya kini ananọ ri ni, anga cẹri kọnọ ughọghe ki ẹrẹgọm ayaya.
281205004b	Aghọ mani ayira Ananọ kini adi kidẹ nọ ca mi ni, aghọ yira mi.”
28120600bc	Kindọ ni aghọmani asa agha yeng kidẹ anọri na yira mi ukpa afra ni, ọki gina aghọmani ata aning kọ umọghọ nga kini utii uhwọ, ka fẹni nga kidẹ ọghọng ukyukyugu.
2812070086	Ọlọ nu agha aya asing kọnọ umumani ọki sa nu ukpa! Iyiya yọ ni uma usa ukpa ki ba, Ọlọ nu aghọmani anga ki sa ukpaa.
28120800ed	Insi avọng kọ afrang ki sa ngọ ukpaa ni, usọ waa kọ nau. Ọki gina ngọ nọ mani ughila ọkyuọ kina afra ta avọ ayeng, ta ushi agunu kọnọ mani afeni ngọ kidẹ ugha mani ọka kpou ba kini ivọ ipai ta ifra ipai.
28120900b8	Ipeni ica ngọ ki sa ngọ ukpaa ni, nọsọ wo yọ kọ na kọ. Ọki gina ngọ nọ mani upeni ọkyuọ taa amaa kini ica iyeng, nọ mani afeni kọ ọna ugha ni ica ipai.”
28120a0093	Unu sa amaa kọ, unu ma jer ace aghọ kidẹ ananọ ri ba, ka isọ tẹri nọ, Atuma nga ka yaya akyo aghu ibẹtẹ Ate mi mani ashi ka yaya.
28120b0032	Ka anọ ajiya ba ka ma foru agho mani avulu bọ.
28120c00c8	Ikẹmbọ nunu kidẹ ikwyi, ipeni aghọcee ashi kina atẹm aji, ayeng kidẹ bọ vasa vulu, akiya ushe ishui larọshọ na larọshọ kayi itili asha larla asọ ya wang ayeng mani avulu ba?”
28120d009a	Ipeni apeni nga ni, aipang ni sọ ter nọ, ikwyi fuu mani aju kaya ẹrẹkwẹ nga ni, ọgina ngọ ishui larọshọ na larọshọ mani ata vulu ba.
28120e006a	kindi wu ni, bọ uwang Ate yi aghọ mani ashi ka yaya ba na agheyeng kidẹ ananọ ri na vulu wu ba.”
28120f00a4	In peni anayuru ngọ vulu ngọ ni, kya ọkọ shi nga kọ ya nye ni nga si avulu, ngọ kini inga ka pai nọ. In peni akọng ngọ ni, ọva vughu ni ngau du.
2812100080	Ipeni atọrọ ni, usọ va kya ukushi nga kina ajiya ayeng ta agha apai ka ma aipang nọ upii ka anyu agha apai ta agha atai.
28121100c7	Ipeni anayuru ngọ tọrọ kọng bọ ni, ọsọ tẹri Ajiya ọnọng, insi atọrọ kọng ni asọ kyọghu nga kina aghọ mani aghọmani ashi bọ aYahudawa ba ni, kọ aghọ yira agonu.
2812120094	“Iyiya ni sọ ter nọ, du inga mọ mani unu lor kaya sing ni, alor yọ ka yaya. Du imumani unu shighi kaya asing ri ni, a shighi yọ ka yaya.
281213007b	Isọ tẹri nu aipang si, ipeni agha pai kidẹ nọ yira si abọ ki shọr icima ni, Ate mi mani ashi ka yaya aki ju nu.
2812140056	Ki du ọkọ mani agha apai ta agha atai acuru kọ ki dubọ uca mi, ishi kini bọ.
2812150092	Ashi kidẹ udu ni iBitrus vasa ba ki ter IYesu si, “Ate ayaya, iri mẹ kọ na anayuru bọ vulu mi kọ ni sọ ya nga ya? Iri ti ni sara?”
2812160054	IYesu vasa ter nga si, “Ba iri ti ni sara wu ba, iri ti ni sara si ishuitini sara.
2812170074	Kindọ ni, aki mara ẹrẹgọm ayaya kini ace agọm mani awang pila upẹni nga mani ushi kidẹ vọ agira nga.
281218008d	Agọm ya lite nọ pila ni, avasa ba nga kina ace ajiya mani ayii nga uta azurfa asọ mani aghọ ki bra ubiya ba naidu ọkyọ ghọ nga.
2812190085	Ara bra vughu nu ufe ba ni, Agọm vasa ju si agbira ngau kina ayiri nga kina anọ nga kini imu mani ashi kini yọ ka ma nga ufẹ.
28121a0057	Agira nga vasa ta agho kite nga ki te si, ‘Aju nga akuri, inga ki ma nga akwikẹ.’
