2800000006	Umatta
2815220077	Ivang iyiki igbigbɛr iki iwe, unga adene agãrhãnga umbɔ azĩmbɔ ra abi irham imang hã ayɛise ikpũrhã icangnga.
281523006d	“Abi irham imang hã adzur agãrhũ utsak ha akwɛr unying, na afɛre unying, na atang atarh ru uwu untaar.
281524009f	Mɔcɛ unga abvui adene agãrhã abɔɔ ru umbɔ aka anangmbɔ abi inggbaashia. Bɔr abi irham imang hã akorhe ru nyaka umbɔ aka akorhe nggu abi inggbaashia.
281525005f	Ri imimasha kishoo, unga adene ungwɛ̃nga, agɛ, ‘Awuri idzowukumbɔ imor ru ungwɛ̃mum.’
28152600a3	“Bɔr abi irham imang hã aka anyã ungwɛ̃ hã, umbɔ agɔr adɔkambɔ agɛ, ‘Uwɛrɛ unga awu ru ukam icang hã. Umɛn ifɛre unga ni icanga iwu iyimɛn!’
281527004b	Nggee umbɔ adzur unga, atare unga ru undzing ufɔm icang hã, afɛre unga.
281528005f	“Nggee, ivang uner icang hã aba abanga, unga awuri ikorha aguse nggu abi irham imang hã?”
28152900a7	Umbɔ agɔr unga agɛ, “Awuri ifɛruka abika abewa ha, na adzowe icanga ra abi irham imang abɔɔ, abirabɛ aka awuri idzowe ugau ikpũrhã icangnga ri ivangngge.”
28152a00e2	Uyesu agɔr umbɔ agɛ, “Umbi anasi ivarhumbi ri itsɛng Arherhu-Num? Igɔr ugɛ, “‘Utarhkpi abi idzin aka akpɛ̃, ukpɔ uwu utarh ãgboki idzina. Akɛrɛ awu ubinkpi Uteijee aka akorhe, na awu ubin idzeu ra asumɛn.’
28152b0074	“Nggee umum idɛyiwa umbi, awuri ivurmbɔ Iyɛrhe Unum ru umbi na adzowe abika aghwɛr ikpũrhã iyi Iyɛrhe Unum.
28152c0076	Uner ha aka igba ni itsi utarh iyɛrɛ, akpurha ashaka. Nu uwuruwi utarh ha uku igba nú unga, ukpurhu ugɔke unga.”
28152d0088	Ivang ateiya abika adzowe idɛm-Num nu abi Ufarisi aka agũ unyaka arherhe Uyesu aka adzowe, umbɔ ahwɛngmbɔ ugɛ arherhe ri itsimbɔ.
28152e0081	Umbɔ abee udĩ ukpuku udzur unga, bɔr umbɔ agũ iwei, ubinkutsu, ikikɔng anera anyanga unga awu uner uwuku usɔm Arherhu-Num.
2816010030	Uyesu abvui arherhuwe umbɔ unyaka arherhe agɛ,
2816020056	“Iyɛrhe afã iwu ru nyaku uyɛrhe uwɔɔ aka akorhuwe irhowa ipfuna ru ungwɛ̃nga.
281603006e	Adene agãrhãnga azĩ ayisuwe abirabɛ umbɔ aka aghwi umbɔ ipfuna hã aba, bɔr umbɔ akpɛ̃mbɔ ibibanga.
28160400f9	“Mɔcɛ unga abvui adene agãrhã abika arhɛɛ agɛ, ‘Àka adɛyiwe abirabɛ umbɔ aka aghwi ugɛ umum iki ikorhumum ubinghaa. Iki ingwã ínak iyiki itsak nggu angwɛ̃ inak aka agɔnga, abina kishoo iki igbisha imaamum. Àka aba irhowa ha!’
2816050079	“Bɔr umbɔ asi inyãmbɔ ngge iwengge ifɛrhɛ, na azĩmbɔ. Uwɔɔ azĩã usinga, uwɔɔ azĩã igoyi igoi ri izɛɛ.
2816060030	Abɔɔ adzur agãrhãnga, ayɔm na afɛre umbɔ.
2816070078	Uyɛrhe ha agũ avɔm. Unga adene abi iwanga, umbɔ afɛrkumbɔ umbɔ abika afɛyi aner ha na akpĩĩwe uteumbɔ kishoo.
281608007d	“Mɔcɛ unga agɔr agãrhãnga agɛ, ‘Aka amaambɔ izek irhowa ha, bɔr abirabɛ umum iki ighwi isi imɛ̃ngge umbɔ aba.
2816090063	Àka adzek adɔsa atsĩndĩ aka agbopa ayisa kishoo abirabɛ umbi aka akpo, umbɔ aba irhowa ha.’
28160a008d	Nggee agãrhã hã adzek adɔsa atsĩndĩã ayisa kishoo abirabɛ umbɔ aka akpo, abika aze nu abika abewe, anang irhowa ha atɔk nggu atsen.
28160b0076	“Bɔr ivangyɛ uyɛrhe aka atsĩ abee inyã abi irhowa ha, umɔ unga anyã uner uwɔɔ aka asi itsima atorho irhowa.
28160c008b	Uyɛrhe arhusu uner ha agɛ, ‘A uwee, ungo ukorhu uguse nu utsĩwã nggimi ushiɔ ra atorho irhowa?’ Bɔr uner ha asi idzipunga urhɛm.
28160d009e	“Mɔcɛ uyɛrhe agɔr abi itsernga agɛ, ‘Àka abow aboknga nu adaknga, na atare unga adzek atsĩ ru uzĩ, anangkɛ anera aka iciu akpe na atãi anyĩ.’
28160e004c	“Ubinkutsu awuri ighwi anera arhɛrhɛ, bɔr ukunjiir umbɔ aka isɛng.”
28160f004e	Mɔcɛ abi Ufarisi adzek akɛki itsũwãyɛ umbɔ aka ideya unga ru irhɛmnga.
2816100102	Umbɔ adene angwɛ̃ imesambɔ nggu aner Uhiridu agɛ, “A umarhem, umɛn ihwɛngmɛn ungo uwu uner idzidzɛrhe, ikɛi ungo uni imesuwe ubinkpi Unum aka abee nggu idzidzɛrhe. Ubinkutsu ungo usi itsukɔ amɛnngo ri ifɛrhkɔ anera use ubinkpi umbɔ aka awe.
2816110054	Udɛyiwa umɛn, imɛ̃ngge umɛn ifai ikirbi abĩ ru Ukaisar, use isi imɛ̃ngge?”
281612007a	Bɔr Uyesu ahwɛnga ifɛrhkɔ iyiki ibewambɔ, unga agɔr umbɔ agɛ, “Umbi abi ukpukpeta, awu use utsu umbi adeya umum?
2816130066	Àka adɛyiwa umum ishaa imangyɛ umbi iki ikũ afai ikirbi abĩ.” Umbɔ akowe unga ishaa imang hã,
281614004b	unga arhusa umbɔ agɛ, “Uzirhzĩ ukpi nu itsok ikɛrɛ iwu iki ungaa?”
28161500a4	Umbɔ agɛ, “Iki Ukaisar.” Mɔcɛ unga agɔr umbɔ agɛ, “Àka adzowe Ukaisar abinkɛ aka awe aki Ukaisar, ikɛi àka adzowe Unum abinkɛ aka awe aki Unum.”
281616004a	Umbɔ aka agũ rimi, umbɔ adzeidzeu. Nggee umbɔ abɔre unga na azĩmbɔ.
2816170059	Ru unum hã abi Usaduki, abika agɔr ugɛ isok ra akpe ishingge, aba ru unga arhusa agɛ,
281618008b	“A umarhem, Umusa agɔr agɛ, ‘Unera aba akpe na ashia ra awɛkaci, awu ufang ungwɛ̃mbɔ apfunu utsɛrh ha amare awɛkaci ru unga.’
281619008d	Umɔ abɔɔ rabɔ awu angwɛ̃yi utɔɔva ru umɛn. Uwu inggbaashia apfuna na akpea, asi imara awɛkaci, abɔruka utsɛrh ha ru ungwɛ̃mbɔ.
28161a0056	Rimi hã iki iwe nggu ungwɛ̃mbɔ uwu uvaa nu uwu untaar, uzĩ itsĩ ru uwu utɔɔva.
28161b001d	Ri imimasha utsɛrh ha akpea.
28161c0091	Ru unumkpi abika akpe aka isok ra akpe, utsɛrh ha awuri iwu uwu ungaa ru umbɔ utɔɔva ha? Ubinkutsu, kishookambɔ utɔɔva aka apfuna unga.”
28161d006d	Uyesu agɔr umbɔ agɛ, “Umbi agba irhak, ubinkutsu, umbi asi ihwɛngmbi itsɛng Arherhu-Num use ijee Unum.
28161e0072	Ri isok ra akpe anera asi ípfunumbɔ, asi ídzowukumbɔ ipfuna. Anera awuri iwe ru nyaka ípfu itser-Num ra afã.
28161f0057	Bɔr arherhi isisok abika akpukpe, umbi anasi ivarhumbi ubinkpi Unum aka adɛyiwa umbi?
281620009e	Unga agɔr agɛ, ‘Umum iwu Unum uwu Uibrahim, Unum uwu Uishaku, nu Unum uwu Uyakubu.’ Unga asi iwea Unum uwu abika akpukpe bɔr awu Unum uwu abi urhɛ.”
281621003b	Ivangyɛ ikikɔnga iki igũ rimi, umbɔ adzeidzeu imesanga.
2816220050	Abi Ufarisi aka agũ ugɛ Uyesu aka atsu abi Usaduki awu uku uvep, umbɔ akɔng.
2816230048	Unying ru umbɔ uwuku uhwɛng Ikpem akarhãrhã, avira arhusa unga agɛ,
2816240043	“A umarhem, ikpem iyikisong iwu iyiki igɔnga ri Íkpem Umusa?”
2816250071	Uyesu agɔr unga agɛ, “‘Ubemu Uteijee Unumngo nggu amɛnngo kishoo nu ipfungo kishoo nu adzɛnngo kishoo.’
2816260038	Ikpem iyɛrɛ ngge iwu iyi inggbaashia nu iyiki igɔnga.
281627005c	Nu iyi uvaa iwu ru nyaki iyi unggbaashi ha igɛ, ‘Ubemu undɔkango ru nyaki itsikamngo.’
2816280064	Kishoo Íkpem Umusa nu imesa abika asɔm Arherhu-Num iyurhi nú atsi íkpem iyɛrɛ ikivarhangge.”
2816290047	Ivangyɛ abi Ufarisi aka akɔng ananga unying, Uyesu arhusa umbɔ agɛ,
28162a006c	“Ifɛrhkɔ umbi iwu use ri itsi Ukiristo? Unga awu ungwɛ̃ ungamɔ?” Umbɔ agɛ, “Ungwɛ̃ Udauda.”
28162b0074	Unga agɔr umbɔ agɛ, “Awu use utsu Udauda ri ijee Ipfu-Num ayisa unga agɛ, ‘Uteijee’? Ubinkutsu, unga agɛ,
28162c0077	“‘Uteijee agɔr Uteijeemum agɛ, “Usei ru ubok ughamum, utsɛku umum iki itsu anggamtsakngo ru andaidakngo.”’
28162d0058	Udauda aba ayisu Ukiristo agɛ, ‘Uteijee,’ awu use utsu Ukiristo awu ungwɛ̃nga?”
28162e006f	Unera asi idɛ̃ɛ̃ adzipuka unga urhɛm. Udzur ru unum hã, asi ikpombɔ unera aka abvui arhusa unga arherhe.
2817010037	Mɔcɛ Uyesu agɔr ikikɔnga nu angwɛ̃ imesanga agɛ,
2817020042	“Abika imesuwe Ikpem nggu abi Ufarisi asei nú anang isei Umusa.
28170300b2	Nggee awu ufang umbi adɔsa umbɔ na akorhe ubɛn ubinkpi umbɔ aka amesuwa umbi. Bɔr àka aneke ikorhe abinkɛ umbɔ iki ikorhe. Umbɔ asi ikorhumbɔ abinkɛ umbɔ iki imesuwe.
2817040075	Umbɔ aka isaka abow abin aka amor atsake nú acɛi anera, bɔr umbɔ nibikambɔ asi ikũ itokmbɔ ayikukumbɔ umbɔ.
28170500e3	“Ubɛn ubinkpi umbɔ aka ikorhe abee anera anyã. Abinkɛ umbɔ aka aboyi nú ashimbɔ nu abokmbɔ awe aki Arherhu-Num, unyã umbɔ aka akorha ake agɔgɔng. Nu arhurhukɛ umbɔ aka asɔr ri ifɛn atorhambɔ, atsu ake adeder.
281706003e	Umbɔ abee anang isei akagɔng ri irhowa nu ra abã ifɛn-Num.
281707005b	Na agɔm anera aghwe umbɔ ri inang izɛɛ, na agɔm umbɔ ayisa umbɔ agɛ, ‘Amarhem.’
2817080082	“Bɔr umbi, awu ufang umbɔ asi íyisumbɔ umbi ‘Amarhem,’ ubinkutsu, umbi awu ru uwuku umesuwe unying, umbi awu angwɛ̃yi.
2817090068	Àka niba ayisumbi unera ra abĩ agɛ, ‘Utɛ,’ ubinkutsu, umbi awu ru Utɛ unying, unga awu ra afã.
28170a0068	Use ayisa umbi agɛ, ‘Uwuku umesuwe,’ ubinkutsu, umbi awu ru uwuku umesuwa umbi unying, Ukiristo ha.
28170b0042	Uwuruwi aka uwu ukugɔnga ru umbi, awu ufang unga awu ugãrhãmbi.
28170c006f	Ubɛn unerwi aka aberi itsinga, awuri irhɛrhuwe ike. Bɔr uwuruwi aka arhɛrhuwe itsinga, awuri ibiberuwe ike.
28170d00bd	“Atorhmbi, abika amesuwe Ikpem nu abi Ufarisi, abi ukpukpeta! Umbi afɔmukumbi angwĩ aka atsĩ ru Iyɛrhe afã ra asu anera. Umbi nibikambi asi itsĩmbi, na akɛnmbi abika abee itsitsĩ.
28170f00fd	“Atorhmbi, abika amesuwe Ikpem nu abi Ufarisi, abi ukpukpeta! Umbi aka isaka azɛ̃rhã ra akau akagɔng nú abĩ azĩmbi ibee uner uwuku udzipa unying. Ivangyɛ umbi aka ikpo unying, umbi atsu unga ada idiki ivaa ananga umbi aka awe abi idzũũ urha.
28171000d8	“Atorhmbi, abi ibvuta abika adarh anera! Umbi iki igɔr agɛ, ‘Ubɛn uwuku uyirh Iya-Num, asi iwea ifɛrhɛ. Bɔr ubɛn uwuku uyirh nggu uzinarhi ukpu Iya-Num, awu ufang unga iki ikorhu ubinkpi unga aka ayirh.’
2817110058	Umbi agugge abi ibvuta! Ukpuku usong unang, uzinarhi use Iya-Num iki isare uzinarhi hã?
28171200cd	Ikɛi umbi aki igɔr agɛ, ‘Ubɛn uwuku uyirh nggu ubeu Iya-Num, asi iwea ifɛrhɛ. Bɔr ubɛn uwuku uyirh nggu izũwãyɛ umbɔ aka angwɛ̃ nú ubeu ha, awu ufang unga akorhu ubinkpi unga aka ayirh.’
281713004c	Umbi abi ibvuta! Uwukusong anang, izũwã, use ubeu uwuku utsu izũwã isar?
281714004a	Nggee, uwuku uyirh nggu ubeu ayirh nggu umgbɔ nu ubɛn ubin uku unu umɔ.
281715004f	Nu unga uwuku uyirh nggu Iya-Num, ayirh nggu ike nu unga uwuruwi aka asei umɔ.
2817160047	Nu ubɛn uwuku uyirh afã, ayirh anang isei Unum nu uwuku usei nú ake.
281717013e	“Atorhmbi, abika amesuwe Ikpem Umusa nu abi Ufarisi, abi ukpukpeta! Umbi aka isaka adzowe izũwã abin akaci, ru nyaka ayerhu udzau akaci. Na akwɛɛrkumbi abin aka amora ri Íkpem Umusa, ru nyaki izharha arherhe idzidzɛrhe, atorh, nu imangmang. Imɛ̃ɛ̃ngge umbi akorha abina akɛrɛ na asi ikwɛɛrkumbi akɔɔ.
281718005c	Umbi abika adarh anera ri ibvuta, umbi aki isaka asɛkmbi amurhu, bɔr angurhũmbi arhakumi!
28171900c3	“Atorhmbi, abika amesuwe Ikpem nu abi Ufarisi, abi ukpukpeta! Umbi aka isaka asorhe andzing akpɛwa nu atɛ̃rhãzɔu. Bɔr ru unɔrkang atɔk nggu abinkɛ umbi aka akpo ri inggang nu ibemitsi.
28171a0082	Ungo uner ibvuta, Ufarisi! Ugbaashia usorh unɔrkang ukpɛwa nu itɛ̃rhãzɔu. Ungo uba ukorhungo rimi, awiya awuri iwu atɛtɛn.
28171b00d9	“Atorhmbi, abika amesuwe Ikpem nu abi Ufarisi, abi ukpukpeta! Umbi awe ru nyaka adzakɛ umbɔ iki itsu abĩ aka aterha, aka aze izɛrhe ra awiya, bɔr ru unɔrkang atɔk nggu apfupfu ikom anera nu ubɛn ikpũ arhim.
28171c0079	Rimi hã, anera aka isaka anyã umbi awu abika arhurhika ra awiya, bɔr ru unɔrkang umbi awu abi ukpukpeta nu iki ibewe.
28171d009e	“Atorhmbi, abika amesuwe Ikpem nu abi Ufarisi, abi ukpukpeta! Umbi aka isaka adzin adzak aki abika asɔm Arherhu-Num na agberhe idzam adzak abika arhurhika.
28171e0086	Nu umbi aka isaka agɔr agɛ, ‘Agɛ umɛn iwe ri ivang atokamɛn, umɛn ĩba isi itsĩmɛn ubok ri ifɛr abika asɔm Arherhu-Num.’
28171f0059	Rimi hã umbi adekuwe atsimbi ugɛ umbi awu angwɛ̃ abika afɛr abika asɔm Arherhu-Num.
2817200037	Àka amasha amɛn aka atãrhã aki atokambi aka atirhi!
281721005b	“Umbi íbvui! Umbi angwɛ̃ ighwɛr! Umbi awuri ikorha aguse na adzek ru uvau idzũ urha?
28172200c2	Nggee umum idene abika asɔm Arherhu-Num nu abi itsoi nu abi imesa aba ru umbi. Abɔɔ umbi awuri ifɛr na anyapuwe, abɔɔ umbi awuri ikwɛr ra abã ifɛn-Nummbi na akɛn umbɔ atsĩrhĩ íteu.
28172300ed	Nggee awuri itsuke adzirh abika arhurhika kishoo umbɔ aka afɛr ru upfung abvui aba ra atsimbi, udzur ra adzirh Uhabirha uner uwuku urhika uba utsĩ Uzakariya ungwɛ̃ Uberikiya, uwuruwi umbi aka afɛr ra ateu Iya-Num nu ubeu idɛm-Num.
2817240055	Umum indɛyiwa umbi idzidzɛrhe, kishoo akɛrɛ awuri ikorhe nggu aner ivang iyɛrɛ.
281725010d	“Oka Urusharhima, Urusharhima! Ungo ufɛr abika asɔm Arherhu-Num nu utang atarh ra abirabɛ umbɔ aka adene umbɔ aba ru umbi. Idiki isong umum iki ibee ikɔng angwɛ̃mbi ananga unying, ru nyaki inũ iki isaki ikɔng angwɛ̃ngge ra afɛkngge, bɔr umbi akpɛ̃mbi.
2817260021	Unyã ucɛ, aneke iyambi arhanga.
2817270082	Umum idɛyiwa umbi, umbi asi íbvui anyãmbi umum utsɛku umbi aka igɔr agɛ, ‘Idorh iwe nggu uwuku uba ri itsok Uteijee.’”
2818010077	Uyesu aka adzek ri Iya-Num azɛ̃rhã azĩã, ri ivang hã angwɛ̃ imesanga aba ru unga, adɛyiwe unga ídzin Iya-Num.
28180200b4	Unga agɔr umbɔ agɛ, “Umbi anyãmbi abin akɛrɛ kishoo? Umum indɛyiwa umbi idzidzɛrhe, utarh unying asi íneke ukpɔ utsorhukpɔ nú udɔka. Ubɛn unying awuri isisipuwe.”
28180300c1	Uyesu aka asei ni Igũ Acucii Uzaitun, angwɛ̃ imesanga ikiyikambɔ aba agɔr unga agɛ, “Usɔma umɛn, ifɛrhɛ ha iwu ri ivang iyiki isong? Awu use uwu utsar ibibango nu imimaa upfunga?”
281804003f	Uyesu agɔr umbɔ agɛ, “Àka arhi, utsur unera arhɛma umbi.
281805006f	Anera arhɛrhɛ awuri iba ri itsokmum, awuri igɔr agɛ, ‘Umum iwu Ukiristo,’ awuri irhɛm anera arhɛrhɛ.
2818060082	Umbi awuri igũmbi isarhe iwa nu ugbugbewangge, bɔr niba agũmbi iwei. Awu ufang ikpũ abin hã akorhe, bɔr imimaa ina ishingge.
28180700bc	Abĩ akɔɔ asok adɛ̃ɛ̃ ifuw nggu abĩ akɔɔ, iyɛrhe iso idɛ̃ɛ̃ ifuw nggu iyɛrhe iyɔɔ. Ukoi uwuri itsu imerh ri inanga irhɛrhɛ. Nu upfunga uwuri izizusa ri inanga irhɛrhɛ.
2818080029	Kishoo akɛrɛ ha awu ititirhi uver imar.
2818090074	“Mɔcɛ umbɔ aka idzowe umbi umbɔ adzaa umbi uver na afɛre umbi. Abĩã kishoo awuri ikpɛ̃ke umbi ri itsimum.
28180a006c	Ri ivang hã anera arhɛrhɛ imangmangmbɔ iwuri iwe uku ughɛɛng, umbɔ awuri ighadak na akpɛ̃na adɔka.
28180b004c	Abika asɔm Arherhu-Num igbɛrangwĩ awuri idzeka na arhɛm anera arhɛrhɛ.
28180c0049	Ititoma iyiki ibewe iwuri itsu ibibema anera arhɛrhɛ iwe uku ughɛɛng.
28180d0037	Bɔr uwuku ubima utsɛku imimasha awuri ikpoa ififɔrh.
28180e0081	Isarhe Iyiki Ize iyɛrɛ iyi Iyɛrhe, awuri idũwã ngge ru upfunga kishoo, ngge iwe ideka ra abĩã kishoo, mɔcɛ imimasha iba.
28180f00b3	“Umbi aba anyãmbi ubin uku utãrhã uku udakuwe anang, ukpurukpi uner uwuku usɔm Arherhu-Num Udaniyɛrh aka arherhe, udɛ̃ɛ̃kpɔ ri Iya-Num, neke uner uwuku uvarhe ahwɛng.
2818100037	Mɔcɛ abirabɛ aka awe ru Uyahudiya atĩ azĩ ri igũ.
2818110050	Uwuruwi aka awu afafã ni itsi uvi niba acipuwanga inyãngu ubin uku uwe ri iya.
281812003e	Uwuruwi aka awe ra arhum niba abvui abanga inyãngu untamanga.
281813004a	Atorhmbi akatsɛrh abika awu ra ana nu abika akpɔm awɛkaci ri ivang hã!
281814005b	Àka afɛn-Num utsur utser ha uwekpɔ ri ivang ighɛnga use unum ukpuku uwosha abi Uyahuda.
28181500b7	Ubinkutsu, umbɔ awuri inyãmbɔ ayetnum akarhãrhã akirakɛ umbɔ aka anasi inyãmbɔ ake udzur ri imimunu upfunga uba utsĩ icɛrɛ. Asi íbvui anyãmbɔ akɔɔ aka anangke aki ha.
2818160090	Agɛ umbɔ asi izharhukũmbɔ inum hã uku ugbim, unera asi íbɛka, bɔr ri itsi abirabɛ umbɔ aka asɛng umbɔ awuri izharhukũmbɔ inum hã.
2818170080	“Ri ivang hã unera aba agɔra umbi agɛ, ‘Àka anyã, Ukiristo uwi!’ use ‘Nggawɔ nggɔɔ!’ niba awembi ri imangmang.
28181800d4	Ubinkutsu akiristo igbɛrangwĩ nu abika asɔm Arherhu-Num igbɛrangwĩ awuri idzekambɔ, umbɔ awuri ikorhumbɔ atsar akagɔng nu abin idzeu arhɛm anera nu abirabɛ Unum aka asɛng, ngge iba idɛ̃ɛ̃ iwengge.
2818190037	Àka anyã, umum iki idɛyiwamum umbi ngge idɔrhi iwe.
28181a0090	“Nggee unera aba agɔra umbi agɛ, ‘Unggawɔ ra arhum,’ niba adzembi, use agɔr umbi agɛ, ‘Nggawi ru ubã,’ niba awembi ri imangmang.
28181b007d	Ubinkutsu, ibiba Ungwɛ̃-Ner iwuri iwe ru nyaki irhirhang iki irhange afã kishoo udiki igɔ̃kpee izĩ itsĩ udiku urhɛɛ.
28181c0036	Anangkɛ ukom uku uwe, anang hã amgbɛpɛ iki ikɔng.
28181d00b7	“Kanying inum ayetnum hã aki imaa, “‘ishaa unum iwuri iwu uzĩ, nu ufɛ̃ usi írhangmgbɔ, nu ídzɛr idzek afafã igba, nu umbɔ awuri izusa abin aka amor aka awu ra afã.’
28181e00b7	“Mɔcɛ utsar ukpu Ungwɛ̃-Ner uku idzeka afafã, nu idũa ru upfunga kishoo awuri ididɔng. Umbɔ awuri inyãmbɔ Ungwɛ̃-Ner aka iba ra amɛɛ nggu ijee nu ikpikpoi akarhãrhã.
28181f00ef	Nu unga awuri idene ípfu itsernga nggu atsom aki irhak ayisa, na awuri ikɔng abirabɛ umbɔ aka asɛng ra anggbokunga anaa, udiku igɔ̃kpee nu udiku urhɛɛ nu unɔr nu ufã, udzur ru ubandzin upfunga udiku ukpɛrɛ uzĩ udiku ukpɔrɔ.
2818200084	“Àka amesu ubin ru ucucii uvorhvo, ivangyɛ aboka aka ipfum adzeka na aghwɛr ayerhe aka afa, umbi ahwɛng ugɛ idoi iki iyongge.
2818210079	Iwu rimi ikɛi, ivangyɛ umbi aka anyãmbi kishoo abin hã, umbi ahwɛng ugɛ ivanga iki iyongge, idɛ̃ɛ̃ ra angwĩã.
2818220064	Umum indɛyiwa umbi idzidzɛrhe, udan ukpirɛ usi ítɔngkpɔ utsɛku ifɛrhɛ ha kishoo iki ikorhe.
281823003d	Afã nggu abĩ awuri itɔngke, bɔr arherhamum asi ítɔngke.
281824008c	“Unera asi ihwɛnga unum hã use ivang hã, ípfu itser-Num ra afã isi ihwɛngngge, Ungwɛ̃-Ner asi ihwɛnga, Utɛ ukpekũ unga ahwɛng.
2818250047	Ru nyaku inum Unuhu iki iwe, ngge iwuri iwe rimi ri ibiba Ungwɛ̃-Ner.
2818260089	Ri inumyɛ amɛ̃ isok upfung aka awe, anera agha na ahwa, apfuna na adzise ipfuna, utsɛku unumkpi Unuhu aka atsĩ ru ukhukhɔɔ amɛ̃.
281827006e	Umbɔ asi ihwɛngmbɔ utsɛku amɛ̃ aka aba akarha umbɔ. Ngge iwuri iwe rimi hã ru unum ibiba Ungwɛ̃-Ner.
281828003f	Inera ivaa iwe ru usi, awuri inyãnguwe unying na aneke unying.
2818290064	Akatsɛrh ivaa awuri idɛ̃ɛ̃ igɔ nu ukɔ igɔ urhɔnga, awuri inyãnguwe unying na aneke unying.
28182a0057	“Nggee, àka adɛ̃ɛ̃ adzɛu, umbi asi ihwɛngmbi awu unum ukusong Uteijee aka iba.
28182b0091	Bɔr àka ahwɛng ugɛ uner iya aba ahwɛnga ivangyɛ uvɛu aka iba ru untsuuka, unga awuri isei uku urhi asi íneke umbɔ atsĩ ayarmbɔ iyanga.
28182c0076	Nggee umbi igambi awu ufang umbi adzɛu, ubinkutsu, Ungwɛ̃-Ner awuri iba ri ivangyɛ umbi aka asi ikaimbi ifɛrhkɔ.
28182d00a8	“Ungamɔ ucɛ, awu ugãrhã uwuku urhurhika nu uwu itsoi, uwuruwi uteiyanga aka atsu unga idzɛu agãrhã iyanga, unga adzise ubinghambɔ uku kpengkpeng ri ivangngge?
28182e0057	Anggɔm awe aki ugãrhã hã uteiyanga aka iba anyã unga adɛ̃ɛ̃ itsernga rimi hã.
28182f0051	Umum indɛyiwa umbi idzidzɛrhe, awuri itsuke ugãrhã hã arhise abinnga kishoo.
2818300064	Bɔr ugãrhã hã aba awu uku ubewe, unga awuri igɔr itsinga agɛ, ‘Uteiya asi íbanga ifetem.’
2818310050	Mɔcɛ unga atirhi ikwɛr agãrhã abɔrɔ, unga agha na ahwa nggu abi afĩrhã.
281832005c	Uteiya ugãrhã hã aba ru unumkpi unga aka asi itsara. Ri ivangyɛ unga aka asi ihwɛngnga.
2818330070	Uteiya awuri ikwɛr unga iyiki ibewe na agbange unga nggu abi ukpukpeta, umɔ umbɔ aka iciu na atãi anyĩmbɔ.
281901008f	“Mɔcɛ Iyɛrhe afã iwuri iwe ru nyaka anakagbĩrhĩ usɔka aka anasi ihwɛngmbɔ ukutsak anyangu írhirhangmbɔ azĩ igbangu utsak uku ufa.
281902003b	Atɔ̃ɔ̃ ru umbɔ awu agugge nu atɔ̃ɔ̃ awu abi itsoi.
281903003c	Agugge ha anyangu írhirhangmbɔ bɔr asi inyangumbɔ atsei.
2819040042	Abi itsoi ha igambɔ anyangu írhirhangmbɔ nggu atsei ra andzoma.
2819050044	Utsak uku ufa ha asi ibanga ifitem, kishoo agbɛu na arhambɔ urhɔ.
281906007d	“Ri ikɔtsuuka umbɔ agũ urhɛm ukerketakpɔ uku ugɔr ugɛ, ‘Utsak uku ufa ha uwi aka abanga! Àka aba agbanga unga!’
281907003e	“Mɔcɛ anakagbĩrhĩ usɔka ha asok agbishi írhirhangmbɔ.
281908006a	Agugge ha agɔr abi itsoi ha agɛ, ‘Àka ama adzaa atseimbi ukunjiir, írhirhangmɛn iki iwuri irhim.’
2819090074	“Abi itsoi ha agɛ, ‘Ĩ'ĩ, asi ímɛ̃ke umɛn nggu umbi. Ugba umbi azĩ ru abika agoyiwe atsei agoi akimbi.’
28190a00af	“Bɔr ivangyɛ umbɔ aka adzek azĩ igoi atsei ha, utsak uku ufa ha atsĩwãnga. Anakagbĩrhĩ aka agbisha abinmbɔ atsĩmbɔ irhowa nggu unga na afɔmukumbɔ angwĩ ubãã.
28190b0057	“Kata abɔrɔ adɔrha aba agɛ, ‘A uteiya! A uteiya! Uma utsuruwa angwĩ ubãã!’
28190c0050	“Bɔr unga agɛ, ‘Umum indɛyiwa umbi idzidzɛrhe, umum isi ihwɛng umbi.’
28190d0047	“Nggee, àka adɛ̃ɛ̃ adzɛu, umbi asi ihwɛngmbi unuma use ivanga.
28190e006e	“Ikɛi, Iyɛrha afã iwuri iwe ru nyaku unera aka izĩ uzãrhã, na ayisa agãrhãnga agashuwe umbɔ uhwɛk.
28190f00d7	Utsa ha ahwɛnga ubinkpi agãrhãnga aki idɛ̃ɛ̃ akorhe, nggee unga adzowe unying ibɛi uazurhfa itɔ̃ɔ̃, uwu uvaa ikɛi ibɛi uazurhfa ivaa, uwu untaar ibɛi uazurhfa unying. Mɔcɛ unga azĩã uzɛ̃rhãnga.
2819100098	Utsa ha aka ayɛi ibɛi uazurhfa itɔ̃ɔ̃ hã kanying kanying unga akũ azĩ agoyi igoi adzipa nggu uhwɛk ha, akpo ighigha ibɛi uazurhfa itɔ̃ɔ̃.
281911004a	Nggee ikɛi, uwu ibɛi uazurhfa ivaa ha, akpo ighigha ibɛi uazurhfa ivaa.
2819120059	Bɔr uwu ha aka ayɛi ibɛi uazurhfa unying hã azĩ asim abĩ awɔkuka uhwɛk uteiyanga.
281913006a	“Ivanga iki iderngge, uteiya agãrhã hã aba ayisa agãrhãnga umbɔ avarhuwe ubinkpi umbɔ aka akorhe.
