010000000a	Буття
03120500b9	І будете додержувати постанов Моїх та уста́вів Моїх, що люди́на їх вико́нує й ними живе. Я — Госпо́дь!
03120600ab	Жоден чоловік не набли́зиться до жодної однокровної своєї, щоб відкрити наготу́. Я — Господь!
03120700b2	Наготи́ батька свого й наготи́ матері своєї не відкриєш, — вона мати твоя, не відкриєш наготи́ її!
0312080077	Наготи́ жінки батька твого не відкриєш, вона нагота батька твого!
0312090102	Наготи́ сестри своєї, дочки батька свого або дочки́ матері своєї, що народи́лися в домі або народилися назо́вні, — не відкриєш їхньої наготи!
03120a00b8	Наготу́ дочки сина свого або дочки́ дочки своєї, — не відкриєш наготи́ їхньої, бо вони — нагота твоя!
03120b00c1	Наготи́ дочки жінки батька свого, наро́дженої від батька твого, — вона сестра твоя, не відкриєш наготи її!
03120c0087	Наготи́ сестри батька свого не відкриєш, — вона однокровна ба́тька твого!
03120d0086	Наготи́ сестри матері своєї не відкриєш, бо вона однокровна матері твоєї.
03120e00a0	Наготи брата ба́тька свого не відкриєш, до жінки його не набли́зишся, — вона тітка твоя!
03120f0097	Наготи́ невістки своєї не відкриєш, — вона жінка сина твого, не відкриєш наготи її!
0312100075	Наготи жінки брата свого не відкриєш, — вона нагота брата твого!
0312110107	Наготи жінки й дочки́ її не відкриєш; дочки сина її й дочки дочки її не ві́зьмеш, щоб відкрити її наготу, — вони однокровні її, це кровозмі́шання!
03121200a5	І жінки з сестрою її не візьмеш на супе́рництво, щоб відкрити наготу її при ній за життя її.
0312130095	А до жінки в час відді́лення нечистости її не набли́зишся, щоб відкрити наготу її.
0312140092	А з жінкою свого ближнього не будеш лежати на насіння, щоб нею не стати нечистим.
03121500a7	А з насіння свого не даси на жертву Молохові, — і не знева́жиш Імени Бога свого. Я — Господь!
0312160066	А з чоловіком не будеш лежати як з жінкою, — гидота воно!
03121700e2	І з жодною худобиною не злижешся, щоб не стати нею нечистим. І жінка не стане перед худо́биною на злягання, — це паску́дство!
031218009d	Не занечи́щуйтеся тим усім, бо всім тим занечи́щені ті люди, яких Я виганяю перед вами.
03121900a8	І стала нечиста та земля, і Я полічив на ній її гріх, — і та земля ви́ригнула мешканців своїх!
03121a0107	І ви будете доде́ржувати постанов Моїх та уста́вів Моїх, і не зробите жодної зо всіх тих гидот, як і тубі́лець чи прихо́дько, що мешкає серед вас.
03121b0098	Бо всі ті гидо́ти робили люди тієї землі, які перед вами, — і стала нечиста та земля.
03121c00b8	І щоб та земля не ви́ригнула вас через ваше занечищення її, як вона виригнула наро́д, який перед вами.
03121d00c5	Бо кожен, хто зробить одну зо всіх тих гидот, то ду́ші, що роблять, будуть винищені з-посеред їхнього наро́ду.
03121e011c	І ви будете додержувати нака́зів Моїх, щоб не чинити чого з тих гидотних постано́в, що ро́блені перед вами, — і не спога́нитеся ними. Я — Госпо́дь, Бог ваш!“
0313010049	І Господь промовляв до Мойсея, говорячи:
03130200c6	„Промовляй до всієї громади Ізра́їлевих синів, та й скажеш їм: Будьте святі, бо святий Я, — Госпо́дь, Бог ваш!
03130300bc	Кожен буде боятися матері своєї та батька свого, а субіт Моїх будете доде́ржувати. Я — Господь, Бог ваш!
031304008e	Не зверта́йтеся до ідолів, і не робіть собі литих божкі́в. Я — Господь Бог ваш!
0313050092	А коли ви принесете мирну жертву для Господа, — на вподо́бання вас принесете її.
03130600c1	Ви будете їсти її в день прине́сення вашого та взавтра, а позостале до дня третього — огнем буде спа́лене.
0313070099	А якщо справді буде їджене воно третього дня, — нечистість воно, не буде вподо́бане.
03130800d9	А хто те їсть, понесе він свій гріх, бо спога́нив він святиню Господню, — і буде винищена душа та з-посеред народу свого!
03130900ed	А коли ти будеш жати жни́во своєї землі, не докінчуй жати до кра́ю свого поля, а попадалих колосків твого жни́ва не бу́деш збирати;
03130a0125	а виноградника свого не вибереш дорешти, а попадалих ягід виноградника свого не будеш збирати, — для вбогого та для прихо́дька позостав їх. Я — Господь, Бог ваш!
03130b00b8	Не будете красти, і не будете неправдиво заперечувати, і не будете говорити неправди один на о́дного!
03130c00a0	І не будете присягати Моїм Іменем на неправду, бо зневажиш Ім'я́ Бога свого. Я — Господь!
03130d00d5	Не будеш гноби́ти ближнього свого, і не будеш грабувати, і не задержиш в себе через ніч аж до ранку заробітку наймита.
03130e00be	Не будеш проклинати глухого, а перед сліпим не роби перешкоди, — і будеш боятися Бога свого. Я — Господь!
03130f0101	Не зробите кривди в суді: не будеш потура́ти особі вбогого, і не будеш підлещуватися до особи вельможного, — за правдою суди свого ближнього!
03131000c2	Не будеш ходити пліткаре́м серед наро́ду свого. Не будеш настава́ти на життя свого ближнього. Я — Господь!
03131100d7	Не будеш нена́видіти брата свого в серці своє́му. Конче вияви неправду свого ближнього, — і не понесеш гріха за нього.
03131200de	Не будеш мститися, і не будеш нена́видіти синів свого наро́ду. І будеш любити ближнього свого, як самого себе! Я — Господь!
031313013c	Постанов Моїх будете дотримувати. Не зробиш, щоб худоба твоя злучувалася двоїсто. Поля свого не будеш обсівати двоїсто. А одежа двоїста, мішани́на нито́к, не вві́йде на тебе.
031314018d	А чоловік, коли буде злягатися з жінкою, а вона — невільниця, заручена чоловікові, а справді не була вона ви́куплена, або ви́зволення не було дане їй, — то нехай буде кара, але не будуть вони забиті, бо не увільнена вона.
03131500bf	І спровадить він жертву за провину свою Господе́ві до входу скинії заповіту, — барана жертви за провину.
031316011a	І очистить його священик бараном жертви за провину перед Господнім лицем за гріх його, що він був згрішив. І про́ститься йому гріх його, що він був згрішив.
0313170138	А коли ви вві́йдете до кра́ю цього, і понаса́джуєте всяке їстивне́ дерево, то плід його вважатимете за необрізаний, — три роки буде воно для вас необрізане, не буде їджене.
031318006d	А року четвертого ввесь плід його присвятиться для Господа.
03131900ad	А року п'ятого бу́дете їсти плід його, щоб помно́жився для вас урожай його. Я — Господь, Бог ваш.
03131a0079	Не будете їсти з кров'ю. Не будете ворожи́ти, і не будете чарува́ти!
03131b009f	Не будете стригти волосся довко́ла голови вашої, і не будеш ни́щити кра́ю бороди своєї.
03131c00c1	І не зробите на тілі своїм нарізу за душу померлого, і не зробите на собі нако́леного на́пису. Я — Господь!
03131d00d5	Не безчесть своєї дочки, і не роби її блудли́вою, щоб не стала блудли́вою ця земля, і не напо́внилась земля розпустою.
03131e0089	Субіт Моїх будете доде́ржувати, а святиню Мою будете шанувати. Я — Господь!
03131f00cc	Не звертайтесь до ду́хів померлих та до ворожбитів, і не доводьте себе до опога́нення ними. Я — Господь, Бог ваш!
03132000a8	Перед лицем сивизни́ встань, і вшануй лице старо́го, і будеш боятися Бога свого. Я — Господь!
031321008b	А коли мешкатиме з тобою прихо́дько в вашім краї, то не будете гноби́ти його.
031322012b	Як тубілець із вас буде для вас прихо́дько, що мешкає з вами, — і ти будеш любити його, як самого себе, бо прихо́дьки були ви в єгипетськім кра́ї. Я — Господь, Бог ваш!
0313230076	Не будете чинити кривди в суді́, у мірі, у вазі́ та в мірі рідини́.
03132400d1	Вага вірна, тягарці вірні, ефа вірна, гін вірний буде в вас. Я — Господь, Бог ваш, що вивів вас із єгипетського кра́ю!
03132500a7	І ви будете держати всі постанови Мої та всі устави Мої, і вико́нуватимете їх. Я — Господь!“
031401004b	І Госпо́дь промовляв до Мойсея, говорячи:
031402016b	„І скажеш до Ізраїлевих синів: Кожен чоловік із Ізраїлевих синів та з прихо́дька, що мешкає в Ізраїлі, який дасть із насіння свого Молохові, буде конче забитий, — наро́д кра́ю заки́дає його камінням.
0314030140	А Я зверну лице Своє проти того чоловіка, і ви́нищу його з-поміж наро́ду його, бо з насіння свого дав він Моло́хові, щоб занечи́стити святиню Мою, збезче́стити Моє святе Ймення.
03140400e7	А якщо справді люди того краю сховають свої очі від того чоловіка, коли він дасть із насіння свого Молохові, щоб не забити його,
0314050116	то Я зверну́ Своє лице проти того чоловіка та проти роди́ни його, — і ви́нищу його й усіх, що блу́дять за ним, блу́дячи за Молохом, з-посеред наро́ду його.
0314060123	А душа, що звертається до померлих ду́хів та до чарівників, щоб блуди́ти за ними, — то Я зверну Своє лице проти тієї душі, — і винищу того з-посеред наро́ду його.
0314070075	І ви будете освячуватися, і будьте святі, бо Я — Господь, Бог ваш!
031408009c	І ви будете держати постанови Мої, і будете виконувати їх. Я — Господь, що освячує вас!
03140900fc	Бо кожен чоловік, що прокляне́ свого батька чи матір свою, буде конче забитий, — батька свого чи матір свою він прокляв, кров його на ньому!
03140a0112	А кожен, хто буде чинити пере́люб із чиєю жінкою, хто буде чинити перелюб із жінкою свого ближнього, — буде конче забитий перелю́бник та перелю́бниця.
03140b00e7	I А хто буде лежати із жінкою ба́тька свого, він відкрив наготу свого батька, — будуть конче забиті обо́є вони, кров їхня на них!
03140c00c6	А хто буде лежати з невісткою своєю, — будуть конче забиті обо́є вони, гидо́ту вчинили вони, кров їхня на них!
03140d00c6	А хто лежа́тиме з чоловіком як із жінкою, — гидоту вчинили обоє вони, — будуть конче забиті, кров їхня на них!
03140e00be	А хто ві́зьме жінку й матір її, — гидо́та це, в огні спалять його та її, і не буде кровозмішання серед вас!
03140f008f	А хто парува́тиметься з скоти́ною, — буде конче забитий, і скоти́ну ту заб'єте.
03141000f6	А жінка, що набли́зиться до якої скотини, щоб лежати з нею, то заб'єш ту жінку та скотину ту, — будуть конче забиті вони, кров їхня на них!
03141101be	А хто візьме сестру свою, дочку батька свого або дочку матері своєї, і побачить наготу її, а вона побачить наготу його, — га́ньба це! І будуть вони знищені на оча́х синів їхнього наро́ду, — він наготу сестри своєї відкрив, він понесе провину свою!
031412015d	А хто буде лежати із жінкою, ча́су хвороби місячним, і відкриє її наготу, — він джерело́ її обнажи́в, а вона відкрила джерело́ своєї крови, — то будуть вони обоє знищені з-посеред народу свого!
03141300ed	І не відкриєш наготи́ сестри матері своєї й сестри батька свого, бо однокровну свою обнажи́в би ти, — вони понесу́ть провину свою.
03141400cf	А хто буде лежати з тіткою своєю, — він відкрив наготу́ дядька свого, гріх свій вони понесуть, — бездітні помруть!
03141500b0	А хто ві́зьме жінку брата свого, — це нечисть, він відкрив наготу брата свого, — бездітні будуть.
031416011a	І ви будете додержувати всі постанови Мої й усі уста́ви Мої, і будете виконувати їх, — і не ви́ригне вас земля та, куди Я впроваджаю вас, щоб сиділи ви в ній.
03141700bd	І не бу́дете ви ходити за звичаями люду, що Я виганяю перед вами, бо все те робили вони, — і Я їх обри́див.
0314180126	І сказав Я до вас: ви вспадкуєте їхню зе́млю, а Я дам її вам на спа́дщину її, землю, що плине молоком та медом. Я — Господь, Бог ваш, що відділив вас від тих наро́дів!
031419015b	І ви відділяйте між худобою чистою та нечистою, і між пта́ством нечистим та чистим, і не занечищуйте душ своїх худобою й птаством, і всім, що роїться на землі, що Я відділив для вас, як нечисте.
03141a00aa	І будьте для мене святі, бо святий Я, Господь. І Я відділю вас від тих наро́дів, щоб ви були Мої.
03141b00ff	А чоловік або жінка, коли будуть вони виклика́ти духа мерців або ворожити, — будуть конче забиті, камінням заки́дають їх, кров їхня на них!“
0315010135	І сказав Господь до Мойсея: „Говори до священиків, Ааро́нових синів, і скажеш їм: Ніхто з вас нехай не занечи́ститься через доторкнення до померлого серед свого наро́ду.
0315020124	Бо тільки через доторкнення до близьки́х однокровних своїх, — через матір свою, і через батька свого, і через сина свого, і через дочку свою, і через брата свого,
03150300d0	і через сестру свою, ді́вчину близьку́ йому, що не була́ замужем, — через тих він може занечиститися доторкненням.
031504009e	Бувши одру́жений, нехай не занечи́ститься серед рідні своєї, щоб не збезче́стити себе.
03150500d2	Не зроблять вони ли́сини на голові своїй, і кра́ю бороди своєї не підстрижуть, а на тілі своїм не наріжуть надрізів.
0315060110	Святі вони будуть для Бога свого, і не збезчестять вони Ймення Бога свого, бо вони приносять огняні́ Божі жертви, хліб свого Бога. І будуть вони святі.
03150700ec	Жінки блудли́вої та збезчещеної вони не ві́зьмуть, і не візьмуть жінки, вигнаної від чоловіка свого, бо святий він для Бога свого.
03150800ca	І освятиш його, бо він приносить хліб Бога твого, — святий він буде для вас, бо святий Я, Господь, що освячує вас!
03150900b8	А священикова дочка́, коли зачне́ робити блуд, вона безчестить батька свого, — ув огні буде спа́лена.
03150a0144	А священик, найбільший від братів своїх, що на голову його буде виллята олива пома́зання, і буде посвячений на одяга́ння шат, він голови своєї не запустить і шат своїх не роздере,
03150b00c0	і до жодного вмерлого не вві́йде, — навіть через батька свого та через матір свою не сміє занечи́ститься.
03150c00f1	І він не віді́йде від святині, і не занечи́стить святині Бога свого, бо на ньому посвя́чення оливи пома́зання його Бога. Я — Господь!
03150d003d	І він ві́зьме жінку в дівоцтві її.
03150e00e8	Удови́, і розве́деної, і збезчещеної, блудливої, — тих він не ві́зьме, а тільки діви́цю з-поміж рідні своєї він ві́зьме за жінку.
03150f0098	І не збезче́стить він насіння свого в рідні своїй, бо Я — Господь, що освячує його“.
0315100048	I Господь промовляв до Мойсея, говорячи:
03151100fc	Промовляй до Ааро́на, говорячи: Чоловік із насіння твого на їх покоління, що буде в нім вада, не приступить, щоб прино́сити хліб свого Бога.
03151200ca	Бо жоден чоловік, що в нім вада, не приступить: чоловік сліпий, або кульга́вий, або кирпа́тий або довготеле́сий,
0315130060	або чоловік, що матиме зламану ногу або зламану руку,
03151400d0	або горбатий, або ви́сохлий, або більмо́ на оці його, або коро́стявий, або парши́вий, або з розчавленими я́драми, —
0315150147	кожен чоловік із насіння священика Ааро́на, що на нім ця вада, не приступить, щоб прино́сити Господні огняні жертви, — вада в нім, не приступить він, щоб прино́сити хліб свого Бога.
031516006d	Він буде їсти хліб свого Бога з Найсвятішого та зо святощів.
0315170100	Та до завіси не піді́йде він, і до жертівника не присту́пить, бо вада в нім, — і не збезче́стить святині Моєї, бо Я — Госпо́дь, що освячує їх“.
0315180087	І Мойсей промовляв до Аарона й до синів його, та до всіх синів Ізра́їлевих.
0316010049	І Господь промовляв до Мойсея, говорячи:
0316020150	„Промовляй до Аарона й до синів його, і нехай вони обере́жно поводяться зо святощами Ізраїлевих синів, які вони посвячують Мені, і нехай не безчестять Мого святого Ймення. Я — Господь!
0316030190	Скажи їм: На ваші покоління кожен чоловік, що набли́зиться зо всякого вашого насіння до святощів, які Ізраїлеві сини посвятять Господе́ві, а нечистість його на нім, то буде винищена душа та з-перед лиця Мого. Я — Господь!
0316040192	Кожен чоловік з Ааро́нового насіння, коли він прокаже́ний або течи́вий, не буде їсти зо святощів, аж поки очиститься. А хто доторкнеться всякого нечистого від мертвого тіла, або чоловік, що з нього вийде насіння лежа́ння,
0316050106	або хто доторкнеться до всякого плазуна́, через якого він стане нечистий, або до людини́, через яку стане нечистий, через усяку нечистість її, —
03160600da	особа, що доторкнеться до того, то стане нечиста аж до вечора, і не буде їсти зо святощів, поки не обмиє свого тіла в воді.
031607009d	А коли за́йде сонце, то стане він чистий, а потім буде їсти зо святощів, бо це хліб його.
0316080091	Па́дла та розша́рпаного не буде він їсти, щоб не занечиститись ним. Я — Господь!
0316090120	І будуть вони стерегти́ Мої при́кази, — щоб не понести через те гріха́ на собі, і щоб не померти через нього, коли б збезче́стили їх. Я — Господь, що освячує їх!
03160a00a3	А кожен чужий не буде їсти святощів; осілий у священика й на́ймит не будуть їсти святощів.
03160b00f6	А коли священик купить чоловіка, — купівля срібла його це, — той буде їсти їх, також уро́джений дому його, — вони будуть їсти його хліб.
03160c00b0	А священикова дочка́, коли буде видана чужому чоловікові, вона не буде їсти принесених святощів.
03160d0160	А священикова дочка́, коли буде вдова, або розве́дена, а дітей не має, і ве́рнеться до дому свого батька, — як за мо́лодости своєї, буде їсти з хліба ба́тька свого. А кожен чужий не буде їсти його.
03160e00d2	А чоловік, коли з'їсть святощі через по́милку, то докладе до неї п'яту частину її, і віддасть священикові ті святощі,
03160f009c	і священики не збезчестять святощів Ізра́їлевих синів, що вони приносять Господе́ві,
03161000a8	і не стягнуть на себе вини за провину їдження своїх святощів. Бо Я — Господь, що освячує їх“.
0316110048	I промовляв Господь до Мойсея, говорячи:
03161201ed	„Промовляй до Ааро́на й до синів його, та до всіх Ізраїлевих синів, і скажеш їм: Кожен чоловік з Ізраїлевого дому та з прихо́дька між Ізраїлем, що принесе свою жертву за всякими своїми обі́тницями та за всякими дарува́ннями своїми, що принесе Господе́ві на цілопа́лення,
031613009f	то нехай принесе на вподобання ваше безвадного самця́ з худоби великої, з овець і з кіз.
0316140081	Жодного, що в нім вада, не принесете, бо не буде воно на вподо́бання вас.
031615015f	А чоловік, коли принесе Господе́ві мирну жертву на виразно ви́словлену обі́тницю або на дарунок, із худоби великої чи з худоби дрібної, — безвадна буде на вподо́бання, жодна вада не буде в ній:
0316160131	сліпа, або зла́мана, або скалічена, або шолуди́ва, або коро́стява, або паршива, — не принесете тих Господеві, і жертви огняно́ї не дасте з них на жертівника для Господа.
03161700f2	А вола та вівцю з занадто довгим чи занадто коротким яким членом добровільно принесеш у жертву, а на обі́тницю вони не вгодні Богові.
03161800e8	А того, що має ядра розчавлені, чи збиті, чи відірвані, чи відрізані, — не піднесете Господе́ві, і в вашому Кра́ї не зробите того.
03161900ea	І з руки чужи́нця не принесете хліба нашого Бога зо всіх таких, бо в них зіпсуття їх, вада в них, — вони не будуть вгодні для вас“.
03161a0049	І Господь промовляв до Мойсея, говорячи:
03161b0108	„Віл, або вівця, або коза, коли вродиться, то буде сім день під своєю матір'ю, а від дня во́сьмого й далі буде вгодне на жертву огняну́ для Господа.
03161c0069	А корови та вівці, — її й маля́ її не заріжете одно́го дня.
03161d00a5	А коли будете прино́сити вдячну жертву для Господа, то приносьте так, щоб вона була вгодна.
03161e0087	Того дня буде вона з'їджена, — не зоставите з неї аж до ра́нку. Я — Господь!
03161f0081	І заповіді Мої будете додержувати, і будете виконувати їх. Я — Господь!
03162000d0	І не будете безчестити Мого святого Ймення, і Я буду освячений серед Ізраїлевих синів. Я — Господь, що освячує вас,
0316210081	що вивів вас із єгипетського кра́ю, щоб бути вашим Богом. Я — Господь!“
0317010049	І Господь промовляв до Мойсея, говорячи:
03170200d2	„Промовляй до Ізраїлевих синів і скажеш їм: Свята Господні, що в них склика́тимете святі збори, оце вони, свята Мої:
031703013f	Шість день буде робитись робота, а дня сьомого — субота повного відпочинку, святі збори, жодної роботи не будете робити. Це субота відпочинку для Господа по всіх оселях ваших!
0317040080	Оце свята Господні, святі збори, що скличете їх у їхнім означенім часі:
031705008a	У місяці першім, чотирна́дцятого дня місяця під вечір — Па́сха для Господа.
03170600b4	А п'ятна́дцятого дня того місяця — свято Опрі́сноків для Господа, сім день будете їсти опрі́сноки.
031707009e	Першого дня будуть святі збори для вас, — жодного робочого зайня́ття не будете робити.
03170800df	І будете прино́сити для Господа жертву сім день; сьомого дня — збори святі, жодного робочого зайня́ття не будете робити“.
0317090049	І Господь промовляв до Мойсея, говорячи:
03170a0133	„Промов до Ізраїлевих синів і скажеш їм: Коли ви вві́йдете до того Кра́ю, що Я даю вам, і будете жати жни́во його, то снопа первопло́ду ваших жнив принесете до священика,
03170b00f3	а він буде колиха́ти снопа того перед лицем Господнім, щоб набути вподо́бання вам; першого дня по свя́ті священик буде колихати його.
03170c00b5	І ви приря́дите в дні вашого колиха́ння снопа однорічне безвадне ягня на цілопа́лення для Господа.
03170d0112	А хлі́бна його жертва — дві десяті ефи пшеничної муки, мішаної в оливі, огняна́ жертва для Господа, пахощі любі; а жертва лита його — вино, чверть гіна.
03170e015f	А хліба, і пря́женого зе́рна, і свіжих зе́рен ви не будете їсти аж до самого того дня, аж до вашого прине́сення жертви для вашого Бога. Це вічна постанова для ваших поколінь по всіх ваших оселях.
03170f00d4	І відлічите ви собі першого дня по святі, від дня вашого прине́сення снопа колиха́ння, сім тижнів, повні будуть вони.
03171000c4	А до першого дня по сьомім тижні відлічите п'ятдеся́т днів, та й принесете хлі́бну нову́ жертву для Господа.
0317110105	З ваших осель принесете два хлі́би колиха́ння, — дві десяті ефи́ пшеничної муки будуть вони, будуть спечені ква́шені, первопло́ди для Господа.
031712017c	І принесете понад той хліб сім ягнят безвадних у віці року, й одного бичка та два барани, — вони будуть цілопа́лення для Господа, і жертва хлі́бна, і жертви литі для них, огняна́ жертва, пахощі любі для Господа.
031713009e	І спорядите́ одно́го козла на жертву за гріх, та двоє ягнят у віці року на жертву мирну.
031714012c	І священик буде колихати їх ра́зом із хлібом первопло́дів, як колиха́ння перед Господнім лицем, над двома́ ягнятами. Вони будуть святощі для Господа, для священика.
031715012a	І скличете того самого дня, — і будуть святі збори для вас, жодного робочого зайня́ття не будете робити. Це вічна постанова для ваших поколінь по всіх ваших оселях!
031716015e	А коли ви будете жати жни́во вашої землі, не дожинай кра́ю поля твого́, а попадалих колосків жни́ва твого не будеш збирати, — для вбогого та для прихо́дька позоставиш їх. Я — Господь, Бог ваш!“
0317170047	І промовив Господь до Мойсея, говорячи:
03171800fb	„Промовляй до Ізраїлевих синів, говорячи: Сьомого місяця, першого дня місяця буде вам повний спочинок, — пам'ять су́рмлення, святі збори.
031719009c	Жодного робочого зайняття не будете робити, і принесете огняну́ жертву для Господа“.
03171a0049	І Господь промовляв до Мойсея, говорячи:
03171b011d	„А десятого дня того самого місяця — день Очи́щення він, збори святі бу́дуть для вас, і бу́дете впокоряти душі ваші, і принесете огняну́ жертву для Господа.
03171c00eb	І жодного зайняття не будете робити того самого дня, бо він — день Очищення, щоб очистити за вас перед лицем Господа, Бога вашого.
03171d00ab	Бо кожна душа, що не буде впоко́рюватись того самого дня, то буде вона ви́нищена з своєї рідні.
03171e00ba	А кожна душа, що буде робити яке зайняття того самого дня, — то Я ви́гублю ту душу з-посеред наро́ду її.
03171f00ac	Жодного зайняття не будете робити. Це постанова вічна для ваших поколінь по всіх ваших оселях!
031720011d	Він субота повного спочинку для вас, — і ви будете впокоряти душі свої, ввечері дев'ятого дня місяця від вечора аж до вечора будете святкувати вашу суботу“.
0317210049	І Господь промовляв до Мойсея, говорячи:
03172200d8	„Промовляй до Ізраїлевих синів, ка́жучи: П'ятна́дцятого дня того сьомого місяця, — свято Ку́чок, сім день для Господа.
031723007d	Першого дня святі збори, жодного робочого зайняття не будете робити.
0317240176	Сім день будете прино́сити огняну́ жертву для Господа; во́сьмого дня — святі збори будуть для вас, і принесете огняну́ жертву для Господа; це відда́ння свята, — жодного робочого зайняття не будете робити.
031725015d	Оце свята Господні, що скликуватимете на них святі збори, щоб прино́сити огняну́ жертву для Господа, цілопа́лення, хлі́бну жертву й зако́лену жертву, і жертви литі, — належне дневі в його дні,
03172600e6	окрім Господніх субі́т, і окрім да́рів ваших, і окрім усіх ваших обі́тниць, і окрім усіх ваших дарува́нь, що дасте́ Господе́ві.
0317270131	А п'ятнадцятого дня сьомого місяця, коли ви збираєте врожай землі, будете святкува́ти свято Господнє сім день; першого дня повний спочинок, і восьмого повний спочинок.
031728015e	І ві́зьмете собі першого дня пло́ду гарного дерева, па́льмові віття, і галу́зку многолистого дерева та припото́чних топо́ль, — і будете весели́тися перед лицем Господа, Бога вашого, сім день.
0317290102	І будете святкувати його, як свято для Господа, сім день у році. Постанова вічна для ваших поколінь, — сьомого місяця будете святкува́ти його.
03172a0094	У ку́чках будете сидіти сім день, — кожен тубі́лець в Ізраїлі сидітиме в ку́чках,
03172b00f1	щоб ваші покоління пізнали, що Я в ку́чках посадив був Ізраїлевих синів, коли виводив їх з єгипетського кра́ю. Я — Господь, Бог ваш!“
03172c006d	І Мойсей промовляв до Ізра́їлевих синів про свята Господні.
0318010049	І Господь промовляв до Мойсея, говорячи:
0318020103	„Накажи Ізраїлевим синам, і вони принесуть тобі чистої, ви́чавленої оливи з оли́вкового дерева на освітлення, щоб запалювати вічну лямпа́ду.
0318030123	Поза завісою свідо́цтва в скинії заповіту приряди́ть її Ааро́н від вечора аж до ра́нку перед Господнім лицем наза́вжди. Це вічна постанова для ваших поколінь!
031804008f	На чистім свічнику́ прирядить він ті лямпади перед Господнім лицем наза́вжди.
03180500b9	І ві́зьмеш пшеничної муки, і випечеш із неї дванадцять калачів, — по дві десяті ефи́ буде один кала́ч.
031806008d	І покладеш їх у два ряди́, шість у ряд, на чистому столі перед Господнім лицем,
03180700ca	і поклади на ряд чистого ладану, і він стане для хліба за прига́дувальну частину, — огняна́ жертва для Господа.
03180800af	Щосуботи він покладе його перед Господнім лицем за́вжди, від Ізраїлевих синів, вічний запові́т.
031809010d	І він буде для Аарона та для синів його, і вони будуть їсти його в святому місці, бо він найсвятіше з огняни́х жертов Господніх. Це вічна постанова“.
03180a0111	І вийшов син ізраїльтя́нки, — а він був син єги́птянина, — між Ізраїлевих синів. І сварився в табо́рі син тієї ізраїльтя́нки з одним ізраїльтя́нином.
03180b0120	І син тієї ізраїльтя́нки богозневажив Ім'я́ Господнє, і проклинав. І привели́ його до Мойсея. А ймення матері його — Шеломіт, дочка́ Діври, з Данового племени.
