010000000b	Kamtawngnae
011a0b0079	Abimelek ni apihai ama thoseh, a yu thoseh, ka tek e tami teh thei roeroe lah ao han telah a taminaw pueng koe kâ a poe.
011a0c0065	Isak ni hote ram dawk cang a patue teh BAWIPA ni hote kum dawk roeroe alet 100 touh yawhawinae a poe.
011a0d0054	Ahni teh hoehoe a bawi teh, lutlut bawi totouh a tawn, hnopai hoehoe a pungdaw pouh.
011a0e0066	Bangkongtetpawiteh, tuhunaw hoi maitonaw hoi a sannaw moi a tawn. Hatdawkvah, Filistinnaw ni a ut awh.
011a0f008d	A na pa Abraham a hring nah a sannaw ni a tai e tuikhunaw pueng hah Filistinnaw ni hno han pasoung hoeh dawkvah, talai koung a paten sin awh.
011a100082	Abimelek ni Isak koevah, kaimouh koehoi tâcawt leih. Bangkongtetpawiteh, nang teh kaimouh hlak vah hno na sak thai telah atipouh.
011a110056	Isak ni hote hmuen koehoi a tâco teh Gerar yawn dawk rim a sak teh haw vah kho a sak.
011a1200d8	A na pa Abraham ni a hring nah a tai e tuikhunaw hah Isak ni bout a tai. Bangkongtetpawiteh, Abraham a due hnukkhu vah Filistinnaw ni talai muen a paten awh. Hahoi, a na pa ni min a phung e patetlah min bout a phung.
011a130064	Isak e sannaw ni hai hote yawn dawk tuikhu a tai awh teh hote hmuen koe tui a tâco e hah a hmu awh.
011a1400b7	Hateiteh, Gerar e saring kakhoumnaw ni tui heh kaimae doeh telah Isak e saring kakhoumnaw hoi a kâounkhai awh. Ahnimouh hoi a kâoun awh dawkvah, tuikhu e min teh Esek telah ati awh.
011a150069	Tuikhu alouke bout a tai teh hote haiyah lawp hanlah a kâounkhai awh dawkvah a min Sitnah telah ati awh.
011a16010a	Hote hmuen koehoi a kampuen awh teh alouke tuikhu hah bout a tai awh. Hote teh lawp hanlah kâcai awh hoeh toe. Atu teh BAWIPA ni hmuen kakawpoung na sak pouh dawkvah hete ram dawk canaw moikapap ka khe awh han toe telah ati awh teh a min lah Rehoboth telah ati awh.
011a17002e	Hote hmuen koehoi Beersheba lah a takhang awh.
011a1800ef	Hote tangmin dawkvah BAWIPA teh ahni koevah a kamnue teh kai teh na pa Abraham e Cathut doeh, taket hanh, bangkongtetpawiteh, nang koe ka o. Yawhawinae na poe vaiteh, ka san Abraham pawlawk hoi na ca catounnaw ka pungdaw sak han telah ati.
011a190080	Hote hmuen koe khoungroe hah a sak. BAWIPA min a kaw teh rim a sak. Hahoi, Isak e sannaw ni hote hmuen koe tuikhu hah a tai awh.
011a1a0062	Hatdawkvah, Gerar hoi Abimelek teh a hui Ahuzzath hoi a ransabawi Fikol hoi ahni koevah a tho awh.
011a1b0072	Isak ni na hmuhma awh teh namamouh koehoi na pâlei hnukkhu, bangkongmaw kai koevah bout na tho awh telah atipouh.
011a1c00c9	Ahnimouh ni nang koevah BAWIPA ao tie kamcengcalah ka panue awh. Patawnae poe hanlah ka tho awh hoeh. Hawinae hoi roumnae lahoi na ceisak e patetlah kaimouh pataw nahanlah banghai na sak hoeh nahanlah,
011a1d0092	kaimouh rahak vah, nangmouh hoi kaimouh rahak roeroe dawkvah lawkkamnae awm naseh. Nang teh BAWIPA ni yawhawi a poe e tami doeh telah atipouh awh.
011a1e003c	Isak ni ahnimouh hanlah buvennae a sak pouh teh a canei awh.
011a1f0090	Amom lah palang a tho awh teh buet touh hoi buet touh thoebo lawkkamnae a sak awh. Isak ni a ceisak teh ahni koehoi karoumcalah hoi a tâco awh.
011a200083	Hote hnin dawkvah, Isak e sannaw hah a tho awh teh tuikhu a tai awh e kongnaw a dei pouh teh, tui ka hmu awh toe telah atipouh awh.
011a210064	Hote tuikhu teh Sheba telah ati awh. Hatdawkvah, hote kho teh sahnin totouh Beersheba telah ati awh.
011a220074	Esaw teh a kum 40 touh a pha nah Hit tami Beeri canu Judith hoi Hit tami Elon e canu Basemath hah a yu lah a paluen.
011a23003c	Hotnaw teh Isak hoi Rebekah a lung ka pataw sakkungnaw doeh.
011b0100c6	Hahoi, hettelah ao. Isak teh matawng toung dawkvah mithmu thai hoeh totouh a mitmawm hnukkhu, a capa kacue e Esaw hah a kaw teh ahni koevah, ka capa telah atipouh. Ahni ni hi vah ka o telah atipouh.
011b020055	A na pa ni atu kai teh ka matawng toe. Na tueng maw ka due han ti hai ka panuek hoeh.
011b03005a	Hatdawkvah, pahren lahoi palabom hoi licung hah sin nateh kahrawng vah moi na ka pouh haw.
011b040094	Ka due hoehnahlan yawhawi na poe thai nahanlah ka ngai e patetlah katuipoung lah na thawng pouh nateh ka ca hanlah kai koevah thokhai telah atipouh.
011b05007a	Isak ni a capa Esaw hoi lawk a kâpato roi e hah Rebekah ni a thai. Hatdawkvah, Esaw teh moi ka hanlah kahrawng vah a cei.
011b060047	Rebekah ni a capa Jakop koevah, thai haw, na pa ni na hmau Esaw koevah,
011b07009d	moi ka nateh ka due hoehnahlan ka ca vaiteh BAWIPA hmalah yawhawinae na poe thai nahanlah rawca katuipoung lah na thawng pouh haw telah a dei pouh e ka thai.
011b08003e	Hatdawkvah, ka capa kai ni kâ na poe e patetlah na ngâi han.
011b0900a4	Atu saringnaw koe cet nateh haw e hmaeca kahawi e kahni touh kai koevah thokhai. Hottelah, na pa hanlah, ama ni a ngai e patetlah katuipoung lah na thawng pouh han.
011b0a0065	A due hoehnahlan yawhawinae na poe thai nahanlah a ca hane na pa koevah na ceikhai han telah atipouh.
011b0b006b	Jakop ni a manu Rebekah koevah, Khenhaw! ka hmau Esaw teh muen puk a tho, hatei, kai teh muen ka tawn hoeh.
011b0c008f	Apa ni na payam pawiteh, ahni ka dum e lah kaawm vaiteh, yawhawinae laipalah thoebonae koe kâhmo payon han na vaimoe telah a manu koe atipouh.
011b0d007d	Hatei, a manu ni ahni koevah, na thoebonae teh kai dawk phat na seh. Ka dei e hah tarawi nateh na lat pouh haw telah atipouh.
011b0e005e	Ahni ni a cei teh a la. A manu koe a poe teh a manu ni na pa ni ngai e patetlah a thawng pouh.
011b0f0079	Rebekah ni a capa kacue Esaw e khohna kahawipoung e, im ahni koe kaawm hah a la teh, a capa kanaw Jakop hah a khohna sak.
011b10003e	Hmae pho hah a kut hoi muen o hoeh nae lahuen dawk a bet pouh.
011b110052	Hahoi, ka tuipoung lah thawng e hmae moi hoi vaiyei hah a capa Jakop koevah a poe.
011b120074	Hatdawkvah, na pa koe vah a cei teh, apa telah ati teh, a na pa ni hi vah ka o, ka capa, api nang maw telah a pacei.
011b1300b2	Jakop ni a na pa koevah, na capa kacue Esaw doeh, na patoun e patetlah koung ka sak toe, pahren lahoi thaw nateh yawhawinae na poe thai nahanlah rawca heh cat leih telah atipouh.
011b140098	Hatei, Isak ni a capa koevah, ka capa bangtelamaw telah karanglah na hmu thai telah atipouh. Ahni ni na BAWIPA Cathut ni na poe dawk doeh telah atipouh.
011b150068	Isak ni ka capa, na payam thai nahanlah pahren lahoi na hnai haw. Ka capa Esaw katang maw telah atipouh.
011b16007e	Jakop ni a na pa Isak teh a hnai. A na pa ni a payam teh na lawk teh Jakop e lawk doeh, a kut teh Esaw e a kut doeh telah ati.
011b17005f	A kut hah a hmau Esaw e kut patetlah muen a tho dawkvah, panuek thai laipalah yawhawinae a poe.
011b18005c	A na pa ni, ka capa Esaw nang ka tang maw telah atipouh. Ahni ni, Oe kai doeh telah atipouh.
011b1900a8	Ahni ni, kai koe rek thokhai haw yawhawinae na poe thai nahanlah ka capa ni thokhai e moi teh ka ca hanlah telah ati. Hahoi, a hnai teh a ca. Misur hai a poe teh a nei.
011b1a004d	A na pa Isak ni ahni koevah, ka capa na hnai nateh na paco haw telah atipouh.
011b1b00a0	Hatdawkvah, a hnai teh a paco Ahni ni khohna hmui hah a thai teh yawhawi a poe. Thaihaw! ka capa e hmui heh BAWIPA ni yawhawinae ram hmuitui patetlah ao roeroe.
011b1c0076	Hatdawkvah, Cathut ni kalvan e tadamtui thoseh, talai hawinae thoseh, cakang moikapap hoi misur moikapap na poe naseh.
011b1d010a	Miphunnaw ni na thaw tawk awh naseh, miphun hah na hmalah tabawk awh naseh. Na hmaunawnghanaw e bawi lah awm nateh, na manu e canaw na hmalah tabawk awh naseh. Thoe na ka bo naw pueng thoebo lah ao vaiteh yawhawinae na ka poe e pueng hah yawhawi awh naseh telah ati.
011b1e0094	Hahoi, hettelah ao. Isak ni Jakop yawhawinae phouk a poe nah Jakop teh a na pa koehoi nueng a tâco tahma vah Esaw teh samram a ceinae koehoi a tho.
011b1f00c5	Ahni ni hai katuipoung lah a thawng van teh, a na pa koevah a thokhai. A na pa koevah, na hringnae ni yawhawi na poe nahanlah apa teh a thaw vaiteh, a capa ni thokhai e moi hah cat naseh telah ati.
011b20006d	A na pa Isak ni ahni koevah, nang apimaw telah a pacei. Ahni ni na capa, na ca kacue Esaw doeh telah atipouh.
011b2100cd	Isak teh pueng hoi a pâyaw teh, moi ka hoi kai koe ka thokhai e teh apimaw. Nang na tho hoehnahlan ca vah koung ka ca teh yawhawi ka poe e hah teh api namaw. Ahni teh yawhawi lah ao roeroe han, telah ati.
011b22007f	Esaw ni a na pa e lawk dei e a thai navah, pueng hoi a ka teh a na pa koevah, Oe apa, kai hai, yawhawinae na poe telah atipouh.
011b230059	Hateiteh, a na pa ni na nawngha ni na dum teh na yawhawinae na la pouh toe telah atipouh.
011b2400e7	Esaw ni a min lah Jakop tie heh ahman katang nahoehmaw. Kai heh vai hni touh na dum teh na tâ toe. Camin coungnae na lah pouh. Atu ka yawhawinae bout na la pouh telah ati. Ahni roeroe ni yawhawinae na tat pouh hoeh maw, telah ati.
011b2500d8	Isak ni Esaw koe vah, khenhaw! ahni teh na bawi lah ka coung sak teh a hmaunawnghanaw pueng hai a san lah koung ka poe toe. Cakang hoi misur hoi ka kawk toe. Ka capa nang hanlah bangmaw na sak pouh han telah atipouh.
011b260097	Esaw ni a na pa koevah, apa yawhawinae buet touh dueng maw na tawn Oe apa kai hai yawhawi na poe lah telah ati. Hatdawkvah, Esaw teh ngawngngawng a ka.
011b27006f	A na pa Isak ni Esaw koevah, thai haw, na o nahane teh talai kahawi hoi kahlun lahoi tadamtui hoi a kâhla han.
011b2800bc	Na tahloi hoi na kâkawk vaiteh na nawngha e thaw na tawk pouh han. Hahoi, hettelah ao han, kâhat laipalah na kâroe hnukkhu, a kahnam rui hah na lahuen dawk hoi a ling han telah atipouh.
011b2900a6	A na pa ni yawhawi a poe dawkvah Esaw ni Jakop hah a hmuhma teh a lung hoi apa ka khuinae hnin teh a hnai toe. Hat hnukkhu ka nawngha Jakop teh ka thei han telah ati.
011b2a00a9	A capa kacue Esaw ni a dei e lawk hah Rebekah koe a dei pouh awh. Rebekah ni a capa kanaw Jakop a kaw teh, thai haw, na hmau Esaw teh nang na thei to doeh a lungroum ti.
011b2b0058	Hatdawkvah, atu ka dei e hah ngai. Thaw nateh Haran vah ka thangroi Laban koe vah yawng,
011b2c0043	Na hmau a lungkhueknae a roum hoehroukrak thung teh haw vah awm ei.
011b2d00c5	Nange lathueng vah na hmau lungkhueknae a roum teh a lathueng vah na sak e heh a pahnim torei, tami ka patoun vaiteh na la sak han. Bangkongmaw hnin touh dawkvah nangmouh roi ka sung han telah ati.
011b2e00d0	Rebekah ni Isak koevah, Heth canunaw kecu dawk kai hring hane ka ngai hoeh toe. Jakop ni hete ram dawk e canunaw patet e tami, a yu lah lat pawiteh, kai ka hringnae aphu bangmaw kaawm han toung telah atipouh.
011c01007f	Hatdawkvah, Isak ni Jakop hah a kaw teh yawhawinae a poe, tawngtang lawk a thui e teh, Kanaan canunaw thung e yu na lat mahoeh.
011c02008b	Thaw nateh Paddanaram ram dawk na manu e a na pa Bethuel im vah cet. Haw e na manu e a thangroi Laban canunaw thung dawk hoi na yu hah lat.
011c030096	Bangpueng ka sak thai e Cathut ni yawhawi na poe naseh, miphun moi kapap lah na pung thai nahanlah ca catoun moi na tawn sak teh na pungdaw sak naseh.
011c04009b	Imyin lah onae ram, Cathut ni Abraham koe a poe e heh na coe nahanlah Abraham yawhawinae teh na coe sak awh naseh, nang hoi na canaw hoi telah lawk a thui.
011c050098	Hatdawkvah, Isak ni Jakop teh yout a ceisak teh, Paddanaram ram e Jakop hoi Esaw e manu Rebekah e a thangroi Syria tami Bethuel capa Laban koevah a cei.
011c0600a0	Isak ni Jakop hah yawhawi a poe teh a yu la hanlah Paddanaram ram lah a patoun. Yawhawi a poe nah Kanaan ram e tanglanaw yu lah na lat mahoeh telah lawk a thui.
011c07004d	Jakop ni a manu hoi a na pa e lawk hah a ngai teh, Paddanaram ram dawk a cei.
011c08004e	Kanaan ram e tangla naw ni a na pa Isak lungyouk sak hoeh toe tie a hmu navah,
011c09008c	Esaw ni Ishmael koevah a cei teh a tawn tangcoung a yunaw hloilah, Abraham capa Ishmael e canu Mahalath Nebaioth tawncanu hah a yu lah a la.
011c0a0036	Jakop teh Beersheba hoi a kamthaw teh Haran lah a cei.
011c0b0084	Hmuen buet touh koe a pha teh kanîloum toung dawkvah a roe. Talung buet touh hah a la teh lahoung lah a lahoung teh i hanlah a yan.
011c0c0085	Hahoi, mang a mang teh talai van khalai a kâdo teh a donghmo ni kalvan a pha. Hote khalai dawk Cathut e kalvantaminaw a kumluen awh.
011c0d009e	A lathueng vah, BAWIPA a kangdue teh, Kai teh BAWIPA, na min Abraham e Cathut hoi Isak e Cathut lah ka o, na inae ram hah nang hoi na ca catounnaw ka poe han;
011c0e00b7	Na ca catounnaw teh talai e vaiphu yit touh a pha awh han. Kanîtho, kanîloum, atunglah, akalah na pungdaw awh han. Nang pawlawk dawk hoi miphunnaw pueng ni yawhawinae a hmu awh han.
011c0f00b6	Khenhaw! nang koevah ka o. Na ceinae pueng koe na kountouk vaiteh, hete ram dawk bout na bankhai awh han. Nang koe ka dei e ka sak hoehnahlan pueng teh na cettakhai mahoeh telah ati.
011c10005f	Jakop ni a kâhlaw teh, hete hmuen koe BAWIPA teh ao roeroe ka panuek laipalah ka o, telah ati.
011c1100f0	Hatdawkvah, a taki teh, het hmuen heh takikatho e lah ao! hete heh hmuen alouke nahoeh, Cathut e im, kalvan longkha lah ao, telah ati. Jakop ni amom a thaw teh a lahoung e talung hah a lah teh talung lah a ung teh a van vah satui hah a awi.
011c120069	Jakop ni amom a thaw teh a lahoung e talung hah a lah teh lungkhoung a ung teh, avan vah satui hah a awi.
011c130048	Hote hmuen hah Bethel telah a phung. Hote kho teh hmaloe vah Luz lah ao.
011c14006f	Jakop ni, apa im dawk lungmawngcalah ka ban thai nahan, kai koe Cathut hah ao teh ka ceinae lam hah a ring teh,
011c150057	ca han e vaiyei hoi kâkhu hane hni na poe boipawiteh, BAWIPA teh ka Cathut lah ao han.
011c1600a9	Hete talung ka ung e haiyah Cathut e im lah ao han, hahoi na poe hane naw pueng thung dawk hoi hra touh dawk buet touh teh na poe roeroe han, telah lawkkamnae hah a sak.
011d01003c	Jakop ni pou a cei teh Kanîtholae taminaw e ram dawk a pha.
011d0200a9	A khet navah tuikhu kaawm e lawpam vah tuhu kathum touh a kamkawn e hah a hmu. Bangkongtetpawiteh, tuikhu thung e tui hah tunaw ouk a pânei awh. Tuikhu koe lungsong ao.
011d0300a2	Hote hmuen koe tunaw pueng pâkhueng lah ao han. Tuikhu khannae lungsong hah takhoe vaiteh, tu tui pânei hoi talung teh ama onae hmuen dawk bout teng lah ao han.
011d04007a	Jakop ni ahnimouh koevah, ka hmaunawnghanaw api kho maw, telah a pacei. Ahnimouh ni, Haran taminaw doeh telah atipouh awh.
011d05007a	Ahni ni ahnimouh koevah, Nahor capa Laban na panue awh maw telah a pacei. Ahnimouh ni, Oe ka panue awh, telah atipouh awh.
011d06009a	Ahni ni ahnimouh koevah, a hring rah maw, telah a pacei. Ahnimouh ni, Oe a dam rah doeh, khenhaw! a canu Rachel hai tu hoi a tho lahun, telah atipouh awh.
011d070089	Ahni ni, Khenhaw! Kanî asaw rah, saring pâkhueng hanelah khout hoeh rah. Tunaw hah tui pânei awh nateh bout tha awh ei, telah atipouh.
011d0800ce	Hateiteh, ahnimouh ni, tuhunaw pueng pâkhueng teh tuikhu tengnae talung takhoe hoehnahlan pueng teh tui pânei thai lah awm awh hoeh. Takhoe hnukkhu to doeh tu heh tui ouk ka pânei awh, telah atipouh awh.
011d09007c	Hottelah, lawk a kâpan navah, Rachel teh a na pa e tunaw hoi a tho, bangkongtetpawiteh ahni teh tu ka khoum e napui lah ao.
011d0a00c5	Hahoi, hettelah ao. Jakop ni a manu e a thangroi Laban e canu Rachel hoi tunaw a hmu toteh, a cei sin teh tuikhu tengnae talung hah a takhoe pouh teh a manu e a thangroi e tu hah tui a pânei pouh.
011d0b0038	Hahoi, Jakop ni Rachel hah a paco teh ngawngngawng a ka.
011d0c009f	Jakop ni Rachel koe a na pa e a na minca lah a onae hoi Rebekah e capa lah a onae kong hah a dei pouh. Hatdawkvah, Rachel ni a na pa koe ayawng teh a dei pouh.
011d0d00bd	Hahoi, Laban ni a tawncanu e capa Jakop kong a thai tahma, ahni dawn hanelah ayawng. A tapam teh a paco hnukkhu, a im vah a hrawi. Jakop ni Laban koe hno kâhmo e akongnaw pueng a dei pouh.
011d0e0062	Laban ni ahni koe, nang teh ka misa katang doeh, telah atipouh teh ahni koevah thapa yung touh ao.
011d0f0086	Laban ni Jakop koevah, Ka minca lah na o dawkvah, aphu laipalah ka thaw na tawk han na maw. Bangmaw na poe han dei haw, telah atipouh.
011d10005c	Laban ni canu kahni touh a tawn teh a camin teh Leah a phung, a cahnoung teh Rachel a phung.
011d11005e	Leah teh a mit roumkawt e lah ao. Hatei, Rachel teh a tungtang hoi a mei kahawi e tami lah ao.
011d12006f	Jakop ni Rachel a ngai dawkvah, na canu kanaw e Rachel hanlah kum sari touh na thaw ka tawk han, telah atipouh.
011d130069	Laban ni, ayâ alouke ka poe hlak teh nang na poe e heh ahawihnawn han doeh, kai koe awmh, telah atipouh.
011d140082	Hatdawkvah, Jakop ni Rachel hanlah kum sari touh a thaw a tawk pouh, a lungpataw poung dawkvah hnin dawngdengca e patetlah a pouk.
011d15007c	Jakop ni Laban koe, ka ikhai thai nahanlah ka yu teh na poe leih, bangkongtetpawiteh, ahnintha teh akuep toe, telah atipouh.
011d160039	Laban ni khoca pueng a pâkhueng teh bu canae pawi a sak.
011d170052	Hahoi, kho a hmo nah a canu Leah a hrawi teh Jakop koevah a thak pouh teh a ikhai.
011d180040	Laban ni a sannu Zilpah hah a canu Leah koevah san hanlah a poe.
011d1900b7	Khodai toteh, khenhaw! Leah lah a o, Jakop ni Laban koevah, ka lathueng vah na sak e heh bangmaw. Rachel ka yu nahanlah na thaw ka tawk hoeh na maw. Bangkongmaw na dum, telah atipouh.
011d1a004d	Laban ni, Ka ram dawk a hmau hoehnahlan a nawngha ceisak phung roeroe nahoeh.
011d1b0090	Hete napui hanlah hnin sari kuep sak ei, hahoi, kum sari touh ka thaw bout na tawk han e dawk alouknaw hai na poe han, telah atipouh e patetlah,
011d1c006a	Jakop ni hottelah a sak teh hnin sari touh a kuep sak teh Laban ni a canu Rachel haiyah a yu hanlah a poe.
011d1d004b	Hahoi, Laban ni a sannu Bilhah hah a canu Rachel koevah a san hanlah a poe.
011d1e0075	Rachel bout a ikhai. Leah hlakvah Rachel heh a lung hoe a pataw dawkvah, Laban e thaw kum sari touh bout a tawk pouh.
011d1f0067	BAWIPA ni Leah teh lungpataw hoeh tie a panue dawkvah a thun a kamawng sak. Hatei, Rachel teh a carôe.
011d2000bb	Leah teh camo a vawn teh ca tongpa a khe, a min lah Reuben a phung. Bangkongtetpawiteh, BAWIPA ni runae ka kâhmo e a panue. Hatdawkvah, atu teh ka vâ ni na lungpataw han toe, telah ati.
011d210095	Camo bout a vawn teh ca tongpa bout a khe. Kai na hnoun e BAWIPA ni a thai dawkvah, hete ca tongpa hai na poe telah ati teh Simeon telah min a phung.
011d2200ac	Camo bout a vawn teh ca tongpa bout a khe. Atu teh ca tongpa kathum touh ka khe pouh toe dawkvah, ka vâ ni na tha mahoeh toe, telah ati. Hatdawkvah, a min lah Levih a sak.
011d23009a	Hahoi, camo bout a vawn teh ca tongpa bout a khe. Atu teh, BAWIPA ka pholen han, telah ati. Hatdawkvah, a min Judah a phung. Hahoi teh, camo khe hoeh toe.
011e010090	Rachel ni Jakop hanlah camo a khe pouh hoeh e a hmu toteh, a hmau hah a ut teh Jakop koe, Camo na poe, nahoeh pawiteh ka due han, telah atipouh.
011e020068	Jakop teh Rachel koe a lungkhuek teh, ca khe han ka pasoung hoeh e Cathut yueng lah maw ka o, telah ati.
011e03008e	Napui ni, khenhaw! ka sannu Bilhah heh ipkhai nateh kai ni hai ahni koehoi camo ka tawn thai nahanlah, ka phai dawk camo a khe han, telah ati.
011e040046	Hatdawkvah, a sannu Bilhah teh a yu hanlah a poe teh Jakop ni a ikhai.
011e05003c	Bilhah ni camo a vawn teh Jakop hanlah ca tongpa a khe pouh.
011e06007c	Rachel ni, Cathut ni na pouk teh ka lawk hai a thai dawkvah, ca tongpa na poe, telah ati. Hatdawkvah, a min lah Dan a phung.
011e070059	Rachel e a sannu teh camo bout a vawn teh Jakop hanlah ca tongpa apâhni bout a khe pouh.
011e08005e	Rachel ni, ka hmau hoi kâthe teh ka tâ toe telah ati. Hatdawkvah, a min lah Naptali a phung.
011e090077	Leah ni camo ka khe thai hoeh toe tie a kâpanue dawkvah, a sannu Zilpah hah a ceikhai teh a yu hanlah Jakop hah a poe.
011e0a004a	Hatdawkvah, Leah e a sannu, Zilpah ni camo tongpa Jakop hanlah a khe pouh.
011e0b0039	Leah ni, a yawhawi, telah ati teh, a min lah Gad a phung.
011e0c0040	Leah e a sannu Zilpah ni ca tongpa Jakop hanlah bout a khe pouh.
011e0d0075	Leah ni, Ka yaw ahawi, napuinaw ni a yaw kahawi poung katang e na ti pouh han, telah ati teh a min lah Asher a phung.
011e0e00c2	Canga tue nah Reuben teh law vah a cei teh, hloisi hah a hmu teh a manu Leah koevah a thokhai. Hatdawkvah, Rachel ni Leah koevah, pahren lahoi na capa hloisi youn touh na poe haw, telah atipouh.
011e0f00d3	Ahni ni, ka vâ na lawp e heh hno tica e lah maw na pouk, ka capa hloisi totouh lawp han e na kâcai telah atipouh. Rachel ni, hat boi pawiteh, na capa e hloisi yueng lah atu tangmin na ikhai han, telah atipouh.
011e1000c6	Tangmin lah Jakop teh law hoi a tho teh, Leah ni a dawn hanlah a thaw teh, Na ikhai roeroe han, bangkongtetpawiteh, ka capa koe e hloisi heh ka hlai toe, telah ati dawkvah, hote tangmin teh a ikhai.
011e110064	Cathut ni Leah e ratoumnae hah a tarawi, camo a vawn teh Jakop hanlah ca tongpa panganae a khe pouh.
011e120084	Leah ni, Ka sannu hah ka vâ koe ka poe dawkvah, Cathut ni ka tawknae aphu hah na poe van, telah a titeh a min lah Issakhar a phung.
011e13004f	Leah ni, Camo bout a vawn teh Jakop hanlah ca tongpa ataruknae bout a khe pouh.
011e1400b9	Leah ni, Cathut ni kahawi poung e kamthoupnae hoi na pathoup, ka vâ hanelah ca tongpa taruk touh ka khe pouh toung dawkvah, kai koe ao han toe, telah a titeh a min lah Zebulun a phung.
011e15003b	Hathnukkhu, napuica bout a khe teh a min lah Dinah a phung.
011e16006d	Cathut ni Rachel hah pahnim hoeh. Hatdawkvah, Cathut ni a ratoumnae a tarawi pouh teh, camo im a kamawng sak.
011e17005c	Hahoi, camo a vawn teh ca tongpa a khe. Cathut ni ka min mathoenae na ramuk pouh, telah ati.
011e180054	Hahoi, BAWIPA ni capa alouke bout na poe ei naseh, a titeh a min lah Joseph a phung.
011e190077	Rachel ni Joseph a khe hnukkhu hettelah ao. Jakop ni Laban koevah, ka onae ram lah ka ban thai nahanlah na cetsak leih.
011e1a009e	Na thaw na tawk pouh toe. Hatdawkvah, ka yunaw hoi ka canaw na poe nateh na cetsak leih, bangkongtetpawiteh na thaw ka tawk e naw hah na panue, telah atipouh.
011e1b009c	Laban ni, Na pahren thai pawiteh, awm ei. Bangkongtetpawiteh, BAWIPA ni nang pawlawk dawk hoi yawhawinae na poe e hah ka mithmu vah ka panue, telah atipouh.
011e1c0039	Ama roeroe ni na hmu hane to nateh na poe han, telah ati.
011e1d006f	Jakop ni ahni koevah, bangtelamaw na thaw ka tawk tie hoi na saring hah bangtelamaw kai koe ao ti hah na panue.
011e1e00b7	Ka tho hoehnahlan teh yitca doeh na tawnh, atuteh moikapap a kampung. Pek ka tho hoi BAWIPA ni yawhawinae hah na poe. Nâtuek maw ka imthungkhu hanelah thaw ka tawk van han telah ati.
011e1f009d	Hatdawkvah ahni koe, bangmaw na poe han telah atipouh. Jakop ni, banghai na poe hanh. Hetheh na sak pouh boipawiteh, na saringnaw teh bout na khoum pouh han.
011e2000c6	Sahnin vah tuhu, hmaehu, thung ka cei teh, tarakcak e hmaenaw, humtamang e tunaw pueng hah koung a kapek toe. Hathnukkhu ka tarakcak e hmae, humtamang e tunaw teh kai ni ka coe hane aphu lah ao han.
011e210122	Hatdawkvah, atotovah kaie tawkphu ka hmu hane teh na hmalah a pha to vah, ka lannae ni na pathung han doeh. Hmae thung dawk tarakcak lah a em ka pangaw hoeh e, a em kasawlah ka pangaw hoeh e, tu thung dawk ka tamang hoeh e kai koe na hmawt pawiteh, ka paru e lah na pouk han, telah atipouh.
011e220037	Laban ni, Oe, na dei e patetlah tho lawiseh, telah ati.
011e2300f1	Hot hnin totouh hoi, hmaetan tarakcak ni teh kasawlah a em kaawmnaw pueng hoi, Hmae manu tarakcak ni teh kasawlah a em kaawm e naw pueng, ka pangaw pueng hoi tu thung dawk ka tamangnaw pueng hah a kapek pouh teh a capanaw e a kut dawk a poe.
011e240070	Ahni hoi Jakop rahak vah hnin thum lamcei koe ao sak teh, Jakop ni Laban e saringnaw pueng hah bout a thak pouh.
011e250058	Jakop ni poplar hoi hazel hoi almond thing e akangnaw hah a la teh tarakcak lah a tarik.
011e2600af	Saringnaw ni tui ouk a neinae dokko hoi palang dawkvah, saringnaw e hmalah sonron hah a ta. Bangkongtetpawiteh, tui nei hanlah ouk a tho awh nah saring hah âvâ ouk a cu awh.
011e270053	Hatdawkvah, saring hah sonron teng âvâ ouk a cu nah, a em tarakcak lah ouk a khe.
011e2800bb	Hahoi, Jakop ni tucanaw a kapek teh, Laban e saringhu thung dawk e a em kaawm hoi katamangnaw pueng koe lah a kangvawi sak. Amae saring hah a kapek teh Laban e saring hoi rei hrueng hoeh.
011e2900a3	Atha bet kaawm hnawn e saring âvâcu toteh, sonron hmalah âvâcu thai nahanlah, Jakop ni tui a lawngnae koe saringnaw e a hmaitung vah, sonron hah ouk a ta pouh.
011e2a008f	Hatei, saring hah kamsoe pawiteh tat pouh hoeh. Hottelah, ka kamsoe e a canaw teh Laban e lah ao teh, a tha bet kaawm e naw hah Jakop e lah ao.
011e2b007e	Hatdawkvah, Jakop koe moi kapap lah a kampung teh saringhu moi kapap, sannu hoi sanpa naw hoi, kalauknaw hoi lanaw hah a tawn.
011f0100a0	Laban e canaw ni, Jakop ni kaimae apa e hno pueng koung a la pouh dawkvah, hete tawnta e naw pueng heh a hmu e doeh, telah a dei awh e lawk hah Jakop ni a thai.
011f020069	Jakop ni, Laban e minhmai a khet nah a hmoun e patetlah minhmai kahawi ka hmawt hoeh toe tie hah a panue.
011f030079	Hatdawkvah, BAWIPA ni Jakop koevah, na mintoenaw e ram hoi na imthungkhu lah ban nateh, nang koe vah ka o han, telah ati.
011f040059	Jakop ni tami a patoun teh Rachel hoi Leah hah saring onae law vah tho hanelah a kaw sak.
011f05009c	Ahnimouh roi koe, na pa e minhmai ka hmu navah, ahmoun e patetlah minhmai kahawi ka hmawt hoeh toe tie hah ka panue, hateiteh Apa Cathut teh kai koe ao toe.
