0100000004	Tite
02050f008f	Amǝ Isǝrayila mǝnia à twalia ace sǝntà túró ka, à wari aban Firona nǝ ɓua malea ama, “Palang sǝ a pakka sǝm ani, sǝm aguro mò?
02051000d6	À tàmsǝna pà sǝm lusung-pwasǝa ace yau dǝɓang, sǝ kat andǝ mǝno ka, à camarǝ pîtà sǝm ama ɓǝ̀ sǝm ɓak tobali. Ado ka à kutina kok sǝm. Aɓwana mô amǝ Masar na mǝnana à pàk pepè raka.”
02051100cd	Sǝ Firona nyesǝia wia ama, “Wu nda ka amǝ'doɓana, wu earce pàk túró ɗang! Nda gìr mǝnana tsǝa sǝ wu kǝ nam ama ɓǝ̀n ɗeki wun, wun nǝ̀ o a pà gir'nkila aban Yahweh Ɓakuli ma'wun ngga.
020512009f	Ado ka, wu nyare a kún túró! À pà nǝ̀ pà wun lusung-pwasǝa ɗàng, sǝ dumǝna púp wun nǝ̀ ɓak làkkì mala atobali mǝnana à kasǝa wun ngga.”
02051300c2	Amǝ Isǝrayila mǝnana à tsǝia sǝntà túró, sǝni ka, à nda ɓá tanni mǝkwane lang à ok ama à pà nǝ̀ amsǝia wia làkkì mala atobali mǝnana à nǝ̀ ɓak aɓa pwari mwashat raka.
020514005a	Lang à purî ɓadǝm Firona ka, à kum Musa andǝ Haruna aban came, à nda rǝ kúndǝia.
020515010f	À banggi Musa andǝ Haruna ama, “Ɓǝ̀ Yahweh sǝn gìr mǝnana wu pàk ka, sǝ ɓǝ̀ ɓasha wun, acemǝnana wu tsǝ̀ngŋǝ̀nà, sǝm pǝlǝna aɓwana mǝnana à nǝ̀ ɓinǝmǝsǝia a sǝne mala murǝm andǝ amǝtúró male ka, sǝ wu pània wia gara wal sǝm.”
0205160089	Pǝlǝa Musa nyare aban Yahweh sǝ banggi wi ama, “We Yahweh, palang ado sǝ a yinǝ tanni amur aɓwana mǝnia? Ace mana sǝ a túrǎm?
02051700d7	Twala a pwari mǝnana ǝn wari nǝi aban Firona ace ne wi cau mò mǝnana a túrǎm nǝi ka, kara kǝ lidǝmba nǝ li aban pea aɓwana mô tanni, sǝ ko a pak kǝgìr mǝnana awu nǝ pusǝia aɓa tanni ka ɗàng!”
02060100e8	Pǝlǝa Yahweh ne Musa ama, “Ado ka, awu nǝ sǝn gìr mǝnana mǝ nǝ pàkkî Firona ka: Mǝ ndo mǝ nǝ tsǝì nǝ rǝcandǝa mem ɓǝ̀ nying aɓwana mem ɓǝà o. Yàle yì ka, nǝ̀ pǝria nǝ pǝra, ɓǝà upi nzali male.”
0206020031	Nyare Ɓakuli ne Musa cau ama, “Mǝ nda Yahweh.
02060300cb	Ən lǝmdǝ rǝàm aban Ibǝrayim, aban Ishaku, sǝ aban Yakupu, ama, Mǝ nda Ɓakuli mǝnana Kar Ban Kat nǝ Gulo ka. Sǝama lùllǝàm mǝnana ama Yahweh ka, ǝn lǝmdǝia wia à súrǝàm nǝi ɗàng.
020604007c	Ɗǝm ngga ǝn kúti aɓa kùrcau sǝnǝia ama, mǝ nǝ pea wia nzali Kan'ana, yì nzali mǝnana à duk kam kǝla abǝri ka.
0206050082	Sǝ adyan ngga, ǝn ongŋǝna imge mala amǝ Isǝrayila mǝnana amǝ Masar tsǝia aguro ka, sǝ ɓalǝam kasǝna arǝ kùrcau mem.
0206060140	“Acemani ka, kyane banggi amǝ Isǝrayila ama, ‘Mǝ nda Yahweh. Mǝ nǝ amsǝ wun ɓǝ̀ wu purî ɓá nggea kanggǝrang tanni mǝnana amǝ Masar tsǝk wun aɓalǝi ka. Mǝ nǝ pusǝ wun aɓata doguro aɓatea, sǝ mǝ nǝ akmúr wun nǝ kaɓa rǝcandǝa mem andǝ lǝmdǝ atúró mǝgule mala ɓashi amur amǝ Masar.
02060700e5	Mǝ nǝ ak wun, wun nǝ̀ duk aɓwana mem, sǝ mǝ nǝ duk Ɓakuli ma'wun. Sǝ wun nǝ̀ sǝlǝ ama Mǝ nda Yahweh, Ɓakuli ma'wun, mǝnana pusǝ wun wu purî ɓá nggea kanggǝrang tanni mǝnana amǝ Masar tsǝk wun aɓalǝi ka.
02060800ad	Sǝ mǝ nǝ yinǝ wun a nzali mana ǝn kángìr nǝma mǝ nǝ pè Ibǝrayim, andǝ Ishaku, andǝ Yakupu ka. Mǝ nǝ pà wuni ɓǝ̀ duk girkuma ma'wun. Mǝ nda Yahweh!’”
02060900b8	Anggo sǝ Musa nea amǝ Isǝrayila cau, sǝ yia ka à kwakikiria arǝì ɗàng, ace ɓungio mana ɓabumia ɓungi ka andǝ tanni mǝcandǝe mǝnana à nu aɓata túró-guro mǝɓike ka.
02060a001f	Pǝlǝa Yahweh banggi Musa ama,
02060b0077	“Nyare, kyane aban Firona, murǝm Masar, kya ne wi ama, ɓǝ̀ nying amǝ Isǝrayila ɓǝà purî ɓá nzali male.”
02060c00d2	Sǝ Musa ka nyesǝî Yahweh cau ama, “Nggearǝ amǝ Isǝrayila, yì aɓwana mem ngga à kwakikiria arǝàm rakâ, sǝ lang sǝ Firona nǝ̀ kwakikiri arǝàm, mim mǝnana ǝn nggǝ gandǝ nacau pepè raka?”
02060d00a7	Yahweh nacau nǝ Musa andǝ Haruna sǝ tasǝia nǝ cau aban amǝ Isǝrayila, sǝ aban Firona murǝm Masar, ɓǝà panzǝ amǝ Isǝrayila ɓǝà purî ɓá nzali Masar.
02060e00dd	Amǝnia ka à nda ka kau mala atau a nggurkwar mala Musa andǝ Haruna: Amuna-burana mala Ruben, muna-dǝmba mala Isǝrayila ka à nda ka: Hanok, andǝ Palu, andǝ Hezǝron, sǝ Karmi. À nda ka kau a nggurkwar mala Ruben.
02060f00b4	Amuna-burana mala Shimiyon ngga à nda ka: Jemuyel, andǝ Jamin, andǝ Ohat, andǝ Jakin, andǝ Zohar, sǝ Shawul muna mala ɓwama Kan'ana. À nda ka kau a nggurkwar mala Shimiyon.
02061000f2	Amǝnia ka, à nda ka lullǝ amuna andǝ amǝkau mala Lawi, arǝ aɓala malea, sǝ arǝ anza malea: Gashon, andǝ Kohat, sǝ Merari. Sauwa mala do ɓanza mala Lawi ka, apǝlǝa gbǝman mwashat nǝ lumi-tàrú nǝ mǝsǝi tongno-nong ɓari na.
020611005c	Amuna-burana mala Gashon ngga à nda ka: Libǝni andǝ Shimeyi, koyan ngga a nggurkwar male.
02061200ba	Amuna-burana mala Kohat ka à nda ka: Amram, andǝ Izǝhar, andǝ Hebǝron, sǝ Uziyel. Sauwa mala do ɓanza mala Kohat ka apǝlǝa gbǝman mwashat nǝ lumi-tàrú nǝ mǝsǝi tàrú na.
0206130096	Amuna-burana mala Merari ka, à nda ka: Mali andǝ Mushi. Aɓwana mǝno kat à tsaɗi lullǝia ka à pur a tàu mala Lawi; à tsaɗia arǝ anza malea.
02061400c9	Amram al Jochebet mǝ'kyauwa tárrí, sǝ ɓǝli wi amuna-burana ɓari: Haruna andǝ Musa. Sauwa mala do ɓanza mala Amram ngga pǝlǝa gbǝman mwashat nǝ lumi-tàrú nǝ mǝsǝi tongno-nong ɓari na.
0206150047	Amuna-burana mala Izǝhar ka à nda ka: Kora, andǝ Nefeg, sǝ Zǝkiri.
020616004c	Amuna-burana mala Uziyel ka à nda ka: Mishayel, andǝ Elzafan, sǝ Sitǝri.
0206170093	Haruna al Elisheba, nsarile Aminadap sǝ mǝ'eam Nashon. Elisheba ɓǝlî wi amuna-burana, à nda ka: Nadap, andǝ Abihu, andǝ Eleaza, sǝ Itamar.
020618006b	Amuna-burana mala Kora ka à nda ka: Asir, andǝ Elkana, sǝ Abiyasaf. À nda ka kau a nggurkwar mala Kora.
02061900de	Eleaza muna-ɓwabura mala Haruna ka yi al mwashat atà ansarina mala Putiyel, sǝ ɓǝli wi muna-ɓwabura male: Finehas. Amǝno ka à nda ka aká aɓwana andǝ amǝɓala malea a tàu mala Lawi, koyan ngga a nggurkwar male.
02061a00e2	Haruna andǝ Musa mǝnana à tunǝ lullǝia a tsadya mala alullǝu kani ka, à nda mǝnana Yahweh bangcau nǝia ka ama, “Wu pusǝ amǝ Isǝrayila ɓǝà purî ɓá nzali Masar, koya tàu ka a nggǝsan malea a nzǝmarǝia.”
02061b0092	Kǝ yià, Musa andǝ Haruna mǝnia ka, à nda ka aɓwana mana à bangcau nǝ Firona, murǝm Masar ace pusǝ amǝ Isǝrayila ɓǝà purî Masar ka.
02061c0036	A pwari mana Yahweh bangcau nǝ Musa a nzali Masar ka,
02061d005f	Yahweh ne wi ama, “Mǝ nda Yahweh. Banggi Firona murǝm Masar gìr mana kat ǝn banggo ka.”
02061e0073	Sǝ Musa ka na a ɓadǝm Yahweh ama, “Sǝni, ǝn sǝlǝ nacau ɗàng; lang sǝ Firona nǝ̀ kwakikiri arǝàm?”
0207010095	Pǝlǝa Yahweh banggi Musa ama, “Sǝni, ǝn nyésǝ̀no a dumǝna kǝla Ɓakuli aban Firona, sǝ mǝ'eambo Haruna ka nǝ̀ do nda mǝɓangnǝa mô.
020702009c	Awu nǝ bang cau mana kat ǝn banggo ka, sǝ mǝ'eambo Haruna ka nǝ̀ banggi Firona ama dumǝna púp ɓǝ̀ panzǝ amǝ Isǝrayila ɓǝà purî nzali male.
020703007a	Sǝama, mǝ nǝ candǝmúr Firona, sǝ ko ɓǝ̀ ǝn hatǝki pàkkì agir-lǝmdǝa, andǝ agir-ndǝlǝki a nzali Masar ka,
02070400d3	Firona pà nǝ̀ oka wun ɗàng. Pǝlǝa mǝ nǝ nongsǝ buam amur Masar, sǝ mǝ nǝ pàkkì agir mǝgulke mala ɓashi mem, mǝ nǝ pusǝ atau mala aɓwana mem, amǝ Isǝrayila, à nǝ̀ purî ɓá nzali Masar.
020705009f	Nda wuni amǝ Masar nǝ̀ sǝlǝ ama mǝ nda Yahweh, a pwari mana ɓǝ̀n lǝmdǝna buam arǝ Masar, mǝ nǝ pusǝ amǝ Isǝrayila ɓǝà purî ɓalǝia ka.”
020706004a	Musa andǝ Haruna pàk gìr mǝnana Yahweh banggia wia ama ɓǝà pàk ka.
02070700a1	A bàkú mana à waria banggi Firona cau ka, apǝlǝa mala Musa ka, lumi-tongno-nong-tàrú na, sǝ mala Haruna ka, lumi-tongno-nong-tàrú nǝ mǝsǝ tàrú na.
0207080028	Pǝlǝa Yahweh ne Musa andǝ Haruna ama,
020709009d	“Ɓǝ̀ Firona bangga wun ama ɓǝ̀ wu pàk gir'ndǝlǝki ka, ne Haruna ɓǝ̀ twal gara male ɓǝ̀ túrí a ɓadǝm Firona, garè nǝ̀ pǝlǝ n'yau.”
02070a00ba	Pǝlǝa Musa andǝ Haruna wari aban Firona Murǝm, à kya pa kǝla mǝnana Yahweh banggia wia ka. Haruna túr gara male a ɓadǝm Firona andǝ amǝgulo male, sǝ garè kara pǝlǝ n'yau.
02070b00ac	Pǝlǝa Firona tunǝ amǝ'sǝlǝe andǝ amǝ'monzǝo; sǝ yià gbal, amǝ'pakki anggár mala Masar ka, à paktúró nǝ monzǝo malea à pak gbal kǝla mǝnana Musa pak ka.
02070c0061	À túrki agara malea a nzali, sǝ agara pǝlǝ an'yau. Sǝama gara mala Haruna myal agara malea.
02070d008d	Kat andǝ amani ka, Firona candǝmúrí. Sǝ kǝla mǝnana Yahweh bang ngga, anggo sǝ pa, ko Firona kwakikiri arǝ Musa andǝ Haruna ɗàng.
02070e0076	Pǝlǝa Yahweh ne Musa ama, “Firona ka múrí-candǝna, sǝ ɓinǝna pà nǝ̀ nying amǝ Isǝrayila ɓǝà u ɗang.
02070f00c2	Acemani ka, kyane kya kumi nǝ dǝmbari lang purna nǝ̀ ká a nggeasala ka. Came a kún Nggeasala Nayel wu kundǝi ace mǝnana wun nǝ̀ je wunǝi ka. Twal gara mò mǝno pǝlǝ n'yau ka a buo.
02071000c9	Banggi wi ama, ‘Yahweh, yì Ɓakuli mala amǝ'Ibǝru tasǝam ɓǝ̀n banggo ama, “Nying aɓwana mem ɓǝà o, ace mǝnana ɓǝà kya peri abanam a ɓabondo ka.” Sǝ bà ado ka a kwakikiro ɗàng.
02071100c1	Ado ka, Yahweh kǝ bang ama, “Nǝ mǝnia ka, sǝ awu nǝ sǝlǝ ama, mǝ nda Yahweh.” Sǝni, nǝ gara mǝnia a buam ngga, mǝ nǝ wal mùr Nggeasala Nayel, sǝ mùrî ka nǝ̀ pǝlǝ nkila.
0207120082	Nji mǝnana kat a Nggeasala Nayel ka nǝ̀ wú, sǝ rǝmban mǝɓane nǝ̀ ak mùr, sǝ amǝ Masar nǝ̀ ginǝki nu mùrnî.’”
020713014d	Yahweh ne Musa ama, “Banggi Haruna ɓǝ̀ twal gara male a buì sǝ ɓǝ̀ sárǝí amur amúr mala nzali Masar, amur anggeasala malea, andǝ amyalmúr malea, andǝ aguguri malea, andǝ tūli-mùr malea, ace mǝnana ɓǝà pǝlǝ nkila ka. Nkila nǝ̀ ak ɓá nzali Masar kat, yàle kat andǝ ɓalǝ adù-mùr andǝ abàng-mùr.”
02071400c5	Nda Musa andǝ Haruna pak kǝla mǝnana Yahweh banggia wia ka. A mǝsǝ Firona andǝ amǝtúró male, Haruna loasǝ gara male wal mùr Nggeasala Nayel nǝi, sǝ mùr nggeasala kat ka, pǝlǝ nkila.
0207150094	Nji mǝnana a nggeasala kat ka wǔ rǝmbô, sǝ rǝmban mǝɓike ak mùr kat, gandǝa amǝ Masar gandǝ nue ɗàng. Koya ban aɓa Masar ka nkila na.
02071600cd	Sǝ amǝ'pakki agir nggár mala Firona gbal ka, à pàktúró nǝ monzǝo malea, à nyesǝ mùr pǝlǝ nkila. Sǝ kǝla mǝnana Yahweh na ka, Firona tǝ́r ɓabumi, ɓinǝ kwakikiri arǝ Musa andǝ Haruna.
0207170039	Kara wulio, bwal njar o a palta male, falǝ nǝia ɗàng.
0207180096	Pǝlǝa amǝ Masar kat kùtí a tǝm sala a kún Nggeasala Nayel aban alta mùr-nùná, acemǝnana à pà nǝ̀ gandǝ nu mùr mala nggeasalê ɗàng.
0207190063	Anonggió tongno-nong-ɓari yi kutio anzǝm mana Yahweh tsǝk mùr Nggeasala Nayel pǝlǝ nkila ka.
02080100b3	Pǝlǝa Yahweh ne Musa ama, “Kyane aban Firona murǝm Masar, sǝ wu ne wi ama: Yahweh na kǝ banggo ama, ‘Nying aɓwana mem ɓǝà o, ace mǝnana ɓǝà kya peri a banam ngga.
0208020061	Ɓǝ̀ a ɓinǝ nyia ɓǝà u ka, sǝni mǝ nǝ tsǝa nzali mô kat nǝ̀ lùmsǝ nǝ anɗwalung.
0208030138	Nggearǝ Nggeasala Nayel ka nǝ̀ lùmsǝ nǝ anɗwalung, yàle à nǝ̀ nggá ara aɓa palta mô, andǝ ndà-nongŋo mô, andǝ gyangŋan-nongŋo mô, andǝ aɓala mala amǝtúró mô, andǝ amala aɓwana mô kat. Ko nggearǝ andá-lurǝgìr andǝ atasau-sùrǝ̀gir ma'wun ngga à nǝ̀ lùmsǝ nǝ anɗwalung.
020804005a	Anɗwalung nǝ̀ eauwe amuro, andǝ múr aɓwana mô, andǝ múr amǝtúró mô kat.’”
02080500db	Pǝlǝa Yahweh banggi Musa ama, “Banggi Haruna ɓǝ̀ lǝmdǝ gara male mǝnana a buì ka amur anggeasala, andǝ amyal-múr, andǝ aguguri, ɓǝ̀ tsǝk anɗwalung ɓǝà eauwe ɓǝà kya gir nzǝm-nzali Masar kat.”
020806007f	Pǝlǝa Haruna lǝmdǝ gara male mana a buì ka amur amúr mala Masar, sǝ anɗwalung eapi mùr à kya lumsǝ ɓá nzali Masar.
0208070074	Sǝ amǝ'pakki agir nggár pak gìr mǝmwashati nǝ túró kutan malea, à tsǝk anɗwalung à yiu amur nzali Masar.
020808010f	Pǝlǝa Firona Murǝm tunǝ Musa andǝ Haruna, sǝ banggia wia ama, “Wu pak hiwi aban Yahweh ɓǝ̀ twàlâm amǝnia yì anɗwalung ngga ɓǝà nying sǝm sǝnǝ aɓwana mem, sǝ mǝ nǝ nying aɓwana mô ɓǝà o ace mǝnana ɓǝà kya pa agir'nkila aban Yahweh ka.”
02080900fc	Musa pe wi eare ama, “Ən nggǝ pò gulo mala nyinggo tsǝk pwari mǝnana ɓǝ̀n pak hiwi nǝi aceo, sǝ ace amǝ'túró mô, andǝ aɓwana mô, ace mǝnana anɗwalung ɓǝà nying wun andǝ aɓala ma'wun ngga, she akǝ mana a Nggeasala Nayel ka.”
02080a00bf	Firona banggi wi ama, “Pè lí.” Pǝlǝa Musa banggi wi ama, “Mǝ nǝ pè kǝla mǝnana a bang ngga, sǝ awu nǝ sǝlǝ ama kǝ ɓè ɓakuli pa kàm kǝla Yahweh Ɓakuli ma'sǝm ɗàng.
02080b00ab	Anɗwalung nǝ̀ upì ban wun, andǝ aɓala ma'wun, andǝ mala amǝ'túró mô, andǝ mala aɓwana mô. Kǝ amǝnana à nǝ̀ ue ka à nda ka mana a Nggeasala Nayel ka.”
02080c009c	Pǝlǝa Musa andǝ Haruna nying ɓadǝm Firona Murǝm, sǝ Musa ɓua aban Yahweh ama, ɓǝ̀ pǝ̀r anɗwalung mǝnana yinǝia amur Firona, murǝm Masar ka.
02080d0088	Yahweh pak kǝla mǝnana Musa zǝm ngga. Anɗwalung mana arǝ aɓala, andǝ amǝnana a palta, andǝ amǝnana arǝ abanfana ka, à wukio.
02080e0054	Amǝ Masar ramgia amur rǝarǝia gum-gum, sǝ nggea rǝmban mǝɓike ak nzali Masar.
02080f0095	Lang Firona Murǝm sǝni kumǝna usǝlǝo bǝti ka, kara candǝmúrí ɗǝm, ɓinǝ kwakikiri arǝ Musa andǝ Haruna, kǝla mǝnana Yahweh bang ngga.
020810009e	Nda Yahweh banggi Musa ama, “Ne Haruna ɓǝ̀ loasǝ gara male ɓǝ̀ wal nzali nǝi sǝ tú ka nǝ̀ pǝlǝ agirlanduno a koya ban aɓa nzali Masar kat.”
02081100cc	Anggo sǝ à pa. Haruna loasǝ gara male wal nzali, kara tú nzali Masar pǝlǝ agirlanduno, mǝnana à akrǝ aɓwana andǝ agirkusǝu ka; tú nzali kat pǝlǝ agirlanduno a koya ban aɓa nzali Masar kat.
02081200b0	Amǝ'pakki agir nggár mala Firona ɓariki à nǝ̀ pàktúró nǝ monzǝo ɓǝ̀ agirlanduno puro, sǝ ko à gandǝi ɗàng. Sǝ agirlanduno ueo arǝ aɓwana andǝ agirkusǝu.
02081300b4	Amǝ'pakki agir nggár banggi Firona ama, “Mǝnia ka, túró mala Ɓakuli na!” Sǝ kǝla mǝnana Yahweh bang ngga, Firona candǝmúrí, ɓinǝ kwakikiri arǝ Musa andǝ Haruna.
02081400dc	Yahweh ne Musa ama, “Lo nǝ dǝmbari ɗiɗyal sǝ wu kya kasǝkun Firona ɓǝ̀ purna nǝ̀ o a nggeasala ka. Banggi wi ama, Yahweh kǝ bang ama, ‘Nying aɓwana mem ɓǝà o, ace mǝnana ɓǝà kya peri a banam ngga.
0208150122	Ɓǝ̀ a ɓinǝ nying aɓwana mem ɓǝà u ka, mǝ nǝ tasǝ anggi nggǝm-nggǝm amuro, amur amǝ'túró mô, sǝ amur acili aɓwana mô. À nǝ̀ kutikio arǝ aɓala ma'wun. Aɓala mala amǝ Masar nǝ̀ lùmsǝ nǝ anggi nggǝm-nggǝm, sǝ à nǝ̀ gìr múr nzali mǝnana à duk kam ngga.
02081600d6	“‘Sǝama a pwari mǝno ka, mǝ nǝ yál bu-nzali Goshen, ban mǝnana aɓwana mem nakam nǝ do ka; kǝ anggi pa nǝ̀ pàk kàm ɗàng, ace mǝnana wu sǝlǝ ama, Mim, Yahweh ka, mǝ ndakam aɓa nzali mǝnia ka.
0208170061	Mǝ nǝ gau nre aɓwana mem andǝ aɓwana mô. Mǝnia yì gìr'lǝmdǝa ka nǝ̀ kumban li.’”
02081800ab	Yahweh pè anggo; Yahweh tasǝ anggi nggǝm-nggǝm, à yì ak ɓá palta mala Firona Murǝm, andǝ aɓala mala amǝ'túró male. Ɓá nzali Masar kat kìɗìkì nǝ anggi.
0208190093	Pǝlǝa Firona túrban ɓǝà tunǝ Musa andǝ Haruna sǝ bang ama, “Wu kyane, wu kya pa gìr'nkila aban Ɓakuli ma'wun aɓa nzali Masar kani.”
02081a012d	Sǝ Musa banggi wi ama, “Mǝno ka pà nǝ̀ ɓoaro ɓǝ̀ sǝm pè anggo ɗàng. Apagir mala gir'nkila mǝnana sǝm nǝ̀ pà aban Yahweh Ɓakuli ma'sǝm ngga, gìr'ɓeami na aban amǝ Masar. Sǝ ɓǝ̀ sǝm pà agir'nkila mǝnana gìr'ɓeami na a mǝsǝia ka, à pà nǝ̀ ɓukki sǝm nǝ atali re?
02081b00a5	Dumǝna púp sǝm nǝ̀ twal gya mala nongŋo tàrú aban o a ɓabondo, sǝ sǝm nǝ̀ pà gìr'nkila aban Yahweh Ɓakuli ma'sǝm, kǝla mǝnana bangga sǝm ngga.”
02081c00ab	Firona bang ama, “Mǝ nǝ nying wun ɓǝ̀ wu kyane wu kya pa gìr'nkila aban Yahweh Ɓakuli ma'wun a ɓabondo, sǝama wu kǝa u kuko ɗàng. Ado ka, wu pàkkam hiwi.”
02081d0108	Musa eari wi ama, “Mǝ ndo mǝ nǝ purî ɓadǝmbo, mǝ nǝ pàk hiwi aban Yahweh, sǝ li ka, anggi nǝ̀ nyio wunǝ amǝ'túró mô, andǝ acili aɓwana mô. Sǝama cè a nyare a swarki sǝm ɗǝm, a tamsǝ aɓwana arǝ o a pà gìr'nkila aban Yahweh ɗàng.”
02081e0061	Nda Musa puro nying palta mala Firona sǝ zǝmba aban Yahweh ɓǝ̀ pǝ̀r anggi kat ɓǝà u ka.
02081f00bf	Sǝ Yahweh pak kǝla mǝnana Musa zǝmbi wi ka; sǝ tsǝk nggea làkkì mala anggi man à ndǝrmì ban Firona, andǝ amǝ'túró male andǝ acili aɓwana male. Kǝ nggi ueo ko mwashat ɗàng.
0208200055	Sǝ kat andǝ mǝno ka Firona Murǝm candǝmúrí, nyare ɓinǝ nying aɓwe ɓǝà o.
02090100b8	Pǝlǝa Yahweh ne Musa ama, “Nyare o aban Firona kya ne wi ama, ‘Yahweh, Ɓakuli mala amǝ Ibǝru kǝ bang ama: Nying aɓwana mem ɓǝà o, ace mǝnana ɓǝà kya peri abanam ngga.
0209020035	Ɓǝ̀ a ginǝna ɗǝm a pa wunǝ nyia ɓǝà u raka,
02090300f6	buam, Mim Yahweh nǝ̀ sulǝ gìr'mur'mwana mǝɓike kǝ̀rkǝ́r amur agirkusǝu ma'wun mǝnana a patal ka; apǝr ma'wun andǝ amǝdambǝriso ma'wun, andǝ akalakadambi ma'wun, andǝ andá ma'wun, andǝ anzur ma'wun, andǝ ambul-pǝndǝa ma'wun.
020904008b	Sǝama mǝ nǝ gakkita agirkusǝu mala amǝ Isǝrayila andǝ mala amǝ Masar; kǝ agirkusǝu mala amǝ Isǝrayila na à pà nǝ̀ wù raka.
0209050064	Mim Yahweh ka ǝn tsǝ̀ngŋǝ̀nà lí ɓǝ̀ duk pwari mana mǝ nǝ pàk mǝnia yì gìr ka.’”
02090600a1	Ban yi fana ka, Yahweh pàk gìr mǝnana na ama nǝ̀ pàk ka; agirkusǝu mala amǝ Masar kat wukio, sǝ agirkusǝu mala amǝ Isǝrayila ka, kǝ ɓè wù ɗàng.
02090700c2	Firona ɗiban, sǝ à ne wi gìr mǝnana kumban ngga, ama kǝ girkusǝu mala amǝ Isǝrayila wù ɗàng. Sǝ yì ka, nying buì arǝ murcandǝa male ɗàng; ginǝ nying amǝ Isǝrayila ɓǝà o.
020908007e	Yahweh ne Musa andǝ Haruna ama, “Wu pwan tú ɓá ndà-ntul arǝ aɓabu wun; Musa ɓǝ̀ mesǝi aɓa gung a ɓadǝm Firona.
02090900d0	Tú mǝno nǝ̀ mesǝe kǝla kǝkǝri amur nzali Masar kat, sǝ nǝ̀ yinǝ ceakúmsǝǎm, sǝ yì ceakúmsǝǎm ngga à nǝ̀ pǝlǝ ampengŋe gula arǝ ɓwapǝndǝa andǝ agirkusǝu aɓa nzali Masar kat.”
02090a00bf	Nda à pwan tú a ndà-ntul sǝ à o à kya came a ɓadǝm Firona; Musa mesǝ tú aɓa gung, kara ceakúmsǝǎm mǝnana pǝlǝ ampengŋe gula ka à sàkkya arǝ ɓwapǝndǝa andǝ agirkusǝu.
02090b00b5	Nggearǝ amǝ pàkki agir nggár ka à gandǝ came a ɓadǝm Musa ɗàng atàcau mala ceakúmsǝǎm, acemǝnana rǝia kat ka, ceakúmsǝǎm e kǝla mǝnana ak rǝ amǝ Masar kat ka.
02090c0063	Sǝ Yahweh ka candǝ ɓabum Firona, ɓinǝ okia Musa andǝ Haruna, kǝla mǝnana Yahweh ne Musa ka.
02090d00e2	Pǝlǝa Yahweh ne Musa ama, “Lo nǝ bari ɗiɗyal kyane lǝmdǝ ɓamurò a ɓadǝm Firona, sǝ wu ne wi ama, ‘Yahweh, Ɓakuli mala amǝ Ibǝru kǝ na ama: Nying aɓwana mem ɓǝà o ace mǝnana ɓǝà kya peri abanam ngga.
02090e0109	Sǝ ɓǝ̀ a ginǝ ka, mǝnia adyan ngga mǝ nǝ tasǝ gìr'mur'mwana mǝnana kútì amana ɗiɗyal ka amuro, nggearǝ we, sǝ amur amǝtúró mô, sǝ amur aɓwana a là ma'wun kat. Sǝ wun nǝ̀ sǝlǝ ama, aɓa ɓanza kat ka ɓekǝ ɓwa pà kàm kǝla mim ɗang.
02090f00a2	Ɓǝ̀n ear ka ɓǝ́ adyan ngga ǝn loasǝna buam ǝn kongŋǝ̀no wunǝ aɓwana mô nǝ nggea kwánó mǝɓike, mǝnana ɓǝ́ twalnata wun a bum ɓanza kat ka.
0209100078	Sǝ mim ngga ǝn nyio nǝyilǝmu ace mǝnana ɓǝ̀n lǝmdǝo rǝcandǝa mem, sǝ ɓǝ̀ lullǝam zǝ́kí a ɓanza kat.
020911005e	Sǝ kat andǝ amǝno ka, a kǝ twalkirǝo amur aɓwana mem più, sǝ a ɓinǝ ɗekia ɓǝà o.
02091200ad	Sǝni, lí, a bu-pwari mǝnia ka, mǝ nǝ sulǝ talimbulo mǝkǝ̀rkǝ́rnì mǝnana nzali Masar malaká sǝn ulangnì raka, twal a pwari mana à kwambi nǝi ka, yi pur ado.
02091300d2	Ado ka, túrban ɓǝà nyesǝ agirkusǝu mô andǝ koya gìr mǝnana nda a patal ka, ɓǝà kùtí aɓata tara. Ɓǝ̀ ɓwa, sǝ ɓǝ̀ girkusǝu na mǝnana kat talimbulo man kumi a nza ka, nǝ̀ wù kat.’”
02091400b5	Aɓwana-mǝgule mala Firona Murǝm mana ɓangciu pakkia wia arǝ cau mǝnana Yahweh na ka, à nyesǝ aguro andǝ agirkusǝu malea akaurǝa ɓǝà yi kúti arǝ aɓala ace kum àwá.
0209150063	Sǝ aɓwana mǝnana à tsǝkir cau mala Yahweh raka, à nying aguro andǝ agirkusǝu malea a patal.
02091600cb	Pǝlǝa Yahweh ne Musa ama, “Sárǝ́ buo a kùli, ace mǝnana talimbulo ɓǝ̀ sulǝo amur nzali Masar kat; amur ɓwapǝndǝa, amur agirkusǝu, andǝ agirpwala mǝnana a ɓaban aɓa nzali Masar ka.”
02091700da	Nda Musa loasǝ gara male a kùli, sǝ Yahweh tasǝ sàkkya mala mgbarangce andǝ nya mala talimbulo; sǝ mgbarangce sulǝ nǝ bǝsa amur nzali. Anggo sǝ Yahweh tasǝ talimbulo yi rak kpana-kpana amur nzali Masar kat.
02091800a6	Lang talimbulo na arǝ nya ka, bǝsa camarǝ liki'nzama aɓalǝi. À nya talimbulo kǝ̀rkǝ́r ulang mǝnana a do mala Masar kǝla nzali ka, à nya ulang mǝno raka.
