0100000008	Génesis
0a10110067	Absalón preguntó a Husai: ¿Es ésta tu lealtad para tu amigo? ¿Por qué no acompañaste a tu amigo?
0a10120096	Husai dijo entonces a Absalón: No, porque [yo soy] de quien Yavé y este pueblo, todos los hombres de Israel, escojan. De él soy y con él me quedo.
0a10130077	Además, ¿a quién voy a servir? ¿No serviré a su hijo? Como serví delante de tu padre, así estaré delante de ti.
0a1014004c	Entonces Absalón dijo a Ahitofel: Da tu consejo sobre lo que debemos hacer.
0a101500d2	Ahitofel contestó a Absalón: Únete a las concubinas que tu padre dejó para cuidar la casa. Así todo Israel sabrá que eres aborrecible a tu padre, con lo cual se fortalecerán las manos de todos los tuyos.
0a10160086	Entonces instalaron una tienda para Absalón sobre la terraza, y Absalón se unió a las concubinas de su padre a ojos de todo Israel.
0a101700b0	En aquellos días el consejo que Ahitofel daba era como si uno consultara la Palabra de ʼElohim. Así era todo lo que Ahitofel aconsejaba, tanto para David como para Absalón.
0a1101007e	Entonces Ahitofel dijo a Absalón: Permíteme que escoja 12.000 hombres, y me levante para perseguir a David esta misma noche.
0a1102008a	Caeré sobre él cuando esté cansado y desalentado. Lo atemorizaré de modo que huya toda la gente que lo acompaña. Mataré solo al rey,
0a11030087	porque él es el hombre a quien tú buscas. Así devolveré a ti a todo el pueblo. Cuando todos vuelvan, todo el pueblo estará en paz.
0a1104003f	El consejo agradó a Absalón y a todos los ancianos de Israel.
0a11050065	Pero Absalón dijo: Llamen también ahora a Husai arquita, para que también oigamos lo que él diga.
0a1106007b	Cuando Husai fue, le habló a Absalón: Ahitofel habló esta palabra. ¿Realizaremos su plan? Si no [te parece], habla tú.
0a11070051	Entonces Husai dijo a Absalón: Esta vez el consejo que dio Ahitofel no es bueno.
0a110800dc	Y Husai agregó: Tú conoces a tu padre y a sus hombres que son valientes. Están amargados como una osa a la cual le roban sus cachorros en el campo. Tu padre es un experto en guerra y no pasará la noche con el pueblo.
0a110900dc	Mira, ahora estará escondido en alguna cueva o en algún otro lugar. Cuando él caiga sobre ellos en el primer ataque, sucederá que cualquiera que lo oiga dirá: ¡Hubo una matanza entre el pueblo que sigue a Absalón!
0a110a00c5	Aun el hombre valiente que tenga corazón como el corazón de un león, desfallecerá completamente, porque todo Israel sabe que tu padre es un hombre fuerte y los que están con él son valientes.
0a110b00b9	Por lo cual aconsejo que todo Israel, desde Dan hasta Beerseba se reúna contigo en gran número como la arena que está en la orilla del mar, y que tú en persona marches a la batalla.
0a110c00c0	De esta manera iremos contra él en algún lugar donde esté y caeremos sobre él como cae el rocío sobre la tierra. Y nadie quedará vivo, ni él ni alguno de los hombres que están con él.
0a110d00b4	Si se refugia en alguna ciudad, entonces todos los de Israel llevaremos cuerdas fuertes a aquella ciudad, y la arrastraremos hasta el valle, hasta que no quede allí ni una piedra.
0a110e00ea	Entonces Absalón y todos los hombres de Israel dijeron: El consejo de Husai arquita es mejor que el consejo de Ahitofel. Yavé dispuso que el buen consejo de Ahitofel se frustrara para que Yavé derramara la calamidad sobre Absalón.
0a110f0090	Husai dijo a los sacerdotes Sadoc y Abiatar: Así y así Ahitofel aconsejó a Absalón y a los ancianos de Israel. Así y así yo les aconsejé.
0a111000cd	Por tanto, envíen de inmediato informe a David: No pases la noche en los vados de la región despoblada, sino cruza al otro lado sin falta, no sea que el rey y el pueblo que está con él sean destruidos.
0a111100c8	Jonatán y Ahimaas estaban junto a la fuente de Rogel. Pero como no podían exponerse a ser vistos si entraban a la ciudad, una esclava fue y les informó, y ellos salieron para informar al rey David.
0a111200ad	Pero un muchacho los vio e informó a Absalón. Así que los dos se dieron prisa, llegaron a la casa de un hombre de Bahurim que tenía un pozo en su patio, al cual bajaron.
0a11130082	Su esposa tenía una manta que extendió sobre la boca del pozo, y esparció sobre ella trigo trillado, y nada se supo del asunto.
0a111400e0	Entonces los esclavos de Absalón fueron a la casa de la mujer y preguntaron: ¿Dónde están Ahimaas y Jonatán? Y ella les respondió: Pasaron el vado del río. Y los buscaron, pero al no hallarlos, volvieron a Jerusalén.
0a111500d5	Después que regresaron, aconteció que ellos subieron del pozo, y fueron a informar al rey David. Y le dijeron: ¡Levántense y crucen rápidamente las aguas, porque así y así Ahitofel aconsejó contra ustedes!
0a11160086	David se levantó y todo el pueblo que estaba con él, y cruzaron el Jordán. Al amanecer no quedaba alguno que no cruzara el Jordán.
0a111700e8	Entonces Ahitofel, al ver que no habían seguido su consejo, aparejó su asno, subió en él, y fue a su casa en su ciudad. Y después de establecer orden en su familia, se ahorcó y murió. Fue enterrado en el sepulcro de su padre.
0a1118005b	David llegó a Mahanaim cuando Absalón cruzaba el Jordán con todos los hombres de Israel.
0a111900cf	Absalón designó a Amasa como jefe del ejército en lugar de Joab. Este Amasa era hijo de un hombre llamado Itra, israelita, el cual estaba ligado a Abigail, hija de Nahas, hermana de Sarvia, madre de Joab.
0a111a0033	Israel acampó con Absalón en la tierra de Galaad.
0a111b009c	Cuando David llegó a Mahanaim, Sobi, hijo de Nahas, de Rabá, de los hijos de Amón, y Maquir, hijo de Amiel, de Lodebar, y Barzilai galaadita, de Rogelim,
0a111c0072	llevaron camas, tazones, vasijas de barro, trigo, cebada, harina, grano tostado, habas, lentejas, semilla tostada,
0a111d00c8	miel, leche, ovejas y quesos de vaca, y los presentaron a David y al pueblo que estaba con él para que comieran, pues pensaron: El pueblo estará hambriento, cansado y sediento en región despoblada.
0a12010074	Entonces David pasó revista a la gente que tenía consigo, y designó para ellos jefes de miles y jefes de cientos.
0a120200f9	Luego David envió al pueblo: una tercera parte al mando de Joab, otra tercera parte al mando de Abisai, hijo de Sarvia, hermano de Joab, y la otra tercera parte al mando de Itai geteo. Y el rey dijo al pueblo: Yo mismo también saldré con ustedes.
0a120300f2	Pero el pueblo dijo: No saldrás, porque si nosotros tenemos que huir, no nos harán caso. Aunque la mitad de nosotros muera, no nos harán caso, pero tú vales hoy como 10.000 de nosotros. Así que será mejor que nos ayudes desde la ciudad.
0a1204008f	El rey les respondió: Haré lo que les parezca bien. Y el rey se detuvo junto a la entrada, mientras el pueblo salía por cientos y por miles.
0a120500bd	Y el rey dio orden a Joab, Abisai e Itai: Traten con espíritu de perdón al joven Absalón por amor a mí. Todo el pueblo oyó cuando el rey dio orden a todos los jefes acerca de Absalón.
0a12060069	Entonces el pueblo salió a enfrentar a Israel en el campo. La batalla se libró en el bosque de Efraín.
0a12070077	Allí el pueblo de Israel fue derrotado ante los esclavos de David, y en aquel día hubo una matanza de 20.000 hombres.
0a1208008c	La batalla se extendió sobre la superficie de toda aquella tierra, y en aquel día el bosque mató más gente que la que devoró la espada.
0a12090118	Absalón se halló ante los esclavos de David e iba montado en una mula. Al pasar la mula por debajo del ramaje de un gran roble, se le enredó fuertemente la cabeza en el roble, y quedó suspendido entre el cielo y la tierra. Y la mula que tenía debajo de él, siguió adelante.
0a120a005c	Lo vio cierto hombre e informó a Joab: ¡Mira, acabo de ver a Absalón colgado en un roble!
0a120b00aa	Joab dijo al hombre que le dio la noticia: Y al verlo tú, ¿por qué no lo heriste allí y lo derribaste a tierra? Yo te habría dado 110 gramos de plata y un cinturón.
0a120c0109	Pero el hombre respondió a Joab: Aunque se pesaran en mis manos 11 kilogramos de plata, yo no extendería mi mano contra el hijo del rey, porque nosotros oímos cuando el rey les dio órdenes a ti, Abisai e Itai: ¡Tengan cuidado que nadie toque al joven Absalón!
0a120d008c	De otra manera, si yo hubiera actuado con traición contra su vida (y nada hay escondido del rey), tú mismo tomarías posición contra mí.
0a120e00ab	Joab respondió: No perderé mi tiempo contigo. Y tomó tres flechas en su mano, fue y las clavó en el corazón de Absalón, mientras aún éste estaba colgado del roble.
0a120f0078	Entonces se colocaron alrededor de él los diez jóvenes escuderos de Joab, e hirieron a Absalón y acabaron de matarlo.
0a12100068	En seguida Joab tocó la corneta, y el pueblo dejó de perseguir a Israel, porque Joab detuvo al pueblo.
0a1211009d	Luego, tomaron a Absalón, lo echaron a un gran hoyo en el bosque y pusieron un gran montón de piedras sobre él. Y todo Israel huyó, cada uno a su tienda.
0a121200f3	Durante su vida, Absalón tomó y erigió para él el monumento que está en el valle del Rey, porque decía: No tengo algún hijo que conserve la memoria de mi nombre. Y dio al monumento su nombre, y hasta hoy se le llama columna de Absalón.
0a1213009a	Entonces Ahimaas, hijo de Sadoc, dijo: Te ruego que me permitas correr y llevar al rey la buena noticia de que Yavé lo libró de la mano de sus enemigos.
0a1214009f	Pero Joab le contestó: Hoy no serás hombre de buenas noticias, sino otro día las llevarás. Hoy no llevarás buenas noticias, porque el hijo del rey murió.
0a1215006c	En seguida Joab dijo al etíope: Vé, dí al rey lo que viste. Y el etíope se inclinó ante Joab y corrió.
0a121600cc	Pero Ahimaas, hijo de Sadoc, volvió a decir a Joab: Sea como sea, te ruego que me permitas que también yo corra tras el etíope. Y Joab dijo: ¿Para qué corres, hijo mío, si no habrá regalos para ti?
0a12170089	Sea como sea, déjame correr. Y él le dijo: ¡Corre! Entonces Ahimaas corrió por el camino de la llanura, y pasó adelante del etíope.
0a1218009c	David estaba sentado entre las dos puertas. El vigía había subido a la azotea de la puerta en el muro. Al alzar sus ojos vio a un hombre que corría solo.
0a12190099	El vigía gritó e informó al rey. Y el rey dijo: Si viene solo, hay buenas noticias en su boca. El hombre continuó y avanzaba. Avanzaba y se acercaba.
0a121a00a8	El vigía vio a otro hombre que corría. El vigía dio voces al portero: Aquí viene otro hombre que corre solo. Y el rey respondió: Ese también trae buenas noticias.
0a121b00a1	Y el vigía dijo: Me parece que la carrera del primero es como la carrera de Ahimaas, hijo de Sadoc. Y dijo el rey: ¡Ése es buen hombre y trae buenas noticias!
0a121c00cf	Entonces Ahimaas gritó al rey: ¡Paz! Y se postró delante del rey con su rostro en tierra y dijo: ¡Bendito sea Yavé tu ʼElohim, Quien entregó a los hombres que alzaron su mano contra mi ʼadón el rey!
0a121d00a3	Y el rey dijo: ¿Está bien el joven Absalón? Ahimaas respondió: Vi un gran alboroto cuando Joab envió al esclavo del rey y a tu esclavo, pero no supe qué era.
0a121e0053	Entonces el rey dijo: Pasa y colócate allí. Y él pasó y se quedó allí en pie.
0a121f009c	También llegó el etíope y dijo: ¡Reciba mi ʼadón el rey la noticia, pues Yavé te libró hoy de la mano de todos aquellos que se levantaron contra ti!
0a122000ba	Y el rey preguntó al etíope: ¿Está bien el joven Absalón? Y el etíope contestó: ¡Como aquel joven sean los enemigos de mi ʼadón el rey, y todos los que se levantaron contra ti!
0a122100f7	El rey se conmovió profundamente, subió a la sala que estaba sobre la puerta y lloró. Mientras subía decía: ¡Hijo mío, Absalón! ¡Hijo mío, hijo mío, Absalón! ¡Quién me diera que muriera yo en tu lugar, Absalón, hijo mío, hijo mío!
0a13010046	Informaron a Joab: ¡Mira, el rey llora y endecha a causa de Absalón!
0a1302008c	Aquel día la victoria se convirtió en duelo para todo el pueblo, porque el pueblo oyó decir: ¡Cuán acongojado está el rey por su hijo!
0a1303007e	Aquel día el pueblo entró calladamente en la ciudad, como entra calladamente la tropa avergonzada cuando huye de la batalla.
0a1304006e	El rey cubrió su rostro y clamaba a gran voz: ¡Oh, hijo mío, Absalón! ¡Oh Absalón, hijo mío, hijo mío!
0a130500cf	Entonces Joab entró en la casa donde estaba el rey y le dijo: Hoy cubriste de vergüenza los semblantes de todos tus esclavos que salvaron tu vida, la de tus hijos y tus hijas, tus esposas y tus concubinas,
0a130600f3	al amar a los que te aborrecen y aborrecer a los que te aman. Porque hoy demostraste que nada te importan tus príncipes y esclavos, pues hoy me demuestras claramente que si Absalón estuviera vivo y todos nosotros muertos, estarías contento.
0a130700f2	Ahora pues, levántate, sal y habla bondadosamente a tus esclavos, porque juro por Yavé que si no sales, no quedará ni un hombre contigo esta noche. Esto te será peor que todos los males que llegaron sobre ti desde tu juventud hasta ahora.
0a130800e2	Entonces el rey se levantó y se sentó junto a la puerta. E informaron a todo el pueblo: Miren, el rey está sentado junto a la puerta, y todo el pueblo compareció ante el rey. Pero Israel había huido, cada uno a su tienda.
0a130900c6	En todas las tribus de Israel, todo el pueblo discutía: El rey nos libró de la mano de nuestros enemigos y nos salvó de la mano de los filisteos, pero ahora huyó del país por causa de Absalón.
0a130a0082	Absalón, a quien ungimos como rey de nosotros, murió en la batalla. ¿Por qué están callados con respecto a que vuelva el rey?
0a130b00e3	El rey David envió a los sacerdotes Sadoc y Abiatar: Hablen a los ancianos de Judá: ¿Por qué serán ustedes los últimos en devolver el rey a su casa? Porque la palabra de todo Israel llega al rey para devolverlo a su casa.
0a130c006f	Ustedes son mis hermanos, mi hueso y mi carne. Entonces ¿por qué son ustedes los últimos en devolver al rey?
0a130d00ca	También digan a Amasa: ¿No eres tú hueso mío y carne mía? ¡Así ʼElohim me haga y aun me añada si no eres comandante del ejército delante de mí continuamente todos los días, en lugar de Joab!
0a130e0097	Así inclinó el corazón de todos los varones de Judá como el de un solo hombre. Entonces enviaron a decir al rey: Vuelve tú con todos tus esclavos.
0a130f007e	El rey volvió y fue hasta el Jordán. Y Judá fue a Gilgal a recibir al rey, a fin de permitir que el rey cruzara el Jordán.
0a1310008a	Entonces Simei, hijo de Gera, benjamita, que era de Bahurim, se dio prisa y bajó con los hombres de Judá a encontrarse con el rey David.
0a131100b4	Con él iban 1.000 hombres de Benjamín. También Siba, esclavo de la casa de Saúl, llegó con sus 15 hijos y sus 20 esclavos y se apresuraron a cruzar el Jordán delante del rey.
0a131200b8	Cruzaron el vado para ayudar a pasar a la familia del rey y para hacer lo bueno delante de él. Entonces Simei, hijo de Gera, se postró ante el rey cuando éste iba a pasar el Jordán
0a131300ba	y dijo al rey: No me impute iniquidad, mi ʼadón, ni recuerde el mal que hizo tu esclavo el día cuando mi ʼadón el rey salió de Jerusalén. Que el rey no guarde esto en su corazón,
0a1314008a	porque tu esclavo sabe que pecó. Por eso aquí vengo hoy, el primero de toda la casa de José que baja al encuentro de mi ʼadón el rey.
0a1315005c	Abisai, hijo de Sarvia, intervino: ¿No debe Simei morir, porque maldijo al ungido de Yavé?
0a131600bf	Entonces David respondió: ¿Qué tengo yo con ustedes, hijos de Sarvia, para que hoy sean mis adversarios? ¿Debe morir hoy algún hombre en Israel? ¿Acaso no sé que hoy soy rey en Israel?
0a1317003b	Y el rey dijo a Simei: ¡No morirás! Y el rey se lo juró.
0a131800da	También Mefi-boset, hijo de Saúl, bajó a recibir al rey. No se había lavado los pies, ni había arreglado su barba, ni había lavado sus ropas, desde el día cuando el rey salió hasta el día cuando llegó en paz.
0a1319007e	Sucedió que cuando llegó con los de Jerusalén para recibir al rey, éste le dijo: ¿Por qué no fuiste conmigo, Mefi-boset?
0a131a00ae	Y él respondió: ¡Oh rey, ʼadón mío! Mi esclavo me engañó, pues tu esclavo se dijo: Aparejaré un asno y montaré en él para ir con el rey, porque tu esclavo es cojo.
0a131b0094	Además, calumnió a tu esclavo ante mi ʼadón el rey. Pero mi ʼadón el rey es como el Ángel de ʼElohim. Por tanto, haz lo que te parezca bien,
0a131c00c5	porque aunque toda la casa de mi padre era digna de muerte ante mi ʼadón el rey, pusiste a tu esclavo entre los que comen a tu mesa, ¿y qué derecho aún tengo yo para quejarme más ante el rey?
0a131d0070	Y el rey le dijo: ¿Por qué hablas más de tus asuntos? Ya determiné que tú y Siba se dividirán las tierras.
0a131e0069	Mefi-boset dijo al rey: Que él las tome todas, porque mi ʼadón el rey regresa en paz a su propia casa.
0a131f0054	Y Barzilai galaadita bajo de Rogelim y cruzó el Jordán con el rey para despedirlo.
0a13200078	Barzilai era muy anciano, de 80 años. Él dio provisiones al rey cuando estaba en Mahanaim, porque era hombre muy rico.
0a13210050	El rey dijo a Barzilai: Pasa conmigo y te sustentaré junto a mí en Jerusalén.
0a13220067	Pero Barzilai dijo al rey: ¿Cuántos años me quedan de vida para que yo suba con el rey a Jerusalén?
0a132300ee	Ya tengo 80 años. ¿Discerniré entre lo bueno y lo malo? ¿Puede tu esclavo saborear lo que coma o lo que beba? ¿Escuchará aún la voz de cantores y cantoras? Entonces, ¿por qué debe ser tu esclavo otra carga para mi ʼadón el rey?
0a13240060	Tu esclavo solo desea cruzar el Jordán con el rey. ¿Por qué debe el rey darme tal recompensa?
0a132500f2	Te ruego que permitas que tu esclavo regrese para que muera en mi ciudad, al lado del sepulcro de mi padre y mi madre. Sin embargo, aquí está tu esclavo Quimham quien pasará con mi ʼadón el rey. Haz con él lo que lo que te parezca bien.
0a1326007b	Entonces el rey dijo: Que pase Quimhan conmigo y yo haré por él lo que te parezca bien. Todo lo que me pidas te lo haré.
0a1327007e	El rey pasó cruzó el Jordán y toda la gente con él. Luego el rey besó a Barzilai y lo bendijo, y él regresó a su lugar.
0a13280088	El rey prosiguió a Gilgal, y Quimham fue con él. Todo el pueblo de Judá y también la mitad del pueblo de Israel acompañaban al rey.
0a132900dd	Ciertamente todos los hombres de Israel fueron al rey y le dijeron: ¿Por qué nuestros hermanos varones de Judá te raptan e hicieron que el rey y a su familia cruzaran el Jordán, y a todos los hombres de David con él?
0a132a00d8	Entonces todos los hombres de Judá respondieron a los hombres de Israel: Porque el rey es nuestro pariente cercano. Pero ¿por qué se quejan ustedes por esto? ¿Comimos algo a costa del rey o se nos dieron regalos?
0a132b0147	Al responder los hombres de Israel, dijeron a los hombres de Judá: ¡Tenemos diez partes en el rey y más derecho sobre David que ustedes! ¿Por qué nos despreciaron? ¿No dimos nuestra palabra primero para devolver a nuestro rey? Sin embargo, la palabra de los hombres de Judá prevaleció sobre la de los hombres de Israel.
0a140100c2	Pero Seba, hijo de Bicri, de Benjamín, hombre perverso, estaba allí. Éste sopló la corneta y dijo: ¡No tenemos parte en David ni heredad en el hijo de Isaí! ¡Israel: cada uno a su tienda!
0a140200bb	Entonces todos los hombres de Israel dejaron de seguir a David y siguieron a Seba, hijo de Bicri. Pero los hombres de Judá siguieron fielmente a su rey desde el Jordán hasta Jerusalén.
0a140300f5	Cuando David llegó a su palacio en Jerusalén, tomó a las diez concubinas que dejó para cuidar el palacio y las colocó en reclusión. Aunque las sustentó, nunca más se unió a ellas. Ellas quedaron en viudez perpetua hasta cuando murieron.
0a14040066	Luego el rey dijo a Amasa: Convócame a los hombres de Judá dentro de tres días y preséntate aquí.
0a1405004f	Amasa fue a convocar a Judá, pero tardó más del tiempo que le fue señalado.
0a140600d6	Entonces David dijo a Abisai: Seba, hijo de Bicri nos hará más daño ahora que Absalón. Toma tú a los esclavos de tu ʼadón y vé tras él, no sea que halle ciudades fortificadas para él y escape de nosotros.
0a1407008e	Entonces los hombres de Joab con los cereteos, los peleteos y todos los valientes salieron tras él. Salieron de Jerusalén para ir tras Seba.
0a140800c8	Cuando estaban cerca de la gran roca que está en Gabaón, Amasa fue a ellos. Joab vestía su ropa militar, y sobre ella una espada con su vaina atada a la cintura, la cual se le cayó cuando avanzó.
0a14090077	Joab preguntó a Amasa: ¿Tienes paz, hermano mío? Y Joab tomó a Amasa por la barba con su mano derecha para besarlo.
0a140a011f	Pero Amasa no se cuidó de la espada que estaba en la otra mano de Joab, de modo que lo hirió con ella en la quinta costilla y derramó sus vísceras a tierra. Cayó muerto sin necesidad de repetir la estocada. Después Joab y su hermano Abisai fueron a perseguir a Seba, hijo de Bicri.
0a140b007b	Uno de los jóvenes de Joab se colocó en pie junto a él y dijo: ¡El que favorezca a Joab y esté por David, siga a Joab!
0a140c00ca	Amasa estaba tendido revolcándose en su sangre en medio del camino. Cuando un hombre vio que todo el que pasaba se detenía, apartó a Amasa del camino, lo llevó al campo y lo cubrió con una túnica.
0a140d006b	Cuando fue apartado del camino, todos los hombres siguieron tras Joab para perseguir a Seba, hijo de Bicri.
0a140e007f	Seba pasó por todas las tribus de Israel hasta Abel de Bet-maacá. Todos los bicritas se reunieron y también fueron tras él.
0a140f00b0	Entonces todo el ejército que estaba con Joab llegó y lo sitiaron en Abel de Bet-maacá. Levantaron un terraplén contra el muro de la ciudad que estaba sostenida en el muro.
0a1410008d	Entonces una mujer sabia dio voces desde la ciudad: ¡Escuchen! ¡Escuchen! Les ruego que digan a Joab: ¡Ven acá para que yo hable contigo!
0a141100ad	Cuando él se acercó a ella, la mujer le preguntó: ¿Eres tú Joab? Y le respondió: Yo soy. Y ella le dijo: Escucha las palabras de tu esclava. Y él respondió: Escucho.
0a1412007c	Entonces ella habló: Antiguamente solían decir: El que consulte, que consulte en Abel, y así concluían cualquier asunto.
0a14130094	Yo soy de las pacíficas y fieles de Israel, pero tú procuras destruir una ciudad que es madre en Israel. ¿Por qué destruyes la heredad de Yavé?
0a1414004d	Joab respondió y dijo: ¡Lejos, lejos esté de mí que yo devore o destruya!
0a1415010c	El asunto no es así, sino que un hombre de la región montañosa de Efraín, Seba, hijo de Bicri, levantó su mano contra el rey David. Entreguen solo a él y me iré de la ciudad. Entonces la mujer respondió a Joab: ¡Mira, su cabeza te será lanzada desde el muro!
0a141600eb	Después la mujer fue a todo el pueblo con su sabiduría. Cortaron la cabeza a Seba, hijo de Bicri, y la lanzaron a Joab. Y éste tocó la corneta y se retiraron de la ciudad, cada uno a su tienda, y Joab regresó al rey en Jerusalén.
0a1417007d	Joab era el general de todo el ejército de Israel, y Benaía, hijo de Joiada, era comandante de los cereteos y los peleteos.
0a14180052	Adoram estaba a cargo de los tributos, y Josafat, hijo de Ahilud, era el cronista.
0a14190037	Seva era el escriba, y Sadoc y Abiatar, los sacerdotes.
0a141a0033	Ira, el jaireo, era un ministro principal de David.
0a150100c4	En los días de David hubo una hambruna durante tres años consecutivos, y David buscó el rostro de Yavé. Y Yavé dijo: Es por causa de Saúl y de su casa sanguinaria que mató a los gabaonitas.
0a15020108	El rey llamó a los gabaonitas y habló con ellos. Los gabaonitas no eran de los hijos de Israel, sino del remanente de los amorreos. Los hijos de Israel les juraron la paz, pero Saúl tenía la intensión de matarlos en su celo por los hijos de Israel y de Judá.
0a1503008a	David preguntó a los gabaonitas: ¿Qué puedo hacer por ustedes, y con qué les hago compensación para que bendigan la heredad de Yavé?
0a150400b2	Los gabaonitas le respondieron: No nos importa la plata ni el oro de Saúl o de su casa, ni nos corresponde matar a alguien en Israel. Y él dijo: Haré por ustedes lo que digan.
0a150500a7	Y respondieron al rey: Que de aquel hombre que nos destruyó y maquinó contra nosotros para exterminarnos a fin de que no quedáramos dentro del territorio de Israel,
0a150600a3	se nos entreguen de sus descendientes siete varones y los ahorcaremos delante de Yavé en Gabaa de Saúl, el escogido de Yavé. Y el rey contestó: Los entregaré.
0a150700a4	Pero el rey pasó por alto a Mefi-boset, hijo de Jonatán, hijo de Saúl, a causa del juramento que David y Jonatán, hijo de Saúl, se hicieron en Nombre de Yavé.
0a150800c7	El rey tomó a los dos hijos de Rizpa, hija de Aja, que dio a luz a Saúl: Armoni y Mefi-boset, y a los cinco hijos de Merab, hija de Saúl, los cuales dio a luz a Adriel, hijo de Barzilai meolatita,
0a150900d4	y los entregó en manos de los gabaonitas, quienes los ahorcaron en la montaña delante de Yavé. Así murieron juntos aquellos siete, los cuales fueron ahorcados en los primeros días de la cosecha de la cebada.
0a150a010a	Entonces Rizpa, hija de Aja, tomó una tela áspera y la extendió sobre una roca, desde el comienzo de la cosecha hasta cuando cayó sobre ellos agua del cielo, y no dejó que alguna ave del cielo se posara sobre ellos de día, ni las fieras del campo por la noche.
0a150b0052	Cuando le informaron a David lo que hacía Rizpa, hija de Aja, concubina de Saúl,
0a150c00f1	David fue y tomó los huesos de Saúl y los huesos de su hijo Jonatán de los hombres de Jabes de Galaad, quienes los quitaron en oculto de la plaza de Bet-sán donde los filisteos los colgaron el día cuando ellos mataron a Saúl en Gilboa.
0a150d0086	Mandó que llevaran de allí los huesos de Saúl y los huesos de su hijo Jonatán. Recogieron los huesos de los que fueron ahorcados y
0a150e00ea	los sepultaron con los huesos de Saúl y de su hijo Jonatán en tierra de Benjamín, en Zela, en el sepulcro de su padre Cis. Se hizo todo lo que el rey ordenó. Después de eso, ʼElohim prestó atención a la oración por la tierra.
0a150f0086	Los filisteos volvieron a hacer guerra contra Israel. David bajó con sus esclavos y luchaban contra los filisteos. Y David se cansó.
0a151000a4	Isbi-benob, quien era uno de los descendientes de los gigantes, cuya lanza pesaba 3,3 kilogramos de bronce y tenía atada una espada nueva, trató de matar a David.
0a151100d7	Pero Abisai, hijo de Sarvia, ayudó [a David], hirió al filisteo y lo mató. Entonces los hombres de David le juraron: ¡No volverás a salir con nosotros a la batalla, no sea que tú apagues la lámpara de Israel!
0a1512008c	Después hubo otra guerra en Gob contra los filisteos. Sibecai el husatita mató a Saf, quien era otro de los descendientes de los gigantes.
0a151300ab	Otra vez hubo guerra en Gob contra los filisteos, y Elhanán, hijo de Jaare-oregim, de Belén, mató a Goliat geteo, cuya asta de la lanza era como el rodillo de un telar.
0a151400c0	Después hubo otra guerra en Gat, donde había un hombre de gran estatura que tenía seis dedos en cada mano y seis dedos en cada pie, 24 en total. También éste era descendiente de gigantes.
0a1515004e	Cuando desafió a Israel, Jonatán, hijo de Simea, hermano de David, lo mató.
0a1516006a	Estos cuatro eran descendientes del gigante de Gat. Cayeron en la mano de David por medio de sus esclavos.
0a16010082	David pronunció las palabras de este cántico a Yavé el día cuando Yavé lo libró de la mano de Saúl y de todos sus enemigos:
0a16020030	Yavé es mi Roca, mi Fortaleza, y mi Libertador.
0a1603008d	ʼElohim es mi Roca, en Quien me refugio, Mi Escudo y el Fuerte de mi salvación, Mi alto Refugio y mi Salvador. De la violencia me libraste.
0a1604004a	Invoco a Yavé, Quien es digno de ser alabado Y soy salvo de mis enemigos.
0a16050044	Me rodearon ondas de muerte Y torrentes de perversidad me aterraron.
0a16060048	Me ataron las cuerdas del Seol Y me alcanzaron las cuerdas de la muerte.
0a16070080	En mi angustia invoqué a Yavé. Invoqué a mi ʼElohim. Oyó mi voz desde su Templo, Y mi grito de auxilio llegó a sus oídos.
0a16080070	La tierra fue conmovida y tembló. Se conmovieron los cimientos del cielo. Se estremecieron porque Él se airó.
0a16090054	Humo subió de su nariz Y de su boca salió un fuego abrasador Que encendió brasas.
0a160a004a	Inclinó los cielos, Y descendió con espesa oscuridad debajo de sus pies.
0a160b0045	Cabalgó sobre un querubín y voló. Voló sobre las alas del viento.
0a160c0059	Puso oscuridad alrededor de Él como escondedero, Oscuridad de aguas y densos nubarrones.
0a160d0038	Con el resplandor de su Presencia se encendieron brasas.
0a160e0031	Yavé tronó desde el cielo, ʼElyón dio su voz.
0a160f004a	Disparó sus flechas y los dispersó. Lanzó relámpagos, y los destruyó.
0a1610009f	Entonces aparecieron los torrentes de las aguas Y quedaron descubiertos los cimientos del mundo a la reprensión de Yavé Por el soplo del aliento de su nariz.
0a16110048	Envió desde lo alto y me tomó. Me sacó de entre las aguas caudalosas.
0a1612005f	Me libró de un poderoso enemigo, Y de los que me aborrecían, Aunque eran más fuertes que yo.
0a16130042	Me enfrentaron en el día de mi quebranto, Pero Yavé fue mi Apoyo
0a16140042	Y me sacó a lugar espacioso. Me libró, porque se agradó de mí.
0a16150049	Yavé me premió según mi rectitud Y recompensó la pureza de mis manos,
0a1616004f	Porque guardé los caminos de Yavé Y no me aparté impíamente de mi ʼElohim.
0a16170055	Pues todos sus Preceptos estuvieron delante de mí, Y no me aparté de sus Estatutos.
0a1618002d	Fui recto ante Él Y me guardé de mi maldad.
0a1619004f	Yavé me recompensó según mi rectitud Según la pureza de mis manos ante Él.
0a161a0051	Con el misericordioso te muestras misericordioso, Y recto con el hombre íntegro.
0a161b003a	Limpio te muestras con el limpio, Y sagaz con el perverso.
0a161c0057	Tú salvas al pueblo afligido, Pero tus ojos están sobre los altivos para humillarlos.
0a161d0048	¡Tú eres mi Lámpara, oh Yavé! ¡Oh Yavé, Tú alumbras mi oscuridad!
