2800000008	מתיו
2809090122	וַיַּעֲבֹר יֵשׁוּעַ מִשָּׁם וַיַּרְא אִישׁ אֶחָד יֹשֵׁב בְּבֵית־הַמֶּכֶס וּשְׁמוֹ מַתִּתְיָהוּ וַיֹּאמֶר אֵלָיו לֵךְ אַחֲרָי וַיָּקָם וַיֵּלֶךְ אַחֲרָיו׃
28090a0106	וַיְהִי בְּשִׁבְתּוֹ עַל־הַלֶּחֶם בְּבֵיתוֹ וְהִנֵּה מוֹכְסִים וְחַטָּאִים רַבִּים בָּאוּ וַיֵּשְׁבוּ לֶאֱכֹל עִם־יֵשׁוּעַ וְתַלְמִידָיו׃
28090b00d4	וַיִּרְאוּ הַפְּרוּשִׁים וַיֹּאמְרוּ אֶל־תַּלְמִידָיו מַדּוּעַ יֹאכַל רַבְּכֶם עִם־הַמּוֹכְסִים וְהַחַטָּאִים׃
28090c00be	וַיִּשְׁמַע יֵשׁוּעַ וַיֹּאמֶר אֲלֵיהֶם הַחֲזָקִים אֵין לָהֶם דָּבָר עִם־הָרֹפֵא כִּי אִם־הַחוֹלִים׃
28090d0116	וְאַתֶּם לְכוּ לִמְדוּ לָדַעַת מַה־זֶּה חֶסֶד חָפַצְתִּי וְלֹא זָבַח כִּי לֹא־בָאתִי לִקְרֹא לַצַּדִּיקִים לָבֹא כִּי אִם־לַחַטָּאִים לִתְּשׁוּבָה׃
28090e0100	וַיִּגְּשׁוּ אֵלָיו תַּלְמִידֵי יוֹחָנָן וַיֹּאמְרוּ מַדּוּעַ אֲנַחְנוּ עִם־הַפְּרוּשִׁים מַרְבִּים לָצוּם וְתַלְמִידֶיךָ לֹא יָצֻמוּ׃
28090f0118	וַיֹּאמֶר אֲלֵיהֶם יֵשׁוּעַ הֲיִתְאַבְּלוּ קְרֻאֵי הַחֲתֻנָּה בְּעוֹד הֶחָתָן עִמָּהֶם וְהִנֵּה יָמִים יָבֹאוּ וְלֻקַּח מֵהֶם הֶחָתָן וְאָז יָצֻמוּ׃
28091000ff	וְאֵין תֹּפְרִים טְלָאָה חֲדָשָׁה עַל־שִׂמְלָה בָלָה פֶּן־הַטְּלָאָה בְּמִלֻּאָתָהּ תִּגְרַע מִן־הַשִּׂמְלָה וְתוֹסִיף עַל־קְרָעֶיהָ׃
2809110166	וְתִירוֹשׁ לֹא יֻתַּן בְּנֹאדוֹת בָּלִים פֶּן־יִבָּקְעוּ הַנֹּאדוֹת וְנִשְׁפַּךְ הַיַּיִן וְהַנֹּאדוֹת יִכְלָיוּן אֲבָל תִּירוֹשׁ יֻתַּן בְּנֹאדוֹת חֲדָשִׁים וּשְׁמֻרִים יִהְיוּ שְׁנֵיהֶם׃
2809120163	עוֹדֶנּוּ מְדַבֵּר אֲלֵיהֶם כַּדְּבָרִים הָאֵלֶּה וְהִנֵּה אַחַד הָרָאשִׁים בָּא וַיִּשְׁתַּחוּ־לוֹ לֵאמֹר בִּתִּי מֵתָה עָלַי בָּזֶה אֲבָל בֹּא וְשִׂים־נָא יָדְךָ עָלֶיהָ וְחָיֹה תִחְיֶה׃
2809130067	וַיָּקָם יֵשׁוּעַ וַיֵּלֶךְ עִמּוֹ הוּא וְתַלְמִידָיו׃
28091400fa	וְהִנֵּה אִשָּׁה זָבַת־דָּם אֲשֶׁר יְמֵי זוֹבָהּ נִמְשְׁכוּ שְׁתֵּים עֶשְׂרֶה שָׁנָה קָרְבָה וַתִּגַּע בִּכְנַף בִּגְדוֹ מֵאַחֲרָיו׃
280915007c	כִּי אָמְרָה בְּלִבָּהּ אִם אַךְ־אֶגַּע בְּבִגְדוֹ וְאִוָּשֵׁעָה׃
28091600ea	וַיִּפֶן יֵשׁוּעַ וַיַּרְא אֹתָהּ וַיֹּאמַר חִזְקִי בִתִּי אֱמוּנָתֵךְ הוֹשִׁיעָה לָּךְ וּבָעֵת הַהִיא עָלְתָה אֲרֻכָה לָהּ׃
28091700b3	וַיָּבֹא יֵשׁוּעַ אֶל־בֵּית־הָרֹאשׁ וַיַּרְא אֶת־הַמְחַלְּלִים בַּחֲלִלִים וְאֶת־הָעָם הֹמֶה׃
280918009f	וַיֹּאמַר צְאוּ מִזֶּה הַיַּלְדָּה לֹא מֵתָה כִּי רַק יְשֵׁנָה הִיא וַיִּלְעֲגוּ לוֹ׃
28091900da	וְכַאֲשֶׁר הוֹצִיאוּ אֶת־הָעָם מִשָּׁם וַיָּבֹא הַבָּיְתָה וַיַּחֲזֶק בְּיָדָהּ וַתָּקָם הַנַּעֲרָה עַל־רַגְלֶיהָ׃
28091a0064	וְהַשְּׁמֻעָה הַזֹּאת יָצְאָה בְּכָל־הָאָרֶץ הַהִיא׃
28091b00d7	וַיַּעֲבֹר יֵשׁוּעַ מִשָּׁם וּשְׁנֵי אֲנָשִׁים עִוְרִים הָלְכוּ אַחֲרָיו צֹעֲקִים וְקֹרִאים חָנֵּנוּ בֶּן־דָּוִד׃
28091c0141	וּכְבֹאוֹ אֶל־הַבַּיִת וַיִּגְּשׁוּ לְפָנָיו הַעִוְרִים וַיֹּאמֶר יֵשׁוּעַ אֲלֵיהֶם הֲתַאֲמִינוּ כִּי יֶשׁ־לְאֵל יָדִי לַעֲשׂוֹת כָּזֹאת וַיַּעֲנוּ אֹתוֹ הֵן אֲדֹנֵינוּ׃
28091d0080	וַיִּגַּע בְּעֵינֵיהֶם וַיֹּאמַר כֶּאֱמוּנַתְכֶם כֵּן יָקוּם לָכֶם׃
28091e00bc	וַתִּפָּקַחְנָה עֵינֵיהֶם וַיָּעַד בָּם יֵשׁוּעַ לֵאמֹר רְאוּ לְבִלְתִּי יִוָּדַע הַדָּבָר לְאִישׁ׃
28091f0075	וְהֵם יָצְאוּ וַיֹּצִיאוּ אֶת־שָׁמְעוֹ בְּכָל־הָאָרֶץ הַהִיא׃
2809200091	אַךְ הֵם יֹצְאִים וְאִישׁ אִלֵּם הוּבָא לְפָנָיו אֲשֶׁר רוּחַ רָע דָּבַק בּוֹ׃
2809210118	וַיְגָרֶשׁ אֶת־הָרוּחַ הָרָע מִמֶּנּוּ וְהָאִלֵּם הֵחֵל לְדַבֵּר וַיִּתְמְהוּ הֲמוֹן הָעָם וַיֹּאמְרוּ מֵעוֹלָם לֹא־נִרְאֲתָה כָזֹאת בְּיִשְׂרָאֵל׃
280922009f	אֶפֶס הַפְּרוּשִׁים אָמְרוּ עַל־יְדֵי שַׂר־הַשֵּׁדִים הוּא מְגָרֵשׁ אֶת־הַשֵּׁדִים׃
2809230130	וַיָּסָב יֵשׁוּעַ בְּכָל־הֶעָרִים וְהַכְּפָרִים וַיּוֹרֶה לָהֶם בְּבָתֵּי הַכְּנֵסֶת מְבַשֵּׂר בְּשׂוֹרַת הַמַּלְכוּת וְרֹפֵא כָל־מַחֲלָה וְכָל־מַדְוֶה בָּעָם׃
28092400f1	וְכַאֲשֶׁר רָאָה אֶת־הַהֲמֹנִים נִכְמְרוּ רַחֲמָיו עֲלֵיהֶם כִּי הֵם מִתְעַלְּפִים וּנְפֹצִים כַּצֹּאן אֲשֶׁר אֵין־לָהֶם רֹעֶה׃
280925008a	וַיֹּאמֶר אֶל־תַּלְמִידָיו אוּלָם הַקָּצִיר רַב וְהַפֹּעֲלִים מְעַטִּים׃
280926008c	עַל־כֵּן הַעְתִּירוּ אֶל־אֲדוֹן הַקָּצִיר לִשְׁלֹחַ פֹּעֲלִים לִקְצִירוֹ׃
280a010111	וַיִּקְרָא אֵלָיו שְׁנֵים עָשָׂר תַּלְמִידָיו וַיִּתֵּן בְּיָדָם כֹּחַ עַל־רוּחוֹת הַטֻּמְאָה לְגָרְשָׁן וְלִרְפֹּא כָּל־מַחֲלָה וְכָל־מַדְוֶה׃
280a020118	וְאֵלֶּה שְׁמוֹת שְׁנֵים עָשָׂר הַשְּׁלִיחִים הָרִאשׁוֹן שִׁמְעוֹן הַמְכֻנֶּה פֶטְרוֹס וְאַנְדְּרַי אָחִיו יַעֲקֹב בֶּן־זַבְדִּי וְיוֹחָנָן אָחִיו׃
280a0300d3	פִּילִפּוֹס וּבַר־תַּלְמַי תּוֹמָא וּמַתִּתְיָהוּ הַמּוֹכֵס יַעֲקֹב בֶּן־חַלְפַּי וְלַבַּי הַמְּכֻנֶּה תַדָּי׃
280a04008c	שִׁמְעוֹן הַכְּנַעֲנִי וִיהוּדָה אִישׁ־קְרִיּוֹת הוּא הַמַּסְגִּיר אֹתוֹ׃
280a050126	אֶת־שְׁנֵים עָשָׂר הָאֵלֶּה שָׁלַח יֵשׁוּעַ וַיְצַו עֲלֵיהֶם לֵאמֹר אַל־תָּשִׂימוּ לְדֶרֶךְ הַגּוֹיִם פַּעֲמֵיכֶם וְאֶל־עָרֵי הַשֹּׁמְרֹנִים אַל־תָּבֹאוּ׃
280a060065	כִּי אִם־לְצֹאן אֹבְדוֹת מִבֵּית יִשְׂרָאֵל תֵּלֵכוּ׃
280a070089	וְכַאֲשֶׁר תֵּלְכוּן קִרְאוּ לֵאמֹר מַלְכוּת הַשָּׁמַיִם קְרוֹבָה לָבֹא׃
280a08010e	רִפְאוּ אֶת־הַחוֹלִים הָקִימוּ אֶת־הַמֵּתִים טַהֲרוּ אֶת־הַמְצֹרָעִים וְגָרְשׁוּ אֶת־הָרוּחוֹת הָרָעוֹת חִנָּם לְקַחְתֶּם וְחִנָּם תִּתֵּנוּ׃
280a09006b	אַל־תִּקְחוּ לָכֶם זָהָב אוֹ כֶסֶף אוֹ נְחֹשֶׁת בַּכִּיס׃
280a0a00db	וְלֹא יַלְקוּט לַדֶּרֶךְ וְלֹא חֲלִיפוֹת בְּגָדִים וְלֹא נַעֲלַיִם וְלֹא מַטֶּה כִּי־נָכוֹן לַפֹּעֵל דֵּי מִחְיָתוֹ׃
280a0b00df	וּבְכָל־עִיר אוֹ כְפָר אֲשֶׁר תָּבֹאוּ דִּרְשׁוּ מִי הוּא שָׁמָּה הַנִּכְבָּד וִישַׁבְתֶּם עִמּוֹ עַד כִּי־תַעֲבֹרוּן׃
280a0c0066	וּבְבֹאֲכֶם הַבָּיְתָה תִּפְקְדוּ לִשְׁלוֹם הַבָּיִת׃
280a0d00ea	אִם־נֶחְשָׁב הַבַּיִת מְאוּמָה יָחוּל שְׁלוֹמְכֶם עָלָיו וְאִם לֹא־נֶחְשָׁב הַבַּיִת מְאוּמָה שְׁלוֹמְכֶם אֲלֵיכֶם יָשׁוּב׃
280a0e0137	וְכָל־אִישׁ אֲשֶׁר לֹא־יֶאֱסֹף אֶתְכֶם וְלֹא יַקְשִׁיב לְדִבְרֵיכֶם צְאוּ לָכֶם מִן־הַבַּיִת הַהוּא אוֹ מִן־הָעִיר הַהִיא וּנְעַרְתֶּם אֶת־הָאָבָק מֵעַל רַגְלֵיכֶם׃
280a0f00c7	אָמֵן אֲנִי מַגִּיד לָכֶם נָקֵל יִהְיֶה יוֹם הַמִּשְׁפָּט לְאֶרֶץ סְדֹם וַעֲמֹרָה מֵאֲשֶׁר לָעִיר הַזֹּאת׃
280a1000e4	הִנֵּה אָנֹכִי שֹׁלֵחַ אֶתְכֶם כְּצֹאן בְּקֶרֶב זְאֵבִים עַל־כֵּן הֱיוּ עֲרוּמִים כַּנְּחָשִׁים וּתְמִימִים כַּיּוֹנִים׃
280a11010d	רַק הִשָּׁמְרוּ לָכֶם מִפְּנֵי בְנֵי־אָדָם כִּי הֵם יַסְגִּירוּ אֶתְכֶם לִידֵי־הַסַּנְהֶדְרִין וְהֻכֵּיתֶם בַּשּׁוֹטִים בְּבָתֵּי הַכְּנֵסֶת׃
280a1200a6	וְלִפְנֵי מֹשְׁלִים וּמְלָכִים תּוּבָלוּ לְמַעֲנִי לִהְיוֹת לְעֵדוּת לָהֶם וְלַגּוֹיִם׃
280a130128	וְכַאֲשֶׁר יַסְגִּירוּ אֶתְכֶם אַל־תֶּחֶרְדוּ לֵאמֹר אֵיכָה נְדַבֵּר אוֹ מַה־נְּדַבֵּר כִּי בְּעֶצֶם הָעֵת הַהִיא יוּשַׂם בְּפִיכֶם אֵת אֲשֶׁר־תְּדַבֵּרוּן׃
280a14008b	כִּי לֹא אַתֶּם הֵם הַמְדַבְּרִים כִּי אִם רוּחַ־אֲבִיכֶם הַדֹּבֵר בָּכֶם׃
280a1500b7	וְאָח יַסְגִּיר אֶת־אָחִיו לַמָּוֶת וְאָב אֶת־בְּנוֹ וְיָקוּמוּ בָנִים עַל־אֲבוֹתָם וְהֵמִיתוּם׃
280a1600b5	וְאַתֶּם שְׂנֻאִים תִּהְיוּ לְכָל־אָדָם בַּעֲבוּר שְׁמִי אַךְ הַמְחַכֶּה עַד־הַקֵּץ יִוָּשֵׁעַ׃
280a17012b	וְכִי־יִרְדְּפוּ אֶתְכֶם בְּעִיר אַחַת נוּסוּ לָכֶם אֶל־עִיר אַחֶרֶת אָמֵן אֲנִי אֹמֵר לָכֶם לֹא תְכַלּוּ לַעֲבֹר עָרֵי יִשְׂרָאֵל עַד כִּי־יָבֹא בֶּן־הָאָדָם׃
280a180067	הַתַּלְמִיד אֵינֶנּוּ רַב מִרָבּוֹ וְעֶבֶד מֵאֲדֹנָיו׃
280a1900f1	דַּי לַתַּלְמִיד לִהְיוֹת כְּרַבּוֹ וְלָעֶבֶד כַּאדֹנָיו אִם בַּעַל־זְבוּב קָרְאוּ לְבַעַל הַבַּיִת אַף כִּי־לְאַנְשֵׁי בֵיתוֹ׃
280a1a00dd	עַל־כֵּן אַל־תִּירְאוּ מִפְּנֵיהֶם כִּי אֵין־דָּבָר נִסְתָּר אֲשֶׁר לֹא יִגָּלֶה וְאֵין נֶעְלָם אֲשֶׁר לֹא יִוָּדֵעַ׃
280a1b00f9	אֵת אֲשֶׁר אַגֵּדְכֶם בְּחֹשֶׁךְ הַגִּידוּ לְעֵין הַשָּׁמֶשׁ וְאֵת אֲשֶׁר תִּשְׁמַע אָזְנְכֶם בְּלַחַשׁ הַשְׁמִיעוּ עַל־הַגַּגּוֹת׃
280a1c0171	וְאַל־תִּירְאוּ מִפְּנֵי הֹרְגֵי הַבָּשָׂר וְלַהֲרֹג אֶת־הַנֶּפֶשׁ לֹא תַשִּׂיג יָדָם כִּי אִם־יִרְאוּ מִפָּנָיו אֲשֶׁר יָדָיו רַב לוֹ לַהֲרֹג גַּם אֶת־הַנֶּפֶשׁ וְגַם אֶת־הַבָּשָׂר בְּגֵיהִנֹּם׃
280a1d00cf	הֲלֹא שְׁתֵּי צִפֳּרִים נִמְכָּרוֹת בְּאִסָּר אֶחָד וְאַחַת מֵהֶן לֹא תִפֹּל אַרְצָה בִּבְלִי רְצוֹן אֲבִיכֶם׃
280a1e006a	וְאַתֶּם גַּם־שַׂעֲרוֹת רֹאשְׁכֶם נִמְנוּ לְמִסְפָּרָם׃
280a1f0071	עַל־כֵּן אַל־תִּירָאוּ עֶרְכְּכֶם רַב מִצִּפֳּרִים רַבּוֹת׃
280a2000d6	לָכֵן כָּל־אִישׁ אֲשֶׁר יַאֲמִירֵנִי לִפְנֵי בְנֵי־הָאָדָם אַאֲמִירֶנּוּ לִפְנֵי אָבִי בַשָּׁמַיִם גַּם־אָנֹכִי׃
280a2100cb	וְכָל־אִישׁ אֲשֶׁר יְכַחֶשׁ־בִּי לִפְנֵי בְנֵי־הָאָדָם אֲכַחֶשׁ־בּוֹ לִפְנֵי אָבִי בַשָּׁמַיִם גַּם־אָנִי׃
280a2200b7	אַל־תַּחְשְׁבוּ כִּי בָאתִי לְהָבִיא שָׁלוֹם בָּאָרֶץ לֹא בָאתִי לְהָבִיא שָׁלוֹם כִּי אִם־חָרֶב׃
280a2300ad	כִּי בָאתִי לְהַפְרִיד בֵּין אִישׁ לְאָבִיו בֵּין בַּת לְאִמָּהּ וּבֵין כַּלָּה לַחֲמוֹתָהּ׃
280a24003d	וְאֹיְבֵי אִישׁ אַנְשֵׁי בֵיתוֹ׃
280a250115	הָאֹהֵב אֶת־אָבִיו אוֹ אֶת־אִמּוֹ יוֹתֵר מִמֶּנִּי אֵינֶנּוּ שׁוֶֹה לִי וְהָאֹהֵב אֶת־בְּנוֹ אוֹ אֶת־בִּתּוֹ יוֹתֵר מִמֶּנִּי אֵינֶנּוּ שׁוֶֹה לִי׃
280a26008c	וּמִי אֲשֶׁר לֹא־יִקַּח אֶת־צְלָבוֹ וְיֵלֵךְ אַחֲרָי אֵינֶנּוּ שׁוֶֹה לִי׃
280a2700a7	הַמֹּצֵא אֶת־נַפְשׁוֹ תֹּאבַד לוֹ וְהַמַּשְׁלִיךְ אֶת־נַפְשׁוֹ בִּגְלָלִי יִמְצָאֶנָּה׃
280a2800a5	הַמְקַבֵּל פְּנֵיכֶם מְקַבֵּל פָּנָי וְהַמְקַבֵּל פָּנַי הוּא מְקַבֵּל פְּנֵי שֹׁלְחִי׃
280a2900f7	הַמְקַבֵּל פְּנֵי נָבִיא בְּשֵׁם נָבִיא יַשִּׂיג שְׂכַר נָבִיא וְהַמְקַבֵּל פְּנֵי צַדִּיק בְּשֵׁם צַדִּיק יַשִּׂיג שְׂכַר צַדִּיק׃
280a2a0112	וּמִי אֲשֶׁר יַשְׁקֶה אֶת־אַחַד הַקְּטַנִּים הָאֵלֶּה רַק כּוֹס מַיִם קָרִים בְּשֵׁם תַּלְמִיד אָמֵן אֲנִי מַגִּיד לָכֶם כִּי לֹא־יֹאבַד שְׂכָרוֹ׃
280b010104	וַיְהִי כְּכַלּוֹת יֵשׁוּעַ לְצַוֹּת אֶת־שְׁנֵים עָשָׂר תַּלְמִידָיו וַיַּעֲבֹר מִשָּׁם לְלַמֵּד וּלְהַשְׁמִיעַ יְשׁוּעָתוֹ בְּעָרֵיהֶם׃
280b0200cb	וְיוֹחָנָן בְּבֵית הָאֲסוּרִים שָׁמַע אֶת־עֲלִלוֹת הַמָּשִׁיחַ וַיִּשְׁלַח אֵלָיו שְׁנַיִם מִתַּלְמִידָיו׃
280b03006a	וַיֹּאמַר הַאַתָּה הוּא הַבָּא אוֹ אִם־נְחַכֶּה לְאַחֵר׃
280b0400d4	וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֲלֵיהֶם לְכוּ וְהַגִּידוּ לְיוֹחָנָן אֵת אֲשֶׁר־שְׁמַעְתֶּם וְאֵת אֲשֶׁר־רְאִיתֶם׃
280b0500fe	עִוְרִים רֹאִים וּפִסְחִים הֹלְכִים מְצֹרָעִים נִרְפָּאִים וְחֵרְשִׁים שֹׁמְעִים מֵתִים קָמִים וַעֲנִיִּים מִתְבַּשְּׂרִים יְשׁוּעָה׃
280b060056	וְאַשְׁרֵי הָאִישׁ אֲשֶׁר לֹא־יִכָּשֵׁל בִּי׃
280b07011f	וּבְלֶכְתָּם הֵחֵל יֵשׁוּעַ לְדַבֵּר אֶל־הֲמוֹן הָעָם עַל־יוֹחָנָן מַה־זֶּה יְצָאתֶם הַמִּדְבָּרָה לִרְאוֹת הַאִם קָנֶה אֲשֶׁר יִנּוֹעַ מִפְּנֵי־רוּחַ׃
280b0800e4	אַךְ מַה־זֶּה יְצָאתֶם לִרְאוֹת הַאִם אִישׁ לָבוּשׁ בִּגְדֵי חֲמֻדוֹת הִנֵּה לֹבְשֵׁי חֲמֻדוֹת בְּבָתֵּי מְלָכִים הֵמָּה׃
280b0900c4	אַךְ מַה־זֶּה יְצָאתֶם הַאִם לִרְאוֹת אִישׁ נָבִיא הֵן אֲנִי אֹמֵר לָכֶם כִּי גַם־גָּדוֹל הוּא מִנָּבִיא׃
280b0a00b5	זֶה הוּא אֲשֶׁר כָּתוּב עָלָיו הִנְנִי שֹׁלֵחַ מַלְאָכִי לְפָנֶיךָ וּפִנָּה דַרְכְּךָ לְפָנֶיךָ׃
280b0b0108	אָמֵן אֲנִי אֹמֵר לָכֶם לֹא קָם בֵּין יְלִידֵי אִשָּׁה גָּדוֹל מִיּוֹחָנָן הַמְטַבֵּל וְהַקָּטֹן בְּמַלְכוּת הַשָּׁמַיִם יִגְדַּל מִמֶּנּוּ׃
280b0c00da	וּמִימֵי יוֹחָנָן הַמְטַבֵּל עַד־הֵנָּה מַלְכוּת הַשָּׁמַיִם נִתְפְּשָׂה בְחָזְקָה וּזְרֹעֵי־כֹחַ יַחֲזִיקוּ בָהּ׃
280b0d006c	כִּי כָל־הַנְּבִיאִים וְהַתּוֹרָה עַד־יוֹחָנָן נִבָּאוּ׃
280b0e0070	וְאִם־תֹּאבוּ לִשְׁמֹעַ זֶה הוּא אֵלִיָּהוּ הֶעָתִיד לָבֹא׃
280b0f0053	מִי אֲשֶׁר אָזְנַיִם לוֹ לִשְׁמֹעַ יִשְׁמָע׃
280b1000d7	וְאֶל־מִי אֲדַמֶּה אֶת־הַדּוֹר הַזֶּה נִדְמֶה הוּא לַיְלָדִים יֹשְׁבִים בִּשְׁוָקִים וְקֹרִאים לְרֵעֵיהֶם לֵאמֹר׃
280b11008b	מְזַמְּרִים הָיִינוּ לָכֶם וְלֹא רְקַדְתֶּם מְקוֹנְנִים וְלֹא סְפַדְתֶּם׃
280b120072	כִּי־בָא יוֹחָנָן לֹא אֹכֵל וְלֹא שֹׁתֶה וְאָמְרוּ שֵׁד בּוֹ׃
280b130116	וּבֶן־הָאָדָם בָּא אֹכֵל וְשֹׁתֶה וְהֵם אֹמְרִים הִנֵּה אִישׁ זוֹלֵל וְסֹבֵא וְאֹהֵב לַמֹּכְסִים וְחַטָּאִים אַךְ הַחָכְמָה תִּצְטַדֵּק בְּבַנֶיהָ׃
280b1400b1	אָז הֵחֵל לָגֹל חֶרְפָּה עַל־הֶעָרִים אֲשֶׁר נַעֲשׂוּ בְתוֹכָן רֹב נִפְלְאוֹתָיו וְלֹא שָׁבוּ׃
280b150122	אוֹי לָךְ כּוֹרָזִין אוֹי לָךְ בֵּית־צָיְדָה כִּי לוּ נַעֲשׂוּ בְצוֹר וּבְצִידוֹן הַנִּפְלָאוֹת אֲשֶׁר נַעֲשׂוּ בְּתוֹכְכֶן כְּבָר שָׁבוּ בְּשַׂק וָאֵפֶר׃
280b1600a9	אֶפֶס אֲנִי אֹמֵר לָכֶן נָקֵל יִהְיֶה יוֹם הַמִּשְׁפָּט לְצוֹר וּלְצִידוֹן מֵאֲשֶׁר לָכֶן׃
280b170166	וְאַתְּ כְּפַר־נַחוּם אֲשֶׁר רוֹמַמְתְּ עַד־הַשָּׁמַיִם אֶל־שְׁאוֹל תּוּרָדִי כִּי לוּ נַעֲשׂוּ בִסְדֹם הַנִּפְלָאוֹת אֲשֶׁר נַעֲשׂוּ בְּתוֹכֵכִי וְעָמְדָה עַל־תִּלָּהּ עַד־הַיּוֹם הַזֶּה׃
280b1800a3	אֶפֶס אֲנִי אֹמֵר לָכֶן נָקֵל יִהְיֶה יוֹם הַמִּשְׁפָּט לְאַדְמַת סְדֹם מֵאֲשֶׁר לָכֶן׃
280b190142	בָּעֵת הַהִיא עָנָה יֵשׁוּעַ וַיֹּאמַר אוֹדְךָ אָבִי אֲדוֹן הַשָּׁמַיִם וְהָאָרֶץ כִּי הִסְתַּרְתָּ אֶת־אֵלֶּה מֵעֵינֵי חֲכָמִים וּנְבוֹנִים וְגִלִּיתָ אֹתָם לְעוֹלָלִים׃
280b1a004f	אָכֵן אָבִי כֵּן הָיָה הָרָצוֹן לְפָנֶיךָ׃
280b1b014d	הַכֹּל נִמְסַר בְּיָדִי מֵאֵת אָבִי וְאֵין אִישׁ יֹדֵעַ אֶת־הַבֵּן זוּלָתִי הָאָב וְאֶת־הָאָב אֵין אִישׁ יֹדֵעַ זוּלָתִי הַבֵּן וְהַהוּא אֲשֶׁר חָפֵץ בּוֹ הַבֵּן לְגַלּוֹתוֹ לוֹ׃
280b1c0080	פְּנוּ־אֵלַי כָּל־עָמֵל וּמְסֻבָּל וַאֲנִי אֶתֵּן לָכֶם מַרְגּוֹעַ׃
280b1d00df	שְׂאוּ אֶת־עֻלִּי עֲלֵיכֶם וְלִמְדוּ מִמֶּנִּי כִּי־עָנָיו אָנֹכִי וְשַׁח לֵבָב וְתִמְצְאוּ מְנוּחָה לְנַפְשֹׁתֵיכֶם׃
280b1e003e	כִּי עֻלִּי רַךְ וּמַשָּׂאִי קָל׃
280c01010a	בָּעֵת הַהִיא הָלַךְ יֵשׁוּעַ בִּשְׂדֵה קָמָה בְּיוֹם הַשַּׁבָּת וַיִּרְעֲבוּ תַלְמִידָיו וַיָּחֵלּוּ לִקְטֹף מְלִילֹת בְּיָדָם וַיֹּאכֵלוּ׃
280c0200cc	וַיִּרְאוּ הַפְּרוּשִׁים וַיֹּאמְרוּ אֵלָיו הִנֵּה תַלְמִידֶיךָ עֹשִׂים אֵת אֲשֶׁר לֹא־יֵעָשֶׂה בַשַּׁבָּת׃
280c0300b2	וַיֹּאמֶר אֲלֵיהֶם הֲלֹא קְרָאתֶם מֶה עָשָׂה דָוִד כַּאֲשֶׁר רָעֵב הוּא וְאֵלֶּה אֲשֶׁר אִתּוֹ׃
280c04011e	אֲשֶׁר בָּא אֶל־בֵּית הָאֱלֹהִים וַיֹּאכַל אֶת־לֶחֶם הַפָּנִים אֲשֶׁר עַל־פִּי הַתּוֹרָה לֹא יֹאכַל הוּא וּנְעָרָיו בִּלְתִּי אִם־הַכֹּהֲנִים לְבַדָּם׃
280c0500d8	וְגַם הֲלֹא קְרָאתֶם בַּתּוֹרָה כִּי הַכֹּהֲנִים בַּמִּקְדָּשׁ יְחַלְּלוּ אֶת־יוֹם הַשַּׁבָּת וְאֵין בָּהֶם עָוֹן׃
280c060075	וַאֲנִי אֹמֵר לָכֶם כִּי יֵשׁ בָּזֶה גָּדוֹל מִן־הַמִּקְדָּשׁ׃
280c0700a9	וְלוּ יְדַעְתֶּם מַה־זֶּה חֶסֶד חָפַצְתִּי וְלֹא זָבַח לֹא הִרְשַׁעְתֶּם אֶת־הַנְּקִיִּם׃
280c080058	כִּי בֶּן־הָאָדָם גַּם־אֲדוֹן הַשַּׁבָּת הוּא׃
280c090077	וַיַּעֲבֹר מִשָּׁם וַיָּבֹא אֶל־בֵּית־הַכְּנֵסֶת אֲשֶׁר לָהֶם׃
280c0a0102	וְהִנֵּה־שָׁם אִישׁ אֲשֶׁר יָדוֹ יְבֵשָׁה וַיִּשְׁאָלֻהוּ לֵאמֹר הַאִם כַּתּוֹרָה לְרַפֵּא בַשַּׁבָּת לְמַעַן תִּמְצָא יָדָם לְשִׂטְנוֹ׃
280c0b00f9	וַיֹּאמֶר אֲלֵיהֶם מִי אִישׁ מִכֶּם אֲשֶׁר־לוֹ כַּבְשָׂה וְהִיא כִי תִפּוֹל אֶל־הַבּוֹר בַּשַּׁבָּת לֹא יַחֲזִיק בָּהּ וְיַעֲלֶנָּה׃
280c0c00af	וּמַה־יָּקָר עֵרֶךְ אָדָם מִן־הַכֶּבֶשׂ עַל־כֵּן כַּתּוֹרָה הוּא לַעֲשׂוֹת טוֹב בַּשַּׁבָּת׃
280c0d00af	אָז אָמַר אֶל־הָאִישׁ הוֹשֵׁט אֶת־יָדֶךָ וַיּוֹשֶׁט אֹתָהּ וַתָּשָׁב לְאֵיתָנָהּ כָּאַחֶרֶת׃
280c0e008c	וְהַפְּרוּשִׁים יָצְאוּ וַיָּשִׁיתוּ עֵצוֹת עָלָיו בַּמֶּה לְהַשְׁחִיתוֹ׃
280c0f00c1	וַיֵּדַע יֵשׁוּעַ וַיִּפֶן וַיֵּלֶךְ מִשָּׁם וַיֵּלֶךְ אַחֲרָיו הֲמוֹן עַם רָב וַיְרַפֵּא אֶת־כֻּלָּם׃
280c10004c	וַיָּעַד בָּם לְבִלְתִּי יְגַלּוּ אֹתוֹ׃
280c110071	לְמַלֹּאת אֵת אֲשֶׁר־דִּבֶּר יְשַׁעְיָהוּ הַנָּבִיא לֵאמֹר׃
