0100000008	Génesis
07020a00bf	Finalmente murió toda aquella generación. Los que nacieron después de ellos, ya no fueron fieles al Señor su Dios, ni recordaban los actos portentosos que había hecho en favor de Israel.
07020b0076	Esta nueva generación siguió y sirvió a otros dioses, y realizó actos que el Señor había prohibido expresamente.
07020c017a	Abandonó totalmente al Señor, el Dios que amaron y adoraron sus antepasados, el Dios que los había sacado de la tierra de Egipto. En su lugar, adoraron y sirvieron a los dioses de las naciones vecinas. Por lo tanto, la ira del Señor se inflamó contra Israel, y los dejó a merced de sus enemigos, porque se había separado del Señor y estaban adorando a Baal y a Astarté.
07020f00ee	Cuando la nación de Israel salía a presentar batalla a sus enemigos, el Señor estaba en su contra. Les había advertido que lo haría así. En realidad lo había jurado. Pero cuando el pueblo estaba en medio de una terrible aflicción,
0702100048	el Señor levantaba caudillos o jueces que los salvaran de sus enemigos.
07021100ca	Sin embargo, Israel no oía a los caudillos sino que desobedecía al Señor al adorar otros dioses. Se apartaron muy pronto del camino de sus padres, y se negaron a obedecer los mandamientos del Señor.
07021200a2	Cada juez rescataba al pueblo de Israel de sus enemigos durante su vida, porque el Señor se compadecía del clamor de su pueblo cuando estaba oprimido y acosado.
07021300e3	Pero cuando el juez moría, el pueblo volvía a hacer lo malo y lo hacía aún peor que sus antepasados. Adoraban nuevamente a otros dioses. Obstinadamente regresaban a las costumbres perversas de las naciones que los rodeaban.
0702140097	Entonces la ira del Señor se inflamaba nuevamente contra Israel. Declaraba: «Por cuanto este pueblo ha violado el pacto que hice con sus antepasados,
0702150061	ya no apartaré de delante de ellos a las naciones que Josué dejó sin conquistar cuando murió.
070216007e	En cambio, me servirán para probar a mi pueblo, para ver si obedece al Señor de la manera que sus antepasados lo hicieron».
0702170071	El Señor, pues, dejó a aquellas naciones en la tierra y no las expulsó ni permitió que Israel las destruyera.
07030100a3	Esta es la lista de las naciones que el Señor dejó en la tierra para probar a la nueva generación de Israel que no había participado en las guerras de Canaán,
070302002d	y para que aprendieran lo que era una guerra:
070303009b	Los filisteos (cinco ciudades), los cananeos, los sidonios, los heveos que vivían en el monte Líbano, desde Baal Hermón hasta la entrada de Lebó Jamat.
07030400aa	Estos pueblos quedaron, además, para probar a la nueva generación de Israel, para ver si obedecían los mandamientos que el Señor les había dado por medio de Moisés.
0703050058	Israel, pues, vivió entre los cananeos, hititas, amorreos, ferezeos, heveos y jebuseos,
07030600ce	y comenzaron a mezclarse con ellos. Los jóvenes de Israel se casaban con las mujeres de esos pueblos, y las israelitas se casaban con los hombres del lugar. Pronto todo Israel estuvo adorando a sus dioses.
0703070097	El pueblo de Israel hizo lo malo delante de los ojos de Dios, porque se volvieron contra el Señor su Dios y adoraron a Baal y a los ídolos de Aserá.
070308009f	Por esa razón, el Señor se enojó contra Israel y dejó que el rey Cusán Risatayin de Siria oriental los conquistara. Estuvieron bajo su dominio ocho años.
0703090083	Pero cuando Israel clamó al Señor, él hizo que el sobrino de Caleb, Otoniel, hijo de Quenaz, hermano menor de Caleb, lo salvara.
07030a00a9	El Espíritu del Señor vino sobre Otoniel, y gobernó a Israel, y salió en guerra contra el rey Cusán Risatayin, y el Señor ayudó a Israel a vencerlo completamente.
07030b0043	Durante cuarenta años hubo paz en la tierra, pero, muerto Otoniel,
07030c0089	Israel se volvió una vez más a sus malos caminos. En consecuencia, el Señor ayudó a Eglón, rey de Moab a conquistar parte de Israel.
07030d008a	Con él se aliaron los amonitas y los amalecitas, y derrotaron a los israelitas y tomaron posesión de Jericó, la Ciudad de las Palmeras.
07030e0051	Durante los siguientes dieciocho años el pueblo de Israel sirvió al rey Eglón.
07030f00bd	Pero cuando clamaron al Señor, él les envió un salvador, Aod, hijo de Guerá, un benjaminita, que era zurdo. Aod fue el hombre escogido para llevar el tributo anual a la capital moabita.
0703100088	Antes de salir en su viaje, se hizo una daga de doble filo de medio metro de largo y la escondió en su ropa junto a su costado derecho.
0703110185	Después de entregarle el dinero al rey Eglón, quien era muy gordo, inició su viaje de regreso. Pero cuando estaba en las afueras de la ciudad, en las canteras de Guilgal, se despidió de sus compañeros y regresó solo ante el rey. ―Tengo un secreto para ti —le dijo. El rey inmediatamente hizo salir a todos los que estaban con él a fin de tener una conversación secreta con Aod.
07031400c0	Aod avanzó hasta donde estaba sentado Eglón en su sala de verano y le dijo: ―Es algo que Dios te manda. El rey Eglón se puso de pie inmediatamente para recibir lo que Aod traía para él,
070315007c	y Aod, con su fuerte mano izquierda sacó la daga de doble filo de debajo de su túnica y la enterró en el vientre del rey.
07031600dd	La empuñadura de la daga desapareció debajo de la carne, y la grasa la cubrió al salírsele el excremento por la herida. Dejando allí la daga, Aod cerró la puerta tras de sí con el cerrojo y escapó por el corredor.
070318008e	Cuando volvieron los siervos del rey y vieron que las puertas estaban cerradas, esperaron pensando que podría estar haciendo sus necesidades.
07031900a9	Pero después de un tiempo, como él no salía se preocuparon y fueron en busca de la llave. Cuando abrieron la puerta, encontraron que su amo estaba muerto en el suelo.
07031a004b	Mientras tanto Aod había llegado más allá de las canteras, hasta Seirat.
07031b0092	Cuando entró en la región montañosa de Efraín, hizo sonar una trompeta llamando a las armas, y reunió a los varones israelitas bajo su mando.
07031c00ce	«Síganme —les dijo—, porque el Señor ha puesto en nuestras manos a los moabitas». Los guerreros le siguieron y tomaron posesión de los vados del Jordán junto a Moab, y no dejaban a nadie cruzarlo.
07031d0085	Luego atacaron a los moabitas y dieron muerte a unos diez mil de sus hombres más fuertes y hábiles en batalla. Ni uno solo escapó.
07031e0066	Moab fue conquistada por Israel aquel día, y la tierra tuvo paz durante los siguientes ochenta años.
07031f00a4	Después de Aod fue juez Samgar, hijo de Anat, el cual una vez dio muerte a seiscientos filisteos con una vara para arrear bueyes, y salvó a Israel de un desastre.
0704010053	Después de la muerte de Aod, el pueblo de Israel volvió a pecar contra el Señor,
0704020096	por lo que el Señor los entregó en manos de Jabín, rey de Jazor en Canaán. El comandante de su ejército era Sísara, que vivía en Jaroset Goyim,
07040300a8	y tenía novecientos carros de hierro. Durante veinte años hizo que la vida fuera insoportable para los israelitas. Finalmente, Israel rogó a Dios que le diera ayuda.
0704040061	El caudillo que gobernaba a Israel en aquel tiempo fue Débora, una profetisa, esposa de Lapidot.
07040500d9	Ella celebraba audiencias en un lugar que ahora se conoce con el nombre de Palmera de Débora, entre Ramá y Betel, en la región montañosa de Efraín. Los israelitas acudían a ella para que decidiera sus querellas.
07040600cb	Un día citó a Barac, hijo de Abinoán, que vivía en Cedes, en la tierra de Neftalí y le dijo: ―El Señor Dios de Israel te manda que movilices diez mil hombres de las tribus de Neftalí y Zabulón.
07040700ee	Llévalos hasta el monte Tabor, para ofrecer batalla a Jabín y a su poderoso ejército con todos sus carros, que están al mando del general Sísara. El Señor dice: “Yo los conduciré hasta el río Quisón, y allí los derrotarás”.
070408002c	―Iré si tú vas conmigo —le dijo Barac.
07040900a2	―Muy bien —contestó ella—, iré contigo, pero te advierto que el honor de vencer a Sísara será de una mujer y no tuyo. Entonces ella fue con él a Cedes.
07040a0096	Cuando Barac convocó a los hombres de Zabulón y Neftalí para movilizarse hacia Cedes, se presentaron diez mil voluntarios. Y Débora fue con ellos.
07040b00b3	(Héber el quenita, descendiente de Hobab el suegro de Moisés, se había apartado del clan de los quenitas y había estado viviendo junto a la encina de Zanayin, cerca de Cedes).
07040c004b	Cuando el general Sísara supo que Barac estaba acampado en el monte Tabor,
07040d007e	marchó con todo su ejército, incluyendo novecientos carros de hierro, y marchó desde Jaroset Goyin hasta el arroyo Quisón.
07040e00dd	Débora le dijo a Barac: ―Ahora es el momento de entrar en acción. El Señor nos dirige, y ha entregado a Sísara en tus manos. Entonces Barac lanzó a sus diez mil hombres a la batalla por las laderas del monte Tabor.
07040f00aa	El Señor hizo que el pánico cundiera entre el enemigo, tanto entre los soldados como en los que conducían los carros, y Sísara saltó de su carro y escapó corriendo.
07041000a8	Barac y sus hombres persiguieron a sus enemigos y a los carros hasta Jaroset Goyin, hasta que todo el ejército de Sísara fue destruido. Ni un solo hombre quedó vivo.
07041100bf	Mientras tanto, Sísara había escapado a refugiarse en la tienda de Jael, esposa de Héber el quenita, porque había un pacto de ayuda mutua entre el rey Jabín de Jazor y el clan de Héber.
07041200c2	Jael salió a encontrar a Sísara y le dijo: ―Entra en mi tienda, señor. Estarás a salvo bajo nuestra protección. No tengas miedo. Él entró en la tienda y ella lo cubrió con una frazada.
0704130068	―Dame un poco de agua —dijo él—, porque tengo mucha sed. Ella le dio leche y lo volvió a cubrir.
070414007a	―Ponte en la puerta de la tienda —le pidió él a ella— y si alguien viene buscándome, dile que no hay nadie aquí.
07041500f7	Entonces Jael tomó una aguda estaca de tienda y un mazo, y acercándose silenciosamente a donde él dormía profundamente a causa del cansancio, le clavó la estaca en las sienes, le atravesó la cabeza y se la encajó en el suelo, y así murió.
07041600ec	Cuando Barac llegó buscando a Sísara, Jael salió a encontrarlo y le dijo: «Ven y te mostraré al hombre que estás buscando». Ella lo condujo dentro de la tienda y encontró a Sísara muerto, con la estaca atravesada en las sienes.
0704170044	Ese día el Señor subyugó al rey Jabín, rey cananeo, ante Israel.
0704180086	Desde ese día en adelante Israel se fortaleció cada vez más contra el rey Jabín, hasta que él y todo su pueblo fueron destruidos.
0705010030	Entonces Débora y Barac cantaron esta canción:
0705020073	«Por cuanto condujo valientemente a los caudillos de Israel, y el pueblo alegremente lo siguió, alaben al Señor.
070503004f	» Oigan bien, reyes y príncipes, porque cantaré al Señor el Dios de Israel.
0705040087	» Cuando nos hiciste salir de Seír, oh Señor, y nos guiaste por los campos de Edom, la tierra tembló y el cielo derramó su lluvia.
0705050046	Sí, aun el monte Sinaí tembló ante la presencia del Dios de Israel.
0705060084	» En los días de Samgar y de Jael, los principales caminos quedaron desiertos. Los viajeros usaban senderos estrechos y tortuosos.
0705070065	Los pueblos de Israel quedaron abandonados, hasta que yo, Débora, surgí como una madre para Israel.
07050800b8	Cuando Israel buscó nuevos dioses, todo se desplomó, nuestros amos no nos dejaban tener ni escudo ni espada; entre los cuarenta mil valientes de Israel ni un arma podía ser hallada.
0705090067	¡Cuánto me regocijo en los caudillos de Israel que se ofrecieron voluntariamente! ¡Alaben al Señor!
07050a00a6	» Que todo Israel, ricos y pobres, se unan en sus alabanzas: los que cabalgan en burros blancos y se sientan en ricas alfombras y los que son pobres y deben caminar.
07050b009b	Canten los pastores junto al pozo de agua. Canten por toda la ciudad. Cuenten allí las justicias del Señor. Lo que él hizo por los campesinos de Israel.
07050c0066	» ¡Despierta, oh Débora, y canta! ¡Levántate, oh Barac, oh hijo de Abinoam, y lleva tus cautivos!
07050d0069	» Desde el monte Tabor descendió el noble remanente. El pueblo del Señor marchó contra los poderosos.
07050e0036	Vinieron de Efraín y Benjamín, de Maquir y Zabulón.
07050f00a1	Hacia el valle descendieron los príncipes de Isacar con Débora y Barac. Ante el mandato de Dios se precipitaron hacia el valle. Pero la tribu de Rubén no fue.
070510008c	¿Por qué te sentaste en casa entre los rediles, a oír los balidos de tus ovejas? Sí, la tribu de Rubén tiene la conciencia intranquila.
07051100b2	¿Por qué Galaad se quedó al otro lado del Jordán; y por qué Dan se quedó con sus naves, y por qué Aser se sentó inconmovible junto a las costas, reposando en sus bahías?
0705120053	Pero las tribus de Zabulón y Neftalí expusieron sus vidas en el campo de batalla.
070513006e	» Los reyes de Canaán pelearon en Tanac, junto a los manantiales de Meguido, pero no obtuvieron la victoria.
0705140037	Las mismas estrellas del cielo pelearon contra Sísara.
0705150049	El arroyo de Cisón los barrió. ¡Adelante, oh alma mía, con fortaleza!
0705160059	Escucha las pisadas de los caballos de los enemigos. Escucha el galopar de los valientes.
07051700b3	» Pero el ángel del Señor lanzó una maldición sobre Meroz. “Que el Señor los castigue con dureza”, dijo, “porque no vinieron a ayudar al Señor contra sus enemigos”.
070518006b	» ¡Bendita sea Jael, la esposa de Héber el quenita! ¡Sea ella bendita por sobre todas las amas de casa!
070519003d	Sísara pidió agua, y ella le dio leche en una hermosa taza.
07051a007d	Entonces tomó una estaca y un mazo y partió las sienes de Sísara, aplastando su cabeza. Traspasó con la estaca su cabeza.
07051b0026	Y él quedó muerto entre sus piernas.
07051c00a0	La madre de Sísara miraba por la ventana esperando su regreso: “¿Por qué su carro demora tanto en llegar? ¿Por qué no oímos el sonido de sus ruedas?”.
07051d003d	Sus doncellas le respondían y ella misma también lo decía:
07051e00c1	“Hay mucho botín que distribuir, y eso lleva tiempo. Cada hombre recibe una o dos jovencitas, y Sísara recibirá las vestiduras de colores y traerá a su hogar muchos obsequios para mí”.
07051f00be	» Oh Señor, que todos tus enemigos perezcan como Sísara; pero los que aman al Señor resplandezcan como el sol a mediodía». Después de esto hubo paz en el país durante cuarenta años.
07060100e0	Pero el pueblo de Israel comenzó una vez más a adorar a otros dioses, y una vez más el Señor los entregó en mano de sus enemigos para que los oprimieran. Esta vez fue el pueblo de Madián, y lo hizo durante siete años.
0706020064	Los madianitas eran tan crueles que los israelitas se fueron a vivir en las cuevas de las montañas.
0706030050	Cuando los israelitas sembraban, los de Madián y de los pueblos vecinos venían
0706040088	y destruían las cosechas, y asolaban el campo hasta Gaza sin dejar nada para comer, y se llevaban las ovejas, los bueyes, y los burros.
07060500b9	Las hordas enemigas llegaban montadas en camellos en un número tan grande que no se podían contar, y se quedaban hasta que la tierra había quedado completamente destruida y saqueada.
0706060084	Como resultado, Israel quedó reducido a una gran pobreza, y por fin el pueblo de Israel comenzó a clamar al Señor pidiendo ayuda.
0706080091	Sin embargo, la respuesta que el Señor envió a través de su profeta fue esta: «El Señor Dios de Israel los sacó de la esclavitud en Egipto,
070609009c	y los rescató de los egipcios y de todos los que fueron crueles con ustedes, y expulsó a los enemigos de delante de ustedes y a ustedes les dio su tierra.
07060a0096	Él les dijo que él es el Señor Dios y que no debían adorar los ídolos de los amorreos que viven junto a ustedes. Pero ustedes no han obedecido».
07060b00e1	Un día el ángel del Señor vino y se sentó bajo la encina de Ofra, en las tierras de Joás el abiezerita. Y su hijo Gedeón había estado trillando el trigo a mano en el fondo de un lagar para esconderlo de los madianitas.
07060c0065	El ángel del Señor se le apareció y le dijo: ―Varón valiente y fuerte, el Señor está contigo.
07060d0111	―Señor mío —replicó Gedeón—, si el Señor está con nosotros, ¿por qué nos ocurre todo esto, y dónde están las maravillas que nuestros antepasados dicen que Dios hizo al sacarlos de Egipto? El Señor nos ha desechado y permite que los madianitas nos arruinen.
07060e007e	Entonces el Señor se volvió hacia él y le dijo: ―Yo te fortaleceré. Ve y salva a Israel de los madianitas; yo te envío.
07060f0090	―Señor —repuso Gedeón—, ¿cómo puedo yo salvar a Israel? Mi familia es la más pobre de la tribu de Manasés y yo soy el menor de ella.
070610006e	Pero el Señor le dijo: ―Yo, el Señor, estaré contigo. Tú destruirás rápidamente las hordas madianitas.
07061100a0	―Si es cierto que vas a ayudarme de esa manera —dijo Gedeón—, haz una señal para probarlo; pruébame que es realmente el Señor quien me está hablando.
0706120084	Pero, espera hasta que yo vaya a buscar un presente para ti. ―Bien —respondió el ángel—, me quedaré aquí hasta tu regreso.
07061300f6	Gedeón entró apresuradamente en la casa, asó un cabrito y preparó pan sin levadura, con veinticuatro kilos de harina. Luego tomó la carne en un canasto y el caldo en una olla, y lo llevó al ángel que estaba bajo la encina y se lo entregó.
070614008b	El ángel le dijo: ―Coloca la carne y el pan sobre esta roca y vierte sobre ellos el caldo. Cuando Gedeón terminó de hacer lo ordenado,
070615007d	el ángel tocó la carne y el pan con su vara, y surgió fuego de la roca y los consumió. De pronto, el ángel desapareció.
0706160089	Cuando Gedeón comprendió que realmente había sido el ángel del Señor gritó: ―¡Ay, Señor Dios, he visto a tu ángel cara a cara!
070617004b	―Es cierto —respondió el Señor—. Pero no tengas miedo. No morirás.
0706180079	Gedeón edificó allí un altar y lo llamó El Señor es la paz. El altar está en Ofra, en la tierra de los abiezeritas.
07061900b3	Aquella noche el Señor le dijo que tomara el mejor toro del ganado de su padre y fuera hasta el altar de Baal y lo derribara, y destruyera el ídolo de madera de la diosa Aserá.
07061a00e4	«Edifica en su lugar un altar para el Señor tu Dios aquí sobre esta colina, colocando las piedras con esmero. Luego sacrifica el toro como holocausto al Señor, usando el ídolo de madera como leña para el fuego del altar».
07061b00b2	Gedeón llevó a diez de sus siervos e hizo lo que el Señor le había ordenado. Pero lo hizo de noche por temor a los demás miembros de su familia y a los hombres de la ciudad.
07061c0113	A la mañana siguiente, temprano, cuando la ciudad comenzó sus actividades, alguien descubrió que el altar de Baal había sido destruido, que había desaparecido el ídolo que estaba allí, y que en su lugar había un nuevo altar, con los restos de un sacrificio sobre él.
07061d006d	―¿Quién hizo esto? —se preguntaban todos. Finalmente se supo que había sido Gedeón, el hijo de Joás.
07061e0079	―Tráenos a tu hijo —gritaron—. Debe morir por insultar el altar de Baal y por haber destruido el ídolo de Aserá.
07061f0102	Pero Joás replicó a la multitud: ―¿Acaso necesita Baal la ayuda de ustedes? ¡Qué insulto para un dios! Ustedes son los que debieran morir por insultar a Baal. Si Baal es realmente un dios, ¡que cuide de sí mismo y destruya al que destruyó su altar!
070620006a	Desde entonces Gedeón fue llamado Yerubaal, sobrenombre que significa: «Que Baal se cuide a sí mismo».
07062100a6	Poco después los ejércitos de Madián, Amalec y otras naciones vecinas se unieron para pelear contra Israel. Cruzaron el Jordán y acamparon en el valle de Jezreel.
070622009a	Entonces el Espíritu del Señor descendió sobre Gedeón, y este, con un toque de trompeta, llamó a las armas, y los hombres de Abiezer acudieron a él.
070623007b	También envió mensajeros a Manasés, Aser, Zabulón y Neftalí convocándolos para ir a la batalla, y todos respondieron.
070624006c	Entonces Gedeón le dijo al Señor: «Si realmente me vas a usar para salvar a Israel en la forma prometida,
07062500b9	pruébamelo de esta manera: pondré un vellón de lana sobre el campo esta noche, y si mañana en la mañana la lana está húmeda y la tierra está seca, sabré que tú me ayudarás».
0706260091	Y ocurrió exactamente de esa manera. Cuando se levantó a la mañana siguiente, exprimió el vellón y sacó un tazón lleno de agua del rocío.
07062700a9	Pero Gedeón le dijo al Señor: «Señor, no te enojes conmigo, pero permíteme hacer una prueba más. Esta es: que la lana quede seca y que la tierra amanezca mojada».
0706280081	Entonces el Señor hizo lo que le pidió. Aquella noche el vellón permaneció seco, pero la tierra amaneció cubierta de rocío.
07070100d7	Yerubaal (el otro nombre de Gedeón) y sus hombres se levantaron temprano y avanzaron hasta los manantiales de Arod. El ejército madianita estaba acampado al norte de ellos, en el valle cerca de la colina de Moré.
07070200ea	El Señor le dijo a Gedeón: «Los que están contigo son muchos. No puedo permitir que todos se enfrenten a los madianitas, porque entonces el pueblo de Israel se jactará delante de mí de que se han salvado por su propia fortaleza.
070703007e	Haz que todos los que tengan miedo y tiemblen vuelvan a sus casas». Veintidós mil se fueron. Solamente se quedaron diez mil.
0707040081	Pero el Señor le dijo a Gedeón: «Todavía son demasiados. Llévalos al manantial y yo te mostraré cuales irán y cuales no».
0707050153	Gedeón los reunió junto a las aguas. Allí el Señor le dijo: «Divídelos en dos grupos según la forma en que beban. En el primer grupo estarán todos los que tomen el agua en sus manos y se la lleven a la boca y la laman como los perros. En el segundo grupo estarán los que se arrodillen y beban poniendo sus bocas en la corriente».
0707060064	Solamente trescientos hombres bebieron de sus manos. Todos los demás pusieron la boca en el arroyo.
070707007f	«Yo venceré a los madianitas con estos trescientos hombres —dijo el Señor a Gedeón—; envía a los demás a sus casas».
0707080169	Después que Gedeón reunió todos los jarrones y trompetas del pueblo que tenían entre ellos, envió a todos los hombres a sus casas, excepto los trescientos. Durante la noche, con los madianitas acampados en el valle que estaba debajo, el Señor le dijo a Gedeón: «Levántate, toma a tus soldados y ataca a los madianitas, porque yo haré que los derrotes.
07070a006f	Sin embargo, si tienes miedo, primero desciende solo al campamento y lleva contigo a tu siervo Furá si quieres
07070b00bb	y escucha lo que están diciendo allí. Te sentirás con más fuerzas para atacar al campamento». Entonces fue con Furá y se arrastró por la oscuridad hasta las posiciones del enemigo.
07070c00f4	Los numerosos ejércitos de Madián, Amalec y otras naciones del oriente que se les habían unido estaban esparcidos a través del valle, numerosos como langostas, como la arena de la playa, y tenían tantos camellos que era difícil de contar.
07070d015f	Gedeón se arrastró hasta una de las tiendas, justo en el momento en que el hombre que dormía adentro había despertado de una pesadilla y se la contaba a su compañero de tienda. ―Tuve un sueño extraño —le estaba diciendo—. Había un gran pan de cebada que vino rodando contra nuestro campamento. Golpeó sobre nuestra tienda y la derribó.
07070e00b1	El otro soldado contestó: ―Tu sueño sólo puede significar una cosa: Gedeón, el hijo de Joás, el israelita, va a venir y masacrará a todas las fuerzas aliadas de Madián.
07070f00df	Cuando Gedeón escuchó el sueño y su interpretación, se puso en pie allí mismo para adorar al Señor. Luego regresó junto a sus hombres y gritó: ―Levántense, que el Señor va a usarnos para vencer a los madianitas.
070710008b	Dividió a los trescientos hombres en tres grupos. Le dio a cada hombre una trompeta y un jarrón con una antorcha encendida dentro de él.
0707110069	Entonces les expuso su plan. «Cuando lleguemos junto al campamento —les dijo—, hagan lo que yo haga.
07071200d1	Tan pronto como los hombres de mi grupo y yo hagamos sonar las trompetas, ustedes harán sonar las de ustedes por todos los costados del campamento y gritarán: “¡Peleamos por el Señor y por Gedeón!”».
070713011e	Fue justamente después de medianoche, cuando se produjo el cambio de guardias, que Gedeón y los cien hombres suyos llegaron hasta las inmediaciones del campo de Madián. Repentinamente hicieron sonar sus trompetas y rompieron los jarrones para que las antorchas brillaran en la noche.
07071400d9	Inmediatamente los demás hombres hicieron lo mismo, y tocando las trompetas que tenían en la mano derecha y con las antorchas encendidas en sus manos izquierdas gritaban: «¡Peleamos por el Señor y por Gedeón!».
0707150091	Y se mantuvieron firmes y observaron cómo todo aquel enorme ejército comenzó a correr de un lado a otro, gritando y huyendo presa del pánico.
070716011b	En la confusión el Señor hizo que los soldados enemigos comenzaran a pelear entre sí y a matarse unos a otros de uno al otro lado del campamento, y que huyeran en la noche a lugares tan lejanos como Bet Sitá, cerca de Zererá, y hasta la frontera de Abel Mejolá, cerca de Tabat.
070717009a	Entonces Gedeón hizo llamar a los hombres de Neftalí, Aser y Manasés y les dijo que vinieran a fin de perseguir y destruir a los madianitas que huían.
07071800db	Gedeón también envió mensajeros por toda la región montañosa de Efraín invitando a las tropas a que se apoderaran de los vados del Jordán en Bet Bará para impedir que los madianitas escaparan a través de ellos.
070719010b	Oreb y Zeb, los dos generales de Madián, fueron capturados. Oreb fue muerto en la roca que lleva su nombre y Zeb, en el lagar de Zeb, como se le llama actualmente. Y los israelitas tomaron las cabezas de Oreb y Zeb, y cruzaron el Jordán para llevárselas a Gedeón.
07080100ae	Pero los jefes de la tribu de Efraín estaban airados con Gedeón. ―¿Por qué no nos llamaste la primera vez que saliste a pelear contra los madianitas? —le preguntaron.
070802011f	Gedeón respondió: ―Dios permitió que ustedes capturaran a Oreb y Zeb, los generales del ejército de Madián. ¿Qué he hecho yo en comparación con eso? Las acciones de ustedes al final de la batalla fueron más importantes que las nuestras al comienzo. Entonces ellos se calmaron.
070804007d	Gedeón cruzó luego el río Jordán con sus trescientos hombres. Estaban muy cansados, pero aún perseguían a sus enemigos.
0708050081	Pidió alimento a los hombres de Sucot. ―Estamos cansados y tenemos que seguir persiguiendo a Zeba y Zalmuna, reyes de Madián.
070806008d	Pero los jefes de Sucot le respondieron: ―Aún no les han dado alcance. Si les damos de comer y fracasan, ellos vendrán y nos destruirán.
070807009d	―Cuando el Señor los haya entregado en nuestras manos —Gedeón les advirtió— regresaremos y trillaremos sus carnes con espinas y cardos del desierto.
070808004c	Fue hasta Peniel, y pidió alimento allí, pero recibió la misma respuesta.
070809005c	Y les dijo también: «Cuando todo esto haya acabado, regresaré para derribar esta torre».
07080a00c8	Mientras tanto el rey Zeba y el rey Zalmuna, con quince mil hombres, estaban en Carcor. Era todo lo que quedaba de los ejércitos aliados del oriente, porque ciento veinte mil ya habían sido muertos.
07080b0076	Gedeón subió por la ruta de las caravanas al oriente de Noba y de Yogbea, y atacó a los madianitas sorpresivamente.
07080c0052	Los dos reyes huyeron, pero Gedeón los persiguió y los capturó tras la derrota.
07080d0027	Gedeón regresó por la bajada de Jeres
07080e008d	y capturó a un joven de Sucot y le pidió que escribiera los nombres de los setenta y siete dirigentes políticos y religiosos de la ciudad.
07080f00d1	Enseguida regresó a Sucot. «Ustedes me injuriaron diciendo que jamás podría dar caza a Zeba y a Zalmuna, y nos negaron alimentos cuando estábamos cansados y hambrientos. Aquí tienen a Zeba y a Zalmuna».
0708100062	Entonces tomó a los jefes de la ciudad y los hizo azotar con espinas y cardos hasta que murieron.
070811005d	También fue a Peniel, derribó la torre de la ciudad y mató a toda la población masculina.
07081200b6	Luego les preguntó al rey Zeba y al rey Zalmuna: ―¿Cómo eran los hombres que ustedes mataron en Tabor? Ellos respondieron: ―Estaban vestidos como ustedes, como hijos de reyes.
070813008d	―¡Deben de haber sido mis hermanos! —exclamó Gedeón—. Juro que si ustedes no los hubieran matado, yo tampoco los mataría a ustedes.
070814006e	Volviéndose a Jéter su hijo mayor, le dio orden de matarlos. El muchacho, que era casi un niño, tuvo miedo.
07081500aa	Zeba y Zalmuna le dijeron a Gedeón: ―Hazlo tú mismo; preferimos que nos mate un hombre. Entonces Gedeón los mató y sacó los adornos de los cuellos de sus camellos.
07081600b1	Más tarde los hombres de Israel le dijeron a Gedeón: ―Sé nuestro rey. Tú, tus descendientes y todos tus hijos reinen sobre nosotros, por cuanto nos has salvado de Madián.
0708170061	Pero Gedeón replicó: ―No seré su rey, ni tampoco lo será mi hijo. El Señor es nuestro rey.
07081800b4	Sin embargo, les pediré algo: que cada uno de ustedes me dé aretes de los que recogieron de los enemigos. (Porque las tropas de Madián, siendo ismaelitas, usaban aretes de oro).
070819008a	―Con todo gusto te los damos —respondieron—, y extendieron una sábana donde cada uno pudiera lanzar los aretes que había recogido.
07081a009d	El valor se estimó en unos veinte kilos de oro sin contar las lunetas y pendientes, las ropas reales, ni las cadenas tomadas de los cuellos de los camellos.
07081b009c	Gedeón hizo un efod con el oro y lo puso en Ofra, su ciudad. Pero Israel pronto comenzó a adorarlo, de modo que sirvió para mal a Gedeón y a su familia.
07081c009d	Este es el relato de cómo Madián fue subyugado por Israel. Madián jamás se recobró y la tierra tuvo paz durante cuarenta años, mientras vivió Gedeón.
07081d001c	Gedeón regresó a su tierra
07081e0039	y tuvo setenta hijos, porque se casó con muchas mujeres.
07081f0052	También tuvo una concubina en Siquén que le dio un hijo al que llamó Abimélec.
070820008a	Finalmente, falleció a una edad muy avanzada, y fue sepultado en el sepulcro de Joás su padre, en Ofra, en la tierra de los abiezeritas.
0708210080	Pero en cuanto Gedeón murió, los israelitas volvieron a prostituirse yendo tras los baales y adoptaron como dios a Baal Berit.
0708220076	Ya no consideraban al Señor como su Dios, aunque él los había salvado de todos sus enemigos en todas sus fronteras.
070823007a	Tampoco tuvieron ninguna muestra de bondad hacia la familia de Gedeón, a pesar de todo lo que él había hecho por ellos.
070901005e	Un día Abimélec, hijo de Gedeón, visitó a sus tíos, los hermanos de su madre, en Siquén.
07090200e2	«Vayan a hablar con los jefes de Siquén —les dijo—, y pregúntenles si quieren ser gobernados por setenta reyes, esto es, por los setenta hijos de Gedeón, o por un solo hombre; yo, que soy de su propia carne y sangre».
0709030097	Los tíos de Abimélec fueron ante las autoridades de la ciudad y propusieron el plan. Puesto que su madre era de aquella ciudad, decidieron aceptarlo.
07090400c9	Le dieron a Abimélec setenta monedas de plata de las ofrendas del templo de Baal Berit, y con ellas contrató a un grupo de vagabundos y ociosos, que aceptaron hacer cualquier cosa que él les dijera.
07090500a9	Los llevó hasta la casa de su padre en Ofra, y allí sobre una piedra, dieron muerte a sus setenta medio hermanos, salvo a Jotán, el menor, que escapó y se escondió.
