0100000014	Англунимос
011e1e010e	Жы мандэ лэн на сас бут, ай акана вонэ тердэпэ пэ бутэстэ майбут, тай о РАЙ бахталисардя тут пала мандэ. Кала жэ акана мэ стидава варисо важ мэрно чер?
011e1f013f	О Лавано пушля: — Со тути тэ дав? — Манди нисо на трэбуй, — пхэндя о Яково. — Стер важ мандэ кати екх, тай мэ лава и майдур тэ праварав тай тэ фирисарав теро цыкно тай баро ското.
011e200113	Мэк ман тэ обжав саворэ гуртуря тай тэ стхав ригатар саворэ пятнисти и э крапчяти бакрэн и бузнэн тай саворэ калэ бакрорэн. Вонэ авэна мэрно потинимос.
011e21016d	О чячимос мэрно дичёлапэ ангэ, кала закамэса ту тэ дикхэс о потинимос, саво дян манди. Тай сар кай ту аракхэса мандэ най крапчято тай най пятнисто бузно тай кало бакроро, вонэ лэна тэ ангиченпэ чёрданэ.
011e220079	— Допхэндямпэ, — пхэндя о Лавано. — Мэк авэла кадя, сар ту пхэндян.
011e230187	Тай андэ кодыва жэ дес вов отходя ригатар саворэ бузнэн лэ крапинэнца тай лэ латкэнца, саворэ пятнисти тай крапчяти бузнян — колэ, пэ савэ сас парнимос, — тай саворэн калэ бакрорэн тай отдя лэн тэ дикхэн лэсти шавэ.
011e2400e2	Вов тердя тэ авэл машкара пэстэ и Яково тринэ десэнго дром, ай о Яково кадя ж праварэлас лэ Лаваностерэ бакрэн, савэ ашылэпэ.
011e2500c2	О Яково вишындя зэлэни рувля па тополи, миндалё тай пай чинаря, зля э шкорка и стердя пэр лэндэ парнэ тхана.
011e26013a	Вов стходя э опшындэ рувля андэ саворэ балая, соп вонэ тэ авэн ворта англа ското, кала о ското авэл тэ пэл паи. Андэ кодыя время, кала э бакря ашэн пхарэ, сар авэнас тэ пэн паи,
011e2700ac	вонэ терэнас кода англа рувля, тай э бакрорэ аркхадёнаспэ лэндэ пёстри, крапчяти тай пятнисти.
011e280186	Инке о Яково бандярэлас лэ бакрэн каринг э пёстри тай каринг э калэ ското, саво сас лэ Лаваноско, ай лэ тэрнэн стхолас ригатар. Кадя лэстэ ашылэ пэсти гуртуря, тай вов ритярэлас лэн ригатар лэ Лаваностерэ бакрэндар.
011e2900e9	Кала авэнас тэ пэн зоралэ бакря тай бузня, о Яково шолас англа лэндэ андэ балая э рувля, кай вонэ тэ терэн бакрорэн англа э рувля.
011e2a00da	Ай кала авэнас э бакря найзоралэ, вов на шолас э рувля. Кадя ковло ското доросэласпэ лэ Лаваности, ай зорало лэ Яковости.
011e2b00cc	Кадя о Яково ашыля барвало, лэстэ сас акана бут цыкно тай баро ското, бутярнэ тай бутярня, вэрблюдоря тай ослуря.
011f0100ef	О Яково ашундя, сар э шавэ лэ Лаваностерэ дэнас дума: «О Яково заля ся, со сас кай амаро дад, стидя пэсти барвалимос катар амаро дад».
011f02007c	О Яково ля сама, со о Лавано най кацаво каринг лэстэ, сар сас данглал.
011f0300b3	О РАЙ пхэндя лэ Яковости: — Рисав палпалэ пэ тхан, кай аракхадилян, каринг теро родо. Мэ авава туса.
011f0400bb	О Яково бишалдя тэ пхэнэн ла Рахиляти тай Лияти, собы вонэ тэ авэн пэ мал, кай сас лэстерэ бакрэ и бузнэ.
011f0500d6	Вов пхэндя лэнди: — Мэ дикхав, со тумаро дад най кацаво каринг мандэ, сар сас данглал. Ай о Дэл мэрнэ дадэско исы манца.
011f060074	Тумэ ганэн, сар мэ теравас бути важ тумаро дад анда ся мэрно зор,
011f0700b9	ай тумаро дад хохадя ман, дэшвар парувэлас мэрно потинимос. Ай о Дэл на дя лэсти тэ терэл манди вырыто.
011f08015a	Сар кай вов пхэнэнас: «Теро потинимос авэна о крапчято ското», то ся о ското анэнас крапчятонэн, ай сар кай вов пхэнэнас: «Теро потинимос авэна о пёстро ското», то ся о ското анэнас пёстронэн.
011f090069	Акадя о Дэл заля о ското кай тумаро дад тай отдя лэс манди.
011f0a0145	Екхвар, андэ кодыя время, кала о ското ушаравэл екх екхэс, мэ дикхлэм суно: мэ вазглэм э якха тай додикхлэм, со э бузнэ, савэ ушаравэн лэ бузнян, саслэ пёстри, крапчяти тай пятнисти.
011f0b0088	О янголо лэ Дэвлэско пхэндя манди андо суно: «Яково». Мэ пхэндэм: «Мэ катэ».
011f0c00ff	Вов пхэндя: «Лэ сама тай дикхэса: саворэ бузнэ, савэ ушарадэ лэ бузнян, — пёстри, крапчяти тай пятнисти. Мэ дикхлэм ся, со терэл о Лавано туса.
011f0d0132	Мэ сым о Дэл, Саво сыкадиля тути андо Вефилё, кай ту шордян о вулей по бар тай солахаян Манди. Акана ашав майито кадыя пхув тай рисав палпалэ пэ пхув, кай ту аракхадилян».
011f0e009a	Э Рахиль тай э Лия пхэндэ: — Исин ли амэндэ инке, саво котор андэ амарэ дадэско хаббэ?
011f0f00c6	Хэба на дичёл, со вов ангичел амэн, сар най пэстерэн? Вов битиндя амэн тай тратисардя ловэ, савэ ля важ амэндэ.
011f1000da	Ай сар, ся о барвалимос, саво о Дэл заля амарэ дадэстар, сыно амаро тай амарэ бэятонэнго. Стер кадя, сар пхэнэл тути о Дэл.
011f11006d	Тунче о Яково бэшля лэ бэятонэн тай лэ ромнян пэ вэрблюдуря,
011f1200fb	ля ся пэско мищимос, саво вов стидя андо Падан-Арамо, дарадя ся пэско ското англа пэстэ тай жылятар кай пэско дад Исаако андэ пхув Ханаано.
011f130091	Кала о Лавано жыля тэ стрэжый лэ бакрэн, э Рахиль чёрдя лэстерэ черутнэн дэвлэн.
011f14007f	Ай Яково хохадя лэ арамеёс лэ Лаванос, на пхэндя лэсти, кай вов жалтар.
011f15009c	Вов нашлятар ся пэстерэ мищимоса, пэрэжыля э лэн тай жыля каринг э плая лэ Галаадости.
011f160061	По трито дес лэ Лаваности пхэндэ, со о Яково нашлятар.
011f1700b7	Вов ля пэса пэстерэ родонэн, мэкляпэ пала Яково тай по ефтато дес дорэсля лэс катар э Галаадски плая.
011f1800f3	Андэ кодыя рят о Дэл авиля андо суно каринг о арамеё Лавано тай пхэндя лэсти: «Фирисавпэ, на пхэн нисо лэ Яковости, ни лашо, ни вырыто».
011f1900e4	О Лавано дорэсля лэ Яковос. О Яково стходя э катуна катар э плая Галаадски, тай о Лавано пэстерэ родоса котэ ж стходэ э катунэ.
011f1a00ca	О Лавано пхэндя лэ Яковости: — Со ту тердян? Ту хохадян ман тай ундярдян мэрнэ щеян, сар копэльницэн па маримос.
011f1b00cf	Состар ту нашлянтар чёрял? Состар ту на пхэндян манди, кай мэ тэ мэкав тут лошаса тай дилянца, пэ бубно тай пэ арфа?
011f1c0083	Ту на дян манди тэ чюмидав лэ внуконэн тай лэ щеян. Ту тердян бигындоско.
011f1d0108	Мандэ исы зор тэ терав тути вырытимос, ай андэ кодыя рят о Дэл терэ дадэско пхэндя манди: «Фирисавпэ, на пхэн нисо лэ Яковости, ни лашо, ни вырыто».
011f1e00c9	Ту жылянтар, пала кода со тути фартэ камэласпэ тэ рисайвэс терэ дадэстэ черэ. Ай состар ту чёрдян мэрнэ дэвлэн?
011f1f00be	О Яково пхэндя лэ Лаваности: — Мэ дарайлэм, пала кода гындосарэлас, со ту зорэса одлэса мандар терэ щеян.
011f200170	Сар кай ту аракхэса варикастэ котэ терэ дэвлэн, кодыва на жувэла. Англа терэ родуря родэ екжэно, исы варисо мандэ теро, тай сар исы, тунче залэ кода палпалэ. О Яково на ганэнас, со э Рахиль чёрдя лэ дэвлэн.
011f210141	Тунче о Лавано зажыля андэ лэ Яковости катуна, андэ ла Лияти катуна тай дуен копэльницатерэ катуна, ай нисо на аракхля. Ла Лиятеря катунатар вов зажыля кай э Рахиль андэ катуна.
011f22010b	Ай э Рахиль англа кода ля лэ черутнэ дэвлэн, стходя лэн андэ лэ вэрблюдонэнди зэн тай бэшля пэр лэндэ. О Лавано обродя ся катуна, ай нисо на аракхля.
011f230143	Э Рахиль пхэндя пэсти дадэсти: — На холяв, мэрно рай, манди нащи тэ ущяв англа тутэ, мандэ кодя, со терэлпэ лэ жувлянца. Кай вов кати на родя, вов нащи аракхэлас лэ черутнэн дэвлэн.
011f240113	О Яково сас фартэ холяко и ля тэ пхэнэл лэ Лаваности: — Андэ со мэрни дош? — пушля вов. — Саво бэзэх мэ тердэм, кай ту мэклянпэ пала мандэ тэ астарэс ман?
011f2500e2	Ту обродян ся мэрно мищимос — со ту аракхлян пэско? Стхов, со аракхлян, англа теро тай мэрно родо, и мэк вонэ амэн сындосарэн.
011f2600b7	Дуйдэша бэрша мэ жудэм тутэ: терэ бакря тай бузня на шонас пэстар, мэ на халэм бакрэн анда теро гурто.
011f270164	Мэ на анавас тутэ лэ бакрэн, савэн шынэнас о дыко зверо, мэ екжэно шавас палпалэ пала лэндэ анда мэрно гурто. Ту мангэсас мандар потинимо пала ся дош, со сас чёрдо, десэ ли када терэласпэ, чи рятяса.
011f2800db	Акадя мэ жувавас: десэ пхабарэлас ман о кхам, ай рятэ пагосарэлас ман о шудримос, тай о совимос нашэлятар мэрнэ якхэндар.
011f290149	Кацавэ сас кодыла дуйдэша бэрша, сар мэ жувавас тутэ андо чер. Мэ теравас бути тути дэшуштар бэрша пала терэ дуй щея тай шов бэрша пала ското, ай ту дэшвар парувэсас мэрно потинимос.
011f2a019e	Сар бы на авэлас манца мэрнэ дадэско Дэл, о Дэл лэ Авраамоско, Кодыва, Кастар даралас о Исаако, тунче ту отбишалдя б ман палпалэ шушэ вастэнца. Ай о Дэл дикхля мэрни бида тай э пхари бути мэрнэ вастэнди и сыкадя тути рятэ тери дош.
011f2b0181	О Лавано пхэндя лэ Яковости: — Кала щея исы мэрнэ щея, э бэяцэ исы мэрнэ бэяцэ, тай э гуртуря исы мэрнэ гуртуря. Ся, со ту дикхэс, ся мэрно. Со жэ мэ акана тэ терав мэрнэ щеянца тай лэ бэятонэнца, савэн вонэ аракхадэ?
011f2c0076	Терам туса допхэндимос, ту и мэ, тай мэк вов авэла машкара амэндэ.
011f2d0043	О Яково ля о бар тай стходя лэс ворта.
011f2e00c4	Вов пхэндя пэстерэ родости: — Стидэн бара. Вонэ стидэ э бара, стходэ лэн плаёрэса тай бэшлэ паша латэ тэ хан.
011f2f0074	О Лавано дя алав лэ плаёрэсти Егар-Сахадута, ай о Яково — Гал-Эд.
011f3000de	О Лавано пхэндя: — Мэк кадыва плаёро дикхэл тай ашунэл, со амэ катэ солахас екх екхэсти. Акэ пала со лэсти динэ алав Гал-Эд.
011f3100d6	Лэсти инке динэ алав Мицпа, ке вов пхэндя: — Мэк о РАЙ дикхэл пала тутэ тай пала мандэ, кала амэ аваса дур екх екхэстар.
011f320138	Сар кай ту лэса вырыто пэс тэ андярэс мэрнэ щеянца тай лэса тути аврэ ромнян, тай сар кай амэнца никас на авэла, на бистри, со на мануш, ай о Дэл дикхэл тай ашунэл тут тай ман.
011f3300e0	Инке о Лавано пхэндя лэ Яковости: — Акэ о плаёро анда бара, ай о баруно столбо, саво мэ стходэм ворта машкара тутэ тай мандэ.
011f340172	Кала бара тай кадыва столбо дикхэн, со мэ солахав, со мэ на пэрэжава пала кадыва барэнго плаёро пэ тери риг, соп тэ терав тути чёрымос, тай ту на пэрэжаса пала лэндэ пэ мэрни риг, соп тэ терэс манди чёрымос.
011f350127	Мэк о Дэл лэ Авраамоско тай о Дэл лэ Нахороско, лэндерэ дадэско Дэл, тэ авэл сындомари машкара амэндэ. Ай о Яково солахая Колэса, Кастар даралас лэско дад о Исаако.
011f3600bd	Вов андя жэртва котэ андэ плаендери пхув тай акхардя пэстерэ родонэн тэ хан. Вонэ халэ тай рятярэн котэ,
011f3700a4	ай тэсара о Лавано чюмидя пестерэ внуконэн тай лэ щеян, бахталисардя лэн тай рисайля черэ.
0120010089	О Яково жалас пэстерэ дромэса, тай лэ Дэвлэсти янголуря вижылэ англа лэстэ.
01200200c0	Кала о Яково додикхля лэн, вов пхэндя: — Када лэ Дэвлэско таборо! — тай дя алав кодылэ тханэсти Маханаимо.
01200300b3	О Яково бишалдя англа пэстэ манушэн каринг пэско пхрал кай о Исаво андэ пхув Сеиро, андо тхан Эдом.
0120040113	Вов лэнди кадя припхэндя: — Пхэнэн кадя мэрнэ раести лэ Исавости: «Теро копэли о Яково пхэнэл: Мэ жувавас кай о Лавано тай сымас катэ жы кадылэ десэстэ.
01200500fe	Мандэ исы гурува, ослуря, бакрэ тай бузня, бутярнэ тай бутярня. Мэ бишалав кадыя дума мэрнэ раести, соп тэ аракхав тынгимос англа терэ якха».
0120060133	Кодыла бишалдэ мануша рисайлэ палпалэ и пхэндэ лэ Яковости: — Амэ самас кай теро пхрал, кай о Исаво, тай акана вов екжэно авэл каринг тутэ, тай лэса жан штаршэла манушэн.
012007012d	Андэ бари дар тай пхарэ одеса о Яково розтхадя пэстерэн манушэн, савэ сас лэса, пэ дуй таборуря, тай кадя жэ э гуртуря, о баро ското тай о цыкно ското, и лэ вэрблюдонэн.
01200800ad	Вов гындосарэлас: «Сар кай о Исаво помарэла екх таборо, тунче авэр ашэнапэ жундэ тай фиринапэ».
0120090172	О Яково ля тэ мангэлпэ: — О, Дэл мэрнэ дадэско лэ Авраамоско, Дэл мэрнэ дадэско лэ Исаакоско, о РАЙ, Саво пхэндя манди: «Рисав палпалэ пэ пхув, кай аракхадилян, каринг терэ родуря, тай Мэ дава тути мищимос».
01200a0143	Мэ на ашав кодыва тынгимос тай о чячимос, савэ Ту сыкадян Терэ копэлести. Мандэ нисо на сас, екх о дэсто, кала мэ пэрэжылэм о Иордано, ай акана мэ рисайвав палпалэ дуе таборурэнца.
01200b00fd	Мангав Тут, фирисар ман мэрнэ пхралэстерэ вастэндар лэ Исавостар, пала кода со мэ дарав, вов авэла тай помарэла ман и лэ бэятонэн лэ дэянца.
01200c00e9	Ке Ту пхэндян: «Мэ чячес дава тути мищимос тай терава терэ бэятонэн кадя бут, сар о чишай паша баро паи, саво нащи тэ пэрэадинос».
01200d00bc	О Яково прондярдя котэ ся рят. Колэстар, со сас лэстэ, вов витидя подарко пэстерэ пхралэсти лэ Исавости:
01200e007f	дуйшэла бузнян тай дуйдэша бузнэн, дуйшэла бакрян тай дуйдэша бакрэн,
01200f00ca	триндэша вэрблюдицэ лэ вэрблюжонконэнца, саранда гурунян тай дэшэн гурувэн, дуйдэша ослицэн тай дэшэ ослонэн.
01201000fb	Вов тходя пэ кажно гурто пэ екх копэли тай пхэндя лэнди: — Жан англа мандэ тай ритярэн машкара э гуртуря варисави-то дуримос екх екхэстар.
0120110108	Вов сытярдя кодылэ манушэс, саво жалас англал: — Кала мэрно пхрал о Исаво поджала тутэ тай пушэла: «Каско сан? Каринг жас? Каско ското даравэс?» —
01201200e9	тунче ту пхэн: «О ското терэ копэлеско лэ Яковоско. Када подарко лэстар мэрнэ раести лэ Исавости, ай екжэно вов жал пала амэндэ».
0120130109	Вов сытярдя и лэ дуйтонэс, и лэ тритонэс, и саворэн аврэн, савэ жанас пала гурто: — Тай тумэ кадя жэ пхэнэн лэ Исавости, кала вов тумэнца дикхэлапэ.
012014017e	Ай инке пхэнэн: «Теро копэли о Яково жал пала амэндэ». Пала кода со вов гындосарэлас: «Мэ ковлярава лэско ди кадылэ даронэнца, савэ бишалав англа мандэ. Ай тунче, кала амэ дикхасапэ, вов авэла лашо каринг мандэ».
012015007f	Кадя лэ Яковости даруря сас бишалдэ англэ, ай вов рятярдя андо таборо.
01201600e1	Кодыя рят о Яково ущиля тай ля пэстерэ дуен ромнян, дуен копэльницэн тай дэшуекхэ шавэн тай андо бродо пэрэжыля э лэн Ябоко.
0120170070	Вов пэрэндярдя лэн тай ся пэско мищимос пэ авэр риг ла лэнако.
0120180088	Тунче о Яково ашыляпэ екхжэно, тай Варико бирояспэ лэса жы каринг э тэсара.
01201900ca	Кала Кодыва дикхля, со нащи бирой, Вов ляпэ каринг ла кущикако кокало лэ Яковоко, кадя кай о кокало изля па тхан.
01201a00b2	Вов пхэндя: — Мэк Ман, ваздэлпэ э тэсара. Ай о Яково пхэндя: — На мэкава, покэ на бахталисарэса ман.
01201b005d	Вов пушля: — Сар акхарэн тут? — Яково, — пхэндя вов.
01201c0108	Тунче Вов пхэндя: — Кадылэ десэстар тут на лэна тэ акхарэн Яково, ай Израилё, пала кода со ту биросайлян лэ Дэвлэса тай лэ манушэнца и биросардян.
01201d00e3	О Яково пхэндя: — Мангав Тут, пхэн манди Теро алав. Ай Вов пхэндя: — Состар ту пушэс Мэрно алав? Тай Вов бахталисардя лэс котэ.
01201e00c0	О Яково дя алав кодылэ тханэсти Пениэло. Вов пхэндя: «Мэ дикхлэм лэ Дэвлэс муй муестэ тай ашылэмпэ жундо».
01201f009d	О кхам вазгляпэ понадэ лэстэ, кала вов прожалас о Пениэло. Вов лангалас пэ пэско пэрно.
01202000d0	Акэ пала со жы кадылэ десэстэ э израильтянуря на хан э жыла андо пулпа: ке Дэл ляпэ кай жыла андо пулпа лэ Яковости.
0121010102	О Яково вазгля э якха и дикхля, со жал о Исаво тай лэса штаршэла манушэн. Вов ростходя лэ бэятонэн машкара э Лия, э Рахиль тай дуен копэльницэн.
01210200f8	Вов стходя лэ копэльницэн тай лэндерэ бэятонэн англал, лэ Лия тай латерэ бэятонэн пала лэндэ, ай ла Рахиля лэ Иосифоса палал саворэндар.
01210300b1	Ай вов екжэно жыля англэ. Вов поджал каринг пэско пхрал тай тэлиля лэсти жы каринг э пхув ефтавар.
01210400ca	Ай о Исаво прастая каринг о Яково, обля лэс, шутяпэ лэсти каринг э кор тай росчюмидя лэс, тай вонэ лэдуй заровлэ.
012105010c	О Исаво додикхля лэ жувлян тай лэ бэятонэн тай пушэл: — Ко када туса? О Яково пхэндя: — Када э бэяцэ, савэн о Дэл па Пэско тынгимос дя терэ копэлести.
0121060071	Поджылэ э копэльницэ пэстерэ бэятонэнца тай тэлён англа Исав.
01210700cd	Пала лэндэ поджылэ тай тэлилэ э Лия тай латерэ бэяцэ. Пала саворэндэ поджылэ о Иосифо тай э Рахиль, и вонэ тэлилэ.
0121080122	О Исаво пушля лэ Яковостар: — Состар ту бишалдян саворэ кадыла гуртуря каринг мандэ? — Мэ камав тэ аракхав лашымос англа терэ якха, мэрно рай, — пхэндя о Яково.
0121090061	О Исаво пхэндя: — Мандэ ся исы, пхрала. Ашав теро тути.
01210a017a	— Най, мангав тут! — пхэндя о Яково. — Сар кай мэ аракхлэм лашымос англа терэ якха, тунче прилэ мандар кадыва даро. Важ мандэ тэ дикхав теро муй — када сар тэ дикхав о муй лэ Дэвлэско, ке ту прилян ман лашымаса.
01210b014b	Мангав тут, прилэ мандар кадва бахталимос, пала кода кай о Дэл сас тынгомэ мандэ, тай мандэ исы ся, со манди трэбуй. Яково фартэ мангэлас Исавос тэ прилэл кадыла даруря, тай вов ля лэн.
01210c009b	Тунче о Исаво пхэндя: — Авэн, трэбуй тэ жас андо дром. Мэ лава тэ ритярдював паша тутэ.
01210d0179	Ай о Яково пхэндя лэсти: — Мэрно рай ганэл, со кай э бэяцэ найбут зор. Тай манди трэбуй тэ гындосарэл пала э бакря тай гуруня, савэ дэн о тхут. Сар кай тэ даравас лэн йито андэ екх дес, тунче о ското похасайвэла.
01210e011b	Мэк мэрно рай жал англа пэско копэли, ай мэ жава полокорэ, кадя сар жана англа мандэ э гуртуря тай сар жана э бэяцэ, жыпокэ авава каринг мэрно рай андо Сеиро.
01210f012b	О Исаво пхэндя: — Дэ мэ дава тути варисавэ мэрнэ манушэн. — Состар тэ терэс када? — пушля о Яково. — Хутила и кода, кай мэ аракхлэм лашымос англа мэрнэ раестерэ якха.
0121100078	Андэ кодва жэ дес о Исаво рисайля палпалэ каринг пэстэ андо Сеиро.
01211100ec	О Яково жэ жыля андо Сукото, кай вов стходя пэстерэ катунэ тай стерэл катунэ важ о ското. Акэ пала со кодыва тхан акхарэлпэ Сукото.
01211200b5	Анда Падан-Арамо о Яково миштэс авилятар андо форо Шэхемо анда Ханаано тай стходя таборо паша форо.
01211300ed	Пала шэл рупунэ ястря вов тиндя кай э шавэ лэ Хаморостерэ, саво сас лэ Шэхемоско дад, котор пхув, пэ саво вов стходя пэстери катуна.
0121140077	Котэ вов стердя жэртвенико тай дя лэсти алав «Эл-Элохей-Йисраэл».
0122010089	Э Дина, ла Лиятери щей лэ Яковостар, жыля тэ подикхэл щеян кодылэ тханэстар.
01220200dd	Кала о Шэхемо, о шаво лэ Хаморско хивеёско, саво сас раеса пэ кодыя пхув, додикхля ла Дина, вов астардя ла тай асаяпэ латар.
01220300b1	Лэско ди пряшыля каринг э Дина, кай э щей лэ Яковости, вов покамля ла тай дэлас дума ласа лашымаса.
0122040099	Тунче о Шэхемо пхэндя пэстерэ дадэсти лэ Хаморости: — Лэ манди кадыла щя пала мандэ.
0122050122	Кала о Яково ашундя, со лэстеря щятар ла Динатар асаяпэ, лэстере шавэ саслэ андэ мал лэ гуртонэнца, тай вов ашэлас мулком пала када, жыпокэ вонэ на рисайлэ черэ.
0122060063	Лэ Шэхемоско дад о Хаморо авиля тэ дэл дума лэ Яковоса.
0122070166	Кала э шавэ лэ Яковости ашундэ, со тердяпэ, вонэ рисайлэ пай маля. Вонэ саслэ фартэ холяти, пала кода со о Шэхемо тердя лажаво андо Израилё, кала асаяпэ лэ Яковостеря щятар, ай када нащи сас тэ терэл.
01220800d9	О Хаморо пхэндя лэнди: — Мэрно шаво о Шэхемо саворэ одеса цырдэлпэ каринг тумари щей. Мангав тумэн, отдэн ла пала лэстэ.
0122090095	Терэн амэнца ябъява: отдэн амэнди тумарэ щеян, тай отдаса пала тумэндэ амарэ щеян.
01220a00df	Тумэ жувэн машкара амэндэ. Амари пхув англа тумэндэ: жувэн пэр латэ, пхирэн пай латэ, каринг камэн, лэн пэсти андо хулаимос.
01220b00ff	О Шэхемо пхэндя ла Динатерэ дадэсти тай латерэ пхралэнди: — Мэ дава тумэнди ся, со тумэ пхэнэна, дэн мэ тэ аракхав лашымос англа тумарэ якха!
01220c00bb	Мангэн важ э тэрни цэмин, сави бэ тэ на авэл бари, тай подаркуря — мэ потинава, кати отдэн ла пала мандэ.
01220d0100	Тунче э шавэ лэ Яковости пхэндэ лэ Шэхемости тай лэстерэ дадэсти лэ Хаморости хохаимаса, пала када со вов асаяпэ лэндеря пхьятар ла Динатар.
01220e00d0	Вонэ пхэндэ лэнди: — Амэнди нащи тэ терас кацаво. Тэ отдас амаря пхья найопшындэ муршэсти авэла важ амэндэ лажаво.
01220f00b6	Амэ отдаса ла тумэнди кати пала кода, сар тумэ ашэна, сар амэ, тай терэна саворэ муршэнди опшындимос.
0122100100	Тунче амэ ласа тэ отдас тумэнди амарэ щеян тай тэ лас пала амэндэ тумарэн. Амэ ласа тэ жувас машкара тумэндэ тай ашаса тумэнца екхэ народоса.
012211007e	Ай сар на камэна тэ авэн опшынэндэ, амэ заласа амаря пхья тай жасатар.
0122120084	Лэндери дума пэля андо ди лэ Хаморости тай лэстерэ шавэсти лэ Шэхемости.
012213011c	Кадыва тэрно мануш йито стердя кода, со вонэ пхэндэ, пала кода со вов фартэ покамля лэ Яковостеря щя. Вов, о Шэхемо, сас майпативало анда пэстерэ дадэско чер.
01221400b5	Тунче о Хаморо тай лэско шаво о Шэхемо авилэ каринг э вудара лэ форости тай дэнас дума лэ манушэнца.
0122150181	— Кала мануша лашымаса каринг амэндэ, — пхэндэ вонэ. — Мэк жувэн пэ амари пхув тай пхирэн пай латэ, каринг камэн: пэ кадыя пхув бут тхан важ лэндэ. Амэ ласа пала амэндэ лэндерэ щеян, ай вонэ лэна пала пэстэ амарэн.
01221600bf	Кати кадя камэн кала мануша тэ жувэн амэнца, сар екх народо: сар кай амарэ мурша авэна опшындэ, сар и вонэ.
01221700f6	На ашэна ли тунче лэндерэ гуртуря, лэнго мищимос тай ся лэнго ското амаро? Стерам жэ кода, со вонэ камэн, тай вонэ жувэна машкара амэндэ.
01221800f3	Саворэ, ко сас катар лэ форости вудара, допхэндэпэ лэ Хамороса тай лэстерэ шавэса лэ Шэхемоса, и саворэ мурша андо форо саслэ опшындэ.
0122190146	Пай трин деса, кала вонэ инке сас дукхадэ лэ насвалимастар, лэ Яковости дуй шавэ, о Симеоно тай о Левиё, э пхрала ла Динати, линэ э шуря, чярял динэ по форо тай умардэ саворэн муршэн.
01221a00c7	Вонэ умардэ ла шуряса лэ Хаморос тай лэстерэ шавэс лэ Шэхемос, залинэ ла Дина анда чер лэ Шэхемоско и жылэтар.
01221b00c3	Тунче э шавэ лэ Яковости зажылэ андэ лэ мулэндерэ чера тай опчёрэн о форо, кай лэнди пхэй сасли андо лажаво.
01221c00ab	Вонэ залинэ лэ бакрэн, лэ бузнэн, лэ гурумнян тай лэ ослонэн. Ся, со сас андо форо тай андэ маля,
01221d00cc	тай ся лэнго барвалимос, тай лэ бэятонэн, тай лэ жувлян, тай ся, со сас андэ чера, вонэ залинэ пэсти андо хулаимос.
01221e01cc	Тунче о Яково пхэндя лэ Симеоности тай лэ Левиёсти: — Тумэ тердэ пэр мандэ бари бида, тердэ тэ вырыцын ман э мануша пэ кадыя пхув, э ханаанея тай э перизея. Амэн сам найбут, тай сар кай вонэ стидэнапэ екхтанэ тай дэна пэр мандэ, мэ и мэрно ери аваса умардэ.
01221f0085	Ай вонэ пхэндэ: — Хэба трэбуй сас кадя тэ терэл амаря пхьяса, сар лубняса?
0123010128	О Дэл пхэндя лэ Яковости: — Жа андо Вефилё, жув котэ тай стер котэ жэртвенико лэ Дэвлэсти, Саво сыкадилясас тути, кала ту нашлянастар терэ пхралэстэр лэ Исавостар.
0123020118	Тунче о Яково пхэндя лэ ерести тай саворэнди, ко сас лэса: — Вишон тумэндар найчяче дэвлэн, савэ исы тумэндэ пэса, вужардёнпэ тай парувэн пэр пэстэ э йида.
0123030155	Тунче стидэнпэ андо дром, тай амэ жасатар андо Вефилё, котэ мэ стерава жэртвенико лэ Дэвлэсти, Саво дя манди зор андэ кодыва дес, кала манди сас вырыто, тай сас манца, каринг бэ мэ тэ на жав.
01230400f8	Тунче вонэ отдинэ лэ Яковости сарэ дэвэлэн, савэ сас лэндэ, тай э чея андай кана, ай о Яково заганадя лэн паша тэрэбинто кашт андо Шэхемо.
01230500dd	Котар вонэ жылэтар андо дром, тай э дар лэ Дэвлэсти сас пэ саворэ форуря, кадя со нико на нашэлас пала лэ Яковостерэ бэяцэ.
0123060097	О Яково тай саворэ, ко сас лэса, авилэ андо Лузо (кода жэ исы Вефилё) пэ пхув Ханаано.
012307010b	Котэ вов стердя жэртвенико тай дя алав кодылэ тханэсти Эл-Бет-Эл, пала кода со котэ о Дэл сыкадиляпэ лэсти, кала вов нашэластар пэстерэ пхралэстар.
01230800f1	Э Девора, сави виправардя ла Ревэка, муля тай сасли прахосарди паша дубо найдур лэ Вефилёстар. Пала кода лэсти динэ алав Аллон-Бахут.
01230900ad	Кала о Яково рисайля анда Падан-Арамо, о Дэл инке екхвар сыкадиляпэ лэсти тай бахталисардя лэс.
01230a0105	О Дэл пхэндя лэсти: — Теро алав Яково, ай адесунэ десэсар тут на лэна тэ акхарэн Яково. Теро алав авэла Израилё. Кадя о Дэл дя лэсти алав Израилё.
01230b00e4	Вов пхэндя лэсти: — Мэ сым — о Дэл Саворэзорэско. Анэн бэятонэн тай авэн майбут. Народо, бут народуря тай тхагара авэна тутар.
01230c00a1	Э пхув, сави Мэ дэм лэ Авраамости тай лэ Исаакости, Мэ отдава ла тути тай терэ бэятонэнди.
01230d006a	Тунче о Дэл вазгляпэ лэстар котар, кай Вов дэлас дума лэса.
01230e00e5	О Яково стходя ворта баруно столбо пэ кодыва тхан, кай о Дэл дэлас дума лэса, тай шордя пэр лэстэ о чехыри тай о оливково вулей.
01230f0077	О Яково дя алав кодылэ тханэсти, кай о Дэл дэлас дума лэса, Вефилё.
