2800000009	ማቶስ
29051600de	ኮታረረ አይሁድንታ ምክስ ኤሄንታ ገችንባብከሳርንካ ዋልቃባብ Ꮊቄ፥ እያእሮስ ጋይምስባብ ኤች የሱሰም ይ ሰጃንደትካ ክታ ዱትንዘን ዋችሶ
2905170114	“ይንቸን እስታ መረና ደእካንታ የልሶ ዶቅድንኦል፥ ኮት ፋጭተርንግንደከ ሰንፔካ ኮት ዶቅተርንግንዳ ዋደ Ꮊድሰዮ የስታ አንን ኮታዘን ዎድካ!” ጋየሮ ዳቅስሶ ክትም ምክሴ።
2905180092	የሱሰረ ክትካ የካ አይሴ፥ በድ ኤድንከሰረ ክትም ጎርስምሰኮ ክታ ካንተንካ ኡንምሰሮ Ꮊቄ።
2905190075	ታመከ ቃስተን ስላ ማቀስ ዉልእምድንካ ማጠርድንዳ ዋልቃ ኤተን ዋር Ꮊቄ፥
29051a0117	ዋልቃ አክምደርንካ አብ አክምንደር ና አየሮ በድ ማጥርስንደትኬ ይንታ ብረንመረ ሙዳ በይስታ Ꮊቄ። ኬዛር ማቼ እንድንካ ኮታዘን ጉጅመሮ አይሳዳት Ꮊረነረ ኮትካንታ ኡራክዬ።
29051b00af	ናየረ የሱሰታ ይተንጎካ ኤሰርሳንካንታ ጉትምድን ዎርሰንታ ዎክናር ክታ ቡርጎካ ና Ꮊድሶ ክታ አፍለን ዎልሴ።
29051c0086	ኮመረ ኮት ይሳንዳ፥ “ክታ አፍለን ዎራ እ ዎልሳናና አቅድቴ” ጋይድን አሜንካ Ꮊቄ።
29051d0097	ዉልእምድንዳ ኮታ ማቀስነረ ሳነካ ዎእሴ፥ Ꮊዝምናርንከረ ኮታ አቅንተና ኮታ ዘነንዘን ኤስምሴ
29051e00c8	የሱሰረ ሳነካ ይንዘንካ ዎልቃ ዉተዳንደትም ኤስሶ፥ ዎርሰንደር ዋልንጋይሶ “አፍለን እስታ ዎልስባብ Ꮊይራ?” ጋይሶ ኦይሴ።
29051f00d5	ክታ ካርንካ ጎርስምድባብከሰረ፥ “ዎርሰና ጉትመረኮ የስም ከት ጎርስምድንካ ሰደረዮ፥ ‘Ꮊይራ እም ዎልስባብ?’ ጋይተራ?” ጋይሰኬ።
2905200060	የሱሰረ ኮም ይስባብ Ꮊይናነረ ሰድንካንታ ዋልንጋይሶ ሰጄ።
290521009f	ኤተና ማቼ ይንዘን ይይምሳን ኤስንተካ ጳስካ ጭጨሮ ክታ እሪ ና ዋችሶ ዶፈንን ሙዳ ክትካንታ ና ኬዜ።
29052200be	የሱሰረ “እስታ ይንቸኖ፥ የስታ አሜንና የስም አቅስቴ፥ ኡርመካ አይካ፥ የስታ ማጥርናርንከረ ኡክንካ” ኮትም ጋይሴ።
2905230159	የሱስ አክኮም ኬዘዘን ክት ዶቅድንካ፥ አይሁድንታ ምክስ ኤሄንም ገችዝድባብታ ኤርንካ Ꮊድባብ ኤድንከስ ምክስ ኤሄንም ገችዝድባብም፥ “የስታ ይንቸና ደእቴ፥ ይና Ꮊራካንተስ ኤስስንባብም ጋብዝዳ?” ክትም ጋይሰኬ።
29052400a4	የሱስ ማቼ ኮም ኤሰርሶ አይሁድንታ ምክስ ኤሄንታ ገችንባብም፥ “አሜንካ ዳት Ꮊይ ጳሴ!” ክትም ጋይሴ።
29052500af	የሱስ ጴጥሮሰኬ ያይቆብካ፥ ያይቆብተረ እስመን ዮሀንሰዘንካ አብ፥ Ꮊየሰነረ ይም ጎርስምድንግንዳ ጋያክዬ።
29052600be	አይሁድንታ ምክስ ኤሄንታ ገችንባብታ ኤር ከት የልሳንደትካ የሱስ ኤድንከስ ቃየረኮ ኤብድንካ፥ ከት ፍብድንከረ ሰጄ።
29052700a1	ኤሄናረረ አርድሶ፥ “ኮና ሙዳ አዉልንኬ ኤፍንካ Ꮊረተረ? ይንቸና ራታ ዳት ና ደአክዬ” ከትም ጋይሴ።
290528012a	ኤድንከሰረ Ꮊልተርካ ክታዘን ይንጨኬ፥ የሱስ ማቼ ሙደንመረ ኤሄናርንካ ዉችሴ፥ ይንቸንንታ ባቤንም እንደንምኬ ክትከረ ክክን Ꮊቅባብከስም ጎርስሶ፥ ይንቸንና ዶቅድን ካርናር አርደዴ።
29052900d0	ኮታዘንከረ ይንቸንንታ አንን የድሶ፥ “ጣልቶ ዎእካ!” ኮትም ጋይሴ፥ ኮታ ቡልነረ “የና ይንቸኖ አምካ የስም ጋይድቴ” ጋይንትዬ።
29052a00d4	ይንቼነረ ታመኬ ቃስቴን ስለታ ይንች ና Ꮊቄ፥ ሳነካ አምትዮ ኦስከ ፈንካ ኦንጋ የጄ፥ ኮነረ ማቻንደትካ ኤድንከስ አንድር በርእሰኬ።
29052b00b9	የሱስ ማቼ ኮም ርን Ꮊየነረ ኤዝዳክንግንዳ ከትም ዳቅስሶ ክትስንደትከ “ኮት እጅድንደትም እምከቴ!” ከትም ጋይሴ።
2906010097	የሱስ ኮታርንካ ዉትሶ ይንታ ፍጨናር Ꮊዴ፥ ክታ ካርንካ ጎርስምድባብከሰረ ክትም ጎርስምሰኬ።
29060201a5	አይሁድንታ Ꮊዉስ ሰጨንካ ከታ ምክስ ኤሄናር ኤስስ የጄ፥ በድ ኤድንከስ ኮታር Ꮊፈርሰኮ ክደር ኤሰርድ Ꮊቀኬ፥ ከተረ “ኮና ኤችና ኮም ሙዳ ርን Ꮊምንክክ Ꮊፍሳሬ? Ꮊስግንዳ ኤጫ ክትካንታ እምምሳረ? ከትከነም አተን ክት ይድንዳ Ꮊስግንደረ?” ጋየረኮ በርእድ Ꮊቀኬ።
290603013b	ኮታዘንከረ “የለተ ኖኮና Ꮊቀን Ꮊዝድባብ ማራመታ ይንች ካዮ? ያይቆበታ፥ ዮሰታ ይሁደተኬ ስምኦነታ እስመና ካዮ? ክታ ምችነንከሰረ ኬና ዎንካ ክክን ካየኮ?” ጋየረኮ ክትም ቶቸካ ኤሰርክሳ ነገደኬ።
2906040118	የሱስ ማቼ፥ “ሳብዘንካ ኤስርሶ ኬዝድባብ አብንከዝደር ቦንችምዴ፥ ይንታ ገታ ፍጨንዘን፥ ይንታ ሱሰንከዝደርኬ ይንታ ኤሀ ኤድንከዝደር ማቼ ቶችምዴ” ጋየሮ ከትካንታ ማስሴ።
2906050081	ኮታረረ ቶክም Ꮊዝምባብከዘን ይንታ አንን ዎድሶ ፋችዘንካ አብ አተን ፍክሳክዬ።
290606009f	ዎርሰና አሜንክሳ ከታ ነግንካ አንድር በርእሴ፥ ኮተረ ቡር የሱስ ሞረንከሳር ኦንገሮ ኤስዝድ Ꮊቄ።
29060700b5	ታሜከ ቃስተንከስም ይንደር ኤልሶ ቃስተን ቃስተን ማስሶ ከትም ኦይቼ፥ ዳቅል አያንንከዘነረ ዎልቃ ከትም እምሴ።
2906080090	ኬታ ጎግታ ጉፈዘንካ አብ ሶለረ ማታ ቦርሳ፥ ብረረ ይንታ ክስናር ከት የዳክንግንዳ ክትሴ።
2906090079	“የንታ ዱትናር ጫማ አርችከቴ ዳት ቃስተን ሳምዝ Ꮊይ ቆበረተ ከትም ጋይሴ።
29060a008e	Ꮊምንካርዘነረ ዋልቃ ኤታ ኤሪ አርደቶ፥ ካርንኮትም የ ዛቅተርን የለልታ ኮታር ዶእከቴ።
29060b012f	ኤድንከስ የም ሞግዳክንካርያርከ የም ኤሰርዳክን ካርዘን ሙዳ የንታ ዱትንታ ቡልንም ድንግስሰቶ ኮታርንካ ዉትሰቶ አይከቴ፥ ኮነረ ከትካንታ ኤግዝምስታ ማርካ ከታዘን ማተረ” ከትም ጋይሴ።
29060c00a0	ኦይትምስባብከሰረ ኮታርካ ዉትሰኮ፥ ኤድንከስ ሙዳ ጎማ ይንታ ፍክስን ከት ዎይዝድንግንዳ ኤስሰኬ።
29060d0073	በድ ግምዘንከስመረ ዉችሰኬ፥ በድ ኤድንከስመረ ዛይት ሳየረኮ ፋችሰኬ።
29060e0137	የሱሰታ ላምና ሙደንደር ኤስምሳን ኦል፥ ባንችና ሄረዶስ ክትጎካ ኤሰርሴ። ዋልቃ ዋልቃ ኤድንከስ፥ “ስእስንባብ ዮሀንስ ደእያርንካ አምቴ፥ ኮካንታ ኮና ሙዳ አተና ክትካ ይይምዴ” ጋየሮ Ꮊቀኬ።
29060f00d5	አብንከሰረ “ኤላሴ” ጋይሰኬ። ነገድባብከሰረ ጉጅሶ “ኤና እሪ ሳብዘንካ ኤሰርሶ ኬዛቅባብከሳርንካ ዋልቀንግንዴ” ጋይደኮ Ꮊቀኬ።
29061000af	ሄረዶስ ማቼ ኮም ሙዳ ኤሰርሶ፥ “ኮና እ ክታ ባርን ተችስባብ ዮሀንሴ፥ ኮናና! ኖ ደእያርንካ አምሴ”፥ ጋይሴ።
29061100bc	ኮነረ ሄረዶስ ይንታ እስመን ፍልጶሰታ ኬነን ሄሮድያደም እንቸንካ ዮሀንሰም ኮትጎካ የችሶ ዞክና ኤሀር ዞክስሶ Ꮊቄ።
29061200b8	ዮሀንሰረ ክት ዞከርሳንዳ፥ ሄረዶሰም “የስታ እስመንታ ኬነንም የስታ እንቸና ዝግዝድንዳ ካዬ!” ጋይድ Ꮊቃንኦሌ።
2906130094	ሄሮድያደረ ኮካ ይምኤርሶ ዮሀንሰም ደይስስካንታ ዝግድ Ꮊቄ፥ ኬዛር ማቼ ኮትካንታ ማታክዬ።
2906140158	ሄረዶስ እርምሶ ዮሀንስ ጭልምስባብከ ሳብካንታ ፋስምስባብ ማትንተን ይ ኤዝድንኦል ክትም ጳሰሮ ካርዝድ Ꮊቄ። ሄረዶስ ዮሀንሰታ ኬዘንም ይ ኤሰርሳንᎺይካ ሙዳ ኦይምድ Ꮊቄ፥ ማታጋካ ዳት ጉርምካ ክትም ኤሰርድ Ꮊቄ።
290615018d	ሄረዶስ ይ አጠርሳን ሰጨን ቦንቻካንታ ባንችንታ ገችታ ኤረንባብከስካንታ፥ ዳምንባብከስታዘን ዶርምስባብከስካንተኬ ዋልቃ ዋልቃ ኤስምስባብ ገሊላር ዶቅድን ኤድንከስም ሞካካንታ ግክሴ፥ ኮነረ ሄሮድያዳ ክትም Ꮊፍካንታ ኡርማ ሰጫ ኮትካንታ ማቼ።
290616017d	ኮካንተረ ሄሮድያደታ ይንቸና ሞከርድን ኤሄናር አርድሶ ኮት ይግድንካ ሄረዶሰምንኬ ክትካ ክክን እችምንዘን ዶቅድባብከስም ና ጉርምሴ። ባንችነረ ይንቸን፥ “የስ ዝግድን Ꮊምንመረ ሙዳ እም ኦይስካ፥ እታ የስካንታ እምትቴ” ኮደር ጋይሴ።
29061700b6	“እስታ ባንችምንተረ የከንም ዎራ ማቼ፥ እም የስ ኦይዝድንደትም ሙዳ የስካንታ እምድቴ!” ጋየሮ ኮትካንታ ጫቅሴ።
2906180100	ናየረ ይንታ እንደንደር አይሶ፥ “Ꮊርስ ክትም ኦይስቴ?” ኮደር ጋይሴ፥ እንደነረ “ስእስንባብ ዮሀንሰታ ቃደን እምካ፥ ጋይሰዮ ክትም ኦይስካ”፥ ኮትም ጋይሴ።
29061900df	ይንቸነረ ሳና ጭጭመትካ ባንችንደር ማትሶ፥ “ስእስንባብ ዮሀንሰታ ቃደን ጋበትታ ዋር ታ እካንታ እምምድንግንዳ ዝግድቴ” ጋየሮ ና ኦይሴ።
29061a00df	ባንችና ኮ ጋይተንካ አንድር ሞርእሴ፥ ማታጋካ ዳት እችምዘን ዶቅስባብከስታ እር ይ አርደዳን ጫቀንታ ኮት ኦይሳንደትም ማርካንታ ዝጋክዬ።
29061b00f3	ኮካንታ ባንችና ሳነካ ዋልቀን ካርስንባብ ፖልስን ዮሀንሰታ ቃደን ተችትዮ ተይ Ꮊድንግንዳ ኦይቼ፥ ፖልስነረ ዞክና ኤሄናር አይሶ ዮሀንሰታ ቃደን ተቼ፥
29061c00a6	ተችምሳን ቃደንመረ ጋበትታ ዋር ተይᎺድሶ ይንቸንንካንታ እምሴ፥ ይንቸነረ ይንታ እንደንካንታ እምሴ።
29061d00a0	ዮሀንሰታ ካርንካ ጎርስምድባብከስ ኮም ከታ ኤሰርሳንᎺይካ Ꮊድሰኮ ለይስንም ተይ አይሰኮ ዱክሰኬ።
29061e00df	ኦይትምስባብከስ ከታ ይ ክትምሳን ካርናርንካ ማት Ꮊድሰኮ የሱሰታ እር ሳንምሰኬ፥ ከታ ይ ይሳንደትምከ ኤስሳንደትም ሙዳ ክትካንታ ኬዘኬ።
29061f0164	የሱሰረ “የታ የንት ዋልቃ Ꮊርን ጋይሳን ካርዘን አይሰቶ ቶክም Ꮊዉስከቴ”፥ ከትም ጋይሴ፥ ኮመረ ክት ጋይሳንዳ Ꮊረታ ጋይሴ ከደር Ꮊድባብከስከ አይድባብ በድንከስ ማቻንካንታ እችምካንታ ዎራ ሳዓት ከትካንታ ካየንካንቴ።
29062000b1	ኮካንታ ይንት ከታ ዶቅካንታ ሎቀንዘንካ ቃለርድን ጃልበናር አርድሰኮ ዋልቃ Ꮊርን ጋይሳን ካርያር፥ አይሰኬ።
29062100ed	ማታጋካ ዳት ከት አይድንካ በድ ኤድንከስ ሰድሰኮ ከትም ኤሰኬ፥ Ꮊክ Ꮊክ ካተመንከሳርንከረ ዉትሰኮ ዱትካ ዞደረኮ ከትም እርምሰኮ ከደር ሳንምሰኬ።
290622011d	የሱስ ሎቀንዘንካ ቃልዝድን ጃልበናርንካ Ꮊንቸርድዮ በድ ኤድንከስም ኖ ሰጄ፥ ግስመንባብ ከታ ካየን ቆልግንዳ ከታ ማትንተንከረ ከትካንታ ሞርእሴ፥ በድ ሪመረ ከትም ኤስስ የጄ።
29062300d4	ሰጨና ሶይተሮ አይድንካንታ ክታካርንካ ጎርስምድባብከስ ክደር Ꮊድሰኮ ኩን ጋይሰኬ፥ “ኮና ካርና ኤድ ካየንካርዬ፥ ሰጨነረ ሶይቴ፥
29062400f1	ከት እጅድንዳ ካየንካንታ ሞረናር ዶቅድን ካተመን ካየንከሳርኬ የለንከሳር አይሰኮ እችም ከት ሰንድንግንዳ ኬና ኤድንከስም ኦይትካ” ክትም ጋይሰኬ።
29062500f8	የሱስ ማቼ፥ “ከት እጅድንደትም የታ እምከቴ” ጋየሮ ማስሴ። ከተረ “ይና፥ አይሶቶ ከት እጅድንደትም ቃስተን ጸታ ብራ ጣገረካ ሰንት እምተሮቶ?” ጋይሰኬ።
29062600e3	የሱሰረ “መም ሶላ የንደር ዶቅዳ? ይና አይሰቶ የ ሰድኔ”፥ ከትም ጋይሴ፥ ከተረ ሰድሰኮ “ዶንቅ ሶለኬ ቃስተን ሞለካ ዶቅዴ”፥ ክደር ጋይሰኬ።
29062700b8	የሱሰረ ዎርሰንም Ꮊክ Ꮊክ ፋስሶ፥ ጮልሳን ድረዘን ከትም ዶቅዝድን ግንዳ ይንታ ካርንካ ጎርስምድባብከስም ክትሴ።
290628009d	ኮካንታ ዎርሰና ባንግና ጸታ አና ባንግና ቃስተን ቦንደከ ታማ ማትሰኮ Ꮊክ Ꮊክ ፋስምሰኮ ዶቅሰኬ።
290629015e	የሱሰረ ዶንቅ ሶለንምከ ቃስተን ሞለን የድሶ፥ ፈስ ጭላር ሰድሶ ጋለቼ፥ ሶለንም አስትዮ ኤድንከስካንታ ከት የልዝድንግንዳ ይንታ ካርንካ ጎርስምድባብከስካንታ እምሴ። ኮትኮግንደረ ቃስተን ሞለን ሙደንካንታ የልስሴ።
29062a0023	ሙደነረ እችሶ ምሰኬ።
29062b008a	ክታ ካርንካ ጎርስምድባብከሰረ ስጣንደትም ዶከን ታመከ ቃስተን ጋበትካ ጮጭ ሳንሰኬ።
29062c005a	ሶለንም እችባብ አⷝነንከስታ ፋይደና ዶንቅ ሳአ Ꮊቀኬ።
29062d0116	የሱስ ሳነካ ዎርሰንም ኦይተሮ ክት ዶቅድንካ ክታ ካርንካ ጎርስምድባብከስ ሎቀንዘንካ ቃልዝድን ጃልበንካ ኦስ ፋማ በቴሳይዳ ካተመናር ቃልሰኮ ከት እር አይድንግንዳ ክትሴ።
29062e005a	ኮታ ቡር ከታዘንካ ፋስምሶ ምክስካንታ ገቸንዘን ዉተዴ።
29062f00a8	ፍጨና ሶይድንካ ሎቀንዘንካ ቃልዝድን ጃልበና ባሀርንታ ግድያር ዶቅድንካ የሱስ ማቼ ይንት ፍጫዘን Ꮊቄ።
2906300166	ክታ ካርንካ ጎርስምድባብከስ ከታዘን ዞግድን ዞገንጎካ በይካንታ ማጠርድንካ ከትም ሰጄ፥ ሶይትናርንከረ ሳክላ ሳኣትዘንካ የድሶ ታመከ ቃስቴን ሳዓት ዶቅድንደታር ባሀርንዘንካ ሙከሮ ከደር Ꮊዴ፥ ከትም ስግሰረ አይዳ ዶቆ።
2906310088	ኬዛር ማቼ ከታ ባሀርንዘንካ ሙከሮ ክት አይድንካ ሰድሰኮ ቡንከም ካምስንካ ፍፍሰኬ።
290632009e	ሙደነረ ክትም ሰዳንደትካ ገቅሰኬ። የሱስ ማቼ ሳነካ፥ “ዳእከቴ! እትቴ! Ꮊይጳሰቴ!” ከትም ጋይሴ።
29063300f0	ኮታዘንከረ ሎቀንዘንካ ቃልዝድን ጃልበናረረ አርድሶ፥ ከትካ ክክን ክት ማቻንደትካ ዞገና ዎእሴ፥ ክታ ካርንካ ጎርስምድባብከሰረ አንድር በርእሰኬ።
29063400bd	ይና፥ ከታ ቡደና ገቀርክሳ ነግድንካ ሶለንታ አተንም ገቀርት ተይክሳ ነግሰኮ ዳት ኮና ርና ከትም በርእስስተራክ ዶቆ።
2906350099	ባሀርን ቃልሰኮ፥ ገንሰረጥ ካተመናር የልሰኬ፥ ጃልበንም ባሀርንታ ካንተዘን ዉችሰኮ ዞክሰኬ፥
2906360070	ጃልበናርንካ ከታ ይ Ꮊንቸርሳንግንዳ ሳነካ ኤድንከስ የሱሰም ኤሰኬ።
29063700a2	ከተረ ፍጨንኮታር ዞደረኮ የሱስ ዶቅድን ካርናር ሙዳ ሰቅምንባብከስም Ꮊቸካ ባልትዮ ተይ Ꮊድ የጀኬ።
2906380183	ክት አይሳን ካርሙደናር ሞረናርንካ፥ ካተመናርንካ፥ ካተማ ካየናርንከረ ሰቀርስባብከስም መለንዘን ተይ Ꮊደረኮ ክታ እሪ ዎድᎺቀኬ፥ ክታ አፍለንታ ካንተንም ዎራ ከት ዎልድንግንዳ ክትም ምግዝድ Ꮊቀኬ፥ ክትም ዎልስባበረ ሙደና ፋጭድ Ꮊቀኬ።
29070100cf	ፈረሳዊያንንከስ የሩሳሌማርንካ Ꮊድባብከስ ዋልቃ ዋልቃ ሙሴታ ህግንም ኤስዝድባብከስ የሱሰደር Ꮊድሰኮ ክታ ካንተንካ ሳንሰኬ።
29070200bd	የሱሰታ ካርንካ ጎርስምድባብከሳርንካ ዋልቃ ዋልቀንከስ አርናክን ገይንት ስኤራክን አንካ ሶላ ከት እጅድንካ ሰደኬ።
29070300cc	ፈረሳዊያንንከስከ ነግድን አይሁድንከስ ጋልተንከስታ ዎገንም ካርሰካ ከታ ይንታ አንንም ዎገንግንዳ ስኤራክንዳ ማቼ እቻየኬ።
29070400f6	ኮግንደረ ጋበንካ Ꮊድሰኮ ስኤራከክ ዶቆ እቻየኬ፥ ሶርቀን፥ ዳሄን፥ ጋይካ ኡርሰርሳንደትምኬ ሰለንም፥ ስኤርድንደትግንዳ፥ አበረ በድ ዎግን ካርዝደኬ።
2907050144	ኮካንታ ፈረሳዊያንንከስ ሙሴታ ህግንም ኤስዝድባብከስኬ “የስታ ካርንካ ጎርስምድባብከስ ጋልተንከስታ ዎገንም ግርንተካ፥ Ꮊረተክ ከታ ይንታ አን ስኤራክዶቆ ሶለንም እጅዳ?” ጋየረኮ የሱሰም ኦይሰኬ።
29070600d1	የሱሰረ “የታ ኦትረንባብከሶ!” ኢስያስ ቤርድዮ የጎካ፥ ኮና ዎርሰና ይንታ አፈካ Ꮊክ እምቦንጅደክ ዳት ቡደና እዘንካ ጎተርሳንዴ!
29070700db	“ኤድ ፍክሳን ዎገን ሳብታ ዎገንግንዳ ማስሰኮ ኤሰረኮ ዉችኩን እም ጎይንደኬ! ጋይሶ ክት ኬዛን ቤርና ዶፈኔ፥ ኩንጋየሮ ከትካንታ ማስሴ።
2907080061	“ኮካንታ የታ ሳብታ ክተን ዛቅሰቶ ኤታ ዎገንም ካርዝደቴ”።
290709009e	ኮታዘንከረ የሱስ፥ “የንታ ዎገንም ካርስካንታ ገየረቶ ሳብታ ክተንም ዛቅደቴ፥ ኩን ከትም ጋይሴ።
29070a00e2	ሙሳ፥ ‘የስታ ባበንምከ እንደንም ቦንችካ፥ ጉጅሰረ ይንታ ባበንዘን አነረ እንደንዘን ዳቅልን ኬዝድባብ Ꮊየነረ ደእ ክትም ዝግዝዴ’ ጋይዴ።
29070b0116	የታ ማቼ ኩን ጋይደቴ፥ ‘ዋልቃ ኤድ ይንታ ባበንካንታ አነረ ይንታ እንደንካንታ አላ ዝግዝድንካ ይ ክትም ዝግዝድንደትም ሪን ሙዳ ሳብካንታ እ እምሳንዳ እሜ’ የንደር ጋይዴ፥
29070c0067	ይንታ ባቤንምኬ ይንታ እንደንም አሌዘንካ ዉች ክትም ነግዝደቴ፥
29070d00e9	ኮግንዳ ይተንከረ የንታ ዎገን ካርስካንታ የ ጋይድንካ ሳብታ ቃለንም ነግዝደቴ፥ ኮትኮግንደረ ኮም ካምድንደትም በድ ሪ ይደቴ” ኩንጋየሮ ማስሴ።
29070e0084	ካርንካ ዎርሰንመረ የሱስ ይንደር ኤልሶ፥ “የታ ሙደና እም ኤሰርከቴ፥ ገቀርከቴ፥
29070f008c	ኤድም ቱናማዝድንዳ፥ ኤታ ዋርንካ ዉድንዳ ዳት ማልንካ ኤታ ዋር አርድንዳ ቱናማዝዳክዬ!
290710005f	ይና ኤሰርድን ቃም ዶቅድባብ ኤሰራ!” ኩን ከትካንታ ጋይሴ።
29071100ad	የሱስ ዎርሰንም ዛቅሶ ኤሄናር ክት አርደዳንደታ ቡር ክታ ካርንካ ጎርስምድባብከስ ካምስንከስጎካ ኦይሰኬ።
29071200cc	የሱሰረ ከደር፥ “የተረ ጉጅሶ ኮም ገቀራየቴ? ኤድ እችሶ ይንታ ዋር ኤቅዝድንዳ Ꮊረሰነረ ኤድም ቱና ማዝዳክንደትም የም አርዳዮ?
29071300ae	ልጳርጎካ ስግሶ ማል ዉዳ ዳት ቡዳር ዶቃዬ” ኩንጋየሮ ማስሴ። ኮከረ የሱስ እችም ሙደና ኡርማ ማትንተን ኬዜ።
2907140070	ኮታዘንከረ፥ “ኤድም ቱና ማስዝድንዳ ኤታ ቡዳርንካ ዉድን ርንከሰኬ።
2907150054	ከተረ፥ ዳቅል ገቅር፥ ዞምባ፥ ድቢይ፥ ኤድም ደይሳ፥
290716007f	ቤልም፥ ጭጭ፥ ዳቅል፥ ገስ፥ አይተር ማት፥ ጩባ፥ የክ፥ ኦትራ፥ ቦስ፥ ከናከሴ።
2907170079	ኬና ሙደና ዳቅል ርና ኤታ ቡዳርንካ ዉደኬ፥ ኤድመረ ቱናማዝዴ” ኩን ጋይሴ።
2907180134	የሱስ ኮታርንካ አምሶ ትያጥሮስ ካተመንታ ላማር ዶቅድን ሞረናር አይሴ፥ ዋልቃ ኤሀር አርድሶ ዋር ዶቅንትን Ꮊየስነረ ኤሳይንግንዳ ዝግዜ፥ ማታጋካ ዳት ዋር ክታ ዶቅንተና አችምካንታ ማታክዬ።
29071900b3	ኮታ ይንቸና ዳቅል አያንካ የደርምሳንዳ ዋልቃ ኤተን የሱስጎካ ኤሰርሶ ሳነካ Ꮊዳንግንዳ ክታ ዱትንዘን ና ዋቼ።
29071a00da	ኤተነረ ስሮፍንቃውያንንከስታ ኮች ማቻንዳ ግርክ ፍጫ ኤተን Ꮊቄ። ናየረ ኮታ ይንቸንንዘንካ ግምዘንም ውችዝድንግንዳ የሱሰም፥ ምክሴ።
29071b00be	የሱስ ማቼ፥ “ይንችንታ እችምን ተይዮ አክስንከስካንታ እም ዝክሳዬ፥ ይና እርምሶ ይንችንከስ ምሳጋካ” ኮትም ጋይሴ።
29071c0102	ናየረ ማስሶ፥ “ገቴ የ ጮይስዮ፥ ማችንከረ አክስንከሰረ ጋበትንታ ጎያር ማትሶ ይንችና እጅድንካ ዋጅድንደትም ድንግመንም እጅደኬ”፥ ጋየሮ ክትካንታ ና ማስሴ።
29071d00ae	ኮካንታ የሱስ፥ “ኮ የስታ ኬዘንካ ግምዘና ይንችንዘንካ ዉቴ፥ ይና ኮዘንካ የስታ ኤር አይካ!” ኮትም ጋይሴ።
29071e00b6	ናየረ ይንታ ኤር ኮትማቻንደትካ ኮታ ይንቸንን ዳቅል አያንና ዛቅስንካ ሰለንዘን ኡርመካ ራትሶ ዶቅድንካ ና ሰጄ።
29071f00af	የሱስ ትያጥሮስ ካተመን ዛቅሶ ስዶና ካተመንጎካ ዶቆ ታማ ካተማ ገየርድንደትካ ስግሶ ገሊላ ባሃርንደር ኖᎺዴ
29072000b4	ኮታረረ ዋልቃ ቃም ቱንከከ አፋ አስ ኤችም ክደር ተይ Ꮊደኬ፥ ይንታ አንንመረ ክታዘን ዎድንግንዳ ክትም ምክሰኬ።
290721011f	የሱሰረ ኤችንም ዎርሰናርንካ ዉችትዮ ክትም Ꮊክ ተይ አይስንደትከ ይንታ ግልኤንከስም ኤችንታ ቃምንከስታ ዋር አርችሴ፥ ኮታዘንከረ ይንታ ፈጭምነረ ፈጭምሶ ኤችንታ አድምን Ꮊጬ።
2907220093	ፈስ ጭላር ሰድሶ ቡዳርንካ ኡክንሶ “ኤፍታ!” ገይሴ፥ ኮታ ቡልነረ “ፍኦችምካ!” ጋይንትዬ።
2907230091	ሳነካ ክታ ቃምንከስ ፎችምሰኬ፥ አድምነረ ብልምሴ፥ ዋልቀረ ማጥርካይሳ ጭርርሳ ኬዛ የጄ።
29072400eb	የሱሰረ ኮም ርን Ꮊየሰንካንተረ ከት ኬዝዳክንግንዳ ኤድንከስም ክትሴ፥ ማታጋካ ዳት፥ ከት ኬዝዳክንግንዳ ክትሳንከካ በድካ ስክስሶ ኬዝድ Ꮊቀኬ።
29072500eb	ኤሰርስባብከሰረ ሙዳ አንድር በድ በርእካ፥ “ሙዳ ርን ኡርመካ ይሴ! ቃም ቱንንከስ ኤሰርድንግንዳ፥ አፋ አስንከስ ኬዝድንግንዳ ኖ ይዴ!” ጋይሰኬ።
29080100e9	ከትኬና ሰጨንከሳር አነታ በድ ኤድንከስ ሳንምሰኬ። ከት እጅድንደረ ካያ Ꮊቄ፥ ኮካንታ የሱስ ይንታ ካርንካ ጎርስምድባብከስም ኤልሶ ኩን ጋይሴ፥
29080200b9	“ይና ኬና ኤድንከስ እንካ ክክን ማከን ሰጫ Ꮊቅተኬ፥ Ꮊረነረ ከት እጅድንዳ እችም ካየንካንታ ከትካንታ አጨርድቴ፥
29080300ec	ኮከት ዳቀርሳንግንዳ ከትም ከታ ኤሪ እ ኦይዳ ማቼ ጎግያር ጋብደኬ፥ ኮትኮግንደረ ከታርንካ ዋልቃ ዋልቀንከስ ጎትንካ Ꮊድባብከሰኬ” ከትም ጋይሴ።
29080400d9	ክታ ካርንካ ጎርስምድባብከሰረ፥ “ይና፥ ኮ ዴል ቆቸናር ከትኬና ሙደንከስካንታ ማድን እችም Ꮊብድባብ Ꮊይራ?” ጋይሶ ክትካንታ ማስሴ፥
29080500a1	የሱሰረ “መም ሶላ የንደር ዶቅዳ?” ጋይሶ ከትም ኦይሴ። ከተረ “ታብዛ ሶላ ዎንደር ዶቅዴ” ጋይሰኬ።
