2800000005	Macho
2a05010085	Gɛ̀ bee juu chimi, Jiso ja wu lɛme mbebe Mamasi wù Gɛnesalɛt le, gɛ̀ bee bamii tuŋ kiŋgaŋ bo faase wu bo yuge jɛ yi Nyo.
2a05020078	Wu ja wu yɛŋ baŋguh bafɛɛde june wu joo le, bamii ba gɛ̀ kɛme bo nyu bo bu wa yo bo chuge gii yiboo yi bíɛŋ.
2a050300a7	Wu gɛɛŋ wu lee a ŋguh wumu le, nyu wu Samoŋ, wu jɛmɛ lɛ wu tooŋsɛ wu lee wù gɛɛŋ a joo shige. Wu tooŋsɛ, Jiso mo wu shii yo bamii nyu kwa wu yɛyi bo.
2a0504009f	Wu gɛ̀ yɛyɛ wu mɛsɛ, wu mo wù jɛmɛ Samoŋ le lɛ, “Tôoŋsɛ ŋguh wu lee wu gɛɛŋ fɛ joo njuume fo, bɛŋ noŋ gii yene bɛŋ koo bíɛŋ.”
2a05050096	Samoŋ chvuu lɛ, “Chiji kikwɛɛ, bee chi che lo we bee nooŋ gii bvu yuu, bee baaŋ fiɛɛ koo gɛ. Geenɛ, no jɛmɛ wo, nlé nôŋ gɛh lo.”
2a0506005f	Bo gɛɛŋ bo noŋ, bo koo bíɛŋ yo wesee, bo doo bo bvuuse, gii yiboo goone ki yi sûumɛ.
2a050700a9	Noo, bo ŋwalɛ bamii baboo ba kinchvu a ŋguh wumu le lɛ bo to bo fih bo. Bo to bo bvusɛ bíɛŋ yiyu yi yisɛ baŋguh baboo, baŋguh tu bo goone ki bo shiide a joo.
2a050800bb	Samoŋ Bita yɛŋ fiɛɛ fì kooshi le, wu mo wu gɛɛŋ wu tuŋ anyuu wu ŋgvuumɛ a Jiso jii wu jɛmɛ lɛ, “Kii wo Tada, ja fiuŋ fɛnɛ wo chinɛ mɛne, nle fiaŋ muh wù befe.”
2a0509006d	Wu gɛ̀ jɛme noo, nje wu bɛ bamii be ba kinchvu gɛ̀ yɛŋ bíɛŋ yì bo gɛ̀ kolɛ le, ye kuufɛ bo.
2a050a00c9	Ye kuufɛ tɛ Jɛm bɛ Joŋ booŋ ba Jɛbɛdi ba gɛh bee tɛ a kinchvu ki Samoŋ le. Jiso jɛmɛ Samoŋ le lɛ, “Keefɛ wo fâane gɛ. Kɛge mɛɛse gɛɛne fwe, wo lé wo koode wa nyume bamii.”
2a050b0063	Lɛ bo yu noo, bo mo bo bvusɛ baŋguh baboo kwa, bo chinɛ mwɛɛ munchii le bo mo bo bii Jiso le.
2a050c00ef	Lɛ to nyume kife kimi le, Jiso nyu a kinlaantɛŋ kimi le, muh mu nyu yo goŋ yì baaŋ nyu yi ji wu. Muh wuyu yɛŋ Jiso le, wu to wu gwe a wu jii, wu lɛgɛ wu wu jɛmɛ lɛ, “Tada, wo taŋlo wo fɛ mɛ n'yuu, fɛ wo nɛ koŋe lo.”
2a050d008f	Jiso mo wu nɛjɛ kibo wu kuŋ wu le wu jɛmɛ lɛ, “Ŋkoŋe lo, tɛ̂mɛ la wo yûude.” Kimimia, goŋ yì baaŋ yiyu mo yi chinɛ wu le.
2a050e0119	Jiso chiisɛ wu le lɛ, “Wo yɛ̂ne keefɛ wo sɛ̂ɛŋ muh le gɛ. Geenɛ, wo gɛ̂ɛŋ wo chûnyɛ ye yo chiji kintanyɛ le, wo mo wo nyâ nyaa yì Musɛ gɛ̀ jɛmɛ lɛ muh kɛmɛ ki wu nyâ ki wu chûnyɛ bamii le lɛ wu le wu tɛmɛ yi goŋ yinɛ le wu mo wu yuude.”
2a050f00c1	No Jiso gɛ̀ chiisɛ muh wɛɛ le noo, saaka wu kune Jiso ka wu jiɛnyɛ wu fe lo, binchvu bì baaŋ baaŋ bi bamii bi baanyi bi too ki bi yû n'yɛyɛ we, bɛ ki wu fɛ̂de binchɛŋ biboo.
2a0510003d	Geenɛ, Jiso to wu chinɛ bo le wu gɛɛŋ wu buune nchvuuŋ.
2a051100ec	Gɛ̀ bee juu chimi Jiso yɛyi bamii, bvuŋga bvu Tada nyu yi ye ye le lɛ wu fɛde binchɛŋ yu. Bafalashii bɛ bamii ba gɛ̀ duunyi banchi ba Nyo shii fo, ba gɛ̀ bu bantɛ bachii ba Galalee le, mo bimbe bi Judia bɛ Yɛlusalɛm le.
2a051200ab	Fi kooshɛ lɛ bamii bamu gɛ̀ bee bo ja bo too bo shumɛ muh yi bvuko le, wù nyu wu kwe kimbe kimimia. Bo gɛ̀ mone ki bo to bo lee bɛ wu yeh, bo giŋsɛ a Jiso fwe.
2a051300e1	Geenɛ, bo gɛ̀ baaŋ kɛmɛ gɛ̀ je ki bo lee bɛ wu gɛ, nje bamii gɛ̀ fasɛ baaŋ. Bo mo bo bɛɛŋ nyu a yeh we, bo chiɛɛ kiyɛ, bo shiishɛ muh wuyu a bamii ntɛnɛɛ, a Jiso fwe, a fiɛɛ fì wu gɛ̀ gime yo le.
2a05140099	No Jiso gɛ̀ yɛŋ lɛ bamii baa le bo gɛɛ muntele muboo ye ye le, wu mo wu jɛmɛ muh wuyu le lɛ, “Nsaa yaŋ, nle nlɛɛshɛ wa bimbefɛ biuŋ.”
2a051500d1	Bamii ba gɛ̀ duunyi banchi ba Nyo bɛ kinchvu ki Bafalashii baa, mo bo kɛ bo fiɛge bo duu lɛ, “Wunɛ le yɛɛŋ wù jode kijusɛ ki Nyo? Le yɛɛŋ wù taŋlo wu lɛɛshɛ bimbefɛ, fuge Nyo sɛŋ?”
2a0516007f	Jiso kɛɛ fiɛɛ fì bo shuŋshi, wu biih bo le lɛ, “Bɛŋ kɛme kfuu chi banɛ baŋkwajɛ a muntele mwɛna le nɛ nje la?
2a0517006a	Fi chige le fi la, ki njɛmɛ lɛ nle nlɛɛshɛ wa bimbefɛ bi muh wunɛ noo, lɛ wu ja we wu jiɛnyi le?
2a05180106	Geenɛ, nlé ŋgê bɛŋ kɛ̂ɛ lɛ muh wù jee che le Mwamuh kɛme bvuŋga fɛkuu fɛnɛ ki wu lɛ̂ɛshɛ bimbefɛ.” Wu mo wu jɛmɛ muh wu gɛ̀ kwe wa kimbe kimimia wuyu le lɛ, “Jɛme mɛ wo le, jâ we, wo jô bvuko bwuŋ wo gɛ̂ɛne a wo yeh.”
2a0519009c	Kimimia, wu mo wu ja we wu lɛɛŋ a bamii jii, wu mo wu jo fiɛɛ fì wu gɛ̀ gime yu wege wu mo wu ja wu gɛɛne fɛ wu kfuuŋ, wu tume maŋkuŋ ma Nyo.
2a051a0086	Bamii yɛŋ noo, jwe yuŋ bo bo kɛmɛ kiŋgha, bo tume maŋkuŋ ma Nyo bo duu lɛ, “Bee le be yɛŋ biŋgha bi mwɛɛ le abɛŋ.”
2a051b00c4	Jiso gɛ̀ ja wu bu fo wu jiɛnyi. Wu doo wu gɛɛne, wu yɛŋ muh mu wu gɛ̀ koode ŋwa le ba tɛŋe lɛ Lɛwe, wu gɛ̀ shii kijusɛ ke ki lɛme le. Jiso jɛmɛ wu le lɛ, “Wo bîi mɛne!”
2a051c003e	Lɛwe chinɛ mwɛɛ munchii le, wu ja we wu mo wu bii Jiso le.
2a051d0095	Noo, Lɛwe mo wu ge ŋka wu baaŋ a wu yeh ki wu ŋgvûuŋ Jiso. Bamii ba gɛ̀ koode ŋwa ŋɛɛne lo fo, mo bamii bamu ba bɛ bo gɛ̀ jii mwɛɛ.
2a051e00de	Bafalashii bɛ bamii baboo ba kinchvu ba gɛ̀ duunyi banchi ba Nyo bo kɛ bo shuŋshi, bo biide booŋ ba ŋgoo ba Jiso le lɛ, “Le nje la fì bɛŋ jii bɛŋ muu mwɛɛ bɛ bamii ba koode ŋwa mo bamii bamu ba befe?”
2a051f0068	Jiso chvuu bo le lɛ, “Gɛ bamii ba tɛɛme to bo goone muh wu nche gɛ. To goone nyu bamii ba chɛne.
2a0520006b	Gɛ nto ki ntɛɛŋ bamii ba chaaŋ gɛ. Nto ki ntɛɛŋ nyume bamii ba befe lɛ bo kusɛ muntele muboo.”
2a052100bc	Bo gɛ̀ ja bo ghaayi Jiso lɛ, “Booŋ ba ŋgoo ba Joŋ ja bo banɛ mwɛɛ munjile bo buune lɛfolɛfo, nyu gɛh no ba Bafalashii gee, geenɛ buŋ booŋ jii lo fiboo bo ka muu mwɛɛ.”
2a05220077	Jiso ma jɛ bo le lɛ, “Taŋlo muh tɛɛŋ bamii fɛ bvuguu le bo to bo banɛ mwɛɛ munjile chiji bvuguu nyu bɛ bo?
2a0523009c	Geenɛ, kife lé ki tô ki kôjɛ ki ba lé ba fî chiji bvuguu wuyu, a bo le, le a bvu wu bo lé bo kɛ̂ bo bânɛ mwɛɛ munjile kife kɛɛ le.”
2a052400ff	Wu ka wu ma ŋgaŋ wumu bo le lɛ, “Gɛ muh taŋlo wu saayɛ nju yifiɛŋ wu chvuushɛ yì kege yu gɛ. Wu ge lo noo, tu wu le wu chɛŋɛ bɛ nju yifiɛŋ yɛɛ. Gɛ taŋlo fichaŋa fì fɛŋ fiɛɛ gɛɛŋ yɛɛŋyɛɛŋ bɛ nju yì kege yɛɛ gɛ.
2a052500d7	Gɛ taŋlo muh tɛ jo mbvuuŋ ma manfɛŋ, wu gɛɛ a kolo wu mbvuuŋ wù juŋ wa le gɛ. Wu ge lo noo, mbvuuŋ ma manfɛŋ maa ge mo koo, mo saayɛ lo kolo wù kege wɛɛ, mbvuuŋ bɛ kolo mu mo mu lɛsɛ achiji.
2a05260054	Fi kooji le lɛ, ba kɛme ki ba gɛɛ mbvuuŋ ma manfɛŋ nyu a kolo wù fwɛŋ le.
2a05270095	Bɛŋ kee tɛ lɛ gɛ muh nyu yu wù muu mbvuuŋ ma koo wa wù ka wu koŋe ma manfɛŋ gɛ. Wu to wu duu gɛh lɛ mà koo wa maa le mà joŋe.”
2a060100a6	Gɛ̀ bee juu chi yuuŋ chimi, Jiso bɛ booŋ be ba ŋgoo bo jiɛnyi bo fede mwɛ wu agiŋ wumu le. Booŋ be ba ŋgoo ja bo kɛ bo suume bichiɛɛ bo fise abo bo jii.
2a06020088	Bafalashii bamu yɛŋ noo, bo biih lɛ, “Le nje la fì bɛŋ gee fiɛɛ fì nchi baaŋ bɛɛŋ gɛ lɛ muh gee juu chi yuuŋ gɛ?”
2a06030086	Jiso biih tɛ bo le lɛ, “Fi le lɛ bɛŋ baaŋ a tɛɛŋ gɛ a Ŋwa wu Nyo le no jɛŋ gɛ̀ yu Nfoŋ Dabi bɛ ŋgoo ye, wu ge gɛ?
2a060400b0	Wu gɛ̀ lee yeh yi Nyo le, wu jo blɛd wù ba le ba cha ba gɛɛ lɛ le wu Nyo, wu ji wu nya tɛ ŋgoo ye yu, gɛ̀ bee nchi fɛ muh ji blɛd wɛɛ fede bachiji kintanyɛ.”
2a06050063	Jiso mo wu mɛsɛ wu jɛmɛ bo le lɛ, “Muh wù jee che le Mwamuh le Chiji Kikwɛɛ ki yuuŋ.”
2a0606008c	Gɛ̀ bee juu chi yuuŋ chimi, Jiso gɛɛŋ wu lee yeh yi buunɛ yimi le wu yɛyi bamii. Muh mu nyume yu bɛ kibo ke kinchiɛɛŋ ki kwe ka.
2a060700af	Bamii ba gɛ̀ duunyi banchi ba Nyo mo Bafalashii bo tu bo goone fiɛɛ fì bo kooyi yi Jiso le. Bo mo bo booŋ ajii ye ye le bo jiiŋe laa wu le wu fɛ muh juu chi yuuŋ la.
2a060800a4	Jiso kɛɛ fiɛɛ fì bo fiine bɛ fi, wu jɛmɛ muh wù kibo ke gɛ̀ kwe wɛɛ le lɛ, “Jâ we, wo tô wo lɛ̂ɛŋ fɛnɛ.” Wu mo wu ja we wu lɛɛŋ fo.
2a060900cb	Jiso biih bo le lɛ, “Mbiide nyu bɛŋ le lɛ, fiɛɛ fì nchi bɛmɛ lɛ muh ge juu chi yuuŋ le fì la? Ki muh ge fiɛɛ fì joŋe, noo fì befe le? Ki muh fi muh, noo ki muh yuuyɛ lo muh le?”
2a060a0087	Wu bijɛ bo ajii ajii wu kɛnɛ bo bachii, wu mo wu jɛmɛ muh wɛɛ le lɛ, “Nɛ̂jɛ kibo kuŋ.” Wu nɛjɛ ki, ki mo ki tɛ̂mɛ.
2a060b005e	Geenɛ, fi toonyɛ lo bamii baa baaŋ, bo mo bo kɛ bo chude bantaŋ no taŋlo bo ge bɛ Jiso.
2a060c006f	Gɛh aju ayu le, Jiso ja wu bɛɛŋ yi mbegɛ le wu gɛɛŋ wu buune, wu gɛ̀ che wu buune Nyo kintaŋ kichii.
2a060d007d	Akfuuŋ bu ayuu, wu tɛɛŋ bamii ba gɛ̀ bii wu le, bo to. Wu cha bamu yuufe ncho bafɛɛ wu tɛɛŋ bo lɛ booŋ ba ntuŋ.
2a060e009c	Ajee a bamii bayu gɛ̀ bee: Samoŋ, wù wu gɛ̀ nya jee che chimi lɛ Bita, bɛ Andulu wù mwa bwee Samoŋ wɛɛ. Bamu nyu Jɛm, Joŋ, Filib, Batolomiu,
2a060f0053	Macho, Toma mo Jɛm wù mwa Alfayu, Samoŋ wù gɛ̀ bee muh wu ka yi Bajalot le,
2a0610004a	Juda wù mwa Jɛm mo Juda Ɛkaliot wù gɛ̀ kɛnɛ wu to wu gesɛ Jiso.
2a06110116	No wu gɛ̀ cha bo noo, bɛ bo bachii mo bo ja bo boge. Lɛ bo boh, wu lɛɛŋ yi bale le, bamii be ba ŋgoo gɛ̀ bee wa fo wesee mo binchvu bi bamii bi ta lo ye fo bì gɛ̀ ja Judia bɛ Yɛlusalɛm. Bamii bamu gɛ̀ ja manjuu ma mbebe joo yì baaŋ le njɛ Taya bɛ Sidoŋ.
2a0612008f	Bo gɛ̀ to ki bo yu n'yɛyɛ wu Jiso, wu ka wu fɛ binchɛŋ biboo. Bamii ba biyo bì yiide gɛ̀ njiŋse bɛ bo too tɛ wu bvuuse biyo biyu.
2a0613007a	Bamii bachii mo bo goone ki bo kuŋ wu le, nje bvuŋga bvù gɛ̀ bude ye ye le gɛ fɛde bamii bachii ba gɛ kune wu le.
2a06140097	Jiso gɛ̀ ja wu bijɛ bamii be ba ŋgoo, wu jɛmɛ lɛ, “Kinlaŋye kì baaŋ le kena, bɛŋ ba kɛme gɛ, nje bvunfoŋ bvu Nyo le nyu fɛ bɛŋ le.
2a061500c5	Kinlaŋye kì baaŋ le kena, bɛŋ ba beede jɛŋ mɛɛse, nje Nyo lé wu gê lɛ bɛŋ fuu. Kinlaŋye kì baaŋ le kena, bɛŋ ba beede mɛɛse, nje bɛŋ lé bɛŋ gê bɛŋ kwâase chike.
2a061600ac	Kinlaŋye kì baaŋ le kena, sege bɛŋ bii muh wù jee che le Mwamuh le, bamii bane bɛŋ, bo bvuuse bɛŋ a bo ntɛnɛɛ, bo naanyi bɛŋ, bo ka nyaa bɛŋ ajee a befe.
2a061700f1	Fi doo fi kooshi noo, bɛŋ mo bɛŋ lâŋeye, bɛŋ bînɛ, bɛŋ yûge njoŋ, nje maajɛ wene wù kuge le woŋ wù fɛwe le. Bɛŋ kêe lɛ le gɛh noo no bachiji chiji bamii baa gɛ̀ nyiɛge bɛ bamii ba ntuŋ wu Nyo ba fweele noo.
2a06180061	Geenɛ, ŋgɛ wù baaŋ le wene, bɛŋ bamii ba bvukugɛ, nje kinlaŋye kena ki kage nyu fɛnɛ.
2a061900da	Ŋgɛ wù baaŋ le wene, bɛŋ ba ate le a yisɛ mɛɛse, nje bɛŋ lé bɛŋ gê bɛŋ bêede jɛŋ. Ŋgɛ wù baaŋ le wene, bɛŋ ba keede mɛɛse, nje bɛŋ lé bɛŋ gê bɛŋ bêede bɛŋ sôge bikwɛɛ.
2a061a00c7	Ŋgɛ wù baaŋ le wene, sege bamii bachii bɛɛŋse bɛŋ. Bɛŋ kêe lɛ le gɛh noo no bachiji chiji bamii baa gɛ̀ bɛɛŋse bamii ba chimbiaŋ ba gɛ̀ mbiane lɛ bo le bamii ba ntuŋ ba Nyo.
2a061b00a3	Geenɛ, njɛme bɛŋ banɛ ba yuge fiɛɛ fì njɛme le, lɛ bɛŋ kôŋe bamii bena ba kimbanɛ, bɛŋ gêe nyu mwɛɛ mù njoŋe fɛ baa bò banɛ bɛŋ le.
2a061c0089	Bɛŋ lɛ̂ge lɛ Nyo nôŋ nyu kimbonɛ yi bamii ba buune lɛ loŋ tô fɛ bɛŋ le, bɛŋ ka bûune fɛ bamii ba nyuse bɛ bɛŋ le.
2a061d007d	Muh suŋ wo yi kilaŋɛ le, wo kaasɛ kimu wu mɛsɛ wu suŋ. Muh baa kikuŋ kuŋ ki akfuuŋ, wo chinɛ wu jo ki antɛŋ tɛ.
2a061e006c	Muh lɛgɛ fiɛɛ a wo le, wo nya wu yu. Muh nɛ jo lo mwɛɛ mwuŋ, keefɛ wo shê wo kâ wo bîide gɛ.
2a061f0043	Bɛŋ gêe bamii bamu le no bɛŋ koŋe lɛ ba gêe fɛ bɛŋ le.
2a0620009e	Bɛŋ nɛ koŋe gɛh nyu bamii ba koŋe bɛŋ, maajɛ wuyu nyume la fɛ bɛŋ le? Gɛ bamii ba befe gee gɛh noo gɛ? Bo koŋe gɛh tɛ nyu bamii ba koŋe bo.
2a062100ab	Bɛŋ nɛ gee mwɛɛ mù njoŋe nyu gɛh fɛ bamii ba gee tɛ fɛ bɛŋ le, maajɛ wuyu nyume la fɛ bɛŋ le? Gɛ bamii ba befe gee gɛh yɛɛŋyɛɛŋ no bɛŋ gee gɛ?
2a062200fb	Bɛŋ nɛ foose bamii bɛ mwɛɛ nyu gɛh baa ba bɛŋ jiiŋe lɛ taŋlo bo kaasɛ bo chvuu, fiɛɛ fì bo nya kiyone yi fi le nyu la? Gɛ bamii ba befe foose gɛ mwɛɛ nsáa yiboo le nje bo kee lɛ bo le bo ge bo kaasɛ bo chvuu fiɛɛ fichii gɛ?
2a062301a7	Fi kooji lɛ bɛŋ kôŋe bamii bena ba kimbanɛ, bɛŋ gêe nyu mwɛɛ mù njoŋe fɛ bo le, bɛŋ fôose bamii bɛ mwɛɛ bɛŋ jiiŋe gɛ lɛ bo lé bo gê bo kâasɛ bo chvûu gɛ. Noo, bɛŋ mo bɛŋ kɛmɛ maajɛ wù kuge, bɛŋ ka bɛŋ nyu booŋ ba Nyo, wu le Kikwɛɛ ki Mwɛɛ Munchii, nje le gɛh tɛ noo no wù gee mwɛɛ mù njoŋe fɛ bamii bachii ba yɛɛde ajii le mo ba kɛme muntele mù yiide.
2a06240058	Bɛŋ kôode yii fɛ bamii le gɛh yɛɛŋyɛɛŋ no Chiji wene koode tɛ fɛ bɛŋ le.
2a062500f9	Keefɛ bɛŋ sâge bimbefɛ bi bamii bamu gɛ, noo Nyo gɛ̀ sa tɛ biɛna gɛ. Keefɛ bɛŋ bôone bikaa a bamii jiŋ lɛ bo lee ŋgɛ le gɛ, noo Nyo gɛ ka wu booŋ tɛ a bɛŋ jiŋ gɛ. Bɛŋ fôose bamii bamu, noo, Nyo to wu foose tɛ bɛŋ.
2a06260111	Bɛŋ nyâa nnyaa bamii le, Nyo lé wu gê wu nyâ tɛ bɛŋ le. Sege wu lé wu nyâ, wu lé wu fê chuule wu shiiŋshɛ, wu chiiŋ fi yisɛ fi fuushi kuu. Fiɛɛ fi muh fege fiɛɛ yo fɛ wu nya muh le, le gɛh fi fì Nyo le wu fe yo fɛ wu nya mwɛdɛ le tɛ.”
2a0627007a	Jiso ka wu ma ŋgaŋ wumu bo le lɛ, “Gɛ taŋlo kinfeeŋ dunyɛ je kimi le gɛ. Wu moŋ lo, bo bachii gwe a kintuge le.
2a06280082	Bɛŋ kee lɛ gɛ mwa ŋwa to wu fede muh wù yɛyi wu gɛ, le sege wu yɛyɛ wa wu mɛsɛ, wu kee njɛ muh wù gɛ̀ yɛyɛ wu.
2a06290071	Le nje la fì wo jiiŋe nyu sese chi le a mwa bwoo jii, geenɛ wo yɛde gɛ kikesɛ kì le a chuŋ jise le gɛ?
2a062a0138	Taŋlo wo ge nɛɛ fɛ wo du mwa bwoo le lɛ, ‘Mwa bwɛɛŋ, gɛh lɛ̂ɛŋ mbvusɛ sese a wo jii’, geenɛ wo yɛde gɛ kikesɛ kì le a chuŋ jise le gɛ? Wo le muh wù chiaase ye! Yaŋsɛ wo bvusɛ kikesɛ kì le a chuŋ jise le fɛ wo yɛŋ sese chi le a jise chi mwa bwoo le chuule wo mo wo bvusɛ.”
2a062b008d	Jiso ka wu jɛmɛ lɛ, “Gɛ taŋlo kite kì joŋe yuŋ muntaŋ mù mbefe gɛ. Gɛ taŋlo tɛ kite kì befe yuŋ muntaŋ mù njoŋe gɛ.
2a062c0099	Ba kee kite nyu yi muntaŋ mù yune yi ki le. Gɛ taŋlo muh ke fimbi yi kite ki mbiaŋ le gɛ, gɛ taŋlo tɛ muh ke biŋgele yi kite ki jiaaŋ le gɛ.
2a062d0120	Muh nɛ kɛme nchvu yi mwɛɛ mù njoŋe a fitele fie le, tu wu lé wu bvûuse nyu mwɛɛ mù njoŋe. Muh wù nchvu ye le mwɛɛ mù mbefe a fitele fie le, bvuuse gɛh nyu mwɛɛ mù mbefe. Fi le noo nje fiɛɛ fì le fi yisɛ fɛ fitele fì muh le, le fi fì bude jwe we le.”
2a062e007b	Jiso mo wu biih lɛ, “Le nje la fi bɛŋ tɛŋe mɛ lɛ, ‘Tada, Tada’, bɛŋ gee gɛ fiɛɛ fì njɛme bɛŋ le gɛ?
2a062f007c	Muh wuchii wù too wu yuge n'yɛyɛ waŋ wu mo wù gee gɛh no wu duu, nlé ndûnyɛ bɛŋ le mɛɛse no wuwɛɛ muh le.
2a063000ee	Wu le gɛh njɛ muh wu gɛ̀ jonɛ yeh, wu ya wu chiŋ wu shii, wu gɛɛŋ wu kuŋ kimbaaŋ le fɛ wu gɛɛ kichi, wu mo wu jooŋ. Joo gɛ̀ yisɛ, yi bu yi to yi kfuuŋ yeh yi yu, yi gɛ̀ shiiŋshɛ yi gɛ, nje wu gɛ̀ jooŋ yi chuule.
2a063100f6	Geenɛ, muh wù yuge n'yɛyɛ waŋ wù gee gɛ no wu jɛme gɛ, le njɛ muh wù gɛ̀ jonɛ yeh, wu taashɛ gɛh lo nshɛŋ wu mo wu jooŋ kichi sɛŋ. Joo gɛ̀ bu yi to yi kfuuŋ yeh yiyu, kiŋgane kimimia yi kesɛ nɛ wuuu, yi saaŋe lo.”
2a07010074	No Jiso gɛ̀ mɛsɛ wa wu yɛyɛ bamii bɛ mwɛɛ munchii, wu mo wu ja wu gɛɛŋ a kinlaantɛŋ kì Kafanahum le.
2a07020098	Kikwɛɛ ki ŋgoo yimi yi bamii ba nchi ba Lum gɛ̀ bee yo, wù kɛme nfwa we wumu, wu koŋe wù baaŋ. Nfwa wɛɛ chɛne, wù nyu wa jwe wu kwe le.
2a07030091	Kikwɛɛ kiyu doo ki yu kune Jiso, wu mo wu tuŋ bamii ba gɛ̀ sage woŋ wu Bajuu lɛ bo gɛɛŋ bo lɛgɛ Jiso lɛ wu boh wu to wu fɛ nfwa we.
2a07040092	Bo mo bo gɛɛŋ bo yɛŋ Jiso le bo ku chiaaŋ wu le, bo jɛmɛ lɛ, “Kee kee, to wo gɛɛŋ wo fi muh wese wunɛ, le muh wù taŋlo wo fi wu.
2a07050047	Wu koŋe woŋ wese baaŋ, le wu wù gɛ̀ jonɛ yeh yese yi buunɛ.”
2a07060165	Jiso mo wu ja bɛ bo gɛɛne. Bo doo bo fɛɛse fɛ yeh yi chiji kikwɛɛ ki bamii ba nchi kɛɛ le, wu tuŋ nsáa ye yimi lɛ yi gɛɛŋ yi chi Jiso. Yi gɛɛŋ, yi tasɛ bɛ wu, yi jɛmɛ wu le lɛ, “Tada, kikwɛɛ ki bamii ba nchi duu lɛ keefɛ wo ka wo shê wo yɛ̂ne ŋgɛ wo tôo gɛ. Lɛ wu baaŋ kojɛ gɛ muh wù taŋlo wo lee a wu yeh gɛ.
2a07070092	Le fiɛɛ fì be ge tɛ lɛ keefɛ wu to bɛ bikaa bie lɛ wu yɛŋ wo le gɛ. Geenɛ, lɛ wo jɛ̂mɛ gɛh nyu jɛ mwa ye wu lɛme mo wu tɛmɛ.
2a070800fc	Lɛ wu tɛ le muh a bvuŋga bvu muh mu kuu, bamii ba nchi tɛ nyume a wu kuu. Wu to wu du muh le lɛ, ‘Gɛ̂nɛ’, wu mo wu gɛ̂ɛne lo, wu du muh le lɛ, ‘Tô’, wu mo wu too lo. Wu du tɛ nfwa we le lɛ, ‘Gêe nɛ’, wu mo wù gee lo.”
2a070900e1	Lɛ Jiso yu ntuŋ wɛɛ noo, jwe yuŋ lo wu, wu kaasɛ ye wu jɛmɛ kinchvu ki bamii kì gɛ̀ biih wu le lɛ, “Nsɛŋe bɛŋ le lɛ mbaaŋ n'yɛŋ gɛ muh le Ishwala wu lese kfuu chi finɛ fitele yi ye yaŋ le nɛ gɛ.”
2a070a0075	Bamii baa bachiji kikwɛɛ ki bamii ba nchi gɛ̀ tuŋ doo bo kaasɛ bo tu yeh, bo yɛŋ nfwa wɛɛ nyu wu tɛmɛ wa.
2a070b0082	Ajiŋ a yu, Jiso bɛ booŋ be ba ŋgoo ja bo gɛɛne ntɛ wumu le ba tɛŋe lɛ Nayiŋ, kinchvu ki bamii kfuunɛ ki bii a wu jiŋ.
2a070c0134	No bo gɛ̀ gɛɛne, bo doo bo bu jwe wu kitaŋ wu gɛ̀ lese ntɛ wɛɛ le, bo bijɛ bo yɛŋ no bo tuu gvunɛ chi muh bo bude bɛ chi. Muh wuyu gɛ̀ bee gɛh wu maa chiaaŋ yi bwee le. Bwee gɛ̀ bee kwɛŋkfu. Ba gɛ̀ bude yu noo, kinchvu ki bamii ba duude ntɛ wɛɛ le bii bwe mwa wɛɛ le nɛ mamama.
2a070d0064	Lɛ Tada doo wu yɛŋ kwɛse wɛɛ le, wu koo yii, wu jɛmɛ wu le lɛ, “Keefɛ wo bêede gɛ.”
2a070e00b5	No wu jɛmɛ noo, wu mo wu fe wu gɛɛŋ wu kuŋ bvuko bvù ba gɛ̀ tulɛ gvunɛ chiɛɛ yu. Bamii ba gɛ̀ tuude mo bo lɛɛŋ. Wu jɛmɛ lɛ, “Chumu, njɛme wo le, jâ we!”
2a070f0049	Wu mo wu ja we wu shii, wu kɛ wu jɛme. Jiso jijɛ wu le wu nya bwee le.
2a071000b7	Bamii bachii yɛŋ noo, jwe yuŋ bo. Bo kɛ bo tume maŋkuŋ ma Nyo bo duu lɛ, “Muh wu ntuŋ wu Nyo wù baaŋ le wu bunɛ a bee ntɛnɛɛ. Nyo le wu to wa ki wu fîh bamii be.”
2a0711005f	Saaka wu kune Jiso mo wu jiɛnyɛ wu gɛɛŋ woŋ wu Judia le wuchii bɛ bituŋ bi mbebe yo le.
2a07120069	Booŋ ba ŋgoo ba Joŋ yu tɛ mwɛɛ munɛ munchii, bo gɛɛŋ bo sɛɛŋ wu le. Wu tɛɛŋ bamu bafɛɛ,
2a0713007e	wu tuŋ bo fɛ Tada le lɛ bo gɛɛŋ bo biih wu le laa lé wu wù gɛ̀ bee ki wu gê wu to noo, bo chîɛɛne muh mu la.
2a071400b1	Bo gɛɛŋ bo yɛŋ Jiso le, bo jɛmɛ wu le lɛ, “Joŋ Nlesɛajoo le wu tuŋ bee ki bee to be biih wo le laa le wo wù gɛ̀ bee ki wo tô noo, bo chîɛɛne muh mu la?”
2a071500ae	Bo gɛ̀ biide noo, Jiso le kife kiyu wu fɛde binchɛŋ bì duude bɛ goŋ yi baaŋ baaŋ, wu ka bvuuse biyo bì befe ye yi bamii le, wu gwenyi ajii a binfeeŋ bì duude.
