010000000a	Medhetethi
0b0f15003b	Kawoy Ba7oosi hessa si7idi, Rama gimbeysa aggidi Tirsa bis.
0b0f1600c3	Hessafe guye kawoy Asi Yihudan de7iya asa ubbaa kiittin, issoyka attonna dendidi, Ba7oosi yan go7etiya shuchaanne mithaa Ramape gaazidosona. Kawoy Asi Mixiphaninne Biniyaamen de7iya Gib7a gimbis.
0b0f1700a0	Asi hanida harabay, iya minotethay ubbay, I oothidaba ubbaynne I keexida katamati Yihuda Kawota Taarike Maxaafan xaafetis. Shin I cimida wode ba tohuwa saketis.
0b0f18006c	Asi hayqidi, ba mayzatan gahetidi ba mayza Dawita Kataman moogetis. Iya na7ay Iyosaafexi iya bessan kawotis.
0b0f190081	Yihuda kawoy Asi kawotida nam7antho laythan Iyorbaama na7ay Naadabi Isra7eelen kawotis; I Isra7eele biittan nam7u laythi kawotis.
0b0f1a0070	Naadabi kase ba aawa ogiyaninne Isra7eele asaa oosisida iya nagara ogiyan hemetidi Godaa sinthan iitabaa oothis.
0b0f1b009b	Yisakoora koche gidida Akiya na7ay Ba7oosi Nadaaba bolla maqetis. He wode Naadabeynne iya olanchoti Filisxeemen de7iya Gibatoona katamaa yuushon de7oosona.
0b0f1c005e	Yihuda kawoy Asi kawotida heedzantho laythan Ba7oosi Nadaaba wodhidi iya bessan I baw kawotis.
0b0f1d00aa	Ba7oosi kawoto doomida mela Iyorbaama soo asa ubbaa wodhidi wursis. Goday Seelope yida ba aylliya, nabiya Akiya baggara odidaysada Iyorbaama keetha asa ubbay hayqi wuris.
0b0f1e0085	Hessi haniday, Iyorbaami ba huuphen oothida nagaraninne Isra7eele asaa I oosisida nagaran Godaa Isra7eele Xoossaa hanqethida gishosa.
0b0f1f0057	Naadabi hanida harabaynne I oothidaba ubbay Isra7eele Kawota Taarike Maxaafan xaafetis.
0b0f200061	Yihuda kawoy Asinne Isra7eele kawoy Ba7oosi banta kawotetha laytha ubban oletida mela de7idosona.
0b0f210091	Yihuda kawoy Asi kawotida heedzantho laythan Akiya na7ay Ba7oosi Isra7eele bolla kawotis; I Tirsa kataman uttidi laatamanne oyddu laythi kawotis.
0b0f220062	Iyorbaami Isra7eele asaa nagara oosisidaysada ika he ogiyan hemetidi Godaa sinthan iitabaa oothis.
0b10010049	Hanaana na7aa gidida, Iyyu baggara Godaa qaalay Ba7oosaba haysada yaagis;
0b100200b5	“Taani nena baanape denthada ta asaa Isra7eele bolla halaqa oothas; shin neeni Iyorbaama ogiyan hemetadasa. Qassi ta asaa Isra7eele nagara oosisada enta nagaran tana hanqethadasa.
0b1003007b	Heko, taani Ba7oosanne iya soo asaa pittana hanayis. Ba7oosa, taani ne soo asaa Nabaaxa na7aa Iyorbaama soo asaada oothana.
0b10040071	Ba7oosa koche gididi kataman hayqiya oonaka kani maana; qassi gaxaren hayqiya oonaka salo kafoti maana” yaagis.
0b10050062	Ba7oosi hanida harabay, I oothidabaynne iya minotethay Isra7eele kawota Taarike Maxaafan xaafetis.
0b1006005f	Ba7oosi hayqidi ba mayzatan gahetidi, Tirsa kataman moogetis. Iya na7ay Eli iya bessan kawotis.
0b10070109	Gujidika, Goday, nabiya Iyyu baggara Ba7oosa bollanne iya soo asaa bolla tinbite odida gaasoy, Ba7oosi oothida nagara gishonne Iyorbaaminne iya soo asay oothidaysada iitabaa oothidi, Godaa hanqethida gishosa. Qassi I Iyorbaama soo asa ubbaa wodhidi wursida gishosa.
0b10080088	Yihuda Kawoy Asi kawotida laatamanne usupuntho laythan, Ba7oosa na7ay Eli Isra7eelen kawotis. Tirsa kataman uttidi nam7u laythi kawotis.
0b100900b9	Kawa toora moconatape issuwa gididi, iya para gaaretape baggaa kiittiya Zimiri kawa bolla maqetis. Kawoy Eli he wode Tirsan de7iya kawo gadho aawatethan aysiya Arxa son mathotidi uttis.
0b100a0073	Yihuda kawoy Asi kawotida laatamanne laapuntha laythan Zimiri, Arxa soo gelidi kawa wodhidi iya bessan baw kawotis.
0b100b0071	Zimira kawotida mela Ba7oosa soo asa ubbaa wodhis. Ba7oosi dabbo gidin lagge gidin issi addeka paxa ashshibeenna.
0b100c0063	Nabiya Iyyu baggara Goday Ba7oosa bolla odida qaalada Zimiri Ba7oosa soo asa ubbaa wodhidi dhaysis.
0b100d00a9	Hessi haniday Ba7oosinne iya na7ay Eli banta eeqa goyinnidi oothida nagaraa gaasoninne Isra7eele asa oosisida nagaraa gaason, Godaa Isra7eele Xoossaa hanqethida gishosa.
0b100e004e	Eli hanida harabaynne I oothidabay Isra7eele Kawota Taarike Maxaafan xaafetis.
0b100f00bc	Yihuda kawoy Asi kawotida laatamanne laapuntha laythan Zimiri Tirsan laapun gallasa xalaala kawotis. He wode Isra7eele olanchoti Gibatoona geetetiya Filisxeeme katamaa yuushuwa teqidosona.
0b10100092	Isra7eele asay Zimirii kawa bolla maqetidi iya wodhidaysa si7ida wode toora mocona Omira he gallas he bessan Isra7eele kawo oothidi kawothidosona.
0b10110044	Omirinne Isra7eele asay Gibatoonape keyidi Tirsa katamaa teqidosona.
0b10120073	Katamay oyketidaysa be7ida wode Zimiri kawo gadho giddon de7iya gimbiya gelidi kawo gadho taman oythis; ika hayqis.
0b10130080	Hessi haniday Iyorbaami oothida nagaranne Isra7eele asaa oosisida nagaraa kaallidi Zimiri Godaa sinthan iitabaa oothida gishosa.
0b10140053	Zimiri hanida harabaynne I maqida maqoy Isra7eele Kawota Taarike Maxaafan xaafetis.
0b10150087	He wode Isra7eele asay nam7u keyidi shaaketis. Asaape baggay Ginata na7aa Tibina kawothanaw koyin, baggay qassi Omira kawothanaw koyis.
0b10160067	Shin Omira maaddiya asay Ginata na7aa Tibina maaddiya asaape minnida gisho Tibini hayqin Omiri kawotis.
0b10170096	Yihuda Kawoy Asi kawotida hastamanne issintho laythan, Omiri Isra7eele bolla kawotidi tammanne nam7u laythi haaris; iyape usupun laytha Tirsan haaris.
0b10180096	Omiri Samaariya zuma Samira geetetiya addiyafe 6,000 bira santimen shammidi, yan katama keexis. He katamaa he zuma godaa sunthan Samaare gidi sunthis.
0b1019005c	Shin Omiri Godaa sinthan iitabaa oothis; I kase de7ida kawota ubbaafe aathidi nagara oothis.
0b101a0095	Omiri Nabaaxa na7ay Iyorbaami oothida nagaraanne Isra7eele asaa oosisida nagaraa kaallis; he pathonna eeqa gaason Godaa, Isra7eele Xoossaa hanqethis.
0b101b0060	Omiri hanida harabay, I oothidabaynne iya minotethay Isra7eele Kawota Taarike Maxaafan xaafetis.
0b101c005b	Omiri hayqidi ba mayzatan gahetidi, Samaaren moogetis. Iya na7ay Akaabi iya bessan kawotis.
0b101d00ab	Yihuda Kawoy Asi kawotida hastamanne hospuntho laythan, Omira na7ay Akaabi Isra7eelen kawotis. Omira na7ay Akaabi Samaaren Isra7eele bolla laatamanne nam7u laythi kawotis.
0b101e005d	Omira na7ay Akaabi baape sinthe kawotida kawota ubbaafe aadhiya iitabaa Godaa sinthan oothis.
0b101f00a9	Nabaaxa na7ay Iyorbaami oothida nagaraa laafaba gidi qofo xalaala gidonashin, Sidoona kawa Etbaala na7iw Elzabeelo baw macho ekidi, Ba7aale eeqas oosonne goyinno doomis.
0b1020003e	Samaaren I keexisida Ba7aale Eeqa Keethan yarsho bessi keexis.
0b10210093	Qassi Akaabi Asheera geetetiya xoosse misiliya essidi, baape sinthe de7ida kawota ubbaafe aathidi Godaa Isra7eele Xoossaa hanqethiya nagara oothis.
0b10220101	Akaaba kawotethaa wode Beetelepe yida, Hi7eela addey Iyaarko zaaridi keexis. Nawe na7aa Iyyasu baggara Goday odidaysada, Hi7eeli Iyaarko keexanaw baasiya wode Abeero geetetiya bayra na7ay hayqis. Qassi sanqa aathiya wode Saguba geetetiya kaalo na7ay hayqis.
0b110100d5	Galadan Tesibape yida nabey, Eeliyaasi kawa Akaaba haysada yaagis; “Taani iyaw oothiya Goday, Isra7eele Xoossay ero! Kaallidi yaana laythatan, taani odonna de7ishin, sa7an iri bukenna woyko xaasatenna” yaagis.
0b1102003b	Hessafe guye, Godaa qaalay Eeliyaasako yidi haysada yaagis;
0b1103006c	“Haysafe dendada doloha bagga ba; yan Yordaanose shaafape doloha baggara de7iya Koraata zangaaran qosetta.
0b11040061	Neeni he shaafape haathe uyana; quuroti nena he bessan kathi muzanaada ta enta kiittas” yaagis.
0b1105006c	Eeliyaasi Goday gidaysada oothis; Yordaanose shaafape doloha baggara de7iya Koraata zangaara bidi yan uttis.
0b11060052	Wontanne omarsi quuroti uythinne asho Eeliyaasas ehoosona; I shaafape haathe uyis.
0b1107003c	Biittan iri bukonna gisho, guutha wodepe guye shaafay melis.
0b11080036	Hessafe guye, Godaa qaalay Eeliyaasako haysada yaagis;
0b11090089	“Ha bessaafe dendada, Sidoona matan de7iya Sarapta bada yan de7aasha. Heko, issi am7iya kathi nena muzana mela taani kiittas” yaagis.
0b110a00b1	Eeliyaasi dendidi Sarapta bidi katama pengiya gakiya wode, Heko, issi am7iya mithi mixawusu. Eeliyaasi maccasiw xeegidi, “Hayyana, taw haathe uyanaw bulera ekada ya” yaagis.
0b110b005c	Maccasiya haathe ehanaw bishin I xeegidi, “Hayyana guutha baso uythika ekada ya” yaagis.
0b110c00fc	Maccasiya zaarada, “Goday, ne de7o Xoossay ero! Taw uythi baawa. Taw oton issi kuuca dhiilleynne guutha zayte xalaali xaaron de7ees. Taani haysa yiday guutha mithi mixada, soo simmada, hinno tawunne ta na7aas issi toho uukidi midi hayqana” yaagasu.
0b110d00a3	Eeliyaasi zaaridi, “Aykoy baawa, yayyofa; bada ne kathaa katha. Shin koyro ne dhiilliyafe guutha uythi laqada taw ekada ya; hessafe guye, newunne ne na7aas uuka.
0b110e007b	Goday, Isra7eele Xoossay, ‘Sa7aa bolla iri bukana gakanaw dhiilley otuwape zaytey xaaruwape wurenna’ yaagees” yaagis.
0b110f0090	Hessa gisho, maccasiya bada, Eeliyaasi gidaysada oothasu; hessada hanin, Eeliyaasi, maccasiyanne I soo asay daro wodes gidiya kathi demmidosona.
0b1110005a	Goday Eeliyaasa baggara odida qaala naagidi, otuwape dhiilley xaaruwape zaytey wuribeenna.
0b11110058	Guutha wodepe guye he maccase na7ay hargis; hargey goobishe bin, wursethan na7ay hayqis.
0b1112008a	Maccasiya Eeliyaasako, “Xoossa addiyaw, ne ta bolla haysada ayis oothadii? Ne ta nagaraa hassaysada ta na7aa wodhanaw yadii?” yaagasu.
0b11130076	Eeliyaasi, “Ne na7aa haa ekada ya” yaagis. Na7aa I ki7uwape ekidi, pude ba de7iya pooqiya efidi ba arsan zin7isis.
0b11140097	Yaatidi Godaako haysada yaagidi waassis; “Abeeti Godaw, ta Xoossaw, ha taani de7iya am7e na7aa wodhada, haysa mela meto I bolla ayis ehay?” yaagis.
0b11150070	Hessafe guye, na7aa bolla heedzu toho zaqullidi, “Abeeti Godaw, ta Xoossaw, ha na7aa patha” yaagidi woossis.
0b1116003f	Goday Eeliyaasa woosa si7is. Na7aa shempoy simmin, na7ay paxis.
0b11170062	Eeliyaasi na7aa ekidi pooqiyape duge wodhis; na7aa aayes immidi, “Heko ne na7ay paxis” yaagis.
0b11180072	Maccasiya, “Neeni Xoossa asi gideysanne ne doonape keyiya Godaa qaalay tuma gideysa taani ha77i eras” yaagasu.
0b12010077	Iri bukonna aggin heedzantho laythan, Goday Eeliyaasako, “Bada kawa Akaabas qonca. Ta biittan ira bukisana” yaagis.
0b1202004e	Eeliyaasi Akaabas qoncanaw dendidi bis. He wode Samaaren wolqaama koshi keyis.
0b1203005c	Akaabi ba kawo gadhuwa aawatethan aysiya Abdiyu xeegis. Abdiyuy Godaa minthidi ammaniya asi.
0b1204009e	Elzabeela Godaa sunthan nabeta wodhida wode Abdiyuy entafe xeetata ekidi, ishataman ishataman shaakidi, gongolo giddon qosidi, kathinne haathe immishe gam7is.
0b1205008c	Akaabi Abdiyu xeegidi, “Maata demmidi paratanne baqulota hayqope ashshanaw biittan pultoy de7iya bessinne shaafa gaxan ubbaa ba” yaagis.
0b12060076	Enti biittan awu bagga baaneko shaaketidi ekin, Akaabi issi ogiya oykidi barka bis; Abdiyuy hara oge oykidi barka bis.
0b1207009c	Abdiyuy ba ogiya oykidi bishin, Heko, Eeliyaasi iyara gahetis. Abdiyuy Eeliyaasa eridi ba som7uwan gufannidi, “Ta godaw Eeliyaasa, haysi nenee?” yaagis.
0b12080061	Eeliyaasi, “Ee tana; neeni bada, heko, Eeliyaasi haysan de7ees yaagada ne godaas oda” yaagis.
0b1209005f	Abdiyuy zaaridi, “Ta nena ay qohin ne tana ne aylliya hayqo gada Akaaba kushen aathada immay?
0b120a00d3	Goday, ne de7o Xoossay ero! Ta goday nena koyana mela kiitiboonna biitti woyko kawotethi baawa. Enti, ‘Eeliyaasi haysan baawa’ giya wode ne yan baynaysi tuma gideysa eranaw Akaabi deriya ayseysata caaqisees.
0b120b0048	Ha77i neeni, ‘Bada, Eeliyaasi haysan de7ees’ yaagada oda” yaagasa.
0b120c00bb	“Ta nena aggada biya wode Godaa Ayyaanay nena denthidi, ta eronna bessi efana. Ta Akaabas odin, I nena demmona ixiko, tana wodhana. Taani ne aylley na7atethafe doomada Godaa yayiya asi.
0b120d00bd	Elzabeela Godaa nabeta wodhida wode, taani entafe xeeta ekada, ishataman ishataman shaakada issi gongolon qosada, kathinne haathe immas. Yaatin, taani oothidabay new ta godaas odetibeennee?
0b120e006e	Ha77i neeni, ‘Bada, heko, Eeliyaasi haysan de7ees’ yaagada oda yaagasa. Ta odiko I tana wodhana” yaagis.
0b120f006b	Eeliyaasi, “Taani iyaw kiitetiya, Ubbaafe Wolqaama Goday ero! Tuma taani hachi Akaabas qoncana” yaagis.
0b12100045	Abdiyuy Akaabako bidi Akaabas odin, Akaabi Eeliyaasara gahetanaw bis.
0b12110049	Akaabi Eeliyaasa be7ida wode, “Isra7eele biitta buqey nenee?” yaagis.
0b12120092	Eeliyaasi zaaridi, “Isra7eele biitta buqey tana gidonashin, Godaa kiita aggidi, Ba7aale eeqata goyinnidi, biitta buqey nenanne ne aawa soo asaa.
0b121300be	Ha77i, Isra7eele asa ubbaa Qarmeloosa zuma bolla taako shiisha. Elzabeeli gibira miya oyddu xeetanne ishatamu Ba7aale nabetanne oyddu xeetu Asheera nabeta issife ha bessaa shiisha” yaagis.
0b1214005b	Hessa gisho, Akaabi kiittidi, Isra7eele asa ubbaanne nabeta Qarmeloosa zuma bolla shiishis.
0b121500c7	Eeliyaasi shiiqida asaako bidi, “Awude gakanaw nam7u wozanan daanee? Goday Xoosse gidiko iya goyinnite; Ba7aaley Xoosse gidiko iya goyinnite” yaagis. Gidoshin, asay iyaw issi qaalaka zaaribeenna.
0b12160069	Hessafe guye, Eeliyaasi, “Godaa nabetape ta xalaali attas; shin Ba7aale nabeti oyddu xeetanne ishatama.
0b121700ce	Ane nuus nam7u kormata imeto. He kormatape issuwa enti dooro; kormaa shukidi qanxeretho; ashuwa mitha bolla wotho; shin tama eethofo. Taani nam7antho korma giigisada, mitha bolla wothana; taka tama eethike.
0b121800b4	Hinte, hinte xoossaa sunthaa xeegite; taka Godaa sunthaa xeegana. Si7idi yarshuwa miya tama kiittiya xoossay, i, Xoosse gido” yaagis. Asay, “Ne giya qofay lo77o” yaagidosona.
0b121900b0	Hessa gisho, Eeliyaasi Ba7aale nabetako, “Hinte daro gidiya gisho, issi korma dooridi koyrottidi giigisite. Hinte xoossaa sunthaa xeegite; shin iyan tama eethofite” yaagis.
0b121a00fb	Enti bantaw imetida kormaa ekidi giigisidosona. Wontafe seeta gallas gakanaw Ba7aale sunthaa xeegidi, “Ba7aale, nuna si7a” yaagidi woossidosona. Shin si7etiya girsi baawa; zaariya asi bentibeenna. Banta giigisida yarsho bessa yuushuwan duridosona.
0b121b00e8	Sa7i seeta gallasa gidin, Eeliyaasi, “Hinte qaala dhoqu oothidi woossite! I Xoosse gidenne! Ooni eri, I qofan gelidaako woyko iyaw oosoy daridaako woyko mandaridaako woyko dhiskidaba gidiko denthanaw koshshees” yaagidi qelqisis.
0b121c009a	Enti banta qaala dhoqu oothidi woossidosona. Kase banta goyinniya wogaada banta asatethara suuthi goggana gakanaw tooraninne mashshan bantana caddidosona.
0b121d0080	Omarsi yarsho shiishiya wodey gakanaw enti tinbite odidosona; shin si7etiya girsi baawa; entana hayzidi zaaro immiya asi dhayis.
0b121e007b	Hessafe guye, Eeliyaasi, “Haa taako shiiqite” yaagis. Asay iyako shiiqin, laaletida Godaa yarsho bessaa zaaridi gimbis.
0b121f0087	Godaa qaalay Yayqoobako, “Ne sunthay Isra7eele gidana” yaagidi odida, Yayqooba nayta kochata taybuwan tammanne nam7u shuchata ekis.
0b1220007e	Godaa sunthan he shuchata keelidi, yarsho bessi gimbidi, tammanne oyddu litiro haathe oykiya olla yarsho bessa yuushon bookis.
0b122100de	Hessafe guye, yarsho bessan mithi wothidi, kormaa ashuwa iya qommuwan qommuwan qanxerethidi, mithaa bolla wothis. Asaako, “Oyddu baathe haathe kunthidi, yarshuwa bollanne mithaa bolla gussite” yaagis; enti gussidosona.
0b12220098	Qassika, Eeliyaasi, “Nam7antho gujite” yaagis; enti nam7antho gujidosona. Qassika, Eeliyaasi, “Heedzantho gujite” yaagis; heedzantho gujidosona.
0b12230034	Haathay yarsho bessa yuushuwan goggidi, ollan kumis.
0b1224011c	Omarsa yarsho shiishiya wode nabey Eeliyaasi yarsho bessaako shiiqidi haysada yaagidi woossis; “Abeeti Godaw, Abrahaame Xoossaw, Yisaaqa Xoossaw, Isra7eele Xoossaw, neeni Isra7eele biittan Xoosse gideysa, taani ne aylle gideysanne taani haysa ubbaa ne qaalan oothidaysi hachi ereto.
0b12250085	Abeeti Godaw, taw koya. Neeni, Goday Xoosse gideysanne enta wozanaa neeko zaarey nena gideysa ha asay erana mela taw koya!” yaagis.
0b12260067	Godaa tamay salope wodhidi, xuussa yarshuwa, mithaa, shuchaanne biitta mis; ollan de7iya haatha laacis.
0b12270072	Asa ubbay hessa be7ida wode, banta som7ora sa7an gufannidi, “Goday Xoosse! Godaa xalaali Xoosse!” yaagidosona.
0b1228008f	Eeliyaasi, “Ba7aale nabeta oykite; entafe issi asika kessi ekofo” yaagis. Asay enta oykidosona; Eeliyaasi enta Qisoona Shaafa efidi wodhis.
0b12290059	Eeliyaasi Akaabako, “Keyada ba; ma; uya; taani, wolqaama ira guunthi si7ayis” yaagis.
0b122a0082	Hessa gisho, Akaabi maanawunne uyanaw bis. Shin Eeliyaasi Qarmeloosa zuma bolla keyidi, ba som7uwa ba gulbata giddo gelsidi hokis.
0b122b00e2	Eeliyaasi ba aylliyako, “Ane bada, abbaako simmada xeella” yaagis. Iya aylley bidi xeellidi, “Aybika bentenna” yaagis. Eeliyaasi ba aylliya laapun toho, “Qassika bada xeella” yaagis. Iya aylley laapun toho xeellis.
0b122c00cc	Laapunthon, “Kushe qaaqape daronna guutha shaari abbafe keyishin be7as” yaagis. Eeliyaasi, “Bada, ‘iri nena buussu diggonna mela ne para gaariyan uttada ne soo ba’ yaagada Akaabas oda” yaagis.
0b122d0087	Guutha wodepe guye saloy kareetha shaaran dulkis; carkoy carkis; wolqaama iri bukis. Akaabi para gaariyan uttidi Izra7eela katamaa bis.
0b122e007d	Godaa wolqay Eeliyaasa bolla wodhis. Eeliyaasi ba ma7uwa xeessan pude siqidi, Izra7eela katamaa gakanaw Akaaba sinthan woxis.
0b1301005d	Eeliyaasi oothidaba ubbaanne Ba7aale nabeta ubbaa mashshan wodhidaysa Akaabi Elzabeelis odis.
0b13020093	Elzabeela, “Neeni he nabeta bolla oothidaysada wonto hannoode taani ne bolla oothonna ixiko, xoossati tana pirdo” yaagada Eeliyaasako kiittasu.
0b13030055	Eeliyaasi ba shempuwas yayyidi, ba aylliya ekidi, Yihuda biittan de7iya Barsaabe bis.
0b130400be	Issi gallasa oge mela biittan hemetis. I hemethaa aggidi issi sankara kuya garsan uttidi, “Abeeti Godaw, taw gidana; taani ta mayzatape aadhidike; ta shempuwa eka” yaagidi hayqo woossis.
0b1305007f	Hessafe guye, sankara kuya garsan zaqullidi dhiskis. I dhiskidashin, Heko, issi kiitanchoy iya bochidi, “Denda; ma” yaagis.
0b1306008c	I dendidi xeelliya wode, Heko, shucha mishan uuketidi, kaxida uythinne oto haathi iya huupheson be7is. I midi uyidaape guye simmidi dhiskis.
0b1307006f	Godaa kiitanchoy nam7antho yidi, “Eeliyaasa, neeni baana ogey daro adusse gidiya gisho, dendada ma” yaagis.
0b13080079	Eeliyaasi dendidi mis, uyis. He I mida kathaa wolqan Xoossa Zumaa Koreeba gakanaw oytamu gallasinne oytamu qamma hemetis.
0b13090070	I yaa gakidi, gongolo giddo gelidi aqis. Goday, “Eeliyaasa, haysan ay oothay?” giya Xoossa qaalay iyako yis.
0b130a00f6	Eeliyaasi, “Ubbaafe Wolqaama Godaa Xoossaas taani daro mishetas. Isra7eele asay neera caaqida caaquwa menthis; ne yarsho bessa laallidosona; ne nabeta mashshan wodhidosona. Taani tarka attas; ha77i enti ta shempuwa wodhanaw koyoosona” yaagis.
0b130b011f	Goday, “Haysafe keyada deriya huuphen ta sinthan eqa” yaagis. Eeliyaasi eqidashin, Heko, Goday iya matara aadhis. He wode wolqaama carkoy zumaa phalqerethis; zaallata tincherethis; shin Goday he carkuwa giddon baawa. Carkuwafe guye biitti qaaxis; shin Goday he biitta qaaxuwan baawa.
0b130c005d	Biitta qaaxuwape guye tami keyis; shin Goday tama giddon baawa. Tamape guye kalkashi si7etis.
0b130d00a9	Eeliyaasi he kalkashaa si7ida wode ba som7uwa afilan kammidi, kare keyidi gongoluwa pengen eqis. Heko, issi girsi Eeliyaasako, “Eeliyaasa, haysan ay oothay?” yaagis.
0b130e00ee	Eeliyaasi, “Ubbaafe Wolqaama Godaa Xoossaas taani mishetas. Isra7eele asay neera caaqida caaquwa menthidosona; ne yarsho bessa laallidosona; ne nabeta mashshan wodhidosona. Taani tarka attas; enti ta shempuwa ekanaw koyoosona” yaagis.
0b130f0086	Goday iyako, “Neeni yida ogiyara guye simmada Damasqo mela biitta ba. Neeni yaa gakiya wode Azaheela, Soore bolla kawo oothada tiya.
0b1310007a	Namisa na7aa, Iyyu Isra7eele bolla kawo oothada tiya. Ne bessan nabe oothada Abeel-Mahoola addiya Safaaxa na7aa Elsa tiya.
0b13110062	Azaheela mashshafe kessi ekiya ubbaa Iyyuy wodhana; Iyyu mashshafe kessi ekiya ubbaa Elsi wodhana.
0b13120078	Shin Ba7aale eeqa goyinnona woyko banta doonan Ba7aale eeqa yeeronna 7,000 asaa taani Isra7eelen taw ashshana” yaagis.
0b131300c8	Eeliyaasi he bessaafe dendidi bishe Safaaxa na7ay Elsi tammanne nam7u waaxa booran gade goyishin demmis; Elsi tammanne nam7antho waaxan goyees. Eeliyaasi iya matara aadhishe ba afila iya bolla yeggis.
0b131400bb	Elsi boorata essidi, Eeliyaasa geedo woxi bidi, “Taani ta aawanne ta aayiw yeera sarothada yaana; yaape simmada nena kaallana” yaagis. Eeliyaasi, “Ero ba; ta nena diggike” yaagis.
0b131500a6	Hessa gisho, Elsi guye simmidi waatha boorata shukis; boora miishiya qeridi ashuwa kathidi, asaas aathin asay midosona. Hessafe guye, dendi bidi, Eeliyaasas kiitetis.
0b1401009a	Soore kawoy Ben-Hadaadi ba olanchota ubbaa shiishis. Hastamanne nam7u kawotan, enta parataninne para gaaretan maadetidi, Samaare katamaa teqidi; iya olis.
0b14020034	Isra7eele kawa Akaabako ase kiittidi haysada yaagis;
0b14030051	“Ne biraynne ne worqay tabaa; ne machetinne ne naytape lo77oti tabaa” yaagis.
0b14040069	Isra7eele kawoy zaaridi, “Ee, ta godaw kawaw, ne gidaysa mela; taka taw de7iyaba ubbay nebaa” yaagis.
0b14050096	Qassika, kiitetida asati nam7antho bidi, “Ben-Hadaadi haysada yaagees; ‘Ne biraanne ne worqaa, ne machetanne ne nayta taw sheedha’ gada kiittas.
0b1406009b	Shin wonto hannoode ne kawo gadhuwanne ne moorinnata keethaa pilgana mela ta oosanchota yeddana. Enti ne lo77oba gada wothidaba ubbaa efana” yaagidosona.
0b140700af	Isra7eele kawoy biitta cimata ubbaa shiishidi, “Ha addey nuna dhaysanaw koyeysa be7ite. I ta machetanne ta nayta, ta biraanne ta worqaa ekanaw kiittin, ta ixabike” yaagis.
0b1408004e	Cimatinne asa ubbay, “I odiyaba si7opa! Woyko iyaw ero goopa” yaagidosona.
0b140900ef	Hessa gisho, Akaabi Ben-Hadaadi kiitida asatako, “Hinte ta godaa kawa, ‘Neeni koyro kiitida kiitaa ta polana; shin ha nam7antho kiita polanaw danda7ike’ yaagees gidi odite” yaagis. Kiitetida asati bidi hessa Ben-Hadaadas odidosona.
0b140a006b	Ben-Hadaadi, “Tana kaalliya asaas Samaare kataman issi kuuca biitti gakiko xoossati tana pirdo” yaagis.
0b140b008e	Isra7eele kawoy kiitetidi yidaysatako, “‘Tuma olanchoy olape simmishe gayresipe attishin, buroo bishe gayrenna’ yaagidi odite” yaagis.
0b140c00ab	Ben-Hadaadinne kawoti, banta dunkaaniya giddon ushshu uyishe hessa si7ida wode kawoy ba olanchotako, “Olanaw salpite” yaagidi kiittin, enti katamaa olanaw salpidosona.
0b140d00b9	Heko, issi nabey Isra7eele kawa Akaabako, “Goday ‘Ha daro olanchota ubbaa be7a? Taani hachi enta ne kushen aathada immana; ta Godaa gideysa neeni he wode erana’ yaagees” yaagis.
0b140e00cd	Akaabi, “Olaa doomanay oonee?” yaagis. Nabey, “Awuraja haareysati kiittiya na7atetha olanchoti doomo” yaagis. Kawoy, “Attiya olanchota ooni kiittanee?” yaagis. Nabey, “Neeni kiitta” yaagis.
0b140f007e	Hessa gisho, Akaabi awuraja haareysati kiittiya na7atetha olanchota, 232 shiishis. Qassi 7,000 attida Isra7eele asaa shiishis.
0b14100096	Ben-Hadaadi bana maaddida hastamanne nam7u kawotara issife dunkaaniyan uttidi ushshan mathotidashin, seeta gallas Isra7eele olanchoti olas keyidosona.
0b141100af	Awuraja haareysati kiittiya na7atetha olanchoti koyro keyidi bidosona. Ben-Hadaadi xomoosana mela kiitida asati, “Samaarepe asay keyidi yuussaa bolla de7ees” yaagidi odis.
0b14120053	Ben-Hadaadi, “Enti sigetanaw yin, woyko oletanaw yin, enta paxa oykite” yaagis.
0b14130081	Awuraja haareysati kiittiya na7atetha olanchoti salpidi, katamaape gaxa keyidosona; Isra7eele olanchoti enta kaallidi keyidosona.
0b141400b7	Issoy issoy baara ola gahetida morkiya wodhidosona. Soore asay baqatin, Isra7eele asati kaallidi yedethidosona. Qassi Soore Kawoy Ben-Hadaadi ba para asatara ba paran kessi ekidi bis.
0b14150056	Isra7eele kawoy olas keyidi, paratanne para gaareta di77is; Soore asaaka wodho buthis.
0b141600a7	Hessafe guye, nabey Isra7eele kawako bidi, “Bada nena mintha. Oothanaw bessiyaba akeekada ootha. Wonto laythi bone Soore kawoy nena nam7antho olanaw yaana” yaagis.
0b141700ad	Soore kawa moorinnati iya haysada yaagidi zoridosona; “Enta xoossati dere xoossata; enti nuna xooniday hessa gishosa. Shin nu entara denban oletiyako tuma nu enta xoonana.
0b1418006d	Neeni issiba ootha; hastamanne nam7u kawota kiittiya halaqatethafe denthada enta bessan hara halaqata shuuma.
0b141900f1	Nuuni Isra7eeletara denban oletidi xoonanaw danda7ana mela new kase wurida olanchota bessan olanchota, parata bessan parata, para gaareta bessan para gaareta wothada giigisa” yaagidosona. Kawoy Ben-Hadaadi enta zoriya ekidi hessada oothis.
0b141a005e	Kaalliya laythi bone Ben-Hadaadi Soore olanchota shiishidi, Isra7eeletara oletanaw Afeeqa bis.
