010000000b	1 Mooseksen
012521008a	Ja tarkastettuaan sen hän sanoi: "Tämä on minun poikani ihokas. Villipeto on hänet syönyt; totisesti, Joosef on raadeltu kuoliaaksi."
0125220056	Ja Jaakob repäisi vaatteensa, pani säkin lanteilleen ja suri poikaansa pitkät ajat.
01252300cd	Ja kaikki hänen poikansa ja tyttärensä kävivät häntä lohduttamaan, mutta hän ei huolinut lohdutuksesta, vaan sanoi: "Murehtien minä menen tuonelaan poikani tykö". Ja hänen isänsä itki häntä.
012524006f	Mutta midianilaiset myivät hänet Egyptiin Potifarille, joka oli faraon hoviherra ja henkivartijain päämies.
0126010078	Siihen aikaan Juuda lähti pois veljiensä luota ja asettui erään Adullamissa asuvan miehen luo, jonka nimi oli Hiira.
0126020070	Siellä Juuda näki Suua nimisen kanaanilaisen miehen tyttären, ja hän otti tämän luokseen ja yhtyi häneen.
012603004b	Ja hän tuli raskaaksi ja synnytti pojan; ja hän antoi hänelle nimen Eer.
012604004c	Ja taas hän tuli raskaaksi ja synnytti pojan ja antoi hänelle nimen Oonan.
0126050070	Ja hän synnytti vieläkin pojan ja antoi hänelle nimen Seela; ja synnyttäessään hänet hän oli Kesibissä.
0126060045	Ja Juuda otti Eerille, esikoisellensa, vaimon, jonka nimi oli Taamar.
012607005f	Mutta Eer, Juudan esikoinen, ei ollut Herralle otollinen; sentähden Herra antoi hänen kuolla.
0126080069	Niin Juuda sanoi Oonanille: "Yhdy veljesi leskeen ja ota hänet avioksesi ja herätä siemen veljellesi".
01260900b6	Mutta kun Oonan tiesi, ettei jälkeläinen olisi oleva hänen, niin hän antoi, aina kun yhtyi veljensä vaimoon, siemenensä mennä maahan, ettei hankkisi jälkeläistä veljelleen.
01260a005e	Mutta se, minkä hän teki, oli paha Herran silmissä; sentähden hän antoi hänenkin kuolla.
01260b0102	Silloin Juuda sanoi miniällensä Taamarille: "Asu leskenä isäsi talossa, kunnes poikani Seela joutuu täysikasvuiseksi". Hän näet ajatteli: "Kun ei vain tämäkin kuolisi niinkuin hänen veljensä". Niin Taamar meni pois ja jäi asumaan isänsä kotiin.
01260c00a9	Pitkän aikaa sen jälkeen Suuan tytär, Juudan vaimo, kuoli. Suruajan mentyä Juuda lähti ystävänsä adullamilaisen Hiiran kanssa Timnaan lammastensa keritsiäisiin.
01260d005e	Niin tuotiin Taamarille tämä sanoma: "Katso, appesi menee Timnaan keritsemään lampaitaan".
01260e00f3	Silloin hän riisui pois leskenvaatteensa ja verhoutui huntuun peittäytyen siihen ja istui Eenaimin portille, Timnaan vievän tien varteen. Sillä hän oli nähnyt, että vaikka Seela oli täysikasvuinen, ei häntä annettu hänelle vaimoksi.
01260f005d	Kun nyt Juuda näki hänet, luuli hän häntä portoksi; sillä hän oli peittänyt kasvonsa.
01261000cc	Ja hän poikkesi hänen luokseen tiepuoleen ja sanoi: "Anna minun yhtyä sinuun". Hän näet ei tiennyt, että nainen oli hänen miniänsä. Tämä vastasi: "Mitä annat minulle saadaksesi yhtyä minuun?"
0126110072	Hän sanoi: "Lähetän sinulle vohlan laumastani". Nainen vastasi: "Annatko minulle pantin, kunnes sen lähetät?"
01261200cc	Hän sanoi: "Mitä on minun annettava sinulle pantiksi?" Hän vastasi: "Sinettisi, nauhasi ja sauvasi, joka on kädessäsi". Niin hän antoi ne hänelle ja yhtyi häneen, ja hän tuli hänestä raskaaksi.
0126130054	Ja hän nousi ja meni sieltä ja pani pois huntunsa ja pukeutui leskenvaatteisiinsa.
012614008a	Mutta Juuda lähetti adullamilaisen ystävänsä viemään vohlaa, saadaksensa takaisin pantin naiselta; mutta hän ei löytänyt häntä.
01261500bb	Ja hän kyseli sen paikkakunnan miehiltä ja sanoi: "Missä on se pyhäkköportto, joka istui Eenaimissa tien varressa?" He vastasivat: "Ei täällä ole ollut mitään pyhäkköporttoa".
012616009e	Ja hän palasi Juudan luo ja sanoi: "En löytänyt häntä; ja myös sen paikkakunnan miehet sanoivat, ettei siellä ole ollutkaan mitään pyhäkköporttoa".
01261700a1	Silloin Juuda sanoi: "Pitäköön sen sitten, ettemme joutuisi häpeään. Katso, minä olen lähettänyt tämän vohlan, mutta sinä et ole löytänyt häntä."
01261800c5	Noin kolmen kuukauden kuluttua ilmoitettiin Juudalle: "Sinun miniäsi Taamar on harjoittanut haureutta, ja haureudesta hän on myös tullut raskaaksi". Juuda sanoi: "Viekää hänet poltettavaksi".
01261900d6	Mutta kun häntä vietiin, lähetti hän sanan apelleen sanoen: "Minä olen raskaana siitä miehestä, jonka nämä ovat". Ja hän käski sanoa: "Tarkasta, kenen tämä sinetti, nämä nauhat ja tämä sauva ovat".
01261a009b	Ja Juuda tunsi ne ja sanoi: "Hän on oikeassa minua vastaan, koska minä en antanut häntä pojalleni Seelalle". Ei hän kuitenkaan enää yhtynyt häneen.
01261b004f	Kun hänen synnyttämisensä aika tuli, katso, hänen kohdussaan oli kaksoiset.
01261c00a0	Ja hänen synnyttäessään pisti toinen kätensä ulos; kätilövaimo otti punaista lankaa ja sitoi sen hänen käteensä ja sanoi: "Tämä tuli ensiksi ulos".
01261d00c2	Mutta kun hän sitten taas veti kätensä takaisin, katso, silloin tuli hänen veljensä ulos; ja kätilövaimo sanoi: "Minkä repeämän oletkaan reväissyt itsellesi!" Ja hän sai nimen Peres.
01261e005a	Sitten tuli hänen veljensä, jonka kädessä oli punainen lanka; ja hän sai nimen Serah.
01270100b2	Ja Joosef vietiin Egyptiin, ja Potifar, egyptiläinen mies, joka oli faraon hoviherra ja henkivartijain päämies, osti hänet ismaelilaisilta, jotka olivat hänet sinne tuoneet.
012702007a	Mutta Herra oli Joosefin kanssa, niin että hän menestyi kaikessa, ja hän oleskeli isäntänsä, egyptiläisen, talossa.
012703008a	Ja hänen isäntänsä näki, että Herra oli hänen kanssaan ja että Herra antoi kaiken, mitä hän teki, menestyä hänen käsissään.
012704009e	Niin Joosef saavutti hänen suosionsa ja sai palvella häntä. Ja hän asetti hänet talonsa hoitajaksi ja uskoi hänen haltuunsa kaikki, mitä hänellä oli.
01270500e3	Ja siitä ajasta lähtien, kun hän oli uskonut hänen hoitoonsa talonsa ja kaiken, mitä hänellä oli, Herra siunasi egyptiläisen taloa Joosefin tähden, ja Herran siunaus oli kaikessa, mitä hänellä oli kotona ja kedolla.
0127060086	Niin hän jätti Joosefin haltuun kaikki, mitä hänellä oli, eikä hän itse välittänyt mistään, paitsi ruuasta, jota hän söi.
01270700b6	Mutta Joosefilla oli kaunis vartalo ja kauniit kasvot. Ja tapahtui jonkun ajan kuluttua, että hänen isäntänsä puoliso iski silmänsä Joosefiin ja sanoi: "Makaa minun kanssani".
01270800b4	Mutta hän kieltäytyi ja sanoi isäntänsä puolisolle: "Katso, isäntäni ei itse välitä mistään, mitä talossa on, vaan on uskonut minun haltuuni kaikki, mitä hänellä on.
01270900e5	Hänellä ei ole tässä talossa enemmän valtaa kuin minulla, eikä hän ole kieltänyt minulta mitään, paitsi sinut, koska olet hänen puolisonsa. Kuinka minä siis tekisin niin suuren pahanteon ja rikkoisin Jumalaa vastaan!"
01270a008a	Ja vaikka vaimo joka päivä puhui sellaista Joosefille, ei tämä suostunut makaamaan hänen vieressänsä eikä olemaan hänen kanssaan.
01270b0084	Mutta eräänä päivänä, kun Joosef tuli taloon toimittamaan askareitaan eikä ketään talonväestä ollut sisällä saapuvilla,
01270c0088	tarttui hän Joosefin vaippaan ja sanoi: "Makaa minun kanssani". Mutta tämä jätti vaippansa hänen käsiinsä, pakeni ja riensi ulos.
01270d005e	Kun hän nyt huomasi, että Joosef oli jättänyt vaippansa hänen käsiinsä ja paennut ulos,
01270e00dc	huusi hän talonväkeään ja sanoi heille näin: "Katsokaa, hän on tuonut meille hebrealaisen miehen pitämään meitä pilkkanaan; tämä tuli luokseni maatakseen minun kanssani, mutta minä huusin kovalla äänellä.
01270f0068	Ja kun hän kuuli minun kirkaisevan ja huutavan, jätti hän vaippansa viereeni, pakeni ja riensi ulos."
012710004b	Ja hän pani vaipan viereensä siksi, kunnes Joosefin isäntä tuli kotiin.
012711008d	Ja hän puhui hänelle samalla tavalla, sanoen: "Tuo hebrealainen orja, jonka olet tuonut meille, tuli luokseni pitämään minua pilkkanaan;
0127120054	mutta kun minä kirkaisin ja huusin, jätti hän vaippansa viereeni ja pakeni ulos".
012713007c	Kun hänen isäntänsä kuuli puolisonsa kertovan ja sanovan: "Näin sinun orjasi on tehnyt minulle", syttyi hänen vihansa.
0127140089	Ja Joosefin isäntä otti hänet ja pani hänet vankilaan, paikkaan, jossa kuninkaan vangit säilytettiin; ja hän jäi siihen vankilaan.
012715006d	Mutta Herra oli Joosefin kanssa ja soi hänen saavuttaa suosiota ja päästä vankilan päällikön armoihin.
012716009a	Ja vankilan päällikkö uskoi kaikki vangit, jotka vankilassa olivat, Joosefin haltuun. Ja kaikki, mitä siellä toimitettiin, tehtiin hänen toimestaan.
01271700a4	Eikä vankilan päällikkö ollenkaan valvonut sitä, mikä oli Joosefille uskottu, sillä Herra oli Joosefin kanssa. Ja Herra antoi menestyä sen, mitä hän teki.
0128010084	Ja tapahtui jonkun ajan kuluttua, että Egyptin kuninkaan juomanlaskija ja leipoja rikkoivat herraansa, Egyptin kuningasta, vastaan.
0128020068	Ja farao vihastui näihin kahteen hoviherraansa, ylimmäiseen juomanlaskijaan ja ylimmäiseen leipojaan,
012803006c	ja panetti heidät vankeuteen henkivartijain päämiehen taloon, samaan vankilaan, jossa Joosef oli vankina.
012804006e	Ja henkivartijain päämies antoi heille Joosefin heitä palvelemaan. Niin he olivat jonkun aikaa vankeudessa.
01280500b3	Ollessaan vankilassa vangittuina he molemmat, Egyptin kuninkaan juomanlaskija ja leipoja, näkivät samana yönä unta, kumpikin unensa, ja kummankin unella oli oma selityksensä.
0128060050	Ja kun Joosef aamulla tuli heidän luokseen, huomasi hän heidät alakuloisiksi.
01280700a9	Silloin hän kysyi faraon hoviherroilta, jotka olivat hänen kanssansa vankeudessa hänen isäntänsä talossa: "Miksi te olette tänään niin murheellisen näköiset?"
01280800ad	He vastasivat hänelle: "Olemme kumpikin nähneet unen, eikä ole niiden selittäjää". Ja Joosef sanoi heille: "Unien selitykset ovat Jumalan; kertokaa kuitenkin minulle".
0128090085	Niin ylimmäinen juomanlaskija kertoi unensa Joosefille ja sanoi hänelle: "Minä näin unta, ja katso, minun edessäni oli viinipuu;
01280a0078	viinipuussa oli kolme oksaa, ja samassa kun se alkoi versoa, sen kukat puhkesivat ja marjat sen rypäleissä kypsyivät.
01280b0088	Ja minulla oli faraon malja kädessäni, ja minä otin marjat ja pusersin niistä mehun faraon maljaan ja annoin maljan faraon käteen."
01280c0059	Ja Joosef sanoi hänelle: "Tämä on sen selitys: kolme oksaa merkitsee kolmea päivää.
01280d00bd	Kolmen päivän kuluttua farao korottaa sinun pääsi ja asettaa sinut jälleen virkaasi. Ja sinä annat faraon maljan hänen käteensä niinkuin ennenkin, kun olit hänen juomanlaskijansa.
01280e008c	Mutta muista minua, kun sinun hyvin käy, ja tee minulle laupeus mainitsemalla minusta faraolle ja toimittamalla minut pois tästä talosta.
01280f0099	Sillä minut on varastettu hebrealaisten maasta, enkä minä ole täälläkään tehnyt mitään, mistä minut olisi tullut panna tähän vankikuoppaan."
01281000b2	Kun ylimmäinen leipoja näki, että Joosef antoi hyvän selityksen, sanoi hän hänelle: "Myöskin minä näin unen, ja katso, kolme nisuleipäkoria oli minun pääni päällä.
012811008c	Ja ylimmässä korissa oli kaikenlaisia leivoksia faraon syötäväksi, mutta linnut söivät ne korista, joka oli minun pääni päällä."
0128120058	Joosef vastasi ja sanoi: "Tämä on sen selitys: kolme koria merkitsee kolmea päivää.
012813007f	Kolmen päivän kuluttua farao korottaa sinun pääsi ripustamalla sinut hirsipuuhun, ja taivaan linnut syövät sinun lihasi."
01281400dd	Kolmantena päivänä sen jälkeen, faraon syntymäpäivänä, tämä laittoi pidot kaikille palvelijoilleen. Silloin hän korotti palvelijainsa joukosta sekä ylimmäisen juomanlaskijan että ylimmäisen leipojan pään.
0128150081	Ylimmäisen juomanlaskijan hän asetti hänen entiseen juomanlaskijan toimeensa, niin että hän sai antaa maljan faraon käteen;
012816005f	mutta ylimmäisen leipojan hän hirtätti, niinkuin Joosef oli heille selityksessään sanonut.
012817004b	Mutta ylimmäinen juomanlaskija ei muistanut Joosefia, vaan unhotti hänet.
0129010063	Kahden vuoden kuluttua tapahtui, että farao näki unen; hän oli seisovinaan Niilivirran rannalla.
0129020069	Ja katso, virrasta nousi seitsemän kaunista ja lihavaa lehmää, jotka kävivät laitumella kaislikossa.
0129030090	Ja katso, niiden jälkeen nousi virrasta toiset seitsemän lehmää, rumia ja laihoja; ne asettuivat edellisten lehmien viereen virran rannalle.
0129040068	Ja ne rumat ja laihat lehmät söivät ne seitsemän kaunista ja lihavaa lehmää. Siihen farao heräsi.
012905007e	Mutta hän nukkui uudestaan ja näki toisen kerran unta: seitsemän paksua ja kaunista tähkäpäätä kasvoi samassa oljessa.
0129060063	Ja katso, niiden jälkeen kasvoi vielä seitsemän tähkäpäätä, ohutta ja itätuulen polttamaa.
012907008c	Ja nämä ohuet tähkäpäät nielivät ne seitsemän paksua ja täyteläistä tähkäpäätä. Siihen farao heräsi, ja katso, se oli unta.
01290800d1	Mutta aamulla hänen mielensä oli levoton, ja hän kutsutti eteensä kaikki Egyptin tietäjät ja kaikki viisaat; ja farao kertoi heille unensa, mutta ei ollut sitä, joka olisi voinut selittää ne faraolle.
0129090056	Silloin puhui ylimmäinen juomanlaskija faraolle sanoen: "Nyt minä muistan rikokseni.
01290a0085	Farao oli vihastunut palvelijoihinsa, ja hän pani minut vankeuteen henkivartijain päämiehen taloon, minut ja ylimmäisen leipojan.
01290b0075	Niin me molemmat, minä ja hän, näimme samana yönä unta; me näimme kumpikin unemme, jolla oli oma selityksensä.
01290c00c5	Ja siellä oli meidän kanssamme hebrealainen nuorukainen, henkivartijain päämiehen palvelija. Hänelle me kerroimme unemme, ja hän selitti ne meille; hän selitti, mitä kummankin uni merkitsi.
01290d006f	Ja niinkuin hän meille oli selittänyt, niin kävikin: minut asetettiin entiseen virkaani, toinen hirtettiin."
01290e0098	Silloin farao kutsutti Joosefin eteensä. Ja hänet tuotiin kiiruusti vankikuopasta. Ja hän ajatti hiuksensa ja muutti vaatteensa ja tuli faraon eteen.
01290f00ac	Ja farao sanoi Joosefille: "Minä olen nähnyt unen, eikä ole sen selittäjää, mutta olen kuullut kerrottavan sinusta, että kun kuulet unen, sinä voit sen selittää".
012910005d	Joosef vastasi faraolle sanoen: "En minä; mutta Jumala antaa faraolle suotuisan vastauksen".
0129110054	Ja farao puhui Joosefille: "Minä näin unen; olin seisovinani Niilivirran rannalla.
0129120069	Ja katso, virrasta nousi seitsemän lihavaa ja kaunista lehmää, jotka kävivät laitumella kaislikossa.
012913009b	Ja katso, niiden jälkeen nousi virrasta toiset seitsemän lehmää, kurjia, kovin rumia ja laihoja; en ole koko Egyptin maassa nähnyt niin rumia kuin ne.
012914004f	Ja nämä laihat ja rumat lehmät söivät ne ensimmäiset, ne lihavat lehmät.
01291500a2	Mutta vaikka ne olivat nielleet nämä, ei voinut huomata, että ne olivat nielleet ne, vaan ne olivat yhtä rumannäköiset kuin ennenkin. Siihen minä heräsin.
012916006a	Mutta taas minä näin unta: seitsemän täyteläistä ja kaunista tähkäpäätä kasvoi samassa oljessa.
012917006f	Ja katso, niiden jälkeen kasvoi vielä seitsemän tähkäpäätä, kuivunutta, ohutta ja itätuulen polttamaa.
01291800b1	Ja nämä ohuet tähkäpäät nielivät ne seitsemän kaunista tähkäpäätä. Minä kerroin tämän tietäjille, mutta ei kukaan kyennyt sanomaan minulle, mitä se merkitsee."
012919007a	Niin Joosef sanoi faraolle: "Faraon unet merkitsevät kumpikin samaa; Jumala on ilmaissut faraolle, mitä hän on tekevä.
01291a009b	Seitsemän kaunista lehmää merkitsee seitsemää vuotta, seitsemän kaunista tähkäpäätä merkitsee myös seitsemää vuotta; unilla on sama merkitys.
01291b00c7	Ja seitsemän laihaa ja rumaa lehmää, jotka nousivat niiden jälkeen, merkitsee seitsemää vuotta, ja seitsemän tyhjää, itätuulen polttamaa tähkäpäätä merkitsee seitsemää nälkävuotta.
01291c0065	Tätä minä tarkoitin, kun sanoin faraolle: Jumala on antanut faraon nähdä, mitä hän on tekevä.
01291d004f	Katso, tulee seitsemän vuotta, jolloin on suuri viljavuus koko Egyptin maassa.
01291e0099	Mutta niitä seuraa seitsemän sellaista nälkävuotta, että Egyptin maan entinen viljavuus kokonaan unhottuu, ja nälänhätä tuottaa maalle häviön.
01291f0085	Eikä enää tiedetä mitään maassa vallinneesta viljavuudesta sitä seuraavan nälänhädän vuoksi, sillä se on oleva ylen kova.
0129200083	Mutta että uni toistui faraolle, se tietää, että Jumala on asian varmasti päättänyt ja että Jumala antaa sen pian tapahtua.
012921006b	Nyt valitkoon siis farao ymmärtäväisen ja taitavan miehen ja asettakoon hänet Egyptin hallitusmieheksi.
0129220084	Näin tehköön farao: asettakoon päällysmiehiä maahan ja ottakoon viidennen osan Egyptin maan sadosta seitsemänä viljavuotena.
01292300a6	Ja koottakoon näinä hyvinä vuosina, jotka tulevat, kaikki niiden sato ja kasattakoon viljaa faraon haltuun, talletettakoon sato kaupunkeihin ja säilytettäköön,
012924009d	niin että maalla on eloa säästössä seitsemän nälkävuoden varalle, jotka kohtaavat Egyptin maata. Niin ei maa joudu perikatoon nälänhädän aikana."
0129250040	Tämä puhe miellytti faraota ja kaikkia hänen palvelijoitansa.
0129260069	Ja farao sanoi palvelijoilleen: "Voisimmeko löytää ketään, jossa on Jumalan henki niinkuin tässä?"
0129270094	Ja farao sanoi Joosefille: "Koska Jumala on sinulle ilmoittanut kaiken tämän, ei ole ketään niin ymmärtäväistä ja taitavaa, kuin sinä olet.
012928008d	Hoida sinä minun taloani, ja sinun käskyäsi totelkoon kaikki minun kansani; ainoastaan valtaistuimen puolesta minä olen sinua korkeampi."
012929005a	Ja farao sanoi Joosefille: "Katso, minä asetan sinut koko Egyptin maan hallitusmieheksi".
01292a00a4	Ja farao otti sinettisormuksensa kädestään ja pani sen Joosefin käteen ja puetti hänen ylleen hienot pellavavaatteet ja ripusti kultakäädyt hänen kaulaansa.
01292b00a5	Ja hän antoi hänen ajaa omissa, lähinnä parhaissa vaunuissaan, ja hänen edellään huudettiin: abrek! Niin asetettiin hänet koko Egyptin maan hallitusmieheksi.
01292c0088	Ja farao sanoi Joosefille: "Minä olen farao, mutta sinun tahtomattasi älköön kukaan nostako kättä tai jalkaa koko Egyptin maassa".
01292d00a6	Ja farao nimitti Joosefin Saafenat-Paneahiksi ja antoi hänelle puolisoksi Aasenatin, Oonin papin Poti-Feran tyttären. Niin Joosef lähti tarkastamaan Egyptin maata.
01292e009e	Joosef oli kolmenkymmenen vuoden vanha, kun hän tuli faraon, Egyptin kuninkaan, palvelijaksi. Ja Joosef lähti faraon luota ja kulki läpi koko Egyptin maan.
01292f0037	Ja seitsemänä viljavuotena maa kasvoi ylen runsaasti.
01293000d0	Ja näinä seitsemänä hyvänä vuotena, jotka tulivat Egyptin maahan, hän kokosi kaikkea eloa ja talletti sen kaupunkeihin. Hän talletti kuhunkin kaupunkiin sen elon, joka tuotiin ympäristön vainioilta.
012931009f	Niin Joosef kasasi viljaa niinkuin meren hiekkaa, ylen suuret määrät, siihen asti että lakattiin sitä mittaamasta, sillä se ei ollut enää mitattavissa.
012932007e	Joosefille syntyi, ennenkuin nälkävuosi tuli, kaksi poikaa, jotka Aasenat, Oonin papin Poti-Feran tytär, synnytti hänelle.
012933008a	Esikoiselle Joosef antoi nimen Manasse, "sillä", sanoi hän, "Jumala on saattanut minut unhottamaan kaikki vaivani ja koko isäni kodin".
0129340077	Toiselle hän antoi nimen Efraim, "sillä", sanoi hän, "Jumala on tehnyt minut hedelmälliseksi kärsimysteni maassa".
012935004a	Ne seitsemän viljavuotta, jotka tulivat Egyptin maahan, kuluivat loppuun.
01293600a1	Senjälkeen alkoi seitsemän nälkävuotta, niinkuin Joosef oli sanonut, ja tuli nälänhätä kaikkiin maihin, mutta Egyptin maassa oli leipäviljaa kaikkialla.
01293700bf	Mutta koko Egyptin maa näki nälkää, ja kansa huusi faraolta leipää. Silloin farao sanoi kaikille egyptiläisille: "Menkää Joosefin luo ja tehkää, mitä hän käskee teidän tehdä".
0129380094	Kun nälkä ahdisti koko maata, avasi Joosef kaikki varastot ja myi viljaa egyptiläisille. Mutta nälänhätä tuli yhä kovemmaksi Egyptin maassa.
0129390070	Ja kaikista maista tultiin Egyptiin Joosefin luo ostamaan viljaa, sillä kaikissa maissa oli kova nälänhätä.
012a010067	Mutta kun Jaakob sai tietää, että Egyptissä oli viljaa, sanoi hän pojillensa: "Mitä epäröitte?"
012a0200a4	Ja hän sanoi: "Katso, minä olen kuullut, että Egyptissä on viljaa. Menkää sinne ja ostakaa meille sieltä viljaa, että pysyisimme hengissä emmekä kuolisi."
012a030041	Niin kymmenen Joosefin veljeä lähti ostamaan viljaa Egyptistä.
012a040094	Mutta Benjaminia, Joosefin veljeä, Jaakob ei lähettänyt hänen veljiensä mukana, sillä hän pelkäsi, että häntä kohtaisi jokin onnettomuus.
012a05006d	Niin Israelin pojat tulivat muiden tulijain mukana ostamaan viljaa, sillä Kanaanin maassa oli nälänhätä.
012a0600a4	Mutta Joosef oli vallanpitäjänä maassa; hän myi viljaa kaikelle maan kansalle. Niin Joosefin veljet tulivat ja kumartuivat hänen edessään kasvoilleen maahan.
012a0700d5	Ja Joosef näki veljensä, ja hän tunsi heidät, mutta tekeytyi heille vieraaksi, puhutteli heitä ankarasti ja kysyi heiltä: "Mistä te tulette?" He vastasivat: "Kanaanin maasta tulemme, ostamaan elintarpeita".
012a08003d	Ja Joosef tunsi veljensä, mutta he eivät tunteneet häntä.
012a090094	Silloin Joosef muisti unet, jotka hän oli nähnyt heistä, ja sanoi heille: "Te olette vakoojia; olette tulleet katsomaan, mistä maa olisi avoin".
012a0a0053	He vastasivat hänelle: "Ei, herra; palvelijasi ovat tulleet ostamaan elintarpeita.
012a0b0063	Me olemme kaikki saman miehen poikia, olemme rehellisiä miehiä; palvelijasi eivät ole vakoojia."
012a0c0061	Mutta hän sanoi heille: "Ei ole niin, vaan te olette tulleet katsomaan, mistä maa olisi avoin".
012a0d00a9	He vastasivat: "Meitä, sinun palvelijoitasi, on kaksitoista veljestä, saman miehen poikia Kanaanin maasta; nuorin on nyt kotona isämme luona, ja yhtä ei enää ole".
012a0e004c	Joosef sanoi heille: "Niin on, kuin olen teille puhunut: te olette vakoojia.
012a0f0088	Näin te tulette koeteltaviksi: niin totta kuin farao elää, te ette pääse täältä lähtemään, ellei nuorin veljenne tule tänne.
012a1000d8	Lähettäkää yksi joukostanne noutamaan veljenne tänne, mutta teidän muiden on jääminen tänne vangeiksi, että koeteltaisiin, oletteko puhuneet totta; muuten, niin totta kuin farao elää, te olette vakoojia."
012a110037	Ja hän panetti heidät vankeuteen kolmeksi päiväksi.
012a120086	Mutta kolmantena päivänä Joosef sanoi heille: "Jos tahdotte elää, niin tehkää näin, sillä minä olen Jumalaa pelkääväinen:
012a1300ca	jos olette rehellisiä miehiä, niin jääköön yksi teistä, veljeksistä, vangiksi vankilaan, jossa teitä säilytettiin, mutta te muut menkää viemään kotiin viljaa perheittenne nälänhätään.
012a140092	Ja tuokaa nuorin veljenne minun luokseni. Jos teidän puheenne siten todeksi vahvistuu, niin vältätte kuoleman." Ja heidän täytyi tehdä niin.
012a1500f8	Mutta he sanoivat toinen toisellensa: "Totisesti, me olemme syylliset sen tähden, mitä teimme veljellemme; sillä me näimme hänen sielunsa tuskan, kun hän anoi meiltä armoa, emmekä kuulleet häntä. Sentähden on meille tullut tämä tuska."
012a1600b0	Ruuben vastasi heille sanoen: "Enkö minä sanonut teille: 'Älkää tehkö pahoin nuorukaista vastaan!' Mutta te ette kuulleet minua; katsokaa, nyt kostetaan hänen verensä."
012a17005f	Mutta he eivät tienneet, että Joosef ymmärsi heitä, sillä hän puhui heille tulkin kautta.
012a1800bc	Ja hän kääntyi pois heistä ja itki. Sitten hän kääntyi taas heihin päin ja puhui heidän kanssaan. Ja hän otti heidän joukostaan Simeonin ja vangitutti hänet heidän nähtensä.
012a1900a9	Ja Joosef käski täyttää heidän säkkinsä viljalla ja panna jokaisen rahat takaisin hänen säkkiinsä sekä antaa heille evästä matkalle. Ja heille tehtiin niin.
012a1a0043	Ja he sälyttivät viljansa aasien selkään ja lähtivät sieltä.
012a1b0073	Kun sitten eräs heistä yöpaikassa avasi säkkinsä syöttääkseen aasiansa, huomasi hän rahansa säkin suussa.
012a1c00d5	Hän sanoi veljilleen: "Minulle on annettu rahani takaisin; katso, se on minun säkissäni". Silloin heidän sydämensä vavahti, ja he katsoivat säikähtyneinä toisiinsa sanoen: "Mitä Jumala on meille tehnyt?"
012a1d0079	Tultuansa isänsä Jaakobin luo Kanaanin maahan he ilmoittivat hänelle kaikki, mitä heille oli tapahtunut, ja sanoivat:
012a1e007d	"Mies, joka on sen maan valtiaana, puhutteli meitä ankarasti ja kohteli meitä, niinkuin olisimme olleet maata vakoilemassa.
012a1f0052	Mutta me sanoimme hänelle: 'Olemme rehellisiä miehiä emmekä mitään vakoojia;
012a200081	meitä on kaksitoista veljestä, saman isän poikia; yhtä ei enää ole, ja nuorin on nyt kotona isämme luona Kanaanin maassa'.
012a2100ca	Mutta mies, sen maan valtias, sanoi meille: 'Siitä minä saan tietää, oletteko rehellisiä miehiä: jättäkää yksi veljistänne minun luokseni; ottakaa sitten viljaa perheittenne nälänhätään.
012a2200c9	Ja menkää ja tuokaa nuorin veljenne luokseni, saadakseni tietää, ettette ole vakoojia, vaan rehellisiä miehiä. Sitten minä annan teille veljenne takaisin, ja te saatte vapaasti liikkua maassa'."
012a2300a8	Kun he sitten tyhjensivät säkkinsä, niin katso, kunkin rahakukkaro oli hänen säkissään; ja nähdessään rahakukkaronsa he sekä heidän isänsä peljästyivät.
012a2400c2	Ja heidän isänsä Jaakob sanoi heille: "Te teette minut lapsettomaksi; Joosefia ei enää ole, Simeonia ei enää ole, ja Benjamininkin te tahdotte viedä minulta; kaikki tämä kohtaa minua".
012a2500b2	Ruuben vastasi isälleen sanoen: "Saat surmata minun molemmat poikani, jos en tuo häntä sinulle takaisin; anna hänet minun huostaani, niin minä tuon hänet sinulle takaisin".
012a26010b	Mutta hän sanoi: "Ei minun poikani saa lähteä teidän kanssanne, sillä hänen veljensä on kuollut, ja hän on yksin jäljellä; jos onnettomuus kohtaa häntä matkalla, jolle aiotte lähteä, niin te saatatte minun harmaat hapseni vaipumaan murheella tuonelaan".
012b010024	Mutta nälänhätä oli maassa kova.
012b0200a7	Ja kun he olivat syöneet loppuun sen viljan, jonka olivat tuoneet Egyptistä, sanoi heidän isänsä heille: "Menkää jälleen ostamaan meille vähän elintarpeita".
012b030094	Juuda vastasi hänelle sanoen: "Se mies teroitti meille teroittamalla: 'Ette saa tulla minun kasvojeni eteen, ellei veljenne ole teidän kanssanne'.
012b04005e	Jos annat veljemme seurata meidän mukanamme, niin me lähdemme ostamaan sinulle elintarpeita.
012b050090	Mutta jos et anna, niin emme lähde; sillä se mies sanoi meille: 'Ette saa tulla minun kasvojeni eteen, ellei veljenne ole teidän kanssanne'."
012b06007f	Israel sanoi: "Minkätähden teitte niin pahasti minua kohtaan, että ilmaisitte tuolle miehelle teillä olevan vielä veljen?"
012b0700fe	He vastasivat: "Mies kyseli tuiki tarkasti meitä ja meidän sukuamme, sanoen: 'Elääkö isänne vielä? Onko teillä vielä veljeä?' Silloin me ilmoitimme hänelle, niinkuin asia on. Saatoimmeko tietää, että hän sanoisi: 'Tuokaa tänne veljenne'?"
