2800000006	Matiɔ
2a07070091	Akɔ gia yə ŋgaiŋ yɛiŋ a ŋgaiŋ kpɛiŋniki kə ka ŋgaiŋ dzə buku i wɔ wə. Ayakalə, a wɔ dzâka a dzakani ma mfa wi ŋgaiŋ bɔnih.
2a07080131	A ŋgaiŋ tə kɔ mi i mi widɔkɔ chɛiŋ wə wi kaŋaki ŋga, ŋgaiŋ tə num mi bəh bəni bə jum i ŋgaiŋ chɛiŋ, a ŋgaiŋ si dzaka i widɔkɔ a, ‘Tsə̂,’ wi tsə a tsəni, i widɔkɔ a, ‘Dzə̂,’ wi dzə a dzəni, ŋgaiŋ dzaka i mfa wi ŋgaiŋ tə a, ‘Fə̂ lə,’ wi fə a fəni.”
2a07090111	Jɔbi wə Jisɔs nì wɔkɔ gia yiwɔ yakadəiŋ, dzaka wɔm wi, wi fiəni gwu ka dzaka i mbaŋ wi bəni bə̀ bɔ nì biəliki wi a, “Mih fukuki gia yi ŋkɔŋ i mbɛiŋ a, mih kɛiŋki ki yɛiŋ kə mi widɔkɔ i Islae, wə wi jiə ŋkaiŋni wi shɔm ka mi wələ.”
2a070a0070	Asi bəni bə̀ tikwili wi bəni bə jum nì faaŋ nì fiəni tsə dzu, ka yɛiŋ num mfa wiwɔ si bɔnih lɔ.
2a070b008d	Asi yəmaka nì tsə, Jisɔs bəh bwa bu bə mbaŋ nyə ka tsəki i kwili widɔkɔ wə bə bɔɔŋ a Nayin, mbaŋ wi bəni kwu i wi chɛiŋ.
2a070c012f	Asi bɔ nì bukuki tsəki i dzaka ki mbaiŋ kə ki liəki tsəki i kwili wiwɔ wə, bɔ dzaka a bɔ tsɛiŋ ka yɛiŋ bə giŋ buku dzə bəh waiŋ num wi kpi, a num a wi i nih wi kaŋ. Nih wi nì kɔ kpə ŋkwu. Mbaŋ wi bəni i kwili wiwɔ wə fɛiŋ num bɔ kwu i nih waiŋ wiwɔ chɛiŋ biəli wi.
2a070d005d	Jɔbi wə Bah nì yɛiŋ kpaŋa wiwɔ, nshɛiŋ kwa wi, wi dzaka i wi a, “Ki də̂ kə.”
2a070e00b5	Si wi dzaka yakadəiŋ, ka tsə kɔm kimbuŋ kə bə nì giŋ wini wiwɔ yɛiŋ. Bəni bə̀ bɔ nì giŋ wi ka num. Wi dzaka a, “Waiŋ sumi, mih dzakaki i wɔ, dzâ bɛiŋ!”
2a070f005a	Wi ka dza num bəh chwɔŋ, yisi i dzakaki, Jisɔs kaŋa wi i tsɛiŋ wə ka nya i nih wi.
2a071000b1	Si bəni bəchi yɛiŋ yakadəiŋ, dzaka wɔm bɔ. Bɔ yisi i chɔŋyiki Nyɔ dzakayi a, “Mi wi ntum wi Nyɔ wimbum dzə buku i buku kintəəŋ. Nyɔ dzə i gamti bəni bu.”
2a0711005a	Ntum wələ kɔm Jisɔs waŋ tsə Judea wichi bəh i bitumi biə bi kɔ kɔmsi fɛiŋ wə.
2a0712006d	Jɔbi wə bwa bə mbaŋ bə Jɔn nì wɔkɔ tə gia yiwɔ yichi, tsə fuku i wi. Wi bɔɔŋ bədɔkɔ bəfa,
2a0713007b	Faaŋ i Bah a bɔ tsə̂ bîkə i wi a, “Akɔ a wi wə wi nì kaŋaki i bi dzə ma buku wɔ̂kɔliki num widɔkɔ a?”
2a071400b6	Jɔbi wə bɔ nì tsə yɛiŋ Jisɔs dzaka i wi a, “Jɔn Njulibɔkɔ faaŋ buku i bikə i wɔ a, akɔ a wɔ wə wɔ ni kaŋaki i bi dzə a? Ma buku wɔ̂kɔliki num widɔkɔ a?”
2a071500af	Bɔ nì bikəki yakadəiŋ, a num a jɔbi wə Jisɔs si chuku bəni bə jwɛ́iŋ bəduli, wi bwili biŋ'waka bichu i gwu yi bəni wə, wɛli dzə́kəh yi bimfəkə bəduli.
2a0716016c	Jisɔs chukuli i bɔ a, “Mbɛiŋ fîəni tsə̂ fûku i Jɔn gia yə mbɛiŋ yɛiŋ bəh yə mbɛiŋ wɔkɔ. Bimfəkə yɛiŋ di, bəni bə̀ bɔ gbɔki nyaniki nyani chəŋ, bəni bə̀ bɔ gwɛiŋki bəh jwɛiŋ yi kumyini bɔ bɔnih. Bichini wɔkɔ gia, bəni bə̀ bɔ kpiyi fiəni dza bəwɔm, bə chu fuku tə ntum wi ndzɔŋni wi Nyɔ i bəni bə kifuu.
2a0717003c	Kimbɔiŋsi kimbum kɔ i mi wə wi ka məŋni dəkə mih.”
2a071800d4	Jɔbi wə bəni bə̀ Jɔn nì faaŋ nì fiəni nyə, Jisɔs ka yisi i dzakaki i mbaŋ wi bəni kɔm Jɔn, bikə a, “Mbɛiŋ nì buku tsə chwa i tsə yɛiŋ num nə a? Gaŋ biə fiəkə tsəki bi nəŋni a?
2a071900db	Mbɛiŋ ni buku tsə i yɛiŋ nə? Mi wə wi si tum bəmbuŋ bə bɔnini i gwu wə a? Mbɛiŋ wɔ̂kɔli, bəni bə̀ bɔ si kaŋa gwu bəh bəmbuŋ bə ləkəli chu wɔkɔ ndzɔŋni, bəmaka si nɔ num i bəntɔŋ wə.
2a071a0080	Mbɛiŋ bə́ buku tsə i yɛiŋ nə a? Mi wi ntum wi Nyɔ ma? Aaŋ, mih fukuki i mbɛiŋ a, akɔ mi wi tsə mi wi ntum wi Nyɔ.
2a071b00b1	Akɔ wi wə bə nì nyaka kɔm wi, Nyɔ nì dzaka a, ‘Wɔ̂kɔli, mih ni chiŋsi lə mi wuŋ wi ntum, ma wi tsə i wɔ nshiŋ, wi tsə kɛiŋsi dzəh ya ka wɔ bi dzəki.’
2a071c00fd	Mih fukuki i mbɛiŋ a, i kintəəŋ ki bəni bə̀ a bwɔ miŋkpaŋa, mi widɔkɔ kɔkə yɛiŋ wə wi kɔ mi wimbum wə wi tsəki Jɔn Njulibɔkɔ. Ayakalə, mi wə wi kɔ na wi nchiŋ i kintəəŋ ki ŋkuŋ bi Nyɔ wə, wi kɔ wi kɔkni tsə Jɔn.”
2a071d00d5	Bəni bəchi na bəh bəni bə̀ bɔ nì kwaki kiŋwakti nì wɔkɔ si Jisɔs dzaka a Jɔn nì kɔ mi wi ntum wi Nyɔ, bɔ kɔksi ŋkuŋ bi Nyɔ a bi kɔ bi chəŋ, kɔm bɔ tə nì bum Jɔn juli bɔ i bɔkɔ.
2a071e00a7	Ayakalə, Bəfalasi bəh bəni bə̀ bɔ nì tɔksiki kiəki bənchi bə Nyɔ nəiŋma fibɔ ntum wi ndzɔŋni wi Nyɔ wiwɔ, ka nəiŋma a Jɔn ma juli bɔ i bɔkɔ.
2a071f0074	Jisɔs ka dza dzaka i bɔ a, “Mih ki fəkəniki ŋgɔkɔ wi bəni wi liə wələ bəh finə a? Bɔ kɔ ka finə a?
2a072000cb	Mih ki fukuki lə si bɔ kɔ, bɔ kɔ aka bwa, bɔ numyi i di bi shi wə, ka bɔɔŋki bədɔkɔ bikə i bɔ a, ‘Buku tɔŋki sɔŋ mbɛiŋ biŋ kə kɔm nə? Nya ja yi kpi mbɛiŋ bum kə kɔm nə?’
2a07210088	Jɔn Njulibɔkɔ nì dzə, wi dzi kə biɛiŋ bidzini mu kə mbih, mbɛiŋ ka dzakaki a wi kaŋaki lə chinda wi ŋkpɛli i gwu yi mə.
2a072200cf	Mi wə yɛli wi kɔ Waiŋmi dzə, wi dzi, chu mu, mbɛiŋ dzaka a bə yɛ̂iŋ si wi məyiki nnyaki dzɛiŋ, məyiki mbih, wi chu num nsɛiŋ bəh bəni bə̀ bɔ kwaki kiŋwakti bəh bəni bəchu bədɔkɔ.
2a07230056	Ayakalə, bəni bə̀ bɔ bumki mfi bi Nyɔ, kɔ bə̀ bɔ yɛiŋ a, bi kɔ chəŋ.”
2a07240070	Mi wi Falasi widɔkɔ nì dza laka Jisɔs a wi dzə dzi i ŋgaiŋ dzu. Jisɔs bum ka tsə num ka dziki bəh wi.
2a072500c4	Kpaŋa wi tɔkɔlini widɔkɔ num fɛiŋ i kwili wiwɔ wə. Wi ka wɔkɔ a Jisɔs dziki i mi wi Falasi dzu, wi ka dzɔ finsɔkɔ fi fiaŋsi fidɔkɔ fi fitsɛŋə yindzɔŋni, tsə bəh fi fɛiŋ.
2a072600b6	Wi tsə liə num i Jisɔs jum, ka yisi i dəki, mindəm shi i gvu yi Jisɔs wə. Wi ka ŋgwuŋ kuku, ka sɔki gvu yi Jisɔs bəh juŋyifwu, kɔmyi yi ka fiaŋsiki bəh fiaŋsi biwɔ.
2a072700f3	Mi wi Falasi wə wi nì bɔɔŋ Jisɔs a wi dzə̂ dzî, yɛiŋ yaka, kwaka i shɔm yi wə a, “Asi kɔ a mi wələ fa numki mi ntum wi Nyɔ, ma wi kiə gia yə kpaŋa wələ wi kɔmyiki wi lə kɔ bəh yi, a wi kɔ kpaŋa wi tɔkɔlini.”
2a07280087	Jisɔs ka dza dzaka i mi wi Falasi wiwɔ a, “Samɔn, mih kaŋaki lə gia i dzaka i wɔ.” Wi chukuli a, “Mi wi lanini, dzâka.”
2a0729009a	Jisɔs ka yisi a, “Mi widɔkɔ nì kɔ num wi fwasi bəni bəfa bəh kpɔ, fwasi mi widɔkɔ bəh bədanali gi yite, fwasi widɔkɔ bədanali mbaŋshi.
2a072a00a4	Wi nì gaka bɔ bəchi i fiəni gɔm, wi ka bee kpɔ wiwɔ i bɔ. I liə wɔ yɛiŋ a i bəni bəfa bələ kintəəŋ, mi wə wi kɔŋki wi nalə kɔ winaiŋ a?”
2a072b0068	Samɔn chukuli a, “Akɔ i numki mi wə wi nì fwa widuli.” Jisɔs bum a, “Wɔ chukuli ndzɔŋ.”
2a072c0113	Si wi bum yakadəiŋ, fiəni gwu tsɛiŋ kpaŋa wə, ka dzaka i Samɔn a, “Wɔ yɛiŋ kpaŋa wələ? Si mih si dzə i wɔ dzu, wɔ si ka kɔŋ i nya na mih bəh mwi, i wɔkɔ gvu yiŋ yɛiŋ. Ayakalə, kpaŋa wələ wɔkɔ lɔ gvu yiŋ num bəh mindəm, sɔ bəh juŋyifwu.
2a072d0078	Wɔ si ka bɔni i mih na i kɔmyi mih. Ayakalə, na jɔbi wə mih si dzə fa, kɔ a kpaŋa wələ si wi kɔmyi gvu yiŋ.
2a072e0086	Wɔ si ka fiaŋsi dəkə fwu wuŋ bəh fiaŋsi. Ayakalə, kpaŋa wələ fiaŋsi lɔ gvu yiŋ num bəh fiaŋsi bi tsɛŋə yindzɔŋni.
2a072f00bf	Ayakadəiŋ, mih fukuki i wɔ a, kpaŋa wələ chusi kiŋkɔŋ kimbum kɔm bə chu bi biduli biə mih dalinya. Ayakalə, mi wə bə dalinya chu bi num bi twɛsi chusiki kiŋkɔŋ kitwɛsi.”
2a07300043	Jisɔs ka dzaka i kpaŋa wiwɔ a, “Mih si dalinya lɔ chu bia.”
2a07310087	Bəni bə̀ bəh bɔ nì dziki ka yisi i shwiŋyiki dzakayi a bɔ bɔ a, “Wələ kɔ ndə wə wi kɔ na i dalinya chu bi bəni a?”
2a07320076	Jisɔs ka fiəni dzaka i kpaŋa wiwɔ a, “Nyə̂ mfia bindzɔŋ, kɔm bə shɔm yə wɔ jiə i mih, yi bwili wɔ.”
2a080100bb	I Jɔbi widɔkɔ wə twɛsi, Jisɔs nyə ka nyaniki i kikwili kimbum wə bəh bidi wə i fukuki ntum wi ndzɔŋni kɔm ŋkuŋ bi Nyɔ. Bwa bu bə mbaŋ bə̀ jwɔfi ntsɔ bəfa biəli wi,
2a080200ee	bəh bəkaŋa bədɔkɔ bə̀ wi nì chuku jwɛiŋ yibɔ bəh bə̀ wi nì bwili biŋ'waka bichu i bɔ wə. Bəkaŋa bələ nì kɔ Meli wə bə nì bɔɔŋki a Magdalen, wə wi nì bwili bəchinda bə ŋkpɛli i gwu yi wə nanitaŋ.
2a080300c9	Jɔana wə nyuwi nì kɔ Chusa wi nì nɔmki i Hɛlɔd, bəh Susana bəh bəkaŋa bədɔkɔ bəduli. Bɔ nì nyaniki yakadəiŋ, bwili biɛiŋ i biba bibɔ wə, i gamti Jisɔs bəh bwa bu bə mbaŋ.
2a0804007b	Bəni nì dza nyəki dzəki i di di wə ka dzəki i Jisɔs. Jɔbi wə mbaŋ wi bəni nì jikə fɛiŋ, wi ti ndi i bɔ a.
2a080500a5	“Mi nì laa i tsə mu ŋgɔkɔ. Asi wi nì muki ŋgɔkɔ wiwɔ, bədɔkɔ gbɔyi i dzəh, bəni dəŋyi bəh gvu, minyəni mə mɔ fuliki bɛiŋ dzə chumyi dzi.
2a08060067	Ŋgɔkɔ widɔkɔ gbɔyi i di bi kitəh wə, ka buku yaka ka kpiyi kɔm di biwɔ nì kɔ di bi wɔmni.
2a08070079	Ŋgɔkɔ widɔkɔ gbɔyi i bifaka wə, ka buku yaka bə́ kɔ bəh bifaka biwɔ, bi ka baŋ ŋgɔkɔ wiwɔ a wi ma kɔki.
2a080800da	Widɔkɔ gbɔyi num i nshwaiŋ yindzɔŋni wə, wi buku yaka ka kɔ, ka wum mintam gbi mɔ du tsə si bə nì mu.” Si Jisɔs ti ndi wiwɔ yakadəiŋ ka dzaka a, “Mi wə wi kaŋaki bintuni i wɔkɔ, wi wɔ̂kɔ.”
2a08090049	Bwa bu bə mbaŋ nì dza fiəni bikə i wi a ndi wələ chusiki a nə a?
2a080a0121	Wi chukuli a, “Akɔ i mbɛiŋ bələ bə̀ Nyɔ fə a mbɛiŋ kiə gia yə yi nyumiki i ŋkuŋ bi Nyɔ wə. Ayakalə, bəni bədɔkɔ wɔkɔki fibɔ num i bəndi wə, ka yi ni num asi yi nì kɔ lɔ a, ‘Bɔ bi tsɛiŋki di, bɔ yɛiŋ kə, bɔ bi wɔkɔki gia, bɔ wɔkɔ kiə kə.’
2a080b0054	Mbɛiŋ wɔkɔ la fwu wi gia wə ndi wələ chusiki. Ŋgɔkɔ wiwɔ kɔ gia yi Nyɔ.
2a080c00a0	Ŋgɔkɔ wə wi nì gbɔ i dzəh, kɔ bəni bə̀ bɔ wɔkɔki gia yi Nyɔ Satan dzə dzɔ bwili gia yiwɔ i shɔ́m yibɔ wə, ka bɔ ma bum i buku i chu wə.
2a080d00fe	Ŋgɔkɔ wə wi nì gbɔ i di bi kitəh wə, kɔ bəni bə̀ bɔ wɔkɔki gia yi Nyɔ, bɔ dzɔ yi bəh kinsaŋli, ayakalə, yi kaŋa kə gaaŋ i shɔ́m yibɔ wə, kimbum kibɔ kɔ a dzu yi dzaka wə. Jɔbi wə mɔmsi dzə, bɔ gbɔyi i mbum wibɔ wə.
2a080e00c2	Ŋgɔkɔ wə wi nì gbɔ i bifaka wə kɔ bəni bə̀ bɔ wɔkɔki gia yi Nyɔ, jɔbi wə bɔ tsəki kifum, bəh mbum, bəh ndzɔŋni bi biɛiŋ bi mbi wələ dzə jikə baŋ gia yiwɔ yi laka.
2a080f00ef	Ŋgɔkɔ wə wi nì gbɔ i nshwaiŋ yindzɔŋni wə, akɔ num bəni bə̀ bɔ nì kaŋaki shɔ́m yindzɔŋni, bə̀ bɔ wɔkɔki gia yi Nyɔ, jiə yi i shɔ́m yibɔ wə, ka kaŋa shɔm, ka fəki asi yi nəŋki tsə a ninshiŋ ninshiŋ.
2a081000db	Mi si baiŋsi kə naka ki baiŋsini i chu dzɔ kah i kwusi baŋ yɛiŋ bɛiŋ, nabə i ləkə jiə i kigasi. Wi kaŋaki i tuŋ ki i di biə bə si tuŋ ka ki baiŋki i na ndə wə wi liə i dzu, wi yɛiŋ baiŋni biwɔ.
2a08110082	Gia yichi yə yi nyumiki bi bukuki lə i baiŋni wə, bəh biɛiŋ bi jum wə jum wə biə bi nyumiki bi bukuki lə i baiŋni wə.
2a08120100	Ayakadəiŋ, jɔbi wə mbɛiŋ wɔkɔliki gia yi Nyɔ, mbɛiŋ ka wɔ̂kɔliki bindzɔŋ, kîə a mi wə wi kaŋaki, bə bi kpɛiŋsiki lə. Ayakalə, mi wə wi kaŋaki kə, na fi twɛsi fiə wi kwakaki a wi kaŋaki lə bə bi dzɔ bwiliki lə fi i wi.”
2a0813007d	Nih Jisɔs bəh bwa bə nih bə Jisɔs ka dzə num i biŋ, yi gaka bɔ i liə tsə kɔm mbaŋ wi bəni nì kwu fɛiŋ nalə.
2a08140055	Mi widɔkɔ fuku i wi a, “Nih wa bəh bwa bə nah kɔ i biŋ nəŋ i yɛiŋ wɔ.”
2a08150075	Wi dzaka i bɔ a, “Nih wuŋ bəh bwa bə nih bəŋ kɔ bəni bə̀ bɔ wɔkɔki gia yi Nyɔ, fə asi yi nəŋki.”
2a081600a7	A num chɔkɔ bidɔkɔ, Jisɔs dzaka i bwa bu bə mbaŋ a, “Bukumbɛiŋ dâŋ bûku tsə̂ i kiwuŋ ki bɔkɔ kə yaka wə.” Bɔ ka liə i ŋgwuki wə ka daŋki.
2a081700cb	Si bɔ nì daŋki, Jisɔs dza gbɔ kinu. Fuŋni kiləkəli dzə tumbuku, yisi ka nəŋniki bɔkɔ na bəh ŋga, mwi liə i ŋgwuki mɔ bə́ nəŋ i jiksi ŋgwuki wiwɔ, bɔ nì kɔ a dzaka ki kpi wə.
2a081800bf	Bɔ tsə ka yɔmsiki Jisɔs dzaka a, “Tikwili, Tikwili, bukumbɛiŋ ki kpiyiki lə.” Jisɔs yɔmi ka kaŋyi fuŋni kiləkəli kiwɔ bəh bɔkɔ yi fəyini yiwɔ ka kpichumi lə mɔɔɔŋ.
2a081900d9	Wi ka bikə i bɔ a, “Mbɛiŋ lansi jiə shɔ́m yimbɛiŋ i ndə a?” Gwu kpi bɔ, bɔ lwa na bəh ŋga ka məŋki a, “Wələ kɔ winaiŋ mi wə wi kaŋyiki na fuŋni kiləkəli bəh bɔkɔ, yi wɔkɔ i wi a?”
2a081a0065	Bɔ daŋ bɔkɔ yiwɔ buku i waka i kimbu ki Gɛlasen wə, kə ki tsɛiŋki daŋsiki kimbu ki Galili.
2a081b017b	Si Jisɔs nì buku i ŋgwuki wə, a wi tsə buku tsə i kpa, bɔ mi widɔkɔ fɛiŋ i kwili wiwɔ wə baŋsi, wi num bəh bəchinda bə ŋkpɛli i wi mə bɔ njəŋsiki wi. I jɔbi wi dəəŋ wə wi lɔ kə mbuŋ i gwu wə, num bɔ nì nɔ i gwu yi wə nalə wi nyani nnya a bəh chwɔŋ kiyəə, wi nɔ num i bita biə bə nì ləki bəni yɛiŋ. Wi nì chu nɔki kə i dzu.
2a081c00d5	Si wi yɛiŋ Jisɔs wə, ka tɔŋ wili, tsə gbɔ i wi nshiŋ, wam bəh ŋga a, “Jisɔs, Waiŋ Nyɔ, Nyɔ wə wi kɔ Fwu wi Biɛiŋ Bichi wə, wɔ nəŋki nə i mih wə a? Mih tsaki wɔ ma nya ŋgəkə i mih.”
2a081d0161	Wi nì dzaka yakadəiŋ kɔm Jisɔs nì kɔ wi kaŋyi lɔ kiŋ'waka kichu kiwɔ a ki bûku i gwu yi mi wiwɔ mə. Ki nì chufi lɔɔki wi i kuku i jɔbi jɔbi wə. Ayaka wi nì kɔ bə kɔm chini kaŋ yi bəh kaka bi bəh bənsəŋ ka bə tɔkniki bəh wi. Bɔ kɔm yakadəiŋ wi təiŋyi bənsəŋ bəwɔ, ki chufi wi wi ka yɔkɔki tsəki i chwa.
2a081e00b8	Jisɔs ka bikə i mi wiwɔ a, “Yɛli wa kɔ ndə?” Wi chukuli a, “Yɛli wuŋ kɔ mbaŋ.” Wi nì chukuli yakadəiŋ kɔm bəchinda bə ŋkpɛli nì kɔ bɔ chini i gwu yi wə.
2a081f0057	Bəchinda bəwɔ tsa a Jisɔs ma chîŋsi bɔ num i fəŋ kə ki shiki lə ŋɔɔɔŋ.
2a0820009b	A nì kɔ mbaŋ wi bifi dzi nnya i ŋgaŋni chɛiŋ, bəchinda bə ŋkpɛli bəwɔ ka tsa Jisɔs a wi bêe ma bɔ tsə liə num i bifi biwɔ mə. Wi bum.
2a08210081	Bɔ ka buku i mi wiwɔ mə, daŋsi tsə liə i bifi biwɔ mə. Bɔ gbɔyi shi i fəŋ mə, liə shi i bɔkɔ yiwɔ wə, ka ləŋ.
2a082200b4	Jɔbi wə bəni bə̀ bɔ nì tɔkniki bəh bifi biwɔ yɛiŋ gia yə yi num yakadəiŋ, dza fɛiŋ kɔmsi yɔkɔ tsə fuku gia yiwɔ i kwili kintəəŋ bəh i di biə fɛiŋ wə.
2a08230103	Bəni wɔkɔ ka, bukuyi tsə i yɛiŋ tə gia yə yi num. Bɔ dzə i di biə Jisɔs nì kɔ, yɛiŋ mi wə bəchinda bə ŋkpɛli bə̀ nì buku i wi wə, num wi num kɔmsi i Jisɔs wə, bə lɔh bəmbuŋ i wi wə, num mfi bi fiəni dzə. Bɔ lwa bəh ŋga.
2a0824008b	Bəni bə̀ bɔ nì yɛiŋ gia yə yi nì num, ka fuku i bɔ asi yi nì num, mi wə wi nì kaŋaki bəchinda bə ŋkpɛli si wi bɔnih.
2a082500a2	Bəni bəchi bə̀ i bimbu bi Gɛlasen wə kaŋa nlwa, ka tsa Jisɔs a wi nyə̂ fɛiŋ wi tsə̂ki. Jisɔs ka nyə mfih, liə i ŋgwuki mə a ŋgaiŋ nyəki lə,
2a08260090	mi wə bəchinda bə ŋkpɛli nì buku i gwu yi mə ka tsaki Jisɔs a bɔ wi nyə̂. Jisɔs nəiŋma fiəni chiŋsi wi i jum wə, dzaka i wi a,
2a082700d4	“Tsə̂ mfia i wɔ dzu ma wɔ tsə̂ fûku gia yi dzaka ki wɔmni yə Nyɔ si fə i wɔ.” Ayaka, mi wiwɔ ka fiəni tsə ka nyaniki nnyaki i kwili wiwɔ wə kichi, fuku gia yi kaiŋni yə Jisɔs si fə i wi.
2a0828007f	Jisɔs nì fiəni daŋ chu i kiwuŋ ki bɔkɔ kəyaka wə. Mbaŋ wi bəni bə̀ bɔ ni kɔ bɔ si wɔkɔli wi fɛiŋ, dzɔ wi.
2a082900a9	Nyuku widɔkɔ dzə fɛiŋ bə bɔɔŋ a Jaylus, num fwu i juŋ yi tsani wə fɛiŋ. Si wi dzə, ka tsə tum binyu i Jisɔs nshiŋ, kwuŋ kaŋ a wi dzə̂ i ŋgaiŋ dzu,
2a082a00ce	kɔm waiŋ wi ŋgaiŋ kɔ a dzaka ki kpi wə. Wi nì kaŋaki a waiŋ wikpaŋani shəŋ num a kaa a wi, wi num jía jwɔfi ntsɔ yifa. Bɔ Jisɔs nyə ka tsəki num mbaŋ wi bəni kwu faaŋni i Jisɔs wə.
2a082b00fc	Miŋkpaŋa widɔkɔ nì kɔlə i kintəəŋ ki mbaŋ wi bəni bə̀ wə, num jɔbi wi shi baaŋ a baaŋni i jía wə jwɔfi ntsɔ yifa. Num wi nì bəkəli biɛiŋ bichi biə wi nì kaŋaki i jwɛiŋ yiwɔ wə, yi gaka bəni bə tsa bəchi i chuku.
2a082c0059	Wi faaŋni liə tsə kɔm jəŋ wimbuŋ wi Jisɔs i jum wə, akisəkə jwɛiŋ yiwɔ kaa.
2a082d0099	Jisɔs bikə a, “A kɔm ndə mih a?” Bəni bəchi məŋni. Bita bikə a, “Tikwili wuŋ, tə wɔ yɛiŋ a mbaŋ wi bəni kwu faaŋni i wɔ wə a?”
2a082e005b	Jisɔs ka dzakaki a dzakani, “Mi widɔkɔ kɔm mih, mih wɔkɔ si ŋga buku i mih mə.”
2a082f00e1	Si kpaŋa wiwɔ yɛiŋ a dzəh mɔŋ ka ŋgaiŋ nyumi, wi ka nyumyiki dzə gbɔ i Jisɔs nshiŋ. Ka fukuki bəni bəchi fɛiŋ wɔkɔ gia yə yi si fə ka wi kɔm Jisɔs, asi wi kɔm wi yakadəiŋ jwɛiŋ yiwɔ kaa akisəkə.
2a08300076	Jisɔs dzaka i wi a, “Waiŋ wuŋ, shɔm ya yə wɔ jiə i mih wə, yi fə wɔ bɔiŋ. Ayaka wɔ tsə̂ bindzɔŋ.”
2a083100dc	Asi Jisɔs nì kɛiŋki wi dzaka i kpaŋa wiwɔ yakadəiŋ, mi widɔkɔ dzə fɛiŋ num wi nyə dzə i Jaylus dzu, tikwili wi juŋ yi tsani, ka dzaka i wi a, “Waiŋ wa kpi lɔ. Ma chu nyâ ŋgəkə i mi wi lanini.”
2a0832009c	Asi wi nì dzakaki yakadəiŋ, Jisɔs wɔkɔ, ka dzaka i Jaylus a, “Yi ma nyâ ŋgəkə i wɔ, jîə a shɔm ya i mih shəŋ, ma waiŋ wa ni bɔnih.”
2a08330092	Bɔ ka dza dzə i Jaylus dzu, wi nì ka bum a mi widɔkɔ liə yɛiŋ dzu. Wi bɔɔŋ a Bita, Jɛm, Jɔn, tii waiŋ bəh nih waiŋ bəh bɔ liə.
2a083400a7	A nì kɔ bəni bəchi də, fii bəh mindəm, kɔm bə kpi yi waiŋ wiwɔ. Jisɔs dzaka i bɔ a, “Mbɛiŋ ki də̂ kə, waiŋ wələ ka kpi dəkə, wi nɔki lə.”
2a08350068	Bəni bəchi fɛiŋ dza ka suŋuki wi, kɔm bɔ ni kiəki na bindzɔŋ a waiŋ wiwɔ kɔ num wi kpi lɔ.
2a0836006f	Wi tsə i di biə waiŋ wiwɔ nì nɔ, kaŋa wi i tsɛiŋ wə, bɔɔŋ wi a, “Waiŋkpaŋni, dzâ bɛiŋ!”
2a08370067	Wi ka fiəni dza wiwɔm, ka dza yaka bɛiŋ akisəkə. Jisɔs dzaka a bɔ tsɛ̂iŋ fiɛŋ ma wi dzî.
2a08380074	Nih wi bəh ba wi yɛiŋ gia yə yi num, dzaka wɔm bɔ. Jisɔs kîŋ a bɔ ma fûku i mi widɔkɔ gia yə yi num.
2a090100b6	Jisɔs ka dza bɔɔŋ bwa bu bə mbaŋ jwɔfi ntsɔ bəfa, bɔ juŋni dzə. Wi nya bɔ bəh ŋga bəh dzəh i bwîliki bəchinda bə ŋkpɛli i bəni wə bəh i chûkuki jwɛ́iŋ,
2a09020063	ka faaŋ bɔ a bɔ tsə̂ fûkuki i bəni kɔm ŋkuŋ bi Nyɔ, bəh i chûku bəni bə jwɛ́iŋ.
2a090300bb	Wi chu dzaka i bɔ a, “Si mbɛiŋ tsəki, kiə mi ki dzɔ̂ kə fiɛŋ. Kiə mi ki dzɔ̂ kə mbəŋ, nabə kiba, nabə fiɛŋ fidzini, nabə kpɔ. Kiə mi ki dzɔ̂ kə bəmbuŋ bəfa.
2a090400a6	Mbɛiŋ ka ni tsə liə i kwili wə, juŋ yə bə jiə mbɛiŋ yɛiŋ, mbɛiŋ ka nɔ̂ki a yɛiŋ, i tsə̂ bûku i jɔbi wə mbɛiŋ bi dza nyə i kwili wiwɔ wə.
2a090500bd	Kwili wiwɔ ka nəiŋ i dzɔ mbɛiŋ, mbɛiŋ bûku fɛiŋ, jɔbi wə mbɛiŋ nəŋki i buku fɛiŋ mbɛiŋ chûmyi kwɔŋɔ i gvu yimbɛiŋ wə, i num ka kinchəsi i gia yə bɔ mɔm.”
2a09060082	Bɔ ka nyə ka tsəki, ka nyaniki i di di wə, fuku ntum wi ndzɔŋni wə kɔm ŋkuŋ bi Nyɔ, bɔ chuku bəni bə jwɛiŋ bəchi.
2a090700cb	Ŋkuŋ Hɛlɔd wə wi nì sakaki kimbu ki tumi ki Galili, wɔkɔ gia yichi yə yi nì num, yi fumsi wi kɔm bəni bədɔkɔ nì dzakaki a Jisɔs wələ kɔ Jɔn Njulibɔkɔ si wi fiəni dza i kpi wə.
2a0908008d	Bədɔkɔ dzaka a, akɔ Ɛlaja si wi fiəni dzə. Bədɔkɔ dzaka fibɔ a, akɔ mi wi ntum wi Nyɔ wi kikpu widɔkɔ wi fiəni dza i kpi wə.
