2800000006	ܡܬܝ
2a06210090	ܘܐܢ ܥܒܕܝܢ ܐܢܬܘܢ ܕܛܒ ܠܐܝܠܝܢ ܕܡܛܐܒܝܢ ܠܟܘܢ ܐܝܕܐ ܗܝ ܛܝܒܘܬܟܘܢ ܐܦ ܚܛܝܐ ܓܝܪ ܗܟܢܐ ܥܒܕܝܢ
2a062200bb	ܘܐܢ ܡܘܙܦܝܢ ܐܢܬܘܢ ܠܡܢ ܕܤܒܪܝܢ ܐܢܬܘܢ ܕܬܬܦܪܥܘܢ ܡܢܗ ܐܝܕܐ ܗܝ ܛܝܒܘܬܟܘܢ ܐܦ ܚܛܝܐ ܓܝܪ ܠܚܛܝܐ ܡܘܙܦܝܢ ܕܗܟܘܬ ܢܬܦܪܥܘܢ
2a062300e4	ܒܪܡ ܐܚܒܘ ܠܒܥܠܕܒܒܝܟܘܢ ܘܐܛܐܒܘ ܠܗܘܢ ܘܐܘܙܦܘ ܘܠܐ ܬܦܤܩܘܢ ܤܒܪܐ ܕܐܢܫ ܘܢܗܘܐ ܤܓܝ ܐܓܪܟܘܢ ܘܬܗܘܘܢ ܒܢܘܗܝ ܕܪܡܐ ܕܗܘ ܒܤܝܡ ܗܘ ܥܠ ܒܝܫܐ ܘܥܠ ܟܦܘܪܐ
2a0624004d	ܗܘܘ ܗܟܝܠ ܡܪܚܡܢܐ ܐܝܟܢܐ ܕܐܦ ܐܒܘܟܘܢ ܡܪܚܡܢܐ ܗܘ
2a0625007d	ܠܐ ܬܕܘܢܘܢ ܘܠܐ ܡܬܬܕܝܢܝܢ ܐܢܬܘܢ ܠܐ ܬܚܝܒܘܢ ܘܠܐ ܡܬܚܝܒܝܢ ܐܢܬܘܢ ܫܪܘ ܘܬܫܬܪܘܢ
2a062600b5	ܗܒܘ ܘܡܬܝܗܒ ܠܟܘܢ ܒܟܝܠܬܐ ܛܒܬܐ ܘܪܩܝܥܬܐ ܘܡܫܦܥܬܐ ܢܪܡܘܢ ܒܥܘܒܝܟܘܢ ܒܗܝ ܓܝܪ ܟܝܠܬܐ ܕܡܟܝܠܝܢ ܐܢܬܘܢ ܡܬܬܟܝܠ ܠܟܘܢ
2a0627007c	ܘܐܡܪ ܗܘܐ ܠܗܘܢ ܡܬܠܐ ܠܡܐ ܡܫܟܚ ܤܡܝܐ ܠܤܡܝܐ ܠܡܕܒܪܘ ܠܐ ܬܪܝܗܘܢ ܒܓܘܡܨܐ ܢܦܠܝܢ
2a0628005c	ܠܝܬ ܬܠܡܝܕܐ ܕܝܬܝܪ ܡܢ ܪܒܗ ܟܠܢܫ ܓܝܪ ܕܓܡܝܪ ܢܗܘܐ ܐܝܟ ܪܒܗ
2a06290070	ܡܢܐ ܕܝܢ ܚܙܐ ܐܢܬ ܓܠܐ ܕܒܥܝܢܗ ܕܐܚܘܟ ܩܪܝܬܐ ܕܝܢ ܕܒܥܝܢܟ ܠܐ ܡܬܚܙܝܐ ܠܟ
2a062a0123	ܐܘ ܐܝܟܢܐ ܡܫܟܚ ܐܢܬ ܠܡܐܡܪ ܠܐܚܘܟ ܐܚܝ ܫܒܘܩ ܐܦܩ ܓܠܐ ܡܢ ܥܝܢܟ ܕܗܐ ܩܪܝܬܐ ܕܒܥܝܢܟ ܕܝܠܟ ܠܐ ܡܬܚܙܝܐ ܠܟ ܢܤܒ ܒܐܦܐ ܐܦܩ ܠܘܩܕܡ ܩܪܝܬܐ ܡܢ ܥܝܢܟ ܘܗܝܕܝܢ ܢܬܚܙܐ ܠܟ ܠܡܦܩܘ ܓܠܐ ܡܢ ܥܝܢܗ ܕܐܚܘܟ
2a062b006f	ܠܐ ܐܝܬ ܐܝܠܢܐ ܛܒܐ ܕܥܒܕ ܦܐܪܐ ܒܝܫܐ ܐܦ ܠܐ ܐܝܠܢܐ ܒܝܫܐ ܕܥܒܕ ܦܐܪܐ ܛܒܐ
2a062c0092	ܟܠ ܐܝܠܢܐ ܓܝܪ ܡܢ ܦܐܪܘܗܝ ܗܘ ܡܬܝܕܥ ܠܐ ܓܝܪ ܠܩܛܝܢ ܡܢ ܟܘܒܐ ܬܐܢܐ ܐܦ ܠܐ ܡܢ ܤܢܝܐ ܩܛܦܝܢ ܥܢܒܐ
2a062d00c3	ܓܒܪܐ ܛܒܐ ܡܢ ܤܝܡܬܐ ܛܒܬܐ ܕܒܠܒܗ ܡܦܩ ܛܒܬܐ ܘܓܒܪܐ ܒܝܫܐ ܡܢ ܤܝܡܬܐ ܒܝܫܬܐ ܕܒܠܒܗ ܡܦܩ ܒܝܫܬܐ ܡܢ ܬܘܬܪܝ ܠܒܐ ܓܝܪ ܡܡܠܠܢ ܤܦܘܬܐ
2a062e0061	ܡܢܐ ܩܪܝܢ ܐܢܬܘܢ ܠܝ ܡܪܝ ܡܪܝ ܘܡܕܡ ܕܐܡܪ ܐܢܐ ܠܐ ܥܒܕܝܢ ܐܢܬܘܢ
2a062f005e	ܟܠ ܐܢܫ ܕܐܬܐ ܠܘܬܝ ܘܫܡܥ ܡܠܝ ܘܥܒܕ ܠܗܝܢ ܐܚܘܝܟܘܢ ܠܡܢܐ ܕܡܐ
2a063000ea	ܕܡܐ ܠܓܒܪܐ ܕܒܢܐ ܒܝܬܐ ܘܚܦܪ ܘܥܡܩ ܘܤܡ ܫܬܐܤܐ ܥܠ ܫܘܥܐ ܟܕ ܗܘܐ ܕܝܢ ܡܠܐܐ ܐܬܛܪܝ ܡܠܐܐ ܒܒܝܬܐ ܗܘ ܘܠܐ ܐܫܟܚ ܕܢܙܝܥܝܘܗܝ ܤܝܡܐ ܗܘܬ ܓܝܪ ܫܬܐܤܬܗ ܥܠ ܫܘܥܐ
2a063100c5	ܘܗܘ ܕܫܡܥ ܘܠܐ ܥܒܕ ܕܡܐ ܠܓܒܪܐ ܕܒܢܐ ܒܝܬܗ ܥܠ ܥܦܪܐ ܕܠܐ ܫܬܐܤܬܐ ܘܟܕ ܐܬܛܪܝ ܒܗ ܢܗܪܐ ܒܪ ܫܥܬܗ ܢܦܠ ܘܗܘܬ ܡܦܘܠܬܗ ܪܒܐ ܕܒܝܬܐ ܗܘ
2a07010056	ܘܟܕ ܫܠܡ ܡܠܐ ܟܠܗܝܢ ܠܡܫܡܥܬܗ ܕܥܡܐ ܥܠ ܝܫܘܥ ܠܟܦܪܢܚܘܡ
2a07020083	ܥܒܕܗ ܕܝܢ ܕܩܢܛܪܘܢܐ ܚܕ ܥܒܝܕ ܗܘܐ ܒܝܫܐܝܬ ܐܝܢܐ ܕܝܩܝܪ ܗܘܐ ܥܠܘܗܝ ܘܩܪܝܒ ܗܘܐ ܠܡܡܬ
2a0703007d	ܘܫܡܥ ܥܠ ܝܫܘܥ ܘܫܕܪ ܠܘܬܗ ܩܫܝܫܐ ܕܝܗܘܕܝܐ ܘܒܥܐ ܗܘܐ ܡܢܗ ܐܝܟ ܕܢܐܬܐ ܢܚܐ ܠܥܒܕܗ
2a07040081	ܗܢܘܢ ܕܝܢ ܟܕ ܐܬܘ ܠܘܬ ܝܫܘܥ ܒܥܝܢ ܗܘܘ ܡܢܗ ܒܛܝܠܐܝܬ ܘܐܡܪܝܢ ܫܘܐ ܗܘ ܕܬܥܒܕ ܠܗ ܗܕܐ
2a07050042	ܪܚܡ ܓܝܪ ܠܥܡܢ ܘܐܦ ܒܝܬ ܟܢܘܫܬܐ ܗܘ ܒܢܐ ܠܢ
2a070600df	ܝܫܘܥ ܕܝܢ ܐܙܠ ܗܘܐ ܥܡܗܘܢ ܟܕ ܕܝܢ ܠܐ ܤܓܝ ܪܚܝܩ ܡܢ ܒܝܬܐ ܫܕܪ ܠܘܬܗ ܩܢܛܪܘܢܐ ܪܚܡܘܗܝ ܘܐܡܪ ܠܗ ܡܪܝ ܠܐ ܬܥܡܠ ܠܐ ܓܝܪ ܫܘܐ ܐܢܐ ܕܬܥܘܠ ܬܚܝܬ ܡܛܠܠܝ
2a07070061	ܡܛܠ ܗܘ ܐܢܐ ܠܐ ܫܘܝܬ ܕܠܘܬܟ ܐܬܐ ܐܠܐ ܐܡܪ ܒܡܠܬܐ ܘܢܬܐܤܐ ܛܠܝܝ
2a070800e6	ܐܦ ܐܢܐ ܓܝܪ ܓܒܪܐ ܐܢܐ ܕܡܫܥܒܕ ܐܢܐ ܬܚܝܬ ܫܘܠܛܢܐ ܘܐܝܬ ܬܚܝܬ ܐܝܕܝ ܐܤܛܪܛܝܘܛܐ ܘܐܡܪ ܐܢܐ ܠܗܢܐ ܕܙܠ ܘܐܙܠ ܘܠܐܚܪܢܐ ܕܬܐ ܘܐܬܐ ܘܠܥܒܕܝ ܥܒܕ ܗܕܐ ܘܥܒܕ
2a070900c6	ܟܕ ܫܡܥ ܕܝܢ ܝܫܘܥ ܗܠܝܢ ܐܬܕܡܪ ܒܗ ܘܐܬܦܢܝ ܘܐܡܪ ܠܟܢܫܐ ܕܐܬܐ ܒܬܪܗ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܐܦ ܠܐ ܒܝܬ ܐܝܤܪܝܠ ܐܫܟܚܬ ܐܝܟ ܗܕܐ ܗܝܡܢܘܬܐ
2a070a006a	ܘܗܦܟܘ ܗܢܘܢ ܕܐܫܬܕܪܘ ܠܒܝܬܐ ܘܐܫܟܚܘ ܠܥܒܕܐ ܗܘ ܕܟܪܝܗ ܗܘܐ ܟܕ ܚܠܝܡ
2a070b007d	ܘܗܘܐ ܠܝܘܡܐ ܕܒܬܪܗ ܐܙܠ ܗܘܐ ܠܡܕܝܢܬܐ ܕܫܡܗ ܢܐܝܢ ܘܬܠܡܝܕܘܗܝ ܥܡܗ ܘܟܢܫܐ ܤܓܝܐܐ
2a070c00bb	ܘܟܕ ܩܪܒ ܠܬܪܥܐ ܕܡܕܝܢܬܐ ܚܙܐ ܟܕ ܡܠܘܝܢ ܡܝܬܐ ܕܝܚܝܕܝܐ ܗܘܐ ܠܐܡܗ ܘܗܝ ܐܡܗ ܐܪܡܠܬܐ ܗܘܬ ܘܟܢܫܐ ܤܓܝܐܐ ܕܒܢܝ ܡܕܝܢܬܐ ܥܡܗ
2a070d004a	ܚܙܗ ܕܝܢ ܝܫܘܥ ܘܐܬܪܚܡ ܥܠܝܗ ܘܐܡܪ ܠܗ ܠܐ ܬܒܟܝܢ
2a070e0075	ܘܐܙܠ ܩܪܒ ܠܥܪܤܐ ܘܗܢܘܢ ܕܫܩܝܠܝܢ ܗܘܘ ܠܗ ܩܡܘ ܘܐܡܪ ܥܠܝܡܐ ܠܟ ܐܡܪ ܐܢܐ ܩܘܡ
2a070f0040	ܘܝܬܒ ܗܘ ܡܝܬܐ ܘܫܪܝ ܠܡܡܠܠܘ ܘܝܗܒܗ ܠܐܡܗ
2a07100090	ܘܐܚܕܬ ܕܚܠܬܐ ܠܐܢܫܐ ܟܠܗܘܢ ܘܡܫܒܚܝܢ ܗܘܘ ܠܐܠܗܐ ܘܐܡܪܝܢ ܕܢܒܝܐ ܪܒܐ ܩܡ ܒܢ ܘܤܥܪ ܐܠܗܐ ܠܥܡܗ
2a0711005c	ܘܢܦܩܬ ܥܠܘܗܝ ܡܠܬܐ ܗܕܐ ܒܟܠܗ ܝܗܘܕ ܘܒܟܠܗ ܐܬܪܐ ܕܚܕܪܝܗܘܢ
2a07120040	ܘܐܫܬܥܝܘ ܠܝܘܚܢܢ ܬܠܡܝܕܘܗܝ ܗܠܝܢ ܟܠܗܝܢ
2a071300a2	ܘܩܪܐ ܝܘܚܢܢ ܠܬܪܝܢ ܡܢ ܬܠܡܝܕܘܗܝ ܘܫܕܪ ܐܢܘܢ ܠܘܬ ܝܫܘܥ ܘܐܡܪ ܐܢܬ ܗܘ ܗܘ ܕܐܬܐ ܐܘ ܠܐܚܪܝܢ ܗܘ ܡܤܟܝܢ ܚܢܢ
2a071400a0	ܘܐܬܘ ܠܘܬ ܝܫܘܥ ܘܐܡܪܝܢ ܠܗ ܝܘܚܢܢ ܡܥܡܕܢܐ ܫܕܪܢ ܠܘܬܟ ܘܐܡܪ ܐܢܬ ܗܘ ܗܘ ܕܐܬܐ ܐܘ ܠܐܚܪܝܢ ܗܘ ܡܤܟܝܢ ܚܢܢ
2a0715009d	ܒܗ ܕܝܢ ܒܗܝ ܫܥܬܐ ܤܓܝܐܐ ܐܤܝ ܡܢ ܟܘܪܗܢܐ ܘܡܢ ܡܚܘܬܐ ܘܡܢ ܪܘܚܐ ܒܝܫܬܐ ܘܠܤܓܝܐܐ ܤܡܝܐ ܝܗܒ ܗܘܐ ܠܡܚܙܐ
2a071600f7	ܘܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗܘܢ ܙܠܘ ܐܡܪܘ ܠܝܘܚܢܢ ܟܠܡܕܡ ܕܚܙܝܬܘܢ ܘܫܡܥܬܘܢ ܕܤܡܝܐ ܚܙܝܢ ܘܚܓܝܪܐ ܡܗܠܟܝܢ ܘܓܪܒܐ ܡܬܕܟܝܢ ܘܚܪܫܐ ܫܡܥܝܢ ܘܡܝܬܐ ܩܝܡܝܢ ܘܡܤܟܢܐ ܡܤܬܒܪܝܢ
2a0717002c	ܘܛܘܒܘܗܝ ܠܡܢ ܕܠܐ ܢܬܟܫܠ ܒܝ
2a071800b1	ܟܕ ܕܝܢ ܐܙܠܘ ܬܠܡܝܕܘܗܝ ܕܝܘܚܢܢ ܫܪܝ ܠܡܐܡܪ ܠܟܢܫܐ ܥܠ ܝܘܚܢܢ ܡܢܐ ܢܦܩܬܘܢ ܠܚܘܪܒܐ ܠܡܚܙܐ ܩܢܝܐ ܕܡܢ ܪܘܚܐ ܡܬܬܙܝܥ
2a071900b0	ܘܐܠܐ ܡܢܐ ܢܦܩܬܘܢ ܠܡܚܙܐ ܓܒܪܐ ܕܢܚܬܐ ܪܟܝܟܐ ܠܒܝܫ ܗܐ ܐܝܠܝܢ ܕܒܠܒܘܫܐ ܡܫܒܚܐ ܘܒܦܘܢܩܐ ܐܝܬܝܗܘܢ ܒܝܬ ܡܠܟܐ ܐܢܘܢ
2a071a0067	ܘܐܠܐ ܡܢܐ ܢܦܩܬܘܢ ܠܡܚܙܐ ܢܒܝܐ ܐܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܘܝܬܝܪ ܡܢ ܢܒܝܐ
2a071b007a	ܗܢܘ ܕܥܠܘܗܝ ܟܬܝܒ ܕܗܐ ܐܢܐ ܡܫܕܪ ܐܢܐ ܡܠܐܟܝ ܩܕܡ ܦܪܨܘܦܟ ܕܢܬܩܢ ܐܘܪܚܐ ܩܕܡܝܟ
2a071c009d	ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܠܝܬ ܢܒܝܐ ܒܝܠܝܕܝ ܢܫܐ ܕܪܒ ܡܢ ܝܘܚܢܢ ܡܥܡܕܢܐ ܙܥܘܪܐ ܕܝܢ ܒܡܠܟܘܬܐ ܕܐܠܗܐ ܪܒ ܗܘ ܡܢܗ
2a071d0065	ܘܟܠܗ ܥܡܐ ܕܫܡܥܘ ܐܦ ܡܟܤܐ ܙܕܩܘ ܠܐܠܗܐ ܕܥܡܕܘ ܡܥܡܘܕܝܬܗ ܕܝܘܚܢܢ
2a071e0065	ܦܪܝܫܐ ܕܝܢ ܘܤܦܪܐ ܛܠܡܘ ܒܢܦܫܗܘܢ ܨܒܝܢܐ ܕܐܠܗܐ ܕܠܐ ܐܬܥܡܕܘ ܡܢܗ
2a071f0049	ܠܡܢ ܗܟܝܠ ܐܕܡܐ ܠܐܢܫܐ ܕܫܪܒܬܐ ܗܕܐ ܘܠܡܢ ܕܡܝܢ
2a072000a2	ܕܡܝܢ ܠܛܠܝܐ ܕܝܬܒܝܢ ܒܫܘܩܐ ܘܩܥܝܢ ܠܚܒܪܝܗܘܢ ܘܐܡܪܝܢ ܙܡܪܢ ܠܟܘܢ ܘܠܐ ܪܩܕܬܘܢ ܘܐܠܝܢ ܠܟܘܢ ܘܠܐ ܒܟܝܬܘܢ
2a0721007e	ܐܬܐ ܓܝܪ ܝܘܚܢܢ ܡܥܡܕܢܐ ܠܐ ܐܟܠ ܠܚܡܐ ܘܠܐ ܫܬܐ ܚܡܪܐ ܘܐܡܪܝܢ ܐܢܬܘܢ ܫܐܕܐ ܐܝܬ ܒܗ
2a0722008e	ܐܬܐ ܒܪܗ ܕܐܢܫܐ ܐܟܠ ܘܫܬܐ ܘܐܡܪܝܢ ܐܢܬܘܢ ܗܐ ܓܒܪܐ ܐܟܘܠܐ ܘܫܬܐ ܚܡܪܐ ܘܪܚܡܐ ܕܡܟܤܐ ܘܕܚܛܝܐ
2a07230032	ܘܐܙܕܕܩܬ ܚܟܡܬܐ ܡܢ ܟܠܗܘܢ ܒܢܝܗ
2a07240073	ܐܬܐ ܕܝܢ ܒܥܐ ܡܢܗ ܚܕ ܡܢ ܦܪܝܫܐ ܕܢܠܥܤ ܥܡܗ ܘܥܠ ܠܒܝܬܗ ܕܦܪܝܫܐ ܗܘ ܘܐܤܬܡܟ
2a07250092	ܘܐܢܬܬܐ ܚܛܝܬܐ ܐܝܬ ܗܘܬ ܒܡܕܝܢܬܐ ܗܝ ܘܟܕ ܝܕܥܬ ܕܒܒܝܬܗ ܕܦܪܝܫܐ ܗܘ ܤܡܝܟ ܢܤܒܬ ܫܛܝܦܬܐ ܕܒܤܡܐ
2a072600c8	ܘܩܡܬ ܒܤܬܪܗ ܠܘܬ ܪܓܠܘܗܝ ܘܒܟܝܐ ܗܘܬ ܘܫܪܝܬ ܒܕܡܥܝܗ ܡܨܒܥܐ ܪܓܠܘܗܝ ܘܒܤܥܪܐ ܕܪܫܗ ܡܫܘܝܢ ܠܗܝܢ ܘܡܢܫܩܐ ܗܘܬ ܪܓܠܘܗܝ ܘܡܫܚܐ ܒܤܡܐ
2a072700c4	ܟܕ ܚܙܐ ܕܝܢ ܦܪܝܫܐ ܗܘ ܕܩܪܝܗܝ ܐܬܚܫܒ ܒܢܦܫܗ ܘܐܡܪ ܗܢܐ ܐܠܘ ܢܒܝܐ ܗܘܐ ܝܕܥ ܗܘܐ ܡܢ ܗܝ ܘܡܐ ܛܒܗ ܕܚܛܝܬܐ ܗܝ ܐܢܬܬܐ ܗܝ ܕܩܪܒܬ ܠܗ
2a0728008b	ܥܢܐ ܕܝܢ ܝܫܘܥ ܘܐܡܪ ܠܗ ܫܡܥܘܢ ܡܕܡ ܐܝܬ ܠܝ ܕܐܡܪ ܠܟ ܗܘ ܕܝܢ ܐܡܪ ܠܗ ܐܡܪ ܪܒܝ ܐܡܪ ܠܗ ܝܫܘܥ
2a07290084	ܬܪܝܢ ܚܝܒܐ ܐܝܬ ܗܘܘ ܠܚܕ ܡܪܐ ܚܘܒܐ ܚܕ ܚܝܒ ܗܘܐ ܕܝܢܪܐ ܚܡܫܡܐܐ ܘܐܚܪܢܐ ܕܝܢܪܐ ܚܡܫܝܢ
2a072a0070	ܘܕܠܝܬ ܗܘܐ ܠܗܘܢ ܠܡܦܪܥ ܠܬܪܝܗܘܢ ܫܒܩ ܐܝܢܐ ܗܟܝܠ ܡܢܗܘܢ ܝܬܝܪ ܢܚܒܝܘܗܝ
2a072b0073	ܥܢܐ ܫܡܥܘܢ ܘܐܡܪ ܤܒܪ ܐܢܐ ܕܗܘ ܕܐܫܬܒܩ ܠܗ ܤܓܝ ܐܡܪ ܠܗ ܝܫܘܥ ܬܪܝܨܐܝܬ ܕܢܬ
2a072c00d7	ܘܐܬܦܢܝ ܠܘܬ ܗܝ ܐܢܬܬܐ ܘܐܡܪ ܠܫܡܥܘܢ ܚܙܐ ܐܢܬ ܐܢܬܬܐ ܗܕܐ ܠܒܝܬܟ ܥܠܬ ܡܝܐ ܠܪܓܠܝ ܠܐ ܝܗܒܬ ܗܕܐ ܕܝܢ ܒܕܡܥܝܗ ܪܓܠܝ ܨܒܥܬ ܘܒܤܥܪܗ ܫܘܝܬ ܐܢܝܢ
2a072d005d	ܐܢܬ ܠܐ ܢܫܩܬܢܝ ܗܕܐ ܕܝܢ ܗܐ ܡܢ ܕܥܠܬ ܠܐ ܫܠܝܬ ܪܓܠܝ ܠܡܢܫܩܘ
2a072e005c	ܐܢܬ ܡܫܚܐ ܠܪܫܝ ܠܐ ܡܫܚܬ ܗܕܐ ܕܝܢ ܒܡܫܚܐ ܕܒܤܡܐ ܪܓܠܝ ܡܫܚܬ
2a072f009a	ܚܠܦ ܗܕܐ ܐܡܪ ܐܢܐ ܠܟ ܕܫܒܝܩܝܢ ܠܗ ܚܛܗܝܗ ܤܓܝܐܐ ܡܛܠ ܕܐܚܒܬ ܤܓܝ ܗܘ ܕܝܢ ܕܩܠܝܠ ܡܫܬܒܩ ܠܗ ܩܠܝܠ ܡܚܒ
2a0730003b	ܘܐܡܪ ܠܗܝ ܐܢܬܬܐ ܫܒܝܩܝܢ ܠܟܝ ܚܛܗܝܟܝ
2a07310066	ܫܪܝܘ ܕܝܢ ܗܢܘܢ ܕܤܡܝܟܝܢ ܐܡܪܝܢ ܒܢܦܫܗܘܢ ܡܢܘ ܗܢܐ ܕܐܦ ܚܛܗܐ ܫܒܩ
2a07320058	ܝܫܘܥ ܕܝܢ ܐܡܪ ܠܗܝ ܐܢܬܬܐ ܗܝܡܢܘܬܟܝ ܐܚܝܬܟܝ ܙܠܝ ܒܫܠܡܐ
2a080100a3	ܘܗܘܐ ܡܢ ܒܬܪ ܗܠܝܢ ܡܬܟܪܟ ܗܘܐ ܝܫܘܥ ܒܡܕܝܢܬܐ ܘܒܩܘܪܝܐ ܘܡܟܪܙ ܗܘܐ ܘܡܤܒܪ ܡܠܟܘܬܐ ܕܐܠܗܐ ܘܬܪܥܤܪܬܗ ܥܡܗ
2a0802009d	ܘܢܫܐ ܗܠܝܢ ܕܐܬܐܤܝ ܡܢ ܟܘܪܗܢܐ ܘܡܢ ܪܘܚܐ ܒܝܫܬܐ ܡܪܝܡ ܕܡܬܩܪܝܐ ܡܓܕܠܝܬܐ ܗܝ ܕܫܒܥܐ ܫܐܕܝܢ ܢܦܩܘ ܡܢܗ
2a0803009b	ܘܝܘܚܢ ܐܢܬܬ ܟܘܙܐ ܪܒܝܬܗ ܕܗܪܘܕܤ ܘܫܘܫܢ ܘܐܚܪܢܝܬܐ ܤܓܝܐܬܐ ܐܝܠܝܢ ܕܡܫܡܫܢ ܗܘܝ ܠܗܘܢ ܡܢ ܩܢܝܢܝܗܝܢ
2a0804006a	ܘܟܕ ܟܢܫܐ ܤܓܝܐܐ ܟܢܫ ܗܘܐ ܘܡܢ ܟܠ ܡܕܝܢܢ ܐܬܝܢ ܗܘܘ ܠܘܬܗ ܐܡܪ ܒܡܬܠܐ
2a0805007d	ܢܦܩ ܙܪܘܥܐ ܠܡܙܪܥ ܙܪܥܗ ܘܟܕ ܙܪܥ ܐܝܬ ܕܢܦܠ ܥܠ ܝܕ ܐܘܪܚܐ ܘܐܬܕܝܫ ܘܐܟܠܬܗ ܦܪܚܬܐ
2a08060065	ܘܐܚܪܢܐ ܢܦܠ ܥܠ ܫܘܥܐ ܘܒܪ ܫܥܬܗ ܝܥܐ ܘܕܠܝܬ ܗܘܐ ܠܗ ܬܠܝܠܘܬܐ ܝܒܫ
2a0807004b	ܘܐܚܪܢܐ ܢܦܠ ܒܝܬ ܟܘܒܐ ܘܝܥܘ ܥܡܗ ܟܘܒܐ ܘܚܢܩܘܗܝ
2a080800b4	ܘܐܚܪܢܐ ܢܦܠ ܒܐܪܥܐ ܛܒܬܐ ܘܫܦܝܪܬܐ ܘܝܥܐ ܘܥܒܕ ܦܐܪܐ ܚܕ ܒܡܐܐ ܗܠܝܢ ܟܕ ܐܡܪ ܩܥܐ ܗܘܐ ܕܡܢ ܕܐܝܬ ܠܗ ܐܕܢܐ ܕܢܫܡܥ ܢܫܡܥ
2a08090038	ܘܫܐܠܘܗܝ ܬܠܡܝܕܘܗܝ ܕܡܢܘ ܡܬܠܐ ܗܢܐ
2a080a00d7	ܗܘ ܕܝܢ ܐܡܪ ܠܗܘܢ ܠܟܘܢ ܗܘ ܝܗܝܒ ܠܡܕܥ ܐܪܙܐ ܕܡܠܟܘܬܗ ܕܐܠܗܐ ܠܗܢܘܢ ܕܝܢ ܫܪܟܐ ܒܦܠܐܬܐ ܡܬܐܡܪ ܕܟܕ ܚܙܝܢ ܠܐ ܢܚܙܘܢ ܘܟܕ ܫܡܥܝܢ ܠܐ ܢܤܬܟܠܘܢ
2a080b0040	ܗܢܘ ܕܝܢ ܡܬܠܐ ܙܪܥܐ ܐܝܬܘܗܝ ܡܠܬܐ ܕܐܠܗܐ
2a080c00ad	ܗܢܘܢ ܕܝܢ ܕܥܠ ܝܕ ܐܘܪܚܐ ܐܝܬܝܗܘܢ ܗܢܘܢ ܕܫܡܥܝܢ ܡܠܬܐ ܘܐܬܐ ܒܥܠܕܒܒܐ ܫܩܠ ܡܠܬܐ ܡܢ ܠܒܗܘܢ ܕܠܐ ܢܗܝܡܢܘܢ ܘܢܚܘܢ
2a080d00d9	ܗܠܝܢ ܕܝܢ ܕܥܠ ܫܘܥܐ ܗܠܝܢ ܐܢܘܢ ܕܡܐ ܕܫܡܥܘ ܒܚܕܘܬܐ ܡܩܒܠܝܢ ܠܗ ܠܡܠܬܐ ܘܥܩܪܐ ܠܝܬ ܠܗܘܢ ܐܠܐ ܕܙܒܢܐ ܗܝ ܗܝܡܢܘܬܗܘܢ ܘܒܙܒܢ ܢܤܝܘܢܐ ܡܬܟܫܠܝܢ
2a080e00b9	ܗܘ ܕܝܢ ܕܢܦܠ ܒܝܬ ܟܘܒܐ ܗܠܝܢ ܐܢܘܢ ܐܝܠܝܢ ܕܫܡܥܝܢ ܡܠܬܐ ܘܒܨܦܬܐ ܘܒܥܘܬܪܐ ܘܒܪܓܝܓܬܗ ܕܥܠܡܐ ܡܬܚܢܩܝܢ ܘܦܐܪܐ ܠܐ ܝܗܒܝܢ
2a080f00a7	ܗܘ ܕܝܢ ܕܒܐܪܥܐ ܛܒܬܐ ܗܠܝܢ ܐܢܘܢ ܐܝܠܝܢ ܕܒܠܒܐ ܫܦܝܐ ܘܛܒܐ ܫܡܥܝܢ ܡܠܬܐ ܘܐܚܕܝܢ ܘܝܗܒܝܢ ܦܐܪܐ ܒܡܤܝܒܪܢܘܬܐ
2a081000a9	ܠܐ ܐܢܫ ܡܢܗܪ ܫܪܓܐ ܘܡܚܦܐ ܠܗ ܒܡܐܢܐ ܐܘ ܤܐܡ ܠܗ ܬܚܝܬ ܥܪܤܐ ܐܠܐ ܤܐܡ ܠܗ ܠܥܠ ܡܢ ܡܢܪܬܐ ܕܟܠ ܕܥܐܠ ܢܚܙܐ ܢܘܗܪܗ
2a08110069	ܠܝܬ ܓܝܪ ܡܕܡ ܕܟܤܐ ܕܠܐ ܢܬܓܠܐ ܘܠܐ ܕܡܛܫܝ ܕܠܐ ܢܬܝܕܥ ܘܢܐܬܐ ܠܓܠܝܐ
2a08120090	ܚܙܘ ܐܝܟܢܐ ܫܡܥܬܘܢ ܡܢ ܕܐܝܬ ܠܗ ܓܝܪ ܢܬܝܗܒ ܠܗ ܘܡܢ ܕܠܝܬ ܠܗ ܐܦ ܗܘ ܕܤܒܪ ܕܐܝܬ ܠܗ ܢܫܬܩܠ ܡܢܗ
2a0813006b	ܐܬܘ ܕܝܢ ܠܘܬܗ ܐܡܗ ܘܐܚܘܗܝ ܘܠܐ ܡܫܟܚܝܢ ܗܘܘ ܕܢܡܠܠܘܢ ܥܡܗ ܡܛܠ ܟܢܫܐ
2a0814004b	ܘܐܡܪܘ ܠܗ ܐܡܟ ܘܐܚܝܟ ܩܝܡܝܢ ܠܒܪ ܘܨܒܝܢ ܠܡܚܙܝܟ
