280000000c	ማትዎስ
290b180083	ኤስ ባሪ ቦርኣ ሺጶክ ማምሲት ዉዛሶን ዙትራ ዳንትር ዛግራ አማኖትዋ ንቶክ ስናና።
290b1900ad	ሺጴፌት ካባሲክ ደን ሳማኪ ፌ አባንቲስ ቦርንትሶን ፌሹን ኡናክ አሱኒስታ እሳ ቾዉኒት ፋፋናነ ፌሹን ኡትዋ።
290b1a00a6	ስኑንታኖ ንቶ አሱሳ ማጝሱኖን ፌሹን ኡ ሻካትነ ደን ሳማኪ ፌ አባንቲስ ቦርንትሶን ኣፋ ፌሹን ኡናዉዛ።»
290b1b00ca	ሄፕሳ ደይ የሩሳሌም ዬሴቴ። የሱስ ቤቴሜቅደሲሲ ኩትፌን ማግኒ ጋኛን ሜያ፥ ሙሴኒ ቱማሲ አስሲኛናዋ ኩርኡኒ ሜና ባርኪ ዬሴሬ፦
290b1c00d4	«ሀን ባሮን አዉኒ ሀእሱኒ ሁግናኪንሶ ዛግኢፋ ዛግድፋታሪ? ወደይ ሀን ባሮን ዛጉታክ ሀእሱኒ ሁግና ኔክ እማር ኦንሶ?» ይት ማምሲሴቴ።
290b1d00e4	የሱስ ደይ፦ «ታ እሳ ማምሱ ንቶትን ማምሱናዋ። ኤስ ማምሱናሶን ዎልግፋትነ ታ ደይ ሀን ባሮን አዉኒ ሀእሱኒ ሁግናክ ዛግፋናማቶ ንቶክ ማኮናዋ።
290b1e0063	ዮሀኒስኒ ሀጵቁስ ሀኦስኪን ያሪጝዋ ወደይ አሱኒኪኒንሶ?» ይ።
290b1f00aa	ባሶትና ባሶትና ኤካ ይሴቴ፦ «ሀኦኪን ያር እያንነ ኤኪን አዉኒሮን ባር ማኬና ባሮን አማኖ ቤይትሶ? ኡኒር።
290b2000cd	ኤሴ አሱኒኪን ኡንሮሶ?» ኤካ ኡሶኖይቴማቶ አሱ ዙቴሬ ዮሀኒስኒን ፉቶሲክ ሀኦኒ ራጁዋ ይሴት ፌሴቴር ስንና ቦርአ ዳራስን ድጌሴቴ
290b2100de	የሱስኒክ ዎልግሬ፦ «ኣነ አሪፌንዋ» ይሴቴ። የሱስ ደይ፦ «ታ ደይ አዉኒ ሀእሱኒ ሁግናክ ሀን ባሮን ዛግፋናማቶ ኣፋዋ ንቶክ ማኮና ዉዛ» ይ።
290c0100f2	ቤሶክ ደይ አሱናክ ካብ፦ «እሳ አሱ ዋይንኒ ሻ ቶኬ፥ ኦጃ ኦጅጀ፥ ጋንባሶን ትኡና ዶአ ዪሸ፥ ቶሎ ኬርእ። ኤስታን ቡልኛን ሜያክ ክራ እማት ዎካ ድማ ሀሚ።
290c020088	ኬጵቶና ዎንባ ካርፋና ካባሲክ ጋንባስታን ኤጴ ዮናክ ዎስትኛስን ቡልኛን ሜያክ ዎሲ።
290c03003e	ባሶ ደይ ኤጴ እቸሬ ኩሽኩሽ ጋፉክሴቴ።
290c040096	ሄፕሳ ኦም ዎስትኛኒን ባሶክ ዎሲ። ኤስ ባሪን ደይ እቼ ቴትባሶን ካርኤሬ ሳልጲስሬ ጋፉክሴቴ።
290c0500b8	ቱስሬ ኦምንን ዎሲ፤ ኤስ ባሪን ደይ ዎርሴቴ። ኦም ሾዎኒን ዎስኒ እሳ እሳይስን እቸሴቴ ደይ እሳ እሳይስን ዎርሴቴ።
290c0600b1	ፉእቴ እሳ ኬሽቴፌና ናባስኒ፦ ‹ናታስን ባሶክ ዎሳናነ ኡልፍንሱቤስዋ› እያት ዙታምቤሲሴ አሲ ኦርፎስታ ዎሲ።
290c0700be	ስኑንታኖ ኤስ ቡልኛን ሜያ ባሶትና ባሶትና፦ ‹ፎኦሻሶን ቶኒስ ሀን ባርዋ! ያን ዎራት ፎሻሶን እንኖር ዛጉንዋ› ይሴቴ።
290c080054	ኤስታን ኤጴ ዎርሴሬ ዋይኒስ ፎሽን ጌራካሎ ሀእሴቴ።
290c0900a0	«ኤሴ ዋይኒስ ዳም አዉ ዛጉንሪንሶ? ዬሬ ቡልኛን ሜያኖን ዎራት ዋይኒስ ፎሻኖን ኦምን ሜያክ እማናዋ።
290c0a0096	ኤሴ፦ «‹ሹኢን ኬያሶን ኬርእፌ ባሶ ጎነሴቴ ሹኣስ፤ ሹኢን ኬያስ ካጃታ ዱን ሾልሱ ሹአ ስኒዋ።
290c0b00a0	ኤስ ባርኑ ዳሚስኪንቱ ስኒዋ፤ ቢፌ እኖክኑ አካማኖን ዲንቂዋ!›» ይፋ ትቻሶን ኣነ ፌሬትራ ብየትኖሶ?
290c0c0116	ማግኒ ጋኛን ሜያ፥ ሙሴኒ ቱማሲ አስሲኛናዋ ኩርኡኒ ሜና ኤስ ማኬና ቤሶስ ባሶስታ ስኒባሶን አሪሴቴ ቦርአ ባሪን ኤጴ ታርአክ ሾልሴቴ። ስኑንታኖ ዳራስን ድግሴፋት ቤየ ሀሜቴ።
290c0d009f	ዎሉምባሲክ ባሪን ኤጳክ እሳ እሳ ፌርሳዊኒ ሜያክናዋ ሄሮድስኒ ኬን ስና ባሶትና የሱስኒክ ዎስሴቴ።
290c0e01c4	ባርኪ ዬሴሬ፦ «አስሲኛኖ! ነ ፉእቶኒር ስኒታማቶ አሪፌንዋ። አሱኒ ስና ቢራ ኮሩኖይ ወደይ አሱ አዉ ኡና ኡክ ዛግፋታ ዉዛ ኣፋዋ። ፉቶክ ሀኦሲ ኡግናኖንቱ አሲፋትዋ። ማኮዋ፥ ሮምን ታቴ ሜኒ ታቶስኪ ግርቦን እማ ሾልሱጝዋ ወደይ ሾልሱታንሶ? እማንርጝዋ ወደይ ካላንሪንሶ?» ይት ማሙሴቴ።
290c0f00bc	ስኑንታኖ ባር ስርቤሲሲክ ማጙኖን አራት፦ «አዉኒ ቦርአ ታን ዎላክ ታካሎክ ሾሌፌትሶ? እሳ ሳንትብ ቴሸን ብዩጝዋ» ይ።
290c1000c5	ባሶ ደይ ቴሸሴቴ። የሱስ ደይ፦ «ሀን ግቶሴዋ ትችባሴ ኦንሪንሶ?» ይሬ ማምሲ። ባሶ ደይ፦ «ሮምን ታቴ ሜኒ ታቶሳርዋ» ይሴቴ።
290c11009c	የሱስ ደይ፦ «ኤሴ ታቶሳሮን ታቶስኪ፤ ሀኦሲሮን ሀኦሲክ እምትዋ» ይ። ዎልጉባሲክ ደይ ዲንቀሴቴ።
290c12007c	«ክቱኒ ካቡ ኣፋ» ይሴፌ እሳ እሳ ሴዱቃውን ሜያ ባርኪ ዬሴሬ ኤካ ይት ማሙሴቴ፦
290c1300e6	«አስሲኛኖ! ‹እሳ አሱ ናዋ ኮኑኖይ አሱባሶን ሀኣት ክትፋናነ አይባስ ደይ ኤስ አሱሶን ኤጴ ዛልባ ስናናክ አይባሲክ ኮኑዎ› ይሬ ሙሴ እኖክ ትች።
290c14006e	ኤሴ ናፉን አይን ሜያ ፌሴቴር። ቴሱኒ ባር አሱ ኤጴ ናዋ ኮኑኖይ ክት።
290c15006a	ሄፕሳስ ደይ ኤጴ ናዋ ኮኑኖይ ክት። ኤሲስማቶ ኬሳስ ደይ ኤካ ስኒ።
290c16008c	ናፉኖቤሲሴ አሱሶን ኤጴ ናዋ ኮኑኖይ ክትሴቴ። ዙታምቤሲሴ አሲ ኦርፎታ አሱስ ደይ ክት።
290c170089	አሱሶን ናፉኖቤሲሴ ኤጴቴ ስንና ቦርአ ክቱኒ ካቡኒ ዎኖ ባሶስኒ ኦንክ አሱ ስኒሪንሶ?»
290c18008e	የሱስ ዎልግሬ ኤካ ይ፦ «ትቻሶናዋ ሀኦሲ ሁግናኖንና ኣነ አሪፌት ስንና ቦርአ ዳጌፌትዋ።
290c190094	ክት ባሶ ክቱኒ ካብሴፌ ካባሲክ ደን ሳማኪ ፋሴ ሀኦሲ ዎስኒማቶቱ ፎሶነታኖ ኤጵነ ግሩነ ኣፋ።
290c1a013f	ስኑንታኖ ክቱኒ ሜያ ክቱኒ ካብሶነማቶ ሀኦሲ፦ ‹ታ አብራሀምኒ ሀኦ፥ ይሳቅኒ ሀኦ፥ ያቆብን ሀኦዋ› ይት ኤስ ሳባሲክ ጌያስ ቾዋክ ማኬፋ ድማስታ ሙሴኒክ ማኬና ባሮን ሙሴኒ ትቻስ ኣነ ፌሬትራ ብየትኖሶ?
290c1b008c	ባር ሀየዉን ሜኒ ሀኦታኖ ክቱኒ ሜኒ ሀኦታዋ። ኤስ ባሪ ቦርኣ ንቶ አካማኖን ዳጌፌትዋ።»
290c1c0112	ሙሴኒ ቱማሲ አስሲኛሳስኒ እሳይስ ባሶ ካራካሮሶን ኦደ። የሱስ ማአሮን ዎልጉባሶን ጋሳሲፋት ባርኪ ዬሬ፦ «ዙታምባሴ አሲስታን ደናሎ ሾልሱ አጃጂስ ኣፋሪንሶ?» ይሬ ማምሲ።
290c1d00a8	የሱስ ዎልግሬ፦ «አጃጅ ዙታምባሴ አሲስታን ደናሎስ፦ ‹እስራኤልኖ ኦዶዋ! እንኖ ዳማ ሀኦኒስ እሳ ዳማዋ።
290c1e00a2	ነ ደይ ቱማ ንብኔሲክ፥ ቱማ ካኔሲክ፥ ቱማ ሳፋራኔሲክ፥ ቱማ ሁግናኔሲክ ዳማ ሀኦኔሶንጝዋ› ይፋርዋ።
290c1f009c	ሄፕሳ አጃጂስ ደይ ኤካዋ፦ ‹ዎልኮኔስኒ ነ ኔን ሹንፋጝዋ› ኤሲስታን ደናሎ ኦማ አጃጅ ኣፋዋ» ይ።
290c2000b2	ቱማስ አስሲኛ ዎልግሬ፦ «ማአሪዋ፤ አስሲኛኖ! ‹ሀኦሲ እሳርዋ፤ ባርኔን ኦማ ሀኦ ኣፋዋ› ይራ ፉቶክ ዎልግትዋ።
290c2100ed	ቱኡማ ንባክ፥ ቱማ ሳፋራክ፥ ቱማ ሁግናክ ባሮን ሹን። ደይ ዎልኮኔስኒ ቴትኔሶን ሹንፋታስማቶ ሹና ኪቼፋ ማኣስታናዋ ኦማ ኦማ እማስታና ደናሎዋ» ይ።
290c2200c0	አሱስ አሩክ ዎልግናማቶ የሱስ አራት፦ «ነ ሀኦኒ ታቶስን ዎካ ፋታርታዋ» ይ። ኤሴን ኦርፎ ኦኑ ማምሱን ማምሱክ ኣነ ችሜ።
290c2300c3	የሱስ ቤቴሜቅደሲሲ አሲፌት ኤካ ይ፦ «ሙሴኒ ቱማሲ አስሲኛኒ ሜያ፦ ‹ክርስቶስ ዳዊትኒ ዛላስኒ ኮንቴ ናዋ› ኣካክ ይሴፌሶ?
290c240107	ዳዊት ቴትባሲክ ኮርቶ አያናክ ዞኑስቴሬ ማኬፌና ካባሲክ፦ «‹ዳሚስ ዳምታሲክ ጉማኔሳክቶኒን፤ ዎቾኔስ ስካሎስ የርአታክ ዛጉና ካባኔን፤ ኦእታ ቴሽናስታ ዱዋ› ይ።
290c2500d0	«ዳዊት ቴትባሲክ ‹ዳምታ› ኡቱ ይዋ። ኤካኒ ኣካክ ዳዊትኒ ዛላስኒ ኮንቴ ናባ ስንኒሪንሶ?» ሾዎ ዳራስ ደይ ግራክ ኦደሴት ፌሴቴር።
290c2600e9	የሱስ አሲፌና ካባሲክ ኤካ ይ፦ «ድቻ ድቻ ማያ ማየ ኤክ ሀጝ ኩቱ፥ ጋባስታክ አሱ ናጋ ኦሾናክ ሾልሴፌ ቱማስ አስሲኛኒ ሜያኪን ቴትንትሶን ኦድትዋ።
290c27007f	ባሶ አይሁድኒ ሺጶኒ ኬያሲክ ቴጋ ኮዳ፥ ኮታ ማስቴፋናስታ ቴጋ ድማቱ ሾልሴፌዋ።
290c2800ee	ድቻ ቱካማ አሱሲክቶኖን ፋ ዉዝባሶን ኤጴፌ። ደይ ድቻ ሺጶኒ ሺጶክ ቢስቶክዋ እያት ኤስ ኤፋቴና ዉዛ ዛግሴፌ ባሶ አካማ ማጝሱኒ ካርአቱ ኤጴቶሶነዋ።»
290c2900c4	የሱስ እምቴ እማ ዙቴፋና ሳጥኒስ ስኒታ ዲፌን አሱኒ ሜያ ዋጋ ስር ሀእሴፌን ቢ። ሾዎ ኦቱምኒ ሜያ አካማ ዋጋ እሜት ፌሴቴር።
290c2a0076	እሳ ቱካማ ድቻ አሱ ዋግባስ እሳ ዱደ ስና ሄፕ ጋሮ ጋሮ ናስን ሳንትብ እሚ።
290c2b00d2	ናዎኒ ሜያኖን ቴጌሬ፦ «ፉቶ ንቶክ ማኬፋውጙዋ፥ ዋግቤሲሶን እማ ባሶ ዙታምቤሲሴ አሲስታን ደናሎ ሀን ቱካማ አሱስ አሪክስራ እምዋ።
290c2c00c2	ዙታምቤሲሴ ባሶክ ሆሬራ ፉእቴሶንቱ እሜቴዋ። ስኑንታኖ ሀን አሱስ ቱካማ ስኒፋት ባርኪ ፋዪሶን ፉኦኖይ ዙትራ እምዋ» ይ።
290d0100e9	የሱስ ቤቴሜቅደሲሲኒ ኬስፌን ናዎኒ ሜያስን እሳይስ፦ «አስሲኛኖ! ሀን ሹአሲክቶነዋ ሀን ሹን ኬያሲክቶነ አዉነ ፋ ዲንቂ ስንናማቶ ቢዋ» ይት ማኬ።
290d0200db	የሱስ ደይ ዎልግሬ፦ «ሀን እኛ እኛ ሹን ኬያሲክቶኖን ቢድፋ ቶሶ? ሀን ሹኣሲክቶ እሳ እሳይስታ ዲራ ፉእቶኒር ኣፋዋ። ዙቴራ ቦክቴርዋ» ይ።
290d0300c8	የሱስ ቤቴሜቅደሲሲ ስኒታ ፋ ዳብራዛይትኒ ኩማስታ ዲፌን ጴጥሮስ፥ ያቆብ፥ ዮሀኒስናዋ አንድርያስና ባሶ ባሶ ባርኪ ታእሴሬ፦
290d0400ad	«ሀን ባር ኣጌንሶ ስናናሪ? ሀን ባር ዙታምባሴ ስኒፋና ካባሲክ ቤሶባስ ኣምባንሶ? እኖክ ማኮዋ» ይሬ ማሙሴቴ።
290d05006d	የሱስ ደይ ኤካ ይ፦ «ኦኑ ንቶትን ኤሽኖይናማቶ ቴትንትሶን ኦድትዋ።
290d060080	ሾዎኒ ሜያ፦ ‹ታ ክርስቶስዋ› ይት ታ ሱናሲክ ዮሶነ። ሾዎኒ ሜያኖን ደይ ኤሾነ።
290d0700b3	ኔቦን ቾዉነዋ ኔቦን ኦዱነ ኦደፌት ካባሲክ ድጎትታዋ። ኤስ ባር ደይ ስናናክ ፋርዋ። ስኑንታኖ ኮእባስ ሀሽታዋ።
290d0800bc	ዳራስ ዳራሳታ፤ ታቶስ ታቶስታ ካቡና። ሾዎ ድምታ ደይ ዳኒ ሾርኮነዋ ማክነ ስናና። ኤስ ባር ደይ አካማ ኬክቶኒ ቴሱዋ።
290d09011c	«ንቶ ደይ ቴትንትሶን ኦድትዋ። ሾንጎን ኩጳማስታ ንቶ አቴራ እምቶት። አይሁድኒ ሺጶኒ ኬያሲክ እቾሶት። ዛላ ስናትክ ታክዋ እያት ሀእስፌ ባሶ ስናናዋ ታቴ ሜና አሲ ስናና የሮት።
290d0a0085	ኤስ ባር ስኒባስኔን ዜምማ ምስራቹኒ ካማስ ዳራ ዙታምባሴ አሲክ ማክቶናክ ሾልሱዋ።
290d0b010c	ንቶትን ኤጴ ኣትሬ እሜፌ ካባሲክ፦ ‹አዉታሶ ማኮኒ?› ኡክ ዜምማ ራካቶትታዋ። ስኑንታኖ ኤስ ካባሲክ ንቶክ እምቶኒ ባሮን ማኮት። ማኮኒስ ደይ ኮርቶ አያናታኖ ንቶቴዋ።
290d0c00a9	አዪስ አይባስን፥ አባስ ናባስኒ ክቱክ ኣትሬ እማና። ናንጎታስ ኮኒ አባ እንቶስታ ማጙክ ካብሴራ ዎርሶና።
290d0d00ab	አሱ ዙታምባሴ አሲ ስና ታ ሱናስ ቦርአ ኦምቴስቴር ስናት። ስኑንታኖ ኮእባ ካርአናኔን ችሜ የሬ ባር ፋሩና።
290d0e0155	«ደይ ዝና ዉዛስ ካይማ ድማሶን ኪንፋ ባርኪ ሾልሱኖይ ድማስታ የሬፌኒ ብያትነ [ፌሬትፌ ባር ያዳቶዎዋ]። ኤስ ካባሲክ ዩዳክ ፌሴ ባሶ ኣማሲክ ኤሎቶ። [ዝናስ ኮርቶ ድማስታ የሬፌኒ ቢፌት ካባሲክ ፌሬትፌ ባር ጋሳሱዎዋ]
290d0f005b	ኬያስ ቱክታ ፌ ባር ዳ ኬሬሬ እሳ ዉዛ ኤጳክ ኬር ግሩናታ።
290d100051	ፎኦሻስታ ፌ ባር ማይባሶን ኤጳናክ ኦርፎ ዎሉናታ።
290d11005b	ኤስ ካባሲክ ናኔርሴዋ ናዋ ታንፋ አሱሲክቶነ የሬፋዉጝዋ!
290d12004a	ስኑንታኖ ኤስ ዎናስ ዬሹስ ስኖይናማቶ ሺጶት።
290d1300aa	ኤስ ካባሲክ ሀኦ ቴስና ቴስቶስታን ካብራ ሀሽ ሀውጙኔን ካርአ ቢስቶኖር ወደይ ሀንኔንኑ ስኖይ ሻና ስናና።
290d1400ee	ዳሚስ ኤስ ዎናሲክቶኖን ካዉንሱ ሻክ ስንፋናነ አሻ ማዮ አሱ ዙታምባሴ ፉእቶና ካባታዋ። ስኑንታኖ ባር ኮርና አሱኒ ሜኒ ቦርአ ዎናሲክቶኖን ካዉንስ።
290d150097	«ኤስ ካባሲክ ኦኑ ስኖ፦ ‹ክርስቶስ ሀንታ ፌርዋ› ወደይ ‹ኤኬስታ ፌርዋ› ይፋናነ አማኖትታ።
290d1600db	ኤሽ ክርስቶስኒ ሜናዋ ኤሽ ራጁኒ ሜና ዮሶነር። ኤስ ባሶ ችምቴፋናነ ሀኦ ኮርና ባሶትኑ ዳግሱክ ቤሶነዋ ቢስቴራ አሪቶኖይ ዉዝነ ዛግሶነ።
290d170082	ኤሲሲክቱ ታ ዙታምባሴ አሲን ዜምማ ንቶክ ማኬን ስንና ቦርአ ቴትንትሶን ኦድትዋ።
290d180082	«ኤስ ካባሲክ ኤስ ሻናስኔን ኦርፎ፦ ‹አዋስ ታልሞና፤ አሳስ ደይ ኣፋ ቻሮና ዉዛ።
290d190067	ባኩራሲክቶ ሳማን ዝግቶሶና፤ ሳማኪ ፋ ሁግናሲክቶ ደይ ሾርኮና›
290d1a0072	ኤስ ካባሲክ አሱኒ ና አካማ ሁግናክናዋ ኡልፍናክና ሻሩስ ዬፌን ብዮነ።
290d1b00b7	ባር ደይ ሀኦሲ ዎሲያኖን ዎስሬ ዳ ዳስን፥ ዳስ ድልታን ካብራ ዳስ ኮእታ ካርኤ ፌ ባርኪ ኮርቴ አሱኒ ሜያኖን ዙቱና።
290d1c00b1	«ቤሶሶን ቤለስኒ ኢኦስታን አሩት። ዋኣይባስ ቶሻ ኮታ ቶሽባስ ደይ ቦደፋና ካባሲክ ካዎ ታእሴናማቶ አሪፌትዋ።
290d1d00a4	ኤሲስማቶ ንቶ ኤስ ባር ዙታምባሴ ስኒን ቢፌት ካባሲክ አሱኒ ናኒ ዮ ታእሴራ ፍኛአሲ ካርናማቶ አሩትዋ።
290d1e0083	ፉቶ ንቶክ ማኬፋውጙዋ፦ ኤስ ባር ዙታምባሴ ስኖይፌን ሀን ኮንቶስ ኣፋ ኣታና ዉዛ።
290d1f005e	ሳማሴዋ ዳሴ ኣታና። ስኑንታኖ ካምናሲክቶ ኣፋ ኣታና ዉዛ።
290d2000b0	«ስኑንታኖ ኤስ ዎናስ ቾዋኖን ወደይ ኤስ ሳአትስ ቾዋኖን አባስቴኖ ሳማኪ ሀኦሲ ዎስያስ ወደይ ናስ ኣነ አሪፌ።
290d210063	ኤስ ዎናስ ኣጌ ስናናማቶ ኣነ አሪፌት ስንና ቦርአ ጉዝራ ኦድት
290d220104	ኤሲስ ደይ ኬባሶን ቤይፋት ኦማ ዳ ሀማ አሱስነ ፋርዋ። ባር ደይ ዎስትኛባሳክቶ ዎስቶሶናክ ዎስቶ ሃኤ እማት ኬያሶን ኦድፌ ባሪን ደይ፦ ‹ጉዝራ ኦድዋ› ይሬ አጃጀ።
290d230113	ኤስ ባሪ ቦርኣ ኬያስ አባ ኣጌ ዮኒርቶ ኣነ አሪፌት ስንና ቦርአ ቴትንትሶን ኦድት። አዉዛክነ ዋልን ወደይ ዳኒ ኪጤ ወደይ አኮ ኦርፌና ካባሲክ ወደይ ዎኒሳ ዋሲ ስናክ ችማና።
290d240046	ዲንቆነ ዬሬ ኩንፌን ዳንኖይናማቶ ጉዙትዋ።
290d25006a	«ንቶክ ማኬናሲማቶ ኦምሲክኔን ዙትራ ‹ጉዙት› ይራ ማኬፋውጙዋ።»
290e010105	አይሁድኒ ፋስካሴዋ ክጣ ማስቴፋና ሄቦሴ ዛግቶናክ ሄፕ ዎና ፉእቴራ ፋር። ማግኒ ጋኛናዋ ሙሴኒ ቱማሲ አስሲኛስና የሱስኒ ኤጴ ዎርሶነ ማጙኒ ኡግና ሾልሴት ፌሴቴር።
290e020073	ስኑንታኖ ባሶ፦ «ዳራስ ፋሶ ካብጉባ፥ ሀን ሄቦስ ኣፋ ዛጉንዉዛ» ይሴቴ።
290e0301b6	የሱስ ብታኒያ ይስቴ ኬኤ ዜሞ አዋታቶኒ ሜታን ስና ስሞን ኬር ዲፌር። ኤስታ ሙን ሙክ ዲፌን እሳ ማሽካሱ ዋግባ አካማ ችማ ሹንቶ ናርዶስኒ ቶሻኪን ዎሱስቴ ሽቶ አልባስትሮስ ይስቴፋ ሹአክ ዎሱስቴ ብልቃድስ ቱማኖን ኤጳ ያ። ብልቃድስ ኡካኖን ሜስራ ሽቶሶን የሱስኒ ቴታስታ ዉክ።
290e0400d6	ኤስ ስሞን ኬር ዲሴ አሱኒ ሜኒ ጋነያስን እሳ እሳይስ ዛግቴ ባርኪ ግኢቴሴሬ፦ «ሀን ሽቶስ ባክ ዉክቴራ ኬእኖር ስንናስ አዉኒ ቦርአንሶ?
290e0500cb	ዋግቴፋናነ እሳ ዎግጋ ዎሱስቴ ዎስቶኒ ብርኔን ደናሎ ዋግቴራ ቱካምኒክ እምቶክ ችምቶና ካባዋ» ይሴሴቴ። አሱሶን ደይ ኬእሴቴ።
290e06008c	ስኑንታኖ የሱስ፦ «ቤይትዋ! አዉኒሮን ባሮን ራክስድፌትሪንሶ? ባር ታክ ማአ ዉዛ ዛጊዋ።
290e0700e7	ቱካምኒ ሜያ ዎንና ዎንና ንቶኔን አነቱ ፌሴቴ ስንና ቦርአ ሾሌት ዎኖ አሪጋሱትክ ችማትዋ። ስኑንታኖ ታ ዎንና ዎንና ንቶኔን አነ ኣፋዋ ፎና ዉዛ።
290e08008a	ሀን አሱስ ባር ችምናይሶን ታክ ዛጊዋ። አሽናስ ሞግሲ ግሩናክ ሆሱክ ዜምማ ሽቶክ ዎሺ።
290e090101	ታ ፉቶ ንቶክ ማኬፋውጙዋ፤ ሀን ምስራቹኒ ካማስ ዳስ ብራቶታ ዙታምባሴ አሲስታ ማክቴፋና ድማ ኣፋርስታኑ ሀን አሱስ ዛግና ባር ባሮን ሳፋሮንር ስንና ማክቶናዋ።»
290e0a008d	አሲሬ ሄፔ ናዎሳስን እሳ አስቆሮትኪ ዩዳ የሱስኒን ኣትሬ እማክ ማግኒ ጋኝኜ ሜያክ ሀሚ።
290e0b00db	ባሶ ደይ ኤስ ባሮን ኦደሴቴይሴ ግርሴቴ። ዋጋ ደይ እሞነክ አብድ እሜቴ። ኤስ ባሪ ቦርኣ ዩዳ ደይ የሱስኒን ኣትሬ እማና ኡግና ሾሌት ፌር።
290e0c010e	አይሁድኒ ፋስካኒ ፋንቱ ሹክቴራ ክጣ ማስቴፋና ሄቦስ ቴሱኒ ዎናስታ ናዎኒ ሜያ የሱስኒክ ዬሴሬ፦ «ፋስካ ማስቴፋ ሜታኡሶን ሙታክ አይ ሀማ ሆሱኒክ ሾሌፋሶ?» ይት ማሙሴቴ።
290e0d00c4	የሱስ ደይ ናዎሳስን ሄፒስኒ ዎስሬ፦ «ኤክ ካታማ ሀሚት። ኤስታክ ደይ አካኒ ግማ ዎርኦ አሱኒን ኡጶት። ባሳ ኦርፎሴ ሀሚት።
290e0e00cf	ባር ሀሜ ግርና ኬያስ ግሪፋት ኬያስ አባንን፦ ‹አስሲኛስ፥ ናዎታስኔን አነ ፋስካኒ ሙሶን ሙና እርባኒ ኬያ አይፋሶ?› ይፌዋ ኡት።
290e0f0073	ባር ሴጌነትስታ ሆሬራ ዪቴራ ድ ታጋ ኬያ ንቶክ ቤሱና። ኤስታ ሆሱት» ይ።
290e100071	ኤስ ናዎሳክቶ ካታማስ ሀሜሬ ማኬናሲማቶ ዳነሬ ፋስካኒ ሙሶን ሆስሴቴ።
290e110055	ዋልፋና ካባሲክ የሱስ አሲሬ ሄፔ ናዎባስኔን አነ የ።
290e1200a2	ዲሴፋ ሜሴፌን፦ «ንቶክ ፉቶ ማኬፋውጙዋ፤ ንቶስኒ እሳይስ ሀን ታኔን ሜፌ ባር ታን ኣትሬ እምንር» ይ።
290e130080	ባሶ ደይ ሱሜሴሬ እሳ እሳርቤሲስ፦ «ታ ስኑጙጋታሶ?» ይሴት የሱስኒን ማሙሴሴቴ።
290e140085	የሱስ ዎልግሬ፦ «አሲሬ ሄፔሳስኒ እሳይስ ሀን ታኔን አነ ኮራናስ ዱክሬ ሜፌ ባርዋ።
290e1500e8	አሱኒ ና ባርኪ ትቼናስማቶ ክቱናክ ፋር። ስኑንታኖ አሱኒ ናኒን ኣትሬ እምን ኤስ አሱስ ሀይቡባዎዋ። ኤስ አሱስ ኮንቶ ሻክ ስንፋናነ ማአሪዋ» ይ።
290e16009a	ሜሴፌን የሱስ ቱሻሶን ኤጴ ሀኦ ጋላቴፋት ባቴ፦ «ኤሴ፥ ሀኒስ አሽናስዋ» ይሬ ናዎሳክቶኒክ እሚ።
290e170066	ቱዎሶን ደይ ኤጴ ሀኦ ጋላቴፋት እሚ። ዙቴሬ ኤስ ቶፎስኒ ኡሸቴ።
290e180065	ኤካ ደይ ይ፦ «ሀን ባር ሾዎኒ ሜያክ ዉክቶኒ ቴያኒ ሀሪንናስዋ።
290e1900c1	«ፉቶ ንቶክ ማኬፋውጙዋ፤ ሀኦሲ ታቶኒ ሀኢእሱስ ጋድዶ ዋይኒን ኡሻሶን ኡሻና ካባኔን ሀን ባርስኒ ሄፕስ ኣፋ ኡሻናዉዛ።»
290e1a0068	ኤሴን ኦርፎ ጋላትን ጋማ ጋሜሬ ኤክ ዳብራዛይትኒ ኩማስታ ኬሴቴ።
290e1b00bd	የሱስ ናዎባሳክቶኒክ፦ «‹ኬሜሪስን እቻ ዎሩና፤ ፋንቱሲክቶ ደይ ሲክቶና› ይስቴራ ትቼና ቦርአ ዙቴራ ሀኣት ኤላትዋ።
290e1c0065	ስኑንታኖ ታ ክቱኒ ካብናኔን ኦርፎ ኤክ ጋሊላ ዜምማ ሀማና» ይ።
290e1d0071	ጴጥሮስ ደይ፦ «ዙታምቤሲሴ ሀኣት ኤለፌክኑ ታ ኣፋ ኤካ ዛጉና ዉዛ» ይ።
290e1e00ae	የሱስ ደይ፦ «ፉቶ ኔክ ማኬፋውጙዋ፤ ሀውጙ ሀን ዋላሲክ አኮ ሄፓ ዎል ሌ ኦሩኖይፌን ነ ኬዛ ዎላ ሞርሞታዋ» ይ።
290e1f00ae	ጴጥሮስ ካምባሶን ችኒሬ፦ «ነኔን አነ ክቱናኑ ስንፋናነ ኣፋ ሞርሞና ዉዛ» ይ። ዙቴሬ ደይ ባሳስማቶ ማክሴቴ።
290e2000b6	ኤሴን ኦርፎ፦ «ጌቴሴማኒ» ይስቴ ድምታ ሀሜቴ። የሱስ ናዎኒ ሜያኖን፦ «ታ ኤኬስታ ሺጶና፤ ንቶ ሀንታ ዲፎትዋ» ይ።
