010000001b	আদিপুস্তক
051b0700f5	এবং মঙ্গলার্থক বলিদান করবে আর সেই জায়গায় খাবে এবং তোমার ঈশ্বর সদাপ্রভুর সামনে আনন্দ করবে।
051b080096	সেই পাথরের ওপরে এই নিয়মের সব কথা অতি স্পষ্টভাবে লিখবে।”
051b090130	মোশি ও লেবীয় যাজকরা সমস্ত ইস্রায়েলকে বললেন, “হে ইস্রায়েল, নীরব হও, শোনো, আজ তুমি তোমার ঈশ্বর সদাপ্রভুর প্রজা হলে।
051b0a011b	অতএব তোমার ঈশ্বর সদাপ্রভুর রব মান্য করবে এবং আজ তোমাদেরকে তার যে সব আদেশ ও বিধি আদেশ করলাম, সে সব পালন করবে।”
051b0b0075	সেই দিনের মোশি লোকদেরকে এই আদেশ দিলেন, বললেন,
051b0c0162	তোমরা যর্দ্দন (নদী) পার হলে পর শিমিয়োন, লেবি, যিহূদা, ইষাখর, যোষেফ ও বিন্যামীন, এরা লোকদেরকে আশীর্বাদ করার জন্য গরিষীম পর্বতে দাঁড়াবে।
051b0d00d3	আর রূবেণ, গাদ, আশের, সবূলূন, দান ও নপ্তালি, এরা শাপ দেবার জন্য এবল পর্বতে দাঁড়াবে।
051b0e00a7	পরে লেবীয়রা কথা শুরু করে ইস্রায়েলের সব লোককে উচ্চ স্বরে বলবে,
051b0f01ef	যে ব্যক্তি কোনো খোদাই করা কিংবা ছাঁচে ঢালা প্রতিমা, সদাপ্রভুর ঘৃণিত জিনিস, শিল্পকরের হাতে তৈরী করা জিনিস নির্মাণ করে করে গোপনে স্থাপন করে, সে শাপগ্রস্ত হবে। তখন সব লোক উত্তর করে বলবে, আমেন।
051b1000ce	যে কেউ নিজের বাবাকে কি মাকে অমান্য করে, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1100e5	যে কেউ নিজের প্রতিবেশীর ভূমিচিহ্ন সরিয়ে দেবে, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1200be	যে কেউ অন্ধকে ভুল পথে নিয়ে যায়, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1300fb	যে কেউ বিদেশীর, পিতৃহীনের, কি বিধবার বিচারে অন্যায় করে, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b140110	যে কেউ বাবার স্ত্রীর সঙ্গে শোয়, নিজের বাবার অধিকার সরিয়ে দেয় সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1500b1	যে কেউ কোনো পশুর সঙ্গে শোয়, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b160134	যে কেউ নিজের বোনের সঙ্গে, অর্থাৎ বাবার মেয়ের কিংবা মায়ের মেয়ের সঙ্গে শোয়, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1700c0	যে কেউ নিজের শাশুড়ীর সঙ্গে শোয়, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1800d6	যে কেউ নিজের প্রতিবেশীকে গোপনে হত্যা করে, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1900f4	যে কেউ নিরপরাধের প্রাণ হত্যা করার জন্য ঘুষ গ্রহণ করে, সে শাপগ্রস্ত হবে। তখন সব লোক বলবে, আমেন।
051b1a0107	যে কেউ এই নিয়মের কথা সব পালন করার জন্য সেই সব অটল না রাখে, সে শাপগ্রস্ত হবে। তখন সমস্ত লোক বলবে, আমেন।
051c010211	আমি তোমাকে আজ যে সব আজ্ঞা আদেশ করছি, যত্নসহকারে সেই সব পালন করার জন্য যদি তুমি নিজের ঈশ্বর সদাপ্রভুর রবে মনোযোগ সহকারে কান দাও, তবে তোমার ঈশ্বর সদাপ্রভু পৃথিবীতে অবস্থিত সমস্ত জাতির উপরে তোমাকে ওঠাবেন;
051c0200ee	আর তোমার ঈশ্বর সদাপ্রভুর রবে কান দিলে এই সব আশীর্বাদ তোমার ওপরে আসবে ও তোমাকে আশ্রয় করবে।
051c030097	তুমি শহরে আশীর্বাদযুক্ত হবে ও ক্ষেতে আশীর্বাদযুক্ত হবে।
051c040119	তোমার শরীরের ফল, তোমার ভূমির ফল, তোমার পশুর ফল, তোমার গরুদের বাচ্চা ও তোমার মেষীদের শাবক আশীর্বাদযুক্ত হবে।
051c0500a4	তোমার (ফলের) ঝুড়ি ও তোমার আটার কাঠের থালার আশীর্বাদযুক্ত হবে।
051c0600e7	ভিতরে আসার দিনের তুমি আশীর্বাদযুক্ত হবে এবং বাইরে যাবার দিনের তুমি আশীর্বাদযুক্ত হবে।
051c0701cd	তোমার যে শত্রুরা তোমার বিরুদ্ধে ওঠে, তাদেরকে সদাপ্রভু তোমার সামনে আঘাত করাবেন; তারা একটি রাস্তা দিয়ে তোমার বিরুদ্ধে আসবে, কিন্তু সপ্তম রাস্তা দিয়ে তোমার সামনে থেকে পালাবে।
051c0801e1	সদাপ্রভু আদেশ দিয়ে তোমার গোলাঘরের বিষয়ে ও তুমি যে কোনো কাজে হাত দাও, তার বিষয়ে তোমাকে আশীর্বাদ করবেন এবং তোমার ঈশ্বর সদাপ্রভু তোমাকে যে দেশ দিচ্ছেন, সেখানে তোমাকে আশীর্বাদ করবেন।
051c090152	সদাপ্রভু নিজের শপথ অনুসারে তোমাকে নিজের পবিত্র লোক বলে স্থাপন করবেন; যদি তুমি তোমার ঈশ্বর সদাপ্রভুর আজ্ঞা পালন কর ও তাঁর পথে চল।
051c0a010f	আর পৃথিবীর সব জাতি দেখতে পাবে যে, তোমার উপরে সদাপ্রভুর নাম কীর্তিত হয়েছে এবং তারা তোমার থেকে ভয় পাবে।
051c0b01b3	আর সদাপ্রভু তোমাকে যে দেশ দিতে তোমার পূর্বপুরুষদের কাছে শপথ করেছেন, সেই দেশে তিনি ভালোর জন্যেই তোমার শরীরের ফলে, তোমার পশুর ফলে ও তোমার ভূমির ফলে তোমাকে উন্নত করবেন।
051c0c01c6	সঠিক দিনের তোমার ভূমির জন্য বৃষ্টি দিতে ও তোমার হাতের সব কাজে আশীর্বাদ করতে সদাপ্রভু নিজের আকাশের ধনভান্ডার খুলে দেবেন এবং তুমি অনেক জাতিকে ঋণ দেবে, কিন্তু নিজে ঋণ নেবে না।
051c0d020b	আর সদাপ্রভু তোমাকে প্রধান করবেন, লেজের মতো করবেন না; তুমি নত না হয়ে শুধু উন্নত হবে; যদি তুমি তোমার ঈশ্বর সদাপ্রভুর এই যে সব আজ্ঞা যত্নসহকারে পালন করতে আমি তোমাকে আজ আদেশ করছি, এই সব কিছুতে কান দিতে হবে;
051c0e0186	এবং আজ আমি তোমাদেরকে যে সব কথা আজ্ঞা করছি, অন্য দেবতাদের সেবা করার জন্যে তাদের অনুগামী হবার জন্য তোমাকে সেই সব কথার ডান দিকে কি বাম দিকে ফিরতে হবে না।
051c0f01f8	কিন্তু যদি তুমি নিজের ঈশ্বর সদাপ্রভুর রবে কান না দাও, আমি আজ তোমাকে তাঁর যে সব আজ্ঞা ও বিধি আদেশ করছি, যত্ন সহকারে সেই সব পালন না কর, তবে এই সমস্ত অভিশাপ তোমার প্রতি আসবে ও তোমার থেকে এগিয়ে যাবে।
051c10007f	তুমি শহরে শাপগ্রস্ত হবে ও ক্ষেতে শাপগ্রস্ত হবে।
051c110095	তোমার (ফলের) ঝুড়ি ও তোমার আটার কাঠের থালা শাপগ্রস্ত হবে।
051c1200eb	তোমার শরীরের ফল, তোমার ভূমির ফল এবং তোমার গরুর বাচ্চা ও তোমার মেষীদের শাবক শাপগ্রস্ত হবে।
051c1300c9	ভিতরে আসার দিনের তুমি শাপগ্রস্ত হবে ও বাইরে যাবার দিনের তুমি শাপগ্রস্ত হবে।
051c140226	যে পর্যন্ত তোমার ধ্বংস ও হঠাৎ বিনাশ না হয়, সেই পর্যন্ত যে কোনো কাজে তুমি হাত দাও, সেই কাজে সদাপ্রভু তোমার উপরে অভিশাপ, উদ্বেগ ও তিরস্কার পাঠাবেন; এর কারণ তোমার খারাপ কাজ সব, যার মাধ্যমে তুমি আমাকে পরিত্যাগ করেছ।
051c15010f	তুমি যে দেশ অধিকার করতে যাচ্ছ, সেই দেশ থেকে যতক্ষণ উচ্ছেদ না হয়, ততক্ষণ সদাপ্রভু তোমাকে মহামারী দেবেন।
051c1601b1	সদাপ্রভু ছোঁয়াচে রোগ, জ্বর, জ্বালা, প্রচণ্ড উত্তাপ ও খড়্গ এবং শস্যের শোষ ও ম্লানির মাধ্যমে তোমাকে আঘাত করবেন; তোমার বিনাশ না হওয়া পর্যন্ত সে সব তোমার অনুসরণ করবে।
051c1700c7	আর তোমার মাথার উপরে অবস্থিত আকাশ ব্রোঞ্জ ও নীচে অবস্থিত ভূমি লোহার মতো হবে।
051c18015a	সদাপ্রভু তোমার দেশে জলের পরিবর্তে ধূলো ও বালি বর্ষণ করবেন; যে পর্যন্ত তোমার বিনাশ না হয়, ততক্ষণ তা আকাশ থেকে নেমে তোমার উপরে পড়বে।
051c1901fb	সদাপ্রভু তোমার শত্রুদের সামনে তোমাকে আঘাত করাবেন; তুমি এক রাস্তা দিয়ে তাদের বিরুদ্ধে যাবে, কিন্তু সপ্তম রাস্তা দিয়ে তাদের সামনে থেকে পালাবে এবং পৃথিবীর সমস্ত রাজ্যের মধ্যে বিরক্তিজনক হবে।
051c1a00ee	আর তোমার মৃতদেহ আকাশের পাখিদের ও মাটিতে চরা পশুদের খাদ্য হবে; কেউ তাদেরকে আতঙ্কিত করবে না।
051c1b0164	সদাপ্রভু তোমাকে মিশরীয় ফোঁড়া এবং মহামারীর ঘাত, জঘন্য ও খোঁস পাঁচড়া, এই সব রোগের মাধ্যমে এমন আঘাত করবেন যে, তুমি আরোগ্য পেতে পারবে না।
051c1c00c1	সদাপ্রভু উন্মাদ, অন্ধতা ও মানসিক বিভ্রান্তের মাধ্যমে তোমাকে আঘাত করবেন।
051c1d01c4	অন্ধ যেমন অন্ধকারে হাঁতড়ে বেড়ায়, সেরকম তুমি দুপুরবেলায় হাঁতড়ে বেড়াবে ও নিজের পথে উন্নতিলাভ হবে না এবং সবদিন শুধু অত্যাচারিত ও লুন্ঠিত হবে, কেউ তোমাকে রক্ষা করবে না।
051c1e01b4	তোমার প্রতি মেয়ের বাগ্‌দান হবে, কিন্তু অন্য পুরুষ তারসঙ্গে শোবে; তুমি বাড়ি তৈরী করবে, কিন্তু তাতে বাস করতে পাবে না; আঙ্গুর ক্ষেত রোপণ করবে, কিন্তু তার ফল ভোগ করবে না।
051c1f024e	তোমার গরু তোমার সামনে মারা যাবে, আর তুমি তার মাংস খেতে পারবে না; তোমার গাধা তোমার সামনে থেকে জোর করে নিয়ে যাবে, তা তোমাকে ফিরিয়ে দেওয়া যাবে না; তোমার মেষপাল তোমার শত্রুদেরকে দেওয়া হবে, তোমার জন্যে সাহায্যকারী কেউ থাকবে না।
051c20017d	তোমার ছেলেমেয়েদেরকে অন্য এক জাতিকে দেওয়া হবে ও সমস্ত দিন তাদের অপেক্ষায় চাইতে চাইতে তোমার চোখ ব্যর্থ হবে এবং তোমার হাতে কোনো শক্তি থাকবে না।
051c210129	তোমার অজানা এক জাতি তোমার ভূমির ফল ও তোমার পরিশ্রমের সমস্ত ফল ভোগ করবে এবং তুমি সবদিন শুধু অত্যাচারিত ও চূর্ণ হবে
051c22007c	আর তোমার চোখ যা দেখবে, তার জন্য তুমি উন্মাদ হবে।
051c230128	সদাপ্রভু তোমার হাঁটু, পা ও পায়ের তলা থেকে মাথার তালু পর্যন্ত কঠিন স্ফোটকের মাধ্যমে আঘাত করবেন যা আরোগ্য হবে না।
051c2401f6	সদাপ্রভু তোমাকে এবং যে রাজাকে তুমি নিজের ওপরে নিযুক্ত করবে, তাকে তোমার অজানা এবং তোমার পূর্বপুরুষদের অজানা এক জাতির কাছে নিয়ে যাবেন; সেই জায়গায় তুমি অন্য দেবতাদের, কাঠ ও পাথরের সেবা করবে।
051c250118	আর সদাপ্রভু তোমাকে যে সব জাতির মধ্যে নিয়ে যাবেন, তাদের কাছে তুমি বিস্ময়ের, প্রবাদের ও উপহাসের পাত্র হবে।
051c2600ec	তুমি বহু বীজ ক্ষেতে বয়ে নিয়ে যাবে, কিন্তু অল্প সংগ্রহ করবে; কারণ পঙ্গপাল তা বিনষ্ট করবে।
051c270149	তুমি আঙ্গুর ক্ষেত রোপণ করে তার চাষ করবে, কিন্তু আঙ্গুর রস পান করতে কি আঙ্গুর ফল জড়ো করতে পারবে না; কারণ পোকায় তা খেয়ে ফেলবে।
051c2800f3	তোমার সকল অঞ্চলে জিতগাছ হবে, কিন্তু তুমি তেল ঘষতে পারবে না; কারণ তোমার জিতগাছের ফল ঝরে পড়বে।
051c2900d6	তুমি ছেলে মেয়েদের জন্ম দেবে, কিন্তু তারা তোমার হবে না; কারণ তারা বন্দি হয়ে যাবে।
051c2a0074	পঙ্গপাল তোমার সব গাছ ও ভূমির ফল অধিকার করবে।
051c2b00ba	তোমার মধ্যবর্ত্তী বিদেশী তোমার থেকে আরো উন্নত হবে ও তুমি আরো অবনত হবে।
051c2c00da	সে তোমাকে ঋণ দেবে, কিন্তু তুমি তাকে ঋণ দেবে না; সে মাথার মতো হবে ও তুমি লেজের মতো হবে।
051c2d020d	এই সমস্ত অভিশাপ তোমার ওপরে আসবে, তোমার অনুসরণ করে তোমার ধ্বংস পর্যন্ত তোমার থেকে এগিয়ে যাবে; কারণ তোমার ঈশ্বর সদাপ্রভু তোমাকে যে সব আজ্ঞা ও বিধি দিয়েছেন, তুমি সে সব পালনের জন্যে তাঁর রবে কান দিলে না।
051c2e00b8	এ সব তোমার ও চিরকাল তোমার বংশের উপরে চিহ্ন ও অদ্ভুত লক্ষণের মতো থাকবে।
051c2f00d6	কারণ সমৃদ্ধির জন্য তুমি আনন্দে এবং উল্লাসে নিজের ঈশ্বর সদাপ্রভুর দাসত্ব করতে না;
051c30029f	এই জন্য সদাপ্রভু তোমার বিরুদ্ধে যে শত্রুদেরকে পাঠাবেন, তুমি খিদেতে, তৃষ্ণায়, উলঙ্গতায় ও সব বিষয়ের অভাব ভোগ করতে করতে তাদের দাসত্ব করবে এবং যে পর্যন্ত তিসদাপ্রভু নি তোমার ধ্বংস না করেন, সে পর্যন্ত সদাপ্রভু তিনি তোমার ঘাড়ে লোহার যোঁয়ালি দিয়ে রাখবেন।
051c310183	সদাপ্রভুর তোমার বিরুদ্ধে বহু দূর থেকে, পৃথিবীর শেষ থেকে এক জাতিকে আনবেন; যেমন ঈগল পাখি উড়ে আসে, সে সেইভাবে আসবে; সেই জাতির ভাষা তুমি বুঝতে পারবে না।
051c3200cc	সেই জাতি ভয়ঙ্কর মুখ, সে বয়স্ককে শ্রদ্ধা করবে না ও বালকের প্রতি দয়া করবে না।
051c330238	আর যে পর্যন্ত তোমার ধ্বংস না হবে, ততক্ষণ সে তোমার পশুর ফল ও তোমার ভূমির ফল খাবে; যতক্ষণ সে তোমার ধ্বংস সম্পন্ন না করবে, ততক্ষণ তোমার জন্য শস্য, আঙ্গুর রস কিংবা তেল, তোমার গরুর বাচ্চা কিংবা তোমার মেষীর শাবক বাকি রাখবে না।
051c34025a	আর তোমার সব দেশে যে সব উঁচু ও সুরক্ষিত দেওয়ালে তুমি বিশ্বাস করতে, সে সব যতক্ষণ ভূমিসাৎ না হবে, ততক্ষণ সে তোমার সব শহরের দরজায় তোমাকে অবরোধ করবে; তোমার ঈশ্বর সদাপ্রভুর দেওয়া তোমার সমস্ত দেশে সব শহরের দরজায় সে তোমাকে অবরোধ করবে।
051c350175	আর যখন তোমার শত্রুদের মাধ্যমে তুমি অবরুদ্ধ ও কষ্ট পাবে, তখন তুমি নিজের শরীরের ফল, তোমার ঈশ্বর সদাপ্রভুর দেওয়া নিজের ছেলে মেয়েদের মাংস খাবে।
051c3601e0	যখন সব শহরের দরজায় শত্রুদের মাধ্যমে তুমি অবরুদ্ধ ও কষ্ট পাবে, তখন তোমার মধ্যে যে পুরুষ কোমল ও খুব বিলাসী, নিজের ভাইয়ের, তার প্রিয় স্ত্রী ও বাকি ছেলে মেয়েদের প্রতি সে ঈর্ষাপূর্ণ যে,
051c37011b	সে তাদের কাউকেও নিজের ছেলে মেয়েদের মাংসের কিছুই দেবে না; তার কিছুমাত্র বাকি না থাকার জন্য সে তাদেরকে খাবে।
051c380231	যখন সব শহরের দরজায় শত্রুদের মাধ্যমে তুমি অবরুদ্ধ ও কষ্ট পাবে তখন যে স্ত্রী কোমলতা ও বিলাসিতার জন্য নিজের পা মাটিতে রাখতে সাহস করত না, তোমার মাঝে এমন কোমল ও বিলাসী মহিলার চোখ নিজের স্বামীর, নিজের ছেলে ও মেয়ের ওপরে,
051c39017d	এমন কি, নিজের দুই পায়ের মধ্য থেকে বের হওয়া সদ্যোজাত ও নিজের প্রসবিত শিশুদের ওপরে অত্যাচার করবে; কারণ সব কিছুর অভাবের জন্য সে এদেরকে গোপনে খাবে।
051c3a0162	তুমি যদি এই বইতে লেখা নিয়মের সমস্ত কথা যত্ন সহকারে পালন না কর; এভাবে যদি “তোমার ঈশ্বর সদাপ্রভু” এই গৌরবান্বিত ও ভয়াবহ নামকে ভয় না কর;
051c3b013b	তবে সদাপ্রভু তোমাকে ও তোমার বংশকে ভয়ঙ্কর মহামারী দেবেন; ফলে অনেক দিন স্থায়ী মহাঘাত ও অনেক দিন স্থায়ী কঠিন রোগ দেবেন।
051c3c00e6	আর তুমি যা থেকে ভয় পেতে, সেই মিশরীয় সব রোগ আবার তোমার উপরে আনবেন; সে সব তোমার সঙ্গী হবে।
051c3d0126	আর যা এই নিয়মের বইয়ে লেখা নেই, এমন প্রত্যেক রোগ ও আঘাত সদাপ্রভু তোমার ধ্বংস না হওয়া পর্যন্ত তোমার উপরে আনবেন।
051c3e0149	তাতে আকাশের তারার মতো বহুসংখ্যক ছিলে যে তোমরা, তোমরা কিছু সংখ্যক বাকি থাকবে; কারণ তুমি নিজের ঈশ্বর সদাপ্রভুর রবে কান দিতে না।
051c3f021c	আর তোমাদের ভালো ও বহুগুণ করতে যেমন সদাপ্রভু তোমাদের বিষয়ে আনন্দ করতেন, সেরকম তোমাদের ধ্বংস ও বিনষ্ট করতে সদাপ্রভু তোমাদের বিষয়ে আনন্দ করবেন এবং তুমি যে দেশ অধিকার করতে যাচ্ছ, সেখান থেকে তোমরা অপহৃত হবে।
051c4001e7	আর সদাপ্রভু তোমাকে পৃথিবীর এক প্রান্ত থেকে অপর প্রান্ত পর্যন্ত সব জাতির মধ্যে ছড়িয়ে দেবেন; সেই জায়গায় তুমি নিজের ও নিজের পূর্বপুরুষদের অজানা অন্য দেবতাদের, কাঠ ও পাথরের সেবা করবে।
051c4101d2	আর তুমি সেই জাতিদের মধ্যে কিছু সুখ পাবে না ও তোমার পায়ের জন্য বিশ্রামের জায়গা থাকবে না, কিন্তু সদাপ্রভু সেই জায়গায় তোমাকে হৃদয়ের কম্পতা, চোখের ক্ষীণতা ও প্রাণের শোক দেবেন।
051c420138	আর তোমার জীবন তোমার দৃষ্টিতে সংশয়ে ঝুলে থাকবে এবং তুমি দিন রাত ভয় করবে ও নিজের জীবনের বিষয়ে তোমার বিশ্বাস থাকবে না।
051c430184	তুমি হৃদয়ে যে ভয় করবে ও চোখে যে ভয়ঙ্কর দৃশ্য দেখবে, তার জন্য সকালে বলবে, হায় হায়, কখন সন্ধ্যা হবে? এবং সন্ধ্যাবেলায় বলবে, হায় হায়, কখন সকাল হবে?
051c44024e	আর যে পথের বিষয়ে আমি তোমাকে বলেছি, তুমি তা আর দেখবে না, সদাপ্রভু সেই মিশর দেশের পথে জাহাজে করে তোমাকে আবার নিয়ে যাবেন এবং সেই জায়গায় তোমরা দাসদাসীরূপে নিজের শত্রুদের কাছে বিক্রীত হতে চাইবে; কিন্তু কেউ তোমাদেরকে কিনবে না।
051d0101b0	সদাপ্রভু হোরেবে ইস্রায়েলের লোকদের সঙ্গে যে নিয়ম স্থির করেছিলেন, তাছাড়া মোয়াব দেশে তাদের সঙ্গে যে নিয়ম স্থির করতে মোশিকে আজ্ঞা করলেন, এই সব সেই নিয়মের বাক্য।
051d020198	মোশি সমস্ত ইস্রায়েলকে ডাকলেন এবং তাদেরকে বললেন, সদাপ্রভু মিশর দেশে ফরৌণের, তাঁর সব দাসের ও সব দেশের প্রতি যে সব কাজ তোমাদের সামনে করেছিলেন, তা তোমরা দেখেছ;
051d0300f4	পরীক্ষাসিদ্ধ সেই সব মহৎ প্রমাণ, সেই সব চিহ্ন ও সেই সব মহৎ অদ্ভুত লক্ষণ তোমরা নিজের চোখে দেখেছ;
051d0400d0	কিন্তু সদাপ্রভু আজ পর্যন্ত তোমাদেরকে জানার হৃদয়, দেখার চোখ ও শোনার কান দেননি।
051d050155	আমি চল্লিশ বছর মরুপ্রান্তে তোমাদেরকে চালিয়েছি; তোমাদের গায়ে তোমাদের পোষাক পুরানো হয়নি ও তোমার পায়ে তোমার জুতা পুরাতন হয়নি;
051d060107	তোমরা রুটি খাওনি এবং আঙ্গুর রস কি সুরা পান করনি; যেন তোমরা জানতে পার যে, আমিই তোমাদের ঈশ্বর সদাপ্রভু।
051d070167	আর তোমরা যখন এই জায়গায় উপস্থিত হলে, তখন হিষ্‌বোনের রাজা সীহোন ও বাশনের রাজা ওগ আমাদের সঙ্গে যুদ্ধ করতে বের হলে আমরা তাদেরকে আঘাত করলাম;
051d0800f7	আর তাদের দেশ নিয়ে অধিকারের জন্যে রূবেণীয় ও গাদীয়দেরকে এবং মনঃশীয়দের অর্ধেক বংশকে দিলাম।
051d090139	অতএব তোমরা যা যা করবে, সমস্ত বিষয়ে যেন উন্নতিলাভ করতে পার, এই জন্য এই নিয়মের কথা সব পালন কোরো এবং সেই অনুসারে কাজ কোরো।
051d0a019d	তোমরা সবাই আজ তোমাদের ঈশ্বর সদাপ্রভুর সামনে দাঁড়িয়ে আছ, তোমাদের অধ্যক্ষরা, তোমাদের বংশ সব, তোমাদের প্রাচীনরা, তোমাদের শাসকরা, এমন কি, ইস্রায়েলের সব পুরুষ,
051d0b0148	তোমাদের বালক বালিকারা, তোমাদের স্ত্রীরা এবং তোমার শিবিরের মধ্যে তোমার কাঠ কাটার লোক থেকে জলবাহক পর্যন্ত এবং বিদেশী, সবাই আছ;
051d0c011a	যেন তুমি তোমার ঈশ্বর সদাপ্রভুর সেই নিয়মে ও সেই শপথে আবদ্ধ হও, যা তোমার ঈশ্বর সদাপ্রভু আজ তোমার সঙ্গে করছেন;
051d0d01d6	এই জন্য করছেন, যেন তিনি আজ তোমাকে নিজের লোক হিসাবে স্থাপন করেন ও তোমার ঈশ্বর হন, যেমন তিনি তোমাকে বলেছেন, আর যেমন তিনি তোমার পূর্বপুরুষ অব্রাহাম, ইস্‌হাক ও যাকোবের কাছে শপথ করেছেন।
051d0e0092	এবং আমি এই নিয়ম ও এই শপথ শুধু তোমাদেরই সঙ্গে করছি, তা না;
051d0f0150	বরং আমাদের সঙ্গে আজ এই জায়গায় আমাদের ঈশ্বর সদাপ্রভুর সামনে যে কেউ দাঁড়িয়ে আছে ও আমাদের সঙ্গে আজ যে নেই, সেই সবের সঙ্গে করছি।
051d1000e8	কারণ আমরা মিশর দেশে যেভাবে বাস করেছি এবং জাতিদের মধ্যে দিয়ে যেভাবে এসেছি, তা তোমরা জানো
051d1100e3	এবং তাদের ঘৃণার্হ জিনিস সব, তাদের মধ্যে কাঠের, পাথরের, রূপার ও সোনার মূর্ত্তি সব দেখেছ।
051d12025b	এই জাতিদের দেবতাদের সেবা করতে যাবার জন্য আজ আমাদের ঈশ্বর সদাপ্রভু থেকে যার হৃদয় অন্য পথে ফিরে যায়, এমন কোনো পুরুষ কিংবা স্ত্রী কিংবা গোষ্ঠী কিংবা বংশ তোমাদের মধ্যে যেন না থাকে, বিষগাছের কি নাগদানার মূল তোমাদের মধ্যে যেন না থাকে
051d1301a9	এবং এই শাপের কথা শোনার দিনের কেউ যেন মনে মনে নিজের ধন্যবাদ করত না বলে, আমি ভিজের সঙ্গে শুকনোর ধ্বংস করার জন্য নিজের হৃদয়ের একগুঁয়েমিতায় চললেও আমার শান্তি হবে।
051d140224	সদাপ্রভু তাকে ক্ষমা করতে রাজি হবেন না, কিন্তু সেই মানুষের ওপরে তখন সদাপ্রভুর রাগ ও তাঁর কোপ ধূমায়িত হবে এবং এই বইয়ে লেখা সমস্ত শাপ তার ওপরে শুয়ে থাকবে এবং সদাপ্রভু আকাশমণ্ডলের নীচে থেকে তার নাম মুছে দেবেন।
051d15013b	আর এই নিয়মের বইয়ে লেখা নিয়মের সব শাপ অনুসারে সদাপ্রভু তাকে ইস্রায়েলের সব বংশ থেকে বিপর্যয়ের জন্য বিতাড়িত করবেন।
051d160162	আর সদাপ্রভু সেই দেশের উপরে যে সব আঘাত ও রোগ আনবেন, তা যখন আগামী বংশ, তোমাদের পরে উৎপন্ন তোমাদের সন্তানরা এবং বিদেশ থেকে আসা বিদেশী দেখবে
051d17026a	এবং সদাপ্রভু নিজের রাগে ও ক্রোধে যে সদোম, ঘমোরা, অদমা ও সবোয়িম শহর উৎপন্ন করেছিলেন, তার মত এই দেশের সব ভূমি গন্ধক, জলন্ত লবণে পরিপূর্ণ হয়েছে, তাতে কিছুই বোনা যায় না ও তা ফল উৎপন্ন করে না ও তাতে কোনো তৃণ হয় না, এ সব যখন দেখবে; তখন তারা বলবে,
051d1800f6	এমন কি, সব জাতি বলবে, সদাপ্রভু এ দেশের প্রতি কেন এমন করলেন? এমন মহাক্রোধ প্রজ্বলিত হবার কারণ কি?
051d1901c6	তখন লোকে বলবে, কারণ এই, তাদের পূর্বপুরুষদের ঈশ্বর সদাপ্রভু মিশর দেশ থেকে সেই পূর্বপুরুষদেরকে বের করে আনার দিনের তাদের সঙ্গে যে নিয়ম স্থির করেন, সেই নিয়ম তারা ত্যাগ করেছিল
051d1a015d	আর গিয়ে অন্য দেবতাদের সেবা করেছিল, যে দেবতাদেরকে তারা জানত না, যাদেরকে তিনি তাদের জন্য নির্ধারণ করেননি, সেই দেবতাদের কাছে নত করেছিল;
051d1b00e7	তাই এই বইয়ে লেখা সমস্ত শাপ দেশের উপর আনতে এই দেশের বিরুদ্ধে সদাপ্রভুর রাগ প্রজ্বলিত হল
051d1c0115	এবং সদাপ্রভু রাগে, ক্রোধে ও মহাকোপে তাদেরকে তাদের দেশ থেকে অন্য দেশে নিক্ষেপ করেছেন, যেমন আজ দেখা যাচ্ছে।
051d1d0192	গোপন বিষয় সব আমাদের ঈশ্বর সদাপ্রভুর অধিকার; কিন্তু প্রকাশিত বিষয় সব আমাদের ও চিরকাল আমাদের বংশধরদের অধিকার, যেন এই নিয়মের সব কথা আমরা পালন করতে পারি।
051e010187	আমি তোমার সামনে এই যে আশীর্বাদ ও অভিশাপ স্থাপন করলাম, তখন তোমার ঈশ্বর সদাপ্রভু যে সব জাতির মধ্যে তোমাকে তাড়িয়ে দেবেন, সেখানে যদি তুমি মনে চেতনা পাও
051e0201d2	এবং তুমি ও তোমার সন্তানরা যদি সম্পূর্ণ হৃদয়ের ও সম্পূর্ণ প্রাণের সঙ্গে তোমার ঈশ্বর সদাপ্রভুর কাছে ফিরে এস এবং আজ আমি তোমাকে যে সব আদেশ দিচ্ছি, সেই অনুসারে যদি তাঁর রবে অবধান কর;
051e0301d6	তবে তোমার ঈশ্বর সদাপ্রভু তোমার বন্দিত্ব ফেরাবেন, তোমার প্রতি দয়া করবেন ও যে সব জাতির মধ্যে তোমার ঈশ্বর সদাপ্রভু তোমাকে ছড়িয়ে দিয়েছিলেন, সেখান থেকে আবার তোমাকে সংগ্রহ করবেন।
