0100000012	Англунимо
011102008c	Мэ стерава Муро завето машкар Ман тай туґа тай дава тути фартэ бут потомкуря.
011103005d	Аврамо тэлэдыня муеґа тэлэ, тай Дэвэл пхэнда лэсти:
0111040083	— Муря ригатар, акэ Муро завето туґа: ту авэґа дадэґа бутэнди народэнди.
01110500d4	Ту будэр на авэґа тэ акхарэпэ Аврамоґа: тиро лав авэла Авраамо, пала када со Мэ стерава тут дадэґа бутэнди народэнди.
011106009e	Тутэ авэла фартэ бут чяворэ; тутар Мэ вылиджява народуря тай тутар вылиджява тхагарен.
0111070118	Мэ стерава Муро завето машкар Ман тай туґа, и чяворэнца тирэнца пэ всаворэ бэрша, сар вечно завето: Мэ авава тирэґа Дэвлэґа тай Дэвлэґа тирэнди чяворэнди.
01110800ed	Всавори пхув Ханаано, тев ту екхатар авилян, Мэ терава тут хулаеґа пэ всаворэ бэрша, тут и тирэ чяворэн; тай авава Мэ лэнди Дэвлэґа.
01110900f2	Дэвэл пхэнда Авраамости: — Тирятар ригатар, ту авэґа тэ терэ кади, сар дэ Муро завето, ту, тай чяворэ тирэ, тай всаворэ лэндирэ родуря.
01110a00d2	Акэ Муро завето туґа тай тирэнца чяворэнца дэ всаворэ родуря. Ту авэґа тэ терэ кади: кожно чяворо мэк авэла обчиндо.
01110b00ae	Кожнонэсти трэбуни тэ терэ обчиндимо, када авэла заветохкирэґа знакоґа машкар Ман тай тумэнца.
01110c0190	Кожно тумаро чяворо дэ всаворэ родуря трэбуни тэ авэл обчиндо, кала лэсти авэла охто дивэ: тай кодэва, ко бэяндапэ дэ тиро цэр, тай кодэва, саво на тирэндар чяворэндар, ай савэн тиндэ пала ловэ манушэстар аврятар пхуятар.
01110d00e4	Тай саво бэяндапэ дэ тиро цэр, тай савэн тиндэ пала ловэ, трэбуни тэ авэл обчиндо. Тай Муро завето пэ тумаро трупо авэла вечно.
01110e00c3	Наобчиндо чяворо, савэстэ на сля обчиндимо, авэла вычюто пэхкирэндар манушэндар: вов розчинда Муро завето.
01110f00c8	Инте Дэвэл пхэнда Авраамости: — А Сара, ромня тиря, ту будэр на авэґа тэ акхарэ ла Сара, латиро лав авэла Сарра.
0111100103	Мэ бахталисарава ла тай дава тути латар чявэ. Мэ бахталисарава ла кади, со вой авэла дэй важ бут народуря, тай латар джяна тхагаря манушэндирэ.
011111011e	Авраамо тэлиля ды пхув, ай дэ пэстэ розасаняпэ тай подумисарда: «Бэяндёлапэ чяво манушэстэ, савэсти шэл бэрш? Бэяндёла ли чяворэ Сарра, савяти инядэша бэрш?»
0111120086	Вов пхэнда Дэвлэсти: — Мишто Измаило сля б джювдо тай бахталисардо Тутар!
011113012a	Дэвэл пхэнда: — Тири ромни Сарра бэянэла тути чявэ, тай ту акхарэґа лэ Исаако. Мэ стерава Муро завето лэґа сар вечно завето важ лэхкирэ чяворэндэ дэ всаворэ родуря.
0111140128	Тай пала Измаило Мэ ушундом тут. Мэ и лэ бахталисарава, тай лэстэ авэна фартэ бут чяворэ. Вов авэла дадэґа дэшудуенди барэдэрэнди тай Мэ терава лэстар бари порода.
0111150096	Нэ Муро завето авэла Исаакоґа, савэ Сарра бэянэла тути пэ авэр бэрш дэ кадыя вряма.
0111160074	Кала Дэвэл пэрэачиля тэ дэдумэ Авраамоґа, Вов подлиляпэ лэстар.
0111170151	Дэ кодэва жэ диво Авраамо лиля пэхкирэ чявэ Измаило тай всаворэн, ко сля бэяндо дэ лэхкиро цэр, ко сля тиндо пала ловэ, тай всаворэн муршэн дэ цэр, тай обчинда лэн, сар пхэнда лэсти Дэвэл.
0111180064	Авраамости сля инядэша иня бэрша, кала вов сля обчиндо,
0111190050	ай лэхкирэ чявэсти Измаилости сля душутрин.
01111a0084	Авраамо тай лэхкиро чяво Измаило дуйджинэ сле обчиндэ дэ кодэва жэ диво.
01111b012c	Тай всаворэ мурша дэ Авраамохкиро цэр: тай кола, ко сля бэяндо дэ лэхкиро цэр, тай ко сля тиндо пала ловэ манушэстар аврятар пхуятар, — вса сле обчиндэ екхтханэ лэґа.
01120100c9	РАЙ авиля Авраамостэ пашэ вэша Мамре, кала вов бэшля англа пэхкири катуна, дэ вряма, кала кхам фартэ татярэлас.
01120200f5	Авраамо подлиля якха тай удыкхля, со надур ачен трин мануша. Кала удыкхля лэн, вов прастыня катунатар лэндэ тай тэлиля лэнди дэ пхуятэ.
0112030097	Вов пхэнда: — Хулай, сар мэ аракхлём мила дэ тирэн якхэн, на проджя ман, тирэ копыле.
011204008f	Мэк анэна набут пани, соб тумэнди тэ выхалавэ пурэ. Отцынявэн тала кадыя рандь,
0112050120	нэ мэ анава тумэнди сось тэ пэрэхаха. Тумэ лэна зор тай джяна дурэдэр — кала тумэ екхатар авиле тумарэстэ копылестэ. — Мишто, — пхэндэ вонэ. — Тер, сар пхэнэх.
01120600d7	Авраамо прастэня дэ катуна Сарратэ тай пхэнда: — Сигидэр, дорос трин чярэ варо, саво фэдэр, стер хумэр тай спэк мандро.
01120700b9	Вов прастэня ґуртостэ, вылиля райканэ лачёрэ гуруворэ тай отдэня копылести, саво фартэ сиго тавда лэ.
01120800db	Тунчи Авраамо анда тирял, тхуд тай тавдо гурувано мас тай тховда англа лэн. Сар вонэ хале, вов ачелас паша лэн тала рандь.
011209007f	— Тев тири ромни Сарра? — пхучле вонэ. — Котэ, дэ катуна, — пхэнда вов.
01120a0147	Тунчи мурш пхэнда: — Мэ чяче рисявава тутэ пэ авэр бэршэ, дэ кадыя жэ вряма, тай Сарратэ, тирятэ ромнятэ, авэла чяво. Сарра шунэлас, кала ачелас лэстэ пала думэ, дэ катуна пашэ удара.
01120b009c	Авраамо тай Сарра сле пуранэ дэ бэршэн, тай када со исин джювлендэ, Сарратэ пэрэачиля.
01120c00bf	Пала када Сарра розасаняпэ дэ пэ, подумисарда: «Мэ пурани, тай хулай муро пурано. Мандэ авэла кацави лош?»
01120d00bc	Тунчи РАЙ пхэнда Авраамости: — Сости Сарра асалпэ тай пхэнэл: «Чи чяче мандэ авэла чяворо? Мэ жэ пхури!»
01120e00ba	Исин со фартэ пхаро важ РАЕСТИ? Мэ рисявава тутэ пэ авэр бэрш дэ кадыя жэ вряма, тай Сарратэ авэла чяво.
01120f00ab	Сарра пэрэдарыняпэ тай ачиля тэ отпхэнэпэ: — Мэ на асанёмпэ. Ай Вов пхэнда: — Нат, ту асанянпэ.
01121000a3	Мурша ваздынепэ тай джиле дэ риг Содомохкири. Авраамо жэ джиля лэнца, соб тэ пролиджя лэн.
011211007b	РАЙ подумисарда: «Гаравава ли Мэ Авраамостар кода, со камав тэ терэ?
01121200b8	Авраамостар чяче джяна баро тай зорало народо, тай всаворэ мануша пэ пхув авэна бахталисардэ лэстар.
011213016c	Мэ жэ вытидэнём лэ, соб вов тэ прыпхэнэл пэхкирэнди чяворэнди тай всаворэсти пэхкирэ родости тэ пхирэ пав РАЕХКИРЭН дромэн чячимаґа тай пативаґа. Тунчи Мэ, РАЙ, стерава кода, со Мэ пхэнда Авраамости».
01121400a0	РАЙ пхэнда: — Дэ Содомо тай Гомора шунэлпэ баро типисявимо, мануша котэ терэн бут бэзэх.
01121500e0	Мэ сджява тай подыкхава, чячюно ли типисявимо, саво доджиля Мандэ, кади ли намишто вонэ терэн. Мэ уджянава, када кади чи нат.
0112160083	Мурша порисиле тай джиле Содомостэ, ай РАЙ ачиляпэ тэ аче англа Авраамо.
01121700b5	Авраамо поджиля пашэдэр Лэстэ тай пхэнда: — Со, чяче, Ту умарэґа чячюнэ манушэ екхтханэ бэзэхалэґа?
01121800d4	Со, сар дэ форо исин панчдэша чячютнэ? Ту всаекх умарэґа тай на дэґа Тири мила калэсти тханэсти важ панчдэша чячютнэ?
011219011b	На авэґа Ту тэ терэ кацаво — тэ умарэ чячюнэ ектханэ бэзэхалэґа кади ж. На авэґа Ту кади тэ терэ! Со ж Сундисари всаворя люмлятиро авэла ли тэ терэ хохавимо?
01121a00cd	РАЙ пхэнда: — Сар Мэ аракхава дэ Содомо панчдэша чячютнэн, то пала лэн сикавава Мури мила пэ всаворо кодэва тхан.
01121b00b7	Тунчи Авраамо пхэнда инте: — Акэ, мэ исин прахо тай пепло, ай мэ би даратиро ачилём тэ дэдумэ Хулаеґа.
01121c013e	Со, сар дэ панчдэша чячютнэн на хутилэла панч? Умарэґа Ту всаворо форо пала када, со на хутилэл панч манушэн? — Сар Мэ аракхава котэ саранда панч, — пхэнда Вов, — на умарава лэ.
01121d00d9	Авраамо пхэнда Лэсти инте екхвар: — Со, сар котэ аракхэнапэ кацик саранда? Вов пхэнда: — Пала саранда Мэ на терава када.
01121e0123	Тунчи Авраамо пхэнда: — На холявэл, Хулай, ай дэла манди тэ пхэнэ. Со, сар аракхэнапэ котэ кацик трянда? Вов пхэнда: — Мэ на терава када, сар аракхава котэ трянда.
01121f00f1	Авраамо пхэнда: — Акэ, мэ инте камав тэ пхучяв Тутар, Хулай. Со, сар аракхэнапэ котэ кацик биш? Вов пхэнда: — Пала биш Мэ на умарава лэ.
0112200116	Тунчи Авраамо пхэнда: — Тэ на холявэл Хулай, ай дэла манди тэ пхэнэ инте екхвар. Со, сар аракхэнапэ котэ кацик дэш? Вов пхэнда: — Пала дэш Мэ на умарава лэ.
011221007e	РАЙ пэрэачиля тэ дэдумэ Авраамоґа тай уджиля, ай Авраамо рисиля цэрэ.
01130100e6	Дуй ангелуря авиле дэ Содомо бельвеляґа, тай Лото бэшэлас пашэ удара форохкирэ. Кала удыкхля лэн, вов вщиля тай тэлиля дэ пхув.
0113020154	— Хулая мурэ, — пхэнда вов, — мангав тумэн, заджян дэ цэр тумарэстэ копылёстэ. Тумэ халавэна пурэ тай ратярэна мандэ, ай дэнзор джяна дурэдэр. — Нат, — пхэндэ вонэ, — амэ ратяраґа пэ гаса.
01130300da	Нэ вов кади мангэлас, со вонэ джиле пала лэ тай заджиле дэ цэр. Вов тавда важ лэн хамо, пэкля присно мандро, тай вонэ хале.
01130400a1	Ай дыкалэ, сар вонэ пыле, всаворэ мурша Содомостар, тэрнэ тай пхурэ, лиле цэр дэ бэльчюґо.
01130500d1	Вонэ типисиле Лотости: — Тев мануша, савэ авиле тутэ бэльвеляґа? Вылиджя лэн амэндэ, амэ камах тэ пэрэсовах лэнцар.
0113060052	Лото выджиля лэндэ тай затерда пала пэ удара.
0113070064	Вов пхэнда: — Нат, амала мурэ, на терэн кацаво налачимо.
0113080132	Пошунэн, мандэ исин дуй чея, савэ инте на сле муршэґа. Камэн, мэ вылиджява лэн тумэндэ, терэн лэнца, со камэн. Ай на терэн нисо кадэлэнди манушэнди, савэ авиле дэ муро цэр.
0113090189	Вонэ пхэндэ: — Наш дромэстар! Тай пхэндэ: — Кадыва мануш, авиля амэндэ авря пхуятар, ай кана камэл тэ авэ амэнди сундимареґа! Амэ тераґа туґа инте врытэдэр! Вонэ ачиле тэ вытрадэ Лото тай поджиле, соб тэ выпхагэ удара.
01130a00a2	Нэ мурша, савэ аченаспэ дэ цэр, процырдэне васта, зацырдэне Лото дэ цэр тай затердэ удара.
01130b00ac	А колэн, ко сле пашэ цэр, тэрнэн тай пхурэн, вонэ тердэ корэнца, кади со вонэ на аракхэнас удара.
01130c00cd	Кала мурша пхэндэ Лотости: — Ко инте тутэ катэ исин — джямутрэ, чявэ, чея, ко исин инте дэ форо? Вылиджя лэн катар,
01130d00e7	пала када со амэ стидахпэ тэ умарэ кадыва тхан. Типисявимо РАЕСТЭ пэ кала мануша кацаво зорало, со Вов бичялда амэн тэ умарэ лэ.
01130e0147	Лото выджиля тай пхэнда дуенди манушэнди, савэ камле тэ лэ пала пэстэ лэхкирэн чеен: — Сигидэр, уджян катар! РАЙ стидэлпэ тэ спхабарэ форо! Ай кодэла думисардэ, со вов терэл пхиряс.
01130f0132	Англа када, сар кхам ущиля, ангелуря ачиле тэ подтрадэ Лото, пхэнэнас: — Сигидэра! Улиджя катар пэхкиря ромня тай дуен чеен, ай нат, ту мэрэґа, кала мэримо пэрэла пэ форо.
0113100117	Вов стидэласпэ насиго, ай кодыла дуй лиле лэ пала васт, тай лэхкиря ромня, тай дуен чеен, пала када со РАЙ сикавда лэнди мила, тай вылиджялдэ лэн пала форо.
01131100f6	Кала вонэ сле пала форо, екх лэндар пхэнда: — Наш катар! На дыкх павпалэ тай на ачь ни тев дэ маля! Наш дэ плая, ай сар на кади — ту мэрэґа!
011312003e	Ай Лото пхэнда лэнди: — Нат, Хулай!
011313012b	Копыли тиро аракхля дэ Тирэн якхэн лачимо. Ту сикавдан манди бари мила, кала фирисарэґас муро джювимо. Ай дэ плая мэ на допрастэва: глаба доросэла ман, тай мэ мэрава.
011314010a	Акэ кодэва форицы надур, пордэ мэ допрастэва, тай вов на баро. Дэ манди тэ нашэ пордэ— вов фартэ цыкно, на кади? — тай муро джювимо авэла фирисардо.
01131500a4	Вов пхэнда: — Мишто, Мэ терава и када, со мангэх: Мэ на спхабарава форо, пала савэ ту пхэнэх.
01131600ed	Наш пордэ сигидэр, пала када со Мэ нисо на авава тэ терэ, тунчи сар ту на допрастэґа дэ лэ. (Акэ сости кодэва форо сля акхардо Цоаро).
0113170053	Кала Лото допрастэня дэ Цоаро, кхам ужэ вщиля.
01131800af	Тунчи РАЙ прочюта брышындэґа пэ Содомо тай Гомора пхабарди сера. Вой авиля болыбнастар РАЕСТАР.
01131900b4	Вов спхабарда форуря тай всавори маля, тай всаворэн, ко джюда дэ форуря, тай вса, со барёлас пэ пхув.
01131a007f	Ай ромни Лотохкири обрисардапэ павпалэ тай тердапэ лондэґа столбоґа.
01131b00bd	Пэ авэр дэнзор Авраамо подлиляпэ фартэ дэнзор тай рисардапэ колэстэ тханэстэ, тев вов ачелас англа РАЙ.
01131c00c9	Вов подыкхля пэ Содомо, Гомора тай пэ всавори маля тай удыкхля: зорало тхув ваздэлпэ пхуятар, сар тхув боватар.
01131d00d4	Кади, кала Дэвэл спхабарда форуря малендирэ, дэ савэн джюда Лото, Вов взрапирда Авраамо тай фирисарда Лото глабатар.
01131e00f6	Лото даралас тэ ачепэ дэ Цоаро. Вов тай дуй лэхкирэ чея уджиле Цоаростар дэ плая. Пэхкирэнца дуенца чеенца вов ачиля тэ джювэ дэ пищера.
01131f00e3	Пхурэдэр чей пхэнда цыкняти: — Амаро дад пурано, тай катэ нитев нинай муршэ, соб тэ пэрэл амэнца, сар терэлпэ пэ всавори пхув.
01132000ad	Матяраґа дадэ, даґа лэсти мол тай пэраґа лэґа. Мэк и амарэстар дадэстар, нэ амэндэ авэна чяворэ.
01132100f2	Дэ кодыя рат вонэ дэне дадэсти мол тай матярдэ лэ, тай пхурэдэр чей заджиля тай пэля лэґа. Вов и на джянгля, кала вой пэля и кала вщиля.
0113220188	Пэ авэр диво пхурэдэр чей пхэнда цыкняти: — Дэ рат, сави проджиля, мэ пэлём дадэґа. Упалэ даґа лэсти мол тай матяраґа авдивэ бельвеляґа, тай ту заджяґа тай пэрэґа лэґа. Мэк и амарэстар дадэстар, нэ амэндэ авэна чяворэ
01132300e7	Вонэ дэне мол тай матярдэ дадэ дэ кадыя рат, тай цыкнэдэр чей заджиля тай пэля лэґа. Вов и на джянгля, кала вой пэля и кала вщиля.
0113240051	Кади дуй чея Лотохкирэ ачиле пхарэ дадэстар.
0113250078	Пхурэдэр чей бэянда чявэ тай акхарда лэ Моаво; вов дад моавитянэн.
011326008f	Цыкнэдэр чей кади ж бэянда чявэ тай акхарда лэ — Бен-Амми; вов дад аммонитянэн.
01140100cd	Котар Авраамо пэрэджиля дэ пхув Негево тай джювэлас машкар Кадешо тай Шуро. Вов савись вряма джювэлас дэ Гераро.
01140200e7	Котэ вов пхэнэлас всаворэнди, со Сарра сля лэхкири пхэнь. Авимелехо, тхагари Герарохкиро, бичялда пала Сарра тай лиля ла пэстэ.
01140300e9	Ай ратяґа дэ сунэ Авимелехостэ авиля Дэвэл тай пхэнда лэсти: — Тутэ авэла мэримо пала джювли, савля ту лилян пэстэ: вой пала ром.
01140400b2	Нэ Авимелехо на лэласпэ латэ, тай пала када вов пхэнда: — Хулай, Ту жэ на умарэґа навуджило народо?
01140500e5	Вов жэ пхэнда манди, со вой лэхкири пхэнь, тай вой пхэнда, со вов латиро пхрал. Катэ мэ на тердом бэзэх на ды годи, на ды рындуря.
01140600fd	Дэвэл пхэнда лэсти дэ сунэ: — Чяче, Мэ джянав, со годи тири жужи: када Мэ урицардом тут бэзэхатар англа Мандэ, тай на дэнём тути тэ лэпэ латэ.
011407014f	Кана рисар ромня ромэсти, пала када со вов — англунари. Вов помангэлапэ пала тут, тай ту ачеґапэ джювдо. Ай сар ту на рисарэґа ла, джян, со тути тай тирэсти родости тэ на унашэ мэриматар.
01140800dc	Пэ авэр диво дэнзор Авимелехо стидэня всаворэн пэхкирэн пашутнэн тай роспхэнда лэнди, со тердапэ, тай вонэ фартэ дарэне.
011409015c	Тунчи Авимелехо акхарда Авраамо тай пхэнда: — Со ту амэнца тердан? Саво врытимо мэ тути тердом, со ту андан кацави пхари дош пэ ман тай пэ муро тхагаримо? Ту тердан манца кади, сар нащи тэ терэ.
01140a008f	Тай Авимелехо пхучля Авраамостар: — Со сля тутэ пэ годи, кала ту тердан кацаво?
01140b00d9	Авраамо пхэнда: — Мэ подумисардом: «Дэ кадыва тхан, чяче, нинай дар Дэвлэхкиро, тай мануша умарэна ман пала муря ромня».
01140c00a1	Ай инте, вой чяче мури пхэнь, чей мурэ дадэсти, ай на муря датар. Вой ачиля муряґа ромняґа.
01140d012a	Кала Дэвэл бичялда ман мурэ дадэхкирэ цэрэстар тэ пхирэ пав пхув, мэ пхэндом лати: «Стер манди кацаво лачё рындо: тев бы амэ на авиле, пхэн пала ман, со мэ тиро пхрал.
01140e00f7	Тунчи Авимелехо анда цыкно тай баро ското, копылен тай копыльницэн тай дэня лэн Авраамости. Вов инте рисарда лэсти лэхкиря ромня Сарра.
01140f0068	Авимелехо пхэнда: — Мури пхув англа тутэ: джюв, тев камэх.
011410011b	Саррати вов пхэнда: — Мэ дэнём тирэсти пхралэсти пхангли шэкели рупь, соб тэ ушаравэ тири холи дэ якхэн всаворэн, ко дэ тиро цэр. Тири патив кана упалэ жужи.
01141100eb	Авраамо помангляпэ Дэвлэсти, тай Дэвэл састярда Авимелехо, лэхкиря ромня тай копыльницэн, тай вонэ упалэ ачиле тэ бэянэ чяворэн.
01141200ee	Ай дыкалэ РАЙ на дэлас ни екх джювляти дэ Авимелехохкиро цэр тэ бэянэ, пала када со Авимелехо лиля пэсти Сарра, Авраамохкиря ромня.
011501007b	Сар Вов и пхэнда, РАЙ сикавда мила Саррати тай срицарда Пэхкиро лав.
01150200bd	Кала Авраамо ужэ ачиля пурано, Сарра ачиля пхари тай бэянда лэсти чявэ, дэ кодыя вряма, сар пхэнда Дэвэл.
011503006d	Авраамо дэня чяворэсти, савэ бэянда лэсти Сарра, лав Исаако.
01150400b2	Кала лэхкирэсти чявэсти Исаакости ачиля охто дивэ, Авраамо обчинда лэ, сар прыпхэнда лэсти Дэвэл.
0115050068	Авраамости сля шэл бэрш, кала лэстэ бэяндапэ чяво Исаако.
01150600b5	Сарра пхэнда: — Дэвэл заачявда ман тэ асапэ. Кожно, ко ушунэла пала када, розасалапэ екхтханэ манца.
01150700e1	— Тай допхэнда: — Ко б пхэнда Авраамости, со Сарра авэла тэ парварэ колинаґа? Ай мэ бэяндом лэсти чявэ дэ лэхкиро пхуранимо.
01150800df	Чяворо выбариля тай сля отлито колинатар. Дэ кадыва диво, кала Исаако сля отлито колинатар, Авраамо стерда баро сэрбатори.
011509009e	Сарра удыкхля, со чяво, савэ бэянда Авраамости Агарь Египтостар, подасалпэ Исаакостар,
01150a0133	тай пхэнда Авраамости: — Вытрадэ кадыла копыльница тай латирэ чявэ, пала када со чяво кадылатиро копыльницатиро на лэла амаро хулаемо екхтханэ мурэґа чявэґа Исаакоґа.
01150b0075	Авраамо сля фартэ холямо, пала кода со и кадыва сля лэхкиро чяво.
01150c010f	Ай Дэвэл пхэнда лэсти: — На холяв пала чяворэ тай копыльницатэ. Пошунпэ Сарра тай стер вса, сар вой пхэнэл, пала када со порода тутэ джяла Исаакостар.
01150d0096	Ай чявэстар копыльницатирэстар Мэ стерава инте народо, пала када со вов тиро чяво.
01150e0149	Пэ аврэ дивэ фартэ дэнзор Авраамо лиля хамо, пани дэ бурдюко тай дэня Агаряти: тховда лати пэ пхикэн тай отбичялда котар ла тай чяворэ. Вой джиля тай пхирэлас пав шуки пхув Вирсавия.
01150f0070	Кала пани дэ бурдюко на ачиля, вой ачявда чяворэ тала рандёры,
011510011f	отджиля надур тай прэбэшля пэ дром, сар урял стрела лукостар. Вой думисарэлас: «На авава тэ дыкхэ, сар чяворо мэрэл». Кала вой бэшэлас котэ, розровиняпэ фартэ.
0115110131	Дэвэл ушунда чяворэхкиро ровимо, тай Дэвлэхкиро ангело ачиля тэ дэдумэ болыбнатар Агарятэ: — Со туґа, Агарь? На дар, Дэвэл ушунда, сар ровэл чяворо котэ, тев вов пашлёл.
011512007b	Вщи, ваздэ лэ, лэ чяворэ пала вастэ. Мэ вылиджява лэстар баро народо.
01151300d2	Дэвэл оттерда лати якха, тай вой удыкхля ханинг панеґа. Вой джиля, пхэрдиля бурдюко панеґа тай дэня тэ пэ чяворэсти.
01151400bb	Дэвэл сля чяворэґа. Измаило выбариля тай ачиля тэ джювэ дэ шуки пхув. Вов фартэ мишто марэлас лукостар.
0115150080	Вов джюда дэ шуки пхув Парано, тай дэй лиля важ лэсти ромня Египтостар.
01151600d8	Дэ кодыя вряма Авимелехо тай Фихоло, барэдэр рай дэ лэхкирэ войско, пхэндэ Авраамости: — Дэвэл туґа дэ вса, со ту терэх.
0115170147	Дэ солах манди катэ англа Дэвлэ, со ту на хохавэґа ни ман, ни мурэн чяворэн, ни мурэн потомконэн. Стер манди тай пхуяти, дэ сави ту екхатар джювэх, кодыя жэ мила, сави мэ стердом тути.
0115180033	Авраамо пхэнда: — Дав солах.
01151900b1	Тунчи Авраамо выпхэнда Авимелехости пала ханинг панеґа, саво копыли Авимелехохкирэ лиле зораґа.
01151a00b5	Ай Авимелехо пхэнда: — Мэ на джянав, ко када стерда. Ту на дэдуманян, и дыкалэ мэ на шундом пала када.
01151b00ad	Авраамо анда цыкно тай баро ското, дэня лэн Авимелехости, тай вонэ стердэ екх екхэґа допхэнимо.
01151c0056	Авраамо отлиля гуртостар ефта тэрнэн бакрорэн,
01151d009b	тай Авимелехо пхучля Авраамостар: — Со када за ефта тэрнэ бакрорэн, савэн ту отлилян?
01151e00d5	Авраамо пхэнда: — Прылэ мандар ефта кадылэн тэрнэн бакрорэн дэ знако, со мэ выґанавдом кадыва ханинг тай со вов муро.
01151f0094	Авраамо акхарда кодэва тхан Вирсавия, пала кода со вонэ дуйджинэ дэне котэ солах.
01152000eb	Тунчи сар вонэ допхэндэпэ дэ Вирсавия, Авимелехо тай Фихоло, барэдэр рай дэ лэхкирэ войско, рисардэпэ дэ пхув филистимлянэндири.
01152100bc	Дэ Вирсавия Авраамо чюта дэ пхув рандь-тамариско тай прыакхарда котэ лав РАЕХКИРО, Дэвлэхкиро Вечнонэ.
0115220051	Авраамо джюда пэ филистимско пхув бут вряма.
01160100f8	Проджиля савись вряма, тай Дэвэл закамля тэ уджянэ чячюно патямо Авраамохкиро. Вов пхэнда лэсти: — Авраамо. — Мэ катэ, — пхэнда Авраамо.
0116020121	Дэвэл пхэнда: — Лэ чявэ, екхорэ пэхкирэ чявэ Исаако, савэ ту камэх, джя дэ пхув Мория тай ан лэ котэ дэ жэртва тай спхабар ла дэ яг пэ плай, сави Мэ сикавава тути.
0116030147	Пэ авэр диво дэнзор Авраамо вщиля, залытярда магаре, лиля пэґа дуен копылен тай чявэ Исаако, починда кашта важ жэртва тай джиля дэ дром дэ кодэва тхан, пала савэ пхэнда лэсти Дэвэл.
0116040077	Пэ трито диво Авраамо ваздэня якха тай удыкхля дурал кодэва тхан.
01160500dc	Вов пхэнда копыленди: — Аченпэ катэ магареґа, ай амэ чяворэґа джяґа пордэ стераґа тэлисаримо, ай тунчи рисяваґа тумэндэ.
01160600e9	Авраамо лиля кашта важ жэртва тай тховда лэн пэ думо Исаакости, ай екджино лиджялда яг тай чюри, тай вонэ дуйджинэ джиле дэ дром.
0116070129	Исаако пхэнда пэхкирэсти дадэсти Авраамости: — Дадэ! — Нэ, муро чяво? — пхэнда Авраамо. — Амэндэ исин яг тай кашта, — пхэнда Исаако, — ай тев жэ бакроро важ жэртва?
01160800be	Авраамо пхэнда: — Дэвэл Екджино удыкхэла бакрорэ важ жэртва, чяво муро. Тай вонэ дуйджинэ джиле дурэдэр.
011609014b	Кала вонэ доджиле дэ тхан, пала савэ пхэнда лэсти Дэвэл, Авраамо стерда котэ жэртвенико тай стховда пэ лэстэ кашта, спхангля пэхкирэ чявэ Исаако тай тховда лэ пэ жэртвенико пэ кашта.
01160a005f	Вов процырдэня васт тай лиля чюри, соб тэ умарэ чявэ.
01160b00a8	Ай Ангело РАЕХКИРО прохпэнда лэсти болыбнастар: — Авраамо! Авраамо! — Мэ катэ, — пхэнда вов.
01160c011a	— На ваздэ васт пэ чяворэ, — пхэнда Вов, — на тер лэґа нисо. Кана Мэ джянав, со ту дарахпэ Дэвлэ, пала када со тути на дор важ Манди чявэ, екхорэ пэхкирэ чявэ.
01160d010d	Авраамо ваздэня якха тай удыкхля бакрэ, саво шынгэнца амгладёлас пала ранден. Вов джиля, лиля бакрэ, анда лэ дэ жэртва тай спхабарда пэ яг пала чявэ.
01160e00be	Авраамо акхарда кодэва тхан «Яхве-Ирэ», тай пала кода и екхатар пхэнэлпэ: «Пэ РАЕХКИРО плай удыкхэлапэ».
01160f0075	Ангело РАЕХКИРО пропхэнда Авраамостэ болыбнастар дэ дуйто моло
01161000d1	тай пхэнда: — Мэ, РАЙ, солохав Екджинэґа Пэґа: сар ту стердан када тай тути на сля дор важ Манди пэхкирэ екхорэ чявэ,
0116110135	чяче Мэ бахталисарава тут тай стерава, со тирэн чяворэн авэла фартэ бут, сар чергэня дэ болыбэн, сар тишай пэ морско брэга. Тирэ чяворэ залэна форуря пэхкирэн врыжымашэн,
011612009b	тай тутар авэна бахталисардэ всаворэ народуря пэ пхув, пала када со ту поканглян Ман.
01161300ab	Авраамо рисардапэ копылендэ, тай вонэ ектханэ джиле дэ Вирсавия. Авраамо ачиляпэ дэ Вирсавия.
01161400c1	Проджиля вряма, тай Авраамости пхэндэ: — Кана и Милка— дэй, вой бэянда чявэн тирэсти пхралэсти Нахорости:
011615006e	Уцо, первонэ, Бузо, лэхкирэ пхралэ, Кемуило (Арамохкирэ дадэ),
011616004b	Кеседо, Хазо, Пилдашо, Идлафо тай Бетуило.
01161700bc	Бетуило ачиля дадэґа Ревекатиряти. Милка бэянда охто кадэлэн чявэн Нахорости, Авраамохкирэ пхралэсти.
01161800b6	Лэхкири наложница, савя акхарэнас Реума, кади ж бэянда лэсти чявэн: Тевахо, Гахамо, Тахашо тай Мааха.
0117010074	Сарра проджюда 127 бэрш — када скацик всаворо джювимо Сарратиро.
01170200b0	Вой муля дэ Кирьят-Арба (када исин Хевроно), дэ пхув Ханаано, тай Авраамо авиля тэ ровэ пала Сарра.
0117030075	Тунчи Авраамо отджиля ромнятар, сави муля, тай пхэнда хеттеендэ:
01170400d6	— Мэ авилём кордэ авря пхуятар тэ джювэ машкар тумэн авря пхуятар. Битинэнти манди котор пхув, соб мэ тэ гаравав муля.
011705002f	Хеттея пхэнэн Авраамости:
0117060132	— Рай, ашун, ту — зорало баро мануш помашкар амэн. Гарав муля дэ амаро само фэдэр тхан важ када. Нико амэндар на отпхэнэла тути кацавэґа тханэґа, соб тэ гаравэ тиря муля.
