2800000005	Matyu
28092400b8	Kamata krunavundi sambɨ ŋgahi indarɨhu tɨmɨndɨmɨndɨhi ñamba sɨkwɨ kɨta sipsip kara manɨmanɨ haŋɨnɨŋ kɨndu maña kɨyɨmu. Kamatɨhu nuŋ mavɨnzaŋɨnzaŋɨnɨdɨmi.
28092500a2	Kamatɨhi Jisas nuŋandɨ sɨmbɨrasara haŋɨnɨŋ ambami, Kɨvayɨ ñaña sambɨ mɨndɨtɨ. Hara krunavundi ñaña yɨvutɨhɨruramarama haŋɨnɨŋ maŋgɨyu.
280926009e	Kamataharɨm kɨva nɨŋuva hama naŋga kuyundavarata kitɨhumara. Kamatɨra sɨmbɨrasaraŋ sɨmbɨti uta nuŋandɨ ñaña haŋɨnɨŋ yɨvutɨhɨrumu, vami.
280a0100d7	Jisas nuŋandɨ 12 sɨmbɨrasara haŋɨnɨŋ ambahi payɨhu ambami, Yi narɨŋ yɨhɨramamin. Harɨm uta sundɨ ñamba haŋɨnɨŋ pɨŋguvarata, krunavundi muhɨmɨmuhɨm kandi naŋga haŋɨnɨŋ mɨŋavindamamara.
280a0200bc	Sɨmbɨrasara kandɨhaŋɨnɨŋɨndu ñɨmbi haŋɨnɨŋ nɨmata, kimaŋgima hama Saimon, mu ñɨmbi nuŋandɨ Pita, muhama nɨŋura Andru. Naŋga Jems Sebedi ñanɨŋ naŋga nɨŋura Jon.
280a0300ad	Muhama Filip, muhama Bartolomyu, muhama Tomas, muhama Matyu. Kandɨhama nu gavaman ndamarɨm tɨmbahɨrɨs mɨŋamɨŋa mɨŋga. Muhama Jems, Alfius ñanɨŋ. Muhama Tadius.
280a0400aa	Muhama Saimon, Selot vat mɨŋga, imbɨ hama Judas Iskariot. Kandɨhama Jisasɨŋ kru ñamba ŋɨnɨŋɨndu kumañɨ tamɨrɨmandɨ. Kamati nuŋ ñamba taŋgurɨmandɨyu.
280a050099	Jisas kru 12 vat kandɨhaŋɨnɨŋ sɨmbɨta nɨmavami, Krunavundi muvundumuvundu kɨnduyɨ maŋumara. Samariandu pɨhu aruruyɨ ndahara maŋindɨhumara.
280a060050	Narɨ sipsip Israel hatindu atɨnda yɨwaramu haŋɨnɨŋ ndaya kɨnduyɨ umara.
280a07005f	Uta nɨmavamba ambavaramara, Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha arɨñɨndɨ ha, vamba ambamara.
280a08019c	Uta kandi naŋga haŋɨnɨŋ mɨŋavindamata, kru kɨmumu haŋɨnɨŋ andɨtɨra aŋga yahamɨramu. Kamata kru kandi lepra naŋga haŋɨnɨŋ andɨtɨra ñaŋɨraŋgɨyɨmu. Kamata sundɨ ñamba haŋɨnɨŋ pɨŋguvaramara. Narɨŋ sɨmbɨra mɨŋamɨŋarɨm yɨhɨramin vana nɨŋandɨhin mut mɨŋata mamɨŋara. Narɨ saŋ mɨŋara. Harɨm narɨ uta krunavundiŋ ŋguramata, mut mɨŋamɨŋarɨm maŋambamara.
280a090058	Narɨŋandɨ paŋaŋgarayɨ gol, tɨmbahɨrɨs silva, naŋga kopa kɨmbarɨta maŋumara.
280a0a00ac	Urɨm, narɨŋandɨ paŋa, kwɨrandɨ yɨvupɨhavɨhavɨ arɨkita, tandambɨsa, naŋga makɨrutɨm mamɨŋamara. Kru sɨmbɨra mɨŋandi hamaŋ nuŋandɨ ñaña ha ŋgundu.
280a0b00e0	Pɨhu aru muyɨ vaha, mana suksɨmbɨrɨ muyɨ vaha indɨhuta, pɨhu kandɨhañɨ kru avinzɨkwɨsɨkwɨ naŋga tɨtɨtaya kɨyɨhɨyɨ mɨŋgaŋ ŋgamara. Kamata kru kandɨhama naŋgandaya kɨta uta pɨhu kandɨha mitamara.
280a0c00a2	Tavɨ muyɨ indɨhutaŋgata, krunavundi tavɨ kandɨhañɨndu ŋɨnɨŋɨrɨm kuyu avivi ŋguta ambamara. Gotɨndu mavɨñam narɨ naŋga kɨyɨm, vamba ambamara.
280a0d0118	Kamatɨra tavɨ kandɨhañɨndu krunavundi narɨŋɨrɨm kɨnzɨkɨtuŋgata, narɨŋandɨ kuyu avi ha andɨti mavɨñamɨñɨ kɨyɨmandɨyu. Ara narɨŋɨrɨm kɨnzɨhɨnzɨ mandɨtuŋgata, Gotɨŋ kitɨwɨtɨra mavɨñamɨñɨ kɨyɨhɨyɨ vana ha nurɨ naŋga maŋgɨyɨmandɨ.
280a0e017a	Kamata kru mumɨŋga narɨŋ tavɨ nuŋandɨyɨ tɨmbuta maŋutiŋgata, naŋga narɨŋandɨ kuyu maŋindarɨtiŋgata, tavɨ vaha, mana pɨhu aru kandɨha mitata urɨm narɨŋandɨ tanda hañɨ ayɨwɨrsɨ kɨyɨmandɨ ha yɨvuvaramara. Kamatɨra kru pɨhu aru kandɨhañɨ ŋgati ŋgata ambɨrɨmandɨyu, Ñamba vana andɨharɨŋ nɨmata vana nɨ andɨyu vamba ambɨrɨmandɨyu.
280a0f00f1	Yi narɨŋ kandɨ ambin, Got krunavundiŋ ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨyɨ hañɨ, krunavundi pɨhu kandɨhañɨ hati pɨmɨ kavɨrɨmandɨyu. Kamatu Sodom naŋga Gomora hati pɨmɨ kavɨrɨmandɨyu ha taratɨvɨrɨmandɨ, vami.
280a100116	Jisas sɨhinda ambami, Ŋgara. Yi narɨŋ sipsip maña sɨmbɨhin upɨri saŋara ñiŋgiñɨ ura. Harɨm tau andɨndi maña andɨmara. Indarɨmaŋgaratara muhɨmɨmuhɨm vana ha andɨmara. Naŋga kava umari andɨndu maña andɨmara. Ñamba vanavana andɨtɨrɨm maŋindarɨmara.
280a1100cd	Kruŋ ŋgamaŋgaramara. Narɨŋ kru Juda hatindu kuyu mɨŋasɨrɨvandu haŋɨnɨŋɨndu kumañɨ tamɨmandɨyu. Kamata Got naŋga kuyundavaravara tavɨ nurɨŋandɨyɨ narɨŋ pɨŋgɨrawɨsɨrɨmandɨyu.
280a120102	Narɨ yandɨ sɨmbɨrasara ŋɨnɨŋ. Harɨm narɨŋ gavaman ndama naŋga aru miku haŋɨnɨŋ kɨyuyɨ tɨmbuta urɨmandɨyu. Kamatu yandɨ kuyu avivi kru aruru haŋɨnɨŋ naŋga krunavundi muvundumuvundu haŋɨnɨŋ ndahara ambavarɨtɨra indarɨmandɨyu.
280a130107	Narɨŋ kru ŋgatɨŋgɨrutɨŋgɨru hama kɨyɨyɨ tɨmbuta urɨmandɨyu. Kamatu arɨŋ ambɨtuŋgata mumvamba ambavarɨmɨndaŋ, vata maŋindarɨhɨtɨhɨtɨmara. Kandɨtɨwɨmi hañɨ narɨŋandɨ indarɨmit hambu, Got nuŋambi ambavarɨtiti ambavarɨmandɨra.
280a14008b	Kuyu ambavarɨmandɨra ha narɨŋambi maŋambavarɨmandɨra. Narɨŋandɨ Navandu Mavɨñɨŋi narɨŋ indarɨmit ŋguti ambavarɨmandɨra.
280a15013b	Kru nɨŋuraŋ vaha mana nɨŋusiŋ vaha ŋgatɨŋgɨruta ambɨti yɨvutatamɨrɨmandɨyu. Sɨwɨmañanzihɨ nda nɨŋuvanin yahata nurɨŋandɨ ñɨŋiŋ andɨrɨmandɨyu. Nurɨŋandɨ ñɨŋi haŋɨnɨŋ ndahara nɨŋum nɨŋuvaŋ miku tamata, kru muŋɨnɨŋ sɨmbɨtu nɨŋum nɨŋuvaŋ yɨvutatamɨrɨmandɨyu.
280a1600c3	Narɨ yandɨ ŋɨnɨŋ. Harɨm narɨŋambirɨm sɨhanaŋga krunavundi kɨtɨrɨ ñɨmandɨyu. Hara krunavundi tɨkatɨkata kɨtuhɨtu imbɨhɨvɨ ha yɨvurahɨti, Got nurɨŋ aŋga mɨŋɨmandɨ.
280a1700eb	Krunavundi pɨhu muyɨndu haŋɨnɨŋ narɨŋ ñamba vana andɨtuŋgata, tɨvaramata pɨhu muyɨ umara. Yi narɨŋ kandɨ ambin, sɨmbɨra narɨŋandɨ Israelɨndu pɨhu makamaka mamɨturamɨtɨratɨra, Krundu Ñɨŋi hama payɨmandɨ.
280a18008a	Ñɨŋi nuŋandɨ ahusɨkiŋ mandaratɨvɨrandi, naŋga sɨmbɨrakara hama nuŋandɨ aru miku hamaŋ taratɨvɨrata kɨmbañɨ maŋgɨndi.
280a190133	Ñɨŋi nuŋandɨ ahusɨki maña yɨvurahɨmandɨ hama, kamatanda kɨyɨm. Naŋga sɨmbɨrasara, nuŋandɨ aru miku hama maña kɨyɨmandɨ hama, kamatanda kɨyɨm. Tavɨ nɨŋuvarɨm Belsebul vamba ambandu. Harɨm ñɨŋisɨm tavɨ kandɨhañɨ kɨndu haŋɨnɨŋ ñɨmbi ñamba sɨkwɨ ŋgumandɨyu, vami.
280a1a010c	Jisas sɨhinda ambami, Narɨŋ kru kandɨhaŋɨnɨŋ ñamba vana andɨrɨmɨtu ndahara mambɨŋitumara. Muhɨmɨmuhɨm tarɨŋguramata kɨndi haŋɨnɨŋ mamañɨ yɨvurahɨmandɨ. Kamati kuyu tarɨŋguramata kɨndi haŋɨnɨŋ ndahara sɨhanaŋga kru indarɨmandɨyu.
280a1b00c9	Narɨŋ kuyu kɨvɨyɨ ambavaradin haŋɨnɨŋ, inahɨmur ambavaramara. Ara kuyu sɨwɨña indarɨmandɨra haŋɨnɨŋ, uta tɨhɨrutɨhɨru upɨyɨ kuyu kɨmbañɨ ambavarɨtɨra krunavundi indarɨmu.
280a1c012b	Kru pɨrɨ nɨñɨndurɨm mambɨŋitumara. Narɨŋandɨ kwɨrandɨmbatɨ ha yɨvutatamɨrɨmandɨyu, hara narɨŋandɨ mavɨñɨŋi ha mayɨvutatamɨrɨmandɨyu. Gotɨrɨmɨndaya pɨŋitumara. Nu taya narɨŋandɨ kwɨrandɨ naŋga mavɨñɨŋi ha pɨsiŋgarata, ahutuvarandi helɨyɨ kavarɨmandɨ.
280a1d010a	Narɨ ŋgandara, kava arɨkita sukɨsɨrambɨ kru tuki tamɨŋgañɨ mut mɨŋandu. Hara narɨŋandɨ Nava kava suksɨrambɨ kandɨhaŋɨnɨŋ karatamaŋgarandi. Harɨm, kava kandɨhañɨndu muvat pɨrɨyɨ mamɨŋgatayɨvum vɨtiŋgata, mamɨŋgata yɨvɨrɨmandɨ.
280a1e0060	Naŋga, Got narɨŋandɨ miku mɨnɨ nɨŋɨnɨŋ mɨnza mɨnɨmɨnɨ ŋgatɨŋgɨruta mɨtundi.
280a1f0091	Narɨ Gotɨndu tamɨŋgañɨ aruŋɨnɨŋ nzɨkwɨ kɨndara, kava sukɨsɨrambɨŋ taratɨvɨramaŋgarandara. Kamataharɨm mambɨŋitumara, vami.
280a2000f6	Jisas sɨhinda ambami, Kru mumɨŋga krunavundiŋ nɨmavamba ambɨrɨmandɨ. Yi Jisasɨndu ñiŋgiñɨndu mɨŋga vamba ambɨrɨmandɨ. Kru kandɨhamarɨm, yindahara Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hamarɨm, kru nɨma yandɨ vamba ambɨrɨman.
280a2100ef	Ara kru mumɨŋga krunavundiŋ, nɨmavamba ambɨrɨmandɨ. Yi Jisasɨndu ñiŋgiñɨndu mɨŋga ma vamba ambɨrɨmandɨ. Kru kandɨhamarɨm, yindahara Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hamarɨm, kru nɨma yandɨma vamba ambɨrɨman, vami.
280a2200ce	Jisas sɨhinda ambami, Narɨ yambirɨm nɨmata maŋindarɨmitamara. Nu pɨrɨ nɨñɨ saŋga kirahɨrɨm payɨmi vamba maŋindarɨmitamara. Yi saŋga kirahɨrɨm mambayɨmin. Yi tuki kuta mɨŋata payɨmin.
280a2300b9	Yi saŋga pɨruramɨrɨm payɨmin. Kru ñɨŋi hama nɨŋuvarɨm miku tamɨrɨmandɨ, navundi ñɨŋi haŋambɨ nɨŋumɨrɨm miku tamɨrɨmandɨ, nɨmbas nɨpahiŋ miku tamɨrɨmandɨ.
280a240063	Nuŋandɨ kru ñɨŋi, navundi ñɨŋi, nɨmburi, nɨmbas, nurɨŋambi masamasa miku tamɨmandɨyu.
280a2500f3	Kru nɨŋum navaŋ mavɨndamata, yaŋ mavɨmandamɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman. Kru nuŋandɨ kru ñɨŋi naŋga navundi ñɨŋiŋ mavɨndamata, yaŋ mavɨmandamɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman.
280a26007e	Naŋga kru, nuŋandɨ ahuandɨ maña pɨmɨ kavuta yi naŋga maŋgɨndɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman.
280a2700c4	Kru yambira muhɨmɨmuhɨm vana andɨtɨn avindɨrɨmandɨ vamba ambɨrɨmandɨ hama, siŋgundɨrɨmandɨ. Ara yambirɨm indarɨta kwɨmɨrɨmandɨ hama, kɨmuta ndahara sɨhaŋgɨyɨmandɨ, vami.
280a2800e7	Jisas sɨhinda ambami, Kru narɨŋɨrɨm kɨnzɨhɨnzɨtɨrɨmandɨ hama, yaŋɨrɨm kɨnzɨhɨnzɨtɨrɨmandɨ. Ara kru yaŋɨrɨm kɨnzɨhɨnzɨtɨrɨmandɨ hama, Gotɨrɨm kɨnzɨhɨnzɨtɨrɨmandɨ. Got yaŋ sɨmbɨhi payɨmin.
280a290290	Hara, kru mumɨŋga ambɨrɨmandɨ. Yi kru Gotɨndu kuyu mɨŋata ambavarandi mɨŋgaŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata kru kandɨhamaŋ nuŋandɨ tavɨyɨ tɨmbuta uta karatamɨrɨmandɨ. Kru kandɨhamatɨrɨmandɨ hama, kru Gotɨndu kuyu mɨŋata ambavarandu haŋɨnɨŋ mɨŋandu maña muhɨmɨmuhɨm avivi mɨŋɨmandɨ. Naŋga, kru mumɨŋga ambɨrɨmandɨ. Yi kru tɨtɨtaya kɨyɨhɨyɨ mɨŋgaŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata kru kandɨhamaŋ nuŋandɨ tavɨyɨ tɨmbuta uta karatamɨrɨmandɨ. Kru kandɨhamatɨrɨmandɨ hama, kru tɨtɨtaya kɨyɨhɨyɨ mɨŋga muhɨmɨmuhɨm avivi mɨŋandi maña, mɨŋɨmandɨ.
280a2a0127	Kru mumɨŋga ambɨrɨmandɨ. Yi kukumɨni Jisasɨndu sɨmbɨrasara ñiŋgiñɨndu ñɨmbi manɨman muvatɨŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata nuŋ ŋguramɨrɨmandɨ. Harɨm yi narɨŋ kandɨ ambin, kru kandɨhamandu avihɨmɨŋgɨm ha manziŋgundɨrɨmandɨ, mɨŋɨmandɨ, vami.
280b0100ba	Jisas nuŋandɨ sɨmbɨrasara 12 vatɨŋ ambaramata mɨtuta, kandɨ pɨhu ha mitata pɨhu makamaka kandɨhaŋu kɨndaŋgɨnda krunavundiŋ ambaramarama, nurɨŋ Gotɨndu kuyu ambavarami.
280b0200cd	Kamatɨhi Jon kru ñamba vana andɨhi tamandu upɨyɨ kɨta, Krais muhɨmɨmuhɨm sɨmbɨra mɨŋamindu kuyuhɨnzɨ indarɨmi. Kamata nuŋandɨ sɨmbɨrasaraŋ ambami, Uta Jisasɨŋ nɨmavamba kitɨhumara,
280b03008a	Jon ambi, Naŋɨnda vaha Got sɨmbɨhi pɨrɨ nɨñɨ payɨmana, mana mumɨŋgaŋ vaha tavɨrɨmɨndaŋ, vamba ambi, vamba ambamara, vamu.
280b04007d	Kamavahu Jisas nurɨŋ kɨmbɨ nɨmavami, Uta Jonɨŋ muhɨmɨmuhɨm vana indarɨra, naŋga ŋgara nɨŋɨnɨŋ ambavaramara.
280b05014b	Krunavundi tamɨŋga ñumi haŋɨnɨŋ tɨhɨrañayu. Tanda ñamba haŋɨnɨŋ kɨndavarayu. Kandi lepra naŋga haŋɨnɨŋ ñaŋɨra yɨvurahayu. Kɨnzɨhi ñamba haŋɨnɨŋ kuyu indarɨyu. Naŋga kru kɨmuhɨmu haŋɨnɨŋ aŋga yahamɨrayu. Kamatɨhuhu krunavundi muhɨmɨmuhɨm manɨman haŋɨnɨŋ ndahara kuyu avi indarɨyu.
280b060088	Naŋga kru yaŋ ŋgɨtu nurɨŋandɨ indarɨmaŋgaramaŋgara vana ha mamɨŋgata yɨvɨrɨmandɨ haŋɨnɨŋ, kɨnzɨhɨnzɨtɨmu, vami.
280b0700d2	Kamavahi Jonɨndu sɨmbɨrasara haŋɨnɨŋ indarɨta umu. Uhuhu Jisas krunavundiŋ Jonɨrɨm ambami, Narɨ kru manɨman upɨvu undara ha, wɨnɨ pata kukimaka mɨŋa ñɨŋuñɨŋu ndɨhi ŋgɨrɨm maŋundara.
280b0800d4	Naŋga, nu kwɨrandɨ yɨvupɨhavɨhavɨ kuta avivi haŋɨnɨŋ tamata kɨyɨhi ŋgɨrɨm maŋundara. Kru kwɨrandɨ yɨvupɨhavɨhavɨ kuta avivi ŋɨnɨŋ tamata kɨndu haŋɨnɨŋ aru miku ndu tavɨyɨ kɨndu.
280b09012d	Hara narɨ undara ha, muhɨmɨmuhɨm kandɨhaŋɨnɨŋ ŋgɨrɨm maŋundara. Kru Gotɨndu kuyu mɨŋata ambavaravara mumɨŋgaŋ ŋgɨrɨm undara. Narɨŋ yi kandɨ ambin, kru Gotɨndu kuyu mɨŋata ambavaravara kandɨhama, kru Gotɨndu kuyu mɨŋata ambavaravara sɨhanaŋgaŋ taratɨvɨramaŋgarahi.
280b0a0107	Gotɨndu aŋgwɨmɨkɨyɨ Jonɨrɨm ambami, Got ñɨŋi nuŋandɨŋ ambi, Ŋgana. Yi kru mumɨŋgaŋ sɨmbɨtɨn kasiramata yandɨ kuyu nɨ mɨŋata ambavarata, nambirɨm kwɨmbɨ mɨŋasɨrɨvɨrɨmandɨ. Kamati na sɨhɨndɨ payɨmana, vamba ambi, vamba ambami.
280b0b00e9	Narɨŋ yi kandɨ ambin, Jon kukuyɨ mɨŋaŋgɨruhɨru hama kru pɨrɨvɨsayɨ yɨvurahamu haŋɨnɨŋ taratɨvɨrandi. Hara kru ñɨmbi manɨmanɨ nzɨkwɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨ hama, Jonɨŋ taratɨvɨrɨmaŋgarɨmandɨ.
280b0c014a	Jon kukuyɨ mɨŋaŋgɨruhɨru hama Gotɨndu kuyu ambavarami hɨrɨvɨyɨ nda kɨta, patavata tɨhu ndahara, kru saŋgandu tɨkatɨka naŋga haŋɨnɨŋ, Gotɨndu tɨwɨyɨ kɨyɨmɨndaŋ vata tɨkatɨkatɨndu. Kamatɨndɨ muvitamuvita saŋga kurɨhandu. Kamata krunavundi Gotɨndu tɨwɨyɨ kɨndu haŋɨnɨŋ pɨmɨ aru ŋgundu.
280b0d0095	Kru Gotɨndu kuyu mɨŋata ambavaravara haŋɨnɨŋ, naŋga tɨkatɨka kuyundu aŋgwɨmɨkɨ nɨŋandɨhin, Gotɨndu kuyu ambavarahuhu Jon kuhɨrami.
280b0e00ac	Harɨm narɨ kuyu kanɨŋandɨhin indarɨmɨndaŋ vataŋgata indarɨmara. Gotɨndu aŋgwɨmɨkɨyɨ ambami, Elaija payɨmandɨ, vamba ambami. Kaŋandɨhin Jonɨrɨm ambami.
280b0f004c	Kru kɨnzɨhi naŋga hama, kuyu nɨŋandɨhin mɨŋatamamaŋgarata indarɨm.
280b1000da	Krunavundi tɨhundu nɨŋɨnɨŋɨndu vana haŋɨnɨŋɨrɨm ambavarɨrɨm, tɨhi kuyu pamatavu ambɨrɨman. Nurɨ ñɨŋi maña tɨhɨrutɨhɨru upɨyɨ mɨnzɨta kɨndu. Kamata ñɨŋi muvɨrarɨm nɨmavamba ambandu,
280b110090	Ara pɨkɨ tɨmɨhɨruharɨŋ narɨ manduturamara. Mavɨmavɨ sɨhɨpuri yɨvurɨŋ, hara narɨŋ mavɨndɨhi maŋirɨhara, vamba ambandu, vami.
280b120093	Kamavata Jisas sɨhinda ambami, Jon pata kandɨŋgandɨ mañata wain maŋguvɨrandi, naŋga ambandu, Sundɨ ñamba nu naŋga kɨyɨ, vamba ambandu.
280b1301db	Hara Krundu Ñɨŋi hama pata, ñata kuvɨrandi. Kamatɨhi ambandu, Nɨŋgamara, kru nɨma ñaña sambɨ ñata wain sambɨ kuvɨrandi. Nu kru gavaman ndamarɨm tɨmbahɨrɨs mɨŋandu, naŋga kru ñamba vanavana andɨndu muvɨrandu nɨmbɨha, vamba ambandu. Hara krunavundi Gotɨndu indarɨmit avi kanɨŋɨnɨŋ mɨŋahandata sɨmbɨra mɨŋandu. Kamatɨhu krunavundi muvɨra nurɨŋandɨ sɨmbɨravu taya ŋgandu. Kamatɨhu Gotɨndu indarɨmit avi ha mamañɨndɨndi, vami.
280b1400bf	Pɨhu aruru muvɨrañɨ, Jisas muhɨmɨmuhɨm nzihɨ sambɨ sihɨrahira mavɨ maŋgimɨrumu. Kamatɨhu kandɨtɨwɨmi hañɨ krunavundi pɨhu aruru kandɨhaŋu hatiŋ Jisas ambahɨmumbɨrami.
280b150171	Kamata ambami, Pɨhu aruru Korasin naŋga Betsaida hati narɨ pɨmɨ aru kavɨrɨmandɨra. Kru mumɨŋga uta pɨhu Tair naŋga Saidon muhɨmɨmuhɨm nzihɨ yi sihɨrahin ŋgandara maña nu ndahara sihɨrahi. Kamati ŋgata, nurɨ atɨnda ñamba vanavana andɨndu haŋɨnɨŋɨrɨm indarɨramata mavɨŋgimɨruhu. Kamata mɨkwɨrɨ kavɨta ahuyɨpuyɨ mɨnzɨta kɨyɨhu.
280b1600cf	Kamataharɨm yi narɨŋ ambin, Got krunavundiŋ ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨyɨ hañɨ, narɨ pɨmɨ kavɨrɨmandɨra ha, Tair naŋga Saidon hati pɨmɨ kavɨrɨmandɨyu ha taratɨvɨrɨmandɨ.
280b170147	Kaperneam hati narɨ ambandara, Arɨŋ Got tɨhuyahɨti nuŋandɨ pɨhuyɨ yawɨmɨndaŋ, vamba ambandara, manɨŋganzɨkwɨ. Hara narɨ kɨmuhɨmu ŋɨnɨŋɨndu upɨyɨ mɨŋgurɨmandɨra. Yi narɨ naŋga kɨta muhɨmɨmuhɨm nzihɨ sihɨrahin ŋgandara maña kru mumɨŋga uta Sodom ndahara sihɨrɨti, Sodom kɨyɨhi wɨsa.
280b1800c5	Kamataharɨm yi narɨŋ ambin, Got krunavundiŋ ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨ hañɨ, narɨ pɨmɨ kavɨrɨmandɨra ha, Sodom hati pɨmɨ kavɨrɨmandɨyu ha taratɨvɨrɨmandɨ, vami.
280b190140	Kandɨhɨrɨvɨ haŋu Jisas nɨmavami, Yava. Na ihumbɨsa naŋga pɨrɨ nɨñɨndu Aru mɨŋga. Yi naŋ kuyu avi ŋgwin, na muhɨmɨmuhɨm kandɨhaŋɨnɨŋ indarɨmit avi naŋga mirɨmba naŋga haŋɨnɨŋɨrɨm sipɨruramamana. Kamata kru nurɨŋambi taŋguhu mɨŋguhi ñɨŋi maña kɨndu haŋɨnɨŋ isɨhuramamana.
280b1a0037	Kandɨ yava, nambi pirɨtamata kandɨhamatɨmana, vami.
280b1b0136	Kamavata Jisas sɨhinda ambami, Muhɨmɨmuhɨm Yavandak yandɨ kumañɨ tamami. Kru mumɨŋga ndahara Ñɨŋi hamaŋ maŋgandi. Nɨŋuva nuŋambi ŋgandi. Naŋga, kru mumɨŋga Nɨŋuvaŋ maŋgandi. Ñɨŋi hama nuŋambi ŋgandi. Naŋga kru Nɨŋuvaŋ isɨhuramahi ŋgandu haŋɨnɨŋ ndaya Nɨŋuvaŋ ŋgandu.
280b1c0075	Kru sɨmbɨra tɨkatɨka mɨŋata pɨmɨ aru kavundara narɨ, sɨhanaŋga yi kɨyɨman nɨñɨ pata avɨrɨkɨmumara.
280b1d0122	Narɨ yaŋ ŋgandara. Yi yambi taŋguhin mɨŋguhi, mavɨñamɨñɨ kɨndin. Kamataharɨm pata avɨrɨkɨmumara. Narɨ yandɨ vana ŋgata, yandɨ kuyundu tɨwɨyɨ kɨyɨmara. Ahuhɨrɨvɨ bulmakau arɨkitandu pɨŋgwɨyɨ pɨŋgɨrɨmandɨyu vata tamandu maña yandɨ tɨwɨyɨ kɨyɨmara.
280b1e009e	Ahuhɨrɨvɨ narɨŋandɨ pɨŋgwɨyɨ tamin haŋandɨhin, kavuhavurɨm avɨrɨ mandamɨrɨmandɨra. Naŋga narɨŋ kavuhavu hɨm ŋgundin ha pɨmɨ ma, vami.
280c0100b0	Kamata Avɨrɨkɨmuhɨmu Hɨvɨ muyɨ, Jisas wit kɨva itɨñɨitɨñɨ umi. Kamata nuŋandɨ sɨmbɨrasara haŋɨnɨŋ avɨhatɨhi, wit kɨrɨs haŋɨnɨŋ mɨŋamɨŋa ñamu.
280c0200bc	Kamatɨhu Farisi haŋɨnɨŋ ŋgata Jisasɨŋ nɨmavamu, Nɨŋga, nɨmata vana nandɨ sɨmbɨrasara nɨŋɨnɨŋ andɨyu nɨŋandɨhin, Avɨrɨkɨmuhɨmu Hɨvɨyɨ andɨhu avimandɨ, vamu.
280c030097	Kamavahu Jisas nurɨŋ kɨmbɨ nɨmavami, Kuha Devit nuŋandɨ hati naŋga avɨharɨm ŋgɨta andɨmi vana ha narɨ ŋgatɨŋgɨruta mambaha ŋgandara.
280c040172	Devit Gotɨndu tavɨyɨ indɨhuta, mavatɨmba amutɨ ndu tak Gotɨndu tamɨŋgaŋgɨmbañɨ kɨyɨhi, Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ tamahu mambɨrañɨ kɨndi. Kandɨhaŋandɨhin mɨŋata nuŋandɨ hati naŋga ñamu. Mavatɨmba kandɨha kru saŋɨŋɨnɨŋ mañarasɨmu, Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ ndaya ñarasɨmu. Hara Devit naŋga nuŋandɨ hati ñamu.
280c050103	Naŋga, tɨkatɨka kuyundu aŋgwɨmɨkɨyɨ kɨndi haŋandɨhin ŋgatɨŋgɨruta mambaha ŋgandara. Avɨrɨkɨmuhɨmu Hɨvɨyɨ ndahara Gotɨŋ kɨrañɨŋguhu tavɨyɨ Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ sɨmbɨra mɨŋandu. Hara nurɨŋ kuŋgɨ maŋgahandi.
280c060062	Harɨm narɨŋ yi ambin, kru nɨñɨ kɨyɨ mɨŋga Gotɨŋ kɨrañɨŋguhu tavɨ ha taratɨvɨri.
280c070115	Got ambami, narɨ yaŋ saŋɨnaŋga kɨrañɨŋgundararɨm pirɨmandamandin. Hara muŋɨnɨŋ sɨhiŋgamara vata pirɨtamamaŋgarandin, vamba ambami. Harɨm kuyu kanɨŋandɨhindu kuyu sapa ha ŋgamaŋgarandarandɨti, kru pɨmɨ manɨmanɨ nɨŋɨnɨŋɨrɨm pɨmɨ maŋguhara.
280c08004f	Harɨm Krundu Ñɨŋi hama nuŋambi Avɨrɨkɨmuhɨmu Hɨvɨ karatamandi, vami.
280c09007e	Jisas kandɨ upɨ haŋu mitata uta pɨhu muyɨ yɨvurahami. Kamata Got naŋga kuyundavaravara tavɨ nurɨŋandɨyɨ indɨhumi.
280c0a014a	Kandɨhañɨ kru mumɨŋga kɨyɨmi, kru kandɨhama kumamaka timu kɨmuhɨmu mɨŋga. Kru muvɨra kuyusɨhɨrata Jisasɨŋ nuŋandɨ miku ŋɨnɨŋ ndu kumaŋgɨmbañɨ tamɨmɨndaŋ vata kitɨhuta ambamu, Kru kandi naŋga haŋɨnɨŋ Avɨrɨkɨmuhɨmu Hɨvɨyɨ mɨŋavindamaharɨŋ vaha, mana mambaha mɨŋavindamaharɨŋ, vamu.
