2800000007	Matteus
281b140058	Kuid ülempreestrid ja vanemad veensid rahvast küsima Barabast ja laskma Jeesus hukata.
281b15006e	Kui maavalitseja küsis neilt: „Kumma neist kahest te tahate vabaks saada?“, vastasid nad: „Barabase.“
281b16006b	„Mida ma teen siis Jeesuse, Messiaga?“ küsis ta neilt. Nad kõik karjusid: „Lase ta risti lüüa!“
281b170072	„Miks? Mis kuriteo ta siis on teinud?“ küsis Pilaatus. Aga nad karjusid veel valjemini: „Löö ta risti!“
281b1800bd	Kui Pilaatus nägi, et asi on lootusetu ja et tekkimas on mäss, võttis ta vett ja pesi rahva ees käsi. „Mina olen selle mehe verest puhas. See tuleb teie pea peale!“ ütles ta neile.
281b190041	Kogu rahvas vastas: „Olgu tema veri meie ja meie laste peal!“
281b1a0061	Siis laskis ta neile Barabase vabaks, kuid Jeesust lasi ta piitsutada ja saatis ristilöömisele.
281b1b004e	Maavalitseja sõdurid viisid Jeesuse pretooriumi ja kogu salk ümbritses teda.
281b1c0043	Nad võtsid ta alasti ja panid talle sarlakpunase mantli õlgadele.
281b1d00c4	Nad tegid okaspõõsast krooni ja asetasid talle pähe ning pistsid tema paremasse kätte kepi. Nad põlvitasid tema ette maha ja pilkasid teda, öeldes: „Me tervitame sind, juutide kuningas!“
281b1e004a	Nad sülitasid tema peale, võtsid kepi ja peksid teda sellega vastu pead.
281b1f009b	Kui nad olid tema mõnitamise lõpetanud, võtsid nad kuue ära ja pandi talle tema enda rõivad selga tagasi. Siis viisid nad ta ära, et ta risti lüüa.
281b200066	Teel leidsid nad mehe nimega Siimon, kes oli Küreenest pärit, ja sundisid teda Jeesuse risti kandma.
281b21003b	Kui nad jõudsid Kolgatale, mis tähendab „Pealuu ase“,
281b22005d	andsid nad talle sapiga segatud veini. Aga kui ta oli seda maitsnud, keeldus ta seda joomast.
281b23006d	Pärast seda kui nad olid ta risti löönud, veeretasid nad täringuid, et tema riided omavahel ära jaotada.
281b24002c	Siis istusid nad maha ja valvasid teda seal.
281b25007b	Nad panid ta pea kohale sildi tema vastu esitatud süüdistusega. Sildil oli kirjas: „See on Jeesus, juutide kuningas.“
281b26005d	Koos temaga lõid nad risti kaks kurjategijat, ühe temast paremale ja teise temast vasakule.
281b270040	Möödujad karjusid talle solvanguid ja ütlesid pead raputades:
281b2800a5	„Sina, kes sa lubasid templi hävitada ja kolme päevaga üles ehitada, miks sa ennast ei päästa? Kui sa tõesti oled Jumala Poeg, siis tule risti pealt maha.“
281b29004f	Ülempreestrid pilkasid teda samamoodi koos vaimulike õpetajate ja vanematega.
281b2a00a9	„Teisi inimesi ta päästis, aga ennast ta ei suuda päästa!“ ütlesid nad. „Kui ta tõesti on Iisraeli kuningas, tulgu ta risti pealt maha ja siis me usume teda!
281b2b0083	Ta usaldab Jumalat nii veendunult − las siis Jumal päästab ta nüüd, kui tahab, sest ta väitis: „Ma olen Jumala Poeg.““
281b2c004b	Kurjategijad, kes olid koos temaga risti löödud, solvasid teda samamoodi.
281b2d003a	Keskpäevast kuni kella kolmeni kattis kogu riiki pimedus.
281b2e00a1	Umbes kella kolme ajal karjus Jeesus valju häälega: „Eli, Eli, lama sabachthani?“, mis tähendab: „Mu Jumal, mu Jumal, miks sa oled mind maha jätnud?“
281b2f004e	Kui mõned seal seisjaist seda kuulsid, ütlesid nad: „Ta kutsub Eelijat!“
281b300072	Otsekohe jooksis üks neist, haaras käsna, kastis selle äädikasse, pani kepi otsa ja andis seda Jeesusele juua.
281b310056	Aga teised ütlesid: „Jätke ta rahule. Vaatame, kas Eelija tuleb teda päästma.“
281b320041	Jeesus karjatas taas valju häälega ja tegi viimase hingetõmbe.
281b33005f	Täpselt siis kärises templi eesriie ülevalt alla lõhki. Maapind värises, kaljud lõhenesid
281b34005f	ja hauad avanesid. Paljud neist, kes olid elanud head elu ja surmaunne jäänud, äratati ellu.
281b350060	Pärast Jeesuse ülestõusmist läksid nad surnuaedadest pühasse linna, kus paljud neid nägid.
281b3600a3	Kui tsentuurio ja need, kes koos temaga Jeesust valvasid, nägid maavärinat ja seda, mis juhtus, olid nad kohkunud ja ütlesid: „See oli tõesti Jumala Poeg!“
281b37006b	Ka paljud naised jälgisid eemalt, need, kes olid Jeesust Galileast saadik järginud ja olid teda toetanud.
281b380060	Nende hulgas olid Maarja Magdaleena, Jaakobuse ja Joosepi ema Maarja ning Sebedeuse poegade ema.
281b390060	Kui saabus õhtu, läks Arimaatiast pärit rikas mees nimega Joosep (kes oli ka Jeesuse jünger)
281b3a005d	Pilaatuse juurde ja küsis Jeesuse surnukeha. Pilaatus andis korralduse see temale üle anda.
281b3b0041	Joosep võttis surnukeha ja mähkis selle uude linasesse riidesse
281b3c0074	ning asetas selle oma uude hauda, mis oli kaljusse tahutud. Ta veeratas haua sissepääsu ette suure kivi ja lahkus.
281b3d003c	Maarja Magdaleena ja teine Maarja istusid seal, haua vastas.
281b3e0067	Järgmisel päeval, pärast valmistuspäeva, läksid ülempreestrid ja variserid koos Pilaatuse juurde.
281b3f0086	Nad ütlesid talle: „Isand, meile meenub, et see petis ütles veel elus olles: „Ma tõusen kolme päeva pärast surnuist üles.“
281b4000cd	Anna korraldus valvata hauda kuni kolmanda päevani. Nii ei saa tema jüngrid tulla ja ta keha varastada ning rahvale öelda, et ta tõusis surnuist üles. Muidu oleks pettus lõpuks hullem kui alguses.“
281b410081	„Ma annan teile sõdurite vahtkonna,“ ütles Pilaatus neile. „Minge nüüd ja kindlustage seda nii hästi kui võimalik.“
281b420075	Nii nad läksid ja kindlustasid haua, panid sissepääsu ees olevale kivile pitseri ja seadsid sõdurid valvepostile.
281c010071	Pärast hingamispäeva, nädala esimese päeva koidikul, läksid Maarja Magdaleena ja teine Maarja hauda vaatama.
281c020072	Äkitselt toimus kohutav maavärin, sest Issanda ingel tuli taevast alla, veeretas kivi ära ja istus selle peale.
281c030044	Tema nägu lõõmas nagu välk ja tema riided olid valged nagu lumi.
281c04003b	Valvurid vappusid hirmust ja kukkusid justkui surnuna maha.
281c050059	Ingel ütles naistele: „Ärge kartke! Ma tean, et te otsite Jeesust, kes löödi risti.
281c060068	Ta ei ole siin. Ta tõusis surnuist üles, just nagu ta enne ütles. Tulge ja vaadake, kus Issand lamas.
281c0700a2	Minge nüüd kiiresti ja rääkige tema jüngritele, et ta on surnuist üles tõusnud ja et ta läheb teie eel Galileasse. Te näete teda seal, ma luban teile!“
281c08007e	Nad lahkusid kiiresti haua juurest, olles samaaegselt hirmul ja väga õnnelikud, ning läksid jooksuga jüngritele rääkima.
281c090082	Järsku tuli Jeesus neile vastu ja tervitas neid. Nad läksid tema juurde, võtsid tema jalgade ümbert kinni ja kummardasid teda.
281c0a0082	Siis Jeesus ütles neile: „Ärge kartke! Minge ja öelge mu vendadele, et nad läheksid Galileasse, ja seal nad näevad mind.“
281c0b006e	Kui nad lahkusid, läksid mõned valvuritest linna ja jutustasid ülempreestritele kõigest, mis oli juhtunud.
281c0c0085	Pärast seda kui ülempreestrid olid vanematega kohtunud ja plaani välja mõelnud, andsid nad sõduritele altkäemaksuks palju raha.
281c0d0074	„Öelge, et jüngrid tulid öösel ja varastasid ta ära sel ajal, kui meie magasime,“ ütlesid nad sõduritele.
281c0e005f	„Ja kui maavalitseja sellest kuuleb, siis me räägime temaga ja teil pole vaja muretseda.“
281c0f007a	Niisiis võtsid sõdurid raha ja tegid nii, nagu neile oli öeldud. Seda lugu levitatakse juutide hulgas tänase päevani.
281c100060	Aga üksteist jüngrit läksid Galileasse, sellele mäele, kuhu Jeesus oli käskinud neil minna.
281c110044	Kui nad teda nägid, siis nad kummardasid teda, kuigi mõni kahtles.
281c12005d	Jeesus tuli nende ja juurde ja ütles neile: „Kogu võim taevas ja maa peal on antud mulle.
281c130071	Nii et minge ja tehke jüngreid kõigist rahvustest inimesi ning ristige neid Isa ja Poja ja Püha Vaimu nimesse.
281c140081	Õpetage neid järgima kõiki käske, mille mina olen teile andnud. Pidage meeles, ma olen alati teie juures, maailma lõpuni.“
2900000006	Markus
290101003d	Sellega algab hea sõnum Jeesusest Kristusest, Jumala Pojast.
2901020063	Täpselt nagu prohvet Jesaja kirjutas: „Ma läkitan oma käskjala sinu eel sulle teed valmistama.
2901030058	Hääl hüüab kõrbes: „Valmistage Issandale teed! Tehke sirgeks tema teerajad.““
290104005d	Johannes tuli kõrbesse ristima ja kuulutas meeleparanduse ristimist pattude andeksandmiseks.
290105007d	Kogu rahvas Juudamaalt ja Jeruusalemmast läks tema juurde. Nad tunnistasid avalikult oma patte ja nad ristiti Jordani jões.
2901060072	Johannese riided olid tehtud kaamelikarvadest ja riiete peal kandis ta nahkvööd. Ta sõi jaanikaunu ja metsmett.
290107008a	Tema sõnum kõlas nii: „Pärast mind tuleb see, kes on minust suurem. Ma ei ole väärt, et kummarduda ja tema sandaale lahti päästa.
290108003f	Mina ristin teid veega, kuid tema ristib teid Püha Vaimuga.“
290109004d	Siis tuli Jeesus Naatsaretist Galileasse ja Johannes ristis ta Jordani jões.
29010a0066	Kui Jeesus veest välja tuli, nägi ta taevast avanevat ja Püha Vaimu tuvi kujul enda peale laskuvat.
29010b0062	Hääl taevast ütles: „Sina oled mu poeg, keda ma armastan. Mul on sinu üle väga hea meel.“
29010c002b	Kohe pärast seda saatis Vaim ta kõrbesse,
29010d0066	kus Saatan teda nelikümmend päeva kiusas. Ta oli koos metsloomadega ja inglid hoolitsesid tema eest.
29010e006e	Hiljem − pärast seda, kui Johannes vangistati − läks Jeesus Galileasse ja kuulutas Jumala head sõnumit.
29010f0075	„Ettekuulutatud aeg on saabunud,“ ütles ta. „Jumala riik on käes! Parandage meelt ja uskuge head sõnumit.“
2901100090	Kui Jeesus kõndis Galilea mere ääres, nägi ta Siimonat ja tema venda Andreast võrku vette heitmas, sest nad teenisid elatist kalapüügiga.
2901110059	„Tulge ja järgnege mulle,“ ütles ta neile, „ja ma panen teid inimesi püüdma.“
2901120040	Nad jätsid otsekohe oma võrgud sinnapaika ja järgnesid talle.
290113007c	Ta läks veidi edasi ning nägi Jaakobust ja tema venda Johannest − Sebedeuse poegi. Nad olid paadis ja parandasid võrke.
290114007c	Viivitamatult kutsus ta neid endale järgnema. Nad jätsid oma isa Sebeduse koos palgalistega paati ja järgnesid Jeesusele.
2901150052	Nad suundusid Kapernauma; hingamispäeval läks Jeesus sünagoogi ja õpetas seal.
290116006d	Rahvas oli tema õpetusest hämmastunud, sest erinevalt nende vaimulikest õpetajatest kõneles ta mõjukalt.
2901170052	Äkitselt hakkas sealsamas sünagoogis üks kurjast vaimust vaevatud mees karjuma:
2901180075	„Naatsareti Jeesus, miks sa meid tülitad? Kas tulid meid hävitama? Ma tean, kes sa oled! Sa oled Jumala Püha!“
2901190052	Jeesus segas kurjale vaimule vahele ja ütles: „Ole vait! Tule temast välja!“
29011a0043	Kuri vaim kisendas, raputas meest krampidega ja tuli temast välja.
29011b00aa	Kõik olid juhtunust jahmunud. „Mis see on?“ küsisid nad üksteiselt. „Mis uus õpetus see on, mis on nii mõjuvõimas? Isegi kurjad vaimud kuulavad tema sõna!“
29011c0034	Uudis temast levis kiiresti kogu Galilea piirkonnas.
29011d0066	Seejärel lahkusid nad sünagoogist ja läksid koos Jaakobuse ja Johannesega Siimona ja Andrease koju.
29011e004b	Siimona ämm oli palavikuga voodis, nii et nad rääkisid Jeesusele temast.
29011f0084	Jeesus läks naise juurde, võttis tal käest kinni ja aitas ta üles. Koheselt lahkus palavik naisest ja ta valmistas neile süüa.
2901200065	Samal õhtul pärast päikeseloojangut toodi Jeesuse juurde haigeid ja kurjadest vaimudest vaevatuid.
290121001e	Kogu linn kogunes maja juurde.
290122009c	Ta tervendas palju mitmesuguste haigustega inimesi ja ajas välja palju kurje vaime. Ta ei lubanud kurjadel vaimudel kõneleda, sest nad teadsid, kes ta on.
2901230069	Hommikul väga vara, kui oli veel pime, tõusis Jeesus üles ja läks üksinda vaiksesse paika palvetama.
2901240025	Siimon ja teised läksid teda otsima.
2901250041	Kui nad ta leidsid, ütlesid nad talle: „Kõik otsivad sind.“
2901260099	Aga Jeesus vastas: „Peame minema ümbruskonna teistesse linnadesse, et ma saaksin ka neile head sõnumit rääkida, sest sellepärast ma ju tulingi.“
2901270053	Nii käis ta läbi kogu Galilea, kõneles sünagoogides ja ajas kurje vaime välja.
2901280097	Üks pidalitõbine tuli tema juurde abi paluma. See mees põlvitas Jeesuse ette ja ütles: „Palun sind, kui sa tahad, suudad sa mind terveks teha!“
290129005a	Kaastundlikult sirutas Jeesus käe, puudutas meest ja ütles: „Ma tahan. Saa terveks!“
29012a003b	Pidalitõbi lahkus temast samal hetkel ja mees sai terveks.
29012b002b	Jeesus saatis ta minema tõsise hoiatusega.
29012c00e1	„Vaata, et sa sellest mitte kellelegi ei räägi,“ ütles ta mehele. „Mine preestri juurde ja näita end talle. Too ohver, mis on Moosese seaduses sellise puhtakssaamise korral nõutud, nii et inimestel oleks tõend.“
29012d00db	Kuid tervekssaanud pidalitõbine läks ja rääkis juhtunust kõigile. Seetõttu ei saanud Jeesus enam avalikult neisse linnadesse minna, vaid pidi jääma maapiirkonda, kuhu rahvas kogu ümbruskonnast tema juurde tuli.
2902010053	Mõne päeva pärast naasis Jeesus koju Kapernamas ja levis kuuldus, et ta on seal.
2902020076	Majja kogunes nii palju rahvast, et see oli tulvil täis, seisti lausa ukse taga, ning Jeesus kuulutas neile sõnumit.
2902030030	Neli meest olid toonud kaasa ühe halvatud mehe,
29020400db	kuid nad ei pääsenud rahvahulga tõttu Jeesuse lähedale. Niisiis ronisid nad üles katusele ja võtsid selle lahti. Kui nad olid Jeesuse kohale ava teinud, lasksid nad sealt alla mati, mille peal lamas halvatud mees.
290205006a	Kui Jeesus nägi nende meeste kindlat usku, ütles ta halvatule: „Sõber, sinu patud on andeks antud.“
290206003c	Mõned seal istunud vaimulikud õpetajad mõtlesid endamisi:
290207006c	„Miks ta niimoodi räägib? Ta teotab Jumalat! Kes saab patte andeks anda? Ainult Jumal saab seda teha!“
2902080051	Jeesus teadis kohe, mida nad mõtlesid. Ta ütles neile: „Miks te nii mõtlete?
2902090076	Kumb on lihtsam: kas öelda halvatule „Sinu patud on andeks antud“ või „Tõuse üles, võta oma matt ja kõnni?
29020a0041	Aga et veenda teid, et inimese Pojal on õigus patte andeks anda,
29020b004d	ütlen ma sulle (halvatule): tõuse üles, võta oma matt ja mine koju.““
29020c00ac	Mees tõusis, võttis oma mati ja läks kõigi silme all välja. Kõik olid hämmastunud, ülistasid Jumalat ning ütlesid: „Me ei ole kunagi midagi seesugust näinud!“
29020d0055	Jeesus läks veel kord välja mere äärde ja õpetas inimesi, kes tema juurde tulid.
29020e009a	Kui ta kõndis, nägi ta Leevit, Alfeuse poega, maksukoguja putkas istumas. „Järgne mulle,“ ütles Jeesus talle. Leevi tõusis ja järgnes Jeesusele.
29020f00bc	Sel õhtul sõi Jeesus õhtust Leevi majas. Koos Jeesuse ja tema jüngritega tuli sööma palju maksukogujaid ja „patuseid“, sest nende hulgas oli palju neid, kes Jeesusele järgnesid.
29021000a9	Kui variseride vaimulikud juhid nägid Jeesust selliste inimestega koos söömas, küsisid nad Jeesuse jüngritelt: „Miks ta sööb koos maksukogujate ja patustega?“
29021100b2	Kui Jeesus seda kuulis, ütles ta neile: „Arsti ei vaja terved, vaid haiged. Ma ei ole tulnud kutsuma neid, kes elavad õigesti, vaid neid, kes ei ela õigesti − patuseid.“
29021200bd	Johannese jüngrid ja variserid paastusid. Mõned neist tulid Jeesuse juurde ja küsisid talt: „Miks on nii, et Johannese jüngrid ja variserid paastuvad, kuid sinu jüngrid ei paastu?“
29021300a8	„Kas pulmakülalised paastuvad sel ajal, kui peigmees on nende juures?“ küsis neilt Jeesus. „Ei. Sel ajal kui peigmees on nende juures, ei saa/või nad paastuda.
290214004f	Aga tuleb aeg, mil peigmees võetakse nende juurest ära ja siis nad paastuvad.
2902150085	Keegi ei pane vanale rõivale paika, mis ei ole vanunud. Muidu uus riidetükk tõmbab vana rõiva peal kokku ja rebib augu suuremaks.
29021600ac	Keegi ei pane uut veini vanadesse nahklähkritesse. Muidu rebestab vein lähkrid ja nii vein kui ka lähkrid lähevad raisku. Ei, uus vein pannakse uutesse lähkritesse.“
290217006a	Ühel hingamispäeval, kui Jeesus läks läbi viljapõllu, hakkasid jüngrid kõndides viljapäid korjama.
2902180061	Variserid küsisid Jeesuselt: „Vaata! Miks nad teevad seda, mis on hingamispäeval keelatud?“
2902190080	„Kas te ei ole kunagi lugenud, mida tegi Taavet, kui temal ja ta meestel oli nälg ja süüa ei olnud?“ küsis Jeesus neilt.
29021a00ad	„Nad läksid Jumala kotta, kui Ebjatar oli ülempreester, ning sõid pühitsetud leiba, mida ei tohtinud süüa keegi peale preestrite, ning ta andis seda ka oma meestele.
29021b0054	Hingamispäev tehti teie jaoks, mitte teie hingamispäeva jaoks,“ vastas ta neile.
29021c0033	„Niisiis on inimese Poeg hingamispäeva Isand.“
290301004a	Jeesus läks taas sünagoogi. Seal oli üks mees, kellel oli vigane käsi.
2903020091	Seal oli ka neid, kes jälgisid, kas Jeesus teeb mehe hingamispäeval terveks, sest nad otsisid põhjust, et teda seaduserikkumises süüdistada.
290303004b	Jeesus ütles vigase käega mehele: „Tule ja seisa siia kõikide ette.“
2903040091	„Kas hingamispäeval on seaduslik teha head või halba? Kas peaks elu säästma või tapma?“ küsis ta neilt. Kuid nemad ei vastanud sõnagi.
29030500ab	Ta vaatas neid ärritunult ja nende halastamatuse pärast ägestudes. Seejärel ütles ta mehele: „Siruta käsi välja.“ Mees sirutas käe välja ja käsi sai terveks.
290306006f	Variserid lahkusid ja hakkasid kohe Heroodese pooldajatega salaplaane pidama, kuidas nad saaksid Jeesuse tappa.
2903070075	Vahepeal läks Jeesus tagasi mere äärde ja suur hulk rahvast järgnes talle. Nad olid pärit Galileast, Juudamaalt,
29030800b5	Jeruusalemmast, Idumeast, Jordani-taguselt alalt ning Tüürose ja Siidoni piirkonnast. Nii palju rahvast tuli teda vaatama sellepärast, et nad olid kuulnud kõigest, mida ta teeb.
2903090066	Jeesus käskis oma jüngritel väikese paadi valmis panna juhuks, kui rahvas talle väga peale tungib,
29030a0065	sest ta oli nii paljud terveks teinud, et haiged tunglesid tema poole, et nad saaksid teda puudutada.
29030b006f	Iga kord kui kurjad vaimud teda nägid, langesid nad tema ette maha ja kisendasid: „Sina oled Jumala Poeg!“
29030c0028	Kuid ta keelas neil avaldada, kes ta on.
29030d006a	Seejärel läks Jeesus mägismaale. Ta kutsus need, keda ta soovis, enda juurde, ja nad tulid tema juurde.
29030e00a4	Ta valis neist kaksteist, kes oleksid temaga koos, ja nimetas nad apostliteks. Nad pidid olema temaga koos ning ta kavatses nad saata välja head sõnumit kuulutama
29030f0031	ja nad pidid saama voli kurje vaime välja ajada.
2903100048	Need on kaksteist, kelle ta valis: Siimon (kelle ta nimetas Peetruseks),
2903110070	Sebedeuse poeg Jaakobus ja tema vend Johannes (kelle kohta ta ütles Boanerges, mis tähendab „kõuepojad“),
2903120068	Andreas, Filippus, Bartolomeus, Matteus, Toomas, Alfeuse poeg Jaakobus, Taddeus, revolutsionäär Siimon
2903130023	ja Juudas Iskariot (kes ta reetis).
290314006e	Jeesus läks koju, kuid taas kogunes nii suur rahvahulk, et temal ja ta jüngritel ei olnud isegi aega süüa.
2903150060	Kui Jeesuse perekond sellest kuulis, tulid nad talle järele, öeldes: „Ta on aru kaotanud.“
2903160088	Ent Jeruusalemma vaimulikud juhid ütlesid: „Ta on Peltsebuli võimuses! Ta ajab kurje vaime välja kurjade vaimude valitseja abil!“
2903170080	Aga Jeesus kutsus nad enda juurde ning näitlikku selgitust kasutades küsis neilt: „Kuidas saab Saatan Saatanat välja ajada?
290318003a	Kuningriik, mis on iseendaga sõjajalal, ei jää püsima.
2903190026	Riidlev leibkond on hukule määratud.
29031a0058	Kui Saatan on iseendaga riius ja sõjajalal, ei kesta ta kaua − peagi oleks tal lõpp.
29031b00a8	Kindel on see, et kui keegi murrab tugeva mehe majja ja üritab tema asju võtta, ei jõua ta röövsaagiga kaugele, kui ta seda tugevat meest kõigepealt kinni ei seo.
29031c004f	Ma räägin teile tõtt: kõik patud ja jumalateotus on võimalik andeks saada,
29031d0091	aga kui inimesed teotavad Jumalat sellega, et lükkavad tagasi Püha Vaimu, siis ei saa nad kunagi andeks, sest nad on süüdi igaveses patus.“
29031e004a	(Jeesus ütles nii sellepärast, et nad ütlesid: „Tal on kuri vaim.“)
29031f007d	Seejärel jõudsid kohale Jeesuse ema ja vennad. Nad ootasid väljas ja saatsid talle teate, milles palusid tal välja tulla.
290320005e	Tema ümber istuv rahvas ütles talle: „Sinu ema ja vennad küsivad väljas sinu järele.“
2903210031	„Kes on mu ema? Kes on mu vennad?“ vastas ta.
2903220068	Heitnud pilgu kõigile, kes istusid tema ümber ringis, ütles ta: „Siin on mu ema! Siin on mu vennad!
290323004b	Kes iganes teeb seda, mis on Jumala tahtmine, on minu vend, õde ja ema.“
29040100a2	Jeesus hakkas taas mere ääres õpetama. Teda tuli kuulama nii palju rahvast, et ta astus paati ja istus vee peal paadis, sel ajal kui rahvas kuulas teda kaldal.
290402002f	Ta näitlikustas oma õpetusi paljude lugudega.
2904030041	„Kuulake,“ ütles ta. „Üks külvaja läks välja külvama.
2904040069	Kui ta külvates seemneid laiali puistas, kukkus osa teerajale, linnud tulid ja sõid seemned sealt ära.
2904050099	Osa seemneid pudenes kivisele pinnale, kus ei olnud eriti mulda. Madalas mullakihis hakkasid taimed kiiresti kasvama, aga kuna mullakiht ei olnud sügav,
2904060050	kõrvetas päike taimi. Kuna neil ei olnud päris juuri, närbusid taimed peagi.
290407007b	Osa seemneid pudenes ohakate sekka. Ohakad kasvasid suureks ja lämmatasid tärkava orase, nii et sellest ei tulnud midagi.
29040800a3	Osa seemneid langes heale pinnasele, kus nad idanesid ja kasvasid ning andsid saagiks mõni kolmkümmend, mõni kuuskümmend ja mõni sada korda külvatust rohkem.
2904090048	Kui teil on kuulmiseks kõrvad, siis kuulake, mida ma teile räägin.“
29040a0076	Kui Jeesus oli omapead, küsisid kaksteist jüngrit ja teised, kes olid koos temaga, mida need võrdlused tähendasid.
29040b0064	Ta ütles neile: „Teie saate Jumala riigi mõistatusest aru. Kuid kõrvalseisjatel on ainult lood,
29040c0096	nii et kuigi nad näevad, nad tegelikult ei „näe“, ja kuigi nad kuulevad, nad ei mõista, muidu pöörduksid nad minu poole ja saaksid andeks.“
29040d0083	„Kas te ei saa sellest loost aru?“ küsis Jeesus neilt. „Kui ei saa, kuidas te siis kõigist ülejäänud lugudest aru saate?
29040e0017	Külvaja külvab sõna.
29040f0095	Seemned rajal, kuhu sõna külvati, kujutavad neid, kes kuulevad sõnumit, kuid siis tuleb kohe Saatan ja võtab ära sõna, mis neisse on külvatud.
2904100079	Samal kombel kujutab kivine pind, kuhu seemned langesid, neid, kes kuulevad sõna ja võtavad selle kohe rõõmuga vastu.
290411009c	Aga kuna neil ei ole päris juuri, jäävad nad püsima ainult veidikeseks ajaks, kuni tulevad probleemid või tagakiusamine, ja siis langevad nad kiiresti.
2904120038	Ohakate sekka külvatu kujutab neid, kes kuulevad sõna,
2904130072	kuid selle maailma mured, rikkuse ahvatlus ja muud segavad asjaolud lämmatavad sõna kasvu ja see ei kanna vilja.
29041400b5	Ent heale pinnasele külvatud seemned kujutavad neid, kes kuulevad sõna, võtavad selle vastu ja kannavad vilja, andes kolmkümmend, kuuskümmend ja sada korda rohkem kui külvati.
2904150067	Kes paneb lambi ämbri või voodi alla?“ küsis Jeesus neilt. „Ei, lamp pannakse üles lambijalale.
290416004f	Kõik, mis on varjatud, tuleb ilmsiks ja kõik, mis on salajas, saab avalikuks.
290417003f	Kui teil on kõrvad kuulmiseks, siis kuulake, mida ma räägin!
2904180095	Pange tähele seda, mida te kuulete,“ ütles ta neile, „sest teile antakse vastavalt sellele, kui palju tahate vastu võtta, mõõt mõõdu eest.
2904190083	Neile, kel juba on arusaamine, antakse rohkem, kuid neilt, kes ei taha teada, võetakse ära seegi vähene arusaamine, mis neil on.
29041a0048	Jumala riik on nagu mees, kes külvab põllule seemet,“ ütles Jeesus.
29041b006f	„Ta läheb magama ja tõuseb varakult üles ja nii iga päev, kuid ta ei tea, kuidas seeme idaneb ja tärkab.
29041c0069	Maa annab saaki iseenesest. Kõigepealt tuleb välja oras, seejärel viljapea ja siis küpse viljaga pea.
29041d004a	Kui vili on küps, koristab põllumees selle sirbiga, sest saak on valmis.
29041e0049	Millega võrrelda Jumala riiki? Missugust näidet kasutada?“ küsis ta.
29041f0032	„See on nagu sinepiseeme − kõige pisem seeme.
29042000a0	Aga kui see maha külvata, siis kasvab sellest taim, mis on suurem kui teised taimed. Selle oksad on piisavalt suured, nii et linnud saavad seal varjus olla.“
290421006d	Jeesus kasutas rahvale kõneledes palju selliseid näitlikke lugusid, et nad mõistaksid võimalikult hästi.
2904220076	Õigupoolest kasutas ta avalikult rääkides üksnes jutustusi, kuid omaette olles selgitas ta oma jüngritele kõike.
2904230064	Samal päeval hiljem − õhtul − ütles ta oma jüngritele: „Lähme üle mere teisele poole.“
2904240064	Jätnud rahvahulga maha, läksid jüngrid koos Jeesusega paati. Nende juures oli veel teisigi paate.
2904250055	Peagi hakkas möllama kohutav torm, lained paiskusid vastu paati ja lõid vett sisse.
290426008a	Jeesus magas ahtris, pea padjale toetatud. Jüngrid äratasid ta kisendades: „Õpetaja, kas sa ei hooli sellest, et me oleme uppumas?“
290427008a	Jeesus ärkas. Ta käskis tuulel vaibuda ja ütles lainetele: „Rahunege! Ärge möllake!“ Tuul vaibus ja vesi jäi täiesti tüüneks.
2904280059	„Miks te nii väga kohkusite? Kas te ei ole õppinud mind usaldama?“ küsis ta neilt.
2904290075	Nad olid jahmunud ja ehmunud. Nad küsisid üksteiselt: „Kes ta ometi on? Isegi tuul ja lained kuuletuvad talle!“
290501003a	Nad jõudsid järve teisele kaldale gerasalaste maa-alale.
2905020059	Kui Jeesus astus paadist välja, tuli surnuaialt temale vastu mees, kellel oli kuri vaim.
2905030062	See mees elas haudade vahel ning teda ei olnud enam võimalik kinni siduda, isegi mitte ahelatega.
29050400b0	Teda oli sageli pandud ahelaisse ja raudadesse, kuid ta rebis ahelad lihtsalt katki ning purustas käe- ja jalarauad tükkideks. Kellelgi ei olnud jõudu, et temast jagu saada.
290505006f	Päeval ja ööl kisendas ta haudade vahel ja lähedal asuvates mägedes ning lõikus ennast teravate kividega.
2905060045	Nähes Jeesust kaugelt, jooksis ta vastu ja langes tema ees põlvili.
290507008c	Ta hüüdis valju häälega: „Mis on sul minuga tegemist, Jeesus, kõigevägevama Jumala Poeg? Vannu Jumala nimel, et sa ei piina mind!“
290508003c	Sest Jeesus oli juba käskinud kurjal vaimul mehest lahkuda.
2905090069	Siis küsis Jeesus temalt: „Mis su nimi on?“ „Mu nimi on Leegion, sest meid on palju!“ vastas ta.
29050a003c	Ta anus Jeesust pidevalt, et Jeesus ei saadaks teda kaugele.
29050b0031	Läheduses mäenõlval oli söömas suur seakari.
29050c0059	Kurjad vaimud palusid Jeesust: „Saada meid sigadesse, et saaksime nende sisse minna.“
29050d00a8	Jeesus lubas neil seda teha. Kurjad vaimud lahkusid mehest ja läksid sigade sisse. Kogu kari − umbes kaks tuhat siga − tormas järsust kaljust alla merre ja uppus.
29050e0085	Seakarjused jooksid minema ning levitasid seda uudis kõikjal linnas ja maal. Rahvas tuli välja vaatama, et näha, mis oli juhtunud.
29050f00da	Kui nad leidsid Jeesuse, nägid nad meest, kes oli olnud kurjade vaimude võimuses, sealsamas istumas, riietatult ja täie mõistuse juures − sedasama meest, kellel oli olnud leegion kurje vaime −, ja nad kohkusid!
