0100000009	1 Mosebok
06152c00b7	Och Herren lät dem hafva ro för allom omkring dem, såsom han deras fäder svorit hade. Och ingen af deras fiendar stod emot dem; utan alla deras fiendar gaf Herren i deras händer.
06152d005d	Och felade intet af det goda, som Herren Israels hus tillsagt hade; utan det skedde så allt.
0616010056	Då kallade Josua till sig de Rubeniter och Gaditer, och den halfva slägtena Manasse.
061602008a	Och sade till dem: I hafven hållit allt det Mose Herrans tjenare eder budit hafver, och lydt mine röst i allt det jag hafver budit eder.
0616030080	I hafven icke öfvergifvit edra bröder nu i en lång tid, allt intill denna dag; och hafven blifvit vid Herrans edars Guds bud.
06160400e4	Efter nu Herren edar Gud hafver låtit edra bröder komma till ro, såsom han dem sagt hade; så vänder nu om igen, och drager till edra hyddor i edars arfs land, som Mose Herrans tjenare eder gifvit hafver på hinsidon Jordan;
0616050124	Allenast tager der vara uppå granneliga, att I gören efter de bud och lag, som Mose Herrans tjenare eder budit hafver; att I älsken Herran edar Gud, och vandren uppå alla hans vägar, och hållen hans bud, och hållen eder intill honom, och tjenen honom af allo hjerta, och af allo själ.
061606004c	Så välsignade Josua dem, och lät gå dem; och de gingo till deras hyddor.
06160700d3	Den halfva slägtene Manasse hade Mose gifvit i Basan; den andra hälftene gaf Josua ibland deras bröder på desso sidone Jordan, vestantill. Och då han lät dem gå till deras hyddor, och hade välsignat dem,
06160800c0	Sade han till dem: I kommen hem igen med stora ägodelar till edra hyddor, med ganska mycken boskap, silfver, guld, koppar, jern och kläder; så skifter nu edra fiendars rof med edra bröder.
061609010e	Och så vände de Rubeniter och Gaditer, och den halfva slägten Manasse, om igen, och gingo ifrån Israels barn af Silo, som i Canaans land ligger, att de skulle draga in i Gileads land till deras arfs land, det de till arfs fått hade af Herrans befallning genom Mose.
06160a00ac	Och då de kommo till de högar vid Jordan, som i Canaans land ligga, byggde de samme Rubeniter, Gaditer, och halfva Manasse slägt, der vid Jordan ett stort skönt altare.
06160b00bc	Då Israels barn hörde sägas: Si, Rubens barn, Gads barn, och den halfva slägten Manasse hafva byggt ett altare emot Canaans land, vid Jordans högar, på desso sidone vid Israels barn;
06160c0060	Församlade de sig hela menigheten i Silo, att de skulle draga upp till dem, och strida med dem;
06160d0048	Och sände till dem in uti Gileads land, Pinehas, Eleazars Prestens son;
06160e005b	Och med honom tio öfversta Förstar ibland deras fäders hus, af hvarjo Israels slägt en.
06160f0048	Och när de kommo till dem i landet Gilead, talade de med dem, och sade:
06161000b6	Så låter hela Herrans menighet säga eder: Hvi synden I så emot Israels Gud; och vänden eder i dag ifrå Herranom, dermed att I byggen eder ett altare, och fallen ifrå Herranom?
0616110080	Är oss icke nog med Peors missgerning, af hvilko vi ännu på denna dag icke renade äre; och en plåga kom i Herrans menighet?
06161200aa	Och I vänden eder i dag bort ifrå Herranom, och ären i dag affällige vordne ifrå Herranom; på det han i dag eller morgon skall vredgas öfver hela Israels menighet.
0616130108	Tycker eder, att edart arfs land är orent, så kommer hitöfver i det land, som Herren hafver, der Herrans tabernakel är, och tager arf ibland oss; och träder icke ifrå Herranom, och ifrån oss, att I byggen eder ett altare, förutan Herrans vårs Guds altare.
061614008c	Förbröt icke Achan, Serahs son, sig på det spillgifna; och vreden kom öfver hela Israels menighet, och han umgalt icke sina synd allena?
061615007e	Då svarade Rubens barn, och Gads barn, och den halfva slägten Manasse, och sade till de höfvitsmän och Förstar af Israel:
0616160099	Herren den starke Gud, Herren den starke Gud vet det, och Israel desslikes; är detta afträdning eller synd emot Herran, så hjelpe han oss intet i dag.
06161700b7	Och om vi altaret fördenskull byggt hafve, att vi vilje vända oss ifrå Herranom, offra deruppå bränneoffer och spisoffer, eller göra der tackoffer uppå, så hämnes det Herren;
06161800b2	Och om vi icke det mycket heldre för denna sakens skull gjorde, och sade: I dag eller morgon måtte edor barn säga till vår barn: Hvad hafven I göra med Herranom Israels Gud?
06161900bc	Herren hafver satt Jordan till ett landamäre emellan oss och eder; I Rubens och Gads barn, I hafven ingen del med Herranom; och så måtte edor barn komma vår barn ifrå Herrans fruktan.
06161a0057	Derföre sade vi: Låt oss bygga ett altare, icke till något offer eller bränneoffer;
06161b011d	Utan på det att det må vara ett vittnesbörd emellan oss och eder, och våra efterkommande, att vi måge tjena Herranom för honom med vårt bränneoffer, tackoffer och annor offer; och edor barn icke behöfva i dag eller morgon säga till vår barn: I hafven ingen del med Herranom.
06161c00ff	När de nu vordo sägande till oss, eller våra efterkommande i dag eller morgon, så kunna de säga: Ser liknelsen till Herrans altare, hvilket våre fäder gjort hafva; icke till offer eller bränneoffer, utan till ett vittnesbörd emellan oss och eder.
06161d00fd	Bort det ifrån oss, att vi skulle träda ifrå Herranom, så att vi i dag skulle vända oss ifrå Herranom, och bygga ett altare till bränneoffer, och till spisoffer, och annor offer, förutan Herrans vårs Guds altare, som står för hans tabernakel.
06161e00b9	Då nu Pinehas Presten, och de öfverste för menighetene, Israels Förstar, som med honom voro, detta hörde, täcktes dem väl Rubens barnas, Gads, och den halfva Manasse slägts ord.
06161f00e3	Och Pinehas, Prestens Eleazars son, sade till Rubens, Gads, och Manasse barn: I dag förstå vi, att Herren är med oss, att I icke hafven syndat emot Herran med denna gerning; nu hafven I frälst Israels barn utu Herrans hand.
06162000ad	Så drog Pinehas, Prestens Eleazars son, och de öfverste, utu Gileads land, ifrå Rubens och Gads barn, åter in uti Canaans land, till Israels barn, och sade dem det igen.
06162100c5	Då behagade det Israels barnom väl, och lofvade Israels barnas Gud; och sade intet mer, att de ville draga upp emot dem till slags, till att förderfva landet, som Rubens och Gads barn uti bodde.
0616220070	Och Rubens och Gads barn kallade det altaret, att det skall vara ett vittne emellan oss, och att Herren är Gud.
0617010099	Efter lång tid, sedan Herren hade låtit Israel komma till ro för alla deras fiendar omkring sig; och Josua nu gammal och väl till ålders kommen var;
0617020093	Kallade han till sig hela Israel, och deras äldsta, höfvitsmän, domare och ämbetsmän, och sade till dem: Jag är gammal och väl till ålders;
061703008e	Och I hafven sett allt det Herren edar Gud gjort hafver på all dessa folken här för eder; ty Herren edar Gud hafver sjelf stridt för eder.
06170400c3	Ser, jag hafver utskift eder de folk, som ännu qvare äro, genom lott, hvarjo slägtene sin arfvedel, allt ifrå Jordan, och all de folk, som jag utrotat hafver; och ifrå stora hafvet vesterut.
061705009a	Och Herren edar Gud skall utdrifva dem för eder, och utrota dem ifrån eder, så att I skolen intaga deras land, såsom Herren edar Gud eder sagt hafver.
06170600b0	Så varer nu fast frimodige, att I hållen och gören allt det som skrifvet står i Mose lagbok; att I icke viken derifrå, antingen på den högra sidon eller på den venstra;
06170700b0	Att I icke kommen ibland dessa återlefda folken, som med eder ännu äro; och I icke ihågkommen, eller svärjen vid deras gudars namn, eller tjenen dem, eller tillbedjen dem:
0617080051	Utan håller eder intill Herran edar Gud, såsom I intill denna dag gjort hafven.
061709007a	Så skall Herren fördrifva för eder stor och mägtig folk; och ingen hafver kunnat stå eder emot allt intill denna dag.
06170a0061	En af eder skall jaga tusende; ty Herren edar Gud strider för eder, såsom han eder sagt hafver.
06170b004c	Derföre bevarer edra själar granneliga, att I hafven Herran edar Gud kär.
06170c00ab	Men om I vänden eder härifrå, och hållen eder intill dessa återlefda folken, och befrynden eder med dem i giftermål, så att I kommen ibland dem, och de ibland eder;
06170d011e	Så veter, att Herren edar Gud skall icke mer fördrifva all dessa folken för eder; utan de skola eder varda till snaro och nät, och till en staka i edra sido, och till en törnagadd i edor ögon, tilldess han förgör eder utu det goda landet, som Herren edar Gud eder gifvit hafver.
06170e00de	Si, jag går i dag alla verldenes väg, och I skolen veta af allt hjerta, och af allo själ, att icke ett ord felat hafver på allt det goda, som Herren edar Gud eder sagt hafver; allt är skedt, och intet tillbakablifvet.
06170f00dd	Lika som nu allt det goda kommet är, som Herren edar Gud eder sagt hafver, så skall ock Herren låta komma öfver eder allt ondt, tilldess han förgör eder utu detta goda landet, som Herren edar Gud eder gifvit hafver;
0617100107	Om I Herrans edars Guds förbund öfverträden, som han eder budit hafver, och gången bort, och tjenen andra gudar, och tillbedjen dem; så att Herrans vrede förgrymmar sig öfver eder, och snarliga förgör eder utu det goda landet, som han eder gifvit hafver.
06180100a6	Och Josua församlade alla Israels slägter till Sichem, och kallade fram de äldsta i Israel, höfvitsmän, domare och ämbetsmän. Då de voro framträdde för Gud,
06180200a9	Sade han till hela folket: Så säger Herren, Israels Gud: Edra fäder bodde i förtiden på hinsidon älfven, Tharah, Abrahams och Nahors fader, och tjente andra gudar.
0618030094	Då tog jag edar fader Abraham på hinsidon älfven, och lät honom vandra i hela Canaans land, och förökade honom hans säd, och gaf honom Isaac.
061804007d	Och Isaac gaf jag Jacob och Esau; och gaf Esau det berget Seir till besitta; men Jacob och hans barn drogo neder uti Egypten.
0618050058	Då sände jag Mose och Aaron, och plågade Egypten, såsom jag ibland dem gjort hafver.
06180600aa	Sedan förde jag eder och edra fäder utur Egypten, och när I kommen till hafvet, och de Egyptier jagade efter edra fäder med vagnar och resenärar intill röda hafvet;
06180700de	Så ropade de till Herran, och han satte ett mörker emellan eder och de Egyptier, och förde hafvet öfver dem, och öfvertäckte dem; och edor ögon sågo hvad jag i Egypten gjorde; och I bodden i öknene i en lång tid.
06180800c0	Och jag förde eder uti de Amoreers land, som bodde på hinsidon Jordan; och då de stridde emot eder, gaf jag dem i edra händer, så att I besågen deras land, och förgjorden dem för eder.
06180900a8	Då reste sig upp Balak, Zipors son, de Moabiters Konung, och stridde emot Israel, och han sände bort, och lät kalla Bileam, Beors son, att han skulle förbanna eder.
06180a0062	Men jag ville intet höra honom, och han välsignade eder; och jag frälste eder utu hans händer.
06180b00c7	Och då I gingen öfver Jordan, och kommen till Jericho, stridde Jericho inbyggare emot eder, de Amoreer, Phereseer, Cananeer, Hetheer, Girgaseer, Heveer och Jebuseer; men jag gaf dem i edra händer;
06180c0087	Och sände getingar framför eder, de drefvo dem ut för eder, de två Amoreers Konungar; icke genom ditt svärd eller genom din båga;
06180d00c2	Och gaf eder ett land, der I intet på arbetat haden, och städer, som I intet uppbyggt haden; att I skullen bo deruti, och skullen äta af vingårdar, och oljoberg, som I intet planterat haden.
06180e00b3	Så frukter nu Herran, och tjener honom troliga och rättsinneliga; och låter fara de gudar, som edra fäder tjent hafva på hinsidon älfven, och i Egypten; och tjener Herranom.
06180f00ff	Tycker eder icke godt vara, att I tjenen Herranom, så utväljer eder i dag hvem I tjena viljen; antingen den Gud, som edre fäder tjent hafva på hinsidon älfvena, eller de Amoreers gudar, i hvilkas land I bon; men jag och mitt hus vilje tjena Herranom.
0618100060	Då svarade folket, och sade: Bort det, att vi skulle öfvergifva Herran, och tjena andra gudar;
06181100fc	Ty Herren vår Gud hafver fört oss och våra fäder utur Egypti land, utu träldomens hus; och hafver för vår ögon gjort så stor tecken, och bevarat oss på hela vägenom, som vi dragit hafve; och ibland alla de folk, genom hvilka vi gångne äre.
061812008a	Och Herren hafver utdrifvit för oss all de Amoreers folk, som bodde i landena; derföre vilje vi ock tjena Herranom; ty han är vår Gud.
06181300a1	Josua sade till folket: I kunnen icke tjena Herranom; ty han är en helig Gud, och en nitälskande Gud, den eder icke förlåter edor öfverträdelse och synder.
06181400a1	När I nu öfvergifven Herran, och tjenen en främmande gud, så skall han vända sig, och göra eder ondt; och förgöra eder, sedan han eder godt gjort hafver.
0618150043	Men folket sade till Josua: Icke så, utan vi vilje tjena Herranom.
0618160083	Då sade Josua till folket: I ären vittne öfver eder, att I hafven eder utvalt Herran, att I skolen tjena honom. Och de sade: Ja.
0618170075	Så lägger nu ifrån eder de främmande gudar, som ibland eder äro, och böjer edor hjerta till Herran Israels Gud.
0618180054	Och folket sade till Josua: Vi vilje tjena Herranom vårom Gud, och lyda hans röst.
0618190069	Så gjorde Josua på den samma dagen ett förbund med folket, och satte dem lag och rätt före i Sichem.
06181a0083	Och Josua skref allt detta i Guds lagbok, och tog en stor sten, och reste honom der upp under ena ek, som var vid Herrans helgedom;
06181b00da	Och sade till allt folket: Si, denne stenen skall vara vittne emellan oss; ty han hafver hört allt Herrans tal, som han med oss talat hafver; och skall vara ett vittne öfver eder, att I edar Gud icke försaka skolen.
06181c003a	Alltså lät Josua folket gå, hvar och en i sin arfvedel.
06181d0082	Och det begaf sig, när detta skedt var, att Josua, Nuns son, Herrans tjenare, blef död, då han hundrade och tio är gammal var.
06181e0083	Och de begrofvo honom i hans arfvedels gränso i ThimnathSerah, som ligger på Ephraims berg, på norra sidone vid det berget Gaas.
06181f00ac	Och Israel tjente Herranom så länge Josua lefde, och de äldste, hvilke i långan tid lefde efter Josua, och visste alla Herrans gerningar, som han med Israel gjort hade.
06182000d3	Och Josephs ben, som Israels barn hade fört utur Egypten, begrofvo de i Sichem, i det åkrastycket, som Jacob köpte af Hemors barnom, Sichems faders, för hundrade penningar; och vardt Josephs barnas arfvedel.
061821007e	Blef ock Eleazar, Aarons son, död, och de begrofvo honom i Gibeath Pinehas hans sons, det honom på Ephraims berg gifvet var.
070000000a	Domarboken
070101006d	Efter Josua död frågade Israels barn Herran, och sade: Ho skall ibland oss föra örliget emot de Cananeer?
070102004c	Herren sade: Juda skall föra det; si, jag hafver gifvit landet i hans hand.
07010300b0	Då sade Juda till sin broder Simeon: Drag med mig upp i min lott, och låt oss strida emot de Cananeer, så vill jag åter draga med dig i din lott. Så drog Simeon med honom.
0701040079	Då nu Juda drog ditupp, gaf Herren honom de Cananeer och Phereseer i deras händer; och de slogo i Besek tiotusend män.
070105005d	Och de funno AdoniBesek i Besek; och stridde emot honom, och slogo de Cananeer och Phereseer.
070106007f	Men AdoniBesek flydde, och de jagade efter honom, fingo honom, och höggo af honom tummarna, både af hans händer och fötter.
07010700e7	Då sade AdoniBesek: Sjutio Konungar, med afhuggna tummar af deras händer och fötter, hemtade upp under mitt bord; såsom jag nu gjort hafver, så hafver Gud vedergullit mig. Och de förde honom till Jerusalem, der blef han död.
070108006a	Men Juda barn stridde emot Jerusalem, och vunno det, och slogo det med svärdsegg, och brände staden upp.
0701090071	Sedan drogo Juda barn neder, till att strida emot de Cananeer, som bodde på bergen, och söderut, och i dalarna.
07010a0084	Och Juda drog emot de Cananeer, som bodde i Hebron; men Hebron het i förtiden KiriathArba; och slog Sesai, och Ahiman, och Thalmai;
07010b004f	Och drog dädan emot Debirs inbyggare; men Debir het i förtiden KiriathSepher.
07010c006b	Och Caleb sade: Den som KiriathSepher slår och vinner, honom vill jag gifva mina dotter Achsa till hustru.
07010d0068	Då vann det Athniel, Kenas son, Calebs yngsta broders; och han gaf honom sina dotter Achsa till hustru.
07010e00ac	Och det begaf sig, då hon indrog, vardt henne rådet, att hon skulle bedas en åker af sin fader; och hon gaf sig ifrån åsnanom. Då sade Caleb till henne: Hvad är dig?
07010f00a6	Hon sade: Gif mig en välsignelse; ty du hafver gifvit mig ett söderland; gif mig ock ett, som vatten hafver. Då gaf han henne ett, som vatten hade ofvan och nedan.
07011000ae	Och de Keniters barn, Mose svågers, drogo upp utu Palma staden med Juda barn uti Juda öken, som ligger sunnan för den staden Arad; och gingo till, och bodde ibland folket.
0701110083	Och Juda drog åstad med hans broder Simeon, och slogo de Cananeer i Zephat, och gåfvo honom tillspillo, och kallade staden Horma.
070112006e	Dertill vann Juda Gaza med dess tillhöring, och Askelon med dess tillhöring, och Ekron med dess tillhöring.
070113008a	Och Herren var med Juda, så att han intog berget; förty han kunde icke intaga dem som i dalarna bodde, derföre, att de hade jernvagnar.
070114005e	Och de gåfvo Caleb Hebron, såsom Mose sagt hade; och han fördref derut de tre Enaks söner.
0701150095	Men BenJamins barn fördrefvo icke de Jebuseer, som bodde i Jerusalem; utan de Jebuseer bodde när BenJamins barn i Jerusalem, allt intill denna dag.
070116004a	Sammalunda drogo ock Josephs barn upp till BethEl; och Herren var med dem.
070117003a	Och Josephs hus bespejade BethEl, det tillförene het Lus.
0701180097	Och hållarena fingo se en man gå utu staden, och sade till honom: Visa oss huru vi skole komma in i staden, så vilje vi göra barmhertighet med dig.
0701190084	Och när han hade vist dem hvar de skulle komma in, slogo de staden med svärdsegg; men den mannen och all hans slägt läto de gå.
07011a0078	Då drog den samme mannen in uti de Hetheers land, och byggde en stad, och kallade honom Lus. Den heter ännu i dag så.
07011b0133	Och Manasse fördref icke BethSean med dess döttrar; icke heller Thaanach med dess döttrar, och icke heller de inbyggare i Dor med dess döttrar, ej heller de inbyggare i Jibleam med dess döttrar, ej heller de inbyggare i Megiddo med dess döttrar; och de Cananeer begynte till att bo i de samma landena.
07011c005a	Men då Israel kom till magt, gjorde han de Cananeer skattpligtiga, och fördref dem icke.
07011d0072	Sammalunda fördref icke heller Ephraim de Cananeer, som bodde i Gaser; utan de Cananeer bodde ibland dem i Gaser.
07011e007b	Sebulon fördref icke heller dem som bodde i Kitron och Nahalol; utan de Cananeer bodde ibland dem, och voro skattpligtige.
07011f007e	Asser fördref icke dem som bodde i Acco; icke heller dem som bodde i Zidon, i Ahlab, i Achsib, i Helbah, i Aphik och i Rehob;
070120005b	Utan de Asseriter bodde ibland de Cananeer, som i landena bodde; ty de fördrefvo dem icke.
07012100b4	Napthali fördref icke dem som bodde i BethSemes, ej heller i BethAnath; utan bodde ibland de Cananeer, som i landena bodde; men de i BethSemes och i BethAnath vordo skattpligtige.
0701220069	Men de Amoreer trängde Dans barn in på bergena, och stadde dem icke till, att de kommo neder i dalarna.
0701230090	Och de Amoreer begynte bo på de bergena Heres i Ajalon och Saalbim; dock vardt Josephs hus hand dem för svår, så att de vordo skattpligtige.
0701240062	Och de Amoreers gränsa var der man uppgår till Akrabbim, och ifrå klippone, och ifrå höjdene.
07020100ee	Och kom en Herrans Ängel upp ifrå Gilgal till Bochim, och sade: Jag förde eder utur Egypten, och lät eder komma in uti det land, som jag edra fäder svorit hade, och sade: Jag skall icke göra mitt förbund med eder ogildt i evig tid;
07020200a7	Att I icke skullen göra något förbund med detta lands inbyggare, utan skullen bryta deras altare omkull; men I hafven intet lydt mine röst. Hvi hafven I det gjort?
070203007c	Sade jag ock med: Jag vill icke fördrifva dem för eder; att de skola vara eder till snaro, och deras gudar eder till nät.
0702040068	Och då Herrans Ängel dessa orden sagt hade till all Israels barn, hof folket sina röst upp, och gret;
0702050038	Och kallade det rummet Bochim, och offrade der Herranom.
0702060071	Ty då Josua hade släppt folket ifrå sig, och Israel var dragen hvar till sin arfvedel, till att intaga landet,
07020700a4	Tjente folket Herranom, så länge Josua lefde, och de äldste, som länge lefde efter Josua, och sett hade alla Herrans stora gerningar, som han Israel gjort hade.
0702080050	Men då Josua, Nuns son, Herrans tjenare, död var, hundrade och tio är gammal,
070209006e	Begrofvo de honom i hans arfvedels gränso i ThimnathHeres, på Ephraims berg, på norra sidone vid Gaas berg.
07020a00b9	Då ock alle de, som på den tiden lefde, voro samkade till sina fäder, kom ett annat slägte upp efter dem, som intet kände Herran, eller de gerningar, som han med Israel gjort hade.
07020b0046	Så gjorde Israels barn det ondt var för Herranom, och tjente Baalim;
07020c00c5	Och öfvergåfvo Herran deras fäders Gud, som dem utur Egypti land fört hade, och följde andra gudar efter, och de folks gudar, som omkring dem bodde, och tillbådo dem, och förtörnade Herran.
07020d0047	Ty de öfvergåfvo ju mer och mer Herran, och tjente Baal och Astaroth.
07020e00e2	Så förgrymmade då Herrans vrede sig öfver Israel, och gaf dem i deras hand, som dem röfvade, att de dem beröfva skulle, och sålde dem i deras fiendars händer allt omkring; och de kunde icke mer stå deras fiendar emot;
07020f009e	Utan, ehvart de vände sig, var Herrans hand emot dem till deras ofärd, såsom Herren dem sagt, och Herren dem svorit hade; och de vordo hårdeliga plågade.
0702100045	När nu Herren uppväckte domare, som dem hulpo utu röfvarenas hand,
07021100d2	Så lydde de icke heller domarena, utan bedrefvo hor med andra gudar, och tillbådo dem, och veko snarliga af den vägen, der deras fäder på gångit hade, till att lyda Herrans bud och gjorde intet såsom de.
07021200dc	Då nu Herren uppväckte dem domare, så var Herren med domarenom, och halp dem utu deras fiendars hand, så länge domaren lefde; ty Herren förbarmade sig öfver deras suckan, öfver dem som dem tvingade, och trängde.
07021300e9	Men när domaren blef död, så vände de sig, och förderfvade det mer än deras fäder, så att de följde andra gudar, till att tjena dem, och tillbedja dem de gingo icke ifrå sina påfunder, eller ifrå sina halsstyfva väsende.
07021400bf	Derföre förgrymmade sig så Herrans vrede öfver Israel, att han sade: Efter detta folket hafver gått ifrå mitt förbund, som jag deras fader budit hafver, och icke velat höra min röst;
0702150065	Så skall jag nu härefter ingen fördrifva af de Hedningar, som Josua återlefde, då han blef död:
070216008d	Att jag på dem må försöka Israel, om de vilja blifva på Herrans vägar, och vandra på dem, såsom deras fäder vandrat hafva, eller ej.
0702170079	Så lät då Herren blifva dessa Hedningar, att han icke med hast fördref dem, hvilka han i Josua hand icke gifvit hade.
0703010083	Desse äro de Hedningar, som Herren lät blifva, på det han skulle med dem försöka Israel, som intet visste utaf Canaans örlig;
0703020063	Och att Israels barnas afföda måtte veta och lära strida, de som tillförene intet visste deraf;
07030300b4	Nämliga de fem Philisteers Förstar, och alla Cananeer och Zidonier, och de Heveer, som bodde på Libanons berg, allt ifrå det berget BaalHermon, tilldess man kommer till Hamath.
0703040090	De samme blefvo till att försöka Israel med dem, att man måtte förfara, om de lydde Herrans bud, som han deras fäder budit hade genom Mose.
070305005f	Då nu Israels barn bodde ibland de Cananeer, Hetheer, Amoreer, Phereseer, Heveer och Jebuseer,
0703060063	Togo de deras döttrar till hustrur, och gåfvo sina döttrar deras söner, och tjente deras gudar;
070307005d	Och gjorde, illa för Herranom, och förgåto Herran deras Gud, och tjente Baalim och lundom.
07030800aa	Då förgrymmade sig Herrans vrede öfver Israel, och sålde dem i CusanRisathaims hand, Konungens i Mesopotamien; och så tjente Israels barn CusanRisathaim i åtta år.
0703090089	Då ropade Israels barn till Herran, och Herren uppväckte dem en frälsare, som dem frälste, Athniel, Kenas son, Calebs yngste broders.
07030a00c0	Och Herrans Ande var i honom, och han vardt domare i Israel, och drog ut till strid; och Herren gaf CusanRisathaim, Konungen i Syrien, i hans hand, så att hans hand vardt honom öfvermägtig.
07030b0048	Så blef landet stilla i fyratio år; och Athniel, Kenas son, blef död.
07030c00a5	Men Israels barn gjorde ännu mer ondt för Herranom. Då stärkte Herren Eglon, de Moabiters Konung, emot Israel, derföre att de gjorde det ondt var för Herranom;
07030d0076	Och församlade till sig Ammons barn och de Amalekiter; och han drog åstad, och slog Israel, och tog in Palma staden.
07030e0042	Och Israels barn tjente Eglon, de Moabiters Konung, i aderton år.
07030f00cf	Så ropade de till Herran, och Herren uppväckte dem en frälsare, Ehud, Gera son, Jemini sons; han var ofärdig i sin högra hand. Och Israels barn sände med honom skänker till Eglon, de Moabiters Konung.
070310006b	Och Ehud gjorde sig ett tveeggadt svärd, en aln långt, och band det under, sin kläder på högra låret;
0703110057	Och bar fram skänken till Eglon, de Moabiters Konung; och Eglon var en ganska fet man.
070312005a	Och när han hade fått ifrå sig skänken, öfvergaf han folket, som hade burit skänken;
07031300ba	Och vände tillbaka igen ifrå de afgudar i Gilgal; och lät båda: Jag hafver, o Konung, något hemligit tala vid dig. Han bad gifva ljud; och de gingo alle ut, som stodo omkring honom.
070314008e	Och Ehud kom till honom in, och han satt uti en sommarsal allena; och Ehud sade: Jag hafver Guds ord till dig; då stod han upp af sinom stol.
070315006d	Men Ehud räckte ut sina venstra hand, och tog svärdet af sitt högra lår, och stötte det in uti hans buk;
0703160090	Så att ock skaftet följde in med bladet, och fetman innelyckte skaftet; ty han drog intet svärdet ut af hans buk, och träcken gick af honom.
070317005c	Men Ehud gick ut genom bakdörrena, och lät igen dörrena efter sig, och slog henne i lås.
07031800ba	Då han nu utkommen var, gingo hans tjenare in; och som de sågo, att dörren på sommarsalen igenlyckt var, sade de: Han är tilläfventyrs gången på stol i kammaren till sommarsalen.
07031900ab	När de nu så länge bidt hade, att de skämdes, ty ingen lät dem dörrena upp af salen, togo de nyckelen, och läste upp; si, då låg deras herre der död på jordene.
07031a0066	Och Ehud undflydde, medan de fördröjde, och gick fram om af gudarna, och undkom allt intill Seirath.
07031b0082	Och då han kom derin, blåste han i basuner på Ephraims berg, och Israels barn drogo med honom af bergena, och han framför dem;
07031c00dc	Och sade till dem: Följer mig efter, ty Herren hafver gifvit edra fiendar, de Moabiter, i edra händer; och de följde honom efter, och vunno Jordans färjostad, den som drager åt Moab, och läto ingen komma deröfver.
07031d007a	Och slogo de Moabiter af på den tiden vid tiotusend män, alltsammans adla och stridsamma män, så att icke en undslapp.
07031e0074	Alltså vordo de Moabiter på den tiden nederlagde, under Israels barnas hand; och landet var stilla i åttatio år.
07031f0072	Efter honom var Samlar, Anaths son; han slog sexhundrade Philisteer med en herdastaf, och frälste ock han Israel.
070401004a	Men Israels barn gjorde ytterligare illa för Herranom, då Ehud var död.
070402009e	Och Herren sålde dem uti Jabins, de Cananeers Konungs, händer, som satt i Hazor, och hans härhöfvitsman var Sisera, och han bodde i Haroseth Hedningarnas.
070403007b	Och Israels barn ropade till Herran; ty han hade niohundrade järnvägnar, och tvingade Israels barn med våld i tjugu år.
0704040057	På den samma tiden var domarinna i Israel, den Prophetissan Debora, Lappidoths hustru.
0704050087	Och hon bodde under Deboras palmträ, emellan Rama och BethEl, på Ephraims berg; och Israels barn kommo ditupp till henne för rätta.
07040600f6	Hon sände åstad, och kallade Barak, AbiNoams son, af Kedes Naphthali, och lät säga honom: Hafver icke Herren Israels Gud budit dig: Gack åstad, och drag upp på berget Thabor, och tag tiotusend män med dig, utaf Naphthali och Sebulons barn?
070407009d	Ty jag vill föra till dig Sisera, Jabins härhöfvitsman, vid den bäcken Kison, med hans vagnar, och med all hans hop; och vill gifva honom i dina händer.
0704080071	Barak sade till henne: Om du far med mig, så drager jag åstad; men far du icke med, så drager icke heller jag.
07040900c4	Hon sade: Jag vill draga med dig; men segren blifver icke din i denna resone, som du gör; utan Herren skall gifva Sisera uti en qvinnos hand. Så gjorde Debora redo, och for med Barak till Kedes.
07040a0077	Då kallade Balak Sebulon och Naphthali till Kedes, och drog till fot med tiotusend män; Debora följde ock med honom.
07040b0094	Men Heber den Keniten var dragen ifrå de Keniter, ifrå Hobabs barn, Mose svågers, och hade uppslagit sin tjäll vid den eken Zaanaim invid Kedes.
07040c0058	Då vardt Sisera bådadt, att Barak, AbiNoams son, var dragen upp på det berget Thabor.
07040d009f	Så samkade han alla sina vagnar tillhopa, niohundrade jernvagnar; och allt det folk med honom var, ifrå Haroseth Hedningarnas, allt intill den bäcken Kison.
07040e00d3	Men Debora sade till Barak: Upp, detta är den dagen, i hvilkom Herren hafver gifvit Sisera i dina hand; ty Herren skall draga ut för dig. Så drog Barak neder af berget Thabor, och de tiotusend män med honom.
07040f009b	Och Herren förskräckte Sisera med alla hans vagnar, och all hans här, för Baraks svärdsegg, så att Sisera sprang ifrå sin vagn, och flydde till fot.
0704100096	Men Barak jagade efter vagnarna och hären, allt intill Haroseth Hedningarnas, och all Sisera här föll för svärdsegg, så att icke en blef öfver.
07041100a1	Men Sisera flydde till fot in uti Jaels tjäll, Hebers den Kenitens hustrus; förty Konung Jabin i Hazor, och Hebers den Kenitens hus stodo i frid med hvarannan.
07041200c2	Och Jael gick ut emot Sisera, och sade till honom: Kom, min Herre, kom in till mig, och frukta dig intet; och han gaf sig in till henne uti hennes tjäll, och hon höljde öfver honom en mantel.
07041300a0	Och han sade till henne: Kära, gif mig litet vatten till att dricka, ty mig törster. Då tog hon en bytto mjölk, och gaf honom dricka, och höljde på honom.
0704140082	Och han sade till henne: Gack fram i dörrena på tjället, och om någor kommer och frågar, om någor är här, så säg: Ingen.
