2800000016	ማቶስ እንጂለ
290d1600b3	ክዝብ መሲሁለከ ክዝብ ነብያኑት አሜታአ፤ እሰን አታለሞሰ ጎሬ መገኑ መጠሮ መነ ሉሲሶተ አጀብሲሰኖ ጠወ አታአ።
290d17006d	እኮጎሬ ኩ ጠዉ እሆተ ሄጭ ጉዕመርቹንከ ኩሎንክዕኔቤቺሃ አገዕርዬ።
290d18007e	ህከ ወክት ኦርሻች ኤተሮን አርቹት ቱንስቹ እካአ፤ ህትን አገንቹ ለሊሰኖበአ።
290d19006e	ቤዜት ሰሜች ኡባአ፤ ህትን ሰማን ዮ ዎልቀት ጉዕሙርቹንኩ ሌንቄቀኖ።
290d1a0089	ህከኒች ኤተሮን እሰን መንች ቤቱ ሎረ ወልቃንለከ ኬዕምኝን ጎመ ኣዚን አሜተን ለኣአ።
290d1b00b5	ህከኒች ኤተሮን እስ መላይከተ ሶክ ሾሎንከ አዲን ሰሜች ዎሮን ኡለ ዳንጊች ዳንገ ኢለ መገኑ መጠሮ መነ ጭምአአኖ።
290d1c00ae	ኦድ ሀቁቾ ምሳልት ተማርስቱንክዕኔ፤ ሀሙንኩሴ ቀንሰንለከ ሀበረ ኤብ ለተኖ ወክት ሀጎ ሆንጠሁስ ደጌነንተ።
290d1d0080	ህትን አዕኑ ሁኩ ጉዕሙንኩ ጠዉ እሀን ለኤንተ ወክት ኡሮን ሆንጠኮሃ እሁስ ደጌ።
290d1e006c	ሀንቅንከ ያንክዕኔ፤ ከን ዘማን መኑ ኩ ጠዉ እሁዕነ ሄጭ ህገኖበአ።
290d1f005e	ሰሞሁለከ ኡለት ህጋአ፤ ጠዉ እኮጎሬ ላገኤ ሆሮን ህጋበአ።
290d2000ad	ህከ በርለከ ህከ ወክት መገን ቤሉ አዪሁ ደጎተ አታለኖበአ፤ ህትን ሆሮን ሰሜ መላይከትለከ ቤቱሁ ደገኖበአ።
290d210076	አዕኑ ወክቱስ መ ወክት እሀኖጎሬ ደጌነንተበእቤቺሃ ጠረኝቴን አገዕርዬ።
290d22010b	ሁኩንን መቱ ዎቃ ሃመኖ መንቹ አጉደኖ፤ እስን ምንስ አጉር ሃመን ካዲመስ እስገ እክ ሆጉተ አታገ መት-መትሃሰ ሆጉተ ኣሴእ፤ ህትን አገራንቹንከ ጠረኝት አገር ይ አዘዦ።
290d230142	ህካን እኮቤቺሃ ምንስ አኑ መ ወክት አሜተኖጎሬ ደጌነንተበእቤቺሃ ጠረኝቴን አገዕርዬ፤ መሰንትስ እስ ሀዎሩተ ህከረንገ ሀንከዕሬ በላን ህከረንገ ሀንጠቦ ወደን ህከረንገ ሱጵተ አሜቱስ ደጌነንተበአ።
290d240072	ህካን እኮቤቺሃ ድንገቴን ኦሳኤናን አሜተኖበዕገ ጠረኝቴን አገርዕዬ።
290d250080	«ክዕኔሃ ኩሎምገን ዎሎ መኒሃ ጉዕሚንከ ጠረኝቴን አገዕርዬ! ያም» ይ ተማርሴእ።
290e010128	ሻሽገለከ ራጭቱ ዮበኢሃ ጨልሰሞ እቸተ እቴነን ከበጄኖ ከበጀ በሪሃ ለሙ በሩ ፈቆስ እቅ፤ ቂስ አዎንሳኑትለከ ሕግ አስተማረት ኢሰ መኑ ደጉዕነ አፍ ሽቶተ እሳሃ ቆሀኖ ዎቃሃ ሀሳኢት እቅ።
290e020087	ጠዉ እኮጎሬ እሰን «ከን ከበጀ በሬን አፎኑንከ፤ መሰንትስ መኑ ብተተ ኬሰኖ» ይቶኡ።
290e0301cd	ጎግ አሌን ፉልታ ጥዘነት አፎስ «ስሞኔ» ዬኖ መንች ምኔን ብታን ከተማን ኢስ ማዳን አፉዕልዮ እቅ፤ ህከ ወክት መት መንቹት «አልባስጥሮሰ» ዬኖ ክኒች መክሴመ ብልቃጣን «ናርዶሰ» ዬኖ ሽቱት ዊንቶኢሃ አፍ አሜቶኡ፤ ሽቱስን አበ ጤአተ እቅ፤ እሴን ብልቃጥ እፈ ብጥ ሽቱስ ኢስ ቡዕላን ዱንቶኡ።
290e040070	ህከኔ ሄዕዮ መኒች መት-መቱሰ ኡሙዕርት «ኩ ሽቱት ተሳን በኣኢሁ ሚሃት?
290e05009d	ኩ ሽቱት ሰሴ ጥቤ ዲናረ ህሬን ብረስ ቡጥቻኖተ ኣሴመ እቃን ጡመሃበእንዶ?» ይተን መንቹተ ቀነጦሴ።
290e060088	ጠው እኮጎሬ ኢስን «እሴተ ሚሃት ኦርሴነንተሴሁ? አጉሬሴ፤ እሴ ኤሳሃ ጡመርቹ አቶኤ።
290e0700ec	ቡጥቻኑት ጉዕመ ወክትንከ ክዕኔን ሜጡበ ሄኣቤቺሃ ሀሴንተ ወክት ሀዕልቶኖሰተ አታልቴነንተ፤ ጠዉ እኮጎሬ አን ክዕኔን ጉዕመ ወክት ከኔ ሄኣምበአ።
290e08007e	እሴ አቶተ አታልቶኢሃ አቶኤ፤ አን ሞገሙዕናን ሄጭት አሌንከኤ ሽቱተ ቡርቶኤ።
290e0900b8	ሀንቅንከ ያንክዕኔ፤ ኡለ አሌን ተሽት ላገተ ዱዱብሴኖ ቤቾን ጉዕማንን እሴ አቶርቹ እሴተ ቃጎኖተ ኩለመኖሴ» ዬሰ።
290e0a00a9	ህከኒች ኤተሮን ቶነ ለሞንከ አሳባች መቱስ አስቆሮንቶ ይሁድ ኢሰ ህግሽ ኣሶተ ቂስ አዎንሳኖቤቹ ኦሮዕዮ።
290e0b00da	እሰን ህካን ሞጮጭቶ ወክት ሙንደእ እሲሃ ብረ ኣቶተ ላገተ ኣጎኡ፤ ይሁድን ህከን ወክቲች ኬሽ ኢሰ ህግሽ ኣሶሰተ ጡመ ወክት ሀሰኖት እቅ።
290e0c00f8	ሻሽግ ሆልቹ ጎራጤን ጦሮሹ እቴነን ከበጄኖ ከበጀ ዎኔ በሬን አሳበስ ኢስበ አሜት «ሻሽግ ሁርባት እቶተ ሀከቤቹ መርን ቅጥ አዕኖሄተ ሀሰን?» ይት ጠዕምቶስ።
290e0d0092	እስን አሳባችስ ለሙሰ «ከተመ መርቴን ዊ ኮሩ እጄ መንቺን ደቀንቴንስ ህከ መንቹንከ አዎኜ።
290e0e00c6	እስ ኣገኖ ምኒ መርቴን ምንስ አነ ‹አስተማርቹ አሳባንን ሻሽግ ሁርባት እታም ኮህ ምኑ ሀከንቤቾንት? የኖት› ይዬ ይ ሶኮሰ።
290e0f00b3	እስን ሎረ አልባዕሎ ፉቅ ምኔን ሀስሰኖህዕኔርቹ ጉዕሙንኩ ቅጠሞኢሃ ለሊሰኖህኔ፤ ህከን ቤቾን ቅጥአዕዬ» ዬሰ።
290e1000f3	ለሙንኩ አሳበንት ህከንቤቺች ፉልት ከተመ መርቶኡ፤ እሳንከ ኢስ ዬገን ጉዕሙርቹንኩ እኮ፤ ህካን እኮቤቺሃ እሰን ሻሽግ ሁርባት ህከን ቤቾን ቅጥአቶኡ።
290e11005f	ኡለት ሀዎርቶ ወክት ኢስ ቶና ለሞንከ አሳባን ሜጡበ አሜቾ።
290e1200e6	ህከን ቤቾን ጉዕሙንኩሰ ማዳን አፉዕልት እተንን ኢስ «ሀንቅንከ ያንክዕኔ፤ ክዕኔች መቱ ኢን ከኔ ቴሱ ሁርባት እተኖሁ ኤሳሃ ህግሽ ኣሰኖ» ዬሰ።
290e130075	እሰን ህከ ወክት አበ ሻዝ ተሪን ተሪን ኢሰ «አኔትንዶ?» ይተን ጠዕምቶኡ።
290e1400a8	ኢስን ፈንቀሽ «ህካን አአኖሁ ቶነ ለሚችክዕኔ መቱሃስ፤ እስን ኢን ሜጡበ ብጥራን አንገተ ወር እተኖሃን።
290e1500fc	መንች ቤቱዕኑ እስተኔሃ ከተበሞገን ሬሁዕናን ፈቀኖበአ፤ ጠው እኮጎሬ መንች ቤቱ ህግሽ ኣሰኖሀኒሃ ቆሀኖስ፤ ሁኩ መንቹ ሄጭ ከለቀሞበእቀ ቆሀኖስ እቅ» ዬእ።
290e160090	እሰን ሜጡበ እተንን ኢስ ጦሮሹ ኬሽ ዱአ አዕይ ብጭ አሳባተ «ሂዕዬ፤ ኩን ማላኤ» ይ ኣሴሰ።
290e170078	ጠበቴሃ ኬሽ ዱአ አዕይ አሳባተስ ኣሴእ፤ ጉዕሙንኩሰ ህከን ጠበቴች አጎኡ።
290e180064	ህትን ኢስ እሳሃ «ኩን ልግብያ መኒሃ ዱንተአኖሃ ወኣድ ቄጓኤ።
290e1900bb	ሀንቅንከ ያንክዕኔ፤ መገን ዎምነቴን ሃዕሮ ሃሌን አጋሚሃ ኢለ ከን ወይን ላልቺች ጩንሸሞሃ ለንኪሃ አጋምበአ» ዬሰ።
290e1a0068	ህከኒች ኤተሮን መዝሙረ ዘመርት ዘይት ሀቁ ነጰኖ ቆተተ ፉልቶኡ።
290e1b00d6	ኢስን አሳባስ «‹ዜማንቹ ዎቀር ሻም፤ ሆለንትስ ብን ይታአ› የመም ከተበሞቤቺሃ ጉዕሙንኩክዕኔ ኤሳሃ ለገኤን አጉርቴን ሁንቴነንተ።
290e1c0071	ጠዉ እኮጎሬ ሬሆች ኬዕዮሚች ኤተሮን ገሊለተ ክዕኔተ ሄጭ መራም» ዬሰ።
290e1d0094	ህከ ወክት ጴጥሮስ ፈንቀሽ «ዎሉ መኑ ጉዕሙንኩ ለገዕዮሄ ጎሬ አን ሆሮን ለገኣንኬበአ» ዬእ።
290e1e00b9	ኢስን ጴጥሮሴ ፈንቀሽ «ሀንቅንከ ያንኬ፤ ከበሬ ሀንከዕርተ ሀንጠቦ ለሞረ ወዱዕናን ሄጭት ሰሶረ ለገኣንቴኤ» ዬእ።
290e1f00c8	ጠው እኮጎሬ ጴጥሮስ «አን ኪን ሜጡበ ሬሀም ጎሬሁ ለገኣንኬበአ» የን ጠረኝሽ ጠወዕዮ፤ ፈቆ አሳበንት ጉዕሙንኩ ህትን ይቶኡ።
290e2000c2	ህከኒች ኤተሮን «ጌቴሴማኔ» ዬኖቤቹ መርቶኡ፤ ህከን ቤቾን ኢስ አሳባንተስን «አን ዱአ አኦተ ኢለ ከንቤቾን አገሬ» ዬሰ።
290e210099	እስን ጴጥሮሴ፥ ያቁበለከ ያህይ አዎንስ ኦሮዕዮ፤ ህከን ቤቾን እስን አበ ሻዘን ጨነቀሙ ጀመሮ።
290e22007d	እሳንከ «ነብሴቹኤ ሬቶተ ኢለ አበ ሻዞኡ፤ አዕኑ ከኔ ግሶኑዕናን አገሬ» ዬሰ።
290e2300bb	እሳችን ቀው ቄዕር ኦሮዕዮ፤ ሚኔንከስ ኡላን ጎምብሰም ኡብ አታለመኖሄ ጎሬ ሁኩ ኦርሸ ወክቱ እሲች ህጎተ ዱአ አዕዮ።
290e2400e0	እስን «ኢ አነ! ጉዕሙርቹንኩ አታለመኖሄ፤ ከ ኦርሸ ጠበቴሃ ኢች መስ፤ ጠዉ እኮጎሬ አን ዬምገ እሁዕነ አት ኢትቶንትገ እሁን?» ይ ዱአ አዕዮ።
290e25011c	ህከኒች ኤተሮን ሰሶንከ አሳበስበ ፈንቀል አሜተኖ ወክት እሰን ግሶ እቅ፤ ህካን እኮቤቺሃ ጴጥሮሴ «ስሞኔ! ግሶንትዶ? ሆሮን መቱ ሳኣቲሃ በቅ ይት አገሩ አታልቶንትበዕንዶ?» ዬስ።
290e2600a7	ህትን «ፌተናን ኣጌነንተበእገ ጠራኝቴን ዱአ አዕዬ፤ አያኑ ቅጥ ይዮኡ፤ ጠዉ እኮጎሬ ማሉ ላፈሃን» ዬእ።
290e27005e	ለንኪሃ ኦሮዕይ ወዕና ጠወዕዮ ላገንተ ጠወአን ዱአ አዕዮ።
290e2800cb	ህከኒች ኤተሮን አሳበስበ ፈንቀል አሜተኖ ወክት ግሰኛት ኬዕምታንሰ ግሶ እቅ፤ ጠዕመኖ ወክትንከ ፈንቀሽቶተ አታልቶበአ እቅ።
290e2900e9	ለንኪሃ እሰበ ፈንቀል አሜች «ቴሁ ግሴንተገለከ ፎሎጭቴንተገን ዮንተንዶ? ቴሱ እሀኖ፤ ወክቱ ኢልዮኡ፤ መንች ቤቱ ጩበኛኖ አንጋን ህግሴን ኣሴኖ።
290e2a006a	ቴሱ ኬዕዬ መርኖ፤ ኤሳሃ ህግሽ ኣሰኖኤሁ ሁኩዕኑ ሆንጠኮኡ» ዬእ።
290e2b014c	ወክትንከስ ኢስ ካን ጠወአን ሄዕዮገን ቶነ ለምችሰ መቱስ «ይሁደ» ዬኖሁ አሜቾ፤ እሲን ሜጡበ በርተለከ ብሰ አፎ ልግቡ መኑ ሄዕዮ እቅ፤ እሰን ቂስ አዎንሳኑትለከ ሕግ አስተማረት ባድ ባልቃች ሶሀንቶእረ እቅ።
290e2c009b	ህግሽ ኣሰኖ ይሁድን እሰንተ አዕኑ «አን ሱንቃንሲሃ ጠረኝሴን አፌን መስዬ» ይ መላተ ኩሎሰ እቅ።
290e2d0073	ወክትንከስ ይሁድ ደዕል አሜች ኢስበ ሆንጠክ «አስተማርቾ!» ይ ሱንቄስ።
290e2e003b	ህከኒች ኤተሮን ሁኩ መኑ ኢሰ አፎኡ።
290e2f0080	መዴንከስ ኡርቶሀኑኡች መቱስ ብሰ ኮብ ኣዚች ፉሽ ሎረ ቂስች ካዲንቹ መጨስ ሙሮ።
290e300074	ህከ ወክት ኢስ «ብሰለከ በርተ አፌን አሜቴንታሁ ሽፍጥገ አፎኖኤታትንዶ?
290e3100da	ጉዕመንከ በር ዱእ ምኔን ተማርሰን ክዕኔን ሜጡበ ሄአን አፌንታኤበ እቅ፤ ጠዉ እኮጎሬ ኩን እኮሁ ጠሊለ መጻፋን ከተበሞሁ ዊሞታት» ዬሰ።
290e320040	አሳበስ ጉዕሙንኩ እሱ አጉርት ሁንቶኡ።
290e33006f	ነጠለ ኦደዕዮ መቱ ዎደልቹ አዎነኖሲት እቅ፤ እሱንከ ሁኩ መኑ አፎኡ።
290e340048	አፎስ ወክት ነጠለስ ኡጅ ከልስ ሁኝ ፉሸኤእ።
290e3500c7	ህትን ኢሰ ሎረ ቂሲች ምኒ መስቶስ፤ ህከን ቤቾን ቂስ አዎንሳኑት፥ ባድ ባልቀትለከ ሕግ አስተማረት ጉዕሙንኩ ጭምይቶኡ እቅ።
290e3600cb	ጴጥሮስን ኢሰ ቂስ አዎንሳንች ምኒ ኡሮ ብትም ኣዝ ኢለ ቄዕራሻን አዎነኖሲት እቅ፤ ህከኔን እስ ዘበኝን ሜጡበ ጊረተ ኢብጨኖት።
290e3700b2	ቂስ አዎንሳኑትለከ ኦገት ደኛኑት ጉዕሙንኩ ኢሰ ሽሲሶተ ምስክር ሀሳኢት እቅ፤ ጠዉ እኮጎሬ መቱርቹሃ ደጎበአ።
290e3800ad	መሰንትስ ልግቡ ክዝብ ምስክሩ ልግብ ጠወ አሌስ መሰከርቶ እቅ፤ እኮጎሬ አሌስ መሰከርቶ ላገት አደደ እኮኡ።
290e390117	መቱ-መቱ መኑ ኬእ «‹አን ከን መን አንጋን እጃረሞ ዱእ ምኒ ድጅ ዎሉ መን አንጋን እጀረሞበኢሃ ሰሶ በሬች ኤተሮን እጃራም› የን ሞጮጭኖም» ይተን ክዝብ ኢስ አሌን መሰከርቶኡ።
290e3b0052	ህት ይቶ ጎሬሁ ምስክሩ ጠወዕዮ ላገት ሜጡ እኮበአ።
290e3c00b3	ሎሩ ቂስቹንኩ ብሬንከሰ ኡር ኢሰ «ጠወአንትርቹ ዮበእንዶ? ኩ መኑ ኪ አሌን መሰከርታኢሁ መርቹሃን?» ይ ጠዕሜእ።
290e3d00c7	ጠዉ እኮጎሬ ኢስ መቱርቹሃ ጠወኡናን ጨለ ዬእ፤ ሎሩ ቂስቹንኩ ኢሰ ፈንቀሽ «ማሰአሞ መገን ቤቱ መሲሁ አቴትንዶ?» ይ ጠዕሜስ።
290e3e00ac	ኢስን «ኤ አኔት፤ መንች ቤቱ ጉዕመንከ አታለኖ መገን መኬ አዲን አፉዕል ሰሜ ጎማን አሜተን ለኤነንተ» ዬእ።
290e3f0058	ሎሩ ቂስቹንኩ ኦድኑስ ፊል «ዎሉ ምስክሩ ሚሃ ሀስሰኖኔ?
290e400125	አዕኑ እስ ቦሮር ላገተ መገን አሌን ጠወአን ሞጮጭቴንታአ፤ ህካን እኮቤቺሃ ኩ ጠዉ ክዕኔሃ መ አጉደኖህዕኔ?» ዬእ፤ ህከ ወክት እሰ ጉዕሙንኩሰ መቴ ላጋን «ሬሁት ገበኣስ» ይት ፈረዶኡ።
290e41011e	መት-መቱ መኑ አሌስ አንጀ ቱ ዩ ጀመርቶኡ፤ እልስ ኦድኖን ድብ ኡሱርት መጫለ ዎቀርተን «ህንዴ አዬት ዎቀሮሄሁ? ደግ! ራገ ጠወእ» ይታሲት እቅ፤ ህትን አገርታሩንኩ ኦልተን መስቶስ።
290e4200a3	ጴጥሮስን ቂስ አዎንሳንች ምኒ ዎሮ አዲን ግቤ ኣዜን ሄዕዮገን ቂስ አዎንሳንች መት ገረድቹት አሜቶኡ።
290e430096	እሴን ጴጥሮስ ጊረተ ኢብጨን ቱክ ይት ለእ እሱ «አት ነዝሬት ኢስን ሜጡበ ሄኦንት እቅ» ይቶስ።
290e4400bb	ጠዉ እኮጎሬ ጴጥሮስ «አን ደጋንስበአ፤ አት ይታንትንኩ ኣጎኤበአ» ይ ለገዕዮ፤ ህካን ይ አብል ፉሎገን ሀንጠቦ ዎጆ።
290e450077	ህት ገረዴቹንት ጴጥሮሴ ለእ ህከኔ ኡሬ መኒሃ «ኩን እሳች መቱሃስ» ይቶኡ።
290e4600e1	ጠዉ እኮጎሬ እስ ቴሁ ለገዕዮ፤ ህትን ቀዉ ጌሰ አገርት ህከኔ ኡርቶ መኑ «አት ገሊለ መንቹ እኮንትቤቺሃ ሀንቅንከ አት እሳች መቱሃስ» ይቶስ።
290e47009a	ጠዉ እኮጎሬ ጴጥሮስ «አዕኑ ከ ይቴነንተ መንቹ ደጋንስበአ» የን ገውስ ቦሮሩለከ ጤሌዕሉ ጀመሮ።
290e4800d5	ህከ ወክት ሀንጠቦ ለንኪሃ ዎጆ፤ ጴጥሮስን «ሀንጠቦ ለሞረ ወዱዕነ አት ኤሳሃ ሰሶራ ለገኣንት» ዬ ኢስ ጠወዕዮ ጠወ ሰዉ ይ ቡብ ኦዕዮ።
290f010127	ገስመ ሱጵተ ቂስ አዎንሳኑት፥ ባድ ባልቀትለከ ሕግ አስተማረት ኦገት ደኛኖን ሜጡበ ጉዕሙንኩ ደቀንት አማዕለንቶኡ፤ ህከኒች ኤተሮን ኢሰ ኡሱርት መስት ገሻንቾ ጵላጦሴሃ ህግስ ኣቶስ።
290f020095	ጵላጦስን ኢሰ «አት አይሁድያ ዎመንዶ?» ይ ጠዕሜስ። ኢስን ፈንቀሽ «አት ይቶንትጋንት» ዬስ።
290f030052	ህትን ቂስ አዎንሳኑት ኢሰ አበ ጠዊን ኦዳሲት እቅ።
290f0400bd	ጠዉ እኮጎሬ ጵላጦስ ኢሰ «ሄንከ ጠዊን ኦደሄት ከ ለእ! ከን መኒሃ መቱርቹሃ ፈንቀሽታንትበዕንዶ?» ይ ለንኪሃ ጠዕሜስ።
290f05005d	ጵላጦስ አበ አጀብሲጮተ ኢለ ኢስ መቱርቹሃ ፈንቀሽዮበአ።
290f0600a8	ጵላጦስ ዘማን ዘማኔ አይሁድ ሻሽግ ከበጀ ወክት ሂሮኖተ መኑ ሀሶኢሃ ኡሱሬመ መኒች መቱ መንቹ ሂረኖ እቅ።
290f07008c	ህከ ወክት ዎምነቱክ ግብ መነ ሽት ኡሱረንቶ መን በሊች «ባርባኔ» ዬኖ መንቹ ሄዕዮ እቅ።
290f080061	መኑንኩ ጵላጦሴበ አሜት ሮሾገን መቱ መንቹ ሂሮተ ጠዕምቶስ።
290f09005f	እስን «አይሁድ ዎመ ሂሮህዕኔተ እትቴነንንዶ?» ይ ጠዕሜሰ።
290f0a007c	ህካን ዬኢሁ ቂስ አዎንሳኑት ኢሰ ህግስ ኣቶኢሁ ጢቄን እሁስ ደጎቤቺሃት እቅ።
290f0b00b1	ጠዉ እኮጎሬ ቂስ አዎንሳኑት «ባርባን ሂረሙኔ ቤሉ ኢስ ሂረሙንከ» ይት መኑ ጵላጦሴ ጠዕመኖገ መነ ኬሰንስቶኡ።
290f0c0099	ጵላጦስ ለንኪሃ ፈንቀሽ «ህካን እኮች ከ አዕኑ ‹አይሁድ ዎመ› ይቴነንታሃ መ አኡ?» ይ ጠዕሜእ።
290f0d004c	እሰን «ሰቀል» ይተን ላገሰ ጎት አት ጨንጭቶኡ።
290f0e00b7	ጵላጦስን «ሚሃት? እስ አዕዮ ሂሉርቹ መርቹሃን?» ዬሰ፤ ጠዉ እኮጎሬ እሰን «ሰቀል» ይተን ወዕኔች በትስ ጨንጭቶኡ።
290f0f009d	ጵላጦስ መነ ሙንዲሲሶተ ይ ባርባኔ ሂር ገፈሮ፤ ህከኒች ኤተሮን ኢሰ ገረፍ ሰቀልቶተ ህግሽ ኣሴእ።
290f100075	ሮም ዎታደሩ ኢሰ ጵላጦሴ ግብተ መስቶኡ፤ ፈቆ ወታደረ ጉዕመንከ ገእቶኡ።
290f110073	ሰመ አጉደኖ ብሸ ኦድኑተ ኢሲሃ ኦዲስ ኡት አክሊለ መክስ ቡዕለስ አቶኡ።
290f12007f	ህካን አቶች ኤተሮን «አይሁድ ዎመ! ወገሬቱ ኬሳሃ እሆሄ!» ይተን ቀለዳሲት እቅ።
290f1300ad	እሰን ሾምቦቆን ቡዕለስ ዎቀርተን አንጀ አሌስ ቱ ይታኢት እቅ፤ ህትን እሰን ቀለደን ብሬስ ጉሉጵት ሰገዶስ።
290f1400b4	እሰን እሲን ቀለዶች ኤተሮን ህከ ሰመ አጉደኖ ቢሸ ኦድኑተ ፉሽት ገይስ ኦድኑተ ኦድስ ሰቀልቶስተ ኣእት መርቶኡ።
290f1500cb	መርተንን እስክንድርለከ ሩፎሴ አኑ ቀሬን ባድ «ስሞኔ» ዬኖ መንቹ ገጠሪች ከተመ አሜተን ደቀንት ኢስ መስቀለ እጆተ ግዳጅሶስ።
290f160074	እሰን ኢሰ «ጎልጎተ» ዬኖቤቹ መስቶስ፤ «ጎልጎተ» ዩ ቡዕል ቁላሃ ዩሃን።
290f170098	እሰን ኢሲሃ «ከርቤተ» ዬኖ ዘቢን ልቀለቀሞ ወይን ጠጀ አጎተ ኣቶስ፤ ጠው እኮጎሬ ኢስ አጎበአ።
290f1800a0	ህከኒች ኤተሮን እሱ ሰቀልቶኡ፤ ህትን ሀኩንስ አዬሃ ኢለኖ ጎሬ ደጎተ ኦድኑስ እጠ ኡጅት ቤቀንቶኡ።
290f19004f	እሰን ኢሰ ሰቀልቶ ወክቱ ገስሜ ሰሶሃ ሳኣት እቅ።
290f1a005c	ህትን ወንጀልስ ለልሶተ «አይሁድ ዎመ» የኖ ከተበሞ እቅ።
290f1b0074	እሰን ኢሲን ሜጡበ ለሙ ሽፍጠ መቱ መኬ አዲን መቱስ ጉረ አዲን ሰቀልቶኡ።
290f1c005f	[ከን ሃሌን «ሾከ መኒን ዎለአሞ» የመሞ ራግ ላገት ዊንቶኡ።]
290f1d00a9	እስ መዲን ህገኖ መኑ እሱ ህንቅ ቡዕለሰ ሌንቄቅሰን «ለዕዬስ! አት ዱእ ምኒ ድጅት ሰሶ በሬን እጃርታንቲሁ!
290f1e0054	ህንዴ ቴሱ መስቀሊች ድርት ገውክ ፌስ» ይታሲት እቅ።
290f1f00b1	ህትን ቂስ አዎንሳኑትለከ ሕግ አስተማረት ገገዉንኩሰን «እስ ዎሉ መነ ፌሾኡ፤ እኮጎሬ ገውስ ፌሶተ አታሎበአ።
290f20011e	እስ ፌሳንቹ መሲሁ እስራኤል ዎመ እኮጎሬ ህንዴ ቴሱ ከን መስቀሊች ድሩን፤ ነኡን ለዕን አመዕንናም» ይተን ህንቃሲት እቅ፤ ህትን እሲን ሰቀለንቶእሩ ህትን ይተን ቦሮርታሲት እቅ።
290f210075	ህከ በር ሌሆ ሳቲች ኬሽ ሆንሱ ሳት ኢለ ኡለ አሌን ጉዕማንን ቱንስቹ እኮ።
290f2200d1	ሆንሱ ሳት እኮ ወክት ኢስ «ኤሎሄ! ኤሎሄ! ላማ ሰበቅታኒ» ይ ሎረ ላጋን ያሮ፤ ፍሳረንትስ «ኢ መገኖ! ኢ መገኖ! ሚሃ አጉርቴኤ» ዩሃን።
290f23007a	ህከኔ ኡርቶ መኒች መት-መቱሰ እስ ያረኖሃ ሞጮጭት «እልያሴ ገአኖት» ይቶኡ፤
290f240102	እሳችን መቱስ ደጉጅ መር ሆለጮ ወይነ ጠጀ ሰፍነገ ዬኖሀኒን ዊንሽ ጬፍ ሾንቦቆ ሰኖን አዕይ ኢሲሃ ኣስ «ህንዴ አገሬ፤ እልያስ አሜች ድርሰኖስ ጎር ለዕናም» ዬእ።
290f250042	ህከኒች ኤተሮን ኢስ ሎረ ላጋን ያር ሬዮ።
290f260067	ህከ ወክት ዱእ ምኒ መጋረጁ አሌች ወሮ ኢለ ለሙበ እክ ፊልተዕዮ።
290f2700b1	ኢስ ሰቀለሞ መስቀል ብሬን ኡርዮ መቱ ጥቤ ሀለቅቹ ኢስ እክ ሬዮገ ለዕይ «ሀንቅንከ ኩን መገንያ ቤቱ እቅ» ዬእ።
290f2800eb	ቄዕራሻን ኡርት ለአን ሄኦ መት-መቱ ሜንቱ ህከኔ ሄኦ እቅ፤ እሰ በላን መግደል ከተም መርየማ፥ ማዕነ ያቆቤለከ ዮሲ አመት መርየማ፥ ሰሎሚ ሄኦ እቅ።
290f2900bb	እሰን ኢስ ገሊላን ሄዕዮ ወክት አዎንተን ካደንታስረ እቅ፤ ህትን ኢሲን ሜጡበ የሩሳሌመ አሜቶ ልግቡ ሜንቱ ሄኦ እቅ።
290f2a006c	በሩስ ተቃጠቤኖ በር እኮቤቺሃ ሀዎሬ ወክት ፎሎጭ በሬች ብርተ እኮ።
290f2b00f7	አይሁድ ኦገት ደኛኖች መቱ ጡመገ ኤንኬዕነሞ አርማትያስ ከተም ዩሱፍ መገን ዎምነቱ ተቢሴን አገዕረኖሁ ጵላጦሴበ መር መለል ኢስ ጀናዘተ ኣሶኖስተ ኡጨእ።
290f2c00b5	ጠው እኮጎሬ ጵላጦስ «ሀት ደዕል ሬዮ?» ይ አጀብሲጭ ጥቤ ሀለቅቹ ገእ «ሀንቅንከ ሬዮች ዱንክዮእንዶ?» ይ ጠዕሜእ።
290f2d007c	እስን ኢስ ሬሁስ ጥቤ ሀለቅቹ ሞጮጬች ኤተሮን ጀናዘስ ዩሱፍ መሰኖገ ፈቀጆስ።
290f2e011e	ዩሱፍን ሃዕሮ ከፈን ኦድኑተ ህዕር ኢስ ጀናዘተ መስቀል አሊች ድሪሽ ከፈኞ፤ ህከኒች ኤተሮን ክኒች ሸሄን መክሴመ ሎድ ኣዜን አፉሼእ፤ ሎረ ክኑ ኮሎንኮዕልሽ ኤብ ሎድስ ኡሩተ ጡፎ።
290f2f0090	መግደል ከተም መርየመለከ ዮሳ አመት መርየማ ኢስ ጀናዘተ ሀከኔ አፉሼኖ ጎሬ ለኣኢት እቅ።
29100100bd	ፎሎጭ በሩ ህጎች ኤተሮን መግደል ከተም መርየማ፥ ያቁብ አመት መርየመለከ ሰሎሚ ኢስ ጀናዛን ቡርቶተ ሽቱተ ህዕርቶኡ።
291002004f	አበ በር ገስመ ሱጴን አሩ ፉለንን ሎድበ መርቶኡ።
2910030087	ገገዉንኩሰ «አይ ሎድ ኡሮች ክኑ ኮሎንኮልሽ ፈነኖኔ?» ይተን ጠወአን ሃንታኢት እቅ።
