0100000006	Genesi
06180a006a	ma io non volli ascoltar Balaam; anzi egli vi benedisse espressamente, e io vi liberai dalla mano di esso.
06180b00ea	Poi voi passaste il Giordano, e arrivaste a Gerico; e gli abitanti di Gerico, e gli Amorrei, e i Ferizzei, e i Cananei, e gli Hittei, e i Ghirgasei, e gli Hivvei, e i Gebusei, guerreggiarono contro a voi; ma io ve li diedi nelle mani.
06180c00aa	E mandai davanti a voi de' calabroni, i quali scacciarono coloro d'innanzi a voi, [come] i due re degli Amorrei; [ciò non avvenne] per la tua spada, nè per lo tuo arco.
06180d00c7	E io vi ho dato il paese, intorno al quale non vi siete affaticati; e delle città, le quali non avete edificate, e voi abitate in esse; voi mangiate delle vigne e degli ulivi che non avete piantati.
06180e00b7	Ora dunque temete il Signore, e servitegli con integrità e con verità; e togliete via gl'iddii, a' quali i padri vostri servirono di là dal Fiume e in Egitto; e servite al Signore.
06180f0106	E se pur non vi aggrada di servire al Signore, sceglietevi oggi a cui volete servire; o agl'iddii, a' quali i padri vostri, che [furono] di là dal Fiume, servirono, ovvero agl'iddii degli Amorrei, nel cui paese abitate; ma io e la casa mia serviremo al Signore.
0618100070	Allora il popolo rispose, e disse: Tolga Iddio da noi che noi abbandoniamo il Signore, per servire ad altri dii;
061811013f	perciocchè il Signore Iddio nostro è quel che ha tratti noi e i padri nostri fuor del paese di Egitto, della casa di servitù; il quale ancora ha fatti questi gran miracoli nel nostro cospetto, e ci ha guardati per tutto il cammino, per lo quale siamo camminati; e per mezzo tutti i popoli, fra i quali siamo passati.
06181200b2	Il Signore ha eziandio scacciati d'innanzi a noi tutti questi popoli, e gli Amorrei che abitavano nel paese. Ancora noi serviremo al Signore; perciocchè egli [è] il nostro Dio.
06181300ab	E Giosuè disse al popolo: Voi non potrete servire al Signore; perciocchè egli è un Dio santo, un Dio geloso; egli non comporterà i vostri misfatti ed i vostri peccati.
061814009f	Perciocchè voi abbandonerete il Signore, e servirete ad altri dii; laonde egli si rivolgerà, e vi farà del male e vi consumerà, dopo avervi fatto del bene.
0618150040	Ma il popolo disse a Giosuè: No; anzi noi serviremo al Signore.
06181600a8	E Giosuè disse al popolo: Voi [siete] testimoni contro a voi stessi, che voi vi avete scelto il Signore, per servirgli. Ed essi dissero: [Sì, noi ne siamo] testimoni.
0618170099	Ora dunque, [soggiunse Giosuè], togliete via gl'iddii degli stranieri che [son] nel mezzo di voi, e inchinate il cuor vostro al Signore Iddio d'Israele.
061818005f	E il popolo disse a Giosuè: Noi serviremo al Signore Iddio nostro, e ubbidiremo alla sua voce.
061819005c	Così Giosuè fece in quel giorno patto col popolo, e gli ordinò statuti e leggi in Sichem.
06181a00a0	Poi Giosuè scrisse queste parole nel Libro della Legge di Dio; e prese una gran pietra, e la rizzò quivi sotto la quercia, ch'[era] nel Santuario del Signore.
06181b00f1	E Giosuè disse a tutto il popolo: Ecco, questa pietra sarà per testimonianza fra noi; perciocchè ella ha udite tutte le parole che il Signore ci ha dette; laonde sarà per testimonianza contro a voi, se talora voi rinnegate il vostro Dio.
06181c003a	Poi Giosuè rimandò il popolo ciascuno alla sua eredità.
06181d006f	E AVVENNE dopo queste cose, che Giosuè, figliuolo di Nun, servitor del Signore, morì d'età di cendieci anni.
06181e0084	E fu seppellito nella contrada della sua eredità, in Timnat-sera, che [è] nel monte di Efraim, dal Settentrione del monte di Gaas.
06181f00dc	E Israele servì al Signore tutto il tempo di Giosuè, e tutto il tempo degli Anziani, i quali sopravvissero a Giosuè, e i quali aveano avuta conoscenza di tutte le opere del Signore, ch'egli avea fatte inverso Israele.
0618200125	I figliuoli d'Israele seppellirono ancora le ossa di Giuseppe, le quali aveano portate fuor di Egitto, in Sichem, nella possessione del campo che Giacobbe avea comperata da' figliuoli di Hemor, padre di Sichem, per cento pezzi d'argento; e i figliuoli di Giuseppe l'ebbero nella loro eredità.
061821009c	Poi morì ancora Eleazaro, figliuolo di Aaronne, e fu seppellito nel colle di Finees, suo figliuolo; il qual [luogo] gli era stato dato nel monte di Efraim.
0700000007	Giudici
0701010099	ORA, dopo la morte di Giosuè, i figliuoli d'Israele domandarono il Signore, dicendo: Chi di noi salirà il primo contro a' Cananei, per far loro guerra?
070102004a	E il Signore disse: Salga Giuda; ecco, io gli ho dato il paese nelle mani.
07010300a6	E Giuda disse a Simeone, suo fratello: Sali meco alla mia parte; e noi guerreggeremo contro a' Cananei; poi, ancora io andrò alla tua parte. E Simeone andò con lui.
070104008a	Giuda adunque salì; e il Signore diede loro nelle mani i Cananei ed i Ferizzei; ed essi li percossero in Bezec, [in numero di] diecimila.
0701050063	E trovarono Adonibezec in Bezec, e combatterono contro a lui, e percossero i Cananei ed i Ferizzei.
0701060070	E Adonibezec fuggì; ma essi lo perseguitarono, e, presolo, gli tagliarono i diti grossi delle mani e de' piedi.
0701070103	E Adonibezec disse: Settanta re, che aveano i diti grossi delle mani e de' piedi tagliati, se ne stavano già sotto la mia tavola, a ricoglier [ciò che ne cadea]; come io ho fatto, così mi ha Iddio renduto. Ed essi lo menarono in Gerusalemme, e quivi morì.
070108008c	Ora i figliuoli di Giuda aveano combattuta Gerusalemme, e l'aveano presa, e messa a fil di spada; e aveano messa la città a fuoco e fiamma.
0701090078	E poi erano scesi per guerreggiar contro a' Cananei, che abitavano il monte, e nella parte meridionale, e nella pianura.
07010a009d	Giuda ancora era andato contro a' Cananei che abitavano in Hebron, il cui nome per addietro [era stato] Chiriat-Arba, e avea percosso Sesai, Ahiman e Talmai.
07010b0066	E di là era andato contro agli abitanti di Debir, il cui nome per addietro [era stato] Chiriat-sefer.
07010c006f	E Caleb avea detto: Chi percoterà Chiriat-sefer, e la piglierà, io gli darò Acsa, mia figliuola, per moglie.
07010d0077	E Otniel, figliuolo di Chenaz, fratel minore di Caleb, l'avea presa; ed egli gli diede Acsa, sua figliuola, per moglie.
07010e008f	E quando ella venne [a marito], ella l'indusse a domandare un campo a suo padre. Poi ella si gittò giù dall'asino. E Caleb le disse: Che hai?
07010f00bb	Ed ella gli disse: Fammi un dono; poichè tu m'hai data una terra asciutta, dammi ancora delle fonti d'acque. E Caleb le donò delle fonti [ch'erano] disopra, e disotto [di quella terra].
07011000da	Ora i figliuoli del Cheneo, suocero di Mosè, erano anch'essi saliti co' figliuoli di Giuda, dalla città delle palme, al deserto di Giuda, che [è] dal Mezzodì di Arad. Essi adunque andarono, e dimorarono col popolo.
07011100ab	Poi Giuda andò con Simeone, suo fratello, e percosse i Cananei che abitavano in Sefat, e distrussero quella [città] al modo dell'interdetto; onde le fu posto nome Horma.
070112005d	Giuda prese anche Gaza e i suoi confini; Ascalon e i suoi confini; ed Ecron e i suoi confini.
070113009e	E il Signore fu con Giuda; ed essi scacciarono [gli abitanti del] monte; ma non poterono scacciar gli abitanti della valle; perchè aveano de' carri di ferro.
0701140064	E diedero Hebron a Caleb, secondo che Mosè avea detto; ed egli ne scacciò i tre figliuoli di Anac.
07011500b5	Ora i figliuoli di Beniamino non iscacciarono i Gebusei che abitavano in Gerusalemme; anzi i Gebusei son dimorati in Gerusalemme, co' figliuoli di Beniamino, infino a questo giorno.
070116004f	La casa di Giuseppe salì anch'essa contro a Betel; e il Signore [fu] con loro.
0701170039	E fecero spiare Betel, il cui nome anticamente [era] Luz.
07011800b2	E quelli ch'erano all'agguato videro un uomo che usciva della città; e gli dissero: Deh! mostraci da qual parte si può entrar nella città, e noi useremo benignità inverso te.
07011900a9	Egli adunque mostrò loro la parte per la quale potevano entrar nella città; ed essi la misero a fil di spada; ma lasciarono andar quell'uomo con tutta la sua famiglia.
07011a0082	Ed egli se ne andò nel paese degli Hittei, ed edificò una città, e le pose nome Luz; il qual nome le dura infino al dì d'oggi.
07011b0189	Manasse anch'esso non iscacciò [gli abitanti di] Bet-sean, nè delle terre del suo territorio; nè di Taanac, nè delle terre del suo territorio; nè gli abitanti di Dor, nè delle terre del suo territorio; nè gli abitanti d'Ibleam, nè delle terre del suo territorio; nè gli abitanti di Meghiddo, nè delle terre del suo territorio. E i Cananei si misero in cuore di abitare in quel paese.
07011c0066	Ben avvenne che, dopo che Israele si fu rinforzato, egli fece tributari i Cananei; ma non li scacciò.
07011d0074	Efraim anch'esso non iscacciò i Cananei che abitavano in Ghezer; anzi i Cananei abitarono per mezzo esso in Ghezer.
07011e008e	Zabulon non iscacciò gli abitanti di Chitron, nè gli abitanti di Nahalol; anzi i Cananei abitarono per mezzo esso, e furono fatti tributari.
07011f0087	Aser non iscacciò gli abitanti di Acco, nè gli abitanti di Sidon, nè di Alab, nè di Aczib, nè di Helba, nè di Afic, nè di Rehob.
070120005f	Anzi Aser abitò per mezzo i Cananei che abitavano nel paese; perciocchè egli non li scacciò.
07012100ca	Neftali non iscacciò gli abitanti di Bet-semes, nè gli abitanti di Bet-anat; anzi abitò per mezzo i Cananei che abitavano nel paese; e gli abitanti di Bet-semes, e di Bet-anat, furono loro tributari.
0701220070	E gli Amorrei tennero i figliuoli di Dan ristretti nel monte; perciocchè non li lasciavano scender nella valle.
070123009a	E gli Amorrei si misero in cuore di abitare in Harheres, in Aialon, ed in Saalbim; ma, essendo la potenza di Giuseppe accresciuta, furono fatti tributari.
070124004e	E i confini degli Amorrei [erano] dalla salita di Acrabbim, dalla Rocca in su.
07020100ef	ORA l'Angelo del Signore salì di Ghilgal in Bochim, e disse: Io vi ho fatti salir fuori di Egitto, e vi ho condotti nel paese, il quale io avea giurato a' vostri padri; e ho detto; Io non annullerò giammai in eterno il mio patto con voi.
07020200ad	Ma voi altresì non patteggiate con gli abitanti di questo paese; disfate i loro altari; ma voi non avete ubbidito alla mia voce; che cosa [è] questa [che] voi avete fatta?
0702030081	Perciò io altresì ho detto: Io non li scaccerò d'innanzi a voi; anzi vi saranno a' fianchi, e i lor dii vi saranno per laccio.
0702040074	E mentre l'Angelo del Signore diceva queste parole a tutti i figliuoli d'Israele, il popolo alzò la voce, e pianse.
0702050047	Onde posero nome a quel luogo Bochim; e quivi sacrificarono al Signore.
0702060079	OR Giosuè rimandò il popolo; e i figliuoli d'Israele se ne andarono ciascuno alla sua eredità, per possedere il paese.
07020700d7	E il popolo servì al Signore tutto il tempo di Giosuè, e tutto il tempo degli Anziani che sopravvissero a Giosuè, i quali aveano vedute tutte le grandi opere del Signore, le quali egli avea fatte inverso Israele.
0702080053	Poi Giosuè, figliuolo di Nun, servitor del Signore, morì d'età di cendieci anni;
0702090077	e fu seppellito ne' confini della sua eredità in Timnat-heres, nel monte d'Efraim, dal Settentrione del monte di Gaas.
07020a00c1	E tutta quella generazione ancora fu raccolta a' suoi padri; poi, surse dopo loro un'altra generazione, la quale non avea conosciuto il Signore, nè le opere ch'egli avea fatte inverso Israele.
07020b0052	E i figliuoli d'Israele fecero ciò che dispiace al Signore, e servirono a' Baali.
07020c00e3	E abbandonarono il Signore Iddio de' lor padri, il quale li avea tratti fuor del paese di Egitto, e andarono dietro ad altri dii, d'infra gl'iddii de' popoli ch'[erano] d'intorno a loro; e li adorarono, e irritarono il Signore.
07020d003c	E abbandonarono il Signore, e servirono a Baal e ad Astarot.
07020e00e3	Laonde l'ira del Signore si accese contro ad Israele, ed egli li diede nelle mani di predatori, i quali li predarono; e li vendè nelle mani de' lor nemici d'ogni intorno, talchè non poterono più stare a fronte a' lor nemici.
07020f008f	Dovunque uscivano, la mano del Signore era contro a loro in male, come il Signore avea loro detto e giurato; onde furono grandemente distretti.
0702100061	Or il Signore suscitava de' Giudici, i quali li liberavano dalla mano di quelli che li predavano.
07021100f4	Ma non pure a' lor Giudici ubbidivano; anzi andavano fornicando dietro ad altri dii, e li adoravano; subito si rivolgevano dalla via, per la quale erano camminati i lor padri, ubbidendo a' comandamenti del Signore; essi non facevano già così.
0702120120	E pure, quando il Signore suscitava loro de' Giudici, il Signore era col Giudice, e li liberava dalla mano de'lor nemici, tutto il tempo del Giudice; perciocchè il Signore si pentiva, per li loro sospiri, [che gittavano] per cagion di coloro che li oppressavano, e tenevano in distretta.
07021300cf	Ma, quando il Giudice era morto, tornavano a corrompersi più che i lor padri, andando dietro ad altri dii, per servirli, e per adorarli; non tralasciavano nulla delle loro opere, nè della lor via indurata.
07021400c5	Laonde l'ira del Signore si accese contro a Israele; ed egli disse: Perciocchè questa gente ha trasgredito il mio patto, il quale io avea ordinato a' lor padri, e non hanno ubbidito alla mia voce;
0702150078	io altresì non continuerò di scacciar d'innanzi a loro alcuna delle genti, le quali Giosuè lasciò quando egli morì.
070216008c	[Il che fu], per provar per esse Israele se osserverebbero la via del Signore, per camminare in essa, come l'osservarono i padri loro, o no.
070217006d	Il Signore adunque lasciò quelle genti, senza scacciarle così subito; e non le diede nelle mani di Giosuè.
07030100a1	Ora queste [son] le genti, che il Signore lasciò per provar con esse Israele, [cioè] tutti quelli che non aveano avuta conoscenza di tutte le guerra di Canaan;
07030200a2	acciocchè almeno le generazioni de' figliuoli d'Israele sapessero [che cosa è] la guerra, essendo ammaestrati; quegli almeno che prima non ne aveano conoscenza:
070303009c	I cinque principati de' Filistei, e tutti i Cananei, i Sidonii, e gli Hivvei che abitavano il monte Libano, dal monte Baal-hermon fino all'entrata di Hamat.
070304009c	[Quelli] adunque furono per provar con essi Israele; per saper se ubbidirebbero a' comandamenti del Signore, i quali egli avea dati a' lor padri, per Mosè.
0703050080	COSÌ i figliuoli d'Israele abitarono per mezzo i Cananei, e gli Hittei, e gli Amorrei, e i Ferizzei, e gli Hivvei, e i Gebusei.
0703060074	E presero le lor figliuole per mogli, e diedero le lor figliuole a' figliuoli di quelli, e servirono agl'iddii loro.
070307008a	Così i figliuoli d'Israele fecero ciò che dispiace al Signore, e dimenticarono il Signore Iddio loro, e servirono a' Baali, e a' boschi.
07030800b5	Laonde l'ira del Signore si accese contro ad Israele, ed egli li vendè nelle mani di Cusan-risataim, re di Mesopotamia; e i figliuoli d'Israele servirono a Cusan-risataim ott'anni.
07030900a1	Poi i figliuoli d'Israele gridarono al Signore, ed egli suscitò loro un liberatore che li liberò, [cioè:] Otniel, figliuolo di Chenaz, fratel minore di Caleb.
07030a00d2	E lo Spirito del Signore fu sopra lui, ed egli giudicò Israele, e uscì fuori in battaglia; e il Signore gli diede in mano Cusan-risataim, re di Mesopotamia; e la sua mano si rinforzò contro a Cusan-risataim.
07030b005b	E il paese ebbe requie [lo spazio di] quarant'anni. Poi Otniel, figliuolo di Chenaz, morì.
07030c00c3	E I figliuoli d'Israele continuarono a fare ciò che dispiace al Signore; laonde il Signore fortificò Eglon, re di Moab, contro ad Israele; perciocchè aveano fatto ciò che dispiace al Signore.
07030d008d	Ed egli adunò appresso di sè i figliuoli di Ammon, e gli Amalechiti, e andò, e percosse Israele; ed essi occuparono la città delle palme.
07030e0045	E i figliuoli d'Israele servirono diciotto anni ad Eglon, re di Moab.
07030f00e7	Poi i figliuoli d'Israele gridarono al Signore, ed egli suscitò loro un liberatore, [cioè:] Ehud, figliuolo di Ghera, Beniaminita, il quale era mancino. Or i figliuoli d'Israele mandarono per lui un presente ad Eglon, re di Moab.
0703100072	Ed Ehud si fece un pugnale a due tagli, lungo un cubito; e se lo cinse sotto i vestimenti, in su la coscia destra.
070311004f	E presentò il presente ad Eglon, re di Moab, il quale [era] uomo molto grasso.
0703120060	Ed avendo compiuto di presentare il presente, accommiatò la gente che avea portato il presente.
07031300ee	Ma egli se ne ritornò al re, dalle statue di pietra, che [son] presso di Ghilgal; e [gli] disse: Io ho alcuna cosa segreta a [dirti]. Ed egli gli disse: Taci. Allora tutti quelli che gli stavano d'intorno uscirono fuori d'appresso a lui.
07031400a9	Ed Ehud si accostò a lui, che sedeva tutto solo nella sua sala dell'estate; e disse: Io ho da dirti alcuna cosa da parte di Dio. Ed egli si levò d'in sul seggio reale.
070315006a	Ed Ehud, dato della man sinistra al pugnale, lo prese d'in su la coscia destra, e gliel ficcò nel ventre.
07031600a5	E quello entrò dietro alla lama infino all'elsa, e il grasso serrò la lama d'intorno, sì ch'egli non potè trargli il pugnale dal ventre; e lo sterco uscì fuori.
0703170069	Ed Ehud uscì verso il portico, e chiuse le porte della sala dietro a sè, e serrò quella con la chiave.
07031800d7	E, dopo ch'egli fu uscito, i servitori di Eglon vennero, e videro che le porte della sala [erano] serrate con la chiave; e dissero: Per certo egli fa i suoi bisogni naturali nella cameretta [della sala] dell'estate.
07031900b0	E tanto aspettarono che ne furono confusi; ed ecco, egli non apriva le porte della sala; laonde presero la chiave, e l'apersero; ed ecco, il lor signore giaceva in terra morto.
07031a005d	Ma Ehud scampò, mentre essi indugiavano, e passò le statue di pietra, e si salvò in Seira.
07031b0094	E, come egli fu giunto, sonò con la tromba nel monte di Efraim; e i figliuoli d'Israele scesero con lui dal monte, ed egli [andava] davanti a loro.
07031c00da	Ed egli disse loro: Seguitatemi; perciocchè il Signore vi ha dati nelle mani i Moabiti, vostri nemici. Così scesero giù dietro a lui, e occuparono a' Moabiti i passi del Giordano, e non ne lasciarono passare alcuno.
07031d0084	E in quel tempo percossero i Moabiti [in numero d]'intorno a diecimila uomini, tutti grassi e possenti; e non ne scampò neppur uno.
07031e0063	Così in quel giorno Moab fu abbattuto sotto la mano d'Israele; e il paese ebbe riposo ottant'anni.
07031f0099	E, dopo Ehud, fu Samgar, figliuolo di Anat, il quale percosse i Filistei [in numero di] seicento, con un pungolo da buoi. Ed egli ancora liberò Israele.
0704010062	ORA, dopo che fu morto Ehud, i figliuoli d'Israele seguitarono a far ciò che dispiace al Signore.
07040200a3	Laonde il Signore li vendè nelle mani di Iabin, re di Canaan, che regnava in Hasor; il Capo del cui esercito [era] Sisera; ed egli abitava in Haroset de' Gentili.
0704030097	E i figliuoli d'Israele gridarono al Signore; perciocchè [Iabin] avea novecento carri di ferro; e avea già vent'anni oppressato Israele con violenza.
0704040051	Or in quel tempo Debora, donna profetessa, moglie di Lappidot, giudicava Israele.
0704050084	Ed essa dimorava sotto la Palma di Debora, fra Rama e Betel, nel monte di Efraim; e i figliuoli d'Israele salivano a lei a giudicio.
070406010c	Or essa mandò a chiamare, da Chedes di Neftali, Barac, figliuolo di Abinoam; e gli disse: Non [t]'ha il Signore Iddio d'Israele comandato: Va', fa' massa di gente nel monte di Tabor, e prendi teco diecimila uomini de' figliuoli di Neftali, e de' figliuoli di Zabulon?
07040700ad	E io accoglierò contro a te, al torrente di Chison, Sisera, Capo dell'esercito di Iabin insieme co' suoi carri, e con la massa della sua gente; e io te lo darò nelle mani.
0704080053	E Barac le disse: Se tu vai meco, io andrò; ma, se tu non vai meco, io non andrò.
07040900ca	Ed ella disse: Del tutto io andrò teco; ma pur tu non avrai onore nell'impresa che tu fai, quando il Signore avrà venduto Sisera nelle mani di una donna. E Debora si mosse e andò con Barac in Chedes.
07040a0077	E Barac adunò a grida Zabulon, e Neftali, in Chedes; e salì, e [menò] seco diecimila uomini. E Debora salì con lui.
07040b00b1	(Or Heber Cheneo, partitosi da' Chenei, [ch'erano] de' discendenti di Hobab, suocero di Mosè, avea tesi i suoi padiglioni fino al querceto di Saanaim, ch'[è] vicin di Chedes.)
07040c005d	Allora fu rapportato a Sisera, che Barac, figliuolo di Abinoam, era salito al monte di Tabor.
07040d00a8	Ed egli adunò tutti i suoi carri, [ch'erano in numero di] novecento carri di ferro, e tutta la gente che [era] seco, da Haroset de' Gentili fino al torrente di Chison.
07040e00f5	E Debora disse a Barac: Moviti; perciocchè questo [è] il giorno, nel quale il Signore ha messo Sisera nelle tue mani; il Signore non è egli uscito davanti a te? Allora Barac scese giù dal monte di Tabor, avendo dietro a sè diecimila uomini.
07040f00a9	E il Signore mise in rotta Sisera, e tutti i carri, e tutto il campo, [mettendolo] a fil di spada, davanti a Barac. E Sisera scese giù dal carro, e se ne fuggì a piè.
0704100099	E Barac perseguitò i carri, e il campo, fino in Haroset de' Gentili; e tutto il campo di Sisera fu messo a fil di spada, [e] non ne scampò pur un uomo.
070411009d	E Sisera se ne fuggì a piè verso il padiglione di Iael, moglie di Heber Cheneo; perciocchè [v'era] pace fra Iabin, re di Hasor, e la casa di Heber Cheneo.
07041200ca	E Iael uscì fuori incontro a Sisera; e gli disse: Riduciti, signor mio, riduciti appresso di me; non temere. Egli adunque si ridusse appresso di lei nel padiglione; ed ella lo coprì con una schiavina.
0704130092	Ed egli le disse: Deh! dammi a bere un poco d'acqua; perciocchè io ho sete. Ed ella, aperto un baril di latte, gli diè a bere, poi lo ricoperse.
0704140079	Ed egli le disse: Stattene all'entrata del padiglione; e se alcuno viene, e ti domanda: Evvi alcuno qua entro? di' di no.
0704150105	Ma Iael, moglie di Heber, prese un piuolo del padiglione; e, messosi un martello in mano, venne a Sisera pianamente, e gli cacciò il piuolo nella tempia, sì ch'esso si ficcò in terra. Or [Sisera] era profondamente addormentato e stanco. E [così] egli morì.
07041600cb	Ed ecco Barac, che perseguitava Sisera; e Iael gli uscì incontro e gli disse: Vieni, e io ti mostrerò l'uomo che tu cerchi. Ed egli entrò da lei; ed ecco, Sisera giaceva morto col piuolo nella tempia.
0704170059	Così Iddio abbattè in quel giorno Iabin, re di Canaan, davanti a' figliuoli di Israele.
0704180079	E la mano de' figliuoli d'Israele si andò del continuo aggravando sopra Iabin, re di Canaan, finchè l'ebbero distrutto.
070501005e	ORA in quel giorno, Debora, con Barac, figliuolo di Abinoam, cantò [questo] Cantico, dicendo:
0705020080	Benedite il Signore: Perciocchè egli ha fatte le vendette in Israele; Perciocchè il popolo [vi] s'è portato volenterosamente.
070503007e	Ascoltate, o re; e [voi] principi, porgete le orecchie; Io, io canterò al Signore; Io salmeggerò al Signore Iddio d'Israele.
07050400ae	O Signore, quando tu uscisti di Seir, Quando tu camminasti fuor del territorio di Edom, La terra tremò, i cieli eziandio gocciolarono, E le nuvole eziandio stillarono acqua.
0705050075	I monti colarono, per la presenza del Signore; Questo Sinai [anch'esso], per la presenza del Signore Iddio d'Israele.
0705060084	Al tempo di Samgar, figliuolo di Anat; Al tempo di Iael, le strade maestre erano cessate, E i viandanti andavano per sentieri torti.
0705070080	Le villate in Israele erano venute meno; Erano venute meno, finch'io Debora sursi; Finch'io sursi, [per esser] madre in Israele.
0705080098	[Quando Israele] ha scelti nuovi dii, Allora la guerra è stata alle porte; Si vedeva egli alcuno scudo, o lancia, Fra quarantamila [uomini] in Israele?
0705090070	Il cuor mio [è] inverso i rettori d'Israele, Che si son portati francamente fra il popolo. Benedite il Signore.
07050a0070	Voi, che cavalcate asine bianche, Che sedete in sul luogo del giudicio; E voi, viandanti, ragionate [di questo].
07050b00f6	Essendo lo strepito degli arcieri venuto meno, Per mezzo i luoghi ove si attigne [l'acqua], Narrinsi quivi le giustizie del Signore; Le [sue] giustizie [eseguite] per le sue villate in Israele. A tal'ora il popolo del Signore è sceso alle porte.
07050c008a	Destati, destati, Debora; Destati, destati, di' un Cantico. Levati, Barac; e tu, figliuolo di Abinoam, Mena in cattività i tuoi prigioni.
07050d00b0	A tal'ora [il Signore] ha fatto signoreggiare colui ch'era scampato; [Egli ha fatto signoreggiare] il popolo sopra i magnifici; Egli mi ha fatta signoreggiare sopra i possenti.
07050e00d8	Da Efraim, [da coloro] la cui radice [è] in Amalec, [I quali] sono dietro a te, o Beniamino, co' tuoi popoli; [E] da Machir, e da Zabulon, son discesi i rettori, Conducendo [le loro schiere] con bacchette da scriba.
07050f00f5	I principali d'Issacar [sono stati] anch'essi con Debora, Insieme [col popolo d'] Issacar. Così Barac è stato mandato nella valle, Con la gente ch'egli conduceva. Fra le fiumane di Ruben [Vi sono stati] grandi [uomini] in risoluzione di cuore.
07051000a8	Perchè sei tu dimorato fra le sbarre delle stalle, Per udire il belar delle gregge? Fra le fiumane di Ruben, [Vi sono stati] grandi [uomini] in deliberazioni di cuore.
07051100a3	Galaad è dimorato di là dal Giordano; E perchè è Dan dimorato presso alle navi? [Ed] è Aser restato presso al lito del mare, E si è rattenuto ne' suoi porti?
0705120070	Zabulon [è] un popolo che ha esposta la sua vita alla morte; Così ancora [ha fatto] Neftali, In alta campagna.
070513009f	I re son venuti, hanno combattuto; A tal'ora i re di Canaan hanno combattuto In Taanac, presso all'acque di Meghiddo; Non hanno fatto alcun guadagno d'argento.
0705140058	Ei s'è combattuto dal cielo; Le stelle hanno combattuto contro a Sisera da' lor cerchi.
0705150083	Il torrente di Chison li ha strascinati via; Il torrente di Chedumim, il torrente di Chison; Anima mia, tu hai calpestata la forza.
070516005b	Allora i cavalli si tritarono l'unghie, Per lo gran calpestio, calpestio de' lor destrieri.
0705170090	Maledite Meroz, ha detto l'Angelo del Signore; Maledite pur gli abitanti di essa; Perciocchè non son venuti al soccorso del Signore, co' prodi.
0705180081	Sia benedetta, sopra [tutte] le donne, Iael, Moglie di Heber Cheneo; Sia benedetta sopra tutte le donne che stanno in padiglioni.
0705190073	Egli chiese dell'acqua, [ed ella gli] diè del latte; Ella [gli] porse del fior di latte nella coppa de' magnifici.
07051a00ac	Ella diè della man sinistra al piuolo, E della destra al martello de' lavoranti, E colpì sopra Sisera, e gli passò il capo; Ella gli trafisse, e gli conficcò la tempia.
07051b0087	Egli si chinò fra i piedi di essa, Cadde, giacque in terra; Si chinò fra i piedi di essa, cadde; Dove si chinò, quivi cadde deserto.
07051c00b4	La madre di Sisera riguardava per la finestra; E, [mirando] per li cancelli, si lagnava, dicendo: Perchè indugia a venire il suo carro? Perchè si muovono lentamente i suoi carri?
07051d0055	Le più savie delle sue dame le rispondevano, Ed ella ancora rispondeva a sè stessa:
07051e0130	Non hanno essi trovata la preda? non la spartiscono essi? Una fanciulla, due fanciulle per uomo; Le spoglie [delle robe] di color variato [son] per Sisera; Le spoglie [delle robe] di color variato ricamate; Egli ha fatta preda [di robe] di color variato, ricamate da amendue i lati, Da passarvi il collo.
07051f00ad	Così periscano, o Signore, tutti i tuoi nemici; E quelli che amano il Signore [Sieno] come quando il sole esce fuori nella sua forza. Poi il paese ebbe riposo quarant'anni.
070601007d	ORA i figliuoli d'Israele fecero ciò che dispiace al Signore: e il Signore li diede nelle mani de' Madianiti per sette anni.
07060200bb	E la mano de' Madianiti si rinforzò contro ad Israele; laonde i figliuoli d'Israele si fecero quelle grotte che [son] ne' monti; e delle spelonche e delle rocche, per tema de' Madianiti.
0706030067	E, quando Israele avea seminato, i Madianiti, e gli Amalechiti, e gli Orientali, salivano contro a lui.
070604009c	E, fatto campo sopra gl'Israeliti, guastavano i frutti della terra fino a Gaza; e non lasciavano in Israele nè vittuaglia, nè pecore, nè buoi, nè asini.
07060500b9	Perciocchè salivano con le lor gregge, e co' lor padiglioni, e venivano come locuste in moltitudine; ed [erano] innumerabili, essi e i lor cammelli; e venivano nel paese per guastarlo.
0706060073	Israele adunque impoverì grandemente, per cagion de' Madianiti; laonde i figliuoli d'Israele gridarono al Signore.
0706070061	E avvenne che, quando i figliuoli di Israele ebbero gridato al Signore, per cagion de' Madianiti,
07060800b8	il Signore mandò loro un uomo profeta, il qual disse loro: Così ha detto il Signore Iddio d'Israele: Io vi ho fatti salire fuor di Egitto, e vi ho tratti fuor della casa di servitù;
0706090098	e vi ho riscossi dalla mano degli Egizj, e dalla mano di tutti coloro che vi oppressavano; e li ho scacciati d'innanzi a voi, e vi ho dato il lor paese.
07060a009f	Or io vi avea detto: Io [sono] il Signore Iddio vostro; non temiate gl'iddii degli Amorrei, nel cui paese voi abitate; ma voi non avete ubbidito alla mia voce.
07060b00dd	Poi l'Angelo del Signore venne, e si pose a sedere sotto la quercia ch'[è] in Ofra, il qual [luogo era] di Ioas Abiezerita. E Gedeone, figliuolo di esso, batteva il grano nel torchio, per salvarlo d'innanzi a' Madianiti.
07060c0054	E l'Angelo del Signore gli apparve, e gli disse: Il Signore [sia] teco, valent'uomo.
