1300000006	Psalmi
28020900aa	Oni pa, zaslišavši kralja, odidejo. In glej, zvezda, ktero so bili videli na vzhodu, šla je pred njimi, dokler ni prišla in se ustavila nad mestom, kjer je bilo dete.
28020a003e	Ko pa ugledajo zvezdo, razveselé se z zeló velikim veseljem.
28020b00a7	In pridejo v hišo, in najdejo dete z Marijo materjo njegovo; in padejo, ter mu se poklonijo; in odpró zaklade svoje, ter mu prinesó darove: zlato in kadilo in miro.
28020c0058	In opomenjeni v spanji, naj se ne vračajo k Herodu, odidejo po drugej poti v svoj kraj.
28020d00e0	Ko so pa oni odpotovali, glej, prikaže se angelj Gospodov Jožefu v spanji, govoreč: Vstani in vzemi dete in mater njegovo, pa beži v Egipet, in bodi tam, dokler ti ne povem; kajti Herod bo iskal deteta, da bi ga pogubil.
28020e0048	On pa vstane in vzeme dete in mater njegovo po noči, in odide v Egipet.
28020f0083	In bil je tam do Herodove smrti; da se izpolni, kar je rekel Gospod po preroku, kteri pravi: "Iz Egipta sem poklical sina svojega."
28021000e2	Tedaj se Herod, videvši, da so ga modrijani prekanili, zeló raztogotí, ter pošlje in pomori po Betlehemu in po vseh predelih njegovih vse otročiče po dve leti in niže, po času, ki ga je na tanko pozvedel od modrijanov.
280211003e	Tedaj se je izpolnilo, kar je rekel prerok Jeremija, govoreč:
2802120086	"Glas se je slišal v Rami, mnogo jokú in veka in krika; Rahel je plakala za svojimi otroci, in ni se hotela utolažiti, ker jih ni."
2802130051	Ko je pa Herod umrl, glej, prikaže se v spanji angelj Gospodov Jožefu v Egiptu,
280214007e	Govoreč: Vstani in vzemi dete in mater njegovo, in pojdi v zemljo Izraelsko; kajti pomrli so, kteri so iskali detetove duše.
2802150049	On pa vstane in vzeme dete in mater njegovo, in pride v zemljo Izraelsko.
280216008e	Slišavši pa, da kraljuje v Judeji Arhelaj mesto Heroda očeta svojega, zbojí se tje iti; opomenjen pa v spanji, odide v predele Galilejske.
2802170088	In prišedši tje, nastani se v mestu, ktero se imenuje Nazaret; da se izpolni, kar je rečeno po prerokih: "Nazarečan se bo imenoval."
280301004e	V tisti dnéh pa pride Janez Krstnik, ter je v puščavi Judejskej oznanjeval,
2803020046	In govoril: Spokorite se; kajti približalo se je nebeško kraljestvo.
280303008a	Kajti ta je, za kogar je povedal prerok Izaija, govoreč: "Glas vpijočega v puščavi: Pripravite pot Gospodu; poravnajte steze njegove."
2803040087	On pa, Janez, imel je obleko svojo iz kamelje dlake, in pas usnjat okoli ledja svojega; a živež njegov je bil: kobilice in med divji.
280305004e	Tedaj je izhajal k njemu ves Jeruzalem in vsa Judeja in vsa okolica Jordanska.
2803060042	In on jih je krščeval v Jordanu, in izpovedovali so grehe svoje.
2803070091	Ko pa vidi mnogo Farizejev in Saducejev, da gredó h krstu njegovemu, reče jim: Gadja zalega! kdo vam je pokazal, kako ubežite prihodnjej jezi?
280308001f	Rodite torej vreden sad pokore.
280309008e	In ne domišljujte si, da bi govorili v sebi: Abrahama imamo za očeta; kajti pravim vam, da more Bog iz tega kamenja obuditi Abrahamu sinove.
28030a0082	Uže pa stojí tudi sekira drevju pri korenini: vsako drevo torej, ktero ne rodí dobrega sadú, posekalo se bo in vrglo na ogenj.
28030b00a1	Jaz vas krščujem z vodo za pokoro; a ta, ki gre za menoj, močneji je od mene, kteremu nisem vreden obutala ponesti. On vas bo krstil z Duhom svetim in ognjem.
28030c008f	Njemu je lopata v roki njegovej, in očedil bo gumno svoje, in pospravil bo pšenico svojo v žitnico, a plevo bo spalil z neugasljivim ognjem.
28030d0041	Tedaj pride Jezus iz Galileje k Janezu na Jordan, da ga on krsti.
28030e0056	Janez mu je pa branil, govoreč: Meni je treba, da me ti krstiš, pa hodiš ti k meni?
28030f006e	Jezus pa odgovorí in mu reče: Pusti sedaj! kajti tako nam je treba izpolniti vsako pravico. Tedaj ga pustí.
2803100084	In krstivši se Jezus, stopi precej iz vode; in glej, nebesa mu se odpró, in Duha Božjega vidi, da shaja ko golob, in pride na-nj.
2803110052	In glej, glas z nebes, govoreč: Ta je sin moj ljubljeni, kteri je po mojej volji.
280401003b	Tedaj odpelje Duh Jezusa v puščavo, da ga izkuša hudič.
2804020050	In postivši se štirideset dnî in štirideset nočî, postane naposled lačen.
2804030061	Pa pristopi k njemu izkušnjavec, in reče: Če si sin Božji, reci, naj postane to kamenje kruh.
280404007d	On pa odgovorí in reče: Pisano je: "Ne bo živel človek o samem kruhu, nego o vsakej besedi, ktera izhaja iz ust Božjih."
2804050044	Tedaj ga vzeme hudič v sveto mesto, in postavi ga na vrh tempeljna,
28040600a8	In reče mu: Če si sin Božji, vrzi se dol; kajti pisano je: "Angeljem svojim bo zapovedal za te, in vzeli te bodo na roke, da se kje z nogo svojo ne udariš o kamen."
2804070044	Reče mu Jezus: Zopet je pisano: "Ne izkušaj Gospoda Boga svojega."
280408005d	Zopet ga vzeme hudič na zeló visoko goro, in pokaže mu vsa kraljestva sveta in njih slavo,
2804090040	In reče mu: Vse to bom tebi dal, če padeš in mi se pokloniš.
28040a0076	Tedaj mu reče Jezus: Poberi se, satan! kajti pisano je: "Poklanjaj se Gospodu Bogu svojemu, in njemu edinemu služi."
28040b0047	Tedaj ga hudič pustí; in glej, angelji pristopijo, ter so mu stregli.
28040c0039	Slišavši pa Jezus, da je Janez izdan, odide v Galilejo.
28040d0065	In zapustivši Nazaret, pride in se nastani v Kapernaumu pri morji, v predelih Zabulona in Neftalima.
28040e003d	Da se izpolni, kar je rečeno po preroku Izaiji, kteri pravi:
28040f0059	"Zemlja Zabulonova in zemlja Neftalimova, na poti k morju za Jordanom, poganska Galileja,
280410007b	Narod, ki je sedel v temi, videl je veliko svetlobo; in kteri so sedeli v smrtnej deželi in senci, zasvetila jim je luč."
2804110061	Odtlej je jel Jezus učiti in praviti: Spokorite se; kajti približalo se je nebeško kraljestvo.
28041200a4	Hodé pa Jezus ob morji Galilejskem, ugleda dva brata, Simona, ki se imenuje Peter, in Andreja brata njegovega, da mečeta mreže v morje; bila sta namreč ribiča.
2804130047	In reče jima: Pojdita za menoj, in naredil bom, da bosta lovca ljudî.
2804140033	Ona pa precej popustita mreže, in odideta za njim.
28041500af	In odšedši odtod dalje, ugleda druga dva brata, Jakoba sina Zebedejevega, in Janeza brata njegovega, v ladji z Zebedejem nju očetom, da krpata mreže svoje; in pokliče ju.
2804160044	Ona pa precej popustita ladjo in očeta svojega, in odideta za njim.
28041700a8	In hodil je Jezus okoli po vsej Galileji, učeč po njih shajališčih, in oznanjujoč evangelj kraljestva, in uzdravljajoč vsako bolezen in vsako slabost med narodom.
280418009c	In glas o njem izide po vsej Siriji, in prinesó mu vse bolnike, z različnimi boleznimi in mukami, in obsedence, in mesečne, in mrtvoudne; in ozdravi jih.
280419007d	In za njim je šlo mnogo ljudstva iz Galileje, in iz Deseterih mest, in iz Jeruzalema, in iz Judeje, in z one strani Jordana.
280501005b	Ko pa vidi ljudstvo, stopi na goro; in ko se je usedel, pristopijo k njemu učenci njegovi.
2805020030	Pa odpre usta svoja, ter jih je učil, govoreč;
2805030036	Blagor ubogim v duhu; ker njih je nebeško kraljestvo.
2805040038	Blagor jim, kteri žalujejo; ker oni se bodo utolažili.
280505002f	Blagor krotkim; ker oni bodo podedovali zemljo.
280506003c	Blagor lačnim in žejnim pravice; ker oni se bodo nasitili.
2805070032	Blagor usmiljenim; ker oni bodo usmiljenje našli.
280508003d	Blagor jim, kteri so čistega srca; ker oni bodo Boga videli.
280509003a	Blagor mirovitim; ker oni se bodo sinovi Božji imenovali.
28050a0043	Blagor pregnanim za voljo pravice; ker njih je nebeško kraljestvo.
28050b0065	Blagor vam, kedar vas zasramoté in preženó in rekó vse hudo zoper vas, za voljo mene, pa lažejo.
28050c0075	Radujte se in veselite, ker je plačilo vaše v nebesih veliko. Kajti tako so pregnali preroke, ki so bili pred vami.
28050d007d	Vi ste sol zemlji. Če pa sol znorí, s čim se bo osolila? Za nič več ni, razen da se iztrese ven, in jo ljudje poteptajo.
28050e0047	Vi ste svetilo svetu. Mesto, ktero stojí vrhu gore, ne more se skriti.
28050f0066	Tudi ne užigajo sveče in jo devljejo pod mernik, nego na svečnik: ter sveti vsem, kteri so v hiši.
2805100074	Tako naj se sveti vaše svetilo pred ljudmi, da vidijo vaša dobra dela, in slavé očeta vašega, ki je na nebesih.
2805110060	Ne mislite, da sem prišel podirat postavo ali preroke; nisem prišel podirat, nego izpolnjevat.
2805120088	Resnično vam pravim: Dokler ne prejde nebo in zemlja, ne bo izginila ne najmanja črka ali pičica iz postave, dokler se vse ne zgodí.
28051300ce	Kdorkoli torej eno najmanjih teh zapovedi popači, in ljudí tako naučí, imenoval se bo v nebeškem kraljestvu najmanji; kdorkoli jo pa izpolni, in naučí, ta se bo velik imenoval v nebeškem kraljestvu.
280514007c	Kajti pravim vam, da če ne bo pravičnost vaša veča, nego pismarjev in Farizejev, ne boste prišli v nebeško kraljestvo.
280515004a	Slišali ste, da je rečeno starim: Ne ubij; kdor pa ubije, kriv bo sodbe.
28051600c3	A jaz vam pravim, da vsak, kdor se brez razloga jezí na brata svojega, kriv bo sodbe; kdorkoli pa reče bratu svojemu: Raka! kriv bo zbora; a kdorkoli reče: Prismoda! kriv bo peklenskega ognja.
280517005f	Če torej prineseš dar svoj k oltarju, in se tam spomeniš, da ima brat tvoj nekaj zoper tebe:
2805180071	Pusti dar svoj tam pred oltarjem, pa pojdi, pomiri se poprej z bratom svojim, in potem pridi in prinesi dar svoj.
28051900a2	Sprijazni se z zopernikom svojim naglo, dokler si ž njim na poti, da te zopernik ne izročí sodniku, in te sodnik ne izročí hlapcu, in ne boš vržen v ječo.
28051a004d	Resnično ti pravim: Ne boš izšel odtod, dokler ne plačaš zadnjega solda.
28051b0033	Slišali ste, da je rečeno starim: Ne prešestvuj.
28051c006d	A jaz vam pravim, da vsak, kdor pogleda na ženo, da je poželí, prešestvoval je uže ž njo v srcu svojem.
28051d009b	Če te pa oko tvoje desno pohujšuje, izderi ga, in vrzi od sebe; kajti bolje ti je, da pogine eden udov tvojih, nego da bo vse telo tvoje vrženo v pekel.
28051e009c	In če te desna tvoja roka pohujšuje, odseci jo, in vrzi od sebe; kajti bolje ti je, da pogine eden udov tvojih, nego da bo vse telo tvoje vrženo v pekel.
28051f0049	Rečeno je pa: Kdorkoli popustí ženo svojo, naj jej dá ločilno pismo.
28052000a0	A jaz vam pravim, da kdorkoli popustí ženo svojo, razen za voljo prešestvovanja, zapeljuje jo v prešestvovanje; in kdorkoli popuščeno vzeme, prešestvuje.
2805210062	Zopet ste slišali, da je rečeno starim: Ne prisegaj po krivem; izpolni pa Gospodu prisege svoje.
280522004f	A jaz vam pravim, da ne prisegajte nikakor: ne pri nebu, ker je prestol Božji;
2805230061	Ne pri zemlji, ker je podnožje nogam njegovim; ne pri Jeruzalemu, ker je mesto vélikega kralja.
280524005c	Tudi pri glavi svojej ne prisegaj, ker ne moreš ne enega lasú narediti belega ali črnega.
2805250052	Govorica vaša pa bodi: Dá, dá; ne, ne. Kar je pa več od tega, to je od hudega.
280526003e	Slišali ste, da je rečeno starim: Oko za oko, in zob za zob.
2805270068	A jaz vam pravim, da se ne upirajte hudemu: nego če te kdo udari po desnem licu, nastavi mu tudi drugo;
2805280051	In kdor se hoče s teboj pravdati, in suknjo tvojo vzeti, pustí mu tudi plašč;
2805290033	In če te kdo prisili eno miljo, pojdi ž njim dve.
28052a0046	Kdor te prosi, daj mu; in kdor hoče od tebe na posodbo, ne odreci mu.
28052b0056	Slišali ste, da je rečeno: Ljubi bližnjega svojega, in sovraži sovažnika svojega.
28052c00b4	A jaz vam pravim: Ljubite sovražnike svoje; blagoslovite tiste, kteri vas preklinjajo; delajte dobro tistim, kteri vas mrzé; in molite za tiste, kteri vas stiskajo in preganjajo:
28052d009e	Da boste sinovi očeta svojega, ki je na nebesih. Kajti on veleva solncu svojemu, da vzhaja nad hudobnimi in dobrimi, in daje dež pravičnim in nepravičnim.
28052e006a	Kajti če ljubite tiste, kteri ljubijo vas, kakošno plačilo boste imeli? Ne delajo li tega tudi mitarji?
28052f0054	In če ljubite samo brate svoje, kaj delate preveč? Ne delajo li tudi mitarji tako?
2805300045	Bodite vi torej popolni, kakor je popoln oče vaš, ki je na nebesih.
280601008a	Pazite, da ne boste dajali miloščine svoje pred ljudmi, da bi vas oni videli; sicer nimate plačila pri očetu svojem, ki je na nebesih.
28060200b1	Kedar torej daješ miloščino, ne trobi pred seboj, kakor delajo hinavci po shajališčih in po ulicah, da jih hvalijo ljudjé. Resnično vam pravim: Prejeli so plačilo svoje.
2806030051	Ti pa, kedar daješ miloščino, ne vé naj levica tvoja, kaj dela desnica tvoja:
2806040061	Da bo miloščina tvoja na skrivnem. In oče tvoj, ki vidi na skrivnem, on ti bo povrnil očitno.
28060500b4	In kedar moliš, ne bodi kakor hinavci, da radi po shajališčih in po uličnih oglih stojé in molijo, da se pokažejo ljudém. Resnično vam pravim, da so prejeli plačilo svoje.
28060600a0	Ti pa, kedar moliš, vnidi v hram svoj, in zapri duri svoje, ter se pomoli očetu svojemu na skrivnem. In oče tvoj, ki vidi na skrivnem, povrnil ti bo očitno.
2806070075	Kedar pa molite, ne govorite mnogo, kakor pogani; kajti oni mislijo, da bodo uslišani za voljo obilnih besed svojih.
280608005c	Ne primerjajte se torej njim; kajti oče vaš vé, česa vam je treba, predno ga vi prosite.
280609004c	Zatorej molite vi takole: Oče naš, ki si na nebesih; posveti se ime tvoje;
28060a004c	Pridi kraljestvo tvoje; zgodi se volja tvoja, kakor na nebu, tudi na zemlji;
28060b0022	Kruh naš vsakdanji daj nam danes;
28060c0048	In odpusti nam dolge naše, kakor tudi mi odpuščamo dolžnikom svojim;
28060d0070	In ne vpelji nas v izkušnjavo, nego reši nas zlega; ker tvoje je kraljestvo in moč in slava na vekomaj. Amen.
28060e0052	Kajti če odpuščate ljudém njih grehe, odpustil bo tudi vam oče vaš nebeški.
28060f0057	Če pa ne odpuščate ljudém njih grehov, tudi oče vaš ne bo odpustil vaših grehov.
28061000ac	Kedar se pa postite, ne bodite žalostni, kakor hinavci; ker grdé obraze svoje, da se pokažejo ljudém, da se postijo. Resnično vam pravim, da so prejeli plačilo svoje.
2806110041	Ti pa, kedar se postiš, namaži glavo svojo, in obraz svoj umij:
2806120089	Da te ne bodo videli ljudjé, da se postiš, nego oče tvoj, ki je na skrivnem. In oče tvoj, ki vidi na skrivnem, povrnil ti bo očitno.
2806130064	Ne nabirajte si zakladov na zemlji, kjer molj in rja razjeda, in kjer tatovi podkopujejo in kradejo.
280614006f	Nego nabirajte si zaklade na nebu, kjer ne molj ne rja ne razjeda, in kjer tatovi ne podkopujejo in ne kradejo.
2806150032	Kajti kjer je zaklad vaš, tam bo tudi srce vaše.
280616004e	Sveča telesu je oko. Če je torej oko tvoje prosto, svetlo bo vse telo tvoje;
2806170071	Če je pa oko tvoje hudobno, temno bo vse telo tvoje. Če je torej luč, ki je v tebi, tema, kakošna bo ta tema?
28061800a0	Nikdor ne more dvema gospodoma služiti: kajti ali bo enega mrzil, in drugega ljubil; ali enega cenil, in drugega zaničeval. Ne morete Bogu služiti in mamonu.
28061900bf	Za to vam pravim: Ne skrbite za življenje svoje, kaj boste jedli in kaj boste pili; tudi ne za telo svoje, kaj boste oblekli. Mar ni življenje več, kakor hrana; in telo več, kakor obleka?
28061a009c	Poglejte na tice nebeške, da ne sejejo in ne žanjejo in tudi ne spravljajo v žitnice, in oče vaš nebeški jih živí. Mar niste vi mnogo bolji od njih?
28061b0041	Kdo od vas pa skrbeč, more postavi svojej primakniti en komolec?
28061c0061	In za obleko kaj skrbite? Poglejte na lilije na polji, kako rastejo; ne trudijo se in ne predejo.
28061d0050	Pravim vam pa, da se tudi Solomon v vsej slavi svojej ni oblekel, kakor teh ena.
28061e0078	Če pa travo na polji, ktera danes stojí, in jutri se meče v peč, Bog tako oblači, mar ne mnogo bolj vas, maloverni?
28061f005a	Ne skrbite torej, in ne govorite: Kaj bomo jedli? ali kaj bomo pili? ali kaj bomo oblekli?
2806200058	Kajti vsega tega iščejo pogani. Saj oče vaš nebeški vé, da vsega tega potrebujete.
280621005a	Nego iščite najprej kraljestva Božjega in pravice njegove, in vse to vam se bo pridalo.
2806220057	Ne skrbite torej za jutri; kajti jutri bo skrbel za svoje. Dosti ima dan svojega zlega.
2807010022	Ne sodite, da vam se ne bo sodilo.
2807020061	Kajti s kakoršno sodbo sodite, sodili bodo vam; in s kakoršno mero merite, odmerjalo se bo vam.
2807030050	Kaj pa vidiš troho v očesu brata svojega, bruna pa v očesu svojem ne čutiš?
280704006e	Ali kako porečeš bratu svojemu: Čaj, da izderem troho iz očesa tvojega, in glej, bruno je v očesu tvojem?
280705006a	Hinavec! izderi poprej bruno iz očesa svojega, in tedaj boš videl izdreti troho iz očesa brata svojega.
280706008b	Ne dajte svetega psom; in ne pomečite biserjev svojih pred svinje, da jih ne poteptajo z nogami svojimi, in se obrnejo, ter vas raztrgajo.
2807070054	Prosite, in dalo vam se bo; iščite, in našli boste; trkajte, in odprlo vam se bo.
2807080059	Kajti vsak, kdor prosi, prejema; in kdor išče, nahaja; in kdor trka, odpiralo mu se bo.
2807090053	Ali kdo izmed vas je človek, kogar če prosi sin njegov kruha, da mu bo dal kamen?
28070a0026	In če prosi ribe, da mu bo dal kačo?
28070b0099	Če torej vi, ki ste hudobni, znate dobre darove dajati otrokom svojim, koliko več bo dal oče vaš, ki je na nebesih, dobrega tistim, kteri ga prosijo?
28070c0069	Vse torej, kar hočete, da ljudjé vam storé, tako storite tudi vi njim; kajti to je postava in preroki.
28070d0084	Vnidite skozi tesna vrata. Kajti prostorna so vrata, in široka je pot, ktera pelje v pogubo, in mnogo jih je, kteri po njej hodijo.
28070e0061	Kajti tesna so vrata, in ozka je pot, ktera pelje v življenje, in malo jih je, kteri jo najdejo.
28070f006f	Varujte se pa lažnjivih prerokov, kteri prihajajo k vam v ovčjih oblačilih, znotrej so pa grabljivi volkovi.
2807100052	Po njih sadovih jih boste poznali. Bere li se s trnja grozdje, ali z osata smokve?
2807110045	Tako vsako dobro drevo dober sad rodi; slabo drevo pa slab sad rodí.
2807120056	Dobro drevo ne more slabega sadú roditi, in slabo drevo ne more dobrega sadú roditi.
280713004c	Vsako drevo, ktero ne rodí dobrega sadú, posekalo se bo in vrglo na ogenj.
2807140028	Torej po njih sadovih jih boste poznali.
2807150085	Ne bo prišel vsak, kdor mi pravi: Gospod! Gospod! v nebeško kraljestvo; nego kdor izpolnjuje voljo očeta mojega, ki je na nebesih.
28071600a6	Veliko mi jih poreče tisti dan: Gospod! Gospod! ali nismo v tvoje ime prerokovali, in s tvojim imenom hudičev izganjali, in s tvojim imenom mnogo čudežev storili?
2807170050	In tedaj jim bom povedal: Nikoli vas nisem poznal; pojdite od mene, hudodelniki!
2807180080	Vsak torej, kdor sliši te moje besede in po njih dela, njega bom primeril modremu možu, kteri je sezidal hišo svojo na skali.
280719008b	In padla je ploha, in prišle so reke, in zapuhali so vetrovi in se zagnali v tisto hišo, in ni padla: kajti bila je postavljena na skalo.
28071a007a	In vsak, kdor sliši te moje besede, in po njih ne dela, podoben bo neumnemu možu, kteri je sezidal hišo svojo na pesku.
28071b007e	In padla je ploha, in prišle so reke, in zapuhali so vetrovi in udarili v tisto hišo, in padla je: in pad nje je bil grozen.
28071c0054	In zgodí se, ko je končal Jezus te Besede, čudilo se je ljudstvo nauku njegovemu;
28071d003f	Kajti učil jih je, kakor kdor ima oblast, a ne kakor pismarji.
2808010037	In ko je stopil z gore, šlo je za njim mnogo ljudstva.
2808020063	In glej, gobavec pride, ter mu se je poklanjal, govoreč: Gospod! če hočeš, moreš me očistiti.
2808030069	In stegnivši Jezus roko, dotakne se ga, govoreč: Hočem, očisti se! In precej mu se je očistila goba.
2808040086	In reče mu Jezus: Glej, da nikomur ne poveš; nego pojdi, pokaži se duhovnu, in prinesi dar, ki ga je ukazal Mojzes, njim za pričo.
2808050044	Ko pa vnide Jezus v Kapernaum, pristopi k njemu stotnik, proseč ga,
280806004b	In govoreč: Gospod! hlapec moj leží domá božjasten in se grozno muči.
2808070036	In Jezus mu reče: Jaz bom prišel in ga bom uzdravil.
2808080081	In stotnik odgovorí, in reče: Gospod! nisem vreden, da vnideš pod streho mojo; nego reci le besedo, in hlapec moj bo ozdravel.
28080900a6	Kajti tudi jaz sem človek pod oblastjo, in imam pod seboj vojake. Pa velim temu: Pojdi! in gre; in drugemu: Pridi! in pride; in hlapcu svojemu: Stóri to! in storí.
28080a0087	Slišavši pa to Jezus, začudi se, in reče tistim, ki so šli za njim: Resnično vam pravim, tudi v Izraelu nisem našel tolike vere.
28080b0078	Pravim vam pa, da jih bo mnogo prišlo od vzhoda in zahoda, in sedeli bodo z Abrahamom in Izakom v nebeškem kraljestvu;
28080c0059	A sinovi kraljestva se bodo izgnali v najkrajnjo temo: tam bo jok in škripanje z zobmí.
28080d0072	In Jezus reče stotniku: Pojdi, in kakor si veroval, naj ti se zgodí. In hlapec njegov je ozdravel od tega časa.
28080e0054	In Jezus pride v Petrov dom, in vidi taščo njegovo, da leží in jo trese mrzlica.
28080f0051	In dotakne se njene roke, in mrzlica jo pustí; in vstala je, ter jim je stregla.
2808100069	Ko se je pa zvečerilo, prinesó mu mnogo obsedencev; pa izžene duhove z besedo, in uzdravi vse bolnike.
2808110071	Da se izpolni, kar je rečeno po preroku Izaiji, kteri pravi: "On je vzel slabosti naše, in ponesel je bolezni."
2808120046	Ko pa vidi Jezus mnogo ljudstva okoli sebe, ukaže iti na drugo stran.
2808130059	Pa pristopi k njemu en pismar in mu reče: Učenik! šel bom za teboj, kamorkoli odideš.
280814006b	In reče mu Jezus: Lisice imajo brloge, in tice nebeške gnezda; a sin človečji nima kje glave nasloniti.
2808150069	A nekdo drugi učencev njegovih mu reče: Gospod! dovoli mi najprej, da grem in pokopljem očeta svojega.
2808160053	Jezus mu pa reče: Pojdi za menoj, in pustí, naj mrliči pokopljejo mrliče svoje.
2808170037	Ter stopi v ladjo, in za njim vstopijo učenci njegovi.
2808180056	In glej, vihar velik vstane na morji, tolik, da zakrijejo valovi ladjo; on je pa spal.
2808190053	In pristopivši učenci njegovi, zbudé ga, govoreč: Gospod! otmi nas; pogibljemo.
28081a006d	In reče jim: Kaj ste boječi, maloverni? Tedaj vstane, zapretí vetrovom in morju, in velika tihota nastane.
28081b005a	Ljudjé se pa začudijo, in rekó: Kdo neki je ta, da so mu tudi vetrovi in morje pokorni?
28081c00ae	In ko pride na drugo stran, v pokrajino Gergezensko, srečata ga dva obsedenca, ktera sta prišla iz grobov in sta bila tako huda, da ni mogel nihče po tistej poti mimo iti.
28081d007a	In glej, pa zakričita, in rečeta: Kaj imaš z nami, Jezus, sin Božji? Si li sém prišel, da bi nas pred časom mučil?
28081e0031	In daleč od nju se je pasla velika čreda svinj.
28081f005d	Hudiči so ga pa prosili, govoreč: Če nas izganjaš, dovoli nam, da odidemo v čredo svinj.
2808200086	In reče jim: Pojdite! In oni izidejo, ter odidejo v čredo svinj. In glej, vsa čreda se zakadí z brega v morje, in potonejo v vodi.
280821004b	Pastirji pa zbežé, in prišedši v mesto, naznanijo vse, in za obsedence.
2808220061	In glej, vse mesto izide Jezusu naproti. In ko ga ugledajo, zaprosijo, naj odide iž njih krajev.
280901003a	In stopivši v ladjo, prepelje se, in pride v svoje mesto.
2809020098	In glej, prinesó mu mrtvoudnega, kteri je ležal na postelji. In videč Jezus njih vero, reče mrtvoudnemu: Zaupaj, sin! odpuščajo ti se grehi tvoji.
280903003e	In glej, nekteri od pismarjev rekó v sebi: Ta preklinja Boga,
2809040049	In videč Jezus njih misli, reče: Za kaj mislite hudobno v srcih svojih?
2809050051	Kaj je namreč laže, reči: Odpuščajo ti se grehi; ali reči: Vstani, in hodi?
280906009e	Da boste pa vedeli, da ima sin človečji oblast odpuščati na zemlji grehe, (tedaj velí mrtvoudnemu:) Vstani in vzemi svojo posteljo, in pojdi na dom svoj.
280907001f	Pa vstane in odide na dom svoj.
2809080055	Ko pa ljudstvo to vidi, začudijo se, in hvalijo Boga, ki je dal ljudém tako oblast.
2809090088	In gredé dalje odtod, ugleda človeka, da sedí na mitnici, Matevža po imenu, in reče mu: Pojdi za menoj! Pa vstane in odide za njim.
28090a0089	In zgodí se, ko je sedel v hiši za mizo, in glej, mnogo mitarjev in grešnikov je prišlo, in sedeli so z Jezusom in učenci njegovimi.
28090b0062	In ko Farizeji to vidijo, rekó učencem njegovim: Za kaj učenik vaš z mitarji in grešniki jé?
28090c004f	Slišavši pa to Jezus, reče jim: Ne potrebujejo zdravi zdravnika, nego bolni.
28090d008b	Pojdite pa, in naučite se, kaj se pravi: "Milosti hočem, in ne darú." Nisem prišel namreč klicat pravičnih, nego grešnike na pokoro.
28090e007c	Tedaj pristopijo k njemu Janezovi učenci, govoreč: Za kaj se mi in Farizeji mnogo postimo, tvoji se pa učenci ne postijo?
28090f0094	In reče jim Jezus: Morejo li svatje jokati, dokler je ženin ž njimi? Prišli bodo pa dnevi, ko jim se bo ženin odvzel, in tedaj se bodo postili.
2809100086	Nikdor pa ne prišiva zaplate iz novega sukna na staro obleko; kajti zaplata njena bo odtrgla od obleke še nekaj, in luknja bo veča.
28091100a3	In novega vina ne vlijajo v stare mehove; sicer mehovi popokajo, in vino se izlije, in mehovi se pokazé: nego novo vino vlijajo v nove mehove, in oboje se ohrani.
28091200a5	Ko jim je to govoril, glej, pride starešina, ter mu se je poklanjal, govoreč: Hči moja je ravnokar umrla; ali pridi, in položi na njo roko svojo, in oživela bo.
2809130038	In Jezus vstane in odide za njim, on in učenci njegovi.
2809140069	In glej, žena, ktera je imela krvotok dvanajst let, pristopi od zadi in se dotakne robú obleke njegove.
280915004f	Kajti djala je sama pri sebi: Če se le obleke njegove dotaknem, ozdravela bom.
2809160079	Jezus se pa obrne in jo ugleda, ter reče: Zaupaj, hčer! vera tvoja ti je pomagala. In žena je ozdravela od tega časa.
2809170058	In prišedši Jezus v starešinovo hišo, ugleda piskače in ljudstvo, ktero je hrumelo,
2809180054	In reče jim: Odstopite! kajti deklica ni umrla, nego spí. In posmehovali so mu se.
2809190047	Ko je pa ljudstvo izgnal, vnide in jo prime za roko; in deklica vstane.
28091a0030	In ta zgodba se razglasí po vsej tistej zemlji.
28091b0072	In ko je šel Jezus dalje odtod, šla sta za njim dva slepca, in vpila sta, govoreč: Usmili se naju, sin Davidov!
28091c007f	Ko pa pride v hišo, pristopita slepca k njemu. In Jezus jima reče: Verujeta li, da morem to storiti? Rečeta mu: Dà, Gospod!
28091d0049	Tedaj se dotakne njunih očî, govoreč: Po vaju veri naj se vama zgodí!
28091e0056	In njune očí se odpró. In Jezus jima zapretí, in reče: Glejta, da nihče ne zvé.
28091f0036	Ona pa izideta in ga razglasita po vsej tistej zemlji.
2809200046	Ko sta pa ona izšla, glej, pripeljejo mu mutca, kteri je bil obseden.
2809210076	In ko je hudiča izgnal, mutec spregovori. In ljudstvo se začudi, in reče: Nikoli se ni kaj takega v Izraelu videlo.
2809220040	Farizeji so pa govorili: S poglavarjem hudičev izganja hudiče.
28092300aa	In hodil je Jezus po vseh mestih in vaséh, učeč po njih shajališčih, in oznanjujoč evangelj kraljestva, in ozdravljajoč vsako bolezen in vsako slabost med narodom.
2809240072	Ko pa vidi ljudstvo, zasmilijo mu se; kajti bili so zapuščeni in razkropljeni kakor ovce, ktere nimajo pastirja.
2809250040	Tedaj reče učencem svojim: Žetve je mnogo, ali delalcev malo;
2809260046	Prosite torej gospodarja žetve, naj pošlje delalcev na žetev svojo.
280a010092	In poklicavši svojih dvanajst učencev, dá jim oblast nad nečistimi duhovi, da jih izganjajo, in da uzdravljajo vsako bolezen in vsako slabost.
