0100000009	創世記
02060600d2	故にイスラエルの子孫に言へ我はヱホバなり我汝らをエジプト人の重負の下より携出し其使役をまぬかれしめ又腕をのべ大なる罰をほどこして汝等を贖はん
02060700b7	我汝等を取て吾民となし汝等の神となるべし汝等はわがエジプト人の重擔の下より汝らを携出したるなんぢらの神ヱホバなることを知ん
02060800ba	我わが手をあげてアブラハム、イサク、ヤコブに與へんと誓ひし地に汝等を導きいたり之を汝等に與へて產業となさしめん我はヱホバなり
0206090084	モーセかくイスラエルの子孫に語けれども彼等は心の傷ると役事の苦きとの爲にモーセに聽ざりき
02060a0036	ヱホバ、モーセに告ていひたまひけるは
02060b005d	入てエジプトの王パロに語りイスラエルの子孫をその國より去しめよ
02060c00a5	モーセ、ヱホバの前に申していふイスラエルの子孫旣に我に聽ず我は口に割禮をうけざる者なればパロいかで我にきかんや
02060d00d2	ヱホバ、モーセとアロンに語り彼等に命じてイスラエルの子孫とエジプトの王パロの所に往しめイスラエルの子孫をエジプトの地より導きいださしめたまふ
02060e00a5	かれらの父の家々の長は左のごとしイスラエルの冢子ルベンの子ヘノク、バル、ヘヅロン、カルミ是等はルベンの家族なり
02060f009f	シメオンの子ヱムエル、ヤミン、オハデ、ヤキン、ゾハルおよびカナンの女の生しシヤウル是らはシメオンの家族なり
02061000a5	レビの子の名はその世代にしたがひて言ば左のごとしゲルシヨン、コハテ、メラリ是なりレビの齢の年は百三十七年なりき
020611005d	ゲルシヨンの子はその家族にしたがひて言ばリブニおよびシメイなり
0206120081	コハテの子はアムラム、イヅハル、ヘブロン、ウジエルなりコハテの齢の年は百三十三年なりき
0206130081	メラリの子はマヘリおよびムシなり是等はレビの家族にしてその世代にしたがひて言るものなり
020614008a	アムラム其伯母ヨケベデを妻にめとれり彼アロンとモーセを生むアムラムの齢の年は百三十七年なりき
0206150039	イヅハルの子はコラ、ネベグ、ジクリなり
0206160045	ウジエルの子はミサエル、エルザバン、シテリなり
0206170096	アロン、ナシヨンの姉アミナダブの女エリセバを妻にめとれり彼ナダブ、アビウ、エレアザル、イタマルを生む
020618005a	コラの子はアツシル、エルカナ、アビアサフ是等はコラ人の族なり
02061900c0	アロンの子エレアザル、ブテエルの女の中より妻をめとれり彼ピネハスを生む是等はレビ人の父の家々の長にしてその家族に循ひて言る者なり
02061a00a2	ヱホバがイスラエルの子孫を其軍隊にしたがひてエジプトの地より導きいだせよといひたまひしは此アロンとモーセなり
02061b00a5	彼等はイスラエルの子孫をエジプトより導きいださんとしてエジプトの王パロに語りし者にして即ち此モーセとアロンなり
02061c0048	ヱホバ、エジプトの地にてモーセに語りたまへる日に
02061d0096	ヱホバ、モーセに語りて言たまひけるは我はヱホバなり汝わが汝にいふ所を悉皆くエジプトの王パロに語るべし
02061e0072	モーセ、ヱホバの前に言けるは我は口に割禮を受ざる者なればパロいかで我に聽んや
02070100ab	ヱホバ、モーセに言たまひけるは視よ我汝をしてパロにおけること神のごとくならしむ汝の兄弟アロンは汝の預言者となるべし
02070200a8	汝はわが汝に命ずる所を盡く宣べし汝の兄弟アロンはパロに告ることを爲べし彼イスラエルの子孫をその國より出すに至らん
0207030054	我パロの心を剛愎にして吾徴と奇跡をエジプトの國に多くせん
02070400ba	然どパロ汝に聽ざるべし我すなはち吾手をエジプトに加へ大なる罰をほどこして吾軍隊わが民イスラエルの子孫をエジプトの國より出さん
0207050093	我わが手をエジプトの上に伸てイスラエルの子孫をエジプト人の中より出す時には彼等我のヱホバなるを知ん
0207060057	モーセとアロン斯おこなひヱホバの命じたまへる如くに然なしぬ
0207070054	そのパロと談論ける時モーセは八十歳アロンは八十三歳なりき
020708003f	ヱホバ、モーセとアロンに告て言たまひけるは
020709009f	パロ汝等に語りて汝ら自ら奇蹟を行へと言時には汝アロンに言べし汝の杖をとりてパロの前に擲てよと其は蛇とならん
02070a00c0	是に於てモーセとアロンはパロの許にいたりヱホバの命じたまひしごとくに行へり即ちアロンその杖をパロとその臣下の前に擲しに蛇となりぬ
02070b008d	斯在しかばパロもまた博士と魔術士を召よせたるにエジプトの法術士等もその秘術をもてかくおこなへり
02070c006f	即ち彼ら各人その杖を投たれば蛇となりけるがアロンの杖かれらの杖を呑つくせり
02070d0069	然るにパロの心剛愎になりて彼らに聽ことをせざりきヱホバの言たまひし如し
02070e006c	ヱホバ、モーセに言たまひけるはパロは心頑にして民を去しむることを拒むなり
02070f009f	朝におよびて汝パロの許にいたれ視よ彼は水に臨む汝河の邊にたちて彼を逆ふべし汝かの蛇に化し杖を手にとりて居り
02071000c3	彼に言ふべしヘブル人の神ヱホバ我を汝につかはして言しむ吾民を去しめて曠野にて我に事ふることを得せしめよ視よ今まで汝は聽入ざりしなり
0207110090	ヱホバかく言ふ汝これによりて我がヱホバなるを知ん視よ我わが手の杖をもて河の水を撃ん是血に變ずべし
0207120072	而して河の魚は死に河は臭くならんエジプト人は河の水を飮ことを厭ふにいたるべし
0207130120	ヱホバまたモーセに言たまはく汝アロンに言へ汝の杖をとりて汝の手をエジプトの上に伸べ流水の上河々の上池塘の上一切の湖水の上に伸て血とならしめよエジプト全國に於て木石の器の中に凡て血あるにいたらん
02071400c0	モーセ、アロンすなはちヱホバの命じたまへるごとくに爲り即ち彼パロとその臣下の前にて杖をあげて河の水を撃しに河の水みな血に變じたり
0207150084	是において河の魚死て河臭くなりエジプト人河の水を飮ことを得ざりき斯エジプト全國に血ありき
02071600a8	エジプトの法術士等もその秘術をもて斯のごとく行へりパロは心頑固にして彼等に聽ことをせざりきヱホバの言たまひし如し
020717005a	パロすなはち身をめぐらしてその家に入り此事にも心をとめざりき
02071800a2	エジプト人河の水を飮ことを得ざりしかば皆飮水を得んとて河のまはりを掘たりヱホバ河を撃たまひてより後七日たちぬ
02080100a5	ヱホバ、モーセに言たまひけるは汝パロに詣りて彼に言へヱホバかく言たまふ吾民を去しめて我に事ふることを得せしめよ
0208020054	汝もし去しむることを拒まば我蛙をもて汝の四方の境を惱さん
02080300c6	河に蛙むらがり上りきたりて汝の家にいり汝の寝室にいり汝の牀にのぼり汝の臣下の家にいり汝の民の所にいたり汝の竃におよび汝の搓鉢にいらん
020804004e	蛙なんぢの身にのぼり汝の民と汝の臣下の上にのぼるべし
02080500b7	ヱホバ、モーセに言たまはく汝アロンに言へ汝杖をとりて手を流水の上に伸べ河々の上と池塘の上に伸て蛙をエジプトの地に上らしめよ
020806006c	アロン手をエジプトの水のうへに伸たれば蛙のぼりきたりてエジプトの地を蔽ふ
0208070060	法術士等もその秘術をもて斯おこなひ蛙をエジプトの地に上らしめたり
02080800d5	パロ、モーセとアロンを召て言けるはヱホバに願ひてこの蛙を我とわが民の所より取さらしめよ我この民を去しめてヱホバに犠牲をささぐることを得せしめん
02080900bd	モーセ、パロに言けるは我なんぢと汝の臣下と汝の民のために願ひて何時此蛙を汝と汝の家より絶さりて河にのみ止らしむべきや我に示せと
02080a0093	彼明日といひければモーセ言ふ汝の言のごとくに爲し汝をして我らの神ヱホバのごとき者なきことを知しめん
02080b005a	蛙汝と汝の家を離れ汝の臣下と汝の民を離れて河にのみ止るべしと
02080c0093	モーセとアロンすなはちパロを離れて出でモーセそのパロに至らしめたまひし蛙のためにヱホバに呼はりしに
02080d0066	ヱホバ、モーセの言のごとくなしたまひて蛙家より村より田野より死亡たり
02080e0039	茲にこれを攢むるに山をなし地臭くなりぬ
02080f0087	然るにパロは嘘氣時あるを見てその心を頑固にして彼等に聽ことをせざりきヱホバの言たまひし如し
0208100093	ヱホバ、モーセに言たまひけるは汝アロンに言へ汝の杖を伸べ地の塵を打てエジプト全國に蚤とならしめよと
02081100b4	彼等斯なせり即ちアロン杖をとりて手を伸べ地の塵を撃けるに蚤となりて人と畜につけりエジプト全國において地の塵みな蚤となりぬ
020812007b	法術士等その秘術をもて斯おこなひて蚤を出さんとしたりしが能はざりき蚤は人と畜に著く
020813009c	是において法術士等パロに言ふ是は神の指なりと然るにパロは心剛愎にして彼等に聽ざりきヱホバの言たまひし如し
02081400cf	ヱホバ、モーセに言たまはく汝朝早く起てパロの前に立て視よ彼は水に臨む汝彼に言へヱホバかく言たまふわが民を去しめて我に事ふることを得せしめよ
02081500c3	汝もしわが民を去しめずば視よ我汝と汝の臣下と汝の民と汝の家とに蚋をおくらんエジプト人の家々には蚋充べし彼らの居るところの地も然らん
02081600ab	その日に我わが民の居るゴセンの地を區別おきて其處に蚋あらしめじ是地の中にありて我のヱホバなることを汝が知んためなり
020817004e	我わが民と汝の民の間に區別をたてん明日この徴あるべし
02081800ab	ヱホバかく爲たまひたれば蚋おびただしく出來りてパロの家にいりその臣下の家にいりエジプト全國にたり蚋のために地害はる
0208190081	是においてパロ、モーセとアロンを召ていひけるは汝等往て國の中にて汝らの神に犠牲を献げよ
02081a0111	モーセ言ふ然するは宜からず我等はエジプト人の崇拝む者を犠牲としてわれらの神ヱホバに献ぐべければなり我等もしエジプト人の崇拝む者をその目の前にて犠牲に献げなば彼等石にて我等を撃ざらんや
02081b007e	我等は三日路ほど曠野にいりて我らの神ヱホバに犠牲を献げその命じたまひしごとくせんとす
02081c00ae	パロ言けるは我汝らを去しめて汝らの神ヱホバに曠野にて犠牲を献ぐることを得せしめん但餘に遠くは行べからず我ために祈れよ
02081d0105	モーセ言けるは視よ我汝をはなれて出づ我ヱホバに祈ん明日蚋パロとその臣下とその民を離れん第パロ再び偽をおこなひ民を去しめてヱホバに犠牲をささぐるを得せしめざるが如きことを爲ざれ
02081e004b	かくてモーセ、パロをはなれて出でヱホバに祈りたれば
02081f00a2	ヱホバ、モーセの言のごとく爲したまへり即ちその蚋をパロとその臣下とその民よりはなれしめたまふ一ものこらざりき
0208200054	然るにパロ此時にもまたその心を頑固にして民を去しめざりき
02090100c9	爰にヱホバ、モーセにいひたまひけるはパロの所にいりてかれに告よヘブル人の神ヱホバ斯いひたまふ吾民を去しめて我につかふることをえせしめよ
0209020051	汝もし彼等をさらしむることを拒みて尚かれらを拘留へなば
0209030075	ヱホバの手野にをる汝の家畜馬驢馬駱駝牛および羊に加はらん即ち甚だ惡き疾あるべし
020904009c	ヱホバ、イスラエルの家畜とエジプトの家畜とを別ちたまはんイスラエルの子孫に屬する者は死る者あらざるべしと
020905005a	ヱホバまた期をさだめて言たまふ明日ヱホバこの事を國になさんと
0209060090	明日ヱホバこの事をなしたまひければエジプトの家畜みな死り然どイスラエルの子孫の家畜は一も死ざりき
02090700a5	パロ人をつかはして見さしめたるにイスラエルの家畜は一頭だにも死ざりき然どもパロは心剛愎にして民をさらしめざりき
02090800bd	またヱホバ、モーセとアロンにいひたまひけるは汝等竃爐の灰を一握とれ而してモーセ、パロの目の前にて天にむかひて之をまきちらすべし
0209090081	其灰エジプト全國に塵となりてエジプト全國の人と畜獣につき膿をもちて脹るる腫物とならんと
02090a00b7	彼等すなはち竃爐の灰をとりてパロの前に立ちモーセ天にむかひて之をまきちらしければ人と獣畜につき膿をもちて脹るる腫物となれり
02090b009f	法術士等はその腫物のためにモーセの前に立つことを得ざりき腫物は法術士等よりして諸のエジプト人にまで生じたり
02090c007e	然どヱホバ、パロの心を剛愎にしたまひたれば彼らに聽ざりきヱホバのモーセに言給ひし如し
02090d00cf	爰にヱホバ、モーセにいひたまひけるは朝早くおきてパロの前にたちて彼に言へヘブル人の神ヱホバ斯いひたまふ吾民を去しめて我に事ふるをえせしめよ
02090e0096	我此度わが諸の災害を汝の心となんぢの臣下およびなんぢの民に降し全地に我ごとき者なきことを汝に知しめん
02090f006f	我もしわが手を伸べ疫病をもて汝となんぢの民を撃たらば汝は地より絶れしならん
020910007b	抑わが汝をたてたるは即ちなんぢをしてわが權能を見さしめわが名を全地に傳へんためなり
0209110042	汝なほ吾民の前に立ふさがりて之を去しめざるや
020912008a	視よ明日の今頃我はなはだ大なる雹を降すべし是はエジプトの開國より今までに嘗てあらざりし者なり
02091300c0	然ば人をやりて汝の家畜および凡て汝が野に有る物を集めよ人も獣畜も凡て野にありて家に歸らざる者は雹その上にふりくだりて死るにたらん
0209140063	パロの臣下の中ヱホバの言を畏る者はその僕と家畜を家に逃いらしめしが
020915004b	ヱホバの言を意にとめざる者はその僕と家畜を野に置り
02091600c3	ヱホバ、モーセにいひたまひけるは汝の手を天に舒てエジプト全國に雹あらしめエジプトの國中の人と獣畜と田圃の諸の蔬にふりくだらしめよと
020917009f	モーセ天にむかひて杖を舒たればヱホバ雷と雹を遣りたまふ又火いでて地に馳すヱホバ雹をエジプトの地に降せたまふ
0209180096	斯雹ふり又火の塊雹に雑りて降る甚だ勵しエジプト全國には其國を成てよりこのかた未だ斯る者あらざりしなり
0209190096	雹エジプト全國に於て人と獣畜とをいはず凡て田圃にをる者を撃り雹また田圃の諸の蔬を撃ち野の諸の樹を折り
02091a004b	唯イスラエルの子孫のをるゴセンの地には雹あらざりき
02091b00a2	是に於てパロ人をつかはしてモーセとアロンを召てこれに言けるは我此度罪ををかしたりヱホバは義く我とわが民は惡し
02091c0087	ヱホバに願ひてこの神鳴と雹を最早これにて足しめよ我なんぢらを去しめん汝等今は留るにおよばず
02091d00c6	モーセかれに曰けるは我邑より出て我手をヱホバに舒ひろげん然ば雷やみて雹かさねてあらざるべし斯して地はヱホバの所屬なるを汝にしらしめん
02091e005a	然ど我しる汝となんぢの臣下等はなほヱホバ神を畏れざるならんと
02091f0051	偖麻と大麥は撃れたり大麥は穂いで麻は花さきゐたればなり
0209200045	然ど小麥と裸麥は未だ長ざりしによりて撃れざりき
0209210093	モーセ、パロをはなれて邑より出でヱホバにむかひて手をのべひろげたれば雷と雹やみて雨地にふらずなりぬ
020922007b	然るにパロ雨と雹と雷鳴のやみたるを見て復も罪を犯し其心を剛硬にす彼もその臣下も然り
0209230087	即ちパロは心剛愎にしてイスラエルの子孫を去しめざりきヱホバのモーセによりて言たまひしごとし
020a0100ba	爰にヱホバ、モーセにいひたまひけるはパロの所に入れ我かれの心とその臣下の心を剛硬にせり是はわが此等の徴を彼等の中に示さんため
020a0200f3	又なんぢをして吾がエジプトにて行ひし事等すなはち吾がエジプトの中にてなしたる徴をなんぢの子となんぢの子の子の耳に語らしめんためなり斯して汝等わがヱホバなるを知べし
020a0300e1	モーセとアロン、パロの所にいりて彼にいひけるはヘブル人の神ヱホバかく言たまふ何時まで汝は我に降ることを拒むや我民をさらしめて我に事ふることをえせしめよ
020a040060	汝もしわが民を去しむることを拒まば明日我蝗をなんぢの境に入しめん
020a0500cf	蝗地の面を蔽て人地を見るあたはざるべし蝗かの免かれてなんぢに遺れる者すなはち雹に打のこされたる者を食ひ野に汝らのために生る諸の樹をくらはん
020a06011d	又なんぢの家となんぢの臣下の家々および凡のエジプト人の家に滿べし是はなんぢの父となんぢの父の父が世にいでしより今日にいたるまで未だ嘗て見ざるものなりと斯て彼身をめぐらしてパロの所よりいでたり
020a0700d8	時にパロの臣下パロにいひけるは何時まで此人われらの羂となるや人々を去しめてその神ヱホバに事ふることをえせしめよ汝なほエジプトの滅ぶるを知ざるやと
020a0800b7	是をもてモーセとアロンふたたび召れてパロの許にいたるにパロかれらにいふ往てなんぢらの神ヱホバに事よ但し往く者は誰と誰なるや
020a0900c9	モーセいひけるは我等は幼者をも老者をも子息をも息女をも挈へて往き羊をも牛をもたづさへて往くべし其は我らヱホバの祭禮をなさんとすればなり
020a0a00b1	パロかれらにいひけるは我汝等となんぢらの子等を去しむる時はヱホバなんぢらと偕に在れ愼めよ惡き事なんぢらの面のまへにあり
020a0b0099	そは宜からず汝ら男子のみ往てヱホバに事よ是なんぢらが求むるところなりと彼等つひにパロの前より逐いださる
020a0c00cf	爰にヱホバ、モーセにいひたまひけるは汝の手をエジプトの地のうへに舒て蝗をエジプトの國にのぞませて彼の雹が打殘したる地の諸の蔬を悉く食しめよ
020a0d00c6	モーセすなはちエジプトの地の上に其杖をのべければヱホバ東風をおこしてその一日一夜地にふかしめたまひしが東風朝におよびて蝗を吹きたりて
020a0e00b4	蝗エジプト全國にのぞみエジプトの四方の境に居て害をなすこと太甚し是より先には斯のごとき蝗なかりし是より後にもあらざるべし
020a0f00de	蝗全國の上を蔽ひければ國暗くなりぬ而して蝗地の諸の蔬および雹の打殘せし樹の菓を食ひたればエジプト全國に於て樹にも田圃の蔬にも靑き者とてはのこらざりき
020a100088	是をもてパロ急ぎモーセとアロンを召て言ふ 我なんちらの神ヱホバと汝等とにむかひて罪ををかせり
020a11007e	然ば請ふ今一次のみ吾罪を宥してなんぢらの神ヱホバに願ひ唯此死を我より取はなさしめよと
020a120045	彼すなはちパロの所より出てヱホバにねがひければ
020a1300ba	ヱホバはなはだ強き西風を吹めぐらせて蝗を吹はらはしめ之を紅海に驅いれたまひてエジプトの四方の境に蝗ひとつも遺らざるにいたれり
020a140075	然れどもヱホバ、パロの心を剛愎にしたまひたればイスラエルの子孫をさらしめざりき
020a1500a2	ヱホバまたモーセにいひたまひけるは天にむかひて汝の手を舒べエジプトの國に黑暗を起すべし其暗黑は摸るべきなりと
020a160075	モーセすなはち天にむかひて手を舒ければ稠密黑暗三日のあひだエジプト全國にありて
020a17009f	三日の間は人々たがひに相見るあたはず又おのれの處より起ものなかりき然どイスラエルの子孫の居處には皆光ありき
020a1800bd	是に於てパロ、モーセを呼ていひけるは汝等ゆきてヱホバに事よ唯なんぢらの羊と牛を留めおくべし汝らの子女も亦なんぢらとともに往べし
020a19007b	モーセいひけるは汝また我等の神ヱホバに献ぐべき犠牲と燔祭の物をも我儕に與ふべきなり
020a1a010e	われらの家畜もわれらとともに往べし一蹄も後にのこすべからず其は我等その中を取てわれらの神ヱホバに事べきが故なりまたわれら彼處にいたるまでは何をもてヱホバに事ふべきかを知ざればなりと
020a1b007e	然れどもヱホバ、パロの心を剛愎にしたまひたればパロかれらをさらしむることを肯ぜざりき
020a1c0093	すなはちパロ、モーセに言ふ我をはなれて去よ自ら愼め重てわが面を見るなかれ汝わが面を見る日には死べし
020a1d0063	モーセいひけるは汝の言ふところは善し我重て復なんぢの面を見ざるべし
020b0100ed	ヱホバ、モーセにいひたまひけるは我今一箇の災をパロおよびエジプトに降さん然後かれ汝等を此處より去しむべし彼なんぢらを全く去しむるには必ず汝らを此より逐はらはん
020b020072	然ば汝民の耳にかたり男女をしておのおのその隣々に銀の飾品金の飾具を乞しめよと
020b0300c0	ヱホバつひに民をしてエジプト人の恩を蒙らしめたまふ又その人モーセはエジプトの國にてパロの臣下の目と民の目に甚だ大なる者と見えたり
020b040066	モーセいひけるはヱホバかく言たまふ夜半頃われ出てエジプトの中に至らん
020b0500a2	エジプトの國の中の長子たる者は位に坐するパロの長子より磨の後にをる婢の長子まで悉く死べし又獣畜の首出もしかり
020b060087	而してエジプト全國に大なる號哭あるべし是まで是のごとき事はあらずまた再び斯ること有ざるべし
020b0700fc	然どイスラエルの子孫にむかひては犬もその舌をうごかさじ人にむかひても獣畜にむかひても然り汝等これによりてヱホバがエジプト人とイスラエルのあひだに區別をなしたまふを知べし
020b0800b7	汝の此臣等みなわが許に下り來てわれを拝し汝となんぢに從がふ民みな出よと言ん然る後われ出べしと烈しく怒りてパロの所より出たり
020b090096	ヱホバ、モーセにいひたまひけるはパロ汝に聽ざるべし是をもて吾がエジプトの國に奇蹟をおこなふこと増べし
020b0a00d2	モーセとアロンこの諸の奇蹟をことごとくパロの前に行ひたれどもヱホバ、パロの心を剛愎にしたまひければ彼イスラエルの子孫をその國より去しめざりき
020c01005a	ヱホバ、エジプトの國にてモーセとアロンに告ていひたまひけるは
020c02004b	此月を汝らの月の首となせ汝ら是を年の正月となすべし
020c0300a2	汝等イスラエルの全會衆に告て言べし此月の十日に家の父たる者おのおの羔羊を取べし即ち家ごとに一箇の羔羊を取べし
020c0400cc	もし家族少くして其羔羊を盡すことあたはずばその家の隣なる人とともに人の數にしたがひて之を取べし各人の食ふ所にしたがひて汝等羔羊を計るべし
020c05006f	汝らの羔羊は疵なき當歳の牡なるべし汝等綿羊あるひは山羊の中よりこれを取べし
020c060066	而して此月の十四日まで之を守りおきイスラエルの會衆みな薄暮に之を屠り
020c070054	その血をとりて其之を食ふ家の門口の兩旁の橒と鴨居に塗べし
020c080063	而して此夜その肉を火に炙て食ひ又酵いれぬパンに苦菜をそへて食ふべし
020c090066	其を生にても水に煮ても食ふなかれ火に炙べし其頭と脛と臓腑とを皆くらへ
020c0a0060	其を明朝まで殘しおくなかれ其明朝まで殘れる者は火にて燒つくすべし
020c0b0099	なんぢら斯之を食ふべし即ち腰をひきからげ足に鞋を穿き手に杖をとりて急て之を食ふべし是ヱホバの逾越節なり
020c0c00c6	是夜われエジプトの國を巡りて人と畜とを論ずエジプトの國の中の長子たる者を盡く撃殺し又エジプトの諸の神に罰をかうむらせん我はヱホバなり
020c0d00ed	その血なんぢらが居るところの家にありて汝等のために記號とならん我血を見る時なんぢらを逾越すべし又わがエジプトの國を撃つ時災なんぢらに降りて滅ぼすことなかるべし
020c0e007b	汝ら是日を記念えてヱホバの節期となし世々これを祝ふべし汝等之を常例となして祝ふべし
020c0f00cf	七日の間酵いれぬパンを食ふべしその首の日にパン酵を汝等の家より除け凡て首の日より七日までに酵入たるパンを食ふ人はイスラエルより絶るべきなり
020c1000c6	且首の日に聖會をひらくべし又第七日に聖會を汝らの中に開け是ふたつの日には何の業をもなすべからず只各人の食ふ者のみ汝等作ることを得べし
020c1100c6	汝ら酵いれぬパンの節期を守るべし其は此日に我なんぢらの軍隊をエジプトの國より導きいだせばなり故に汝ら常例となして世々是日をまもるべし
020c120072	正月に於てその月の十四日の晩より同月の二十一日の晩まで汝ら酵いれぬパンを食へ
020c1300cf	七日の間なんぢらの家にパン酵をおくべからず凡て酵いれたる物を食ふ人は其異邦人たると本國に生れし者たるとを問ず皆イスラエルの聖會より絶るべし
020c140078	汝ら酵いれたる物は何をも食ふべからず凡て汝らの居處に於ては酵いれぬパンを食ふべし
020c1500ba	是に於てモーセ、イスラエルの長老を盡くまねきて之にいふ汝等その家族に循ひて一頭の羔羊を撿み取り之を屠りて逾越節のために備へよ
020c1600b4	又牛膝草一束を取て盂の血に濡し盂の血を門口の鴨居および二旁の柱にそそぐべし明朝にいたるまで汝等一人も家の戸をいづるなかれ
020c1700d2	其はヱホバ、エジプトを撃に巡りたまふ時鴨居と兩旁の柱に血のあるを見ばヱキバ其門を逾越し殺滅者をして汝等の家に入て撃ざらしめたまふべければなり
020c180051	汝ら是事を例となして汝となんぢの子孫永くこれを守るべし
020c19008d	汝等ヱホバがその言たまひし如くになんぢらに與へたまはんところの地に至る時はこの禮式をまもるべし
020c1a004b	若なんぢらの子女この禮式は何の意なるやと汝らに問ば
020c1b00f0	汝ら言ふべし是はヱホバの逾越節の祭祀なりヱホバ、エジプト人を撃たまひし時エジプトにをるイスラエルの子孫の家を逾越てわれらの家を救ひたまへりと民すなはち鞠て拝せり
020c1c0075	イスラエルの子孫去てヱホバのモーセとアロンに命じたまひしごとくなし斯おこなへり
020c1d00bd	爰にヱホバ夜半にエジプトの國の中の長子たる者を位に坐するパロの長子より牢獄にある俘虜の長子まで盡く撃たまふ亦家畜の首生もしかり
020c1e00b4	期有しかばパロとその諸の臣下およびエジプト人みな夜の中に起あがりエジプトに大なる號哭ありき死人あらざる家なかりければなり
020c1f00c6	パロすなはち夜の中にモーセとアロンを召ていひけるは汝らとイスラエルの子孫起てわが民の中より出さり汝らがいへる如くに往てヱホバに事へよ
020c200063	亦なんぢらが言るごとく汝らの羊と牛をひきて去れ汝らまた我を祝せよと
020c210072	是においてエジプト人我等みな死ると言て民を催逼て速かに國を去しめんとせしかば
020c220051	民捏粉の未だ酵いれざるを執り捏盤を衣服に包みて肩に負ふ
020c23008d	而してイスラエルの子孫モーセの言のごとく爲しエジプト人に銀の飾物、金の飾物および衣服を乞たるに
020c24008a	ヱホバ、エジプト人をして民をめぐましめ彼等にこれを與へしめたまふ斯かれらエジプト人の物を取り
020c250081	斯てイスラエルの子孫ラメセスよりスコテに進みしが子女の外に徒にて歩める男六十萬人ありき
020c26005a	又衆多の寄集人および羊牛等はなはだ多の家畜彼等とともに上れり
020c2700ff	爰に彼等エジプトより携へいでたる捏粉をもて酵いれぬパンを烘り未だ酵をいれざりければなり是かれらエジプトより逐いだされて濡滞るを得ざりしに由り又何の食糧をも備へざりしに因る
020c280063	偖イスラエルの子孫のエジプトに住居しその住居の間は四百三十年なりき
020c290069	四百三十年の終にいたり即ち其日にヱホバの軍隊みなエジプトの國より出たり
020c2a00de	是はヱホバが彼等をエジプトの國より導きいだしたまひし事のためにヱホバの前に守るべき夜なり是はヱホバの夜にしてイスラエルの子孫が皆世々まもるべき者なり
020c2b0081	ヱホバ、モーセとアロンに言たまひけるは逾越節の例は是のごとし異邦人はこれを食ふべからず
020c2c0057	但し各人の金にて買たる僕は割禮を施して然る後是を食しむべし
020c2d0036	外國の客および傭人は之を食ふべからず
020c2e0072	一の家にてこれを食ふべしその肉を少も家の外に持いづるなかれ又其骨を折べからず
020c2f0030	イスラエルの會衆みな之を守るべし
020c300105	異邦人なんぢとともに寄居てヱホバの逾越節を守らんとせば其男悉く割禮を受て然る後に近りて守るべし即ち彼は國に生れたる者のごとくなるべし割禮をうけざる人はこれを食ふべからざるなり
020c31005d	國に生れたる者にもまた汝らの中に寄居る異邦人にも此法は同一なり
020c320075	イスラエルの子孫みな斯おこなひヱホバのモーセとアロンに命じたまひしごとく爲たり
020c33008a	その同じ日にヱホバ、イスラエルの子孫をその軍隊にしたがひてエジプトの國より導きいだしたまへり
020d01003c	爰にヱホバ、モーセに告ていひたまひけるは
020d02009c	人と畜とを論ず凡てイスラエルの子孫の中の始て生れたる首生をば皆聖別て我に歸せしむべし是わが所屬なればなり
020d0300e1	モーセ民にいひけるは汝等エジプトを出で奴隸たる家を出るこの日を誌えよヱホバ能ある手をもて汝等を此より導きいだしたまへばなり酵いれたるパンを食ふべからず
020d04002a	アビブの月の此日なんぢら出づ
020d050105	ヱホバ汝を導きてカナン人ヘテ人アモリ人ヒビ人エブス人の地すなはちその汝にあたへんと汝の先祖たちに誓ひたまひし彼乳と蜜の流るる地に至らしめたまはん時なんぢ此月に是禮式を守るべし
020d06005d	七日の間なんぢ酵いれぬパンを食ひ第七日にヱホバの節筵をなすべし
020d07009c	酵いれぬパンを七日くらふべし酵いれたるパンを汝の所におくなかれ又汝の境の中にて汝の許にパン酵をおくなかれ
020d080090	汝その日に汝の子に示して言べし是は吾がエジプトより出る時にヱホバの我に爲したまひし事のためなりと
020d0900ed	斯是をなんぢの手におきて記號となし汝の目の間におきて記號となしてヱホバの法律を汝の口に在しむべし其はヱホバ能ある手をもて汝をエジプトより導きいだしたまへばなり
020d0a0042	是故に年々その期にいたりてこの例をまもるべし
020d0b008d	ヱホバ汝となんぢの先祖等に誓ひたまひしごとく汝をカナン人の地にみちびきて之を汝に與へたまはん時
020d0c0093	汝凡て始て生れたる者及び汝の有る畜の初生を悉く分ちてヱホバに歸せしむべし男牡はヱホバの所屬なるべし
020d0d0096	又驢馬の初子は皆羔羊をもて贖ふべしもし贖はずばその頸を折るべし汝の子等の中の長子なる人はみな贖ふべし
020d0e00ae	後に汝の子汝に問て是は何なると言ばこれに言べしヱホバ能ある手をもて我等をエジプトより出し奴隸たりし家より出したまへり
020d0f0129	當時パロ剛愎にして我等を去しめざりしかばヱホバ、エジプトの國の中の長子たる者を人の長子より畜の初生まで盡く殺したまへり是故に始めて生れし牡を盡くヱホバに犠牲に献ぐ但しわが子等の中の長子は之を贖ふなり
020d1000bd	是をなんぢの手におきて號となし汝の目の間におきて誌となすべしヱホバ能ある手をもて我等をエジプトより導きいだしたまひたればなりと
020d1100ed	偖パロ民をさらしめし時ペリシテ人の地は近かりけれども神彼等をみちびきて其地を通りたまはざりき其は民戰爭を見ば悔てエジプトに歸るならんと神おもひたまひたればなり
