2800000005	Matai
2a092d0067	Hhela ene kielienyi dunjire dazho. Isiini hhelade niuighazhi ese mejieghazho. Hhela ayizhi asaye dazho.
2a092e003f	Hhelai dunda kien zui fugie wo giezhi nienieji zhenjindu qiiwo.
2a092f0055	Ersa hhelai zhughede yan sumulasanyi mejiedene nie kewosii uduru ire kanzidene beigha
2a093000a6	hhelade kieliewo, "Kien mii niereghala ene kewosii jienliese mii jienliezho. Mii jienliese mii peisan Hudai jienliezho. Tai dunda kien zui meilashi hhe zui fugie wo."
2a09310097	Yaheiya kieliewo, "Ezhan, bijien nie kunyi uzhese chii niereghala sheitan touzho. Bijien danlazhi ese toughawo. Hhe bijienre hhantu chii ese daghazho."
2a09320045	Ersa kieliewo, "Bu danla. Tai fandui ulie giese tande oluzhi giezho."
2a09330055	Ersa asiman jiere khireiku ghujinlase jiejin giezhi Yelusalende ijinyo echine giezho.
2a09340056	Ingie giedun kunyi dafaladene Samaliya aghinde Ersa irekuni zhunbei gieghale echiwoma,
2a09350038	Yelusalende echikui mejiedene hhela Ersai ese jienliewo.
2a093600a2	Ersai tuji Yagebu, Yaheiya ene shiqinyi uzhedene kieliewo, "Ezhan, chi bijienyi fenfulaghazhi asiman jierese khan bouzheghadene enelai sidera widaghase olunulie?"
2a0937001b	Ersa ochira hhelai sugiewo.
2a09380027	Ingiedene hhela pse nie aghinde echiwo.
2a0939004c	Hhela mo yokude nie kun Ersade kieliewo, "Chi khala echise bi chii daghane."
2a093a0071	Ersa kieliewo, "Funieghede dun wine, asiman jieredu bunzhude ho wine, Kunnikewonde nie zhentou teiku oronda uwo."
2a093b0072	Ersa pse nie kunde "Chi mii dagha." giezhi kieliese hhe kun "Ezhan, bi xien adane bulale echiye." giezhi kieliewo.
2a093c005d	Ersa kieliewo, "Fugusan kun fugusan kunlane bulale echi gie, chi Hudai gojiai chonjile echi."
2a093d0066	Da nie kun kieliewo, "Ezhan, bi chini daghanema, xien echidene giededu kunladene nie kieliedei ireye."
2a093e0051	Ersa kieliewo, "Anzhasunyi bareidene khuinane uzhesan kun Hudai gojiai pei dane."
2a0a01007e	Ene shiqinse khuinashi Ezhan pse 72 gie kun sunghudene goyane echiku go chenshi go oronlade ghuaghuaji melie peizhi echighawo.
2a0a020087	Hhelade kieliewo, "Zhonjia olon wo, wiliechi choghon wo. Ta zhonjiani ezhanyi xiahua giezhi wiliechilai peidene zhonjiane ghuragha gie.
2a0a03005d	Ta echindu. Bi tai peizhi echighase ghoni ghughanlai zhanghei dunda echighasan niekielien wo.
2a0a04004e	Qienbao, kuabao, maheine bu barei. Mo jiere kunlai chujieghese kielien bu asa.
2a0a050035	Alinie giede orose ta man pinnan onu giezhi xien asa.
2a0a060050	Kunla tai jienliese hhelade pinnan irene, ulie jienliese pinnan tai jiere irene.
2a0a070082	Ta alinie giede souse izhigie nie giede sou. Kunla yan ochizhi ijiekuni ogise yan kere. Eneshi wilie giechen kunde ogikuni enbene.
2a0a080035	Alinie chenshide tai jienliezhi yan beilase yan ijie.
2a0a090048	Hhendedu gientulani goudaghazhi 'Hudai gojia chadashiwo.' giezhi kielie.
2a0a0a003d	Alinie chenshide tai ulie jienliese geidoude echidene kielie,
2a0a0b007c	"Tai aghinni turailiuzhe kon jieresene kui boughazhi fandui giene. Ingieliuzhe Hudai gojia chadashisei ta mejiendu." giezhi.
2a0a0c0051	Bi tande kielieye, panjiku udude hhe chenshi shouiku zeinan Sodomase da fugie wo.
2a0a0d00b6	Gelaxin, Bosaida, tande gou widawo. Tai dunda giesan nenlitu shiqinni Tuilo, Xidunde giewoshi hhela eqighanse madei zhodene jierene funiesun teizhi zemin jiere soudene geizhen giewo.
2a0a0e003e	Panjiku shihoude ta shouiku zeinan Tuilo, Xidunse da fugie wo.
2a0a0f0055	Jiabainun, Chii undudaghazhi asiman jiere khireighanu? Chii dozoheide anda boughane!"
2a0a1000a8	"Kun tai kielienyi chenliese mini kielienyi chenliezho. Tai kielienyi ulie chenliese mini kielienyi ese chenliezho. Mii ulie jienliese mii peisan Hudai ese jienliezho."
2a0a110068	Hhe 72 gie kun bayasuzhi kharei ire kieliewo, "Ezhan! Chii niereghala giese sheitanlaye bijienyi feiwo."
2a0a12005c	Ersa hhelade kieliewo, "Bi chujieghese Ibilisi asiman jierese shanjien mutun anda bou irewo.
2a0a13006e	Bi tande moghei, xiezilai taizhi duitoulai soyuji lilianse injizhi daoku qienli ogiwo. Yanliuzhe tai hei dane.
2a0a140062	Ingieliuzhe sheitanla tai feiwo giese bu bayasudene nierelaitai asiman jiere jilasande bayasundu."
2a0a1500f3	Ene shihoude Ersade Shenlin durudene bayasuzhi kieliewo, "Asiman zeminni Ezhan, Ada, chii mafan gieghawo. Chi ene shiqinlani agheli, erlintu kunlade niuighazhi ga kewosi mutun kunlade mejieghawo. Ada, enbene, eneshi chi duranghalane giesan wo.
2a0a160096	Soyujilashi man Adami made ogisanwo. Adase chugo kewonni kiema ulie mejiene. Kewon, pse kewon yenyi mejieghasan kunse chugo Adani kiema ulie mejiene."
2a0a170056	Ersa kharei ochira tujiladene danlin kieliewo, "Ta ede uzhesei uzhese tande fuqi wine.
2a0a180084	Bi tande kielieye, olon xienzhi, honshanla ta uzhesei uzhene giezhoma, uzhe dazho. Ta chenliesei chenliene giezhoma, chenlie dazho."
2a0a190063	Nie jinwun loushi bosizhe Ersai shiizhi asazho, "Loushi, bi matui giese chanqiku aminni jienliene?"
2a0a1a003b	Ersa kieliewo, "Guijin jiere yan huaizho? Chi yan onshiwo?"
2a0a1b0097	Hhe kieliewo, "Chi qienbuji zhughe, qienbuji jinshen, qienbuji lilian, qienbuji sumulakughalane Ezhan Hudadene ore. Pse goyadene mutun giebeidene ore."
2a0a1c0045	Ersa kieliewo, "Chi kieliesan oluzho. Chi qingiezhi giese amiturane."
2a0a1d004f	Hhe kun goyane olusei mejieghane giezhi Ersade asawo, "Kienshi mini giebei wo?"
2a0a1e0088	Ersa kieliewo, "Nie kun Yelusalense Yeligede boukude qiandaolani khade orowo. Eghizhi fugughakude kudene jienlaini agi echi benda jiewo.
2a0a1f0047	Ingie nie buwa hhe mose bou, hhei chujieghedene mo bienzighun yo daowo.
2a0a200044	Pse nie Liwi kun hhende ire chujieghedene ye mo bienzighun yo daowo.
2a0a210039	Ingie nie Samaliya kun mo yokude hhende ire, ubali xiizhi
2a0a220073	shidani echi shankouni tosun, jiughala waghazhi bouizhi goudaghadene enzheghe jiere achi lishede echi zhaogu giewo.
2a0a230080	Khuichudu ghua miengui lisheni ezhande ogizhi kieliewo, 'Chi enei uzhezhi zhaogu nie gie. Baer ulie kuruse bi pse irese ogiye.'"
2a0a240064	Ersa kieliewo, "Chi sumula, ene ghurulie dundase alinieshi qiandaolai khade orosan kunni giebei wo?"
2a0a250062	Jinwun loushi kieliewo, "Hhe ubali xiisan kun wo." Ersa kieliewo, "Chi ye echidene qingiezhi gie."
2a0a26008c	Ersa tujilaghalane Yelusalenni mo jiere echikude nie aghinde orowo. Hhende nie biereini niereni Mada giene. Ersai jienliezhi giedene echiwo.
2a0a270067	Giedeni nie oqinjiu wine. Niereini Mereiyen giene. Ersai kon shida souzhi goude kielienyini chenliezho.
2a0a2800b3	Mada zhochen ushilazhi hende munan gie Ersade ire kieliewo, "Ezhan, chi ene oqinjiuimi ulie gonjinu? Enende souzhi jin mini wilie gieghazho. Ede chi kieliezhi made banman giegha!"
2a0a290044	Ezhan kieliewo, "Madaya, chi olon wilie giene giezhi munan giezhoma,
2a0a2a0046	zhunyonishi nie wo. Mereiyen gounii sunghuwo, kiema agizhi echi dane."
2a0b0100a8	Niudude Ersa nie oronde onxian giezho. Onxian giezhi baludene nie tuji Ersade kieliewo, "Ezhan, Yaheiya tujiladene sughasan mutun chiye bijiende onxian giekui surugha."
2a0b02006e	Ersa hhelade kieliewo, "Ta onxian giekude ingiezhi kielie, 'Ada, chi nierene zhiguishigha. Chii gojiai iregha.
2a0b030028	Niudunieku ijiuni niudunie bijiende ogi.
2a0b040068	Bijienni zuini mienlie. Bijiende zui fanjisan kunlai bijienye mienliewo. Bijienyi shiikude bu echigha.'"
2a0b05007a	Ersa hhelade kieliewo, "Tai dunda kien nie kun banyedei zhanlienne giede echi zhanlien, made ginansene ghuran ghuizhi ogi.
2a0b060037	Bijienni giede nie zhochen irewoma, ijiuni widawo giese
2a0b07007a	hhe gie sudorose mii bu pofansagha. Wijienlani man khazhi kewosilare hhantu kijiezho. Bosizhi chade ogiku chijia wo giene.
2a0b080068	Bi tande kielieye, ene kun zhanlien wo giezhi ulie oginema, ninkounin keresei uzhese bosizhedene ogine."
2a0b090060	"Tande bi kielieye, ta xiahua gie, tande ogine. Erei, ereizhi olune. Wijienni eghi, tande niene.
2a0b0a005c	Xiahua giechen kunlade ogine. Ereichen kunla ereizhi olune. Wijienni eghichen kunlade niene.
2a0b0b0041	Tai dunda ada danlachen kien kewon zhaghasun kerese moghei ogine?
2a0b0c0028	Endeghei kerese xiezi ogichen kun uwola?
2a0b0d0079	Ta gou wiliuzhe kesiladene gouni ogikuni mejiene, asiman jieredu Ada xiahua giechen kunlade Shenlinni genjia ulie oginu?"
2a0b0e006e	Ersa nie kunyi sudorose yaba sheitanni tou khighawo. Ingie hhe yaba kielien kielie qiise kunla man ghanirazho.
2a0b0f0058	Ingie niezhan kunla kieliezhi hhe sheitanni touzi Biexibui kouizhi sheitan touzho giewo.
2a0b100050	Pse niezhan kunla hhei shiizhi asiman jierese iresan ghudureqi xienjigha giezho.
2a0b11008d	Ersa hhela yan sumulasei mejiedene kieliewo, "Alinie gojia goyalane eghinduse hontan gholune. Alinie giei kunla goyalane eghinduse bixindane.
2a0b120064	Ta kieliese bi Biexibui kouizhi sheitan touzho, Ibilisi goyalane eghinduse hhei gojia matugie beine?
2a0b13007e	Bi Biexibui kouizhi sheitan touse tai tujila kienyi kouizhi sheitan touzho? Ingiese tai tujila zhenmin giese tanughun codazho.
2a0b14003b	Bi Hudai nenlighala sheitan touse Hudai gojia tande irezho.
2a0b150040	Nie uqine qiendaghasan kun giene sagheise dunxila man pinnan wo.
2a0b160062	Hhense lilian pse fugietu kun ire, hhei eghizhi kouisan uqilaini agi echi, dunxilani man ghughawo.
2a0b170055	Mii miende ulie beise mii duitou wo. Mare ulie hhantulachen kunshi sandachen kun wo."
2a0b1800a8	"Nie zannan ruhher kunni jierese likai giedene usu witu oronde izhigie yozhi hhamuraku oron ereizho. Ereizhi olu dadene kieliewo, 'Bi yen khizhesan hhe giedene echine.'
2a0b190031	Khareizhi echi nie uzhese shuzhi goudagha jiezho.
2a0b1a0074	Ingie khizhi echi dolon doghun ruhheryi uduruzhi ire souwo. Ingiese hhe kunni qinkon melieshidakude pse ese kuruwo."
2a0b1b0083	Ersa zhen kieliekude kunlai dundase nie bierei fugiede waradazhi kieliewo, "Chini laizhi gogoghazhi fugiedaghasan kunde fuqi wine!"
2a0b1c004a	Ersa kieliewo, "Hudai kielienni zunjizhi giesan kunde zhenzhen fuqi wine."
2a0b1d008f	Kun olodokude Ersa pse kieliewo, "Ene idai kunla yale intu doghun wo. Ghudureqi kerezhoma, Yunusii ghudureqise chugo xienjighaku ghudureqi uwo.
2a0b1e0067	YunusiNiniwi kunlade oluzhi ghudureqi gholusan mutun Kunnikewonye ene idaini kunlade ghudureqi gholune.
2a0b1f00ac	Panjiku udude nanfanni bierei honshan bosizhedene ene idaini kunlade zui jinjine. Hhe gholose Sulumaneni aghelini chenliele irewo. Uzhe, enende Sulumanese pse fugieni wine.
2a0b2000a4	Panjiku udude Niniwi kunla bosizhezhi ene idai kunlai zuini jinjine. Niniwi kunla Yunusi chonjisei chenliedene geizhen giewo. Uzhe, Yunusise pse fugieni enende wo!"
2a0b210087	"Zhulai jienjidene jiude niuighachen kun uwo. Ighaghala komorochen kunye uwo. Zhula teiku teizi jiere teise kunla orozhese chujieghene.
2a0b220071	Nudunchiishi beyeni zhula wo. Nudunchii goushi beyechii man gieghan wo. Nudunchii gou wise beyechii man khara wo.
2a0b230035	Goyane xianxide uzhe, pse sudorodu gonchii kharalane.
2a0b240059	Chii jiere kharani goujighanida wi man gieghanshi zhula chini zhouisan mutun gieghan wo."
2a0b25005a	Ersa kielien kieliekude nie Falisai kun Ersai xinlawo. Ingie Ersa echidene xi jiere souwo.
2a0b26003e	Ersa khane ese wagha ijiese hhe Falisai kun ghudure wo giezho.
2a0b270076	Ezhan hhende kieliewo, "Ta Falisai kun beizi, jiezi mienzii wagha arughazhoma, tai sudoro jin qianlaku okhoni duruzho.
2a0b28005b	Ta yama mejie dachen kunla, tani ghadanedui zhayaghasan Huda tani sudorodui ese zhayaghawu?
2a0b29004a	Ta sudorodedu dunxilane jiahui kunlade ogi. Qingiese tande man ganjin wo."
2a0b2a00d9	"Ingiezhoma, ta ene Falisai kunlade gou widawo! Ta bohe, huajio, yanyanji cailasene Hudade ushirei ogizhoma, gundande gieku, Hudade orekuni zhunshi ulie giene. Enelai ta indan giekui wo, psedulaiye ulie giekui pusho."
2a0b2b007a	"Ta ene Falisai kunlade gou widawo! Ta huitanni undu wizide soukude xiqi wo. Geidoude kunla tande kielien asakude xiqi wo.
2a0b2c004b	Tande gou widawo! Ta hao witu meza niekielien wo. Kunla mejie dazhi taine."
2a0b2d005f	Nie jinwun loushi Ersade kieliewo, "Loushi, chi ingiezhi kieliese bijienyiye jiuren gieghazho."
2a0b2e00a3	Ersa kieliewo, "Ta jinwun loushiladeye gou widawo! Ta kunlai jiere bazilie daku qimutu gundu danzii beilieghadene goya kha ghurunghalane goujida banman ulie giene.
2a0b2f0042	Tande gou widawo! Tai xienrenla alasan xienzhilade ta meza giezho.
2a0b300053	Ingiese hhela giesei ta ganzhen beizhi zanchen giezho. Hhela alawo, ta meza giezho.
2a0b310082	Hudade agheli olonshi ingiezhi kieliewo, 'Bi xienzhi, peisan kunlai hhelade echighane. Hhela niezhanlai heine, niezhanlai alane.'"
2a0b320065	"Ingiese duyai zhayaghasanse alasan soyuji xienzhilai chusunni guini man ene idai kunlai jiere teine.
2a0b3300c7	Jiushi Hhabini alasanse qiizhi izhi sidagha gieku teiziji dajien dunda Sajialiyai alasan zuini guini man ene idai kunlai jiere teine. Enbene, bi tande kielieye, ene guini ene idai kunlai jiere teine.
2a0b340081	Ta jinwun loushilade gou widawo! Ta Hudai taniku yeshii agizhi echidene goyalane ese orowo, orone giechen kunlaiye ese oroghawo."
2a0b350065	Ersa enense ghadane khireise jinwun hanjia, Falisai kunla Ersai hende fandui giedene unqi olon asazhi
2a0b36001f	kieliensei babin ereine giezho.
2a0c0100a5	Ingiekude jiqien jiwon kun hhantulazhi nieniene taikui xianli. Ersa xien tujiladene kieliewo, "Ta Falisai kunni kunieghei xioxin gie. Hhelashi jiazhon giesan kun wo.
2a0c020052	Jizide giesan shiqinlai ulie khizheghakui uwo. Niuighasanlai ulie mejieghakui uwo.
2a0c030086	Ta beichazide kieliesan kielienlai kunla ghadane mindamin chenliene. Ta giedera chighinde kieliesei kunla gie jiere fugiede kieliene."
2a0c040057	"Mini zhanlienla, bi tande kielieye, beyeni aladene pse yama gie dachen hhelase bu ayi.
2a0c050060	Bi tande kiense ayikui mejieghaye, beyeni aladene dozoheide echighaku qienli bichen hhense ayi."
2a0c06004d	"Tawun bunzhui 2 mao baer huinela? Ingieliuzhe Huda hhelai nieda ulie matane.
2a0c07005a	Tai qiorun jieredu usunniliuzhe toulazhi agizho. Ta bu ayi, ta olon bunzhulase zhunyo wo."
2a0c080066	"Bi pse tande kielieye, kien kunlai melie mini renjise Kunnikewonye Hudai qienxien melie hhei renjine.
2a0c09004e	Kien kunlai melie mini ulie renjise bi Hudai qienxien melie hhei ulie renjine.
2a0c0a0054	Kunnikewonni fandui giezhi kieliese roulienema, Shenlinni hu kieliese ulie rouliene.
2a0c0b0076	Kunla tai laizhi huitan, noyen, qienli bareichen kun shida echise ta matugie huida giekui, yan kieliekui munan bu gie.
2a0c0c0036	Hhe shihou kuse ta yan kieliekuni Shenlin mejieghane."
2a0c0d0077	Ingiedene olon kunla dundase nie kun Ersade kieliewo, "Loushi, chi gaidemi kieliezhi jiachanyi made ghughazhi ogi gie."
2a0c0e0052	Ersa kieliewo, "Chi ene kun, mini tande kien noyen danlaghazhi gieni ghughaghane?"
2a0c0f006e	Ingie pse kieliewo, "Ta xioxin giezhi yanyanji tanxin giekulase gholodo. Kunni amin olon baerghala gonxi uwo."
2a0c10004e	Pse bilazhi kieliewo, "Nie bayan kunyi ghazhadeni osisan zhonjia gansan no wo.
2a0c11003d	Hhe sumulawo, 'Bi ene zhonjiani khala teine? Teiku oron uwo.'
2a0c12004e	Pse bi ene cankune cheidene pse fugiede nie gie, taran dunxilane teiye giezho.
2a0c13007e	Ingie goyadene made ijin sunjisan olon no wo. Jinien ijieliuzhe bara dane. Ede suibien ijiezhi ochizhi udu daose olune giezho.
2a0c140071	Ingiese Huda hhende kieliewo, 'Chi ene ulie mejiechen kun! Ene xii chi fugu widase dunxilachii kiende feiliene?'"
2a0c15005e	Ersa kieliewo. "Jin goyadene boubeini sunjizhi Hudai miende bayan wichen kunshi man intui wo."
2a0c160070	Ersa tujiladene kieliewo, "Ingiese bi tande kielieye, ta amindene oluzhi yan ijiene, musine giezhi munan bu gie.
2a0c170031	Amin ijiekuse zhunyo wo, beye musikuse zhunyo wo.
2a0c18007d	Ta louwalani uzhe, hhela yama ese tareizho, ese ghurazho, ghuraku canku ye uwoma, Huda qiezhezho. Ta bunzhulase zhunyo uwonu?
2a0c190044	Tani dunda kien zhughe chilakughala aminne niecha fududagha shidane?
2a0c1a004b	Ta intughani ga shiqinyi gie dane, pseshiku shiqinde munan giezhi yangiene?
2a0c1b00b1	Ta baihe chizhe matugie osisei nie uzhe, hhela ulie khishilane, bosiye ulie giene. Bi tande kielieye, Sulumane honshan zui henni xienzide musisanla ene nie chizhede ulie kurune.
2a0c1c0098	Ta goude xianxin ulie giechen kunla, banche jieredu osun enedu wine, maghashijie luzide teiliuzhe Huda dou ingiezhi dabalaghazho. Tai qingie ulie gienu?
2a0c1d0032	Ta ijiezhi ochikude xiahua bu giezhi munan bu gie,
2a0c1e0057	enelashi man duyani kunla xiahua giekuni wo. Tande enezighan chaisanlai Adatai mejiene.
2a0c1f003c	Ta Hudai gojiai xiahua gie, ingiese enelai man tande ogine."
2a0c20004e	"Ta kun choghontu kunla, bu ayi. Tai Ada bayasuzhi asiman gojiani tande ogine.
2a0c2100d4	Ta giededu dunxilane huizhi nanxin kunlade ghughazhi ogi. Goyadene oluzhi ulie qida oluku qienbaoni zhunbei giedene boubeini asiman jiere sunji. Hhende boubeila ulie widane, ghughei ghula dane, ghughei ijie dane.
2a0c22002a	Tai boubei khalashi zhughetaiye khala wo."
2a0c23003c	"Ta pixiene pixiliezhi zhulane jienjidene goude zhunbei gie.
2a0c24006f	Eneshi nie ezhan ghurunse irekuni sagheisan hojila niekielien wo. Ezhan iredene wijienyi eghikure hhantu niewo.
2a0c250099	Ezhan irekude zeixin giesan hojilade fuqi wine. Bi tande shuhua kielieye, Ezhan goya wilie gieku jienne musidene hojilani shire jiere soughazhi ushilane.
2a0c26005d	Hhe banyede iremu, giegherekude irekude hojila ingiezhi giesei uzhese hhe hojilade fuqi wine.
2a0c270054	Ta enei mejie, giei ezhan ghughei yan xienzide irekui mejiese giedene ulie oroghane.
2a0c28003d	Taye goude zhunbei giendu, ta mejie dakude Kunnikewon irene."
2a0c290056	Beduru kieliewo, "Ezhan, ene bilasan kielienni bijiende kieliewu, dajialade kieliewo?"
2a0c2a0089	Ezhan kieliewo, "Qinse kienshi kekaotu jienzha giechen gonjia wo? Zhanguijini hhende giededu hojilai, ijiekulani man gonjighasan pushonu?
2a0c2b0045	Zhanguiji irekude hoji ingiezhi giesei chanlase hhe hojide fuqi wine.
2a0c2c0046	Bi tande shuhua kielieye, zhanguiji hhende caichanlane man gonjighane.
2a0c2d0079	Hhe hoji zhughedene sumulazhi mini zhanguiji deigo ulie irene gie, kewon, oqin hojilai eghizhi ijiezhi jiu ochizhi sudose
2a0c2e0080	hhe sumula daku udu, mejie daku shihoude zhanguijini iredene hhei sidasunyi qiuizhi kielien ese chenliesan kunlare hhantu faine.
2a0c2f007e	Ene hoji ezhanni isini mejiewoma, zhunbei ese giewo. Zhanguijini kielien mutun ye ese giewo. Ingiese hheni gundude faikuni wo.
2a0c300093	Zinie zhanguijini isini mejie dazhi gou ese giesan kunlai gongiende faine. Olon ogisan kunlase olon kerene, choghon ogisan kunlase choghon kerene."
2a0c31004d	"Bi zemin jiere khan teile irewo. Bi sumulase khan ghujighan sidera qiisejiu.
2a0c320050	Made da nie chijia xili giekuni wine. Hhei onchen gietula made yali fugie no wo.
2a0c330070	Ta sumulase bi zemin jiere pinnan deilazhi irewo giezhou? Uye, bi tande kielieye, bi tani fandui gieghale irewo.
2a0c340075	Enedu khuinase nie giede tawun kun bise ghuran kun ghua kunghala fandui giene, ghua kun ghuran kunghala fandui giene.
2a0c3500d0	Ada kewonghalane fandui giene, kewon adaghalane fandui giene, ana oqinghalane fandui giene, oqin anaghalane fandui giene, ghadunmekie konbiereighalane fandui giene, konbierei ghadunmekieghalane fandui giene."
2a0c360071	Ersa pse olon kunlade kieliewo, "Ta xibangiede olien nie chanlase 'Ghura boune.' giezhi kieliene. Kieliese boune.
2a0c370041	Nanbangiese kei bosise, 'Khalundane.' giezhi kieliese khalundane.
2a0c380052	Ta ene jiazhon giesan kun, ta qienqi bienjikuni mejiene, ene shihouni fenji dane?"
2a0c390022	"Ta yale alinie olusei fenji dane?
2a0c3a009f	Chi noyenyi shida echikude mo jiere duitoughalane gouda. Pse hhe chii panjiku noyen shida lai echise panjiku noyen gunnande jiuise gunnan chii bafanzide khane.
2a0c3b005a	Bi chade kielieye, chi 1 fen baerniliuzhe honjizhi ulie qindaghase bafanzise khizhe dane."
2a0d010085	Ene shihoude danchan kunla BiladoJialili kunlai alasan chusunni hhelai sidagha giesan dunxi dunda huighasan shiqinni Ersade kieliewo.
2a0d02005b	Ersa asawo, "Ta sumulase ene Jialili kun psedu Jialili kunlase fanjisan zui fugieshi alawu?
2a0d030041	Uye. Bi tande kielieye, ta geizhen ulie giese hhela mutun fugune.
2a0d04007e	Pse hhe Xiloya orondeni lou tairedene 18 gie kunyi daru alawo. Ta sumulase ene kunla Yelusalen kunlase fanjisan zui fugie onu?
2a0d050042	Uwo. Bi tande kielieye, ta geizhen ulie giese hhela mutun fugune."
2a0d06008e	Ingiedene Ersa pse bilazhi kieliewo, "Nie kun putou yenzide nie uhuago mutun zeilawo. Hhe mutunsene alima ereile irese nieda ereizhi olu dawo.
2a0d07009d	Ezhanni yenzi sagheisan kunde kieliewo, 'Uzhe, bi ene 3 niende uhuago mutun jierese alima nieda chujieghe dawo. Eneni chizhi daogha, belien oron ezheliezho.'
2a0d080062	Yenzi sagheisan kun kieliewo, 'Ezhan, ene hon nie liui. Bi ene zhouwi turani waikude hhagha teiye.
2a0d09003c	Khuinashi alima souse sougie, ulie souse chizhi widaghaye.'"
2a0d0a002f	Hhamuraku udude Ersa huitande kunlade sughazho.
2a0d0b0045	Hhende sheitan heizhi 18 nien nurunne zhidagha dasan nie bierei wine.
2a0d0c0041	Ersa chanla uruzhi ire kieliewo, "Funi, ede chi giensene andawo."
2a0d0d0047	Ingie hheni jiere ghua khane teise deigo goudazhi bierei Hudai kuaizho.
2a0d0e0095	Huitan gonjisan kun Ersa hhamuraku udude gien goudaghase hokuzhi kunlade kieliewo, "Hhe tawun zhighudu winema, yangiezhi hhamuraku udude goudaghane?"
2a0d0f0075	Ezhan kieliewo, "Ta ene jiazhon giesan kun, ta hhamuraku udude fughe, enzheghelane khudonse khizheghazhi ulie sulanu?
2a0d100077	Ene biereishi Iburaheimuni houdei wo, hhei 18 nien Ibilisi heizhi giedalaghazho, hhamuraku udude andaghase ulie olunu?"
2a0d110069	Ingiesenu fandui giesan kunla nanchan duruzho. Ersa giesan famatu shiqinlai uzhedene kunla man bayasuzho.
2a0d12003f	Ersa pse kieliezho, "Hudai gojia yanni xianli? Yanghala bilane?
2a0d130078	Hoxian nie caizi furei xianli. Kun agizhi echi yenzidene tareise fugiedazhi mutun gholuse chala jiere bunzhula holiene."
2a0d140031	Ersa pse kieliewo, "Hudai gojiai yanghala bilane?
2a0d15005d	Hoxian kunieghei xianli. Nie bierei agizhi echidene nie deizi ghurunde teizhi man faighazho."
2a0d160044	ErsaYelusalenni mo jiere echikude kunlai chenshi aghinlade sughazho.
2a0d170049	Nie kun asazho, "Ezhan, jiuisan kun choghon woba?" Ersa kunlade kieliewo,
2a0d18005b	"Witan wijiense orokuni xiacha gie. Bi tande kielieye, orone giechen kun olon wo, oro dane.
2a0d1900ab	Giei ezhan wijienni khase ta ghadanese wijienni eghizhi 'Ezhan, bijiende wijienni nieya.' giese hhe 'Bi tai tani dane. Ta khalase iresei bi ulie mejiene.' giezhi kieliene.
2a0d1a006d	Hhe shihoude ta kieliene, 'Hhe xienzide matan hhantu ochizhi ijienduzho. Pse chi bijienyi geidoude sughazho.'
2a0d1b007b	Ingiese hhe kieliene, 'Bi tande kielieye, ta khalase iresei bi ulie mejiene. Ta ene huaishi giesan kunla, mase likai gie.'"
2a0d1c0092	"Ta Hudai gojiade Iburaheimu, Isaghei, Yagebu, pse hhe xienzhilani man chanlaku shihoude tani toudene ghadane khighase ta shidunne zhouzhi wilane.
2a0d1d0032	Dunnanxibeise kunla irezhi Hudai gojiade xi soune.
2a0d1e0041	Chenlie, khuinashikula melieshilane, melieshikula khuinashilane."
2a0d1f006a	Zhen ingiekude giedun Falisai kun ire Ersade kieliewo, "Chi enense likai gie, Hherode chini alane giezho."
2a0d20007a	"Ta echidene hhe funieghede kielie, 'Enedu maghashijie bi sheitanlani touzhi gien goudaghane, chinaer mini shiqin barawo.'
2a0d210057	Enedu, maghashi, chinaer bi bixi mone yone, Hudai xienzhini Yelusalense chugo ala dane.
2a0d2200c4	Yelusalen, Yelusalen, peizhi ireghasan xienzhilai tashidazhi alasan chenshiya. Bi chii kesilani gieduifa muji tigha zhunzhughalane siban doura hhantulaghaku mutun hhantulaghane giese ta duran uwo.
2a0d230099	Uzhe, chii gie hontan gholuzhi chade feiliene. Bi chade kielieye, chi 'Ezhanni niereghala iresan kunni doulandu.' giezhi kielietula mii pse chanla dane."
2a0e01005d	Hhamuraku udude Ersa nie Falisai kunni lindaoni giede ijiele echikude kunla ghulazhi uzhezho.
2a0e020038	Zhen hheni melie shighara beghelieni khaitusan kun wine.
2a0e03005b	Ersa jinwun loushi, Falisai kunlade asazho, "Hhamuraku udude gien uzhese olunu ulie olune?"
2a0e04004b	Hhelade shenqi uwo. Ersa hhei jiere khane tei, uzhe goudaghadene echighawo.
2a0e05006d	Ingie hhelade kieliewo, "Tai dunda hhamuraku udude enzheghe, fughe nokiende anda bouse laizhi ulie khizhenu?"
2a0e060025	Hhela ene kieliende yama kielie dawo.
2a0e07005c	Xinlazhi iresan zhochenla goyalane shanxide echi souwo. Ersa hhelai chanla bilazhi kieliewo,
2a0e08004c	"Ta ghurunde echise shanxide bu sou, tanse fugie zhochen bise tani daoghane.
2a0e090057	Giei kun iredene kieliese chi ene oronyi zhochende nie ranji giese chi shizhezhi daone.
2a0e0a0099	Xinlazhi irekude ta zui bixinni oronde souse xinlasan kun chini uruzhi kieliene, 'Zhanlien, chi ene shanxide sou.' Ingiese kunla uzhese giedughon gou wo.
2a0e0b004b	Kien goyane undudaghase boghonidaghane. Goyane boghonidaghase undudaghane."
2a0e0c008f	Ersa xinlasan kunde kieliewo, "Chi udukun, heifande zhanlienlane, gaijiulane, qingulane, giebei bayankunlai bu xinla, pse hhelaye chii xinlane.
