2800000008	Matáayo
2a11030081	Sa jeyyo, imi neeja. Koonɨ mwaanaanyu abwéeyyiirye ʉvɨ, mʉdalavye. Koonɨ aválandukire fuma uvii waachwe, mʉsee yasírire.
2a110400a3	Koonɨ ahóniirye kwa sikʉ ɨmwɨ mara mufungatɨ na uújire na kwaako yoosea, ‘Haɨ, naválandukire fuma uvii waanɨ,’ weewe woosaakwa ʉmʉsee yasírire.”
2a1105004b	Aho, vatumwi va Yéesu vakamʉsea Mweenevyoosi, “Toongererye kukuruma.”
2a110600ed	Mweenevyoosi akavasea, “Ngaarɨ mʉrɨ na kuruma baa kuduudi ja mpeke nduudi ya haradáali, ngaarɨ mʉdáhire kʉʉsea ʉhʉ mʉkʉyʉ, ‘Ngʼooka, ʉkakondiwe mayiyii!’ Nowo ngaarɨ wavɨ́ɨre matu kwa kɨra ˆmuuwyɨ́ɨrɨɨre.
2a110700bf	Baa ja tʉsee, koonɨ ʉmwɨ waanyu arɨ na mʉtʉmami waachwe ˆafúmire rɨma iwundii au kuriisha muundi, nɨ ani ʉmwɨ waanyu ifaanaa amʉsee, ‘Yeenda chaangʉ, ikala, urye chóorya?’
2a110800b1	Sɨ jeyyo tʉkʉ. Kɨrɨ vyoolʉʉsa jei sea arɨ, ‘Nyimirya neeja chóorya, na wʉʉntʉmamɨre fʉʉrʉ mpʉmʉle kurya no nywa. ˆNdɨrɨ hʉmʉla de weewe urye no nywa.’
2a1109006c	Eri, mʉdʉʉmba ʉrɨ mʉtʉmami ko bweeyya kɨra ˆcheene ʉmʉwyɨ́ɨrɨɨre abweeyye wʉʉ? Aka tʉkʉ!
2a110a00a1	Viivyo, baa nyuunyu ˆmʉrɨ hʉmʉla tʉmama yoosi ˆmwalaiririwa, sei, ‘Suusu tʉrɨ vatʉmami vii, tatʉ́mamire yara ˆmeene tasaakwa tʉtʉmame vii.’”
2a110b006a	Mpɨɨndɨ Yéesu ˆadomáa na Yerusaléemu, ajáa atweera na mʉhakii wa ɨsɨ ya Samaría na Galiláaya.
2a110c0089	Mpɨɨndɨ Yéesu ˆɨɨngɨráa iturii rɨmwɨ, ajáa alʉmana na vaantʉ ikimi ˆvarɨ na ʉlóónda. Avo vaantʉ vakɨɨma kʉlɨ, maa
2a110d0050	vakaanɨrɨra voosea, “Yéesu, Mweenevyoosi, tʉlaange na riiso ra wʉʉja!”
2a110e009e	Yéesu ˆakavoone akavasea, “Tamanyi, mukiiyonekye kwa veeneɨsɨ va Ijʉva.” Na mpɨɨndɨ ˆvajáa njirii vootamanya, maa vakajirʉlwa ʉlóónda waavo.
2a110f0077	Ʉmwɨ waavo ˆakoone ahórire, maa akahɨndʉka na kwa Yéesu kʉnʉ yoomʉdʉʉmba Mʉlʉʉngʉ na sawúti nkʉʉlʉ.
2a11100060	Akalaala majewii ya Yéesu na ɨnda kʉnʉ yoomʉdʉʉmba. Ʉwo mʉʉntʉ nɨ Mʉsamaría ajáa.
2a11110060	Yéesu akamuurya, “Voosi ikimi sɨ vajírwiilwe tʉkʉ wʉʉ? Hai varɨ vara vɨɨngɨ keenda?
2a11120064	Kusiina baa ʉmwɨ ˆahíndukire joo mʉdʉʉmba Mʉlʉʉngʉ tʉkʉ, maa kaa, ʉhʉ mʉyeni vii?”
2a11130049	Yéesu akamʉsea, “Inʉka, ʉtamanye, kuruma kwaako kwakʉhóniirye.”
2a111400c8	Sikʉ ɨmwɨ, Mafarisáayo vajáa vamuurya Yéesu voosea, “Ʉtemi wa Mʉlʉʉngʉ naadi ʉrɨ kʉʉja?” Yéesu akavasea, “Ʉtemi wa Mʉlʉʉngʉ, sɨ wʉʉjáa ko kʉʉlaangishalaangisha tʉkʉ.
2a11150084	Kusiina mʉʉntʉ ˆarɨ daha sea, ‘La nʉ aha!’ au ‘La haʉra kʉra,’ tʉkʉ. Sa Ʉtemi wa Mʉlʉʉngʉ nɨ nowo mʉrɨ.”
2a111600b2	Aho, akavasea vapooji vaachwe, “Mpɨɨndɨ kʉʉja jiise, kʉva mʉrɨ na mpɨɨma jo va na Mwaana wa Mʉʉntʉ baa kwa sikʉ ɨmwɨ vii, maa kaa, sɨ mʉrɨ kʉʉnyona tʉkʉ.
2a11170075	Vaantʉ kʉndoovasea veende, ‘La haʉra hara,’ au ‘Haʉhʉ aha!’ Karɨ mʉdómaa na karɨ mʉvarúmaa tʉkʉ.
2a1118007d	Sa Mwaana wa Mʉʉntʉ sikʉ ˆarɨ kʉʉja, kʉʉja arɨ ja lʉlávo ˆvyeene lʉʉ́jaa loomʉrɨka mavaru yoosi ya kurumu.
2a1119005b	Maa kaa, saakwa arɨ aturikiriwe kwa masáare ˆyarɨ foo na siitwa arɨ nɨ mbyaala ɨhɨ.
2a111a0067	Ja viintʉ ˆvijáa sikʉ ja Nʉ́hʉ, noo ˆvyeene ɨrɨ kʉva sikʉ yo hɨndʉka Mwaana wa Mʉʉntʉ.
2a111b00bf	Mpɨɨndɨ ja Nʉ́hʉ, vaantʉ varijáa no nywa, valoolwáa no loola fʉʉrʉ sikʉ ɨra Nʉ́hʉ ˆakɨɨngɨre na safíinii. Aho, ɨra mbula ya imalo ɨkʉʉja, maa ɨkavamala voosi vʉʉ.
2a111c0075	Baa mpɨɨndɨ ja Lúutu nɨ ja jeyyo vijáa. Vaantʉ varijáa no nywa, vaváa iyoombe no wʉla, varɨmáa no jeenga.
2a111d0078	Maa kaa, sikʉ ɨra Lúutu ˆakiinʉke Sodóoma, mooto na sálʉfa ʉjáa wakiima fuma kurumwii, ʉkavamala voosi vʉʉ.
2a111e0048	Noo jeyyo ˆviri kʉva sikʉ ɨra Mwaana wa Mʉʉntʉ ˆarɨ variyʉlwa.
2a111f00b0	Sikʉ ɨyo, mʉʉntʉ ˆarɨ ikekeerii karɨ akiime sa atoole viintʉ vyaachwe nyuumbii tʉkʉ. Na ʉra ˆarɨ iwundii karɨ ahɨ́ndʉkaa na kaayii noo toola chochoosi tʉkʉ.
2a1120002e	Kumbukiri kɨra alʉmana nocho muki wa Lúutu!
2a112100af	Mʉʉntʉ yoyoosi ʉra ˆyooyera kʉlamurirya nkaasʉ yaachwe, ʉwo kɨɨtaaha arɨ. Maa kaa, mʉʉntʉ yoyoosi ʉra ˆyookɨɨtaaha nkaasʉ yaachwe, ʉwo kɨɨlamurirya arɨ.
2a11220087	Nɨ kʉvawyɨɨra niise, sikʉ ɨyo, vaantʉ vavɨrɨ ˆvalɨ́ɨre kɨtáanda kɨmwɨ, ʉmwɨ sʉmʉlwa arɨ, na wɨɨngɨ rekwa arɨ.
2a11230057	Vaantʉ vaki vavɨrɨ ˆvoosha hamwɨ, ʉmwɨ sʉmʉlwa arɨ na wɨɨngɨ rekwa arɨ. [
2a1124006b	Vaantʉ valʉme vavɨrɨ kʉva varɨ vootʉmama iwundii, ʉmwɨ sʉmʉlwa arɨ na wɨɨngɨ rekwa arɨ.]”
2a112500bc	Aho, vapooji vaachwe vakamuurya, “Mweenevyoosi, aya nɨ hai ˆyarɨ fʉmɨra?” Ne akavasea, “Hara kʉʉntʉ ˆkʉrɨ na maka ˆikwíire, aho noo kʉʉntʉ nkuumba jilʉ́manɨraa.”
2a12010063	Yéesu akavavaɨra vapooji vaachwe lusímo ʉlʉ yoovakiindya vatuube kʉndooloomba bila yookatala.
2a1202009d	Akavasea, “Múujii ʉmwɨ, kʉjáa kwatɨɨte mʉlamuli ʉmwɨ. Ʉhʉ mʉlamuli, sɨ amoofáa Mʉlʉʉngʉ tʉkʉ, baa kei, sɨ avanyemyáa vaantʉ tʉkʉ.
2a120300bd	Na múujii ʉwo, kʉjáa kwatɨɨte mʉlala ʉmwɨ ˆatamanyáa na kwaachwe yoomʉloomba, ‘Kalaama nooloomba ʉlamʉle kɨloongi chaanɨ na mʉvɨ waanɨ sa mpate kɨra Miiro ˆyaruma.’
2a120400bd	Kwa sikʉ ˆjiri foo ʉra mʉlamuli ajáa asiita kʉmwaambirirya. Maa kaa, sikʉ ɨmwɨ akiisea yeemweene, ‘Baa neembe sɨ nɨmoófaa Mʉlʉʉngʉ na baa neembe sɨ nɨvanyémyaa vaantʉ,
2a12050092	sa viintʉ ʉhʉ mʉlala yookuunjuuwa mʉnʉmʉʉnʉ, lamʉla ndɨrɨ kɨloongi chaachwe, apate kɨra ˆkɨmʉtéire sa areke kʉʉnkatarya.’”
2a12060056	Aho, Mweenevyoosi akavasea, “Ikiindyi fuma kwa ʉhʉ mʉlamuli sɨ ˆarɨ mʉwoloki.
2a1207007d	Eri, Mʉlʉʉngʉ sɨ arɨ vaheera vira ˆvivatéire vaantʉ ˆavasaawʉla vara ˆvoomʉloomba uchikʉ na muusi tʉkʉ wʉʉ?
2a120800ba	Nɨ kʉvawyɨɨra niise, Mʉlʉʉngʉ kʉvaheera arɨ chaangʉ kɨra ˆkɨvatéire. Maa kaa, Mwaana wa Mʉʉntʉ ˆarɨ hɨndʉka na aha weerwii, shaana arɨ vaantʉ ˆvamuruma wʉʉ?”
2a12090076	Yéesu akavawyɨɨra kwa lusímo vaantʉ ˆveene viiyonáa voovo nɨ vawoloki na vavachwijáa matɨ vaantʉ vɨɨngɨ.
2a120a00b6	Akavasea, “Sikʉ ɨmwɨ, vaantʉ vavɨrɨ vajáa vatamanya na Kaayii Njija ya Ijʉva noo mʉloomba Mʉlʉʉngʉ. Ʉmwɨ nɨ Mʉfarisáayo ajáa na wɨɨngɨ, mʉsaankanʼyi kóodi.
2a120b0131	Ʉra Mʉfarisáayo akɨɨma yeemweene, maa akaanda mʉloomba Mʉlʉʉngʉ yoosea, ‘Ee Mʉlʉʉngʉ, nakʉdʉ́ʉmbaa sa nɨɨnɨ sɨ ndɨrɨ ja vaantʉ vɨɨngɨ tʉkʉ, vakumuriryi, sɨ ˆvarɨ vawoloki tʉkʉ, ˆvayéendaa na vaki va vaantʉ, baa kei sɨ ndɨrɨ ja ʉhʉ mʉsaankanʼyi kóodi tʉkʉ.
2a120c0088	Nɨɨnɨ kwa júma ɨmwɨ niirékyaa kurya kavɨrɨ. Kei, natóolaa ilʉʉndʉ rɨmwɨ ra kɨra malʉʉndʉ ikimi ra viintʉ vyaanɨ.’
2a120d0105	Maa kaa, ʉra mʉsaankanʼyi kóodi akɨɨma kʉlɨ, sɨ asaaka baa kwiinʉla miiso yaachwe na kurumwii tʉkʉ. Yeeye, akiivaavaa kɨpeembe kʉnʉ yookaavwa nɨ mʉtɨma yoosea, ‘Ee Mʉlʉʉngʉ nookʉloomba wʉʉnyonere mbavariri, nɨɨnɨ ndɨrɨ mʉvɨ!’
2a120e0113	Nɨ kʉvawyɨɨra niise, ʉhʉ mʉsaankanʼyi kóodi, ahɨndʉka na kaayii kwaachwe kʉnʉ avárirwe nɨ mʉwoloki, maa kaa, kwa ʉra Mʉfarisáayo sɨ jeyyo tʉkʉ. Sa kɨra mʉʉntʉ ˆiiyámbukyaa na mweeri, kiimiwa arɨ, na ʉra ˆiikíimyaa na ɨsɨ, kaambukiwa arɨ.”
2a120f007f	Haaha vaantʉ vamʉreteráa Yéesu vasinga vaduudi sa avavɨkɨre mɨkono. Vapooji vaachwe ˆvakoone jeyyo, maa vakavaamirirya.
2a121000c9	Maa kaa, Yéesu akavaanɨrɨra vara vasinga, akavasea, “Vareki vasinga vaduudi vʉʉje na kʉrɨ nɨɨnɨ, karɨ mʉvakɨtɨre tʉkʉ! Sa Ʉtemi wa Mʉlʉʉngʉ nɨ sa vaantʉ ˆvarɨ ja vasinga ava.
2a12110092	Kɨmaarɨ noovawyɨɨra, yoyoosi ʉra sɨ ˆarɨ kʉʉhokera Ʉtemi wa Mʉlʉʉngʉ ja musinga muduudi, sɨ arɨ kʉʉyɨngɨra vii kaa tʉkʉ.”
2a12120081	Aho, mʉlongooli ʉmwɨ akamuurya Yéesu, “Mukiindya mʉʉja, che ndɨrɨ bweeyya mpokere nkaasʉ ya sikʉ ˆjisiina ʉhero?”
2a12130078	Yéesu akamʉsea, “Sa che wookʉʉnyanɨrɨra mʉʉja? Kusiina mʉʉja tʉkʉ, mʉʉja nɨ Mʉlʉʉngʉ yeemweene vii.
2a121400e3	Ʉmányire ndairiri ja Mʉlʉʉngʉ wʉʉ? ‘Karɨ ʉyéendaa na muki wa mʉʉntʉ tʉkʉ, karɨ wʉʉ́laa tʉkʉ, karɨ wiívaa tʉkʉ, karɨ ʉlóngowereryaa mʉʉntʉ tʉkʉ, na ʉvanyemye vala íyo na taáta waanyu.’”
2a1215003c	Ne akasea, “Ayo yoosi nayakwaatya keende usinga waanɨ.”
2a1216010a	Yéesu ˆakateere jei, akamʉsea, “Kɨmwaarɨ kɨɨntʉ kimudu vii sɨ ˆʉnabweeyya. Tamanya, ʉkavae iyoombe máari joosi ˆʉrɨ nojo, na mpía ˆʉrɨ turya, ʉvaheere vakɨva. Jeyyo, turya ʉrɨ máari ya kɨkomi ya mberii kurumwii. Aho, yeenda, wuuntuube.”
2a1217006c	Ʉra mʉʉntʉ ˆakateere ayo, akiirya mʉtɨma maatʉkʉ vii, sa yeeye nɨ musúngaati maatʉkʉ vii ajáa.
2a12180098	Yéesu akamoona ʉra mʉʉntʉ iíriirye mʉtɨma, maa akasea, “Kʉva viri vyafafa maatʉkʉ vii kwa musúngaati kwɨɨngɨra Ʉtemii wa Mʉlʉʉngʉ!
2a12190084	Kɨkomi, nɨ vyaangʉ ngamɨ́a kʉtweera na ihengerii ra sinkeni, kʉlookya musúngaati kwɨɨngɨra na Ʉtemii wa Mʉlʉʉngʉ!”
2a121a0053	Vaantʉ vara ˆvateera masáare aya vakasea, “Nɨ ani de arɨ daha lamuririwa?”
2a121b0058	Yéesu akavasea, “Yara sɨ ˆyadáhɨkaa kwa vaantʉ, kwa Mʉlʉʉngʉ yadáhɨkaa.”
2a121c0059	Peéteri akamʉsea, “Laanga! Suusu tareka vyoosi ˆtʉjáa novyo tʉkakutuuba weewe!”
2a121d00ca	Yéesu akamʉsea, “Kɨmaarɨ noovawyɨɨra, mʉʉntʉ yoyoosi ʉra ˆareka nyuumba yaachwe, au mʉdala waachwe, au vandʉʉ vaachwe, au vala íyo na taáta, au vaana vaachwe sa Ʉtemi wa Mʉlʉʉngʉ,
2a121e008c	ʉwo hokera arɨ ˆviri foo mpɨɨndɨ iji kʉlookya vira ˆareka. Na weerʉ ˆyookʉʉja, hokera arɨ nkaasʉ ya sikʉ ˆjisiina ʉhero.”
2a121f00e4	Aho, Yéesu akavasʉmʉla vapooji vaachwe ikimi na vavɨrɨ na ivarwii, maa akavasea, “Haaha nɨ kwaambʉka tiise na Yerusaléemu. Masáare yoosi ˆmeene yaandɨkwa nɨ valáali na mʉtwe sa Mwaana wa Mʉʉntʉ, kiimana yarɨ.
2a1220008b	Yeeye vɨɨkwa arɨ mɨkonwii ya vaantʉ sɨ ˆvarɨ Vayahúudi. Aho, muchwa varɨ matɨ, mʉtʉkɨra varɨ na kʉmʉchwɨɨra varɨ matɨ.
2a1221005d	Kei kʉmʉvaa varɨ na mɨjeléedi na kʉmʉʉlaa varɨ na sikʉ ya katatʉ fʉfʉka arɨ.”
2a122200a3	Maa kaa, vapooji vaachwe sɨ vataanga ʉvariyuli wa masáare aya tʉkʉ, sa ʉvariyuli waachwe ʉjáa wiivisa kʉrɨ voovo. Sɨ vataanga nɨ che alʉʉsáa tʉkʉ.
2a12230077	Yéesu ˆakasengerere múuji wa Yerɨ́ɨko, kʉjáa kwatɨɨte mʉhoku ʉmwɨ ˆaloombáa iíkyɨɨre heehi na njɨra.
2a12240055	Ʉwo mʉhoku ˆakateere mpuka ya vaantʉ voolooka, akuurya, “Nɨ che kwatɨɨte?”
2a12250030	Vakamʉsea, “Yéesu wa Nasaréeti yoolooka.”
2a12260055	Aho, akatʉla isóso yoosea, “Ee Yéesu, Sha Daúdi, naanga na riiso ra wʉʉja!”
2a122700b9	Vaantʉ vara ˆvajáa valóngwɨɨre mbere ya Yéesu vakaanda kʉmʉdalavya akirinye. Maa kaa, yeeye akadoomererya kʉmwaanɨrɨra, “Ee Sha Daúdi, naanga na riiso ra wʉʉja Aaɨ!”
2a12280069	Yéesu akɨɨma, maa akavalairirya vamʉreete na kwaachwe. Ʉra mʉhoku ˆakaseese, maa Yéesu akamuurya,
2a12290057	“Che woosaaka nɨkʉbweeyyiirye?” Ne akasea, “Ee Mweenevyoosi, noosaaka noone!”
2a122a004a	Aho, Yéesu akamʉsea, “Haaha ona kaa! Kuruma kwaako kwakʉhóniirye.”
2a122b008d	Hahara akaanda koona kei. Akamutuuba Yéesu kʉnʉ yoomʉdʉʉmba Mʉlʉʉngʉ. Na vaantʉ voosi ˆvakoone ayo, vakamʉdʉʉmba Mʉlʉʉngʉ.
2a1301005a	Yéesu ˆakɨɨngɨre na múuji wa Yerɨ́ɨko, akakwaatɨra na katɨkatɨ ya ʉwo múuji.
2a1302009b	Ʉko, kʉjáa kwatɨɨte mʉʉntʉ ʉmwɨ mʉkʉʉlʉ wa vasaankanʼyi kóodi. Ʉhʉ mʉʉntʉ nɨ musúngaati ajáa na irina raachwe noo Sakáayo asewáa.
2a13030097	Sakáayo akava yoosaaka kʉmoona Yéesu. Maa kaa, sa viintʉ ajáa mukufi, akasiindwa kʉmoona Yéesu sa kʉjáa kwatɨɨte mpuka nkʉʉlʉ ya vaantʉ.
2a13040073	Sa jeyyo, akakʉʉrɨka itɨ́ɨjo, akalongorera na mbere. Akaambʉka mʉsaambwii sa amoone Yéesu kati ˆyoolooka.
2a13050090	Yéesu ˆakafike hara mʉsaambwii, akalaanga mweeri, maa akamʉsea Sakáayo, “Sakáayo, kiima chaangʉ! Isikʉ nɨ kwaako ndɨrɨ kʉʉmba!”
2a13060061	Aho, Sakáayo akakiima chaangʉ na ɨsɨ, maa akamʉteengya Yéesu na kaayii kwaachwe na cheerʉ.
2a1307006a	Vaantʉ voosi ˆvakoone, vakaanda ngʼuula voosea, “Sa che yookɨɨngɨra noo va mʉyeni kwa iduwalo?”
2a13080120	Maa kaa, Sakáayo akɨɨma, ma akamʉsea Mweenevyoosi, “Aaɨ laanga, haaha jei kera niise máari yaanɨ havɨrɨ. Ivaru rɨmwɨ vaheera ndɨrɨ vakɨva na koonɨ nasʉmʉla kɨɨntʉ cha mʉʉntʉ kwa ʉloongo, ʉwo mʉhɨndʉrɨra ndɨrɨ mara kanɨ ya ɨkyo kɨɨntʉ ˆnasʉmʉla.”
2a1309008b	Aho, Yéesu akamʉsea, “Ʉlamuriri wɨɨ́ngɨɨre kʉrɨ kaaya ɨhɨ, sa baa weewe umurúmire Mʉlʉʉngʉ ja taáta wiitʉ Aburaháamu.
2a130a004d	Sa Mwaana wa Mʉʉntʉ ʉʉja joo saakɨra no lamurirya vara ˆvarɨmɨra.”
2a130b00a1	Vaantʉ vara ˆvamʉteereráa Yéesu yoovavaɨra símo viiseáa Ʉtemi wa Mʉlʉʉngʉ fika wiise, sa viintʉ vajáa vaséngerɨɨre fika múuji wa Yerusaléemu.
2a130c00e5	Aho, Yéesu akavasea, “Kʉjáa kwatɨɨte mʉʉntʉ ʉmwɨ wa lʉkolo lwa kɨtemi. Yeeye ajáa akera njɨra na ɨsɨ ya kʉlɨ. Ʉko ajáa atamanya noo heewa ʉtemi de ahɨndʉke na ɨsɨ yaachwe kʉʉntʉ ˆarɨ kʉva mʉtemi.
2a130d00b6	De alooke, ajáa avaanɨrɨra vatʉmami vaachwe ikimi, akavaheera kɨra mʉʉntʉ mpía ˆjiri foo akavasea, ‘Saakiri kʉnáálo na mpía iji fʉʉrʉ sikʉ ˆndɨrɨ hɨndʉka!’
2a130e00a5	Maa kaa, vaantʉ va ɨsɨ yaachwe vajáa vamʉsʉʉla, sa jeyyo vakatʉma vaantʉ nyuma yaachwe voosea, ‘Sɨ toosaaka mʉʉntʉ ʉhʉ ave mʉtemi wiitʉ tʉkʉ.’
2a130f00ac	Baa neembe vajáa valʉʉsa jeyyo, yeeye ajáa aheewa ʉtemi. ˆAkahɨndʉke, akavaanɨrɨra vara vatʉmami ˆajáa avaheera mpía sa ataange kʉnáálo ˆngʼeene vaturya.
2a13100098	Mʉtʉmami wa ncholo ˆakʉʉje, maa akasea, ‘Ee mʉtemi, mpía ˆngʼeene waampeera, nasaakɨrɨra kʉnáálo nkapata malʉʉndʉ ikimi yɨɨngɨ.’
2a131100a6	Ʉra mʉtemi akamʉsea, ‘Wabweeyya vyabooha mʉtʉmami mʉʉja! Sa viintʉ waava wo kiilaangiwa kwa viintʉ viduudi, kʉheera ndɨrɨ wɨɨmɨrɨre míiji ikimi.’
2a13120097	Mʉtʉmami wa kavɨrɨ ne akʉʉja akasea, ‘Ee mʉtemi, mpía ˆngʼeene waampeera nasaakɨrɨra kʉnáálo nkapata malʉʉndʉ yɨɨngɨ yasaano.’
2a1313005f	Mʉtemi akamʉsea ʉhʉ mʉʉntʉ, ‘Baa weewe nakʉhɨ́ɨre wɨɨmɨrɨre míiji ɨsaano.’
2a13140091	Maa re, akʉʉja ʉra mʉtʉmami wɨɨngɨ akasea, ‘Ee mʉtemi, mpía jaako nɨ iji aha. Najichʉʉngɨrɨra kɨtabárii sa jidɨɨre rɨmɨra.
2a1315008b	Nɨjáa nakoofa sa weewe ʉrɨ mʉʉntʉ mʉfafu. Ʉsʉ́mʉlaa viintʉ haantʉ sɨ ˆwavɨɨka, na wachwíjaa kʉʉntʉ sɨ ˆʉhaanda.’
2a1316010c	Mʉtemi akamʉsea, ‘Mʉtʉ́mwa mʉvɨ weewe! Kwa masáare ˆyafúmire mʉlomwii waako kʉkʉlamʉrɨra niise! Weewe ʉjáa ʉmányire nɨɨnɨ ndɨrɨ mʉʉntʉ mʉfafu, nasʉ́mʉlaa kʉʉntʉ sɨ ˆnavɨɨka kɨɨntʉ, baa kei nachwíjaa kʉʉntʉ sɨ ˆnahaanda.
2a1317009b	Ha de haaha, sa che sɨ ujivɨɨka mpía jaanɨ kwa vaantʉ ˆvachúrushaa sa nɨɨnɨ ˆndɨrɨ hɨndʉka nsʉmʉle mpía jaanɨ na kʉnáálo yaachwe?’
2a1318007f	Aho, mʉtemi akavasea vara vaantʉ ˆvajáa viímire aho, ‘Mʉhóki ilʉʉndʉ raachwe mʉkamʉheere ʉra ˆarɨ na ikimi.’
2a13190054	Maa kaa, voovo vakamʉsea, ‘Mʉkʉ́lʉ, amwɨ ʉra atɨɨte malʉʉndʉ ikimi!’
2a131a00b0	Ne akavasea, ‘Nɨ kʉvawyɨɨra niise, kɨra ˆarɨ na kɨɨntʉ, koongereriwa arɨ kʉlookya, maa kaa, ʉra ˆasiina kɨɨntʉ, vuulwa arɨ baa kɨra kidúúdi ˆarɨ nocho.
2a131b007a	Na kwa vara vavɨ vaanɨ, vara sɨ ˆvasaakáa nɨve mʉtemi mweeri yaavo, vareeti na aha, mʉvʉʉlae mbere yaanɨ.’”
2a131c0057	Yéesu ˆakahʉmʉle kʉlʉʉsa ayo, akavalongorera mbere yookaambʉka na Yerusaléemu.
2a131d008d	ˆVakasengerere maturii ya Besifáage na Besanía ˆyarɨ luulwii ˆlwaséwaa Lʉʉlʉ lwa Mɨseitúuni, akavatʉma vapooji vaachwe vavɨrɨ,
2a131e00bb	akavasea, “Tamanyi na ituri ˆrɨrɨ mbere yaanyu, na kati ˆmookɨɨngɨra koona mʉrɨ mwaana wa ndákwi sɨ ˆanavereka mʉʉntʉ, achúungirwe aho. Muchunguriri, mʉmʉreete na aha.
2a131f007c	Koonɨ mʉʉntʉ avuúriirye, ‘Sa che moomʉchʉngʉrɨra mwaana wa ndákwi?’ mʉsei, ‘Mweenevyoosi yoomʉsaaka.’”
2a13200062	Vara vapooji vakadoma, maa vakashaana kɨra kɨɨntʉ ja ˆvyeene Yéesu ajáa avawyɨ́ɨrɨɨre.
2a13210080	Kati ˆvamʉchʉngʉrɨráa ʉra mwaana wa ndákwi, veene ndákwi vakavuurya, “Amwɨ moomʉchʉngʉrɨra mwaana wa ndákwi?”
2a13220037	Vara vapooji vakavasea, “Mweenevyoosi yoomʉsaaka.”
2a13230085	Vakamʉtwaarɨra Yéesu. ˆVakahʉmʉle kwaala ɨngo jaavo mweeri ya ʉwo mwaana wa ndákwi, vapooji vaachwe vakamwaambukya ndákwii.
2a13240043	Mpɨɨndɨ Yéesu ˆatamanyáa, vaantʉ vakaala ɨngo jaavo njirii.
2a132500db	Yéesu ˆakafike mugiritwii wa Lʉʉlʉ lwa Mɨseitúuni, mpuka yoosi na vapooji vaachwe vakaanda vaa siriri kʉnʉ voomʉdʉʉmba Mʉlʉʉngʉ na sawúti nkʉʉlʉ, sa myuujíisa yoosi ˆvajáa voona Yéesu yoobweeyya.
2a13260094	Vaseáa jei, “Atalariwa Mʉtemi ˆyookʉʉja kwa irina ra Ijʉva! Mwiikalo mʉʉja kurumwii na nkongojima kwa Mʉlʉʉngʉ ˆArɨ Mweerimweeri.”
2a13270083	Vamwɨ va Mafarisáayo ˆvajáa vamwaarɨ mʉra mpukii, maa vakamʉsea Yéesu, “Mukiindya, valairirye vapooji vaako vakirinye.”
2a13280061	Yéesu akavasea, “Nɨ kʉvawyɨɨra niise, koonɨ ava vakíriinye, mawye tʉla yarɨ isóso.”
2a13290054	Yéesu akasengerera múuji wa Yerusaléemu. ˆAkʉʉyone múuji, maa akʉʉrɨrɨra,
2a132a006d	yoosea, “Ngaarɨ wataanga sikʉ ɨhɨ yara ˆyarɨ kʉretera mwiikalo mʉʉja, haaha yaviswa miiswii yaako.
2a132b007f	Kɨkomi, sikʉ kʉʉja jiise, vavɨ vaako kʉkereesa varɨ, na kʉrɨɨngɨrɨra varɨ nkaande joosi na kʉkɨtɨra varɨ isii.
2a132c00b3	Kʉkʉkanya varɨ weewe na vaantʉ vaako voosi. Kei sɨ varɨ reka iwye baa rɨmwɨ mweeri ya rɨɨngɨ tʉkʉ, sa sɨ ʉtaanga mpɨɨndɨ Mʉlʉʉngʉ ʉʉja na kwaako tʉkʉ.”
2a132d0067	Aho, Yéesu akɨɨngɨra Kaayii Njija ya Ijʉva akaanda vakibirya vaantʉ ˆvaváa iyoombe viintʉ aho.
2a132e00bd	Akavasea, “Yaandɨkwa Masáarii ˆYarɨ Mpeho, ‘Nyuumba yaanɨ kʉva ɨrɨ nyuumba yo mʉloomba Mʉlʉʉngʉ.’ Maa kaa, nyuunyu mwɨɨválandwɨɨre ɨkava ‘mpaanga ya viívi.’”
2a132f00ac	Kɨra siikʉ akiindyáa Kaayii Njija. Maa kaa, vakʉ́ʉ́lʉ va veeneɨsɨ va Ijʉva na vakiindya va Miiro na valongooli va vaantʉ vasaakɨráa njɨra yo mʉʉlaa Yéesu.
2a13300063	Maa kaa, vakasova njɨra sa vaantʉ voosi vateereráa masáare yaachwe na vamʉteeráa matu kamwɨ.
2a140100b4	Sikʉ ɨmwɨ, Yéesu avavariyʉrɨráa Masáare Maaja vaantʉ waámii wa Kaaya Njija ya Ijʉva. Vakʉ́ʉ́lʉ va veeneɨsɨ va Ijʉva, vakiindya va Miiro na vawosi vakamʉʉjɨra.
2a1402007e	Aho, vakamuurya voosea, “Tʉwyɨɨre nɨ kwa wiimiriri wa ani wootʉmama masáare aya? Nɨ ani akʉheera wiimiriri ʉhʉ?”
2a14030039	Ne akavasea, “Naanɨ kuvuurya ndɨrɨ, mʉʉngwyɨɨre,
2a14040047	eri, ʉbatíiso wa Yooháani nɨ kurumwii wafuma, bakʉ kwa vaantʉ?”
2a14050086	Aho, vakalʉʉsɨkanʼya voovo kwa voovo, “Koonɨ taséire ‘Wafuma kwa Mʉlʉʉngʉ,’ sea arɨ, ‘Haaha amwɨ sɨ mwamuruma?’
