010000000a	Буття
061621014a	І вдовольнились сини Ізрайлеві відповіддю, і прославляли Ізрайлитяне Бога, і не гадали вже більш про те, щоб ійти проти них війною, щоб спустошити землю, де осїлись Рубенїї та Гадїї.
06162200c4	І прозвали Рубенїї та Гадїї жертівника „Ед‟, він бо сьвідкує про нас, як і про вас, що Господь є Богом нашим.
0617010109	По втецї довгого часу після того, як дарував Господь Ізрайлитянам навкруги впокій перед усїма їх ворогами, і став Йозуа вже старим, убивсь у лїта,
061702010b	Поскликав тодї Йозуа всього Ізраїля, старшину його, і князїв його, суддїв його і начальників, та й промовив до них: Старий оце вже я, і вбивсь у лїта.
06170300c7	Самі вбачали ви все, що вчинив Господь, Бог ваш, з усїма народами сими, та як за вас воював сам Господь, Бог ваш.
0617040136	Я роздїлив по жеребу в наслїдню державу поколїнням вашим всї народи, що я вигубив, від східньої сторони Йорданї аж до моря великого на заходї, та остало ще богато народів:
0617050109	Але Господь, Бог ваш, виганяти ме їх поперед вами і вигублювати ме поперед вами, щоб осягли ви землю їх, у державу, як вам обітував Господь, Бог ваш.
061706012f	Оце ж показуйте себе всюди кріпкостійними в пилнуваннї й певненнї всього того, що стоїть написане в книзї закону Мойсейового, не відхиляючись нї праворуч нї лїворуч,
0617070115	Не мішайтесь із сими народами, що зостаються ще коло вас; не беріть ув уста ваші імен богів їх, не божїтесь ними, не служіть їм і не припадайте перед ними.
0617080081	Нї! до Господа, Бога вашого, маєте прихилятись, як се чинили по сей день.
06170900c1	Тим то й попроганяв Господь поперед вами великі і потужні народи: нїхто не встояв проти вас аж по сей день.
06170a00b3	Один із між вас гнав тисячу перед собою, бо воював сам Господь, Бог ваш, за вас, як се вам й обітував.
06170b0069	Оце ж пилно дбайте про те, щоб любити Господа, Бога вашого.
06170c00f9	Ато, коли будете зрадливі та пристанете до останку сих народів, що зістались іще коло вас, і помішаєтесь із ними сватаннєм та свояченнєм,
06170d01ae	Так знайте, що тодї Господь, Бог ваш, не буде проганяти сї народи сперед вас; нї! будуть вони вам сїткою і запоною, бичем на ребрах ваших і колючкою в очах ваших, аж покіль ви зникнете з цієї гарної землї, що нею вас надїлив Господь, Бог ваш.
06170e018d	Дивітесь, я стою на тій дорозї, що мусить нею йти ввесь мир. Зрозумійте ж усїм серцем і цїлою душею, що з усїх любих обітниць, що вам давав Господь, нї одна не була марною: усї вони справдились, нї одна з них не була марною.
06170f0165	От же, як справдилась усяка обітниця, що вам давав Господь, Бог ваш, так само справдяться на вас усї ті грізьби, аж покіль він викоренить вас із сієї гарної землї, що нею вас надїлив Господь, Бог ваш.
0617100196	Коли переступати мете той заповіт, що він вам заповідав, та й пійдете служити иншим богам і кланятись будете перед ними, так запалає проти вас гнїв Господень, і ви хутко позникаєте з сієї гарної землї, що нею надїлив він вас.
0618010122	Скупив тодї Йозуа всї поколїння Ізрайлеві в Сихемі, і поскликав старшину Ізрайлеву, і князїв його, і суддїв його й начальників його, і станули вони перед Богом.
061802013e	Рече тодї Йозуа до всього народу: Тако глаголе Господь, Бог Ізрайлїв: У давні давна жили ваші предки по тім боцї Евфрату, Тара, батько Авраамів і Нахорів, і служили иншим богам.
061803010d	Але я вивів вашого предка Авраама із тогобочньої країни, та й проводив його по всїй Канаан землї і дав йому без лїку потомків, і дарував йому Ізаака.
06180400ed	Ізаакові ж дарував я Якова та Езава, і надїлив Езавові Сеїр-гори, щоб він узяв їх в державу, Яков же й сини його спустились у Египет.
06180500ab	Тодї послав я Мойсея та Арона та й покарав Египет чудесами, що вдїяв у ньому. Потім вивів я вас,
0618060111	Та й повів батьків ваших із Египту, та й дійшли ви до моря. Египтяне ж уганяли за вашими батьками до Червоного моря з боєвими колесницями й комонником.
06180701bc	І покликнули вони до Господа про рятунок, і дав він так, що між вами і Египтянами постала густа темрява; тодї попустив він морю ринуту, так що вкрило їх. І вбачали ви своїми очима, що я допустив на Египтян; потім пробували ви немалий час у пустинї.
061808014e	А звідтіля двинув я вас у землю Аморіїв, що седїли осадами по тім боцї Йорданї, і воювали вони з вами, та я подав їх вам на поталу, і ви осягли землю їх у державу і я вигубив їх перед вами.
06180900d9	Потім устав Балак Зіпоренко, царь Моабійський, і бив на Ізраїля. І послав він кликати Білеама Беоренка, щоб вас прокляв.
06180a00c4	Однакже я не схотїв слухати Білеама; він же ще й надто благословив вас, і сим робом визволив я вас з рук його.
06180b0134	Потім перейшли ви за Йордань і дойшли до Ерихону, і били на вас осадники Ерихонські, Аморії, Ферезії, Канаанїї, Гетії, Гергазії, Гевії та Евузії, і подав я вам їх на поталу.
06180c00e7	І послав я шершнї поперед вас, і прогнали вони їх перед вами, двох царів Аморійських. Не мечем твоїм і не луком твоїм се сталось.
06180d0147	І надїлив я землею вас, в якій ти не трудився, і городами, що їх ви не будували, а одначе ви осїлись у них; виноградниками й оливними садами, що не насаджували ви, а пожиткуєтесь ними.
06180e0110	Оце ж бійтеся Господа і служіть йому щиро та вірно, та відпихайте геть боги, що їм ваші предки по тім боцї ріки й у Египтї служили, а служіте Господеві.
06180f0194	Коли ж не любо вам служити Господеві, так вибирайте тепер, кому хочете служити: чи богам, що їм служили предки ваші, що жили по тім боцї ріки, чи богам Аморіїв, що в землї їх ви тепер живете; я ж і мій дом служити мем Господеві!
06181000a7	Відказав тодї люд й казав: Нї! не буде того, щоб ми покинули Господа, щоб служити иншим богам!
06181101c1	Нї! Господь нашим Богом; се він був, що вивів нас і батьків наших із Египту, де ми були неволники, привів сюди і перед нашими очима чинив сї великі чудеса, і всюди нас оберегав у дорозї, що нею ми ходили, й між усїма народами, що через них ми проходили.
06181200f2	І попроганяв Господь поперед нами всї народи, й Аморіїв, осадників бувших у сїй землї. Тож і ми служити мемо Господеві, бо він Бог наш!
06181300f5	І рече Йозуа до люду: Не зможете ви служити Господеві, бо він сьвятий Бог; ревнивий Бог він; не стерпить вам переступи ваші й гріхи ваші!
061814011e	Як покинете Господа і служити мете чужоземнїм богам, він одвернеться від вас і попустить допуст на вас і погибель, після того як перше посилав вам благодать.
0618150062	І відказав люд Йозуйові: Нї, волимо служити Господеві!
06181600cb	Рече тодї Йозуа до люду: Ви сьвідки за себе самих, що вибрали службу Господеві? І мовляли вони: Так, ми сьвідками!
06181700c0	Повідкидайте ж геть богів чужоземнїх, які є між вами, і прихилїте ваші серця до Господа, Бога Ізрайлевого!
061818009a	І мовляли люде Йозуйові: Волимо Господеві, Богу нашому, служити і гласу його слухати!
0618190090	І постановив Йозуа того дня завіт з народом, і дав їм там у Сихемі закон і право.
06181a00ea	І написав Йозуа сї слова в книзї закону Божого, і взяв камення великого та й поставив там під дубом, що був при храминї Господнїй.
06181b0162	І промовив Йозуа до всього люду: Дивітесь, сей камінь сьвідкувати ме проти нас, бо він чув усї слова, що глаголав до нас Господь; тим і мусить бути сьвідком проти вас, щоб не зрадили ви Бога вашого.
06181c006a	Після сього відпустив Йозуа нарід, кожного в його державу.
06181d008f	По сих бувальщинах умер Йозуа, син Навина, Господень раб, ста і десяти год віку,
06181e00c6	І поховано його в займищі наслїдньої держави його в Тамнат-Сараа на Ефраїмовій горі, на північ від Гаас гори.
06181f00f6	І служив Ізраїль Господеві докіль жив на сьвітї Йозуа та старшина, що попереживала Ісуса, і знала всї дїї, що вдїяв Господь про Ізраїля.
0618200149	Кости ж Йосифові, що Ізрайлитяне принесли з Египту, поховано в Сихемі на полі, що купив Яков у синів Геммора, батька Сихемового, за сто срібняків і надїлив синам Йосифовим в державу.
06182100bc	Умер же й Елеазар Ароненко, і поховано його на горі Фінееса, сина його, що надїлено йому на Ефраїм горах.
0700000017	Книга Суддів
07010100cf	Як умер Йозуа, поспитали Ізрайлитяне в Господа: Хто з нас мусить перше виступити проти Канаанїїв і воювати з ними?
0701020079	І рече Господь: Юда нехай виступає. Я подам ту землю йому на поталу.
0701030136	Юда ж каже свойму братові Симеонові: Виступай ізо мною в моє займище, щоб нам укупі Канаанїїв воювати; тодї й я виступлю з тобою у твоє займище. От і виступив із ним Симеон.
07010400e5	І виступив Юда, і подав Господь Канаанїїв та Ферезіїв на поталу йому, так що вони побили їх під Безеком, десять тисяч чоловіка.
07010500a9	І зіткнулись вони з Адонибезеком під Безеком, бились із ним та й побили Канаанїїв і Ферезіїв.
07010600bd	Адонибезек же втїк, і вганяли вони за ним і зловили його та й утяли йому великі палцї на руках і на ногах.
0701070143	Каже тодї Адонибезек: Семеро царів з утятими пальцями великими збірали крішки під столом у мене. Як робив я, так і менї воздав Господь. Повели його тодї в Ерусалим, там він і вмер.
07010800cc	І вдарили сини Юдині на Ерусалим, опанували його та й звоювали його в крівавому бою та й пустили город на пожежу.
070109006d	Потім двинули сини Юдині воювати Канаанїїв, що жили в горах.
07010a0102	І виступив Юда проти Канаанїїв, що жили в Гебронї. Геброн же прозивався перше Киріят-Арба. І звоювали Сесая, Ахимава й Талмая, пагонцї Енакові.
07010b0097	Звідти двинув проти осадників Дабирських — Дабир же прозивавсь перш Киріят-Сефер.
07010c009e	І обіцяв Калеб: Хто Киріят-Сефер підневолить та й опанує, за того віддам дочку мою Ахсу.
07010d00b2	І опанував його Отниіл, син Кеназа, меншого брата Калебового, і оддав він за нього дочку свою Ахсу.
07010e00ed	Як же ведено її до нього, підучив він її, щоб випрохала в батька якесь поле. І скочила вона з осла, так що Калеб у неї спитав: Що тобі?
07010f0119	І відказала вона: Дай менї благословеннє; ти бо дав менї землю полуденню, то дай менї й водяні колодязї. І дав їй Калеб колодязї в горі й колодязї на низинї.
070110013f	І сини (Етра) Кенеянина, тестя Мойсейового, повиходили із Пальмового міста (Ерихону) на Юдину пустиню, на підгіррє Арадське, й прийшовши туди, поосїдали осадами коло Амалекіїв.
070111012a	Юда ж двинув із братом Симеоном, і звоювали вони Канаанїїв, що жили в Сефат-городї, та й роспростерли на нього проклін. Через те проложено йому прізвіще Горма-город.
0701120074	І звоював Юда Газу і займище її, Аскалон і Екрон із їх гряницями.
07011300d5	І був Господь з Юдою, так що він звоював нагірню землю. Подолян же не здолїв прогнати, бо в них були залїзні колесницї.
07011400b5	І надїлили вони Калебові Геброн, як заповідав Мойсей, і повиганяв Калеб звідти трех синів Енакових.
0701150102	Евузіїв же, осадників Ерусалимських, не повиганяли сини Беняминові, от і зістались Евузії при синах Беняминових жити в Ерусалимі по сей день.
070116007c	Сини ж Йосифові виступили й собі проти Бетеля, і Господь був із ними.
0701170083	І розглядали сини Йосифові Бетель — сей город прозивався перше Лузом —
07011800ec	І зуздріли розглядники чоловіка, що йшов у город, і сказали йому: Ось покажи нам, де можна вломитись у город, так ми тобі подякуємо.
07011900e9	Він і показав їм, де можна вломитись у город, і завоювали вони город у крівавому бою, чоловіка ж того і всю родину його випустили.
07011a00ce	Той чоловік подавсь у Гетійську землю, збудував город і проложив йому прізвище Луз. Так зветься він і по сей день.
07011b019b	І Манассій не прогнав осадників із Бет-Сана і присїлків його, осадників Дора з урочищами його, осадників Іблеаму з урочищами його, та осадників Мегидди з урочищами його. Так і вдалось Канаанїям зістатись на житлї в цїй країнї.
07011c00af	Як же вбивсь Ізраїль у потугу, зробив він Канаанїїв свойми крепаками, а повиганяти не повиганяв,
07011d00a9	І Ефраїм не повиганяв Канаанїїв, що жили в Газері; так і зістались Канаанїї на житлї в Газері.
07011e00fc	І Зебулон не повиганяв осадників Китронських і осадників Наглолських; так і зостались Канаанїї проміж ними на житлї, та й платили їм дань.
07011f00f1	І Ассер не повиганяв осадників Акковських і осадників Сидонських і Ахлавських, Ахзивських, Гелвийських, Афеківських та Реховських.
0701200089	От і жили Ассерії серед Канаанїїв, осадників тої землї, бо не повиганяли їх.
0701210128	І Нафталїй не повиганяв осадників Бет-Самиських й осадників Бет-Анама, і жив серед Канаанїїв, що державили землею; осадники ж Бет-Самиські зробились крепаками їх.
070122007f	Аморії ж стїснили Данїїв у горах і не давали їм спускатись на поділлє.
07012300e4	І остались Аморії на горі Херес, в Аялонї й у Саалбимі. Як почав же брати над ними гору дом Йосифів, поробились вони крепаками.
070124008a	І роспростерлось займище Аморіїв від Скорпийонового проходу далеко в гори.
0702010140	І зʼявивсь ангел Господень із Галгала в Бохим, і сказав: Вивів я вас із Египту і привів у землю, що заприсяг про неї батькам вашим, і обітував: Не зламлю моєї вмови з вами по віки;
0702020107	Ви ж не чинїте нїякої мирової вгоди з осадниками сієї землї; нї! мусите їх жертівники руйнувати. Та не послухали ви повелїння мого. Що ви вчинили?
07020300bf	Оце ж глаголю вам: Не проганяти му їх перед вами, щоб вони були колючками під боки вам, а боги їх сїттю вам.
07020400a5	Як же промовив ангел Господень сї слова до всїх синів Ізраїля, почав нарід у голос плакати.
0702050098	Через се проложено тому врочищові призвіще: Бохим. І жертвували вони там Господеві.
07020600e9	Як же відпустив Йозуа нарід, лаштувались тодї сини Ізраїля в дорогу, щоб осягти землю в державу — кожен у свою наслїдню державу.
0702070116	І служив нарід Господеві покіль жив на сьвітї Йозуа та значнїщі люде, що попереживали Йозуу й що вбачали всї великі дїї Господнї, що він чинив Ізрайлеві.
070208006e	І вмер Йозуа Нуненко, Господень раб у сто і в десять год віку.
07020900c3	І поховали його в займищі наслїдньої держави його, у Тамнат-Сараї на Ефраїм-горах, на півночі від Гаас-гори.
07020a010d	Як же й увесь той рід відійшов до батьків своїх, а після них прийшов на сьвіт рід инший, люде, що Господа не знали, нї його дїл, що він чинив Ізраїлеві,
07020b009a	То почали сини Ізраїля чинити, що Господеві було не до вподоби, і покланятись Баалам.
07020c0140	Они покинули Господа, Бога батьківського їх, що вивів їх з Египту, та бігали за иншими богами, за богами народів, що жили навкруги й припадали ниць перед ними, і гнївили Господа.
07020d0077	Як покинули ж вони Господа й почали вшановувати Баала да Астарти,
07020e015f	Запалав тодї гнїв Господень на Ізраїля і віддав їх він жаківникам (грабителям), щоб жакували їх, і подав їх на поталу ворогам їх навкруги, так що вони не здолїли встоювати перед ворогами своїми.
07020f0119	Куди нї виступали вони, рука Господня була проти них на халепу їх, як погрожував їм Господь і як присягавсь їм Господь. Сим робом довів їх до великої нужди.
0702100088	Та возносив їм Господь суддїв, і суддї рятували їх із потали їх жаківників.
0702110171	Тільки ж бо вони й суддїв своїх не слухали, а блудували з чужими богами, припадаючи перед ними. Хутко звернули вони з тієї дороги, що нею ходили батьки їх, слухаючи заповідей Господнїх; не так чинили вони.
0702120141	Возносячи ж Господь їм суддїв, був із суддями і рятував їх, покіль жив на сьвітї суддя, з рук ворогїв їх. Бо змилосерджувавсь Господь задля їх жалю на їх напасників і тїснителїв.
0702130142	Як умирав же суддя, дак витворяли вони ще гірше нїж батьки їх, ходючи слїдом за другими богами, щоб їм служити і припадати перед ними. Не покидали свого робу нї своєї дороги злої.
070214012f	Тодї знов палав гнїв Господень на Ізраїля, і глаголав Господь: Через те, що сей люд переступив мою вмову, що я постановив був із їх батьками, і не слухає моїх заповідей,
07021500a1	Не проганяти му й я перед ними нї одного з тих народів, що позоставляв Йозуа, коли вмирав,
07021600d6	Щоб випробовувати ними Ізраїля, чи буде він уважати на Господню путь, щоб нею ходити, як уважали на її батьки їх, чи нї.
07021700ae	Тим і позоставляв Господь сї народи там, не прогнавши їх зараз, і не подав їх Йозуйові на поталу.
07030100c3	Оце ж ті народи, що зоставив Господь, щоб випробовувати ними Ізраїля і всїх тих, що не знали війни за Канаан,
070302008e	На те тілько, щоб навчались воюватись сини Ізрайлеві що першої війни не знали:
07030300d8	Пять князїв Филистимських, усї Канаанїї, Сидонїї й Гевії, що жили на Ливан-горах від гори Баал-Гермон до ввіходу в Емат.
07030400ef	А оставив їх на те, щоб випробувати Ізраїля і довідатись, чи слухати муть вони заповідей Господнїх, що дано батькам їх через Мойсея.
070305009c	Оце ж і жили сини Ізраїля серед Канаанїїв, Гетїїв, Аморіїв, Ферезіїв, Гевіїв і Евузіїв,
070306008b	Брали за себе їх дочки і віддавали свої дочки за їх синів, і служили їх богам.
07030700c4	І витворяли сини Ізрайлеві зло перед Господом, і забували Господа, Бога свого, і служили Баалам та Астартам.
0703080143	І запалав гнїв Господень на Ізраїля, так що він оддав їх на поталу Хузанові Русатаїмові, цареві Мезопотамїї; і були сини Ізрайлеві підневоленими Хузанові Русатаїмові вісїм год.
0703090107	І взивали тодї сини Ізрайлеві до Господа, і Господь вознїс їм спасителя і той вирятував їх, — Отониїла Кеназенка, сина меншого брата Калебового.
07030a016c	І зійшов на нього дух Господень і допоміг йому судити Ізраїля. І так виступив він у поход, і подав йому Господь на поталу Хузана Русатаїма, царя Мезопотамського, і взяв він гору над Хузаном Русатаїмом.
07030b0073	І втїшалась супокоєм земля сорок год. І вмер Отониїл Кеназенко.
07030c0151	Та сини Ізраїля знов чинили те, що було не до вподоби Господеві. Тодї дав Господь Еглонові, цареві Моабійському, перевагу над Ізраїлем; бо чинили вони те, що було не до вподоби Господеві.
07030d009f	Скупив він до себе Аморіїв та Амалекіїв, побив Ізраїля та й підневолив Пальмовий город.
07030e0097	І були Ізрайлитяне підневоленими Еглонові, цареві Моабійському, вісїмнайцять год.
07030f015d	Заквилили тодї сини Ізраїля до Господа, і Господь вознїс їм визвольника, Аода, сина Герового, сина Еминїєвого, лївака. Через нього то послали Ізрайлитяне данину Еглонові, цареві Моабійському.
07031000e2	Аод же наготовив собі меча з двома лезвами (вістрями) на лікоть завдовжки, і підперезав його собі під одежою на правому боцї.
07031100b3	От і принїс він Еглонові, цареві Моабійському, данину. Еглон же та був собі вельми пузатий чоловік.
0703120060	Віддавши данину, відослав Аод людей, що несли данину,
070313012a	Сам же вернувсь до виструганих ідолів у Галгалї і звелїв сказати Еглонові: Є в мене таємне слово до тебе, царю. Той повелїв: Тихо! і вийшли геть усї, що стояли кругом.
07031400f7	Як увійшов до нього Аод, він седїв один у прохолоднїй хатї своїй, і каже Аод: Маю Боже слово до тебе, царю! Той піднявсь із свого сїдалища.
070315008d	Тодї вхопив Аод лївою рукою меча з правого боку свого, та й уткнув йому в тїло,
07031600e0	Так що за лезвами вгрязло й держально, і жир обняв вістрє, бо не витяг він меча назад із його тїла, і він досяг задньої части.
0703170083	Вийшов тодї Аод, зачинив двері верхньої хати за собою і засунув засовом.
07031800fd	Як вийшов він, прийшли дворяне і, бачивши, що двері верхньої хати засунено, подумали: Певно він у своїй прохолоднїй хатї робить потріб свою.
07031900ec	Так ждали довго. Як же він не відчиняв усе ще дверій у верхній хатї, взяли ключа та й відомкнули, і от пан їх лежав на землї мертвий.
07031a0096	Покіль же вони гаялись, Аод утїк, пройшов мимо виструганих ідолїв і уйшов у Сеїрат.
07031b00c6	Вернувшися ж додому, ударив на Ефраїм горах у трубу, і спустились сини Ізраїля з ним із гір, а він поперед них.
07031c013b	І повелїв їм: Сюди до мене! бо подав Господь наші вороги Моабії нам на поталу. Пустились тодї вони за ним, і пооблягали Йорданьські броди до Моабу і не пускали нїкого перейти.
07031d00b6	І побили вони тодї Моабіїв до десяти тисяч душ вельми сильних і здорових людей, так що нїхто не втїк.
07031e00cc	Тодї мусїли Моабії нагнутись під руку Ізраїлеві. І було мирно в землї вісїмдесять год. Аод же судив їх до смерти.
07031f00bf	Після нього виступив Самгар; сей побив шістьсот Филистимів плуговим лемішем, і він також спасав Ізраїля.
070401008d	Сини Ізраїля робили знов те, що було не до вподоби Господеві. Аод уже був умер.
0704020105	Тодї подав Господь їх на поталу Явинові, цареві Канаанїйському, що цярював в Азорі. Гетьманив же в нього Сизара; сей жив у Гаросетї поганському.
07040300fe	Заквилили тодї Ізрайлитяне до Господа, бо в Явина було девятьсот залїзних колесниць, і він пригнїтав синів Ізраїля страшенно двайцять год.
0704040078	А під той час була суддею в Ізраїлїв Дебора пророчиця, Лапидотиха.
07040500c4	Жила ж вона під Дебора-пальмою між Рамою й Бетелем на Ефраїм-горах, і приходили сини Ізрайлеві до неї на суд.
07040601a7	І послала вона по Барака Абиноаменка з Кадеса Нефталимового, й промовила до його. Господь, Бог Ізрайлїв, повелїває тобі: Лаштуйсь у дорогу, виступай на Табор-гору і возьми з собою десять тисяч чоловіка із Нефталиміїв та з Зебулонїїв;
07040700f0	Я ж приведу до тебе Сизару, гетьмана Явинового вкупі з його колесницями й його військом до потока Кисон, і подам його тобі на поталу.
070408009a	Барак відказав: Коли пійдеш ізо мною, то й я пійду, коли ж ізо мною не пійдеш, не пійду.
0704090132	Она відказала: Пійду з тобою певно; тільки слава в сїй дорозї припаде не тобі, нї! жінцї в руки подасть Господь Сизару. І зібралась Дебора та й пійшла з Бараком до Кадеса.
07040a00ce	Скликав тодї Барак Зебулонїїв і Нафталїїв у Кадес; десять тисяч чоловіка йшло за ним слїдом, і Дебора йшла за ним.
07040b010d	Хебер же Кенеянин віддїливсь був від Кенеянів, потомків Гобаба, родича Мойсейового, і напяв був свого намета у дуброві під Заанимом, що під Кадесом.
07040c0078	Як же звіщено Сизарі, що Барак Абиноаменко виступив на Табор-гору,
07040d0108	Послав Сизара всї свої колесницї, девятьсот залїзних колесниць, і ввесь військовий люд, що мав при собі, із поганського Гаросета на Кисон-бурчак.
07040e0161	Рече тодї Дебора до Барака: Устань! бо се той день, що подав тобі Господь Сизару на поталу. Сам же Господь пійде поперед тебе. От і спустивсь Барак з Табор-гори, і десять тисяч чоловіка йшло за ним.
07040f010b	Тодї привів Господь у безлад Сизару, і всї колесницї його і все військо його перед мечами Бараковими, і зоскочив Сизара з колесницї й утїкав пішки.
07041000f3	Барак же вганяв за колесницями і за військом аж до Гаросета ідолського, і все військо Сизарине полягло від меча, не зосталось нї духа.
07041100ee	Сизара же прибіг пішки до намету Яїли, жени Хевера Кенеянина, бо між Явином, царем Азорським, а домом Хевера Кенеянина, панував мир.
070412010b	І вийшла Яїля на зустріч Сизарі та й каже йому: Увійди, пане, увійди до нас; не лякайся! І ввійшов він до неї в намет, і прикрила вона його покривалом.
07041300e2	Він же благав її: Чи не даси менї трохи води напитись? Пече мене спрага! і отворила вона молочний бурдюк і дала йому напитись.
07041400d1	І благав її: Іди до наметових дверей, і коли хто прийде й питати ме в тебе й казати ме: Чи нема кого тут? так скажи: Нї!
0704150162	Тодї Яїля Хевериха вхопила колка наметового, взяла молота, підступила до нього стиха та й убила колка йому в висок, так що прибила його до землї; він бо саме заснув. Він лежав не при собі та й умер.
070416016b	Саме тодї появився Барак, що вганяв за Сизарою. Яїля ж вийшла зустріч йому й каже: Ходи, я покажу тобі того, кого шукаєш. І як увійшов у намет, найшов Сизару мертвим там, і колок ще стирчав в виску в його.
0704170090	Так попустив тодї Господь Явинові, цареві Канаанському, впасти перед Ізраїлем.
07041800ad	І вагонїла рука Ізрайлева все важче над Явином, царем Канаанським, аж покіль они вигубили його.
070501006e	Засьпівали тодї Дебора та Барак Абиноаменко такими словами:
0705020066	Ізраїль відомщен, народ схаменувся, прославіте Господа!
070503009c	Чуйте се, царі з князями, чуйте й памятайте: Я сьпіваю, в струни граю в Господнюю славу!
070504012c	Як ійшов єси з Сеїру, Господи, з Едому, стався трус по всїй вселенній на землї й на небі; на землї все затремтїло, (небеса гучали), краплями взялися хмари, ринули водою.
070505008f	Істаялись перед Богом (віковічні) гори, й Синай великий танув од лиця Господня.
07050600fa	За Самгора Анатенка, за Яїли стало пусто по шляхах (пробойних); ті що перше прохожали прямими шляхами, обходили тоті місця хиба манівцями.
0705070097	Не стало людей по містах, в Ізраїля селах, покіль ти не встала, Деборо, Ізраїля мати!
07050800b0	Нових богів вибирали, з того й війна у воротах. А чи видїв хто щит або спис у сорока тисяч Ізраїля?
07050900bd	Я всїм серцем прихиляюсь до всїх тих гетьманів, що обстали за народом бідним Ізраїля, хвалїте ж Господа!
07050a00e5	Ви, що їздите звичайно на ослицях білих, що на келимах прилюдно судите суд право, та проходжаєтесь: по дорозї, сьпівайте пісню!
07050b00f5	Серед гомону зганяючих стада при криницях нехай лунає хвала Господу, хвала гетьманам Ізраїля, як виступив ʼд воротам народ Господень!
07050c00d4	Вставай, вставай, Деборо! Вставай, пісню засьпівай! Ти ж, Бараче, підіймайся, веди полонників твоїх, сину Абиноаменів!
07050d0084	Не многим із сильних підхилив він народ, Господь підхилив менї хоробрих.
07050e012e	І прийшли від Ефраїма ті що в Амалику вкоренились; за тобою Бенямине, серед люду твого; від Махира йшли начальники, й від Забулону люде поважнії вивели військо до бою.
07050f00dc	І князї від Іссахара вийшли з Деборою; а Іссахар так як Барак кинувся в долину пішки. Тільки у племен Рубена була незгода.
07051000cd	Ой чи довго ж вам седїти посеред вівчарень, та прислуховатись блеянню стад? Так, у племен Рубенових була незгода.
07051100c3	Галаад живе собі тихо за Йорданню, а Данові чого боятись із кораблями? А й Ассер опочиває уз морські затони.
070512009c	Забулон же (люд-одвага), душу смертї оддав він; так і Нафталїй на гори на високі знявся.
07051300b5	Повиходили до бою царі, царі Канаанські в Танаах у вод Мегидонських, та не здобули анї трохи срібла.
0705140088	Воювали з неба зорі, били на Сизару, (із доріг своїх на його) виступили боєм.
07051500c4	Той Кисон, бурчак (потужний), різко рвав і нїс їх. Поток Кедумим, потік Кисон. Жени, душе моя, сильних у ростїч!
0705160066	Ой ламалися ж у коней копита від бігу, від утечі сильних.
0705170114	Проклинайте Мероз, каже ангел Господень, прокленїть, прокленїть осадників його, що не прийшли на підмогу Господеві, на поміч Господу з сильними своїми!
