010000000c	ԾՆՆԴՈՑ
0115200181	Աբիմելէքը, նրա սենեկապետ Ոքոզաթն ու նրա զօրքերի սպարապետ Փիքողը այնտեղից վեր կացան ու վերադարձան Փղշտացւոց երկիրը: որովհետեւ նրանք երկուսով միմեանց երդում տուեցին այնտեղ. Երդման ջրհորի մօտ հաշտութիւն կնքեցին:
01152100a7	Աբրահամը Երդման ջրհորի մօտ ծառ տնկեց, այնտեղ պաշտեց Տիրոջը, նրան կոչեց Աստուած յաւիտենական:
0115220067	Աբրահամը Փղշտացւոց երկրում պանդուխտ մնաց երկար ժամանակ:
01160100cf	Այս դէպքերից յետոյ Աստուած փորձեց Աբրահամին: Նա ձայն տուեց նրան. «Աբրահա՛մ, Աբրահա՛մ»: Սա պատասխանեց. «Այստեղ եմ»:
01160200ff	Աստուած ասաց նրան. «Ա՛ռ քո միակ որդուն՝ քո սիրելի Իսահակին, գնա՛ մի բարձրադիր տեղ եւ այնտեղ՝ լերան վրայ, որ ցոյց կը տամ քեզ, ողջակիզի՛ր նրան»:
0116030166	Աբրահամն առաւօտեան վեր կացաւ, համետը դրեց իր էշի վրայ, հետը վերցրեց երկու ստրուկ ծառաներ, իր որդի Իսահակին, ողջակիզութեան համար փայտ կոտրեց եւ ճանապարհ ընկաւ, եկաւ այն տեղը, որ Աստուած ասել էր նրան:
011604007b	Երրորդ օրը Աբրահամը բարձրացրեց իր աչքերը եւ հեռուից տեսաւ այդ տեղը:
01160500f6	Աբրահամն ասաց իր ծառաներին. «Նստեցէ՛ք այստեղ՝ էշի մօտ, իսկ ես ու այս պատանին գնանք այնտեղ, երկրպագութիւն անենք ու վերադառնանք ձեզ մօտ»:
01160600dc	Աբրահամը վերցրեց ողջակիզութեան փայտը, դրեց այն իր որդի Իսահակի մէջքին, իր ձեռքն առաւ կրակն ու դանակը, եւ երկուսով գնացին:
01160700f9	Իսահակը դիմեց իր հօրը՝ Աբրահամին. «Հա՛յր»: Սա ասաց. «Ի՞նչ է, որդի՛ս»: Նա հարցրեց. «Ահա կրակը, եւ ահա փայտը, հապա ո՞ւր է ողջակիզելու ոչխարը»:
01160800ab	Սա պատասխանեց. «Աստուած կը հոգայ իր ողջակիզելու ոչխարի մասին, որդեա՛կ»: Նրանք երկուսով գնացին
0116090114	եւ հասան այն տեղը, որ նրան ցոյց էր տուել Աստուած: Աբրահամն այնտեղ զոհասեղան շինեց, վրան դրեց փայտը, իր որդի Իսահակին կապեց եւ դրեց զոհասեղանի փայտի վրայ:
01160a006d	Աբրահամը երկարեց ձեռքը, որ վերցնի դանակն ու մորթի իր որդուն:
01160b00b7	Տիրոջ հրեշտակը երկնքից ձայն տուեց նրան ու ասաց. «Աբրահա՛մ, Աբրահա՛մ»: Սա պատախանեց նրան. «Այստեղ եմ»:
01160c0123	Նա ասաց. «Ձեռք մի՛ տուր պատանուն, նրան որեւէ վնաս մի՛ պատճառիր, որովհետեւ այժմ համոզուեցի, որ դու երկիւղ ունես Աստծու նկատմամբ եւ ինձ համար չես խնայի քո որդուն»:
01160d011b	Աբրահամը բարձրացրեց իր աչքերը եւ տեսաւ, որ մացառուտ թփի մէջ եղջիւրներից մի խոյ է կախուած: Աբրահամը գնաց, առաւ խոյն ու այն ողջակիզեց իր որդի Իսահակի փոխարէն:
01160e00bb	Աբրահամն այդ վայրի անունը դրեց «Տէրը տեսաւ», եւ մինչեւ այսօր էլ ասում են՝ «Այդ լերան վրայ երեւաց Տէրը»:
01160f0077	Տիրոջ հրեշտակը երկնքից երկրորդ անգամ ձայն տալով՝ ասաց Աբրահամին.
01161000b8	«Անձովս եմ երդւում, - ասում է Տէրը, - քանի որ դու արեցիր այդ բանը՝ ինձ համար չխնայեցիր քո սիրելի որդուն,
01161100ff	անչափ պիտի օրհնեմ քեզ եւ երկնքի աստղերի, ծովեզերքի աւազի չափ պիտի բազմացնեմ քո սերունդը: Քո սերունդը պիտի տիրանայ իր թշնամիների քաղաքներին,
01161200a6	քո սերնդի շնորհիւ պիտի օրհնուեն աշխարհի բոլոր ազգերը այն բանի համար, որ անսացիր իմ ձայնին»:
01161300de	Աբրահամը վերադարձաւ իր ծառաների մօտ: Նրանք միասին ելան գնացին դէպի Երդման ջրհորը, եւ Աբրահամը բնակուեց Երդման ջրհորի մօտ:
01161400b0	Այս դէպքերից յետոյ Աբրահամին յայտնեցին, որ ահա Մեղքան եւս քո եղբայր Նաքորի համար ծնել է որդիներ՝
011615007d	անդրանիկ որդի Ովքին, նրա եղբայր Բաւին, ասորիների նախահայր Կամուէլին,
0116160059	Քասադին, Ազաւին, Փալդասին, Յետդափին եւ Բաթուէլին:
01161700bd	Եւ Բաթուէլը ծնել է Ռեբեկային: Սրանք են այն ութ որդիները, որոնց ծնեց Մեղքան Աբրահամի եղբայր Նաքորի համար:
011618008c	Նրա հարճը, որի անունը Ռեէմա էր, նա էլ ծնեց Տաբեկին, Դաամին, Տոքոսին եւ Մոքային:
0117010045	Սառան դարձաւ հարիւր քսանեօթը տարեկան:
01170200ec	Նա մեռաւ կիրճի մէջ գտնուող Արբոկ քաղաքում: Սա Քանանացիների երկրում գտնուող Քեբրոնն է: Աբրահամը եկաւ, որ ողբայ ու սգայ Սառայի մահը:
0117030082	Աբրահամը հեռացաւ իր հանգուցեալի մօտից եւ դիմելով Քետի որդիներին՝ ասաց.
01170400e2	«Ես ձեր մէջ պանդուխտ ու օտարական եմ: Արդ, որպէս սեփականութիւն ինձ մի գերեզմանի հող տուէ՛ք ձեզ մօտ, որ թաղեմ իմ հանգուցեալին»:
011705005c	Քետի որդիները պատասխան տուեցին Աբրահամին՝ ասելով.
011706015c	«Լսի՛ր մեզ, տէ՛ր: Դու մեր մէջ Աստծու նշանակած թագաւորն ես: Քո հանգուցեալին թաղի՛ր մեր լաւագոյն գերեզմաններից մէկում, որովհետեւ մեզնից ոչ մէկը չի հրաժարուի քեզ շիրիմի համար տեղ տրամադրելուց»:
0117070078	Աբրահամը ելաւ եւ գլուխ տուեց այդ երկրի ժողովրդին՝ Քետի որդիներին:
0117080104	Աբրահամը նրանց դիմելով՝ ասաց. «Եթէ դուք յօժար էք, որ իմ հանգուցեալին ես անձամբ թաղեմ, լսեցէ՛ք ինձ եւ իմ մասին բարեխօսեցէ՛ք Սահառի որդի Եփրոնին,
01170900fe	որ ինձ տայ իր ագարակի սահմաններում գտնուող զոյգ քարայրը այնքան արծաթով, որքան արժէ այն: Թող այն ձեր ներկայութեամբ ինձ տայ որպէս շիրմավայր»:
01170a0127	Եփրոնը քետացիների հետ նստած էր ժողովատեղում: Եփրոն քետացին պատասխան տուեց Աբրահամին եւ ի լուր Քետի որդիների ու բոլոր նրանց, ովքեր մտնում էին նրա քաղաքի դարպասով,
01170b0154	ասաց. «Նայի՛ր ինձ, տէ՛ր, եւ լսի՛ր ինձ: Ագարակը տալիս եմ քեզ, քեզ եմ տալիս նաեւ այնտեղ գտնուող քարայրը: Իմ բոլոր համաքաղաքացիների ներկայութեամբ այն քեզ եմ յանձնում: Թաղի՛ր քո հանգուցեալին»:
01170c004c	Աբրահամը գլուխ տուեց երկրի ժողովրդի առաջ,
01170d0145	Եփրոնի հետ խօսեց ի լուր երկրի ժողովրդի եւ ասաց. «Քանի որ անսացիր ինձ, ուրեմն լսի՛ր ինձ: Ես քեզ կը տամ ագարակի փոխարժէքը: Վերցրո՛ւ այն ինձնից, եւ ես այնտեղ կը թաղեմ իմ հանգուցեալին»:
01170e0043	Եփրոնն Աբրահամին պատասխանեց եւ ասաց.
01170f00d9	«Ո՛չ, տէ՛ր իմ, լսել եմ, որ հողամասը չորս հարիւր սատեր արծաթ արժէ: Դա ի՞նչ է որ իմ ու քո միջեւ: Դու թաղի՛ր քո հանգուցեալին»:
0117100119	Աբրահամը Եփրոնին լսելուց յետոյ կշռեց եւ նրան վճարեց չորս հարիւր սատեր արծաթը, ինչպէս խոստացել էր ի լուր Քետի որդիների, վաճառականների մօտ ընդունուած գնով:
011711014d	Եփրոնի ագարակը, որ Մամբրէի կաղնու հանդիպակաց զոյգ քարայրի մօտն էր, այսինքն՝ ագարակն ու նրա մէջ գտնուող քարայրը, ագարակի եւ նրա շրջակայքի բոլոր ծառերը դարձան Աբրահամի սեփականութիւնը,
0117120073	Քետի որդիների ներկայութեամբ, որոնք մտնում էին քաղաքի դարպասով:
011713010a	Դրանից յետոյ Աբրահամն իր կին Սառային թաղեց ագարակի զոյգ քարայրում, որ Մամբրէի կաղնու դիմաց էր գտնւում, այսինքն՝ Քեբրոնում՝ Քանանացիների երկրում:
01171400c1	Ագարակն ու նրա մէջ գտնուող քարայրը Քետի որդիների կողմից տրուեցին Աբրահամին իբրեւ նրա սեփական գերեզմանոց:
0118010083	Աբրահամը ծերացել էր, տարիքն առել: Եւ Տէրն օրհնեց Աբրահամին ըստ ամենայնի:
01180200ba	Աբրահամն ասաց իր տան աւագագոյն ծառային՝ իր ամբողջ ունեցուածքի կառավարչին. «Ձեռքդ դի՛ր իմ ազդրի տակ եւ
0118030111	քեզ երդուեցնեմ Տիրոջ՝ երկնքի Աստծու եւ երկրի Աստծու անունով, որ իմ որդի Իսահակի համար կին չես առնի քանանացիների դուստրերից (որոնց մէջ եմ բնակւում ես),
01180400af	այլ կը գնաս այն երկիրը, որտեղ ծնուել եմ, իմ տունը, եւ այնտեղից իմ որդի Իսահակի համար կին կ՚առնես»:
01180500f2	Ծառան նրան պատասխանեց. «Գուցէ կինը չցանկանայ ինձ հետ գալ այս երկիրը: Այդ դէպքում ես տանե՞մ քո որդուն այն երկիրը, որտեղ ծնուել ես դու»:
011806006c	Աբրահամն ասաց. «Զգո՛յշ եղիր, իմ որդուն այնտեղ չվերադարձնես:
01180701d7	Երկնքի Տէր Աստուածը եւ երկրի Տէր Աստուածը, որն ինձ հանեց իմ հօր տնից ու այն երկրից, ուր ծնուել եմ, որը խօսեց ինձ հետ, երդուեց ինձ ու ասաց, թէ՝ «Քո սերունդներին եմ տալու այդ երկիրը», նա իր հրեշտակին կ՚ուղարկի քո առաջ, եւ այնտեղից կին կ՚առնես իմ որդի Իսահակի համար:
01180800de	Իսկ եթէ կինը չուզենայ քեզ հետ գալ այս երկիրը, քո տուած երդումից անպարտ համարուես, միայն թէ իմ որդուն այնտեղ չվերադարձնես»:
011809008a	Աբրահամի ծառան ձեռքը դրեց իր տիրոջ ազդրի տակ եւ երդուեց նրան այդ բանի համար:
01180a00ea	Ծառան առաւ իր տիրոջ ուղտերից տասը ուղտ եւ գնաց՝ իր հետ ունենալով իր տիրոջ բոլոր բարիքներից: Նա ելաւ գնաց Միջագետք, Նաքորի քաղաքը:
01180b00ad	Երեկոյեան ուղտերին նստեցրեց քաղաքից դուրս, ջրհորի մօտ այն պահին, երբ ջրուորը դուրս է գալիս ջրի:
01180c00b6	Նա ասաց. «Իմ տէր Աբրահամի Տէր Աստուած, այսօր ինձ յաջողութիւն պարգեւի՛ր եւ ողորմի՛ր իմ տէր Աբրահամին:
01180d0098	Ահա ես ջրի աղբիւրի մօտ եմ, եւ այս քաղաքի բնակիչների դուստրերը գալիս են ջուր հանելու:
01180e01d0	Թող լինի մի կոյս, որին ասեմ՝ «Թեքի՛ր սափորդ, որ խմեմ», իսկ նա ինձ պատասխանի՝ «Խմի՛ր, քո ուղտերին էլ ջուր կը տամ, մինչեւ որ յագենան խմելուց»: Թող նրան էլ նախատեսած լինես քո ծառայ Իսահակի համար, եւ դրանով էլ իմանամ, որ բարեհաճ ես եղել իմ տէր Աբրահամի նկատմամբ»:
01180f00ff	Նա մտքում դեռ չէր վերջացրել իր խօսքը, երբ եկաւ Ռեբեկան, որը Աբրահամի եղբայր Նաքորի Մեղքա կնոջ որդի Բաթուէլի դուստրն էր: Նա ուսին սափոր ունէր:
01181000cb	Կոյսը դէմքով շատ գեղեցիկ էր, մի աղջիկ, որին դեռ տղամարդ չէր մօտեցել: Նա իջաւ աղբիւրի մօտ, լցրեց իր սափորն ու ելաւ:
0118110089	Ծառան ընդառաջ գնաց նրան ու ասաց. «Այդ սափորից ինձ մի քիչ ջո՛ւր տուր խմելու»:
0118120083	Նա պատասխանեց. «Խմի՛ր, տէ՛ր»: Նա իր սափորը փութով իջեցրեց իր թեւերի վրայ,
01181300e0	ջուր տուեց նրան, մինչեւ որ դադարեց խմելուց: Ապա աւելացրեց. «Քո ուղտերի համար էլ ջուր կը հանեմ, այնքան, որ բոլորն էլ յագենան»:
01181400cd	Նա սափորի ջուրն իսկոյն թափեց գուռի մէջ եւ նորից գնաց ջրհորը՝ ջուր հանելու: Նա նրա բոլոր ուղտերի համար ջուր հանեց:
011815009c	Մարդն ուշադիր հետեւում էր նրան ու լուռ մտածում, թէ Տէրը կը յաջողեցնի՞ իր գործը, թէ՞ ոչ:
011816010e	Երբ բոլոր ուղտերը յագեցան, մարդը նրան տուեց ոսկէ գինդեր՝ իւրաքանչիւրը մէկ դահեկանի քաշով, եւ տասը դահեկանի քաշով երկու ապարանջան դրեց նրա ձեռքերին:
01181700b3	Նա հարցրեց նրան ու ասաց. «Ու՞մ դուստրն ես դու, յայտնի՛ր ինձ, քո տանը մեզ համար իջեւանելու տեղ կա՞յ»:
011818007c	Սա պատասխանեց նրան. «Ես Մեղքայի եւ Նաքորի որդի Բաթուէլի դուստրն եմ»:
011819006e	Ապա աւելացրեց. «Յարդ ու խոտ շատ ունենք, նաեւ իջեւանելու տեղ»:
01181a004f	Մարդն ուրախացաւ, երկրպագեց Աստծուն եւ ասաց.
01181b010f	«Օրհնեալ է իմ տէր Աբրահամի Տէր Աստուածը, որ իմ տիրոջը չզրկեց իր արդարութիւնից ու ճշմարտութիւնից: Տէրն ինձ յաջողութիւն պարգեւեց իմ տիրոջ եղբօր տանը»:
01181c005d	Գնաց աղջիկն ու կատարուածի մասին պատմեց իր մօր տանը:
01181d009e	Ռեբեկան ունէր Լաբան անունով մի եղբայր: Լաբանը գնաց դուրս՝ դէպի աղբիւրը, այդ մարդու մօտ:
01181e00e6	Երբ նա տեսաւ գինդերն ու իր քրոջ ձեռքերի ապարանջանները, եւ իր քոյր Ռեբեկայից լսած լինելով, թէ՝ «Այսպէս խօսեց ինձ հետ այդ մարդը»,
01181f015f	մօտեցաւ մարդուն, որ դեռ կանգնած էր իր ուղտերի կողքին, աղբիւրի մօտ, եւ ասաց նրան. «Արի տուն մտի՛ր, Տիրոջով օրհնեալ, ինչո՞ւ ես մնացել դրսում: Ես քեզ համար տուն եւ քո ուղտերի համար տեղ եմ պատրաստել»:
0118200100	Մարդը մտաւ տուն, իսկ Լաբանը ուղտերի վրայից հանեց թամբերը: Ուղտերին յարդ ու խոտ տուեցին եւ ջուր՝ նրա ու նրա հետ եկածների ոտքերը լուալու համար:
01182100b6	Նրանց առաջ հաց դրեցին, որ ուտեն: Ծառան ասաց. «Չեմ ուտի, մինչեւ չասեմ ասելիքս»: Նրանք ասացին. «Խօսի՛ր»:
0118220037	Նա ասաց. «Ես Աբրահամի ծառան եմ:
01182300fc	Տէրը մեծապէս օրհնեց իմ տիրոջը, եւ նա մեծ մարդ դարձաւ: Աստուած նրան արջառ ու ոչխար, արծաթ ու ոսկի, ծառաներ ու աղախիններ, ուղտեր ու էշեր տուեց:
01182400d9	Սառան՝ իմ տիրոջ կինը, ծերունական հասակում գտնուող իմ տիրոջը պարգեւեց մի որդի, որին իմ տէրը յանձնեց այն ամէնը, ինչ ունէր:
01182500f8	Իմ տէրն ինձ երդուեցնելով ասաց. «Իմ որդի Իսահակի համար քանանացիների աղջիկներից կին չառնես, այն քանանացիների, որոնց երկրում ես պանդխտեցի,
011826008e	այլ կը գնաս իմ հօր տունը, իմ տոհմի մէջ եւ այնտեղից կին կը բերես իմ որդու համար»:
0118270052	Ես իմ տիրոջն ասացի. «Գուցէ կինն ինձ հետ չգայ»:
011828015a	Նա ասաց ինձ. «Իմ Տէր Աստուածը, որի հանդէպ վարուեցի այնպէս, ինչպէս հաճոյ էր նրան, քեզ հետ կ՚ուղարկի իր հրեշտակին, կը յաջողեցնի քո գործը, եւ դու իմ որդու համար կին կ՚առնես իմ ազգից ու իմ հօր տնից:
01182900d8	Ա՛յն ժամանակ դու ազատուած կը լինես իմ նզովքից: Իսկ եթէ գնաս իմ տոհմի մէջ, եւ կին չտան, ինձ տուած երդումից ազատ կը լինես»:
01182a00d8	Երբ այսօր աղբիւրի մօտ եկայ, ասացի. «Իմ տէր Աբրահամի Տէր Աստուած, եթէ յաջողեցնելու ես իմ գործը, որի համար ես այժմ եկել եմ,
01182b010c	ահա հասել եմ ջրի աղբիւրի մօտ, եւ քաղաքի մարդկանց դուստրերը գալիս են ջուր հանելու: Եւ այն կոյսը, որին ասեմ, թէ՝ ՚ Քո սափորից մի քիչ ջուր տո՛ւր խմելու»,
01182c0174	եւ նա ասի ինձ, թէ՝ ՚ Խմի՛ր, քո ուղտերի համար էլ ջուր կը հանեմ», նա էլ կը լինի այն կինը, որին նախատեսել է Տէրը իր ծառայ Իսահակի համար, որովհետեւ դրանից էլ կ՚իմանամ, որ բարեհաճ ես եղել իմ տէր Աբրահամի նկատմամբ»:
01182d011e	Դեռ իմ մտքում չէի վերջացրել իմ խօսքը, երբ իսկոյն երեւաց Ռեբեկան: Նա իր ուսին սափոր ունէր: Նա իջաւ աղբիւրը եւ ջուր հանեց: Ես ասացի նրան. «Ինձ ջուր տո՛ւր խմելու»:
01182e00ea	Նա իր ուսից փութով իջեցրեց սափորն ու ասաց. «Դու խմի՛ր, յետոյ քո ուղտերին էլ ջուր կը տամ»: Ես խմեցի, եւ նա իմ ուղտերին էլ ջուր տուեց:
01182f015f	Ես նրան հարցրի ու ասացի. «Դու ո՞ւմ դուստրն ես, ասա՛ ինձ»: Նա պատասխանեց. «Ես Մեղքայի եւ Նաքորի որդի Բաթուէլի դուստրն եմ»: Ես գինդեր դրեցի նրա ականջներին, ապարանջաններ՝ նրա ձեռքերին եւ ուրախացայ,
011830010d	երկրպագեցի Տիրոջը, օրհնեցի իմ տէր Աբրահամի Տէր Աստծուն, որ յաջողութիւն պարգեւեց իմ ազնիւ գործին՝ իմ տիրոջ եղբօր աղջկան կին առնելու նրա որդու համար:
011831007d	Արդ, եթէ իմ տիրոջ նկատմամբ շնորհ եւ արդար գործ էք անելու, ասացէ՛ք ինձ:
0118320135	Իսկ եթէ ոչ, ցո՛յց տուէք ինձ, ա՞ջ գնամ, թէ՞ ձախ»: Պատասխան տուեցին Լաբանն ու Բաթուէլը եւ ասացին. «Տէրն է այսպէս կարգադրել, մենք չենք կարող դրական կամ բացասական պատասխան տալ:
01183300b2	Ահա Ռեբեկան առաջդ կանգնած է, ա՛ռ եւ գնա՛: Նա թող լինի քո տիրոջ որդու կինը, ինչպէս կարգադրել է Տէրը»:
0118340067	Երբ Աբրահամի ծառան լսեց նրանց խօսքերը, երկրպագեց Տիրոջը:
01183500ca	Ծառան հանեց ոսկէ ու արծաթէ զարդեր եւ զգեստներ, տուեց Ռեբեկային: Նա նուէրներ տուեց նաեւ նրա եղբայրներին ու մօրը:
01183600fa	Կերան ու խմեցին նա եւ այն մարդիկ, որոնք նրա հետ էին, եւ ապա քնեցին: Առաւօտեան վեր կենալով՝ նա ասաց. «Ճանապարհեցէ՛ք ինձ, որ գնամ տիրոջս մօտ»:
01183700a2	Ռեբեկայի եղբայրներն ու մայրը ասացին. «Թող աղջիկը մեզ մօտ մնայ մի տասը օր, յետոյ թող գնայ»:
01183800c7	Ծառան ասաց նրանց. «Ինձ մի՛ պահէք, որովհետեւ Տէրը յաջողութիւն է պարգեւել իմ գործին: Թողէ՛ք որ գնամ տիրոջս մօտ»:
0118390073	Ռեբեկայի եղբայրներն ասացին. «Կանչենք աղջկան եւ նրան հարցնենք»:
01183a00a1	Նրանք կանչեցին Ռեբեկային ու հարցրին. «Կը գնա՞ս այս մարդու հետ»: Նա պատասխանեց. «Կը գնամ»:
01183b00d1	Նրանք ճանապարհեցին իրենց քոյր Ռեբեկային իր ունեցուածքով, ինչպէս նաեւ Աբրահամի ծառային ու նրանց, ովքեր նրա հետ էին:
01183c00e7	Նրանք օրհնելով Ռեբեկային՝ ասացին նրան. «Քո՛յր մեր, հազար ու բիւր դառնաս: Քո յետնորդները թող տիրանան քո թշնամիների քաղաքներին»:
01183d00db	Ռեբեկան ու իր նաժիշտները վեր կացան, նստեցին ուղտերի վրայ եւ այդ մարդու հետ ճանապարհ ընկան: Ծառան Ռեբեկային առնելով գնաց:
01183e00a6	Իսահակը եկել էր անապատ՝ Տեսիլքի ջրհորի մօտ, որովհետեւ բնակւում էր երկրի հարաւային կողմում:
01183f00b3	Իսահակը երեկոյեան ելաւ դաշտ՝ զբօսնելու: Նա իր աչքերը բարձրացնելով՝ տեսաւ, որ գալիս են տասը ուղտեր:
0118400090	Աչքերը վեր բարձրացրեց նաեւ Ռեբեկան եւ տեսաւ Իսահակին: Նա անմիջապէս իջաւ ուղտից
01184100f7	եւ հարցրեց ծառային. «Ո՞վ է այն մարդը, որ դաշտում մեզ ընդառաջ է գալիս»: Ծառան պատասխանեց. «Նա իմ տէրն է»: Ռեբեկան առաւ քողն ու գցեց իր վրայ:
011842005a	Ծառան Իսահակին պատմեց այն ամէնը, ինչ արել էր ինքը:
01184300e5	Իսահակը մտաւ իր մօր՝ Սառայի տունը, առաւ Ռեբեկային, եւ սա դարձաւ նրա կինը: Իսահակը սիրեց նրան եւ մխիթարուեց իր մօր՝ Սառայի սգից:
0119010056	Աբրահամն առաւ մի կին էլ, որի անունը Քետտուրա էր:
011902008d	Սա նրա համար ծնեց Զեմրանին, Յեկսանին, Մադանին, Մադիանին, Յեսբոկին եւ Սովիւէին:
01190300d6	Յեկսանը ծնեց Սաբային, Թեմանին եւ Դադանին: Դադանի որդիներն էին Ռագուէլը, Նաբդեէլը, Ասուրիիմը, Լատուսիիմը եւ Լովովմիմը:
01190400b4	Մադիամի որդիներն էին Գեփարը, Ափերը, Ենոքը, Աբիդան եւ Եդրագան: Սրանք բոլորը Քետտուրայի որդիներն էին:
011905005e	Աբրահամն իր ողջ ունեցուածքը տուեց իր որդի Իսահակին,
011906011c	իսկ իր հարճերի որդիներին, որոնք Աբրահամից էին, պարգեւներ տուեց եւ, քանի դեռ կենդանի էր, նրանց հեռացրեց իր որդի Իսահակի մօտից դէպի արեւելք՝ արեւելեան երկիրը:
011907004f	Աբրահամն ապրեց հարիւր եօթանասունհինգ տարի:
01190800cf	Աբրահամը հոգին աւանդեց ու մեռաւ երջանիկ ծերութեան մէջ, զառամեալ, ալեւորած տարիքում, եւ գնաց միացաւ իր նախնիներին:
01190900ae	Նրա որդիներ Իսահակն ու Իսմայէլը նրան թաղեցին քետացի Սահառի որդի Եփրոնի ագարակի զոյգ քարայրում,
01190a00f8	որը գտնւում է Մամբրէի կաղնու դիմաց: Աբրահամին ու նրա կին Սառային թաղեցին այն ագարակում ու քարայրում, որ Աբրահամը Քետի որդիներից էր գնել:
01190b00ad	Աբրահամի մահից յետոյ Աստուած օրհնեց նրա որդի Իսահակին, եւ Իսահակը բնակուեց Տեսիլքի ջրհորի մօտ:
01190c00bc	Սրանք են սերուդները Աբրահամի որդի Իսմայէլի, որին ծնեց եգիպտուհի Ագարը՝ Սառայի աղախինը, Աբրահամի համար:
01190d00be	Ահա Իսմայէլի որդիների անուններն ըստ նրանց ցեղերի. Իսմայէլի անդրանիկը՝ Նաբեոթ, ապա Կեդար, Աբդեէլ, Մաբսամ,
01190e0023	Մասմա, Իդումա, Մասէ,
01190f0041	Քոլդադ, Թեմա, Յետուր, Նափէս եւ Կեդմա:
0119100103	Սրանք են Իսմայէլի որդիները, եւ սրանք են նրանց անուններն ըստ իրենց բնակավայրերի եւ իրենց վրանների, նրանց տասներկու իշխաններն ըստ իրենց ցեղերի:
01191100ae	Իսմայէլն ապրեց հարիւր երեսունեօթը տարի: Նա հոգին աւանդեց ու մեռաւ եւ գնաց միացաւ իր նախնիներին:
0119120114	Նա բնակութիւն հաստատեց Եւիլայից մինչեւ Սուր, որը գտնւում է Եգիպտոսի դիմաց, մինչեւ Ասորեստանի սահմանները: Նա բնակուեց իր բոլոր եղբայրների դէմ յանդիման:
011913007c	Սրանք են Աբրահամի որդի Իսահակի սերունդները. Աբրահամը ծնեց Իսահակին:
01191400f5	Իսահակը քառասուն տարեկան էր, երբ ամուսնացաւ Ասորական Միջագետքում ապրող ասորի Բաթուէլի դուստր Ռեբեկայի հետ, որը ասորի Լաբանի քոյրն էր:
01191500ce	Իսահակն աղաչեց Տիրոջը իր կին Ռեբեկայի համար, որովհետեւ սա ամուլ էր: Աստուած լսեց նրան, եւ նրա կին Ռեբեկան յղիացաւ:
01191600fb	Նրա արգանդում իրար էին բախւում երեխաները: Նա ասաց. «Եթէ այսպէս էր լինելու ինձ, հապա ինչո՞ւ յղիացայ»: Եւ նա գնաց այդ մասին Տիրոջը հարցնելու:
0119170127	Տէրը նրան ասաց. «Քո արգանդում երկու ցեղ կայ, քո արգանդից երկու ժողովուրդ պիտի ծնուի: Մի ժողովուրդը միւս ժողովրդին պիտի գերիշխի, եւ աւագը կրտսերին պիտի ենթարկուի»:
0119180081	Երբ հասան նրա ծննդաբերելու օրերը, նրա որովայնում երկու երեխաներ կային:
0119190109	Անդրանիկ որդին ծնուեց բոլորովին շէկ, թաւամազ մորթով, եւ հայրը նրան կոչեց Եսաւ: Ապա Եսաւի գարշապարից բռնած ծնուեց նրա եղբայրը: Սրան էլ կոչեց Յակոբ:
01191a0082	Իսահակը վաթսուն տարեկան էր, երբ Ռեբեկան ծնեց նրանց: Մանուկները մեծացան:
01191b0089	Եսաւը հմուտ որսորդ էր եւ վայրենաբարոյ, իսկ Յակոբը մեղմաբարոյ էր ու տնակեաց:
01191c00a2	Իսահակը սիրեց Եսաւին, որովհետեւ նրա որսը կերակուր էր իր համար, իսկ Ռեբեկան սիրեց Յակոբին:
01191d007d	Յակոբը մի անգամ ապուր էր եփել, երբ Եսաւը դաշտից եկաւ քաղցից թուլացած:
01191e00d8	Եսաւն ասաց Յակոբին. «Այդ կարմրաւուն ապուրից տուր ուտեմ, որովհետեւ քաղցից թուլացած եմ» (դրա համար էլ նրան Եդոմ կոչեցին):
01191f007f	Յակոբն ասաց Եսաւին. «Կը տամ, եթէ այսօր ինձ վաճառես քո անդրանկութիւնը»:
0119200085	Եսաւը պատասխանեց. «Ես մեռնելու վրայ եմ, էլ ինչի՞ս է պէտք անդրանկութիւնը»:
01192100bf	Յակոբն ասաց նրան. «Հէնց այսօր երդուի՛ր ինձ»: Եւ նա երդուեց նրան: Եսաւն իր անդրանկութիւնը վաճառեց Յակոբին,
01192200d8	իսկ Յակոբը Եսաւին տուեց հաց ու ոսպապուր: Սա կերաւ, խմեց ու վեր կացաւ գնաց: Այսպիսով Եսաւն արհամարհեց իր անդրանկութիւնը:
011a010069	Սով եղաւ երկրում. ոչ այն սովը, որ եղել էր Աբրահամի ժամանակ:
011a020101	Իսահակը գնաց փղշտացիների արքայ Աբիմելէքի մօտ, Գերարա: Նրան երեւաց Տէրն ու ասաց. «Եգիպտոս մի՛ իջիր, այլ բնակուի՛ր այն երկրում, որտեղ ասացի քեզ.
011a030152	իբրեւ պանդուխտ ապրի՛ր այս երկրում, որ ես լինեմ քեզ հետ եւ օրհնեմ քեզ, որովհետեւ քեզ ու քո սերունդներին եմ տալու այս ողջ երկիրը: Ես հաստատ կը պահեմ այն երդումը, որ տուեցի քո հայր Աբրահամին:
011a040119	Ես բազմացնելու եմ քո սերունդները երկնքի աստղերի չափ, քո զաւակներին եմ տալու այս ամբողջ երկիրը, եւ քո սերունդների միջոցով օրհնուելու են երկրի բոլոր ազգերը
