2800000007	Matteus
2a071401de	Johanneksen oppilaat löysivät Jeesuksen sairaiden keskeltä – hän paransi rampoja ja sokeita ja ajoi ihmisistä demoneja. Kuultuaan Johanneksen esittämän kysymyksen hän vastasi: »Menkää kertomaan Johannekselle, mitä olette täällä nähneet ja kuulleet: sokeat saavat näkönsä, liikuntakyvyttömät juoksevat, lepratautisissa ei näy enää sairauden merkkiäkään, kuurot kuulevat, kuolleet herätetään eloon ja köyhät saavat kuulla Jumalan iloisen uutisen.
2a0717004d	Sanokaa Johannekselle myös:’Onnellinen se, joka ei loukkaannu minuun!’»
2a071800d8	Heidän lähdettyään Jeesus puhui ihmisille Johanneksesta. »Millainen oli se mies, jota te menitte katsomaan Juudean autiomaahan?» hän kysyi. »Heikko kuin ruohonkorsi, jonka jokainen tuulenpuuska saa taipumaan?
2a07190077	Ja oliko hän hienoissa vaatteissa? Ei! Ne, jotka elävät ylellisyydessä, eivät viihdy autiomaassa, vaan palatsissa.
2a071a004b	Entä löysittekö profeetan? Kyllä, löysitte enemmänkin kuin profeetan!
2a071b0062	Raamattu puhuu juuri hänestä:’Lähetän sanansaattajan edelläsi tekemään sinulle tietä.’
2a071c0071	Johannes on ihmisistä suurin, mutta pieninkin Jumalan valtakunnan kansalainen on kuitenkin suurempi kuin hän.»
2a071d009c	Kaikki, jotka kuulivat Johanneksen puhuvan – paatuneimmatkin – olivat Jumalan kanssa yhtä mieltä synneistään ja antoivat Johanneksen kastaa heidät.
2a071e0088	Vain fariseukset ja lainopettajat hylkäsivät suunnitelman, joka Jumalalla oli heitä varten, ja kieltäytyivät Johanneksen kasteesta.
2a071f005e	»Mitä sellaisista ihmisistä on ajateltava?» Jeesus kysyi. »Mihin oikein heitä vertaisin?
2a07200094	He ovat kuin lapsia, jotka kiukuttelevat tovereilleen:’Te ette tulleet mukaan leikkimään häitä ettekä te tulleet leikkimään hautajaisia!’
2a07210086	Johannes Kastaja paastoaa usein, eikä hän ole eläessään edes maistanut viiniä, ja te sanotte:’Hänen täytyy olla riivattu!’
2a07220099	Mutta kun minä syön ja juon, te sanotte:’Hän on syömäri ja juoppo! Sitä paitsi hän seurustelee kaikenlaisten huonomaineisten tyyppien kanssa.’
2a0723004b	Kaikki Jumalan lapset ovat kuitenkin nähneet hänen viisautensa todeksi.»
2a0724005b	Eräs fariseus pyysi Jeesusta kotiinsa syömään, ja Jeesus meni. Kun käytiin pöytään,
2a07250091	tuli sisään huono nainen, joka oli kuullut Jeesuksen olevan siellä. Hänellä oli mukanaan hieno pullo kallista, hyvältä tuoksuvaa voidetta.
2a072600d4	Nainen lysähti polvilleen Jeesuksen viereen ja itki niin, että Jeesuksen jalat kastuivat hänen kyynelistään. Nainen alkoi pyyhkiä hiuksillaan Jeesuksen jalkoja, suuteli niitä ja kaatoi niille koko voiteen.
2a072700d3	Kun talon isäntä näki, mitä tapahtui ja kuka nainen oli, hän ajatteli itsekseen, ettei Jeesus voinut olla profeetta. »Jos hän tosiaan olisi Jumalan lähettämä, hän tietäisi, millainen nainen tuo on!»
2a07280081	Tajuten, mitä mies ajatteli, Jeesus sanoi: »Simon, tahtoisin sanoa sinulle jotain.» »Ole hyvä vain, opettaja», Simon sanoi.
2a0729008d	Jeesus kertoi hänelle: »Eräs mies lainasi kahdelle ihmiselle rahaa – toiselle viidensadan päivän palkan, toiselle kymmenesosan siitä.
2a072a00b2	Kun kumpikaan heistä ei pystynyt maksamaan takaisin, hän antoi hyväntahtoisena miehenä molempien pitää rahan omanaan. Kumpi mahtoi rakastaa häntä sen jälkeen enemmän?»
2a072b0062	»Varmaankin se, joka oli ollut enemmän velkaa», Simon vastasi. »Niin varmasti», Jeesus sanoi.
2a072c00ea	Sitten hän katsoi naista ja sanoi Simonille: »Näetkö naisen, joka on tässä polvillaan? Kun tulin teille, en saanut vettä pestäkseni pölyt jaloistani, mutta hän on kastellut jalkani kyynelillään ja kuivannut ne hiuksillaan.
2a072d0073	En saanut sinulta tavanomaista tervehdyssuudelmaa, mutta hän on suudellut jalkojani siitä asti kun tulin tähän.
2a072e0077	Et voidellut päätäni oliiviöljyllä, niin kuin tapa on, mutta tämä nainen on kaatanut jaloilleni kalliin voiteen.
2a072f009b	Hän on tehnyt paljon syntiä, mutta saa kaiken anteeksi – hän on rakastanut minua paljon. Se, joka on saanut vähän anteeksi, rakastaa vain vähän.»
2a07300036	Naiselle hän sanoi vielä: »Saat syntisi anteeksi.»
2a0731007e	Muut vieraat alkoivat ajatella: »Kuka tuo mies oikein luulee olevansa, kun tuolla tavoin antaa ihmisille syntejä anteeksi?»
2a07320054	Mutta Jeesus sanoi naiselle: »Uskosi on pelastanut sinut; voit lähteä rauhassa.»
2a0801009a	Pian tämän jälkeen Jeesus lähti kahdentoista oppilaansa kanssa kiertämään kaupunkeja ja kyliä ja julistamaan, että Jumalan valtakunta oli tullut.
2a080200b2	Joukkoon liittyi myös muutamia naisia, jotka Jeesus oli vapauttanut demonien vallasta tai jotka hän oli muuten parantanut: Maria Magdaleena, jossa oli ollut seitsemän demonia,
2a0803008e	Kuusaan, kuningas Herodeksen taloudenhoitajan, vaimo Johanna, Susanna ja useita muita. He auttoivat varoillaan Jeesusta ja hänen oppilaitaan.
2a08040098	Suuri joukko ihmisiä oli eräänä päivänä kerääntynyt Jeesuksen ympärille. Monia muita oli yhä tulossa eri kaupungeista, kun hän alkoi kertoa:
2a080500a1	»Maanviljelijä meni pellolle kylvämään. Kun hän heitti siemeniä maahan, jotkut putosivat tielle ja tallautuivat, ja linnut huomasivat ne ja söivät pois.
2a08060049	Osa putosi kalliolle ohueen kasvualustaan, jossa oraat pian kuivettuivat.
2a08070059	Osa siemenistä lensi ohdakkeiden sekaan, missä hennot taimet tukehtuivat heti alkuunsa.
2a080800bd	Loput siemenet putosivat viljavaan maahan, kasvoivat hyvin ja tuottivat satakertaisen sadon.» Kerrottuaan tämän Jeesus jatkoi: »Jolla on kuulevat korvat – käyttäköön niitä nyt!»
2a08090037	Jeesuksen oppilaat kysyivät, mitä kertomus tarkoitti.
2a080a00b6	Hän vastasi: »Te saatte tietää, mitä Jumalan valtakunnan salaisuuksia nämä vertaukset sisältävät. Muut eivät niitä ymmärrä, niin kuin profeetat aikoinaan ennustivatkin.
2a080b001f	Siemen merkitsee Jumalan sanaa.
2a080c00be	Tallattu polku, jolle osa siitä putoaa, kuvaa sellaisten ihmisten sydäntä, jotka kuulevat sanoman, mutta joilta paholainen ryöstää sen ja estää niin heitä uskomasta ja pelastumasta.
2a080d011e	Kallioinen maaperä kuvaa ihmisiä, jotka ovat iloisia kuullessaan hyvän uutisen, mutta joihin Jumalan sana ei koskaan pääse juurtumaan. He tietävät, että se on totta, ja uskovat siihen hetken jollakin tavalla, mutta muiden houkutusten ilmaantuessa heidän mielenkiintonsa katoaa.
2a080e010f	Ohdakkeinen maa on kuin ihmiset, jotka kuulevat ja uskovat Jumalan sanan, mutta jotka pian menettävät uskonsa, sillä jokapäiväiset huolet ja rikkauden ja nautintojen tavoittelu tukahduttavat sen. He eivät pysty koskaan auttamaan muita sisälle Jumalan valtakuntaan.
2a080f007f	Hyvä maaperä sen sijaan kuvaa ihmisiä, jotka kuultuaan Jumalan sanaa alkavat elää sen mukaan vilpittömästi ja ehyesti.»
2a081000a9	Kerran taas Jeesus kysyi: »Oletteko kuulleet, että kukaan olisi pannut lampun palamaan ja sitten peittänyt sen, ettei valo näkyisi? Kyllä lamput pidetään esillä.
2a08110046	Kaikki, mitä on ihmisen sydämessä, paljastuu kerran samalla tavoin.
2a081200a7	Olkaa kuunnellessanne tarkkoja, sillä sellaiselle annetaan lisää, jolla jo on, mutta sellainen, jolla ei mitään ole, menettää senkin mitä luulee omistavansa.»
2a0813008d	Jeesuksen äiti ja veljet tulivat kerran tapaamaan häntä, mutta eivät päässeet väenpaljouden vuoksi sisälle taloon, jossa hän opetti.
2a0814004b	Kun Jeesukselle kerrottiin heidän olevan ulkona ja haluavan tavata hänet,
2a08150065	Jeesus vastasi: »Äitini ja veljeni ovat nämä, jotka kuulevat Jumalan sanan ja tottelevat sitä.»
2a08160064	Eräänä päivänä Jeesus ehdotti oppilailleen, että he lähtisivät veneellä yli järvenselän.
2a08170096	Matkalla Jeesus nukkui. Tuuli alkoi voimistua, ja ennen pitkää he joutuivat myrskyn kouriin. Vettä tulvi veneeseen, ja he olivat suuressa vaarassa.
2a081800af	Oppilaat herättivät hädissään Jeesuksen. »Me hukumme!» he huusivat. Jeesus sanoi silloin myrskylle: »Tyynny!» Tuuli ja aallot hiljenivät heti, ja tuli aivan tyyntä.
2a081900d0	Oppilailta hän kysyi: »Missä teidän uskonne on?» Mutta oppilaat olivat peloissaan ja hämmästyneitä. He katsoivat toisiinsa: »Kuka tämä mies oikein on, kun jopa tuuli ja aallot tottelevat häntä?»
2a081a005a	He pääsivät järven toiselle puolelle Gerasan alueelle, joka on Galileaa vastapäätä.
2a081b00a7	Jeesuksen noustessa maihin hänen luokseen tuli eräs mies, joka oli pitkään ollut pahojen henkien vallassa. Hän oli asunut hautaluolissa kodittomana ja alastomana.
2a081c00ad	Jeesuksen nähdessään mies parahti ja heittäytyi maahan hänen eteensä. »Mitä sinä minusta tahdot, Jeesus, korkeimman Jumalan Poika? Älä kiusaa minua!» mies huusi.
2a081d00e5	Jeesus oli juuri aikeissa käskeä demonia lähtemään miehestä. Paha henki oli pitänyt häntä täysin vallassaan, niin että hän oli murtanut kahleetkin, joihin hänet oli sidottu, ja juossut pakoon asumattomille seuduille.
2a081e006f	Jeesus kysyi demonilta: »Mikä on nimesi?» »Legioona», kuului vastaus, sillä miehessä oli paljon henkiä.
2a081f0036	Ne kerjäsivät, ettei Jeesus ajaisi niitä syvyyteen.
2a0820008e	Suuri sikalauma oli laitumella läheisellä vuorenrinteellä, ja demonit pyysivät, että saisivat mennä sikoihin. Jeesus antoi niille luvan.
2a08210080	Ne siirtyivät miehestä sikoihin, ja koko lauma ryntäsi äkkiä alas vuorenrinnettä, syöksyi kallion yli järveen ja hukkui.
2a08220059	Sikalauman hoitajat juoksivat kaupunkiin ja kertoivat jo matkalla kaikille tapahtuneesta.
2a082300dc	Ihmiset lähtivät paikalle nähdäkseen omin silmin, mitä oli tapahtunut. Demonien vallassa ollut mies istui nyt rauhallisena ja siistinä, vaatteet yllään, kuuntelemassa Jeesuksen puhetta. Pelko valtasi väkijoukot.
2a08240047	Silminnäkijät kuvailivat, miten mies oli vapautunut henkien vallasta.
2a0825007d	Peloissaan kaikki pyysivät Jeesusta lähtemään pois. Hän palasi veneeseen ja purjehti takaisin järven toiselle puolelle.
2a0826005b	Demoneista vapautunut mies olisi halunnut lähteä mukaan, mutta Jeesus ei ottanut häntä.
2a0827009d	»Mene kertomaan omaisillesi, mitä suurta Jumala on tehnyt sinulle», Jeesus kehotti. Mies kertoi kaikille kaupunkilaisille Jeesuksen tekemästä ihmeestä.
2a08280065	Järven toisella puolella Jeesus otettiin avosylin vastaan, sillä ihmiset olivat odottaneet häntä.
2a08290082	Juutalaisten synagogan johtaja Jairus oli odottajien joukossa. Hän heittäytyi Jeesuksen eteen ja pyysi tätä tulemaan kotiinsa,
2a082a0092	sillä hänen ainoa lapsensa, kaksitoistavuotias tyttö, oli kuolemaisillaan. Jeesus lähti hänen kanssaan, ja he tunkeutuivat ihmisjoukon läpi.
2a082b011c	Eräs nainen, joka halusi parantua, kosketti Jeesusta takaapäin. Nainen oli etsinyt kaikkialta apua verenvuototautiin, jota hän oli sairastanut kaksitoista vuotta. Koko omaisuutensa hän oli menettänyt lääkäreille. Kun hän kosketti Jeesuksen viitan reunaa, vuoto tyrehtyi heti.
2a082d0089	»Kuka minuun koski?» Jeesus kysyi. Kukaan ei tunnustanut, ja Pietari sanoi: »Opettaja, monet ihmisethän tungeksivat sinua vasten…»
2a082e0074	Jeesus vakuutti hänelle: »Joku nimenomaan kosketti minua, sillä tunsin parantavaa voimaa lähtevän itsestäni.»
2a082f00c7	Nainen alkoi vapista tajutessaan, että Jeesus tiesi, mitä hän oli tehnyt. Hän heittäytyi Jeesuksen eteen polvilleen ja kertoi, miksi oli koskettanut häntä. Hän sanoi myös parantuneensa heti.
2a08300059	»Tyttäreni, uskosi on parantanut sinut. Mene rauhassa kotiisi», Jeesus sanoi hänelle.
2a083100af	Jeesuksen vielä puhuessa tuli Jairuksen kotoa tieto, että tyttö oli kuollut. Sanantuoja kertoi tästä Jairukselle ja jatkoi: »Sinun ei kannata enää vaivata opettajaa.»
2a08320082	Mutta kuultuaan, mitä oli tapahtunut, Jeesus sanoi isälle: »Älä pelkää! Luota vain minuun, niin tyttäresi on pian terve.»
2a0833007c	Jairuksen kotona Jeesus otti vain Pietarin, Jaakobin ja Johanneksen sekä tytön vanhemmat mukaansa mennessään tytön luo.
2a08340080	Talo oli täynnä surevia ihmisiä, mutta Jeesus sanoi heille: »Lakatkaa valittamasta! Ei hän ole kuollut: hän vain nukkuu!»
2a08350059	Ihmiset alkoivat nauraa pilkallisesti, sillä kaikki tiesivät, että tyttö oli kuollut.
2a08360043	Jeesus tarttui tytön käteen ja sanoi: »Nousehan, tyttö pieni!»
2a08370060	Ja kuollut palasi elämään ja nousi heti pystyyn. »Antakaa hänelle ruokaa», Jeesus kehotti.
2a08380073	Tytön vanhemmat olivat riemuissaan, mutta Jeesus kielsi heitä kertomasta kenellekään tapahtuman yksityiskohtia.
2a09010098	Jeesus pyysi eräänä päivänä kaksitoista oppilastaan luokseen ja antoi heille vallan ajaa ihmisistä pahoja henkiä ja parantaa kaikkia sairauksia.
2a0902005d	Hän lähetti heidät kertomaan kaikille Jumalan valtakunnan tulosta ja parantamaan sairaita.
2a0903007d	»Älkää ottako mukaanne matkasauvaa, laukkua, ruokaa tai rahaa», hän neuvoi. »Älkää myöskään ottako kahta takkia.
2a09040033	Majailkaa kussakin kylässä vain yhdessä talossa.
2a09050090	Jos jonkin kaupungin asukkaat eivät halua kuunnella teitä, lähtekää sieltä ja karistakaa pölyt jaloistanne osoituksena Jumalan vihasta.»
2a0906004c	He alkoivat kiertää kylissä, kertoa hyvää uutista ja parantaa sairaita.
2a090700bb	Galilean hallitsija Herodes ei tiennyt mitä ajatella, kun tiedot Jeesuksen tekemistä ihmeistä kantautuivat hänen korviinsa. Jotkut sanoivat: »Johannes Kastaja on herännyt henkiin»,
2a0908009a	ja jotkut muut väittivät: »Elia on tullut takaisin tai joku toinen vanhan ajan profeetta noussut haudasta.» Tällaiset huhut kiertelivät koko maassa.
2a090900a4	»Minähän annoin tappaa Johanneksen», Herodes sanoi. »Kuka oikein on tämä mies, josta kuulen kummallisia huhuja?» Hän yritti päästä näkemään Jeesusta.
2a090a009f	Kun apostolit olivat palanneet kierrokseltaan Jeesuksen luo ja kertoneet, mitä olivat tehneet, he vetäytyivät kaikessa hiljaisuudessa Beetsaidan kaupunkiin.
2a090b0092	Mutta väkijoukot huomasivat sen ja lähtivät perässä. Jeesus otti ihmiset vastaan, puhui heille taas Jumalan valtakunnasta ja paransi sairaat.
2a090c0100	Illan suussa Jeesuksen kaksitoista oppilasta tulivat hänen luokseen ja pyysivät, että hän lähettäisi ihmiset lähiseudun kyliin ja maataloihin syömään ja yöpymään. »Eihän tässä asumattomassa maankolkassa mistään ruokaa saa», he sanoivat.
2a090d00c0	Mutta Jeesus vastasi: »Antakaa te heille syötävää!» »Me? Meillä on vain viisi leipää ja kaksi kalaa», he sanoivat. »Et kai odota, että lähtisimme ostamaan ruokaa koko joukolle?»
2a090e007f	Paikalla oli noin viisituhatta miestä. »Käskekää ihmisten istua maahan noin viidenkymmenen hengen ryhmiin», Jeesus sanoi.
2a090f0017	Oppilaat tekivät niin.
2a091000ab	Jeesus otti ne viisi leipää ja kaksi kalaa, katsoi taivaalle ja siunasi ne. Sitten hän mursi leivistä ja kaloista oppilailleen paloja, joita nämä jakoivat ihmisille.
2a09110063	Jokainen söi tarpeekseen, ja lopuksi kerättiin vielä kaksitoista täyttä korillista tähteitä.
2a09120088	Jeesus tuli eräänä päivänä oppilaidensa luo rukoiltuaan lähistöllä yksinään ja kysyi: »Kuka minä ihmisten mielestä olen?»
2a09130068	»Johannes Kastaja tai Elia tai joku entisajan profeetta, joka on herännyt kuolleista», he vastasivat.
2a09140082	Sitten hän kysyi: »Kuka minä sitten teidän mielestänne olen?» Pietari vastasi: »Messias – Jumalan lähettämä Kristus!»
2a09150045	Jeesus pyysi vakavasti, että he eivät kertoisi sitä kenellekään.
2a091600e0	»Minun on kärsittävä paljon», hän sanoi. »Juutalaisten johtajat – kansan vanhimmat, ylipapit ja lainopettajat – torjuvat minut, ja sitten minut surmataan, mutta kolme päivää myöhemmin virkoan jälleen eloon.»
2a091700ae	Hän sanoi kaikille: »Jokaisen, joka haluaa seurata minua, on luovuttava omista mieliteoistaan ja mukavuudestaan, otettava joka päivä ristinsä ja pysyttävä lähelläni.
2a0918007b	Jokainen, joka menettää minun tähteni elämänsä, pelastaa sen, mutta joka pitää elämästään kiinni, kadottaa sen.
2a0919006b	Mitä hyötyä siitä on, jos ihminen voittaa omakseen vaikka koko maailman, mutta samalla tuhoaa itsensä?
2a091a0084	Kun kerran palaan kirkkaudessani ja Isäni ja pyhien enkelien kirkkaudessa, häpeän jokaista, joka nyt häpeää minua ja sanojani.
2a091b006e	Tosiasia on, että jotkut teistä tässä seisovista eivät kuole, ennen kuin näkevät Jumalan valtakunnan.»
2a091c006b	Kahdeksan päivää myöhemmin Jeesus lähti Pietarin, Jaakobin ja Johanneksen kanssa vuorelle rukoilemaan.
2a091d0067	Kun hän rukoili, hänen kasvonsa alkoivat säteillä ja vaatteensa tulivat häikäisevän valkoisiksi.
2a091e0069	Hänen viereensä ilmestyi kaksi miestä, Mooses ja Elia, jotka rupesivat keskustelemaan hänen kanssaan.
2a091f007f	Hekin säteilivät kirkkautta. Miehet puhuivat Jeesuksen kuolemasta, joka tapahtuisi Jerusalemissa Jumalan suunnitelman mukaan.
2a092000aa	Pietari ja toiset kaksi olivat väsyneinä nukahtaneet. Nyt he säpsähtivät hereille ja näkivät Jeesuksen kaikessa loistossaan ja hänen vierellään seisovat miehet.
2a092100d8	Kun Mooses ja Elia olivat lähdössä, tokaisi hämmentynyt Pietari tajuamatta oikein mitä sanoi: »Opettaja, tämä on ihmeellistä! Rakennetaan tänne kolme majaa: yksi sinulle, yksi Moosekselle ja yksi Elialle!»
2a09220096	Hän ei ollut vielä lopettanut lausetta, kun heidän yläpuolelleen muodostui kirkas pilvi. Kun se peitti heidät sisäänsä, he olivat kauhuissaan,
2a0923006a	mutta pilvestä kuuluikin ääni: »Tämä on minun Poikani, jonka olen valinnut – kuunnelkaa häntä.»
2a0924008a	Äänen vaietessa oppilaat eivät nähneet paikalla enää muita kuin Jeesuksen. Vasta paljon myöhemmin he kertoivat tapahtumasta muille.
2a0925005f	Suunnaton ihmispaljous oli heitä vastassa, kun he seuraavana päivänä laskeutuivat vuorelta.
2a0926004f	Eräs mies huusi väkijoukon keskeltä: »Opettaja, täällä on ainoa poikani.
2a0927009c	Paha henki hyökkää usein hänen kimppuunsa, niin että hän alkaa kirkua, häntä kouristaa ja vaahtoa valuu hänen suustaan. Se toistuu vähän väliä.
2a09280053	Olen pyytänyt oppilaitasi ajamaan hengen pois, mutta he eivät pystyneet siihen.»
2a09290095	»Voi teitä jäykkäniskaisia ja epäuskoisia ihmisiä», Jeesus sanoi oppilailleen. »Miten kauan minun on kestettävä teitä? Tuo poika tänne!»
2a092a00b5	Kun poika oli tulossa, demoni iski hänet maahan, ja häntä alkoi pahasti kouristaa. Mutta Jeesus käski demonia lähtemään, paransi pojan ja ohjasi hänet takaisin isänsä luo.
2a092b00af	Pelko ja kunnioitus valtasi ihmiset, kun he näkivät tämän osoituksen Jumalan voimasta. Heidän hämmästellessään ihmeitä, joita Jeesus teki, tämä sanoi oppilailleen:
2a092c005f	»Kuulkaa, mitä minä sanon, ja painakaa mieleenne: ihmiset pettävät minut, Ihmisen Pojan.»
2a092d005e	Mutta oppilaat eivät tajunneet, mitä hän tarkoitti, eivätkä uskaltaneet kysyä häneltä.
2a092e0030	He alkoivat väitellä, kuka heistä oli suurin.
2a092f004c	Jeesus tiesi, mitä he ajattelivat, talutti pienen lapsen heidän viereensä
2a093000f5	ja sanoi: »Joka ottaa huolehtiakseen tällaisesta pienestä lapsesta, ottaa vastaan minut. Ja jokainen, joka avaa sydämensä minulle, avaa sen myös Jumalalle, joka lähetti minut. Suuruutenne mitataan sillä, miten pidätte huolta toisista.»
2a093100c1	Sitten Johannes, yksi oppilaista, tuli sanomaan hänelle: »Opettaja, näimme jonkun ajavan sinun nimessäsi ulos pahoja henkiä ja kielsimme häntä, koska hän ei kuulu meidän ryhmäämme.»
2a0932006f	Jeesus sanoi: »Sitä teidän ei olisi tarvinnut tehdä. Jos joku ei ole teitä vastaan, hän on puolellanne.»
2a09330078	Kun Jeesuksen taivaaseen palaamisen aika lähestyi, hän alkoi määrätietoisesti suunnata kulkuaan Jerusalemiin päin.
2a0934006d	Eräänä päivänä hän lähetti miehiä edellään varaamaan heille majapaikkaa samarialaisesta kylästä.
2a09350092	Miehet käännytettiin takaisin. Kyläläiset eivät halunneet olla missään tekemisissä heidän kanssaan, koska he olivat menossa Jerusalemiin.
2a093600ac	Kun tieto tapahtuneesta tuli oppilaiden korviin, Jaakob ja Johannes sanoivat Jeesukselle: »Opettaja, käskemmekö tulen iskeä taivaasta alas ja polttaa heidät poroksi?»
2a0937001d	Jeesus moitti heitä tästä,
2a0938002b	ja he jatkoivat matkaansa toiseen kylään.
2a0939005b	Heidän kulkiessaan tuli joku sanomaan Jeesukselle: »Haluan seurata sinua mihin tahansa.»
2a093a00c5	Mutta Jeesus vastasi: »Muista, ettei minulle ole paikkaa, mihin painaisin pääni. Ketuilla on luolat ja linnuilla pesät, mutta minulla, joka olen tullut taivaasta, ei ole kotia maan päällä.»
2a093b0080	Eräälle miehelle Jeesus sanoi: »Tule minun oppilaakseni.» Mies vastasi: »Minun pitäisi ensin hoitaa eräs tärkeä asia.»
2a093c00af	Jeesus sanoi: »Anna niiden, joilla ei ole ikuista elämää, murehtia tämän maailman asioista. Sinun tehtäväsi on julistaa Jumalan valtakunnan tuloa kaikille ihmisille.»
2a093d006c	Vielä joku sanoi: »Minä tulen mukaasi, Herra, mutta saanhan ensin käydä puhumassa vanhempieni kanssa.»
2a093e008f	Hänelle Jeesus vastasi: »Joka ryhtyy Jumalan valtakunnan työhön, mutta hajottaa voimansa kaikkeen muuhun, ei sovi saamaansa tehtävään.»
2a0a010092	Herra valitsi seitsemänkymmentä muuta oppilasta ja lähetti heidät pareittain kaikkiin kaupunkeihin ja kyliin, joissa aikoi myöhemmin käydä.
2a0a02009b	Hän antoi heille ohjeita: »Satoa on paljon, mutta korjaajia vähän. Pyytäkää Herraa, joka sadon omistaa, antamaan avuksenne lisää työntekijöitä.
2a0a030040	Muistakaa, että lähetän teidät kuin lampaat susien keskelle.
2a0a04008c	Älkää ottako mukaanne rahaa tai laukkua, älkää edes ylimääräisiä kenkiä. Älkää antako vastaantulijoiden viivyttää itseänne.
2a0a050028	Siunatkaa jokaista kotia, johon menette.
2a0a06006a	Jos se on siunauksen arvoinen, siunauksenne jää sinne – muussa tapauksessa se palaa teille itsellenne.
2a0a0700d6	Kylään tullessanne älkää muuttako talosta toiseen, vaan pysykää yhdessä paikassa ja syökää ja juokaa mitä saatte. Älkää epäröikö nauttia vieraanvaraisuutta, sillä työmies on ansainnut palkkansa.
2a0a0800bc	Kun teidät otetaan kaupungissa vastaan, muistakaa nämä neuvot: syötte, mitä teille tarjotaan, ja parannatte sairaat. Kertokaa samalla, että Jumalan valtakunta on nyt hyvin lähellä.
2a0a0a004b	Jos teitä ei huolita johonkin kaupunkiin, menkää kadulle ja ilmoittakaa:
2a0a0b0086	’Karistamme kaupunkinne pölytkin jaloistamme. Muistakaa aina, miten lähellä Jumalan valtakuntaa olitte. Vastuu on nyt teidän.’
2a0a0c0081	Tuomiopäivä on jopa pahuudestaan kuuluisalle Sodomalle helpompi kuin sellaiselle kaupungille. Voi teitä, Korasin ja Beetsaida!
2a0a0d00f0	Mitkä kauhut teitä odottavat! Jos olisin tehnyt Tyyrossa ja Siidonissa ne ihmeet, jotka tein teidän nähtenne, niiden asukkaat olisivat ajat sitten katuneet katkerasti, pukeutuneet säkkiin, ripotelleet tuhkaa päälleen ja kääntyneet.
2a0a0e0042	Tyyrolla ja Siidonilla on tuomiopäivänä helpompaa kuin teillä.
2a0a0f006d	Entä miten käy Kapernaumin asukkaiden? Pääsettekö te taivaaseen? Ei, kadotukseen teidän on mentävä.»
2a0a1000dd	Sitten hän sanoi oppilailleen: »Ne, jotka ottavat vastaan teidät, ottavat vastaan minut. Jotka torjuvat teidät, torjuvat minut. Ja ne, jotka eivät välitä minusta, hylkäävät Jumalan, joka on lähettänyt minut.»
2a0a11009b	Kun ne seitsemänkymmentä matkaan lähetettyä tulivat takaisin, he kertoivat iloisina: »Jopa demonit tottelevat meitä, kun käytämme sinun nimeäsi.»
2a0a12004d	»Näin, miten saatana putosi taivaasta kuin salaman leimaus», Jeesus sanoi.
2a0a1300b3	»Olen antanut teille vallan kaikkea vihollisen voimaa vastaan. Voitte kävellä käärmeiden ja skorpionien keskellä ja murskata ne jalkoihinne vanhingoittumatta itse mistään.
2a0a140083	Tärkeintä ei kuitenkaan ole se, että pahat henget tottelevat teitä, vaan se, että teidät on merkitty taivaan kansalaisiksi.»
2a0a150106	Pyhän Hengen ilo täytti hänet ja hän sanoi: »Kiitos Isä, taivaan ja maan Herra, ettet ole paljastanut salaisuuksiasi maailman mielestä viisaille, vaan niille, jotka uskovat kuin pieni lapsi. Niin, kiitos Isä siitä, että olet tämän näin suunnitellut.
2a0a1600a9	Olen kaikessa Isäni edustaja maan päällä, ja vain Isä tuntee Pojan todella. Isää taas ei tunne kukaan muu kuin Poika ja ne, joille tämä haluaa ilmaista Isän.»
2a0a170074	Sitten hän sanoi hiljaa lähimmille oppilailleen: »Teillä on ollut erityinen etuoikeus nähdä nämä tapahtumat.
2a0a18007d	Monet vanhan ajan profeetat ja kuninkaat olisivat halunneet elää tänä aikana nähdäkseen ja kuullakseen saman kuin te.»
2a0a1900ae	Eräs Mooseksen lain erikoistuntija tuli koettelemaan Jeesuksen oikeaoppisuutta kysymällä: »Opettaja, mitä ihmisen on tehtävä, että saisi ikuisen elämän taivaassa?»
2a0a1a0031	Jeesus vastasi: »Mitä Mooseksen laki käskee?»
2a0a1b00d6	»Sen mukaan meidän on rakastettava Herraa, Jumalaamme, sydämen pohjasta, kaikin voimin, koko olemuksellamme ja järjellämme», mies vastasi. »Meidän on myös rakastettava muita ihmisiä niin kuin itseämme.»
2a0a1c003b	»Oikein!» Jeesus sanoi. »Saat elämän, kun teet niin.»
2a0a1d009b	Mies halusi puolustella sitä, ettei osoittanut rakkautta kaikille ihmisille ja kysyi: »Kuka sitten on minun lähimmäiseni, jota minun on rakastettava?»
2a0a1e00ee	Vastaukseksi Jeesus kertoi vertauksen: »Maantierosvot hyökkäsivät erään juutalaisen kimppuun, joka oli matkalla Jerusalemista Jerikoon. He ryöstivät hänet putipuhtaaksi, löivät verille ja jättivät puolikuolleena tien viereen.
2a0a1f0084	Sattumalta eräs juutalainen pappi kulki siitä ohi. Nähdessään miehen hän väisti toiselle puolelle tietä ja jatkoi matkaansa.
2a0a200045	Samoin ohikulkeva temppelin virkailija jätti hänet sinne makaamaan.
2a0a21004b	Sitten paikalle osui halveksittu samarialainen, jonka tuli miestä sääli.
2a0a2200ac	Hän meni ryöstetyn luo ja lääkitsi ja sitoi tämän haavat. Sitten hän nosti miehen aasinsa selkään ja talutti sen majataloon. Siellä hän hoiti sairasta koko yön.
