0100000008	Genesisi
041f350038	Murwi mumwe nomumwe akanga azvitorera zvake zvakapambwa.
041f3600bf	Mozisi naEreazari muprista vakagamuchira goridhe rakabva kuvatungamiri vezviuru nokuvatungamiri vamazana vakariisa muTende Rokusangana kuti chive chirangaridzo chavaIsraeri pamberi paJehovha.
0420010090	VaRubheni navaGadhi, vakanga vane mombe zhinji uye namakwai akawanda kwazvo, vakaona nyika yaJazeri neGireadhi kuti yakanga yakanakira zvipfuwo.
042002004e	Saka vakauya kuna Mozisi naEreazari muprista nokuvatungamiri veungano, vakati,
0420030052	“Ataroti, Dhibhoni, Jazeri, Nimira, Heshibhoni, Ereare, Sebhami, Nebho neBheoni,
042004006e	nyika yakakundwa naJehovha pamberi pavanhu vaIsraeri, yakanakira zvipfuwo, uye varanda venyu vane zvipfuwo.”
0420050076	Vakati, “Kana tawana nyasha pamberi penyu, nyika iyi ngaipiwe kuvaranda venyu ive yedu. Musatiyambutsa Jorodhani.”
042006006e	Mozisi akati kuvaGadhi nokuvaRubheni, “Ko, vanhu venyika yokwenyu vangaenda kuhondo imi makagara henyu pano?
042007005a	Ko, munoodzerei mwoyo yavaIsraeri kuti vasayambuka vachienda kunyika yavakapiwa naJehovha?
0420080064	Izvi ndizvo zvakaitwa namadzibaba enyu pandakavatuma kubva paKadheshi Bharinea kuti vandosora nyika.
042009008f	Shure kwokukwira kwavo kuMupata weEshikori vakandoona nyika, vakaodza mwoyo yavaIsraeri kuti varege kupinda munyika yavakanga vapiwa naJehovha.
04200a0041	Kutsamwa kwaJehovha kwakamutswa nomusi uyo uye akapika mhiko iyi:
04200b00d4	‘Nokuda kwokuti havana kunditevera nomwoyo wose, hakuna mumwe wavo ane makore makumi maviri kana anodarika akabuda munyika yeIjipiti achaona nyika yandakanga ndavimbisa nemhiko kuna Abhurahama, Isaka naJakobho,
04200c0087	hakuna mumwe wavo kunze kwaKarebhu mwanakomana waJefune muKenizi naJoshua mwanakomana waNuni nokuti vakatevera Jehovha nomwoyo wose.’
04200d00ad	Kutsamwa kwaJehovha kwakapfuta pamusoro pavaIsraeri akavaita kuti vadzungaire murenje kwamakore makumi mana, kusvikira zera rose ravaya vakaita zvakaipa pamberi pake rapera.
04200e008f	“Hezvino muri pano, imi chibereko chavatadzi, mumire panzvimbo yamadzibaba enyu muchiwedzera kutsamwa kwaJehovha kukuru pamusoro pavaIsraeri.
04200f006f	Kana mukatsauka pakumutevera, achasiyazve vanhu ava vose murenje, uye imi ndimi muchauyisa kuparadzwa kwavo.”
042010006b	Ipapo vakakwira kwaari vakati, “Tinoda kuvaka matanga ezvipfuwo zvedu kuno namaguta avakadzi vedu navana.
04201100c6	Asi takagadzirira kurwa nokuenda mberi navaIsraeri kusvikira tavasvitsa kunzvimbo yavo. Pari zvino vakadzi vedu navana vedu vachagara mumaguta akakomberedzwa, kuti vadzivirirwe pavagari venyika ino.
042012004b	Hatizodzokeri kumisha yedu kusvikira vaIsraeri vose vagamuchira nhaka yavo.
042013007d	Hatizogamuchiri nhaka ipi zvayo pamwe chete navo mhiri kweJorodhani, nokuti nhaka yedu tava nayo kumabvazuva kweJorodhani.”
0420140078	Ipapo Mozisi akati kwavari, “Kana mukaita izvi, kana mukazvishongedza nhumbi dzokurwa pamberi paJehovha kuti mundorwa,
0420150087	uye kana imi mose mukaenda makashonga nhumbi dzokurwa mhiri kwaJorodhani pamberi paJehovha kusvikira adzinga vavengi vake pamberi pake,
04201600bb	ipapo kana nyika ichinge yakundwa pamberi paJehovha, mungadzokera henyu uye musununguke pabasa renyu pamberi paJehovha napamberi pavaIsraeri. Uye nyika iyi ichava yenyu pamberi paJehovha.
042017006a	“Asi kana mukakoniwa kuita izvi, muchange matadzira Jehovha; uye zvirokwazvo chivi chenyu chichakuwanai.
042018005a	Vakai maguta avakadzi navana venyu, uye matanga amakwai enyu, asi muite zvamakavimbisa.”
042019005f	VaGadhi navaRubheni vakati kuna Mozisi, “Isu varanda venyu tichaita sezvarayirwa naishe wedu.
04201a0056	Vana vedu navakadzi vedu, makwai edu nemombe dzedu zvichasara kuno mumaguta eGireadhi.
04201b007d	Asi varanda venyu, varume vose vakazvigadzirira kundorwa, vachayambuka kundorwa pamberi paJehovha sezvataurwa naishe wedu.”
04201c0086	Ipapo Mozisi akarayira pamusoro pavo kuna Ereazari muprista nokuna Joshua mwanakomana waNuni nokuvakuru vemhuri dzamarudzi avaIsraeri.
04201d00d2	Akati kwavari, “Kana vaGadhi navaRubheni, murume mumwe nomumwe akazvigadzirira kundorwa, vakayambuka Jorodhani nemi pamberi paJehovha, ipapo kana nyika ikakundwa pamberi pako, uvape nyika yeGireadhi ive yavo.
04201e006b	Asi kana vakasayambuka nemi vakashonga zvokurwa, vanofanira kupiwa nhaka yavo pamwe chete nemi muKenani.”
04201f0055	VaGadhi navaRubheni vakapindura vakati, “Varanda venyu vachaita zvarehwa naJehovha.
0420200093	Tichayambuka mhiri pamberi paJehovha tigopinda muKenani, takashonga nhumbi dzokurwa nadzo, asi nhaka yatichawana ichava kudivi rino reJorodhani.”
04202100d8	Ipapo Mozisi akapa kuvaGadhi, navaRubheni nehafu yorudzi rwaManase, mwanakomana waJosefa, umambo hwaSihoni mambo wavaAmori noumambo hwaOgi mambo weBhashani, nyika yose namaguta ayo uye nenyika dzose dzakavapoteredza.
042022002b	VaGadhi vakavaka Dhibhoni, Ataroti, Aroeri,
0420230023	Ataroti Shafani, Jazeri, Jogubheha,
0420240056	Bheti Nimura neBheti Harani samaguta akakomberedzwa, uye vakavaka matanga amakwai avo.
042025003a	Uye vaRubheni vakavakazve Heshibhoni, Ereare Kiriatihaimi,
0420260069	pamwe chete neNebho neBhaari Meoni (mazita aya akashandurwa) neSibhima. Vakapa mazita kumaguta avakavaka.
042027006e	Zvizvarwa zvaMakiri mwanakomana waManase zvakaenda kuGireadhi, zvikaritapa zvikadzinga vaAmori vakanga varimo.
042028004f	Saka Mozisi akapa Gireadhi kuvaMakiri, zvizvarwa zvaManase, ivo vakagara ikoko.
042029004f	Jairi, chizvarwa chaManase, akakunda misha yaro akaitumidza kuti Havhoti Jairi.
04202a0057	Uye Nobha akakunda Kenati nenzvimbo dzakaripoteredza akaritumidza kuti Nobha zita rake.
042101006e	Hezvino zvinhanho zvorwendo rwavaIsraeri pavakabuda muIjipiti namapoka avo vachitungamirirwa naMozisi naAroni.
0421020057	Mozisi akanyora zvinhanho zvorwendo rwavo. Urwu ndirwo rwendo rwavo nezvinhanho zvarwo:
04210300a1	VaIsraeri vakasimuka kubva paRamesesi nezuva regumi namashanu romwedzi wokutanga, zuva rakatevera Pasika. Vakafamba vakabuda vasingatyi pamberi pavaIjipita vose,
0421040079	avo vakanga vachiviga matangwe avo ose, akanga aurayiwa naJehovha pakati pavo; nokuti Jehovha akanga atonga vamwari vavo.
042105003f	VaIsraeri vakabva paRamesesi vakandodzika misasa yavo paSukoti.
0421060044	Vakabva paSukoti vakandodzika misasa yavo paEtamu, mujinga megwenga.
0421070080	Vakabva paEtamu, vakadzokera shure kuPi Hahiroti, nechokumabvazuva kweBhaari Zefoni, vakandodzika misasa yavo pedyo neMigidhori.
0421080087	Vakabva paPi Hahiroti vakapinda nomugungwa vakaenda murenje, uye vakati vafamba mazuva matatu murenje reEtami, vakadzika misasa paMara.
0421090082	Vakabva paMara vakaenda kuErimu, pakanga pane matsime gumi namaviri nemiti yemichindwe makumi manomwe, uye vakadzika misasa ipapo.
04210a0034	Vakabva paErimu vakandodzika misasa paGungwa Dzvuku.
04210b003c	Vakabva paGungwa Dzvuku vakandodzika misasa muGwenga reSini.
04210c0036	Vakabva muGwenga reSini vakandodzika misasa paDhofika.
04210d002f	Vakabva paDhofika vakandodzika misasa paArushi.
04210e005e	Vakabva paArushi vakandodzika misasa paRefidhimu, apo pakanga pasina mvura yokuti vanhu vanwe.
04210f0039	Vakabva paRefidhimu vakandodzika misasa muGwenga reSinai.
0421100042	Vakabva muGwenga reSinai vakandodzika misasa paKibhuroti Hataavha.
042111003c	Vakabva paKibhuroti Hataavha vakandodzika misasa paHazeroti.
0421120030	Vakabva paHazeroti vakandodzika misasa paRitima.
0421130035	Vakabva paRitima vakandodzika misasa paRimoni Perezi.
0421140036	Vakabva paRimoni Perezi vakandodzika misasa paRibhina.
042115002d	Vakabva paRibhina vakandodzika misasa paRisa.
042116002e	Vakabva paRisa vakandodzika misasa paKeherata.
0421170038	Vakabva paKeherata vakandodzika misasa paGomo reSheferi.
0421180037	Vakabva paGomo reSheferi vakandodzika misasa paHaradha.
0421190031	Vakabva paHaradha vakandodzika misasa paMakeroti.
04211a0030	Vakabva paMakeroti vakandodzika misasa paTahati.
04211b002c	Vakabva paTahati vakandodzika misasa paTera.
04211c002c	Vakabva paTera vakandodzika misasa paMitika.
04211d0031	Vakabva paMitika vakandodzika misasa paHashimona.
04211e0033	Vakabva paHashimona vakandodzika misasa paMoseroti.
04211f0037	Vakabva paMoseroti vakandodzika misasa paBhene Jaakani.
0421200040	Vakabva paBhene Jaakani vakandodzika misasa paHori Hagidhigadhi.
042121003c	Vakabva paHori Hagidhigadhi vakandodzika misasa paJotibhata.
0421220033	Vakabva paJotibhata vakandodzika misasa paAbhurona.
0421230038	Vakabva paAbhurona vakandodzika misasa paEzioni Gebheri.
0421240048	Vakabva paEzioni Gebheri vakandodzika misasa paKadheshi, murenje reZini.
0421250049	Vakabva paKadheshi vakandodzika misasa paGomo reHori, kumuganhu weEdhomu.
04212600b2	Aroni muprista akakwira muGomo reHori sezvakarayirwa naJehovha, akandofira imomo pazuva rokutanga romwedzi wechishanu wegore ramakumi mana shure kwokubuda kwavaIsraeri muIjipiti.
0421270053	Aroni akanga ava namakore zana namakumi maviri namatatu pakufa kwake paGomo reHori.
0421280057	Mambo weAradhi muKenani, aigara kuNegevhi kweKenani, akanzwa kuti vaIsraeri vari kuuya.
0421290035	Vakabva kuGomo reHori vakandodzika misasa paZarimona.
04212a0030	Vakabva paZarimona vakandodzika misasa paPunoni.
04212b002e	Vakabva paPunoni vakandodzika misasa paObhoti.
04212c0048	Vakabva paObhoti vakandodzika misasa paIye Abharimi, pamuganhu weMoabhu.
04212d0035	Vakabva paIyimi vakandodzika misasa paDhibhoni Gadhi.
04212e0045	Vakabva paDhibhoni Gadhi vakandodzika misasa paArimoni Dhibhurataimi.
04212f0056	Vakabva paArimoni Dhibhurataimi vakandodzika misasa mumakomo eAbharimi, pedyo neNebho.
0421300063	Vakabva pamakomo eAbharimi vakandodzika misasa pamapani eMoabhu pedyo neJorodhani uchibva kuJeriko.
0421310071	Pamapani eMoabhu ipapo vakadzika misasa vakatevedza Jorodhani kubva kuBheti Jeshimoti kusvikira kuAbheri Shitimu.
042132004f	Pamapani eMoabhu pedyo neJorodhani uchibva kuJeriko, Jehovha akati kuna Mozisi,
042133004f	“Taura kuvaIsraeri uti kwavari: ‘Kana mayambuka Jorodhani mapinda muKenani,
04213400aa	mudzinge vose vanogara munyika imomo pamberi penyu. Muparadze zvifananidzo zvavo zvose zvakavezwa nezvifananidzo zvavo zvakaumbwa, uye muputse nzvimbo dzose dzakakwirira.
0421350044	Mutore nyika iyo mugaremo, nokuti ndakupai nyika iyi kuti ive yenyu.
04213600e1	Mugovere nyika nomujenya, maererano nemhuri dzenyu. Mupe vakawanda nhaka huru, uye vashoma muvapewo nhaka duku. Zvose zvichawira kwavari nomujenya zvinofanira kuva zvavo. Muigove zviri maererano namarudzi amadzitateguru enyu.
04213700a2	“‘Asi kana mukasadzinga vagere munyika iyi, vamunotendera kusara ivavo vachava rukato pamberi penyu neminzwa pamativi enyu. Vachakutambudzai munyika mamugere.
042138003b	Ipapo ndichakuitirai imi zvandakaronga kuvaitira ivo.’”
042201001a	Jehovha akati kuna Mozisi,
0422020073	“Rayira vaIsraeri uti kwavari: ‘Kana mapinda muKenani, nyika ichagoverwa kwamuri senhaka, ichava nemiganhu iyi:
04220300b5	“‘Rutivi rwenyu rwezasi ruchasanganisira chikamu cheGwenga reZini chinotevedzana nomuganhu weEdhomu. Muganhu wenyu wezasi, uchatangira kumagumo eGungwa roMunyu nechokumabvazuva,
042204009c	uchiyambukira zasi kweAkirabhimu, uchipfuurira nokuZini uye uchienda nezasi kweKadheshi Bharinea. Ipapo uchazoenda nokuHazari Adhari uchindosvika kuAzimoni,
0422050043	kwaunondopota, wobatana noRukova rweIjipiti uchindogumira paGungwa.
042206006d	Muganhu wenyu wokumavirira uchange uri mahombekombe eGungwa Guru. Ndiwo uchava muganhu wenyu nechokumavirira.
0422070061	Pamuganhu wenyu wokumusoro, munofanira kutara mutaro unobva kuGungwa Guru uchisvika kuGomo reHori
0422080054	uye kubva paGomo reHori uchisvika kuRebho Hamati. Ipapo muganhu uchaenda kuZedhadhi,
042209005d	wopfuurira kuZifurani uchindogumira paHazari Enani. Ndiwo uchava muganhu wenyu nechokumusoro.
04220a0062	Pamuganhu wenyu wokumabvazuva, munofanira kutara mutaro unobva kuHazari Enani uchisvika kuShefami.
04220b0097	Muganhu uchadzika uchibva nokuShefami uchisvika kuRibhura nechokumabvazuva kweZini ugopfuurira wakatevedza materu ari kumabvazuva kweGungwa reKinereti.
04220c0092	Ipapo muganhu uchadzika uchitevedza Jorodhani uchindoguma paGungwa roMunyu. “‘Iyi ndiyo ichava nyika yenyu, nemiganhu yayo kumativi ose.’”
04220d008a	Mozisi akarayira vaIsraeri akati, “Goverai nyika iyi nomujenya wenhaka yenyu. Jehovha akarayira kuti ipiwe kumarudzi mapfumbamwe nehafu,
04220e0069	nokuti mhuri dzorudzi rwaRubheni, norudzi rwaGadhi uye nehafu yorudzi rwaManase vakagamuchira nhaka yavo.
04220f0076	Marudzi maviri aya nehafu vakagamuchira nhaka yavo kumabvazuva kweJorodhani reJeriko, kwakatarisana nokumabudazuva.”
042210001a	Jehovha akati kuna Mozisi,
0422110076	“Aya ndiwo mazita avarume vanofanira kukugoverai nyika senhaka yenyu: Ereazari muprista naJoshua mwanakomana waNuni.
042212005d	Uye ugadze mutungamiri mumwe chete kubva kurudzi rumwe norumwe kuti vabatsire pakugova nyika.
0422130051	“Aya ndiwo mazita avo: “Karebhu mwanakomana waJefune, kubva kurudzi rwaJudha;
042214003a	Kubva kurudzi rwaSimeoni, Shemueri mwanakomana waAmihudhi;
042215003e	Kubva kurudzi rwaBhenjamini, Eridhadhi mwanakomana waKisironi;
042216003e	Kubva kurudzi rwaDhani mutungamiri Bhuki mwanakomana waJogiri;
0422170057	Mutungamiri kubva kurudzi rwaManase mwanakomana waJosefa, Hanieri mwanakomana waEfodhi;
042218005b	Mutungamiri kubva kurudzi rwaEfuremu mwanakomana waJosefa, Kemueri mwanakomana waShifutani;
0422190049	Mutungamiri kubva kurudzi rwaZebhuruni, Erizafani mwanakomana waParanaki;
04221a0044	Mutungamiri kubva kurudzi rwaIsakari, Paritieri mwanakomana waAzani;
04221b0044	Mutungamiri kubva kurudzi rwaAsheri, Ahihudhi mwanakomana waSheromi;
04221c004b	Mutungamiri kubva kurudzi rwaNafutari, Pedhaheri mwanakomana waAmihudhi.”
04221d0058	Ava ndivo varume vakarayirwa naJehovha kuti vagovere nhaka kuvaIsraeri munyika yeKenani.
0423010055	Pamapani eMoabhu pedyo neJorodhani uchibva mhiri kuJeriko, Jehovha akati kuna Mozisi,
0423020089	“Rayira vaIsraeri kuti vape vaRevhi maguta okuti vagare kubva panhaka ichatorwa navaIsraeri. Uye muvape mafuro akapoteredza maguta avo.
042303005f	Ipapo vachava namaguta okugara uye namafuro emombe dzavo, makwai nezvimwe zvipfuwo zvavo zvose.
042304006e	“Mafuro akapoteredza maguta amunopa vaRevhi achasvitsa makubhiti chiuru chimwe chete kubva pamasvingo eguta.
0423050113	Uyere makubhiti zviuru zviviri nechokunze kweguta, kurutivi rwokumabvazuva, kurutivi rwezasi uyere makubhiti zviuru zviviri, uye kurutivi rwokumavirira makubhiti zviuru zviviri, uye nechokumusoro, makubhiti zviuru zviviri, guta riri pakati. Nzvimbo iyi ichava mafuro amaguta.
042306009f	“Maguta matanhatu pane auchapa vaRevhi achava outiziro, kuti munhu anenge auraya mumwe atizireko. Pamusoro paiwayo, muvape mamwe maguta makumi mana namaviri.
0423070059	Maguta ose amunopa vaRevhi anofanira kuva makumi mana namasere, pamwe chete namafuro avo.
04230800dd	Maguta amunopa vaRevhi kubva munyika inotorwa navaIsraeri anofanira kupiwa zvakaenzanirana nenhaka yorudzi rumwe norumwe: Utore maguta akawanda kubva kurudzi rune akawanda, asi utore mashoma kubva kurudzi rune mashoma.”
0423090020	Ipapo Jehovha akati kuna Mozisi,
04230a004f	“Taura kuvaIsraeri uti kwavari: ‘Kana mayambuka Jorodhani mapinda muKenani,
04230b0066	musarudze mamwe maguta kuti ave outiziro, okuti munhu anenge auraya mumwe asingaiti nobwoni atizireko.
04230c0084	Achava nzvimbo dzoutiziro kubva kumutsivi, kuitira kuti munhu anopomerwa mhosva youmhondi arege kufa asati atongwa pamberi peungano.
04230d0039	Maguta matanhatu amunopa aya achava maguta enyu outiziro.
04230e0059	Mupe maguta matatu mhiri kwaJorodhani uye mamwe matatu muKenani kuti ave maguta outiziro.
04230f00af	Maguta matanhatu aya achava nzvimbo youtiziro yavaIsraeri, vatorwa kana vamwe vanhu vagere pakati pavo, kuitira kuti ani naani anenge auraya mumwe asingaiti nobwoni atizireko.
0423100057	“‘Kana munhu akarova mumwe nesimbi akafa, iye imhondi; mhondi ichafanira kuurayiwa.
0423110086	Uye kana ani naani aine dombo muruoko rwake rinogona kuuraya, akarova mumwe munhu naro akafa, iye imhondi; mhondi inofanira kuurayiwa.
0423120083	Uye kana ani naani akange ane danda muruoko rwake rinogona kuuraya, uye akarova mumwe munhu akafa, iye imhondi; mhondi ichaurayiwa.
0423130044	Mutsivi weropa achauraya mhondi iyo; paanosangana naye, achamuuraya.
042314006f	Kana ani zvake anga ane ruvengo kare akasundidzira mumwe kana kupotsera chimwe chinhu kwaari nobwoni iye akafa,
04231500a9	uye kana akamurova nechibhakera achimuvenga munhu uyo akafa, munhu iyeye anofanira kuurayiwa; munhu iyeye imhondi. Mutsivi weropa achauraya mhondi iyo paanosangana naye.
042316007c	“‘Asi kana panga pasina ruvengo mumwe akakaruka asundidzira mumwe kana kupotsera chimwe chinhu kwaari asingaiti nobwoni,
0423170097	kana anga asingamuoni, akapotsera dombo kwaari rinogona kumuuraya, uye iye akafa, ipapo sezvo anga asiri muvengi wake uye anga asingafungi kumukuvadza,
042318004d	ungano inofanira kutonga pakati pake nomutsivi weropa maererano nemitemo iyi.
04231900e5	Ungano inofanira kudzivirira munhu anopomerwa umhondi kubva pamutsivi weropa uye vachamudzosera kuguta routiziro uko kwaakanga atizira. Anofanira kugara ikoko kusvikira muprista mukuru afa, uyo akanga akazodzwa namafuta matsvene.
04231a0064	“‘Asi kana uyo anopomerwa akangobuda kunze akadarika muganhu weguta routiziro, uko kwaakatizira,
04231b0070	uye mutsivi weropa akamuwana ari kunze kweguta, mutsivi weropa achauraya muurayi uyu akasapiwa mhosva youmhondi.
04231c0096	Muurayi anofanira kugara muguta rake routiziro kusvikira pakufa kwomuprista mukuru; anofanira kudzokera chete kunzvimbo yake kana muprista mukuru afa.
04231d006e	“‘Izvi zvinofanira kuva murayiro wokutonga nawo kusvikira kumarudzi enyu ose anotevera, kwose kwamunogara.
04231e00a3	“‘Ani naani anouraya munhu anofanira kuurayiwa semhondi kana chete pane zvapupu. Asi hapafaniri kuva nomunhu anourayiwa kana pachingova nechapupu chimwe chete.
04231f0062	“‘Murege kugamuchira dzikinuro youpenyu hwemhondi, inofanira kufa. Anofanira kufa zvirokwazvo.
04232000a8	“‘Murege kugamuchira dzikinuro yomunhu upi zvake akatiza kuguta routiziro nokudaro muchimutendera kudzokera kuti andogarazve munyika yake muprista mukuru asati afa.
04232100a9	“‘Murege kusvibisa nyika yamunogara. Kuteura ropa kunosvibisa nyika, uye nyika haingayananisirwi pamusoro peropa rakateurirwamo, asi chete neropa romunhu akariteura.
0423220061	Musasvibisa nyika yamugere uye yandinogara, nokuti ini Jehovha, ndigere pakati pavaIsraeri.’”
04240100c7	Vakuru vemhuri yeimba yaGireadhi mwanakomana waMakiri, mwanakomana waManase, vaibva kudzimba dzezvizvarwa zvaJosefa, vakauya vakataura pamberi paMozisi navatungamiri, ivo vakuru vemhuri dzavaIsraeri.
04240200a6	Vakati, “Jehovha paakarayira ishe wangu kuti ape nyika kuvaIsraeri nomujenya ive nhaka yavo, akakurayirai kuti mupe nhaka yehama yedu Zerofehadhi kuvanasikana vake.
04240300f3	Zvino ivo kana vakawanikwa navarume vanobva kuna mamwe marudzi aIsraeri, ipapo nhaka yavo ichabviswa panhaka yamadzitateguru edu ikawedzerwa kurudzi urwo rwavawanikwa narwo. Nokudaro chikamu chenhaka yakagoverwa kwatiri nemijenya chichabviswa.
04240400b1	Gore reJubhiri ravaIsraeri parinosvika, nhaka yavo ichawedzerwa kunhaka yorudzi urwo rwavakawanikwa kwarwuri, uye pfuma yavo ichatorwa kubva kunhaka yorudzi rwamadzibaba edu.”
042405008a	Ipapo Mozisi akarayira murayiro uyu kuvaIsraeri sezvaakarayirwa naJehovha achiti, “Zvinotaurwa norudzi rwezvizvarwa zvaJosefa ndizvozvo.
0424060092	Uku ndiko kurayira kwaJehovha kuvanasikana vaZerofehadhi: Vangawanikwa havo naani zvake anovafadza kana chete ari worudzi rweimba yamadzibaba avo.
04240700b5	Hakuna nhaka muvaIsraeri inofanira kubva kuno rumwe rudzi ichienda kuno rumwe rudzi, nokuti muIsraeri wose anofanira kuchengeta nyika yorudzi rwake iri nhaka inobva kumadzibaba avo.
04240800c9	Mwanasikana mumwe nomumwe anogara nhaka yenyika murudzi rupi zvarwo rwavaIsraeri anofanira kuwanikwa nomunhu anobva muimba yorudzi rwababa vake, kuitira kuti muIsraeri wose awane nhaka yamadzibaba ake.
0424090092	Hakuna nhaka inobva kuno rumwe rudzi ichienda kuno rumwe rudzi, nokuti rudzi rwose rwavaIsraeri runofanira kuchengeta nyika yavakapiwa senhaka.”
04240a0046	Saka vanasikana vaZerofehadhi vakaita sezvakarayirwa Mozisi naJehovha.
04240b0066	Vanasikana vaZerofehadhi, Mara, Tiza, Hogira, Mirika naNoa vakawanikwa navanakomana vababamunini vavo.
04240c0081	Vakawanikwa mukati medzimba dzezvizvarwa zvaManase mwanakomana waJosefa, uye nhaka yavo yakaramba iri mumba yorudzi rwababa vavo.
04240d008a	Iyi ndiyo mirayiro nemitemo yakapiwa kuvaIsraeri naJehovha kubudikidza naMozisi pamapani eMoabhu pedyo neJorodhani uchibva mhiri kuJeriko.
050000000b	Dhuteronomi
05010100b8	Aya ndiwo mashoko akataurwa naMozisi kuvaIsraeri vose murenje kumabvazuva kweJorodhani, mumupata weArabha wakatarisana neSufi, pakati peParani neToferi, Rabhani, Hazeroti neDhizahabhi.
0501020064	(Zvinotora mazuva gumi nerimwe kubva paHorebhi kuenda kuKadheshi Bharinea nenzira yokuGomo reSeiri.)
0501030088	Mugore ramakumi mana, nezuva rokutanga romwedzi wegumi nomumwe, Mozisi akazivisa vaIsraeri zvose izvo Jehovha akamurayira pamusoro pavo.
05010400ae	Izvi zvakaitika mushure mokunge akunda Sihoni mambo wavaAmori, akanga achitonga paHeshibhoni, uye paEdhirei akanga akunda Ogi mambo weBhashani, akanga achitonga muAshitaroti.
0501050066	Mozisi akatanga kududzira murayiro uyu, vari nechokumabvazuva kweJorodhani munzvimbo yeMoabhu, achiti:
050106005b	Jehovha Mwari wedu akataura kwatiri paHorebhi akati, “Magara nguva yakakwana pagomo rino.
0501070106	Putsai musasa mugoenda kunyika yezvikomo yavaAmori; muende kumarudzi ose akavakidzana muArabha, mumakomo, nemuzasi mezvikomo zvokumadokero, nomuNegevhi uye kumahombekombe egungwa, nokunyika yavaKenani uye nokuRebhanoni, kusvikira kurwizi rukuru, irwo Yufuratesi.
05010800b7	Tarirai, ndakupai nyika iyi. Endaimo mundotora nyika iyo Jehovha akapika kuti achaipa kumadzibaba enyu, kuna Abhurahama, naIsaka, naJakobho, uye nokuzvizvarwa zvavo zvaizovatevera.”
050109005b	Panguva iyoyo ndakati kwamuri, “Mava mutoro unorema kwazvo kuti ndikutakurei ndiri ndoga.
05010a005a	Jehovha Mwari wenyu akawedzera kuwanda kwenyu zvokuti nhasi mawanda senyeredzi dzokudenga.
05010b0060	Jehovha Mwari wamadzibaba enyu, ngaakuwedzerei rune chiuru uye ngaakuropafadzei sezvaakavimbisa!
05010c005e	Asi ini ndingatakure seiko matambudziko enyu nemitoro yenyu uye nokupokana kwenyu ndiri ndoga?
05010d008c	Zvisarudzirei varume vakachenjera, vanonzwisisa uye vanokudzwa kubva kurudzi rumwe norumwe rwamarudzi enyu, ndingovagadza pamusoro penyu.”
05010e0045	Makandipindura muchiti, “Izvo zvamataura kuti zviitwe zvakanaka.”
05010f00f6	Saka ndakatora varume vaitungamirira marudzi enyu, varume vakachenjera uye vaikudzwa, ndikavagadza kuti vave vakuru pamusoro penyu, vave vakuru vezviuru, navakuru vamazana, navakuru vamakumi mashanu, navakuru vevane gumi uye navatariri vamarudzi.
05011000c5	Zvino panguva iyoyo ndakarayira vatongi venyu, ndikati: Inzwai kupokana kuri pakati pehama dzenyu mugovatonga zvakanaka, ingava mhaka iri pakati pavaIsraeri voga kana pakati pomumwe wavo nomutorwa.
05011100b9	Musaita rusarura pakutonga; inzwai vose muduku kana mukuru zvakaenzanirana. Musatya munhu upi zvake, nokuti kutonga ndokwaMwari. Uyisai kwandiri mhaka yakanyanya kukuomerai, ndigoinzwa.
050112003a	Uye panguva iyoyo ndakakurayirai zvose zvamaifanira kuita.
05011300d1	Ipapo takasimuka kubva paHorebhi tikafamba takananga kunyika yamakomo yavaAmori tikapfuura nomurenje iro rose guru rinotyisa ramakaona, uye tikasvika paKadheshi Bharinea, sezvatakarayirwa naJehovha Mwari wedu.
050114005e	Ipapo ndakati kwamuri, “Masvika munyika yamakomo yavaAmori, yatinopiwa naJehovha Mwari wedu.
050115008d	Tarirai, Jehovha Mwari wenyu akupai nyika iyo. Kwirai munoitora, sezvamakaudzwa naJehovha, Mwari wamadzibaba enyu. Musatya; musaora mwoyo.”
05011600c3	Ipapo imi mose makauya kwandiri mukati, “Ngatitumei varume vanofanotungamira kuti vatisorere nyika vagodzoka kuzotiudza pamusoro penzira yatingafamba nayo uye namaguta atichandosvika kwaari.”
050117008c	Pfungwa iyoyo yakanga yakandinakira; nokudaro ndakasarudza varume vane gumi navaviri pakati penyu, murume mumwe kubva kurudzi rumwe norumwe.
050118004f	Ivo vakabva vakaenda munyika yamakomo, vakasvika kumupata weEshikori vakaisora.
050119007f	Vakatora mimwe yemichero yenyika iyoyo, vakauya nayo kwatiri, vakati, “Inyika yakanaka yatiri kupiwa naJehovha Mwari wedu.”
05011a0049	Asi makanga musingadi kuenda; mukamukira kurayira kwaJehovha Mwari wenyu.
05011b0091	Makanyunyuta muri mumatende enyu, mukati, “Jehovha anotivenga; naizvozvo akatibudisa muIjipiti kuti azotiisa mumaoko avaAmori kuti vatiparadze.
05011c00d4	Tichaendepiko? Hama dzedu dzatiita kuti tiore mwoyo. Dzinoti, ‘Vanhu vacho vanotikunda pasimba napakureba; maguta acho makuru uye ane masvingo akareba zvokusvika kudenga. Takaona kunyange navaAnaki ikoko.’”
05011d0036	Ipapo ini ndakati kwamuri, “Musavhunduka; musavatya.
05011e006b	Jehovha Mwari wenyu, iye anokutungamirirai, achakurwirai, sezvaakakuitirai muIjipiti, pamberi penyu chaipo,
