2800000007	Matewos
28140b0046	Waagbesiison epheteese wayiniisi akakiltini abanita ekka yit unyisete.
28140c007c	‹Han orfo giri baasso isa sa'atinintu wosussete. Wonaason zuutira noi'sak kiichchere feesha innoneen isa kixxe kaasitwa›
28140d0098	Wayiniisi akakiltini aba wostinynyaasakitonisin isaasik: ‹Zomotaaso! Ta neen aane miir'otwa. Wonaasik isa diinari kaasunaktanoso neneen ane wollenari?
28140e0056	Ese ne haa'ooson ephpha hamma. Han neek imnaasimato orfoti barik imanak sholefawungwa.
28140f0067	Waagnaasta shunnaron zagunak aafanoso chimanawuza? Wedey garam asu sinna boor'a ne taan koonetoso?›»
2814100051	Estan Yesus: «Zeema baasso orfotir sinone; Orfoti baasso dey zeemar sinone» yi.
281411006b	Esseen orfo Yesus Yerusalem hamefet ugnaastak asire heppe nawobaasakitonin baasso baassotin barki tai'sire:
28141200a9	«Ese Yerusalem hamanirwa; Asuni Naa dey maagni gaanynye meyaknawa Museni tumaasi assinynyani meyakna aattere imtona. Baasso dey kituni mangsuni kar'a basaasta kar'oner.
2814130073	Kanyosonek, ichosoneknawa suutosonekna Aazabni meyak aatire imone. Sinuntano bar keezsinari wono kitun kabuna» yi.
2814140078	Estan Zebdewosni naanggotiisa into naanggotisneen ane Yesusniki yaara sinba kaa'nera bar barik isa wuza zagunak shiiphe.
281415008e	Yesus dey: «Awu sholefaasse?» yi. Bar dey: «Han hep naanggottaas ne taatoossi isaas o'itneesta; isaas dey alidneesta duusonak zaguwa!» yi.
28141600a6	Sinuntano Yesus wolgire: «Nitto shiiphefeti wuzason aane arifeti. Ta ushanak fa shanani toofoosi ushaason ushatik chimatiroso?» Baasso dey: «Aa chimaniwa» yisete.
2814170099	Bar dey: «Taa shanani toofoosi ushanon ushatiwa; Sinuntano o'itnaastanawa alidnaastana duuson Abataas hoossina baassoteno duusonek zaguniis tatewa» yi.
2814180045	Es baron ode oom asir nawoni meya es hep ayna ayna asiista haaresete.
28141900b6	Sinuntano Yesus baassotin barki teegere ekka yi: «Aazabni meeni gaanynye meya darabesiisa ha'sinynyawa. Baassotin zoonsisefe meya dey baassosta ha'suni hugnabesi faanamato arsefeti.
28141a007c	Nitto ganeyaassi ekka sinanak aane sholsifawa. Sinuntano oonu nittoossin arkir sinanak sholefaanane nitto wostinynya sinowa.
28141b0044	Esiisimato dey nittoossin denalo sinak sholefe bar nitto boz sinowa.
28141c0083	Asuni Naa dey oomiisik wostonaknawa showoni meyanon fatuk kaabaason aatire imaktu yeeteno baasso barik wostosonek aane yowewa» yi.
28141d0045	Esseen orfo Iyyarikon kesse hamefeen showo dara Yesusneen ane hamete.
28141e009e	Estak dey ugunni teshta diise hep aaftishuni meya Yesus baassoki esta kamo aatbaason odeseteyse: «Daamiiso! Dawitni Naaso! Innotin fakifaywa!» yit chaagete.
28141f0083	Daraas dey: «Shaakkutiwa» yit ke'isete. Sinuntano baasso: «Daamiiso! Dawitni Naaso! Innotin fakifaywa!» yit aatamsire chaagete.
2814200051	Yesus dey yerere baassotin barki teegere: «Nittok awu zagunak sholefetiso?» yi.
281421003c	Baasso dey: «Daamiiso! Aafniis gachchonak zagaywa» yisete.
281422005e	Yesus baassok kenashtefaat aaffesiison ta'i. Geregere dey aafbesiis biin Yesusneen ane hamete.
2815010098	Yesusnawa nawobaasakitona Yerusalem tai'sesete. Dabrazayitini kumaasta fa Beetefage yistefa ke'eessi kar'efe kabaasik nawobaasasin heppin ekka yit wosi:
2815020074	«Ek sinnitiista fa ke'eessi hamti; estak tuptera yere hanya nawubaneen yerefeen danati. Kotta taaki ephpha yoosoti.
2815030094	Oonu ‹Awuniron barikitonon kottifetirinso?› iyaanane ‹Daamiis barikitonon sholefawungwa› uti. Bar dey geregere hanyaasikitonon gafkuna» yi.
2815040049	Es bar dey sinnaas raajjuni meyaki kamo ekka yistera makte bar sinanakwa.
281505007d	«Tsiyonni katama yistefa Yerusalemuk: ‹Ne taatoos garam sinne; hanyaasi naatana diire; neeki yoonirwe› yira makoti» yi.
2815060036	Nawobaasakito dey hamere Yesus ajajenaasimato zagsete.
281507006d	Hanyaason dey naabaasneen ephphe yeesete. Maybesiison dey hanyaasikitoni geshota kunusseten Yesus barista di.
2815080077	Daraasa ganesin showobesiis maybesiison ugnaasta yiir'ete. Oomiis dey i'oni tosha kiir'taafe ugnaasta yiir'et feeseter.
2815090099	Sina zeema baassotnawa orfoose hamefe baassotna: «Hosana Dawitni naasik sinfawungwa. Daamiisa sunak yeefe bar suustowa. Hosana den Samak» yit chaagete.
28150a0065	Yesus Yerusalemni katamaassi girifena kabaasik asuni meya zuuttere: «Haniis oonso?» uuk shorkesete.
28150b0059	Daraas dey: «Haniis Galiilani daasta fa Naaziret katamaassin ye raajju Yesuswa» yisete.
28150c00d0	Esseen orfo Yesus dey betemeqdesiissi girire kisire waagsefe baassotinnawa geron waagsefe baassotinna zuutire kalle kisi. Waaga soolefe baasso tarabbezasonnawa nakalo waagsefe baasso kodaasonna shelgire ha'i.
28150d0080	«‹Ta keyaas shiiphoni keya yisteratu teegtona› yistera tichchewa. Sinuntano nitto bo'inynyani meeni dugadug zagsetiwa» yi.
28150e0050	Yesus betemeqdesiissi feen aaftishuni meenawa engitni meena barki yeeseten fati.
28150f00c4	Sinuntano maagni gaanynye meenawa Museni tumaasi assinynyaasna Yesus zagina biistera artonoy wuzaasewa betemeqdesiissi «Hosana Dawitni naasik» yit chaaget fa naanggotaasonna biyeteese gi'tesete.
28151000fe	Baasso dey: «Han naanggotaas maksefana baron aane odefenoso?» yisete. Yesus dey: «Odedifawungwa: ‹Daaga naanggotaaskinnawa tama tamfa daaga naanggotaasi kaamsinna galata ne teetaasik hoossitwa› yifa kaamaason isanne aane feretira biyetinoso?» yi.
281511004c	Baassotin beyye katamaassin kesse Bitaniya yistefa ke'eessi hamme esta ha'i.
281512002c	Yesus e'so wonsak wolle katama hamfet makte.
28151300ce	Ugnaasi teshta di isa belesini i'o biyaat ek barki hamin tosha toshatano isa gaanane aane dane. Estan ekka yi: «Hawungneen ekalo neekin isa gaanane bestonaatawe» yi. I'oos dey es kabaasik geregere ichimi.
2815140064	Nawobaasakito es baron biyefaat: «Han belesiisi i'oos geregere aakkak ichimiso!» yiset diinqesete.
28151500e1	Yesus dey wolgire: «Futo nittok makefawungwa; amantonti faafaananenawa awuzakne uu shakaatinena han Belesiista sina barne faaron zagu koi'ba sinnoynaron han aamaasonnu: ‹Waatera yeet baariissi ha'towe› iyaatine sinanawa.
2815160035	Amanera shiiphefeti baron zuutira ephphatootiwa» yi.
28151700d0	Yesus betemeqdesiissi girire assifeen maagni gaanynye meenawa daraasa kur'uni meena barki yeesere: «Han baron aro ha'suni hugnakinso zagidifatari? Han ha'suni hugnaason dey neek imaas oonso?» yit mamussete.
2815180089	Yesus wolgire: «Isa mamsu nittotin mamsunawa. Es baron taak wolgaatine ta dey han baron aro ha'suni hugnak zagifanamato nittok makonawa.
28151900d1	Yohannisni haphquus ayin yaarinso? Ha'ooskiningwa wedey asunikininso?» yi. Baasso dey baassotna baassotna ekka yit merkesete: «‹Ha'ooskingwa› iyaanine ‹Eekin awuni boor'a barik amano beytiso?› yirwa.
28151a0074	Dey: ‹Asunikingwa› iyaanine asu zuuttambaase Yohannisnin raajju zagire biyefe boor'a daraasin digeniwa» yisete.
28151b00a2	Estan Yesusnik wolgire: «Aane arifeniwa» yisete. Bar dey wolgire: «Ese ta dey aro ha'suni hugnak han baron zuutira zagifanamato aafawa nittok makona wuza» yi.
28151c00af	Tusire Yesus dey ekka yi: «Nittok awu sinna bestefaso? Isa asu hep naanggotba feer. Isaaski tai'sere: ‹Naataaso, hash hawung hamma wayinini akakilti dimaasta wostowa› yi.
28151d0058	Naas dey wolgire: ‹Beyin, aafa hamana wuza› yi. Sinuntano orfo gaabbere wostok hami.
28151e0076	Dey hepsaaski tai'sere esiisimato maken naas wolgire: ‹Ma'iwa, hamanawa daamtaaso› yi. Sinuntano aane wostok hame.
28151f00ee	Ese han heppiisasin ababaasa ajajinon zagiis aafferinso?» yi. Baasso dey: «Tesuni barwa» yisete. Yesus dey ekka yi: «Futok nittok makefawungwa; girbo zuutife baassonawa gerkesefe baassotna Ha'oosi taatoossi giruk nittoostan zeemonewa.
28152000ca	Yohannis ookoni ugnaason nittok besuk yeen barik aane amanoweti. Sinuntano girbo zuutife baassonawa gerkesefe baassona barik amanesete. Nitto es baron biira boor'nitiison harmira aane barik amanoweti.»
28152100ce	Dey Yesus ekka yi: «Ooma beso dey odotiwa; wayinini akakilti toka isa asu feer. Bar dey biratobaason oja ojje wayinini usha ti'una doo'a yiishshe hoossi. Toolo keer'e bulinynyani meyak imaat ooma daa hami.
2815220076	Wayiniis gaanana wona kar'fana kabaasik basa haa'ooson ephphe yoosonek wostinynyabaasakitonin bulinynyani meyaki wosi.
2815230069	Bulinynyani meya wostinynyaasakitonin ephphe isaasin ichete; isaasin worsete; oomiisin dey shu'ak ichete.
2815240073	Wayinini akakiltiisi aba sinatiistan oom showo wostinynyanin dey wosi. Bulinynyani meya dey zeemotiisimato zagsete.
281525004d	Koi'baasta dey Wayiniisi aba: ‹Naataasin digsonewa› iyaat naabaasin wosi.
2815260091	Sinuntano bulinynyani meya naasin biyeteese baassotna baassotna: ‹Foshaason tooniis han barwa. Yaani woraat foshaason innor zaguniwa› yisete.
281527003c	Naasin dey ephere wayiniisi foshni gerakalo kissere worsete.
2815280077	«Eekin wayinini akakiltiisi daam yeefena kabaasik es bulinynyani meyaasta awu zagunirne faar sinna nittok bestefaso?»
28152900a6	Baasso dey wolgisere: «Es mangu asuni meyanon mangu woru woraattu wayinini akakiltini dimanon wonba wonbaasik gaanbaason imni oom bulinynyani meyak imanawa» yisete.
28152a00fd	Tusire dey Yesus baassok Korto matsafaassin ekka yi: «‹Shu'ni keyaason oo'efe baasso kashshisete shu'aas; keyaasik kajjabaasta duuni shu'a siniwa; es bar dey Daamiiskintu siniwa; inno aafaasiknu diinqiwa› yistera tichche baron; aane feretuwetinoso?
28152b0069	«Es bari boor'a nittok makefawungwa; Ha'oosi taato nittoostan oottera gaana gaanni daraasik imtonirwa. [
28152c0052	Es shu'aasta gande bar eestona; shu'aas basaasta gandona bar zuuttere fichintona.]
28152d005c	«Maagni gaanynye meenawa Ferisawini meena es besoson odesefaat baassosta makenamato arsete.
28152e0061	Es bari boor'a ephosonek sholsete. Sinuntano daraas raajju zagire biyeter sinna boor'a digsete.»
2816010024	Hepsa dey Yesus besok ekka yit make:
281602003e	«Samaki taatoos naabaasik sargini koota koote taatone faarwa.
281603007f	Taatoos teegte asuni meya kootaaski yoosonek wostinynyabaasin baassoki wosi. Sinuntano baasso kootaaski yoosonek aane sholsoto.
28160400d8	«Hepsa dey taatoos oom wostinynyani meyanon wosire teegte asuni meyaki hamfaat: ‹Ese sargini kootaason hoossin; omorusewa faru moonaase shuktera zuuttambaase hoore. Han sargisi kootaki yootiwa› yira makoti» yi.
2816050054	Sinuntano baasso hantaki wuzane unoy beyere isaas bulobaasi; oomiis nagadbaasi hami.
2816060042	Oomiis dey wostinynyani meyanon ephphe salphsire ichche worsesete.
281607007d	Estan taatoos gi'tere meya taar'osakitonin wosire es wori baassotin worsonek zagi. Katamabesiison dey geyak kiichchonak zagi.
2816080072	Estan wostinynyabaasakitonik ekka yi: «Sargini kootaas hoore; sinuntano teegte baasso kootaasik sholsunor sinete.
2816090056	Ese ek ari ugnaasta kesfaat danti asusin zuutira han sargini kootaaski teegotiwa» yi.
28160a007a	Wostinynyani meya dey ari ugnaasta kesere danete baassotin mangusin; ma'aasin zuutire teegsere sargini keyaason tuunisete.
28160b006f	«Sinuntano taatoos teegte irbaasakitonin biyak keer girifena kabaasik sargini maya maynoy isa asunin estak bi.
28160c0061	«Estan ekka yi: ‹Zomotaaso; sargini maya maynoy aakkak hansi girisso?› yin asus dey shaakki.
28160d00a0	«Taatoos dey wostinynyabaasakitonin: ‹Kushubaasewa wochobaase asin taar'a gerakalo fa talmaassi kisira ha'utiwa. Estak waasnewa ay'ni koyne sinanawa›» yi.
28160e0044	Tusire dey Yesus: «Teegte asuni meya showo; kortertes dey garowa.»
28160f005b	Estan Ferisawini meya hamere Yesusnin wolumbaaski kamo aakkak chowusi gedonemato merkesete.
28161000db	Baasso nawoni meyanon Herodisni keen sina asuni meyaneen Yesusniki wossere: «Assinynyano! Ne futonir sintamatonawa Ha'oosi ugnanon futok assifatamatona arifeniwa. Asuni digak zagifata wuza aafa. Asunin dey aane korife.
281611006c	Ese innok makebbo; neek awu sinna bestefaso? Keesarnik girboni girbo sholsungwa wedey sholsutanso?» yisete.
281612005c	Yesus baasso manguuson arifaat: «Sinnoy sinne bestesefe nitto, awuniron taan fattanefetiso?
281613005b	Girbo kaastefa birriison taak besibbetiso!» yi. Baasso dey isa diinari teshshere besisete.
281614004a	Bar dey: «Han barista fa gitoosewa baristaki fa tichaase oonirinso?» yi.
2816150072	Baasso wolgire: «Keesarnirwa» yisete. Bar dey: «Ese Keesarniison keesarnik Ha'oosiron dey Ha'oosik imtiwa» yi.
281616004c	Baasso dey es baron odeseteyse wolumbaasik diinqesefaat barin beyere hamete.
2816170059	Es wono: «Kitun kabu aafa» yisefe Sedukawini meya Yesusniki yeesere ekka yit mamussete:
281618007c	«Assinynyano! Muse: ‹Isa asu nawuba koonunoy kitifaanane aybaas es asuson ephphe es kiti aybaasik zalba fu'owowa› yiwa.
281619007c	Naafun ayna ayna innoki feeseter. Baassossin arkiis asu ephaat nawa koonunoy kiti. Es bari boor'a ate aybaas es asuson ephi.
28161a0056	Esiisimato dey hepsaas keezsaas hamma naafunsa kar'ananneen es asuson ephaat kitisete.
28161b0030	Zuuttambesiise kitisetenneen orfo asus dey kiti.
28161c0060	Ese naafunobesiise asuson ephetewa, kitun kabuni wono naafuniisasin aafferikinso asu sinanari?»
28161d0066	Yesus wolgire: «Korto matsafaasikitononnawa Ha'oosi hugnanonna aane arifeti sinna boor'a daagefetiwa.
28161e007f	Kitun kabsefe kabaasik asuni meya samak faase Ha'oosi wosiyane feertu sinonetano asu aafa ephosone wuza dey aafa girusone wuza.
28161f0050	Sinuntano kitun kabuni chowaasik Ha'oos nittok makena baron aane feretuwetinoso?
2816200085	Ekkatu yiwa: ‹Ta Abrahamni Ha'o, Isaaqni Ha'o, Yaqobni Ha'owa› Es bari boor'a bar hayewni meeni Ha'otano kituni meeni Ha'otawa.»
2816210032	Daraas dey es baron odesere assubaasik diinqesete.
2816220075	Yesus Sedukawini meyanon maksone wuza turuksire shaakkusonek zaginamato Ferisawini meya odeseteyse isarik zuuttesete.
281623004d	Baassossin isa Museni tumaasi aru Yesusnin fattanok sholefaat ekka yit mamsi:
2816240033	«Assinynyano! Tumaassin aaffa ajajisinso arkiri?»
2816250067	Yesus barik wolgire: «Daama Ha'oneeson tuuma nibneesik, tuuma kaaneesik, tuuma safaraneesik keeshtowa.
2816260039	Zuuttambaase asiistan denalonewa tesuni ajajiise esiiswa.
2816270057	Esiisne fa hepsaniis dey: ‹Asunin ne neen keeshtefataasimato keeshtowa› yifa barwa.
2816280049	Tumaasi assunewa raajjuni meeni assuse es hep ajajiistatu kapta zagiwa.»
2816290039	Ferisawini meya zuuttesere feeseten Yesus ekka yit mamsi:
28162a0071	«Kiristoosni chowaas nittok awu sinna bestefaso? Bar ooni naaso?» Baasso dey wolgire: «Dawitni naawa» yisete.
28162b0054	Yesus ekka yi: «Eekin Dawit Ha'oni Ayyanak tuumme aakkak ‹Daamta› yire teegeso?
28162c006d	«‹Ha'oos, Daamtaasin; gumaneesin wochoneesi sikalosi yer'atak zagunanneen; hoi'ta teshnaasta duwa› yiwa.
28162d0062	«Dawit teetbaasik: ‹Daamta› yire teegenanneen eekin Kiristoos aakkak nawuba sinnirinso?» yi.
28162e005a	Baassossin isa kaamanu wolguk chimar oonu aafe. Es wononeen barin mamsuk chimar oonu aafe.
2817010041	Esseen orfo Yesus daraasiknawa nawobaasakitonikna ekka yire make:
281702004a	«Museni tumaasi assinynyanawa Ferisawini meena Museni kodaasta diisetewa.
281703009d	Es bari boor'a baasso maksefe baron zuutira zagsoti dey oodti. Sinuntano baasso maksefe baron wostota aane feeshisefe sinna boor'a wostesefe baron zagutiita.
2817040080	Faya dey wor'ak chimtonoy ba'a taar'e asuni ogogta wossisefe. Sinuntano baasso kushubesiisi waa'aknu ta'uk isanne aane sholsefe.
2817050086	Asu baassotin biyanaktu wostobesiison wostesefe. Kur'amabesiison taggisere shiiphoni kabak maytefa maambesiisi fashanon dey dichisefe.
2817060061	Koota maastefanaasta ulfinto dima, Ayhudni shiiphoni keyaassik dey ulfinni kodta duuktu sholsefe.
281707005c	Gabaastak asu baassotin naga ooshshonaknawa: ‹Assinynyano!› yire teegsoneknatu sholsefe.
281708008e	Sinuntano nitto assinynyantiis isar sinna boor'anawa nitto zuuttamnitiise dey ayna ayna sineti boor'ana ‹Assinynya› yistera teegtotiitawa.
281709005b	Den samak fe Abantiis isar sinna boor'a han daastak ooninnu: ‹Aabba› yira teegotiitawa.
28170a0068	Nitto arki assinynyantiis isa Kiristoos sinna boor'a ooniknu ‹Arki assinynya› yistera teegtotiitawa.
28170b0033	Nittoossin denalo sina bar nitto wostinynya sinowa.
28170c0051	Teetbaason den teggife bar daa hatona. Teetbaason daa hatessife bar den teguna.»
28170d00e7	Dey Yesus ekka yi: «Asu samaki taatosi girunoynamato gamalaason kulfife sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena haybuntiwa! Nitto teetaasik giruk aane sholefeti dey giruni baassotin aane gedfetiwa.
28170e00d2	[«Nitto sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena shiiphontiison dichuk dicha asusikitoni keyaason maara turuksifeti boor'a haybuntiwa. Ese akama mangsuni kar'atu ephphatootiwa.]
28170f0117	«Sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena haybuntiwa. Isa asu nitto amantooson ephphetoonak zaguk Baariistanawa ichma daastana biratesefeti. Ma'i yire ephpheteenanneen orfo nittoostan denalo hep kushunon geeni tir'maassi girunak hoorer zagsefeti.
28171000bd	«Nitto aaftishu zoonsino! Haybuntiwa! ‹Asu betemeqdesiisik teyifaanane aafa aguna wuza› yifeti. Sinuntano ‹Betemeqdesiissiki fa warqeesik teyifaanane es teyyaasik ootterwa› yifeti.
2817110053	Nitto gowwa dey aaftishu; warqesingwa warqeeson korto zagi betemeqdesinoso wayyayi?
281712008c	Esiisimato dey: ‹Asu shoo'aasik teyifaanane aafa aguna wuza; Sinuntano barista kuni maa'aasik teyifaanane es teyyaasik ootterwa› yifeti.
2817130046	Nitto aaftishu; maa'aasingwa maa'aason korto zagi shoo'asinso wayyayi?
281714005b	Es bari boor'a shoo'aasik teyife bar shoo'aasiknawa shoo'aasta kuni maa'aasiknatu teyifewa.
281715004f	Betemeqdesiisik teyife bar betemeqdesiisiknawa barissi fa wuzasiknatu teyifewa.
2817160049	Samaasik teyife bar Ha'oosi zigimuknawa barista diifa bariknatu teyifewa.
281717014d	«Sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena haybuntiwa. Azmachakin, insilaalikinnawa kemunikinna asiriissin isaron imfeti. Sinuntano tumaassi fa inya inya wuzasikitonon beyfeti. Es barikito dey futoni mangsuni kar'a, fakiya, amanto asu sinne bestooswa. Ek baron beynoy han baron dey zagutik sholsifawa.
2817180070	Nitto aaftishu zoonsino! Ushfeti wuzaassin kolachooson naalla kisira ha'aat gaalane fa inya wuzason koor'fetiwa.
28171900ac	«Sinnoy sinne bestefe Museni tumaasi assinynyanawa Ferisawini meena habuntiwa. Sikalobesiis bo'onewa tiittanne tuumma feentu toofosewa koranaase asi tukanon kayimsifetiwa.
28171a0074	Ne aaftishu Ferisawi! Zeemma toofosewa koranaase asi sikalonon massa kaynuwa. Estan gerakalobaasneen kayma sinanawa.
28171b00d3	«Sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena yerefawutiwa. Sikalobesiis kituni meeni megaknawa kiinakna tuumma feen gerakalobesiis boorok maattera keeshira kuni moogasne feeseterwa.
28171c0089	Esiisimato nitto dey gerok asunik ookone feer sinnatu biistefetiwa. Sinuntano sikalontiis sinnoy sinne bestoknawa mangukna tuumma faarwa.
28171d00b2	«Sinnoy sinne bestefe Museni tumaasi assinynyani meenawa Ferisawini meena habuntiwa. Raajjuni meeni moogaason shu'ak keer'etir, ookoni meeni moogaason dey keeshshira ma'issetir.
28171e0083	«‹Zeemoti abaniisa meeni neyak inno faani sinfaanane raajjuni meeni hannaason baassoneen ane sinna wuukuni kabatawa› yifetiwa.
28171f0056	Ese raajjuni meyanon wori baasso naanggota sinnitiison nitto teetaasik zaala maketiwa.
2817200035	Ese nitto abaasakito gatisete baron nitto koi'sitiwa.
2817210054	Nitto zawa, ufoni naanggota geeni tir'maasi ke'osin aakkak eella kesak chimatirinso?
28172200d0	Es bari boor'a ta raajjuni meyanon, techumni meyanon, assinynyani meyanon nittoki wosunawa. Baassotin dey worsoti, suutati, Ayhudni shiiphoni keyaassik ichati. Isa katamaassin ooma katamaassi kabgira kofkuti.
28172300e4	Es bari boor'a ooko sina Abelni hannaastan kabira betemeqdesiissinawa maa'a imtefana shoo'aasi ganesi worseti Berakiyyani naa Zakkariyasni hannaasta kar'ananneen han daasta wuukte ookoni meeni hannaasik ke'o nittoosta kar'nirwa.
2817240051	Futok nittok makefawungwa, han ke'oos zuuttambaase han koontoosta kar'nirwa» yi.
2817250100	Tusire dey Yesus: «Yerusalemne Yerusalemne! Raajjuni meyanon worifa ne! Neeki wostere ye baassotin shu'ak ichfa ne! Ako nawubaasikitonon kosobaassi zuutifanaysimato ta dey naanggotneesikitonon zuutunak apuna wolla sholense! Sinuntano nitto aane sholoweti.
2817260021	Ese keentiis ona sinnatu ha'tona.
281727006e	Nittok makefawungwa, ‹Daamiisa sunak yeefe bar suustowa› utinneen hanneen ekalo taan aafawa biyati wuza.»
2818010063	Yesus betemeqdesin kesse hamfeen nawobaasakito shu'ak keete betemeqdesiison besuk barki tai'sesete.
2818020086	Sinuntano Yesus wolgire: «Han baron zuutira biitiyoso? Futo nittok makefawungwa; boktonoy shu'aas shu'aasta diira fui'tonir aafawa.»
28180300b2	Bar Dabrazayitini kumaasta diifen nawobaas baasso baasso barki tai'sesere: «Innok makowa; han bar aagenso sinanari? Ne yoosewa han daasi koi'ni besone aambanso?» yit mamussete.
281804002b	Yesus wolgire: «Oonu nittotin eshanaatawa!
2818050054	Showobesiis ‹Ta Kiristooswa!› yit ta sunaasik yoosone. Showobesiisin dey eshone.
281806006f	Neebonewa neeboni odune odoti. Es bar dey sinanak sholsu sinna boor'a digotiita. Sinuntano koi'baas hanneengwa.
2818070056	Daraas daraasata; taatoos taatoosta kabuna. Maknewa daani shorkone showo dimsi sinana.
281808002f	Es bar zuuttera kophoni merosi keektone faarwa.
2818090088	Es kabaasik asuni meya nitto shana ephphatootik aatire imone dey worsone. Ta sunaasi boor'a dara zuuttambaase asi sina oomtester sinati.
28180a0082	Es kabaasik showoni meya tuusa'sere orfo wolsone. Isaas oomiisin aatire imana. Asuni meya dey baassotna baassotna wal oomtososone.
28180b003a	Showo esh raajjuni meya kabsone. Showo meyanon dey eshone.
28180c0040	Manguusi aatamtan kabi chowa showoni meeni keeshtanaas koochona.
28180d0035	Sinuntano koi'ba kar'ananneen chimme yere bar faruna.
28180e008a	Dara zuuttambaase asik zaala sinanak Ha'oosi taatoni misirachchuni kaamaas daa zuuttambaase asiista maktona. Es kabaasiktu koi'baas yoona.
28180f0084	«Ese raajju Danielnik maktenaasimato ‹Kiinsuni mangu wuzaas› korto dimaasta yerefeen biifena kabaasik feretife bar yaadatowowa.
2818100037	Es kabaasik Yuuda feese baasso den aamaaski eelosotowa.
281811003b	Keyaasi tukta fe bar keyaassi fa wuzason ephanak keronaata.
281812002f	Bulota fe bar maybaason ephanak orfo wolunaata.
2818130046	Es kabaasik naaner asusikitonewa tama tanifa barikitone haybubawungwa.
2818140045	Ese eelati wonaas yeeshu wedey beysani wonak sinnoynamato shiiphsoti.
2818150072	Es kabaasik han daas testenanneen kabira hawung kar'a sinnor hanneen ekalo dey isanne sinnor akama shana sinanawa.
281816008f	Es wonaasikito kawuna shaki sinfaanane asha mayoos zuuttere fui'tona kabatawa. Sinuntano kortere fe asuni meeni boor'a es wonaasikito kawunana.
2818170061	«Es kabaasik oonu: ‹Ese Kiristoos hanta feer› wedey ‹Ekesta feer yifaanane amanotiitawa›
28181800a6	Eshni Kiristoosni meenawa eshni raajjuni meena kabsone. Baassok chimtefaanane kortere feese baassotinnu daagsuk akama akama biistera artonoy wuznewa diinqine bessone.
281819002f	«Ese han baron zuutira zeemma nittok makengwa.
28181a006f	Es bari boor'a: ‹Zaboossitu fewa› yisefaatene kesatiita. ‹Aacho dimsitu fewa› yisefaatene amanotiitawa.
28181b0064	Kawuna kawunna awakesnarkin awagirinarki biistefanaasimato Asuni Naani yoos dey esiisimatotu sinana.
28181c0029	Kitu wuza faanaastatu arikasaas zuuttefa.
28181d00ae	«Es shanani wonaasikito aatnanneen orfo geregere awaas talmona; assaas dey chaarefbaason kalana; baakuraasikito dey samastan kere woottona; samaastaki hugnaasikito shorkona.
28181e00ab	Estan Asuni Naani beso samaasta bestona. Es kabaasik han daasta fe daraas zuuttere waassone. Asuni Naa dey akama hugnaknawa akama ulfinakna shaaruusikitota yeefeen biyone.
28181f00b7	Akama markatani kaama odsuni Ha'oosi wosiyaasikitonon wosuna. Baasso dey samaasi diltan hamma dilbaasta kar'a fa acheech fashaassi hamere barik kortere feese baassotin zuutusone» yi.
2818200084	Tusire dey Yesus: «Han belesini i'oosi besostan biira aruti. Waa'baas boodera tosha kotfana kabaasik begani assa ta'baason arutiwa.
2818210060	Esiisimato nitto dey es baron zuutira biyefeti kabaasik wonaas yaara finynyi tai'namato arutiwa.
2818220058	Futo nittok makefawungwa; es bar zuuttera sinana kabaneen han koontoos aafa aatana wuza.
281823004a	Samaasewa daase aatana; sinuntano kaamnaasikito isanne aafa aatana wuza.»
281824006a	Dey Yesus: «Es wonaasewa es sa'atiise asin Abaasteno samaki wosiyaasnu sinun Naaso sino oonu arifer aafe.
2818250040	Noohni neyaasik sinnaasimato Asuni Naani yoos dey ekkatu sinana.
281826007d	Es neyaasik tishuni akaastan zeemma Nooh Merkebiissi girina wononeen asuni meya meetnawa ushetna; ephetnawa giritna feeseter.
281827006c	Tishuni akaas yaara zuuttambesiise asin tishkunanneen aane arsoto. Asuni Naani yoos dey esiisimatotu sinana.
2818280055	Es kabaasik hep asuni meya buloni dimta ane wostosone. Isaas oottona; isaas fui'tona.
2818290041	Hep mashkasu isa dimta meya ni'ona; isaas oottona isaas fui'tona.
28182a0050	Ese nitto Daamiis aro sa'atita yoonamato aane aruweti sinna boor'a guzira oodti.
28182b0092	Sinuntano isa wuza arutiwa; keeni abaas waalaasi aaffa sa'atiista wiis yoonamato ari sinfaanane guzire keebaas dey yiishtonoynamato kalana kabawa.
28182c0059	Esiisimato Asuni Naa dey nitto arunoyti sa'atiista yoonir sinna boor'a hoorera oodtiwa.»
28182d007f	Dey Yesus: «Muubesiison sholsinaastak imonek daambaas keerki fe asusata taassina amanamto dey nibbare yere wostinynyaas oonso?
28182e0048	Daambaas yeefena kabaasik ekka zagifeen danana es wostinynyaas suustowa.
28182f0058	Futo nittok makefawungwa; es wostinynyaasin fa waagba zuuttambaase asiistatu taassunawa.
2818300060	Sinuntano es mangu wostinynyaas: ‹Daamtaas wokketu yoonawa› yit nibbaassi safarefaananenawa,
2818310057	Wostoni zomoba sina baassotin ichak kabifaananena zayini meyaneen ane meere ushfaanane;
