0100000006	Genesi
0914140052	Io tirerò tre frecce da quella parte, come se tirassi al bersaglio per mio conto.
09141500f2	Poi manderò il ragazzo gridando: Và a cercare le frecce! Se dirò al ragazzo: Guarda, le frecce sono più in qua da dove ti trovi, prendile!, allora vieni, perché tutto va bene per te; per la vita del Signore, non ci sarà niente di grave.
091416007e	Se invece dirò al giovane: Guarda, le frecce sono più avanti di dove ti trovi!, allora và perché il Signore ti fa partire.
0914170067	Riguardo alle parole che abbiamo detto io e tu, ecco è testimonio il Signore tra me e te per sempre».
0914180060	Davide dunque si nascose nel campo. Arrivò la luna nuova e il re sedette a tavola per mangiare.
0914190097	Il re sedette come al solito sul sedile contro il muro; Giònata stette di fronte, Abner si sedette al fianco del re e il posto di Davide rimase vuoto.
09141a0084	Ma Saul non disse nulla quel giorno, perché pensava: «Gli sarà successo un inconveniente: non sarà mondo. Certo, non è mondo».
09141b00cf	Ed ecco l'indomani, il secondo giorno della luna nuova, il posto di Davide era ancora vuoto. Saul disse allora a Giònata suo figlio: «Perché il figlio di Iesse non è venuto a tavola né ieri né oggi?».
09141c005e	Giònata rispose a Saul: «Davide mi ha chiesto con insistenza di lasciarlo andare a Betlemme.
09141d010c	Mi ha detto: Lasciami andare, perché abbiamo in città il sacrificio di famiglia e mio fratello me ne ha fatto un obbligo. Se dunque ho trovato grazia ai tuoi occhi, lasciami libero, perché possa vedere i miei fratelli. Per questo non è venuto alla tavola del re».
09141e00c1	Saul si adirò molto con Giònata e gli gridò: «Figlio d'una donna perduta, non so io forse che tu prendi le parti del figlio di Iesse, a tua vergogna e a vergogna della nudità di tua madre?
09141f00b0	Perché fino a quando vivrà il figlio di Iesse sulla terra, non avrai sicurezza né tu né il tuo regno. Manda dunque a prenderlo e conducilo qui da me, perché deve morire».
091420004a	Rispose Giònata a Saul suo padre: «Perché deve morire? Che ha fatto?».
091421008a	Saul afferrò la lancia contro di lui per colpirlo e Giònata capì che l'uccisione di Davide era cosa ormai decisa da parte di suo padre.
09142200bc	Giònata si alzò dalla tavola acceso d'ira e non volle prendere cibo in quel secondo giorno della luna nuova. Era rattristato per riguardo a Davide perché suo padre ne violava i diritti.
0914230074	Il mattino dopo Giònata uscì in campagna, per dare le indicazioni a Davide. Era con lui un ragazzo ancora piccolo.
0914240082	Egli disse al ragazzo: «Corri a cercare le frecce che io tirerò». Il ragazzo corse ed egli tirò la freccia più avanti di lui.
0914250099	Il ragazzo corse fino al luogo dov'era la freccia che Giònata aveva tirata e Giònata gridò al ragazzo: «La freccia non è forse più avanti di te?».
091426008a	Giònata gridò ancora al ragazzo: «Corri svelto e non fermarti!». Il ragazzo di Giònata raccolse le frecce e le portò al suo padrone.
0914270050	Il ragazzo non aveva capito niente; soltanto Giònata e Davide sapevano la cosa.
091428005b	Allora diede le armi al ragazzo che era con lui e gli disse: «Và e riportale in città».
09142900d5	Partito il ragazzo, Davide si mosse da dietro la collinetta, cadde con la faccia a terra e si prostrò tre volte, poi si baciarono l'un l'altro e piansero l'uno insieme all'altro, finché per Davide si fece tardi.
09142a00c2	Allora Giònata disse a Davide: «Và in pace, ora che noi due abbiamo giurato nel nome del Signore: il Signore sia con me e con te, con la mia discendenza e con la tua discendenza per sempre».
0915010035	Davide si alzò e partì e Giònata tornò in città.
091502009a	Davide si recò a Nob dal sacerdote Achimelech. Achimelech, turbato, andò incontro a Davide e gli disse: «Perché sei solo e non c'è nessuno con te?».
09150300d8	Rispose Davide al sacerdote Achimelech: «Il re mi ha ordinato e mi ha detto: Nessuno sappia niente di questa cosa per la quale ti mando e di cui ti ho dato incarico. Ai miei uomini ho dato appuntamento al tal posto.
091504005a	Ora però se hai a disposizione cinque pani, dammeli, o altra cosa che si possa trovare».
091505009d	Il sacerdote rispose a Davide: «Non ho sottomano pani comuni, ho solo pani sacri: se i tuoi giovani si sono almeno astenuti dalle donne, potete mangiarne».
09150600de	Rispose Davide al sacerdote: «Ma certo! Dalle donne ci siamo astenuti da tre giorni. Come sempre quando mi metto in viaggio, i giovani sono mondi, sebbene si tratti d'un viaggio profano; tanto più oggi essi sono mondi».
09150700c7	Il sacerdote gli diede il pane sacro, perché non c'era là altro pane che quello dell'offerta, ritirato dalla presenza del Signore, per essere sostituito con pane fresco nel giorno in cui si toglie.
0915080081	Ma era là in quel giorno uno dei ministri di Saul, trattenuto presso il Signore, di nome Doeg, Idumeo, capo dei pastori di Saul.
09150900ae	Davide disse ad Achimelech: «Non hai per caso sottomano una lancia o una spada? Io non ho preso con me né la lancia né altra arma, perché l'incarico del re era urgente».
09150a0122	Il sacerdote rispose: «Guarda, c'è la spada di Golia, il Filisteo che tu hai ucciso nella valle del Terebinto; è là dietro l' efod, avvolta in un manto. Se vuoi, portala via, prendila, perché qui non c'è altra spada che questa». Rispose Davide: «Non ce n'è una migliore; dammela».
09150b0051	Quel giorno Davide si alzò e si allontanò da Saul e giunse da Achis, re di Gat.
09150c00aa	Ha ucciso Saul i suoi mille e Davide i suoi diecimila?». I ministri di Achis gli dissero: «Non è costui Davide, il re del paese? Non cantavano in coro in onore di lui:
09150d0046	Davide si preoccupò di queste parole e temette molto Achis re di Gat.
09150e00a3	Allora cominciò a fare il pazzo ai loro occhi, a fare il folle tra le loro mani; tracciava segni sui battenti delle porte e lasciava colare la saliva sulla barba.
09150f00f1	Achis disse ai ministri: «Ecco, vedete anche voi che è un pazzo. Perché lo avete condotto da me? Non ho abbastanza pazzi io perché mi conduciate anche costui per fare il folle davanti a me? Dovrebbe entrare in casa mia un uomo simile?».
0916010083	Davide partì di là e si rifugiò nella grotta di Adullàm. Lo seppero i suoi fratelli e tutta la casa di suo padre e scesero là.
09160200b7	Si radunarono allora con lui quanti erano in strettezze, quelli che avevano debiti e tutti gli scontenti, ed egli diventò loro capo. Stettero così con lui circa quattrocento uomini.
09160300a8	Davide partì di là e andò a Mizpa di Moab e disse al re di Moab: «Permetti che restino con voi mio padre e mia madre, finché sappia che cosa Dio vuol fare di me».
0916040050	Li presentò al re di Moab e rimasero con lui finché Davide rimase nel rifugio.
0916050095	Il profeta Gad disse a Davide: «Non restare più in questo rifugio. Parti e và nel paese di Giuda». Davide partì e andò nella foresta di Cheret.
09160600bb	Saul venne a sapere che era stato avvistato Davide con gli uomini che erano con lui. Saul era seduto in Gàbaa, sotto il tamarisco sull'altura, con la lancia in mano e i ministri intorno.
09160700d6	Saul disse allora ai ministri che gli stavano intorno: «Ascoltate, voi Beniaminiti, voi tutti che siete qui. Forse il figlio di Iesse darà a tutti voi campi e vigne, vi farà capi di migliaia e capi di centinaia,
091608010c	perché voi tutti siate d'accordo contro di me? Nessuno mi avverte dell'alleanza di mio figlio con il figlio di Iesse, nessuno di voi si interessa di me e nessuno mi confida che mio figlio ha sollevato il mio servo contro di me per ordire insidie, come avviene oggi».
0916090089	Rispose Doeg l'Idumeo, che stava con i ministri di Saul: «Ho visto il figlio di Iesse quando venne a Nob da Achimelech figlio di Achitub
09160a0077	e costui ha consultato il Signore per lui, gli ha dato da mangiare e gli ha consegnato la spada di Golia il Filisteo».
09160b009a	Il re subito convocò il sacerdote Achimelech figlio di Achitub e tutti i sacerdoti della casa di suo padre che erano in Nob ed essi vennero tutti dal re.
09160c004c	Disse Saul: «Ascolta, figlio di Achitub». Rispose: «Eccomi, signor mio».
09160d00d7	Saul gli disse: «Perché vi siete accordati contro di me, tu e il figlio di Iesse, dal momento che gli hai fornito pane e spada e hai consultato l'oracolo di Dio per lui, allo scopo di sollevarmi oggi un nemico?».
09160e0098	Achimelech rispose al re: «E chi è come Davide tra tutti i ministri del re? E' fedele, è genero del re, capo della tua guardia e onorato in casa tua.
09160f00eb	E' forse oggi la prima volta che consulto Dio per lui? Lungi da me! Non getti il re questa colpa sul suo servo né su tutta la casa di mio padre, poiché il tuo servo non sapeva di questa faccenda cosa alcuna, né piccola né grande».
091610004d	Ma il re disse: «Devi morire, Achimelech, tu e tutta la casa di tuo padre».
0916110120	Il re disse ai corrieri che stavano attorno a lui: «Accostatevi e mettete a morte i sacerdoti del Signore, perché hanno prestato mano a Davide e non mi hanno avvertito pur sapendo che egli fuggiva». Ma i ministri del re non vollero stendere le mani per colpire i sacerdoti del Signore.
09161200cd	Allora il re disse a Doeg: «Accostati tu e colpisci i sacerdoti». Doeg l'Idumeo si fece avanti e colpì di sua mano i sacerdoti e uccise in quel giorno ottantacinque uomini che portavano l' efod di lino.
0916130090	Saul passò a fil di spada Nob, la città dei sacerdoti: uomini e donne, fanciulli e lattanti; anche buoi, asini e pecore passò a fil di spada.
091614006b	Scampò un figlio di Achimelech, figlio di Achitub, che si chiamava Ebiatar, il quale fuggì presso Davide.
0916150049	Ebiatar narrò a Davide che Saul aveva trucidato i sacerdoti del Signore.
09161600b3	Davide rispose ad Ebiatar: «Quel giorno sapevo, data la presenza di Doeg l'Idumeo, che avrebbe riferito tutto a Saul. Io devo rispondere di tutte le vite della casa di tuo padre.
0916170087	Rimani con me e non temere: chiunque vorrà la tua vita, vorrà la mia, perché tu starai presso di me come un deposito da custodire».
091701004f	Riferirono a Davide: «Ecco i Filistei assediano Keila e saccheggiano le aie».
09170200ac	Davide consultò il Signore chiedendo: «Devo andare? Riuscirò a battere questi Filistei?». Rispose il Signore: «Và perché sconfiggerai i Filistei e libererai Keila».
0917030092	Ma gli uomini di Davide gli dissero: «Ecco, noi abbiamo gia da temere qui in Giuda, tanto più se andremo a Keila contro le forze dei Filistei».
091704008b	Davide consultò di nuovo il Signore e il Signore gli rispose: «Muoviti e scendi a Keila, perché io metterò i Filistei nelle tue mani».
09170500a9	Davide con i suoi uomini scese a Keila, assalì i Filistei, portò via il loro bestiame e inflisse loro una grande sconfitta. Così Davide liberò gli abitanti di Keila.
091706007e	Quando Ebiatar figlio di Achimelech si era rifugiato presso Davide, l' efod era nelle sue mani e con quello era sceso a Keila.
09170700af	Fu riferito a Saul che Davide era giunto a Keila e Saul disse: «Dio l'ha messo nelle mie mani, perché si è messo in una trappola venendo in una città con porte e sbarre».
091708005f	Saul chiamò tutto il popolo alle armi per scendere a Keila e assediare Davide e i suoi uomini.
0917090080	Quando Davide seppe che Saul veniva contro di lui macchinando disegni iniqui, disse al sacerdote Ebiatar: «Porta qui l' efod».
09170a0094	Davide disse: «Signore, Dio d'Israele, il tuo servo ha sentito dire che Saul cerca di venire contro Keila e di distruggere la città per causa mia.
09170b00b7	Mi metteranno nelle sue mani i cittadini di Keila? Scenderà Saul, come ha saputo il tuo servo? Signore, Dio d'Israele, fallo sapere al tuo servo». Il Signore rispose: «Scenderà».
09170c008b	Davide aggiunse: «I cittadini di Keila mi consegneranno nelle mani di Saul con i miei uomini?». Il Signore rispose: «Ti consegneranno».
09170d00b4	Davide si alzò e uscì da Keila con la truppa, circa seicento uomini, e andò vagando senza mèta. Fu riferito a Saul che Davide era fuggito da Keila ed egli rinunziò all'azione.
09170e009f	Davide andò a dimorare nel deserto in luoghi impervii, in zona montuosa, nel deserto di Zif e Saul lo ricercava sempre; ma Dio non lo mise mai nelle sue mani.
09170f006a	Davide sapeva che Saul era uscito a cercare la sua vita. Intanto Davide stava nel deserto di Zif, a Corsa.
0917100065	Allora Giònata figlio di Saul si alzò e andò da Davide a Corsa e ne rinvigorì il coraggio in Dio.
09171100a8	Poi gli disse: «Non temere: la mano di Saul mio padre non potrà raggiungerti e tu regnerai su Israele mentre io sarò a te secondo. Anche Saul mio padre lo sa bene».
091712005a	Essi strinsero un patto davanti al Signore. Davide rimase a Corsa e Gionata tornò a casa.
0917130079	Ma alcuni uomini di Zif vennero a Gàbaa da Saul per dirgli: «Non sai che Davide è nascosto presso di noi fra i dirupi?
091714005e	Ora, atteso il tuo desiderio di scendere, o re, scendi e sapremo metterlo nelle mani del re».
0917150060	Rispose Saul: «Benedetti voi nel nome del Signore, perché vi siete presi a cuore la mia causa.
091716009d	Andate dunque, informatevi ancora, accertatevi bene del luogo dove muove i suoi passi e chi lo ha visto là, perché mi hanno detto che egli è molto astuto.
09171700b9	Cercate di conoscere tutti i nascondigli nei quali si rifugia e tornate a me con la conferma. Allora verrò con voi e, se sarà nel paese, lo ricercherò in tutti i villaggi di Giuda».
0917180085	Si alzarono e tornarono a Zif precedendo Saul. Davide e i suoi uomini erano nel deserto di Maon, nell'Araba a meridione della steppa.
09171900cb	Saul andò con i suoi uomini per ricercarlo. Ma la cosa fu riferita a Davide, il quale scese presso la rupe, rimanendo nel deserto di Maon. Lo seppe Saul e seguì le tracce di Davide nel deserto di Maon.
09171a00ea	Saul procedeva sul fianco del monte da una parte e Davide e i suoi uomini sul fianco del monte dall'altra parte. Davide cercava in ogni modo di sfuggire a Saul e Saul e i suoi uomini accerchiavano Davide e i suoi uomini per prenderli.
09171b0066	Ma arrivò un messaggero a dire a Saul: «Vieni in fretta, perché i Filistei hanno invaso il paese».
09171c007b	Allora Saul cessò di inseguire Davide e andò contro i Filistei. Per questo chiamarono quel luogo: Rupe della separazione.
09171d003e	Davide da quel luogo salì ad abitare nel deserto di Engàddi.
091801006e	Quando Saul tornò dall'azione contro i Filistei, gli riferirono: «Ecco, Davide è nel deserto di Engàddi».
0918020076	Saul scelse tremila uomini valenti in tutto Israele e partì alla ricerca di Davide di fronte alle Rocce dei caprioli.
09180300b0	Arrivò ai recinti dei greggi lungo la strada, ove c'era una caverna. Saul vi entrò per un bisogno naturale, mentre Davide e i suoi uomini se ne stavano in fondo alla caverna.
09180400df	Gli uomini di Davide gli dissero: «Ecco il giorno in cui il Signore ti dice: Vedi, metto nelle tue mani il tuo nemico, trattalo come vuoi». Davide si alzò e tagliò un lembo del mantello di Saul, senza farsene accorgere.
0918050073	Ma ecco, dopo aver fatto questo, Davide si sentì battere il cuore per aver tagliato un lembo del mantello di Saul.
09180600ba	Poi disse ai suoi uomini: «Mi guardi il Signore dal fare simile cosa al mio signore, al consacrato del Signore, dallo stendere la mano su di lui, perché è il consacrato del Signore».
091807008b	Davide dissuase con parole severe i suoi uomini e non permise che si avventassero contro Saul. Saul uscì dalla caverna e tornò sulla via.
09180800b4	Dopo questo fatto, Davide si alzò, uscì dalla grotta e gridò a Saul: «O re, mio signore»; Saul si voltò indietro e Davide si inginocchiò con la faccia a terra e si prostrò.
091809006d	Davide continuò rivolgendosi a Saul: «Perché ascolti la voce di chi dice: Ecco Davide cerca la tua rovina?
09180a0108	Ecco, in questo giorno i tuoi occhi hanno visto che il Signore ti aveva messo oggi nelle mie mani nella caverna. Mi fu suggerito di ucciderti, ma io ho avuto pietà di te e ho detto: Non stenderò la mano sul mio signore, perché egli è il consacrato del Signore.
09180b013a	Guarda, padre mio, il lembo del tuo mantello nella mia mano: quando ho staccato questo lembo dal tuo mantello nella caverna, vedi che non ti ho ucciso. Riconosci dunque e vedi che non c'è in me alcun disegno iniquo né ribellione, né ho peccato contro di te; invece tu vai insidiando la mia vita per sopprimerla.
09180c0086	Sia giudice il Signore tra me e te e mi faccia giustizia il Signore nei tuoi confronti, poiché la mia mano non si stenderà su di te.
09180d005f	Dagli empi esce l'empietà e la mia mano non sarà contro di te. Come dice il proverbio antico:
09180e004c	Contro chi è uscito il re d'Israele? Chi insegui? Un cane morto, una pulce.
09180f0072	Il Signore sia arbitro e giudice tra me e te, veda e giudichi la mia causa e mi faccia giustizia di fronte a te».
091810009a	Quando Davide ebbe finito di pronunziare verso Saul queste parole, Saul disse: «E' questa la tua voce, Davide figlio mio?». Saul alzò la voce e pianse.
0918110078	Poi continuò verso Davide: «Tu sei stato più giusto di me, perché mi hai reso il bene, mentre io ti ho reso il male.
0918120073	Oggi mi hai dimostrato che agisci bene con me, che il Signore mi aveva messo nelle tue mani e tu non mi hai ucciso.
091813008e	Quando mai uno trova il suo nemico e lo lascia andare per la sua strada in pace? Il Signore ti renda felicità per quanto hai fatto a me oggi.
091814005f	Or ecco sono persuaso che, certo, regnerai e che sarà saldo nelle tue mani il regno d'Israele.
091815008b	Ma tu giurami ora per il Signore che non sopprimerai dopo di me la mia discendenza e non cancellerai il mio nome dalla casa di mio padre».
091816005b	Davide giurò a Saul. Saul tornò a casa, mentre Davide con i suoi uomini salì al rifugio.
091901008f	Samuele morì, e tutto Israele si radunò e lo pianse. Lo seppellirono presso la sua casa in Rama. Davide si alzò e scese al deserto di Paran.
09190200a7	Vi era in Maon un uomo che possedeva beni a Carmel; costui era molto ricco, aveva un gregge di tremila pecore e mille capre e si trovava a Carmel per tosare il gregge.
0919030095	Quest'uomo si chiamava Nabal e sua moglie Abigail. La donna era di buon senso e di bell'aspetto, ma il marito era brutale e cattivo; era un Calebita.
0919040041	Davide nel deserto sentì che Nabal era alla tosatura del gregge.
091905008b	Allora Davide inviò dieci giovani; Davide disse a questi giovani: «Salite a Carmel, andate da Nabal e chiedetegli a mio nome se sta bene.
091906005e	Voi direte così a mio fratello: Pace a te e pace alla tua casa e pace a quanto ti appartiene!
09190700c5	Ho sentito appunto che stanno tosando le tue pecore. Ebbene, quando i tuoi pastori sono stati con noi, non li abbiamo molestati e niente delle loro cose ha subito danno finché sono stati a Carmel.
09190800c8	Interroga i tuoi uomini e ti informeranno. Questi giovani trovino grazia ai tuoi occhi, perché siamo giunti in un giorno lieto. Dà, ti prego, quanto puoi dare ai tuoi servi e al tuo figlio Davide».
091909005f	Gli uomini di Davide andarono e fecero a Nabal tutto quel discorso a nome di Davide e attesero.
09190a0089	Ma Nabal rispose ai servi di Davide: «Chi è Davide e chi è il figlio di Iesse? Oggi sono troppi i servi che scappano dai loro padroni.
09190b0076	Devo prendere il pane, l'acqua e la carne che ho preparato per i tosatori e darli a gente che non so da dove venga?».
09190c0063	Gli uomini di Davide rifecero la strada, tornarono indietro e gli riferirono tutto questo discorso.
09190d00cb	Allora Davide disse ai suoi uomini: «Cingete tutti la spada!». Tutti cinsero la spada e Davide cinse la sua e partirono dietro Davide circa quattrocento uomini. Duecento rimasero a guardia dei bagagli.
09190e00bf	Ma Abigail, la moglie di Nabal, fu avvertita da uno dei servi, che le disse: «Ecco Davide ha inviato messaggeri dal deserto per salutare il nostro padrone, ma egli ha inveito contro di essi.
09190f00ac	Veramente questi uomini sono stati molto buoni con noi; non ci hanno molestati e non ci è venuto a mancare niente finché siamo stati con loro, quando eravamo in campagna.
0919100073	Sono stati per noi come un muro di difesa di notte e di giorno, finché siamo stati con loro a pascolare il gregge.
09191100b0	Sappilo dunque e vedi ciò che devi fare, perché pende qualche guaio sul nostro padrone e su tutta la sua casa. Egli poi è troppo cattivo e non gli si può dire una parola».
09191200d5	Abigail allora prese in fretta duecento pani, due otri di vino, cinque arieti preparati, cinque misure di grano tostato, cento grappoli di uva passa e duecento schiacciate di fichi secchi e li caricò sugli asini.
0919130058	Poi disse ai servi: «Precedetemi, io vi seguirò». Ma non disse nulla al marito Nabal.
09191400aa	Ora, mentre essa sul dorso di un asino scendeva lungo un sentiero nascosto della montagna, Davide e i suoi uomini scendevano di fronte a lei ed essa s'incontrò con loro.
09191500b4	Davide andava dicendo: «Ho dunque custodito invano tutto ciò che appartiene a costui nel deserto; niente fu danneggiato di ciò che gli appartiene ed egli mi rende male per bene.
0919160085	Tanto faccia Dio ai nemici di Davide e ancora peggio, se di tutti i suoi io lascerò sopravvivere fino al mattino un solo maschio!».
0919170075	Appena Abigail vide Davide, smontò in fretta dall'asino, cadde con la faccia davanti a Davide e si prostrò a terra.
09191800a6	Cadde ai suoi piedi e disse: «Sono io colpevole, mio signore. Lascia che parli la tua schiava al tuo orecchio e tu dègnati di ascoltare le parole della tua schiava.
09191900dd	Non faccia caso il mio signore di quell'uomo cattivo che è Nabal, perché egli è come il suo nome: stolto si chiama e stoltezza è in lui; io tua schiava non avevo visto i tuoi giovani, o mio signore, che avevi mandato.
09191a00f1	Ora, mio signore, per la vita del Signore e per la tua vita, poiché il Signore ti ha impedito di venire al sangue e farti giustizia con la tua mano, siano appunto come Nabal i tuoi nemici e coloro che cercano di fare il male al mio signore.
09191b0081	Quanto a questo dono che la tua schiava porta al mio signore, fà che sia dato agli uomini che seguono i tuoi passi, mio signore.
09191c00e3	Perdona la colpa della tua schiava. Certo il Signore concederà a te, mio signore, una casa duratura, perché il mio signore combatte le battaglie del Signore, né si troverà alcun male in te per tutti i giorni della tua vita.
09191d00ef	Se qualcuno insorgerà a perseguitarti e a cercare la tua vita, la tua anima, o mio signore, sarà conservata nello scrigno della vita presso il Signore tuo Dio, mentre l'anima dei tuoi nemici Egli la scaglierà come dal cavo della fionda.
09191e007a	Certo, quando il Signore ti avrà concesso tutto il bene che ha detto a tuo riguardo e ti avrà costituito capo d'Israele,
09191f00eb	non sia di angoscia o di rimorso al tuo cuore questa cosa: l'aver versato invano il sangue e l'aver fatto giustizia con la tua mano, mio signore. Il Signore ti farà prosperare, mio signore, ma tu vorrai ricordarti della tua schiava».
0919200070	Davide esclamò rivolto ad Abigail: «Benedetto il Signore, Dio d'Israele, che ti ha mandato oggi incontro a me.
091921006d	Benedetto il tuo senno e benedetta tu che mi hai impedito oggi di venire al sangue e di fare giustizia da me.
09192200c7	Viva sempre il Signore, Dio d'Israele, che mi ha impedito di farti il male; perché se non fossi venuta in fretta incontro a me, non sarebbe rimasto a Nabal allo spuntar del giorno un solo maschio».
091923009f	Davide prese poi dalle mani di lei quanto gli aveva portato e le disse: «Torna a casa in pace. Vedi: ho ascoltato la tua voce e ho rasserenato il tuo volto».
09192400cf	Abigail tornò da Nabal: questi teneva in casa un banchetto come un banchetto da re. Il suo cuore era allegro ed egli era ubriaco fradicio. Essa non gli disse né tanto né poco fino allo spuntar del giorno.
091925009a	Il mattino dopo, quando Nabal ebbe smaltito il vino, la moglie gli narrò la faccenda; il cuore gli si tramortì nel petto ed egli rimase come una pietra.
0919260038	Dieci giorni dopo il Signore colpì Nabal ed egli morì.
0919270134	Quando Davide sentì che Nabal era morto, esclamò: «Benedetto il Signore che ha fatto giustizia dell'ingiuria che ho ricevuto da Nabal; ha trattenuto il suo servo dal male e ha rivolto sul capo di Nabal la sua iniquità». Poi Davide mandò messaggeri e annunziò ad Abigail che voleva prenderla in moglie.
0919280071	I servi di Davide andarono a Carmel e le dissero: «Davide ci ha mandati a prenderti perché tu sia sua moglie».
0919290096	Essa si alzò, si prostrò con la faccia a terra e disse: «Ecco, la tua schiava sarà come una schiava per lavare i piedi ai servi del mio signore».
09192a009b	Abigail si preparò in fretta poi salì su un asino e, seguita dalle sue cinque giovani ancelle, tenne dietro ai messaggeri di Davide e divenne sua moglie.
09192b004d	Davide aveva preso anche Achinoàm da Izreèl e furono tutte e due sue mogli.
09192c0067	Saul aveva dato Mikal sua figlia, gia moglie di Davide, a Palti figlio di Lais, che abitava in Gallìm.
091a010091	Gli abitanti di Zif si recarono da Saul in Gàbaa e gli dissero: «Non è forse Davide nascosto sull'altura di Cachilà, di fronte al deserto?».
091a020085	Saul si mosse e scese al deserto di Zif conducendo con sé tremila uomini scelti di Israele, per ricercare Davide nel deserto di Zif.
091a0300a9	Saul si accampò sull'altura di Cachilà di fronte al deserto presso la strada mentre Davide si trovava nel deserto. Quando si accorse che Saul lo inseguiva nel deserto,
091a040049	Davide mandò alcune spie ed ebbe conferma che Saul era arrivato davvero.
091a0500e2	Allora Davide si alzò e venne al luogo dove era giunto Saul; là Davide notò il posto dove dormivano Saul e Abner figlio di Ner, capo dell'esercito di lui. Saul riposava tra i carriaggi e la truppa era accampata all'intorno.
091a0600c9	Davide si rivolse ad Achimelech, l'Hittita e ad Abisài, figlio di Zeruià, fratello di Ioab, dicendo: «Chi vuol scendere con me da Saul nell'accampamento?». Rispose Abisài: «Scenderò io con te».
091a0700ce	Davide e Abisài scesero tra quella gente di notte ed ecco Saul giaceva nel sonno tra i carriaggi e la sua lancia era infissa a terra a capo del suo giaciglio mentre Abner con la truppa dormiva all'intorno.
091a0800ae	Abisài disse a Davide: «Oggi Dio ti ha messo nelle mani il tuo nemico. Lascia dunque che io l'inchiodi a terra con la lancia in un sol colpo e non aggiungerò il secondo».
091a09007b	Ma Davide disse ad Abisài: «Non ucciderlo! Chi mai ha messo la mano sul consacrato del Signore ed è rimasto impunito?».
091a0a00af	Davide soggiunse: «Per la vita del Signore, solo il Signore lo toglierà di mezzo o perché arriverà il suo giorno e morirà o perché scenderà in battaglia e sarà ucciso.
091a0b00a5	Il Signore mi guardi dallo stendere la mano sul consacrato del Signore! Ora prendi la lancia che sta a capo del suo giaciglio e la brocca dell'acqua e andiamocene».
091a0c0104	Così Davide portò via la lancia e la brocca dell'acqua che era dalla parte del capo di Saul e tutti e due se ne andarono; nessuno vide, nessuno se ne accorse, nessuno si svegliò: tutti dormivano, perché era venuto su di loro un torpore mandato dal Signore.
091a0d0069	Davide passò dall'altro lato e si fermò lontano sulla cima del monte; vi era grande spazio tra di loro.
091a0e008e	Allora Davide gridò alla truppa e ad Abner, figlio di Ner: «Non risponderai, Abner?». Abner rispose: «Chi sei tu che gridi verso il re?».
091a0f00bf	Davide rispose ad Abner: «Non sei un uomo tu? E chi è come te in Israele? E perché non hai fatto guardia al re tuo signore? E' venuto infatti uno del popolo per uccidere il re tuo signore.
091a1000e9	Non hai fatto certo una bella cosa. Per la vita del Signore, siete degni di morte voi che non avete fatto guardia al vostro signore, all'unto del Signore. E ora guarda dov'è la lancia del re e la brocca che era presso il suo capo».
091a110090	Saul riconobbe la voce di Davide e gridò: «E' questa la tua voce, Davide, figlio mio?». Rispose Davide: «E' la mia voce, o re mio signore».
091a120062	Aggiunse: «Perché il mio signore perseguita il suo servo? Che ho fatto? Che male si trova in me?
091a13014c	Ascolti dunque il re mio signore la parola del suo servo: se il Signore ti eccita contro di me, voglia accettare il profumo di un'offerta. Ma se sono gli uomini, siano maledetti davanti al Signore, perché oggi mi scacciano lontano, impedendomi di partecipare all'eredità del Signore. E' come se dicessero: Và a servire altri dei.
091a1400b2	Almeno non sia versato sulla terra il mio sangue lontano dal Signore, ora che il re d'Israele è uscito in campo per ricercare una pulce, come si insegue una pernice sui monti».
091a1500cc	Il re rispose: «Ho peccato, ritorna, Davide figlio mio. Non ti farò più del male, perché la mia vita oggi è stata tanto preziosa ai tuoi occhi. Ho agito da sciocco e mi sono molto, molto ingannato».
091a160050	Rispose Davide: «Ecco la lancia del re, passi qui uno degli uomini e la prenda!
091a1700c5	Il Signore renderà a ciascuno secondo la sua giustizia e la sua fedeltà, dal momento che oggi il Signore ti aveva messo nelle mie mani e non ho voluto stendere la mano sul consacrato del Signore.
091a18009b	Ed ecco, come è stata preziosa oggi la tua vita ai miei occhi, così sia preziosa la mia vita agli occhi del Signore ed egli mi liberi da ogni angoscia».
091a1900a5	Saul rispose a Davide: «Benedetto tu sia, Davide figlio mio. Certo saprai fare e riuscirai in tutto». Davide andò per la sua strada e Saul tornò alla sua dimora.
091b0100e8	Davide pensò: «Certo un giorno o l'altro perirò per mano di Saul. Non ho miglior via d'uscita che cercare scampo nel paese dei Filistei; Saul rinunzierà a ricercarmi in tutto il territorio d'Israele e sfuggirò dalle sue mani».
091b020075	Così Davide si mosse e si portò, con i seicento uomini che aveva con sé, presso Achis, figlio di Moach, re di Gat.
091b0300a9	Davide rimase presso Achis in Gat, lui e i suoi uomini, ciascuno con la famiglia; Davide con le due mogli, Achinoàm di Izreèl e Abigail, gia moglie di Nabal da Carmel.
091b04004b	Fu riferito a Saul che Davide si era rifugiato in Gat e non lo cercò più.
091b0500d7	Davide disse ad Achis: «Se ho trovato grazia ai tuoi occhi, mi sia concesso un luogo in una città del tuo territorio dove io possa abitare. Perché dovrà stare il tuo servo presso di te nella tua città reale?».
091b06006f	E Achis quello stesso giorno gli diede Ziklàg; per questo Ziklàg è rimasta in possesso di Giuda fino a oggi.
091b07005b	La durata del soggiorno di Davide nel territorio dei Filistei fu di un anno e quattro mesi.
