2800000008	Maatoosa
2a1004005f	Shuumatitsitippa ta wodhdhize wode asuntsi tana mokkode fana oochchode baz ta erane› yagayda.
2a10050092	«Yinnii gisho, E laatstse gale yeze asuntsana feta feta xeegii ki7i tiino atstsego, ‹Neella afa ta laatstse gale wantsi yeze?› yaga7i oocida.
2a1006009a	«E, ‹Lam7itam barmeele zayte gale yene› yagayda. «Shuumize, ‹Wule warqate hyatte, ellisii, taphphi barmeele zayte gale yene ga7i xaafo› yagayda.
2a100700cb	«Yinnippa kaallii lam7antsizego, ‹Nees wantsi yeze?› yagayda. «E, ‹370 kunttaale zarga gale yene› yagayda. «Shuumize, ‹Ne wule warqate hyatte, ellisii, 296 kunttaale yaga7i xaafo› yagayda.
2a10080089	Karttii aday ammaninttikaayze shuumiza E cinccatitsitis nashshida. Hyanna alamtti na7untsi as ayfora foo7o na7untsappa aadhide wozinaama.
2a10090091	«Yinnii gisho, ta yinttis ohine; hyanna alamtti bira hyal7ize wode medhina keetstsite mokkinttode fana hyanna miishitira yinttis lagge wonggote.
2a100a0084	Ubbappa eerats baza ammaninttide gaama baza ammaninttidaya maaqqane. Mahi ubbappa eerats baza ammaninttoose gaama baza ammaninttoos.
2a100b005e	Yikke, hyanna alamtti birara yin ammaninttanxii ixxiko turii bira yinttis oode hyadara immade?
2a100c0047	Yin melle as birtte ammaninttanxiko, yin buzo bira yinttis oode immade?
2a100d00b3	«Fettii arize lam77i laatstsuntsis aqodes dandda7oos. Feta ixxiko hyankkaya kadhane woy fetego shiiqiko hyankkaya leqqane. Yinnii gaara, yin Xoozisin birasin aqodes dandda7oos.»
2a100e0036	Bira kadhize Farisaawuntsi yinno si7i Yesuusa leqqida.
2a100f0078	E, «Yin yinttana as tiino beezane, yezin Xoozii yin wozintto erane. As tiino bonchchinttiday Xoozze tiino borunttidaya.
2a101000b0	«Muse higgitan nabunts kiita Wahannisa yellodes yinttis oochitera gam7ida. Yinnippa suuba, Xoozze ka7itumo Wonggeltta sabbakinttite gam7ida. Asi ubba yeyga gelodes dafinttane.
2a10110055	Yezin, higgitippa fettii yishsha fidaale attodannippa salon sa7an aadhizanna laafane.
2a10120067	«Fa machchito dakkii melle ekkize ubba olalane. Fa azinzeppa anjjinttidanno ekkizayin olalane» gayda.
2a1013005f	«Al7on lo77o bonchcho afula ma7ize, sa7a giigin ubba wode ufayssara yeze fettii dure asi yene.
2a10140078	Melle mahi galtta kumutsi hyargitsi maaqqide fettii Alaazare ga7inttize dahize ye dure atstse bale olintti attiday yene.
2a10150089	Nayeppa denddii dure atstse leematippa wodhdhize gufa ma7ades amudhdhii yene. Melle atto yezin, kanuntsi yi7i E hyarggits besito laa7ane.
2a1016006c	«Ye dahize hyayqqida; kiitanchchuntsi eza Abrahama shuphite ekkida. Mahi dure atstsen hyayqqii mooginttida.
2a10170058	Si7oole un7intti yezitera dhoqi ga7i hyaakora Abrahaman E shuphite yeza Alaazare bi7ida.
2a101800b5	E, ‹Aabbo Abrahama, taas yiqsinttoya; hyanna loxize tamtte un7intti yeze gisho Alaazare fa gil7iza hyaatsa dakkii ta il7antsito laakitsode fana aade eza dakkoya› yaga7i uukkida.
2a101900ba	«Yezin Abrahama eego, ‹Ta na7ayo, ne sa7a yeze wode lo77o bazito ekkidanno, mahi Alaazare iita baz ekkidanno qoppo. Yezin hyatte E hyanne ufayttane, mahi ne waayintti yene› yagayda.
2a101a009a	Hyanna ubbannippa aadhii, ‹Hyaygappa yinttago, sekkappa hyankka nuugo aadhodes koyzuntsi finggaame fana nuusin yinttis gidda damma gaga yene› yagayda.
2a101b0059	«Dure atstse, ‹Ta adayo, yeezako Alaazare ta aday kara kiittode fana ta nena woossane.
2a101c0069	Taas ichchin ishuntsi yene, unttin hyanna madha besite ye7aame fana unttis wodhdhii markkidho› yagayda.
2a101d004e	«Yezin Abrahama, ‹Unttis Musen nabuntsin yene; un ohizanno si7o› yagayda.
2a101e007c	«Dure atstse, ‹Aabbo Abrahama, yinnii fana baaya; fettii asi hyayqoppa denddii wodhdhiko un maarotitsi geloda› yagayda.
2a101f0075	«Abrahama, ‹Musen nabuntsna si7anxiko, melle atto yezin hyayqoppa fettii asi denddii ohikon ammanoos› yagayda.»
2a11010095	Yesuusa fa tamaaruntsago, «As dhubutsi nagara geltsizebaz yi7ikaayzara attaama. Maaqqikon, nagara gidda gelode fana oochchize atstsa bade» yagayda.
2a1102005a	Ye atstse eeratsuntsappa feta balitsodannippa woxa fa afurtte accii abba geliko ees lo77o.
2a1103006a	Yinnii gisho naaginttote. «Ne ishe nagara oochchiko kacco; azzanii maarotitsar maaqqiko, ees atto yaga7o.
2a1104007e	Fettii qammite laappun tohe qohii, laappun tohe, ‹Taanii ta isidanno erida tana maaro› yaga7i neego yiiko ees atto ga7o.»
2a11050038	Hawaaruntsi Laatstsago, «Ammano nuus gujjoya» yagayda.
2a1106008a	Laatstsii, «Gaashe aafe fana ammano yinttis yeziko ‹Hyay waliza shodintti abba gidda tukintto› yagayko yinttis kiitinttoda» yagayda.
2a110700af	Gujjii Yesuusa, «Yin giddappa fetes oochchize woy duro yenggize aro yeziko oocha gadeppa woy wudeppa kara yi7ide wode ‹Elle hyayga yi7i katstsa ma7ades betto› gaaze yene?
2a1108007a	Baaya, ‹Taas kawo giigizo; ta mu7i, uzhii ashshode wontsis eqqii muuzo. Yinnippa suuba, ne mu7i ushshada› yaga7osaane?
2a11090035	Yikke, laatstse, arize kiitto folide gisho anjjanene?
2a110a0086	Yinnii gisho, yinttin kiitinttidanno mulo folide wode ‹Nu fatsoosse aruntsana; oochchodes beezze oochito folida› ga7ote» yagayda.
2a110b0052	Yesuusa Yerusalaame hyanggitera Samaarasin Galila sa7asin giddara kantsii aadhida.
2a110c0071	Fettii kara gancce gelize wode qursuma hyarggera aykkinttide taphphi asuntsi eza denggida. Unttin hyaakora eqqii,
2a110d0036	«Laatstsi Yesuusa, nuus yiqsinttoya» yaga7i uukkida.
2a110e0070	E unttana bi7ide wode «Hyanggi yin galtto Ayhude kahinuntsis beezote» yagayda. Un ogella hyanggitera geezhida.
2a110f0063	Unttappa fetay fa geezhidanno be7eze wode dhoqi gayde qaalara Xooz bonchchitera Yesuusago maaqqida.
2a11100043	E Samaara sa7a asi, yezin Yesuusa tohitilla afa gol7i eza galatida.
2a11110050	Yesuusa, «Geezhiduntsi taphphi asi maaqqosane? Yeezin, uddufununtsi aba qitido?
2a11120056	Hyay allaga atstseppa attin melle maaqqii Xooz galatide baaya ga7ene?» yaga7i oocida.
2a1113003e	Atstsego, «Ne ammantta nena geeshida; denddii qito» yagayda.
2a11140074	Farisaawuntsi, «Xoozze ka7itumo ayde ye7ode?» ga7i Yesuusa oocida. E, «Xoozze ka7itumtta benttize mallara ye7oos.
2a11150076	Mahin izo, ‹Hyanne woy sekka yaga7odes dandda7oos. Akkos gayko, Xoozze ka7itumtta yin gidda yene›» yaga7i mahida.
2a1116006a	Yesuusa fa tamaaruntsago, «As Na7a qammitippa feta bo7odes yin amudhdhode wode ye7oda, yezin yin be7aama.
2a1117005d	Asuntsi, ‹E yeyga yene› woy, ‹Hyanne yene› yaga7oda, yezin unttana kaallii qitippete.
2a1118005e	Zeelintsi zeelinggii salo gaxappa gaxa foo7ize fana As Na7a ye7iti qammita yinnii fana yi7ada.
2a1119005f	Yezin yinna hyanodannippa tiino As Na7ay gaama madhidhadesin hyanna yelette ixinttodes beezane.
2a111a003a	Nohe wode yi7ide fana As Na7ay woditen yinnii fana yi7ada.
2a111b0084	Nohe Markkabe gelide qammito yellodes asuntsi mu7iteran uzhitera, ekkiteran gelitera yessadera dhabsse hyaatsita yi7i ubba dhabsida.
2a111c0071	Looxe beren yinnii fana yi7ida. Asuntsi mu7iteran uzhitera, wonggiteran bayzitera, tukkiteran keexitera, gam7ida.
2a111d005e	Looxe Soodomeppa kezide qamma diinne ga7inttize michizebaz saloppa bukkii ubbuntsana dhabsida.
2a111e002e	As Na7ay qonccize woditen yinnii gaara yi7oda.
2a111f0083	«Ye wode ooden bale yeze keetstsa gidda yeze baz ekkodes keetstsa gelippe. Yinnii fana, gade yeze asi akko bazisin kara maaqqippe.
2a11200018	Looxe machchito tiirote;
2a1121005f	fa shemppito ashshodes koyze asi ooden dhabssoda; fa shemppito aatsii inggize ooden E ashshoda.
2a11220062	Ta yinttis ohine; ye wode lam77i asuntsi fettii datsalla woy7oda. Fete ekinttoda, hyankkay attoda.
2a11230047	Lam77i maachuntsi wolla gaaccodera fetta ekkinttoda, hyankkanna attoda.
2a11240058	[Lam77i asuntsi wolla gade oochchizuntsappa fetay ekinttoda, hyankkay attoda»] yagayda.
2a1125005f	Un, «Laatstso aba ekinttode?» yaga7i oocida. E, «Gawuxa yeze bessa ankko shiiqane» yagayda.
2a12010065	Yesuusa fa tamaaruntsana azal7ikaayzar ubba wode woossode fana tamaarssodes koyi yaga7i aazize ohida:
2a12020048	«Fettii katama Xoozis zhashtoosse asin yeellidhoosse fettii daynna yene
2a1203008e	Yinna katamite fettii budantta yene. Izan, ‹Taasin ta morkkizes gidda yeze mootto firddo› yaga7i ubba wode ye daynnizego mahi mahi yi7ine.
2a12040081	Daynnize eerats wodes I ohito si7anxi ixxida, yezin suubappa fa wozintte, ‹Taanii Xoozis zhashtoosa, asis yeellidhanxi ixxikon,
2a1205007a	hyanna budantta tana waayetsize gisho iisi firddoda; yeyzanxiko ubba wode yi7i tana labbisada› yaga7i qoppida» yagayda.
2a1206002c	Laatstsin, «Iita daynnize ga7idanno si7ida;
2a1207005b	Xoozii qamman awara eego uukkize fa dooriduntsis firddosaane? Unttana maaddodes gam7odaane?
2a1208007a	Ta yinttis ohizanno si7ote, ellisii firddoda. Maaqqikon, As Na7ay ye7ize wode sa7alla afa ammano demmadyessane?» yagayda.
2a12090074	Mahi, Yesuusa, fana xillo asi fana mahi ceeqinttizuntsisin melluntsana leqqizuntsis hyannigaara yaga7i aazize ohida:
2a120a006a	«Lam77i asuntsi woossodes Xoozze keetstsa hyanggida. Fete Farisaawe hyankkay mahi qaraxe gachchizize asi.
2a120b00b1	Farisaawuze eqqii faas woossitera, ‹Xoozzayo taanii mellunts fana bonqize asi, iitan olale asi, aadhii mahi hyay qaraxe gachizize atstse fana maaqqikaayze gisho nena galatane.
2a120c0058	Saaminttappa lam77i tohe xoomane, ta denggizebaz ubbannippa asiraata kessane› yagayda.
2a120d00b1	«Yezin qaraxe gachizize mahi hyaakora eqqii melle atto yezin Salo dhoqi ga7i be7adesin zhashtii fa dadabito qoxxittera ‹Xoozayo, tana nagaranchchiza maaroya› ga7i woossida.
2a120e00d7	Ta yinttis ohizanno si7ote; Farisaawizeppa hyayni qaraxe gachizize Xoozze tiintte xillo maaqqii fa kara maaqqida. Akkos gayko, fana dhoqi dhoqi yiize asi toochinttoda, fana toochize asi dhoqi dhoqi ga7oda» yagayda.
2a120f0096	Yesuusa zhooga na7untsalla afa fa kushito gaddii anjjode fana asuntsi eego ke7ine. Yesuusa tamaaruntsi yinno bi7i akkos Yesuusago ke7e yaga7i kaccida.
2a1210008a	Yezin Yesuusa na7untsana faago xeegii, «Na7untsi taago yo7odanno kayppete; yo7o ga7ote. Akkos gayko, Xoozze ka7itumo un fana yi7iduntsis.
2a12110065	Taanii yinttis turo ohine; Xoozze ka7itumo zhooga na7unts fana ekkoosse ooden yeyga geloos» yagayda.
2a12120068	Ayhude hyalaquntsappa fete, «Keeha asttamaarzayo, medhina de7o denggodes akko oochcho?» yaga7i oocida.
2a1213005c	Yesuusa eego, «Akkos tana keehizayo yaga7i xeege? Fettii Xoozzeppa attin melle keeha baaya.
2a12140076	Olalippe, wodhippe, kaystippe, worddo markkidhippe, ne adayan ne intton bonchcho yagaaze kiitto erane» yaga7i oocida.
2a12150055	Atstsayin, «Yentsesana ubba taanii na7atitsappa aykkii naagitera gam77ida» yagayda.
2a121600a2	Yesuusa yinno si7eze wode «Yikke, nees fettibaz faccane; nees yeze baz mulo bayzi dahuntsis inggo; salo nena qoltta naagane. Yeyzi maaqqii tana kaallo» yagayda.
2a1217004c	Yezin atstse yinno si7ide wode ees gaama qolo yeze gisho gaama zhilidhdhida.
2a12180048	Yesuusa atstsa bi7i, «Dure asis Xoozze ka7itumo gelizanna wayzi un7ode!
2a12190057	Dure Xoozze ka7itumo gelodannippa gimale marppe uruntsara aadhizanna laafane» yagayda.
2a121a0037	Yinno si7ide asuntsi, «Yeezako oode attode?» yagayda.
2a121b0040	Yesuusa, «Asis dandda7inttoose Xoozis dandda7inttane» yagayda.
2a121c0047	Phexiroosa, «Yikke nuunii nu baz mulo ashshii nena kaallane» yagayda.
2a121d0099	«Yesuusa turo ta yinttis ohine; Xoozze ka7itumos ga7i fa keetsito woy fa machchito woy fa ishuntsana woy fa adayan fa intton woy fa na7untsana ashshide;
2a121e0056	hyanna wodite gaama dakko, ye7ode alamite medhina de7o ekkoosse ooden baaya» yagayda.
2a121f0082	Yesuusa taphpho lam77untsana faago xeegii, «Ane Yerusalaame yedhdhote, nabuntsi As Na7ay baz xaafidanna ubbanna yeyga folinttoda.
2a12200057	E Ayhude maaqqoosse asis aadhii ingginttoda. Un eza leqqoda, cazhoda eella afa cuttoda.
2a12210059	Eza garafidannippa suuba wodhoda, yezin hyaydzintsa qamma E hyayqoppa denddoda» yagayda.
2a12220075	Yezin E tamaaruntsi yinna ubbannippa fettibazin tiirikaaya. E qoftta unttis aachinttide gisho E waaga7ezako erikaaya.
2a1223004a	Yesuusa Iyaarkko ukkize wode fettii qooqe atstse oge gaxa bettii woossane.
2a12240050	Qooqe atstse asuntsi yinna besttira aadhodera si7i, «Yinna akko?» ga7i oocida.
2a12250033	Un, «Naazirete Yesuusa hyannira aadhane» yagayda.
2a1226003a	E, «Dawute na7ay, Yesuusa, tana maaroya» yaga7i uukkida.
2a12270079	Tiino tiino hyanggize asuntsi, «Si7i ga7o» ga7i kaccida. Yezin E, «Dawute na7ayo, tana maaro» yaga7i gaantsi uukkida.
2a12280049	Yesuusa eqqii atstsa faago ko7ode fana kiittida. Atstsayin, eego shiiqin,
2a12290065	«Ta nees akko oochchode fana koye?» yaga7i oocida. Qooqize, «Laatstso ta bo7odes koyane» yagayda.
2a122a0036	Yesuusa, «bo7o, ne ammantta nena fatstsida» yagayda.
2a122b0066	Atstsay iira bi7i ashshida. Xooz bonchchitera Yesuusa kaallida. Asi ubbuntsi yinno bi7i Xooz galatida.
2a13010026	Yesuusa Iyaarkko katama gelii aadhane.
2a1302004c	Yeyga Zakkiyoosa ga7inttize qaraxe gachizuntsi hyalaqize yene. E gaama dure.
2a1303006f	E Yesuusa oode yezako be7ades koyda. E hyaata maaqqide gisho as gaamappa denddii Yesuusa be7ades dandda7ikaaya.
2a1304005f	Yesuusa be7ades koyi E hyanggize ogitis tiino woxxii hyanggi fettii boobba minxalla afa kezida.
2a1305007e	Yesuusa yinna besite yellittera dhoqi ga7i bi7i, «Zakkiyoosa, hyayno ta ne kara feeshades beeze gisho elle wodhdho» yagayda.
2a1306002d	E ellisii wodhdhii ufayssara Yesuusa mokkida.
2a13070075	Yinna besite yeze asunts ubbanna yinno bi7i, «Nagaranchchize keetstsa gelii mokinttodes yi7ane» yaga7i zuuzinggida.
2a130800c7	Maaqqo yezin, Zakkiyoosa eqqii Laatstsago, «Laatstso, yikke taas yeze qolo ubbannippa baggito dahuntsis inggoda. Asappa akko bazin worddora balitsii ekkidebaz maaqqiko oyddii kushe mahoda» yagayda.
2a13090061	Yesuusa mahi, «Hyay atstse Abrahama kochchi maaqqide gisho hyayno atotitsi hyanna kartte yi7ida.
2a130a003f	As Na7ay yi7idanna dhabiduntsana koyodesin ashshodes» yagayda.
2a130b0089	Asuntsi yinno si7ize wode Yesuusa Yerusalaame ukkide gishon Xoozze ka7itumo hyatte ukkera qonccode fana yi7ize gisho unttis aazize ohida.
2a130c0063	Yinnii gisho, Yesuusa, «Fettii erinttide asi yeze faas kaatetitsi ekkii yo7odes melle sa7a qitida.
2a130d0091	Ees oochchize aruntsappa taphphuntsana xeegii fetes fetes fettii minaane inggi ‹Ta maaqqii ye7ode wontsis hyanna miishitira zal7ote› yagayda.
2a130e007a	«Yinna sa7ite yeze asuntsi eza ixxize gisho hyay atstse nuulla afa ka7itode fana nu koyoos yaga7i asi E suubara kiittida.
2a130f009c	«Maaqqikon, ye atstse kaati maaqqii fa sa7a maaqqida. Yentsi taphphi aruntsii E inggide miishito akko gaar zal7i tirfizezako erodes koyi unttana xeegizida.
2a13100059	«Tiinosse yi7i, ‹Laatstso, ne taas inggide minaanize melle taphpho tirfida› yagayda.
2a1311009e	«Eza Laatstse, ‹Naate ammaninttide arizayo lo77o oochchida. Ne eerats baza ammaninttide gisho nees taphphi katamalla afa adetits wolqqa inggida› yagayda.
2a1312005d	«Lam7antsizay yi7i, ‹Laatstso, ne taas inggide minaanize melle ichchin tirfida› yagayda.
2a13130059	«Laatstsii eego, ‹Neesin mahi ichchin katamalla afa adetits wolqqa inggida› yagayda.
2a1314005a	«Yikke hyaydzantsize yi7i, ‹Laatstso, ta curqqara xaaxii naagide ne miishita hyannashe.
2a1315008c	Akkos gayko, neenii nebaz maaqqoosse baz ekkizannon ne budikaayzebaz maxize iita wozina mintsi asi maaqqide gisho nees zhashtida› yagayda.
2a1316009b	«Eza laatstse mahi, ‹Naate iita arizayo ne doonttii gaar ta nena firddoda. Ta gaddikaayzebaz ekkizannon budikaayzebaz maxize asi maaqqizanno ne erizako,
2a13170047	ta yi7i ta minaaniza tirfera ekkode fana zal7ize asis akkos inggika?›
2a1318006e	«Eza laatstse yinna besite eqqiduntsago, ‹Eera yeze minaaniza ekkii taphpho tirfizidays inggote› yagayda.
2a1319003e	«Un, ‹Laatstso, ees tiinon taphphi minaane yene› yagayda.
2a131a0074	«Laatstsii, ta yinttis ohine; ‹Yeze ubbuntsis melle gujunttoda, yezin bazeppa melle atto ees yezannan ekkinttoda.
2a131b0081	Maaqqo yezin, ta unttalla afa ka7itaame fana koyduntsi yentsi ta morkkuntsana hyankka ta tiintte ki7i wodhote› gayda» yagayda.
2a131c0052	Yesuusa yinno ohidannippa suuba unttappa tiino aadhii yedhdhii Yerusalaame qitida.
2a131d006c	Shamahe Derizella afa yeze Beetefaagen Bitaaniya ukkide wode fa tamaaruntsappa lam77untsana yaga7i kiittida:
2a131e008f	«Yin tiino yeze kara gancce qitote, yin yeyga yellize wode ooden toggikaayze acinttii yeze hyare na7a demmada. Eza billii hyayga ekkii yo7ote.
2a131f0055	Ooden, ‹Akkos bille?› ga7i oociko, ‹Laatstsii eza koyane› yaga7ote» yagayda.
2a13200035	Kiitinttiduntsi hyanggi E gaydanni fana yi7in bi7ida.
2a13210053	Un hyare na7aya billodera laatstsuntsi bi7i, «Hyare na7aya akkos bille?» yagayda.
2a1322002a	Un mahi, «Laatstsii eza koyane» yagayda.
2a1323006e	Yeygappa hyare na7aya Yesuusago ki7ida. Fa ma7ito hyare na7ay bantte gaddii Yesuusa hyare na7ayilla betitsida.
2a13240031	Asuntsin E yedhdhize ogitilla fa ma7ito yiixxida.
2a13250086	Shamahe dere sulle wodhdhize ogizego ukkize wode faydora loytsii gaama asuntsana un bi7i kille bazite ufaytti fa qaaltto dhoqi yiizii,
2a13260084	«Laatstse suntsite ye7ize kaatize anjjinttidaya salo gidda saro Ubbappa dhoqqa salo bonchcho Xoozis maaqqe.» Yaga7i Xooz galatida.
2a13270078	Asunts giddappa fettii fettii Farisaawuntsi Yesuusago, «Asttamaarizayo, ne tamaaruntsana hyayzote ga7i kacco» yagayda.
2a1328003b	E unttago, «Un si77i gayko shuchchuntsi uukkoda» yagayda.
2a13290036	Yesuusa Yerusalaame ukkite katamito bi7i iis yeekkida.
2a132a0059	«Nees saro maaqqadanno hyayno ne erizebaz maaqqizako yezin, hyatte ne aaftippa genggida.
2a132b0052	Ne morkkuntsi ne kantto gasii dumma dumma ogera nena teqqii un7itsize wode ye7oda.
2a132c00ac	Nenan ne gasiti gidda yeze ne na7untsana dhabssoda. Fettii fettii shuchchi dentsii wul7oda, akkos gayko Xoozii nena ashshodes ye7ize wodito erikaaya» yaga7i iisi yeekkida.
2a132d004e	Yinnippa suuba, Yesuusa Xoozze keetstsa gelii zal77izuntsana yeygappa bay7ida.
2a132e0083	Mahi, «‹Ta keetsita Xooz woossize keetstsi maaqqada› ga7i xaafinttida, yezin yin ta keetsito faanuntsi wom7o mahida» yagayda.
2a132f007e	Awara awara Xoozze Keetstsite tamaarssane. Kahinunts hyalaquntsi, higge asttamaaruntsin gade cimuntsi eza wodhodes oge koyane.
2a13300066	Maaqqo yezin, asuntsi ubbanna E timirttito fa wozintto olii si7ize gisho unttis oochchode baz dhabida.
2a140100a3	Fettii qamma Yesuusa Xoozze Keetstsa asuntsana tamaarssitteran Wonggele markkidhite, kahinunts hyalaquntsi, higge asttamaaruntsin gade cimuntsi fettilla eego yi7i,
2a1402007a	«Ne hyantsesana akko adetitsi wolqqara oochchizako nuus oho. Hyanna adetitsi wolqqito nees inggide oode?» yaga7i oocida.
2a1403003e	E unttago, «Taanin yinttana fettibaz oocoda, ane taas mahote.
2a1404003a	Xammaqize Wahannisa xinqqata Xoozappane asappa?» yagayda.
2a14050057	Un wol gidda yaga7i zorinttida: «Xoozappa gayko yeezin, akkos ammananxido?» yaga7oda.
2a14060063	«Asappa gayko, asuntsi ubbanna Wahannisa nabe maaqqizanno ammanze gisho nuna shuchchara dhogoda.»
2a14070035	Yinnii gisho, «Abap yezako nu erosi» yaga7i mahida.
2a14080065	Yesuusa mahi, «Yikke, taanin akko adetitsi wolqqara hyantsesana oochchizako yinttis ohoos» yagayda.
2a140900a3	Yinnippa suuba, Yesuusa yaga7i hyanna aazizto asuntsis ohida: «Fettii asi woyne tukkida. Oochchizuntsis kotstse inggi gaama wode gam77i yo7odes melle sa7a qitida.
2a140a00a5	Woyne aafto maxize wode yellin woyne aaftippa ees dakkode fana oochchizuntsago fa ariza kiittida. Yezin oochchizuntsi ye ariza aykkii hyadhdhii hyarii kushe dakkida.
2a140b0060	Mahin melle ariza kiittida. Mahi oochchizuntsi eza hyadhdhii, kawushshizii hyarii kushe dakkida.
2a140c0070	Hyatten mahi hyaydzintsa ariza kiittida. Wootizuntsi ezan hyadhdhii hyarggizii woyne giddappa gaxa kessii olida.
2a140d008a	«Woyne laatstse, ‹Yeezin ta akko oochcho? Ane mahi ta kadhize ta na7aya dakkoda; oode erode un eza bonchchikaayzara attaama› yagayda.
2a140e0098	«Yezin oochchizuntsi atstse na7aya bi7ide wode ‹Hyayni eza laattodaya, hyayga yo7ote eza wodhoda, yeyziko laatita nuus maaqqada› yaga7i zorinttida.
2a140f0057	Woyne giddappa gaxa kessii wodhida. «Yeezin, woyne laatstse yentsi asuntsana wayssade?
2a1410009c	Yi7i yentsi oochchizuntsana dhabssoda, woyne bestto melle asuntsis inggoda. Asuntsi yinno si7eze wode ‹Shinchchalle yinnii gaarzebaz ki7ippe›» yagayda.
2a141100c5	Yesuusa unttana dakkii bi7i, Yeezin «Gimbbe keexxize asuntsi boride shuchchize, keetstsis mintsin xalatitsi inggize ubbannippa aadhize shuchchi maaqqida» «ga7intti xaafinttidanni bilitsita akko?
2a1412006b	Ye shuchchizella afa gol7ize ubbanna meqqoda, shuchchize eella afa wodhdhize ubbanna gaacinttoda» yagayda.
2a1413009b	Higge asttamaaruntsin kahinunts hyalaquntsi yinna aazizita ohinttidanna unttalla afa maaqqidanno erii ye wode eza aykkodes koyda, yezin asuntsis zhashtida.
2a141400aa	Yinnii gisho, Yesuusa worzhito ahize Roome kaatizes aatsii immades koyi E doonttippa bala qaala naagane. Yinno folisades xillo gaara yi7i cimmize asuntsana eego kiittida.
2a141500a7	Kiitinttii hyanggide asuntsi, «Asttamaarizayo, neenii ohizannan tamaarssizanna likke maaqqizanno, mahi Xoozze ogito turira tamaarssizannon oonan shagoosanno nu erane.
2a1416004f	Yi7o yezin, Roome kaatis giira giirodes beezanene beezosa?» yaga7i eza oocida.
2a14170029	Yezin E un wozina iitatitsito eride gisho
2a14180076	«Ane tana fettii santime beezote, Eella yeze misiltan suntsita oodebazo?» yagayda. Un mahi, «Roome Kaati» yagayda.
2a1419004d	E mahi, «Yeezako, Qeesarestto Qeesares, Xoozzesito Xoozis inggote» yagayda.
2a141a006e	Yinnii gisho, E mahide mahite asuntsi tiintte bala denggodes dandda7ikaaya. E mahite gaama qoppii si77i gayda.
2a141b0049	Hyayqoppa denddo baaya yagaaze Saduqaawuntsappa fete fete Yesuusago yi7i,
2a141c009c	«Asttamaarizayo, fettii asi machcho ekkii na7a yelikaayzara hyayqqiko, E ishe yinna machchito ekkii na7a yelii fa ishes kochchi ashshode fana Muse xaafida.
2a141d0050	Yikke laappun ishuntsi yene. Anggisse machcho ekkii na7a yelikaayzara hyayqqida.
2a141e0032	Lam7antsize izo ekkii na7a yelikaayzara hyayqqida.
2a141f0077	Hyaydzantsize yinnii fana yi7ida. Laappununtsi ubbanna yinnii gaara yi7i izo ekkida, yezin na7a yelikaayzara hyayqqida.
2a14200022	Ubbappa suuba machchita hyayqqida.
2a1421006d	Yikke, laappun dhiiratsi izo ekkide gisho hyayqoppa denddize wode iza oode machcho maaqqade?» yaga7i oocida.
2a14220030	Yesuusa mahi, «Asi hyanna wodite ekkane gelane.
2a14230049	Yezin hyayqoppa denddii ye7ode alamite yessades beezuntsii ekkosi geloos.
2a1424005f	Un kiitanchcho fana maaqqize gisho tiinoppa hyayqqoos. Hyayqoppa denddide gisho un Xoozze na7a.
2a142500a8	Muse Laatstsii, ‹Abrahama Laatstsii, Yisaaqa Laatstsii, Yayqooba Laatstsii› ga7i cil7o gidda eexize tama taarikito xaafidanne hyayqqide asuntsi denddizanno beezane.
2a14260079	Ubbuntsi ees faxa yezuntsana maaqqade gisho E faxa yezunts Laatstsap attin hyayqqiduntsi Laatstsii baaya» yaga7i mahida.
2a1427004f	Higge asttamaaruntsappa fete fete, «Asttamaarizayo, lo77o baz ohida» yagayda.
2a1428002d	Yinnippa suuba, melle ooce oocodes zhashtida.
2a1429004f	Yinnippa kaallii Yesuusa unttago, «Asuntsi Kiristtoosa wayzi Dawute na7a ga7e?
2a142a00b4	Akkos gayko, Dawute fa ommite Mazmure maxaafite, «‹Xoozii ta Laatstsego «Ta ne morkkuntsana ne tohita yedhdhize bessi mahode wontsis taappa mizaqi zalara betto» gayda yagayda.
2a142c005d	«Yikke, Dawute Kiristtoosa, ‹Laatstso ga7i xeegittera ees na7a wayzi maaqqe?›» yagayda.
2a142d0023	Asi ubba si7adera fa tamaaruntsago,
2a142e00b6	«Pharggo ma7o ma77i wuta kadhizuntsappa, gabe bonchcho sarotse, Ayhude woosa Keetstsite bonchcho oyda, mokunttize keetstsan bonchcho bessi koyze higge asttamaaruntsappa naaginttote.
2a142f006f	Un budan keetstsi kallo ashshizuntsana, xillo asi gaar yi7i woosa pharggizane. Un iita firdda ekkoda» yagayda.
2a15010057	Dure asi Xoozze Keetstsa muxaate saaxintte olodera Yesuusa dhoqi ga7i asuntsana bi7ida.
2a15020036	Mahi fettii daha budantta lam77i sikkina olodera bi7i,
2a15030048	«Ta yinttis turo ohine; hyanna daha budantta ubbannippa aatsii inggida.
2a15040080	Akkos gayko, hyantsi asuntsi ubbanna faas yeze bazappa inggida, yezin iza fa facitippa, faas yeze yestto mulo inggida» yagayda.
2a15050079	Yesuusa tamaaruntsappa fete fete Xoozze Keetsita gaama lo77ize shuchcharan asi Xoozis inggide imora lo77idanno ohinttane.
2a15060094	Yezin Yesuusa, «Hyanna yin be7ize bazita ubbanna lanttikaayzara, shuchchi shuchchalla afa gimbbinttide fana hyannira attoose wode ye7oda» yagayda.
