0100000008	Genesisy
0b06040060	Nandranjia’e lalan-kede i anjombay, bey ty ampohe’ ty añate’e naho maifitse ty alafe’e.
0b060500a2	Natratrañà’e o rindri’ i anjombaio mañarikatoke i anjombay, naho i efetse beiy vaho i efe-miavakey; aa le nandranjia’e efets’ efetse ty mañariary aze;
0b060600f4	o efetse ambaneo le kiho lime ty ampohe’e, naho enen-kiho ty añivo’e vaho kiho fito ty faha­telo’e; nandranjia’e soñy i rindriñe alafe’ i anjombay mañariary azey, soa tsy hifahatse amo rindri’ i anjombaio o manantañeo; amy te,
0b060700b7	ie narafitse i anjombay, le narafitse am-bato nihentseñeñe am-pihaliañe añe; vaho tsy nijanjiñeñe amy anjombay am-pandranjiañe aze ty ana-bato ndra fekoñe ndra haraotse viñe.
0b060800aa	Ty lala’ o mizakitse añ’ila ankavana’ i anjombaio, le nionjoñe am-panongañe nivanditse mb’amo mizakitse añivoo, vaho boak’ amy añivoy pak’ amy fahateloy.
0b0609006d	Aa le rinanji’e i anjombay naho nifonira’e; vaho kinape’e varambañe naho boda mendoraveñe i anjombay.
0b060a007a	Le rinanji’e vatsa hañarikatoke i anjombay, songa kiho lime ty haabo’e; ie nirampy amy anjombay am-boda-mendoraveñe.
0b060b0039	Aa le niheo amy Selomò ty tsara’ Iehovà nanao ty hoe:
0b060c00be	O anjom­ba amboare’oo: ie añaveloa’o o fañèkoo naho anoe’o o nafepèkoo vaho hene ambena’o o lilikoo, hañaveloa’o, le hajadoko ama’o i entako nitsaraeko amy Davide rae’oy,
0b060d005a	te himoneñe añivo’ o ana’ Israeleo iraho, vaho tsy haforin­tseko ondatiko Israeleo.
0b060e0037	Aa le rinanji’ i Selomò i anjombay vaho nahafonitse.
0b060f00c8	Le rinanji’e am-baramba mendoraveñe o rindriñe amy anjombaio boak’ an-tane pak’ an-tsazo’e ambane riha eo; le nilafiha’e hatae o añate’e iabio vaho nilafiha’e haradranto ty ambane eo.
0b061000c0	Natratraña’e kiho roapolo ty amboli’ i anjombay, am-baramba mendoraveñe mifototse an-tane pak’ an-tapenake, nanoa’e efetse añate’e ao ho toem-pitsarañe, ho toetse masiñe do’e.
0b06110051	I trañoy—i efetse aolo’ i masiñe do’eiy, le efa-polo kiho ty an-dava’e.
0b06120084	Sinokitse sarem-bebeke naho voñe miborake o mendoraveñe añate’ i anjombaio; ama’ mendoraveñe iaby izay, tsy nahaisaham-bato.
0b06130055	Hinalanka’e amy anjombay i toe-miavakey, hampidona’e i vatam-pañina’ Iehovày.
0b061400c8	Kiho roapolo ty andava’e miaolo i toe-miavakey, naho kiho roapolo ty am-pohe’e le kiho roapolo ty haabo’e, le nitemere’e volamena ki’e; napo’e ao ka ty kitrely, le sinaro’e mendoraveñe.
0b06150091	Nitemere’ i Selomò am-bolamena ki’e ka i trañoy, naho kinazaza’e silisily volamena ty aolo’ i toe-miavakey vaho nandafiha’e volamena.
0b06160088	Hene nitemere’e am-bolamena i trañoy, ampara’ te nifonitse i trañoy; vaho nipakora’e volamena iaby ty kitreli’ i toe-miavakey.
0b06170050	Nandranjia’e kerobe roe an-talý i toe-miavakey, songa kiho folo ty haabo’e.
0b0618008d	Kiho lime ty ela’ ty kerobe raike, naho kiho lime i ela ila’ey; kiho folo ty boak’an-dengon-ela’e raike pak’an-dengo’ i ila’ey.
0b06190063	Nivelatse kiho folo ka i kerobe raikey, songa aman-jehe mira naho aman-kabey mira i kerobe roe rey.
0b061a003f	Folo kiho ty haabo’ ty kerobe raike, mira ama’e ty ila’e.
0b061b0110	Napo’e añivo’ i efetse añate’ey i kerobe rey, le nivelareñe ty ela’ o kerobeo naho nioza ami’ty rindriñe ty ela’ ty raike naho nioza an-drindriñe tandrife’e ka ty ela’ i kerobe raike vaho nifañoza añivo’ i efets­ey ty lengon-ela’ iareo ila’e.
0b061c0024	Pinako’e am-bolamena i kerobe rey.
0b061d0096	Le nanokira’e sare kerobe naho satrañe mb’eo mb’eo amo rindri’ i anjombay iabio, vaho nandafiha’e voñe miborake añate’e naho alafe’e.
0b061e0058	Nandafiha’e am-bolamena ka ty ambane’ i anjom­bay, i añate’ey naho i alafe’ey.
0b061f0060	Nandranjia’e lalañe an-talý i toe-miavakey, ze napetak’ an-dahin-dalañe an-drirañe lime.
0b06200093	Aman-talý i lalañe roe rey; le nanokira’e sare-kerobe naho satrañe vaho voñe miborake, le nipakora’e volamena o kero­beo naho o satrañeo.
0b0621005d	Izay ka ty nanoa’e i fimoahañe i an­jom­bay, lahindalañe an-talý, an-drira’e efatse.
0b0622008e	Haradranto i lalañe roe rey; miodikodiñ’ an-tsoavili’e ty lela roe ty lalañe raike, vaho miodiñe ka ty lela roe’ i lalañe ila’ey.
0b06230074	Le nanokira’e ke­robe naho satrañe naho voñe miborake vaho nipakora’e volamena natsifitse soa amy sinokitsey.
0b0624006e	Namboare’e am-bato nivañeñe telo sosoke naho soso’e raik’ am-boda mendoraveñe ty kiririsa añate’e.
0b06250062	Ie am-bolan-tatak’ i taom-pah’ efatsey ty nampijadoñañe o mananta’ i anjomba’ Iehovàio;
0b062600cb	vaho ami’ty vatravatra, volam-paha-valo’ i taom-paha-folo-raik’ ambiy ty nahafonirañe i anjombay ami’ty lafi’e iaby ty amy ze hene nisafirieñe ama’ey. Aa le fito taoñe ty namboara’e aze.
0b07010067	Taoñe folo-telo amby ka ty nandranjia’ i Selomò i anjomba’ey le hene nifonire’e i anjomba’ey.
0b070200e2	Namboare’e ka ty anjomban’ ala’ i Lebanone, kiho zato ty andava’e naho kiho limampolo ty am-pohe’e, vaho kiho telopolo ty ha­abo’e; nitohaña’ o fahañe mendoraveñe miriritse iñ-efatseo o sazoke mendoraveñeo.
0b0703008b	Nandafihañe mendoraveñe ty ambone’ o efetse alafe’e nitohaña’ i ana-koreñe efa-polo-lime amby am-piririta’e folo-lime amby rey.
0b0704006f	Le nidadañe am-piriritañe telo o lalan-kedeo, naho hazavàñe ty niatre-kazavàñe am-pifamalahàñañe telo.
0b07050068	Songa efa-mira o lalañeo naho o lahin-dala’eo, le nifampiatrek’ am-piririta’e telo nifamalahañe.
0b070600c2	Namboare’e ka ty lampalampan’ ana-koreñe, kiho limampolo ty andava’e le kiho telopolo ty am-pohe’e; lavaranga ty am-pimoahañe; vaho aolo’ iareo o ana-koreñe naho boda’e lahi’eo.
0b0707009a	Namboare’e ty lampalampam-piambesatse hizakà’e, i lampalampam-pizakàñey; vaho nandafihañe mendoraveñe boak’ an-gorodo’e pak’ an-gorodo’e.
0b070800a7	An-kiririsa am-boli’ i lampalampay i anjomba fimoneña’ey, ie hamban-tsata; namboara’e anjomba manahake izay ka i anak’ ampela’ i Parò nengae’ i Selomòy;
0b070900ba	sindre am-batosoa, linily ami’ ty zehe’e, tinampa’ ty alasý, añate’e naho alafe’e, boak’amo manantañeo pak’ an-tsazoke, ie ka ty alafe’e pak’ amy kiririsa jabajabay.
0b070a0054	Nanoeñe vatosoa o manantañeo, vato ra’elahy, vato kiho folo vaho vato kiho valo.
0b070b0058	Vato sarotse ka ty ambone eo, songa rinamerame an-jehe’e o vatoo vaho o mendoraveñeo.
0b070c00d3	Vato hinaly nizakitse, telo mifaningitse ty nañariary i kiririsa jabajabay, le firiritam-boda-mendoraveñe ty ambone’e, manahake i an-kiririsa añate’ i anjomba’ Iehovày naho an-davaranga’ i anjombaiy.
0b070d0034	Nampañitrife’ i Selomò boake Tsore t’i Kirame,
0b070e00f5	ana’ ty vantotse fifokoa’ i Naftalý; boak’e Tsore ty rae’e, mpitoloñe torisike, lifo-kihitse naho hilala vaho faharendrehañe amy ze hene fitoloñañe torisike. Aa le nomb’ amy Selomò mb’eo re vaho nanoe’e iaby o fitoloña’eo.
0b070f0081	Niranjie’e ty fahañe roe torisike, songa kiho folo-valo’ amby ty haabo’e naho niarikatoha’ ty talý kiho folo-ro’amby.
0b0710009d	Namboare’e loha’e torisike natranake, hasampe amy fahañe rey, kiho lime ty haabo’ ty loha’e raike, vaho kiho lime ty haabo’ ty loha’ i ila’ey.
0b07110099	Nanoañe harato tsingarakarake, niravahañe silisily navandibanditse i loham-pahañe rey, fito ami’ty loha’e raike naho fito ami’ty loha’e raike.
0b071200dc	Ie nifonire’e i fahañe rey le nitsene sare dagoa mitoitoy an-tali’e roe mifamandibanditse amy tsingarakarakey, nandafihañe dagoa ty loha ambone’ i fahañey vaho nanoe’e hambañe amy izay i loham-pahañe raikey.
0b07130074	O lohà’e nasampe amy fahañe rey ro nanoañe saren-talìfoke manahake o an-dampalampao, kiho efatse ty haabo’e.
0b071400a5	Ty amy lima mihohok’ an-dengo’ i fahañe roe rey, le voan-dagoa roan-jato nifanoitoy miarikatoke marine’ i famitrañañe azey, añ’ ila’ i tsingarakarakey.
0b071500ee	Natroa’ i Kirame an-davarangam-piziliha’ i anjombay i fahañe rey; najado’e an-kavàna eo ty fahañe raike le nitokave’e ty hoe Iakine ty añara’e; vaho natroa’e ankavia’e ty fahañe ila’e le natao’e Boaze ty añara’e.
0b07160059	Asa talifoke ty ambone’ i fahañe rey; aa le nifonitse ty fitoloñañe amy fahañe rey.
0b0717009a	Niranjie’e sajoa natranake, kiho folo boak’ an-tsoñi’e pak’ an-tsoñi’e, bontoly, lime kiho ty haabo’e, naho telopolo kiho ty nañariary aze.
0b071800c6	Trongotrongoeñe hoe bereke ty niarikatok’ aze ambane’ i soñi’ey, folo ami’ty kiho’e raike, naho nañariary i sajoay am-piriritañe roe i trongotrongoeñey, natrao-pitranake amo ila’eo.
0b071900f1	Sare añombe folo-ro’ amby ty nitoboha’e, telo ty nitolik’ avaratse naho telo ty nitolik’ ahandrefa naho telo ty nitolik’ atimo vaho telo ty nitolik’ atiñanañe; najo’e ambone’ iereo i sajoay, ty voli’ iareo añivo’e ao.
0b071a008d	Ampohem-pitàñe ty hateve’e; le rinanjy hoe soñim-pitovy i soñi’ey, manahake ty voñen-talìfoke; ro’arivo bate ty nahaatsek’ aze.
0b071b008c	Niranjie’e kalesy torisike folo, sindre kiho efatse ty an-dava’ ty kalesy naho kiho efatse ty am-pohe’e vaho kiho telo ty ha­abo’e.
0b071c006f	Zao ty nisata’ i kalesy rey: nasiañe lifi’e naho nilifieñe i endraendra fikalañe añivo o tsotsò’eoy.
0b071d00bb	Liona naho añombe naho kerobe ty tamo endraendra añivo’ o tsotsò’eo. Ambone’ o tsotsò’eo ty fanampezañe; vaho ambane’ o liona naho añombeo ty nitemerañe am-pipe­pehañe.
0b071e00c2	Songa aman-darò tori­sike efatse i kalesy rey, le torisike ka o asì’eo naho ty fitohañañe efatse; nikalañe ty koveta i fitohañañe nitranaheñe rey, endrendra pinepeke o añ’ila’eo.
0b071f00b4	Kiho raike boak’ an-tsotsò’e ty haabo’ i vava’ey, bontoly izay, satam-pitobohan-koveta, kiho raike naho tampa’e; sinoki­tsokitse; efa-mira ty alafe’e, fa tsy bontoly.
0b07200094	Ambane’ i endraendray i larò’e efatse rey, le am-poto’ i kalesiy ty asì’ o larò’eo; kiho raike naho tampa’e ty haabo’ ty larò’e.
0b07210093	Hambañe ami’ty satan-daròn-tsarete ty sata’ i larò rey, songa nitranaheñe o asì’eo, o bandazeo, o tañamasoandro’eo vaho o boate’eo.
0b0722005e	Reketse fitohañañe efatse ty kotso-efa’ i kalesy rey, raik’ amo kalesio o fitohañañeo.
0b07230084	Ambone’ i kalesiy ty hàlañe bontoly, tapa-kiho ty haabo’e; raik’ ami’ty ambone’ i kalesiy o taña’eo naho o lifi’eo.
0b07240096	Nanokira’e kerobe naho liona naho satrañe o endraendran-tsotsò’eo naho an-difi’e, amy ze nalalak’ ama’e, vaho tali-randra ty niariary aze.
0b07250064	Amy sata zay ty nandranjie’e ty kalesy folo, songa lima raike naho zehe mira vaho hambam-bintañe.
0b072600a0	Namboara’e koveta torisike folo; bate efapolo ty naha­atseke ty koveta raike; sambe kiho efatse i koveta rey; ambone’ i kalesy folo rey songa koveta raike.
0b07270099	Napo’e an-kavana’ i anjombay ty kalesy lime, naho lime ty ankavia’ i anjombay; le najado’e ankavana’ i anjomba atiñanañey mañatimo i sajoay.
0b072800aa	Nitsenè’ i Kirame o valàñeo, o endraendra’eo naho o kovetao. Aa le nifonire’ i Kirame i fitoloñañe nanoe’e ho a i Selomò mpanjaka añ’anjomba’ Iehovày;
0b0729009b	i fahañe roe rey; i lima roe an-doha’e ambone’ o faha’eo rey; naho i tsingarakarake roe nanaroñe i lima roe an-doha’e ambone’ o faha’eo reiy;
0b072a00a8	naho i voan-dagoa efa-jato amy tsingarakarake roe reiy, dagoa indroe mitoitoy ami’ty tsingarakarake raike hanakonañe i lima roe an-doha’e ambone’ i fahañe reiy;
0b072b0042	naho i kalesy folo rey naho i koveta folo ambone’ o kalesio rey;
0b072c0044	naho i riakey naho i añombe folo-ro’ amby ambane’ i riakey rey;
0b072d009b	naho o valàñeo, o endraendrao, vaho o kovetao; hene niranjie’ i Kirame ho a i Selomò mpanjaka, añ’anjomba’ Iehovà ao, songa torisike rinamerame.
0b072e006c	Amonto’ Iordaney ty nampitranaha’ i mpanjakay iareo, an-tane lietse añivo’ i Sokote naho i Tsaretane.
0b072f0082	Le nenga’ i Selomò tsy ho lanjaeñe i fanake iaby izay amy t’ie niloho maro; tsy nilefe tsikaraheñe ty lanja’ o torisikeo.
0b07300087	Hene niranjie’ i Selomò o fanak’ añ’ anjomba’ Iehovào; i kitrely volamenay, naho i rairay volamena fasia-mofom-piatrefañey;
0b073100a7	o fitàn-jiroo—lime ty ankavana’e naho lime ty ankavia’e añatrefa’ i toe-miavakey— volamena ki’e; naho o voñeo, o failoo, vaho o fikavi­tseo—volamena;
0b07320102	o soakazoo naho o fiharatan-tsokotsokoo naho o kovetao naho o sadròn’ afoo naho o endraendrao—volamena ki’e; naho o soavilio, ho amo lalan-kivoho añate’eo, i toetse loho-miavakey, vaho ho a o lala’ i akibaio (o miatrek’ añate’eo)—volamena.
0b073300f7	Aa le nifonitse o fitoloñañe nanoe’ i Se­lomò añ’anjomba’ Iehovào. Le hene nen­dese’ i Selomò ao o raha navì’ i Davide rae’eo, i volafotiy, i volamenay naho o fanakeo; vaho napo’e amy fanontonam-baran’ anjomba’ Iehovày.
0b08010105	Natonto’ i Selomò amy zao o androanavi’ Israeleo, naho o mpiaolom-pifokoañeo, o roandrian’ anjomban-droaen’ ana’ Israeleo, mb’amy Selomò Mpanjaka e Ierosalaimey, hampionjoneñe i vatam-pañina’ Iehovày boak’ an-drova’ i Davide e Tsione ao.
0b0802006d	Aa le fonga nifanontoñe amy Selomò amy sabadidakey o nte Israeleo ami’ty saramañitse, ty volam-pahafito.
0b0803004d	Nimb’eo o roandria’ Israele iabio, vaho rinambe’ o mpisoroñeo i vatay.
0b080400a1	Nampionjone’ iereo i vatam-pañina’ Iehovày naho i kibohom-pamantañañey naho ze hene fanake amy kibohotsey; nampionjone’ o mpisoroñeo naho o nte-Levio.
0b080500b7	Niharo niaolo i vatay t’i Se­lomò mpanjaka naho i valobohò’ Israele nifamory ama’ey, le nisoroñe añondry naho añombe tsy nilefe talily ndra iake ami’ty fifamorohota’e.
0b080600a5	Le nendese’ o mpisoroñeo i vatam-pañina’ Iehovày mb’an-toe’e, mb’an-toe-miava’ i anjombay, mb’amy masiñe do’ey, ambane’ o ela’ i kerobe reio.
0b08070082	Fa nivelare’ i kerobe rey ambone’ i toe’ i vataiy o ela’eo vaho tinako’ i kerobe rey i vatay naho o baom-pitarazoa’eo.
0b080800a3	Aa akore ty halava’ i baom-pitarazoañe rey kanao isake amy toe-miavakey aolo’ i toe-masiñey, f’ie tsy oniñe boak’ alafe’e ao; mbe eo irezay henanekeo.
0b0809009e	Vata koake re naho tsy i takelam-bato nagodo’ i Mosè ao e Korebe añe rey, ie nifañina amo ana’ Israeleo t’Iehovà, t’ie niavotse an-tane Mitsraime.
0b080a0063	Aa ie nivovotse boak’ amy miavakey o mpisoroñeo, le nañatseke i anjomba’ Iehovày i rahoñey;
0b080b006f	vaho tsy nahafijohañe eo hitoroñe o mpisoroñeo amy te na­tsafe’ ty enge’ Iehovà ty anjomba’ Iehovà.
0b080c005b	Aa le hoe t’i Selomò: Fa nitsarae’ Iehovà t’ie himoneñe an-drahoñe milodolodo ao.
0b080d004f	Toe namboarako anjomba fimoneñan-dRehe, toetse himoneña’o nainai’e donia.
0b080e0077	Nampitoli-daharañe am’ izao i mpanjakay, nitata i valobohò’ Israeley, vaho hene niongake i valobohò’ Israeley.
0b080f0094	Le hoe re: Andriañeñe t’Iehovà Andrianañahare’ Israele, ie ni­tsara am-palie amy Davide raeko vaho nifonire’e am-pità’e ami’ ty hoe:
0b081000e4	Sikal’ amy andro nampiavoteko amy Mitsraime ondatiko Israeleoy, le tsy eo ty rova nijoboñeko amo hene fifokoa’ Israeleo hañamboarako anjomba, hampipohako ty añarako, naho tsy i Davide ty jinoboko hifehe ondatiko Israeleo.
0b08110070	Toe tañ’ arofo’ i Davide raeko ty hamboatse anjomba ho a i tahina’ Iehovà Andria­nañahare’ Israeley.
0b08120094	Fe nanao ty hoe amy Davide raekoy t’Iehovà: Amy te añ’ arofo’o ty handranjy akiba ho ami’ty añarako, le nanao soa kanao tañ’arofo’o;
0b08130079	fe tsy ihe ty hamboatse i anjombay, fa i ana-dahy hiboak’ an-tro’oy, ie ty handranjy ty anjomba ho ami’ty añarako.
0b081400ec	Fa najado’ Iehovà i tsara nanoe’ey amy te nitroatse an-toe’ i Davide raeko iraho naho mitobok’ am-piambesa’ Israele eo ty amy tsara’ Iehovà, vaho namonitse ty anjomba ho a i tahina’ Iehovà Andria­nañahare’ Israeley.
0b08150082	Le nampitoereko ao i vatay, ama’e ao i fañina’ Iehovà nanoe’e an-droaentika am-pampi­engae’e iereo an-tane Mitsraimeiy.
0b08160092	Le nijohañe aolo’ i kitreli’ Iehovày t’i Selomò añatrefa’ i valobohò’ Israeley, vaho nonjone’e mb’an-dikerañe ey o fità’eo,
0b081700ff	nanao ty hoe: Ry Iehovà, Andrianañahare’ Israele, tsy eo t’i Andrianañahare manahak’ azo andin­dimoneñe añe ndra an-tane ambane atoy ze mahatambozòtse fañina naho ty fiferenaiñañe amo mpitoro’o mpañavelo añatrefa’o an-kaampon-trokeo;
0b08180082	ie naha-tañe i tsinara’o am-pitoro’o Davide raekoy; toe tsinara’o am-palie vaho nihenefa’o am-pitàñe o isake henanekeo.
0b0819012d	Ie amy zao, ry Iehovà, Andrianañahare’ Israele, afaharo amy mpitoro’o Davide raekoy, i tsinara’o ama’ey ami’ty hoe: Tsy ho po-ondaty hiambesatse amy fiambesa’ Israeley am-pahatreavako irehe, naho toe ambena’ o ana’oo ty lala’ iareo hañavelo añatrefako manahake o fañaveloa’oo.
0b081a0074	Ie amy zao ry Andria­nañahare’ Israele, ehe te ho venteseñe i tsara tsinara’o amy mpitoro’o Davide raekoiy.
0b081b00ac	Aa vaho himoneñe an-tane atoy vata’e hao t’i Andrianañahare? kanao tsy mahatañ’ Azo i likerañey ndra i like­ran-dindimoneñey; sandrake ty anjomba rinanjiko toy!
0b081c00a8	Fa ehe haoño ty halali’ i mpitoro’oy, naho i fiambanea’ey ry Iehovà Andriana­ñahareko, janjiño ty toreo naho hàtake saboe’ ty mpitoro’o ama’o henaneo;
0b081d00d6	te hisokake handro an-kàleñe mb’ ami’ty anjomba toy o fihaino’oo, mb’ amy toetse nitsarae’o ty hoe: Ho ao ty añarako; hahajanjiña’o o halaly ho halalie’ ty mpitoro’o mb’ ami’ ty toetse toio.
0b081e00a8	Janjiño ty fidrakadrakafam-pitoro’o, naho ondati’o Israeleo, ie misabo mb’ami’ty toetse toy; janjiño am-pimoneña’o andindiñe ao; mijanjiña vaho mañahà.
0b081f0081	Naho anañan-drañetse hakeo t’indaty, naho ampititihen-dre, ie mb’eo mifanta añatrefa’ ty kitreli’o añ’anjomba atoy;
0b082000e3	le mijanjiña andin­dimoneñe ao, naho mitoloña, vaho zakao o mpitoro’oo, taroño amy ratiy t’ie raty, hampibalike o hatsivokara’eo añ’ ambone’eo; naho meo tò ty vantañe, hañolo­rañe aze mañeva i fahiti’ey.
0b082100ca	Aa ie zevoeñe aolon-drafe­lahy ondati’o Israeleo, t’ie aman-tahiñe ama’o; naho mimpoly ama’o naho mamela-pitàn-droe amy tahina’oy, naho misoloho vaho mihalaly ama’o ami’ty anjomba toy,
0b08220092	le mijanjiña andindimoneñe ao, naho hahao o hakeo’ ondati’o Isra­eleoo vaho ampolio mb’an-tane’ natolo’o an-droae’ iareo mb’atoy.
0b082300c6	Ie migabeñe i likerañey, tsy avy i orañey kanao nandilatse ama’o iereo, le ie misoloho mb’ami’ty toetse toy mamela-pitan-droe amy tahina’oy naho miamboho amy hakeo nampisotria’o iareoy,
0b082400d8	le mijanjiña andikerañe ao, naho apoho ty tahi’ o mpitoro’oo naho ondati’o Israeleo vaho anaro iareo i lalam-bantañe fañaveloañey, ham­pahavia’o orañe i tane’o na­tolo’o am’ondati’oo ho lovay.
0b0825009b	Naho kerè i taney, he angorosy ke pozy he tromambo ke valala he beañe, ke forokeken-drafelahi’e o rova an-tane’eo; ke kiria ino, hera areteñ’ ino;
0b082600a8	le ze halaly ndra soloho anoe’ t’indaty ndra ze hene ondati’o Israeleo, ie songa fohi’e ty hìla an-tro’e ao vaho mamela-pitan-droe mb’ami’ty anjomba toy,
0b082700e0	le mijanjiña andin­diñe añe, amy akiba-pimoneña’oy, le apoho naho mitoloña, vaho sindre toloro ty amo sata’eo t’indaty, fa arofoana’o ty tro’e (amy te Ihe avao ro maharofoanañe ty arofo’ o ana’ ondatio),
0b08280061	hañeveña’ iereo ama’o amo hene andro hiveloma’ iareo an-tane natolo’o aman-droae’aio.
0b08290067	Le i renetane tsy boak’ am’ ondati’o Israeleoy, ie hirike tsietoitane añe ty amy tahina’oy —
0b082a00ac	kanao ho janjiñe’e i ta­hina’o ra’e­lahiy naho i fità’o maozatsey vaho i fità’o natora­kitsi’oy— ie miheo mb’ etoa hitalaho mb’ami’ty anjomba toy;
0b082b011f	le mijanjiña andindimoneñe an-toe-pimoneña’o ao, naho henefo o kanjia’ i renetaney azoo; hahafohina’ ze kila’ ondati’ ty tane toy ty tahina’o, hañeveñe ama’o, manahake ondati’o Israeleo, hahafohina’ iareo te kanjieñe ami’ty anjomba niranjieko toy i tahina’oy.
0b082c00d7	Aa ie mionjomb’ an-kotakotak’ amo rafelahi’eo ondati’oo, ndra mb’ aia aia ty hañiraha’o iareo, vaho mihalaly am’ Iehovà mb’amy rova nijoboñe’oy, mb’ amy anjomba namboareko ho amy tahina’oiy;
0b082d0052	le janjiño an-dikerañe ao i sabo’ iareoy, naho i halali’ iareoy vaho meo to.
0b082e00be	Ie miota ama’o—amy te tsy eo ze ondaty tsy mandilatse zao—le iviñera’o vaho atolo’o an-dra­felahi’ iareo, hasese an-drohy mb’an-tanen-drafelahy añe, ke te lavitse he marine;
0b082f00e0	le ie mitsa­kore an-tane naneseañe iareo an-drohy añe, naho mitolike naho midrakadrakak’ ama’o an-tane’ o naneseañe iareo an-drohio, manao ty hoe: Nanao hakeo zahay, nanao hatsi­vokarañe, vaho nitolon-karatiañe;
0b08300109	ie mimpoly ama’o an’ kaampon’ arofo naho an-kaliforam-pañova an-tanen-drafelahi’ o nanese iareo an-drohio, naho mitalaho ama’o mb’an-tane natolo’o aman-droae’ iareo, mb’androva jinobo’o toy; vaho mb’amy anjomba niranjieko ho amy tahina’oiy;
0b08310076	le janjiño ty halali’ iareo naho ty fisa­boa’ iareo mb’ an-toe-pimoneña’o andindimoneñe añe, vaho meo to;
0b083200a9	naho apoho o hakeo nandilara’ ondati’o ama’oo, naho o fiolàñe niolà’ iareo; le iferenaiño añatrefa’ o ninday iareo an-drohy mb’eo hitre­treza’ iareo;
0b0833005e	amy t’ie ondati’o, i lova’o na­kare’o amy Mitsraime, boak’ añivo i toñake viñey.
0b0834009b	Ehe manokafa fihai­no amo hala­lim-pitoro’oo naho ami’ty fisolohoa’ on­dati’o Israeleo, hi­ha­oña’o ndra mbia’ mbia ty itoreova’ iareo.
0b083500b8	Amy t’ie navahe’o amo hene ondati’ ty tane toio, ho lova’o, amy nitsarae’o am-pità’ i Mosè mpitoro’oy, ie nampi­avote’o amy Mitsraime o roae’aio, ry Talè Iehovà.
0b083600c9	Ie nagado’ i Selomò ty nitaroñe’e i hene halaly naho soloho am’ Iehovà rezay le niongak’ aolo’ i kitreli’ Iehovày, amy niton­galefa’e naho namelatse fi­tañe mb’an-dindim-b’eoy,
0b08370046	le nijohañe vaho nitata i hene valobohò’ Israele am-pazake ty hoe:
0b083800ab	Andriañeñe t’Iehovà nanolo-pitofàñe am’ondati’eo ty amo tsara’e iabio; leo raike tsy nipok’ amo tsara’e soa nampitama’e am-pità’ i Mose mpitoro’eo.
0b0839008e	Ho aman-tika t’Iehovà Andrianañaharen-tika, manahake t’ie nimpiaman-droaen-tikañe; lonike t’ie tsy hienga antika, tsy haforintse’e;
0b083a00aa	fa hampitoliha’e mb’ama’e o arofon-tikañeo, hañaveloan-tika amo lala’eo, hañorike o lili’eo naho o fañè’eo vaho o fepètse linili’e an-droaen-tikañeo.
0b083b00c6	Le ehe te harine’ Iehovà Andrianañaharen-tika handro an-kaleñe o entañe nihalalieko am’ Iehovào, hañomea’e to i mpitoro’ey naho ondati’e Israeleo, ami’ty fañeva’e boak’ andro;
0b083c0065	hahafohina’ ze hene ondati’ ty tane toy t’Iehovà, t’ie ro Andrianañahare tsy aman-tovo’e.
0b083d009a	Ee abey te ho am’ Iehovà Andrianañaharentika an-kaliforan’ arofo nahareo, hañavelo amo fañè’eo, naho hañori­ke o lili’eo, manahake henaneo.
0b083e0062	Le fonga nañenga soroñe añatrefa’ Iehovà eo i mpanjakay naho Israele ni­trao­k’ ama’e.
0b083f00e8	Bi­nanabana’ i Selomò amy engam-panintsiñañe nisoroña’e am’ Iehovày ty añombe roe-ale-tsi-ro’ arivo, naho añondry rai-hetse-tsi-ro’ale. Izay ty nañoriza’ i mpanjakay naho o ana’ Israeleo ty anjomba’ Iehovà.
0b08400169	Amy àndroy ka ty nañoriza’ i mpanjakay ty añivo’ i kiririsa aolo’ i anjomba’ Iehovày; fa teo ty nañenga’e o soroñeo, naho o enga-mahakamao, naho ty safo’ o engam-panintsiñañeo; amy te ni-loho kede ty kitrely torisike añatrefa’ Iehovà, tsy ho ni-tsahatse aze i nisoroñañe naho i enga-mahakama vaho safo’ o engam-panintsiñañeo rezay.
0b08410116	Aa le nambena’ i Selo­mò miharo am’ Israele iaby henane zay i sabadidakey, nivalobohòke jabajaba boak’ am-pimoahañe e Kamate, pak’ an-toraha’ i Mitsraime añe añ’atrefa’ Iehovà Andrianañaharen-tikañe, fito andro nitovoñañe fito; andro folo-efats’ amby.
0b084200f8	Nampolie’e amy andro fahavaloy ondatio, naho nandriañe’ iareo i mpanjakay naho songa noly mb’an-kiboho’e mb’eo an-drebeke naho añ’ arofo mifale ty amo hene hasoa nanoe’ Iehovà amy Davide mpitoro’ey vaho am’ Israele ondati’eo.
0b09010092	Aa ie nifonire’ i Selomò ty fandranjiañe i anjomba’ Iehovày, naho ty anjomba’ i mpanjakay, naho ze fitoloñañe nahafale-troke i Selomò,
0b09020056	le niheo amy Selomò fañindroe’e t’Iehovà manahake ty niboaha’e e Gibone añe.
0b090300ec	Le hoe t’Iehovà ama’e: Fa tsinanoko i halali’oy naho i sabo nanoe’o amakoy: Fa navaheko ty anjomba namboare’o toy, ie nampijoñeko tsy mbia tsy ho ama’e i añarakoy; vaho ho ama’e nainai’e donia o masokoo naho ty troko.
