280000000f	मत्ती
28141001b6	पर एबे बऊत सारे लोक जो आपणे आपू खे एते दुनिया रे बड़े समजोए, सेयो परमेशरो री नजरा रे छोटे ऊई जाणे, और जिना खे संसार एबु छोटा समजोआ, सेयो परमेशरो री नजरा रे बड़े समजे जाणे।”
28141100e6	यीशु यरूशलेम नगरो खे जांदे ऊए आपणे बारा चेलेया खे लग जे लईगे और बाटा रे तिना खे बोलणे लगे,
2814120142	“देखो, आसे यरूशलेम नगरो खे चली रे और आँऊ माणूं रा पुत्र, बड़े पुरोईत और शास्त्रिया ते पकड़वाऊणा और तिना आँऊ काणे जोगा ठराणा।
2814130160	तिना आँऊ दुजिया जातिया रे आथो रे देई देणा, ताकि सेयो मेरा मजाक ऊड़ाओ, कोड़े बाओ और क्रूसो पाँदे चढ़ाओ। पर आँऊ तीजे दिने जिऊँदा ऊई जाणा।”
28141400fe	तेबे जब्दिए रे पाऊआ री आम्मा आपणे पाऊआ साथे आयी और यीशुए गे माथा टेकेया और तिना ते कुछ मांगणे लगी।
2814150176	यीशुए तेसा खे बोलेया, “तूँ क्या चाए ई?” तेसे बोलेया, “आऊँ चाऊँई कि तूँ वादा कर कि मेरे ये दोनो पाऊ, तेरे राज्य रे, एक दाँणे और एक खूँजे कनारे बैठो।”
281416018b	यीशुए जवाब दित्तेया, “तुसे नि जाणदे कि क्या लगी रे मांगणे? जो दुःख आँऊ सईन करने वाल़ा ए, क्या से दुःख तुसे सईन करी सकोए?” तिने बोलेया, “आसे सईन करी सकूँए।”
281417018f	यीशुए तिना खे बोलेया, “तुसे मेरा दुःख तो सईन करी सकोए, पर आपणे दाँणे और खूँजे बठयाल़ना मेरा काम निए, पर जो मेरे पिते री तरफा ते त्यार ए कित्ते रे, तिना राए।”
281418009c	ये सुणी की बाकि दस चेलेया खे तिना दूँईं पाईया पाँदे रोष आया।
2814190154	यीशुए सेयो आपू गे बुलाए और बोलेया, “तुसे जाणोए कि दूजी जातिया रे हाकिम तिना पाँदे राज करोए और जो बड़े ए, सेयो तिना पाँदे अक्क जमाओए।
28141a00cc	पर तुसा बीचे एड़ा नि ऊणा; पर जो कोई तुसा बीचा ते बड़ा ऊणा चाओआ, से तुसा रा दास बणो
28141b008b	और जो तुसा बीचा ते प्रदान ऊणा चाओआ, से तुसा रा दास बणो।
28141c0188	जेड़ा की माणूं रा पुत्र, से इजी खे नि आयी रा कि तेसरी देख-बाल़ करो, पर इजी खे आयी रा कि से देख-बाल़ करो और बऊत जणेया खे छुड़ाणे री खातर आपणे प्राण देई देओ।”
28141d00c4	जेबे सेयो यरीहो नगरो ते निकल़ने लगी रे थे, तेबे एक बड़ी पीड़ तिना पीछे आईगी।
28141e0199	तेबे दो अन्दे, जो सड़का रे कनारे बैठी रे थे, तिने जेबे ये सुणेया कि यीशु जाणे लगी रे, तो सेयो आक्का पायी की बोलणे लगे, “ओ प्रभु! दाऊदो री ल्वाद, आसा पाँदे दया कर।”
28141f0112	लोक तिना खे बकणे लगे कि चुप रओ, पर सेयो ओर बी चींगी की बोलणे लगे, “ओ प्रभु! दाऊदो री ल्वाद, आसा पाँदे दया कर।”
28142000cf	तेबे यीशुए खड़े ऊई की सेयो बुलाए और बोलेया, “तुसे क्या चाओए कि आऊँ तुसा खे करुँ?”
2814210083	तिने बोलेया, “ओ प्रभु! ये कि म्हारिया आखी खुली जाओ”
281422011e	यीशुए खे तिना पाँदे तरस आया और तिने तिना रिया आखिया छूँईया और सेयो तेबुई देखणे लगे और सेयो तिना पीछे चलणे लगे।
2815010145	जेबे सेयो यरूशलेम नगरो रे नेड़े पऊँछी की जैतून पाह्ड़ो पाँदे बैतफगे गांव रे नेड़े आए, तेबे यीशुए आपणे दो चेले ये बोली की पेजे
281502015e	“आपणे सामणे रे गांव रे जाओ, तेती पऊँछदे ई तुसा खे एक गह्दी बानी री मिलणी और तेसा साथे एक बच्चा तुसा खे मिलणा, तिना खे खोली की मांगे ली आओ।
2815030112	जे तुसा खे कोई कुछ बोलोगा, तेबे तिना खे बोलणा कि प्रभुए खे इना ते कुछ मतलब ए, तेबे तिना तेबुई से पेजी देणे।”
281504008e	ये तेबे ऊआ ताकि जो वचन भविष्यबक्ते बोलेया था, से पूरा ओ;
2815050131	“सिय्योनो री बेटिया खे बोलो, ‘देख, तेरा राजा तांगे आओआ, से नम्र ए और गह्दे पाँदे बैठी रा, बल्कि लादूओ रे बच्चे पाँदे।’”
2815060093	चेलेया जाई की जिंयाँ यीशुए बोलेया था तिंयाँ ई कित्तेया।
28150700d2	गह्दिया और बच्चे खे ल्याई की तिना पाँदे आपणे टाले पाए और यीशु तिना पाँदे बैठीगे।
2815080136	तेबे बऊत जणेया आपणी-आपणी चादरी बाटा रे बछाइतिया और कईए खजूरो रिया डाल़िया बाडी-बाडी की तिना रे स्वागतो खे की बछाइतिया।
2815090199	जो पीड़ आगे-आगे और पीछे-पीछे चली री थी, से आक्का पाई-पाई की बोलणे लगी री थी, “दाऊदो री ल्वादा खे होशन्ना; धन्य ए से, जो प्रभुए रे नाओं ते आओआ, स्वर्गो रे होशन्ना।”
28150a00e1	जेबे सेयो यरूशलेमो नगरो रे पऊँछे, तो सारे नगरो रे अलचल ऊईगी और लोक बोलणे लगे, “ये कुण ए?”
28150b0094	लोके बोलेया, “ये गलीलो रे नासरतो रा भविष्यबक्ता यीशु ए।”
28150c0194	यीशुए परमेशरो रे मन्दरो रे जाई की सेयो सब जणे निकयाल़ी ते, जो लेण-देण लगी रे थे करने और सर्राफो रे पीढ़े और कबूतरा खे बेचणे वाल़िया चौकिया मूँदिया करी तिया।
28150d011d	और तिना खे बोलेया, “लिखी राखेया, ‘मेरे कअरो खे प्रार्थना रा मन्दर बोलोए,’ पर तुसे से डाकूआ रा डवार बणाई ता रा।”
28150e00ab	तेबे अन्दे और लंगड़े, मन्दरो रे तिना गे आए और तिने सेयो ठीक करी ते।
28150f01a1	पर जेबे, बड़े पुरोईत और शास्त्रिए, ये अचम्बे वाल़े काम, जो तिने कित्ते थे और लोका खे मन्दरो रे “दाऊदो री ल्वादा खे होशन्ना,” बोलदे उए देखेया, तो सेयो बऊत रोषे ऊईगे
28151001d9	और बोलणे लगे, “क्या तूँ सुणने लगी रा कि लोक क्या लगी रे बोलणे?” यीशुए तिना खे बोलेया, “आ; क्या तैं ये कदी नि पढ़ेया कि, ‘बाल़क और दूद पीणे वाल़े बच्चेया रे मुंओ ते तैं अपार स्तुति कराई?’”
28151100cb	तेबे सेयो तिना खे छाडी की नगरो ते बारे बैतनिय्याहो खे गए, और राथियो खे तेथी रए।
2815120098	प्यागा जेबे सेयो नगरो खे आऊणे लगी रे थे, तो तिना खे पूख लगी।
28151301df	तेबे तिने सड़का रे कनारे दाऊगल़े रा एक डाल़ देखी की तेसगे चली गे, पर तिदे पत्तेया खे छाडी की ओर कुछ नि था, तेबे तिने बोलेया, “आजो ते तांदे कोई फल नि लगणा!” और दाऊगल़े रा डाल़ तेबुई सूकी गा।
28151400d3	ये देखी की चेले हैरान ऊईगे और पूछणे लगे, “ये दाऊगल़े रा डाल़ एबु ई किंयाँ सूकी गा?”
2815150244	यीशुए तिना खे जवाब दित्तेया, “आऊँ तुसा खे सच लगी रा बोलणे कि जे तुसे विश्वास राखो और शक नि करो तो, तुसा इतणा ई नि करना, जो एस दाऊगल़े रे डाल़ो साथे ऊआ; पर जे एस पाह्ड़ो खे बी बोलोगे, कि ‘पट्ठी जा, और समुद्रो रे पड़ी जा,’ तो ऊई जाणा।
28151600cd	और जो कुछ तुसे प्रार्थना रे विश्वासो साथे मांगोगे, तो से सब तुसा खे मिली जाणा।”
28151701b6	जेबे सेयो मन्दरो रे उपदेश लगी रे थे करने, तेबे बड़े पुरोईत और लोका रे बुजुर्ग तिना गे आए और पूछणे लगे, “तूँ इना कामा केसरे अक्को ते करेया? और ताखे ये अक्क किने देई राखेया?”
2815180150	यीशुए तिना खे जवाब दित्तेया, “आऊँ बी तुसा ते एक गल्ल पुछूँआ, जे तुसे बताओगे, तो मां बी बताई देणा कि आऊँ इना कामा केस अक्को ते करूँआ।
281519020c	यूहन्ने रा बपतिस्मा केथा ते था? स्वर्गो रिया तरफा ते या मांणूए रिया तरफा ते?” सेयो आपू बीचे बिचार करने लगे, “जे आसे बोलूँगे कि ‘स्वर्गो री तरफा ते’, तो एस पूछणा, ‘तेबे तुसे तेसरा विश्वास कऊँ नि कित्तेया?’
28151a00fb	और जे बोलूँगे, ‘मांणूए री तरफा ते’, तो आसा खे लोका रा डर ए, कऊँकि यो सब तेसखे भविष्यबक्ता जाणो थे।”
28151b0183	तो, तेबे तिने यीशुए खे जवाब दित्तेया, “आसे नि जाणदे।” तेबे तिने बी तिना खे बोलेया, “तेबे आऊँ बी तुसा खे कुछ नि बतांदा कि इना कामा केसरे अक्को ते करूँआ।
28151c0164	“एस उदारणो रे बारे रे तुसे क्या समजोए? केसी मांणूए रे दो पाऊ थे; तिने पईले पाऊए गे जाई की बोलेया, ‘ओ पाऊ, आज अँगूरा रे बगीचे रे जा और काम कर।’
28151d00a3	तिने बोलेया, ‘मां नि जाणा,’ पर से बादो ते मनो रे पछताई की चली गा।
28151e00e7	तेबे पिते दूजे गे जाई की बी एड़ा ई बोलेया, तिने जवाब दित्तेया, ‘अच्छा जी जाऊँआ,’ पर गया नि।
28151f01e1	इना दूँईं बीचा ते किने पिते री इच्छा पूरी कित्ती?” तिने बोलेया “पईले।” यीशुए तिना खे बोलेया, “आऊँ तुसा खे सच लगी रा बोलणे कि कर लणे वाल़े और वेश्या, तुसा ते पइले परमेशरो रे राज्य रे जाओए।
2815200234	कऊँकि बपतिस्मा देणे वाल़ा यूहन्ना तर्मो री बाट बतांदे ऊए तुसा गे आया और तुसे तेसरा विश्वास नि कित्तेया, पर कर लणे वाल़े और वेश्या तेसरा विश्वास कित्तेया और तुसे ये देखी की बादो ते पनि पछताए कि तेसरा विश्वास करी लंदे।
281521021c	“एक ओर उदारण सुणो कि एक करेलू मालक था। जिने अँगूरा रा बगीचा लगाया और तिजी रे चऊँ कनारे बाड़ लगाया और अँगूरा रे रसो खे पात्थरो दे एक गड्डा खणेया, जुगाल़ी बणाई और ठेकेदारा खे तिजी रा ठेका देई की परदेशो खे चली गा।
28152200d4	जेबे फलो रा बखत नेड़े आया तेबे तिने आपणे दास तिजी रा फल लणे तिना ठेकेदारा गे पेजे।
28152300be	पर ठेकेदारे तेसरे दास पकड़ी की कोई कूटे, कोई काई ते और केसी खे पात्थर बाए।
28152400b7	तेबे तिने पईले ते जादा दास पेजे, पर तिने तिना साथे बी तेड़ा ई कित्तेया।
28152500cb	आखरी रे तिने आपणे पाऊए तिना गे ये सोची की पेजेया कि तिना मेरे पाऊए रा आदर करना।
281526010e	पर ठेकेदारे पाऊए खे देखी की आपू बीचे ये बोलेया, ‘ये तो बारस ए, आओ एसखे काई देऊँए और एसरी जायदात लयी लऊँए।’
28152700af	तेबे तिने से पकड़ेया और अँगूरा रे बगीचे ते बारे निकयाल़ी की काई ता।
28152800ce	बादो ते जेबे अँगूरा रे बगीचे रा मालक आऊणा, तो तेस तिना ठेकेदारा साथे क्या करना?”
28152901a4	तिने यीशुए खे जवाब दित्तेया, “तेस बुरे लोक बुरी तरअ ते नाश करने और अँगूरा रे बगीचे रा ठेका केसी ओरी ठेकेदारा गे देई देणा। जिना बखतो पाँदे तेसखे फल देई देया करना।”
28152a01f8	यीशुए तिना खे बोलेया, “क्या तुसे पवित्र शास्त्रो रे ये कदी नि पढ़ेया, “‘जो पात्थर राजमिस्त्रिए नकम्मा ठराया, सेई कूणे रे सिरे रा पात्थर ऊईगा। ये प्रभुए रिया तरफा ते ऊआ, पर आसा री नजरा रे नऊखा ईए’?
28152b0110	“तेबेई तो आऊँ तुसा खे बोलूँआ कि परमेशरो रा राज्य तुसा ते लई लणा और एड़िया जातिया गे देई देणा, जो फल ल्याओ।
28152c00dd	जो एस पात्थरो पाँदे पड़ना, से चूर-चूर ऊई जाणा और जेस पाँदे ये पड़ना, तेस से पीसी देणा।”
28152d00df	बड़े पुरोईत और फरीसी तिना रे उदारण सुणी की समजी गे कि सेयो आसा रे बारे रे लगी रे बोलणे।
28152e00db	तेबे तिने सेयो पकड़ने चाए, पर लोका ते डरी गे, कऊँकि सेयो तिना खे भविष्यबक्ता मानो थे।
2816010072	तेबे फेर यीशु तिना साथे उदारणा रे बोलणे लगे,
28160200b2	“स्वर्गो रा राज्य तेस राजे जेड़ा ए, जिने आपणे पाऊए रा ब्या कित्तेया।
2816030110	तेबे तिने आपणे दास पेजे कि जाओ, निऊँदा दित्ते रे लोका खे ब्याओ री पाट्टिया रे बुलाओ, पर तिने आऊणा नि चाया।
28160401e3	तेबे तिने आपणे दास ये बोली की पेजे, निऊँदा दित्ते रे लोका खे बोलो, देखो, आऊँ पाट्टी त्यार करी चुकेया रा। मेरे बल़द और पाल़े रे डांगर सब बाडी ते रे; और सब कुछ त्यार ए, ब्याओ री पाट्टिया रे आओ।
28160500bf	पर तिने कोई परवा नि कित्ती और कोई आपणे डोरूआ खे और कोई आपणे कामो खे चली गा।
28160600a2	और जो बचे, तिने सेयो दास पकड़े और तिना रा मजाक ऊड़ाया और काई ते।
281607014c	जेबे राजे ये सुणेया तेबे तिना खे रोष आईगा और तिने आपणी सेना पेजी और जो अत्यारे थे, तिना रा सत्यानाश करी ता और तिना रे नगर फूकी ते।
28160800c3	तेबे तिने आपणे दासा खे बोलेया, ब्याओ री रोटी तो त्यार ए, पर खाणे वाल़े नि आए।
28160900cd	एबे एड़ा करो कि चौको रे जाओ और जितणे लोक तुसा खे मिलोगे, तिना खे रोटी खाणे ली आओ।
28160a012c	तेबे तिने दासे सड़का दे जाई की क्या खरे बुरे जो बी मिले सबी खे कट्ठे करी की ली आया और ब्याओ रा कअर मांणूआ साथे फरी गा।
28160b0164	“जेबे राजा मईमाना खे देखणे पीतरे गया, तेबे तिने देखेया कि एक मांणूए ब्याओ रे टाले नि थे पइने रे जो राजे ब्याओ खे तेसखे पईनणे खे दित्ते थे।
28160c013c	तिने तेसते पूछेया, ओ दोस्त, तूँ एती ब्याओ रे टाले पइनी की कऊँ नि आयी रा, जो ताखे मैं पईनणे खे दित्ते थे? और से मांणू चुप ऊईगा।
28160d011b	तेबे राजे, दासा खे बोलेया कि एसरे आथ-पैर बानो और एसखे बारे न्हेरे रे राखी देओ, तेती रोणा और दाँद किरड़ना ई ऊणा।
28160e0074	कऊँकि बुलाए रे तो बऊत ए, पर चुणे रे थोड़े ईए।”
28160f00aa	तेबे फरीसी गए और आपू बीचे सोच-बिचार लगे करने कि एसखे किंयाँ फसाइए?
28161002ee	तेबे यहूदी अगुवे यीशु गल्ला रे फसाणे री तंईं कई फरीसी चेले और हेरोदेस राजे रा समर्थन करने वाल़े यहूदी तिना गे पेजे। और तिने आयी की तिना खे बोलेया, “ओ गुरू! आसे जाणूंए कि तुसे सच्चे और परमेशरो री बाट सच्चाईया साथे सिखाओए, और केसी री परवा नि करदे, कऊँकि तुसे मांणूए रा मूँ देखी की गल्ल नि करदे।
28161100b1	तो तुसे आसा खे बताओ कि तुसे क्या समजोए? कैसरो खे कर देणा खरा ए, या नई।”
28161200bc	यीशुए खे तिना री दुष्टता पता थी और तिने बोलेया, “ओ कपटियो; माखे कऊँ परखोए?
28161300b9	करो रा सिक्का मांगे दखाओ।” तेबे सेयो तिना गे एक चाँदिए रा सिक्का ली आए।
2816140084	तिने तिना ते पूछेया, “ये मूर्ति और ये नाओं केसरा ए?”
2816150112	तिने बोलेया, “कैसरो रा।” तेबे तिने बोलेया, “जो कैसरो राए से कैसरो खे और जो परमेशरो राए से परमेशरो खे देओ।”
2816160087	ये सुणी की सेयो हैरान ऊईगे और तिना खे छाडी की चली गे।
28161700f3	तेसी दिने सदूकी, जो बोलो थे कि जो मरी जाओए तिना रा दुबारा जन्म नि ऊँदा, यीशुए गे आए और पूछणे लगे,
281618014d	“ओ गुरू, मूसे बोलेया था कि जे कोई बिना ल्वादा ते मरी जाओ, तो तेसरा पाई तेसरी लाड़िया साथे ब्या करी लओ और आपणे पाईए खे वंश पैदा करो।
2816190148	एबे आसा रे सात पाई थे, पईला पाई ब्या करी की बिना ल्वादा तेई मरी गा और ल्वाद ना ऊणे री बजअ ते आपणी लाड़िया खे आपणे पाईए खे छाडी गा।
28161a00a4	तिंयाँ ई दूजे और तीजे बी एड़ा ई कित्तेया और साता साथे एड़ा ई ऊआ।
28161b0057	सबी ते बादो ते, से जवाणस बी मरी गी।
28161c00c2	जेबे से जिऊँदी ऊणी तो केसरी लाड़ी ऊणी? कऊँकि से तो सबी री लाड़ी रई चुकी थी।”
28161d0118	यीशुए तिना खे जवाब दित्तेया, “तुसे पवित्र शास्त्र और परमेशरो री सामर्थ नि जाणदे, तेबेई तो तुसा ते पूल ऊई री।
28161e0109	कऊँकि जेबे जिऊँदे ऊणे, तेबे ब्या-शादिया नि ऊणिया, पर सेयो स्वर्गो रे परमेशरो रे स्वर्गदूतो जेड़े ऊणे।
28161f00db	पर क्या तुसे, मरे रे जिऊँदे ऊणे रे बारे रे ये वचन नि पढ़ेया, जो परमेशरे तुसा खे बोलेया,
281620011a	आऊँ अब्राहमो रा परमेशर, इसहाको रा परमेशर और याकूबो रा परमेशर आ? सेयो मरे रेया रे नि, पर जिऊँदेया रे परमेशर ए।”
2816210072	ये सुणी की लोक तिना रे उपदेशो ते हैरान ऊईगे।
28162200c3	जेबे फरीसिये सुणेया कि तिने सदूकिये रे मूँ बन्द करी ते, तो सेयो कट्ठे ऊईगे।
281623009b	तेबे तिना बीचा ते एक धर्मशास्त्रीए परखणे खे तिना ते पूछेया,
2816240061	“ओ गुरू! बिधानो रे कुण जी गल्ल बड़ी ए?”
2816250128	यीशुए तेसखे बोलेया, “तूँ परमेशर आपणे प्रभुए साथे, आपणे पुरे मन, आपणे पुरे प्राण और आपणी पूरी अक्ला साथे प्यार राख।
281626004a	बड़ी और मुख्य आज्ञा तो येईए।
28162700be	और एसा ई जेड़ी ये दूजी बी ए, ‘तूँ आपणे पड़ोसिये साथे आपू जेड़ा प्यार राख।’
281628008a	येई दो आज्ञा सारा बिधान और भविष्यबक्तेया रा आधार ए।”
2816290079	जेबे फरीसी कट्ठे थे, तेबे यीशुए तिना ते पूछेया,
28162a00ce	“मसीह रे बारे रे तुसे क्या समजोए? से केसरी ल्वाद ए?” फरीसिये बोलेया, “दाऊदो री।”
28162b00b7	तेबे तिने फेर पूछेया, “तेबे दाऊद आत्मा रे परी की तेसखे प्रभु कऊँ बोलोआ?
28162c010f	प्रभुए, मेरे प्रभुए खे बोलेया, ‘मेरे दाँणे बैठ, जदुओ तक आऊँ तेरे बैरिया खे तेरे पैरा निठे नि ल्याई देऊँ।’
28162d009e	तो, जेबे दाऊद तेसखे प्रभु बोलोआ, तो से तेसरा पुत्र किंयाँ ऊआ?”
28162e00eb	इजी रा जवाब कोई नि देई सकेया। पर तिजी ते बादो ते केसी खे बी तिना ते कुछ पूछणे री इम्मत नि ऊई।
2817010075	तेबे यीशुए पीड़ा खे और आपणे चेलेया खे बोलेया,
2817020095	“शास्त्री और फरीसी, मूसे रे बिधानो खे अक्को साथे बताओ थे।
281703014c	तो, सेयो तुसा खे जो कुछ बोलो, से करना और मानणा, पर तिना जेड़े काम नि करना, कऊँकि सेयो ओरी खे सिखाओ तो आए, पर आपू तिना कामा खे करदे नि।
2817040160	सेयो लोका खे एड़े-एड़े कड़े नियम मानणे खे मजबूर करो थे जिना खे मानणा तिना खे बऊत कठण ए। पर आपू तिना नियमा खे मानणे री बी कोशिश तक नि करदे।
2817050115	सेयो आपणे सारे काम लोका खे दखाणे री तंईं करोए, सेयो आपणे जन्त्र चौड़े करोए और आपणे टालेया रे पल्ले बड़ाओ ए।
2817060099	पाट्टिया रे खास-खास जगा और प्रार्थना रे कअरो रे खास-खास जगा
28170700a5	और बजारो रे नमस्ते और मांणूआ ते गुरू बुलाणा तिना खे अच्छा लगोआ।
28170800de	पर तुसे आपणे आपू खे गुरू नि बुलवाणा; कऊँकि तुसा रा एक ई गुरूए और तुसे सब आपू बीचे पाई ए।
28170900de	तरतिया रे केसी खे आपणा पिता नि बोलणा, कऊँकि तुसा रा एक ई पिता ए, परमेशर जो स्वर्गो रे ए।
28170a008f	और मालक पनि बुलाणा, कऊँकि तुसा रा एक ई मालक ए, मतलब-मसीह।
28170b006b	जो तुसा बीचा ते बड़ा ओ, से तुसा रा दास बणो।
28170c00cb	जो कोई आपू खे बड़ा बणाओगा, से छोटा ऊणा; और जो कोई आपू खे छोटा बणाओगा से बड़ा ऊणा।
28170d01a5	“ओ कपटी शास्त्री और फरीसियो तुसा पाँदे हाय! तुसे मांणूआ खे स्वर्गो रे राज्य रा द्वार बंद करोए। तुसे ना तो आपू ई तेती जांदे और ना ई तिदे जाणे वाल़ेया खे जाणे देंदे।
28170e0179	ओ कपटी शास्त्री और फरीसियो तुसा खे हाय! तुसे बिदुआ रे कअर खाई जाओए और दखाणे री तंईं बऊत देर तक प्रार्थना करदे रओए, तेबेई तो तुसा खे जादा सजा मिलणी।
28170f01ec	“ओ कपटी शास्त्री और फरीसियो तुसा खे हाय! तुसे एकी जणे खे आपणे मतो रे ल्याऊणे री तंईं सारे जल और थलो रे फिरोए और जेबे से तुसा रे मतो रे आयी जाओआ, तो तेसखे आपू ते दुगणा नरको री सजा जोगा बणाई देओए।
281710017e	“ओ अन्दे अगुओ तुसा खे हाय! जो बोलोए कि जे कोई मन्दरो री कसम खाओ तो कुछ नि, पर जो मन्दरो रे सूईने री कसम खाओगा तो तिना खे तेसा कसमा खे पूरा करना जरूरी ए।
28171100bd	ओ मूर्खो और अन्दो कुण बड़ा ए, सुईना या से मन्दर, जेते साथे सुईना पवित्र ओआ?
281712015a	फेर बोलोए कि जे कोई बेदिया री कसम खाओ तो कुछ निए, पर से पेंट जो तिजी पाँदे ए, तेतेरी कसम खाओगा, तो तिना खे तेसा कसमा खे पूरा करना जरूरी ए।
2817130094	ओ अन्दो! कुण बड़ा ए, पेंट या बेदी; जेते साथे पेंट पवित्र ओई?
28171400d5	तेबेई तो, जो बेदिया री कसम खाओआ, से तेतेरी और जो बी तेते पाँदे ए, तेतेरी बी कसम खाओआ।
28171500ae	जो मन्दरो री कसम खाओआ, से तेतेरी और तिदे रणे वाल़ेया री बी कसम खाओआ।
28171600e1	जो स्वर्गो री कसम खाओआ, से परमेशरो रे सिंहासनो री और तिदे बैठणे वाल़ेया री बी कसम खाओआ।
2817170224	“ओ कपटी शास्त्री और फरीसियो तुसा खे हाय! तुसे पदीने, संफ और जीरे रा दसुआ पाअग देओए, पर तुसे बिधानो रिया गूढ़ गल्ला मतलब न्याय, कृपा और विश्वास छाडी ते रे, तुसा खे चाईयो था कि इना खे बी करदे रंदे और तिना खे पनि छाडदे।
28171801da	ओ अन्दे अगुओ! तुसे छोटिया-छोटिया गल्ला रे नियम तो ईंयां मानी लओए जिंयाँ माच्छरो खे पाणिए ते कनारे ताल़ी देओए! पर परमेशरो री खास आज्ञा खे टाल़ना, तुसा खे ऊँटो खे निगल़ी जाणे रे बराबर ए।
2817190183	“ओ कपटी शास्त्रियो और फरीसियो तुसा खे हाय! तुसे तिना कटोरे और थाल़िया जेड़े ए, जिना खे पाँदा-पाँदा ते तो मांजी लओए, पर पितरे तिना रे गन्दगी परी री रओई।
28171a00d6	हे अन्दे फरीसी, पईले कटोरे और थाल़िया खे पीतरा ते मांजी लओ ताकि से बारा ते बी साफ ओ।
28171b01c0	“ओ कपटी शास्त्रियो और फरीसियो तुसा खे हाय! तुसे चूना फिरी री कब्रा जेड़े ए, जो पाँदा ते तो सुन्दर दिशोई पर, पर पीतरा ते मरेया रिया आड्डिया और सारिया गन्दे कामो साथे फरी रिये।
28171c00f7	तिंयाँ ई तुसे बी, सामणे तो आपणे-आपू खे लोका खे तर्मी दखाओ ए, पर पीतरो ते कपट और पापो साथे फरे रे ए।
28171d0117	“ओ कपटी शास्त्रियो और फरीसियो तुसा खे हाय! तुसे भविष्यबक्तेया रिया कब्रा सजाओए और तर्मिया रे समारक बणाओए।
28171e010c	और बोलोए, ‘जे आसे आपणे बाप-दादेया रे बखतो रे ऊँदे, तो भविष्यबक्तेया रिया अत्या रे तिना रा साथ नि देंदे।’
28171f00ea	इजी ते तो तुसे आपू ई आपणे खलाफ गवाई देओए कि तुसे भविष्यबक्तेया खे काणे वाल़ेया रे ल्वाद ए।
28172000cb	तो तुसे आपणे बाप-दादेया रे जो बुरे काम तिने करी राखे तिजी खे पूरा करने वाल़े ओ।
281721010b	ओ जईरीले सापो जेड़े लोको, और जईरीले सापो री ल्वाद! तुसे ये किंयाँ सोचा ला तुसे नरको रे दण्डो ते बची जाणे?
281722025f	तेबेई तो देखो, आऊँ तुसा गे भविष्यबक्ता खे, अक्लमंदा खे और शास्त्रिया खे पेजुँआ और तुसा तिना बीचा ते कुछ लोक काणे और कुछ लोक क्रूसो पाँदे चढ़ाई देणे और कईया खे आपणे प्रार्थना रे कअरो रे कोड़े बाणे और सेयो एकी नगरो ते दूजे नगरो खे नठाणे।
28172301aa	जिदे तर्मी हाबिलो ते लई की बिरिक्याहो रा पाऊ जकरयाहो तक, जो तुसे मन्दरो रे और बेदिया बीचे काए थे, जितणे तर्मिया रा खून तरतिया रे बयी रा, तेतेरी सजा तुसा सबी खे मिलणी।
28172400bf	आऊँ तुसा खे सच बोलूँआ कि इना सबी अत्या री सजा एस बखतो रे सबी लोका खे मिलणी।
28172502d3	“ओ यरूशलेमो रे लोको, ओ यरूशलेमो रे लोको! तूँ जो भविष्यबक्तेया खे काओआ और जो तांगे पेजी राखे, तिना खे पात्थर बाएआ, कितणी बार मैं चाया कि जिंयाँ मुर्गी आपणे बच्चेया खे आपणे पंखो निठे कट्ठा करी की समाल़ोई, तिंयाँ ई आऊँ बी चाऊँआ कि तेरे बाल़का खे कट्ठा करी की समाल़ुँ। पर तुसे नि चाया।
281726006f	देखो, तुसा रा कअर तुसा खे उजाड़ी की छाडीता।
2817270157	कऊँकि आऊँ तुसा खे बोलूँआ कि एबुए ते जदुओ तक तुसे नि बोलोगे, ‘धन्य ए सेयो, जो प्रभुए रे नाओं ते आओए’ तदुओ तक तुसा आऊँ फेर कदी नि देखणा।”
28180100fd	जेबे यीशु मन्दरो ते निकल़ी की जाणे लगी रे थे, तेबे तिना रे चेले मन्दरो री रचना दखाणे खे तिना गे आए।
2818020162	यीशुए तिना खे बोलेया, “तुसे जो ये सब कुछ लगी रे ना देखणे, आऊँ तुसा खे सच लगी रा बोलणे कि एती जो पात्थरो पाँदे पात्थर लगी रे, सब टाल़े जाणे।”
28180301ba	जेबे यीशु जैतूनो पाह्ड़ो पाँदे बैठे रे थे, तेबे चेलेया लग जे आयी की तिना खे बोलेया, “आसा गे बताओ कि यो गल्ला कदी ऊणिया? तुसा रे आऊणे रा और दुनिया रे आखरी रा क्या चिह्न् ऊणा?”
28180400a0	यीशुए तिना खे जवाब दित्तेया, “चौकस रओ कि कोई तुसा खे बईकाओ नि।
28180500e8	कऊँकि बऊत जणे एड़े ऊणे जो, मेरे नाओं ते आऊणे और बोलणा, ‘आऊँ मसीह ए’, और तिना बऊत जणे भरमाणे।
28180600ff	तुसा लड़ाई और लड़ाईया रे बारे रे सुणो, पर कबराणा नि कऊँकि इना रा ऊणा जरूरी ए, पर तेस बखते अंत नि ऊणा।
28180700f5	कऊँकि जातिया पाँदे जातिया और राज्य पाँदे राज्य अमला करना और जगा-जगा अकाल़ पड़ना और ईल्लण ऊणे।
