2800000007	mathi.h
29090500b1	tadaa pitaro yii"sumavaadiit he guro. asmaakamatra sthitiruttamaa, tataeva vaya. m tvatk. rte ekaa. m muusaak. rte ekaam eliyak. rte caikaa. m, etaastisra. h ku. tii rnirmmaama|
290906004f	kintu sa yaduktavaan tat svaya. m na bubudhe tata. h sarvve bibhayaa ncakru. h|
2909070089	etarhi payodastaan chaadayaamaasa, mamayaa. m priya. h putra. h kathaasu tasya manaa. msi nive"sayateti nabhovaa. nii tanmedyaanniryayau|
2909080062	atha ha. thaatte caturdi"so d. r.s. tvaa yii"su. m vinaa svai. h sahita. m kamapi na dad. r"su. h|
29090900c7	tata. h para. m gireravaroha. nakaale sa taan gaa. dham duutyaadide"sa yaavannarasuuno. h "sma"saanaadutthaana. m na bhavati, taavat dar"sanasyaasya vaarttaa yu. smaabhi. h kasmaicidapi na vaktavyaa|
29090a0062	tadaa "sma"saanaadutthaanasya kobhipraaya iti vicaaryya te tadvaakya. m sve. su gopaayaa ncakrire|
29090b0064	atha te yii"su. m papracchu. h prathamata eliyenaagantavyam iti vaakya. m kuta upaadhyaayaa aahu. h?
29090c00a1	tadaa sa pratyuvaaca, eliya. h prathamametya sarvvakaaryyaa. ni saadhayi. syati; naraputre ca lipi ryathaaste tathaiva sopi bahudu. hkha. m praapyaavaj naasyate|
29090d0084	kintvaha. m yu. smaan vadaami, eliyaarthe lipi ryathaaste tathaiva sa etya yayau, lokaa: svecchaanuruupa. m tamabhivyavaharanti sma|
29090e0086	anantara. m sa "si. syasamiipametya te. saa. m catu. hpaar"sve tai. h saha bahujanaan vivadamaanaan adhyaapakaa. m"sca d. r.s. tavaan;
29090f005f	kintu sarvvalokaasta. m d. r.s. tvaiva camatk. rtya tadaasanna. m dhaavantasta. m pra. nemu. h|
290910004d	tadaa yii"suradhyaapakaanapraak. siid etai. h saha yuuya. m ki. m vivadadhve?
2909110077	tato lokaanaa. m ka"scideka. h pratyavaadiit he guro mama suunu. m muuka. m bhuutadh. rta nca bhavadaasannam aanaya. m|
29091200d3	yadaasau bhuutastamaakramate tadaiva paatasati tathaa sa phe. naayate, dantairdantaan ghar. sati k. sii. no bhavati ca; tato hetosta. m bhuuta. m tyaajayitu. m bhavacchi. syaan niveditavaan kintu te na "seku. h|
29091300b2	tadaa sa tamavaadiit, re avi"svaasina. h santaanaa yu. smaabhi. h saha kati kaalaanaha. m sthaasyaami? aparaan kati kaalaan vaa va aacaaraan sahi. sye? ta. m madaasannamaanayata|
290914008c	tatastatsannidhi. m sa aaniiyata kintu ta. m d. r.s. tvaiva bhuuto baalaka. m dh. rtavaan; sa ca bhuumau patitvaa phe. naayamaano lulo. tha|
290915006b	tadaa sa tatpitara. m papraccha, asyed. r"sii da"saa kati dinaani bhuutaa? tata. h sovaadiit baalyakaalaat|
290916009d	bhuutoya. m ta. m naa"sayitu. m bahuvaaraan vahnau jale ca nyak. sipat kintu yadi bhavaana kimapi karttaa. m "saknoti tarhi dayaa. m k. rtvaasmaan upakarotu|
290917005f	tadaa yii"sustamavadat yadi pratyetu. m "sakno. si tarhi pratyayine janaaya sarvva. m saadhyam|
290918007d	tatastatk. sa. na. m tadbaalakasya pitaa proccai ruuvan saa"srunetra. h provaaca, prabho pratyemi mamaapratyaya. m pratikuru|
29091900cd	atha yii"su rlokasa"ngha. m dhaavitvaayaanta. m d. r.s. tvaa tamapuutabhuuta. m tarjayitvaa jagaada, re badhira muuka bhuuta tvametasmaad bahirbhava puna. h kadaapi maa"srayaina. m tvaamaham ityaadi"saami|
29091a0094	tadaa sa bhuuta"sciit"sabda. m k. rtvaa tamaapii. dya bahirjajaama, tato baalako m. rtakalpo babhuuva tasmaadaya. m m. rtaityaneke kathayaamaasu. h|
29091b003a	kintu kara. m dh. rtvaa yii"sunotthaapita. h sa uttasthau|
29091c0081	atha yii"sau g. rha. m pravi. s.te "si. syaa gupta. m ta. m papracchu. h, vayamena. m bhuuta. m tyaajayitu. m kuto na "saktaa. h?
29091d006d	sa uvaaca, praarthanopavaasau vinaa kenaapyanyena karmma. naa bhuutamiid. r"sa. m tyaajayitu. m na "sakya. m|
29091e0061	anantara. m sa tatsthaanaaditvaa gaaliilmadhyena yayau, kintu tat kopi jaaniiyaaditi sa naicchat|
29091f009f	apara nca sa "si. syaanupadi"san babhaa. se, naraputro narahaste. su samarpayi. syate te ca ta. m hani. syanti taistasmin hate t. rtiiyadine sa utthaasyatiiti|
290920003b	kintu tatkathaa. m te naabudhyanta pra. s.tu nca bibhya. h|
290921007f	atha yii"su. h kapharnaahuumpuramaagatya madhyeg. rha ncetya taanap. rcchad vartmamadhye yuuyamanyonya. m ki. m vivadadhve sma?
2909220060	kintu te niruttaraastasthu ryasmaatte. saa. m ko mukhya iti vartmaani te. anyonya. m vyavadanta|
290923009c	tata. h sa upavi"sya dvaada"sa"si. syaan aahuuya babhaa. se ya. h ka"scit mukhyo bhavitumicchati sa sarvvebhyo gau. na. h sarvve. saa. m sevaka"sca bhavatu|
2909240063	tadaa sa baalakameka. m g. rhiitvaa madhye samupaave"sayat tatasta. m kro. de k. rtvaa taanavaadaat
29092500c4	ya. h ka"scidiid. r"sasya kasyaapi baalasyaatithya. m karoti sa mamaatithya. m karoti; ya. h ka"scinmamaatithya. m karoti sa kevalam mamaatithya. m karoti tanna matprerakasyaapyaatithya. m karoti|
29092600b0	atha yohan tamabraviit he guro, asmaakamananugaaminam eka. m tvaannaamnaa bhuutaan tyaajayanta. m vaya. m d. r.s. tavanta. h, asmaakamapa"scaadgaamitvaacca ta. m nya. sedhaama|
2909270088	kintu yii"suravadat ta. m maa ni. sedhat, yato ya. h ka"scin mannaamnaa citra. m karmma karoti sa sahasaa maa. m ninditu. m na "saknoti|
290928005c	tathaa ya. h ka"scid yu. smaaka. m vipak. sataa. m na karoti sa yu. smaakameva sapak. sa. h|
29092900b7	ya. h ka"scid yu. smaan khrii. s.ta"si. syaan j naatvaa mannaamnaa ka. msaikena paaniiya. m paatu. m dadaati, yu. smaanaha. m yathaartha. m vacmi, sa phalena va ncito na bhavi. syati|
29092a00d1	kintu yadi ka"scin mayi vi"svaasinaame. saa. m k. sudrapraa. ninaam ekasyaapi vighna. m janayati, tarhi tasyaitatkarmma kara. naat ka. n.thabaddhape. sa. niikasya tasya saagaraagaadhajala majjana. m bhadra. m|
29092b0039	ata. h svakaro yadi tvaa. m baadhate tarhi ta. m chindhi;
29092c00a0	yasmaat yatra kii. taa na mriyante vahni"sca na nirvvaati, tasmin anirvvaa. naanalanarake karadvayavastava gamanaat karahiinasya svargaprave"sastava k. sema. m|
29092d0037	yadi tava paado vighna. m janayati tarhi ta. m chindhi,
29092e00a5	yato yatra kii. taa na mriyante vahni"sca na nirvvaati, tasmin. anirvvaa. navahnau narake dvipaadavatastava nik. sepaat paadahiinasya svargaprave"sastava k. sema. m|
29092f0072	svanetra. m yadi tvaa. m baadhate tarhi tadapyutpaa. taya, yato yatra kii. taa na mriyante vahni"sca na nirvvaati,
2909300075	tasmina. anirvvaa. navahnau narake dvinetrasya tava nik. sepaad ekanetravata ii"svararaajye prave"sastava k. sema. m|
290931006b	yathaa sarvvo bali rlava. naakta. h kriyate tathaa sarvvo jano vahniruupe. na lava. naakta. h kaari. syate|
29093200a9	lava. na. m bhadra. m kintu yadi lava. ne svaadutaa na ti. s.thati, tarhi katham aasvaadyukta. m kari. syatha? yuuya. m lava. nayuktaa bhavata paraspara. m prema kuruta|
290a0100b9	anantara. m sa tatsthaanaat prasthaaya yarddananadyaa. h paare yihuudaaprade"sa upasthitavaan, tatra tadantike lokaanaa. m samaagame jaate sa nijariityanusaare. na punastaan upadide"sa|
290a02006e	tadaa phiruu"sinastatsamiipam etya ta. m pariik. situ. m papraccha. h svajaayaa manujaanaa. m tyajyaa na veti?
290a03004e	tata. h sa pratyavaadiit, atra kaaryye muusaa yu. smaan prati kimaaj naapayat?
290a040050	ta uucu. h tyaagapatra. m lekhitu. m svapatnii. m tyaktu nca muusaa. anumanyate|
290a050066	tadaa yii"su. h pratyuvaaca, yu. smaaka. m manasaa. m kaa. thinyaaddheto rmuusaa nide"samimam alikhat|
290a060050	kintu s. r.s. teraadau ii"svaro naraan pu. mruupe. na striiruupe. na ca sasarja|
290a07005e	"tata. h kaara. naat pumaan pitara. m maatara nca tyaktvaa svajaayaayaam aasakto bhavi. syati,
290a080057	tau dvaav ekaa"ngau bhavi. syata. h|" tasmaat tatkaalamaarabhya tau na dvaav ekaa"ngau|
290a090042	ata. h kaara. naad ii"svaro yadayojayat kopi narastanna viyejayet|
290a0a005b	atha yii"su rg. rha. m pravi. s.tastadaa "si. syaa. h punastatkathaa. m ta. m papracchu. h|
290a0b0085	tata. h sovadat ka"scid yadi svabhaaryyaa. m tyaktavaanyaam udvahati tarhi sa svabhaaryyaayaa. h praatikuulyena vyabhicaarii bhavati|
290a0c0067	kaacinnaarii yadi svapati. m hitvaanyapu. msaa vivaahitaa bhavati tarhi saapi vyabhicaari. nii bhavati|
290a0d0088	atha sa yathaa "si"suun sp. r"set, tadartha. m lokaistadantika. m "si"sava aaniiyanta, kintu "si. syaastaanaaniitavatastarjayaamaasu. h|
290a0e008b	yii"sustad d. r.s. tvaa krudhyan jagaada, mannika. tam aagantu. m "si"suun maa vaarayata, yata etaad. r"saa ii"svararaajyaadhikaari. na. h|
290a0f009c	yu. smaanaha. m yathaartha. m vacmi, ya. h ka"scit "si"suvad bhuutvaa raajyamii"svarasya na g. rhliiyaat sa kadaapi tadraajya. m prave. s.tu. m na "saknoti|
290a100061	ananatara. m sa "si"suuna"nke nidhaaya te. saa. m gaatre. su hastau dattvaa"si. sa. m babhaa. se|
290a1100ad	atha sa vartmanaa yaati, etarhi jana eko dhaavan aagatya tatsammukhe jaanunii paatayitvaa p. r.s. tavaan, bho. h paramaguro, anantaayu. h praaptaye mayaa ki. m karttavya. m?
290a120058	tadaa yii"suruvaaca, maa. m parama. m kuto vadasi? vine"svara. m kopi paramo na bhavati|
290a1300af	parastrii. m naabhigaccha; nara. m maa ghaataya; steya. m maa kuru; m. r.saasaak. sya. m maa dehi; hi. msaa nca maa kuru; pitarau sammanyasva; nide"saa ete tvayaa j naataa. h|
290a14004c	tatastana pratyukta. m, he guro baalyakaalaadaha. m sarvvaanetaan aacaraami|
290a1500e2	tadaa yii"susta. m vilokya snehena babhaa. se, tavaikasyaabhaava aaste; tva. m gatvaa sarvvasva. m vikriiya daridrebhyo vi"sraa. naya, tata. h svarge dhana. m praapsyasi; tata. h param etya kru"sa. m vahan madanuvarttii bhava|
290a160069	kintu tasya bahusampadvidyamaanatvaat sa imaa. m kathaamaakar. nya vi. sa. no du. hkhita"sca san jagaama|
290a170078	atha yii"su"scaturdi"so niriik. sya "si. syaan avaadiit, dhanilokaanaam ii"svararaajyaprave"sa. h kiid. rg du. skara. h|
290a18009c	tasya kathaata. h "si. syaa"scamaccakru. h, kintu sa punaravadat, he baalakaa ye dhane vi"svasanti te. saam ii"svararaajyaprave"sa. h kiid. rg du. skara. h|
290a19005f	ii"svararaajye dhaninaa. m prave"saat suucirandhre. na mahaa"ngasya gamanaagamana. m sukara. m|
290a1a006a	tadaa "si. syaa atiiva vismitaa. h paraspara. m procu. h, tarhi ka. h paritraa. na. m praaptu. m "saknoti?
290a1b0078	tato yii"sustaan vilokya babhaa. se, tan narasyaasaadhya. m kintu ne"svarasya, yato hetorii"svarasya sarvva. m saadhyam|
290a1c0054	tadaa pitara uvaaca, pa"sya vaya. m sarvva. m parityajya bhavatonugaamino jaataa. h|
290a1d00d3	tato yii"su. h pratyavadat, yu. smaanaha. m yathaartha. m vadaami, madartha. m susa. mvaadaartha. m vaa yo jana. h sadana. m bhraatara. m bhaginii. m pitara. m maatara. m jaayaa. m santaanaan bhuumi vaa tyaktvaa
290a1e008a	g. rhabhraat. rbhaginiipit. rmaat. rpatniisantaanabhuumiinaamiha "satagu. naan pretyaanantaayu"sca na praapnoti taad. r"sa. h kopi naasti|
290a1f0059	kintvagriiyaa aneke lokaa. h "se. saa. h, "se. siiyaa aneke lokaa"scaagraa bhavi. syanti|
290a2000f9	atha yiruu"saalamyaanakaale yii"suste. saam agragaamii babhuuva, tasmaatte citra. m j naatvaa pa"scaadgaamino bhuutvaa bibhyu. h| tadaa sa puna rdvaada"sa"si. syaan g. rhiitvaa sviiya. m yadyad gha. ti. syate tattat tebhya. h kathayitu. m praarebhe;
290a2100ea	pa"syata vaya. m yiruu"saalampura. m yaama. h, tatra manu. syaputra. h pradhaanayaajakaanaam upaadhyaayaanaa nca kare. su samarpayi. syate; te ca vadhada. n.daaj naa. m daapayitvaa parade"siiyaanaa. m kare. su ta. m samarpayi. syanti|
290a220085	te tamupahasya ka"sayaa prah. rtya tadvapu. si ni. s.thiiva. m nik. sipya ta. m hani. syanti, tata. h sa t. rtiiyadine protthaasyati|
290a2300a2	tata. h sivade. h putrau yaakuubyohanau tadantikam etya procatu. h, he guro yad aavaabhyaa. m yaaci. syate tadasmadartha. m bhavaan karotu nivedanamidamaavayo. h|
290a24005d	tata. h sa kathitavaan, yuvaa. m kimicchatha. h? ki. m mayaa yu. smadartha. m kara. niiya. m?
290a25007d	tadaa tau procatu. h, aavayoreka. m dak. si. napaar"sve vaamapaar"sve caika. m tavai"svaryyapade samupave. s.tum aaj naapaya|
290a260108	kintu yii"su. h pratyuvaaca yuvaamaj naatveda. m praarthayethe, yena ka. msenaaha. m paasyaami tena yuvaabhyaa. m ki. m paatu. m "sak. syate? yasmin majjanenaaha. m majji. sye tanmajjane majjayitu. m ki. m yuvaabhyaa. m "sak. syate? tau pratyuucatu. h "sak. syate|
290a270099	tadaa yii"suravadat yena ka. msenaaha. m paasyaami tenaava"sya. m yuvaamapi paasyatha. h, yena majjanena caaha. m majjiyye tatra yuvaamapi majji. syethe|
290a280098	kintu ye. saamartham ida. m niruupita. m, taan vihaayaanya. m kamapi mama dak. si. napaar"sve vaamapaar"sve vaa samupave"sayitu. m mamaadhikaaro naasti|
290a290051	athaanyada"sa"si. syaa imaa. m kathaa. m "srutvaa yaakuubyohanbhyaa. m cukupu. h|
290a2a00cd	kintu yii"sustaan samaahuuya babhaa. se, anyade"siiyaanaa. m raajatva. m ye kurvvanti te te. saameva prabhutva. m kurvvanti, tathaa ye mahaalokaaste te. saam adhipatitva. m kurvvantiiti yuuya. m jaaniitha|
290a2b008d	kintu yu. smaaka. m madhye na tathaa bhavi. syati, yu. smaaka. m madhye ya. h praadhaanya. m vaa nchati sa yu. smaaka. m sevako bhavi. syati,
290a2c0050	yu. smaaka. m yo mahaan bhavitumicchati sa sarvve. saa. m ki"nkaro bhavi. syati|
290a2d0096	yato manu. syaputra. h sevyo bhavitu. m naagata. h sevaa. m karttaa. m tathaaneke. saa. m paritraa. nasya muulyaruupasvapraa. na. m daatu ncaagata. h|
290a2e00b3	atha te yiriihonagara. m praaptaastasmaat "si. syai rlokai"sca saha yii"so rgamanakaale. tiimayasya putro bar. tiimayanaamaa andhastanmaargapaar"sve bhik. saartham upavi. s.ta. h|
290a2f007b	sa naasaratiiyasya yii"soraagamanavaarttaa. m praapya procai rvaktumaarebhe, he yii"so daayuuda. h santaana maa. m dayasva|
290a300088	tatoneke lokaa mauniibhaveti ta. m tarjayaamaasu. h, kintu sa punaradhikamuccai rjagaada, he yii"so daayuuda. h santaana maa. m dayasva|
290a310096	tadaa yii"su. h sthitvaa tamaahvaatu. m samaadide"sa, tato lokaastamandhamaahuuya babhaa. sire, he nara, sthiro bhava, utti. s.tha, sa tvaamaahvayati|
290a32004f	tadaa sa uttariiyavastra. m nik. sipya protthaaya yii"so. h samiipa. m gata. h|
290a33008e	tato yii"sustamavadat tvayaa ki. m praarthyate? tubhyamaha. m ki. m kari. syaamii? tadaa sondhastamuvaaca, he guro madiiyaa d. r.s. tirbhavet|
290a340099	tato yii"sustamuvaaca yaahi tava vi"svaasastvaa. m svasthamakaar. siit, tasmaat tatk. sa. na. m sa d. r.s. ti. m praapya pathaa yii"so. h pa"scaad yayau|
290b0100bc	anantara. m te. su yiruu"saalama. h samiipasthayo rbaitphagiibaithaniiyapurayorantikastha. m jaitunanaamaadrimaagate. su yii"su. h pre. sa. nakaale dvau "si. syaavida. m vaakya. m jagaada,
290b020097	yuvaamamu. m sammukhastha. m graama. m yaata. m, tatra pravi"sya yo nara. m naavahat ta. m garddabha"saavaka. m drak. syathasta. m mocayitvaanayata. m|
290b0300a7	kintu yuvaa. m karmmeda. m kuta. h kurutha. h? kathaamimaa. m yadi kopi p. rcchati tarhi prabhoratra prayojanamastiiti kathite sa "siighra. m tamatra pre. sayi. syati|
290b04006b	tatastau gatvaa dvimaargamelane kasyacid dvaarasya paar"sve ta. m garddabha"saavaka. m praapya mocayata. h,
290b050059	etarhi tatropasthitalokaanaa. m ka"scid ap. rcchat, garddabha"si"su. m kuto mocayatha. h?
290b060064	tadaa yii"soraaj naanusaare. na tebhya. h pratyudite tatk. sa. na. m tamaadaatu. m te. anujaj nu. h|
290b07008a	atha tau yii"so. h sannidhi. m garddabha"si"sum aaniiya tadupari svavastraa. ni paatayaamaasatu. h; tata. h sa tadupari samupavi. s.ta. h|
290b080068	tadaaneke pathi svavaasaa. msi paatayaamaasu. h, parai"sca taru"saakhaa"schitavaa maarge vikiir. naa. h|
290b090098	apara nca pa"scaadgaamino. agragaamina"sca sarvve janaa ucai. hsvare. na vaktumaarebhire, jaya jaya ya. h parame"svarasya naamnaagacchati sa dhanya iti|
290b0a009a	tathaasmaakama. m puurvvapuru. sasya daayuudo yadraajya. m parame"svaranaamnaayaati tadapi dhanya. m, sarvvasmaaducchraaye svarge ii"svarasya jayo bhavet|
290b0b00b4	ittha. m yii"su ryiruu"saalami mandira. m pravi"sya caturdiksthaani sarvvaa. ni vastuuni d. r.s. tavaan; atha saaya. mkaala upasthite dvaada"sa"si. syasahito baithaniya. m jagaama|
290b0c003d	aparehani baithaniyaad aagamanasamaye k. sudhaartto babhuuva|
290b0d00f2	tato duure sapatramu. dumbarapaadapa. m vilokya tatra ki ncit phala. m praaptu. m tasya sannik. r.s. ta. m yayau, tadaanii. m phalapaatanasya samayo naagacchati| tatastatropasthita. h patraa. ni vinaa kimapyapara. m na praapya sa kathitavaan,
290b0e006d	adyaarabhya kopi maanavastvatta. h phala. m na bhu njiita; imaa. m kathaa. m tasya "si. syaa. h "su"sruvu. h|
290b0f00df	tadanantara. m te. su yiruu"saalamamaayaate. su yii"su rmandira. m gatvaa tatrasthaanaa. m ba. nijaa. m mudraasanaani paaraavatavikret. r.naam aasanaani ca nyubjayaa ncakaara sarvvaan kret. rn vikret. r.m"sca bahi"scakaara|
290b100053	apara. m mandiramadhyena kimapi paatra. m vo. dhu. m sarvvajana. m nivaarayaamaasa|
290b1100d4	lokaanupadi"san jagaada, mama g. rha. m sarvvajaatiiyaanaa. m praarthanaag. rham iti naamnaa prathita. m bhavi. syati etat ki. m "saastre likhita. m naasti? kintu yuuya. m tadeva coraa. naa. m gahvara. m kurutha|
290b1200d4	imaa. m vaa. nii. m "srutvaadhyaapakaa. h pradhaanayaajakaa"sca ta. m yathaa naa"sayitu. m "saknuvanti tathopaaya. m m. rgayaamaasu. h, kintu tasyopade"saat sarvve lokaa vismaya. m gataa ataste tasmaad bibhyu. h|
290b13003c	atha saaya. msamaya upasthite yii"surnagaraad bahirvavraaja|
290b140076	anantara. m praata. hkaale te tena maarge. na gacchantastamu. dumbaramahiiruha. m samuula. m "su. ska. m dad. r"su. h|
290b150093	tata. h pitara. h puurvvavaakya. m smaran yii"su. m babhaa. sa. m, he guro pa"syatu ya u. dumbaravi. tapii bhavataa "sapta. h sa "su. sko babhuuva|
290b160038	tato yii"su. h pratyavaadiit, yuuyamii"svare vi"svasita|
290b1700f7	yu. smaanaha. m yathaartha. m vadaami kopi yadyetadgiri. m vadati, tvamutthaaya gatvaa jaladhau pata, proktamida. m vaakyamava"sya. m gha. ti. syate, manasaa kimapi na sandihya cedida. m vi"svaset tarhi tasya vaakyaanusaare. na tad gha. ti. syate|
290b180096	ato hetoraha. m yu. smaan vacmi, praarthanaakaale yadyadaakaa. mk. si. syadhve tattadava"sya. m praapsyatha, ittha. m vi"svasita, tata. h praapsyatha|
290b1900d5	apara nca yu. smaasu praarthayitu. m samutthite. su yadi kopi yu. smaakam aparaadhii ti. s.thati, tarhi ta. m k. samadhva. m, tathaa k. rte yu. smaaka. m svargastha. h pitaapi yu. smaakamaagaa. mmi k. sami. syate|
290b1a0064	kintu yadi na k. samadhve tarhi va. h svargastha. h pitaapi yu. smaakamaagaa. msi na k. sami. syate|
290b1b00cb	anantara. m te puna ryiruu"saalama. m pravivi"su. h, yii"su ryadaa madhyemandiram itastato gacchati, tadaanii. m pradhaanayaajakaa upaadhyaayaa. h praa nca"sca tadantikametya kathaamimaa. m papracchu. h,
290b1c0063	tva. m kenaade"sena karmmaa. nyetaani karo. si? tathaitaani karmmaa. ni karttaa. m kenaadi. s.tosi?
290b1d00c7	tato yii"su. h pratigaditavaan ahamapi yu. smaan ekakathaa. m p. rcchaami, yadi yuuya. m tasyaa uttara. m kurutha, tarhi kayaaj nayaaha. m karmmaa. nyetaani karomi tad yu. smabhya. m kathayi. syaami|
290b1e004b	yohano majjanam ii"svaraat jaata. m ki. m maanavaat? tanmahya. m kathayata|
290b1f008a	te paraspara. m vivektu. m praarebhire, tad ii"svaraad babhuuveti ced vadaamastarhi kutasta. m na pratyaita? kathametaa. m kathayi. syati|
290b200081	maanavaad abhavaditi ced vadaamastarhi lokebhyo bhayamasti yato heto. h sarvve yohana. m satya. m bhavi. syadvaadina. m manyante|
290b2100b3	ataeva te yii"su. m pratyavaadi. su rvaya. m tad vaktu. m na "saknuma. h| yii"suruvaaca, tarhi yenaade"sena karmmaa. nyetaani karomi, ahamapi yu. smabhya. m tanna kathayi. syaami|
290c01012d	anantara. m yii"su rd. r.s. taantena tebhya. h kathayitumaarebhe, ka"scideko draak. saak. setra. m vidhaaya taccaturdik. su vaara. nii. m k. rtvaa tanmadhye draak. saape. sa. naku. n.dam akhanat, tathaa tasya ga. damapi nirmmitavaan tatastatk. setra. m k. r.siivale. su samarpya duurade"sa. m jagaama|
290c020081	tadanantara. m phalakaale k. r.siivalebhyo draak. saak. setraphalaani praaptu. m te. saa. m savidhe bh. rtyam eka. m praahi. not|
290c03004b	kintu k. r.siivalaasta. m dh. rtvaa prah. rtya riktahasta. m visas. rju. h|
290c04009d	tata. h sa punaranyameka. m bh. rtya. m pra. sayaamaasa, kintu te k. r.siivalaa. h paa. saa. naaghaataistasya "siro bha"nktvaa saapamaana. m ta. m vyasarjan|
290c050095	tata. h para. m sopara. m daasa. m praahi. not tadaa te ta. m jaghnu. h, evam aneke. saa. m kasyacit prahaara. h kasyacid vadha"sca tai. h k. rta. h|
290c0600a1	tata. h para. m mayaa svaputre prahite te tamava"sya. m samma. msyante, ityuktvaava"se. se te. saa. m sannidhau nijapriyam advitiiya. m putra. m pre. sayaamaasa|
290c070098	kintu k. r.siivalaa. h paraspara. m jagadu. h, e. sa uttaraadhikaarii, aagacchata vayamena. m hanmastathaa k. rte. adhikaaroyam asmaaka. m bhavi. syati|
290c080046	tatasta. m dh. rtvaa hatvaa draak. saak. setraad bahi. h praak. sipan|
290c090096	anenaasau draak. saak. setrapati. h ki. m kari. syati? sa etya taan k. r.siivalaan sa. mhatya tatk. setram anye. su k. r.siivale. su samarpayi. syati|
290c0a007f	apara nca, "sthapataya. h kari. syanti graavaa. na. m yantu tucchaka. m| praadhaanaprastara. h ko. ne sa eva sa. mbhavi. syati|
290c0b007f	etat karmma pare"sasyaa. mdbhuta. m no d. r.s. tito bhavet||" imaa. m "saastriiyaa. m lipi. m yuuya. m ki. m naapaa. thi. s.ta?
290c0c00bc	tadaanii. m sa taanuddi"sya taa. m d. r.s. taantakathaa. m kathitavaan, ta ittha. m budvvaa ta. m dharttaamudyataa. h, kintu lokebhyo bibhyu. h, tadanantara. m te ta. m vihaaya vavraju. h|
290c0d007f	apara nca te tasya vaakyado. sa. m dharttaa. m katipayaan phiruu"sino herodiiyaa. m"sca lokaan tadantika. m pre. sayaamaasu. h|
290c0e00f6	ta aagatya tamavadan, he guro bhavaan tathyabhaa. sii kasyaapyanurodha. m na manyate, pak. sapaata nca na karoti, yathaarthata ii"svariiya. m maarga. m dar"sayati vayametat prajaaniima. h, kaisaraaya karo deyo na vaa. m? vaya. m daasyaamo na vaa?
290c0f0082	kintu sa te. saa. m kapa. ta. m j naatvaa jagaada, kuto maa. m pariik. sadhve? eka. m mudraapaada. m samaaniiya maa. m dar"sayata|
290c100082	tadaa tairekasmin mudraapaade samaaniite sa taan papraccha, atra likhita. m naama muurtti rvaa kasya? te pratyuucu. h, kaisarasya|
290c11008b	tadaa yii"suravadat tarhi kaisarasya dravyaa. ni kaisaraaya datta, ii"svarasya dravyaa. ni tu ii"svaraaya datta; tataste vismaya. m menire|
290c120065	atha m. rtaanaamutthaana. m ye na manyante te siduukino yii"so. h samiipamaagatya ta. m papracchu. h;
290c1300dc	he guro ka"scijjano yadi ni. hsantati. h san bhaaryyaayaa. m satyaa. m mriyate tarhi tasya bhraataa tasya bhaaryyaa. m g. rhiitvaa bhraatu rva. m"sotpatti. m kari. syati, vyavasthaamimaa. m muusaa asmaan prati vyalikhat|
290c14006b	kintu kecit sapta bhraatara aasan, tataste. saa. m jye. s.thabhraataa vivahya ni. hsantati. h san amriyata|
290c150086	tato dvitiiyo bhraataa taa. m striyamag. rha. nat kintu sopi ni. hsantati. h san amriyata; atha t. rtiiyopi bhraataa taad. r"sobhavat|
290c160083	ittha. m saptaiva bhraatarastaa. m striya. m g. rhiitvaa ni. hsantaanaa. h santo. amriyanta, sarvva"se. se saapi strii mriyate sma|
290c170088	atha m. rtaanaamutthaanakaale yadaa ta utthaasyanti tadaa te. saa. m kasya bhaaryyaa saa bhavi. syati? yataste saptaiva taa. m vyavahan|
290c18005b	tato yii"su. h pratyuvaaca "saastram ii"svara"sakti nca yuuyamaj naatvaa kimabhraamyata na?
290c19007c	m. rtalokaanaamutthaana. m sati te na vivahanti vaagdattaa api na bhavanti, kintu svargiiyaduutaanaa. m sad. r"saa bhavanti|
290c1a00eb	puna"sca "aham ibraahiima ii"svara ishaaka ii"svaro yaakuuba"sce"svara. h" yaamimaa. m kathaa. m stambamadhye ti. s.than ii"svaro muusaamavaadiit m. rtaanaamutthaanaarthe saa kathaa muusaalikhite pustake ki. m yu. smaabhi rnaapaa. thi?
290c1b007b	ii"svaro jiivataa. m prabhu. h kintu m. rtaanaa. m prabhu rna bhavati, tasmaaddheto ryuuya. m mahaabhrame. na ti. s.thatha|
290c1c00dc	etarhi ekodhyaapaka etya te. saamittha. m vicaara. m "su"sraava; yii"suste. saa. m vaakyasya saduttara. m dattavaan iti budvvaa ta. m p. r.s. tavaan sarvvaasaam aaj naanaa. m kaa "sre. s.thaa? tato yii"su. h pratyuvaaca,
290c1d0047	"he israayellokaa avadhatta, asmaaka. m prabhu. h parame"svara eka eva,
290c1e009d	yuuya. m sarvvanta. hkara. nai. h sarvvapraa. nai. h sarvvacittai. h sarvva"saktibhi"sca tasmin prabhau parame"svare priiyadhva. m," ityaaj naa "sre. s.thaa|
290c1f00ab	tathaa "svaprativaasini svavat prema kurudhva. m," e. saa yaa dvitiiyaaj naa saa taad. r"sii; etaabhyaa. m dvaabhyaam aaj naabhyaam anyaa kaapyaaj naa "sre. s.thaa naasti|
290c200086	tadaa sodhyaapakastamavadat, he guro satya. m bhavaan yathaartha. m proktavaan yata ekasmaad ii"svaraad anyo dvitiiya ii"svaro naasti;
