0100000016	ሜꬌቴꬃ ማጻፋ
0701170084	ኢስቲካ ቤቴሌ ካታማ ዩዪ ጾሞሲዛ ኣሳታ ኪቲዳ፤ ካሴ ሄ ካታማይ ሱንꬂ ሎዛ ጌቴቴስ።
07011800cc	ኪቲን ኢስቲ ካታማፔ ኬዚ ቢዛ ኢሲ ኣዴዛ ዴሚዲ፥ «ካታማ ጊዶ ዋኒ ጌላናስ ዳንዳዬቲዛኮ ኑና ቤሳ፤ ኔ ቤሲኮ ኑኒ ኔስ ኪያና» ጊዳ።
07011900cb	ሂስቲን ኢዚ ኢስታ ቤሲዴስ፤ ሄሳፌ ጉዬ ካታማን ዲዛ ኣሳ ጊꬃ ማሻን ቡሳኪዳ፤ ጊዶ ኣቲን ሄ ኣዴዛኔ ኢዛሶ ኣሳ ኡባ ሼምፖ ኣሺዳ።
07011a00e5	ጉዬፔ ሄ ኣዴዚ ሂቴ ጌቴቲዛ ዴሬ ቢዲ፥ ሄን ካታማ ኤሲዴስ፤ ሄ ካታማይ ሱንꬃ ሎዛ ጊ ሱንꬂዴስ፤ ሄ ካታማያካ ሃች ጋካናስ ሄ ሱንꬃን ጼይጌታዉስ።
07011b0114	ሚናሴ ዛሬቲ፥ ቤቲ-ሻኣኔ፥ ታኢናኬ፥ ዶሬ፥ ዪቢላኣሜኔ ማጊዶ ካታማታኒኔ ኢስታ ዩሾን ዲዛ ሞꬃታን ዲዛ ኣሳታ ኬሲ ጎዶንታ ኣጊዳ ጊሻስ ካናኔቲ ሄን ባንታ ዴኦ ሚንꬂ ኦይኪዳ።
07011c00a4	ኢስራኤሌ ኣሳይ ሚኒዳ ዎዴ ካናኔታ ባስ ዎልቃን ኦሲሲዳ፤ ጊዶ ኣቲን ኢስታ ሙሌራ ቢታፌ ኬሲ ጎዲቤቴና።
07011d00c2	ኤፍሬሜ ዛሬቲካ ጌዜሬ ጌቴቲዛ ካታማን ዲዛ ካናኔታ ኬሲዲ ጎዶንታ ኣጊዳ ጊሻስ ካናኔ ኣሳቲ ሄን ኢስታራ ኢሲፌ ዱስ ዶሚዳ።
07011e0114	ዛቢሎኔ ዛሬቲ ቂቲሮኔ ካታማኒኔ ናሂላሌ ካታማን ዲዛ ኣሳታ ኬሲ ጎዶንታ ኣጊዳ ጊሻስ ካናኔቲ ሄን ኢስታራ ኢሲፌ ዴኢዳ፤ ጊዶ ኣቲን ዛቢሎኔ ዛሬቲ ኢስታ ባስ ዎልቃን ኦሲሲዳ።
07011f00b4	ኣሴሬ ዛሬቲካ ኣኮን፥ ሲዶናን፥ ኣሂላቤን፥ ኣኪዚቤን፥ ሄልቤን፥ ኣፌቄኒኔ ኤራሆቤን ዲዛ ኣሳታ ኬሲ ጎዲቤቴና።
070120006c	ካናኔቲ ኬዞንታ ኣጊዳ ጊሻስ ኣሴሬ ዛሬቲ ኢስታራ ሄን ኢሲፌ ዴኢዳ።
0701210125	ኒፍታሌሜ ዛሬቲካ ቤቲ-ሼሚሼ ካታማኒኔ ቤቲ-ኣናቴ ካታማን ዲዛ ኣሳታ ኬሲዲ ጎዲቤቴና፤ ጊዶ ኣቲን ካናኔታራ ሄን ኢሲፌ ዴኢሺን ቤቲ-ሼሚሼኔ ቤቲ-ኣናቴ ካታማ ኣሳታ ባስ ዎልቃን ኦሲሲዳ።
0701220077	ኣሞሬቲ ዳኔ ዛሬታ ፑዴ ዙማቲ ዲዛሶ ጌዜፌ ዱጌ ዴምባሶ ዎꬎንታ ማላ ዲጊዳ።
07012300fc	ኣሞሬቲ ሃሪ-ሄሬሴ ዴሬን፥ ኣያሎኒኔ ሻኣልቢሜ ጌቴቲዛ ካታማታን ዴኦ ሚንꬂዳ፤ ጊዶ ኣቲን ኤፍሬሜ ዛሬቲኔ ሚናሴ ዛሬቲ ሚኒ ሚኒ ቢዲ ባንታስ ዎልቃን ኦሲሲዳ።
070124007d	ኣሞሬታ ዴሬ ዛዋይ ኣኪራቢሜ ጌቴቲዛሶራ ኣꬊ ቢዲ ሴላራ ካንꬂዲ ሄራ ኣꬊ ቤስ።
070201014c	ጎዳ ኪታንቻይ ጌልጌላፔ ቦኪሜ ቢዲ ኢስራኤሌ ኣሳስ፥ «ታኒ ኢንቴና ጊብጼፔ ኬሳዳ ቤኒ ኢንቴ ኣዋስ ኢማና ጋዳ ታ ጫቂዳ ቢታ ኢንቴና ጌልꬃዲስ፤ ሂስታዳ ታ ኢንቴስ፥ ‹ታኒ ኢንቴናራ ጫቂዳ ጫቆ ቃላ ሙሌካ ላሚኬ።
07020200d9	ኢንቴ ሃ ቢታን ዲዛ ኣሳታራ ጫቆ ጫቄቶፍቴ፤ ኢስቲ ያርሺዛሶታ ላሊቴ› ጋዲስ፤ ጊዶ ኣቲን ኢንቴ ታስ ኣዛዜቲቤኬታ፤ ኣይስ ሄሳꬆ ሃኒዴቲ?
07020300f6	ሄሳ ጊሻስ ታኒ ኢንቴና፥ ‹ኢስታ ታኒ ኢንቴ ሲንꬃፌ ኬሳ ጎዲኬ፤ ኢስቲ ኢንቴስ ሞርኬ ጊዳና፤ ኢስታ ኤቃ ጾሳቲካ ኢንቴስ ናርጻ ማላ ጊዳና› ጋዲስ» ጊዴስ።
0702040088	ጎዳ ኪታንቻይ ሄሳ ኢስራኤሌ ኣሳ ኡባስ ዮቲዳ ዎዴ ኣሳይ ባ ቃላ ꬎቁ ሂስቲዲ ዬኪዴስ።
0702050073	ሄ ሶሆዛ ቦኪሜ ጊዲ ሱንꬂዴስ፤ ሂስቲዲ ሄ ሶዛን ጾሳስ ያርሾ ያርሺዴስ።
0702060091	ኢያሶይ ኢስራኤሌ ኣሳ ዬዲዳፔ ጉዬ ኣሳይ ኢሶይ ኢሶይ ሻኪን ባና ጋኪዛ ቢታ ኤካናስ ቢዴስ።
0702070115	ኢያሶይ ሼምፖራ ፓጻ ዲዛ ላይꬃ ኡባን ኣሳይ ጎዳስ ኦꬂዴስ፤ ኢዚ ሃይቂዳፔ ጉዬ ጎዳይ ኢስራኤሌ ኣሳስ ኦꬂዳ ጊታ ኦሶ ኡባ ቤኢዳ ጪማታ ዎዴ ኡባንካ ጎዳስ ጎይኒዛይሳ ኣጊቤና።
0702080056	ጎዳ ኣይሌ ናዌ ና ኢያሶስ ላይꬃይ 110 ጊዲን ሃይቂዴስ፤
07020900ac	ጋኣሼ ዴሬፔ ፑዴሃ ባጋን ኤፍሬሜ ዴሬን ቦላ ጌዜ ቢታን ቴሚናቴ-ሴራሃ ጌቴቲዛሶን ዲዛ ኢዛ ጋዴን ኢዛ ሞጊዳ።
07020a00af	ሄ ዬሌታ ኡባይ ሃይቂዳፔ ጉዬ ጎዳኔ ኢዚ ኢስራኤሌ ኣሳስ ኦꬂዳ ሎኦ ኦሶ ኡባ ኤሮንታ ኦራꬃ ዬሌታይ ዴንዲዴስ።
07020b0093	ሄሳፌ ጉዬ ኢስራኤሌ ኣሳይ ጎዳ ሲንꬃን ኢታ ሚሽ ኦꬂዴስ፤ ባኣሌ ጌቴቲዛ ኤቃታስ ጎይኒዴስ።
07020c00e6	ጊብጼ ቢታፌ ኢስታ ኬሲዳ ጎዳ፥ ባንታ ኣዋታ ጾሳ ኣጋጊዳ፤ ባንታ ሄራን ዲዛ ኣሳቲ ጎይኒዛ ኤቃታኮ ሲሚዲ ኢስታስ ጎይኒዳ፤ ሄሳን ጎዳ ሃንቄꬂዳ።
07020d0046	ጎዳካ ኣጊዲ ባኣሌሲኔ ኣስታሮቴስ ጎይኒዳ።
07020e0162	ሄሳ ጊሻስ ጎዳ ሃንቆይ ኢስራኤሌ ኣሳ ቦላ ኤጺ ኬዚዴስ፤ ዎራጂዛይቲ ቦንቃና ማላ ኢስታ ሞርኬታ ኩሼን ኣꬂ ኢሚዴስ፤ ኢስታ ሄራን ዲዛ ሞርኬታስ ኢስታ ኣꬂ ኢሚዴስ፤ ሄሳፌ ጉዬ ኢስቲ ባንታ ሞርኬታራ ኤቄታናስ ዳንዳይቤቴና።
07020f00ea	ኢስቲ ኦላስ ኬዚዛ ዎዴ ኡባን ጎዳይ ካሴ ኢስታስ ጫቂ ዮቶይሳꬆ ኢስቲ ጾኔታና ማላ ኢዚ ኢስታ ቦላ ዴንዲዴስ፤ ሄሳፌ ዴንዶይሳን ኢስቲ ኬሂ ዋዬቲዳ።
0702100093	ሄሳፌ ጉዬ ጎዳይ ኢስራኤሌ ኣሳ ቦላ ዎራጂዛይታ ኩሼፔ ኢስታ ኣሺዛ ዳናታ ኢስታስ ዴንꬂዴስ፤
0702110167	ጊዶ ኣቲን ኢስራኤሌ ኣሳይ ኢስታስ ፒርዲዛ ዳናታስ ኣዛዜቲቤና፤ ኢስቲ ጎዳስ ኣማኔቶንታ ኢጺዳ፤ ኤቃ ጾሳታኮ ሲሚዲ ኢስታስ ጎይኒዳ፤ ካሴ ባንታ ኣዋታ ኦጌፔ ካሬ ኬዚዳ፤ ኢስታ ኣዋቲ ጎዳስ ኣዛዜቲዳ ማላ ኢስቲ ኣዛዜቲቤቴና።
070212018d	ጎዳይ ኢስታስ ፒርዲዛ ዳናታ ዳናሲዳ ዎዴ ኡባን ኢዚ ሄ ፒርዲዛ ዳናታራ ኢሲፌ ዲዛ ጊሻስ ሄ ዳናቲ ሼምፖራ ፓጻ ዲዛ ላይꬅ ኡባን ኢስታ ሞርኬታ ኩሼፔ ኢስታ ኣሺዴስ። ዋዬይኔ ቱጋይ ኢስታ ቦላ ዳሪዳ ጋሶን ኢስቲ ዋሲዛይሳ ሲዪዲ ጎዳይ ኢስታስ ቃꬌቲዴስ።
0702130167	ጊዶ ኣቲን ኢስታ ካሌꬂዛ ዳናቲ ሃይቂዳ ዎዴ ኡባን ኣሳይ ጉዬ ሲሚዲ፥ ኤቃ ጾሳታ ካሎን፥ ኢስታስ ሃጋዞኒኔ ኢስታ ጎይኖን ካሴ ኢስታ ኣዋቲ ኦꬂዳ ኢታ ኦሶፔ ኣꬊዳ ኢታ ኦሶን ሲሚ ጌሊዳ፤ ባንታ ኢታ ኦሶኔ ጌላ ኦጌ ኣጎንታ ኢጺዳ።
0702140108	ሄሳ ጋሶን ጎዳ ሃንቆይ ኢስራኤሌ ካዎቴꬃ ቦላ ኤጺ ኬዚዴስ፤ ጎዳይ፥ «ሃ ኣሳይ ታኒ ካሴ ኢስታ ኣዋታራ ጌሊዳ ጫቆ ቃላ ዬꬊ ኣꬊዳ ጊሻሲኔ ታስ ኣዛዜቶንታ ኢጺዳ ጊሻስ፥
07021500a1	ሃቺፌ ዶሚን ኢያሶይ ሃይቂዳ ዎዴ ቢታ ቦላን ኣቲዳ ካዎቴꬃታፔ ኢሳዴካ ታኒ ኢስታ ሲንꬃፌ ኬሳ ጎዲኬ።
07021600eb	ሃ ኢስራኤሌ ኣሳይ ካሴ ባንታ ኣዋታ ማላ ታ ኦጌ ካሊዛኮኔ ካሎንታኮ ታኒ ኢስታ ፓጫናስ ሃይሳ ሃ ዴሬታ ታስ ኦላ ማሳራ ኦꬃዳ ኢስታን ጎኤታና» ጊዴስ።
07021700cc	ሄሳ ጊሻስ ጎዳይ ሄ ካዎቴꬃ ኣሳይ ኬዞንታ ጋምኣና ማላ ኦꬂዴስ። ኢዚ ኢስታ ኤሶን ዬዴꬂ ኬሲቤና፤ ኢያሶስካ ኢስታ ኣꬂ ኢሚቤና።
0703010095	ሄ ዎዴ ካናኔን ኣይ ኦላካ ኦሌቲ ኤሮንታ ኢስራኤሌ ካዎቴꬃ ፓጫና ማላ ጎዳይ ሃ ኣሳታ ኣሺዴስ።
0703020083	ኢዚ ሄሳ ኦꬂዳይ ሃይሳፌ ካሴ ኦላ ኦሌቲ ኤሮንታ ኢስራኤሌ ዬሌታ ኦላ ታማርሳናሳ።
0703030114	ሄ ቢታን ኣቲዳ ኣሳቲ፥ ፊሊስጼሜ ካታማታ ሃሪዛ ኢቻሻታ፥ ካናኔታ ኡባ፥ ሲዶና ካታማ ኣሳታኔ ባኣሊ-ሄርሞኔ ጌቴቲዛ ዴሬፔ ዶሚዲ ሃማቴ ጋካናስ ሊባኖሴ ዙማታ ቦላ ዲዛ ሂዌታ።
07030400f0	ጎዳይ ሙሴ ባጋራ ካሴ ኢስራኤሌ ኣዋታስ ኢሚዳ ኣዛዞ ኢስቲ ኣዛዜቲዛኮኔ ኣዛዜቶንታኮ ሻኪ ኤራናስ ኢስታስ ፓጬ ጊዳና ማላ ሄ ኣቲዳ ኣሳታ ሄን ኣሺዴስ።
07030500ad	ሄሳ ጊሻስ ኢስራኤሌ ኣሳይ ካናኔታራ፥ ሂዌታራ፥ ኣሞሬታራ፥ ፓሪዜታራ፥ ሂቴታራኔ ያቡሴታራ ኢሲፌ ዴኢዴስ።
07030600b2	ኢስታ ማጫ ናይታ ባስ ማቾ ኤኪዳ፤ ባንታ ማጫ ናይታካ ኢስታ ኣቱማ ናይታስ ኢሚዳ፤ ኢስታ ኤቃ ጾሳታስካ ጎይኒዳ።
07030700bf	ኢስራኤሌ ኣሳይ ጎዳ ሲንꬃን ኢታ ሚሽ ኦꬂዴስ፤ ኢስቲ ጎዳ ባንታ ጾሳ ኣጊዲ ባኣሌኔ ኣሼሮ ጌቴቲዛ ኤቃ ጾሳታስ ጎይኒዳ።
0703080107	ሄሳ ጊሻስ ጎዳ ሃንቆይ ኢስራኤሌ ኣሳ ቦላ ኤጺ ኬዚዴስ፤ ጎዳይ ማሶጴጾምያ ቢታ ካዎ ኩሻን-ኣሪሻታዬ ኩሼን ኢስታ ኣꬂ ኢሚዴስ፤ ኢስቲካ ኢዛስ ኦስፑን ላይꬅ ሃሬቲዳ።
07030900d6	ጊዶ ኣቲን ኢስራኤሌ ኣሳይ ጎዳስ ዋሲዳ ዎዴ ጎዳይ ኢስታ ኣሻናስ ኣሺዛዴ ኪቲዴስ፤ ኢዚካ ካሌቤስ ካሎ ኢሻ ቄናዜ ና ኦቲንኤሌ ጌቴቴስ።
07030a010d	ጎዳ ኣያናይ ኢዛ ቦላ ዎꬊን ኢዚ ኢስራኤሌ ዴሬ ኣይሲዛ ዳና ጊዲዴስ፤ ኢዚ ኦላስ ኬዚዳ ዎዴ ጎዳይ ማሶጴጾምያ ቢታ ካዎ ኩሻን-ኣሪሻታዬ ኢዛ ኩሼን ኣꬂ ኢሚን ኢዛ ጾኒዴስ።
07030b0091	ሄሳ ጊሻስ ቄናዜ ና ኦቲንኤሌይ ሃይቃና ጋካናስ ቢታይ ኦይዱ ታሙ ላይꬅ ኩሜꬅ ዎፓ ዴሚዴስ።
07030c00d5	ኢስራኤሌ ኣሳይ ዛሬꬂዲካ ጎዳ ሲንꬃን ኢታ ሚሽ ኦꬂዴስ፤ ሄሳ ጊሻስ ጎዳይ ሞኣቤ ካዎ ኤጊሎኔይ ኢስራኤሌ ቦላ ዎልቃማና ማላ ኦꬂዴስ።
07030d00cd	ኤጊሎኔይ ኣሞኔታኔ ኣማሌቄታ ባናራ ዴንꬂ ኤኪ ቢዲ ኢስራኤሌ ኣሳ ኦሊ ጾኒዴስ፤ ዛምባ ካታማ ጌቴቲዛ ኢያርኮ ካታማካ ኦይኪዴስ።
07030e0071	ኢስራኤሌ ኣሳይካ ሞኣቤ ካዎ ኤጊሎኔስ ታማኔ ኦስፑን ላይꬅ ሃሬቲዴስ።
07030f0140	ኢስራኤሌ ኣሳይ ጎዳኮ ዛሪ ዋሲዳ ዎዴ፥ ኢስታ ኣሺዛ ኣስ ኪቲዴስ፤ ኢዚካ ቢኒያሜ ዛሬፔ ጌራ ና ኤሁዴ ጌቴቴስ፤ ኢዚ ሃዲርሳ ኩሼን ኦꬂዛ ኣሳ፤ ኢስራኤሌ ኣሳይ ኤሁዴ ሞኣቤ ካዎ ኤጊሎኔኮ ጊራራ ኪቲዴስ።
07031000ac	ኤሁዴይ ናምኡ ባጋራ ቃራቲዳ ኢሲ ዋꬋ ጊዲዛ ጊꬃ ማሻ ባስ ጊግሲዴስ፤ ኡሻቻ ሚሌ ባጋራ ማይኦ ጊዶን ጊጺዴስ።
0703110084	ሄሳፌ ጉዬ ሞኣቤ ካዎ ኤጊሎኔስ ጊራ ኤኪ ኤፊዲ ኢሚዴስ፤ ኤጊሎኔይ ኬሂ ኦርዴ ኣሳ።
070312006c	ኤሁዴይ ጊራዛ ካዎዛስ ኢሚዳፔ ጉዬ ጊራ ቶኪዲ ቢዳ ኣሳታ ሞይዚዴስ።
0703130149	ጊዶ ኣቲን ኤሁዴይ ጌልጌላ ማታን ዲዛ ማሴቲ ኤቂዳ ሹቻታ ማታፔ ኤጊሎኔኮ ጉዬ ሲሚ ቢዲ፥ «ካዎንቶ! ታኒ ኢንቴስ ዮታና ጹራ ሚሺ ዴስ» ጊዴስ። ሂስቲን ካዎይ፥ «ጮኡ ጋ!» ጊዴስ፤ ኢዛ ናጊዛይቲ ኡባይ ካሬ ኬዚዳ።
07031400fd	ሄ ዎዴ ካዎይ ፖቄን ዲዛ ኢሲ ጫርኪዛ ኪፊሌን ባርካ ኡቲ ዲሺን ኤሁዴይ ኢዛኮ ሺቂዲ፥ «ጾሲ ኔስ ዬዲዳ ኪታይ ዴስ» ጊዴስ፤ ካዎዚካ ባ ኡቲዳሶሆፔ ዴንዲ ኤቂዴስ።
0703150084	ኤሁዴይ ሃዲርሳ ኩሼ ዬዲዲ ኡሻቻ ባጋ ሚሌፌ ጊꬃ ማሻ ሾዲዲ ካዎዛስ ኡሎን ዬዲዴስ።
07031600d2	ሂስቲን ጊꬃ ማሻስ ቱቴይ ኣቶንታ ኡሎ ጊዶ ጌሊዲ ዞኮራ ካንꬂ ኬዚዴስ፤ ሞꬌዚካ ማሻ ማይኢዴስ፤ ኤሁዴይ ማሻ ሾዶንታ ሄን ኣጋጊዴስ።
0703170067	ሄሳፌ ጉዬ ኤሁዴይ ካሬ ኬዚዲ ኬꬃ ካሬ ኢዛ ቦላ ጎርዲ ቁልፒዴስ።
07031800cc	ኤሁዴይ ቢዳፔ ጉዬ ካዋ ኣይሌቲ ዪዲ ፔንጌይ ጎርዴቲዳይሳ ቤኢዳ፤ ጊዶ ኣቲን ካዎይ ጊዶ ኪፊሌን ሼሻስ ኡቶንታ ኣጌና ጊዲ ቆፒዳ።
07031900f5	ሳሌታና ጋካናስ ካሬን ኤቂ ናጊዳ፤ ጊዶ ኣቲን ካዎይ ፔንጌ ዶዮንታ ኢጺን ቁልፔ ኤኪዲ ፔንጌዛ ዶይዳ፤ ኢስታ ጎዳ ኣሃይ ዉይጌ ቦላ ፖርጩ ጊ ዲዛይሳ ቤኢዳ።
07031a00b1	ኣሽካራቲ ሄን ፔንጌ ቦላ ናጎን ዲሺን ኤሁዴይ ኬሲ ኤኪዲ ማሴቲ ኤቂዳ ሹቻሶራ ኣꬊዲ ሴይሬ ጌቴቲዛሶ ባቃቲዴስ።
07031b00ce	ኢዚ ሄ ጋኪዳ ዎዴ ኤፍሬሜ ዴሬን ቦላ ጌዜዛን ኢስራኤሌ ኣሳይ ኦላስ ሺቃና ማላ ዛዬ ፑኒዴስ፤ ኣሳይካ ኢዛ ካሊዲ ሄፔ ዱጌ ዎꬊዴስ።
07031c0157	ኢዚ ኢስታስ፥ «ታና ካሊቴ፤ ኣይስ ጊኮ ጎዳይ ኢንቴ ሞርኬታ፥ ሞኣቤታ ኢንቴ ኩሼን ኣꬂ ኢሚዴስ» ጊዴስ። ሂዝጊን ኢዛ ካሊ ዎꬊዲ ዮርዳኖሴ ሻፋፔ ጌዴ ሞኣቤ ፒንꬂዛ ፑርዴዛ ኦይኪዲ ኢሳዴይካ ሄራ ካንꬆንታ ማላ ዲጊዳ።
07031d0093	ሄ ዎዴ ሞኣቤ ኣሳፔ ታሙ ሺ ጊዲዛ ዶሬቲዳ ሚኖ ኦላንቻታ ዎꬊዳ፤ ኢሲ ኣሲካ ኬሲ ኤኪ ኣቲቤና።
07031e00ac	ሄ ጋላስ ኢስራኤሌ ኣሳይ ሞኣቤ ኣሳ ኦሊ ጾኒዴስ፤ ሄሳ ጋሶን ቢታይ ኦስፑን ታሙ ላይꬅ ጋካናስ ዎፓ ዴሚዴስ።
07031f00bb	ኤሁዴፔ ጉዬ ኣናቴ ና ሻምጋሬይ ዴንዲዴስ፤ ፊሊስጼሜ ዴሬፔ ኡሱፑን ጼቱ ኣስ ጪካ ጉፌን ዎꬊዲ ኢስራኤሌ ኣሳ ኣሺዴስ።
070401007f	ኤሁዴይ ሃይቂዳፔ ጉዬ ኢስራኤሌ ኣሳይ ጎዳ ሲንꬃን ዛሬꬂዲካ ኢታ ሚሽ ኦꬂዴስ።
07040200f0	ሄሳ ጊሻስ ጎዳይ ሃጾሬ ጌቴቲዛ ካታማን ካዎቲዳ ካናኔ ካዎ ያቢኔስ ኢስታ ኣꬂ ኢሚዴስ፤ ኢዛ ኦላንቻታ ካሌꬂዛ ሲሳሪ ሃሮሼ-ሃጎዬ ጌቴቲዛ ካታማን ዴስ።
0704030102	ያቢኔይ ቢራታፔ ኦሴቲዳ ኡዱፉን ጼቱ ፓራ-ጋሬቲ ኢዛስ ዲዛ ጊሻሲኔ ኢዚ ኢስራኤሌ ኣሳ ናምኡ ታሙ ላይꬅ ኩሜꬅ ኬሂ ኡንኤꬂዳ ጊሻስ ኢስቲ ማዶ ዴማናስ ጎዳኮ ዋሲዳ።
070404007a	ሄ ዎዴ ላፒዶታ ማቻ ናቤ ዲቦራይ ቲንቢቴ ዮቲዛራ ኢስራኤሌ ዴራ ፒርዲዛ ዳና።
0704050100	ኢዛካ ኤፍሬሜ ዴሬን ቦላ ጌዜን፥ ኤራማ ካታማፔኔ ቤቴሌ ካታማፔ ጊዶን ዲዛ ዲቦራ ዛምባ ጋርሳን ኡታዳ ፒርዳዉስ፤ ኢስራኤሌ ኣሳይ ባ ዮኦ ፒርዲሳናስ ኢዚኮ ዬስ።
0704060132	ኢሲ ጋላስ ዲቦራ ኣቢኖኣሜ ና ባራቄ ኒፍታሌሜ ቢታን ዲዛ ቃዴሴ ካታማፔ ኪታዳ ጼይጊሳዱስ፤ «ጎዳ ኢስራኤሌ ጾሳይ ኔና፥ ‹ኒፍታሌሜ ዛሬፔኔ ዛቢሎኔ ዛሬፔ ታሙ ሺ ኣስ ኤካዳ ታቦሬ ዙማ ቦላ ኬዛ።
070407010b	ያቢኔ ኦላንቻታ ካሌꬂዛ ሲሳራ ፓራ-ጋሬታኔ ኦላንቻታ ኤኪዲ ቂሶኔ ሻፋን ኔናራ ኦላ ጋይታናስ ያና ማላ ታኒ ኢዛ ዴንꬄꬃና፤ ታኒ ኢዛ ኔስ ኣꬃ ኢማና› ጊ ኣዛዜስ» ጋዱስ።
070408008c	ባራቄይካ ኢዚስ፥ «ኔኒ ታናራ ቢኮ ታኒ ባና፤ ኔኒ ታናራ ቦንታ ኣጊኮ ታኒካ ቢኬ» ጊዴስ።
0704090122	ዲቦራይካ፥ «ኤሮ፥ ቡሳ ታ ኔናራ ባና፤ ጊዶ ኣቲን ጎዳይ ሲሳራ ማጫሳ ኩሼን ኣꬂ ኢማና ጊሻስ ታ ቡሳይ ኔስ ቦንቾ ጊዴና» ጋዱስ፤ ሄሳፌ ጉዬ ዲቦራይ ዴንዳዳ ባራቄራ ኦላስ ቃዴሴ ባዱስ።
07040a00a7	ባራቄይ ኒፍታሌሜኔ ዛቢሎኔ ዛሬታ ቃዴሴ ጼይጊን ታሙ ሺ ኣሳይ ኢዛ ካሊ ኬዚዴስ፤ ዲቦራይካ ኢዛራ ባዱስ።
07040b00ff	ሄ ዎዴ ቄናዌ ዴሬ ኣስ ሄቤሬ ጌቴቲዛይሲ ሙሴ ቦሎ ሆባቤ ናይታ ቄናዌ ዴሬ ኣሳፔ ሻኬቲዴስ፤ ሂስቲዲ ቃዴሴኮ ሺቂዲ ዛናኒሜን ጊታ ዎላ ጋርሳን ባ ዱንካኔ ቶኪዴስ።
07040c005c	ኣቢኖኣሜ ና ባራቄይ ታቦሬ ዙማ ቦላ ቢዳይሳ ሲሳሪ ሲዪዲ፥
07040d00be	ሲሳሪካ ቢራታፔ ኦሴቲዳ ኡዱፉን ጼቱ ፓራ-ጋሬታኔ ባናራ ዲዛ ኦላንቻታ ኡባ ጼይጊሲዲ ሃሮሼ-ሃጎዬፔ ቂሶኔ ሻፋ ሺሺዴስ።
07040e0104	ዲቦራይ ባራቄ «ዴንዳ! ሄኮ ሃች ጎዳይ ሲሳራ ኔ ኩሼን ኣꬂ ኢሚዛ ጋላሳ። ቤያ! ጎዳይ ኔፔ ሲንꬃቲ ቤስ» ጋዱስ፤ ባራቄይ ታሙ ሺ ኣሳ ካሌꬂዲ ታቦሬ ዙማ ቦላፌ ዎꬊዴስ።
07040f00ef	ጎዳይ ሲሳራ ኢዛ ፓራ-ጋሬታ ኡባኔ ኢዛ ኦላንቻታ ኡባ ቃራ ጊꬃ ማሻን ባራቄ ሲንꬃፌ ባቃቲሲዴስ፤ ሄሳ ጊሻስ ሲሳሪ ባ ፓራ-ጋሬፔ ዎꬊዲ ቶሆራ ባቃቲዴስ።
07041000d6	ባራቄይካ ሲሳራ ፓራ-ጋሬታኔ ኦላንቻታ ሃሮሼ-ሃጎዬ ጋካናስ ዬዴꬂዴስ፤ ሲሳራ ኦላንቻታፔ ኢሳዴይካ ኣቶንታ ኡባይካ ጊꬃ ማሻን ዉሪዳ።
070411010e	ሄ ዎዴ ሃጾሬ ካዎ ያቢኔሲኔ ቄናዌ ዴሬ ኣስ ሄቤሬ ዜሬꬃታ ጊዶን ሎኦ ጋይቶቴꬂ ዲዛ ጊሻስ ሲሳሪ ቶሆን ባቃቲዲ ቄናዌ ዴሬ ኣስ ሄቤሬ ማቺዮ ያኤሊ ዱንካኔ ጊዶ ዎጺ ጌሊዴስ።
07041200cf	ያኤላ ሲሳራ ሞካናስ ኬዛዳ፥ «ታ ጎዳዉ፥ ጌላ፤ ሃ ጌላ፤ ያዮፋ» ጋዱስ፤ ኢዚ ዱንካኔ ጊዶ ኢዚኮ ጌሊን ኢዛ ባ ቡሉኮን ካማ ቆታዱስ።
07041300bb	ሲሳሪ፥ «ታና ሳሜስ፤ ኡዪዛ ጉꬃ ሃꬅ ኢማርኪ!» ጊዴስ፤ ማꬅ ኦቶፔ ቲጋ ኡሻዱስ፤ ሂስታዳ ሲሳራ ኢዛ ዛራ ካማ ቆታዱስ።
07041400c5	ሄሳፌ ጉዬ ኢዚ ኢዞ፥ «ዱንካኔዛ ፔንጌን ኤቃ፤ ኣይ ኣሲካ ዪዲ፥ ‹ሃይሳን ኣሲ ዲዜ?› ጊዲ ኔና ኦይቺኮ፥ ‹ባዋ› ጋ» ጊዴስ።
0704150134	ሲሳሪ ኬሂ ዳቡርዳ ጊሻስ ꬊስኮ ሴሪዴስ፤ ሂስቲን ሄቤሬ ማቺያ ያኤላ ቆይጼኔ ዱንካኔ ꬊሽኬ ኤካዳ ሎዳራ ኢዛኮ ሺቃዱስ፤ ꬊሽኬዛካ ሃይꬃ ጮርጮሮን ኤሳዳ ዱጌ ቢታራ ሲካ ꬊሺኪን ሲሳሪ ሃይቂዴስ።
070416015b	ባራቄይ ሲሳራ ኮዪሼ ዪን ያኤሌ ኢዛ ሞካናስ ካሬ ኬዛዳ፥ «ሃ ያ፤ ኔኒ ኮይዛ ኣዴዛ ታኒ ኔና ቤሳና» ጋዱስ፤ ኢዚራ ዱንካኔ ጊዶ ጌሊዲ ሲሳራ ሃይꬃ ጮርጮሮን ꬊሽኬይ ꬊሼኬቲን ኢዛ ኣሃይ ቢታ ቦላ ፖርጩ ጊ ዲዛይሳ ቤኢዴስ።
070417006a	ሄ ጋላስ ጾሲ ኢስራኤሌ ኣሳይ ካናኔ ካዎ ያቢኔ ጾናና ማላ ኦꬂዴስ።
