0100000018	ഉല്പത്തി
0a15160141	ഇവർ നാലുപേരും ഗത്തിലെ രാഫായുടെ പിൻഗാമികളായിരുന്നു. അവർ നാലും ദാവീദിന്റെയും അനുയായികളുടെയും കൈയിൽപ്പെട്ടു നാശമടഞ്ഞു.
0a1601016b	യഹോവ ദാവീദിനെ, അദ്ദേഹത്തിന്റെ എല്ലാ ശത്രുക്കളുടെയും ശൗലിന്റെയും കൈകളിൽനിന്നു രക്ഷിച്ച അവസരത്തിൽ അദ്ദേഹം യഹോവയ്ക്ക് ഈ ഗാനം ആലപിച്ചു.
0a160200c2	അദ്ദേഹം പാടി: “യഹോവ എന്റെ പാറയും എന്റെ കോട്ടയും എന്റെ വിമോചകനും ആകുന്നു;
0a16030230	എന്റെ ദൈവം എന്റെ ശില, അങ്ങയിൽ ഞാൻ അഭയംതേടുന്നു, എന്റെ പരിചയും എന്റെ രക്ഷയുടെ കൊമ്പും എന്റെ സുരക്ഷിതസ്ഥാനവും അവിടന്നാണ്, എന്റെ അഭയസ്ഥാനവും എന്റെ രക്ഷകനുംതന്നെ— അവിടന്ന് എന്നെ ക്രൂരതയിൽനിന്നു രക്ഷിക്കുന്നു.
0a16040105	“സ്തുത്യർഹനായ യഹോവയെ ഞാൻ വിളിച്ചപേക്ഷിച്ചു, എന്റെ ശത്രുക്കളിൽനിന്നു ഞാൻ രക്ഷനേടിയിരിക്കുന്നു.
0a160500d0	മരണത്തിരമാലകൾ എനിക്കുചുറ്റും ആർത്തിരമ്പി; നാശപ്രവാഹങ്ങൾ എന്നെ കവിഞ്ഞൊഴുകി.
0a160600e6	പാതാളത്തിന്റെ കയറുകൾ എന്നെ വരിഞ്ഞുകെട്ടി; മരണക്കുരുക്കുകൾ എന്റെമേൽ വീണിരിക്കുന്നു.
0a160701d0	“എന്റെ കഷ്ടതയിൽ ഞാൻ യഹോവയെ വിളിച്ചപേക്ഷിച്ചു; എന്റെ ദൈവത്തോടു ഞാൻ നിലവിളിച്ചു. തന്റെ മന്ദിരത്തിൽനിന്ന് അവിടന്ന് എന്റെ ശബ്ദം കേട്ടു. എന്റെ നിലവിളി അവിടത്തെ കാതുകളിൽ എത്തി.
0a16080108	ഭൂമി പ്രകമ്പനത്താൽ കുലുങ്ങി, ആകാശത്തിന്റെ അടിസ്ഥാനങ്ങൾ വിറകൊണ്ടു; അവിടത്തെ കോപത്താൽ അവ ഇളകിയാടി.
0a16090162	അവിടത്തെ നാസാരന്ധ്രങ്ങളിൽനിന്നു ധൂമപടലമുയർന്നു; സംഹാരാഗ്നി അവിടത്തെ വായിൽനിന്നും പുറപ്പെട്ടു, തീക്കനലുകൾ അവിടെ കത്തിജ്വലിച്ചു.
0a160a00e7	അവിടന്ന് ആകാശം ചായ്ച്ച് ഇറങ്ങിവന്നു; കാർമുകിലുകൾ അവിടത്തെ തൃപ്പാദങ്ങൾ താങ്ങിനിന്നു.
0a160b00c4	അവിടന്നു കെരൂബിൻമുകളിലേറി പറന്നു; കാറ്റിൻചിറകേറി അങ്ങ് കുതിച്ചുയർന്നു.
0a160c0109	അവിടന്ന് അന്ധകാരത്തെ തനിക്കുചുറ്റും വിതാനമാക്കി നിർത്തി— ആകാശത്തിലെ കൊടുംകാർമുകിലുകളെത്തന്നെ.
0a160d00c5	അവിടത്തെ സാന്നിധ്യത്തിൻ പ്രഭയിൽനിന്ന് മിന്നൽപ്പിണരുകൾ കത്തിജ്വലിച്ചു.
0a160e00c8	യഹോവ സ്വർഗത്തിൽനിന്നു മേഘനാദം മുഴക്കി; പരമോന്നതൻ തന്റെ ശബ്ദംകേൾപ്പിച്ചു.
0a160f00f9	അവിടന്നു തന്റെ അസ്ത്രമയച്ച് ശത്രുക്കളെ ചിതറിച്ചു, മിന്നൽപ്പിണരുകളാൽ അവരെ തുരത്തിയോടിച്ചു.
0a161001be	സമുദ്രത്തിന്റെ അടിത്തട്ടുകൾ ദൃശ്യമാക്കപ്പെട്ടു ഭൂമിയുടെ അസ്തിവാരം അനാവൃതമാക്കപ്പെട്ടു യഹോവേ, അവിടത്തെ ശാസനയാൽ, അങ്ങയുടെ നാസികയിൽനിന്നുള്ള നിശ്വാസത്താൽത്തന്നെ.
0a161100ff	“അവിടന്ന് ഉയരത്തിൽനിന്ന് കൈനീട്ടി എന്നെ പിടിച്ചു; പെരുവെള്ളത്തിൽനിന്ന് എന്നെ വലിച്ചെടുത്തു.
0a16120117	ശക്തരായ എന്റെ ശത്രുവിൽനിന്ന്, എന്റെ വൈരിയിൽനിന്ന് എന്നെ മോചിപ്പിച്ചു, അവർ എന്നെക്കാൾ പ്രബലരായിരുന്നു.
0a161300d0	എന്റെ അനർഥനാളുകളിൽ അവർ എന്നോട് ഏറ്റുമുട്ടി, എന്നാൽ യഹോവ എന്നെ താങ്ങിനിർത്തി.
0a16140106	അവിടന്ന് എന്നെ വിശാലതയിലേക്കു കൊണ്ടുവന്നു; എന്നിൽ പ്രസാദിച്ചതിനാൽ അവിടന്ന് എന്നെ മോചിപ്പിച്ചു.
0a1615013c	“എന്റെ നീതിക്ക് അനുസൃതമായി യഹോവ എനിക്കു പ്രതിഫലംതന്നു; എന്റെ കൈകളുടെ നിർമലതയ്ക്കനുസരിച്ച് അവിടന്ന് എന്നെ ആദരിച്ചു.
0a16160111	കാരണം ഞാൻ യഹോവയുടെ പാതകളിൽത്തന്നെ സഞ്ചരിച്ചു; എന്റെ ദൈവത്തെ വിട്ടകലുമാറ് ഞാൻ ദോഷം പ്രവർത്തിച്ചില്ല.
0a16170111	അവിടത്തെ ന്യായവിധികളെല്ലാം എന്റെ മുൻപിലുണ്ട്; അവിടത്തെ ഉത്തരവുകളിൽനിന്നു ഞാൻ വ്യതിചലിച്ചിട്ടില്ല.
0a161800e9	തിരുമുമ്പിൽ ഞാൻ നിഷ്കളങ്കതയോടെ ജീവിച്ചു ഞാൻ പാപത്തിൽനിന്നു സ്വയം അകന്നുനിൽക്കുന്നു.
0a16190155	എന്റെ നീതിക്കനുസൃതമായി യഹോവ എനിക്കു പാരിതോഷികം നൽകിയിരിക്കുന്നു, അവിടത്തെ ദൃഷ്ടിയിൽ എന്നിലുള്ള വിശുദ്ധിക്കനുസരിച്ചുതന്നെ.
0a161a0108	“വിശ്വസ്തരോട് അവിടന്ന് വിശ്വസ്തത കാട്ടുന്നു, നിഷ്കളങ്കരോട് അവിടന്ന് നിഷ്കളങ്കതയോടെ ഇടപെടുന്നു.
0a161b00f8	നിർമലരോട് അവിടന്ന് നിർമലതയോടും എന്നാൽ വക്രതയുള്ളവരോട് അവിടന്ന് കൗശലത്തോടും പെരുമാറുന്നു.
0a161c0144	വിനയാന്വിതരെ അവിടന്ന് രക്ഷിക്കുന്നു എന്നാൽ നിഗളിച്ചുനടക്കുന്നവരെ താഴ്ത്തേണ്ടതിന് അങ്ങ് അവരുടെമേൽ ദൃഷ്ടിവെക്കുന്നു.
0a161d00d6	യഹോവേ, അവിടന്നാണ് എന്റെ വിളക്ക്; യഹോവ എന്റെ അന്ധകാരത്തെ പ്രകാശപൂരിതമാക്കുന്നു.
0a161e013e	അങ്ങയുടെ സഹായത്താൽ എനിക്കൊരു സൈന്യത്തിനെതിരേ പാഞ്ഞുചെല്ലാൻ കഴിയും; എന്റെ ദൈവത്താൽ എനിക്കു കോട്ടമതിൽ ചാടിക്കടക്കാം.
0a161f013f	“ദൈവത്തിന്റെ മാർഗം പൂർണതയുള്ളത്: യഹോവയുടെ വചനം കുറ്റമറ്റത്; തന്നിൽ അഭയം തേടുന്നവരെയെല്ലാം അവിടന്ന് സംരക്ഷിക്കുന്നു.
0a16200099	യഹോവയല്ലാതെ ദൈവം ആരുള്ളൂ? നമ്മുടെ ദൈവമല്ലാതെ ആ ശില ആരാണ്?
0a162100f9	ശക്തിയാൽ യഹോവ എന്നെ യുദ്ധസജ്ജനാക്കുന്നു എന്റെ വഴി സുരക്ഷിതമാക്കുകയും ചെയ്യുന്നതു ദൈവമാണ്.
0a16220147	അവിടന്ന് എന്റെ കാലുകളെ മാൻപേടയുടെ കാലുകൾക്കു സമമാക്കുന്നു; ഉന്നതികളിൽ പാദമൂന്നിനിൽക്കാൻ അവിടന്ന് എന്നെ സഹായിക്കുന്നു.
0a16230136	എന്റെ കരങ്ങളെ അവിടന്ന് യുദ്ധമുറകൾ പരിശീലിപ്പിക്കുന്നു; എന്റെ കൈകൾക്കു വെങ്കലവില്ലുകുലയ്ക്കാൻ കഴിവുലഭിക്കുന്നു.
0a162400e2	അവിടത്തെ രക്ഷ എനിക്കു പരിചയായി നൽകി; അവിടത്തെ സഹായം എന്നെ വലിയവനാക്കിയിരിക്കുന്നു.
0a16250112	അവിടന്ന് എന്റെ കാലടികൾക്കായി രാജവീഥി ഒരുക്കിയിരിക്കുന്നു, അതിനാൽ എന്റെ കണങ്കാലുകൾ വഴുതുന്നതുമില്ല.
0a16260127	“ഞാൻ എന്റെ ശത്രുക്കളെ പിൻതുടർന്നു, ഞാൻ അവരെ തകർത്തുകളഞ്ഞു; അവരെ ഉന്മൂലനംചെയ്യുന്നതുവരെ ഞാൻ പിന്തിരിഞ്ഞില്ല.
0a16270109	ഉയിർത്തെഴുന്നേറ്റുവരാൻ കഴിയാതവണ്ണം ഞാൻ അവരെ നിശ്ശേഷം തകർത്തുകളഞ്ഞു; അവരെന്റെ കാൽക്കൽ വീണടിഞ്ഞു.
0a1628013c	ശക്തിയാൽ അവിടന്ന് എന്നെ യുദ്ധസജ്ജനാക്കുന്നു അവിടന്ന് എന്റെ ശത്രുക്കളെ എന്റെ പാദത്തിൽ നമിക്കുന്നവരാക്കിത്തീർത്തു.
0a16290109	യുദ്ധത്തിൽ എന്റെ ശത്രുക്കളെ അങ്ങ് പുറംതിരിഞ്ഞോടുമാറാക്കി, എന്റെ എതിരാളികളെ ഞാൻ സംഹരിച്ചുകളഞ്ഞു.
0a162a0171	സഹായത്തിനായവർ കേണപേക്ഷിച്ചു, എന്നാൽ അവരെ രക്ഷിക്കാൻ ആരും ഉണ്ടായിരുന്നില്ല— യഹോവയോട് അപേക്ഷിച്ചു, എന്നാൽ അവിടന്ന് ഉത്തരം നൽകിയതുമില്ല.
0a162b0103	ഞാൻ അവരെ പൊടിച്ച് ഭൂമിയിലെ പൊടിപടലംപോലെയാക്കി; തെരുക്കോണിലെ ചെളിപോലെ ഞാനവരെ ചവിട്ടിക്കുഴച്ചു.
0a162c01ad	“എന്റെ ജനത്തിന്റെ ആക്രമണങ്ങളിൽനിന്ന് അവിടന്ന് എന്നെ വിടുവിച്ചു; അവിടന്ന് എന്നെ രാഷ്ട്രങ്ങൾക്ക് അധിപതിയായി വേർതിരിച്ചു; ഞാൻ അറിയാത്ത ജനം എന്നെ സേവിക്കുന്നു,
0a162d00f1	വിദേശികൾ എന്റെമുമ്പിൽ നടുങ്ങുന്നു; അവരെന്നെ കേൾക്കുന്നമാത്രയിൽത്തന്നെ അനുസരിക്കുന്നു.
0a162e0129	അവരുടെ ആത്മധൈര്യം ചോർന്നുപോയിരിക്കുന്നു; അവർ തങ്ങളുടെ ഒളിത്താവളങ്ങളിൽനിന്ന് വിറച്ചുകൊണ്ടു പുറത്തുവരുന്നു.
0a162f0100	“യഹോവ ജീവിക്കുന്നു! എന്റെ പാറ വാഴ്ത്തപ്പെടട്ടെ! എന്റെ രക്ഷകനും പാറയുമായ എന്റെ ദൈവം അത്യുന്നതൻ.
0a16300136	അവിടന്ന് എനിക്കുവേണ്ടി പ്രതികാരംചെയ്യുന്ന ദൈവം, അവിടന്ന് രാഷ്ട്രങ്ങളെ എനിക്കു വിധേയപ്പെടുത്തി തന്നിരിക്കുന്നു,
0a16310184	അവിടന്നെന്നെ എന്റെ ശത്രുക്കളിൽനിന്ന് വിടുവിക്കുന്നു. എന്റെ വൈരികൾക്കുമേൽ അവിടന്നെന്നെ ഉയർത്തി; അക്രമികളിൽനിന്ന് അവിടന്നെന്നെ മോചിപ്പിച്ചു.
0a163200fd	അതുകൊണ്ട്, യഹോവേ, ഞാൻ അങ്ങയെ രാഷ്ട്രങ്ങളുടെ മധ്യേ പുകഴ്ത്തും; അവിടത്തെ നാമത്തിനു സ്തുതിപാടും.
0a163301ba	“അവിടന്ന് തന്റെ രാജാവിനു മഹാവിജയം നൽകുന്നു; അവിടത്തെ അഭിഷിക്തനോട് അചഞ്ചലമായ ദയ പ്രകടിപ്പിക്കുന്നു, ദാവീദിനോടും അദ്ദേഹത്തിന്റെ പിൻഗാമികൾക്കും എന്നേക്കുംതന്നെ.”
0a1701021a	ദാവീദിന്റെ അന്ത്യവചസ്സുകൾ ഇവയാകുന്നു: “യിശ്ശായിപുത്രനായ ദാവീദിന്റെ, പരമോന്നതനായ ദൈവത്താൽ ഉയർത്തപ്പെട്ട പുരുഷന്റെ, യാക്കോബിൻദൈവത്താൽ അഭിഷിക്തനായ മനുഷ്യന്റെ, ഇസ്രായേലിന്റെ മധുരഗായകന്റെ വചസ്സുകൾ:
0a170200e8	“യഹോവയുടെ ആത്മാവ് എന്നിലൂടെ സംസാരിച്ചു; അവിടത്തെ വചനം എന്റെ നാവിന്മേൽ ഉണ്ടായിരുന്നു.
0a170301a7	ഇസ്രായേലിന്റെ ദൈവം അരുളിച്ചെയ്തു, ഇസ്രായേലിന്റെ പാറയായുള്ളവൻ എന്നോടു കൽപ്പിച്ചു: ‘ഒരുവൻ നീതിയോടെ മനുഷ്യരെ ഭരിക്കുമ്പോൾ, അയാൾ ദൈവഭയത്തിൽ ഭരണം നടത്തുമ്പോൾ,
0a170401cc	കാർമേഘരഹിതമായ പ്രഭാതത്തിലെ സൂര്യോദയത്തിൽ തിളങ്ങുന്ന അരുണാഭപോലെയാണ് അയാൾ; മഴയ്ക്കുശേഷം ഭൂമിയിൽനിന്നു മുളയ്ക്കുന്ന പുൽനാമ്പുകളിൽ സൂര്യൻ പ്രതിജ്വലിക്കുന്നതുപോലെയും.’
0a1705029f	“എന്റെ ഭവനവും ദൈവസന്നിധിയിൽ അതുപോലെതന്നെയല്ലേ? അവിടന്ന് എന്നോട് ഒരു ശാശ്വതമായ ഉടമ്പടി ചെയ്തിട്ടില്ലയോ? വിശദാംശങ്ങളിലെല്ലാം ക്രമീകൃതമായ സുഭദ്രമായ ഒരു ഉടമ്പടിതന്നെ. അവിടന്ന് എന്റെ രക്ഷ സഫലമാക്കുകയും എന്റെ അഭിലാഷം സാധിതമാക്കുകയും ചെയ്യുകയില്ലേ?
0a1706012d	എന്നാൽ ദുഷ്ടമനുഷ്യരോ, മുൾച്ചെടിപോലെ പറിച്ചെറിഞ്ഞു കളയപ്പെടേണ്ടവരാകുന്നു, അവ കൈകൊണ്ടു ശേഖരിക്കപ്പെടുന്നില്ല,
0a17070135	അവയെ തൊടേണ്ടവർ ഇരുമ്പുദണ്ഡോ കുന്തത്തടിയോ ഉപയോഗിക്കുന്നു. അവ കിടക്കുന്നിടത്തുവെച്ചുതന്നെ ചുട്ടുകളയപ്പെടുന്നു.”
0a1708029b	ദാവീദിന്റെ പരാക്രമശാലികളായ യോദ്ധാക്കളുടെ പേരുകൾ ഇവയാണ്: തഹ്കെമോന്യനായ യോശേബ്-ബോശ്ശേബെത്ത്, ഇദ്ദേഹം പരാക്രമശാലികളായിരുന്ന മൂന്നുപേരിൽ പ്രധാനിയായിരുന്നു, അദ്ദേഹം ഒരൊറ്റ സംഘട്ടനത്തിൽത്തന്നെ എണ്ണൂറുപേരെ തന്റെ കുന്തംകൊണ്ട് വധിച്ചയാളായിരുന്നു.
0a17090315	അഹോഹ്യനായ ദോദോവിന്റെ മകൻ എലെയാസാർ ആയിരുന്നു അടുത്ത പ്രധാനി. അദ്ദേഹം പരാക്രമശാലികളായ മൂന്നു യോദ്ധാക്കളിൽ ഒരുവനായിരുന്നു. യുദ്ധത്തിനായി പാസ്-ദമ്മീമിൽ അണിനിരന്ന ഫെലിസ്ത്യരെ ഇസ്രായേൽ വെല്ലുവിളിച്ചപ്പോൾ അദ്ദേഹവും ദാവീദിനോടൊപ്പമുണ്ടായിരുന്നു. അന്ന് ഇസ്രായേൽസൈന്യം പിന്തിരിഞ്ഞോടിയിരുന്നു.
0a170a0310	എന്നാൽ എലെയാസാർ, യുദ്ധക്കളത്തിൽനിന്നു പിന്മാറാതെ ഉറച്ചുനിന്ന്, കൈ തളർന്നു മരവിച്ച് വാൾപ്പിടിയിൽനിന്നും ഇളകാതെയാകുന്നതുവരെ, ഫെലിസ്ത്യരെ വെട്ടിവീഴ്ത്തി. അന്ന് യഹോവ അവർക്കൊരു മഹാവിജയം നൽകി. മരിച്ചുവീണവരെ കൊള്ളയടിക്കാൻമാത്രമായിരുന്നു പടയാളികൾ എലെയാസാരിന്റെ അടുത്തേക്കു തിരിച്ചുവന്നത്.
0a170b01a7	അടുത്ത ആൾ ഹരാര്യനായ ആഗേയുടെ മകൻ ശമ്മാ ആയിരുന്നു. ഒരിക്കൽ നിറയെ പയറുള്ള ഒരു വയലിൽ ഫെലിസ്ത്യർ സംഘംചേർന്നപ്പോൾ ഇസ്രായേൽസൈന്യം അവരുടെമുമ്പിൽനിന്ന് ഓടിപ്പോയി.
0a170c01aa	എന്നാൽ ശമ്മാ വയലിന്റെ മധ്യത്തിൽത്തന്നെ നിലയുറപ്പിച്ചു. അദ്ദേഹം അതു സംരക്ഷിക്കുകയും ഫെലിസ്ത്യരെ വീഴ്ത്തുകയും ചെയ്തു. അന്ന് യഹോവ അവർക്കൊരു മഹാവിജയം വരുത്തി.
0a170d01cf	കൊയ്ത്തുകാലത്ത് ഒരിക്കൽ മുപ്പതു പ്രമുഖയോദ്ധാക്കളിൽ മൂന്നുപേർ അദുല്ലാം ഗുഹയിൽ ദാവീദിന്റെ അടുത്തെത്തി. അന്ന് ഫെലിസ്ത്യരുടെ ഒരുസംഘം രെഫായീം താഴ്വരയിൽ താവളമടിച്ചിരുന്നു.
0a170e0117	ആ സമയത്തു ദാവീദ് സുരക്ഷിതസങ്കേതത്തിലായിരുന്നു. ഫെലിസ്ത്യരുടെ കാവൽസേനാവിഭാഗം ബേത്ലഹേമിലും ആയിരുന്നു.
0a170f01c3	ദാവീദ് ദാഹാർത്തനായി, “ഹാ, ബേത്ലഹേം! നഗരവാതിൽക്കലെ കിണറ്റിൽനിന്ന് ആരെങ്കിലും എനിക്ക് കുടിക്കാൻ വെള്ളം കൊണ്ടുവന്നിരുന്നെങ്കിൽ! ആ വെള്ളത്തിനായി എനിക്ക് കൊതിയാകുന്നു.”
0a171002f5	അതുകേട്ട പരാക്രമശാലികളായ ആ മൂവരും ഫെലിസ്ത്യരുടെ അണികളെ മുറിച്ചുകടന്ന് ബേത്ലഹേം നഗരവാതിലിനടുത്തുള്ള കിണറ്റിൽനിന്ന് വെള്ളം കോരി ദാവീദിന്റെ അടുത്തേക്കു കൊണ്ടുവന്നു. എന്നാൽ അദ്ദേഹം അതു കുടിക്കാൻ വിസമ്മതിച്ചു; പകരം അദ്ദേഹം ആ ജലം യഹോവയുടെമുമ്പിൽ നിവേദ്യമായി നിലത്തൊഴിച്ചുകൊണ്ടു
0a17110252	പറഞ്ഞു: “അയ്യോ യഹോവേ! ഇതു ചെയ്യാൻ എനിക്ക് ഇടവരുത്താതിരിക്കട്ടെ! തങ്ങളുടെ ജീവനെ പണയപ്പെടുത്തിപ്പോയ പുരുഷന്മാരുടെ രക്തമല്ലേ, ഇത്?” ദാവീദ് ആ ജലം കുടിച്ചില്ല. ആ മൂന്നു പരാക്രമശാലികളുടെ ഉജ്ജ്വല വീരകൃത്യങ്ങൾ ഈ വിധമായിരുന്നു.
0a17120226	സെരൂയയുടെ മകനും യോവാബിന്റെ സഹോദരനും ആയ അബീശായി ഈ മൂവരിൽ പ്രമുഖനായിരുന്നു. അദ്ദേഹം മുന്നൂറു പേർക്കെതിരേ തന്റെ കുന്തമുയർത്തി പൊരുതി; അവരെ വധിച്ചു. അങ്ങനെ അദ്ദേഹം മറ്റേ മൂവരോളംതന്നെ വിഖ്യാതനായിത്തീർന്നു.
0a171301ef	അദ്ദേഹം ആ മൂവരെക്കാളും അധികം ബഹുമാനിതൻ ആയിരുന്നു. അദ്ദേഹം അവർക്ക് അധിപനായിത്തീർന്നു. എന്നിരുന്നാലും അദ്ദേഹം ആദ്യത്തെ പരാക്രമശാലികളായ മൂന്നുപേരുടെ കൂട്ടത്തിൽ ഉൾപ്പെട്ടിരുന്നില്ല.
0a17140302	യെഹോയാദായുടെ മകനായ ബെനായാവ് കബ്സെയേൽക്കാരനും ശൂരപരാക്രമിയും ആയ ഒരു യോദ്ധാവായിരുന്നു. അദ്ദേഹം ഉജ്ജ്വല വീരകൃത്യങ്ങൾ ചെയ്തിട്ടുണ്ട്: അദ്ദേഹം മോവാബ്യരിലെ ഏറ്റവും ശക്തരായ രണ്ടു യോദ്ധാക്കളെ അടിച്ചുവീഴ്ത്തി. മഞ്ഞുകാലത്ത് ഒരു ദിവസം അദ്ദേഹം ഒരു ഗുഹയിൽ ഇറങ്ങിച്ചെന്ന് ഒരു സിംഹത്തെ കൊന്നു.
0a171502ac	ഭീമാകാരനായ ഒരു ഈജിപ്റ്റുകാരനെയും അദ്ദേഹം അടിച്ചുവീഴ്ത്തി. ആ ഈജിപ്റ്റുകാരന്റെ കൈവശം ഒരു കുന്തമുണ്ടായിരുന്നു. എങ്കിലും ഒരു ദണ്ഡുമായി ബെനായാവ് അയാളെ എതിരിട്ടു. അദ്ദേഹം ഈജിപ്റ്റുകാരന്റെ കൈയിൽനിന്നു കുന്തം പിടിച്ചുപറിച്ച് അതുകൊണ്ടുതന്നെ അയാളെ വധിച്ചു.
0a17160193	യെഹോയാദായുടെ മകനായ ബെനായാവിന്റെ വീരകൃത്യങ്ങൾ ഈ വിധമൊക്കെയായിരുന്നു. അദ്ദേഹവും പരാക്രമശാലികളായ ആ മൂന്ന് യോദ്ധാക്കളെപ്പോലെ കീർത്തിശാലിയായിരുന്നു.
0a171701d4	മുപ്പതുപേരിൽ മറ്റാരെക്കാളും കൂടുതൽ ആദരണീയനായി അദ്ദേഹം അവരോധിക്കപ്പെട്ടു. എന്നാൽ അദ്ദേഹം ആ മൂവരിൽ ഉൾപ്പെട്ടിരുന്നില്ല. ദാവീദ് അദ്ദേഹത്തെ തന്റെ അംഗരക്ഷകസേനയുടെ തലവനാക്കി.
0a17180169	മുപ്പതു പരാക്രമശാലികളിൽ താഴെപ്പറയുന്നവർ ഉൾപ്പെട്ടിരുന്നു: യോവാബിന്റെ സഹോദരനായ അസാഹേൽ, ബേത്ലഹേമിൽനിന്നുള്ള ദോദോവിന്റെ മകൻ എൽഹാനാൻ,
0a1719005f	ഹരോദ്യനായ ശമ്മാ, ഹരോദ്യനായ എലീക്കാ,
0a171a0091	ഫൽത്യനായ ഹേലെസ്, തെക്കോവക്കാരനായ ഇക്കേശിന്റെ മകൻ ഈരാ,
0a171b0086	അനാഥോത്തുകാരനായ അബിയേസെർ, ഹൂശാത്യനായ സിബ്ബെഖായി,
0a171c0065	അഹോഹ്യനായ സൽമോൻ, നെതോഫാത്യനായ മഹരായി,
0a171d00e8	നെതോഫാത്യനായ ബാനയുടെ മകൻ ഹേലെദ്, ബെന്യാമീനിലെ ഗിബെയാക്കാരനായ രീബായിയുടെ മകൻ ഇത്ഥായി,
0a171e00a5	പിരാഥോന്യനായ ബെനായാവ്, ഗായശ് മലയിടുക്കിൽനിന്നുള്ള ഹിദ്ദായി,
0a171f007b	അർബാത്യനായ അബീ-അൽബോൻ, ബർഹൂമ്യനായ അസ്മാവെത്ത്,
0a17200096	ശാൽബോന്യനായ എല്യഹ്ബാ, യാശേന്റെ പുത്രന്മാരും, ഹരാര്യനായ
0a17210091	ശമ്മായുടെ മകൻ യോനാഥാൻ, ഹരാര്യനായ ശരാരിന്റെ മകൻ അഹീയാം
0a172200d5	മാഖാത്യനായ അഹശ്ബായിയുടെ മകൻ എലീഫേലെത്ത്, ഗീലോന്യനായ അഹീഥോഫെലിന്റെ മകൻ എലീയാം,
0a1723005f	കർമേല്യനായ ഹെസ്രോ, അർബ്യനായ പാറായി,
0a1724007c	സോബക്കാരനായ നാഥാന്റെ മകൻ യിഗാൽ, ഗാദ്യനായ ബാനി,
0a172500db	അമ്മോന്യനായ സേലെക്ക്, സെരൂയയുടെ മകനായ യോവാബിന്റെ ആയുധവാഹകനായ ബെരോത്യനായ നഹരായി,
0a1726005c	യിത്രിയനായ ഈരാ, യിത്രിയനായ ഗാരേബ്,
0a172700cc	ഹിത്യനായ ഊരിയാവ് എന്നിവരും. ഇങ്ങനെ ഇവർ ആകെ മുപ്പത്തിയേഴു പേരുണ്ടായിരുന്നു.
0a180101b9	യഹോവയുടെ കോപം വീണ്ടും ഇസ്രായേലിനെതിരേ ജ്വലിച്ചു, “നീ പോയി ഇസ്രായേലിന്റെയും യെഹൂദയുടെയും ജനസംഖ്യയെടുക്കുക” എന്നിങ്ങനെ ഇസ്രായേലിന്നെതിരായി ദാവീദിനു തോന്നിച്ചു.
0a1802028c	അങ്ങനെ രാജാവ് യോവാബിനോടും അദ്ദേഹത്തോടുകൂടെയുള്ള സൈന്യാധിപന്മാരോടും കൽപ്പിച്ചു: “ദാൻമുതൽ ബേർ-ശേബാവരെയുള്ള സകല ഇസ്രായേൽ ഗോത്രങ്ങളിലൂടെയും നിങ്ങൾ കടന്നുചെല്ലുക; യോദ്ധാക്കൾ എത്രമാത്രമുണ്ടെന്ന് എനിക്ക് അറിയേണ്ടതിന് അവരുടെ കണക്കെടുക്കുക.”
0a180302af	എന്നാൽ യോവാബ് രാജാവിനോടു മറുപടി പറഞ്ഞു: “അങ്ങയുടെ ദൈവമായ യഹോവ സൈന്യത്തെ ഇനിയും നൂറുമടങ്ങായി വർധിപ്പിക്കട്ടെ! എന്റെ യജമാനനായ രാജാവിന്റെ കണ്ണുകൾ അതു കാണുകയും ചെയ്യട്ടെ! എന്നാൽ ഈ വിധം ഒരു കാര്യം എന്റെ യജമാനനായ രാജാവു ചെയ്യാൻ താത്പര്യപ്പെടുന്നത് എന്തിന്?”
0a180401df	എങ്കിലും രാജകൽപ്പനയ്ക്കുമുമ്പിൽ യോവാബും സൈന്യാധിപന്മാരും നിസ്സഹായരായിരുന്നു. അതിനാൽ ഇസ്രായേലിലെ യോദ്ധാക്കളുടെ സംഖ്യ എടുക്കുന്നതിനായി അവർ രാജസന്നിധിയിൽനിന്ന് പുറപ്പെട്ടു.
0a1805015e	അവർ യോർദാൻ കടന്ന് മലയിടുക്കിനു തെക്കുള്ള പട്ടണമായ അരോയേരിനു സമീപത്ത് താവളമടിച്ചു. പിന്നെ ഗാദിലൂടെയും യാസേരിലൂടെയും കടന്നുപോയി.
0a1806016e	അവർ ഗിലെയാദിലേക്കും തഹ്തീം-ഹോദ്ശീ പ്രദേശങ്ങളിലേക്കും ദാൻ-യാനിലേക്കും സീദോനിലേക്കുള്ള വഴിയിൽ ചുറ്റുമുള്ള പ്രദേശങ്ങളിലേക്കും ചെന്നു.
0a18070175	പിന്നെ അവർ സോർ കോട്ടയിലും ഹിവ്യരുടെയും കനാന്യരുടെയും സകലനഗരങ്ങളിലും പോയി. അവസാനം അവർ യെഹൂദ്യയുടെ തെക്കുഭാഗത്തുള്ള ബേർ-ശേബായിലും ചെന്നു.
0a1808010c	ദേശത്ത് എല്ലായിടത്തും സഞ്ചരിച്ച് ഒൻപതുമാസവും ഇരുപതു ദിവസവും കഴിഞ്ഞ് അവർ ജെറുശലേമിൽ തിരിച്ചെത്തി.
