0100000007	Genèse
09021d00f2	Pourquoi donnez-vous des coups de pied à mon sacrifice et à mon offrande, que j'ai ordonnés dans ma demeure, et honorez-vous vos fils au-dessus de moi, pour vous engraisser avec les meilleures de toutes les offrandes d'Israël, mon peuple?
09021e010c	C'est pourquoi Yahvé, le Dieu d'Israël, dit: «J'ai dit que ta maison et la maison de ton père marcheraient devant moi pour toujours. Mais maintenant, Yahvé dit: 'Loin de moi cette idée, car j'honorerai ceux qui m'honorent, et je maudirai ceux qui me méprisent'.
09021f0090	Voici que les jours viennent où je couperai ton bras et le bras de la maison de ton père, et où il n'y aura plus de vieillard dans ta maison.
0902200092	Tu verras l'affliction de ma demeure, dans toutes les richesses que je donnerai à Israël. Il n'y aura pas à jamais de vieillard dans ta maison.
09022100a9	L'homme de ta maison que je ne retrancherai pas de mon autel consumera tes yeux et affligera ton cœur. Tout l'accroissement de ta maison mourra dans la fleur de l'âge.
090222007a	Tel sera pour toi le signe qui viendra sur tes deux fils, Hophni et Phinées: en un seul jour, ils mourront tous les deux.
09022300ae	Je me susciterai un prêtre fidèle qui agira selon ce qui est dans mon cœur et dans mon esprit. Je lui bâtirai une maison sûre. Il marchera devant mon oint pour toujours.
09022400ea	Tous ceux qui resteront dans ta maison viendront se prosterner devant lui pour une pièce d'argent et une miche de pain, et diront: «Mets-moi dans l'une des fonctions sacerdotales, je te prie, pour que je mange un morceau de pain.»"
0903010093	L'enfant Samuel fait le service de Yahvé devant Eli. La parole de Yahvé était rare en ce temps-là. Il n'y avait pas beaucoup de visions, alors.
0903020082	En ce temps-là, comme Éli était couché à sa place (ses yeux avaient commencé à s'affaiblir, de sorte qu'il ne voyait plus),
0903030096	et que la lampe de Dieu ne s'était pas encore éteinte, et que Samuel s'était couché dans le temple de Yahvé, là où se trouvait l'arche de Dieu,
090304002b	Yahvé appela Samuel. Il dit: «Me voici.»
090305008c	Il courut vers Eli et dit: «Me voici, car tu m'as appelé.» Il a dit: «Je n'ai pas appelé. Allonge-toi à nouveau.» Il alla se coucher.
09030600ae	Yahvé appela de nouveau: «Samuel!» Samuel se leva, alla vers Eli et dit: «Me voici, car tu m'as appelé.» Il a répondu: «Je n'ai pas appelé, mon fils. Recouche-toi.»
090307006c	Or Samuel ne connaissait pas encore Yahvé, et la parole de Yahvé ne lui avait pas encore été révélée.
09030800a1	Yahvé appela Samuel pour la troisième fois. Il se leva, alla vers Eli et dit: «Me voici, car tu m'as appelé.» Eli comprit que Yahvé avait appelé l'enfant.
090309009a	Alors Éli dit à Samuel: «Va te coucher. S'il t'appelle, tu diras: «Parle, Yahvé, car ton serviteur entend.» Samuel alla donc se coucher à sa place.
09030a0087	Yahvé vint, se tint debout et appela comme les autres fois: «Samuel! Samuel!» Alors Samuel dit: «Parle, car ton serviteur entend.»
09030b0088	Yahvé dit à Samuel: «Voici, je vais faire en Israël une chose à laquelle les deux oreilles de tous ceux qui l'entendront vibreront.
09030c0076	En ce jour-là, j'accomplirai contre Eli tout ce que j'ai dit au sujet de sa maison, depuis le début jusqu'à la fin.
09030d00b8	Car je lui ai dit que je jugerai sa maison pour toujours, à cause de l'iniquité qu'il a connue, parce que ses fils ont attiré la malédiction sur eux, et qu'il ne les a pas retenus.
09030e0092	C'est pourquoi j'ai juré à la maison d'Eli que l'iniquité de la maison d'Eli ne sera pas effacée à jamais par un sacrifice ou une offrande.»
09030f0085	Samuel resta couché jusqu'au matin, puis il ouvrit les portes de la maison de Yahvé. Samuel avait peur de montrer la vision à Eli.
0903100050	Alors Eli appela Samuel et dit: «Samuel, mon fils!» Il a dit: «Je suis là.»
09031100b6	Il dit: «Quelle est la chose qu'il t'a dite? Ne me la cachez pas, je vous prie. Que Dieu te fasse ainsi, et plus encore, si tu me caches quoi que ce soit de tout ce qu'il t'a dit.»
090312006d	Samuel lui raconta tout, et ne lui cacha rien. Il a dit: «C'est Yahvé. Qu'il fasse ce qui lui semble bon.»
0903130068	Samuel grandissait, et l'Éternel était avec lui; il ne laissait tomber à terre aucune de ses paroles.
090314006d	Tout Israël, depuis Dan jusqu'à Beersheba, savait que Samuel avait été établi comme prophète de Yahvé.
090315006b	Yahvé apparut de nouveau à Silo, car Yahvé s'était révélé à Samuel à Silo par la parole de Yahvé.
09040100ac	La parole de Samuel fut adressée à tout Israël. Israël sortit contre les Philistins pour combattre, et il campa près d'Ébénézer; les Philistins campèrent à Aphek.
09040200ba	Les Philistins se rangèrent en bataille contre Israël. Lorsqu'ils se battirent, Israël fut vaincu par les Philistins, qui tuèrent en campagne environ quatre mille hommes de l'armée.
0904030134	Lorsque le peuple fut rentré dans le camp, les anciens d'Israël dirent: «Pourquoi Yahvé nous a-t-il vaincus aujourd'hui devant les Philistins? Allons chercher l'arche de l'alliance de Yahvé à Silo et apportons-la à nous, afin qu'elle vienne au milieu de nous et nous sauve de la main de nos ennemis.»
09040400e5	Et le peuple envoya à Silo, et l'on apporta de là l'arche de l'alliance de Yahvé des armées, qui est assis au-dessus des chérubins; et les deux fils d'Eli, Hophni et Phinées, étaient là avec l'arche de l'alliance de Dieu.
0904050082	Lorsque l'arche de l'alliance de Yahvé entra dans le camp, tout Israël poussa de grands cris, au point que la terre en résonna.
09040600ca	Lorsque les Philistins entendirent le bruit de ce cri, ils dirent: «Que signifie le bruit de ce grand cri dans le camp des Hébreux?». Ils comprirent que l'arche de Yahvé était entrée dans le camp.
09040700a4	Les Philistins eurent peur, car ils disaient: «Dieu est entré dans le camp.» Ils dirent: «Malheur à nous! Car il n'y a jamais eu de chose semblable auparavant.
09040800a4	Malheur à nous! Qui nous délivrera de la main de ces dieux puissants? Ce sont ces dieux qui ont frappé les Égyptiens de toutes sortes de plaies dans le désert.
09040900bd	Fortifiez-vous et comportez-vous comme des hommes, Philistins, pour ne pas être les esclaves des Hébreux, comme ils l'ont été pour vous. Fortifiez-vous comme des hommes, et combattez!»
09040a00a5	Les Philistins combattirent, Israël fut vaincu, et chacun s'enfuit dans sa tente. Il y eut un très grand carnage, car trente mille fantassins d'Israël tombèrent.
09040b0054	L'arche de Dieu fut prise, et les deux fils d'Eli, Hophni et Phinées, furent tués.
09040c0081	Un homme de Benjamin sortit de l'armée et arriva à Silo le même jour, les vêtements déchirés et la tête couverte de terre.
09040d00e2	Lorsqu'il arriva, voici qu'Eli était assis sur son siège, au bord du chemin, à regarder, car son cœur tremblait pour l'arche de Dieu. Lorsque l'homme entra dans la ville et en fit le récit, toute la ville poussa des cris.
09040e0082	Lorsque Eli entendit le bruit des cris, il dit: «Que signifie le bruit de ce tumulte?» L'homme se hâta, et vint le dire à Eli.
09040f006f	Or, Eli était âgé de quatre-vingt-dix-huit ans. Ses yeux étaient fixes, de sorte qu'il ne pouvait pas voir.
090410009f	L'homme dit à Eli: «Je suis celui qui est sorti de l'armée, et je me suis enfui aujourd'hui de l'armée.» Il a dit: «Comment ça s'est passé, mon fils?»
09041100e4	Celui qui apportait la nouvelle répondit: «Israël a fui devant les Philistins, et il y a aussi eu un grand massacre parmi le peuple. Tes deux fils aussi, Hophni et Phinées, sont morts, et l'arche de Dieu a été capturée.»
09041200cb	Lorsqu'il parla de l'arche de Dieu, Eli tomba de son siège en arrière, du côté de la porte; son cou se brisa, et il mourut, car il était vieux et pesant. Il avait jugé Israël pendant quarante ans.
09041300fa	Sa belle-fille, la femme de Phinées, était enceinte, sur le point d'accoucher. Lorsqu'elle apprit la nouvelle de la prise de l'arche de Dieu et de la mort de son beau-père et de son mari, elle se courba et accoucha, car ses douleurs la surprirent.
09041400c3	Vers le moment où elle mourut, les femmes qui se tenaient près d'elle lui dirent: «N'aie pas peur, car tu as donné naissance à un fils.» Mais elle ne répondit pas et n'y fit pas attention.
09041500b6	Elle donna à l'enfant le nom d'Ichabod, en disant: «La gloire s'est retirée d'Israël», parce que l'arche de Dieu avait été prise, et à cause de son beau-père et de son mari.
090416004f	Elle dit: «La gloire a disparu d'Israël, car l'arche de Dieu a été prise.»
0905010060	Les Philistins avaient pris l'arche de Dieu, et ils l'avaient transportée d'Ébenezer à Asdod.
090502006f	Les Philistins prirent l'arche de Dieu, l'apportèrent dans la maison de Dagon et la placèrent près de Dagon.
09050300ce	Le lendemain, lorsque les habitants d'Asdod se levèrent de bonne heure, voici que Dagon était tombé à terre, la face contre terre, devant l'arche de Yahvé. Ils prirent Dagon et le remirent à sa place.
09050400ee	Le lendemain matin, ils se levèrent de bonne heure, et voici que Dagon était tombé à terre devant l'arche de Yahvé; la tête de Dagon et les deux paumes de ses mains furent coupées sur le seuil. Seul le torse de Dagon était intact.
0905050092	C'est pourquoi, jusqu'à ce jour, ni les prêtres de Dagon ni ceux qui entrent dans la maison de Dagon ne marchent sur le seuil de Dagon à Asdod.
090506007d	Mais la main de Yahvé s'appesantit sur le peuple d'Asdod, il le détruisit et le frappa de tumeurs, Asdod et son territoire.
09050700b3	Les hommes d'Asdod, voyant qu'il en était ainsi, dirent: «L'arche du Dieu d'Israël ne restera pas chez nous, car sa main est sévère envers nous et envers Dagon, notre dieu.»
09050800f8	Ils envoyèrent donc rassembler tous les princes des Philistins, et dirent: «Que ferons-nous de l'arche du Dieu d'Israël?» Ils répondirent: «Que l'arche du Dieu d'Israël soit transportée à Gath.» Ils y portèrent l'arche du Dieu d'Israël.
09050900d3	Après qu'ils l'eurent transportée là, la main de Yahvé s'abattit sur la ville avec une très grande violence, et il frappa les habitants de la ville, petits et grands, de sorte que la tumeur éclata sur eux.
09050a00dd	On envoya donc l'arche de Dieu à Ekron. Comme l'arche de Dieu arrivait à Ékron, les Ékronites poussèrent des cris, en disant: «On a amené chez nous l'arche du Dieu d'Israël, pour nous tuer, nous et notre peuple.»
09050b0128	Ils envoyèrent donc rassembler tous les seigneurs des Philistins et dirent: «Renvoie l'arche du Dieu d'Israël, et qu'elle retourne dans son lieu, afin qu'elle ne nous tue pas, nous et notre peuple.» Car il y eut une panique mortelle dans toute la ville. La main de Dieu y était très lourde.
09050c006a	Les hommes qui ne mouraient pas étaient frappés de tumeurs, et le cri de la ville montait jusqu'au ciel.
0906010042	L'arche de l'Éternel resta sept mois dans le pays des Philistins.
09060200a5	Les Philistins appelèrent les prêtres et les devins et dirent: «Que ferons-nous de l'arche de l'Éternel? Montre-nous comment nous devons l'envoyer à sa place.»
09060300c6	Ils dirent: «Si tu renvoies l'arche du Dieu d'Israël, ne la renvoie pas à vide, mais renvoie-lui une offrande. Alors tu seras guéri, et tu sauras pourquoi sa main ne s'est pas retirée de toi.»
09060400eb	Et ils dirent: «Quelle sera l'offrande d'expiation que nous lui rendrons?» Ils dirent: «Cinq tumeurs d'or et cinq souris d'or, pour le nombre des princes des Philistins; car une seule plaie vous a frappés tous, vous et vos princes.
09060500db	C'est pourquoi vous ferez des images de vos tumeurs et des images de vos souris qui souillent le pays, et vous rendrez gloire au Dieu d'Israël. Peut-être relâchera-t-il sa main de vous, de vos dieux et de votre pays.
09060600d1	Pourquoi donc endurcissez-vous votre cœur comme les Égyptiens et Pharaon ont endurci leur cœur? Quand il avait fait des merveilles au milieu d'eux, n'ont-ils pas laissé aller le peuple, qui s'en est allé?
09060700be	«Maintenant, prenez et préparez vous-mêmes un chariot neuf et deux vaches à lait sur lesquelles il n'y a pas de joug; attachez les vaches au chariot, et ramenez leurs veaux à la maison;
09060800bf	prenez l'arche de Yahvé et posez-la sur le chariot. Mets dans un coffret, à côté d'elle, les bijoux d'or que tu lui rends comme offrande de culpabilité, et envoie-la, pour qu'elle monte.
09060900cd	Voici, s'il monte par le chemin de sa frontière jusqu'à Beth Shemesh, il nous a fait ce grand mal; sinon, nous saurons que ce n'est pas sa main qui nous a frappés. C'est un hasard qui nous a frappés.»
09060a0081	Les hommes firent ainsi, prirent deux vaches laitières et les attachèrent au chariot, et enfermèrent leurs veaux à la maison.
09060b006e	Ils mirent l'arche de Yahvé sur le chariot, et la boîte avec les souris d'or et les images de leurs tumeurs.
09060c00ef	Les vaches prirent le chemin droit par le chemin de Beth Shemesh. Elles suivirent la route, en mugissant, sans se détourner ni à droite ni à gauche, et les princes des Philistins les poursuivirent jusqu'à la frontière de Beth Shemesh.
09060d0092	Les habitants de Beth Shemesh moissonnaient leur blé dans la vallée; ils levèrent les yeux et virent l'arche, et ils se réjouirent de la voir.
09060e00bb	Le chariot entra dans le champ de Josué de Beth Shemesh, et s'arrêta là où il y avait une grande pierre. Ils fendirent le bois du char et offrirent les vaches en holocauste à Yahvé.
09060f010e	Les Lévites descendirent l'arche de l'Éternel et le coffret qui l'accompagnait, dans lequel se trouvaient les bijoux d'or, et ils les posèrent sur la grande pierre; et les hommes de Beth Shemesh offrirent des holocaustes et des sacrifices à l'Éternel le même jour.
090610005e	Lorsque les cinq princes des Philistins l'eurent vu, ils retournèrent à Ekron le même jour.
09061100ab	Voici les tumeurs d'or que les Philistins offrirent en sacrifice de culpabilité à Yahvé: une pour Asdod, une pour Gaza, une pour Askalon, une pour Gath, une pour Ekron,
090612011d	et les souris d'or, selon le nombre de toutes les villes des Philistins appartenant aux cinq seigneurs, villes fortes et villages, jusqu'à la grande pierre sur laquelle ils posèrent l'arche de Yahvé. Cette pierre est restée jusqu'à ce jour dans le champ de Josué de Beth Shemesh.
09061300e1	Il frappa les hommes de Beth Shemesh, parce qu'ils avaient regardé dans l'arche de Yahvé, il frappa cinquante mille soixante-dix hommes. Et le peuple se lamenta, car l'Éternel avait frappé le peuple d'une grande défaite.
090614007c	Les hommes de Beth Shemesh dirent: «Qui peut tenir devant l'Éternel, ce Dieu saint? Vers qui montera-t-il de notre part?»
09061500a8	Ils envoyèrent des messagers aux habitants de Kiriath Jearim, en disant: «Les Philistins ont ramené l'arche de Yahvé. Descendez et faites-la monter jusqu'à vous.»
09070100ce	Les gens de Kiriath Jearim vinrent prendre l'arche de l'Éternel, et ils la portèrent dans la maison d'Abinadab, sur la colline, et ils consacrèrent Éléazar, son fils, pour garder l'arche de l'Éternel.
0907020099	Depuis le jour où l'arche resta à Kiriath Jearim, le temps fut long, car il s'écoula vingt ans, et toute la maison d'Israël se lamenta après Yahvé.
0907030118	Samuel parla à toute la maison d'Israël, et dit: «Si vous revenez à l'Éternel de tout votre cœur, ôtez du milieu de vous les dieux étrangers et les ashtaroths, et dirigez votre cœur vers l'Éternel, et ne servez que lui; et il vous délivrera de la main des Philistins.»
0907040069	Et les enfants d'Israël firent disparaître les Baals et les Ashtaroths, et ils ne servirent que Yahvé.
0907050052	Samuel dit: «Rassemblez tout Israël à Mitspa, et je prierai Yahvé pour vous.»
09070600d9	Ils s'assemblèrent à Mitspa, puisèrent de l'eau et la versèrent devant l'Éternel, et ils jeûnèrent ce jour-là, en disant: «Nous avons péché contre l'Éternel.» Samuel jugea les enfants d'Israël à Mitspa.
09070700dd	Lorsque les Philistins apprirent que les enfants d'Israël s'étaient rassemblés à Mitspa, les princes des Philistins montèrent contre Israël. Lorsque les enfants d'Israël l'apprirent, ils eurent peur des Philistins.
0907080092	Les enfants d'Israël dirent à Samuel: «Ne cesse pas de crier pour nous à Yahvé notre Dieu, afin qu'il nous sauve de la main des Philistins.»
0907090083	Samuel prit un agneau de lait et l'offrit en holocauste à Yahvé. Samuel cria à l'Éternel pour Israël, et l'Éternel l'exauça.
09070a00e8	Comme Samuel offrait l'holocauste, les Philistins s'approchèrent pour livrer bataille à Israël; mais ce jour-là, Yahvé fit retentir un grand tonnerre sur les Philistins et les confondit, et ils furent terrassés devant Israël.
09070b008b	Les hommes d'Israël sortirent de Mitspa, poursuivirent les Philistins et les battirent jusqu'à ce qu'ils arrivent au-dessous de Beth Kar.
09070c0099	Et Samuel prit une pierre et la plaça entre Mitspa et Shen, et il l'appela du nom d'Ebenezer, en disant: «L'Éternel nous a aidés jusqu'à présent.»
09070d00a3	Et les Philistins furent soumis, et ils cessèrent de venir à la frontière d'Israël. La main de Yahvé fut contre les Philistins pendant toute la vie de Samuel.
09070e00dd	Les villes que les Philistins avaient prises à Israël furent rendues à Israël, depuis Ékron jusqu'à Gath, et Israël recouvra ses frontières de la main des Philistins. La paix régna entre Israël et les Amoréens.
09070f002e	Samuel jugea Israël tous les jours de sa vie.
0907100077	Il allait d'année en année en circuit à Béthel, à Guilgal et à Mitspa, et il jugeait Israël dans tous ces lieux.
0907110070	Il retourna à Rama, car sa maison était là, et c'est là qu'il jugea Israël; il y bâtit un autel à Yahvé.
0908010047	Lorsque Samuel fut âgé, il établit ses fils comme juges sur Israël.
090802006b	Or le nom de son premier-né était Joël, et le nom de son second, Abija. Ils étaient juges à Beersheba.
0908030098	Ses fils ne marchèrent pas dans ses voies, mais se détournèrent vers des gains malhonnêtes, acceptèrent des pots-de-vin et pervertirent la justice.
0908040055	Alors tous les anciens d'Israël se rassemblèrent et vinrent trouver Samuel à Rama.
090805009a	Ils lui dirent: «Voici, tu es vieux, et tes fils ne marchent pas dans tes voies. Maintenant, fais-nous un roi pour nous juger comme toutes les nations.»
090806006e	Mais ce qui déplut à Samuel, c'est qu'ils dirent: «Donne-nous un roi pour nous juger.» Samuel pria Yahvé.
09080700a5	Yahvé dit à Samuel: «Écoute la voix du peuple dans tout ce qu'il te dira, car ce n'est pas toi qu'il a rejeté, mais c'est moi qu'il a rejeté comme roi sur lui.
09080800b3	Ils ont fait tout ce qu'ils ont fait depuis le jour où je les ai fait monter d'Égypte jusqu'à ce jour, en m'abandonnant et en servant d'autres dieux, et ils te feront de même.
0908090099	Maintenant donc, écoutez leur voix. Cependant, tu protesteras solennellement auprès d'eux, et tu leur indiqueras la voie du roi qui régnera sur eux.»
09080a0050	Samuel rapporta toutes les paroles de Yahvé au peuple qui lui demandait un roi.
09080b00bb	Il dit: «Voici comment agira le roi qui régnera sur vous: il prendra vos fils et les mettra à son service, pour ses chars et pour être ses cavaliers; et ils courront devant ses chars.
09080c00c7	Il les nommera chefs de milliers et chefs de cinquantaines, et il en chargera de labourer son sol et de moissonner sa récolte, de fabriquer ses instruments de guerre et les instruments de ses chars.
09080d005a	Il prendra tes filles pour en faire des parfumeuses, des cuisinières et des boulangères.
09080e0069	Il prendra tes champs, tes vignes et tes oliviers, même tes meilleurs, et les donnera à ses serviteurs.
09080f006d	Il prendra le dixième de tes semences et de tes vignes, et le donnera à ses officiers et à ses serviteurs.
0908100079	Il prendra tes serviteurs, tes servantes, tes meilleurs jeunes gens et tes ânes, et les affectera à son propre travail.
0908110044	Il prendra le dixième de vos troupeaux, et vous serez ses esclaves.
090812007f	Vous crierez en ce jour-là à cause de votre roi que vous vous serez choisi, et Yahvé ne vous répondra pas en ce jour-là.»
090813006b	Mais le peuple refusa d'écouter la voix de Samuel, et ils dirent: «Non, mais nous aurons un roi sur nous,
0908140086	afin que nous soyons aussi comme toutes les nations, et que notre roi nous juge, qu'il sorte devant nous et qu'il mène nos combats.»
090815005c	Samuel entendit toutes les paroles du peuple, et il les répéta aux oreilles de l'Éternel.
0908160089	Yahvé dit à Samuel: «Écoute leur voix, et fais-leur un roi.» Samuel dit aux hommes d'Israël: «Retournez chacun dans votre ville.»
090901009b	Il y avait un homme de Benjamin, nommé Kish, fils d'Abiel, fils de Zeror, fils de Becorath, fils d'Aphia, fils d'un Benjamite, homme puissant et vaillant.
09090200e5	Il avait un fils qui s'appelait Saül, un jeune homme impressionnant; et il n'y avait pas parmi les enfants d'Israël une personne plus belle que lui. Il était plus grand que tous les autres, à partir des épaules et au-dessus.
09090300a7	Les ânes de Kish, père de Saül, étaient perdus. Kish dit à Saül, son fils: «Prends maintenant avec toi un des serviteurs, et lève-toi, va chercher les ânes.»
09090400fb	Il traversa la montagne d'Ephraïm et passa par le pays de Shalisha, mais ils ne les trouvèrent pas. Puis ils passèrent par le pays de Shaalim, et ils ne les trouvèrent pas. Puis il passa par le pays des Benjamites, mais ils ne les trouvèrent pas.
09090500c8	Lorsqu'ils furent arrivés au pays de Zuph, Saül dit à son serviteur qui était avec lui: «Viens! Rentrons, de peur que mon père ne cesse de se préoccuper des ânes et ne s'inquiète pour nous.»
09090600e0	Le serviteur lui dit: «Voici qu'il y a un homme de Dieu dans cette ville, et c'est un homme qui est honoré. Tout ce qu'il dit arrive sûrement. Allons-y maintenant. Il pourra peut-être nous indiquer le chemin à suivre.»
09090700dc	Alors Saül dit à son serviteur: «Mais voici, si nous partons, que devons-nous apporter à cet homme? Car le pain est épuisé dans nos sacs, et il n'y a pas de présent à apporter à l'homme de Dieu. Qu'avons-nous?»
09090800c7	Le serviteur répondit de nouveau à Saül et dit: «Voici, j'ai dans ma main la quatrième partie d'un sicle d'argent. Je vais donner cela à l'homme de Dieu, pour qu'il nous indique notre chemin.»
09090900bb	(Autrefois, en Israël, lorsqu'un homme allait consulter Dieu, il disait: «Viens! Allons chez le voyant», car celui qu'on appelle maintenant prophète était auparavant appelé voyant).
09090a0083	Alors Saül dit à son serviteur: «Bien dit. Viens! Allons-y.» Ils se rendirent donc à la ville où se trouvait l'homme de Dieu.
09090b00a2	Comme ils montaient la montée vers la ville, ils trouvèrent des jeunes filles qui sortaient pour puiser de l'eau, et ils leur dirent: «Le voyant est-il ici?».
09090c00c7	Ils leur répondirent et dirent: «Il l'est. Le voici, il est devant vous. Dépêchez-vous, car il est entré aujourd'hui dans la ville, car le peuple offre aujourd'hui un sacrifice sur le haut lieu.
09090d013b	Dès que vous serez entrés dans la ville, vous le trouverez immédiatement avant qu'il ne monte sur le haut lieu pour manger, car le peuple ne mange pas avant qu'il n'arrive, car il bénit le sacrifice. Ensuite, ceux qui sont invités mangent. Monte donc maintenant, car c'est à cette heure que tu le trouveras.»
09090e007f	Ils montèrent dans la ville. Comme ils entraient dans la ville, voici que Samuel sortit vers eux pour monter sur le haut lieu.
09090f0052	Un jour avant l'arrivée de Saül, Yahvé avait fait cette révélation à Samuel:
09091000f8	«Demain, à cette heure-ci, je t'enverrai un homme du pays de Benjamin, et tu l'oindras comme prince de mon peuple d'Israël. Il sauvera mon peuple de la main des Philistins, car j'ai regardé mon peuple, parce que son cri est venu jusqu'à moi.»
0909110072	Lorsque Samuel vit Saül, Yahvé lui dit: «Voici l'homme dont je t'ai parlé! Il aura autorité sur mon peuple.»
0909120065	Alors Saül s'approcha de Samuel dans la porte et dit: «Dis-moi où se trouve la maison du voyant.»
09091300db	Samuel prit la parole et dit à Saül: «Je suis le voyant. Monte devant moi sur le haut lieu, car tu dois manger avec moi aujourd'hui. Demain matin, je te laisserai partir et je te dirai tout ce que tu as sur le cœur.
09091400be	Quant à tes ânes qui se sont perdus il y a trois jours, ne t'y attarde pas, car ils ont été retrouvés. A qui tout Israël pense-t-il? N'est-ce pas toi et toute la maison de ton père?»
09091500cb	Saül répondit: «Ne suis-je pas un Benjamite, de la plus petite des tribus d'Israël? Et ma famille, la plus petite de toutes les familles de la tribu de Benjamin? Pourquoi donc me parlez-vous ainsi?»
09091600b7	Samuel prit Saül et son serviteur, les fit entrer dans la salle des invités et les fit asseoir à la meilleure place parmi ceux qui étaient invités, soit environ trente personnes.
090917006d	Samuel dit au cuisinier: «Apporte la portion que je t'ai donnée et dont je t'ai dit: «Mets-la de côté».
090918011d	Le cuisinier prit la cuisse et ce qui était dessus, et la mit devant Saül. Samuel dit: «Voici ce qui a été mis de côté! Mets-le devant toi et mange, car on te l'a réservé pour le temps fixé, car j'ai dit: «J'ai invité le peuple.» Saül mangea donc avec Samuel ce jour-là.
090919006b	Lorsqu'ils furent descendus du haut lieu dans la ville, il s'entretint avec Saül sur le toit de la maison.
09091a00ca	Ils se levèrent de bonne heure et, au lever du jour, Samuel appela Saül sur le toit en disant: «Lève-toi, que je te renvoie.» Saül se leva, et ils sortirent tous les deux, lui et Samuel, ensemble.
09091b00ef	Comme ils descendaient à l'extrémité de la ville, Samuel dit à Saül: «Dis au serviteur de nous précéder». Il partit devant, puis Samuel dit: «Mais d'abord, tiens-toi tranquille, afin que je te fasse entendre le message de Dieu.»
090a0100a4	Alors Samuel prit la fiole d'huile et la versa sur sa tête, puis il l'embrassa et dit: «L'Éternel ne t'a-t-il pas oint pour que tu sois prince sur son héritage?
090a020150	Lorsque tu seras parti de moi aujourd'hui, tu trouveras deux hommes près du tombeau de Rachel, à la frontière de Benjamin, à Zelza. Ils te diront: «Les ânes que tu es allé chercher ont été retrouvés; et voici que ton père a cessé de s'occuper des ânes et s'inquiète pour toi, disant: «Que vais-je faire pour mon fils?»".
090a0300e5	«De là, vous continuerez à avancer, et vous arriverez au chêne du Thabor. Là, trois hommes te rencontreront en montant vers Dieu à Béthel: l'un portant trois chevreaux, l'autre trois pains et un autre un récipient de vin.
090a04004a	Ils te salueront et te donneront deux pains, que tu recevras de leur main.
090a050124	«Après cela, tu arriveras à la colline de Dieu, où se trouve la garnison des Philistins; et quand tu seras arrivé à la ville, tu rencontreras une troupe de prophètes qui descendront du haut lieu, avec devant eux un luth, un tambourin, un chalumeau et une harpe; et ils prophétiseront.
090a060081	Alors l'Esprit de Yahvé viendra puissamment sur toi, alors tu prophétiseras avec eux et tu seras transformé en un autre homme.
090a070070	Lorsque ces signes vous seront apparus, vous ferez ce qui convient pour la circonstance, car Dieu est avec vous.
090a0800e9	«Descends devant moi à Gilgal; et voici que je descendrai vers toi pour offrir des holocaustes et des sacrifices d'actions de grâces. Attends sept jours, jusqu'à ce que je vienne à toi et que je te montre ce que tu dois faire.»
090a09009e	Il en fut ainsi, car lorsqu'il eut tourné le dos pour aller auprès de Samuel, Dieu lui donna un autre cœur; et tous ces signes se produisirent ce jour-là.
090a0a00b4	Lorsqu'ils arrivèrent sur la colline, voici qu'une troupe de prophètes vint à sa rencontre; l'Esprit de Dieu se répandit puissamment sur lui, et il prophétisa au milieu d'eux.
090a0b00de	Lorsque tous ceux qui l'avaient connu auparavant virent qu'il prophétisait avec les prophètes, les gens se dirent les uns aux autres: «Qu'est-ce qui est arrivé au fils de Kish? Saul est-il aussi parmi les prophètes?»
090a0c008d	Un autre, du même endroit, répondit: «Qui est leur père?» C'est pourquoi on dit en proverbe: «Saul est-il aussi parmi les prophètes?»
090a0d003f	Lorsqu'il eut fini de prophétiser, il s'approcha du haut lieu.
090a0e00c1	L'oncle de Saül lui dit, ainsi qu'à son serviteur: «Où es-tu allé?» Il a dit: «Pour chercher les ânes. Quand nous avons vu qu'ils étaient introuvables, nous sommes venus voir Samuel.»
090a0f0038	L'oncle de Saül dit: «Dis-moi ce que Samuel t'a dit.»
090a1000a8	Saül dit à son oncle: «Il nous a dit clairement que les ânes ont été trouvés.» Mais concernant l'affaire du royaume, dont Samuel a parlé, il ne lui a rien dit.
090a110032	Samuel convoqua le peuple devant Yahvé à Mitspa,
090a1200d6	et il dit aux enfants d'Israël: «Yahvé, le Dieu d'Israël, dit: «J'ai fait monter Israël hors d'Égypte, je vous ai délivrés de la main des Égyptiens et de la main de tous les royaumes qui vous opprimaient.
090a130107	Mais aujourd'hui, vous avez rejeté votre Dieu, qui vous sauve lui-même de toutes vos calamités et de toutes vos détresses, et vous lui avez dit: «Non, établis un roi sur nous». Maintenant, présentez-vous devant Yahvé par vos tribus et par vos milliers.»
090a140056	Samuel fit approcher toutes les tribus d'Israël, et la tribu de Benjamin fut choisie.
090a1500b4	Il fit approcher la tribu de Benjamin selon ses familles, et l'on choisit la famille des Matrites. On choisit ensuite Saül, fils de Kis, mais on le chercha et on ne le trouva pas.
090a160094	Ils demandèrent donc encore à Yahvé: «Y a-t-il encore un homme à venir ici?» Yahvé répondit: «Voici qu'il s'est caché parmi les bagages.»
090a17009e	Ils coururent et l'amenèrent là. Lorsqu'il se tint debout au milieu du peuple, il était plus haut que tous les autres, depuis les épaules et vers le haut.
090a1800ae	Samuel dit à tout le peuple: «Voyez-vous celui que Yahvé a choisi, qu'il n'y a personne comme lui parmi tout le peuple?» Tout le peuple criait et disait: «Vive le roi!»
