2800000006	mathiH
2a041700af	tadA so. avAdId he chikitsaka svameva svasthaM kuru kapharnAhUmi yadyat kR^itavAn tadashrauShma tAH sarvAH kriyA atra svadeshe kuru kathAmetAM yUyamevAvashyaM mAM vadiShyatha|
2a0418005f	punaH sovAdId yuShmAnahaM yathArthaM vadAmi, kopi bhaviShyadvAdI svadeshe satkAraM na prApnoti|
2a041900c7	apara ncha yathArthaM vachmi, eliyasya jIvanakAle yadA sArddhatritayavarShANi yAvat jaladapratibandhAt sarvvasmin deshe mahAdurbhikSham ajaniShTa tadAnIm isrAyelo deshasya madhye bahvyo vidhavA Asan,
2a041a006a	kintu sIdonpradeshIyasAriphatpuranivAsinIm ekAM vidhavAM vinA kasyAshchidapi samIpe eliyaH prerito nAbhUt|
2a041b009d	apara ncha ilIshAyabhaviShyadvAdividyamAnatAkAle isrAyeldeshe bahavaH kuShThina Asan kintu surIyadeshIyaM nAmAnkuShThinaM vinA kopyanyaH pariShkR^ito nAbhUt|
2a041c003d	imAM kathAM shrutvA bhajanagehasthitA lokAH sakrodham utthAya
2a041d0078	nagarAttaM bahiShkR^itya yasya shikhariNa upari teShAM nagaraM sthApitamAste tasmAnnikSheptuM tasya shikharaM taM ninyuH
2a041e0036	kintu sa teShAM madhyAdapasR^itya sthAnAntaraM jagAma|
2a041f0065	tataH paraM yIshurgAlIlpradeshIyakapharnAhUmnagara upasthAya vishrAmavAre lokAnupadeShTum ArabdhavAn|
2a04200042	tadupadeshAt sarvve chamachchakru ryatastasya kathA gurutarA Asan|
2a0421004f	tadAnIM tadbhajanagehasthito. amedhyabhUtagrasta eko jana uchchaiH kathayAmAsa,
2a0422008a	he nAsaratIyayIsho. asmAn tyaja, tvayA sahAsmAkaM kaH sambandhaH? kimasmAn vinAshayitumAyAsi? tvamIshvarasya pavitro jana etadahaM jAnAmi|
2a04230093	tadA yIshustaM tarjayitvAvadat maunI bhava ito bahirbhava; tataH somedhyabhUtastaM madhyasthAne pAtayitvA ki nchidapyahiMsitvA tasmAd bahirgatavAn|
2a042400a1	tataH sarvve lokAshchamatkR^itya parasparaM vaktumArebhire koyaM chamatkAraH| eSha prabhAveNa parAkrameNa chAmedhyabhUtAn Aj nApayati tenaiva te bahirgachChanti|
2a04250035	anantaraM chaturdiksthadeshAn tasya sukhyAtirvyApnot|
2a0426009d	tadanantaraM sa bhajanagehAd bahirAgatya shimono niveshanaM pravivesha tadA tasya shvashrUrjvareNAtyantaM pIDitAsIt shiShyAstadarthaM tasmin vinayaM chakruH|
2a04270077	tataH sa tasyAH samIpe sthitvA jvaraM tarjayAmAsa tenaiva tAM jvaro. atyAkShIt tataH sA tatkShaNam utthAya tAn siSheve|
2a04280097	atha sUryyAstakAle sveShAM ye ye janA nAnArogaiH pIDitA Asan lokAstAn yIshoH samIpam AninyuH, tadA sa ekaikasya gAtre karamarpayitvA tAnarogAn chakAra|
2a042900bf	tato bhUtA bahubhyo nirgatya chItshabdaM kR^itvA cha babhAShire tvamIshvarasya putro. abhiShiktatrAtA; kintu sobhiShiktatrAteti te vividuretasmAt kAraNAt tAn tarjayitvA tadvaktuM niShiShedha|
2a042a0089	apara ncha prabhAte sati sa vijanasthAnaM pratasthe pashchAt janAstamanvichChantastannikaTaM gatvA sthAnAntaragamanArthaM tamanvarundhan|
2a042b007d	kintu sa tAn jagAda, IshvarIyarAjyasya susaMvAdaM prachArayitum anyAni purANyapi mayA yAtavyAni yatastadarthameva preritohaM|
2a042c0029	atha gAlIlo bhajanageheShu sa upadidesha|
2a0501006f	anantaraM yIshurekadA gineSharathdasya tIra uttiShThati, tadA lokA IshvarIyakathAM shrotuM tadupari prapatitAH|
2a05020069	tadAnIM sa hdasya tIrasamIpe naudvayaM dadarsha ki ncha matsyopajIvino nAvaM vihAya jAlaM prakShAlayanti|
2a05030084	tatastayordvayo rmadhye shimono nAvamAruhya tIrAt ki nchiddUraM yAtuM tasmin vinayaM kR^itvA naukAyAmupavishya lokAn propadiShTavAn|
2a0504006b	pashchAt taM prastAvaM samApya sa shimonaM vyAjahAra, gabhIraM jalaM gatvA matsyAn dharttuM jAlaM nikShipa|
2a0505008e	tataH shimona babhAShe, he guro yadyapi vayaM kR^itsnAM yAminIM parishramya matsyaikamapi na prAptAstathApi bhavato nideshato jAlaM kShipAmaH|
2a05060038	atha jAle kShipte bahumatsyapatanAd AnAyaH prachChinnaH|
2a0507008e	tasmAd upakarttum anyanausthAn sa Ngina AyAtum i Ngitena samAhvayan tatasta Agatya matsyai rnaudvayaM prapUrayAmAsu ryai rnaudvayaM pramagnam|
2a05080079	tadA shimonpitarastad vilokya yIshoshcharaNayoH patitvA, he prabhohaM pApI naro mama nikaTAd bhavAn yAtu, iti kathitavAn|
2a0509009e	yato jAle patitAnAM matsyAnAM yUthAt shimon tatsa Nginashcha chamatkR^itavantaH; shimonaH sahakAriNau sivadeH putrau yAkUb yohan chemau tAdR^ishau babhUvatuH|
2a050a0051	tadA yIshuH shimonaM jagAda mA bhaiShIradyArabhya tvaM manuShyadharo bhaviShyasi|
2a050b005b	anantaraM sarvvAsu nausu tIram AnItAsu te sarvvAn parityajya tasya pashchAdgAmino babhUvuH|
2a050c00cb	tataH paraM yIshau kasmiMshchit pure tiShThati jana ekaH sarvvA NgakuShThastaM vilokya tasya samIpe nyubjaH patitvA savinayaM vaktumArebhe, he prabho yadi bhavAnichChati tarhi mAM pariShkarttuM shaknoti|
2a050d007e	tadAnIM sa pANiM prasAryya tada NgaM spR^ishan babhAShe tvaM pariShkriyasveti mamechChAsti tatastatkShaNaM sa kuShThAt muktaH|
2a050e00c0	pashchAt sa tamAj nApayAmAsa kathAmimAM kasmaichid akathayitvA yAjakasya samIpa ncha gatvA svaM darshaya, lokebhyo nijapariShkR^itatvasya pramANadAnAya mUsAj nAnusAreNa dravyamutmR^ijasva cha|
2a050f006f	tathApi yIshoH sukhyAti rbahu vyAptumArebhe ki ncha tasya kathAM shrotuM svIyarogebhyo moktu ncha lokA AjagmuH|
2a0510002a	atha sa prAntaraM gatvA prArthayA nchakre|
2a051100ef	apara ncha ekadA yIshurupadishati, etarhi gAlIlyihUdApradeshayoH sarvvanagarebhyo yirUshAlamashcha kiyantaH phirUshilokA vyavasthApakAshcha samAgatya tadantike samupavivishuH, tasmin kAle lokAnAmArogyakAraNAt prabhoH prabhAvaH prachakAshe|
2a05120076	pashchAt kiyanto lokA ekaM pakShAghAtinaM khaTvAyAM nidhAya yIshoH samIpamAnetuM sammukhe sthApayitu ncha vyApriyanta|
2a051300a2	kintu bahujananivahasamvAdhAt na shaknuvanto gR^ihopari gatvA gR^ihapR^iShThaM khanitvA taM pakShAghAtinaM sakhaTvaM gR^ihamadhye yIshoH sammukhe. avarohayAmAsuH|
2a0514006b	tadA yIshusteShAm IdR^ishaM vishvAsaM vilokya taM pakShAghAtinaM vyAjahAra, he mAnava tava pApamakShamyata|
2a05150097	tasmAd adhyApakAH phirUshinashcha chittairitthaM prachintitavantaH, eSha jana IshvaraM nindati koyaM? kevalamIshvaraM vinA pApaM kShantuM kaH shaknoti?
2a0516005b	tadA yIshusteShAm itthaM chintanaM viditvA tebhyokathayad yUyaM manobhiH kuto vitarkayatha?
2a0517004d	tava pApakShamA jAtA yadvA tvamutthAya vraja etayo rmadhye kA kathA sukathyA?
2a051800c2	kintu pR^ithivyAM pApaM kShantuM mAnavasutasya sAmarthyamastIti yathA yUyaM j nAtuM shaknutha tadarthaM (sa taM pakShAghAtinaM jagAda) uttiShTha svashayyAM gR^ihItvA gR^ihaM yAhIti tvAmAdishAmi|
2a05190075	tasmAt sa tatkShaNam utthAya sarvveShAM sAkShAt nijashayanIyaM gR^ihItvA IshvaraM dhanyaM vadan nijaniveshanaM yayau|
2a051a007b	tasmAt sarvve vismaya prAptA manaHsu bhItAshcha vayamadyAsambhavakAryyANyadarshAma ityuktvA parameshvaraM dhanyaM proditAH|
2a051b0079	tataH paraM bahirgachChan karasa nchayasthAne levinAmAnaM karasa nchAyakaM dR^iShTvA yIshustamabhidadhe mama pashchAdehi|
2a051c003c	tasmAt sa tatkShaNAt sarvvaM parityajya tasya pashchAdiyAya|
2a051d0081	anantaraM levi rnijagR^ihe tadarthaM mahAbhojyaM chakAra, tadA taiH sahAneke karasa nchAyinastadanyalokAshcha bhoktumupavivishuH|
2a051e00b2	tasmAt kAraNAt chaNDAlAnAM pApilokAnA ncha sa Nge yUyaM kuto bhaMgdhve pivatha cheti kathAM kathayitvA phirUshino. adhyApakAshcha tasya shiShyaiH saha vAgyuddhaM karttumArebhire|
2a051f005c	tasmAd yIshustAn pratyavochad arogalokAnAM chikitsakena prayojanaM nAsti kintu sarogANAmeva|
2a05200049	ahaM dhArmmikAn AhvAtuM nAgatosmi kintu manaH parAvarttayituM pApina eva|
2a05210087	tataste prochuH, yohanaH phirUshinA ncha shiShyA vAraMvAram upavasanti prArthayante cha kintu tava shiShyAH kuto bhu njate pivanti cha?
2a05220058	tadA sa tAnAchakhyau vare sa Nge tiShThati varasya sakhigaNaM kimupavAsayituM shaknutha?
2a05230040	kintu yadA teShAM nikaTAd varo neShyate tadA te samupavatsyanti|
2a052400ac	soparamapi dR^iShTAntaM kathayAmbabhUva purAtanavastre kopi nutanavastraM na sIvyati yatastena sevanena jIrNavastraM Chidyate, nUtanapurAtanavastrayo rmela ncha na bhavati|
2a052500a1	purAtanyAM kutvAM kopi nutanaM drAkShArasaM na nidadhAti, yato navInadrAkShArasasya tejasA purAtanI kutU rvidIryyate tato drAkShArasaH patati kutUshcha nashyati|
2a05260055	tato heto rnUtanyAM kutvAM navInadrAkShArasaH nidhAtavyastenobhayasya rakShA bhavati|
2a0527006f	apara ncha purAtanaM drAkShArasaM pItvA kopi nUtanaM na vA nChati, yataH sa vakti nUtanAt purAtanam prashastam|
2a060100a3	achara ncha parvvaNo dvitIyadinAt paraM prathamavishrAmavAre shasyakShetreNa yIshorgamanakAle tasya shiShyAH kaNishaM ChittvA kareShu marddayitvA khAditumArebhire|
2a0602005d	tasmAt kiyantaH phirUshinastAnavadan vishrAmavAre yat karmma na karttavyaM tat kutaH kurutha?
2a0603006d	yIshuH pratyuvAcha dAyUd tasya sa Nginashcha kShudhArttAH kiM chakruH sa katham Ishvarasya mandiraM pravishya
2a06040086	ye darshanIyAH pUpA yAjakAn vinAnyasya kasyApyabhojanIyAstAnAnIya svayaM bubhaje sa Ngibhyopi dadau tat kiM yuShmAbhiH kadApi nApAThi?
2a06050043	pashchAt sa tAnavadat manujasuto vishrAmavArasyApi prabhu rbhavati|
2a0606007f	anantaram anyavishrAmavAre sa bhajanagehaM pravishya samupadishati| tadA tatsthAne shuShkadakShiNakara ekaH pumAn upatasthivAn|
2a0607007d	tasmAd adhyApakAH phirUshinashcha tasmin doShamAropayituM sa vishrAmavAre tasya svAsthyaM karoti naveti pratIkShitumArebhire|
2a06080067	tadA yIshusteShAM chintAM viditvA taM shuShkakaraM pumAMsaM provAcha, tvamutthAya madhyasthAne tiShTha|
2a060900ab	tasmAt tasmin utthitavati yIshustAn vyAjahAra, yuShmAn imAM kathAM pR^ichChAmi, vishrAmavAre hitam ahitaM vA, prANarakShaNaM prANanAshanaM vA, eteShAM kiM karmmakaraNIyam?
2a060a0090	pashchAt chaturdikShu sarvvAn vilokya taM mAnavaM babhAShe, nijakaraM prasAraya; tatastena tathA kR^ita itarakaravat tasya hastaH svasthobhavat|
2a060b004e	tasmAt te prachaNDakopAnvitA yIshuM kiM kariShyantIti parasparaM pramantritAH|
2a060c0058	tataH paraM sa parvvatamAruhyeshvaramuddishya prArthayamAnaH kR^itsnAM rAtriM yApitavAn|
2a060d0039	atha dine sati sa sarvvAn shiShyAn AhUtavAn teShAM madhye
2a060e005d	pitaranAmnA khyAtaH shimon tasya bhrAtA Andriyashcha yAkUb yohan cha philip barthalamayashcha
2a060f0040	mathiH thomA AlphIyasya putro yAkUb jvalantanAmnA khyAtaH shimon
2a061000b4	cha yAkUbo bhrAtA yihUdAshcha taM yaH parakareShu samarpayiShyati sa IShkarIyotIyayihUdAshchaitAn dvAdasha janAn manonItAn kR^itvA sa jagrAha tathA prerita iti teShAM nAma chakAra|
2a061100ee	tataH paraM sa taiH saha parvvatAdavaruhya upatyakAyAM tasthau tatastasya shiShyasa Ngho yihUdAdeshAd yirUshAlamashcha soraH sIdonashcha jaladhe rodhaso jananihAshcha etya tasya kathAshravaNArthaM rogamuktyartha ncha tasya samIpe tasthuH|
2a0612003a	amedhyabhUtagrastAshcha tannikaTamAgatya svAsthyaM prApuH|
2a0613005a	sarvveShAM svAsthyakaraNaprabhAvasya prakAshitatvAt sarvve lokA etya taM spraShTuM yetire|
2a06140070	pashchAt sa shiShyAn prati dR^iShTiM kutvA jagAda, he daridrA yUyaM dhanyA yata IshvarIye rAjye vo. adhikArosti|
2a06150073	he adhunA kShudhitalokA yUyaM dhanyA yato yUyaM tarpsyatha; he iha rodino janA yUyaM dhanyA yato yUyaM hasiShyatha|
2a0616009d	yadA lokA manuShyasUno rnAmaheto ryuShmAn R^itIyiShyante pR^ithak kR^itvA nindiShyanti, adhamAniva yuShmAn svasamIpAd dUrIkariShyanti cha tadA yUyaM dhanyAH|
2a061700b0	svarge yuShmAkaM yatheShTaM phalaM bhaviShyati, etadarthaM tasmin dine prollasata Anandena nR^ityata cha, teShAM pUrvvapuruShAshcha bhaviShyadvAdinaH prati tathaiva vyavAharan|
2a0618005d	kintu hA hA dhanavanto yUyaM sukhaM prApnuta| hanta paritR^iptA yUyaM kShudhitA bhaviShyatha;
2a0619003e	iha hasanto yUyaM vata yuShmAbhiH shochitavyaM roditavya ncha|
2a061a0096	sarvvailAkai ryuShmAkaM sukhyAtau kR^itAyAM yuShmAkaM durgati rbhaviShyati yuShmAkaM pUrvvapuruShA mR^iShAbhaviShyadvAdinaH prati tadvat kR^itavantaH|
2a061b0072	he shrotAro yuShmabhyamahaM kathayAmi, yUyaM shatruShu prIyadhvaM ye cha yuShmAn dviShanti teShAmapi hitaM kuruta|
2a061c0069	ye cha yuShmAn shapanti tebhya AshiShaM datta ye cha yuShmAn avamanyante teShAM ma NgalaM prArthayadhvaM|
2a061d00cb	yadi kashchit tava kapole chapeTAghAtaM karoti tarhi taM prati kapolam anyaM parAvarttya sammukhIkuru punashcha yadi kashchit tava gAtrIyavastraM harati tarhi taM paridheyavastram api grahItuM mA vAraya|
2a061e004b	yastvAM yAchate tasmai dehi, yashcha tava sampattiM harati taM mA yAchasva|
2a061f0051	parebhyaH svAn prati yathAcharaNam apekShadhve parAn prati yUyamapi tathAcharata|
2a06200075	ye janA yuShmAsu prIyante kevalaM teShu prIyamANeShu yuShmAkaM kiM phalaM? pApilokA api sveShu prIyamANeShu prIyante|
2a0621005b	yadi hitakAriNa eva hitaM kurutha tarhi yuShmAkaM kiM phalaM? pApilokA api tathA kurvvanti|
2a0622009e	yebhya R^iNaparishodhasya prAptipratyAshAste kevalaM teShu R^iNe samarpite yuShmAkaM kiM phalaM? punaH prAptyAshayA pApIlokA api pApijaneShu R^iNam arpayanti|
2a0623010d	ato yUyaM ripuShvapi prIyadhvaM, parahitaM kuruta cha; punaH prAptyAshAM tyaktvA R^iNamarpayata, tathA kR^ite yuShmAkaM mahAphalaM bhaviShyati, yUya ncha sarvvapradhAnasya santAnA iti khyAtiM prApsyatha, yato yuShmAkaM pitA kR^itaghnAnAM durvTattAnA ncha hitamAcharati|
2a0624003d	ata eva sa yathA dayAlu ryUyamapi tAdR^ishA dayAlavo bhavata|
2a062500ce	apara ncha parAn doShiNo mA kuruta tasmAd yUyaM doShIkR^itA na bhaviShyatha; adaNDyAn mA daNDayata tasmAd yUyamapi daNDaM na prApsyatha; pareShAM doShAn kShamadhvaM tasmAd yuShmAkamapi doShAH kShamiShyante|
2a062600ea	dAnAnidatta tasmAd yUyaM dAnAni prApsyatha, vara ncha lokAH parimANapAtraM pradalayya sa nchAlya pro nchAlya paripUryya yuShmAkaM kroDeShu samarpayiShyanti; yUyaM yena parimANena parimAtha tenaiva parimANena yuShmatkR^ite parimAsyate|
2a0627008b	atha sa tebhyo dR^iShTAntakathAmakathayat, andho janaH kimandhaM panthAnaM darshayituM shaknoti? tasmAd ubhAvapi kiM gartte na patiShyataH?
2a06280055	guroH shiShyo na shreShThaH kintu shiShye siddhe sati sa gurutulyo bhavituM shaknoti|
2a0629006c	apara ncha tvaM svachakShuShi nAsAm adR^iShTvA tava bhrAtushchakShuShi yattR^iNamasti tadeva kutaH pashyami?
2a062a00f3	svachakShuShi yA nAsA vidyate tAm aj nAtvA, bhrAtastava netrAt tR^iNaM bahiH karomIti vAkyaM bhrAtaraM kathaM vaktuM shaknoShi? he kapaTin pUrvvaM svanayanAt nAsAM bahiH kuru tato bhrAtushchakShuShastR^iNaM bahiH karttuM sudR^iShTiM prApsyasi|
2a062b0089	anya ncha uttamastaruH kadApi phalamanuttamaM na phalati, anuttamatarushcha phalamuttamaM na phalati kAraNAdataH phalaistaravo j nAyante|
2a062c006f	kaNTakipAdapAt kopi uDumbaraphalAni na pAtayati tathA shR^igAlakolivR^ikShAdapi kopi drAkShAphalaM na pAtayati|
2a062d00e3	tadvat sAdhuloko. antaHkaraNarUpAt subhANDAgArAd uttamAni dravyANi bahiH karoti, duShTo lokashchAntaHkaraNarUpAt kubhANDAgArAt kutsitAni dravyANi nirgamayati yato. antaHkaraNAnAM pUrNabhAvAnurUpANi vachAMsi mukhAnnirgachChanti|
2a062e0049	apara ncha mamAj nAnurUpaM nAcharitvA kuto mAM prabho prabho iti vadatha?
2a062f0085	yaH kashchin mama nikaTam Agatya mama kathA nishamya tadanurUpaM karmma karoti sa kasya sadR^isho bhavati tadahaM yuShmAn j nApayAmi|
2a063000e3	yo jano gabhIraM khanitvA pAShANasthale bhittiM nirmmAya svagR^ihaM rachayati tena saha tasyopamA bhavati; yata AplAvijalametya tasya mUle vegena vahadapi tadgehaM lADayituM na shaknoti yatastasya bhittiH pAShANopari tiShThati|
2a063100d4	kintu yaH kashchin mama kathAH shrutvA tadanurUpaM nAcharati sa bhittiM vinA mR^idupari gR^ihanirmmAtrA samAno bhavati; yata AplAvijalamAgatya vegena yadA vahati tadA tadgR^ihaM patati tasya mahat patanaM jAyate|
2a07010062	tataH paraM sa lokAnAM karNagochare tAn sarvvAn upadeshAn samApya yadA kapharnAhUmpuraM pravishati
2a0702003b	tadA shatasenApateH priyadAsa eko mR^itakalpaH pIDita AsIt|
2a07030083	ataH senApati ryIsho rvArttAM nishamya dAsasyArogyakaraNAya tasyAgamanArthaM vinayakaraNAya yihUdIyAn kiyataH prAchaH preShayAmAsa|
2a07040062	te yIshorantikaM gatvA vinayAtishayaM vaktumArebhire, sa senApati rbhavatonugrahaM prAptum arhati|
2a0705004f	yataH sosmajjAtIyeShu lokeShu prIyate tathAsmatkR^ite bhajanagehaM nirmmitavAn|
2a070600e4	tasmAd yIshustaiH saha gatvA niveshanasya samIpaM prApa, tadA sa shatasenApati rvakShyamANavAkyaM taM vaktuM bandhUn prAhiNot| he prabho svayaM shramo na karttavyo yad bhavatA madgehamadhye pAdArpaNaM kriyeta tadapyahaM nArhAmi,
2a07070083	ki nchAhaM bhavatsamIpaM yAtumapi nAtmAnaM yogyaM buddhavAn, tato bhavAn vAkyamAtraM vadatu tenaiva mama dAsaH svastho bhaviShyati|
2a070800c7	yasmAd ahaM parAdhInopi mamAdhInA yAH senAH santi tAsAm ekajanaM prati yAhIti mayA prokte sa yAti; tadanyaM prati AyAhIti prokte sa AyAti; tathA nijadAsaM prati etat kurvviti prokte sa tadeva karoti|
2a070900ac	yIshuridaM vAkyaM shrutvA vismayaM yayau, mukhaM parAvartya pashchAdvarttino lokAn babhAShe cha, yuShmAnahaM vadAmi isrAyelo vaMshamadhyepi vishvAsamIdR^ishaM na prApnavaM|
2a070a0045	tataste preShitA gR^ihaM gatvA taM pIDitaM dAsaM svasthaM dadR^ishuH|
2a070b005e	pare. ahani sa nAyInAkhyaM nagaraM jagAma tasyAneke shiShyA anye cha lokAstena sArddhaM yayuH|
2a070c00be	teShu tannagarasya dvArasannidhiM prApteShu kiyanto lokA ekaM mR^itamanujaM vahanto nagarasya bahiryAnti, sa tanmAturekaputrastanmAtA cha vidhavA; tayA sArddhaM tannagarIyA bahavo lokA Asan|
2a070d0075	prabhustAM vilokya sAnukampaH kathayAmAsa, mA rodIH| sa samIpamitvA khaTvAM pasparsha tasmAd vAhakAH sthagitAstamyuH;
2a070e0043	tadA sa uvAcha he yuvamanuShya tvamuttiShTha, tvAmaham Aj nApayAmi|
2a070f0066	tasmAt sa mR^ito janastatkShaNamutthAya kathAM prakathitaH; tato yIshustasya mAtari taM samarpayAmAsa|
2a071000a4	tasmAt sarvve lokAH shasha Nkire; eko mahAbhaviShyadvAdI madhye. asmAkam samudait, Ishvarashcha svalokAnanvagR^ihlAt kathAmimAM kathayitvA IshvaraM dhanyaM jagaduH|
2a0711005a	tataH paraM samastaM yihUdAdeshaM tasya chaturdiksthadesha ncha tasyaitatkIrtti rvyAnashe|
2a0712003f	tataH paraM yohanaH shiShyeShu taM tadvR^ittAntaM j nApitavatsu
2a071300b5	sa svashiShyANAM dvau janAvAhUya yIshuM prati vakShyamANaM vAkyaM vaktuM preShayAmAsa, yasyAgamanam apekShya tiShThAmo vayaM kiM sa eva janastvaM? kiM vayamanyamapekShya sthAsyAmaH?
2a071400c6	pashchAttau mAnavau gatvA kathayAmAsatuH, yasyAgamanam apekShya tiShThAmo vayaM, kiM saeva janastvaM? kiM vayamanyamapekShya sthAsyAmaH? kathAmimAM tubhyaM kathayituM yohan majjaka AvAM preShitavAn|
2a07150086	tasmin daNDe yIshUrogiNo mahAvyAdhimato duShTabhUtagrastAMshcha bahUn svasthAn kR^itvA, anekAndhebhyashchakShuMShi dattvA pratyuvAcha,
2a071600f1	yuvAM vrajatam andhA netrANi kha njAshcharaNAni cha prApnuvanti, kuShThinaH pariShkriyante, badhirAH shravaNAni mR^itAshcha jIvanAni prApnuvanti, daridrANAM samIpeShu susaMvAdaH prachAryyate, yaM prati vighnasvarUpohaM na bhavAmi sa dhanyaH,
2a0717003f	etAni yAni pashyathaH shR^iNuthashcha tAni yohanaM j nApayatam|
2a07180088	tayo rdUtayo rgatayoH sato ryohani sa lokAn vaktumupachakrame, yUyaM madhyeprAntaraM kiM draShTuM niragamata? kiM vAyunA kampitaM naDaM?
2a071900b2	yUyaM kiM draShTuM niragamata? kiM sUkShmavastraparidhAyinaM kamapi naraM? kintu ye sUkShmamR^iduvastrANi paridadhati sUttamAni dravyANi bhu njate cha te rAjadhAnIShu tiShThanti|
2a071a0091	tarhi yUyaM kiM draShTuM niragamata? kimekaM bhaviShyadvAdinaM? tadeva satyaM kintu sa pumAn bhaviShyadvAdinopi shreShTha ityahaM yuShmAn vadAmi;
2a071b0081	pashya svakIyadUtantu tavAgra preShayAmyahaM| gatvA tvadIyamArgantu sa hi pariShkariShyati| yadarthe lipiriyam Aste sa eva yohan|
2a071c00b5	ato yuShmAnahaM vadAmi striyA garbbhajAtAnAM bhaviShyadvAdinAM madhye yohano majjakAt shreShThaH kopi nAsti, tatrApi Ishvarasya rAjye yaH sarvvasmAt kShudraH sa yohanopi shreShThaH|
2a071d007c	apara ncha sarvve lokAH karama nchAyinashcha tasya vAkyAni shrutvA yohanA majjanena majjitAH parameshvaraM nirdoShaM menire|
2a071e0065	kintu phirUshino vyavasthApakAshcha tena na majjitAH svAn pratIshvarasyopadeshaM niShphalam akurvvan|
2a071f004a	atha prabhuH kathayAmAsa, idAnIntanajanAn kenopamAmi? te kasya sadR^ishAH?
2a072000ec	ye bAlakA vipaNyAm upavishya parasparam AhUya vAkyamidaM vadanti, vayaM yuShmAkaM nikaTe vaMshIravAdiShma, kintu yUyaM nAnarttiShTa, vayaM yuShmAkaM nikaTa arodiShma, kintu yuyaM na vyalapiShTa, bAlakairetAdR^ishaisteShAm upamA bhavati|
2a07210067	yato yohan majjaka Agatya pUpaM nAkhAdat drAkShArasa ncha nApivat tasmAd yUyaM vadatha, bhUtagrastoyam|
2a07220081	tataH paraM mAnavasuta AgatyAkhAdadapiva ncha tasmAd yUyaM vadatha, khAdakaH surApashchANDAlapApinAM bandhureko jano dR^ishyatAm|
2a07230027	kintu j nAnino j nAnaM nirdoShaM viduH|
2a07240063	pashchAdekaH phirUshI yIshuM bhojanAya nyamantrayat tataH sa tasya gR^ihaM gatvA bhoktumupaviShTaH|
2a07250094	etarhi tatphirUshino gR^ihe yIshu rbhektum upAvekShIt tachChrutvA tannagaravAsinI kApi duShTA nArI pANDaraprastarasya sampuTake sugandhitailam AnIya
2a072600aa	tasya pashchAt pAdayoH sannidhau tasyau rudatI cha netrAmbubhistasya charaNau prakShAlya nijakachairamArkShIt, tatastasya charaNau chumbitvA tena sugandhitailena mamarda|
2a072700aa	tasmAt sa nimantrayitA phirUshI manasA chintayAmAsa, yadyayaM bhaviShyadvAdI bhavet tarhi enaM spR^ishati yA strI sA kA kIdR^ishI cheti j nAtuM shaknuyAt yataH sA duShTA|
2a07280070	tadA yAshustaM jagAda, he shimon tvAM prati mama ki nchid vaktavyamasti; tasmAt sa babhAShe, he guro tad vadatu|
2a07290076	ekottamarNasya dvAvadhamarNAvAstAM, tayorekaH pa nchashatAni mudrApAdAn aparashcha pa nchAshat mudrApAdAn dhArayAmAsa|
2a072a007c	tadanantaraM tayoH shodhyAbhAvAt sa uttamarNastayo rR^iNe chakShame; tasmAt tayordvayoH kastasmin preShyate bahu? tad brUhi|
2a072b007d	shimon pratyuvAcha, mayA budhyate yasyAdhikam R^iNaM chakShame sa iti; tato yIshustaM vyAjahAra, tvaM yathArthaM vyachArayaH|
2a072c00c6	atha tAM nArIM prati vyAghuThya shimonamavochat, strImimAM pashyasi? tava gR^ihe mayyAgate tvaM pAdaprakShAlanArthaM jalaM nAdAH kintu yoShideShA nayanajalai rmama pAdau prakShAlya keshairamArkShIt|
2a072d005b	tvaM mAM nAchumbIH kintu yoShideShA svIyAgamanAdArabhya madIyapAdau chumbituM na vyaraMsta|
2a072e006b	tva ncha madIyottamA Nge ki nchidapi tailaM nAmardIH kintu yoShideShA mama charaNau sugandhitailenAmarddIt|
2a072f006f	atastvAM vyAharAmi, etasyA bahu pApamakShamyata tato bahu prIyate kintu yasyAlpapApaM kShamyate solpaM prIyate|
2a07300036	tataH paraM sa tAM babhAShe, tvadIyaM pApamakShamyata|
2a07310064	tadA tena sArddhaM ye bhoktum upavivishuste parasparaM vaktumArebhire, ayaM pApaM kShamate ka eShaH?
2a0732004f	kintu sa tAM nArIM jagAda, tava vishvAsastvAM paryyatrAsta tvaM kShemeNa vraja|
2a08010090	apara ncha yIshu rdvAdashabhiH shiShyaiH sArddhaM nAnAnagareShu nAnAgrAmeShu cha gachChan ishvarIyarAjatvasya susaMvAdaM prachArayituM prArebhe|
2a0802007f	tadA yasyAH sapta bhUtA niragachChan sA magdalInIti vikhyAtA mariyam herodrAjasya gR^ihAdhipateH hoShe rbhAryyA yohanA shUshAnA
2a0803008c	prabhR^itayo yA bahvyaH striyaH duShTabhUtebhyo rogebhyashcha muktAH satyo nijavibhUtI rvyayitvA tamasevanta, tAH sarvvAstena sArddham Asan|
2a080400a0	anantaraM nAnAnagarebhyo bahavo lokA Agatya tasya samIpe. amilan, tadA sa tebhya ekAM dR^iShTAntakathAM kathayAmAsa| ekaH kR^iShIbalo bIjAni vaptuM bahirjagAma,
2a0805006f	tato vapanakAle katipayAni bIjAni mArgapArshve petuH, tatastAni padatalai rdalitAni pakShibhi rbhakShitAni cha|
2a0806005f	katipayAni bIjAni pAShANasthale patitAni yadyapi tAnya NkuritAni tathApi rasAbhAvAt shushuShuH|
