2800000006	mathiH
290c0d0065	aparaJca te tasya vAkyadoSaM dharttAM katipayAn phirUzino herodIyAMzca lokAn tadantikaM preSayAmAsuH|
290c0e00d2	ta Agatya tamavadan, he guro bhavAn tathyabhASI kasyApyanurodhaM na manyate, pakSapAtaJca na karoti, yathArthata IzvarIyaM mArgaM darzayati vayametat prajAnImaH, kaisarAya karo deyo na vAM? vayaM dAsyAmo na vA?
290c0f0063	kintu sa teSAM kapaTaM jJAtvA jagAda, kuto mAM parIkSadhve? ekaM mudrApAdaM samAnIya mAM darzayata|
290c100074	tadA tairekasmin mudrApAde samAnIte sa tAn papraccha, atra likhitaM nAma mUrtti rvA kasya? te pratyUcuH, kaisarasya|
290c11007a	tadA yIzuravadat tarhi kaisarasya dravyANi kaisarAya datta, Izvarasya dravyANi tu IzvarAya datta; tataste vismayaM menire|
290c120053	atha mRtAnAmutthAnaM ye na manyante te sidUkino yIzoH samIpamAgatya taM papracchuH;
290c1300b6	he guro kazcijjano yadi niHsantatiH san bhAryyAyAM satyAM mriyate tarhi tasya bhrAtA tasya bhAryyAM gRhItvA bhrAtu rvaMzotpattiM kariSyati, vyavasthAmimAM mUsA asmAn prati vyalikhat|
290c14005b	kintu kecit sapta bhrAtara Asan, tatasteSAM jyeSThabhrAtA vivahya niHsantatiH san amriyata|
290c15006f	tato dvitIyo bhrAtA tAM striyamagRhaNat kintu sopi niHsantatiH san amriyata; atha tRtIyopi bhrAtA tAdRzobhavat|
290c16006a	itthaM saptaiva bhrAtarastAM striyaM gRhItvA niHsantAnAH santo'mriyanta, sarvvazeSe sApi strI mriyate sma|
290c170072	atha mRtAnAmutthAnakAle yadA ta utthAsyanti tadA teSAM kasya bhAryyA sA bhaviSyati? yataste saptaiva tAM vyavahan|
290c18004b	tato yIzuH pratyuvAca zAstram IzvarazaktiJca yUyamajJAtvA kimabhrAmyata na?
290c190069	mRtalokAnAmutthAnaM sati te na vivahanti vAgdattA api na bhavanti, kintu svargIyadUtAnAM sadRzA bhavanti|
290c1a00ba	punazca "aham ibrAhIma Izvara ishAka Izvaro yAkUbazcezvaraH" yAmimAM kathAM stambamadhye tiSThan Izvaro mUsAmavAdIt mRtAnAmutthAnArthe sA kathA mUsAlikhite pustake kiM yuSmAbhi rnApAThi?
290c1b0063	Izvaro jIvatAM prabhuH kintu mRtAnAM prabhu rna bhavati, tasmAddheto ryUyaM mahAbhrameNa tiSThatha|
290c1c00a9	etarhi ekodhyApaka etya teSAmitthaM vicAraM zuzrAva; yIzusteSAM vAkyasya saduttaraM dattavAn iti budvvA taM pRSTavAn sarvvAsAm AjJAnAM kA zreSThA? tato yIzuH pratyuvAca,
290c1d003f	"he isrAyellokA avadhatta, asmAkaM prabhuH paramezvara eka eva,
290c1e007f	yUyaM sarvvantaHkaraNaiH sarvvaprANaiH sarvvacittaiH sarvvazaktibhizca tasmin prabhau paramezvare prIyadhvaM," ityAjJA zreSThA|
290c1f0084	tathA "svaprativAsini svavat prema kurudhvaM," eSA yA dvitIyAjJA sA tAdRzI; etAbhyAM dvAbhyAm AjJAbhyAm anyA kApyAjJA zreSThA nAsti|
290c200075	tadA sodhyApakastamavadat, he guro satyaM bhavAn yathArthaM proktavAn yata ekasmAd IzvarAd anyo dvitIya Izvaro nAsti;
290c2100b6	aparaM sarvvAntaHkaraNaiH sarvvaprANaiH sarvvacittaiH sarvvazaktibhizca Izvare premakaraNaM tathA svamIpavAsini svavat premakaraNaJca sarvvebhyo homabalidAnAdibhyaH zraSThaM bhavati|
290c2200af	tato yIzuH subuddheriva tasyedam uttaraM zrutvA taM bhASitavAn tvamIzvarasya rAjyAnna dUrosi|itaH paraM tena saha kasyApi vAkyasya vicAraM karttAM kasyApi pragalbhatA na jAtA|
290c230079	anantaraM madhyemandiram upadizan yIzurimaM praznaM cakAra, adhyApakA abhiSiktaM (tArakaM) kuto dAyUdaH santAnaM vadanti?
290c2400bf	svayaM dAyUd pavitrasyAtmana AvezenedaM kathayAmAsa| yathA| "mama prabhumidaM vAkyavadat paramezvaraH| tava zatrUnahaM yAvat pAdapIThaM karomi na| tAvat kAlaM madIye tvaM dakSapArzv upAviza|"
290c250070	yadi dAyUd taM prabhUM vadati tarhi kathaM sa tasya santAno bhavitumarhati? itare lokAstatkathAM zrutvAnananduH|
290c26004c	tadAnIM sa tAnupadizya kathitavAn ye narA dIrghaparidheyAni haTTe vipanau ca
290c270058	lokakRtanamaskArAn bhajanagRhe pradhAnAsanAni bhojanakAle pradhAnasthAnAni ca kAGkSante;
290c280088	vidhavAnAM sarvvasvaM grasitvA chalAd dIrghakAlaM prArthayante tebhya upAdhyAyebhyaH sAvadhAnA bhavata; te'dhikatarAn daNDAn prApsyanti|
290c2900a8	tadanantaraM lokA bhANDAgAre mudrA yathA nikSipanti bhANDAgArasya sammukhe samupavizya yIzustadavaluloka; tadAnIM bahavo dhaninastasya madhye bahUni dhanAni nirakSipan|
290c2a004e	pazcAd ekA daridrA vidhavA samAgatya dvipaNamUlyAM mudraikAM tatra nirakSipat|
290c2b00ac	tadA yIzuH ziSyAn AhUya kathitavAn yuSmAnahaM yathArthaM vadAmi ye ye bhANDAgAre'smina dhanAni niHkSipanti sma tebhyaH sarvvebhya iyaM vidhavA daridrAdhikam niHkSipati sma|
290c2c007c	yataste prabhUtadhanasya kiJcit nirakSipan kintu dIneyaM svadinayApanayogyaM kiJcidapi na sthApayitvA sarvvasvaM nirakSipat|
290d010077	anantaraM mandirAd bahirgamanakAle tasya ziSyANAmekastaM vyAhRtavAn he guro pazyatu kIdRzAH pASANAH kIdRk ca nicayanaM|
290d020080	tadA yIzustam avadat tvaM kimetad bRhannicayanaM pazyasi? asyaikapASANopi dvitIyapASANopari na sthAsyati sarvve 'dhaHkSepsyante|
290d030083	atha yasmin kAle jaitungirau mandirasya sammukhe sa samupaviSTastasmin kAle pitaro yAkUb yohan Andriyazcaite taM rahasi papracchuH,
290d040071	etA ghaTanAH kadA bhaviSyanti? tathaitatsarvvAsAM siddhyupakramasya vA kiM cihnaM? tadasmabhyaM kathayatu bhavAn|
290d05005d	tato yAzustAn vaktumArebhe, kopi yathA yuSmAn na bhrAmayati tathAtra yUyaM sAvadhAnA bhavata|
290d060055	yataH khrISTohamiti kathayitvA mama nAmnAneke samAgatya lokAnAM bhramaM janayiSyanti;
290d070086	kintu yUyaM raNasya vArttAM raNADambaraJca zrutvA mA vyAkulA bhavata, ghaTanA etA avazyammAvinyaH; kintvApAtato na yugAnto bhaviSyati|
290d0800a8	dezasya vipakSatayA dezo rAjyasya vipakSatayA ca rAjyamutthAsyati, tathA sthAne sthAne bhUmikampo durbhikSaM mahAklezAzca samupasthAsyanti, sarvva ete duHkhasyArambhAH|
290d0900d2	kintu yUyam AtmArthe sAvadhAnAstiSThata, yato lokA rAjasabhAyAM yuSmAn samarpayiSyanti, tathA bhajanagRhe prahariSyanti; yUyaM madarthe dezAdhipAn bhUpAMzca prati sAkSyadAnAya teSAM sammukhe upasthApayiSyadhve|
290d0a0045	zeSIbhavanAt pUrvvaM sarvvAn dezIyAn prati susaMvAdaH pracArayiSyate|
290d0b011b	kintu yadA te yuSmAn dhRtvA samarpayiSyanti tadA yUyaM yadyad uttaraM dAsyatha, tadagra tasya vivecanaM mA kuruta tadarthaM kiJcidapi mA cintayata ca, tadAnIM yuSmAkaM manaHsu yadyad vAkyam upasthApayiSyate tadeva vadiSyatha, yato yUyaM na tadvaktAraH kintu pavitra AtmA tasya vaktA|
290d0c0082	tadA bhrAtA bhrAtaraM pitA putraM ghAtanArthaM parahasteSu samarpayiSyate, tathA patyAni mAtApitro rvipakSatayA tau ghAtayiSyanti|
290d0d0087	mama nAmahetoH sarvveSAM savidhe yUyaM jugupsitA bhaviSyatha, kintu yaH kazcit zeSaparyyantaM dhairyyam AlambiSyate saeva paritrAsyate|
290d0e00c3	dAniyelbhaviSyadvAdinA proktaM sarvvanAzi jugupsitaJca vastu yadA tvayogyasthAne vidyamAnaM drakSatha (yo janaH paThati sa budhyatAM) tadA ye yihUdIyadeze tiSThanti te mahIdhraM prati palAyantAM;
290d0f0070	tathA yo naro gRhopari tiSThati sa gRhamadhyaM nAvarohatu, tathA kimapi vastu grahItuM madhyegRhaM na pravizatu;
290d100050	tathA ca yo naraH kSetre tiSThati sopi svavastraM grahItuM parAvRtya na vrajatu|
290d110044	tadAnIM garbbhavatInAM stanyadAtrINAJca yoSitAM durgati rbhaviSyati|
290d120046	yuSmAkaM palAyanaM zItakAle yathA na bhavati tadarthaM prArthayadhvaM|
290d13007f	yatastadA yAdRzI durghaTanA ghaTiSyate tAdRzI durghaTanA IzvarasRSTeH prathamamArabhyAdya yAvat kadApi na jAtA na janiSyate ca|
290d1400cb	aparaJca paramezvaro yadi tasya samayasya saMkSepaM na karoti tarhi kasyApi prANabhRto rakSA bhavituM na zakSyati, kintu yAn janAn manonItAn akarot teSAM svamanonItAnAM hetoH sa tadanehasaM saMkSepsyati|
290d150098	anyacca pazyata khrISTotra sthAne vA tatra sthAne vidyate, tasminkAle yadi kazcid yuSmAn etAdRzaM vAkyaM vyAharati, tarhi tasmin vAkye bhaiva vizvasita|
290d1600b8	yatoneke mithyAkhrISTA mithyAbhaviSyadvAdinazca samupasthAya bahUni cihnAnyadbhutAni karmmANi ca darzayiSyanti; tathA yadi sambhavati tarhi manonItalokAnAmapi mithyAmatiM janayiSyanti|
290d17005c	pazyata ghaTanAtaH pUrvvaM sarvvakAryyasya vArttAM yuSmabhyamadAm, yUyaM sAvadhAnAstiSThata|
290d180073	aparaJca tasya klezakAlasyAvyavahite parakAle bhAskaraH sAndhakAro bhaviSyati tathaiva candrazcandrikAM na dAsyati|
290d19004b	nabhaHsthAni nakSatrANi patiSyanti, vyomamaNDalasthA grahAzca vicaliSyanti|
290d1a0064	tadAnIM mahAparAkrameNa mahaizvaryyeNa ca meghamAruhya samAyAntaM mAnavasutaM mAnavAH samIkSiSyante|
290d1b006b	anyacca sa nijadUtAn prahitya nabhobhUmyoH sImAM yAvad jagatazcaturdigbhyaH svamanonItalokAn saMgrahISyati|
290d1c00a5	uDumbarataro rdRSTAntaM zikSadhvaM yadoDumbarasya taro rnavInAH zAkhA jAyante pallavAdIni ca rnigacchanti, tadA nidAghakAlaH savidho bhavatIti yUyaM jJAtuM zaknutha|
290d1d003d	tadvad etA ghaTanA dRSTvA sa kAlo dvAryyupasthita iti jAnIta|
290d1e0058	yuSmAnahaM yathArthaM vadAmi, AdhunikalokAnAM gamanAt pUrvvaM tAni sarvvANi ghaTiSyante|
290d1f003d	dyAvApRthivyo rvicalitayoH satyo rmadIyA vANI na vicaliSyati|
290d20005f	aparaJca svargasthadUtagaNo vA putro vA tAtAdanyaH kopi taM divasaM taM daNDaM vA na jJApayati|
290d21006c	ataH sa samayaH kadA bhaviSyati, etajjJAnAbhAvAd yUyaM sAvadhAnAstiSThata, satarkAzca bhUtvA prArthayadhvaM;
290d2200c8	yadvat kazcit pumAn svanivezanAd dUradezaM prati yAtrAkaraNakAle dAseSu svakAryyasya bhAramarpayitvA sarvvAn sve sve karmmaNi niyojayati; aparaM dauvArikaM jAgarituM samAdizya yAti, tadvan naraputraH|
290d23005e	gRhapatiH sAyaMkAle nizIthe vA tRtIyayAme vA prAtaHkAle vA kadAgamiSyati tad yUyaM na jAnItha;
290d24004e	sa haThAdAgatya yathA yuSmAn nidritAn na pazyati, tadarthaM jAgaritAstiSThata|
290d250041	yuSmAnahaM yad vadAmi tadeva sarvvAn vadAmi, jAgaritAstiSThateti|
290e010096	tadA nistArotsavakiNvahInapUpotsavayorArambhasya dinadvaye 'vaziSTe pradhAnayAjakA adhyApakAzca kenApi chalena yIzuM dharttAM hantuJca mRgayAJcakrire;
290e02003d	kintu lokAnAM kalahabhayAdUcire, nacotsavakAla ucitametaditi|
290e0300c7	anantaraM baithaniyApure zimonakuSThino gRhe yozau bhotkumupaviSTe sati kAcid yoSit pANDarapASANasya sampuTakena mahArghyottamatailam AnIya sampuTakaM bhaMktvA tasyottamAGge tailadhArAM pAtayAJcakre|
290e040043	tasmAt kecit svAnte kupyantaH kathitavaMntaH kutoyaM tailApavyayaH?
290e0500a5	yadyetat taila vyakreSyata tarhi mudrApAdazatatrayAdapyadhikaM tasya prAptamUlyaM daridralokebhyo dAtumazakSyata, kathAmetAM kathayitvA tayA yoSitA sAkaM vAcAyuhyan|
290e060051	kintu yIzuruvAca, kuta etasyai kRcchraM dadAsi? mahyamiyaM karmmottamaM kRtavatI|
290e070095	daridrAH sarvvadA yuSmAbhiH saha tiSThanti, tasmAd yUyaM yadecchatha tadaiva tAnupakarttAM zaknutha, kintvahaM yubhAbhiH saha nirantaraM na tiSThAmi|
290e080060	asyA yathAsAdhyaM tathaivAkarodiyaM, zmazAnayApanAt pUrvvaM sametya madvapuSi tailam amarddayat|
290e0900a6	ahaM yuSmabhyaM yathArthaM kathayAmi, jagatAM madhye yatra yatra susaMvAdoyaM pracArayiSyate tatra tatra yoSita etasyAH smaraNArthaM tatkRtakarmmaitat pracArayiSyate|
290e0a0077	tataH paraM dvAdazAnAM ziSyANAmeka ISkariyotIyayihUdAkhyo yIzuM parakareSu samarpayituM pradhAnayAjakAnAM samIpamiyAya|
290e0b0083	te tasya vAkyaM samAkarNya santuSTAH santastasmai mudrA dAtuM pratyajAnata; tasmAt sa taM teSAM kareSu samarpaNAyopAyaM mRgayAmAsa|
290e0c00b1	anantaraM kiNvazUnyapUpotsavasya prathame'hani nistArotmavArthaM meSamAraNAsamaye ziSyAstaM papracchaH kutra gatvA vayaM nistArotsavasya bhojyamAsAdayiSyAmaH? kimicchati bhavAn?
290e0d0095	tadAnIM sa teSAM dvayaM prerayan babhASe yuvayoH puramadhyaM gatayoH sato ryo janaH sajalakumbhaM vahan yuvAM sAkSAt kariSyati tasyaiva pazcAd yAtaM;
290e0e008a	sa yat sadanaM pravekSyati tadbhavanapatiM vadataM, gururAha yatra saziSyohaM nistArotsavIyaM bhojanaM kariSyAmi, sA bhojanazAlA kutrAsti?
290e0f006d	tataH sa pariSkRtAM susajjitAM bRhatIcaJca yAM zAlAM darzayiSyati tasyAmasmadarthaM bhojyadravyANyAsAdayataM|
290e100072	tataH ziSyau prasthAya puraM pravizya sa yathoktavAn tathaiva prApya nistArotsavasya bhojyadravyANi samAsAdayetAm|
290e11003e	anantaraM yIzuH sAyaMkAle dvAdazabhiH ziSyaiH sArddhaM jagAma;
290e120099	sarvveSu bhojanAya propaviSTeSu sa tAnuditavAn yuSmAnahaM yathArthaM vyAharAmi, atra yuSmAkameko jano yo mayA saha bhuMkte mAM parakereSu samarpayiSyate|
290e13006c	tadAnIM te duHkhitAH santa ekaikazastaM praSTumArabdhavantaH sa kimahaM? pazcAd anya ekobhidadhe sa kimahaM?
290e140061	tataH sa pratyavadad eteSAM dvAdazAnAM yo jano mayA samaM bhojanApAtre pANiM majjayiSyati sa eva|
290e1500a0	manujatanayamadhi yAdRzaM likhitamAste tadanurUpA gatistasya bhaviSyati, kintu yo jano mAnavasutaM samarpayiSyate hanta tasya janmAbhAve sati bhadramabhaviSyat|
290e160094	aparaJca teSAM bhojanasamaye yIzuH pUpaM gRhItvezvaraguNAn anukIrtya bhaGktvA tebhyo dattvA babhASe, etad gRhItvA bhuJjIdhvam etanmama vigraharUpaM|
290e170059	anantaraM sa kaMsaM gRhItvezvarasya guNAn kIrttayitvA tebhyo dadau, tataste sarvve papuH|
290e180050	aparaM sa tAnavAdId bahUnAM nimittaM pAtitaM mama navInaniyamarUpaM zoNitametat|
290e190083	yuSmAnahaM yathArthaM vadAmi, Izvarasya rAjye yAvat sadyojAtaM drAkSArasaM na pAsyAmi, tAvadahaM drAkSAphalarasaM puna rna pAsyAmi|
290e1a0041	tadanantaraM te gItamekaM saMgIya bahi rjaitunaM zikhariNaM yayuH
290e1b00be	atha yIzustAnuvAca nizAyAmasyAM mayi yuSmAkaM sarvveSAM pratyUho bhaviSyati yato likhitamAste yathA, meSANAM rakSakaJcAhaM prahariSyAmi vai tataH| meSANAM nivaho nUnaM pravikIrNo bhaviSyati|
290e1c003a	kantu madutthAne jAte yuSmAkamagre'haM gAlIlaM vrajiSyAmi|
290e1d005c	tadA pitaraH pratibabhASe, yadyapi sarvveSAM pratyUho bhavati tathApi mama naiva bhaviSyati|
290e1e0086	tato yIzuruktAvAn ahaM tubhyaM tathyaM kathayAmi, kSaNAdAyAmadya kukkuTasya dvitIyavAraravaNAt pUrvvaM tvaM vAratrayaM mAmapahnoSyase|
290e1f0084	kintu sa gADhaM vyAharad yadyapi tvayA sArddhaM mama prANo yAti tathApi kathamapi tvAM nApahnoSye; sarvve'pItare tathaiva babhASire|
290e200077	aparaJca teSu getzimAnInAmakaM sthAna gateSu sa ziSyAn jagAda, yAvadahaM prArthaye tAvadatra sthAne yUyaM samupavizata|
290e210065	atha sa pitaraM yAkUbaM yohanaJca gRhItvA vavrAja; atyantaM trAsito vyAkulitazca tebhyaH kathayAmAsa,
290e22004a	nidhanakAlavat prANo me'tIva daHkhameti, yUyaM jAgratotra sthAne tiSThata|
290e230083	tataH sa kiJciddUraM gatvA bhUmAvadhomukhaH patitvA prArthitavAnetat, yadi bhavituM zakyaM tarhi duHkhasamayoyaM matto dUrIbhavatu|
290e240089	aparamuditavAn he pita rhe pitaH sarvveM tvayA sAdhyaM, tato hetorimaM kaMsaM matto dUrIkuru, kintu tan mamecchAto na tavecchAto bhavatu|
290e250079	tataH paraM sa etya tAn nidritAn nirIkSya pitaraM provAca, zimon tvaM kiM nidrAsi? ghaTikAmekAm api jAgarituM na zaknoSi?
290e260074	parIkSAyAM yathA na patatha tadarthaM sacetanAH santaH prArthayadhvaM; mana udyuktamiti satyaM kintu vapurazaktikaM|
290e270030	atha sa punarvrajitvA pUrvvavat prArthayAJcakre|
290e28008e	parAvRtyAgatya punarapi tAn nidritAn dadarza tadA teSAM locanAni nidrayA pUrNAni, tasmAttasmai kA kathA kathayitavyA ta etad boddhuM na zekuH|
290e2900a6	tataHparaM tRtIyavAraM Agatya tebhyo 'kathayad idAnImapi zayitvA vizrAmyatha? yatheSTaM jAtaM, samayazcopasthitaH pazyata mAnavatanayaH pApilokAnAM pANiSu samarpyate|
290e2a0059	uttiSThata, vayaM vrajAmo yo jano mAM parapANiSu samarpayiSyate pazyata sa samIpamAyAtaH|
290e2b00bb	imAM kathAM kathayati sa, etarhidvAdazAnAmeko yihUdA nAmA ziSyaH pradhAnayAjakAnAm upAdhyAyAnAM prAcInalokAnAJca sannidheH khaGgalaguDadhAriNo bahulokAn gRhItvA tasya samIpa upasthitavAn|
290e2c007c	aparaJcAsau parapANiSu samarpayitA pUrvvamiti saGketaM kRtavAn yamahaM cumbiSyAmi sa evAsau tameva dhRtvA sAvadhAnaM nayata|
290e2d0052	ato hetoH sa Agatyaiva yozoH savidhaM gatvA he guro he guro, ityuktvA taM cucumba|
290e2e002c	tadA te tadupari pANInarpayitvA taM dadhnuH|
290e2f006f	tatastasya pArzvasthAnAM lokAnAmekaH khaGgaM niSkoSayan mahAyAjakasya dAsamekaM prahRtya tasya karNaM ciccheda|
290e300057	pazcAd yIzustAn vyAjahAra khaGgAn laguDAMzca gRhItvA mAM kiM cauraM dharttAM samAyAtAH?
290e310090	madhyemandiraM samupadizan pratyahaM yuSmAbhiH saha sthitavAnatahaM, tasmin kAle yUyaM mAM nAdIdharata, kintvanena zAstrIyaM vacanaM sedhanIyaM|
290e320030	tadA sarvve ziSyAstaM parityajya palAyAJcakrire|
290e330056	athaiko yuvA mAnavo nagnakAye vastramekaM nidhAya tasya pazcAd vrajan yuvalokai rdhRto
290e340023	vastraM vihAya nagnaH palAyAJcakre|
290e350091	aparaJca yasmin sthAne pradhAnayAjakA upAdhyAyAH prAcInalokAzca mahAyAjakena saha sadasi sthitAstasmin sthAne mahAyAjakasya samIpaM yIzuM ninyuH|
290e360063	pitaro dUre tatpazcAd itvA mahAyAjakasyATTAlikAM pravizya kiGkaraiH sahopavizya vahnitApaM jagrAha|
290e37006d	tadAnIM pradhAnayAjakA mantriNazca yIzuM ghAtayituM tatprAtikUlyena sAkSiNo mRgayAJcakrire, kintu na prAptAH|
290e380046	anekaistadviruddhaM mRSAsAkSye dattepi teSAM vAkyAni na samagacchanta|
290e39004e	sarvvazeSe kiyanta utthAya tasya prAtikUlyena mRSAsAkSyaM dattvA kathayAmAsuH,
290e3a0084	idaM karakRtamandiraM vinAzya dinatrayamadhye punaraparam akarakRtaM mandiraM nirmmAsyAmi, iti vAkyam asya mukhAt zrutamasmAbhiriti|
290e3b002c	kintu tatrApi teSAM sAkSyakathA na saGgAtAH|
290e3c007d	atha mahAyAjako madhyesabham utthAya yIzuM vyAjahAra, ete janAstvayi yat sAkSyamaduH tvametasya kimapyuttaraM kiM na dAsyasi?
290e3d0086	kintu sa kimapyuttaraM na datvA maunIbhUya tasyau; tato mahAyAjakaH punarapi taM pRSTAvAn tvaM saccidAnandasya tanayo 'bhiSiktastratA?
290e3e008e	tadA yIzustaM provAca bhavAmyaham yUyaJca sarvvazaktimato dakSINapArzve samupavizantaM megha mAruhya samAyAntaJca manuSyaputraM sandrakSyatha|
290e3f002f	tadA mahAyAjakaH svaM vamanaM chitvA vyAvaharat
290e400083	kimasmAkaM sAkSibhiH prayojanam? IzvaranindAvAkyaM yuSmAbhirazrAvi kiM vicArayatha? tadAnIM sarvve jagadurayaM nidhanadaNDamarhati|
290e410091	tataH kazcit kazcit tadvapuSi niSThIvaM nicikSepa tathA tanmukhamAcchAdya capeTena hatvA gaditavAn gaNayitvA vada, anucarAzca capeTaistamAjaghnuH
290e42004b	tataH paraM pitare'TTAlikAdhaHkoSThe tiSThati mahAyAjakasyaikA dAsI sametya
290e430067	taM vihnitApaM gRhlantaM vilokya taM sunirIkSya babhASe tvamapi nAsaratIyayIzoH saGginAm eko jana AsIH|
290e440083	kintu sopahnutya jagAda tamahaM na vadmi tvaM yat kathayami tadapyahaM na buddhye| tadAnIM pitare catvaraM gatavati kukkuTo rurAva|
290e450049	athAnyA dAsI pitaraM dRSTvA samIpasthAn janAn jagAda ayaM teSAmeko janaH|
290e460097	tataH sa dvitIyavAram apahnutavAn pazcAt tatrasthA lokAH pitaraM procustvamavazyaM teSAmeko janaH yatastvaM gAlIlIyo nara iti tavoccAraNaM prakAzayati|
290e470054	tadA sa zapathAbhizApau kRtvA provAca yUyaM kathAM kathayatha taM naraM na jAne'haM|
290e4800b0	tadAnIM dvitIyavAraM kukkuTo 'rAvIt| kukkuTasya dvitIyaravAt pUrvvaM tvaM mAM vAratrayam apahnoSyasi, iti yadvAkyaM yIzunA samuditaM tat tadA saMsmRtya pitaro roditum Arabhata|
290f0100a0	atha prabhAte sati pradhAnayAjakAH prAJca upAdhyAyAH sarvve mantriNazca sabhAM kRtvA yIzuM bandhayitva pIlAtAkhyasya dezAdhipateH savidhaM nItvA samarpayAmAsuH|
290f02005c	tadA pIlAtastaM pRSTavAn tvaM kiM yihUdIyalokAnAM rAjA? tataH sa pratyuktavAn satyaM vadasi|
290f03005d	aparaM pradhAnayAjakAstasya bahuSu vAkyeSu doSamAropayAJcakruH kintu sa kimapi na pratyuvAca|
290f04006e	tadAnIM pIlAtastaM punaH papraccha tvaM kiM nottarayasi? pazyaite tvadviruddhaM katiSu sAdhyeSu sAkSaM dadati|
290f05003f	kantu yIzustadApi nottaraM dadau tataH pIlAta AzcaryyaM jagAma|
290f06005c	aparaJca kArAbaddhe kastiMzcit jane tanmahotsavakAle lokai ryAcite dezAdhipatistaM mocayati|
290f07006d	ye ca pUrvvamupaplavamakArSurupaplave vadhamapi kRtavantasteSAM madhye tadAnoM barabbAnAmaka eko baddha AsIt|
290f080062	ato hetoH pUrvvAparIyAM rItikathAM kathayitvA lokA uccairuvantaH pIlAtasya samakSaM nivedayAmAsuH|
290f090057	tadA pIlAtastAnAcakhyau tarhi kiM yihUdIyAnAM rAjAnaM mocayiSyAmi? yuSmAbhiH kimiSyate?
290f0a0040	yataH pradhAnayAjakA IrSyAta eva yIzuM samArpayanniti sa viveda|
290f0b0057	kintu yathA barabbAM mocayati tathA prArthayituM pradhAnayAjakA lokAn pravarttayAmAsuH|
290f0c0069	atha pIlAtaH punaH pRSTavAn tarhi yaM yihUdIyAnAM rAjeti vadatha tasya kiM kariSyAmi yuSmAbhiH kimiSyate?
290f0d0032	tadA te punarapi proccaiH procustaM kruze vedhaya|
290f0e006e	tasmAt pIlAtaH kathitavAn kutaH? sa kiM kukarmma kRtavAn? kintu te punazca ruvanto vyAjahrustaM kruze vedhaya|
290f0f0079	tadA pIlAtaH sarvvAllokAn toSayitumicchan barabbAM mocayitvA yIzuM kazAbhiH prahRtya kruze veddhuM taM samarpayAmbabhUva|
290f100057	anantaraM sainyagaNo'TTAlikAm arthAd adhipate rgRhaM yIzuM nItvA senAnivahaM samAhuyat|
290f110056	pazcAt te taM dhUmalavarNavastraM paridhApya kaNTakamukuTaM racayitvA zirasi samAropya
290f120041	he yihUdIyAnAM rAjan namaskAra ityuktvA taM namaskarttAmArebhire|
290f130068	tasyottamAGge vetrAghAtaM cakrustadgAtre niSThIvaJca nicikSipuH, tathA tasya sammukhe jAnupAtaM praNomuH
290f140068	itthamupahasya dhUmravarNavastram uttAryya tasya vastraM taM paryyadhApayan kruze veddhuM bahirninyuzca|
290f15008e	tataH paraM sekandarasya ruphasya ca pitA zimonnAmA kurINIyaloka ekaH kutazcid grAmAdetya pathi yAti taM te yIzoH kruzaM voDhuM balAd dadhnuH|
290f16003a	atha gulgaltA arthAt ziraHkapAlanAmakaM sthAnaM yIzumAnIya
290f170049	te gandharasamizritaM drAkSArasaM pAtuM tasmai daduH kintu sa na jagrAha|
290f180041	tasmin kruze viddhe sati teSAmekaikazaH kiM prApsyatIti nirNayAya
290f190033	tasya paridheyAnAM vibhAgArthaM guTikApAtaM cakruH|
290f1a0053	aparam eSa yihUdIyAnAM rAjeti likhitaM doSapatraM tasya ziraUrdvvam AropayAJcakruH|
290f1b0034	tasya vAmadakSiNayo rdvau caurau kruzayo rvividhAte|
290f1c005d	tenaiva "aparAdhijanaiH sArddhaM sa gaNito bhaviSyati," iti zAstroktaM vacanaM siddhamabhUta|
290f1d008f	anantaraM mArge ye ye lokA gamanAgamane cakruste sarvva eva zirAMsyAndolya nindanto jagaduH, re mandiranAzaka re dinatrayamadhye tannirmmAyaka,
290f1e0022	adhunAtmAnam avitvA kruzAdavaroha|
290f1f0073	kiJca pradhAnayAjakA adhyApakAzca tadvat tiraskRtya parasparaM cacakSire eSa parAnAvat kintu svamavituM na zaknoti|
290f2000b4	yadIsrAyelo rAjAbhiSiktastrAtA bhavati tarhyadhunaina kruzAdavarohatu vayaM tad dRSTvA vizvasiSyAmaH; kiJca yau lokau tena sArddhaM kruze 'vidhyetAM tAvapi taM nirbhartsayAmAsatuH|
290f210040	atha dvitIyayAmAt tRtIyayAmaM yAvat sarvvo dezaH sAndhakArobhUt|
290f220075	tatastRtIyaprahare yIzuruccairavadat elI elI lAmA zivaktanI arthAd "he madIza madIza tvaM paryyatyAkSIH kuto hi mAM?"
290f23004e	tadA samIpasthalokAnAM kecit tadvAkyaM nizamyAcakhyuH pazyaiSa eliyam AhUyati|
290f240096	tata eko jano dhAvitvAgatya spaJje 'mlarasaM pUrayitvA taM naDAgre nidhAya pAtuM tasmai dattvAvadat tiSTha eliya enamavarohayitum eti na veti pazyAmi|
290f250027	atha yIzuruccaiH samAhUya prANAn jahau|
290f260041	tadA mandirasya javanikordvvAdadhaHryyantA vidIrNA dvikhaNDAbhUt|
290f270082	kiJca itthamuccairAhUya prANAn tyajantaM taM dRSdvA tadrakSaNAya niyukto yaH senApatirAsIt sovadat naroyam Izvaraputra iti satyam|
