010000000a	Бытие
0d012c006b	и умер Бела, и воцарился по нем Иовав, сын Зераха, из Восоры.
0d012d0069	И умер Иовав, и воцарился по нем Хушам, из земли Феманитян.
0d012e00cf	И умер Хушам, и воцарился по нем Гадад, сын Бедадов, который поразил Мадианитян на поле Моава; имя городу его: Авив.
0d012f005a	И умер Гадад, и воцарился по нем Самла, из Масреки.
0d01300071	И умер Самла, и воцарился по нем Саул из Реховофа, что при реке.
0d01310061	И умер Саул, и воцарился по нем Баал-Ханан, сын Ахбора.
0d013200d4	И умер Баал-Ханан, и воцарился по нем Гадар; имя городу его Пау; имя жене его Мегетавеель, дочь Матреда, дочь Мезагава.
0d013300a8	И умер Гадар. И были старейшины у Едома: старейшина Фимна, старейшина Алва, старейшина Иетеф,
0d01340062	старейшина Оливема, старейшина Эла, старейшина Пинон,
0d01350064	старейшина Кеназ, старейшина Феман, старейшина Мивцар,
0d01360075	старейшина Магдиил, старейшина Ирам. Вот старейшины Идумейские.
0d02010075	Вот сыновья Израиля: Рувим, Симеон, Левий, Иуда, Иссахар, Завулон,
0d0202004b	Дан, Иосиф, Вениамин, Неффалим, Гад и Асир.
0d0203011a	Сыновья Иуды: Ир, Онан и Силом, - трое родились у него от дочери Шуевой, Хананеянки. И был Ир, первенец Иудин, не благоугоден в очах Господа, и Он умертвил его.
0d02040092	И Фамарь, невестка его, родила ему Фареса и Зару. Всех сыновей у Иуды было пятеро.
0d02050036	Сыновья Фареса: Есром и Хамул.
0d0206006e	Сыновья Зары: Зимри, Ефан, Еман, Халкол и Дара; всех их пятеро.
0d02070074	Сыновья Харми: Ахар, наведший беду на Израиля, нарушив заклятие.
0d02080020	Сын Ефана: Азария.
0d02090079	Сыновья Есрома, которые родились у него: Иерахмеил, Арам и Хелувай.
0d020a0080	Арам же родил Аминадава; Аминадав родил Наассона, князя сынов Иудиных;
0d020b004d	Наассон родил Салмона, Салмон родил Вооза;
0d020c0041	Вооз родил Овида, Овид родил Иессея;
0d020d0087	Иессей родил первенца своего Елиава, второго - Аминадава, третьего - Самму,
0d020e0047	четвертого - Нафанаила, пятого - Раддая,
0d020f003d	шестого - Оцема, седьмого - Давида.
0d0210007d	Сестры их: Саруия и Авигея. Сыновья Саруии: Авесса, Иоав и Азаил, трое.
0d0211006a	Авигея родила Амессу; отец же Амессы - Иефер, Измаильтянин.
0d021200b0	Халев, сын Есрома, родил от Азувы, жены своей, и от Иериофы, и вот сыновья его: Иешер, Шовав и Ардон.
0d0213007a	И умерла Азува; и взял себе Халев жену Ефрафу, и она родила ему Хура.
0d02140043	Хур родил Урия, Урий родил Веселиила.
0d021500c5	После Есром вошел к дочери Махира, отца Галаадова, и взял ее, будучи шестидесяти лет, и она родила ему Сегува.
0d02160082	Сегув родил Иаира, и было у него двадцать три города в земле Галаадской.
0d02170112	Но Гессуряне и Сирияне взяли у них селения Иаира, Кенаф и зависящие от него города, - шестьдесят городов. Все эти города сыновей Махира, отца Галаадова.
0d02180096	По смерти Есрома в Халев-Ефрафе, жена Есромова, Авия, родила ему Ашхура, отца Фекои.
0d021900a0	Сыновья Иерахмеила, первенца Есромова, были: первенец Рам, за ним Вуна, Орен, Оцем и Ахия.
0d021a006e	Была у Иерахмеила и другая жена, имя ее Афара; она мать Онама.
0d021b006f	Сыновья Рама, первенца Иерахмеилова, были: Маац, Иамин и Екер.
0d021c0076	Сыновья Онама были: Шаммай и Иада. Сыновья Шаммая: Надав и Авишур.
0d021d0072	Имя жене Авишуровой Авихаиль, и она родила ему Ахбана и Молида.
0d021e0061	Сыновья Надава: Селед и Афаим. И умер Селед бездетным.
0d021f005c	Сын Афаима: Иший. Сын Ишия: Шешан. Сын Шешана: Ахлай.
0d0220007b	Сыновья Иады, брата Шаммаева: Иефер и Ионафан. Иефер умер бездетным.
0d02210064	Сыновья Ионафана: Пелеф и Заза. Это сыновья Иерахмеила.
0d02220098	У Шешана не было сыновей, а только дочери. У Шешана был раб, Египтянин, имя его Иарха;
0d0223007f	Шешан отдал дочь свою Иархе рабу своему в жену: и она родила ему Аттая.
0d02240047	Аттай родил Нафана, Нафан родил Завада;
0d02250045	Завад родил Ефлала, Ефлал родил Овида;
0d0226003f	Овид родил Иеуя, Иеуй родил Азарию;
0d02270049	Азария родил Хелеца, Хелец родил Елеасу;
0d0228004d	Елеаса родил Сисмая, Сисмай родил Саллума;
0d02290051	Саллум родил Иекамию, Иекамия родил Елишаму.
0d022a00b7	Сыновья Халева, брата Иерахмеилова: Меша, первенец его, - он отец Зифа; и сыновья Мареши, отца Хеврона.
0d022b0057	Сыновья Хеврона: Корей и Таппуах, и Рекем и Шема.
0d022c0067	Шема родил Рахама, отца Иоркеамова, а Рекем родил Шаммая.
0d022d0045	Сын Шаммая Маон, а Маон - отец Беф-Цура.
0d022e008b	И Ефа, наложница Халевова, родила Харана, Моцу и Газеза. И Харан родил Газеза.
0d022f0060	Сыновья Иегдая: Регем, Иофам, Гешан, Пелет, Ефа и Шааф.
0d0230005d	Наложница Халевова, Мааха, родила Шевера и Фирхану;
0d023100a0	она же родила Шаафа, отца Мадманны, Шеву, отца Махбены и отца Гивеи. Дочь же Халева - Ахса.
0d02320081	Вот сыновья Халева: сын Хур, первенец Ефрафы; Шовал, отец Кириаф-Иарима;
0d0233004f	Салма, отец Вифлеема; Хареф, отец Бефгадера.
0d02340079	У Шовала, отца Кириаф-Иарима, были сыновья: Гарое, Хаци, Галменюхот.
0d023500b6	Племена Кириаф-Иарима: Ифрияне, Футияне, Шумафане и Мидраитяне. От сих произошли Цоряне и Ештаоляне.
0d023600a4	Сыновья Салмы: Вифлеемляне и Нетофафяне, венец дома Иоавова и половина Менухотян - Цоряне,
0d023700d3	и племена Соферийцев, живших в Иабеце, Тирейцы, Шимейцы, Сухайцы: это Кинеяне, происшедшие от Хамафа, отца Бетрехава.
0d030100f0	Сыновья Давида, родившиеся у него в Хевроне, были: первенец Амнон, от Ахиноамы Изреелитянки; второй - Далуия, от Авигеи Кармилитянки;
0d030200a9	третий - Авессалом, сын Маахи, дочери Фалмая, царя Гессурского; четвертый - Адония, сын Аггифы;
0d0303006e	пятый - Сафатия, от Авиталы; шестой Ифреам, от Аглаи, жены его,
0d030400e4	шесть родившихся у него в Хевроне; царствовал же он там семь лет и шесть месяцев; а тридцать три года царствовал в Иерусалиме.
0d030500bc	А сии родились у него в Иерусалиме: Шима, Шовав, Нафан и Соломон, четверо от Вирсавии, дочери Аммииловой;
0d0306002d	Ивхар, Елишама, Елифелет,
0d03070023	Ногаг, Нефег, Иафиа,
0d03080042	Елишама, Елиада и Елифелет девятеро.
0d0309007b	Вот все сыновья Давида, кроме сыновей от наложниц. Сестра их Фамарь.
0d030a0071	Сын Соломона Ровоам; его сын Авия, его сын Аса, его сын Иосафат,
0d030b004d	его сын Иорам, его сын Охозия, его сын Иоас,
0d030c0051	его сын Амасия, его сын Азария, его сын Иофам,
0d030d0053	его сын Ахаз, его сын Езекия, его сын Манассия,
0d030e0031	его сын Амон, его сын Иосия.
0d030f0092	Сыновья Иосии: первенец Иоахаз, второй Иоаким, третий Седекия, четвертый Селлум.
0d0310005c	Сыновья Иоакима: Иехония, сын его; Седекия, сын его.
0d03110049	Сыновья Иехонии: Асир, Салафиил, сын его;
0d0312005f	Малкирам, Федаия, Шенацар, Иезекия, Гошама и Савадия.
0d031300b7	И сыновья Федаии: Зоровавель и Шимей. Сыновья же Зоровавеля: Мешуллам и Ханания, и Шеломиф, сестра их,
0d03140064	и еще пять: Хашува, Огел, Берехия, Хасадия и Иушав-Хесед.
0d031500af	И сыновья Ханании: Фелатия и Исаия; его сын Рефаия, его сын Арнан, его сын Овадия, его сын Шехания.
0d03160095	Сын Шехании: Шемаия; сыновья Шемаии: Хаттуш, Игеал, Бариах, Неария и Шафат, шестеро.
0d03170058	Сыновья Неарии: Елиоенай, Езекия и Азрикам, трое.
0d03180098	Сыновья Елиоеная: Годавьягу, Елеашив, Фелаия, Аккув, Иоханан, Делаия и Анани, семеро.
0d04010052	Сыновья Иуды: Фарес, Есром, Харми, Хур и Шовал.
0d04020092	Реаия, сын Шовала, родил Иахафа; Иахаф родил Ахума и Лагада: от них племена Цорян.
0d04030088	И сии сыновья Етама: Изреель, Ишма и Идбаш, и сестра их, по имени Гацлелпони,
0d0404009e	Пенуел, отец Гедора, и Езер, отец Хуша. Вот сыновья Хура, первенца Ефрафы, отца Вифлеема.
0d04050057	У Ахшура, отца Фекои, были две жены: Хела и Наара.
0d04060081	И родила ему Наара Ахузама, Хефера, Фимни и Ахашфари; это сыновья Наары.
0d0407003e	Сыновья Хелы: Цереф, Цохар и Ефнан.
0d0408006c	Коц родил: Анува и Цовева и племена Ахархела, сына Гарумова.
0d040900a7	Иавис был знаменитее своих братьев. Мать дала ему имя Иавис, сказав: я родила его с болезнью.
0d040a0197	И воззвал Иавис к Богу Израилеву и сказал: о, если бы Ты благословил меня Твоим благословением, распространил пределы мои, и рука Твоя была со мною, охраняя меня от зла, чтобы я не горевал!... И Бог ниспослал ему, чего он просил.
0d040b0061	Хелув же, брат Шухи, родил Махира; он есть отец Ештона.
0d040c00c5	Ештон родил Беф-Рафу, Пасеаха и Техинну, отца города Нааса брата Селома Кенезиина и Ахазова; это жители Рехи.
0d040d0065	Сыновья Кеназа: Гофониил и Сераия. Сын Гофониила: Хафаф.
0d040e00c0	Меонофай родил Офру, а Сераия родил Иоава, родоначальника долины плотников, потому что они были плотники.
0d040f0070	Сыновья Халева, сына Иефонниина: Ир, Ила и Наам. Сын Илы: Кеназ.
0d04100056	Сыновья Иегаллелела: Зиф, Зифа, Фирия и Асареел.
0d041100a8	Сыновья Езры: Иефер, Меред, Ефер и Иалон; Иефер же родил Мерома, Шаммая и Ишбаха, отца Ешфемои.
0d0412010c	И жена его Иудия родила Иереда, отца Гедора, и Хевера, отца Сохо, и Иекуфиила, отца Занаоха. Это сыновья Бифьи, дочери фараоновой, которую взял Меред.
0d0413008f	Сыновья жены его Годии, сестры Нахама, отца Кеилы: Гарми и Ешфемоа - Маахатянин.
0d0414008f	Сыновья Симеона: Амнон, Ринна, Бенханан и Филон. Сыновья Ишия: Зохеф и Бензохеф.
0d041500c9	Сыновья Силома, сына Иудина: Ир, отец Лехи, и Лаеда, отец Мареши, и семейства выделывавших виссон, из дома Ашбеи,
0d041600c7	и Иоким, и жители Хозевы, и Иоаш и Сараф, которые имели владение в Моаве, и Иашувилехем; но это события древние.
0d04170098	Они были горшечники, и жили при садах и в огородах; у царя для работ его жили они там.
0d0418005c	Сыновья Симеона: Немуил, Иамин, Иарив, Зерах и Саул.
0d04190051	Шаллум сын его; его сын Мивсам; его сын Мишма.
0d041a006d	Сыновья Мишмы: Хаммуил, сын его; его сын Закур; его сын Шимей.
0d041b0112	У Шимея было шестнадцать сыновей и шесть дочерей; у братьев же его сыновей было немного, и все племя их не так было многочисленно, как племя сынов Иуды.
0d041c0048	Они жили в Вирсавии, Моладе, Хацаршуале,
0d041d002e	в Билге, в Ецеме, в Фоладе,
0d041e0034	в Вефуиле, в Хорме, в Циклаге,
0d041f00ac	в Беф-Маркавофе, в Хацарсусиме, в Беф-Биреи и в Шаариме. Вот города их до царствования Давидова,
0d04200068	с селами их: Етам, Аин, Риммон, Фокен и Ашан, - пять городов.
0d042100c0	И все селения их, которые находились вокруг сих городов до Ваала; вот места жительства их и родословия их.
0d04220042	Мешовав, Иамлех и Иосия, сын Амассии,
0d0423005c	Иоил и Иегу, сын Иошиви, сына Сераии, сына Асиилова,
0d04240065	Елиоенай, Иакова, Ишохаия, Асаия, Адиил, Ишимиил и Ванея,
0d04250073	и Зиза, сын Шифия, сын Аллона, сын Иедаии, сын Шимрия, сын Шемаии.
0d042600a5	Сии поименованные были князьями племен своих, и дом отцов их разделился на многие отрасли.
0d042700a4	Они доходили до Герары и до восточной стороны долины, чтобы найти пастбища для стад своих;
0d042800e5	и нашли пастбища тучные и хорошие и землю обширную, спокойную и безопасную, потому что до них жило там только немного Хамитян.
0d04290174	И пришли сии, по именам записанные, во дни Езекии, царя Иудейского, и перебили кочующих и оседлых, которые там находились, и истребили их навсегда и поселились на месте их, ибо там были пастбища для стад их.
0d042a00e8	Из них же, из сынов Симеоновых, пошли к горе Сеир пятьсот человек: Фелатия, Неария, Рефаия и Узиил, сыновья Ишия, были во главе их;
0d042b0079	и побили уцелевший там остаток Амаликитян, и живут там до сего дня.
0d05010168	Сыновья Рувима, первенца Израилева, - он первенец; но, когда осквернил он постель отца своего, первенство его отдано сыновьям Иосифа, сына Израилева, с тем однакож, чтобы не писаться им первородными;
0d050200b7	потому что Иуда был сильнейшим из братьев своих, и вождь от него, но первенство перенесено на Иосифа.
0d05030075	Сыновья Рувима, первенца Израилева: Ханох, Фаллу, Хецрон и Харми.
0d05040065	Сыновья Иоиля: Шемая, сын его; его сын Гог, его сын Шимей,
0d05050049	его сын Миха, его сын Реаия, его сын Ваал,
0d050600a9	его сын Беера, которого отвел в плен Феглафелласар, царь Ассирийский. Он был князем Рувимлян.
0d050700a6	И братья его, по племенам их, по родословному списку их, были: главный Иеиель, потом Захария,
0d0508008f	и Бела, сын Азаза, сына Шемы, сына Иоиля. Он обитал в Ароере до Нево и Ваал-Меона;
0d050900e0	а к востоку он обитал до входа в пустыню, идущую от реки Евфрата, потому что стада их были многочисленны в земле Галаадской.
0d050a00e3	Во дни Саула они вели войну с Агарянами, которые пали от рук их, а они стали жить в шатрах и по всей восточной стороне Галаада.
0d050b0068	Сыновья Гада жили напротив их в земле Васанской до Салхи:
0d050c0071	в Васане Иоиль был главный, Шафан второй, потом Иаанай и Шафат.
0d050d009d	Братьев их с семействами их было семь: Михаил, Мешуллам, Шева, Иорай, Иаакан, Зия и Евер.
0d050e00c8	Вот сыновья Авихаила, сына Хурия, сына Иароаха, сына Галаада, сына Михаила, сына Иешишая, сына Иахдо, сына Буза.
0d050f0062	Ахи, сын Авдиила, сына Гуниева, был главою своего рода.
0d051000b8	Они жили в Галааде, в Васане и в зависящих от него городах и во всех окрестностях Сарона, до исхода их.
0d051100a5	Все они перечислены во дни Иоафама, царя Иудейского, и во дни Иеровоама, царя Израильского.
0d0512016e	У потомков Рувима и Гада и полуплемени Манассиина было людей воинственных, мужей, носящих щит и меч, стреляющих из лука и приученных к битве, сорок четыре тысячи семьсот шестьдесят, выходящих на войну.
0d05130061	И воевали они с Агарянами, Иетуром, Нафишем и Надавом.
0d0514014e	И подана была им помощь против них, и преданы были в руки их Агаряне и все, что у них было, потому что они во время сражения воззвали к Богу, и Он услышал их, за то, что они уповали на Него.
0d051500ea	И взяли они стада их: верблюдов пятьдесят тысяч, из мелкого скота двести пятьдесят тысяч, ослов две тысячи, и сто тысяч душ людей,
0d051600b8	потому что много пало убитых, так как от Бога было сражение сие. И жили они на месте их до переселения.
0d051700d0	Потомки полуколена Манассиина жили в той земле, от Васана до Ваал-Ермона и Сенира и до горы Ермона; и их было много.
0d051800e1	И вот главы поколений их: Ефер, Ишьи, Елиил, Азриил, Иеремия, Годавия и Иагдиил, мужи мощные, мужи именитые, главы родов своих.
0d051900ec	Но когда они согрешили против Бога отцов своих и стали блудно ходить вслед богов народов той земли, которых изгнал Бог от лица их,
0d051a01a2	тогда Бог Израилев возбудил дух Фула, царя Ассирийского, и дух Феглафелласара, царя Ассирийского, и он выселил Рувимлян и Гадитян и половину колена Манассиина, и отвел их в Халах, и Хавор, и Ару, и на реку Гозан, - где они до сего дня.
0d06010042	Сыновья Левия: Гирсон, Кааф и Мерари.
0d0602004e	Сыновья Каафа: Амрам, Ицгар, Хеврон и Узиил.
0d06030095	Дети Амрама: Аарон, Моисей и Мариам. Сыновья Аарона: Надав, Авиуд, Елеазар и Ифамар.
0d0604004f	Елеазар родил Финееса, Финеес родил Авишуя;
0d06050047	Авишуй родил Буккия, Буккий родил Озию;
0d0606004f	Озия родил Зерахию, Зерахия родил Мераиофа;
0d0607004f	Мераиоф родил Амарию, Амария родил Ахитува;
0d0608004d	Ахитув родил Садока, Садок родил Ахимааса;
0d0609004f	Ахимаас родил Азарию, Азария родил Иоанана;
0d060a00b5	Иоанан родил Азарию, - это тот, который был священником в храме, построенном Соломоном в Иерусалиме.
0d060b0050	И родил Азария Амарию, Амария родил Ахитува;
0d060c004b	Ахитув родил Садока, Садок родил Селлума;
0d060d004b	Селлум родил Хелкию, Хелкия родил Азарию;
0d060e004f	Азария родил Сераию, Сераия родил Иоседека.
0d060f00a5	Иоседек пошел в плен, когда Господь переселил Иудеев и Иерусалимлян рукою Навуходоносора.
0d0610004b	Итак сыновья Левия: Гирсон, Кааф и Мерари.
0d06110050	Вот имена сыновей Гирсоновых: Ливни и Шимей.
0d0612004e	Сыновья Каафа: Амрам, Ицгар, Хеврон и Узиил.
0d0613006b	Сыновья Мерари: Махли и Муши. Вот потомки Левия по родам их.
0d06140063	У Гирсона: Ливни, сын его; Иахав, сын его; Зимма, сын его;
0d0615006b	Иоах, сын его; Иддо, сын его; Зерах, сын его; Иеафрай, сын его.
0d0616006f	Сыновья Каафа: Аминадав, сын его; Корей, сын его; Асир, сын его;
0d06170054	Елкана, сын его; Евиасаф, сын его; Асир, сын его;
0d06180067	Тахаф, сын его; Уриил, сын его; Узия, сын его; Саул, сын его.
0d0619003a	Сыновья Елканы: Амасай и Ахимоф.
0d061a0052	Елкана, сын его; Цофай, сын его; Нахаф, сын его;
0d061b0073	Елиаф, сын его; Иерохам, сын его, Елкана, сын его; Самуил, сын его.
0d061c0052	Сыновья Самуила: первенец Иоиль, второй Авия.
0d061d0075	Сыновья Мерари: Махли; Ливни, сын его; Шимей, сын его; Уза, сын его;
0d061e0050	Шима, сын его; Хаггия, сын его; Асаия, сын его.
0d061f00cb	Вот те, которых Давид поставил начальниками над певцами в доме Господнем, со времени поставления в нем ковчега.
0d0620010f	Они служили певцами пред скиниею собрания, доколе Соломон не построил дома Господня в Иерусалиме. И они становились на службу свою по уставу своему.
0d062100ba	Вот те, которые становились с сыновьями своими: из сыновей Каафовых Еман певец, сын Иоиля, сын Самуила,
0d06220055	сын Елканы, сын Иерохама, сын Елиила, сын Тоаха,
0d0623004f	сын Цуфа, сын Елканы, сын Махафа, сын Амасая,
0d06240053	сын Елканы, сын Иоиля, сын Азарии, сын Цефании,
0d06250053	сын Тахафа, сын Асира, сын Авиасафа, сын Корея,
0d06260051	сын Ицгара, сын Каафа, сын Левия, сын Израиля;
0d0627008a	и брат его Асаф, стоявший на правой стороне его, - Асаф, сын Берехии, сын Шимы,
0d06280040	сын Михаила, сын Ваасеи, сын Малхии,
0d06290038	сын Ефни, сын Зераха, сын Адаии,
0d062a0038	сын Ефана, сын Зиммы, сын Шимия,
0d062b003e	сын Иахафа, сын Гирсона, сын Левия.
0d062c00a0	А из сыновей Мерари, братьев их, на левой стороне: Ефан, сын Кишия, сын Авдия, сын Маллуха,
0d062d0040	сын Хашавии, сын Амасии, сын Хелкии,
0d062e003a	сын Амция, сын Вания, сын Шемера,
0d062f004f	сын Махлия, сын Мушия, сын Мерари, сын Левия.
0d06300070	Братья их левиты определены на всякие службы при доме Божием;
0d06310175	Аарон же и сыновья его сожигали на жертвеннике всесожжения и на жертвеннике кадильном, и совершали всякое священнодействие во Святом Святых и для очищения Израиля во всем, как заповедал раб Божий Моисей.
0d0632007a	Вот сыновья Аарона: Елеазар, сын его; Финеес, сын его; Авиуд, сын его;
0d06330056	Буккий, сын его; Уззий, сын его; Зерахия, сын его;
0d06340058	Мераиоф, сын его; Амария, сын его; Ахитув, сын его;
0d06350039	Садок, сын его; Ахимаас, сын его.
0d063600be	И вот жилища их по селениям их в пределах их: сыновьям Аарона из племени Каафова, так как жребий выпал им,
0d06370068	дали Хеврон, в земле Иудиной, и предместья его вокруг его;
0d06380070	поля же сего города и села его отдали Халеву, сыну Иефонниину.
0d063900c8	Сыновьям Аарона дали также города убежищ: Хеврон и Ливну с их предместьями, Иаттир и Ештемоа и предместья его,
0d063a0058	и Хилен и предместья его, Давир и предместья его,
0d063b005c	и Ашан и предместья его, Вефсамис и предместья его,
0d063c0111	а от колена Вениаминова - Геву и предместья ее, и Аллемеф и предместья его, и Анафоф и предместья его: всех городов их в племенах их тринадцать городов.
0d063d00d9	Остальным сыновьям Каафа, из семейств этого колена, дано по жребию десять городов из удела половины колена Манассиина.
0d063e011e	Сыновьям Гирсона по племенам их, от колена Иссахарова, и от колена Асирова, и от колена Неффалимова, и от колена Манассиина в Васане, дано тринадцать городов.
0d063f00eb	Сыновьям Мерари по племенам их, от колена Рувимова, и от колена Гадова, и от колена Завулонова, дано по жребию двенадцать городов.
0d06400065	Так дали сыны Израилевы левитам города и предместья их.
0d06410114	Дали они по жребию от колена сыновей Иудиных, и от колена сыновей Симеоновых, и от колена сыновей Вениаминовых те города, которые они назвали по именам.
0d0642008b	Некоторым же племенам сыновей Каафовых даны были города от колена Ефремова.
0d064300a5	И дали им города убежищ: Сихем и предместья его на горе Ефремовой, и Гезер и предместья его,
0d06440064	и Иокмеам и предместья его, и Беф-Орон и предместья его,
0d06450066	и Аиалон и предместья его, и Гаф-Риммон и предместья его;
0d064600dd	от половины колена Манассиина - Анер и предместья его, Билеам и предместья его. Это поколению остальных сыновей Каафовых.
0d064700d3	Сыновьям Гирсона от племени полуколена Манассиина дали Голан в Васане и предместья его, и Аштароф и предместья его.
0d06480080	От колена Иссахарова - Кедес и предместья его, Давраф и предместья его,
0d06490059	и Рамоф и предместья его, и Анем и предместья его;
0d064a007b	от колена Асирова - Машал и предместья его, и Авдон и предместья его,
0d064b005b	и Хукок и предместья его, и Рехов и предместья его;
0d064c00cd	от колена Неффалимова - Кедес в Галилее и предместья его, и Хаммон и предместья его, и Кириафаим и предместья его.
0d064d00b4	А прочим сыновьям Мерариным - от колена Завулонова Риммон и предместья его, Фавор и предместья его.
0d064e0103	По ту сторону Иордана, против Иерихона, на восток от Иордана, от колена Рувимова дали Восор в пустыне и предместья его, и Иаацу и предместья ее,
0d064f0061	и Кедемоф и предместья его, и Мефааф и предместья его;
0d06500091	от колена Гадова - Рамоф в Галааде и предместья его, и Маханаим и предместья его,
0d0651005d	и Есевон и предместья его, и Иазер и предместья его.
0d0701005e	Сыновья Иссахара: Фола, Фуа, Иашув и Шимрон, четверо.
0d0702014d	Сыновья Фолы: Уззий, Рефаия, Иериил, Иахмай, Ивсам и Самуил, главные в поколениях Фолы, люди воинственные в своих поколениях; число их во дни Давида было двадцать две тысячи и шестьсот.
0d070300a6	Сын Уззия: Израхия; а сыновья Израхии: Михаил, Овадиа, Иоиль и Ишшия, пятеро. Все они главные.
0d070400eb	У них, по родам их, по поколениям их, было готово к сражению войска тридцать шесть тысяч; потому что у них было много жен и сыновей.
0d070500e9	Братьев же их, во всех поколениях Иссахаровых, людей воинственных, было восемьдесят семь тысяч, внесенных в родословные записи.
0d07060048	У Вениамина: Бела, Бехер и Иедиаил, трое.
0d0707012b	Сыновья Белы: Ецбон, Уззий, Уззиил, Иеримоф и Ири, пятеро, главы поколений, люди воинственные. В родословных списках записано их двадцать две тысячи тридцать четыре.
0d070800c1	Сыновья Бехера: Земира, Иоаш, Елиезер, Елиоенай, Омри, Иремоф, Авия, Анафоф и Алемеф: все эти сыновья Бехера.
0d070900cd	В родословных списках записано их по родам их, по главам поколений, людей воинственных - двадцать тысяч и двести.
0d070a00a9	Сын Иедиаила: Билган. Сыновья Билгана: Иеус, Вениамин, Егуд, Хенаана, Зефан, Фарсис и Ахишахар.
0d070b00d9	Все эти сыновья Иедиаила были главами поколений, люди воинственные; семнадцать тысяч и двести было выходящих на войну.
0d070c0052	И Шупим и Хупим, сыновья Ира; Хушим, сын Ахера;
0d070d006d	сыновья Неффалима: Иахцеил, Гуни, Иецер и Шиллем, дети Валлы.
0d070e00be	Сыновья Манассии: Асриил, которого родила наложница его Арамеянка; она же родила Махира, отца Галаадова.
0d070f00cf	Махир взял в жену сестру Хупима и Шупима, - имя сестры их Мааха; имя второму Салпаад. У Салпаада были только дочери.
0d071000bf	Мааха, жена Махирова, родила сына и нарекла ему имя Кереш, а имя брату его Шереш. Сыновья его: Улам и Рекем.
0d0711007a	Сын Улама: Бедан. Вот сыновья Галаада, сына Махира, сына Манассиина.
0d0712005d	Сестра его Молехеф родила Ишгода, Авиезера и Махлу.
0d07130057	Сыновья Шемиды были: Ахиан, Шехем, Ликхи и Аниам.
0d071400a6	Сыновья Ефрема: Шутелах, и Беред, сын его, и Фахаф, сын его, и Елеада, сын его, и Фахаф, сын его,
0d071500f0	и Завад, сын его, и Шутелах, сын его, и Езер и Елеад. И убили их жители Гефа, уроженцы той земли, за то, что они пошли захватить стада их.
0d0716008a	И плакал о них Ефрем, отец их, много дней, и приходили братья его утешать его.
0d071700d8	Потом он вошел к жене своей, и она зачала и родила сына, и он нарек ему имя: Берия, потому что несчастье постигло дом его.
0d0718008f	И дочь у него была Шеера. Она построила Беф-Орон нижний и верхний и Уззен-Шееру.
0d07190068	И Рефай, сын его, и Решеф, и Фелах, сын его, и Фахан, сын его,
0d071a0058	Лаедан, сын его, Аммиуд, сын его, Елишама, сын его,
0d071b0031	Нон, сын его, Иисус, сын его.
0d071c016f	Владения их и места жительства их были: Вефиль и зависящие от него города; к востоку Нааран, к западу Гезер и зависящие от него города; Сихем и зависящие от него города до Газы и зависящих от нее городов.
0d071d0183	А со стороны сыновей Манассииных: Беф-Сан и зависящие от него города, Фаанах и зависящие от него города, Мегиддо и зависящие от него города, Дор и зависящие от него города. В них жили сыновья Иосифа, сына Израилева.
0d071e0067	Сыновья Асира: Имна, Ишва, Ишви и Берия, и сестра их Серах.
0d071f0058	Сыновья Берии: Хевер и Малхиил. Он отец Бирзаифа.
0d07200061	Хевер родил Иафлета, Шомера и Хофама, и Шую, сестру их.
0d0721006c	Сыновья Иафлета: Пасах, Бимгал и Ашваф. Вот сыновья Иафлета.
0d0722004a	Сыновья Шемера: Ахи, Рохга, Ихубба и Арам.
0d0723005d	Сыновья Гелема, брата его: Цофах, Имна, Шелеш и Амал.
0d07240056	Сыновья Цофаха: Суах, Харнефер, Шуал, Бери, Имра,
0d07250045	Бецер, Год, Шамма, Шилша, Ифран и Беера.
0d07260042	Сыновья Иефера: Иефунни, Фиспа и Ара.
0d07270040	Сыновья Уллы: Арах, Ханниил и Риция.
0d07280150	Все эти сыновья Асира, главы поколений, люди отборные, воинственные, главные начальники. Записано у них в родословных списках в войске, для войны, по счету двадцать шесть тысяч человек.
0d0801007e	Вениамин родил Белу, первенца своего, второго Ашбела, третьего Ахрая,
0d08020037	четвертого Ноху и пятого Рафу.
0d08030043	Сыновья Белы были: Аддар, Гера, Авиуд,
0d08040027	Авишуа, Нааман, Ахоах,
0d08050027	Гера, Шефуфан и Хурам.
0d0806009f	И вот сыновья Егуда, которые были главами родов, живших в Геве и переселенных в Манахаф:
0d08070077	Нааман, Ахия и Гера, который переселил их; он родил Уззу и Ахихуда.
0d080800b3	Шегараим родил детей в земле Моавитской после того, как отпустил от себя Хушиму и Баару, жен своих.
0d0809006e	И родил он от Ходеши, жены своей, Иовава, Цивию, Мешу, Малхама,
0d080a0062	Иеуца, Шахию и Мирму: вот сыновья его, главы поколений.
0d080b0043	От Хушимы родил он Авитува и Елпаала.
0d080c00a5	Сыновья Елпаала: Евер, Мишам и Шемер, который построил Оно и Лод и зависящие от него города,
0d080d009a	и Берия и Шема. Они были главами поколений жителей Аиалона. Они выгнали жителей Гефа.
0d080e0023	Ахио, Шашак, Иремоф,
0d080f0023	Зевадия, Арад, Едер,
0d0810003f	Михаил, Ишфа и Иоха - сыновья Берии.
0d0811003b	Зевадия, Мешуллам, Хизкий, Хевер,
0d08120049	Ишмерай, Излия и Иовав - сыновья Елпаала.
0d08130027	Иаким, Зихрий, Завдий,
