0100000008	Kejadian
09060e0202	Kedua sapi itu membawa kereta itu menuju ke ladang orang Bet Semes yang bernama Yosua, dan berhenti di dekat sebuah batu besar. Lalu para penduduk Bet Semes yang hadir menurunkan peti perjanjian dari kereta itu, dan juga peti lain yang berisi patung-patung emas, dan meletakkan keduanya di atas batu besar itu. Sesudah itu mereka membelah-belah kereta itu dan menjadikannya sebagai kayu bakar. Kemudian mereka mempersembahkan kedua sapi itu sebagai kurban yang dibakar habis dan kurban-kurban lainnya kepada TUHAN.
0906100076	Kelima raja orang Filistin memperhatikan semua hal itu dari kejauhan, lalu mereka kembali ke Ekron pada hari itu juga.
09061100d9	Ada lima patung emas yang berbentuk benjolan yang dikirimkan orang Filistin kepada TUHAN sebagai persembahan penebusan kesalahan, yaitu satu patung untuk kelima kota besar mereka: Asdod, Gaza, Askelon, Gat, dan Ekron.
0906120171	Jumlah patung emas yang berbentuk tikus juga sesuai dengan jumlah kota kerajaan Filistin, dan mewakili kota-kota berbenteng dan kampung-kampung kecil di dalam setiap daerah kelima kota besar itu. Batu besar di Bet Semes di ladang Yosua itu, di mana mereka menaruh peti perjanjian TUHAN, masih ada sampai sekarang, dan batu itu menjadi tanda pengingat akan kejadian ini.
09061300dd	Namun TUHAN membinasakan sejumlah besar laki-laki Bet Semes karena mereka melihat ke dalam peti perjanjian TUHAN. Maka pada waktu itu orang-orang Bet Semes berduka untuk mereka, karena TUHAN menghukum dengan begitu keras.
09061400bc	Para penduduk Bet Semes berkata, “Siapa yang bisa menjadi pengantara kita dan TUHAN Allah Yang Mahakudus ini? Kepada siapa kita kirim peti perjanjian ini supaya kita tidak mati semua?”
09061500e4	Maka penduduk Bet Semes mengirim utusan kepada penduduk Kiryat Yearim untuk menyampaikan bahwa, “Orang Filistin sudah mengembalikan peti perjanjian TUHAN. Datanglah ke sini dan ambillah peti ini serta bawa pulang ke kota u.”
09070100ef	Lalu penduduk Kiryat Yearim datang dan mengambil peti perjanjian TUHAN. Mereka membawanya ke rumah Abinadab yang terletak di atas bukit. Kemudian mereka menetapkan Eleazar, anak Abinadab, untuk bertanggung jawab atas peti perjanjian TUHAN.
09070200dd	Peti itu tetap tersimpan di Kiryat Yearim selama dua puluh tahun. Selama waktu itu seluruh umat Israel meratap dan berseru meminta tolong kepada TUHAN, karena sudah lama Dia membiarkan Israel dijajah oleh bangsa Filistin.
0907030143	Lalu Samuel berkata kepada seluruh umat Israel, “Jika kalian sungguh-sungguh ingin kembali beribadah kepada TUHAN, maka buanglah semua dewa bangsa asing dan patung Asytoret yang ada di antara kalian. Berbaktilah dengan sungguh-sungguh kepada TUHAN saja, maka Dia akan melepaskan kalian dari penjajahan bangsa Filistin.”
090704008e	Kemudian orang Israel membuang semua patung dewa bangsa asing dari daerah mereka, termasuk patung Baal dan Asytoret, lalu melayani TUHAN saja.
0907050079	Kemudian Samuel berkata, “Kumpulkanlah seluruh umat Israel ke Mispa, maka saya akan berdoa kepada TUHAN bagi kalian.”
090706017b	Sesudah umat Israel berkumpul di Mispa, mereka membuat upacara di mana mereka menuangkan air sebagai tanda pertobatan yang melambangkan bahwa jiwa mereka sungguh-sungguh diserahkan kepada TUHAN. Sepanjang hari itu mereka berpuasa dan berseru meminta ampunan dengan mengatakan, “Kami sudah berdosa terhadap TUHAN!” Di tempat inilah Samuel mulai menjadi hakim bagi umat Israel.
090707010d	Ketika bangsa Filistin mendengar bahwa bangsa Israel sudah berkumpul di Mispa, maka kelima raja Filistin mengumpulkan pasukan mereka, dan berangkat untuk menyerang orang Israel. Ketika mendengar bahwa pasukan Filistin sedang datang, semua orang Israel sangat ketakutan.
0907080096	Mereka berkata kepada Samuel, “Teruslah berdoa kepada TUHAN Allah kita, supaya Dia menolong dan menyelamatkan kita dari serangan bangsa Filistin!”
09070900c7	Lalu Samuel mengambil seekor anak domba yang masih menyusu dan mempersembahkannya kepada TUHAN sebagai kurban yang dibakar habis. Samuel berdoa kepada TUHAN untuk umat Israel, dan TUHAN menjawab dia.
09070a0128	Pada waktu Samuel mempersembahkan kurban yang dibakar habis itu, pasukan Filistin mendekat untuk menyerang mereka. Tetapi saat itu juga, TUHAN menurunkan bunyi gemuruh yang keras dari langit sebagai tanda ancaman terhadap orang Filistin sehingga mereka panik, dan orang Israel mengalahkan mereka.
09070b006c	Mulai dari Mispa, orang-orang Israel mengejar dan membunuh tentara-tentara Filistin sampai ke hilir Bet Kar.
09070c00c2	Samuel mengambil sebuah batu yang besar dan tinggi, lalu mendirikannya di antara Mispa dan Sen. Dia menamai tugu itu Eben Haezer, karena katanya, “Sampai saat ini TUHAN sudah menolong kita.”
09070d00ea	Demikianlah orang Filistin dikalahkan, dan sesudah itu mereka tidak lagi memasuki wilayah Israel untuk berperang. Selama masa hidup Samuel, TUHAN terus menolong orang Israel sehingga bangsa Filistin tidak berani lagi menyerang mereka.
09070e00fe	Orang Israel berhasil merebut kembali semua kota yang sebelumnya dirampas oleh orang Filistin, mulai dari kota Ekron sampai Gat. Demikianlah bangsa Israel mendapatkan kembali seluruh wilayah mereka. Perdamaian juga terjadi antara Israel dan bangsa Amori.
09070f0047	Samuel memerintah sebagai hakim atas orang Israel sampai dia meninggal.
090710009b	Setiap tahun, Samuel berkeliling ke Betel, Gilgal, dan Mispa. Di setiap kota itu, Samuel menyelesaikan perkara-perkara yang terjadi di antara orang Israel.
09071100a9	Kemudian Samuel kembali ke rumahnya di Rama. Di sana dia juga menghakimi perkara antara orang Israel dan membangun sebuah mezbah untuk mempersembahkan kurban bagi TUHAN.
0908010074	Pada masa tuanya, Samuel mengangkat kedua anak laki-lakinya untuk menggantikan dia sebagai hakim bagi bangsa Israel.
0908020058	Anaknya yang sulung bernama Yoel dan yang bungsu Abia. Mereka menjadi hakim di Bersyeba.
0908030080	Tetapi mereka tidak menegakkan keadilan, justru melakukan korupsi dan menerima suap. Mereka tidak mengikuti teladan ayah mereka.
0908040048	Karena itu, para tua-tua Israel berkumpul dan mendatangi Samuel di Rama.
090805011b	Mereka berkata kepadanya, “Kami mohon Tuan mendengarkan kami. Tuan sudah lanjut usia, dan kedua anak Tuan tidak mengikuti teladan Tuan. Jadi, angkatlah seorang raja bagi kami. Biarlah raja itu yang akan memimpin kami, sehingga kami sama seperti bangsa-bangsa di sekeliling kami.”
090806006f	Akan tetapi, Samuel sangat tidak menyetujui permintaan mereka. Kemudian dia berdoa meminta petunjuk dari TUHAN.
090807007a	Berkatalah TUHAN kepadanya, “Lakukanlah apa yang mereka minta. Akulah yang mereka tolak sebagai Raja mereka, bukan kamu!
09080800c5	Sejak Aku menuntun mereka keluar dari Mesir sampai sekarang, mereka meninggalkan Aku dan beribadah kepada berbagai dewa. Yang mereka lakukan kepada-Ku itu sama seperti yang mereka lakukan kepadamu!
090809009c	Lakukanlah apa yang mereka minta. Tetapi beritahu dan peringatkanlah mereka dengan sungguh-sungguh, tentang bagaimana raja itu akan memperlakukan mereka.”
09080a007b	Perkataan TUHAN kepada Samuel lalu disampaikannya kepada para tua-tua yang meminta kepadanya untuk mengangkat seorang raja.
09080b0137	Katanya, “Seperti inilah perlakuan raja yang akan memerintah atas setiap orang dari antara kalian: Dia akan mewajibkan anak-anak lelakimu menjadi tentara. Sebagian akan ditugaskan sebagai tentara berkereta dan tentara berkuda. Sebagian lagi akan menjadi tentara yang berlari di depan kereta-kereta pasukannya.
09080c00da	Ada yang diangkat sebagai pemimpin atas seribu tentara, atau atas lima puluh. Ada juga yang dijadikan sebagai buruh kasar untuk membajak ladangnya, menuai panennya, dan membuat senjata perang serta peralatan keretanya.
09080d009b	Raja akan mengambil anak-anak perempuanmu dan menjadikan mereka sebagai buruh kasar yang bekerja sebagai pembuat minyak wangi, juru masak, dan tukang roti.
09080e009e	Selanjutnya dia akan merampas tanahmu yang terbaik, termasuk ladangmu, kebun anggurmu, dan kebun zaitunmu, lalu dia akan memberikannya kepada para pejabatnya.
09080f0071	Raja juga akan mengambil sepuluh persen dari hasil gandum dan anggurmu, dan membagikannya kepada para pejabatnya.
090810008f	Dia juga akan mengambil para hambamu, baik yang laki-laki maupun perempuan, juga sapi dan keledaimu yang terbaik, untuk kepentingan pribadinya.
090811005a	Dia akan mengambil sepuluh persen dari kawanan ternakmu, dan kalian akan menjadi hambanya.
09081200a4	Dan akan datang harinya ketika kalian semua akan berseru meminta pertolongan kepada TUHAN karena raja yang kalian pilih, tetapi TUHAN tidak akan menjawab kalian.”
090813008e	Tetapi mereka yang hadir menolak peringatan Samuel. Mereka berkata, “Biarpun begitu kami tetap mau supaya seorang raja memerintah atas kami!
0908140091	Dengan demikian bangsa kita akan sama seperti bangsa-bangsa lain. Raja kami akan memerintah atas kami dan memimpin kami ketika terjadi perang.”
0908150057	Mendengar segala sesuatu yang mereka katakan, lalu Samuel menyampaikannya kepada TUHAN.
09081600eb	Berkatalah TUHAN kepadanya, “Lakukanlah seperti yang mereka katakan, dan lantiklah seorang raja yang akan memerintah atas mereka.” Lalu Samuel menyetujui permohonan mereka dan berkata, “Kembalilah dulu ke kotamu masing-masing.”
09090100c9	Di antara orang-orang dari suku Benyamin, ada seorang pria yang terkemuka, namanya Kis, anak Abiel. Abiel adalah anak Zeror, Zeror adalah anak Bekorat, dan Bekorat adalah anak Afiah dari suku Benyamin.
09090200f0	Kis memiliki seorang anak laki-laki bernama Saul. Saul adalah seorang pemuda yang sangat tampan dan tinggi badannya melebihi rata-rata orang Israel, yang hanya sebahunya. Tidak ada seorang pun di antara orang Israel yang melebihi tingginya.
09090300af	Suatu hari beberapa ekor keledai milik Kis hilang. Kis berkata kepada Saul, “Anakku, bawalah seorang budak laki-laki bersamamu dan pergi mencari keledai-keledai kita itu.”
09090400d9	Lalu Saul bersama budaknya menelusuri daerah perbukitan Efraim, terus ke daerah Salisa. Kemudian mereka masuk daerah Sahalim, dan mencari di seluruh wilayah Benyamin. Tetapi mereka tidak menemukan keledai-keledai itu.
09090500b2	Pada saat mereka sampai di daerah Zuf, berkatalah Saul kepada budak itu, “Ayo, mari kita pulang. Jangan sampai bapakku lebih mengkuatirkan kita daripada keledai-keledai itu.”
090906012c	Budak itu menjawab, “Oh, tiba-tiba saya teringat! Di kota ini ada seorang hamba Allah. Dia sangat dihormati sebagai nabi karena segala sesuatu yang dikatakannya benar-benar terjadi. Mari kita pergi menemui dia, barangkali dia bisa memberi petunjuk kepada kita di mana keledai-keledai itu berada.”
09090700d8	Lalu kata Saul kepadanya, “Baiklah, kita bisa saja pergi menemui dia! Tetapi kita tidak memiliki apa-apa untuk diberikan sebagai hadiah, bahkan makanan kita pun sudah habis. Apa yang bisa kita berikan kepadanya?”
09090800a1	Budak itu menjawab, “Kebetulan saya punya sekeping perak 3 gram. Kita bisa memberikan kepadanya supaya dia memberitahu kepada kita ke mana kita harus pergi.”
09090900b3	(Pada waktu itu, biasanya seorang nabi disebut sebagai ‘pelihat.’ Apabila orang ingin mengetahui kehendak Allah, mereka berkata, “Ayo, marilah kita pergi kepada pelihat.”)
09090a0069	Berkatalah Saul, “Baiklah! Ayo, kita pergi.” Mereka pun pergi ke kota tempat tinggal hamba Allah itu.
09090b00e3	Ketika melalui jalan mendaki bukit yang menuju ke kota, mereka bertemu dengan beberapa gadis yang hendak pergi ke sumur untuk menimba air. Saul dan budak itu bertanya kepada para gadis itu, “Apakah pelihat itu ada di sini?”
09090c00b1	Para gadis itu menjawab, “Ya, dia ada di sini. Baru saja dia datang untuk memimpin acara mempersembahkan kurban bagi TUHAN demi rakyat, di mezbah yang ada di puncak bukit ini.
09090d0149	Kalian bisa menemuinya saat kalian masuk ke dalam kota, sebelum dia naik ke bukit untuk makan. Para undangan tidak akan memulai acara sebelum dia tiba, karena dia harus memberkati kurban terlebih dahulu. Sesudah itu, para undangan akan makan. Sebaiknya kalian segera naik, karena inilah saatnya kalian bisa bertemu dengan dia.”
09090e008a	Ketika Saul dan budak itu sedang memasuki pintu gerbang kota itu, mereka bertemu dengan Samuel, yang sedang berjalan naik menuju ke bukit.
09090f003b	Sehari sebelum Saul datang, TUHAN sudah memberitahu Samuel,
090910014d	“Besok kira-kira pada waktu yang sama seperti saat ini, Aku akan mengirimkan kepadamu seorang laki-laki muda dari tanah Benyamin. Urapilah dia sebagai raja atas umat-Ku Israel. Dia akan menyelamatkan umat-Ku dari kekuasaan bangsa Filistin. Karena Aku berbelas kasihan kepada umat-Ku, dan tangisan mereka sudah terdengar oleh-Ku!”
0909110086	Saat Samuel melihat Saul, TUHAN berkata kepadanya, “Inilah dia yang sudah Aku katakan kepadamu! Dia akan memerintah atas umat-Ku.”
0909120091	Saat itu juga Saul mendekati Samuel di pintu gerbang dan bertanya kepadanya, “Bisakah Bapak memberitahu saya di mana rumah sang pelihat itu?”
09091300d2	Jawab Samuel kepada Saul, “Sayalah pelihat itu! Pergilah mendahului saya ke tempat mezbah di puncak bukit. Hari ini kita akan makan bersama. Besok pagi saya akan menjawab pertanyaanmu, lalu kamu boleh pulang.
09091400b5	Jangan kuatir tentang keledai-keledaimu yang hilang tiga hari yang lalu, karena mereka sudah ditemukan. Tetapi kamu dan keluargamu adalah inti dari harapan seluruh bangsa Israel!”
0909150109	Tetapi Saul menjawab, “Saya hanya orang biasa yang berasal dari suku Benyamin, suku yang paling kecil dari antara semua suku Israel. Dan keluarga saya dianggap paling rendah dari antara semua keluarga di suku itu. Mengapa Bapak berkata seperti itu kepada saya?”
09091600e6	Lalu Samuel mengantar Saul dan budak itu ke sebuah ruang pertemuan besar yang ada di dekat mezbah itu dan memberikan tempat duduk yang utama kepada mereka di hadapan seluruh undangan. Jumlah para undangan sekitar tiga puluh orang.
0909170083	Kata Samuel kepada juru masak, “Berikanlah kepadanya bagian daging terbaik yang saya minta kamu sisihkan untuk tamu terhormat.”
0909180140	Maka juru masak itu mengambilnya dan meletakkan daging pilihan dari bagian paha di hadapan Saul. Berkatalah Samuel kepada Saul, “Inilah bagian yang disediakan khusus untukmu dalam pesta makan ini! Makanlah bersama dengan tamu-tamu yang saya undang menghadiri pesta ini.” Maka Saul makan bersama Samuel pada hari itu.
0909190076	Sesudah mereka kembali ke rumah Samuel di kota, Samuel dan Saul berbincang-bincang di bagian atap rumahnya yang datar.
09091a00c7	Pagi-pagi saat fajar, Samuel memanggil Saul yang tidur di bagian atap rumah, “Bangunlah! Sudah waktunya berangkat. Aku akan mengantarkan kamu ke pinggir kota.” Saul bangun, lalu mereka berangkat.
09091b0104	Sementara mereka berjalan ke pinggir kota, Samuel berkata kepada Saul, “Suruhlah budakmu untuk mendahului kita.” Maka Saul menyuruhnya demikian. Lalu Samuel berkata kepada Saul, “Tunggu sebentar, karena saya mau menyampaikan pesan dari Allah kepadamu.”
090a0101c6	Lalu Samuel mengambil sebuah kendi kecil berisi minyak zaitun dan menuangkannya ke atas kepala Saul dan memeluknya serta berkata, “TUHAN sudah memilihmu untuk memimpin umat-Nya, bangsa Israel, yang adalah milik-Nya yang khusus! Kamu akan memerintah atas umat TUHAN dan kamu akan membebaskan mereka dari kuasa musuh-musuh yang ada di sekeliling mereka. Inilah yang akan menjadi tanda bagimu bahwa TUHAN sudah memilih kamu sebagai pemimpin atas umat-Nya:
090a020177	Sesudah kita berpisah hari ini, kamu akan bertemu dua orang laki-laki di dekat kuburan Rahel di Zelza, di perbatasan wilayah Benyamin. Mereka akan berkata kepadamu, ‘Keledai-keledaimu yang hilang sudah ditemukan. Bapakmu sudah tidak lagi kuatir tentang keledai-keledai itu, tetapi menjadi kuatir tentang dirimu! Dia terus bertanya, “Apa yang terjadi dengan anakku?!”’
090a030193	“Lalu dari situ kamu akan berjalan terus sampai di pohon yang dianggap keramat di dekat gunung Tabor. Di situ kalian akan berjumpa dengan tiga orang laki-laki yang sedang bepergian ke Betel untuk mempersembahkan kurban kepada Allah. Seorang akan membawa tiga ekor anak kambing, seorang lagi akan membawa tiga potong roti bundar, dan yang seorang lagi akan membawa kantong kulit yang berisi air anggur.
090a040077	Mereka akan menanyakan kabarmu dan menawarkan untuk kamu mengambil dua dari roti bundar itu. Terimalah itu dari mereka.
090a050135	“Sesudah itu, kamu akan pergi ke bukit Gibea, di sana ada tempat penyembahan Allah, dan juga pos jaga Filistin. Saat kamu tiba di kota Gibea, kamu akan bertemu dengan sekelompok nabi yang baru saja turun dari tempat penyembahan itu. Mereka akan bernubuat sambil bermain gambus, rebana, seruling, dan kecapi.
090a060099	Lalu Roh TUHAN akan turun atasmu dan kamu akan bernubuat bersama dengan mereka. Sifat dan karaktermu akan berubah menjadi lain dari dirimu yang saat ini.
090a07007a	Sesudah hal-hal yang saya katakan ini terjadi kepadamu, lakukanlah apa saja yang menurutmu baik, karena Allah menyertaimu.
090a08010e	Kemudian kamu mendahului saya ke Gilgal. Kita akan bertemu di sana untuk mempersembahkan kurban yang dibakar habis dan kurban tanda damai. Kamu harus menunggu saya selama tujuh hari sampai saya tiba dan memberitahukan kepadamu apa yang harus kamu lakukan selanjutnya.”
090a0900a0	Ketika Saul berpaling dan meninggalkan Samuel, Allah mengubah karakter Saul seluruhnya. Semua tanda-tanda yang Samuel nubuatkan kepadanya terjadi pada hari itu.
090a0a009e	Ketika Saul dan budaknya tiba di Gibea, sekelompok nabi bertemu dengan dia. Lalu Roh Allah turun atas Saul dan dia juga turut bernubuat bersama dengan mereka.
090a0b00c8	Orang-orang yang mengenal Saul dari dahulu heran melihat dia bernubuat dengan para nabi. Mereka saling bertanya, “Apa yang terjadi dengan anak Kis ini?! Bagaimana Saul bisa menjadi seorang nabi?!”
090a0c010b	Lalu salah seorang penduduk Gibea berkata, “Bernubuat seperti mereka bukanlah soal dilahirkan dari keturunan nabi.” Walaupun begitu, karena peristiwa ini cukup mengherankan, maka pertanyaan tersebut sering disebut, “Bagaimana Saul bisa menjadi seorang nabi?!”
090a0d0060	Sesudah Saul selesai bernubuat, dia naik ke tempat penyembahan yang di atas bukit di dekat situ.
090a0e00d9	Bertanyalah paman Saul kepadanya dan budak itu, “Kalian berdua dari mana?” Saul menjawab, “Mencari keledai-keledai yang hilang, tetapi kami tidak menemukannya. Maka kami menemui Samuel untuk meminta petunjuk.”
090a0f003f	Pamannya bertanya lagi, “Apa yang Samuel katakan kepadamu?”
090a10009a	Saul menjawab, “Samuel berkata bahwa keledai-keledai itu sudah ditemukan.” Tetapi Saul tidak memberitahukan bahwa dia akan menjadi raja bangsa Israel.
090a110053	Kemudian Samuel memanggil bangsa Israel supaya berkumpul di hadapan TUHAN di Mispa.
090a1200de	Berkatalah Samuel kepada orang Israel, “Inilah yang dikatakan TUHAN Allah kita, ‘Aku sudah membawa Israel keluar dari Mesir dan membebaskan kalian dari tangan orang Mesir dan seluruh kerajaan lain yang menindas kalian.
090a130152	Akulah Allah yang sudah menyelamatkan kalian dari semua kesulitan dan kesukaran. Tetapi hari ini kalian sudah menolak-Ku dengan berkata, “Angkatlah seorang raja atas kami.” Baiklah, untuk memilih raja bagi kalian, perwakilan setiap suku akan maju di hadapan-Ku. Kemudian dari suku terpilih, perwakilan setiap keluarga akan maju.’”
090a14006a	Lalu Samuel mengajak semua perwakilan suku Israel maju mendekat ke depan, dan suku Benyamin yang terpilih.
090a1500f7	Lalu Samuel menyuruh perwakilan dari setiap keluarga suku Benyamin maju ke depan, dan terpilihlah keluarga Matri. Maka Samuel menyuruh keluarga Matri maju ke depan, dan Saul anak Kis yang terpilih. Tetapi ketika mereka mencari Saul, dia tidak ada.
090a1600a3	Maka mereka meminta petunjuk kepada TUHAN, “Apakah Saul sudah ada di sini?” Dan TUHAN menjawab, “Saul bersembunyi di belakang tempat menyimpan perbekalan.”
090a1700d6	Lalu mereka berlari menjemput Saul dan membawanya keluar dari sana. Ketika Saul berdiri di antara orang-orang itu, dia lebih tinggi dari mereka semua. Tinggi badan orang Israel pada umumnya hanya sebatas bahu Saul.
090a1800cb	Berkatalah Samuel kepada semua orang di situ, “Inilah orang yang dipilih TUHAN. Sungguh, tidak ada seorang pun seperti dia dari semua orang sebangsa kita!” Seluruh rakyat berteriak, “Hidup raja!”
090a190121	Lalu Samuel menjelaskan kepada masyarakat tentang hak dan kewajiban raja. Dia menuliskan semuanya itu pada sehelai perkamen. Kemudian Samuel menyuruh semua orang itu pulang ke rumah masing-masing. Sesudah itu Samuel menyimpan tulisan di perkamen itu di salah satu tempat penyembahan TUHAN.
090a1a00a1	Saul juga pulang ke rumahnya di Gibea. Pada waktu itu ada beberapa orang gagah perkasa ikut bersamanya. Hati mereka digerakkan Allah untuk bergabung dengan Saul.
090a1b00cb	Tetapi beberapa orang jahat berkata, “Tidak mungkin orang ini mampu menyelamatkan kita!” Mereka meremehkan Saul dan tidak memberikan hadiah kepadanya. Tetapi Saul berpura-pura tidak mendengar mereka.
090b010101	Pada waktu itu, Raja Nahas dari bangsa Amon memimpin pasukannya menyeberangi sungai Yordan dan mengepung kota Yabes di wilayah Gilead. Penduduk kota Yabes berkata kepada Raja Nahas, “Buatlah perjanjian damai dengan kami, maka kami akan tunduk kepadamu.”
090b0200f3	Jawab Raja Nahas, “Saya akan membuat perjanjian dengan kalian tetapi dengan satu syarat, yaitu mata kanan setiap laki-laki harus dicungkil dengan benda tajam sehingga menjadi buta. Dengan begitu saya akan membuat malu semua bangsa Israel!”
090b03010e	Jawab para tua-tua kota Yabes kepadanya, “Berikan kami waktu tujuh hari untuk mengutus para pembawa pesan ke seluruh wilayah Israel menyampaikan kepada semua orang tuntutan Tuan. Jika tidak ada yang datang menolong kami, maka kami akan menyerahkan diri kepada Tuan.”
090b040133	Nahas merasa tidak akan ada yang datang, maka dia setuju dengan tawaran mereka. Ketika para pembawa pesan dari Yabes tiba di kota Gibea, yaitu tempat tinggal Saul, mereka menyampaikan apa yang sudah terjadi dan persyaratan yang diajukan Raja Nahas. Maka seluruh penduduk kota itu meratap dengan suara keras.
090b05012a	Saat berita itu disampaikan, Saul sedang berjalan pulang dari ladangnya. Dia pulang dengan mengarahkan sepasang sapi jantannya yang tadi dia gunakan untuk membajak. Sesampai di kota dia bertanya, “Ada apa? Mengapa kalian semua meratap?” Lalu mereka menyampaikan kepadanya berita dari Yabes itu.
090b060058	Ketika Saul mendengar berita itu, Roh Allah menguasainya, dan Saul menjadi sangat marah.
090b0701cc	Dia mengambil sepasang sapinya itu dan memotong-motongnya, lalu menyuruh para pembawa pesan untuk mengantar potongan-potongan itu ke seluruh pelosok Israel dengan pesan, “Setiap orang yang tidak mengikuti Saul dan Samuel dalam perang, sapinya akan berakhir seperti potongan-potongan daging ini!” TUHAN membuat semua orang Israel menjadi takut terhadap apa yang dapat Saul lakukan bila mereka tidak menurutinya. Maka mereka semua langsung berkumpul bersama.
090b0800ac	Saul mengumpulkan dan menghitung jumlah mereka di Bezek. Pasukan Israel sebanyak tiga ratus ribu orang. Dan pasukan dari suku Yehuda sendiri sebanyak tiga puluh ribu orang.
090b090117	Kemudian Saul berkata kepada para pembawa pesan dari Yabes, “Kembalilah dan sampaikan ini kepada penduduk Yabes, ‘Besok, saat matahari terik, kalian akan diselamatkan.’” Ketika para pembawa pesan itu pulang dan menyampaikan pesan Saul, seluruh penduduk Yabes bersukacita.
090b0a00a4	Kemudian para pemimpin Yabes menghadap dan berkata kepada Nahas, “Besok kami akan menyerahkan diri kepadamu. Perlakukanlah kami sebagaimana yang Tuan inginkan.”
090b0b019e	Saul membagi orang-orang yang sudah berkumpul itu menjadi tiga kelompok pasukan. Keesokan paginya saat matahari terbit, mereka menyerbu masuk ke perkemahan pasukan Amon, dan membantai mereka sepanjang pagi. Sebelum tengah hari, mereka sudah menghabisi hampir semua pasukan Amon. Tentara musuh yang tersisa dan berhasil lolos tercerai-berai melarikan diri, bahkan tidak ada dua orang dari mereka yang masih bersama.
090b0c00b2	Lalu rakyat Israel memuji Saul kepada Samuel, “Kalau masih ada orang-orang yang tidak setuju untuk Saul menjadi raja kita, bawalah mereka ke sini! Kami akan membunuh mereka!”
090b0d008f	Tetapi jawab Saul, “Tidak! Hari ini tidak akan ada seorang pun yang akan aku hukum mati, karena hari ini TUHAN sudah menyelamatkan Israel.”
090b0e008f	Kemudian Samuel berkata kepada umat Israel, “Marilah kita bersama-sama pergi ke Gilgal untuk meneguhkan pelantikan Saul sebagai raja kita!”
090b0f00fb	Maka semua umat Israel pergi ke Gilgal, dan di sana di hadapan TUHAN Samuel melantik Saul untuk kedua kalinya sebagai raja. Lalu mereka mengucap syukur dengan mempersembahkan kurban tanda damai kepada TUHAN. Saul dan seluruh bangsa Israel bersukacita.
090c010082	Samuel berkata kepada seluruh umat Israel, “Saya sudah melakukan apa yang kalian minta dengan melantik seorang raja atas kalian.
090c0200f1	Mulai sekarang Raja Saul yang akan memimpin kalian dan kedua anak laki-laki saya juga ada di antara kalian. Saya sudah menjadi pemimpin kalian sejak saya masih muda sampai hari ini, tetapi sekarang saya sudah tua dan rambut saya sudah putih.
090c0301bd	Maka adililah saya sekarang di hadapan kalian, dan di hadapan TUHAN, serta raja yang sudah dipilih-Nya: Bila ada orang yang ingin bersaksi melawan saya, lakukanlah sekarang. Apakah saya pernah korupsi atau menyalahgunakan jabatan, sehingga saya mengambil sapi, keledai, atau hartamu yang lain, atau pernah menindas kamu? Katakanlah sekarang supaya saya dapat mengembalikan apa yang pernah saya ambil atau bertanggung jawab atas perbuatan itu.”
090c04008b	Jawab seluruh bangsa Israel, “Tidak! Bapak tidak pernah melakukan kecurangan atau menindas kami, dan tidak pernah mengambil uang suap.”
090c0500ce	Lanjut Samuel, “Pada hari ini, TUHAN dan raja yang sudah diurapi-Nya menjadi saksi bahwa saya tidak pernah melakukan kesalahan apa pun terhadap kalian.” Jawab mereka, “Ya, TUHAN menjadi saksi kita.”
090c06008a	Lalu Samuel berkata kepada umat Israel, “Benar! Dia yang sudah memilih Musa dan Harun untuk membawa nenek moyang kita keluar dari Mesir.
090c0700b2	Sekarang, berdirilah di sini di hadapan TUHAN dan saya akan mengingatkan kalian bagaimana TUHAN dengan luar biasa sudah bertindak adil kepada kalian dan kepada nenek moyang kita.
090c0800fe	“Ketika Yakub dan keturunannya hidup di Mesir sebagai pendatang, nenek moyang kita berseru meminta tolong kepada TUHAN. Lalu TUHAN mengutus Musa dan Harun untuk memimpin mereka keluar dari perbudakan di Mesir, supaya mereka dapat menetap di negeri ini.
090c0900f0	Tetapi nenek moyang kita melupakan TUHAN Allah, sehingga Dia membiarkan mereka dikalahkan oleh Sisera, yaitu panglima pasukan Raja Yabin di Hazor. Dan hukuman TUHAN pernah jatuh atas umat Israel melalui tangan orang Filistin, dan raja Moab.
090c0a0109	“Setiap kali itu terjadi mereka berseru kepada TUHAN dan berkata, ‘Kami sudah berdosa karena sudah meninggalkan Engkau, ya TUHAN, dan menyembah dewa Baal dan Asytoret! Tetapi selamatkanlah kami dari musuh-musuh kami, dan kami akan setia hanya kepada-Mu saja!’
090c0b00b0	Kemudian TUHAN mengutus Gideon, Barak, Yefta, dan saya, untuk membebaskan kita dari musuh-musuh yang sudah menindas kita dari segala arah, sehingga kita bisa hidup dengan aman.
090c0c00ea	“Tetapi ketika kalian melihat Raja Nahas memimpin bangsa Amon datang menyerang, kalian berkata kepada saya, ‘Kami menginginkan seorang raja untuk memerintah atas kami!’— padahal kalian sudah memiliki Raja, yaitu TUHAN Allahmu.
090c0d0072	Jadi perhatikanlah! Inilah raja yang sudah kalian pilih. Sesuai dengan permintaan kalian, TUHAN sudah melantiknya.
090c0e00ba	“Segala sesuatu akan berjalan baik jika kalian dan raja terpilih tetap takut dan menghormati TUHAN, tetap setia dan menaati perintah-Nya, dan tidak memberontak melawan hukum-hukum-Nya.
