0100000009	1 Mosebog
04130b0051	Den, der rører ved en død, ved noget som helst Lig, skal være uren i syv Dage.
04130c00a9	Han skal lade sig rense for Synd med Asken på den tredje og syvende Dag, så bliver han ren; men renser han sig ikke på den tredje og syvende Dag, bliver han ikke ren.
04130d00ee	Enhver, der rører ved en død, et Lig, og ikke lader sig rense for Synd, besmitter HERRENs Bolig, og det Menneske skal udryddes af Israel, fordi der ikke er stænket Renselsesvand på ham; han er uren, hans Urenhed klæber endnu ved ham.
04130e0089	Således er Loven: Når et Menneske dør i et Telt, bliver enhver, der træder ind i Teltet, og enhver, der er i Teltet, uren i syv Dage;
04130f0047	og ethvert åbent Kar, et, der ikke er bundet noget over, bliver urent.
04131000a9	Ligeledes bliver enhver, der på åben Mark rører ved en, der er dræbt med Sværd, eller ved en, der er død, eller ved Menneskeknogler eller en Grav, uren i syv Dage.
0413110078	For sådanne urene skal man da tage noget af Asken af det brændte Syndoffer og hælde rindende Vand derover i en Skål.
04131200f4	Derpå skal en Mand, der er ren, tage en Ysopstængel, dyppe den i Vandet og stænke det på Teltet og på alle de Ting og Mennesker, der har været deri, og på den, der har rørt ved Menneskeknoglerne, den ihjelslagne, den døde eller Graven.
04131300d5	Således skal den rene bestænke den urene på den tredje og syvende Dag og borttage hans Synd på den syvende Dag. Derefter skal han tvætte sine Klæder og bade sig i Vand, så er han ren, når det bliver aften.
04131400bf	Men den, som bliver uren og ikke lader sig rense for Synd, han skal udryddes af Forsamlingen; thi han har besmittet HERRENs Helligdom, der er ikke stænket Renselsesvand på ham, han er uren.
04131500ae	Det skal være eder en evig gyldig Anordning. Den, der stænker Renselsesvandet, skal tvætte sine Klæder, og den, der rører ved Renselsesvandet, skal være uren til Aften.
041316006a	Alt, hvad den urene rører ved skal være urent, og enhver, der rører ved ham, skal være uren til Aften.
041401009e	Derpå nåede Israelitterne, hele Menigheden, til Zins Ørken i den første Måned, og Folket slog sig ned i Kadesj. Der døde Mirjam, og der blev hun jordet.
041402004e	Men der var ikke Vand til Menigheden; derfor samlede de sig mod Moses og Aron,
0414030069	og Folket kivedes med Moses og sagde: "Gid vi var omkommet, dengang vore Brødre omkom for HERRENs Åsyn!
0414040065	Hvorfor førte I HERRENs Forsamling ind i denne Ørken, når vi skal dø her, både vi og vort Kvæg?
04140500bd	Og hvorfor førte I os ud af Ægypten, når I vilde have os hen til dette skrækkelige Sted, hvor der hverken er Korn eller Figener, Vintræer eller Granatæbler, ej heller Vand at drikke?"
0414060093	Men Moses og Aron begav sig fra Forsamlingen hen til Åbenbaringsteltets indgang og faldt på deres Ansigt. Da viste HERRENs Herlighed sig for dem,
0414070024	og HERREN talede til Moses og sagde:
04140800d9	"Tag Staven og kald så tillige med din Broder Aron Menigheden sammen og tal til Klippen i deres Påsyn, så giver den Vand; lad Vand strømme frem af Klippen til dem og skaf Menigheden og dens Kvæg noget at drikke!"
0414090052	Da tog Moses Staven fra dens Plads foran HERRENs Åsyn, som han havde pålagt ham;
04140a00b4	og Moses og Aron kaldte Forsamlingen sammen foran Klippen, og han sagde til dem: "Hør nu, I genstridige! Mon vi formår at få Vand til at strømme frem til eder af denne Klippe?"
04140b009b	Og Moses løftede sin Hånd og slog to Gange på Klippen med sin Stav, og der strømmede Vand frem i Mængde, så at Menigheden og dens Kvæg kunde drikke.
04140c00be	Men HERREN sagde til Moses og Aron: "Fordi I ikke troede på mig og helligede mig for Israelitternes Øjne, skal I ikke komme til at føre denne Forsamling ind i det Land, jeg vil give dem!"
04140d006c	Dette er Meribas Vand, hvor Israelitterne kivedes med HERREN, og hvor han åbenbarede sin Hellighed på dem.
04140e009b	Fra Kadesj sendte Moses Sendebud til kongen af Edom med det Bud: "Din Broder Israel lader sige: Du kender jo alle de Besværligheder, som er vederfaret os,
04140f0089	hvorledes vore Fædre drog ned til Ægypten, hvorledes vi boede der i lange Tider, og hvorledes Ægypterne mishandlede os og vore Fædre;
041410009e	da råbte vi til HERREN, og han hørte vor Røst og sendte en Engel og førte os ud af Ægypten. Se, nu er vi i Byen Kadesj ved Grænsen af dine Landemærker.
04141100ef	Lad os få Lov at vandre igennem dit Land. Vi vil hverken drage hen over Marker eller Vinhaver eller drikke Vandet i Brøndene; vi vil gå ad Kongevejen, vi vil hverken bøje af til højre eller venstre, før vi er nået igennem dit Land!"
041412006b	Men Edom svarede ham: "Du må ikke vandre igennem mit Land, ellers drager jeg imod dig med Sværd i Hånd!"
04141300ea	Da sagde Israelitterne til ham: "Vi vil følge den slagne Landevej, og der som jeg eller mit Kvæg drikker af dine Vandingssteder, vil jeg betale derfor det er da ikke noget at være bange for, jeg vil kun vandre derigennem til Fods!"
041414006f	Men han svarede: "Du må ikke drage her igennem!" Og Edom rykkede imod ham med mange Krigere og stærkt rustet.
0414150066	Da Edom således formente Israel at drage igennem sine Landemærker, bøjede Israel af og drog udenom.
0414160052	Derpå brød Israelitterne, hele Menigheden, op fra Kadesj og kom til Bjerget Hor.
0414170058	Og HERREN talede til Moses og Aron ved Bjerget Hor ved Grænsen til Edoms Land og sagde:
041418009e	"Aron skal nu samles til sin Slægt, thi han skal ikke komme ind i det Land, jeg vil give Israelitterne, fordi I var genstridige mod mit Bud ved Meribas Vand.
041419003d	Tag Aron og hans Søn Eleazar og før dem op på Bjerget Hor;
04141a0062	affør så Aron hans Klæder og ifør hans Søn Eleazar dem, thi der skal Aron tages bort og dø!"
04141b0058	Da gjorde Moses som HERREN bød, og de gik op på Bjerget Hor i hele Menighedens Påsyn;
04141c00a2	og efter at Moses havde afført Aron hans Klæder og iført hans Søn Eleazar dem, døde Aron deroppe på Bjergets Top. Men Moses og Eleazar steg ned fra Bjerget,
04141d0067	og da hele Menigheden skønnede, at Aron var død, græd de over Aron i tredive Dage, hele Israels Hus.
041501009c	Men da Kana'anæeren, Kongen af Arad, der boede i Sydlandet, hørte, at Israel rykkede frem ad Atarimvejen, angreb han Israel og tog nogle af dem til Fange.
041502007c	Da aflagde Israel et Løfte til Herren og sagde: "Hvis du giver dette Folk i min Hånd, vil jeg lægge Band på deres Byer!"
0415030095	Og HERREN hørte Israels Røst og gav Kana'anæerne i deres Hånd, hvorefter de lagde Band på dem og deres Byer. Derfor gav man Stedet Navnet Horma.
041504007d	Så brød de op fra Bjerget Hor i Retning af det røde Hav for at komme uden om Edoms Land. Undervejs blev Folket utålmodigt
04150500ae	og talte mod Gud og Moses og sagde: "Hvorfor førte I os ud af Ægypten, når vi skal dø i Ørkenen? Her er jo hverken Brød eller Vand, og vi er lede ved denne usle Føde."
041506005c	Da sendte HERREN Giftslanger blandt Folket, og de bed Folket så en Mængde af Israel døde.
04150700ae	Så kom Folket til Moses og sagde: "Vi har syndet ved at tale imod HERREN og dig; gå i Forbøn hos HERREN, at han tager Slangerne fra os!" Og Moses gik i Forbøn for Folket.
041508007f	Da sagde HERREN til Moses: "Lav dig en Slange og sæt den på en Stang, så skal enhver slangebidt, der ser hen på den, leve!"
0415090092	Da lavede Moses en Kobberslange og satte den på en Stang; og enhver, der så hen på Kobberslangen, når en Slange havde bidt ham, beholdt Livet.
04150a002f	Så brød Israelitterne op og slog Lejr i Obot;
04150b0050	og de brød op fra Obot og slog Lejr i tjje Håbarim i Ørkenen østen for Moab.
04150c002d	Derfra brød de op og slog Lejr i Zereddalen.
04150d008e	Derfra brød de op og slog Lejr i Ørkenen hinsides Arnon, som udspringer på Amoriternes Område, thi Arnon var Moabs Grænse mod Amoriterne.
04150e005d	Derfor hedder det i Bogen om HERRENs Krige: Vaheb i Sufa og Dalene, Arnon og Dalenes Skrænt,
04150f0040	som strækker sig til Ars Sæde og læner sig til Moabs Grænse.
041510008e	Derfra brød de op til Beer; det er det Be'er, HERREN havde for Øje, da han sagde til Moses: "Kald Folket sammen, så vil jeg give dem Vand!"
0415110049	Da sang Israelitterne denne Sang: Brønd, væld frem! Syng til dens Pris!
0415120074	Brønd, som Høvdinger grov, som Folkets ædle bored med Herskerspir og Stave! Fra Ørkenen brød de op til Mattana;
0415130031	fra Mattana til Nahaliel; fra Nahaliel til Bamot;
0415140055	fra Bamot til halen på Moabs Højslette, til Pisgas Top, som rager op over Ørkenen.
041515003f	Israel sendte nu Sendebud til Amoriterkongen Sihon og lod sige:
04151600c3	"Lad mig få Lov at drage igennem dit Land! Vi vil ikke dreje ind på Marker eller i Vinhaver, vi vil ikke drikke Vand af Brøndene, vi vil følge Kongevejen, indtil vi er nået igennem dit Land!
04151700ad	Men Sihon tillod ikke Israel at drage igennem sit Land; derimod samlede han alt sit krigsfolk og rykkede ud i Ørkenen imod Israel, og da han nåede Jaza, angreb han Israel.
0415180094	Men Israel slog ham med Sværdet og underlagde sig hans Land fra Arnon til Jabbok, til Ammoniternes Land; thi Jazer ligger ved Ammoniternes Grænse;
0415190078	og Israel indtog alle disse Byer, og Israel bosatte sig i alle Amoriternes Byer, i Hesjbon og alle tilhørende Småbyer.
04151a007d	Thi Hesjbon var Amoriterkongen Sihons By; han havde angrebet Moabs forrige konge og frataget ham hele hans Land indtil Arnon.
04151b005e	Derfor synger Skjaldene: Kom hid til Hesjbon, lad den blive bygget og grundfæstet, Sihons By!
04151c0065	Thi Ild for ud fra Hesjbon, Ildslue fra Sihons Stad, den fortærede Moabs Byer, opåd Arnons Højder.
04151d0093	Ve dig, Moab! Det er ude med dig, Kemosjs Folk! Han gjorde sine Sønner til Flygtninge og sine Døtre til Krigsfanger for Sihon, Amoriternes Konge.
04151e0065	Og vi skød dem ned, Hesjbon er tabt indtil Dibon; vi lagde dem øde til Nofa, som ligger ved Medeba.
04151f002a	Så bosatte Israel sig i Amoriternes Land.
0415200085	Derpå sendte Moses Spejdere til Jazer; og de erobrede det tillige med tilhørende Småbyer, og han drev de der boende Amoriter bort.
0415210084	Derpå vendte de om og drog ad Basan til. Da rykkede Og, Kongen af Basan, ud imod dem med alle sine Krigere og angreb dem ved Edrei.
04152200cf	Men HERREN sagde til Moses: "Frygt ikke for ham! Thi jeg giver ham og alle hans krigere og hans Land i din Hånd, så at du kan handle med ham, som du handlede med Amoriterkongen Sihon, der boede i Hesjbon."
0415230081	Da slog de ham og hans Sønner og alle hans Krigere, så at ikke en eneste af dem undslap, og derpå underlagde de sig hans Land.
0416010067	Derefter brød Israelitterne op derfra og slog Lejer på Moabs Sletter hinsides Jordan over for Jeriko.
0416020048	Da Balak, Zippors Søn, så alt, hvad Israel havde gjort ved Amoriterne,
041603005f	grebes Moab af Rædsel for Folket, fordi det var så talrigt, og Moab gruede for Israelitterne.
04160400ce	Da sagde Moab til Midjaniternes Ældste: "Nu vil denne Menneskemasse opæde alt, hvad der er rundt omkring os, som Okserne opæder Græsset på Marken!" På den Tid var Balak, Zippors Søn, Konge over Moab.
04160500ff	Han sendte nu Sendebud til Bileam, Beors Søn, i Petor, der ligger ved Floden, til Ammoniternes Land, og bad ham komme til sig, idet han lod sige: "Se, et Folk er udvandret fra Ægypten; se, det har oversvømmet Landet og slået sig ned lige over for mig.
04160600c4	Kom nu og forband mig det Folk, thi det er mig for mægtigt: måske jeg da kan slå det og jage det ud af Landet. Thi jeg ved, at den, du velsigner, er velsignet, og den, du forbander, forbandet!"
0416070080	Da gav Moabs og Midjans Ældste sig på Vej, forsynede med Spåmandsløn, og da de kom til Bileam, overbragte de ham Balaks Ord.
041608008f	Han sagde til dem: "Bliv her Natten over, så skal jeg give eder Svar, efter som HERREN vil tale til mig!" Moabs Høvdinger blev da hos Bileam.
0416090046	Men Gud kom til Bileam og spurgte: "Hvem er de Mænd, som er hos dig?"
04160a0051	Men Bileam svarede Gud: "Zippors Søn, Kong Balak af Moab, har sendt mig det Bud:
04160b008f	Se, et Folk er udvandret fra Ægypten og har oversvømmet Landet! Kom nu og forband mig det, måske jeg da kan overvinde det og jage det bort!"
04160c0069	Men Gud sagde til Bileam: "Du må ikke gå med dem, du må ikke forbande det Folk, thi det er velsignet!"
04160d00a5	Næste Morgen stod Bileam op og sagde til Balaks Høvdinger: "Vend tilbage til eders Land, thi HERREN vægrer sig ved at give mig Tilladelse til at følge med eder!"
04160e0068	Da brød Moabs Høvdinger op, og de kom til Balak og meldte: "Bileam vægrede sig ved at følge med os!"
04160f0050	Men Balak sendte på ny Høvdinger af Sted, flere og mere ansete end de forrige;
0416100072	og de kom til Bileam og sagde til ham: "Således siger Balak, Zippors Søn: Undslå dig ikke for at komme til mig!
0416110062	Jeg vil lønne dig rigeligt og gøre alt, hvad du kræver af mig. Kom nu og forband mig det Folk!"
04161200b2	Men Bileam svarede Balaks Folk: "Om Balak så giver mig alt det Sølv og Guld, han har i sit Hus, formår jeg dog hverken at gøre lidt eller meget imod HERREN min Guds Befaling;
041613006a	bliv derfor også I her Natten over, for at jeg kan få at vide, hvad HERREN yderligere vil tale til mig!"
04161400ab	Da kom Gud om Natten til Bileam og sagde til ham: "Er disse Mænd kommet til dig for at hente dig, så følg med dem; men du må ikke gøre andet, end hvad jeg siger dig!"
0416150055	Så stod Bileam op næste Morgen og sadlede sit Æsel og fulgte med Moabs Høvdinger.
04161600aa	Men Guds Vrede blussede op, fordi han fulgte med, og HERRENs Engel stillede sig på Vejen for at stå ham imod, da han kom ridende på sit Æsel fulgt af sine to Tjenere.
04161700b4	Da nu Æselet så HERRENs Engel stå på Vejen med draget Sværd i Hånden, veg det ud fra Vejen og gik ind på Marken; men Bileam slog Æselet for at tvinge det tilbage på Vejen.
041618005f	Da stillede HERRENs Engel sig i Hulvejen mellem Vingårdene, hvor der var Mure på begge Sider;
0416190090	og da Æselet så HERRENs Engel, trykkede det sig op til Muren, så det trykkede Bileams Fod op mod Muren, og han gav sig atter til at slå det.
04161a0091	HERRENs Engel gik nu længere frem og stillede sig i en Snævring, hvor det ikke var muligt at komme til Siden, hverken til højre eller venstre.
04161b0089	Da Æselet så HERRENs Engel, lagde det sig ned med Bileam. Da blussede Bileams Vrede op, og han gav sig til at slå Æselet med Stokken.
04161c007a	Men HERREN åbnede Æselets Mund, og det sagde til Bileam: "Hvad har jeg gjort dig, siden du nu har slået mig tre Gange?"
04161d006d	Bileam svarede Æselet: "Du har drillet mig; havde jeg haft et Sværd i Hånden, havde jeg slået dig ihjel!"
04161e00bd	Men Æselet sagde til Bileam: "Er jeg ikke dit eget Æsel, som du har redet al din Tid indtil i Dag? Har jeg ellers haft for Vane at bære mig således ad over for dig?" Han svarede: "Nej!"
04161f009b	Da åbnede HERREN Bileams Øjne, og han så HERRENs Engel stå på Vejen med draget Sværd i Hånden; og han bøjede sig og kastede sig ned på sit Ansigt.
04162000a9	Men HERRENs Engel sagde til ham: "Hvorfor slog du dit Æsel de tre Gange? Se, jeg er gået ud for at stå dig imod, thi du handlede overilet ved at rejse imod min Vilje.
041621008d	Æselet så mig og veg tre Gange til Side for mig; og var det ikke veget til Side for mig, havde jeg slået dig ihjel, men skånet dets Liv!"
04162200ac	Da sagde Bileam til HERRENs Engel: "Jeg har syndet, jeg vidste jo ikke, at det var dig, der trådte i Vejen for mig. Men hvis det er dig imod, vil jeg atter vende tilbage."
0416230091	HERRENs Engel sagde til Bileam: "Følg blot med disse Mænd, men du må kun sige de Ord, jeg siger dig!" Så fulgte Bileam med Balaks Høvdinger.
0416240080	Da Balak nu hørte, at Bileam var undervejs, gik han ham i Møde til Ar Moab ved den Grænse, Arnon danner, den yderste Grænse.
04162500a0	Og Balak sagde til Bileam: "Sendte jeg dig ikke Bud og bad dig komme? Hvorfor kom du da ikke til mig? Skulde jeg virkelig være ude af Stand til at lønne dig?"
0416260094	Bileam sagde til Balak: "Se, nu er jeg kommet til dig; men mon det står i min Magt at sige noget? Det Ord, Gud lægger mig i Munden, må jeg tale!"
0416270037	Da fulgte Bileam med Balak, og de kom til Hirjat Huzot.
0416280064	Balak ofrede her Hornkvæg og Småkvæg og sendte noget til Bileam og Høvdingerne, der var hos ham.
041629007a	Næste Morgen tog Balak Bileam med sig og førte ham op til Bamot Bål, hvorfra han kunde øjne den yderste Del af Folket.
0417010062	Og Bileam sagde til Balak: "Byg mig syv Altre her og skaf mig syv unge Tyre og syv Vædre herhen!"
041702005e	Balak gjorde, som Bileam sagde, og Balak og Bileam ofrede en Tyr og en Væder på hvert Alter.
04170300e2	Derpå sagde Bileam til Balak: "Bliv stående her ved dit Brændoffer, så vil jeg gå hen og se, om HERREN mulig kommer mig i Møde. Hvad han da lader mig skue, skal jeg lade dig vide." Så gik han op på en nøgen Klippetop.
041704007d	Da kom Gud Bileam i Møde. Og han sagde til ham: "Jeg har gjort de syv Altre i Stand og ofret en Tyr og en Væder på hvert."
041705005c	Og Gud lagde Bileam Ord i Munden og sagde: "Vend tilbage til Balak og tal således til ham!"
0417060064	Da vendte han tilbage til ham, og se, han stod ved sit Brændoffer sammen med alle Moabs Høvdinger.
0417070099	Og han fremsatte sit Sprog: Fra Aram lod Balak mig hente, Moabs Konge fra Østens Bjerge: "Kom og forband mig Jakob, kom og kald Vrede ned over Isrrael!"
0417080053	Hvor kan jeg forbande, når Gud ej forbander, nedkalde Vrede, når HERREN ej vreds!
0417090082	Jeg ser det fra Klippernes Top, fra Højderne skuer jeg det, et Folk, der bor for sig selv og ikke regner sig til Hedningefolkene.
04170a0086	Hvem kan måle Jakobs Sandskorn, hvem kan tælle Israels Støvgran? Min Sjæl dø de oprigtiges Død, og mit Endeligt vorde som deres!
04170b0090	Da sagde Balak til Bileam: "Hvad har du gjort imod mig! Jeg lod dig hente, for at du skulde forbande mine Fjender, og se, du har velsignet dem!"
04170c0054	Men han svarede: "Skal jeg ikke omhyggeligt sige, hvad HERREN Iægger mig i Munden?"
04170d00a9	Da sagde Balak til ham: "Følg med mig til et andet Sted, hvorfra du kan se Folket, dog kun den yderste Del deraf og ikke det hele, og forband mig det så fra det Sted!"
04170e0078	Og han tog ham med til Udkigsmarken på Toppen af Pisga og rejste der syv Altre og ofrede en Tyr og en Væder på hvert.
04170f0076	Derpå sagde Bileam til Balak: "Bliv stående her ved dit Brændoffer, medens jeg ser efter, om der møder mig noget!"
0417100067	Da kom Gud Bileam i Møde og lagde ham Ord i Munden og sagde: "Vend tilbage til Balak og tal således!"
0417110087	Så kom han hen til ham, og se, han stod ved sit Brændoffer sammen med Moabs Høvdinger; og Balak spurgte ham: "Hvad har HERREN sagt?"
0417120050	Da fremsatte han sit Sprog: Rejs dig, Balak, og hør, lyt til mig, Zippors Søn!
041713009e	Gud er ikke et Menneske, at han skulde lyve, et Menneskebarn, at han skulde angre; mon han siger noget uden at gøre det, mon han taler uden at fuldbyrde det?
0417140047	Se, at velsigne er mig givet, så velsigner jeg og tager intet tilbage!
041715006e	Man skuer ej Nød i Jakob, ser ej Trængsel i Israel; HERREN dets Gud er med det, og Kongejubel lyder hos det.
0417160039	Gud førte det ud af Ægypten, det har en Vildokses Horn.
0417170075	Thi mod Jakob hjælper ej Galder, Trolddom ikke mod Israel. Nu siger man om Jakob og om Israel: "Hvad har Gud gjort?"
041718008e	Se, et Folk, der står op som en Løvinde, rejser sig som en Løve! Det lægger sig først, når det har ædt Rov og drukket de dræbtes Blod.
0417190057	Da sagde Balak til Bileam: "Vil du ikke forbande det, så velsign det i alt Fald ikke!"
04171a0068	Men Bileam svarede og sagde til Balak: "Har jeg ikke sagt dig, at alt, hvad HERREN siger, det gør jeg!"
04171b008a	Da sagde Balak til Bileam: "Kom, jeg vil tage dig med til et andet Sted, måske det vil behage Gud, at du forbander mig det fra det Sted."
04171c0049	Og Balak førte Bileam op på Toppen af Peor, der rager op over Ørkenen.
04171d0063	Så sagde Bileam til Balak: "Byg mig syv Altre her og skaf mig syv unge Tyre og syv Vædre herhen!"
04171e004e	Balak gjorde, som Bileam sagde, og ofrede en Tyr og en Væder på hvert Alter.
0418010095	Men da Bileam så, at HERRENS Hu stod til at velsigne Israel, gik han ikke som de forrige Gange hen for at søge Varsler, men vendte sig mod Ørkenen
0418020065	og Bileam så op og fik Øje på Israel; som lå lejret Stamme for Stamme. Da kom Guds Ånd over ham,
0418030060	og han fremsatte sit Sprog: Så siger Bileam, Beors Søn, så siger Manden, hvis Øje er lukket,
041804007e	så siger han, der hører Guds Ord og kender den Højestes Viden, som skuer den Almægtiges Syner, hensunken, med opladt Øje:
041805003c	Hvor herlige er dine Telte, JIakob, og dine Boliger, Israel!
041806007e	Som Dale, der strækker sig vidt, som Haver langs med en Flod, som Aloetræer, HERREN har plantet, som Cedre ved Vandets Bred.
0418070081	Dets Spande flyder over med Vand, dets Korn fåt rigelig Væde. Mægtigere end Agagerdets Konge, og ophøjet er dets kongedømme.
0418080091	Gud førte det ud af Ægypten, det har en Vildokses Horn; det opæder de Folkeslag der står det imod, søndrer deres Ben og knuser deres Lænder
041809008b	Det lægger sig, hviler som en Løve, ja, som en Løvinde, hvo tør vække det! Velsignet, hvo dig velsigner, forbandet, hvo dig forbander!
04180a00bb	Da blussede Balaks Vrede op mod Bileam, og han slog Hænderne sammen; og Balak sagde til Bileam: "For at forbande mine Fjender bad jeg dig komme, og se, nu har du velsignet dem tre Gange!
04180b0066	Skynd dig derhen, hvor du kom fra! Jeg lovede dig rigelig Løn, men mon har HERREN unddraget dig den!"
04180c0054	Men Bileam sagde til Balak: "Sagde jeg ikke allerede til Sendebudene, du sendte mig:
04180d00ae	Om Balak så giver mig alt det Sølv og Guld, han har i sit Hus, kan jeg ikke være ulydig mod HERREN og gøre noget som helst af egen Vilje; hvad HERREN siger, vil jeg sige!
04180e0078	Vel, jeg drager til mit Folk, men kom, jeg vil lade dig vide, hvad dette Folk skal gøre ved dit Folk i de sidste Dage."
04180f0064	Derpå fremsatte han sit Sprog: Så siger Bileam, Beors Søn, så siger Manden, hvis Øje er lukket,
041810007e	så siger han, der hører Guds Ord og kender den Højestes Viden, som skuer den Almægtiges Syner, hensunken, med opladt Øje:
04181100b0	Jeg ser ham, dog ikke nu, jeg skuer ham, dog ikke nær! En Sterne opgår af Jakob, et Herskerspir løfter sig fra Israel! Han knuser Moabs Tindinger og alle Setsønnernes Isse.
0418120055	Edom bliver et Lydland, og Seirs undslupne går til Grunde, Israel udfolder sin Magt,
041813001b	og Jakob kuer sine Fjender.
041814007d	Men da han så Amalekiterne, fremsatte han sit Sprog: Det første af Folkene er Amalek, men til sidst vies det til Undergang!
0418150066	Og da han så Keniterne, fremsatte han sit Sprog: Urokkelig er din Bolig, din Rede bygget på Klippen.
041816004d	Kain er dog hjemfalden til Undergang! Hvor længe? Assur skal føre dig bort!
041817004e	Derpå fremsatte han sit Sprog: Ve! Hvo bliver i Live, når Gud lader det ske!
0418180067	Der kommer Skibe fra Kittæernes Kyst; de kuer Assur, de kuer Eber men også han er viet til Undergang!
0418190043	Så drog Bileam tilbage til sin Hjemstavn; og Balak gik også bort.
0419010068	Israeliterne slog sig derpå ned i Sjitim. Men Folket begyndte at bedrive Hor med de moabitiske Kvinder;
041902005e	og da de indbød Folket til deres Guders Slagtofre, spiste Folket deraf og tilbad deres Guder.
0419030050	Og Israel holdt til med Bål Peor; derover blussede HERRENs Vrede op mod Israel,
041904009a	og HERREN sagde til Moses: "Kald alle Folkets Overhoveder sammen og hæng dem op for HERREN under åben Himmel, for at HERRENs Vrede må vige fra Israel!"
041905007f	Og Moses sagde til Israeliternes Dommere: "Enhver af eder skal slå dem af sine Mænd ihjel, der har holdt til med Ba'al Peor!"
04190600cd	Og se, en af Israeliterne kom og førte en midjanitisk Kvinde hen til sine Landsmænd lige for Øjnene af Moses og hele Israeliternes Menighed, medens de stod og græd ved Indgangen til Åbenbaringsteltet.
041907006f	Da nu Pinehas, Præsten Arons Søn Eleazars Søn, så det, trådte han frem af Menighedens Midte, greb et Spyd,
04190800b5	fulgte den israelitiske Mand ind i Sengekammeret og gennemborede dem begge, både den israelitiske Mand og Kvinden, hende gennem Underlivet. Da standsede Plagen blandt Israeliterne.
0419090041	Men Tallet på dem, Plagen havde kostet Livet, løb op til 24000.
04190a0024	Da talede HERREN således til Moses:
04190b00c4	Pinehas, Præsten Arons Søn Eleazars Søn, har vendt min Vrede fra Israeliterne, idet han var nidkær iblandt dem med min Nidkærhed, så at jeg ikke tilintetgjorde Israeliterne i min Nidkærhed.
04190c0035	Derfor skal du sige: Se, jeg giver ham min Fredspagt!
04190d009f	Et evigt Præstedømmes Pagt skal blive hans og efter ham hans Efterkommeres Lod, til Løn for at han var nidkær for sin Gud og skaffede Israeliterne Soning."
04190e0099	Den dræbte Israelit, han, der dræbtes sammenmed den midjanitiske kvinde, hed Zimri, Salus Søn, og var Øverste for et Fædrenehus blandt Simeoniterne;
04190f0084	og den dræbte midjanitiske Kvinde hed Hozbi og var en Datter af Zur, der var Stammehøvding for et Fædrenehus blandt Midjaniterne,
041910002b	HERREN talede fremdeles til Moses og sagde:
0419110024	"Fald over Midjaniterne og slå dem;
04191200cd	thi de faldt over eder med de Rænker, de spandt imod eder i den Sag med Peor og med Hozbi, den midjanitiske Høvdings Datter, deres Landsmandinde, der dræbtes, den Dag Plagen brød løs for Peors Skyld."
041a010054	Efter denne Plage talede HERREN til Moses og Eleazar, Præsten Arons Søn, og sagde:
041a02008d	"Hold Mandtal over hele Israeliternes Menighed fra Tyveårsalderen og opefter, Fædrenehus for Fædrenehus, alle våbenføre Mænd i Israel!"
041a030058	Da mønstrede Moses og Præsten Eleazar dem på Moabs Sletter ved Jordan over for Jeriko
041a04007f	fra Tyveårsalderen og opefter, som HERREN havde pålagt Moses. Og Israeliterne, som var udvandret fra Ægypten, var følgende:
041a050073	Ruben, Israels førstefødte; Rubens Sønner: Fra Hanok stammer Hanokiternes Slægt, fra Pallu Palluiternes Slægt,
041a060040	fra Hezron Hezroniternes Slægt og fra Karmi Karmiternes Slægt.
041a07004d	Det var Rubeniternes Slægter, og de af dem, som mønstredes, udgjorde 43730.
041a080016	Pallus Søn var Eliab;
041a0900c1	Eliabs Sønner: Nemuel, Datan og Abiram; det var den Datan og den Abiram, Menighedens udvalgte, som satte sig op imod Moses og Aron sammen med Koras Tilhængere, da de satte sig op imod HERREN;
041a0a0098	og Jorden åbnede sit Gab og slugte dem sammen med Kora, da hans Tilhængere omkom, idet Ilden fortærede de 250 Mænd, og de blev et Tegn til Advarsel.
041a0b001d	Men Koras Sønner omkom ikke.
041a0c008f	Simeons Sønners Slægter var følgende: Fra Nemuel stammer Nemueliternes Slægt, fra Jamin Jaminiternes Slægt, fra Jakin Jakiniternes Slægt,
041a0d003d	fra Zera Zeraiternes Slægt og fra Sjaul Sjauliternes Slægt.
041a0e0026	Det var Simeoniternes Slægter, 22200.
041a0f0088	Gads Sønners Slægter var følgende: Fra Zefon stammer Zefoniternes Slægt, fra Haggi Haggiternes Slægt, fra Sjuni Sjuniternes Slægt,
041a100035	fra Ozni Ozniternes Slægt, fra Eti Eriternes Slægt,
041a11003e	fra Arod Aroditernes Slægt og fra Ar'eli Ar'eliternes Slægt.
041a120042	Det var Gads Sønners Slægter, de af dem, som mønstredes, 40500.
041a130043	Judas Sønner var Er og Onan. men Er og Onan døde i Kana'ans Land.
041a14008b	Judas Sønners Slægter var følgende: Fra Sjela sammer Sjelaniternes Slægt, fra Perez Pereziternes Slægt og fra Zera Zeraiternes Slægt;
041a150059	Perezs Sønner: Fra Hezron stammer Heztoniternes Slægt og fra Hamul Hamuliternes Slægt.
041a16003a	Det var Judas Slægter, de af dem, som mønstredes, 76500.
041a170069	Issakars Sønners Slægter var følgende: Fra Tola stammer Tolaiternes Slægt, fra Pua Puniternes Slægt;
041a180045	fra Jasjub Jasjubiternes Slægt og fra Sjimron Sjimroniternes Slægt.
041a19003e	Det var Issakars Slægter, de af dem, som mønstredes, 64 300.
041a1a0092	Zebulons Sønners Slægter var følgende: Fra Sered stammer Serediternes Slægt, fra Elon Eloniternes Slægt og fra Jale'el Jale'eliternes Slægt.
