2800000006	Matayu
2a120c0065	Nenga ningulikunga pabhili kwa lijuma, ningubhuha lifungu lya mbinda mabhoko yimo ya motelo yangu.’
2a120d00f5	Peni yula nsumula sumu kakiyima kya kutali, kyangayinula kibhungi kyake kulolekeha kunani kwa Chapanga, ngati kakighakamula mabhoko ghake na kuhokamila pakakukulika kunu pakilongela, ‘Chapanga ghumonele lipyanda, nenga nunmeghite na ulemwa.’
2a120e00ea	Ninguaghombela, yula nsumula sumu kakibhuya ukaya pakalekekehwa ulemwa ghwake, ngati ng'obhe yula nfalisayo ywakalikwehite kwa Chapanga. Kiyaha ywohele ywakalihwachilite kukita nkulu katahuluhwa na ywohele ywakalihuluha katakwehwa.”
2a120f00a8	Linjubha limu amoo bhandu bhakinnyeghela Yesu bhana adokwa ngati kabhayabhike hibhoko hyake ili kakaanonele. Ahundwa bhake paabhonite habhu bhakialakalila bhala bhandu.
2a121000d6	Peni Yesu kakiakema bhala bhana ahike kwa ywombe, kakilongela, “Mualeke bhana adokwa anhikile kwa nenga, hangi nkotoke kuakanikiha, kiyaha Ghubhutwa ghwa Chapanga ghubhegha ghwa bhandu abheghite handa abha bhana.
2a1211008e	Kulyaghila nunguaghombela, ywohele ywa nga kughukingama Ghubhutwa ghwa Chapanga handa mwana nndokwa, katayingila ng'obhe mughubhutwa aghwo.”
2a1212007e	Kilongohi yumo kakinkonya Yesu, “Nhunda ghwa maha, ndende niki ngati nighumokole ubhumi ghwa manjubha ghoha kyanga uhiko?”
2a1213006d	Yesu kakinnyanga, “Kyabhuli ghungunngema ghwa maha? Kahone mundu ghwa maha ngati nga Chapanga ghweka chake.
2a12140098	Ghungughamanya malaghilo gha Musa, ‘Utyahe kata, Kukoma kata, kuyibha kata, unyimiho ghwa uhwangi kata, ghubhayitikile tate ghwako na ma ghwako.’”
2a12150053	Ywombe kakiyanga, “Malaghilo agha ghoha nighakamula tangu pammbeghite kakombo.”
2a1216010c	Yesu pakayihwite agha kakinng'ombela, “Ghupelelwa nnando ghumo. Ghughende ghukahemengane hyoha ghuhibheghite naywo na ghubhapeghe ngalabha ahyo bhandu kapukwa, kya kutenda habho ndo ghwabhegha na utopelo ntangalo kunani kwa Chapanga, mbole ghuhike na ghundughile.”
2a12170053	Pakayihwite lilagho alyo kakihyongoloka muno kiyaha kakibhegha na utopelo ntangalo.
2a12180090	Yesu pakammonite kanguhyongoloka habhu na kakilongela, “Nnole kya bhuli yabhegha kulimba kwa bhanautopelo kuyingila Mughubhutwa ghwa Chapanga!
2a12190099	Kulyaghila yabhegha yelebhu kwa nnyama ywakakemitwe ngamia kuyingila mulilanga lya sasia, chepa kwa bhanautopelo kuyingila mu Ghubhutwa ghwa Chapanga.”
2a121a006c	Bhandu paannyihwite malagho agha bhakinkonya, “Handa yilimba naha, ndo ywoki aywo ywakahotola kulopoka?”
2a121b0054	Yesu kakiayanga, “Gha nga kuhotoleka kwa anabhandu kwa Chapanga ghanguhotoleka.”
2a121c0060	Ndo Petili kakilongela, “Nnole tughaleka ghoha ghatubheghite nagho na tughutughila ghwenga!”
2a121d00ba	Yesu kakiyanga, “Kulyaghila nunguaghombela, mundu ywakalekite lubhagha lwake, ebu nnhumbu ghwake ebu alongo bhake, ebu tate na ma ghwake ebu bhana bhake kwa kya Ghubhutwa ghwa Chapanga
2a121e0069	kaakingamwa matangalo kupitingana ahyo munnima aghu na kuuhiko katakamuhwa ubhumi ghwa manjubha ghoha.”
2a121f00d8	Yesu kakiatola bhala ahundwa bhake mbinda mabhoko yimo na abhili kya kighweka na kakiaghombela, “Nnyihwe, tungughenda ku Yelusalemu na hyoha hityekitwe na ambuye bha Chapanga kwa kya Mwana ghwa Mundu hyaabwitukila.
2a1220007b	Kiyaha kaagheghwa na kukamulwa na bhandu bhaabheghite ng'obhe Ayahudi, nabho bhatantendela mahakataho na bhatanhunila mata.
2a1221004c	Bhatantuta kwa ndomondo na bhatankoma na mu linjubha lya ndatu katahyuka.”
2a1222008a	Ahundwa bhake bhakighamanya ng'obhe malagho agho, kiyaha fwambulo yake yikihihwa kwa bhombe, nabho bhakimanya ng'obhe kyakalongilite Yesu.
2a12230086	Yesu pakabheghite kanguheghelela ku nnima ghwa Yeliko, mundu yumu ywangabhona kakibhegha katama mu bhwegha ya njila paakiyupa utangwo.
2a1224006e	Mundu ywangabhona aywo pakayihwite mayobhe gha lumati lwa bhandu palukinda, kakikonya, “Kubhegha na niki?”
2a1225003e	Bhala bhandu bhakinnyanga, “Yesu ghwa Nasaleti kangupita.”
2a12260066	Yula mundu ywangabhona kakikweha lilobhe pakilongela, “Yesu! Mwana ghwa Daudi, ghumonele luhungu!”
2a1227009e	Bhala bha abheghite ku ulongolo bhakinlakalila bhakinng'obhela kanyamale. Peni mwene kakighendelela kukweha lilobhe “Mwana ghwa Daudi, ghumonele luhungu!”
2a12280068	Yesu kakiyima na kakikwilikiha bhannyeghe mundu aywo kwa mwene. Pakabheghite ugheghela, Yesu kakinkonya,
2a12290055	“Ghungupala nighutendele niki?” Ywombe kakiyanga, “Bambo, ningupala kubhona.”
2a122a0044	Yesu kakinng'ombela, “Ghubhone, kuhyubhalila kwako kughulopoha.”
2a122b009d	Kamu mundu yula kakibhona lisaa lila lila, na kakinntughila Yesu, kunu pakintikila Chapanga. Bhandu bhoha paabhonite mihalo ayi, nabho bhakintikila Chapanga.
2a1301004c	Yesu kakiyingila kunkitami kya Yeliko, naywo kakipita pakati ya kitami akyo.
2a13020087	Mukitami akyo, pakibhegha mundu yumu lihina lyake Sakayo. Mundu aywo kakibhegha nkulu ghwa asumula sumu, kangi kakibhegha yuna utopelo.
2a13030080	Mwene kakipalaha kammone Yesu mundu ghwa kya bhuli. Peni yakya lumati lukulu lwa bhandu kakilepelwa kiyaha kakibhegha nhupitaho.
2a1304008c	Hinu kakilongoha kuulongolo ghwa lula lumati lwa bhandu kakihubhuka munkongo ghwa nkuyu ngati ammone Yesu, kiyaha nge kakinde mu njila yila.
2a130500ac	Yesu pakahikite pahi ya ghula nkongo ghwa nkuyu, kakilolekeha kunani, na kakinng'ombela, “Sakayo ghuhuluke kya kuyumbatika, kiyaha lelo ndahwelekeha ku lubhagha lwako!”
2a13060060	Ndo Sakayo kakihuluka kya kuyumbatika, na kakinkingama Yesu mu lubhagha lwake kya uyelelo nkulu.
2a13070074	Bhandu bhoha bhaabhonite bhakiyanda kuhyongoloka paakilongela, “Kaghenda kubhegha nhenja ghwa mundu yunaulemwa.”
2a130800d4	Peni Sakayo kakiyima na kung'ombela Yesu, “Muyihwe, Bambo! Nenga ndaapegha lihinda lya utopelo ghwangu akapukwa, na handa nikighupoka utopelo ghwa mundu kwa makakala nda mmuyihila pancheche ya utopelo ghula.”
2a13090072	Ndo Yesu kakinng'ombela, “Lelo, ulopoho ghukihika mu lubhagha alu, kiyaha ayu naywo ndi kibheleko kya Abulahamu.
2a130a0049	Kiyaha Mwana ghwa Mundu kahika kupalaha na kulopoha bhandu bhahobhite.”
2a130b00a9	Bhandu bhaannyihwite Yesu bhakihwacha kukita Ghubhutwa ghwa Chapanga ghunguhika masaa ghala ghala na akibhegha ugheghela na Yelusalemu ndo Yesu kakilongela ndambulo ayi.
2a130c00a2	“Pakibhegha mundu yumo ywa lukolo ghwa ghubhutwa, kakibhegha mu mwanja kughenda ku nnima ghwa kutali ngati kakakingame ulongohi ghwa ghubhutwa, mbole kakabhuye.
2a130d00b6	Kukali na kubhuka kakiakema mbinda libhoko yimo muabhandwa bhake na kakiapegha kila yumo kimati kya ngalabha pakilongela, ‘Makatende kyohele na mbiya aywo mbaka pambala kubhuya.’
2a130e0094	Peni bhandu bha nnima ghwake bhakibha paakinnyaghabhalila ndo bhakialaghila ajumbe paakilongela, ‘Tungupala ng'obhe aywo kabhe mutwa ghwetu.’”
2a130f00c6	“Hata naha mundu aywo kakikamuhwa ghubhutwa na kakibhuya ku nnima ghwake. Mbole kakiakema bhala ndumindumi bhake ghwakaalekilite ngalabha ngati kakamanye kya amokolite kwa ndendelo hya kila yumoo.
2a13100091	Nndumitumi ghwa ulongohi kakihika pakilongela, ‘Bambo, kuhumila mukimati kimo ya ngalabha yighunekilite niyimokola mala mbinda mabhoko yimo.’
2a13110099	Yula Nkulu kakinnyanga, ‘Ghutenda maha nbhandwa ghwa maha, kiyaha ghuhyubhalika mumihalo midokwa, ndakupegha makakala mu hitami mbinda mabhoko yimo.’
2a13120080	Ndumindumi ghwa ubhili naywo kakihika, pakilongela, ‘Bambo, mukimati kya ngalabha kighungamuhite kiyonnjokeheka mala nhano.’
2a1313004c	Bambo ghwake kakinnyanga, ‘Na ghwenga ghwa bhegha nkulu muhitami nhano.’
2a1314007d	Mbole kakihika yula nbhandwa yungi pakilongela, ‘Bambo ghutole kimati kya ngalabha hyako. Kiyaha nikiyihiha maha mulipinda.
2a1315008d	Nikiyoghopa kiyaha ghwenga ndo mundu nhakata. Ghwenga ghungutola hilibhi hibheghite hyako ng'obhe, na kunuka hila ghuyihimelihite ng'obhe.’
2a131600c5	Bambo ghwake kakinnyanga, ‘Ningughutosa kwa kya lilagho lyako, ghwenga nbhandwa nhakata, ghukimanya kukita nenga nhakata yunakutola hilibhi hiibheghite hyangu ng'obhe na kunuka kyanga kuhimeleha,
2a13170090	kiyaha niki, ghukihibhika ng'obhe kimati kya ngalabha yangu kwa ayahika ngalabha ngati pamuya ntole yiibheghite yangu na yila yiiyonjokihite?’
2a13180094	Ndo kakiaghombela bhala bhaayimite ugheghela, ‘Mumpoke kimati kya ngalabha yake na makanpeghe yula ywakabheghite na himati mbinda mabhoko yimo.’
2a1319005c	Bhakinng'ombela, ‘Bambo, aywo kabhegha kala na himati hya ngalabha mbinda mabhoko yimo!’
2a131a009a	Kakiayanga, ‘Ninguaghombela kukita, ywohele ywakabheghite na kilibhi, katayonjokehwa, na yula ywa nga kilibhi, hata kila kyakabheghite nakyo, katapokwa,
2a131b0075	peni bhala amyanja bhangu bhene bha nga kupala mmeghe mutwa ghwabhe, maayeghe apa makaakome kunu nenga pannola.’”
2a131c0043	Mbole ya kughalongela agha Yesu kakilongola kughenda ku Yelusalemu.
2a131d00a2	Naywo pakaheghelelite kuhika muhijiji hya Betifage na Betania ugheghele na kitumbi kiikemitwe kitumbi kya mikongo ya miseituni, kakialaghila ahundwa bhake abhili,
2a131e00da	pakialongela, “Nng'endi mu kijiji kila kibheghite mu ulongolo ghwenu, pammegha mu kuyingila mu kijiji akyo, maamona mwana kaputa lyana lyanga kuhubhukwa na mundu ywohele, kabhopwa apwo. Munhughule na munnyeghele apa.
2a131f005c	Handa mundu kataakonya, ‘Bhuli mungunhughula?’ Munng'ombele, ‘Bambo kangunnyupa.’”
2a13200066	Bhala bha alaghilitwe bhakighenda, na bhakibhona hyoha hila hila handa bhula pakaaghombilitwe na Yesu.
2a1321008a	Paabheghite mukunhughula lila kaputa lyana, yula bambo ywakalihughite lila kaputa kakiakonya, “Bhuli mungunhughula alyo kaputa lyana?”
2a13220032	Bhala ahundwa bhakiayanga, “Bambo kangunpala.”
2a132300a7	Bhakinnyegha kwa Yesu lilala kaputa lyana, na mbole ya kuyalika maha mapinda ghabhe munng'ongo ghwa mwana kaputa bhakinhubhuha Yesu mu nng'ongo ghwa mwana kaputa aywo.
2a13240053	Yesu kakighendelela na mwanja ghwake na bhandu bhakiyalila mapinda ghabhe mu njila.
2a132500e7	Pakabheghite ugheghela na Yelusalemu, muuhelelo ghwa kitumbi kya Mikongo ya Miseituni, lumati lwa lahundwa bhake luuntughilite bhakiyanda kuntika Chapanga kwa nnyelelo na kwa lilobhe likulu kwakya ndendelo ya mihabho bhaayibhonite.
2a13260086	Paakilongela, “Kanonelwa Mutwa yunakuhika kwa lihina lya Bambo Chapanga! Uhihimilo kunani kwa Chapanga na ukulu akwo kunani munu.”
2a13270086	Amoo bha Akaafalisayo bha abheghite mulula lumati lwa bhandu bhakinng'ombela Yesu, “Nhunda ghubhalakalile ahundwa bhako anyamale.”
2a1328005e	Yesu kakiayanga, “Nunguaghombela, handa abha bhaanyamala, maganga agha ghaachobha kyobho.”
2a1329005e	Yesu pakabheghite ugheghela na kitami kya ku Yelusalemu na pakakibhonite kitami, kakikililila,
2a132a00b7	pakilongela kwa kya bhandu bha kitami akyo, “Nikipalaha hata lelo mmanyi mihalo ya kutenda ngati mmeghe na uhihimililo, peni hinu ghuihihwa na mahotola ng'obhe kughubhona uhihimilo.
2a132b009a	Kulyaghila manjubha ghaahika, na amyanja bhako bhaakuchengela kindupa kikangamalo kukitindila kitami kyako nabho bhaayanda kukututa kuhuma mumbande hyoha.
2a132c00bb	Bhatakubajanga ghwenga na bhana bhako mu hindupa hyako. Nabho bhataleka ng'obhe liganga limu kunani ya liganga lingi, kiyaha ghukilimanya ng'obhe lisaa lyakahikite Chapanga kukulopoha.”
2a132d008a	Mbole Yesu kakiyingila mulubhigho lwa kitutubhi kya Chapanga, na kakiyanda kuabhingabhinga bhala bhaabheghite mu kuhemengana hilibhi amwo.
2a132e00c6	Naywo kakiaghombela, “Yikityekwa mumalembo gha Chapanga, Chapanga kakilongela, ‘Kitutubhi kya nenga Chapanga kyaabhegha kitutubhi kya nnyupo.’ Peni mwenga mungukitenda kibhe mbako ya apoka.”
2a132f00b5	Mumanjubha ghoha Yesu kakibhegha pakihunda Pakitutubhi kya Chapanga. Peni andundame akulu na ahunda bha malaghilo na hilongohi bha bhandu bhakibhegha paakipalaha njila ngati ankome.
2a13300061	Peni akihotola ng'obhe kiyaha bhandu bhoha bhakibhegha paakinnyihwa kya nga kutagha lilagho limo.
2a140100bb	Mulinjubha limu Yesu pakabheghite pakihunda bhandu Kukitutubhi kya Chapanga na kuaghombela bhandu Nhalo ghwa Maha, andundame akulu, na ahunda bha malaghilo, papamu na aghohi bhakinhikila.
2a14020081	Bhakinkonya, “Ghutughombele, ghunguntenda mihalu ayi kwa ngwiliho ya ghani? Na ndo yoki ywakakupeghite mwenga makakala agha?”
2a14030034	Yesu kakiayanga, “Na nenga nunguyupa munng'ombele,
2a14040047	ubatiso ghwa Yohane ghukihuma kunani kwa Chapanga ebu kwa anabhandu?”
2a14050089	Bhakighombana bhene, paakighomba naha, “Handa patughomba, ‘Ghukihuma kunani,’ katatukonya ‘Yibha bhuli mukihyubhalila ng'obhe?’
2a140600ac	Peni handa patulongela, ‘Ghukihuma kwa ana bhandu,’ bhandu abha bhoha bhatatututa kwa maganga, kiyaha abhegha na lidumbilo kukita Yohane kakibha mbuye ghwa Chapanga.”
2a14070038	Hinu bhakinnyanga, “Tungumanya ng'obhe kughuhumite.”
2a1408006b	Ndo Yesu kakiaghombela, “Na nenga ndabhaghombela ng'obhe ningutenda mihalu ayi kwa makakala gha ghani.”
2a140900c2	Ndo Yesu kakighendelela kuaghombela bhandu ndambulo ayi, “Mundu yumu kakikanda nng'unda ghwake ghwa misabibu, na kakiapegha akandakanda bhankamuhe sumu, mbole kakibhuka kwa manjubha matangalo.
2a140a0100	Manjubha gha mabeno mundu aywo kakinlaghila abhandwa bhake kwa bhala akandakanda bhaapeghite ghula nng'unda, ngati bhanpeghe kimati kya mambeno gha nng'unda ghwake ghwa misabibu. Peni bhala akandakanda bhakintuta, na kunbhingabhinga kyanga kilibhi kyohele.
2a140b008c	Yula nkola nng'unda kakinlaghila kangi nbandwa yungi, na aywo bhakintuta, bhakintendela mihalu ya honi na bhakinbhingabhinga kyanga kilibhi.
2a140c006c	Kangi kakinlaghila ndumindumi yungi ghwandatu, aywo ndo bhakinkechela hilonda na kuntagha panje ya nng'unda.
2a140d008a	Ndo yula bambo nkola nng'unda ghwa misabibu kakilongela, ‘Nda tenda niki? Nda nlaghila mwana ghwangu yununpala, pangi bhatanhokamila.’
2a140e009b	Peni bhala akandakanda bhaakamuhitwe ghula nng'unda, paanmmonite bhakighombana bhene kwa bhene, ‘Ayu ndo yunakuhala, hinu tunkome ngati tuhale twenga.’
2a140f00aa	Habhu, bhakinbhuha panje ya ghula nng'unda ghwa misabibu, na bhakinkoma.” Yesu kakiakonya, “Yula Bambo yunanng'unda ghwa misabibu kataatendela niki bhala akandakanda?
2a141000cf	Katahika na kubhakoma bhala akandakanda, na katabhapegha akandakanda bhangi ghula nng'unda ghwa misabibu.” Bhandu pabhayihwite agha bhakilongela, “Ng'obhe, nhalo aghu ghukotoke kubwitukila kwa twenga!”
2a141100c3	Yesu kakibhahulutulila mehu mbole kakighomba, “Hinu, Malembo agha mang'anyimo fwambulo yake ndo niki? Liganga bhalilemite bhanautendehi ghwa kuchenga hinu libhegha liganga likulu lya pambwegha;
2a1412006e	Mundu ywohele ywakaponekela mu liganga alyo katadunyuka dunyuka na ywoheli liinponekela katabajangika muno.”
2a141300c3	Ahunda bha malaghilo na mandundame akulu bhakipalaha kihokonyo kya kunkamula pala pala pakabheghite kiyaha bhakimanya kukita kakikambuka ndambulo yila kwa kya bhombe. Peni bhakibhayoghopa bhandu.
2a14140124	Kya abhu akulu abho bhakinnyubhatila Yesu bhankamule. Hinu bhakianyegheleha bhandu kwa ngalabha na kualaghila aghende kunkonya Yesu makonyo, bhandu abho akilitenda bhangughatughila ghakaghapala Chapanga, kunu bhakipalaha ng'ebhu ya kunkamula na kunghegha mumakakala gha ntabhala bha Akaaloma.
2a141500a2	Bhandu abho bhaalaghilitwe bhaking'ombela Yesu, “Nhunda, tungumanya kukita ghunguhunda gha hoto yakya bhuli bhandu yinguanogha kutama handa pakapalite Chapanga.
2a14160077	Hinu ghutughombele patughatughila malaghilo, bhuli, yitukwiliha kunpegha sumu Mutwa Nkulu ghwa Akaaloma ebu ng'obhe?”
2a14170039	Peni Yesu kakimanya ntyegho ghwabhe, habhu kakiaghombela,
2a14180088	“Munnangihe akyo kipalamande kya ngalabha, kibhungi aki na lihina ali lya ghani?” Bhakinnyanga, “Kya Mutwa nkulu ghwa Akaaloma.”
2a14190080	Yesu kakiaghombela, “Hinu munpeghe Mutwa nkulu ghwa Akaaloma hiibheghite yake na munpeghe Chapanga hibheghite hya Chapanga.”
2a141a0081	Hinu bhakihotola ng'obhe kunng'omeha kwa lilagho lyohele muulongolo ghwa bhandu na bhakinyamala nuu pakilikangacha liyango lyake.
2a141b006e	Amoo Akaasadukayo, bhala bhaalongela kukita kahone uhyuko ghwa bhaahweghite, bhakinhikila Yesu na bhakinkonya,
2a141c00bd	“Nhunda, Musa kakitutyekela kukita, handa nnongo ghwa mundu yumu kahwegha na kunneka nndala kyanga mwana, hinu nnongo ghwake yingunnogha kuntola aywo nndala ngati kanpapile nnongo ghwake.
2a141d0052	Hinu, bhakibhegha alongo saba, ywa ulongohi kakitolela na kakihwegha kyanga mwana.
2a141e006a	Mbole, yula nnongo ghwa ubhili kakinhala yula nndala nnekwa, hata naha aywo naywo kakihwegha kyanga mwana.
2a141f009b	Ghwandatu naywo kanhala naywo kakihwegha kyanga mwana. Yikibha ubhwabhu abhu kwa alongo bhoha saba kakinhala aywo nndala na bhoha bhakihwegha kyanga mwana.
2a1420002d	Kuuhiko yula nndaala nnekwa naywo kakihwegha.
2a1421007e	Hinu naha, linjubha lya bhandu kuhyuhwa, aywo nndala katabhegha nndala ghwa ghani? Kiyaha kakitolelwa na alongo bhoha saba.”
2a1422004f	Yesu kakiayanya, “Bhandu bhaalama hinu mu nnima aghu bhangutola na kutolelwa.
2a14230097	Peni bhala bhaabhalangitwe na Chapanga kukita yibhanogha kumokola ling'ebhu mu nnima ghula na mu uhyuko ghwa bhaahweghite, kahone kutola ebu kutolelwa.
2a142400a0	Bhene bhaabhegha handa andumitumi ghwa kunani ghwa Chapanga na bhaahwegha kangi ng'obhe. Bhene ndo bhana bha Chapanga, kiyaha bhaahyuka kuhuma kwa bhaahweghite.
2a142500fb	Peni nhalo aghu ghwa kuhyuka kwa bhaahweghite, hata Musa kakilongela agha mumalembo gha Chapanga pala mihomanga pakiyakite mwoto na apwo Bambo Chapanga kakilongela, ‘Ywombe ndo Chapanga ghwa Abulahamu, Chapanga ghwa Isaka na Chapanga ghwa Yakobu.’
2a14260066	Mwene ndo Chapanga bha ahweghite ng'obhe ngati ghwa bhaabhatama, kiyaha bhoha kwa mwene bhangutama.”
2a1427004d	Amoo bha ahunda bha malaghilo bhakilongela, “Nhunda, ghuyanga tela tela!”
2a1428003e	Mbole ya agha kahone mundu ywakayighite kukonya likonyo kangi.
2a1429007c	Mbole Yesu kakiaghombela, “Yibha bhuli bhandu bhalongele kukita Kilisito ywakahaghulitwe na Chapanga ndo mwana ghwa Daudi?
2a142a0077	Mwene Daudi kakityeka mu kitabho kya Sabuli, ‘Bambo kaking'ombela Bambo ghwangu, Ghutame mu kibhoko kyangu kya nnilo,
2a142b0045	mbaka pambala nighutende ghubhahotole amyanja bhako na kuatabhala.’
2a142c005a	Handa Daudi mwene kangunngema Kilisto, ‘Bambo’ Hinu yibha bhuli kabhe mwana ghwake?”
2a142d0048	Bhandu bhoha paabheghite pa akinnyihwa, Yesu kaiaghombela ahundwa bhake,
2a142e0119	“Mulindakile na ahunda bha malaghilo. Bhene apalagha kutyanga paahwala maghwanda matandamaho na kulamuhwa kwa kuhokamilwa mu hindandabhanji. Kunu pabhakitama mu hiteho ya ulongolo mu hitutubhi hya kukonganila Akaayahudi na kutama mu mang'ebhu ya ahenja bha kuhokamilwa mu chekwa.
2a142f009f	Bhanguhipugha mibhagha hya adala alekwa, na ili abhonekane na bhandu kukita bhamaha bhangutundamila mayupo matali. Bhandu handa abho bhaakamuhwa toso ngulu.”
2a15010099	Mbole Yesu pakayinulite meho ghake mumbande hyoha, kakiabhona bhanautopelo bhakibhika hilumbo hyabhe hya ngalabha mulijamanda lya Kitutubhi kya Chapanga.
2a15020053	Kangi kakimmona nndala yumo nnekwa kapukwa, pakibhika amwo mbiya ibhili ya lihabha.
2a1503007d	Ndo Yesu kakilongela, “Kulyaghila nunguaghombela hoto, ayu nndala nnekwa kapukwa kakibhika litulo likulu kupitingana bhoha.
2a150400c9	Kiyaha abha bhandu bhangi bhakibhuha matulo gha hilumbo njoko kwa Chapanga kuhuma muutangalo ghwa utopelo ghwabhe, peni ayu nndala nnekwa mu ukapukwa ghwake, kabhuha kila kyakuntangatila kwa kulama.”
2a150500b6	Amoo bha ahundwa bhake bhakibhegha mu kunnangiha Kitutubhi kya Chapanga kinyelembikitwe kwa maganga gha maha na hilibhi hibhuhitwe handa matulo kwa Chapanga. Peni Yesu kakiaghombela,
2a15060094	“Linjubha lyahika kwa agha ghoha gha mughabhona na mulinjubha alyo kahone liganga limo lya highala kunani mwa lingi, hyoha hya hyahaghunganika.”
2a15070084	Ndo ahundwa abho bhakinnyanga, “Nhunda! Mihalu ayi yaabhwituka pakiki? Na naho yoki yabhoneha kukita yinguheghelela kubhwituka?”
2a150800de	Yesu kakiayanga, “Mlindakile, mundu kakotoke kuakuluha. Kiyaha atangalo bha ahika kwa lihina lyangu, pakilongela, ‘Nenga ndo mwene Kilisto,’ kangi bhaalongela, ‘Uhiko ghwa nnima ghuheghelela.’ Nkotoke kuatughila.
2a15090086	Peni pannyihwa mihalo ya mikoha na bhulwa, nkotoke kuyoghopa. Kiyaha agho ghanogha ghabwituke huti, peni uhiko ghwa nnima, ghukali.”
2a150a0074	Mbole kakiaghombela, “Nnima ghumo ghwaatutana na nnima ghungi, na ghubhutwa ghumo ghwaatutana na ghubhutwa ghungi.
2a150b0099	Pohele paabhegha na migwangwaliko ya lutupi, lung'ahi lwa njala na matamwa gha uhakata munu. Kwaabhegha na milando mikulu ya kuyoghoha handa naho kunani.
2a150c00f8	Peni kukali na kubhwitukila agha ghoha, bhaabhakamula na kubhabamanda. Bhaabhaghegha kwa akulu ghwa hitutubhi hya kukonganila hya Akaayahudi, na kuabhopa muhibhopo, na maagheghwa kwa abhatwa na atabhala kiyaha mwenga mungulihyubalila lihina lyangu.
2a150d0038	Na aywo yaabhegha ng'ebhu yenu ya kunnyimiha kwa bhombe.
2a150e0049	Peni nkotoke kubhegha na bhwaghalihi mumwoyo kukita maalongela niki akwo.
2a150f0082	Kiyaha ndabhapegha malagho na mahala, na kwa mahala agho kahone nmyanja ghwenu nga yumo katahotola kuapingikiha kwa malagho ghake.
2a15100061	Maakilukwa na tate na ma ghwenu, na alongo bhenu na aghanja bhenu na amoo mu mwenga bha abhakoma.
2a1511004f	Maakalalighwa na bhandu bhoha kiyaha mwenga mungulihyubhalila lihina lya nenga.
2a15120035	Peni kahone nga hwili yimo ya kuhobha mu mitwe hyenu.
2a1513002a	Kya kulimbilila maayilopoha myoyo yenu.”
2a1514006d	“Pammona kitami kya Yelusalemu pakitindilwa na machonda, ndo mmanye kukita kukanjaghanwa kwake kukiheghela.
2a151500a7	Apwo bhala bha abheghite kunnima gwa Yudea atughile kuhitumbi, na bhabheghite ku kitami kya Yelusalemu abhuke amwo na abheghite mumighunda akotoke kuyingila ku kitami.
2a15160078	Kiyaha manjubha agho ghabegha manjubha gha kimbamanda ili ghoha ghatyekitwe na ambuye bha Chapanga ghabheghe na shaliya.
2a151700cb	Bhaabhegha na mipinguhi yakyabhuli bhala bhaabheghite na ndumbo na bhala bhaayongea bhana mu manjubha agho! Kiyaha kwa bhegha na himbamanda hikulu mu nnima na kiyaghabhu kya Chapanga kwa kya bhandu abha.
2a151800d3	Bhangi bhaahwegha kwa lukechelo, na bhangi bhaabhegha abhandwa mumilima yingi, na kitami kya Yelusalemu kyaatabhalilwa na bhandu bhangabhegha Ayahudi na kuambamanda bhandu bhake, mbaka ng'ebhu yabhe payipela.”
2a151900af	“Kwaabhegha na naho muluchubha na mulubhalamwehi na mundondwa. Na pa nnima aghu kwabhegha na lung'ahe na lyogha kubhukana na lilobhe lya nyukano nkulu ghwa machi gha lihibha
2a151a0092	Bhandu bhaahima kubhukana na lyogha likuku paakihwacha kyoki yaabwituka mu nnima, kiyaha makakala gha hilibhi hya kunani ku bhwelo hyaatingihikwa.
2a151b005e	Mbole bhaammona Mwana ghwa Mundu paakihika kuhuma kumahundi papamo na likalama na ukulu nkulu.
2a151c0072	Payitandila kubwituka mihalu ayi, nnyime na kuyinula mitwe yenu kunani, kiyaha ulopoho ghwenu ghubha ugheghela.”
2a151d0065	Mbole Yesu kakiaghombela ndambulo ayi, “Mughulolekehe nkongo ghwa tini, na mikongo mitangalo hyoha.
2a151e0048	Payitomolite mahamba, mungumanya kukita ndaluko ghwa mabeno yikiheghela.
2a151f006d	Ubhwabhu abhu, pa mmona mihalu aywo yingubwituka, ndo maamanye kukita Ghubhutwa gwa Chapanga ghuheghelela.”
2a15200065	“Kulyaghila nunguaghombela, bhandu bha kibheleko aki kyaakinda ng'obhe mbaka agha ghoha ghabwituke.
2a1521004d	Kunani kwa Chapanga na nnima ghwaakinda, peni malagho ghangu kukinda kata.”
2a15220090	“Mulindakile, myoyo yenu yikotoke kutopelwa kwa uhukilo, ulobhi, na milando ya ubhumi aghu. Hela bhubho linjubha lila lyahika kwa kuyumbatika.
2a1523008f	Kiyaha handa bhula ntyegho paghukamula, ndo ubhwabhu abhu linjubha lila lyahika kwa bhandu bhoha bha alamite mu kibhungi kya nnima aghu ghwoha.
2a1524007c	Hinu nkilukihe pamunnyupa Chapanga, ngati nlopoke na ghala ghoha ghaabwituka na kuyima mu ulongolo ghwa Mwana ghwa Mundu.”
2a152500b2	Manjubha ghoha pamuhi Yesu kakibhegha pakiahunda bhandu Mukitutubhi kya Chapanga, peni mumakimuhi kakighenda kukitumbi kya mikongo hya Miseituni na kakitamaha akwo kilu kilu nda!
2a15260057	Na bhandu bhoha bhakihika ku Kitutubhi kya Chapanga putiputi ngati apati annyihwa Yesu.
2a16010057	Pakiheghelelite kikubhukubhu kya mangate yanga kubhikwa linjacha, yiikemiteghwe Pasaka.
