0100000006	Genezo
05202c0075	Kaj Moseo venis kaj eldiris ĉiujn vortojn de ĉi tiu kanto antaŭ la oreloj de la popolo, li kaj Josuo, filo de Nun.
05202d0051	Kaj kiam Moseo finis la paroladon de ĉiuj ĉi tiuj vortoj antaŭ la tuta Izrael,
05202e00ba	tiam li diris al ili: Enmetu en vian koron ĉiujn vortojn, per kiuj mi avertas vin hodiaŭ, kaj transdonu ilin al viaj gefiloj, por ke ili penu plenumi ĉiujn vortojn de ĉi tiu instruo.
05202f00a4	Ĉar ne malgrava afero ĝi estas por vi; sed ĝi estas via vivo, kaj per ĉi tiu afero vi longe vivos sur la tero, al kiu vi iras trans Jordanon, por ekposedi ĝin.
052030003c	Kaj la Eternulo ekparolis al Moseo en la sama tago, dirante:
05203100b8	Supreniru sur ĉi tiun monton Abarim, sur la monton Nebo, kiu estas en la lando Moaba, kontraŭ Jeriĥo; kaj rigardu la landon Kanaanan, kiun Mi donas al la Izraelidoj kiel posedaĵon;
05203200a0	kaj mortu sur la monto, sur kiun vi supreniras, kaj alkolektiĝu al via popolo, kiel mortis Aaron, via frato, sur la monto Hor, kaj alkolektiĝis al sia popolo:
05203300a8	pro tio, ke vi pekis kontraŭ Mi inter la Izraelidoj ĉe la Akvo de Malpaco en Kadeŝ, en la dezerto Cin; pro tio, ke vi ne aperigis Mian sanktecon inter la Izraelidoj.
052034006c	Ĉar de malproksime vi vidos la landon, sed vi ne eniros tien, en la landon, kiun mi donas al la Izraelidoj.
0521010059	Kaj jen estas la beno, per kiu benis Moseo, la Dia homo, la Izraelidojn antaŭ sia morto.
05210200b7	Li diris: La Eternulo venis de Sinaj Kaj eklumis al ili de Seir; Li ekbrilis de la monto Paran Kaj venis el milmiloj da sanktuloj; Ĉe Lia dekstra flanko estas fajro de leĝo por ili.
0521030080	Vere Li amas la popolojn; Ĉiuj Liaj sanktuloj estas en Via mano; Kaj ili falis antaŭ Viaj piedoj, Por aŭskulti Viajn vortojn.
0521040045	Instruon transdonis al ni Moseo, Heredaĵon por la komunumo de Jakob.
0521050062	Kaj li fariĝis reĝo en Jeŝurun, Kiam kunvenis la ĉefoj de la popolo, Kune la triboj de Izrael.
052106003e	Vivu Ruben, kaj li ne mortu; Kaj liaj viroj ne estu malmultaj.
05210700b9	Kaj ĉi tion pri Jehuda li diris: Aŭdu, ho Eternulo, la voĉon de Jehuda, Kaj alkonduku lin al lia popolo; Per siaj manoj li sin defendos, Kaj Vi estu helpanto kontraŭ liaj malamikoj.
0521080097	Kaj pri Levi li diris: Viaj signoj de lumo kaj de justo estu por Via sankta viro, Kiun Vi elprovis en Masa, Kun kiu Vi malpacis ĉe la Akvo de Malpaco;
05210900b1	Kiu diras pri sia patro kaj pri sia patrino: Mi ne vidis ilin; Kiu ne rekonis siajn fratojn Kaj ne konis siajn filojn: Ĉar ili observis Viajn dirojn Kaj gardis Vian interligon;
05210a0089	Ili instruu Viajn leĝojn al Jakob Kaj Vian instruon al Izrael; Ili metu incenson antaŭ Vian vizaĝon, Kaj bruloferojn sur Vian altaron.
05210b00a9	Benu, ho Eternulo, lian forton, Kaj favoru la faron de liaj manoj; Frapu la lumbon de tiuj, kiuj leviĝas kontraŭ lin, Kaj de liaj malamantoj, ke ili ne povu releviĝi.
05210c0086	Pri Benjamen li diris: La amato de la Eternulo loĝos sendanĝere ĉe Li; Li protektas lin ĉiutage, Kaj inter Liaj brakoj li ripozas.
05210d008a	Kaj pri Jozef li diris: Benita de la Eternulo estas lia tero, Per donoj de la ĉielo, per roso, Kaj per la profundaĵo, kuŝanta malsupre,
05210e004c	Kaj per donoj, produktataj de la suno, Kaj per donoj, kiujn eligas la lunoj,
05210f0057	Kaj per la plejbonaĵoj de la antikvaj montoj, Kaj per la donoj de la eternaj montetoj,
05211000b2	Kaj per la donoj de la tero kaj de ĝia abundeco. Kaj la favoro de Tiu, kiu aperis en la arbetaĵo, Venu sur la kapon de Jozef Kaj sur la verton de la elektito inter liaj fratoj.
05211100d6	Lia unuenaskita bovido estas belega, Kaj liaj kornoj estas kiel kornoj de bubalo; Per ili li kornobatos ĉiujn popolojn kune ĝis la randoj de la tero. Tio estas la dekmiloj de Efraim, Tio estas la miloj de Manase.
0521120055	Kaj pri Zebulun li diris: Ĝoju, Zebulun, ĉe via eliro; Kaj Isaĥar, en viaj tendoj.
05211300a3	La popolojn ili vokas sur la monton; Tie ili oferbuĉas oferojn de justeco; Ĉar ili nutras sin per la riĉaĵo de la maro, Kaj per trezoroj, kaŝitaj en la sablo.
052114007b	Kaj pri Gad li diris: Benata estu la disvastiganto de Gad; Kiel leono li kuŝas, Kaj li disŝiras brakon kune kun la verto.
05211500bc	Li elrigardis al si komencaĵon, Ĉar tie la leĝdonanto destinis por li parton; Kaj li venis kun la ĉefoj de la popolo, Plenumis la justecon de la Eternulo Kaj Liajn decidojn pri Izrael.
0521160043	Kaj pri Dan li diris: Dan estas juna leono, Kiu elsaltas el Baŝan.
0521170078	Kaj pri Naftali li diris: Naftali estas sata de favoro Kaj plena de beno de la Eternulo; Okcidenton kaj sudon li posedu.
052118007b	Kaj pri Aŝer li diris: Benita inter la filoj estas Aŝer; Li estu amata de siaj fratoj, Kaj li trempu en oleo sian piedon;
052119004d	Fero kaj kupro estu viaj rigliloj; Kaj dum via tuta vivo daŭru via bonstato.
05211a0069	Ne ekzistas simila al Dio, ho Jeŝurun, Kiu sidas en la ĉielo por via helpo, En Sia majesto en la nuboj.
05211b0080	La Dio antikva estas loĝejo, Kaj malsupre estas brakoj eternaj. Kaj Li forpelis de antaŭ vi la malamikon, Kaj diris: Ekstermu.
05211c0077	Kaj Izrael loĝas sendanĝere, sola; La fonto de Jakob estas sur tero de greno kaj mosto, Kaj lia ĉielo gutigas roson.
05211d00c4	Feliĉa vi estas, ho Izrael! Kiu estas simila al vi, popolo helpata de la Eternulo, La ŝildo de via helpo kaj la glavo de via gloro? Flatos vin viaj malamikoj, Kaj vi paŝados sur iliaj altaĵoj.
05220100b0	Kaj Moseo supreniris de la stepo de Moab sur la monton Nebo, sur la supron de Pisga, kiu estas kontraŭ Jeriĥo. Kaj la Eternulo montris al li la tutan landon Gilead, ĝis Dan,
0522020073	kaj la tutan teron de Naftali kaj la teron de Efraim kaj Manase kaj la tutan teron de Jehuda ĝis la ekstrema maro,
0522030059	kaj la teron sudan kaj la distrikton de la valo de Jeriĥo, la urbo de Palmoj, ĝis Coar.
05220400c9	Kaj la Eternulo diris al li: Jen estas la lando, pri kiu Mi ĵuris al Abraham, al Isaak, kaj al Jakob, dirante: Al via idaro Mi ĝin donos. Mi vidigis ĝin al vi per viaj okuloj, sed tien vi ne eniros.
0522050061	Kaj mortis tie Moseo, la servanto de la Eternulo, en la lando Moaba, laŭ la diro de la Eternulo.
0522060072	Kaj li estas enterigita en la valo en la lando Moaba, kontraŭ Bet-Peor; kaj neniu scias lian tombon ĝis hodiaŭ.
0522070076	Kaj Moseo havis la aĝon de cent dudek jaroj, kiam li mortis; ne malakriĝis lia okulo, kaj ne malaperis lia freŝeco.
0522080081	Kaj la Izraelidoj priploris Moseon sur la stepoj de Moab dum tridek tagoj. Kaj pasis la tagoj de plorado kaj funebrado pri Moseo.
05220900b0	Kaj Josuo, filo de Nun, estis plena de spirito de saĝeco, ĉar Moseo metis siajn manojn sur lin; kaj la Izraelidoj aŭskultis lin, kaj agis, kiel la Eternulo ordonis al Moseo.
05220a0063	Ne aperis plu en Izrael profeto tia, kiel Moseo, kiun la Eternulo konis, vizaĝon kontraŭ vizaĝo;
05220b00a2	koncerne ĉiujn signojn kaj miraklojn, kiujn la Eternulo sendis lin fari en la lando Egipta super Faraono kaj super ĉiuj liaj servantoj kaj super lia tuta lando,
05220c007f	kaj koncerne la tutan potencon, kaj ĉiujn mirindajn kaj grandajn farojn, kiujn Moseo faris antaŭ la okuloj de la tuta Izrael.
0600000005	Josuo
0601010072	Post la morto de Moseo, servanto de la Eternulo, la Eternulo diris al Josuo, filo de Nun, helpanto de Moseo, jene:
0601020099	Mia servanto Moseo mortis; kaj nun leviĝu, transiru ĉi tiun Jordanon, vi kaj ĉi tiu tuta popolo, en la landon, kiun Mi donas al ili, al la Izraelidoj.
060103005c	Ĉiun lokon, sur kiun paŝos la plando de via piedo, Mi donas al vi, kiel Mi diris al Moseo.
060104009d	De la dezerto kaj de ĉi tiu Lebanon ĝis la granda rivero, la rivero Eŭfrato, la tuta lando de la Ĥetidoj, ĝis la Granda Maro okcidente, estu viaj limoj.
0601050082	Neniu rezistos al vi dum via tuta vivo; kiel Mi estis kun Moseo, tiel Mi estos kun vi; Mi ne foriros de vi kaj Mi ne forlasos vin.
0601060084	Estu forta kaj kuraĝa; ĉar vi ekposedigos al ĉi tiu popolo la landon, pri kiu Mi ĵuris al iliaj patroj, ke Mi donos ĝin al ili.
06010700bb	Nur estu forta kaj tre kuraĝa, penante agi laŭ la tuta instruo, kiun donis al vi Mia servanto Moseo; ne dekliniĝu de ĝi dekstren nek maldekstren, por ke vi sukcesu ĉie, kien vi iros.
06010800d9	Ĉi tiu libro de la instruo ne foriĝu de via buŝo, sed meditu pri ĝi tage kaj nokte, por ke vi zorge plenumu ĉion, kio estas skribita en ĝi; ĉar tiam vi havos feliĉon sur viaj vojoj, kaj tiam vi havos sukceson.
0601090086	Jen Mi ordonis al vi: estu forta kaj kuraĝa; ne havu teruron kaj ne timu; ĉar kun vi estas la Eternulo, via Dio, ĉie, kien vi iros.
06010a0038	Kaj Josuo ordonis al la oficistoj de la popolo, dirante:
06010b00d8	Iru tra la tendaro, kaj ordonu al la popolo, dirante: Pretigu por vi manĝaĵon, ĉar post tri tagoj vi transiros ĉi tiun Jordanon, por iri ekposedi la landon, kiun la Eternulo, via Dio, donas al vi kiel posedaĵon.
06010c0056	Kaj al la Rubenidoj kaj al la Gadidoj kaj al la duontribo de Manase, Josuo diris jene:
06010d0092	Memoru la aferon, kiun ordonis al vi Moseo, servanto de la Eternulo, dirante: La Eternulo, via Dio, ripozigis vin, kaj donis al vi ĉi tiun teron;
06010e00c2	viaj edzinoj, viaj infanoj, kaj viaj brutoj restos sur la tero, kiun donis al vi Moseo transe de Jordan; kaj vi iru armitaj antaŭ viaj fratoj, ĉiuj, kiuj taŭgas por la milito, kaj helpu ilin,
06010f0121	ĝis la Eternulo ripozigos viajn fratojn, kiel vin, kaj ili ankaŭ ekposedos la teron, kiun la Eternulo, via Dio, donas al ili; tiam vi reiros sur la teron de via posedado, kaj vi posedos ĝin, kiun donis al vi Moseo, servanto de la Eternulo, transe de Jordan, sur la flanko de sunleviĝo.
060110006e	Kaj ili respondis al Josuo, dirante: Ĉion, kion vi ordonis, ni faros, kaj ĉien, kien vi sendos nin, ni iros.
060111006e	Tute tiel, kiel ni obeis Moseon, ni obeos vin; nur la Eternulo, via Dio, estu kun vi, kiel Li estis kun Moseo.
060112008a	Ĉiu, kiu malobeos vian diron kaj ne aŭskultos viajn vortojn en ĉio, kion vi ordonis al li, estos mortigita. Nur estu forta kaj kuraĝa.
06020100db	Kaj Josuo, filo de Nun, sendis el Ŝitim du esplorrigardantojn sekrete, dirinte: Iru, pririgardu la landon kaj Jeriĥon. Kaj ili iris, kaj venis en la domon de malĉastistino, kies nomo estis Raĥab, kaj ili dormis tie.
060202007e	Kaj oni diris al la reĝo de Jeriĥo jene: Jen venis ĉi tien en la nokto viroj el la Izraelidoj, por esplorrigardi la landon.
06020300a5	Tiam la reĝo de Jeriĥo sendis al Raĥab, por diri: Elirigu la virojn, kiuj venis al vi, kiuj venis en vian domon; ĉar por esplorrigardi la tutan landon ili venis.
060204007f	Sed la virino prenis la du virojn kaj kaŝis ilin, kaj diris: Efektive venis al mi la viroj, sed mi ne scias, el kie ili estas;
0602050098	kaj kiam en la mallumo oni estis fermontaj la pordegon, la viroj eliris; mi ne scias, kien la viroj iris; postkuru ilin rapide, ĉar vi kuratingos ilin.
0602060077	Sed ŝi suprenirigis ilin sur la tegmenton, kaj kaŝis ilin en la trunkoj de lino, kiuj kuŝis ĉe ŝi sur la tegmento.
0602070081	La viroj postkuris ilin en la direkto al Jordan ĝis la transirejo; kaj la pordegon oni fermis, post kiam eliris la postkurantoj.
060208004c	Kaj antaŭ ol la kaŝitoj kuŝiĝis, ŝi supreniris al ili sur la tegmenton,
06020900aa	kaj ŝi diris al la viroj: Mi scias, ke la Eternulo transdonis al vi la landon kaj ke teruro pri vi falis sur nin kaj ke timuliĝis antaŭ vi ĉiuj loĝantoj de la lando;
06020a00e1	ĉar ni aŭdis, ke la Eternulo sekigis antaŭ vi la akvon de la Ruĝa Maro, kiam vi eliris el Egiptujo, kaj kiel vi agis kun la du reĝoj de la Amoridoj, kiuj estis transe de Jordan, kun Siĥon kaj kun Og, kiujn vi ekstermis.
06020b0099	Ni aŭdis, kaj ektimis nia koro, kaj en neniu restis kuraĝo antaŭ vi; ĉar la Eternulo, via Dio, estas Dio en la ĉielo supre kaj sur la tero malsupre.
06020c00a7	Kaj nun ĵuru al mi per la Eternulo, ke ĉar mi faris favorkoraĵon al vi, tial ankaŭ vi faros favorkoraĵon al la domo de mia patro; kaj donu al mi signon de vereco,
06020d00a9	ke vi konservos la vivon al mia patro kaj al mia patrino kaj al miaj fratoj kaj al miaj fratinoj, kaj al ĉiu, kiun ili havas, kaj vi savos niajn animojn kontraŭ morto.
06020e00c0	Kaj la viroj diris al ŝi: Nia animo mortu anstataŭ via, se vi ne rakontos pri ĉi tiu nia afero; kaj kiam la Eternulo donos al ni la landon, tiam ni faros al vi favorkoraĵon kaj fidelaĵon.
06020f007d	Kaj ŝi malsuprenigis ilin per ŝnuro tra la fenestro; ĉar ŝia domo estis en la muro de la urbo, kaj ŝi loĝis en la muro.
06021000ad	Kaj ŝi diris al ili: Iru sur la monton, por ke ne renkontu vin la postkurantoj, kaj kaŝu vin tie dum tri tagoj, ĝis la postkurantoj revenos; kaj poste vi iros vian vojon.
0602110061	Kaj la viroj diris al ŝi: Jen kiamaniere ni estos liberaj de via ĵuro, per kiu vi ĵurigis nin:
06021200da	jen ni venos en la landon, kaj vi alligu al la fenestro la ruĝan ŝnuron, per kiu vi nin malsuprenigis; kaj vian patron kaj vian patrinon kaj viajn fratojn kaj la tutan familion de via patro kolektu al vi en la domon;
06021300c9	kaj se iu eliros el la pordo de via domo eksteren, lia sango estos sur lia kapo, kaj ni estos senkulpaj; kaj pri ĉiu, kiu estos kun vi en la domo, lia sango estos sur nia kapo, se ies mano lin tuŝos.
0602140065	Sed se vi rakontos ĉi tiun nian aferon, tiam ni estos liberaj de via ĵuro, per kiu vi ĵurigis nin.
060215007f	Kaj ŝi diris: Ĝi estu, kiel vi diris. Kaj ŝi foririgis ilin, kaj ili iris; kaj ŝi alligis la ruĝan ŝnuron al la fenestro.
060216009f	Kaj ili iris, kaj venis sur la monton, kaj restis tie dum tri tagoj, ĝis revenis la postkurantoj. Kaj la postkurantoj serĉis sur la tuta vojo, kaj ne trovis.
060217009b	Tiam la du viroj iris returne, kaj malsupreniris de la monto, kaj transiĝis, kaj venis al Josuo, filo de Nun, kaj rakontis al li ĉion, kio okazis al ili.
0602180084	Kaj ili diris al Josuo: La Eternulo transdonis en nian manon la tutan landon, kaj ĉiuj loĝantoj de la lando havas timon antaŭ ni.
06030100a1	Kaj Josuo leviĝis frue matene, kaj ili elmoviĝis de Ŝitim kaj alvenis al Jordan, li kaj ĉiuj Izraelidoj, kaj ili tradormis tie la nokton, antaŭ ol transiri.
060302003c	Kaj post paso de tri tagoj la oficistoj iris tra la tendaro,
06030300bd	kaj ordonis al la popolo, dirante: Kiam vi ekvidos la keston de interligo de la Eternulo, via Dio, kaj la pastrojn Levidojn, kiuj portas ĝin, tiam ekmoviĝu de viaj lokoj kaj iru post ili.
06030400be	Sed inter vi kaj ĝi devas esti interspaco de ĉirkaŭ du mil ulnoj da mezuro; ne alproksimiĝu al ĝi, por ke vi sciu la vojon, laŭ kiu vi devas iri; ĉar vi ne iris laŭ tiu vojo antaŭe.
060305005e	Kaj Josuo diris al la popolo: Sanktigu vin, ĉar morgaŭ la Eternulo faros inter vi miraklojn.
06030600a9	Kaj Josuo diris al la pastroj jene: Prenu la keston de interligo, kaj preteriru antaŭ la popolo. Kaj ili prenis la keston de interligo, kaj preteriris antaŭ la popolo.
06030700ad	Kaj la Eternulo diris al Josuo: En ĉi tiu tago Mi komencos altigi vin antaŭ la okuloj de la tuta Izrael, por ke ili sciu, ke kiel Mi estis kun Moseo, tiel Mi estos kun vi.
0603080092	Kaj vi ordonu al la pastroj, kiuj portas la keston de interligo, dirante: Kiam vi venos al la rando de la akvo de Jordan, tiam stariĝu en Jordan.
0603090063	Kaj Josuo diris al la Izraelidoj: Aliru ĉi tien, kaj aŭskultu la vortojn de la Eternulo, via Dio.
06030a00e1	Kaj Josuo diris: Per tio vi ekscios, ke la vivanta Dio estas inter vi, kaj ke Li forpelos de antaŭ vi la Kanaanidojn kaj la Ĥetidojn kaj la Ĥividojn kaj la Perizidojn kaj la Girgaŝidojn kaj la Amoridojn kaj la Jebusidojn:
06030b0055	jen la kesto de interligo de la Sinjoro de la tuta tero transiros antaŭ vi Jordanon.
06030c0054	Kaj nun prenu al vi dek du virojn el la triboj de Izrael, po unu viro el ĉiu tribo.
06030d00eb	Kaj kiam la plandoj de la piedoj de la pastroj, kiuj portas la keston de la Eternulo, la Sinjoro de la tuta tero, haltos en la akvo de Jordan, la akvo de Jordan detiriĝos, la akvo, kiu fluas de supre; kaj ĝi stariĝos, kiel unu muro.
06030e0090	Kaj kiam la popolo elmoviĝis el siaj tendoj, por transiri Jordanon, kaj la pastroj, kiuj portis la keston de interligo, estis antaŭ la popolo,
06030f00d7	kaj kiam la portantoj de la kesto venis al Jordan, kaj la piedoj de la pastroj, kiuj portis la keston, trempiĝis en la rando de la akvo (kaj Jordan estis plena ĉe ĉiuj siaj bordoj dum la tuta tempo de rikoltado),
06031000f4	tiam la akvo, kiu fluis de supre, haltis, stariĝis kiel unu muro, tre malproksime, ĉe la urbo Adam, kiu estas apud Cartan; kaj la akvo, kiu fluis al la maro de la stepo, al la Sala Maro, tute foriris. Kaj la popolo transiris kontraŭ Jeriĥo.
06031100be	Kaj la pastroj, kiuj portis la keston de interligo de la Eternulo, staris forte sur seka tero meze de Jordan, kaj la tuta Izrael iris trans seka tero, ĝis la tuta popolo transiris Jordanon.
060401004c	Kaj kiam la tuta popolo transiris Jordanon, la Eternulo diris al Josuo jene:
0604020042	Prenu al vi el la popolo dek du virojn, po unu viro el ĉiu tribo,
06040300e2	kaj ordonu al ili, dirante: Prenu al vi de ĉi tie, el la mezo de Jordan, kie firme staris la piedoj de la pastroj, dek du ŝtonojn, kaj transportu ilin kun vi, kaj metu ilin sur la nokthaltejo, kie vi pasigos ĉi tiun nokton.
0604040062	Kaj Josuo alvokis la dek du virojn, kiujn li destinis el la Izraelidoj, po unu viro el ĉiu tribo;
06040500bd	kaj Josuo diris al ili: Iru antaŭ la kesto de la Eternulo, via Dio, en la mezo de Jordan, kaj levu al vi sur vian ŝultron ĉiu po unu ŝtono, laŭ la nombro de la triboj de la Izraelidoj;
0604060079	por ke ĉi tio estu signo inter vi. Se viaj infanoj morgaŭ demandos vin, dirante: Pro kio estas ĉe vi ĉi tiuj ŝtonoj?
06040700ee	tiam vi diros al ili: Pro tio, ke disflankiĝis la akvo de Jordan antaŭ la kesto de interligo de la Eternulo; kiam ĝi iris trans Jordanon, disflankiĝis la akvo de Jordan. Kaj ĉi tiuj ŝtonoj estos memorigaĵo por la Izraelidoj eterne.
06040800fc	Kaj la Izraelidoj faris tiel, kiel ordonis Josuo; kaj ili prenis dek du ŝtonojn el meze de Jordan, kiel la Eternulo diris al Josuo, laŭ la nombro de la triboj de la Izraelidoj; kaj ili transportis ilin kun si al la nokthaltejo, kaj kuŝigis ilin tie.
06040900ac	Kaj dek du ŝtonojn Josuo starigis meze de Jordan, sur la loko, sur kiu staris la piedoj de la pastroj, kiuj portis la keston de interligo; kaj ili restis tie ĝis hodiaŭ.
06040a00d5	Kaj la pastroj, kiuj portis la keston, staris meze de Jordan, ĝis finiĝis ĉio, kion la Eternulo ordonis al Josuo diri al la popolo, konforme al ĉio, kion Moseo ordonis al Josuo. Kaj la popolo rapide transiris.
06040b006a	Kaj kiam la tuta popolo transiris, tiam transiris la kesto de la Eternulo kaj la pastroj antaŭ la popolo.
06040c007b	Kaj la Rubenidoj kaj la Gadidoj kaj la duontribo de Manase transiris armitaj antaŭ la Izraelidoj, kiel diris al ili Moseo.
06040d006d	Ĉirkaŭ kvardek mil armitaj militistoj transiris antaŭ la Eternulo por la milito, sur la stepon de Jeriĥo.
06040e008e	En tiu tago la Eternulo altigis Josuon antaŭ la okuloj de la tuta Izrael; kaj ili komencis timi lin, kiel ili timis Moseon dum lia tuta vivo.
06040f0024	Kaj la Eternulo diris al Josuo jene:
0604100052	Ordonu al la pastroj, kiuj portas la keston de atesto, ke ili supreniru el Jordan.
060411003e	Kaj Josuo ordonis al la pastroj, dirante: Supreniru el Jordan.
06041200f2	Kaj kiam la pastroj, kiuj portis la keston de interligo de la Eternulo, supreniris el Jordan, kaj kiam la plandoj de la pastroj leviĝis sur la sekan teron, la akvo de Jordan reiris al sia loko kaj ekfluis kiel antaŭe laŭ ĉiuj siaj bordoj.
060413007f	Kaj la popolo eliris el Jordan en la deka tago de la unua monato, kaj ili starigis sian tendaron en Gilgal, oriente de Jeriĥo.
060414004d	Kaj la dek du ŝtonojn, kiujn ili prenis el Jordan, Josuo starigis en Gilgal.
0604150086	Kaj li diris al la Izraelidoj jene: Se en la venonta tempo viaj filoj demandos siajn patrojn, dirante: Kion signifas ĉi tiuj ŝtonoj?
060416004f	tiam diru al viaj filoj jene: Sur seka tero Izrael transiris ĉi tiun Jordanon;
06041700b9	ĉar la Eternulo, via Dio, elsekigis la akvon de Jordan antaŭ vi, ĝis vi transiris, kiel la Eternulo, via Dio, faris kun la Ruĝa Maro, kiun Li elsekigis antaŭ ni, ĝis ni transiris;
0604180088	por ke ĉiuj popoloj de la tero sciu, ke la mano de la Eternulo estas forta, kaj por ke ili timu la Eternulon, vian Dion, en ĉiu tempo.
0605010134	Kaj kiam ĉiuj reĝoj de la Amoridoj, kiuj loĝis transe de Jordan okcidente, kaj ĉiuj reĝoj de la Kanaanidoj, kiuj loĝis apud la maro, aŭdis, ke la Eternulo elsekigis la akvon de Jordan antaŭ la Izraelidoj, ĝis ili transiris, tiam ektimis ilia koro, kaj ili ne havis plu kuraĝon antaŭ la Izraelidoj.
060502007b	En tiu tempo la Eternulo diris al Josuo: Faru al vi ŝtonajn tranĉilojn, kaj cirkumcidu la Izraelidojn denove, duan fojon.
0605030061	Kaj Josuo faris al si ŝtonajn tranĉilojn, kaj cirkumcidis la Izraelidojn sur la monteto Aralot.
06050400be	Kaj jen estas la kaŭzo, pro kiu Josuo cirkumcidis: la tuta popolo, kiu eliris el Egiptujo, la virseksuloj, ĉiuj militkapablaj, mortis en la dezerto, sur la vojo, kiam ili iris el Egiptujo;
060505009c	ĉar cirkumcidita estis la tuta popolo, kiu eliris; sed ĉiuj, kiuj naskiĝis en la dezerto, sur la vojo, kiam ili iris el Egiptujo, ne estis cirkumciditaj.
0605060151	Ĉar dum kvardek jaroj la Izraelidoj iris en la dezerto, ĝis la tuta popolo militkapabla, kiu eliris el Egiptujo, elmortis, pro tio, ke ili ne obeis la voĉon de la Eternulo; al ili la Eternulo ĵuris, ke Li ne montros al ili la landon, pri kiu la Eternulo ĵuris al iliaj patroj, ke Li donos al ni landon, en kiu fluas lakto kaj mielo.
060507008b	Iliajn filojn Li starigis anstataŭ ili. Tiujn Josuo cirkumcidis; ĉar ili estis necirkumciditaj, ĉar oni ne cirkumcidis ilin dum la vojo.
0605080074	Kaj kiam estis finita la cirkumcidado de la tuta popolo, ili restis sur sia loko en la tendaro, ĝis ili resaniĝis.
0605090088	Kaj la Eternulo diris al Josuo: Hodiaŭ Mi derulis de vi la hontindaĵon de Egiptujo. Kaj tiu loko ricevis la nomon Gilgal ĝis hodiaŭ.
06050a0082	Kaj la Izraelidoj staris tendare en Gilgal, kaj faris la Paskon en la dek-kvara tago de la monato vespere sur la stepo de Jeriĥo.
06050b007c	Kaj ili manĝis el la produktoj de la tero en la sekvanta tago post la Pasko, macojn kaj rostitajn grajnojn en la sama tago.
06050c00c5	Kaj la manao ĉesis fali en la sekvanta tago, post kiam ili manĝis el la produktoj de la tero; kaj la Izraelidoj ne plu havis manaon, sed ili manĝis la produktojn de la lando Kanaana en tiu jaro.
06050d00f0	Kaj okazis, ke kiam Josuo estis apud Jeriĥo, li levis siajn okulojn, kaj ekvidis, ke jen viro staras antaŭ li kaj en sia mano li tenas nudigitan glavon. Kaj Josuo aliris al li, kaj diris al li: Ĉu vi estas nia, aŭ ĉu el niaj malamikoj?
06050e00b0	Kaj tiu diris: Ne, mi estas militestro de la Eternulo, mi nun venis. Tiam Josuo ĵetis sin vizaĝaltere kaj faris adoron, kaj diris al li: Kion mia sinjoro diros al sia sklavo?
06050f0099	Kaj la militestro de la Eternulo diris al Josuo: Demetu viajn ŝuojn de viaj piedoj; ĉar la loko, sur kiu vi staras, estas sankta. Kaj Josuo faris tiel.
0606010060	(Kaj Jeriĥo estis fermita kaj ŝlosita kontraŭ la Izraelidoj; neniu eliris, kaj neniu eniris.)
060602007b	Kaj la Eternulo diris al Josuo: Vidu, Mi transdonis en vian manon Jeriĥon kaj ĝian reĝon kaj ĝiajn fortajn militistojn.
060603005f	Ĉirkaŭiru la urbon ĉiuj militistoj, ĉirkaŭiru la urbon unu fojon; tiel faru dum ses tagoj.
060604009c	Kaj sep pastroj portu sep trumpetojn jubileajn antaŭ la kesto; kaj en la sepa tago ĉirkaŭiru la urbon sep fojojn, kaj la pastroj sonigu per la trumpetoj.
06060500d7	Kaj kiam oni ektrumpetos per la jubilea korno kaj vi ekaŭdos la sonadon de la trumpeto, tiam la tuta popolo ekkriu per laŭta voĉo; kaj la muro de la urbo falos malsupren, kaj la popolo eniru, ĉiu rekte antaŭen.
06060600ab	Kaj Josuo, filo de Nun, alvokis la pastrojn, kaj diris al ili: Portu la keston de interligo, kaj sep pastroj portu sep jubileajn trumpetojn antaŭ la kesto de la Eternulo.
0606070072	Kaj li diris al la popolo: Iru, kaj ĉirkaŭiru la urbon, kaj la armitoj preteriru antaŭ la kesto de la Eternulo.
06060800d1	Kaj post kiam Josuo tion diris al la popolo, sep pastroj, portantaj sep jubileajn trumpetojn antaŭ la Eternulo, ekiris kaj ektrumpetis per la trumpetoj; kaj la kesto de interligo de la Eternulo iris post ili.
060609009b	Kaj la armitoj iris antaŭ la pastroj, kiuj trumpetis per la trumpetoj, kaj la resto de la popolo iris post la kesto; oni iris kaj trumpetis per trumpetoj.
06060a00af	Kaj al la popolo Josuo ordonis, dirante: Ne kriu, kaj ne aŭdigu vian voĉon, kaj neniu vorto eliru el via buŝo, ĝis la tago, kiam mi diros al vi, ke vi kriu; tiam vi krios.
06060b008b	Kaj la kesto de la Eternulo ekiris ĉirkaŭ la urbo, ĉirkaŭiris ĝin unu fojon; kaj ili venis en la tendaron kaj tranoktis en la tendaro.
06060c0051	Kaj Josuo leviĝis frue matene, kaj la pastroj ekportis la keston de la Eternulo.
06060d010d	Kaj la sep pastroj, kiuj portis sep jubileajn trumpetojn antaŭ la kesto de la Eternulo, iris kaj senĉese trumpetis per la trumpetoj; kaj la armitoj iris antaŭ ili, kaj la resto de la popolo iris post la kesto de la Eternulo, kaj oni senĉese trumpetis per trumpetoj.
06060e0071	Kaj ili ĉirkaŭiris la urbon en la dua tago unu fojon, kaj revenis en la tendaron. Tiel oni faris dum ses tagoj.
