2800000007	Mataayo
2813160065	Hanʉ umumura wuyo iigwirɨ gayo, akaja arumikirɨ bhʉkʉngʼu, kʉ kʉbha aarɨ ne ebhegero bhyaru.
28131700a1	Neho Yɨɨsu akabhabhʉʉrɨra abhɨɨga bhaazɨ akabhuga, “Nɨrabhabhʉʉrɨra amaheene, ɨrabha kʉkʉngʼu kumuniibhi kusikɨra mʉbhʉtɨmi bhwa mwisaarʉ.
2813180091	Nɨrabhabhʉʉrɨra naatu, nɨ‑kʉnyʉʉhu ɨngamiya kʉhɨta mwibhanga ryi isindanʉ, kʉkɨra umuniibhi kusikɨra mʉbhʉtɨmi bhwa Mungu.”
2813190092	Hanʉ abhɨɨga bhaazɨ bhiigwirɨ ɨbhu, bhakarʉgʉʉra bhʉkʉngʼu, bhakamubhuurya, “Nangʉ, nɨ‑wɨɨwɨ wʉnʉ akʉtʉra kʉsabhurwa?”
28131a0075	Yɨɨsu akabhamogorera, akabhabhʉʉrɨra, “Kʉbhaatʉ gatakʉtʉrɨkana, nawe kwa Mungu gʉʉsi garatʉrɨkana.”
28131b0075	Peetero akamʉbhʉʉrɨra, “Rora, itwɨ tutigirɨ ebhegero bhyʉsi, tukutunirɨ! Mmbe, na niitwɨ tʉrabhonakɨ?”
28131c0148	Yɨɨsu akabhagarukirya, “Nɨrabhabhʉʉrɨra amaheene, Umwana wʉ Ʉmʉʉtʉ arabha ikɨɨrɨ nchʉ ʉmʉtɨmi kukitumbɨ chazɨ, mʉʉsɨ iihya. Mmbe, ribhaga riyo na niimwɨ bhanʉ muntunirɨ, muriikara kubhitumbɨ bhyɨ ɨkɨtɨmi ikumi na bhɨbhɨrɨ, ɨnʉ mʉratɨnɨra ɨbhɨgambʉ ikumi na bhɨbhɨrɨ bhya Iziraɨri.
28131d00ec	Mmbe, ʉmʉʉtʉ wʉwʉʉsi wʉnʉ atigirɨ inyumba, umwabhʉ, umusubhaati, wiisɨ, unina, abhaana hamwɨ ɨmɨgʉndʉ igʉrʉ waanɨ, arasʉngʼaana bhyʉsi kubhwaru bhʉkʉngʼu. Hamwɨmwɨ na gayo, arabhona ʉbhʉhʉru bhwa kemerano.
28131e00ad	Nawe, abhaatʉ bhaaru bhanʉ bhakusuukwa ribhaga rɨnʉ, bhatakusuukwa ribhaga rɨnʉ rikuuza. Na bhanʉ bhatakusuukwa ribhaga rɨnʉ, bharasuukwa ribhaga rɨnʉ rikuuza.”
28140100c9	Yɨɨsu akangʼeha kʉgamba, “Ʉbhʉtɨmi bhwa mwisaarʉ bhutuubhɨɨnɨ na wʉ ʉmʉgʉndʉ, wʉnʉ aahurukirɨ ritabhʉʉri ziri kuja koha abhaatʉ emeremo mʉmʉgʉndʉ gwazɨ gwɨ ɨmɨzabhiibhu.
2814020079	Hanʉ aamarirɨ kwigwana nabhʉ kʉbha abharɨhɨ wʉmwɨ wʉmwɨ amarihi gu urusikʉ rʉmwɨ, akabhatʉma mʉmʉgʉndʉ.
2814030083	“Hanʉ yaahikirɨ zɨɨsa isatʉ ritabhʉʉri, akahʉrʉka kuja mwisoko, akarora abhaatʉ abhandɨ bhiimiiriirɨ bhataana moremo.
2814040072	Akabhabhʉʉrɨra, ‘Na niimwɨ mujɨ mohoche mʉmʉgʉndʉ gwanɨ gwɨ ɨmɨzabhiibhu, nɨrabharɨha ichanyu.’
28140500a4	Bhʉʉsi bhakaja. “Mmbe hanʉ yaahikirɨ mumwise, akahʉrʉka kuja kʉbhaha abhandɨ emeremo mʉmʉgʉndʉ gwazɨ. Na zɨkahɨta zɨɨsa isatʉ, akakorabhu naatu.
28140600c2	Hanʉ yaahikirɨ ɨsa ikumi na yɨmwɨ rigoroobha, akahʉrʉka naatu kuja mwisoko, akabhona abhandɨ bhiimiiriirɨ. Akabhabhuurya, ‘Ndora mwimiiriirɨ hanʉ urusikʉ rugima mʉtaana moremo?’
28140700b1	“Bhakamʉgarukirya, ‘Nɨ‑kʉ kʉbha atareeho wʉnʉ atʉhɨɨrɨ emeremo.’ “Akabhabhʉʉrɨra, ‘Na niimwɨ mujɨ mokore emeremo mʉmʉgʉndʉ gwɨ ɨmɨzabhiibhu.’
28140800dd	“Mʉkabhuribhuri, umwene mʉgʉndʉ akabhʉʉrɨra umwimiiririri we emeremo, ‘Bhɨrɨkɨra abhahocha bhʉʉsi, ʉbharɨhɨ amarihi gaabhʉ, ʉtangɨ na bhanʉ bhaarumusiirɨ na kʉmariirya na bhanʉ bhaakangatirɨ.’
281409006c	“Neho abhahocha bhanʉ bhaatangirɨ emeremo rigoroobha, bhakaaza bhakahaabhwa amarihi gu urusikʉ rʉmwɨ.
28140a00e1	Hanʉ abhahocha bhanʉ bhaatangirɨ emeremo ritabhʉʉri bhiizirɨ, bhakakina bhararihwa nzaru kʉkɨra abhakɨndichabhʉ bhanʉ bhaarumusiirɨ. Nawe wʉmwɨwʉmwɨ akarihwa zimpirya ziryazirya za amarihi gu urusikʉ rʉmwɨ.
28140b004e	Hanʉ bhaarihirwɨ amarihi gaabhʉ, bhakatanga kwibheerya kwa wʉ ʉmʉgʉndʉ
28140c00fb	bharabhuga, ‘Abhaatʉ bharya bhaarumusiirɨ, bhakʉrirɨ emeremo kwɨ ɨɨsa yɨmwɨbhu! Ɨbhɨɨrɨbhwɨ uturihirɨ kɨrɨngʼɨɨnɨ nabhʉ, ɨnʉ itwɨ tʉkʉrirɨ emeremo ɨmɨkʉngʼu bhʉkʉngʼu ne endekeera itusiriirɨku ryʉbha nyangima?’
28140d00cc	“Wʉ ʉmʉgʉndʉ akagarukirya wʉmwɨ mʉbhahocha bhayo, ‘Mʉsaani waanɨ, nɨkɨɨrɨ kʉkʉkangirirya chʉchʉsi. Awɨɨ, tutiisirirɨɨnʼyɨ kʉbha ʉrakora emeremo kʉmarihi gu urusikʉ rʉmwɨ?
28140e007a	Gega zimpirya zaazʉ ujɨ. Inyɨ nɨsɨɨgirɨ kʉmʉrɨha ʉmʉʉtʉ wa mʉtɨnɨrʉ amarihi kɨrɨngʼɨɨnɨ na gaazʉ.
28140f0092	Nangʉ, nɨtakwisiriribhwa kokorera zimpirya zaanɨ chɨmbu nikwenda? Hamwɨ ʉna rihari kʉ kʉbha inyɨ muhurucha bhʉkʉngʼu kʉbhandɨ?’”
28141000d2	Yɨɨsu akamariirya kwa kʉgamba, “Nawe, abhaatʉ bhaaru bhanʉ bhakusuukwa ribhaga rɨnʉ, bhatakusuukwa ribhaga rɨnʉ rikuuza. Na bhanʉ bhatakusuukwa ribhaga rɨnʉ, bharasuukwa ribhaga rɨnʉ rikuuza.”
281411007d	Hanʉ Yɨɨsu aarɨ mʉnzɨra araja Yɨrusarɨɨmu, akagega abhɨɨga bhaazɨ ikumi na bhabhɨrɨ rusizʉ, akabhabhʉʉrɨra,
28141200aa	“Rora, tʉraja Yɨrusarɨɨmu. Iyo, Umwana wʉ Ʉmʉʉtʉ aragwatwa na kuhirwa kʉbhakʉrʉ bha abhakuhaani na abhiija bhi imigirʉ ja Musa. Bhayo bharatɨnɨra iitwɨ.
281413009b	Akʉmara, bharamuhira kʉBharuumi korereke bhamorege, bhamoteme ɨmɨzariti na komotemerera kʉmʉsarabha. Nawe urusikʉ rwa katatʉ, Mungu aramuryʉra.”
28141400a4	Neho, ʉmʉkari wa Zebhedaayo akaaza kwa Yɨɨsu hamwɨmwɨ na abhaana bhaazɨ bhabhɨrɨbhu, akahigama mʉbhʉtangɨ bhwazɨ, akamʉsabha amokorere kegero kɨmwɨ.
2814150111	Yɨɨsu akamubhuurya, “Oreenda nekokorerekɨ?” Wʉʉsi akamʉgarukirya, “Nɨrasabha ubhiisiririryɨ abhaana bhaanɨ bhanʉ bhabhɨrɨ, bhiikarɨ hamwɨmwɨ na naawɨ mʉbhʉtɨmi bhwazʉ, wʉmwɨ ʉrʉbhaara rwu ubhuryʉ nʉ ʉwʉndɨ ʉrʉbhaara rwʉ ʉbhʉmʉsi.”
28141600a6	Yɨɨsu akamʉgarukirya, “Mʉtɨɨzɨ kɨnʉ mʉkʉsabha. Nangʉ, mʉratʉra kunywa ekekombe chɨ ɨnyaakʉ kɨnʉ nikunywa?” Bhakamʉgarukirya, “Tʉratʉra.”
281417010f	Yɨɨsu akabhabhʉʉrɨra, “Maheene mʉrakinywɨra ekekombe chɨ ɨnyaakʉ yɨnʉ inyɨ nɨkʉnyaaka, nawe kwikara ʉrʉbhaara rwanɨ rwu ubhuryʉ hamwɨ rwʉ ʉbhʉmʉsi gɨtarɨ emeremo janɨ kubhiisiririrya. Umweya guyo nɨ‑kʉbhanʉ Bhaabha amarirɨ kokonzera.”
2814180063	Hanʉ abhɨɨga abhandɨ ikumi bhiigwirɨ gayo, bhakiigatanɨra abhakɨndichabhʉ bhabhɨrɨ bhayo.
28141900cc	Neho Yɨɨsu akabhabhɨrɨkɨra bhʉʉsi hamwɨmwɨ, akabhabhʉʉrɨra, “Mwɨzɨ kʉbha abhakangati bhi ibhyarʉ bharakangata abhaatʉ bhaabhʉ kwa amanaga, na abhakʉrʉ bhaabhʉ bharabhahocha emeremo.
28141a007c	Nawe ɨtaaza ɨkabhabhu kwa niimwɨ. Ʉmʉʉtʉ wʉnʉ akwenda kʉbha ʉmʉkʉrʉ waanyu, areenderwa kʉbha omohocha waanyu.
28141b0062	Naatu, ʉmʉʉtʉ wʉnʉ akwenda kʉbha we embere gatɨ waanyu, areenderwa kʉbha mbʉʉsa waanyu.
28141c00a7	Chɨmburya, Umwana wʉ Ʉmʉʉtʉ atiizirɨ kʉhʉkɨribhwa, nawe akaaza kohokerya abhaatʉ na kuhurucha ʉbhʉhʉru bhwazɨ bhʉbhɨ ubhutuurya kʉbhaatʉ abhaaru.”
28141d0072	Hanʉ Yɨɨsu na abhɨɨga bhaazɨ bharuurɨ mʉrʉbhɨri rwa Yɨriko, riribhita ikʉrʉ rya abhaatʉ rɨkamutuna.
28141e00ed	Rusizʉ wɨ ɨnzɨra yɨnʉ Yɨɨsu aarɨ akʉhɨta, bhaareho abhahʉku bhabhɨrɨ. Hanʉ bhiigwirɨ kʉbha Yɨɨsu arahɨta hayo, bhakabhɨrɨkɨra kwiraka ikʉrʉ, “Ʉmʉkʉrʉ, Umwana wʉ ʉmʉtɨmi Daudi, otororere ɨbhɨgʉngi!”
28141f00b5	Riribhita rya abhaatʉ rɨkabhahaarɨra kʉbha bhakirɨ, nawe ebho bhakakaja kʉbhɨrɨkɨra kwiraka ikʉrʉ, “Ʉmʉkʉrʉ, Umwana wʉ ʉmʉtɨmi Daudi, otororere ɨbhɨgʉngi!”
281420005a	Yɨɨsu akiimɨɨrɨra, akabhabhɨrɨkɨra, akabhabhuurya, “Moreenda nɨbhakorerekɨ?”
2814210046	Abhahʉku bhayo bhakamʉgarukirya, “Ʉmʉkʉrʉ, toreenda torore!”
2814220073	Neho Yɨɨsu akabharorera ɨbhɨgʉngi, akabhakunʼyaku amɨɨsʉ gaabhʉ. Hayohayo, bhakarora, nabhʉ bhakamutuna.
28150100d3	Hanʉ Yɨɨsu na abhɨɨga bhaazɨ bhiisɨmɨɨrɨ Yɨrusarɨɨmu, bhakahika mʉrʉbhɨri rwa Bhɨtifagɨ kʉkɨgʉrʉ chɨ Ɨmɨzɨyituuni. Neho Yɨɨsu akatʉma abhɨɨga bhaazɨ bhabhɨrɨ, akabhabhʉʉrɨra,
281502009c	“Mujɨ mʉrʉbhɨri rʉnʉ rore embere waanyu. Hanʉ mukusikɨramu, mʉrarora ɨtɨkɨrɨ nu umwana wayʉ zɨbhʉhirwɨ. Mʉzɨtazʉrɨ, mondeetere hanʉ.
281503008c	Nʉ ʉmʉʉtʉ wʉwʉʉsi araabhabhuuryɨ, mʉmʉgarukiryɨ, ‘Ʉmʉkʉrʉ arazeenda,’ hayohayo wʉʉsi arabhiisiririrya muuzɨ nazʉ.”
281504006d	Gayo gaakʉriibhwɨ, korereke gabhɨ amangʼana ganʉ Mungu aagambirɨ kʉhɨtɨra ʉmʉrʉʉtɨrɨri waazɨ,
28150500a8	“Ʉbhʉʉrɨrɨ abhaatʉ bha Sayuuni, ‘Rora, ʉmʉtɨmi waanyu araaza kwa niimwɨ, nɨ‑mʉnyʉʉhu, araaza iikɨɨrɨ kʉtɨkɨrɨ, nɨ ɨkɨmʉʉri chayʉ.’”
2815060048	Mmbe, abhɨɨga bhaazɨ bhakaja, bhakakora chɨmbu Yɨɨsu aabhatumirɨ.
281507008b	Hanʉ bhaagarukirɨ kwa Yɨɨsu nɨ ɨtɨkɨrɨ yirya nu umwana wayʉ, bhakaara zengebho igʉrʉ waazɨ, na Yɨɨsu akiikara igʉrʉ wayʉ.
28150800a5	Abhaatʉ bhaaru kwiribhita riyo, bhakaara zengebho zaabhʉ kʉnzɨra. Abhandɨ bhakatɨna ibhisha bhyɨ ɨmɨtɨ na kwara kʉnzɨra igʉrʉ wʉ ʉkʉsʉʉka Yɨɨsu.
28150900e5	Abhaatʉ bhanʉ bhaakangatirɨ embere na bhanʉ bhaarɨ inyuma, bhakatiirya riraka bharabhuga, “Akumibhwɨ Umwana wʉ ʉmʉtɨmi Daudi! Anʉ ʉrʉbhangʉ wʉnʉ akuuza kuriina ryʉ Ʉmʉkʉrʉ! Akumibhwɨ Mungu wa mwisaarʉ!”
28150a008e	Hanʉ Yɨɨsu aasikiirɨ mʉrʉbhɨri rwa Yɨrusarɨɨmu, ʉrʉbhɨri rwʉsi rukiitiimaata. Abhaatʉ bhakiibhuurya, “Nɨ‑wɨɨwɨ wuyo?”
28150b0082	Abhaatʉ kwiribhita riyo bhakagarukirya, “Wʉnʉ nɨ‑Yɨɨsu! Nɨ‑mʉrʉʉtɨrɨri wa Nazarɨɨti mucharʉ cha Gariraaya!”
28150c00e6	Yɨɨsu akasikɨra mwihekaaru. Akaheebhera igʉtʉ abhaatʉ bhanʉ bhaarɨ bhakugurya na kʉgʉra ebhegero. Akabharingʉra zemeeza za bhanʉ bhaarɨ bhakʉkɨranʼya zimpirya ni ibhitumbɨ bhya bhanʉ bhaarɨ bhakugurya ibhiguuti.
28150d00a9	Akabhabhʉʉrɨra, “Yandikirwɨ mʉMaandɨkʉ Amarɨndu, ‘Inyumba yaanɨ ɨrabha inyumba ya amasabhi.’ Nawe imwɨ mʉyɨkʉrirɨ kʉbha ribhigi rya abhasaakuri.”
28150e0069	Mmbe, hanʉ Yɨɨsu aarɨ akɨɨrɨ mwihekaaru, abhahʉku na amagata bhakaja kwawɨ, wʉʉsi akabhahorya.
28150f0107	Nawe hanʉ abhakʉrʉ bha abhakuhaani na abhiija bhi imigirʉ ja Musa bhaarʉʉzɨ ɨbhɨsɨgʉ bhɨnʉ Yɨɨsu aarɨ akokora, na kwigwa ganʉ abhaana bhaarɨ bhakʉgamba kwiraka mwihekaaru, “Akumibhwɨ Umwana wʉ ʉmʉtɨmi Daudi,” bhakiigatana bhʉkʉngʼu.
281510011f	Bhakamubhuurya, “Nangʉ, uriigwa chɨmbu abhaana bhayo bhakubhuga?” Yɨɨsu akabhagarukirya, “Hee niriigwa. Awɨɨ mʉkɨɨrɨ kosoma amangʼana ganʉ gaandikirwɨ mʉMaandɨkʉ Amarɨndu, ‘Wikʉrɨɨrɨ ubhukumya, kʉhɨtɨra iminywa ja abhaana abhasuuhu na abhabhataarɨ’?”
281511005d	Yɨɨsu akabhatiga hayo, akarwa Yɨrusarɨɨmu, akaja kuhindɨra mʉrʉbhɨri rwa Bhɨtaniya.
281512004d	Ritabhʉʉri ryaho, hanʉ aarɨ aragarʉka Yɨrusarɨɨmu, ɨnzara ɨkamurya.
28151300d4	Akarora umutiini rusizʉ wɨ ɨnzɨra. Akagwisukɨra, akabhona gʉtaana imisumʉ, nawe gʉna amatʉʉtʉ ageene. Akagʉbhʉʉrɨra, “Awɨ ʉtakwibhʉra imisumʉ naatu kemerano!” Hayohayo, umutiini gʉkʉʉma.
281514009b	Hanʉ abhɨɨga bha Yɨɨsu bhaarʉʉzɨbhu, bhakarʉgʉʉra bhʉkʉngʼu. Bhakamubhuurya, “Ɨbhɨɨrɨbhwɨ rogendo rʉmwɨ ʉmʉtɨ gʉnʉ gwumirɨ?”
281515010e	Yɨɨsu akabhagarukirya, “Nɨrabhabhʉʉrɨra amaheene, arɨɨbhɨ munu ubhwisirirya bhʉnʉ bhʉtaana makɨbhwɨ, mʉratʉra kʉgakora. Ɨtarɨ ryu umutiini guyo iryene, nawe nʉʉrʉ mʉraabhʉʉrɨrɨ ɨkɨgʉrʉ kɨnʉ, ‘Ihɨka wiitaashɨ mʉnyanza,’ rɨrabha.
2815160055	Arɨɨbhɨ munu ubhwisirirya, chʉchʉsi kɨnʉ mʉkʉsabha kwa Mungu, mʉrabhona.”
28151700ee	Yɨɨsu akasikɨra naatu mwihekaaru. Hanʉ aarɨ ariija, abhakʉrʉ bha abhakuhaani na abhakaruka bha Abhayaahudi bhakamujaku kumubhuurya, “Ganʉ okokora, ʉrakora kwa bhʉnajakɨ? Nɨ‑wɨɨwɨ wʉnʉ akʉhɨɨrɨ ʉbhʉnaja bhuyo?”
28151800ac	Yɨɨsu akabhagarukirya, “Na niinyɨ nɨrabhabhuurya ringʼana rɨmwɨ. Mʉraangaruchiryɨ riyo, na niinyɨ nɨrabhabhʉʉrɨra, nɨrakora gayo kʉbhʉnaja bhwa wɨɨwɨ.
28151900f1	Awɨɨ, ʉbhʉnaja bhwa Yoohana bhwʉ ʉkʉbhatiiza, bhʉkarwa hayi? Bhʉkarwa kwa Mungu kisha kʉbhaatʉ?” Bhakiibhuurya abheene kobheene bharabhuga, “Tʉraabhugɨ, ‘Bhʉkarwa mwisaarʉ,’ aratubhuurya, ‘Ndora mʉtamwisiriiryɨ?’
28151a00a7	Na tʉraabhugɨ, ‘Bhʉkarwa kʉbhaatʉ,’ tʉrʉʉbhaha riribhita rya abhaatʉ bhanʉ, kʉ kʉbha bhʉʉsi bhariisirirya kʉbha Yoohana aarɨ ʉmʉrʉʉtɨrɨri.”
28151b0099	Neho bhakamʉgarukirya, “Tʉtɨɨzɨ.” Wʉʉsi akabhabhʉʉrɨra, “Na niinyɨ nɨtakʉbhabhʉʉrɨra nɨrakora amangʼana ganʉ kwa bhʉnajakɨ.”
28151c010e	Yɨɨsu akangʼeha kʉgamba, “Nangʉ, mʉrarorabhwɨ igʉrʉ we ekerenjo kɨnʉ? Aareho ʉmʉʉtʉ wʉmwɨ wʉnʉ aarɨ na abhaana bhabhɨrɨ. Akaja kumwana we embere, akamʉbhʉʉrɨra, ‘Mwana waanɨ, reero nuujɨ okore emeremo mʉmʉgʉndʉ gwɨ ɨmɨzabhiibhu.’
28151d0061	“Umwana wuyo akamʉgarukirya, ‘Nɨtakuja!’ Nawe hanʉ aachurirɨ amiisɨɨgi gaazɨ, akaja.
28151e00a4	“Neho wiisɨ akaja kumwana wa kabhɨrɨ na kʉmʉbhʉʉrɨra chɨmbu aabhuuriirɨ ʉwʉndɨ wurya. Wʉʉsi akamʉgarukirya, ‘Nɨraja bhaabha!’ Nawe atagiirɨ.
28151f0131	“Nangʉ, kwa bhabhɨrɨ bhayo, nɨ‑wɨɨwɨ wʉnʉ aakʉrirɨ chɨmbu wiisɨ ɨɨndirɨ?” Bhakamʉgarukirya, “Ne‑we embere wurya.” Neho Yɨɨsu akabhuga, “Nɨrabhabhʉʉrɨra amaheene, abharihya bha rigʉʉti na abhasimbɨ rikʉʉrɨɨra bharabhakangatɨra kusikɨra mʉbhʉtɨmi bhwa Mungu.
2815200119	Yoohana akaaza kwa niimwɨ korereke abheerekeereye ɨnzɨra ye eheene, na niimwɨ mutiisiriiryɨ. Nawe abharihya bha rigʉʉti na abhasimbɨ rikʉʉrɨɨra nebho bhaamwisiriiryɨ. Nʉʉrʉ imwɨ hanʉ mwarʉʉzɨ gʉʉsi gayo, mʉkaanga kuchʉra amiisɨɨgi gaanyu na kumwisirirya.
281521016b	“Mwitegeerere ekerenjo ɨkɨndɨ. Aareho ʉmʉʉtʉ wʉmwɨ wʉnʉ aarɨ nʉ ʉmʉgʉndʉ. Mʉmʉgʉndʉ muyo, akahamba ɨmɨzabhiibhu, akagwinaarya ʉrʉbhagʉ akatuka rirʉʉma gatɨgatɨ ryʉ ʉkʉkamɨra amanzi ga zɨzabhiibhu, naatu akʉʉmbaka ɨkɨkʉngʉ ɨkɨrɨɨhu cha abhariibhi mʉmʉgʉndʉ. Akakʉʉdishirya abharimi. Ewe akaja icharʉ ɨkɨndɨ.
281522008c	“Hanʉ ribhaga ryo okogesa ryahikirɨ, umwene ʉmʉgʉndʉ akatʉma bhambʉʉsa bhaazɨ kwa abharimi, korereke bhamogegere imisumʉ jazɨ.
281523009c	Nawe hanʉ bhambʉʉsa bhaazɨ bhaahikirɨ, abharimi bhayo bhakabhagwata, ʉwʉmwɨ bhakamotema, ʉwʉndɨ bhakamwita nʉ ʉwʉndɨ bhakamotema na amabhwɨ.
28152400b2	Umwene ʉmʉgʉndʉ akatʉma naatu bhambʉʉsa abhandɨ, bhaaru kʉkɨra bhanʉ aatumirɨ embere. Abharimi bhayo bhakabhakorera muryamurya, chɨmbu bhaabhakʉrɨɨrɨ bhe embere.
2815250051	Ɨtɨnɨrʉ, akatʉma umwana waazɨ, akiiseega, ‘Bharasʉʉka umwana waanɨ.’
281526009c	“Nawe hanʉ abharimi bharya bhaarʉʉzɨ umwana wuyo, bhakiibhʉʉrɨra, ‘Wʉnʉ newe ʉmʉgabhi wʉ ʉmʉgʉndʉ gʉnʉ. Tumwitɨ korereke togogege.’
2815270048	Mmbe, bhakamugwata, bhakamuhira igʉtʉ wʉ ʉmʉgʉndʉ, bhakamwita.”
281528007d	Yɨɨsu akabhabhuurya, “Nangʉ, hanʉ wʉ ʉmʉgʉndʉ araagarʉkɨ kurwa orogendo rwazɨ, arakorabhwɨ abharimi bharya?”
2815290096	Bhakamʉgarukirya, “Arabharicha kɨbhɨ abhabhɨ bhayo, nʉ ʉmʉgʉndʉ arabhaha abharimi abhandɨ, bhanʉ bhakomoha imisumʉ jazɨ kwa ribhaga.”
28152a0127	Neho Yɨɨsu akabhabhʉʉrɨra, “Mʉkɨɨrɨ kosoma ganʉ gaandikirwɨ mʉMaandɨkʉ Amarɨndu? ‘Riibhwɨ rɨnʉ abhʉʉmbaki bhaangirɨ, neryo rɨbhɨɨrɨ riibhwɨ rikʉrʉ rya rusizʉ. Ʉmʉkʉrʉ newe akʉrirɨ riyo, naryʉ ni‑ringʼana ryʉ ʉkʉrʉgʉʉra mʉmɨɨsʉ gɨɨtʉ.’”
28152b00ac	Akoongera, “Nɨrabhabhʉʉrɨra, Mungu araruusha ʉbhʉtɨmi bhwazɨ kwa niimwɨ na kʉbhaha abhaatʉ bhi ibhyarʉ ɨbhɨndɨ bhanʉ bhakuhurucha imisumʉ igʉrʉ waazɨ.
28152c00a7	Mmbe, ʉmʉʉtʉ wʉwʉʉsi wʉnʉ akʉbha agwiriirɨ riibhwɨ riyo, arabhunɨkabhunɨka. Na wʉwʉʉsi wʉnʉ riibhwɨ riyo rɨraamugwɨrɨ, rɨramusha bhoseeseka.”
28152d0079	Hanʉ abhakʉrʉ bha abhakuhaani na Abhafarisaayo bhiigwirɨ ebherenjo bhyazɨ, bhakoobhoora kʉbha nebho bhakʉgambirwa.
28152e0088	Bhakamohya ɨnzɨra yu ukumugwata, nawe bhakʉʉbhaha riribhita rya abhaatʉ, kʉ kʉbha ebho bhakamenya Yɨɨsu nɨ‑mʉrʉʉtɨrɨri.
2816010062	Yɨɨsu akangʼeha kwija Abhafarisaayo na abhakʉrʉ bha abhakuhaani kokerenjo ɨkɨndɨ akabhuga,
281602006c	“Ʉbhʉtɨmi bhwa mwisaarʉ bhutuubhɨɨnɨ nʉ ʉmʉtɨmi wʉnʉ akʉrirɨ ubhuryakari bhu umwana waazɨ.
2816030079	Akatʉma bhambʉʉsa bhaazɨ bhajɨ kʉbhɨrɨkɨra bhanʉ aarɨ araarikirɨ kubhuryakari, nawe bhʉʉsi bhakaanga kuuza.
281604010e	“Neho akatʉma bhambʉʉsa abhandɨ, akabhabhʉʉrɨra, ‘Mujɨ mʉbhʉʉrɨrɨ bhanʉ naraarikirɨ, “Nɨkʉrirɨ ubhuryakari bhwanɨ. Nisinzirɨ zengʼombe zaanɨ zinuru hamwɨmwɨ ni imitugʉ ɨgɨndɨ iminuru. Na bhyʉsi bhɨbhɨɨrɨ, muuzɨ kubhuryakari!”’
2816050088	Nawe abhaatʉ bhanʉ bharaarikirwɨ, bhakaregana. Bhakaja komeremo jabhʉ, abhandɨ bhakaja mʉmʉgʉndʉ, na abhandɨ bhakaja kusuruja.
281606004a	Abhandɨ bhakagwata bhambʉʉsa bhʉ ʉmʉtɨmi, bhakabhatema na kubhiita.
28160700ba	Mmbe, hanʉ ʉmʉtɨmi iigwirɨ ganʉ gakʉriibhwɨ kwa abhahocha bhaazɨ, akiigatana bhʉkʉngʼu. Akatʉma abhasirikarɨ bhaazɨ bharichɨ abhiiti bharya na kwocha ʉrʉbhɨri rwabhʉ.
28160800a9	“Akʉmara ʉmʉtɨmi wuyo akabhʉʉrɨra bhambʉʉsa bhaazɨ, ‘Ebhegero bhyʉsi bhyu ubhuryakari bhɨmarirɨ kokorwa, nawe abharaarikwa bhataarɨ bhareenderwa kuuza.
281609007b	Mmbe nangʉ, mujɨ kʉnzɨra ya amahʉkana, mʉbhʉʉrɨrɨ bhʉbhʉʉsi bhanʉ mukurumana nabhʉ, bhaazɨ kubhuryakari.’
28160a00a5	Bhambʉʉsa bhayo bhakaja kʉnzɨra, bhakagarʉka na abhaatʉ bhanʉ bhaabharʉʉzɨ, abhabhɨ na abhazʉmu. Bhakasikɨra mwibhuru ryu ubhuryakari kuhika rikiizʉra.
28160b009b	“Nawe hanʉ ʉmʉtɨmi aasikiirɨ mwibhuru ryi isigukuru korereke arore abhagini, akarora ʉmʉʉtʉ wʉmwɨ wʉnʉ atiibhʉhirɨ engebho yu ubhuryakari.
28160c0087	Akamubhuurya, ‘Mʉsaani waanɨ, ʉkasikɨrabhwɨ mʉnʉ, ɨnʉ utiibhʉhirɨ engebho yu ubhuryakari?’ Nawe ʉmʉʉtʉ wuyo akakira.
28160d0095	Mmbe, ʉmʉtɨmi akabhʉʉrɨra abhahocha bhaazɨ, ‘Momobhohe amagʉrʉ na amabhoko, morekere igʉtʉ mukiirimya. Iyo bhararɨra na kokepeha.’”
28160e00b3	Yɨɨsu akamariirya kwa kʉgamba, “Abhaatʉ bhanʉ bhakubhirikirwa kusikɨra mʉbhʉtɨmi bhwa mwisaarʉ, nɨ‑bhaaru, nawe bhanʉ bharʉbhwɨrwɨ kusikɨra, nɨ‑bhasuuhu.”
28160f0062	Mmbe, Abhafarisaayo bhakiibhiringa kʉgambana chɨmbu bharaahaatyɨ Yɨɨsu kwa amangʼana gaazɨ.
2816100155	Akʉmara bhakatʉma abhɨɨga bhaabhʉ hamwɨmwɨ na abhasakirya bha riribhita ryʉ ʉmʉtɨmi Heroode Antipaasi kwa Yɨɨsu. Hanʉ bhaahikirɨ bhakabhuurya Yɨɨsu, “Umwija, tʉmɨnyirɨ kʉbha awɨ nɨ‑mʉʉtʉ we eheene na uriija amaheene igʉrʉ wa amangʼana ga Mungu. Ʉtakwʉbhaha wʉwʉʉsi, nʉʉrʉ abhɨ nu umweya gwi igʉrʉ.
281611008d	Nangʉ ʉtʉbhʉʉrɨrɨ awɨ ʉrarorabhwɨ. Kʉrɨngʼaana ni imigirʉ ja Musa, toreenderwa kʉrɨha rigʉʉti kwa Kaisaari, kisha zɨyi?”
2816120065	Nawe Yɨɨsu akamenya ʉbhʉbhɨ bhwabhʉ, akabhagarukirya, “Abhabhɨɨhi imwɨ, kwakɨ mʉrangema?
