2800000005	Mahte
29050a005e	Acun käna ngmüimkhya kse he naw khaw üngka naw ä a jah ksät vaia Jesuh aktäa a nghuinak.
29050b0031	Acuia mcung peia vawk khawjah ami jah mcah awmki.
29050c006d	Acuna ngmüimkhya naw Jesuh üng, “Vawk hea veia jah tüia, acuia kami lut khai,” ti u lü, ami nghuinak.
29050d00db	Jesuh naw ami luh vaia ti se, ngmüimkhya kse he cun khyang üngka naw lut law u lü vawk hea k’uma lutki he. Thawng nghngih lawkia vawk he cun ami van tuilia dawng u lü, kdang üng ngtäng u lü tui üng ngcumki he.
29050e0086	Vawk sämki he dawng u lü, mlüh k’um la ngnam k’uma jah va mtheh u se khyang he cun i thawnhlawki ti cun teng khai hea lawki he.
29050f007d	Jesuha veia law u lü yai pä hea awmnaka khyang cun ngsuingsa lü akdawa a na ngaw se ami hmuh üng, aktäa kyüei lawki he.
290510007a	Acun hmuki he naw khawyai he awmnaka khyang ikba a awm la, vawk he ihawkba ami kya cun khyang he üng pi ami jah mtheh be.
2905110036	Acuna, Jesuh naw ami khaw a ceh tak vaia ami nghuinak.
2905120079	Jesuh mlawnga khana a kai be üng khawyai hea awmnak khawia khyang naw, “Na hlawnga cit hnga vang” ti lü a nghuinak.
2905130089	Cunsepi Jesuh naw mah lü, “Na ima cit be lü, Bawipa naw na phäha ihlawka a pawh la na khana m'yeneinak a tak jah va mtheha,” a ti.
290514007f	Acunüng, acuna khyang naw cit lü Jesuh naw a phäha a pawh peta mawng cun Mlüh Xa üng va sang hü se ngjaki avan cäiki he.
2905150057	Jesuh tuilia caye kama mlawng am va pek se, acuia khyang khawjah a veia ngcun lawki he.
290516005b	Sinakok mkhawng Jairuh ngmingnaki mat lawki naw Jesuh a hmuh üng a khaw kunga ngdäng lü,
2905170084	“Ka ca, nghnumica aktäa mhnatei ve, phet be lü a xüngseinak vaia law lü na kut a khana mtaih lawa” ti lü aknuia a nghuinak.
2905180063	Acunüng Jesuh a veia cit se khyang khawjah naw läk law u lü a hnuma kcung lawki he naw ami hneh.
2905190041	Acuia nghnumi kum xaleinghngih a thi put lü khuikhaki mat awmki.
29051a0067	Seibawi khawjah naw ami ngnünak, ngui a tak avan am ngsawiei sepi am kyäpei be lü ksehlen law bawki.
29051b0039	Jesuh ami ti a ngjak üng a hnua khyang hea ksunga lawki.
29051c004f	“A suisak dänga hleng ka hneh üng ta ka phet be khai ni,” tia ngai kyuki.
29051d0058	Jesuha suisak a hneh. Acun la a thia put ngdüm lü a pumsa üng natnak daw bekia a sim.
29051e0089	Acun la Jesuh naw a johit amät üngka naw akcea lut lawki ti a ksing la khyang hea ksunga nghlat lü, “U ni ka suisak hnetki?” a ti.
29051f0074	Axüisaw he naw, “Hinkba khyang khawjah naw ning hneh u se hmu ye lü, ‘U ni na hnetki’ na tiki hin” ami ti.
290520003a	Cunsepi Jesuh naw hnetki hmu khaia nghlat lü teng hü se,
2905210086	Nghnumi naw kyüh lü ngxet lü amät üng ihawkba akya ksingki naw law lü Jesuha ma ngdäng lü, a thawnhlawk akcang naküt a mtheh.
2905220082	Acunüng Jesuh naw, “Ka canghnu aw, na jumnak naw ning dawsak be ve. Dim’yenak am cita, na natnak üngka naw yai bea,” a ti.
29052300aa	Acukba ana ngthuhei k’um üng khyang avang Sinakok mkhawng Jairuha im üngka naw law u lü, “I vaia Saja na kbawngkbaieiki ni? Na canu thihpäng ye se,” ami ti law.
2905240062	Jesuh naw ami pyen ia am msui lü Sinakok mkhawnga veia, “Ä kyüha, a jum dänga juma,” a ti.
2905250050	Acunüng Jesuh naw Pita, Jakuk la a na Johana thea u pi a hlawnga am ngkhahpüi.
2905260057	Jairuha ima ami law üng Jesuh naw ana üicai u lü, ana mbawikyapki he a jah hmu üng,
2905270064	Im k’uma lut lü, “I vaia üicai u lü nami kyapki ni? Hnasen cun thiki am ni, ipki ni,” a ti.
29052800a8	Acun he naw ami yaihei. Acuna Jesuh naw ami van kpunga a jah tüih käna hnasena a pa la a nu, acunüng amät jah a ngkhahpüi he am hnasen ami msännaka a jah luhpüi.
2905290081	Acunüng, hnasen cun a kut üng kpang lü, “Talita, Kumi,” a ti, acun cun “Nghnumica aw, tho lawa ti veng!” tinaka kyaki.
29052a0073	Acun la angxita nghnumica cun tho law lü cit hüki. (Ani cun kum xaleinghngih lawki). Acunüng avan cäi lawki he.
29052b005e	Cunsepi, Jesuh naw u üng pi ä ami mtheh vaia jah ksük lü, “A ei vai iyaw pe ua,” a ti.
2906010050	Acuna hmün Jesuh naw ceh ta lü a ngnama cit be se axüisaw he naw pi ami läk.
29060200fa	Sabbath mhmüp pha law se Sinakoka k’uma a jah mthei. Acunüng khyang khawjah awmki he; a ngthu pyen ngja u lü, “Hin naw hawia hina ngkhaw he a jah yahei hü ni? Hina veia themnak pet hin, ia themnak ni? Ahinkba sena müncankse he jah pawhki ni?
2906030095	Hina khyang hin Mariha ca Jakuk, Josep, Judah la Sihmona ami ktai, imksa am kya aih se? A na he pi hin üng am awmki hea kya aih u se?” tia ami ma.
2906040086	Jesuh naw, “Sahma he cun amimäta ngnam, amimäta mjükphyüi la khuikkyawnga thea ta hmün naküta mhlünmtainak yahki he,” a ti.
290605006e	Am phetkia khyang he ajawca hea khana a kut mtaih lü a jah m’yai be thea ta müncankse bilawh i pi am pawh.
290606006f	Khyang he naw am ami jumeia phäha Jesuh aktäa müncaki. Acunüng ngnam he üng jah mthei hü lü ngvei hüki.
2906070076	Jesuh naw xaleinghngih he a veia jah khü lü nghngih cia a jah tüih. Ngmüimkhya kse he jah nängnaka ana a jah pet.
2906080066	Ami ceh üng, “Ksawngkhe thea muk, kthäheinaka ngja, nami kcukcawk üng ngui ä nami jah cehei vai.
2906090040	Khawdawk nami ngcum vai, kcu nghngih ä nami cehei vai,” a ti.
29060a0068	Acuna thea pi Jesuh naw, “Ahawiapi ami ning jah jenak üng nami ceh be vei acuna im üng nami awm vai.
29060b00c3	Am ami ning jah jenak la nami ngthu am ami ngainaka mlüha nami law üng, ceh ta u lü nami khaw üngka mput nami kha hüt vai. Acun cun ami phäha ngthumkhyanak vaia msingnaka kya khai,” a ti.
29060c0067	Acunüng cit u lü, acuna khyang he ami katnak he üngka naw ami nghlat lawnak vaia ngthu va pyenki he.
29060d005e	Khawyai he khawjah jah ksät u lü am phetki he khawjah Olip ksi am jah hluk u se yai beki he.
29060e00d8	Sangpuxang Herod naw Jesuha ngming aktäa ngthang lawkia kyase a ngjak law. Khyang avang he naw, “Baptican Johan thihnak üngka naw tho law be ve. Acunakyase ni, hinkba khyaihbahnak he ani üng awm khai,” ami ti.
29060f006f	Avang he naw, “Elijah ni” ami ti. Avang he naw, “Hin hin ajana ka sahma hea kba, sahma mat ni,” ami ti.
2906100069	Herod naw a ngjak üng, “Hin hin a lu ka khyüna Johan ni, thihnak üngka naw tho law beki ni,” a ti.
2906110097	Isetiakyaüng, Herod naw a na Philipa khyu, Herodih yut lü khyu naki naw, acuna nghnumia phäha Johan cun jah mansak lü thawngim üng a khyuma kyaki.
2906120049	Johan naw Herod üng, “Na naa khyu na khyunak hin nglawiki aw?” a ti.
2906130064	Acunakyase Herodih naw Johan cun hneng lü a mkhyüh vaia a bü, cunsepi Heroda phäha am hnim thei.
29061400ae	Sangpuxang Herod naw Johan cun khyang kdawa kya lü, ngcimcaihkia ksingki naw kyüh lü aktäa a yung. Johana ngthu pyena phäha kyükyawk sepi, a ngthu pyen cun ngai hlüki.
29061500ec	Mhmüp mat üng, Herod naw a hminaka khawmhmüp pawi pawh lü a khyang ngvai he, yekap ngvai he, bawi he la, Kalile khaw üng khyang ngvai he am buh a jah pawh pet. Acunüng Heroda khyu Herodih naw Johan a hnimnak vaia kcün kdaw yahki.
29061600b3	Herodiha canu, nglaca law lü nglam lawki naw, Herod la a ngawhpüia khin he ami mlung aktäa a jah jesak. Acuna sangpuxang naw, “Ipi na ngaih kthäha, ka ning pe khai,” a ti.
2906170069	Acunüng Herod naw khyütam na lü, “Ipi na ngaih kthäha, ka uka khaw amte pi ka ning pe khai” a ti.
290618006f	Acuna nglaca naw a nua veia cit lü, “Ini ka kthäh kawm?” ti se, A nu naw, “Baptican Johana lu,” a ti.
2906190083	Acunja nglaca angxita sangpuxanga veia va cit be lü, “Baptican Johana lu, angxita mlikbe üng na na pet vai ngaih veng!” a ti.
29061a0063	Sangpuxang cun aktäa ngjutki, cunsepi a sitiha phäha la a veia ngawki khin hea phäha am ma thei.
29061b0081	Acuna sangpuxang naw yekap angxita tüi lü, Johana lu a lawpüi vaia a mtheh. Yekap naw thawngima cit lü Johana lu a va khyün.
29061c0058	Acunüng, Johana lu mlikbe üng lawpüi lü nglaca am pe se, nglaca naw a nu üng a pet.
29061d0048	Johana axüisaw he naw ami ngjak üng a yawk va mhläm u lü ami k’ut.
29061e0060	Ngsä he Jesuha veia law be u lü ami pawhmsah he la ami jah mtheimthange avan ami mtheh law be.
29061f00d0	Khyang khawjah citcawn hüki hea kyase, Jesuh la axüisaw he ei, ami ei vaia pi am ngbünei u. Acuna Jesuh naw “Khyang am a awmnaka mi cit vai u, namimät awm u lü asäng nami xüieinak thei vaia,” a ti.
290620002b	Acuna angxinaka mlawng am amimät citki he.
29062100ac	Cunsepi ami ktawih jah hmu u lü, ami unak jah ksingki he naw, ami van mlüh avan üngka naw kawng lama ana dawng u lü, Jesuh la axüisaw he am ami pha phat üng phaki he.
29062200a7	Jesuh mlawng üngka naw kyum law lü khyang aktäkpai, toksäm am awmkia to hea kba law u se jah hmu lü, aktäa mthinmhnateiki. Acunüng tün lü khawjah a jah mthei.
290623006f	Khaw mü law se axüisaw he a veia law u lü, “Hin hin angxinak khawkhyawng khawa kyaki, khaw pi mü pängki.
290624005e	Khyang he jah tüi bea, ahina pipei ngnam he la lomaea ami ei vai kheihei hü u se,” ami ti.
29062500b1	Jesuh naw, “Nangmi naw ami ei vai iyaw jah pe ua,” a ti. Axüisaw he naw, “Cit u lü, denarih ngui phya nghngihphu muk ei vai va khei u lü kami jah pe khai aw?” ami ti.
2906260077	Jesuh naw, “Muk, ijah nami taki aw? Cit u lü va teng ua,” ti se. Hmu u lü, “Muk mhma la nga nghngih,” ami ti.
290627005e	Jesuh naw axüisaw he üng msai kxünga khana aphäh phäha ami jah ngawhsak vaia a jah mtheh.
290628003b	Acunüng avang aphya, avang mhmakip phäh phäha ngawki he.
29062900bd	Acunüng Jesuh naw muk mhma la nga nghngih jah lo lü, khana mang lü, Mhnama veia jenak pyen lü, muk cun boki naw ami yet vaia axüisaw he üng a jah pet. Nga nghngih pi bo lü a jah pet.
29062a001f	Ami van naw ei u lü phüki he.
29062b0045	Axüisaw he naw muk la nga mnawi mkhäm u se, cä xaleinghngih lawki.
29062c0031	Muk eiki he cun kpami däng thawng mhma lawki he.
29062d0092	Jesuh naw khyang he a jah ngpyengsak k’um üng, axüisaw he mlawnga khana jah luhsak ktäih lü, caye tuili kam Bethsaida mlüh da a jah cehsak.
29062e0048	Acukba khyang he a jah khyah käna amät cun ktaiyü khaia mcunga citki.
29062f0046	Khawmü lama mlawng tuili nglung üng ve se, Jesuh amät kawnga awmki.
29063000ba	Acunüng khawkhi naw ami mlawng vei hü hü se, am va pek thei u lü ami ve k’um üng, ngawi lam naji kthum la khyuka nglak üng Jesuh tuia khana ami veia lawki. Jah khye law hlü lü,
2906310043	tuia khana cit se hmuki he naw ngmüimkhyaa sui u lü ngpyangki he.
2906320072	Ami van naw hmu u lü, kyühki he. Jesuh naw, “Dim’yenak am ve ua, kei ni, ä kyüh ua,” ti lü a jah msang.
290633006a	Acunüng ami veia mlawnga khana kai hnga se khawkhi ngdümki. Acunüng ami van aktäa cäi leng lengki he.
2906340074	Isetiakyaüng muk am a jah mcaha mawng pi akcanga am ami ksing theia phäha kyaki; ami ngaikyunak naw am ksing thei.
290635006a	Tuili khe u lü ami va pek käna Kenesaret mlüh kawnga pha law u lü, tui kama ami mlawng cun ami kphung.
2906360048	Mlawng üngka naw ami kyum law la khyang he naw Jesuh cun ami ksing law.
290637008c	Acunakyase khaw üngka avan dawng law u lü, Jesuh awmki ti ami ngjaknak avana, am phetki he cun ami ngjännak maha a veia ami jah kawh law.
29063800ea	Ahawia pi Jesuh a cehnak ngnam avan, mlüh avan la loma avana, am phetkia khyang he jah lawpüi u lü khyang hea ngcunnak hmüna jah ta hüt u lü, a suisak mdawngca hleng hnet vaia ami nghuinak. Acunüng hnetki avan cun phet beki he.
2907010062	Pharise avang he la thum jah mtheiki he Jerusalem üngka naw law u lü Jesuha veia ngcun lawki he.
290702008d	Acunüng axüisaw he naw ami kut mtüihkheh am ei u se jah hmu u lü ami jah msing, acun cun Pharise hea kba ami kut am ami mthiheia kyaki. (
290703007f	Isetiakyaüng, Pharise he la Judah he naw pupa thum läk u lü ami kut aküa am ami mthi üng ei am ami ei khawia phäha kyaki.
29070400b5	Jawituknak üngka naw ami lawpüi ipi am mthi lü am ei u. Pupa thum khawjah läk piling vaia ami ngai he cun khawt he, k’am he, mlikbe he la ihnak he jah mthia ngkhaw hea kyaki.)
29070500c7	Acuna Pharise he la thum jah mtheiki he naw, “Ise na xüisaw he naw pupa he naw jah mthei u lü ami jah tak hüta thum am läk u lü, ami kut mtüihkheh am ei aw sawxatki he ni?” tia, ami kthäh.
29070600ad	Jesuh naw jah msang lü, “Hesajah naw nangmia hleihlaknak hinkba a pyen hin cang ve: ‘Hina khyang he naw ami m'yawng am na ngak u lü, ami mlungmthin am na thuk ta ve u.
290707005a	Amdanga na sawkhah u lü, khyanga thum he Mhnama thum hea kba jah mtheiki he!’ a ti cen,
2907080041	Pamhnama ngthupet yawk u lü khyanga thumcam nami läki,” a ti.
2907090067	Jesuh naw pyen be lü, “Pamhnama ngthupet nami yawknak vaia phäha namimäta thumcam nami ktung naki.
29070a0068	Mosi naw, ‘Na nu la na pa na jah mhlünmtai vai, u pi a nu la a pa jah ksenaki cun mkhyüh vai’ a ti
29070b0091	Cunsepi khyang naw a nu la a pa üng a pet vaia khawhthem ta mah mah lü, ‘hin hin Koban ni’ (Koban ti cun mhnama ka ni tinaka kyaki) ti lü,
29070c002d	a nu pa am a jah kpüikpaknak vaia lam suiki.
29070d0078	Ahinkba namimäta nami jah mtheimthangnak am Mhnama ngthu nami yawkki. Acukba am dawki nami pawh khawjah awmki,” a ti.
29070e0062	Acunüng Jesuh naw khyang khawjah a veia jah khü be lü, “Nami van naw na ngai u lü, ksing ua.
29070f00b6	Nami m'yawng üng ju lutkia nami ei naw pamhnam hjawhkhahnak vaia am ning jah mtüihkhehsak ve, cunsepi nami m'yawng üng lut lawkia ngthu naw ni a ning jah mtüihkhehsak ve” a ti.
290711006b	Jesuh cun khyang he jah yawk lü ima lut se, axüisaw he naw acuna suilam a jah mtheh khai vaia ami kthäh.
290712009e	Jesuh naw, “Nangmi pi ahikba sena am nami ngsümki aw? Am nami ksingki he aw? M'yawng üng lutkia ei naw khyang am mtüihkhehsaki tia angsinga nami ksingki.
29071300e2	M'yawng üng lutki cun khyanga mlungmthin k’uma am lut lü a khawnua k’uma ni a luh ve. Acunüng a pumsa üngka naw kpunga lut law bekia kyaki,” a ti. (Acun a pyenak am Jesuh naw ei avan ei vaia nglawiki a tinaka kyaki.)
2907140061	Jesuh naw pyen be lü, “Khyanga k’um üngka naw lut lawki naw va khyang mtüihkhehsak theiki.
2907150059	Isetiakyaüng khyanga mlungmthin k’uma am dawkia ngaihkyunak, m'yuknak, khyang hnimnak,
290716009a	khyanga khyuca katnak, khyanga ka mnaiheinak, am dawkyaki avan jah pawhmsahnak; hleihlaknak, hüipawmnak, ng’eihkyünak, pyenksenak, awhcahnak ja yunak,
2907170067	ahina am dawki he avan cun khyanga k’um üngka naw lut law lü khyang mtüihkhehsakia kyaki,” a ti.
290718007c	Acunüng Jesuh tho law lü Turah mlüh hne peia citeiki. Im mata lut lü u naw pi am a ksing vai ngaih teki, am ngthup thei.
2907190069	Nghnumi mata a canu ngmüimkhya ksea awmnak Jesuha mawng a ngjak üng law lü a khaw kunga ngdäng lawki.
29071a0090	Acuna nghnumi cun Krik nghnumi, Siria khaw Phoinikia hnea hmikia khyanga kyaki. Ani naw a canu üngka khawyai Jesuh naw a ksät vaia a nghuinak.
29071b0073	Cunsepi Jesuh naw, “Ca he jah mbei ma vai. Ca hea ei lo u lü ui he jah tawn pet vai hin am nglawiki ni,” a ti.
29071c006b	Nghnumi naw, “Bawipa aw, cang veki, cunsepi ui he naw pi hnasena buhkbaw mthüpei khawiki he ni,” a ti.
29071d006f	Acunüng Jesuh naw, “Na ngthua phäha, ima cita, canu üngka naw khawyai dawng päng se na hmu khai,” a ti.
29071e005f	Nghnumi naw ima cit be lü a canu üngka khawyai dawng se, a canu a ihnak üng ngkaw se a hmuh.
29071f0058	Jesuh Turah üngka naw Sidon mlüh da cit lü Kalilea phaki. Mlüh Xa khe pah lü citki.
2907200082	Khyang he naw khyang mat am ngthuhei thei lü a nghnga pi pangki Jesuha veia lawpüi u lü a khana a kut a taih vaia ami nghuinak.
2907210086	Acunüng Jesuh naw khyang hea ngbumnak üngka naw akcea khü lü a kutpyün a nghnga khuia ktun lü, a mci am msawh lü a mlei a hneh.
2907220069	Acunüng Jesuh khankhaw da jeng mang lü, “Ephata,” a ti. Acun cun “Nghmawng lawa!” tinaka kyaki.
290723005a	Acunja angxita ngja law be thei lü a mleiyüi pi daw law se angsinga ngthuhei law theiki.
2907240070	Acunüng Jesuh naw u üng pi ä ami mtheh vaia a jah ksük; Cunsepi jah mtheh däm däm se ami sang däm däm u.
2907250094	Acunüng aktäa cäi law u lü, “Hin naw avan jah mdaw be ve! A nghnga kpange pi jah ngjaksak be lü angki he pi jah ngthuheisak be ve!” ami ti.
290801008b	I vei am ngsawk ham se, khyang khawjah Jesuha veia ngbum law be tüki he. Ami ei vai ipi am lawei u se, Jesuh naw axüisaw he jah khü lü,
2908020069	“Hina khyang he naw na mthimhmatei ve u, mhmüp kthum ka veia awm pängki he atuh ami ei vai ipi am ve.
290803008f	Ei ka ami ima ka jah tüih be üng mä lam cäpa bawng u lü khuikha khai he ni; isetiüng avang he bawk bawk ta ami lawnak thuksihki,” a ti.
2908040071	Axüisaw he naw, “U naw, hina khawkhyawng khawa khyang hijaha ei khyawh vai hmu thei khai ni?” tia ami msang.
290805004f	Jesuh naw, “Muk ijah nami taki?” ti lü jah kthäh se, “Khyüh” ami ti.
29080600d2	Jesuh naw khyang he mdeka khana a jah ngawsak. Acunüng muk khyüh lo lü Pamhnama veia jenaka ngthu pyen lü, jah bo lü, axüisaw he am khyang hea veia ami jah yet vaia jah pe se, axüisaw he naw ami jah yet.
290807005e	Nga ajaw ami tak pi Jesuh naw Pamhnama veia jenak pyen lü ami yet vaia axüisaw he a jah pet.
2908080062	Ami van naw ei u lü phüki he. Ami ei käna axüisaw he naw mkhäm u se akpawih cä khyüh lawki.
290809003b	Eikie cun thawng phyü lawki he. Acun käna jah tüih be se
29080a003d	mlawng üng axüisaw he am lut u lü Damanuta khawa citki he.
29080b0089	Pharise avang Jesuha veia law u lü ngcuhpüiki he naw, Pamhnam naw a kcangnak angsingnak vaia mhnüteinak khanaka müncankse ami kthäh.
29080c00ca	Cunsepi Jesuh naw a mlungmthin k’uma aktäa ngko lü, “Ise atuha kcün khyang he naw müncankse ami kthäh ni? Akcanga ka ning jah mthehki! Msingnak mat pi am ning jah mhnüh hlü ve nawng,” a ti.
29080d003d	Jah yawk hütki naw mlawng üng lut be lü tuili cayea citki.
29080e0059	Axüisaw he naw ami ei khyawh vai muk mhnih hüt u lü mlawng üng muk mat däng taki he.
29080f0063	Jesuh naw, “Pharise hea nghngenla Heroda nghngen üng ngxungei kyu u lü ngcäiei na ua,” a ti.
2908100051	Axüisaw he naw, “Muk am mi ta se va hinkba pyen mäih ja,” tia ngthähki he.
29081100b0	Jesuh naw ami ngthäh kyu jah ksing lü, “I vai muk am nami taka phäha nami ngthäh kyuki ni? Atuh pi nami mlungmthin am am nami ksing hamki aw? Nami mlung nghlang hamki aw?
290812005a	Mik mah u lü am nami hmuki aw? Nghnga mah u lü am nami ngjaki aw? Am nami süm hamki aw?
2908130089	Kei naw muk mhma khyang thawng mhma phäha ka pawh üng, kpawihki cä ijaha ni nami kaw?” ti se, amimi naw, “Xaleinghngih,” ami ti.
2908140090	“Acun käna muk khyüh khyang thawng kphyüa phäha ka pawh üng kpawihki cä ijah ni nami kaw?” ti se, amimi naw, “Cä khyüh,” ami ti.
2908150045	Jesuh naw, “Acunüng ihawkba am ksing u lü nami awmki ni?” a ti.
290816006d	Bethsaida khawa law u se Jesuha veia a mik müki mat khyang avang naw lawpüi u lü a hnet vaia ami nghuinak.
290817009d	Jesuh naw a mik müki a kut üng kpang lü ngnam kpunga cehpüiki naw, a mik üng msawh lü a kut a khana mtaih lü, “Ini na hmu thei,” ti lü, a kthäh.
2908180061	A mik müki naw jeng mang lü, “Ä, khyang he thinga mäiha cit hü u se jah hmu veng,” a ti.
290819008b	Jesuh naw a kut cun a mika khana mtaih beki naw, yet lü a teng süm vaia a mtheh. Acunüng a mik vai law be se, avan a ngkhaia hmu theiki.
29081a004c	Jesuh naw a ima tüi be lü, “Ngnam k’uma ä cit bea,” ti lü a mtheh.
29081b007f	Acunüng Jesuh la axüisaw he cun Kesari Philipih pei ngnam hea citki he. Lama, “Khyang he naw, ua ni ami na ngaih?” ti se,
29081c005a	“Baptican Johan; avang naw Elijah; avang naw sahma he üngka mat mat,” ti ve u ami ti.
29081d0070	Jesuh naw, “Nangmi naw mä ua ni nami na ngaih?” ti se, Pita naw, “Nang cun Mesijah ni,” ti lü a msang.
29081e0030	Acunüng Jesuh naw, “U pi ä mtheh ua” a ti.
29081f00d2	Acunüng Jesuh naw, “Khyanga Capa cun mkhuimkha khai he, axüngvai he, ktaiyü ktung he la, thum jah mtheiki he naw mah u lü, hnim khai he, acunüng amhmüp kthum üng tho law be khai,” ti lü a jah mtheh.
2908200044	Acukba angsinga ngthu jah mtheh se Pita naw akcea khü lü a ksenak.
29082100cf	Cunsepi Jesuh naw nghlat hü lü, axüisaw he jah teng lü, Pita üng, “Khawyam aw, ka vei üngka naw cita; na ngaihkyunak Pamhnama vei üngkaa am kya lü khyang üngkaa ni a kya ve,” ti lü a ksenak be.
29082200ad	Acunüng Jesuh naw khyang he la axüisaw he a veia jah khü lü, “Upi ka veia na läk law khaia büki naw amät naw amät yawk lü, a kutlamktung kawt lü, na läk law se.
290823009a	Isetiakyaüng, upi amäta xünnak küikyanei khaia büki naw mkhyüh lü, upi a xünnak keia phäha ja thangkdaw phäha mkhyühki cun naw küikyanei khai.
2908240061	Khyang naw khawmdek avan ka na lü, a xünnak a mkhyüh üng i ngmang na khai ni? I am ngmang na.
290825003a	A xünnak a yahnak be thei vaia i am pi am thawng be thei.
29082600e1	Hina Mhnam am ktäkie la katnaka mhmüp he üng, upi kei la keia mtheimthangnaka phäh ngkekhyakeiki he cun Khyanga Capa naw pi a Pa hlüngtainak la khankhawngsä ngcim he am a law be üng jah ngkekhyakei na be khai,” a ti.
29090100b5	Acunüng amät kung naw ami veia, “Ka ning jah mthehki, hin üng ngdüiki he avang cun Pamhnama khaw hlüngtainak am pha law se, am hmu pha u lü am thi khai he awmki he,” a ti.
290902009e	Amhmüp khyuk käna Jesuh naw, Pita, Jakuk la Johan jah khü lü angxinak khawmcung, a hlüngnaka a jah cehpüi. Acunüng ami maa Jesuh a hmai halangei lawki.
290903006d	A suisak he cun khawmdek khana suisak msawpkie u naw pi acunkba bawk khaia am ami msawp thei vaia bawk lawki.
2909040057	Acunüng Elijah la Mosi cun Jesuh am ngthuhei ni se axüisaw kthum he naw ami jah hmuh.
2909050080	Pita naw, “Saja aw, hia mi ve hin daw ve! na phäha mat, Mosia phäha mat, Elijaha phäha mat, sam kthum pha va üng,” a ti.
290906003e	Ami van kyü ngenki hea kyase, Pita naw i a ti vai am ksingei.
290907009e	Acunüng khawngmei lawki naw a jah ksungin law; kthaih ngmei üngka naw, “Hin hin ka jawng'engnaka ka Capaa kyaki ni, a ngthu ngai ua,” tia ngthang lawki.
2909080059	Acun käna ami pipei ami teng üng i pi am hmu u lü Jesuh däng ami veia ve se ami hmuh.
29090900b2	Mcung üngka naw ami kyum law be üng Jesuh naw, “Khyanga Capa thihnak üngka naw am a thawh law be phata küt üng nami hmuhtheh he u pi ä jah mtheh ua” ti lü a jah ksük.
29090a0073	A mtheh ngjaki he, acunüngpi, “Thihnak üngka naw thawh be tia suilam hin i ni?” tia amimät ngthäh kyuki he.
29090b006b	Axüisaw he naw Jesuh üng, “Ise thum jah mtheiki he naw Elijah law ma khai ami ti ni?” tia ami kthäh.
29090c008b	Jesuh naw, “Elijah cun law ma kung lü avan jah pyangtham law be khai. Ise cangcim naw Khyanga Capa mah u se aktäa khuikha khai a ti ni?
29090d006e	Ka ning jah mthehki, Elijah pi law päng se a mawngma a ng’yuka kba amimäta ngaih ngaiha ami pawh,” a ti.
29090e0083	Jesuh axüisaw he a veia a law üng khyang he khawjah naw jah ngbum si u lü, thum jah mtheiki he naw jah mtaipüi u se a jah hmuh.
29090f0068	Acunüng Jesuh ami hmuh la khyang ami van naw aktäa cäi law u lü a veia dawngkie naw ami hnukset law.
2909100053	Jesuh naw a xüisaw he üng, “Acane am i nami ngcuhki ni?” ti lü a jah kthäh.
290911006b	Khyang mat ami ksung üngka naw, “Saja aw, ka capa khawyai naw ve na se am ngthuheiki na veia ka lawpüi.
29091200dc	A man law naküt üng mdek üng a kyuksak; acunüng a mcimvawne jah mhlawn lü, a ha jah kyet lü, cai law lü, ve khawiki; na xüisaw he am ami ksät vaia ka jah mtheh amimi naw pi am ksät khawh ve u,” ti lü a pyen.
2909130099	Jesuh naw, “Aw, jumeinak am takia khyang he, ivei nami hlawnga ka awm khai aw? Ivei nami hlawnga ka ve khai ni? Ka veia hnasen cun lawpüi ua,” a ti.
2909140087	Jesuha veia ami lawpüi. Khawyai naw Jesuh a hmuh la, hnasen cun aknuia pawh lü mdek vawih na se ngtat hü lü a mcimvawn lawng lawki.
2909150079	Jesuh naw a pa üng, “Ahinkba a awmnak ivei law pängki ni?” ti lü kthäh se a pa naw, “Angmawca üng a tünei ni,
290916008d	hnim hü lü khawvei mei üng, tui üng a buhtawn khawi; Cunsepi na mdaw be khawh üng ta jah m’yenei lü jah kpüia,” ti lü a nghuinak.
2909170055	Jesuh naw “Ä” ti lü, “Na jumki aw? Jumkia phäha avan kya theiki ni,” a ti.
2909180073	Hnasena pa naw ngpyang lü, “Jum veng, Cunsepi ka jumnak am khäk ve; ka jum lawnak däm vaia na kpüia,” a ti.
29091900bc	Jesuh naw khyang he naw jah k’et lawki he ti a jah ksing üng khawyai üng, “Pang lü, angkia ngmüimkhya, hina hnasen üngka naw lut law lü, a veia ä lut be tia,” ti lü a ksenak.
29091a008c	Acunüng khawyai cun ngpyang lü, hnasen kthüng lü, lut lawki. Hnasen cun akthia mäiha ve law se khyang naküt naw, “Thi ve,” ami ti.
29091b0040	Jesuh naw hnasen cun a kut üng kpang lü mtho se, ngdüi lawki.
29091c0077	Acun käna Jesuh im k’uma a luh law üng axüisaw he naw, “Ise keimi naw am kami ksät thei ni?” tia, ami kthäh.
29091d005a	Jesuh naw, “Hina mäih cun ktaiyünaka thea ta i am ksät thei vaia am kya naw,” a ti.
29091e006f	Jesuh la axüisaw he ngnam ceh ta u lü Kalile da citki he. Jesuh naw a awmnak u naw pi a ksing vai am a ngaih.
29091f00b3	Isetiakyaüng, axüisaw he üng, “Khyanga Capa cun khyang he üng ap khai he, hnima kya khai, acun käna amhmüp kthum üng tho law be khai,” ti lü a jah mtheia phäha kyaki.
