010000001b	ஆதியாகமம்
041f1f00da	மோசேயும், ஆசாரியன் எலெயாசாரும் யெகோவா மோசேக்குக் கட்டளையிட்டபடியே செய்தார்கள்.
041f2000c9	இராணுவவீரர் கைப்பற்றிய கொள்ளைப்பொருட்களில் எஞ்சியவை: 6,75,000 செம்மறியாடுகள்,
041f21001d	72,000 மாடுகள்,
041f220045	61,000 கழுதைகள் ஆகியவற்றுடன்,
041f230086	ஆணுடன் உறவுகொள்ளாத கன்னிப்பெண்கள் 32,000 பேருமாகும்.
041f2400e1	யுத்தத்தில் சண்டையிட்டவர்களுக்குரிய அரைப்பங்காக இருந்தவைகள்: 3,37,500 செம்மறியாடுகள்;
041f2500ab	இவற்றில் 675 செம்மறியாடுகள் யெகோவாவின் பங்காகக் கொடுக்கப்பட்டன.
041f26009d	36,000 மாடுகள்; இவற்றில் 72 யெகோவாவின் பங்காகக் கொடுக்கப்பட்டன.
041f2700a0	30,500 கழுதைகள்; இவற்றில் 61 யெகோவாவின் பங்காகக் கொடுக்கப்பட்டன.
041f2800b0	16,000 மக்கள்; இவர்களில் 32 பேர் யெகோவாவின் பங்காகக் கொடுக்கப்பட்டனர்.
041f29010a	யெகோவா மோசேக்குக் கட்டளையிட்டபடியே, யெகோவாவின் பங்காக இதை ஆசாரியன் எலெயாசாரிடம் மோசே கொடுத்தான்.
041f2a00d8	யுத்தம் செய்த மனிதர்களின் அரைப்பங்குபோக இஸ்ரயேலருக்கு மோசே பிரித்துக்கொடுத்த
041f2b0083	மற்ற அரைப்பங்கில் உள்ளவைகள்: 3,37,500 செம்மறியாடுகள்,
041f2c001d	36,000 மாடுகள்,
041f2d0020	30,500 கழுதைகள்,
041f2e0020	16,000 மக்களுமே.
041f2f025d	மோசே, யெகோவா தனக்குக் கட்டளையிட்டபடியே இஸ்ரயேலரின் அரைப்பங்கில் ஒவ்வொரு ஐம்பது மிருகங்களிலிருந்து ஒன்றையும், ஆட்களிலிருந்து ஒருவரையும் இறைசமுகக் கூடாரத்தின் பராமரிப்புக்குப் பொறுப்பாயிருந்த லேவியருக்குக் கொடுத்தான்.
041f300151	அப்பொழுது ஆயிரம்பேருக்குத் தளபதிகளும், நூறுபேருக்குத் தளபதிகளுமாயிருந்த இராணுவ அதிகாரிகள் மோசேயினிடத்திற்கு வந்தார்கள்.
041f310170	அவர்கள் மோசேயிடம், “எங்கள் அதிகாரத்திற்குக் கீழ்ப்பட்ட போர்வீரர்களை உமது பணியாட்களான நாங்கள் கணக்கிட்டோம். ஒருவருமே தவறிப்போகவில்லை.
041f320320	ஆகையால், எங்களில் ஒவ்வொருவனும் கைப்பற்றிய தங்கநகைகளான காப்புகள், கைவளையல்கள், முத்திரை மோதிரங்கள், தோடுகள், அட்டியல்கள் ஆகியவற்றை யெகோவாவுக்குக் காணிக்கையாகக் கொண்டுவந்திருக்கிறோம். எங்களுக்காக யெகோவாவுக்கு முன்பாகப் பாவநிவிர்த்தி செய்யும்படி இவற்றைக் கொண்டுவந்திருக்கிறோம்” என்றார்கள்.
041f330150	மோசேயும் ஆசாரியன் எலெயாசாரும் அவர்கள் கொண்டுவந்த தங்கத்தையும் நகைகளாகச் செய்யப்பட்டிருந்தவைகளையும் ஏற்றுக்கொண்டார்கள்.
041f340232	ஆயிரம்பேருக்குத் தளபதிகளிடமிருந்தும், நூறுபேருக்குத் தளபதிகளிடமிருந்தும் மோசேயும் எலெயாசாரும் பெற்றுக்கொண்ட தங்கத்தை அவர்கள் யெகோவாவுக்குக் காணிக்கையாகக் கொடுத்தார்கள். அதன் நிறை 16,750 சேக்கலாக இருந்தது.
041f3500c5	ஒவ்வொரு இராணுவவீரனும் தனக்கென்றும் கொள்ளைப்பொருட்களை எடுத்திருந்தான்.
041f360262	மோசேயும், ஆசாரியன் எலெயாசாரும் ஆயிரம்பேரின் தளபதிகளிடமும், நூறுபேரின் தளபதிகளிடமும் இருந்து தங்கத்தை ஏற்றுக்கொண்டார்கள். அதை யெகோவாவுக்கு முன்பாக இஸ்ரயேலருக்கான ஒரு ஞாபகார்த்தமாக சபைக் கூடாரத்திற்குள் கொண்டுவந்தார்கள்.
04200101f7	ரூபனியருக்கும், காத்தியருக்கும் திரளான மாட்டு மந்தைகளும், ஆட்டு மந்தைகளும் இருந்தன. யாசேர் நாடும், கீலேயாத் நாடும் தங்கள் வளர்ப்பு மிருகங்களுக்குப் பொருத்தமானது என அவர்கள் கண்டார்கள்.
04200200f2	எனவே அவர்கள் மோசேயிடமும், ஆசாரியன் எலெயாசாரிடமும், மக்கள் சமுதாயத் தலைவர்களிடமும் வந்து,
04200300b5	“அதரோத், தீபோன், யாசேர், நிம்ரா, எஸ்போன், எலெயாலே, சேபாம், நேபோ, பெயோன்
04200401f4	ஆகிய நாடுகளை யெகோவா இஸ்ரயேல் மக்களுக்கு முன்பாகக் கீழ்ப்படுத்தினார். அந்த நாடுகள் வளர்ப்பு மிருகங்களுக்குப் பொருத்தமானவை. உங்கள் அடியாரான எங்களிடம் வளர்ப்பு மிருகங்கள் இருக்கின்றன.
04200501e6	உங்கள் பார்வையில் எங்களுக்குத் தயவு கிடைத்திருந்தால், உமது அடியாரான எங்களுக்கு உரிமைச்சொத்தாக இந்த நாடே கொடுக்கப்படட்டும். எங்களை யோர்தானைக் கடக்கச்செய்யவேண்டாம்” என்றார்கள்.
042006011a	மோசே காத்தியரிடமும், ரூபனியரிடமும், “நீங்கள் இங்கே இருக்க உங்கள் சகோதரர்கள் யுத்தத்திற்குப் போவார்களோ?
0420070157	யெகோவா இஸ்ரயேலருக்குக் கொடுத்திருக்கும் நாட்டிற்கு அவர்களைப் போகவிடாமல் நீங்கள் ஏன் அவர்களை திடனற்றுப்போகச்செய்கிறீர்கள்?
0420080163	நான் காதேஸ் பர்னேயாவிலிருந்து உங்கள் முற்பிதாக்களை அந்த நாட்டைப் பார்த்துவரும்படி அனுப்பியபோது, அவர்களும் இப்படியே செய்தார்கள்.
04200901c8	அவர்கள் எஸ்கோல் பள்ளத்தாக்கிற்குப் போய் நாட்டைப் பார்த்த பின்னர் யெகோவா இஸ்ரயேலருக்குக் கொடுத்த அந்த நாட்டிற்குள் அவர்களைப் போகவிடாமல் திடனற்றுப்போகச்செய்தார்கள்.
04200a00cb	அதனால் அந்நாளில் யெகோவாவுக்குக் கோபம்மூண்டு, அவர் ஆணையிட்டுச் சொன்னதாவது,
04200b0294	‘அவர்கள் என்னை முழு இருதயத்தோடு பின்பற்றவில்லை. ஆகையால், நான் ஆபிரகாம், ஈசாக்கு, யாக்கோபு ஆகியோருக்கு ஆணையிட்டுக்கொடுத்த அந்நாட்டை எகிப்திலிருந்து வெளியேவந்த இருபது வயதையும் அதற்கு மேற்பட்ட வயதையுமுடைய மனிதர்களில் ஒருவருமே காணமாட்டார்கள்.
04200c01f2	கேனாசியனான எப்புன்னேயின் மகன் காலேபையும், நூனின் மகன் யோசுவாவையும் தவிர வேறெவரும் அதைக் காண்பதில்லை. ஏனெனில் அவர்கள் இருவரும் யெகோவாவை முழு இருதயத்தோடும் பின்பற்றினார்கள்’ என்றார்.
04200d0238	எனவே இஸ்ரயேலுக்கு விரோதமாக யெகோவாவின் கோபம் பற்றியெரிந்தது. யெகோவாவினுடைய பார்வையில் தீங்குசெய்த அந்த முழுதலைமுறையினரும் ஒழிந்துபோகும்வரை அவர் நாற்பது வருடங்களாக இஸ்ரயேலரை வனாந்திரத்திலே அலையச்செய்தார்.
04200e019f	“பாவிகளின் கூட்டத்தாரே! இப்பொழுது நீங்கள் உங்கள் தந்தையரின் இடத்திலேயே நின்று, யெகோவா இன்னும் அதிகமாய் இஸ்ரயேலின்மேல் கோபங்கொள்ளும்படி செய்கிறீர்கள்.
04200f0206	நீங்கள் அவரைப் பின்பற்றுவதிலிருந்து விலகிப்போனால், அவர் திரும்பவும் இம்மக்களையெல்லாம் இந்தப் பாலைவனத்திலேயே விட்டுவிடுவார். இம்மக்களுடைய அழிவுக்கு நீங்களே காரணமாயிருப்பீர்கள்” என்றான்.
04201001e2	அப்பொழுது அவர்கள் அவனிடம் வந்து, “நாங்கள் இங்கே எங்கள் வளர்ப்பு மிருகங்களுக்குத் தொழுவங்களை அமைத்து, எங்கள் பெண்களுக்கும், பிள்ளைகளுக்கும் பட்டணங்களையும் கட்ட விரும்புகிறோம்.
0420110313	ஆனால் எங்கள் மக்களான இஸ்ரயேலரை அவர்களுடைய நாட்டிற்குக் கொண்டுசெல்லும் வரையும், நாங்கள் ஆயுதம் தாங்கி அவர்களுக்கு முன்னே போக ஆயத்தமாயிருக்கிறோம். அதேநேரம் எங்கள் பெண்களும், பிள்ளைகளும் அரணான பட்டணங்களில் வாழட்டும். அப்பொழுது இந்நாட்டு குடிகளிடமிருந்து அவர்கள் பாதுகாப்பாயிருப்பார்கள்.
042012011e	இஸ்ரயேலன் ஒவ்வொருவனும் தன்தன் உரிமைச்சொத்தைப் பெறும்வரை, நாங்கள் எங்கள் வீடுகளுக்குத் திரும்பமாட்டோம்.
04201301df	யோர்தானின் கிழக்குப் பக்கத்தில் எங்களுக்குச் சொத்துரிமை கிடைத்திருப்பதனால், நாங்கள் யோர்தானின் மறுபக்கத்தில் உரிமைச்சொத்து எதையும் பெற்றுக்கொள்ளவும்மாட்டோம்” என்றார்கள்.
0420140100	அதற்கு மோசே, “நீங்கள் இதைச் செய்வீர்களானால்: நீங்கள் யெகோவா முன்னிலையில் யுத்த ஆயுதம் தரித்து,
0420150163	அவர் தமது எதிரிகளைத் தமக்கு முன்பாகத் துரத்திவிடும்வரை யெகோவாவுக்கு முன்பாக நீங்கள் ஆயுதம் தாங்கி யோர்தானைக் கடந்துபோகவேண்டும்.
04201602cd	அப்படிச் செய்வீர்களானால் யெகோவாவுக்கு முன்பாக நாடு கீழ்ப்படுத்தப்படும்போது, நீங்கள் திரும்பிப்போகலாம். யெகோவாவுக்கும் இஸ்ரயேலருக்கும் வாக்குக்கொடுத்த உங்கள் கடமையிலிருந்தும் நீங்கள் நீங்கலாயிருப்பீர்கள். இந்த நாடும் யெகோவா முன்னிலையில் உங்கள் உடைமையாகும்.
0420170229	“ஆனால் அவ்வாறு நீங்கள் செய்யத்தவறினால், நீங்கள் யெகோவாவுக்கு விரோதமாகப் பாவம் செய்கிறவர்களாயிருப்பீர்கள்; உங்கள் பாவமே உங்களைக் கண்டுபிடிக்கும் என்பதும் உங்களுக்கு நிச்சயமாய்த் தெரிந்திருக்கட்டும்.
04201801e6	நீங்கள் உங்கள் பெண்களுக்கும், பிள்ளைகளுக்கும் பட்டணங்களைக்கட்டுங்கள். உங்கள் மந்தைகளுக்கு தொழுவங்களையும் அமையுங்கள். ஆனால், நீங்கள் வாக்குக்கொடுத்தபடியே செய்யுங்கள்” என்றான்.
0420190146	அப்பொழுது காத்தியரும், ரூபனியரும் மோசேயிடம், “உமது அடியாராகிய நாங்கள் எங்கள் தலைவனாகிய நீர் கட்டளையிட்டபடியே செய்வோம்.
04201a0150	எங்கள் பிள்ளைகளும், மனைவியரும், எங்கள் ஆட்டு மந்தைகளும், மாட்டு மந்தைகளும் இங்கே கீலேயாத்தின் பட்டணங்களிலேயே இருக்கட்டும்.
04201b0199	உமது அடியாராகிய நாங்களோ ஒவ்வொருவரும் ஆயுதம் தாங்கி, எங்கள் தலைவனாகிய நீர் சொன்னபடியே யெகோவாவுக்கு முன்பாக யுத்தத்திற்குக் கடந்துபோவோம்” என்றார்கள்.
04201c018f	அப்பொழுது மோசே ஆசாரியன் எலெயாசாரிடமும், நூனின் மகனாகிய யோசுவாவிடமும் இஸ்ரயேல் கோத்திரக் குடும்பத் தலைவர்களிடமும், அவர்களைப்பற்றி உத்தரவிட்டான்.
04201d027f	அவன் சொன்னதாவது: “காத்தியரும், ரூபானியரும் ஆயுதந்தரித்தவர்களாக யெகோவா முன்பாக யோர்தானைக் கடந்து உங்களுடன் சேர்ந்து யுத்தத்திற்கு வந்தால், அந்நாடு உங்களுக்குக் கிடைத்தவுடன் கீலேயாத் நாட்டை அவர்களுக்கு உரிமையாகக் கொடுத்துவிடுங்கள்.
04201e0196	ஆனால் அவ்வாறு அவர்கள் ஆயுதம் தரித்து உங்களுடன் கடந்து வராவிட்டால், அவர்கள் கானானில் உங்களுடனேயே தங்கள் சொத்துரிமையை ஏற்றுக்கொள்ளவேண்டும்” என்றான்.
04201f00e8	அதற்குக் காத்தியரும், ரூபனியரும், “உமது அடியார் யெகோவா சொல்லியிருக்கிறதையே செய்வோம்.
04202001e5	நாங்கள் ஆயுதம் தாங்கியவர்களாக யெகோவாவுக்கு முன்பாக யோர்தானைக் கடந்து, கானானுக்குப் போவோம். ஆனால் நாங்கள் உரிமையாக்கும் சொத்தோ, யோர்தானுக்கு இக்கரையிலேயே இருக்கும்” என்றார்கள்.
04202102d6	எனவே மோசே, காத்தியருக்கும் ரூபனியருக்கும் யோசேப்பின் மகனாகிய மனாசேயின் அரைக்கோத்திரத்திற்கும், எமோரியரின் அரசன் சீகோனின் அரசையும், பாசானின் அரசன் ஓகின் அரசையும் கொடுத்தான். பட்டணங்களோடும், அவற்றைச் சுற்றியுள்ள பகுதிகளோடும் முழு நாட்டையும் அவர்களுக்கே கொடுத்தான்.
0420220084	காத்தியரோ தீபோன், அதரோத், அரோயேர் பட்டணங்களையும்
0420230058	ஆத்ரோத், சோபான், யாசேர், யொகிபெயா,
0420240133	பெத் நிம்ரா, பெத்தாரன் ஆகிய அரணான பட்டணங்களையும் கட்டினார்கள். தங்கள் மந்தைகளுக்கு தொழுவங்களையும் அமைத்தார்கள்.
04202500d7	ரூபனியர் எஸ்போன், எலெயாலே, கீரியாத்தாயீம் பட்டணங்களைத் திரும்பக்கட்டினார்கள்.
042026020b	நேபோ, பாகால் மெயோன் பட்டணங்களையும் கட்டினார்கள். அவற்றின் பெயர்கள் மாற்றப்பட்டன. சிப்மா பட்டணத்தையும் கட்டினார்கள். அவர்கள் தாங்கள் திரும்பக்கட்டிய பட்டணங்களுக்கு வேறு பெயர்களை வைத்தார்கள்.
042027015b	மனாசேயின் மகனாகிய மாகீரின் சந்ததிகள் கீலேயாத்திற்குப்போய், அதைக் கைப்பற்றி, அங்கே வாழ்ந்த எமோரியரை வெளியே துரத்திவிட்டார்கள்.
042028011a	எனவே மோசே, மனாசேயின் சந்ததியான மாகீரியருக்குக் கீலேயாத்தைக் கொடுத்தான். அவர்கள் அங்கே குடியேறினார்கள்.
042029014a	மனாசேயின் சந்ததியான யாவீர் என்பவன் கீலேயாத்தியர்களின் கிராமங்களைக் கைப்பற்றி, அவற்றிற்கு அவோத்யாவீர் எனப் பெயரிட்டான்.
04202a0170	நோபாக் என்பவன் போய், கேனாத் பட்டணத்தையும் அதைச் சுற்றியுள்ள அதன் குடியிருப்புகளையும் கைப்பற்றி, அதற்கு நோபாக் என்னும் தன் பெயரிட்டான்.
042101018f	இஸ்ரயேலர், மோசே ஆரோன் என்பவர்களின் தலைமையின்கீழ் தங்கள் பிரிவுகளின்படியே எகிப்தைவிட்டு வெளியேறியபோது, அவர்கள் பயணத்தில் தரித்துநின்ற இடங்களாவன.
0421020131	யெகோவாவின் கட்டளைப்படியே, இஸ்ரயேலர் பயணித்த பயணங்களை, மோசே எழுதிவைத்தான். அவர்கள் பயணித்த பயணங்களின் விவரங்கள்:
0421030257	பஸ்காவுக்கு அடுத்தநாளான முதலாம் மாதத்தின் பதினைந்தாம் நாளில் இஸ்ரயேலர் ராமசேஸ் நகரத்தை விட்டுப் புறப்பட்டார்கள். எல்லா எகிப்தியர்களும் பார்த்துக்கொண்டிருக்கையிலேயே அவர்கள் துணிச்சலுடன் அணிவகுத்து வெளியே போனார்கள்.
042104020d	எகிப்தியர்களோ தங்களுக்குள்ளே யெகோவா சாகடித்த முதற்பேறானவர்களையெல்லாம் அடக்கம் செய்துகொண்டிருந்தார்கள். ஏனெனில், யெகோவா அவர்களுடைய தெய்வங்களின்மேல் நியாயத்தீர்ப்பைக் கொண்டுவந்திருந்தார்.
04210500be	இஸ்ரயேலர் ராமசேஸை விட்டுப் புறப்பட்டு, சுக்கோத்தில் முகாமிட்டார்கள்.
04210600e2	சுக்கோத்திலிருந்து புறப்பட்டு, பாலைவனத்தின் ஓரமாயுள்ள ஏத்தாமில் முகாமிட்டார்கள்.
0421070175	ஏத்தாமிலிருந்து புறப்பட்டு, பாகால் செபோனுக்கு கிழக்கேயுள்ள பிகாஈரோத் பள்ளத்தாக்கிற்குத் திரும்பி, மிக்தோலுக்கு அருகே முகாமிட்டார்கள்.
0421080192	ஈரோத் பள்ளத்தாக்கிலிருந்து புறப்பட்டு, கடலைக் கடந்து பாலைவனத்திற்குப் போய், ஏத்தாம் பாலைவனத்தில் மூன்றுநாள் பயணம்பண்ணி மாராவில் முகாமிட்டார்கள்.
0421090194	மாராவிலிருந்து புறப்பட்டு, ஏலிமுக்கு வந்தார்கள். அங்கே பன்னிரண்டு நீரூற்றுக்களும், எழுபது பேரீச்சமரங்களும் இருந்தன. அங்கே அவர்கள் முகாமிட்டார்கள்.
04210a00ab	ஏலிமிலிருந்து புறப்பட்டு, செங்கடலுக்கு அருகே முகாமிட்டார்கள்.
04210b00b5	செங்கடலில் இருந்து புறப்பட்டு, சீன் பாலைவனத்தில் முகாமிட்டார்கள்.
04210c00b1	சீன் பாலைவனத்திலிருந்து புறப்பட்டு, தொப்காவில் முகாமிட்டார்கள்.
04210d0095	தொப்காவிலிருந்து புறப்பட்டு, ஆலூசில் முகாமிட்டார்கள்.
04210e0122	ஆலூசிலிருந்து புறப்பட்டு, ரெவிதீமில் முகாமிட்டார்கள். அங்கே மக்களுக்குக் குடிக்கத் தண்ணீர் இருக்கவில்லை.
04210f00b7	ரெவிதீமிலிருந்து புறப்பட்டு, சீனாய் பாலைவனத்தில் முகாமிட்டார்கள்.
04211000cd	சீனாய் பாலைவனத்திலிருந்து புறப்பட்டு, கிப்ரோத் அத்தாவில் முகாமிட்டார்கள்.
04211100b7	கிப்ரோத் அத்தாவிலிருந்து புறப்பட்டு, ஆஸ்ரோத்தில் முகாமிட்டார்கள்.
04211200a1	ஆஸ்ரோத்திலிருந்து புறப்பட்டு, ரித்மாவில் முகாமிட்டார்கள்.
04211300b1	ரித்மாவிலிருந்து புறப்பட்டு, ரிம்மோன் பேரேசில் முகாமிட்டார்கள்.
04211400b1	ரிம்மோன் பேரேசிலிருந்து புறப்பட்டு, லிப்னாவில் முகாமிட்டார்கள்.
0421150098	லிப்னாவிலிருந்து புறப்பட்டு, ரீசாவில் முகாமிட்டார்கள்.
042116009b	ரீசாவிலிருந்து புறப்பட்டு, கேலத்தாவில் முகாமிட்டார்கள்.
04211700b1	கேலத்தாவிலிருந்து புறப்பட்டு, சாப்பேர் மலையில் முகாமிட்டார்கள்.
04211800a8	சாப்பேர் மலையிலிருந்து புறப்பட்டு, ஆரதாவில் முகாமிட்டார்கள்.
04211900a1	ஆரதாவிலிருந்து புறப்பட்டு, மக்கெலோத்தில் முகாமிட்டார்கள்.
04211a00a7	மக்கெலோத்திலிருந்து புறப்பட்டு, தாகாத்தில் முகாமிட்டார்கள்.
04211b0098	தாகாத்திலிருந்து புறப்பட்டு, தாராகில் முகாமிட்டார்கள்.
04211c0098	தாராகிலிருந்து புறப்பட்டு, மித்காவில் முகாமிட்டார்கள்.
04211d00a1	மித்காவிலிருந்து புறப்பட்டு, அஸ்மோனாவில் முகாமிட்டார்கள்.
04211e00a7	அஸ்மோனாவிலிருந்து புறப்பட்டு, மோசெரோத்தில் முகாமிட்டார்கள்.
04211f00b0	மோசெரோத்திலிருந்து புறப்பட்டு, பெனெயாக்கானில் முகாமிட்டார்கள்.
04212000af	பெனெயாக்கானிலிருந்து புறப்பட்டு கித்காத்தில் முகாமிட்டார்கள்.
04212100b0	கித்காத்திலிருந்து புறப்பட்டு, யோத்பாத்தாவில் முகாமிட்டார்கள்.
04212200ad	யோத்பாத்தாவிலிருந்து புறப்பட்டு, எப்ரோனாவில் முகாமிட்டார்கள்.
04212300b1	எப்ரோனாவிலிருந்து புறப்பட்டு, எசியோன் கேபேரில் முகாமிட்டார்கள்.
04212400e3	எசியோன் கேபேரிலிருந்து புறப்பட்டு, சீன் பாலைவனத்திலுள்ள காதேசில் முகாமிட்டார்கள்.
04212500d4	காதேசிலிருந்து புறப்பட்டு, ஏதோமின் எல்லையிலுள்ள ஓர் மலையில் முகாமிட்டார்கள்.
04212601d2	யெகோவாவின் கட்டளைப்படி ஆசாரியன் ஆரோன், “ஓர்” என்னும் மலையில் ஏறிப்போய், இஸ்ரயேலர் எகிப்திலிருந்து புறப்பட்ட நாற்பதாம் வருடம் ஐந்தாம் மாதம், முதலாம் நாளில் அங்கே இறந்தான்.
04212700cc	“ஓர்” என்னும் மலையில் ஆரோன் இறந்தபோது அவனுக்கு வயது நூற்று இருபத்துமூன்று.
042128010d	கானானின் தெற்கு பகுதியில் வாழ்ந்த கானானிய அரசன் ஆராத், இஸ்ரயேலர் வருவதைப்பற்றிக் கேள்விப்பட்டான்.
04212900bc	அவர்கள் ஓர் மலையில் இருந்து புறப்பட்டு, சல்மோனாவில் முகாமிட்டார்கள்.
04212a009f	சல்மோனாவில் இருந்து புறப்பட்டு, பூனோனில் முகாமிட்டார்கள்;
04212b0099	பூனோனில் இருந்து புறப்பட்டு, ஒபோத்தில் முகாமிட்டார்கள்.
04212c00f5	ஒபோத்தில் இருந்து புறப்பட்டு மோவாபின் எல்லையிலுள்ள அபாரீமின் மேடுகளில் முகாமிட்டார்கள்.
04212d00d6	அந்த இய்யாபாரீம் மேடுகளிலிருந்து புறப்பட்டு, தீபோன்காத்தில் முகாமிட்டார்கள்.
04212e00c3	தீபோன்காத்திலிருந்து புறப்பட்டு, அல்மோன் திப்லதாயில் முகாமிட்டார்கள்.
04212f0109	அல்மோன் திப்லதாயில் இருந்து புறப்பட்டு, நேபோவுக்கு அருகேயுள்ள அபாரீம் மலைகளில் முகாமிட்டார்கள்.
0421300137	அபாரீம் மலைகளிலிருந்து புறப்பட்டு, எரிகோவுக்கு எதிரே யோர்தானுக்கு அண்மையில் மோவாப் சமவெளிகளில் முகாமிட்டார்கள்.
0421310115	மோவாப் சமவெளிகளில் யோர்தான் ஒரம் நெடுகிலும் பெத்யெசிமோத் தொடங்கி ஆபேல் சித்தீம்வரை முகாமிட்டார்கள்.
04213200f9	எரிகோவுக்கு எதிரே யோர்தானுக்கு அருகேயுள்ள மோவாபின் சமவெளிகளில் யெகோவா மோசேயுடன் பேசினார்.
042133013a	அவர் அவனிடம், “நீ இஸ்ரயேலருடன் பேசிச் சொல்லவேண்டியதாவது: நீங்கள் யோர்தானைக் கடந்து கானான் நாட்டிற்குப் போகும்போது,
0421340283	அங்கே உங்களுக்கு முன்பாக அந்நாட்டில் குடியிருக்கிறவர்களை எல்லாம் வெளியே துரத்திவிடுங்கள். அத்துடன் அவர்களுடைய செதுக்கப்பட்ட எல்லா சிலைகளையும், வார்ப்பிக்கப்பட்ட விக்கிரகங்களையும் அழித்து, உயர்ந்த மேடைகளையெல்லாம் உடைத்துவிடுங்கள்.
042135018c	நீங்கள் அந்நாட்டை உங்கள் உரிமையாக்கி அங்கே குடியேறுங்கள். ஏனெனில் அந்நாட்டை நீங்கள் உரிமையாக்கும்படி நான் அதை உங்களுக்குக் கொடுத்திருக்கிறேன்.
0421360366	நீங்கள் அந்நாட்டை உங்கள் வம்சங்களின் எண்ணிக்கையின்படியே பங்கிடுங்கள். பெரிய குழுவினருக்கு பெரிய உரிமைச்சொத்தையும், சிறிய குழுவினருக்குச் சிறிய உரிமைச்சொத்தையும் கொடுங்கள். சீட்டின்படி எது எவர்களுக்கு விழுகிறதோ அதுவே அவர்களுக்குரியதாகும். உங்கள் முற்பிதாக்களின் கோத்திரங்களின்படியே அதைப் பங்கிட்டுக்கொள்ளுங்கள்.
04213702e3	“‘ஆனால் அந்நாட்டில் குடியிருப்பவர்களை நீங்கள் வெளியே துரத்திவிடாவிட்டால், நீங்கள் அங்கு விட்டுவிட்டவர்கள், உங்கள் கண்களுக்குக் கூரிய கருக்குகளாகவும், உங்கள் விலாக்களுக்கு முட்களாகவும் இருப்பார்கள். நீங்கள் வாழப்போகும் நாட்டில், அவர்கள் உங்களைத் துன்புறுத்துவார்கள்.
04213800e0	அப்பொழுது நான் அவர்களுக்குச் செய்யத் திட்டமிட்டதை உங்களுக்கே செய்வேன் என்றார்.’”
042201003c	யெகோவா மோசேயிடம் பேசி,
0422020217	“நீ இஸ்ரயேலருக்குக் கட்டளையிட்டுச் சொல்லவேண்டியது இதுவே: ‘உங்களுக்கு உரிமைச்சொத்தாகப் பங்கிடப்பட இருக்கும் கானான் நாட்டிற்குள் நீங்கள் செல்லும்போது, அந்நாடு கொண்டிருக்கும் எல்லைகள் எவையெனில்:
04220301bd	“‘உங்கள் தென்பகுதி ஏதோமின் எல்லை நெடுகிலும், சீன் பாலைவனத்தின் ஒரு பகுதியை உள்ளடக்கியிருக்கும். உங்கள் தெற்கு எல்லை கிழக்கே உப்புக்கடலின் முனையிலிருந்து தொடங்கி,
04220401e4	அக்கராபீம் மேடுகளுக்குத் தெற்கில் கடந்துசென்று, சீன் பாலைவனம்வரை போய், பின் காதேஸ் பர்னேயாவின் தெற்கிலே போகும். பின்பு அங்கிருந்து ஆத்சார் அதாருக்குப் போய் அஸ்மோனாவரை செல்லும்.
042205010f	பின்பு அஸ்மோனாவிலிருந்து திரும்பி, எகிப்தின் சிற்றாறுகளை இணைத்து மத்திய தரைக்கடலில்போய் முடியும்.
0422060126	உங்கள் மேற்கு எல்லை மத்திய தரைக்கடலின் கரையாக இருக்கும். இதுவே மேற்குப்புறத்தில் உங்கள் எல்லையாயிருக்கும்.
04220700c3	உங்கள் வடக்கு எல்லை மத்திய தரைக்கடலிலிருந்து தொடங்கி ஓர் மலைவரை சென்று,
04220800fc	ஓர் மலையில் இருக்கும் ஆமாத்தின் வழியாகப் போகும். அங்கிருந்து அந்த எல்லை சேதாத்திற்குப் போய்,
0422090101	சிப்போரோன்வரை தொடர்ந்து சென்று ஆசார் ஏனானில் முடியும். இதுவே உங்கள் வடக்கு எல்லையாயிருக்கும்.
04220a00c0	உங்கள் கிழக்கு எல்லை ஆசார் ஏனானில் இருந்து தொடங்கி சேப்பாம்வரை போகும்.
04220b01a8	அதன் எல்லை சேப்பாமிலிருந்து ஆயினுக்குக் கிழக்குப் பக்கத்திலுள்ள ரிப்லாவுக்குப் போய், கலிலேயாக் கடலின் கிழக்கேயுள்ள சரிவுகள் நெடுகிலும் தொடர்ந்து போகும்.
04220c018b	பின்பு அந்த எல்லை யோர்தான் நெடுகிலும் சென்று உப்புக்கடலில் முடிவடையும். “‘எல்லா பக்கங்களிலும் இந்த எல்லைகளைக்கொண்ட உங்கள் நாடு இதுவே’ என்றார்.”
04220d0248	மோசே இஸ்ரயேலருக்குக் கட்டளையிட்டுச் சொன்னதாவது: “இந்த நாட்டைச் சீட்டுப்போட்டு உரிமைச்சொத்தாகப் பங்கிட்டுக்கொள்ளுங்கள். இதை ஒன்பதரைக் கோத்திரங்களுக்கும் பங்கிட்டுக்கொடுக்கும்படி யெகோவா உத்தரவிட்டிருக்கிறார்.
04220e0159	ஏனெனில் ரூபன் கோத்திரமும், காத் கோத்திரமும், மனாசேயின் பாதி கோத்திரமும், ஏற்கெனவே தங்கள் உரிமைச்சொத்தைப் பெற்றுக்கொண்டார்கள்.
04220f01bb	இந்த இரண்டரைக் கோத்திரங்களும் எரிகோவிலுள்ள யோர்தானுக்குக் கிழக்குப் பக்கமாகச் சூரியன் உதிக்கும் திசையில் தங்கள் உரிமைச்சொத்தைப் பெற்றுக்கொண்டார்கள்” என்றான்.
042210004e	யெகோவா மோசேயிடம் சொன்னதாவது,
