0100000009	መተꬅ
09170a00aa	ዳዊቲ፥ “አቤት ጎዳዉ፥ እስራኤለ ፆሳዉ፥ ታ ጋሶን ሳኦል ቃእላ ꬋይሳናዉ ማቅዳይሳ ታኒ ነ አይለይ ስአስ።
09170b0142	ቃእላ አሳይ ታና ሳኦላስ አꬅድ እማነሻ? ታኒ ነ አይለይ ስእዳይሳዳ ሳኦል ቱማካ ሃ ያነሻ? አቤት ጎዳዉ፥ እስራኤለ ፆሳዉ፥ ታዉ ነ አይልያስ ኦዳ” ያግስ። ጎዳይ ዳዊታኮ፥ “ኤ፤ ሳኦል ያና” ያግድ ዛርስ።
09170c00dd	ዳዊቲ፥ “ቃእላ አሳይ ታናነ ታ አሳ ሳኦላስ አꬅድ እማነሻ?” ያግድ ዛሪድ ጎዳ ኦይችስ። ጎዳይ፥ “ኤ፤ ኤንቲ ህንተና አꬅድ እማና” ያግስ።
09170d00ef	ዳዊቲነ ኡሱፑን ፄቱ ግድያ አደት ቃእላፐ ከይድ፥ እስ በሳፈ ሀራ በሲ ዩይዶሶና። ዳዊቲ ቃእላፐ ባቃትዳይሳ ሳኦል ስእዳ ዎደ ባናዉ ቆፕዳይሳ አጋግስ።
09170e00e2	ዳዊቲ ባዞ ሚፃታንነ ዚፋ መላ ቢታን ደእያ ዙማታ ቦላ ደእስ። ሳኦል እያ ደማናዉ ኡባ ጋላስ ኮዬስ፥ ሽን ፆሳይ እያ ሳኦላ ኩሸን አꬅድ እምቤና።
09170f008d	ዳዊቲ ዚፋ መላ ቢታን ደእያ ሆረሳን ደእሽን፥ ሳኦል እያ ዎꬋናዉ ከይዳይሳ ዳዊቲ ኤርስ።
0917100083	ሳኦላ ናኣ ዮናታን ደንድድ፥ ዳዊታኮ ሆረሳ ብድ ዳዊቲ ጎዳ ዎልቃን ምናናዳ ዞርድ፥
09171100e4	“ያዮፋ፤ ታ አዋ ሳኦል ነና ኩሸራካ ቦቸና፤ ኔኒ እስራኤለ ቦላ ካዎታና፤ ታንካ ኔፐ ጋርሳራ ሃራና፤ ታ አዋይ ሳኦል ሄሳ ሎይꬅድ ኤሬስ” ያግስ።
0917120097	ኤንቲ ናምአይ ጎዳ ስንꬃን እሶይ እሱዋራ ጫቅዶሶና፤ ዳዊቲ ሆረሳን ጋምእን ዮናታን ባ ሶ ብስ።
09171300bc	ዚፋ አሳይ ሳኦላኮ ግብአ ብድ፥ “ዳዊቲ ያስሞናፐ ዱገሀ ባጋን፥ ሀክላ ዙማ ቦላ ሆረሳ ሚፃታን ኑ ማታን ቆሰትድ ደኤስ።
0917140082	ካዋዉ፥ ሀእካ ነ ዶስዳ ዎደ ዱገ ዎꬋ፤ ኑኒ እያ ነ ኩሸን አꬅድ እማና” ያግዶሶና።
0917150055	ሳኦል፥ “ህንተ ታዉ ቆፕዳ ግሾ ህንተና ጎዳይ አንጆ።
09171600b8	ብድ አነ ጉጅድካ ጌሽተ፤ ዳዊቲ ዳሮ ቶሆ አዉ ብያኮካ ኦን እያ በእዳኮ፥ ሻክድ ኤርተ፤ እ ገነ አስ ግደይሳ ታ ስአስ።
0917170115	ዳዊቲ ቆሰትያ በሳታ ኡባ በእድ፥ ሙሩታ ኦዳ ኤክድ ታኮ ስሚድ ዪተ። ሄሳፈ ጉየ፥ ታኒ ህንተራ ባና፤ እ ሄ ሄራን ደእኮ፥ ታኒ እያ ይሁዳ ቢታ ኡባን ደማና ጋካናዉ ኮያና” ያግስ።
09171800e4	ሄሳ ግሾ፥ ኤንቲ ሳኦላፐ ስንꬃትድ ዚፋ ብዶሶና። ሄ ዎደ ዳዊቲነ እያ አሳይ ያስሞናፐ ዱገሀ ባጋራ ደእያ ማኦና መላ ቢታን አራባ ጋꬋን ደኦሶና።
09171900f8	ሳኦልነ እያ አሳይ ዳዊታ ኮያናዉ ብዶሶና። ዳዊቲ ሄሳ ስእዳ ዎደ ዛላኮ ዎꬍድ፥ ማኦና ባዙዋን ኡትስ። ሳኦል ሄሳ ስእዳ ዎደ ማኦና ባዙዋን ዳዊታ ኮይሸ ብስ።
09171a0124	ሳኦል ዙማፐ እስ ባጋ ምይያራ ቤስ፤ ዳዊቲነ እያ አሳይ ሀንኮ ባጋ ምይያራ ቦሶና። ኤንቲ ሳኦላፐ ባቃታናዉ ኤሶቶሶና፤ ሳኦልነ እያ አሳት፥ ዳዊቲነ እያ አሳታ ኦይካናዉ ማት ኡትዶሶና።
09171b008a	ሽን፥ “ኤለሳዳ ሃያ፤ ፍልስፄመት ኑ ቢታ ኦላናዉ ይዶሶና” ግያ ሀራ ኪት ሳኦላ ጋክስ።
09171c00b4	ሳኦል ዳዊታ ኮየይሳ አግድ፥ ፍልስፄመታራ ኦለታናዉ ብስ። ሄሳ ግሾ፥ ሄ በሳይ “ከስ ኤክድ አትያ ዛላ” ጌተትስ።
09171d005f	ዳዊቲ ሄ በሳፈ ከይድ፥ ኤንጋዳ ማታን ደእያ ሚፃታን ኡትስ።
0918010082	ሳኦል ፍልስፄመታ ኦልድ ስምዳፐ ጉየ፥ ዳዊቲ ኤንጋዳ ባዙዋን ደኤስ ገይሳ ስእስ።
09180200c3	ሳኦል እስራኤለ ግዶፈ ዶረትዳ ሄꬑ ሙኩሉ አሳ ኤክድ፥ ዳዊታነ እያ አሳ ኮያናዉ፥ “ባዞ ዴሻታ ዛላ” ጌተትያ በሳ ማታ ብስ።
09180300e2	ሳኦል ኦግያ ዶናን ዶርሳ ግርብያ ማታን ደእያ ጎንጎሉዋ ግዶ ገልድ ሼአናዉ ኡትስ። ዳዊቲነ እያ አሳይ ጎንጎሉዋስ ጉየ ባጋራ ሺቅድ ኡትዶሶና።
0918040141	ዳዊታ አሳይ፥ “‘ሄኮ፥ ታኒ ነ ሞርክያ ነ ኩሸን አꬃ እማና፤ ኔኒ እያ ቦላ ኮይዳባ ኦꬃና’ ያግድ ጎዳይ ነዉ ኦድዳ ጋላሳይ ሀች” ያግዶሶና። ዳዊቲ ሳኦላ ኤርሶና ሺቅድ ሳኦላ ማኡዋ ማጫራፐ ቃንፅ ኤክስ።
091805005f	ዳዊቲ ሳኦላ ማኡዋ ማጫራ ቃንፅዳ ግሾ እያ ዎዛናይ ቂሮትስ።
09180600ed	ዳዊቲ ባ አሳኮ፥ “ጎዳይ ትይዳ ካዋ፥ ታ ጎዳ ቦላ ታኒ ሄሳ ኦꬃናይስ ዎይኮ እያ ቦላ ታ ኩሽያ ደንꬃናይስ ታፐ ሃኮ፤ ጎዳይ ትይድ እያ ካዎꬅስ” ያግስ።
0918070098	ዳዊቲ ሀይሳዳ ግድ፥ ሳኦላ ባ አሳን ቦሽሶና ድግስ። ሳኦል ጎንጎሉዋ ግዶፈ ከይድ ባ ኦግያ ብስ።
09180800f3	ሳኦል ብዳፐ ጉየ፥ ዳዊቲ ጎንጎሉዋ ግዶፈ ከይድ፥ “ታ ጎዳዉ፥ ካዋዉ” ያግድ ሳኦላ ፄግን፥ ሳኦል ጉየ ስሚድ ፄልስ። ዳዊቲ ሳአን ጉፋንድ ሳኦላስ ዝግስ።
0918090071	ዳዊቲ ሳኦላኮ፥ “ዳዊቲ ነና ቆሀናዉ ኮዬስ” ግያ አሳ ኔኒ አይስ ስአይ?
09180a0166	ሀች ሀ ጎንጎሉዋን ጎዳይ ነና ታዉ አꬅድ እምዳይሳ ኔኒ ነ አይፈን በአዳሳ። ታኒ ነና ዎꬋና መላ ጉꬃ አሳት ታና ደን ꬅዶሶና። ሽን፥ “እ፥ ጎዳይ ትይድ ካዎꬅዳይሳ ግድያ ግሾ ታኒ ታ ጎዳ ቦላ ታ ኩሽያ ደንꬅከ” ያጋዳ ነና አጋስ።
09180b0143	ታ አዋዉ፥ ታ ኩሸን ደእያ ነ ማኡዋ ማጫራ ሀይሳ ፄላ። ነ ማኡዋ ማጫራፐ ቃንፃ ኤካስ፥ ሽን ነና ዎꬋብከ። ታኒ ነና ቆሆናይሳነ ነ ቦላ ማካሎናይሳ አኬካ፤ ታኒ ነና ቆሀብከ፥ ሽን ኔኒ ታና ዎꬋናዉ ሻንካታሳ።
09180c009a	ነባነ ታባ ጎዳይ ፕርዶ፤ ጎዳይ ኔኒ ታና ቆህዳይሳ ሃሉዋ ከሶ፥ ሽን ታኒ ነ ቦላ ታ ኩሽያ ደንꬅከ።
09180d008f	“ኢታ ኦ ይሳታፐ ኢት ከዬስ” ግያ በን ሌምሶይ ደኤስ። ሄሳ ግሾ፥ ታኒ ነና ኩሸንካ ቦችከ።
09180e008a	“እስራኤለ ካዎይ ኦደ ቦላ ደንዲ? ኦና ኦይካናዉ ካሊ? ሀይቅዳ ካና ዎይኮ ካስቶለ ጎድዬ?
09180f008f	ጎዳይ ኑ ቦላ ዳናቶ፤ ነባነ ታባ እ ፕርዶ፤ ታ ግሾ እ ሞተቶ፤ ነ ኩሸፐ ታና እ አሾ” ያግስ።
09181000af	ዳዊቲ ሃሳያ ዉርስዳ ዎደ ሳኦል ዳዊታኮ፥ “ታ ናአ ዳዊታ፥ ሄስ ነ ቃሌ?” ያግድ ሳኦል ባ ቃላ ꬎቁ ኦꬅድ ዬክስ።
0918110071	“ኔኒ ታፐ አꬍዳ ፅሎ፤ ታኒ ነዉ ኢታባ ኦꬅን፥ ኔኒ ታዉ ሎኦባ ኦꬃዳሳ።
0918120086	ጎዳይ ታና ሀች ነዉ አꬅድ እምን ኔኒ ታና ዎꬋቦና ግሾ ኔኒ ታዉ ሎኦባ ኦꬃዳ በሳዳሳ።
0918130087	አስ ባ ሞርከ ደምድ ቆሆና የድዬ? ኔኒ ታዉ ሀች ኦꬅዳ ኬሀተꬃ ግሾ፥ ጎዳይ ነና አንጆ።
091814008c	ኔኒ እስራኤሌ ካዎ ግዳናይሳነ እስራኤለ ካዎተꬃይ ነ ማታ ጋርሳን ኤቃናይሳ ታ ኤራይስ።
0918150099	ህዛ ታ ኮቻ ꬋይሶና መላነ ታ ሱንꬃ ታ አዋ ሶ አሳ ግዶፈ ቁቾና መላ ጎዳ ሱንꬃን ታዉ ጫቃ” ያግስ።
091816009c	ዳዊቲ ሳኦላስ ጫቅስ። ሄሳፈ ጉየ፥ ሳኦል ባ ሶ ስሚድ ብስ፤ ዳዊቲነ እያ አሳይ ባንታ ሚፃ ብዶሶና።
09190100d2	ሳሜል ሀይቅን፥ እስራኤለ አሳ ኡባይ ሺቅድ፥ እያዉ ዬክዶሶና፤ ራማ ካታማን እያ ሞግዶሶና። ሄሳፈ ጉየ፥ ዳዊቲ ማኦና መላ ቢታ ብስ።
09190200fa	ማኦና መላ ቢታን፥ ቃርመሎሳን ሻሎይ ደእያ እስ ዱረ አደይ ደኤስ። እያዉ እስ ሙኩሉ ዴሻትነ ሄꬑ ሙኩሉ ዶርሳት ደኦሶና። እ ኤንታ እክስያ ቃርመሎሳን ሜዴስ።
09190300dc	ሄ አድያ ሱንꬃይ ናባላ፥ እ ካለባ ያራ፤ እያ ማቸ ሱንꬃይ አብግያ። እያ አኬካንቾነ ማላ ሎኦ ማጫስ፥ ሽን እ አዝናይ ዎዛን ባይና ኢታ አስ።
091904005f	ዳዊቲ መላ ቢታን ደእሸ፥ ናባል ዶርሳ እክሰ ሜደይሳ ስእስ።
0919050093	ዳዊቲ ታሙ ፓንꬃታ ሀይሳዳ ያግድ ኪትስ፤ “ናባላኮ ቃርመሎሳ ብድ፥ ታ ሱንꬃን እያ ሳሮꬅተ።
0919060078	‘ነ ባረይ አዱቆ! ሳሮይ ነዉነ ነ ሶ አሳስ ግዶ፤ ነዉ ደእያ ኡባስ ሳሮይ ግዶ!
09190700f4	ነ ዶርሳ እክሰ ሜደይሳ ታኒ ስአስ፤ ነ ዶርሳ ሄመይሳት ኑራ ደእዳ ዎደ ኑኒ ኤንታ ገንቦኮ፤ ኤንቲ ቃርመሎሳን ደእዳ ዎደ ኡባን ኤንታባፐ አይብካ ፓጭቤና።
0919080130	ሄሳ ኔኒ ነ አይለታ ኦይችኮ ኤንቲ ነዉ ኦዳና። ኑኒ ሀች ግብራ ጋላስ ኔኮ ይዳ ግሾ፥ ታ ፓንꬃታስ ሀያና ኬሀ። ነ ኩሸን ደእያባፐ ነ አይለታስነ ነ ናኣ ዳዊታስ ሀያና እማ’ ያግተ” ያግድ ኪትስ።
0919090094	ዳዊታ አሳት ናባላኮ ጋክድ፥ ዳዊታ ሱንꬃነ ኪታ እያዉ ኦድድ፥ እ ጋናባ ናግሸ ያን ኡትዶሶና።
09190a008c	ናባል፥ “ዳዊቲ ኦኔ? እሰየ ናአይ ኦኔ? ሀ ዎድያን ዳሮ አይለት ባንታ ጎዳታፐ ባቃቶሶና።
09190b00a6	ታ ካꬃ፥ ታ ሃꬃነ ታ ዶርሳታ ሜደይሳታስ ሹከትዳ አሹዋ ኤካዳ፥ ጉዬይ ኤረቶና አሳስ አይስ እሞ?” ያግስ።
09190c0063	ዳዊቲ አሳት ጉየ ስም ብድ ናባል ግዳባ ኡባ ዳዊታስ ኦድዶሶና።
09190d011e	ዳዊቲ፥ “ህንተ ማሻ ዳንጭተ” ያግን፥ ኡባይ ባንታ ማሻ ዳንጭዶሶና፤ ዳዊቲካ ባ ማሻ ዳንጭስ። ዳዊቲ ኦይዱ ፄቱ ግድያ አሳታራ ደንድድ ብስ፤ ናምኡ ፄቱ አሳይ ኤንታባ ናግድ አትስ።
09190e00e2	ናባላ አይለታፐ እሶይ ናባላ ማቸ አብግያኮ ሀይሳዳ ያግስ፤ “ዳዊቲ መላ ቢታን ደእሸ ኑ ጎዳ ሳሮ ጋናዉ አሰ ኪትስ፥ ሽን እ ኤንታ ጫይድ የድስ።
09190f00bc	ግዶሽን፥ ሀ አሳት ኑስ ዳሮ ሎኦ፤ ኤንቲ ኑና ገንቦኮና፤ ኑኒ ኤንታራ ባዞን ፔእዳ ዎደ ኡባን ኑባፐ አይኮይካ ፓጭቤና።
0919100088	ኑኒ ኑ ዶርሳ ዉድያ ኤንታ ማታን ሄምያ ዎደ፥ ቃማነ ጋላስ ኤንቲ ኑስ ድርስ ግድዶሶና።
0919110110	ኑ ጎዳ ቦላነ እያ ሶ አሳ ቦላ ኢታባይ ጋካና ሀንያ ግሾ፥ ሀያና ሀ ኦዳ ዋታነኮ ቆፓ። ኑ ጎዳይ አሳ ዞረ ስኦና ኢታ አስ ግድያ ግሾ፥ ኦንካ እያ ሃሳይሳናዉ ዳንዳኤና” ያግስ።
0919120134	አብግያ ኤሶን ናምኡ ፄቱ ኡይꬁ፥ ናምኡ ኦጎሮ ዎይነ ኡሹ፥ እቻሹ ጫጨትዳ ዶርሳታ፥ እሻታሙ ክሎ ግራመ ጫጨትዳ ትያ፥ እስ ፄቱ ኡከትዳ ዎይነ ሞርኤነ ናምኡ ፄቱ ባላሰ ኑካ ኤካዳ ሀረታ ቦላ ጫናሱ።
09191300a7	ባ አይለታኮ፥ “ህንተ ስንꬃትድ ቢተ፤ ታ ህንተና ካላና” ያጋሱ፤ ሽን ባ አዝና ናባላስ አይኮካ ኦዳቡኩ።
0919140082	ባ ሀርያ ቶጋዳ ዙማ ሎቡዋ ዱገ ዎꬍያ ዎደ ዳዊቲነ እያ አሳይ ይሸ ኢራ ጋሄትዶሶና።
09191500c2	ዳዊቲ፥ “እያባፐ አይኮይካ ፓጮና መላ ታኒ ሀ አድያ ሻሉዋ ናግዳይ ጮ መላ፤ ታኒ ኦꬅዳ ሎኦ ኦሱዋስ እ ታዉ ኢታ ኩሸ ዛርስ።
091916008e	ዎንቶ ዎንታ ጋካናዉ፥ እያባ ግድዳ አደታፐ እሱዋ ታ ፓፃ አግኮ፥ ፆሲ ታና ፕርዶ” ያግስ።
091917007c	አብግያ ዳዊታ በእዳ ዎደ ሀርያፐ ኤሶታ ዎꬋዳ፥ ዳዊታ ስንꬃን ጉፋናዳ ዝጋሱ።
09191800a0	እያ ቶሁዋ ቦላ ኩንዳዳ፥ “ታ ጎዳዉ፥ ታ ባላይ ታ ቦላ ግዶ! ታ እስባ ኦዳና፤ ታ ነ አይልያ ግያባ ስአ።
09191900b2	ሀ ዎዛን ባይና አደይ፥ ናባል ግያባ ስኦፓ፤ እ ባ ሱንꬃዳ ኤያ። ታ ጎዳዉ፥ ነ ኪትዳ አሳታ ታ ነ አይልያ በአብከ።
09191a00de	ደኦ ጎዳይ ኤርያ መላ፥ ነ ሸምፖይ ኤርን፥ ነ ሱꬁ ጉሶናዳነ ሀሎ ከዮናዳ ነና ተቅዳይ ጎዳ። ነ ሞርከትነ ነና ቆሀናዉ ኮየይሳት ናባላዳ ሀኖ።
09191b007b	ሀ እሞታይ ታኒ ነ አይልያ ነዉ፥ ታ ጎዳስ ኤህዳይስ ነና ካልያ አሳታስ እመቶ።
09191c00d9	ታ ጎዳዉ፥ ነ አይለ ናጋራ አቶ ያጋ! ኔኒ ጎዳ ኦላ ኦለትያ ግሾ፥ ጎዳይ ነናነ ነ ሼሻ ካዎያና። ነ ደኦ ላይꬃ ኡባን ኢታተꬅ ነ ቦላ በንቶፎ።
09191d00f0	አይ አስካ ነና ዎꬋናዉ ኮይኮ፥ እስ አስ ባ አልኦ ሻሉዋ ናገይሳዳ ጎዳይ፥ ነ ፆሳይ ነና ሳሮ ናጋና። ሽን ያምባርሻን ሹቹ ሆለይሳዳ እ ነ ሞርከታ ሆላና።
09191e008e	ጎዳይ፥ ታ ጎዳስ ኦꬃናዉ ቃላ ገልዳ ኬሀተꬃ ኡባ ኦꬅያ ዎደነ እስራኤለ ቦላ ካዎꬅያ ዎደ፥
09191f0124	ታ ጎዳይ አዛንያ ጋሶይ ዎይኮ ቂሮያባይ ባዋ። ጋሶይ ባይና ሱꬁ ጉስዳባይ ዎይኮ ሀሎ ከይዳባይ ባይና ግሾ ነ ዎዛናይ ዳጋመና። ጎዳይ ነዉ ሎኦባ ኦꬅዳ ዎደ ታና ነ አይልዉ ዶጎፓ” ያጋሱ።
0919200089	ዳዊቲ አብግያኮ፥ “ታራ ጋሄታና መላ ሀች ነና ኪትዳ ጎዳይ፥ እስራኤለ ፆሳይ ጋላተቶ።
091921007c	ታኒ አሳ ሱꬁ ጉሶናዳነ ሀሎ ከዮናዳ ነ ሎኦ ቆፋይ ታና ተቅዳ ግሾ ኔኒ አንጀታ።
09192200ff	ታ ነና ቆሆናዳ ተቅዳ ደኦ ጎዳይ፥ እስራኤለ ፆሳይ ኤርያ መላ ነ ታራ ጋሄታናዉ ኤለሳዳ ዮናኮ፥ ሳእ ዎንታና ጋካናዉ ናባላ አሳፐ እስ አደይካ ፓፃ አተና” ያግስ።
09192300b5	አብግያ እያዉ ኤህዳ እሞታ እ ኩሸፐ ዳዊቲ ኤክድ፥ “ነ ሶ ሳሮ ባ፤ ታኒ ነ ግዳባ ስአስ፤ ነ ኦይሻካ ኤካስ” ያግስ።
0919240120	አብግያ ስማዳ ናባላኮ ያ ዎደ፥ ካዎ ሶን ጊግያ ግብራ መላ ግብራ ሙዝሸ ሶን ኡትስ። ናባል ዳሮ ማꬆትድ፥ ባ ዎዛናን ኡፋይትያ ግሾ ሳእ ዎንታና ጋካናዉ አብግያ እያዉ አይኮካ ኦዳቡኩ።
09192500a8	ዎንታ ናባላ ማꬆይ ስምዳፐ ጉየ፥ እያ ማችያ ሀንዳባ ኡባ እያዉ ኦዳሱ፤ ናባላ ዎዛናይ ዎꬍን፥ እ ዳቡርስ።
091926004f	ታሙ ጋላሳፐ ጉዬ ጎዳይ ናባላ ሾጭን፥ እ ሀይቅስ።
0919270184	ናባል ሀይቅዳይሳ ዳዊቲ ስእዳ ዎደ፥ “ጎዳይ ጋላተቶ! ናባል ታና ጫይዳይሳ ሀሎ ጎዳይ ከስስ። ታኒ እያ አይለይ ኢታባ ኦꬆና መላ ታና ተቅስ። ናባል ኦꬅዳ ኢታባ ጎዳይ እያ ቦላ ዛርስ” ያግስ። ሄሳፈ ጉየ፥ ዳዊቲ አብግያ ኤካናዉ ኮይድ ኪታ የድስ።
09192800b7	ዳዊታ አይለት ቃርመሎሳን ደእያ አብግያኮ ብድ፥ “ዳዊቲ ነና ማቻናዉ ዶስዳ ግሾ ኑኒ ነና ኤካናዉ ይዳ” ያግዶሶና።
09192900a4	አብግያ ጉፋና ዝጋዳ፥ “ታኒ ነ አይልያ ነዉ ኪተታናዉነ ነ አይለታ ቶሁዋ ሜጫናዉ ጊገታ ኡታስ” ያጋሱ።
09192a00a9	አብግያ ኤለሳ ደንዳዳ ባ ሀርያ ቶጋሱ፥ እያ ባ እቻሹ ማጫ አይለታራነ ዳዊታ ኪትዳ ኣሳራ ባዳ ዳዊታ ገላሱ።
09192b007f	ዳዊቲ ካሰ እዝራኤለ ማጫስዉ አክናሆሞ ኤክድ ደኤስ፤ ኤንቲ ናምአይ እያ ማቸታ።
09192c0077	ሳኦል ዳዊታ ማችዉ፥ ባ ናእዉ መልኮሎ ጋልማ አድያ ሌሳ ናኣ ፋልፃስ እሚስ።
091a01009a	ዚፋ አሳይ ሳኦላኮ ግብአ ብድ፥ “ዳዊቲ ያስሞና ስንꬃን ደእያ ሀክላ ዙማን ቆሰትስ?” ያግዶሶና።
091a02008a	ሳኦል፥ እስራኤለታፐ ዶረትዳ ሄꬑ ሙኩሉ አስ ኤክድ፥ ዳዊታ ኮያናዉ ዚፋ መላ ቢታ ብስ።
091a0300ef	ሳኦል ያስሞና ስንꬃን ደእያ ሀክላ ዙማ ቦላ ደእያ ኦግያ ማታን ዱንካንስ፤ ሽን ዳዊቲ ሄ መላ ቢታን ኡትስ። ሳኦል እያ ካልድ ይዳይሳ ዳዊቲ ኤርዳ ዎደ፥
091a040060	ዎችያ አስ የድድ፥ ሳኦል ቱማ ሄ በሳ ጋክዳይሳ ሻክድ ኤርስ።
091a050104	ዳዊቲ ደንድድ፥ ሳኦል ዱንካንዳ በሳ ብድ ሳኦልነ ቶራ ሞጮናይ ኔራ ናአይ አበኔር ዝንእዳ በሳ በእስ። ሳኦል ዱንካንዳ ጉታን ኦላንቾት እያ ዩሹዋ ተቅን እ ꬍስክስ።
091a0600f4	ዳዊቲ ህተ አድያ አብመለከነ ፃሩያ ናኣ እዮኣባ እሻ አብሳያ፥ “ሳኦል ዱንካንዳ በሳ ታራ ባናይ ኦኔ?” ያግድ ኦይችስ። አብሳይ፥ “ታኒ ኔራ ባና” ያግስ።
091a07010d	ሄሳ ግሾ፥ ዳዊቲነ አብሳይ ሄ ቃማ ኦላንቾታኮ ያ ዎደ ሳኦል ባ ሁጰ ሶን ቶራ ኤስድ፥ ዱንካንያ ግዶን ዝንእዳይሳ ደምዶሶና። አበኔርነ ኦላንቾት እያ ዩሹዋን ዝንእዶሶና።
091a0800d8	አብሳይ፥ “ፆሳይ ነ ሞርክያ ሀች ነ ኩሸን አꬅድ እሚስ፤ ታኒ ቶራን እያ እስ ቶሆ ሳአራ ኦይꬃዳ ጫዳና፤ እያ ዛራ ጫዳናዉ ኮሸና” ያግስ።
091a09009f	ሽን ዳዊቲ አብሳያኮ፥ “ኔኒ እያ ዎꬎፓ፤ ጎዳይ ትይዳ ካዋ ቦላ ባ ኩሽያ ደንꬅያ ኦናካ ጎዳይ ሴራና።
091a0a007b	ደኦ ጎዳይ ኤርያ መላ፥ ፆሳይ እያ ዎꬋና፤ እ ባ ጋላሳን ዎይኮ ኦላን ሀይቃና።
091a0b00c9	ጎዳይ ትይዳ ካዋ ቦላ ታ ኩሽያ ደንꬆናዳ ታና ጎዳይ ተቆ። አነ እያ ሁጰ ሶን ደእያ ቶራነ ሃꬃ ኦይክያ ሚሽያ ኤክድ ቦስ” ያግስ።
091a0c0154	ዳዊቲ ሳኦላ ሁጰ ሶን ደእያ ቶራነ ሃ ኦይክያ ሚሽያ ኤክን፥ ኤንቲ ብዶሶና። ኤንታ ኦንካ በእቤና ዎይኮ ኦንካ ኤርቤና ዎይኮ ኦንካ ባርክቤና። ጎዳይ ኤንታ ቦላ ዎልቃማ ꬍስኮ የድዳ ግሾ ኡባይ ꬍስኮ ሀይቅ አግዶሶና።
091a0d0066	ዳዊቲ ሄፍንꬅ ፕንድ፥ ኤንታፈ ሃክድ ሀራ ደረ ቦላ ከይድ ኤቅስ።
091a0e0103	ዳዊቲ ሳኦላ ኦላንቾታነ ኔራ ናኣ አበኔራ ፄግድ፥ “አበኔራ፥ ታኒ ፄግያ ዎደ ስእኪ?” ያግድ ዋስስ። አበኔር፥ “ቃላ ꬎቁ ኦꬅ ፄግድ ካዋ ꬍስኮ ድገይ ኦኔ?” ያግስ።
091a0f00da	ዳዊቲ፥ “ኔኒ ዎዛናማ አስ ግድኪ? እስራኤለ ግዶን ነ መላ አስ ኦኔ? ያትን፥ ካዋ፥ ነ ጎዳ አይስ ናግኪ? እስ አስ ካዋ፥ ነ ጎዳ ዎꬋናዉ ብስ።
091a100143	ነ ኦꬅዳባይ ሎኦ ግደና። ደኦ ጎዳይ ኤርያ መላ፥ ነነ ነ ኦላንቾት ፆሳይ ትይዳ ህንተ ጎዳ ናግቦና ግሾ ህንተ ሀይቃናዉ በሴስ። ካዋ ቶራይነ እያ ሁጰ ሶን ደእያ ሃ ኦይክያ ሚሸይ አዉን ደእያኮ በአ” ያግስ።
091a1100c2	ዳዊታ ቃላ ግደይሳ ሳኦል ኤርድ፥ “ታ ናአዉ ዳዊታ፥ ሄስ ነ ቃሌ?” ያግስ። ዳዊትቲ፥ “ኤ፥ ታ ጎዳዉ፥ ካዋዉ፥ ሄስ ታ ቃላ።
091a120079	ታ ጎዳዉ፥ ታና ነ አይልያ ኔኒ አይስ ካላይ? ታኒ አይ ኦꬃድና? ታ ባላይ አይቤ?
091a1301aa	ታ ጎዳዉ፥ ካዋዉ፥ ኔኒ ነ አይልያ ቃላ ስአና መላ ታ ነና ዎሳይስ። ጎዳይ ነና ታ ቦላ ደንꬅዳባ ግድኮ፥ እ ያርሾ ኤኮ። ሽን አስ ነና ደንꬅዳባ ግድኮ፥ ‘ባዳ ሀራ ፆሳታ ጎይና’ ያግዶሶና። ጎዳ ቢታን ታዉ ደእያ ላታፐ ኤንቲ ታና ጎድዳ ግሾ ኤንቲ ጎዳ ስንꬃን ባደትዳባ ግዶ!
091a1400fa	ሀእ ጎዳ ስንꬃፈ ሃክድ፥ አላጋ ቢታን ደእያ ኡራ ሱꬃ ጉሶፋ። እስ አስ ኩራቾ ሻንካታናዉ ደረ ቦላ ከየይሳዳ፥ እስራኤለ ካዎይ ካስቶለ ኮያናዉ ከይስ” ያግስ።
091a150100	ሳኦል፥ “ታኒ ነና ቆሀስ። ታ ናአዉ፥ ዳዊታ፥ ሃ ስማ! ሀች ነ ታ ሸምፕዉ ሀይቆፐ አሽዳ ግሾ ታኒ ነና ዛራዳ ገንከ። ቱማ ታኒ ኤያባ ሀናስ፤ ግታ ባላ ባላስ” ያግስ።
091a160071	ዳዊቲ ዛሪድ፥ “ካዋዉ፥ ነ ቶራይ ሀይስሽ፥ ነ አሳፐ እስ አስ ይድ ኤኮ።
091a17010c	እስ እስ አሳስ እያ ፅሎተꬃ መላነ እያ አማነተꬃ መላ ጎዳይ ጋተ ቃንፄስ። ሀች ጎዳይ ነና ታ ኩሸን አꬅድ እሚስ፤ ሽን ጎዳይ ትይዳ ካዋ ቦላ ታኒ ታ ኩሽያ ዎꬃናዉ ኮያብከ።
091a180074	ሀች ነ ሸምፑዋ ታ አሽዳይሳዳ ጎዳይ ታና መቶ ኡባፈ አሽድ ቦንቾ” ያግስ።
091a1900cd	ሳኦል፥ “ታ ናአዉ፥ ዳዊታ፥ ኔኒ አንጀታ። ኔኒ ግታባ ኦꬃና፤ ነዉ እንጀታና” ያግስ። ዳዊቲ ባ ኦግያ ብስ፤ ሳኦልካ ባ ሶ ስምስ።
