010000000c	בראשית
06180100b1	ויאסף יהושע את כל שבטי ישראל שכמה ויקרא לזקני ישראל ולראשיו ולשפטיו ולשטריו ויתיצבו לפני האלהים׃
06180200d4	ויאמר יהושע אל כל העם כה אמר יהוה אלהי ישראל בעבר הנהר ישבו אבותיכם מעולם תרח אבי אברהם ואבי נחור ויעבדו אלהים אחרים׃
061803009a	ואקח את אביכם את אברהם מעבר הנהר ואולך אותו בכל ארץ כנען וארב את זרעו ואתן לו את יצחק׃
0618040092	ואתן ליצחק את יעקב ואת עשו ואתן לעשו את הר שעיר לרשת אותו ויעקב ובניו ירדו מצרים׃
061805007f	ואשלח את משה ואת אהרן ואגף את מצרים כאשר עשיתי בקרבו ואחר הוצאתי אתכם׃
0618060097	ואוציא את אבותיכם ממצרים ותבאו הימה וירדפו מצרים אחרי אבותיכם ברכב ובפרשים ים סוף׃
06180700e4	ויצעקו אל יהוה וישם מאפל ביניכם ובין המצרים ויבא עליו את הים ויכסהו ותראינה עיניכם את אשר עשיתי במצרים ותשבו במדבר ימים רבים׃
06180800b7	ואביאה אתכם אל ארץ האמרי היושב בעבר הירדן וילחמו אתכם ואתן אותם בידכם ותירשו את ארצם ואשמידם מפניכם׃
0618090088	ויקם בלק בן צפור מלך מואב וילחם בישראל וישלח ויקרא לבלעם בן בעור לקלל אתכם׃
06180a005f	ולא אביתי לשמע לבלעם ויברך ברוך אתכם ואצל אתכם מידו׃
06180b00d7	ותעברו את הירדן ותבאו אל יריחו וילחמו בכם בעלי יריחו האמרי והפרזי והכנעני והחתי והגרגשי החוי והיבוסי ואתן אותם בידכם׃
06180c0087	ואשלח לפניכם את הצרעה ותגרש אותם מפניכם שני מלכי האמרי לא בחרבך ולא בקשתך׃
06180d00a7	ואתן לכם ארץ אשר לא יגעת בה וערים אשר לא בניתם ותשבו בהם כרמים וזיתים אשר לא נטעתם אתם אכלים׃
06180e00bf	ועתה יראו את יהוה ועבדו אתו בתמים ובאמת והסירו את אלהים אשר עבדו אבותיכם בעבר הנהר ובמצרים ועבדו את יהוה׃
06180f0121	ואם רע בעיניכם לעבד את יהוה בחרו לכם היום את מי תעבדון אם את אלהים אשר עבדו אבותיכם אשר בעבר הנהר ואם את אלהי האמרי אשר אתם ישבים בארצם ואנכי וביתי נעבד את יהוה׃
0618100064	ויען העם ויאמר חלילה לנו מעזב את יהוה לעבד אלהים אחרים׃
0618110121	כי יהוה אלהינו הוא המעלה אתנו ואת אבותינו מארץ מצרים מבית עבדים ואשר עשה לעינינו את האתות הגדלות האלה וישמרנו בכל הדרך אשר הלכנו בה ובכל העמים אשר עברנו בקרבם׃
0618120099	ויגרש יהוה את כל העמים ואת האמרי ישב הארץ מפנינו גם אנחנו נעבד את יהוה כי הוא אלהינו׃
06181300af	ויאמר יהושע אל העם לא תוכלו לעבד את יהוה כי אלהים קדשים הוא אל קנוא הוא לא ישא לפשעכם ולחטאותיכם׃
0618140087	כי תעזבו את יהוה ועבדתם אלהי נכר ושב והרע לכם וכלה אתכם אחרי אשר היטיב לכם׃
0618150044	ויאמר העם אל יהושע לא כי את יהוה נעבד׃
061816008e	ויאמר יהושע אל העם עדים אתם בכם כי אתם בחרתם לכם את יהוה לעבד אותו ויאמרו עדים׃
061817007b	ועתה הסירו את אלהי הנכר אשר בקרבכם והטו את לבבכם אל יהוה אלהי ישראל׃
061818005f	ויאמרו העם אל יהושע את יהוה אלהינו נעבד ובקולו נשמע׃
0618190060	ויכרת יהושע ברית לעם ביום ההוא וישם לו חק ומשפט בשכם׃
06181a00a7	ויכתב יהושע את הדברים האלה בספר תורת אלהים ויקח אבן גדולה ויקימה שם תחת האלה אשר במקדש יהוה׃
06181b00de	ויאמר יהושע אל כל העם הנה האבן הזאת תהיה בנו לעדה כי היא שמעה את כל אמרי יהוה אשר דבר עמנו והיתה בכם לעדה פן תכחשון באלהיכם׃
06181c0037	וישלח יהושע את העם איש לנחלתו׃
06181d0077	ויהי אחרי הדברים האלה וימת יהושע בן נון עבד יהוה בן מאה ועשר שנים׃
06181e006f	ויקברו אתו בגבול נחלתו בתמנת סרח אשר בהר אפרים מצפון להר געש׃
06181f00d1	ויעבד ישראל את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושע ואשר ידעו את כל מעשה יהוה אשר עשה לישראל׃
06182000e9	ואת עצמות יוסף אשר העלו בני ישראל ממצרים קברו בשכם בחלקת השדה אשר קנה יעקב מאת בני חמור אבי שכם במאה קשיטה ויהיו לבני יוסף לנחלה׃
0618210077	ואלעזר בן אהרן מת ויקברו אתו בגבעת פינחס בנו אשר נתן לו בהר אפרים׃
070000000c	שופטים
070101009a	ויהי אחרי מות יהושע וישאלו בני ישראל ביהוה לאמר מי יעלה לנו אל הכנעני בתחלה להלחם בו׃
0701020050	ויאמר יהוה יהודה יעלה הנה נתתי את הארץ בידו׃
07010300aa	ויאמר יהודה לשמעון אחיו עלה אתי בגורלי ונלחמה בכנעני והלכתי גם אני אתך בגורלך וילך אתו שמעון׃
070104007e	ויעל יהודה ויתן יהוה את הכנעני והפרזי בידם ויכום בבזק עשרת אלפים איש׃
070105006b	וימצאו את אדני בזק בבזק וילחמו בו ויכו את הכנעני ואת הפרזי׃
0701060079	וינס אדני בזק וירדפו אחריו ויאחזו אתו ויקצצו את בהנות ידיו ורגליו׃
07010700e4	ויאמר אדני בזק שבעים מלכים בהנות ידיהם ורגליהם מקצצים היו מלקטים תחת שלחני כאשר עשיתי כן שלם לי אלהים ויביאהו ירושלם וימת שם׃
070108007e	וילחמו בני יהודה בירושלם וילכדו אותה ויכוה לפי חרב ואת העיר שלחו באש׃
0701090065	ואחר ירדו בני יהודה להלחם בכנעני יושב ההר והנגב והשפלה׃
07010a00a5	וילך יהודה אל הכנעני היושב בחברון ושם חברון לפנים קרית ארבע ויכו את ששי ואת אחימן ואת תלמי׃
07010b0055	וילך משם אל יושבי דביר ושם דביר לפנים קרית ספר׃
07010c006f	ויאמר כלב אשר יכה את קרית ספר ולכדה ונתתי לו את עכסה בתי לאשה׃
07010d0073	וילכדה עתניאל בן קנז אחי כלב הקטן ממנו ויתן לו את עכסה בתו לאשה׃
07010e0086	ויהי בבואה ותסיתהו לשאול מאת אביה השדה ותצנח מעל החמור ויאמר לה כלב מה לך׃
07010f00a7	ותאמר לו הבה לי ברכה כי ארץ הנגב נתתני ונתתה לי גלת מים ויתן לה כלב את גלת עלית ואת גלת תחתית׃
070110009e	ובני קיני חתן משה עלו מעיר התמרים את בני יהודה מדבר יהודה אשר בנגב ערד וילך וישב את העם׃
0701110098	וילך יהודה את שמעון אחיו ויכו את הכנעני יושב צפת ויחרימו אותה ויקרא את שם העיר חרמה׃
070112007f	וילכד יהודה את עזה ואת גבולה ואת אשקלון ואת גבולה ואת עקרון ואת גבולה׃
0701130082	ויהי יהוה את יהודה וירש את ההר כי לא להוריש את ישבי העמק כי רכב ברזל להם׃
070114006c	ויתנו לכלב את חברון כאשר דבר משה ויורש משם את שלשה בני הענק׃
070115009e	ואת היבוסי ישב ירושלם לא הורישו בני בנימן וישב היבוסי את בני בנימן בירושלם עד היום הזה׃
0701160044	ויעלו בית יוסף גם הם בית אל ויהוה עמם׃
070117004e	ויתירו בית יוסף בבית אל ושם העיר לפנים לוז׃
070118008b	ויראו השמרים איש יוצא מן העיר ויאמרו לו הראנו נא את מבוא העיר ועשינו עמך חסד׃
070119007a	ויראם את מבוא העיר ויכו את העיר לפי חרב ואת האיש ואת כל משפחתו שלחו׃
07011a0071	וילך האיש ארץ החתים ויבן עיר ויקרא שמה לוז הוא שמה עד היום הזה׃
07011b011f	ולא הוריש מנשה את בית שאן ואת בנותיה ואת תענך ואת בנתיה ואת ישב דור ואת בנותיה ואת יושבי יבלעם ואת בנתיה ואת יושבי מגדו ואת בנותיה ויואל הכנעני לשבת בארץ הזאת׃
07011c0062	ויהי כי חזק ישראל וישם את הכנעני למס והוריש לא הורישו׃
07011d006e	ואפרים לא הוריש את הכנעני היושב בגזר וישב הכנעני בקרבו בגזר׃
07011e0085	זבולן לא הוריש את יושבי קטרון ואת יושבי נהלל וישב הכנעני בקרבו ויהיו למס׃
07011f009a	אשר לא הוריש את ישבי עכו ואת יושבי צידון ואת אחלב ואת אכזיב ואת חלבה ואת אפיק ואת רחב׃
0701200054	וישב האשרי בקרב הכנעני ישבי הארץ כי לא הורישו׃
07012100c5	נפתלי לא הוריש את ישבי בית שמש ואת ישבי בית ענת וישב בקרב הכנעני ישבי הארץ וישבי בית שמש ובית ענת היו להם למס׃
0701220058	וילחצו האמרי את בני דן ההרה כי לא נתנו לרדת לעמק׃
070123007e	ויואל האמרי לשבת בהר חרס באילון ובשעלבים ותכבד יד בית יוסף ויהיו למס׃
0701240045	וגבול האמרי ממעלה עקרבים מהסלע ומעלה׃
07020100df	ויעל מלאך יהוה מן הגלגל אל הבכים ויאמר אעלה אתכם ממצרים ואביא אתכם אל הארץ אשר נשבעתי לאבתיכם ואמר לא אפר בריתי אתכם לעולם׃
0702020092	ואתם לא תכרתו ברית ליושבי הארץ הזאת מזבחותיהם תתצון ולא שמעתם בקלי מה זאת עשיתם׃
070203007c	וגם אמרתי לא אגרש אותם מפניכם והיו לכם לצדים ואלהיהם יהיו לכם למוקש׃
0702040087	ויהי כדבר מלאך יהוה את הדברים האלה אל כל בני ישראל וישאו העם את קולם ויבכו׃
070205004d	ויקראו שם המקום ההוא בכים ויזבחו שם ליהוה׃
070206006b	וישלח יהושע את העם וילכו בני ישראל איש לנחלתו לרשת את הארץ׃
07020700d8	ויעבדו העם את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושוע אשר ראו את כל מעשה יהוה הגדול אשר עשה לישראל׃
070208004f	וימת יהושע בן נון עבד יהוה בן מאה ועשר שנים׃
070209006a	ויקברו אותו בגבול נחלתו בתמנת חרס בהר אפרים מצפון להר געש׃
07020a00b5	וגם כל הדור ההוא נאספו אל אבותיו ויקם דור אחר אחריהם אשר לא ידעו את יהוה וגם את המעשה אשר עשה לישראל׃
07020b005d	ויעשו בני ישראל את הרע בעיני יהוה ויעבדו את הבעלים׃
07020c00e5	ויעזבו את יהוה אלהי אבותם המוציא אותם מארץ מצרים וילכו אחרי אלהים אחרים מאלהי העמים אשר סביבותיהם וישתחוו להם ויכעסו את יהוה׃
07020d0043	ויעזבו את יהוה ויעבדו לבעל ולעשתרות׃
07020e00ba	ויחר אף יהוה בישראל ויתנם ביד שסים וישסו אותם וימכרם ביד אויביהם מסביב ולא יכלו עוד לעמד לפני אויביהם׃
07020f0091	בכל אשר יצאו יד יהוה היתה בם לרעה כאשר דבר יהוה וכאשר נשבע יהוה להם ויצר להם מאד׃
0702100041	ויקם יהוה שפטים ויושיעום מיד שסיהם׃
07021100cc	וגם אל שפטיהם לא שמעו כי זנו אחרי אלהים אחרים וישתחוו להם סרו מהר מן הדרך אשר הלכו אבותם לשמע מצות יהוה לא עשו כן׃
07021200cf	וכי הקים יהוה להם שפטים והיה יהוה עם השפט והושיעם מיד איביהם כל ימי השופט כי ינחם יהוה מנאקתם מפני לחציהם ודחקיהם׃
07021300c5	והיה במות השופט ישבו והשחיתו מאבותם ללכת אחרי אלהים אחרים לעבדם ולהשתחות להם לא הפילו ממעלליהם ומדרכם הקשה׃
07021400a4	ויחר אף יהוה בישראל ויאמר יען אשר עברו הגוי הזה את בריתי אשר צויתי את אבותם ולא שמעו לקולי׃
0702150070	גם אני לא אוסיף להוריש איש מפניהם מן הגוים אשר עזב יהושע וימת׃
0702160084	למען נסות בם את ישראל השמרים הם את דרך יהוה ללכת בם כאשר שמרו אבותם אם לא׃
070217006d	וינח יהוה את הגוים האלה לבלתי הורישם מהר ולא נתנם ביד יהושע׃
070301008d	ואלה הגוים אשר הניח יהוה לנסות בם את ישראל את כל אשר לא ידעו את כל מלחמות כנען׃
070302006e	רק למען דעת דרות בני ישראל ללמדם מלחמה רק אשר לפנים לא ידעום׃
0703030095	חמשת סרני פלשתים וכל הכנעני והצידני והחוי ישב הר הלבנון מהר בעל חרמון עד לבוא חמת׃
0703040085	ויהיו לנסות בם את ישראל לדעת הישמעו את מצות יהוה אשר צוה את אבותם ביד משה׃
0703050071	ובני ישראל ישבו בקרב הכנעני החתי והאמרי והפרזי והחוי והיבוסי׃
070306007d	ויקחו את בנותיהם להם לנשים ואת בנותיהם נתנו לבניהם ויעבדו את אלהיהם׃
0703070099	ויעשו בני ישראל את הרע בעיני יהוה וישכחו את יהוה אלהיהם ויעבדו את הבעלים ואת האשרות׃
07030800b4	ויחר אף יהוה בישראל וימכרם ביד כושן רשעתים מלך ארם נהרים ויעבדו בני ישראל את כושן רשעתים שמנה שנים׃
07030900ac	ויזעקו בני ישראל אל יהוה ויקם יהוה מושיע לבני ישראל ויושיעם את עתניאל בן קנז אחי כלב הקטן ממנו׃
07030a00c3	ותהי עליו רוח יהוה וישפט את ישראל ויצא למלחמה ויתן יהוה בידו את כושן רשעתים מלך ארם ותעז ידו על כושן רשעתים׃
07030b004b	ותשקט הארץ ארבעים שנה וימת עתניאל בן קנז׃
07030c00b9	ויספו בני ישראל לעשות הרע בעיני יהוה ויחזק יהוה את עגלון מלך מואב על ישראל על כי עשו את הרע בעיני יהוה׃
07030d007b	ויאסף אליו את בני עמון ועמלק וילך ויך את ישראל ויירשו את עיר התמרים׃
07030e005b	ויעבדו בני ישראל את עגלון מלך מואב שמונה עשרה שנה׃
07030f00ea	ויזעקו בני ישראל אל יהוה ויקם יהוה להם מושיע את אהוד בן גרא בן הימיני איש אטר יד ימינו וישלחו בני ישראל בידו מנחה לעגלון מלך מואב׃
0703100085	ויעש לו אהוד חרב ולה שני פיות גמד ארכה ויחגר אותה מתחת למדיו על ירך ימינו׃
070311005d	ויקרב את המנחה לעגלון מלך מואב ועגלון איש בריא מאד׃
0703120062	ויהי כאשר כלה להקריב את המנחה וישלח את העם נשאי המנחה׃
07031300ab	והוא שב מן הפסילים אשר את הגלגל ויאמר דבר סתר לי אליך המלך ויאמר הס ויצאו מעליו כל העמדים עליו׃
07031400a2	ואהוד בא אליו והוא ישב בעלית המקרה אשר לו לבדו ויאמר אהוד דבר אלהים לי אליך ויקם מעל הכסא׃
0703150072	וישלח אהוד את יד שמאלו ויקח את החרב מעל ירך ימינו ויתקעה בבטנו׃
0703160089	ויבא גם הנצב אחר הלהב ויסגר החלב בעד הלהב כי לא שלף החרב מבטנו ויצא הפרשדנה׃
0703170057	ויצא אהוד המסדרונה ויסגר דלתות העליה בעדו ונעל׃
07031800a0	והוא יצא ועבדיו באו ויראו והנה דלתות העליה נעלות ויאמרו אך מסיך הוא את רגליו בחדר המקרה׃
070319009e	ויחילו עד בוש והנה איננו פתח דלתות העליה ויקחו את המפתח ויפתחו והנה אדניהם נפל ארצה מת׃
07031a0067	ואהוד נמלט עד התמהמהם והוא עבר את הפסילים וימלט השעירתה׃
07031b0083	ויהי בבואו ויתקע בשופר בהר אפרים וירדו עמו בני ישראל מן ההר והוא לפניהם׃
07031c00d2	ויאמר אלהם רדפו אחרי כי נתן יהוה את איביכם את מואב בידכם וירדו אחריו וילכדו את מעברות הירדן למואב ולא נתנו איש לעבר׃
07031d007d	ויכו את מואב בעת ההיא כעשרת אלפים איש כל שמן וכל איש חיל ולא נמלט איש׃
07031e0066	ותכנע מואב ביום ההוא תחת יד ישראל ותשקט הארץ שמונים שנה׃
07031f0091	ואחריו היה שמגר בן ענת ויך את פלשתים שש מאות איש במלמד הבקר וישע גם הוא את ישראל׃
0704010054	ויספו בני ישראל לעשות הרע בעיני יהוה ואהוד מת׃
0704020093	וימכרם יהוה ביד יבין מלך כנען אשר מלך בחצור ושר צבאו סיסרא והוא יושב בחרשת הגוים׃
070403009c	ויצעקו בני ישראל אל יהוה כי תשע מאות רכב ברזל לו והוא לחץ את בני ישראל בחזקה עשרים שנה׃
0704040064	ודבורה אשה נביאה אשת לפידות היא שפטה את ישראל בעת ההיא׃
0704050096	והיא יושבת תחת תמר דבורה בין הרמה ובין בית אל בהר אפרים ויעלו אליה בני ישראל למשפט׃
07040600fc	ותשלח ותקרא לברק בן אבינעם מקדש נפתלי ותאמר אליו הלא צוה יהוה אלהי ישראל לך ומשכת בהר תבור ולקחת עמך עשרת אלפים איש מבני נפתלי ומבני זבלון׃
070407008d	ומשכתי אליך אל נחל קישון את סיסרא שר צבא יבין ואת רכבו ואת המונו ונתתיהו בידך׃
0704080066	ויאמר אליה ברק אם תלכי עמי והלכתי ואם לא תלכי עמי לא אלך׃
07040900d4	ותאמר הלך אלך עמך אפס כי לא תהיה תפארתך על הדרך אשר אתה הולך כי ביד אשה ימכר יהוה את סיסרא ותקם דבורה ותלך עם ברק קדשה׃
07040a0088	ויזעק ברק את זבולן ואת נפתלי קדשה ויעל ברגליו עשרת אלפי איש ותעל עמו דבורה׃
07040b0083	וחבר הקיני נפרד מקין מבני חבב חתן משה ויט אהלו עד אלון בצענים אשר את קדש׃
07040c004c	ויגדו לסיסרא כי עלה ברק בן אבינעם הר תבור׃
07040d0098	ויזעק סיסרא את כל רכבו תשע מאות רכב ברזל ואת כל העם אשר אתו מחרשת הגוים אל נחל קישון׃
07040e00d5	ותאמר דברה אל ברק קום כי זה היום אשר נתן יהוה את סיסרא בידך הלא יהוה יצא לפניך וירד ברק מהר תבור ועשרת אלפים איש אחריו׃
07040f00ab	ויהם יהוה את סיסרא ואת כל הרכב ואת כל המחנה לפי חרב לפני ברק וירד סיסרא מעל המרכבה וינס ברגליו׃
070410009c	וברק רדף אחרי הרכב ואחרי המחנה עד חרשת הגוים ויפל כל מחנה סיסרא לפי חרב לא נשאר עד אחד׃
070411009c	וסיסרא נס ברגליו אל אהל יעל אשת חבר הקיני כי שלום בין יבין מלך חצור ובין בית חבר הקיני׃
07041200a2	ותצא יעל לקראת סיסרא ותאמר אליו סורה אדני סורה אלי אל תירא ויסר אליה האהלה ותכסהו בשמיכה׃
0704130081	ויאמר אליה השקיני נא מעט מים כי צמאתי ותפתח את נאוד החלב ותשקהו ותכסהו׃
0704140083	ויאמר אליה עמד פתח האהל והיה אם איש יבוא ושאלך ואמר היש פה איש ואמרת אין׃
07041500cf	ותקח יעל אשת חבר את יתד האהל ותשם את המקבת בידה ותבוא אליו בלאט ותתקע את היתד ברקתו ותצנח בארץ והוא נרדם ויעף וימת׃
07041600d2	והנה ברק רדף את סיסרא ותצא יעל לקראתו ותאמר לו לך ואראך את האיש אשר אתה מבקש ויבא אליה והנה סיסרא נפל מת והיתד ברקתו׃
0704170062	ויכנע אלהים ביום ההוא את יבין מלך כנען לפני בני ישראל׃
0704180088	ותלך יד בני ישראל הלוך וקשה על יבין מלך כנען עד אשר הכריתו את יבין מלך כנען׃
070501004b	ותשר דבורה וברק בן אבינעם ביום ההוא לאמר׃
0705020046	בפרע פרעות בישראל בהתנדב עם ברכו יהוה׃
070503007d	שמעו מלכים האזינו רזנים אנכי ליהוה אנכי אשירה אזמר ליהוה אלהי ישראל׃
0705040082	יהוה בצאתך משעיר בצעדך משדה אדום ארץ רעשה גם שמים נטפו גם עבים נטפו מים׃
0705050059	הרים נזלו מפני יהוה זה סיני מפני יהוה אלהי ישראל׃
070506007e	בימי שמגר בן ענת בימי יעל חדלו ארחות והלכי נתיבות ילכו ארחות עקלקלות׃
0705070063	חדלו פרזון בישראל חדלו עד שקמתי דבורה שקמתי אם בישראל׃
0705080078	יבחר אלהים חדשים אז לחם שערים מגן אם יראה ורמח בארבעים אלף בישראל׃
070509004a	לבי לחוקקי ישראל המתנדבים בעם ברכו יהוה׃
07050a0057	רכבי אתנות צחרות ישבי על מדין והלכי על דרך שיחו׃
07050b0097	מקול מחצצים בין משאבים שם יתנו צדקות יהוה צדקת פרזנו בישראל אז ירדו לשערים עם יהוה׃
07050c0072	עורי עורי דבורה עורי עורי דברי שיר קום ברק ושבה שביך בן אבינעם׃
07050d004e	אז ירד שריד לאדירים עם יהוה ירד לי בגבורים׃
07050e009c	מני אפרים שרשם בעמלק אחריך בנימין בעממיך מני מכיר ירדו מחקקים ומזבולן משכים בשבט ספר׃
07050f008c	ושרי ביששכר עם דברה ויששכר כן ברק בעמק שלח ברגליו בפלגות ראובן גדלים חקקי לב׃
0705100079	למה ישבת בין המשפתים לשמע שרקות עדרים לפלגות ראובן גדולים חקרי לב׃
0705110086	גלעד בעבר הירדן שכן ודן למה יגור אניות אשר ישב לחוף ימים ועל מפרציו ישכון׃
070512004e	זבלון עם חרף נפשו למות ונפתלי על מרומי שדה׃
070513007a	באו מלכים נלחמו אז נלחמו מלכי כנען בתענך על מי מגדו בצע כסף לא לקחו׃
0705140053	מן שמים נלחמו הכוכבים ממסלותם נלחמו עם סיסרא׃
070515005b	נחל קישון גרפם נחל קדומים נחל קישון תדרכי נפשי עז׃
0705160044	אז הלמו עקבי סוס מדהרות דהרות אביריו׃
070517008f	אורו מרוז אמר מלאך יהוה ארו ארור ישביה כי לא באו לעזרת יהוה לעזרת יהוה בגבורים׃
0705180052	תברך מנשים יעל אשת חבר הקיני מנשים באהל תברך׃
070519004b	מים שאל חלב נתנה בספל אדירים הקריבה חמאה׃
07051a008a	ידה ליתד תשלחנה וימינה להלמות עמלים והלמה סיסרא מחקה ראשו ומחצה וחלפה רקתו׃
07051b006d	בין רגליה כרע נפל שכב בין רגליה כרע נפל באשר כרע שם נפל שדוד׃
07051c0099	בעד החלון נשקפה ותיבב אם סיסרא בעד האשנב מדוע בשש רכבו לבוא מדוע אחרו פעמי מרכבותיו׃
07051d004b	חכמות שרותיה תענינה אף היא תשיב אמריה לה׃
07051e00ab	הלא ימצאו יחלקו שלל רחם רחמתים לראש גבר שלל צבעים לסיסרא שלל צבעים רקמה צבע רקמתים לצוארי שלל׃
07051f0080	כן יאבדו כל אויביך יהוה ואהביו כצאת השמש בגברתו ותשקט הארץ ארבעים שנה׃
070601006d	ויעשו בני ישראל הרע בעיני יהוה ויתנם יהוה ביד מדין שבע שנים׃
07060200a8	ותעז יד מדין על ישראל מפני מדין עשו להם בני ישראל את המנהרות אשר בהרים ואת המערות ואת המצדות׃
0706030060	והיה אם זרע ישראל ועלה מדין ועמלק ובני קדם ועלו עליו׃
0706040097	ויחנו עליהם וישחיתו את יבול הארץ עד בואך עזה ולא ישאירו מחיה בישראל ושה ושור וחמור׃
070605009b	כי הם ומקניהם יעלו ואהליהם יבאו כדי ארבה לרב ולהם ולגמליהם אין מספר ויבאו בארץ לשחתה׃
070606005b	וידל ישראל מאד מפני מדין ויזעקו בני ישראל אל יהוה׃
070607004f	ויהי כי זעקו בני ישראל אל יהוה על אדות מדין׃
07060800cb	וישלח יהוה איש נביא אל בני ישראל ויאמר להם כה אמר יהוה אלהי ישראל אנכי העליתי אתכם ממצרים ואציא אתכם מבית עבדים׃
0706090081	ואצל אתכם מיד מצרים ומיד כל לחציכם ואגרש אותם מפניכם ואתנה לכם את ארצם׃
07060a009c	ואמרה לכם אני יהוה אלהיכם לא תיראו את אלהי האמרי אשר אתם יושבים בארצם ולא שמעתם בקולי׃
07060b00b3	ויבא מלאך יהוה וישב תחת האלה אשר בעפרה אשר ליואש אבי העזרי וגדעון בנו חבט חטים בגת להניס מפני מדין׃
07060c005b	וירא אליו מלאך יהוה ויאמר אליו יהוה עמך גבור החיל׃
07060d0117	ויאמר אליו גדעון בי אדני ויש יהוה עמנו ולמה מצאתנו כל זאת ואיה כל נפלאתיו אשר ספרו לנו אבותינו לאמר הלא ממצרים העלנו יהוה ועתה נטשנו יהוה ויתננו בכף מדין׃
07060e007b	ויפן אליו יהוה ויאמר לך בכחך זה והושעת את ישראל מכף מדין הלא שלחתיך׃
07060f008d	ויאמר אליו בי אדני במה אושיע את ישראל הנה אלפי הדל במנשה ואנכי הצעיר בבית אבי׃
070610005c	ויאמר אליו יהוה כי אהיה עמך והכית את מדין כאיש אחד׃
070611006c	ויאמר אליו אם נא מצאתי חן בעיניך ועשית לי אות שאתה מדבר עמי׃
070612008c	אל נא תמש מזה עד באי אליך והצאתי את מנחתי והנחתי לפניך ויאמר אנכי אשב עד שובך׃
07061300a9	וגדעון בא ויעש גדי עזים ואיפת קמח מצות הבשר שם בסל והמרק שם בפרור ויוצא אליו אל תחת האלה ויגש׃
0706140095	ויאמר אליו מלאך האלהים קח את הבשר ואת המצות והנח אל הסלע הלז ואת המרק שפוך ויעש כן׃
07061500d7	וישלח מלאך יהוה את קצה המשענת אשר בידו ויגע בבשר ובמצות ותעל האש מן הצור ותאכל את הבשר ואת המצות ומלאך יהוה הלך מעיניו׃
07061600a5	וירא גדעון כי מלאך יהוה הוא ויאמר גדעון אהה אדני יהוה כי על כן ראיתי מלאך יהוה פנים אל פנים׃
0706170044	ויאמר לו יהוה שלום לך אל תירא לא תמות׃
070618008d	ויבן שם גדעון מזבח ליהוה ויקרא לו יהוה שלום עד היום הזה עודנו בעפרת אבי העזרי׃
07061900e0	ויהי בלילה ההוא ויאמר לו יהוה קח את פר השור אשר לאביך ופר השני שבע שנים והרסת את מזבח הבעל אשר לאביך ואת האשרה אשר עליו תכרת׃
07061a00b0	ובנית מזבח ליהוה אלהיך על ראש המעוז הזה במערכה ולקחת את הפר השני והעלית עולה בעצי האשרה אשר תכרת׃
07061b00ce	ויקח גדעון עשרה אנשים מעבדיו ויעש כאשר דבר אליו יהוה ויהי כאשר ירא את בית אביו ואת אנשי העיר מעשות יומם ויעש לילה׃
07061c00ae	וישכימו אנשי העיר בבקר והנה נתץ מזבח הבעל והאשרה אשר עליו כרתה ואת הפר השני העלה על המזבח הבנוי׃
07061d0096	ויאמרו איש אל רעהו מי עשה הדבר הזה וידרשו ויבקשו ויאמרו גדעון בן יואש עשה הדבר הזה׃
07061e0098	ויאמרו אנשי העיר אל יואש הוצא את בנך וימת כי נתץ את מזבח הבעל וכי כרת האשרה אשר עליו׃
07061f00e3	ויאמר יואש לכל אשר עמדו עליו האתם תריבון לבעל אם אתם תושיעון אותו אשר יריב לו יומת עד הבקר אם אלהים הוא ירב לו כי נתץ את מזבחו׃
0706200068	ויקרא לו ביום ההוא ירבעל לאמר ירב בו הבעל כי נתץ את מזבחו׃
070621006e	וכל מדין ועמלק ובני קדם נאספו יחדו ויעברו ויחנו בעמק יזרעאל׃
0706220065	ורוח יהוה לבשה את גדעון ויתקע בשופר ויזעק אביעזר אחריו׃
070623009e	ומלאכים שלח בכל מנשה ויזעק גם הוא אחריו ומלאכים שלח באשר ובזבלון ובנפתלי ויעלו לקראתם׃
070624006b	ויאמר גדעון אל האלהים אם ישך מושיע בידי את ישראל כאשר דברת׃
07062500c6	הנה אנכי מציג את גזת הצמר בגרן אם טל יהיה על הגזה לבדה ועל כל הארץ חרב וידעתי כי תושיע בידי את ישראל כאשר דברת׃
0706260071	ויהי כן וישכם ממחרת ויזר את הגזה וימץ טל מן הגזה מלוא הספל מים׃
07062700ce	ויאמר גדעון אל האלהים אל יחר אפך בי ואדברה אך הפעם אנסה נא רק הפעם בגזה יהי נא חרב אל הגזה לבדה ועל כל הארץ יהיה טל׃
0706280076	ויעש אלהים כן בלילה ההוא ויהי חרב אל הגזה לבדה ועל כל הארץ היה טל׃
07070100ad	וישכם ירבעל הוא גדעון וכל העם אשר אתו ויחנו על עין חרד ומחנה מדין היה לו מצפון מגבעת המורה בעמק׃
07070200a3	ויאמר יהוה אל גדעון רב העם אשר אתך מתתי את מדין בידם פן יתפאר עלי ישראל לאמר ידי הושיעה לי׃
07070300bd	ועתה קרא נא באזני העם לאמר מי ירא וחרד ישב ויצפר מהר הגלעד וישב מן העם עשרים ושנים אלף ועשרת אלפים נשארו׃
