2800000030	ᎣᏍᏛ ᎧᏃᎮᏛ ᎹᏚ ᎤᏬᏪᎳᏅᎯ
290807008d	ᎠᎴ ᎢᎸᏍᎩ ᏧᎾᏍᏗ ᎠᏣᏗ ᏓᏂᏁᎮᎢ, ᎤᎵᎮᎵᏨᏃ ᎤᏁᏤ ᎾᏍᎩ ᎾᏍᏉ ᎢᎬᏱᏗᏢ ᏧᏂᏅᏗᏱ.
290808008c	ᎤᎾᎵᏍᏓᏴᏁᏃ, ᎠᎴ ᏚᏃᎸᏎᎢ; ᎤᏄᏖᏎᏃ ᎤᎵᎬᎭᎷᏴᎯ ᎤᏘᏴᎯ ᎦᎵᏉᎩ ᎢᏯᎧᎵᎢ ᏔᎷᏣ.
2908090064	ᎤᎾᎵᏍᏓᏴᏅᎯᏃ ᏅᎩ ᎢᏯᎦᏴᎵ ᎢᏴᏛ ᎾᏂᎡᎢ; ᏚᏰᎵᎯᏍᏔᏁᏃ.
29080a0079	ᎢᎬᏪᏅᏛᏃ ᏥᏳᎯ ᎤᏣᏁ ᎠᏁᎮ ᎬᏩᏍᏓᏩᏗᏙᎯ, ᎠᎴ ᏓᎵᎻᏄᏓ ᎠᏍᏛ ᏭᎷᏤᎢ.
29080b00c4	ᎠᏂᏆᎵᏏᏃ ᎤᏂᎷᏤ ᎠᎴ ᎤᎾᎴᏅᎮ ᎬᏩᏛᏛᎮᎸᏁᎢ, ᎬᏩᏔᏲᏎᎴ ᏧᎾᏄᎪᏫᏎᏗᏱ ᎤᏰᎸᏛ ᎦᎸᎳᏗ ᏅᏓᏳᎶᏒᎯ, ᎬᏩᎪᎵᏰᏍᎨᎢ.
29080c0111	ᎤᏓᏅᏙᎩᎯᏃ ᎭᏫᏂ ᎤᎵᏰᏔᏁᎢ, ᎠᎴ ᎯᎠ ᏄᏪᏎᎢ, ᎦᏙᏃ ᎪᎯ ᎯᎠ ᏣᏁᎭ ᎤᏰᎸᏛ ᎤᏂᏲᎭ? ᎤᏙᎯᏳᎯᏯ ᎯᎠ ᏂᏨᏪᏎᎭ, ᎥᏝ ᎬᏂᎨᏒ ᎢᎨᎬᏁᏗ ᏱᎨᏎᏍᏗ ᎤᏰᎸᏛ ᎯᎠ ᎪᎯ ᏣᏁᎭ.
29080d0054	ᏚᏓᏅᎡᎸᏃ, ᎠᎴ ᏔᎵᏁ ᏥᏳᎯ ᎤᏣᏅ, ᎠᏍᎪᎾ ᏭᎶᏎᎢ.
29080e0093	[ᎬᏩᏍᏓᏩᏗᏙᎯᏃ] ᎤᏅᎨᏫᏒᎯ ᎨᏎ ᎦᏚ ᏧᎾᏕᏅᏗᏱ, ᎥᏝ ᎠᎴ ᏳᎶᏒᏍᏕ ᏌᏉ ᎦᏚ ᎤᏂᎸ ᏥᏳᎯ.
29080f00ab	ᏚᏁᏤᎴᏃ ᎯᎠ ᏄᏪᏎᎢ, ᎢᏥᏯᏫᏍᎨᏍᏗ, ᎠᏂᏆᎵᏏ ᎤᎾᏤᎵ ᎠᎪᏙᏗ ᎢᏤᏯᏙᏤᎮᏍᏗ, ᎠᎴ ᎡᎶᏗ ᎤᏤᎵ ᎠᎪᏙᏗ.
290810007d	ᎤᏅᏒᏃ ᎨᏒ ᎤᎾᎵᏃᎮᎴ, ᎯᎠ ᏄᏂᏪᏎᎢ, ᏅᏗᎦᎵᏍᏙᏗᎭ ᎦᏚ ᏂᏗᏗᏰᎲᎾ ᎨᏒᎢ.
2908110108	ᏥᏌᏃ ᎤᏙᎴᎰᏒ ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᎦᏙᏃ ᎢᏣᎵᏃᎮᎭ ᎦᏚ ᏂᏗᏥᏰᎲᎾ ᎨᏒ ᎢᏳᏍᏗ? ᎠᏏᏉᏍᎪ ᏂᏣᏙᎴᎰᏍᎬᎾ ᎢᎩ, ᎠᎴ ᏂᏦᎵᎬᎾ ᎢᎩ? ᎠᏏᏉᏍᎪ ᎠᏍᏓᏯ ᏂᏕᏨᏅ ᏗᏥᎾᏫ?
290812009d	ᏕᏥᎧᏅᏍᎪ, ᏂᏥᎪᏩᏘᏍᎬᎾᏃ ᎢᎩ? ᏕᏥᎵᎷᎦᏍᎪ, ᏂᏣᏛᎩᏍᎬᎾᏃ ᎢᎩ? ᎠᎴ ᏂᏣᏅᏓᏗᏍᎬᎾᏍᎪ ᎢᎩ?
29081300b4	ᎯᏍᎩ ᎦᏚ ᏓᎩᎬᎭᎷᏴ ᎯᏍᎩ ᎢᏯᎦᏴᎵ ᏕᏥᏁᎸ, ᎢᎳᎪ ᎢᏯᎧᎵᎢ ᏔᎷᏣ ᎤᎵᎬᎭᎷᏴᎯ ᎢᏧᏖᏎᎢ? ᏔᎳᏚ ᎢᎬᏬᏎᎴᎢ.
29081400a6	ᎦᎵᏉᎩᏃ [ᎦᏚ] ᏅᎩ ᎢᏯᎦᏴᎵ ᏕᏥᏁᎸ, ᎢᎳᎪ ᎢᏯᎧᎵᎢ ᏔᎷᏣ ᎤᎵᎬᎭᎷᏴᎯ ᎢᏧᏖᏎᎢ? ᎦᎵᏉᎩ ᎤᎾᏛᏁᎢ.
290815004f	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎦᏙ ᎦᎵᏍᏙᏗᎭ ᏂᏦᎵᎬᎾ ᏥᎩ?
2908160086	ᏇᏣᏱᏗᏃ ᏭᎷᏤᎢ; ᏗᎨᏫᏃ ᎠᏍᎦᏯ ᎬᏩᏘᏃᎮᎴᎢ, ᎠᎴ ᎤᏂᏔᏲᏎᎴ ᎾᏍᎩ ᎤᏒᏂᏍᏗᏱ.
29081700a9	ᏗᎨᏫᏃ ᎤᏬᏯᏁᏒ, ᎦᏚᎲ ᎤᏄᎪᏫᏎᎢ; ᏗᎦᏙᎵᏃ ᏚᎵᏥᏍᏋ, ᎠᎴ ᏚᏏᏔᏛ, ᎪᎱᏍᏗᏍᎪ ᎯᎪᏩᏛᏗᎭ? ᎤᏬᏎᎴᎢ.
290818006a	ᏚᎧᎿᎭᏅᏃ, ᎯᎠ ᏄᏪᏎᎢ, ᏴᏫ ᎦᏥᎪᏩᏘᎭ ᎠᏁᎩᎭ ᏕᏡᎬ ᎾᏍᎩᏯᎢ.
29081900a6	ᎿᎭᏉᏃ ᏔᎵᏁ ᏗᎦᏙᎵ ᏚᏏᏔᏕᎢ, ᎠᎴ ᏧᎧᏃᏗᏱ ᏄᏩᏁᎴᎢ; ᎠᎴ ᎤᏗᏩᏎᎢ, ᎠᎴ ᎾᏂᎥ ᎣᏏᏳ ᏓᎪᏩᏗᏍᎨᎢ.
29081a00ab	ᎠᎴ ᎤᏁᏤᎴ ᏧᏪᏅᏒ ᏭᎶᎯᏍᏗᏱ, ᎯᎠ ᏄᏪᏎᎢ, ᏞᏍᏗ ᏗᎦᏚᎲ ᏫᏣᏴᎸᎩ, ᎠᎴ ᏞᏍᏗ ᎩᎶ ᎦᏚᎲ ᎡᎯ ᎯᏃᏁᎸᎩ.
29081b00e4	ᏥᏌᏃ ᎤᏄᎪᏤ ᎠᎴ ᎾᏍᎩ ᎬᏩᏍᏓᏩᏗᏙᎯ, ᏏᏌᎵᏱ ᏈᎵᎩ ᏕᎦᏚᎲ ᏭᏂᎶᏎᎢ; ᏩᎾᎢᏒᏃ ᏚᏛᏛᏁ ᎬᏩᏍᏓᏩᏗᏙᎯ, ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᎦᎪ ᎬᏉᏎᎰ ᏴᏫ?
29081c0098	ᎯᎠᏃ ᏄᏂᏪᏎᎢ, ᏣᏂ ᏗᏓᏬᏍᎩ; ᎢᎦᏛᏍᎩᏂ ᎢᎳᏯ [ᎠᎾᏗᎭ;] ᎢᎦᏛᏃ, ᎩᎶ ᎢᏳᏍᏗ ᎠᎾᏙᎴᎰᏍᎩ.
29081d0083	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᏂᎯᎾᏃ ᎦᎪ ᏍᎩᏲᏎᎭ? ᏈᏓᏃ ᎤᏁᏨ ᎯᎠ ᏄᏪᏎᎴᎢ, ᎦᎶᏁᏛ ᏂᎯ.
29081e0041	ᏚᏁᏤᎴᏃ ᎾᏍᎩ ᎩᎶ ᎤᏂᏃᏁᏗᏱ ᏂᎨᏒᎾ.
29081f0142	ᎤᎴᏅᎮᏃ ᏚᏪᏲᏁᎢ, ᎾᏍᎩ ᏴᏫ ᎤᏪᏥ ᎤᏣᏘ ᏧᏓᎴᏅᏛ ᎤᎩ ᎵᏲᎢᏍᏗᏱ; ᎠᎴ ᎬᏩᏲᎢᏎᏗ ᎨᏒ ᏗᏂᎳᏫᎩ, ᎠᎴ ᏄᏂᎬᏫᏳᏒ ᎠᏥᎸ-ᎠᏁᎶᎯ ᎠᎴ ᏗᏃᏪᎵᏍᎩ, ᎠᎴ ᎠᏥᎢᏍᏗᏱ ᎨᏒᎢ, ᏦᎢᏁᏃ ᎢᎦ ᏧᎴᎯᏐᏗ ᎨᏒᎢ.
2908200069	ᎾᏍᎩᏃ ᎯᎠ ᎬᏂᎨᏒ ᏄᏪᏎᎢ. ᏈᏓᏃ ᎤᏯᏅᎲ ᎤᎴᏅᎮ ᎤᎬᏍᎪᎸᏁᎢ.
2908210117	ᎠᏎᏃ ᎤᎦᏔᎲᏒ, ᎠᎴ ᎬᏩᏍᏓᏩᏗᏙᎯ ᏚᎧᎿᎭᏅ, ᏈᏓ ᎤᎬᏍᎪᎸᏁᎢ, ᎯᎠ ᏄᏪᏎᎢ, ᎠᏆᏐᎭᏛ ᎭᎴᎲᎦ ᏎᏓᏂ; ᎥᏝᏰᏃ ᎤᏁᎳᏅᎯ ᎤᏤᎵ ᎨᏒ ᎣᏏᏳ ᏱᏣᏰᎸᎭ, ᏴᏫᏍᎩᏂ ᎤᎾᏤᎵ ᎨᏒᎢ.
290822011e	ᏫᏚᏯᏅᎲᏃ ᏴᏫ, ᎠᎴ ᎾᏍᏉ ᎬᏩᏍᏓᏩᏗᏙᎯ, ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᎩᎶ ᎤᏚᎵᏍᎨᏍᏗ ᎠᎩᏍᏓᏩᏛᏍᏗᏱ, ᎤᏩᏒ ᎠᏓᏓᏱᎮᏍᏗ, ᎠᎴ ᎤᏩᏒ ᎤᏤᎵ ᏧᏓᎾᏩᏛ ᎠᏱᏍᎨᏍᏗ, ᎠᎴ ᎠᎩᏍᏓᏩᏕᎨᏍᏗ.
29082300fe	ᎩᎶᏰᏃ ᎤᏚᎵᏍᎨᏍᏗ ᎬᏅ ᎤᏍᏕᎸᏗᏱ, ᎾᏍᎩ ᎤᏲᎱᏎᎮᏍᏗ; ᎩᎶᏍᎩᏂ ᎬᏅ ᎤᏲᎱᏎᎮᏍᏗ ᎠᏴ ᎠᎴ ᎣᏍᏛ ᎧᏃᎮᏛ ᏅᏗᎦᎵᏍᏙᏗᏍᎨᏍᏗ, ᎾᏍᎩ ᎠᏥᏍᏕᎸᏗ ᎨᏎᏍᏗ.
290824008b	ᎦᏙᏰᏃ ᏳᏁᏉᏥ ᏴᏫ, ᎢᏳᏃ ᏂᎬᎾᏛ ᎡᎶᎯ ᎤᏤᎵ ᏱᏄᎵᏍᏔᏅ, ᎤᏩᏒᏃ ᎤᏓᏅᏙ ᏳᏲᎱᏎᎸ?
2908250042	ᎠᎴ ᎦᏙ ᏯᎲᎦ ᏴᏫ ᏱᎦᏁᏟᏴᏍᏓ ᎤᏓᏅᏙ?
290826016a	ᎩᎶᏰᏃ ᎠᏆᏕᎰᏍᎨᏍᏗ ᎠᏴ, ᎠᎴ ᎠᏴ ᏥᏁᎬᎢ, ᎤᏓᏑᏴ ᎠᏂ ᏗᎾᏓᏲᏁᎯ ᎠᎴ ᎠᏂᏍᎦᎾ ᎠᏁᎲᎢ, ᎾᏍᎩ ᎾᏍᏉ ᏴᏫ ᎤᏪᏥ ᎤᏕᎰᎯᏍᏗ ᎨᏎᏍᏗ, ᎦᎷᏨᎭ ᎤᏄᏬᏍᏕᏍᏗ ᎦᎸᏉᏗᏳ ᎨᏒ ᎤᏙᏓ ᎤᏤᎵᎦ, ᎠᏁᎮᏍᏗ ᎨᏥᎸᏉᏗ ᏗᏂᎧᎿᎭᏩᏗᏙᎯ.
290901011f	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎤᏙᎯᏳᎯᏯ ᎯᎠ ᏂᏨᏪᏎᎭ, ᎾᏍᎩ ᎩᎶ ᎠᏂ ᏥᏓᏂᏙᎦ, ᎥᏝ ᏴᏛᎾᏙᎴᎰᏏ ᎠᏲᎱᎯᏍᏗ ᎨᏒᎢ, ᎬᏂ ᎤᏂᎪᎲᎯ ᎨᏎᏍᏗ ᎤᏁᎳᏅᎯ ᎤᎬᏫᏳᎯ ᎨᏒ ᎤᎵᏂᎩᏗᏳ ᎨᏒ ᎦᎷᏨᎭ.
29090200d1	ᏑᏓᎵᏃ ᏫᏄᏒᎸ ᏥᏌ ᏚᏘᏅᏎ ᏈᏓ, ᎠᎴ ᏥᎻ, ᎠᎴ ᏣᏂ, ᎢᏅᏃ ᎢᎦᏘ ᎣᏓᎸ ᏚᎿᎭᎷᏔᏁ ᎢᏴᏛ ᎤᏅᏒ ᎨᏒᎢ; ᎠᎴ ᎤᏓᏁᏟᏴᏎ ᎠᏂᎦᏔᎲᎢ.
29090300dd	ᏧᏄᏬᏃ ᏚᏔᎷᎩᏍᎨᎢ, ᎤᏣᏘ ᏧᏁᎩᏳ ᎨᏎᎢ ᎥᏃᏥ ᏥᏄᏁᎩᏴ ᎾᏍᎩᏯᎢ; ᎾᏍᎩ ᎥᏝ ᎩᎶ ᏗᎬᎩᎶᏍᎩ ᎠᏂ ᎡᎶᎯ ᎡᎯ ᎾᏍᎩ ᎢᏧᏁᎬ ᏱᏂᏙᎦᎬᎦ.
2909040065	ᎬᏂᎨᏒᏃ ᏂᎬᏩᎾᏛᏁᎴ ᎢᎳᏯ ᎠᎴ ᎼᏏ; ᏥᏌᏃ ᎬᏩᎵᏃᎮᏗᏍᎨᎢ.
29090500e4	ᏈᏓᏃ ᎤᏁᏨ ᎯᎠ ᏄᏪᏎᎴ ᏥᏌ, ᏔᏕᏲᎲᏍᎩ, ᎣᏏᏳ ᎠᏂ ᏥᏕᏙᎭ; ᎠᎴ ᏦᎢ ᏫᏙᏥᎵᏦᏛᎦ; ᏌᏉ ᏂᎯ ᏣᏤᎵᎦ, ᏌᏉᏃ ᎼᏏ ᎤᏤᎵᎦ, ᏌᏉᏃ ᎢᎳᏯ ᎤᏤᎵᎦ.
2909060054	ᎥᏝᏰᏃ ᏯᎦᏔᎮ ᎢᏳᏪᏍᏗᏱ; ᎤᏣᏘᏰᏃ ᎠᏂᏍᎦᎢᎮᎢ.
29090700b6	ᎤᎶᎩᎸᏃ ᎤᏄᏢᏔᏁᎢ; ᎧᏁᎬᏃ ᎤᎶᎩᎸ ᏧᎾᏄᎪᏤᎢ, ᎯᎠ ᏂᎦᏪᏍᎨᎢ, ᎯᎠ ᎾᏍᎩ ᏥᎨᏳᎢ ᎠᏇᏥ; ᎾᏍᎩ ᎡᏣᏛᏓᏍᏓᏏ.
290908007d	ᎩᎳᏉᏃ ᎢᏴᏛ ᏚᎾᎧᎿᎭᏂᏙᎸ, ᎥᏝ ᎿᎭᏉ ᎩᎶ ᏳᏂᎪᎮᎢ, ᏥᏌ ᎤᏩᏒ, ᎠᎴ ᎤᏅᏒ.
29090900d8	ᏧᏂᎦᏐᎠᏏᏗᏒᏃ ᎣᏓᎸᎢ, ᏚᏁᏤᎴ ᎾᏍᎩ ᎩᎶ ᎤᏂᏃᏁᏗᏱ ᏂᎨᏒᎾ ᏄᏍᏛ ᎤᏂᎪᎲᎢ, ᎬᏂ ᏴᏫ ᎤᏪᏥ ᎤᏲᎱᏒ ᏧᎴᎯᏌᏅᎯ ᎨᏎᏍᏗ ᏚᏬᏎᎴᎢ.
29090a007e	ᎾᏍᎩᏃ ᏄᏪᏒ ᎤᎾᎦᏌᏯᏍᏔᏁᎢ, ᏓᎾᏓᏛᏛᎲᏍᎨ ᎦᏛᎬ ᎠᏲᎱᏒ ᏗᎴᎯᏐᏗ ᎨᏒᎢ.
29090b007c	ᎬᏩᏛᏛᏁᏃ ᎯᎠ ᏄᏂᏪᏎᎢ, ᎦᏙᏃ ᏗᏃᏪᎵᏍᎩ ᎢᎳᏯ ᎢᎬᏱ ᏓᎦᎷᏥ ᏣᎾᏗᏍᎪᎢ?
29090c0141	ᎤᏁᏨᏃ ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᎢᎳᏯ ᎤᏙᎯᏳᎯ ᎢᎬᏱ ᎤᎷᎯᏍᏗ, ᎠᎴ ᏂᎦᏛ ᎤᏬᏢᎯᏐᏗ; ᎠᎴ ᎾᏍᏉ ᎯᎠ ᏂᎬᏅᎪᏪᎳ ᏴᏫ ᎤᏪᏥ ᎠᏥᏃᎮᏍᎬᎢ, ᎾᏍᎩ ᎤᏣᏘ ᏧᏓᎴᏅᏛ ᎤᎩᎵᏲᎢᏍᏗ ᎨᏎᏍᏗ, ᎠᎴ ᎠᏎᏉ ᏓᏰᏥᏰᎸᏂ.
29090d00bd	ᎠᏎᏃ ᎯᎠ ᏂᏨᏪᏎᎭ, ᎢᎳᏯ ᎤᏙᎯᏳᎯ ᎤᎷᏨ, ᎠᎴ ᏄᏍᏛ ᎤᎾᏚᎵᏍᎬ ᏂᎬᏩᏁᎸ, ᎾᏍᎩᏯ ᏂᎬᏅ ᎪᏪᎸ ᎾᏍᎩ ᎠᏥᏃᎮᏍᎬᎢ.
29090e00a4	ᎬᏩᏍᏓᏩᏗᏙᎯᏃ ᎠᏁᏙᎲ ᎤᎷᏨ, ᎤᏂᏣᏘ ᏚᎪᎮ ᎬᏩᎾᏓᏡᏫᏍᏕᎢ, ᎠᎴ ᏗᏃᏪᎵᏍᎩ ᎬᏩᎾᏛᏛᎮᎸᎢᏍᎨᎢ.
29090f0087	ᎩᎳᏉᏃ ᎢᏴᏛ ᏂᎦᏛ ᏴᏫ, ᎬᏩᎪᎲ, ᎤᏣᏘ ᎤᏂᏍᏆᏂᎪᏎᎢ; ᎬᏩᏗᏝᎣᎮᎸᏃ ᎬᏩᏲᎵᎴᎢ.
2909100057	ᏚᏛᏛᏁᏃ ᏗᏃᏪᎵᏍᎩ, ᎦᏙ ᏕᏣᏛᏛᎮᎸᎥᏍᎦ ᏚᏬᏎᎴᎢ?
29091100aa	ᎠᏏᏴᏫᏃ ᎾᏍᎩ ᎤᏂᏣᏘ ᎨᏒ ᎨᎳ ᎤᏁᏨ ᎯᎠ ᏄᏪᏎᎢ, ᏔᏕᏲᎲᏍᎩ, ᎬᏯᏘᏃᎯᏏ ᎠᏇᏥ, ᎤᏩᎨᏫ ᎠᏓᏅᏙ ᎤᏪᎢ;
2909120101	ᎢᎸᎯᏢᏃ ᎤᏱᎶᎯᏏ ᎤᎩᎸᏍᎪᎢ; ᎠᎴ ᏓᎭᏬᎢᎰᎢ, ᎠᎴ ᏕᎦᎸᏓᎩᏍᎪ ᏕᎦᏄᏙᎬᎢ, ᎠᎴ ᎤᎸᏕᎯᎰᎢ; ᎨᏣᏍᏓᏩᏗᏙᎯᏃ ᎦᏥᏔᏲᏎᎸ ᎤᏂᏄᎪᏫᏍᏗᏱ; ᎠᏎᏃ ᎤᏂᏄᎸᏅᏉ.
29091300d9	ᎤᏁᏤᎸᏃ, ᎯᎠ ᏄᏪᏎᎢ, Ᏺ! ᏂᏦᎯᏳᏒᎾ ᎪᎯ ᏥᏤᎭ! ᎢᎳᎪ ᎢᎪᎯᏛ ᎢᏨᏰᎳᏗᏙᎮᏍᏗ? ᎢᎳᎪ ᎢᎪᎯᏛ ᎤᏁᎳᎩ ᎢᏨᏰᎵᏎᎮᏍᏗ? ᎠᏂ ᎯᏯᏘᏃᎦ.
290914009e	ᎤᎾᏘᏃᎮᎴᏃ; ᎤᎪᎲᏃ ᎩᎳᏉ ᎢᏴᏛ ᎠᏓᏅᏙ ᎤᎩᎸᏁᎢ; ᎡᎳᏗᏃ ᎤᏅᏤᎢ, ᎠᎴ ᏓᎭᏬᎢᎲ ᎠᎵᏗᏒᏂᎮᎢ.
2909150096	ᎤᏛᏛᏁᏃ ᎤᏙᏓ, ᎢᎳᎪ ᏂᎪᎯᎩ ᎾᏍᎩ ᎯᎠ ᎢᎬᏩᎵᏍᏓᏁᎸᎯ? ᎤᏬᏎᎴᎢ. ᎠᏲᎵᏉ ᎨᏒᎢ, ᎤᏛᏁᎢ;
29091600c6	ᏯᏃᎩᏳᏃ ᎠᏥᎸᏱ ᎠᎴ ᎠᏑᏱ ᎤᏓᎡᎪᎢ, ᎾᏍᎩ ᎤᎯᏍᏗᏱ; ᎢᏳᏍᎩᏂᏃᏅ ᎪᎱᏍᏗ ᎨᏣᏛᏁᏗ ᎨᏎᏍᏗ, ᏍᎩᏍᏙᎵᎩ, ᎠᎴ ᏍᎩᏍᏕᎸ.
290917008d	ᏥᏌᏃ ᎯᎠ ᏄᏪᏎᎴᎢ, ᎢᏳᏃ ᎨᏦᎯᏳᏗ ᎨᏎᏍᏗ, ᏂᎦᏗᏳ ᎪᎱᏍᏗ ᎢᎦᏰᎦᏛᏁᏗ ᎪᎯᏳᎲᏍᎩ.
29091800c3	ᎩᎳᏉᏃ ᎢᏴᏛ ᎠᏲᎵ ᎤᏙᏓ ᎤᏪᎷᏁᎢ, ᎠᎴ ᏗᎬᎦᏌᏬᎢᎯ ᎯᎠ ᏄᏪᏎᎢ, ᏣᎬᏫᏳᎯ, ᎪᎢᏳᎲᏍᎦ; ᏍᎩᏍᏕᎸᏏ ᎾᏉᎯᏳᏒᎾ ᎨᏒᎢ.
290919011b	ᏥᏌᏃ ᎤᎪᎲ ᎾᏍᎩ ᎤᏂᏣᏘ ᎠᎾᏁᎷᎩᏍᎬ ᎠᎾᏓᏟᏏᏍᎬᎢ, ᎤᏍᎦᏤ ᎦᏓᎭ ᎠᏓᏅᏙ, ᎯᎠ ᏄᏪᏎᎴᎢ, ᏨᎨᏩ ᎠᎴ ᏗᏣᎵᎡᎾ ᎠᏓᏅᏙ, ᎬᏁᏤᎭ, ᎡᎯᏄᎪᎢ, ᎠᎴ ᏞᏍᏗ ᎿᎭᏉ ᎢᎸᎯᏳ ᏥᎯᏴᎵ.
29091a00c8	[ᎠᏓᏅᏙᏃ] ᎤᏪᎷᏅ, ᎠᎴ ᎤᏣᏘ ᎤᎩᎸᏅ, ᎤᏄᎪᏤᎢ; ᎠᎴ ᎤᏲᎱᏒᎯᏉ ᎾᏍᎩᏯ ᎨᏎᎢ; ᎾᏍᎩ ᎢᏳᏍᏗ ᎤᏂᏣᏖ, ᎠᏲᎱᎯ, ᎠᎾᏗᏍᎨᎢ.
29091b0047	ᎠᏎᏃ ᏥᏌ ᎤᏬᏯᏁᏒ, ᏚᎴᏔᏁᎢ, ᎠᎴ ᏚᎴᏁᎢ.
29091c00ab	ᎦᎵᏦᏕᏃ ᏫᎤᏴᎸ, ᎬᏩᏍᏓᏩᏗᏙᎯ ᎤᏅᏒ ᎨᏒ ᎬᏩᏛᏛᏁᎢ, ᎦᏙᏃ ᎠᏴ ᎥᏝ ᎦᏲᏥᏄᎪᏫᏍᏗ ᏱᎨᏎᎢ? ᎤᎾᏛᏁᎢ.
29091d00a2	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎯᎠ ᎾᏍᎩ ᎢᏳᏍᏗ ᎥᏝ ᏴᎦᏰᎦᏄᎪᏩ, ᎬᏂ ᎠᏓᏙᎵᏍᏔᏅᎯ ᎠᎴ ᎠᎹᏟ ᎬᏅᎯ ᏥᎨᏐᎢ.
29091e0080	ᎤᎾᏂᎩᏒᏃ ᎾᎿᎭᏂ, ᎨᎵᎵ ᎠᏰᎵ ᎤᏂᎶᏎᎢ; ᎥᏝᏃ ᏳᏚᎵᏍᎨ ᎩᎶ ᎤᏙᎴᎰᎯᏍᏗᏱ.
29091f00f7	ᏚᏪᏲᏁᏰᏃ ᎬᏩᏍᏓᏩᏗᏙᎯ, ᎠᎴ ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᏴᏫ ᎤᏪᏥ ᏓᏥᏲᎯ ᏕᎨᏥᏲᎯᏏ ᏴᏫ. ᎠᎴ ᏓᎬᏩᎵ; ᎠᎴ ᎣᏂ ᎿᎭᏉ ᎠᏥᎸᎯ ᎨᏎᏍᏗ, ᏙᏛᎠᎴᎯᏌᏂ ᏦᎢᏁ ᎢᎦ.
290920005f	ᎠᏎᏃ ᎥᏝ ᏳᏃᎵᏤ ᎾᏍᎩ ᏄᏪᏒ ᎠᎴ ᎠᏂᏍᎦᎢᎮ ᎤᎾᏛᏛᏗᏱ.
290921008f	ᎨᏆᏂᏃ ᎤᎷᏥᎴᎢ; ᎦᎵᏦᎦᏃ ᎠᏯᎥ ᏚᏛᏛᏁ, ᎦᏙ ᎾᏍᎩ ᏥᏥᏃᎮᏍᎬ ᎢᏨᏒ ᎨᏒ Ꭰ ᏗᏓᎢᏒᎢ.
290922008a	ᎠᏎᏃ ᎡᎳᏪᏱᏉ ᎤᏅᏎᎢ; ᏗᎾᎢᏒᏃ ᎠᏂᏃᎮᏍᎨ ᎤᏅᏒ ᎨᏒ ᎾᏍᎩ ᎤᏟ ᎠᏥᎸᏉᏗᏳ ᎨᏒᎢ.
2909230113	ᎤᏪᏅᏃ, ᏔᎳᏚ ᎢᏯᏂᏛ ᏫᏚᏯᏅᎮᎢ, ᎠᎴ ᎯᎠ ᏂᏚᏪᏎᎴᎢ, ᎢᏳᏃ ᎩᎶ ᎢᎬᏱ ᎢᏳᎵᏍᏙᏗᏱ ᎤᏚᎵᏍᎨᏍᏗ, ᎾᏍᎩ ᎣᏂᏱ ᎠᎦᎴᏙᏗ ᎨᏎᏍᏗ ᎾᏂᎥᎢ, ᎠᎴ ᎾᏂᎥ ᎬᏩᏅᏏᏙᎯ ᎨᏎᏍᏗ.
290924006a	ᎠᏲᎵᏃ ᏭᏯᏅᎲ, ᎠᏂᏅ ᎠᏰᎵ ᎤᏪᎧᏁᎢ; ᎤᏄᎶᎸᏃ ᎯᎠ ᏂᏚᏪᏎᎴᎢ,
2909250135	ᎩᎶ ᎠᏏᏴᏫ ᎯᎠ ᎢᏳᎾᏍᏗ ᏗᏂᏲᎵ ᏓᏓᏂᎸᎨᏍᏗ ᎠᏴ ᎠᏴ ᏓᏆᏙᎥ ᏅᏗᎦᎵᏍᏙᏗᏍᎨᏍᏗ, ᎠᏴ ᏓᏆᏓᏂᎸᎨᏍᏗ; ᎩᎶᏃ ᎠᏴ ᏓᏆᏓᏂᎸᎨᏍᏗ, ᎥᏝ ᎠᏴ ᏱᏓᏆᏓᏂᎸᎨᏍᏗ, ᏅᏛᎩᏅᏏᏛᏍᎩᏂ ᏓᏓᏂᎸᎨᏍᏗ.
2909260115	ᏣᏂᏃ ᎤᏁᏤᎴᎢ, ᎯᎠ ᏄᏪᏎᎢ, ᏔᏕᏲᎲᏍᎩ, ᎣᏥᎪᎲᎩ ᎠᏏᏴᏫ ᎠᏂᏍᎩᎾ ᏕᎦᏄᎪᏫᏍᎬᎩ ᏕᏣᏙᎥ ᎬᏗᏍᎬᎩ; ᎥᏝᏃ ᏱᎩᏍᏓᏩᏗᏙᎭ; ᎣᏥᏅᏍᏓᏕᎸᎩᏃ ᏂᎩᏍᏓᏩᏕᎬᎾ ᎨᏒ ᎢᏳᏍᏗ.
