0100000006	Mwanzo
020a1a00ae	Mifugo yetu lazima iende na sisi; ata mmoja hawezi kubaki, lazima tuwapeleke wakamuabudu Yahweh Mungu wetu. Kwa kuwa hatujui tutakacho muabudu nacho Yahweh mpaka tufike pale.
020a1b0042	Lakini Yahweh aliufanya moyo wa Farao mgumu, na hakuwaacha waende.
020a1c008d	Farao alimwambia Musa, “Toka kwangu! Kuwa muangalifu na jambo moja, kwamba usinione tena, kwa kuwa siku utakapo uona uso wangu, utakufa.”
020a1d0042	Musa akasema, “Wewe mwenyewe umesema. Sitauona uso wako tena.”
020b0100a8	Kisha Yahweh akamwambia Musa, “Bado kuna pigo moja nitalo lileta kwa Farao na Misri. Baada ya hilo, atakuacha uondoke hapa. Atakapo kuachia uende, ata kuondoa kabisa.
020b02006c	Waelekeze watu kwamba kila mwanaume na mwanamke amuulizie jirani yake vitu vya fedha na vitu vya dhahabu.”
020b03009a	Sasa Yahweh aliwafanya Wamisri kuwa na shauku ya kuwapendeza Waisraeli. Aidha, Musa alikuwa wakuvutia sana machoni pa watumishi wa Farao na watu wa Misri.
020b040053	Musa akasema, “Yahweh asema hivi: 'Wakati wa usiku wa manane nitaenda Misri yote.
020b0500d9	Wazaliwa wa kwanza wote wa nchi ya Misri watakufa, kuanzia mzaliwa wa kwanza wa Farao, anaye keti kiti chake cha enzi, mpaka mzaliwa wa kwanza wa misichana mtumwa anaye saga mbegu, na kwa wazaliwa wa kwanza wa mifugo.
020b060061	Kisha kutakuwa na kilio kikubwa nchi yote ya Misri, kama ambacho hakijawai wala hakitatokea tena.
020b07008a	Lakini ata mbwa hata bweka kwa watu wa Israeli, dhidi ya mtu au mnyama. Kwa hili utajuwa kuwa nina watendea Wamisri na Waisraeli tofauti.'
020b0800cb	Watumishi wote hawa wako, Farao, watakuja chini yangu na kunisujudu mimi. Watasema, 'Nenda, wewe na watu wote wanao kufuata!' Baada ya hapo nitaondoka.” Kisha akaondoka mbele ya Farao kwa hasira kubwa.
020b090068	Yahweh akamwambia Musa, Farao hatakusikiliza. Hii ni ili nifanye mambo ya ajabu katika nchi ya Misri.”
020b0a00ac	Musa na Aruni wakafanya mambo haya ya kushangaza mbele za Farao. Lakini Yahweh aliufanya moyo wa Farao mgumu, na Farao hakuwaacha watu wa Israeli kuondoka katika nchi yake.
020c01003e	Yahweh akasema na Musa na Aruni katika nchi ya Misri. Alisema,
020c020051	“Kwako wewe, mwezi huu utakuwa mwanzo wa miezi, mwezi wa kwanza wa mwaka kwako.
020c0300ac	Liambie kusanyiko la Israeli, 'Siku ya kumi mwezi huu kila mtu lazima achukuwe mwana kondoo au mbuzi mdogo wa kwake, kila familia ifanye hivi, mwana kondoo kwa kila nyumba.
020c0400ea	Kama hiyo nyumba ni ndogo sana kwa mwana kondoo, mwanaume na jirani yake wachukuwe mwana kondoo au nyama ya mbuzi mdogo ambayo itatosha watu. Lazima iwe yatosha kwa kila mtu kula, kwaiyo lazima wachukuwe nyama ya kutosha kulisha wote.
020c050084	Mwana kondoo wako au mbuzi wako mdogo lazima asiwe na upungufu, dume mwenye mwaka mmoja. Unaweza kuchukuwa mmoja wa kondoo au mbuzi.
020c060078	Lazima umtunze mpaka siku ya kumi na nne ya huo mwezi. Kisha kusanyiko lote la Israeli lazima liwaue hawa wanyama jioni.
020c070087	Lazima uchukuwe baadhi ya damu na uweke kwenye sehemu mbili za mihimili ya milango na juu ya fremu za milango ambapo utalia hizo nyama.
020c08007c	Lazima ule hizo nyama usiku, baada ya kuchoma kwenye moto. Kula na mkate ulio andaliwa kwa hamira, pamoja na mimea michungu.
020c090073	Usiile mbichi au imechemshwa kwenye maji. Badala yake, choma kwenye moto na kichwa chake, miguu na sehemu za ndani.
020c0a0053	Usiache ata kidogo kubaki mpaka asubui. Lazima uchome chochote kilicho baki asubui.
020c0b0093	Hivi ndivyo wa paswa kula: ukiwa umefunga mkanda wako, umevaa viatu vyako, na gongo lako mkononi mwako. Lazima ule kwa haraka. Ni Pasaka ya Yahweh.
020c0c00c4	Yahweh anasema hili: Nitaenda katika nchi ya Misri usiku na kushambulia wazaliwa wote wa kwanza wa wanadamu na wanyama katika nchi ya Misri. Nitaleta pigo kwa miungu yote ya Misri. Mimi ni Yahweh.
020c0d0098	Damu itakuwa ishara kwenye nyumba zenu ya kuja kwangu. Nitakapo ona damu, nitapita nitakapo shambulia nchi ya Misri. Ili pigo halitawajia na kuwaharibu.
020c0e00b2	Hii siku itakuwa kumbukumbu kwenu, ambayo lazima muadhimishe kama sherehe ya Yahweh. Itakuwa sheria kwenu pia, kwenye vizazi vyote vya watu wenu, ambayo mwapaswa kuadhimisha leo.
020c0f00de	Utakula mkate bila hamira wakati wa siku saba. Siku ya kwanza utaondoa hamira kwenye nyumba zenu. Yeyote atakaye kula mkate uliyotiwa chachu kwanzia siku ya kwanza mpaka siku ya saba, huyo mtu lazima akatwe kutoka Israeli.
020c1000e7	Siku ya kwanza kutakuwa na kusanyiko lililo tengwa kwa ajili yangu, na siku ya saba kutakuwa na kusanyiko kama hilo. Hakuna kazi itakayo fanywa hizi siku, zaidi ya kupika kila mmoja ale. Hiyo ndio kazi pekee itakayo fanywa na wewe.
020c11010c	Lazima uadhimishe hii Sherehe ya Mkate Usiotiwa Chachu kwasababu ni siku hii ambayo nitawaleta watu wako, makundi yaliyo na silaha, kwa makundi yaliyo na silaha, kutoka nchi ya Misri. Lazima uadhimishe hii siku kwa vizazi vyote vya watu wako. Hii itakuwa sheria kwako.
020c120094	Lazima ule mkate usiotiwa chachu kuanzia jioni ya siku ya kumi na nne ya mwezi wa kwanza wa mwaka, mpaka jioni ya siku ya ishirini na moja ya mwezi.
020c1300cc	Wakati wa hizi siku, nyumbani mwenu kusipatikane na hamira. Yeyote atakaye kula mkate ulio andaliwa na hamira lazima akatwe kutoka jamii ya Israeli, huyo mtu awe ni mgeni au mtu aliye zaliwa nchini mwenu.
020c140066	Hautakula chochote kilicho andaliwa na hamira. Popote utapo ishi, lazima ule mkate usio na hamira.”'
020c1500a9	Kisha Musa akawaita viongozi wote wa Israeli na kuwaambia, “Nendeni na mchague mwana kondoo au mbuzi watakao tosha kulisha familia zenu na muue mwana kondoo wa pasaka.
020c1600e7	Kisha chukua jani la hisopu na uchovye kwenye damu itakayo kuwa kwenye beseni. Paka damu iliyo kwenye beseni juu ya fremu ya mlango na kwenye mihimili miwili ya mlango. Hakuna ata mmoja atakaye toka nje ya mlango wake mpaka asubui.
020c1700c8	Kwa kuwa Yahweh atapita kushambulia Wamisri. Atakapo ona damu juu ya fremu ya mlango na kwenye mihimili miwili ya mlango, atapita mlango wako na ata ruhusu mharibifu kuja nyumbani kwenu kuwashambulia.
020c180050	Lazima uadhimishe hili tukio. Hili litakuwa daima sheria kwako na kwa uzao wenu.
020c190069	Utakapo ingia nchi Yahweh atakayo kupa, kama alivyo ahidi kufanya, lazima uadhimishe hili tendo la ibada.
020c1a0044	Watoto wako watakapo kuuliza, 'Hili tendo la ibada lina maana gani?'
020c1b00be	kisha lazima useme, 'Ni sadaka ya Pasaka ya Yahweh, kwasababu Yahweh kapita nyumba za Waisraeli Misri alipo washambulia Wamisri. Aliweka nyumba zetu huru.”' Kisha watu wakamsujudia Yahweh.
020c1c0047	Waisraeli wakaenda na kufanya kama Yahweh alivyo waamuru Musa na Aruni.
020c1d00ec	Ikawa usiku wa manane kuwa Yahweh akawashambulia wazaliwa wote wa kwanza wa nchi ya Misri, kuanzia mzaliwa wa kwanza wa Farao, aliye keti kiti chake cha enzi, mzaliwa wa kwanza wa mtu aliye gerezani na wazaliwa wote wa kwanza wa mifugo.
020c1e0094	Farao akaamka usiku - yeye, watumishi wake, na Wamisri. Palikuwa na kelele za maombolezo Misri, kwa kuwa hakukuwa na nyumba ambayo hamna mtu hakufa.
020c1f00ab	Farao akamuita Musa na Aruni usiku na kusema, “Inuka, tokeni miongoni mwa watu wangu, nyie pamoja na Waisraeli. Nenda, mmuabudu Yahweh, kama mlivyo sema mnataka kufanya.
020c200058	Chukuweni ng'ombe zenu na kondoo zenu, kama mlivyo sema, na muende, na pia mnibariki.”
020c210061	Wamisri walikuwa na haraka ya kuwa ondoa nchini, kwa kuwa walisema, “Sisi ni watu tuliokufa.”
020c220087	Watu wakachukuwa ngano yao pasipo kuongeza hamira yeyote. Bakuli zao zakukandia ngano zilifungiwa kwenye nguo zao na kwenye mabega yao.
020c230070	Watu Waisraeli walifanya kama Musa alivyo waambia. Waliwaomba Wamisri vitu vya fedha, vitu vya dhahabu, na nguo.
020c2400a2	Yahweh aliwafanya Wamisri na shauku ya kuwapendeza Waisraeli. Hivyo Wamisri waliwapa chochote walicho waomba. Katika hili, Waisraeli waliwachukulia vingi Wamisri.
020c250085	Waisraeli wakasafiri kutoka Ramesi kwenda Sakothi. Walikuwa na idadi ya wanaume 600, 000 kwa miguu, kuongezea kwa wanawake na watoto.
020c26006f	Mchanganyiko wa kundi la wasio Waisraeli pia walienda nao, pamoja na ng'ombe na kondoo, idadi kumbwa ya mifugo.
020c270097	Walioka mikate na unga wa ngano wenye hamira walio utoa Misri. Ulikuwa hauna hamira kwasababu waliondolewa Misri na hawakuweza chelewa kuandaa chakula.
020c280027	Waisraeli waliishi Misri kwa miaka 430.
020c290067	Baada ya miaka 430, siku hiyo hiyo, majeshi yote ya Yahweh yalio jiami waliondoka kutoka nchi ya Misri.
020c2a00a3	Huu ulikuwa usiku wakuwa macho, ili Yahweh awatoe kutoka nchi ya Misri. Huu ulikuwa usiku wa Yahweh wa kuadhimishwa na Waisraeli wote na watu wa vizazi vyao vyote.
020c2b005f	Yahweh akamwambia Musa na Aruni, “Hii ni sheria ya Pasaka: hakuna mgeni anaye ruhusiwa kuila.
020c2c005c	Walakini, kila mtumwa wa Misraeli, aliye nunuliwa kwa pesa, anaeza kula baada ya kutahiriwa.
020c2d003e	Wageni na watumishi waajiriwa hawapaswi kula chakula chochote.
020c2e0082	Chakula chapaswa kuliwa ndani ya nyumba moja. Hauruhusiwi kubeba nyama yeyote nje ya nyumba, na hauruhusiwi kuvunja mfumba wowote.
020c2f0033	Jamii zote za Israeli za paswa kuadhimisha sherehe.
020c300106	Kama mgeni anaishi na wewe na anataka kuadhimisha Pasaka kwa Yahweh, ndugu zake wote wa kiume wapaswa kutahiriwa. Kisha anaeza kuja na kuadhimisha. Atakuwa kama watu walio zaliwa kwenye nchi. Walakini, hakuna mtu asiye tahiriwa anaruhusiwa kula chakula chochote.
020c310053	Sheria hii hii itahusika kwa mzaliwa wa asili na mgeni anayeishi miongoni mwenu.”
020c320042	Waisraeli wote walifanya kama Yahweh alivyo waamuru Musa na Aruni.
020c33005b	Ikaja kuwa siku hiyo Yahweh akawaleta Israeli kutoka nchi ya Misri kwa makundi yalio jiami.
020d010024	Yahweh akasema na Musa na kumwambia,
020d020079	“Nitengee wazaliwa wote wa kwanza, kila mzaliwa wa kwanza wa Waisraeli, watu na wanyama. Mzaliwa wa kwanza ni wangu.”
020d0300c0	Musa akawambia watu, “Hii kumbukeni hii siku, siku mliyo toka Misri, kutoka nyumba ya utumwa, kwa mkono hodari wa Yahweh amewatoa kutoka hii sehemu. Hakuna mkate wa hamira waruhusiwa kuliwa.
020d040027	Mnatoka Misri hii siku, mwezi wa Abibu.
020d0500d7	Yahweh atakapo waleta nchi ya Wakanani, Wahiti, Waamori, Wahivi, na Wayebusi, nchi aliyo waapia mababu zenu kuwapa, nchi inayo tiririka kwa maziwa na asali - kisha wapaswa kuadhimisha hili tendo la ibada kila mwezi.
020d060062	Kwa siku saba utakula mkate bila hamira; siku ya saba kutakuwa na maakuli ya kumuadhimisha Yahweh.
020d0700a6	Mkate usio na hamira wapaswa kuliwa kwa siku saba zote; hakuna mkate ulio na hamira wapaswa kuliwa miongoni mwenu. Hakuna hamira yapaswa kuonekana kwenye mipaka yenu.
020d08006a	Hiyo siku utasema kwa watoto wako, 'Hii ni kwasababu ya kile Yahweh alichofanya kwangu nilipo taka Misri.'
020d0900b1	Hii itakuwa kumbukumbu mkononi mwako, na kumbukumbu kwenye paji la uso wako. Hii ni ili sheria ya Yahweh iwe kinywani mwako, maana kwa mkono hodari Yahweh amewatoa kutoka Misri.
020d0a0058	Kisha basi wapaswa kushika hii sheria kwa wakati uliyo kusudiwa kutoka mwaka hadi mwaka.
020d0b007c	Yahweh atakapo waleta kwenye nchi ya Wakanani, kama alivyo apa kwenu na kwa mababu zenu kufanya, na atakapo wapa nchi ninyi,
020d0c0066	lazima umtengee mzaliwa wa kwanza mtoto na uzao wa kwanza wa wanyama wenu. Wakiume watakuwa wa Yahweh.
020d0d00c3	Kila mzaliwa wa kwanza wa punda lazima umnunue tena na mwana kondoo. Kama hautamnunua tena, lazima uivunje shingo yake. Lakini kila mzaliwa wa kwanza wakiume miongoni mwenu - lazima umnunue tena.
020d0e008a	Mwanae atakapo kuuliza baadae, 'Hii ina maana gani?' kisha utamwambia, 'Ni kwa mkono hodari Yahweh katutoa Misri, kutoka nyumba ya utumwa.
020d0f011c	Farao alipo kataa kwa ujeuri kutuachia twende, Yahweh aliwaua wazaliwa wa kwanza wa nchi ya Misri, wazaliwa wa kwanza wa watu na wa wanyama. Ndio sababu ninatoa dhabihu kwa Yahweh kwa kila mzaliwa wa kwanza wa kila mnyama, na pia sababu nina nunua wazaliwa wa kwanza wa wanangu tena.'
020d10008a	Hii itakuwa kumbukumbu mikononi mwako na kumbukumbu kwenye paji lako la uso, kwa kuwa ni kwa mkono hodari Yahweh alitutoa kutoka Misri.”
020d1100c9	Farao alipo waachia watu waende, Mungu akuwaongoza kwa njia ya Wafilisti, japo hiyo njia ilikuwa karibu. Kwa kuwa Mungu alisema, “Labda watu watabadili nia zao watakapo ona vita na watarudi Misri.”
020d12008e	Hivyo Mungu akawaongoza watu kuzunguka nyikani kupita Bahari ya Shamu. Waisraeli waliondoka kutoka nchi ya Misri wakiwa wamejiami kwa pambano.
020d130096	Musa akachukuwa mifupa ya Yusufu pamoja naye, kwa kuwa Yusufu aliwaapisha Waisraeli na kusema, “Mungu atawaokoa, na muibebe mifupa yangu na nyie.”
020d140051	Waisraeli walisafiri kutoka Sakothi na kuweka kambi Ethamu pembezoni mwa nyikani.
020d1500ab	Yahweh alitangulia mbele yao mchana kama nguzo ya wingu kuwaongoza njiani. Usiku alienda kama nguzo ya moto kuwapa mwanga. Kwa namna hii waliweza kusafiri mchana na usiku.
020d160052	Yahweh hakuchukuwa kutoka kwa watu nguzo ya wingu mchana wala nguzo ya moto usiku.
020e010024	Yahweh akasema na Musa na kumwambia,
020e0200a6	“Waambie Waisraeli wageuke na kueka kambi mbele ya Pi Hahirothi, katikati ya Migdoli na bahari, mbele ya Baali Zefoni. Wapaswa kueka kambi pembenni ya Pi Hahirothi.
020e03004f	Farao atasema kuhusu Waisraeli, 'Wanaangaika kwenye nchi. Nyikani imewafunika.'
020e0400c6	Nitaufanya moyo wa Farao mgumu, na yeye ata wakimbiza. Nitapata utukufu kwasababu ya Farao na jeshi lake lote. Wamisri watajua mimi ni Yahweh.” Kisha Waisraeli wakaeka kambi kama walivyo elekezwa.
020e0500bd	Mfalme wa Misri alipo ambiwa Waisraeli wametoroka, nia ya Farao na watumishi wake ikageuka dhidi ya watu. Wakasema, “Tumefanya nini kwa kuwaacha Waisraeli waende huru na wasitutumikie?”
020e06003b	Kisha Farao akachukuwa magari yake ya farasi na jeshi lake.
020e07006f	Alichukuwa magari ya farasi mia sita imara na magari yote ya farasi ya Misri, pamoja na maafisa wa hayo magari.
020e08007e	Yahweh akafanya mgumu moyo wa Farao, mfalme wa Misri, na mfalme akawafukuzia Waisraeli. Sasa Waisraeli waliondoka kwa shangwe.
020e0900bf	Lakini Wamisri wali wafukuzia, pamoja na farasi na magari ya farasi, wapanda farasi, na jeshi lake. Walikuta Waisraeli wameeka kambi pembezoni mwa bahari kati ya Pi Hahirothi na Baali Zefoni.
020e0a0082	Farao alipo karibia, Waisraeli walitaza juu na kushangaa. Wamisri walikuwa wakija kwao, na waliogopa. Waisraeli walimlilia Yahweh.
020e0b008c	Walimwambia Musa, “Ni kwasababu hakukuwa na makaburi Misri, hadi umetuleta tufe huku nyikani? Kwanini umetutendea hivi, kwa kututoa Misri?
020e0c0099	Hili si ndilo tulilo kwambia Misri? Tulikwambia, 'Utuache, ili tuwafanyie Wamisri kazi.' Ingekuwa bora kwetu sisi kuwafanyia kazi kuliko kufa nyikani.”
020e0d0092	Musa akawaambia watu, “Msiogope. Simameni imara na muone wokovu Yahweh atakao uleta kwenu leo. Kwa maana hamtawaona tena Wamisri mnao waona leo.
020e0e0030	Yahweh ata wapigania, na ninyi mtasima imara.”
020e0f0070	Kisha Yahweh akamwambia Musa, “Kwanini wewe, Musa, unaendelea kuniita mimi? Waambie Waisraeli waendelee mbele.
020e10008d	Nyanyua gongo lako juu, nyoosha mkono wako kuelekea baharini na uigawanye sehemu mbili, ili watu wa Israeli wapite baharini kwenye nchi kavu.
020e1100ab	Jitahadharishe kuwa nitafanya mioyo ya Wamisri kuwa migumu ili wawafuate. Nitapata utukufu kwasababu ya Farao na jeshi lake lote, magari yake ya farasi, na wapanda farasi.
020e120085	Kisha Wamisri watajua kuwa mimi ni Yahweh nitakapo pata utukufu kwasababu ya Farao, magari yake ya farasi, na wapanda farasi wake.”
020e13008d	Malaika wa Mungu, aliyeenda mbele ya Waisraeli, aliama na kwenda nyuma yao. Nguzo ya wingu ili sogea mbele yao na kwenda kusimama nyumba yao.
020e1400d1	Wingu lilikuja katikati ya kambi ya Misri na kambi ya Israeli. Lilikuwa wingu jeusi kwa Wamisri, lakini liliangaza usiku kwa ajili ya Waisraeli, hivyo upande mmoja haukuweza kuja karibu ya mwingine usiku wote.
020e1500b4	Musa akanyoosha mkono wake kuelekea bahari. Yahweh akasogeza bahari nyuma kwa upepo mkali wa mashariki usiku huo wote na kufanya bahari nchi kavu. Kwa namna hii maji yaligawanyika.
020e160074	Waisraeli walienda katikati ya bahari kwa nchi kavu. Maji yaliunda ukuta mkono wao wa kulia na mkono wao wa kushoto.
020e170079	Wamisri waka wafukuzia. Wali wafuata hadi katikati ya bahari - farasi wote wa Farao, magari ya farasi, na wapanda farasi.
020e180091	Lakini masaa ya mapema ya asubui, Yahweh alitazama chini jeshi la Wamisri kupitia nguzo ya moto na wingu. Alisababisha hofu miongoni mwa Wamisri.
020e1900bc	Magari yao ya farasi yalikuwa yana kwama matairi, na wapanda farasi waliendesha kwa ugumu. Hivyo Wamisri walisema, “Acha tuwakimbie Waisraeli, kwa kuwa Yahweh anawapigania dhidi yetu.”
020e1a0084	Yahweh akamwambia Musa, “Nyoosha mkono kuelekea bahari ili maji yawarudie Wamisri, magari yao ya farasi, na wapanda farasi wao.”
020e1b00c3	Hivyo Musa akanyoosha mkono wake kuelekea bahari, na ikarudi kwenye hali yake ya kawaida palipo pambazuka. Wamisri walikimbilia ndani ya bahari, na Yahweh akawaingiza Wamisri katikati ndani yake.
020e1c0096	Maji yakarudi na kufunika magari ya farasi ya Farao, wapanda farasi, na jeshi lake lote lililo fuata magari ya farasi kwenye bahari. Hakuna aliyepona.
020e1d0080	Walakini, Waisraeli walitembea kwenye nchi kavu katikati ya bahari. Maji yalikuwa ukuta kwao mkono wa kulia na mkono wa kushoto.
020e1e006c	Hivyo Yahweh akaokoa Israeli hiyo siku kutoka mkono wa Wamisri, na Israeli ikaona maiti za Wamisri ufukweni.
020e1f0084	Israeli ilipoona nguvu kubwa Yahweh aliyo itumia dhidi ya Wamisri, watu walimsifu Yahweh, na kumwamini Yahweh na mtumishi wake Musa.
020f0100ae	Kisha Musa na watu wa Israeli wakaimba hii nyimbo kwa Yahweh. Waliimba, “Nitaimba kwa Yahweh, kwa kuwa ameshinda kwa utukufu; farasi na dereva wake amewatupa kwenye bahari.
020f020084	Yahweh ni uweza wangu na nyimbo yangu, na amekuwa wokovu wangu. Huyu ni Mungu wangu, na nitamsifu, Mungu wa baba yangu, nitamtukuza.
020f030026	Yahweh ni shujaa; Yahweh ni jina lake.
020f040077	Ametupa magari ya farasi ya Farao na jeshi lake kwenye bahari. Maafisa wa Farao hodari walizama kwenye Bahari ya Shamu.
020f050032	Kina kiliwafunika; walienda kwenye kina kama jiwe.
020f060056	Mkono wako wakulia, Yahweh, una nguvu ya utukufu; mkono wako, Yahweh, umewavunja adui.
020f070064	Kwa utukufu mkubwa umewapindua walio inuka dhidi yako. Umetuma gadhabu; imewateketeza kama karatasi.
020f080086	Kwa pumzi ya pua yako maji yalijaa; maji yanayo tembea yalisimama wima na kujaa juu; maji yalikuwa manene ndani ya kilindi cha bahari.
020f090096	Adui alisema, 'Nitakimbiza, nitapita, nitagawa nitakacho chukuwa; tamanio langu litatimizwa kwao; nitavuta upanga wangu; mkono wangu utawaharibu wao.'
020f0a0068	Lakini ulipuliza kwa upepo wako, na bahari ikawafunika wao; walizama kama chuma nzito kwenye maji mengi.
020f0b0082	Ni nani kama wewe, Yahweh, miongoni mwa miungu? Nani kama wewe, mtakatifu wa utukufu, katika sifa umetukuzwa, anaye fanya miujiza?
020f0c0033	Ulinyoosha mkono wako wa kulia, na dunia ikawameza.
020f0d007c	Katika uaminifu wa agano lako umewaongoza watu ulio waokoa. Katika uweza wako umewaongoza katika sehemu takatifu unayo ishi.
020f0e0044	Watu watasikia, na watatetemeka; hofu itawakumba wakazi wa Filistia.
020f0f0060	Kisha wazee wa Edomu wataogopa; wanajeshi wa Moabu watetemeka; wakazi wote wa Kanani watayayuka.
020f1000a6	Mshituko na hofu vitawaangukia. Kwasababu ya nguvu ya mkono wako, watakuwa kimya kama jiwe hadi watu wako watakapo pita, Yahweh - hadi watu ulio waokoa watakapo pita.
020f11008f	Utawaleta na kuwapanda kwenye mlima wa urithi wako, sehemu, Yahweh, ulio jenga ya kuishi, sehemu takatifu, Bwana wetu, mikono yako iliyo jenga.
020f120026	Yahweh ata tawala milele na milele.”
020f1300bc	Kwa kuwa farasi wa Farao walienda na magari ya farasi na wapanda farasi kwenye bahari. Yahweh alileta maji ya bahari juu yao. Lakini Waisraeli walienda juu ya nchi kavu katikati ya bahari.
020f14006a	Miriamu nabii wa kike, dada wa Aruni, akanyanyua tari, na wanawake wote wakatoka na matari, wakicheza nae.
020f150074	Miriamu akawaimbia: “Muimbieni Yahweh, kwa kuwa ameshinda kwa utukufu. Farasi na mpanda farasi amewatupa baharini.
020f160090	Kisha Musa akaongoza Israeli mbele kupita Bahari ya Shamu. Walienda nyikani ya Shuri. Walisafiri kwa siku tatu nyikani pasipo kuona maji yeyote.
020f17006e	Kisha wakaja Mara, lakini hawakunywa maji ya huko kwasababu yalikuwa machungu. Hivyo wakaita hiyo sehemu Mara.
020f180045	Hivyo watu wakamlalamikia Musa na kusema, “Nini tunaweza kunywa?”
020f1900a7	Musa akamlilia Yahweh, na kumonyesha mti. Musa akautupa kwenye maji, na maji yakawa matamu kunywa. Ndio pale Yahweh alipowapa sheria kali, na ndio pale alipo wajaribu.
020f1a010b	Alisema, “Kama utasikiliza sauti ya Yahweh Mungu wako kwa umakini, na kufanya yalio sahihi machoni pake, na kama utatega sikio kwa amri zake na kutii sheria zake zote - sitawaekea ninyi magonjwa yale niliyo waekea Wamisri, kwa kuwa mimi ni Yahweh ninaye kuponya.”
020f1b0086	Kisha watu wakaja Elimu, palipo kuwa na chemichemi kumi na mbili za maji na miti sabini ya mtende. Walieka kambi hapo pembeni ya maji.
02100100b8	Watu wakaendelea na safari kutoka Elimu, na jamii yote ya Waisraeli ikaja nyikani mwa Sinu, iliyopo katikati ya Elimu na Sinai, siku ya kumi na tano ya mwezi wa pili walipo toka Misri.
021002003f	Jamii yote ya Waisraeli wali walalamikia Musa na Aruni nyikani.
02100300d9	Waisraeli waliwaambia, “Kama tu tungekufa kwa mkono wa Yahweh nchi ya Misri tulipo kuwa tumeketi kwenye vyombo vya nyama na tulikuwa tunakula mkate kwa tele. Maana umetuleta nyikani uuwe jamii zetu zote kwa njaa.”
02100400b1	Kisha Yahweh akamwambia Musa, “Nitakunyeshea mvua ya mkate. Watu wataenda na kukusanya kiasi cha siku kila siku ili niwajaribu kama wataendelea kushika sheria yangu au hapana.
0210050070	Itakuja kuwa siku ya sita, kwamba watakusanya mara mbili zaidi ya wanavyo kusanyaga, na watapika wanacholeta.”
0210060077	Kisha Musa na Aruni wakawaambia watu wote wa Israeli, “Jioni mtajua kuwa ni Yahweh aliye waleta kutoka nchi ya Misri.
0210070066	Asubui utaona utukufu wa Yahweh, kwa maana anasikia mna mlalamikia. Sisi ni nani hadi mtulalamikie?”
02100800e5	Musa pia akasema, “Utajua hili pale Yahweh atakapo kupa nyama jioni na mkate asubui kwa tele - kwa kuwa amesikia malalamishi mnayo tamka dhidi yake. Nani ni Aruni na mimi? Malalamishi yenu sio dhidi yetu; ni dhidi ya Yahweh.”
0210090081	Musa akamwambia Aruni, “Sema kwa jamii yote ya watu wa Israeli, 'Njoo karibu ya Yahweh, kwa kuwa amesikia malalamishi yenu.'”
02100a008c	Ikawa, Aruni alipo sema na jamii yote ya watu wa Israeli, wakaangalia kuelekea nyikani, na, tazama, utukufu wa Yahweh ukatokea kwenye wingu.
02100b002a	Kisha Yahweh akasema na Musa na kumwambia,
02100c009b	“Nimesikia malalamishi ya watu wa Israeli. Sema nao na useme, 'Jioni utakula nyama, na asubui utashiba mkate. Kisha utajua mimi ni Yahweh Mungu wako.'”
02100d005b	Ikaja kuwa kwamba jioni kware wakaja juu na kufunika kambi. Asubui umande ulitanda kambini.
02100e0063	Umande ulipo kwisha, pale juu ya ardhi ya nyikani kulikuwa na kama barafu iliyo ganda kwenye ardhi.
02100f009a	Watu wa Israeli walipo ona, walisema mmoja kwa mwenzake, “Hii ni nini?” Hawakujua ilikuwa ni nini. Musa akawaambia, “Ni mkate Yahweh aliyo wapa mle.
02101000d2	Hii ni amri Yahweh aliyotoa: 'Lazima ukusanye, kila mmoja wenu, kiasi unacho itaji kula, lita mbili kwa kila mtu. Hivi ndivyo utakavyo kusanya: Kusanya cha kutosha kula cha kila mtu anaye ishi hemani mwako.'”
0210110055	Watu wa Israeli wakafanya hivyo. Baadhi wakakusanya zaidi, baadhi wakakusanya kidogo.
02101200bc	Walipo pima kwa kipimo cha lita, hao walio kusanya zaidi hawakuwa na kilicho salia, na hao walio kusanya kidogo hawakuwa na pungufu. Kila mmoja alikusanya cha kutosha kukidhi maitaji yake.
0210130043	Kisha Musa akawaambia, “Hakuna ata mmoja kubakiza hadi asubui.”
0210140094	Walakini, hawakumsikiliza Musa. Baadhi yao waliacha baadhi hadi asubui, lakini ilizalisha wadudu na kuwa batili. Kisha Musa akawa na hasira juu yao.
0210150074	Walikusanya asubui kwa asubui. Kila mtu alikusanya cha kutosha kula kwa hiyo siku. Jua lilipo kuwa kali, ili yayuka.
0210160085	siku ya sita walikusanya mkate mara mbili zaidi, lita mbili kwa kila mtu. Viongozi wote wa jamii walikuja na kumwambia hili kwa Musa.
02101700e7	Aliwaambia, “Hili ndilo Yahweh alililo lisema: 'Kesho ni mapumziko ya kujiliwaza, sabato takatifu kwa utukufu wa Yahweh. Oka kile unataka kuoka, na chemsha kile unataka kuchemsha. Vyote vitakavyo baki, jihifadhie hadi asubui.”'
0210180069	Hivyo wakaeka pembeni hadi asubui, kama Musa alivyo elekeza. Haikuharibika, wala haikuwa na mdudu yeyote.
021019007b	Musa alisema, “Kula hicho cha kula leo, kwa kuwa leo ni siku iliyo tengwa ya kumtukuza Yahweh. Leo hamtaikuta mashambani.
02101a0066	Mtaikusanya ndani ya siku sita, lakini siku ya saba ni Sabato. Siku ya Sabato hakuta kuwa na manna.”
02101b005b	Ilikuja kuwa siku ya saba ambapo baadhi ya watu walienda kukusanya manna, lakini hawakukuta
