0100000008	Kejadian
02220100bb	Kemudian TUHAN berkata kepada Musa, "Pahatlah dua keping batu seperti yang dahulu. Pada batu itu Aku akan menulis kata-kata yang sama dengan yang ada pada batu yang sudah kaupecahkan itu.
022202005d	Bersiap-siaplah besok pagi untuk mendaki Gunung Sinai dan menghadap Aku di puncak gunung itu.
02220300a1	Tak seorang pun boleh ikut dengan engkau atau berada di bagian mana pun dari gunung itu. Sapi-sapi dan domba-domba jangan dibiarkan merumput di kaki gunung itu."
022204009c	Lalu Musa memahat dua keping batu lagi, dan keesokan harinya pagi-pagi sekali ia membawanya naik ke atas Gunung Sinai seperti diperintahkan TUHAN kepadanya.
022205007d	Maka turunlah TUHAN dalam sebuah awan; Ia berdiri dengan Musa di tempat itu, dan mengucapkan nama-Nya yang suci, yaitu TUHAN.
02220600b1	Kemudian TUHAN lewat di depan Musa dan berkata, "Aku TUHAN, adalah Allah yang penuh kemurahan hati dan belas kasihan. Kasih-Ku berlimpah-limpah, Aku setia dan tidak lekas marah.
0222070101	Aku tetap mengasihi beribu-ribu keturunan dan mengampuni kesalahan dan dosa; tetapi orang bersalah sekali-kali tidak Kubebaskan dari hukumannya, dan Kuhukum pula anak-anak dan cucu-cucu sampai keturunan yang ketiga dan keempat karena dosa orang tua mereka".
0222080023	Saat itu juga Musa sujud menyembah.
02220900e4	Katanya, "Tuhan, jika Engkau sungguh-sungguh berkenan kepada saya, saya mohon, sudilah Tuhan ikut dengan kami. Bangsa itu memang keras kepala, tetapi ampunilah kejahatan dan dosa kami dan terimalah kami sebagai umat-Mu sendiri."
02220a0146	Kata TUHAN kepada Musa, "Sekarang Aku membuat perjanjian dengan bangsa Israel. Di depan mata mereka Aku akan melakukan keajaiban-keajaib yang belum pernah dilakukan di antara bangsa mana pun di bumi. Semua bangsa akan melihat keajaiban-keajaiban yang Kulakukan, sebab Aku, TUHAN akan melakukan sesuatu yang dahsyat untuk kamu.
02220b008f	Taatilah hukum-hukum yang Kuberikan kepadamu hari ini. Aku akan mengusir bangsa Amori, Kanaan, Het, Feris, Hewi dan Yebus pada waktu kamu maju.
02220c0092	Janganlah membuat perjanjian dengan orang-orang di negeri yang kamu datangi, sebab hal itu dapat menjadi perangkap yang mengakibatkan maut bagimu.
02220d009a	Jadi, janganlah berbuat begitu, tetapi robohkan mezbah-mezbah mereka, hancurkan tugu-tugu keramat mereka dan tebanglah tiang-tiang Asyera, berhala mereka.
02220e0060	Jangan menyembah ilah lain, sebab Aku TUHAN, adalah Allah yang tak mau disamakan dengan apa pun.
02220f00bb	Jangan mengadakan perjanjian dengan bangsa negeri itu, sebab pada waktu mereka menyembah dan mempersembahkan kurban kepada ilah-ilah mereka, mereka akan mengajak kamu, dan kamu akan ikut.
0222100095	Kalau anak-anakmu kawin dengan wanita-wanita asing, mereka akan dibujuk oleh wanita-wanita itu untuk meninggalkan Aku dan menyembah ilah-ilah mereka.
0222110032	Jangan membuat dan menyembah ilah-ilah dari logam.
02221200bc	Rayakanlah Pesta Roti Tak Beragi. Seperti telah Kuperintahkan kepadamu, kamu harus makan roti tak beragi selama tujuh hari dalam bulan Abib, karena dalam bulan itu kamu meninggalkan Mesir.
0222130059	Setiap anak laki-laki yang sulung dan binatang jantan yang pertama lahir adalah milik-Ku,
0222140135	tetapi kamu harus menebus anak keledai yang pertama lahir dengan mempersembahkan seekor anak domba untuk gantinya. Kalau kamu tak mau menebusnya, leher keledai itu harus kamu patahkan. Setiap anakmu laki-laki yang sulung harus kamu tebus. Tak seorang pun boleh datang kepada-Ku jika tidak membawa persembahan.
022215007b	Ada enam hari untuk bekerja; janganlah bekerja pada hari yang ketujuh, sekalipun itu dalam musim membajak atau musim panen.
022216009f	Rayakanlah Pesta Panen pada waktu kamu mulai menuai hasil pertama dari gandum. Rayakan juga Pesta Pondok Daun pada akhir tahun, waktu kamu memetik buah-buahan.
0222170057	Tiga kali setahun semua orang laki-laki harus datang menyembah Aku, TUHAN Allah Israel.
02221800d6	Sesudah Aku mengusir bangsa-bangsa dari hadapanmu dan Kuluaskan daerahmu, tak seorang pun akan berani merebut negerimu pada waktu kamu pergi untuk merayakan Pesta Roti Tak Beragi, Pesta Panen dan Pesta Pondok Daun.
02221900e8	Pada waktu kamu mempersembahkan ternak sembelihan, jangan persembahkan apa-apa yang dibuat pakai ragi. Ternak yang dipotong untuk kurban perayaan Paskah harus dihabiskan malam itu juga; tak boleh ada sisanya sampai keesokan harinya.
02221a00a3	Setiap tahun kamu harus membawa ke Rumah TUHAN Allahmu hasil pertama dari tanahmu. Daging anak domba atau anak kambing tak boleh dimasak dengan air susu induknya."
02221b0091	Kata TUHAN kepada Musa, "Tulislah kata-kata itu, karena berdasarkan perkataan itu Aku membuat perjanjian dengan engkau dan dengan bangsa Israel."
02221c00ca	Empat puluh hari empat puluh malam Musa tinggal di situ bersama TUHAN, dan selama itu ia tidak makan dan tidak minum. Kata-kata perjanjian itu, yakni Sepuluh Perintah Allah, ditulisnya pada keping batu.
02221d00b1	Ketika Musa turun dari Gunung Sinai membawa Sepuluh Perintah itu, mukanya bercahaya sebab ia telah berbicara dengan TUHAN, tetapi Musa sendiri tidak tahu bahwa mukanya bersinar.
02221e005d	Harun dan seluruh rakyat melihat bahwa Musa bercahaya mukanya, dan mereka takut mendekatinya.
02221f0073	Tetapi Musa memanggil mereka, maka Harun dan semua pemimpin mereka mendekati dia, dan Musa berbicara kepada mereka.
02222000a7	Setelah itu seluruh rakyat Israel berkumpul mengelilinginya, dan kepada mereka semua Musa menyampaikan semua hukum yang diberikan TUHAN kepadanya di atas Gunung Sinai.
0222210043	Sesudah berbicara dengan mereka, Musa menutupi mukanya dengan kain.
02222200b1	Setiap kali Musa masuk ke dalam Kemah TUHAN untuk berbicara dengan TUHAN, kain itu dibukanya sampai ia keluar. Sesudahnya ia menyampaikan kepada bangsa Israel semua pesan TUHAN,
0222230085	dan mereka melihat muka Musa bercahaya. Maka ditutupinya lagi mukanya sampai waktu yang berikut kalau ia berbicara lagi dengan TUHAN.
0223010066	Musa mengumpulkan seluruh bangsa Israel lalu berkata kepada mereka, "Inilah perintah TUHAN untuk kamu:
02230200b3	Ada enam hari untuk bekerja, tetapi hari yang ketujuh adalah hari untuk beristirahat, hari raya yang dikhususkan bagi TUHAN. Siapa yang bekerja pada hari Sabat harus dihukum mati.
0223030038	Pada hari itu kamu tak boleh menyalakan api di rumahmu."
0223040045	Musa berkata kepada seluruh bangsa Israel, "Beginilah perintah TUHAN:
022305006f	Bawalah persembahan kepada TUHAN. Siapa yang tergerak hatinya, harus mempersembahkan emas, perak, dan perunggu;
0223060048	kain linen halus, kain wol biru, ungu dan merah; kain dari bulu kambing;
0223070041	kulit domba jantan yang diwarnai merah; kulit halus, kayu akasia,
0223080051	minyak untuk lampu; rempah-rempah untuk minyak upacara dan untuk dupa yang harum;
0223090058	permata delima dan permata lain untuk ditatah pada baju efod dan tutup dada Imam Agung."
02230a006c	"Semua pengrajin yang ahli di antara kamu harus datang untuk membuat segala yang diperintahkan TUHAN, yaitu:
02230b0059	Kemah, atap dan tutupnya, kait dan rangkanya, kayu-kayu lintang, tiang pintu dan alasnya;
02230c0048	Peti Perjanjian dengan kayu pengusungnya, tutupnya dan kain penudungnya;
02230d0044	meja dengan kayu pengusungnya, semua perlengkapannya dan roti sajian
02230e004b	kaki lampu untuk penerangan dengan perlengkapannya, lampu dengan minyaknya;
02230f006f	mezbah tempat membakar dupa dengan kayu pengusungnya, minyak upacara, dupa yang harum; tirai untuk pintu Kemah,
022310008c	mezbah untuk kurban bakaran dengan kisi-kisi dari perunggu, kayu pengusung dengan semua perlengkapannya; bak tempat membasuh dengan alasnya,
0223110057	layar-layar untuk pelataran, tiang-tiang dengan alasnya, tirai pintu gerbang pelataran,
022312003f	patok-patok dan tali-temali untuk Kemah dan untuk pelatarannya;
022313007f	pakaian ibadat untuk para imam pada waktu mereka bertugas di Ruang Suci dan pakaian khusus untuk imam Harun, dan anak-anaknya."
0223140031	Lalu semua orang Israel yang berkumpul itu bubar,
02231500b9	dan siapa saja yang tergerak hatinya, membawa persembahan kepada TUHAN untuk melengkapi Kemah TUHAN. Mereka juga membawa semua yang diperlukan untuk ibadat dan bahan untuk pakaian imam.
02231600b5	Siapa saja yang mau, baik laki-laki maupun perempuan, datang membawa peniti hiasan, anting-anting, cincin, kalung, dan segala macam perhiasan emas untuk dipersembahkan kepada TUHAN.
02231700bb	Setiap orang yang mempunyai kain linen halus, kain wol biru, ungu atau merah, kain dari bulu kambing, kulit domba jantan yang diwarnai merah, atau kulit halus, mempersembahkan barang itu.
02231800a9	Setiap orang yang dapat menyumbangkan perak atau perunggu, membawanya untuk TUHAN. Begitu juga dilakukan oleh orang-orang yang mempunyai kayu akasia untuk pekerjaan itu.
0223190079	Para wanita yang pandai memintal membawa benang linen halus serta benang wol biru, ungu dan merah yang telah mereka buat.
02231a002e	Mereka juga memintal benang dari bulu kambing.
02231b0065	Para pemimpin membawa permata delima dan permata-permata lain untuk ditatah pada efod dan tutup dada.
02231c005d	Mereka juga membawa rempah-rempah dan minyak untuk lampu, minyak upacara dan dupa yang harum.
02231d0081	Semua orang Israel dengan sukarela membawa persembahan mereka kepada TUHAN untuk pekerjaan yang diperintahkan TUHAN melalui Musa.
02231e006d	Kemudian Musa berkata kepada orang Israel, "TUHAN telah memilih Bezaleel anak Uri, cucu Hur, dari suku Yehuda
02231f007c	dan menganugerahi dia dengan kuasa-Nya. Allah memberi dia pengertian, kecakapan dan kemampuan dalam segala macam karya seni,
0223200065	untuk membuat rancangan yang memerlukan keahlian, serta mengerjakannya dari emas, perak dan perunggu;
022321006d	untuk mengasah batu permata yang akan ditatah; untuk mengukir kayu dan untuk segala macam karya seni lainnya.
0223220088	Kepada Bezaleel dan Aholiab, anak Ahisamakh dari suku Dan, TUHAN memberi kepandaian untuk mengajarkan keahlian mereka kepada orang lain.
02232300f2	Mereka diberi kepandaian dalam segala macam pekerjaan yang dilakukan oleh ahli pahat, perancang dan ahli tenun linen halus, wol biru, ungu dan merah, dan kain lain. Mereka adalah perancang yang ahli dan dapat melakukan segala macam pekerjaan.
02240100e5	Bezaleel, Aholiab, dan semua pengrajin yang mendapat kecakapan dan keahlian dari TUHAN, tahu cara melakukan segala yang diperlukan untuk membuat Kemah TUHAN. Mereka harus membuat segalanya seperti yang sudah diperintahkan TUHAN."
0224020086	Musa memanggil Bezaleel, Aholiab dan semua orang yang mendapat keahlian dari TUHAN dan yang rela membantu, lalu menyuruh mereka mulai.
02240300b6	Musa memberi mereka segala yang disumbangkan orang Israel untuk pekerjaan membangun Kemah TUHAN. Tetapi bangsa Israel masih terus saja membawa persembahan kepada Musa tiap-tiap pagi.
0224040037	Lalu para pengrajin yang sedang melakukan pekerjaan itu
0224050094	melaporkan kepada Musa, "Bahan-bahan yang disumbangkan orang-orang itu sudah lebih dari yang diperlukan untuk pekerjaan yang ditugaskan oleh TUHAN."
022406008a	Maka Musa mengumumkan di seluruh perkemahan bahwa sudah cukuplah sumbangan untuk Kemah TUHAN; jadi orang-orang tidak membawa apa-apa lagi.
0224070062	Bahan-bahan yang sudah mereka sumbangkan lebih dari cukup untuk menyelesaikan semua pekerjaan itu.
02240800d1	Kemudian yang paling ahli di antara para pengrajin itu membuat Kemah TUHAN. Kemah itu mereka buat dari sepuluh potong kain linen halus ditenun dengan wol biru, ungu dan merah, lalu disulam dengan gambar kerub.
0224090051	Setiap potong sama ukurannya; panjangnya dua belas meter, dan lebarnya dua meter.
02240a005c	Lima potong kain disambung menjadi satu layar, dan lima potong yang lain dibuat begitu juga.
02240b003d	Pada pinggir kedua layar itu dibuat sangkutan dari kain biru,
02240c004e	lima puluh sangkutan pada masing-masing layar, sehingga merupakan satu pasang.
02240d0042	Lalu dibuat lima puluh kait emas untuk menyatukan kedua layar itu.
02240e0054	Sesudahnya mereka membuat atap Kemah itu dari sebelas potong kain dari bulu kambing.
02240f0051	Setiap potong sama ukurannya, panjangnya tiga belas meter dan lebarnya dua meter.
0224100055	Lima potong disambung menjadi satu layar, dan enam potong lainnya dibuat begitu juga.
0224110075	Lima puluh sangkutan dipasang pada pinggir layar yang pertama dan lima puluh sangkutan pada pinggir layar yang kedua.
022412005e	Lalu dibuat lima puluh kait dari perunggu untuk menyatukan kedua layar itu menjadi atap Kemah.
0224130082	Sesudah itu dibuat dua tutup untuk bagian Kemah, satu dari kulit domba jantan yang diwarnai merah, dan yang lain dari kulit halus.
022414004e	Kemudian mereka membuat rangka-rangka Kemah yang tegak lurus dari kayu akasia.
022415004c	Setiap rangka tingginya empat meter dan lebarnya enam puluh enam sentimeter.
0224160079	Pada setiap rangka dibuat dua patok yang sepasang, sehingga rangka-rangka itu dapat disambung yang satu dengan yang lain.
0224170033	Untuk bagian selatan Kemah dibuat dua puluh rangka,
0224180057	dengan empat puluh alasnya dari perak, dua di bawah setiap rangka untuk kedua patoknya.
0224190031	Untuk bagian utara Kemah dibuat dua puluh rangka,
02241a0042	dengan empat puluh alasnya dari perak, dua di bawah setiap rangka.
02241b0038	Untuk belakang Kemah di bagian barat, dibuat enam rangka
02241c001e	dan dua rangka untuk sudutnya.
02241d008d	Rangka-rangka sudut itu dihubungkan pada kakinya terus sampai ke bagian atasnya. Kedua rangka yang membentuk sudutnya dibuat dengan cara itu.
02241e005a	Jadi semuanya ada delapan rangka dengan enam belas alas perak, dua di bawah setiap rangka.
02241f006c	Lalu mereka membuat lima belas kayu lintang dari kayu akasia, lima untuk rangka-rangka pada satu sisi Kemah,
022420004b	lima untuk sisi yang lain, dan lima lagi untuk belakang Kemah bagian barat.
022421005e	Kayu lintang yang di tengah, dipasang setinggi setengah rangka, dari ujung ke ujung Kemah itu.
022422007a	Rangka Kemah dan kayu-kayu lintang itu dilapisi dengan emas, lalu dipasang gelang-gelang emas untuk menahan kayu-kayu itu.
022423007f	Mereka juga membuat kain pintu dari linen halus yang ditenun dengan wol biru, ungu dan merah, lalu disulam dengan gambar kerub.
022424008c	Untuk menggantungkan kain itu dibuat empat tiang dari kayu akasia yang berlapis emas dengan kait emas dan dipasang di atas empat alas perak.
022425007c	Lalu dibuat tirai untuk pintu Kemah dari linen halus yang ditenun dengan wol biru, ungu dan merah dan dihias dengan sulaman.
02242600c5	Untuk kain pintu itu dibuat lima tiang yang dihubungkan dengan kait-kait. Ujung-ujung dan penyambung-penyambung kelima tiang itu dilapisi dengan emas, sedangkan kelima alasnya dibuat dari perunggu.
022501007e	Bezaleel membuat Peti Perjanjian dari kayu akasia, panjangnya 110 sentimeter, lebar dan tingginya masing-masing 66 sentimeter.
022502005c	Bagian dalam dan luarnya dilapisi dengan emas murni, lalu dibuat bingkai emas sekelilingnya.
0225030088	Kemudian dibuatnya empat gelang emas untuk kayu pengusungnya dan dipasangnya pada keempat kaki peti itu, dua gelang pada setiap sisinya.
022504004a	Dibuatnya juga pengusungnya dari kayu akasia, dan dilapisinya dengan emas,
0225050050	lalu kayu pengusung itu dimasukkannya ke dalam gelang pada setiap sisi peti itu.
0225060066	Kemudian dibuatnya sebuah tutup dari emas murni, panjangnya 110 sentimeter dan lebarnya 66 sentimeter.
022507002b	Dibuatnya juga dua kerub dari emas tempaan,
0225080057	satu pada setiap ujung tutup itu. Kedua kerub itu dijadikan satu bagian dengan tutupnya
0225090053	dan dibuat saling berhadapan, dengan sayap yang terbentang menutupi tutup peti itu.
02250a007a	Bezaleel membuat meja dari kayu akasia, yang panjangnya 88 sentimeter, lebarnya 44 sentimeter dan tingginya 66 sentimeter.
02250b0055	Meja itu dilapisinya dengan emas murni dan di sekelilingnya dipasangnya bingkai emas.
02250c0063	Lalu ia membuat pinggir meja selebar 7,5 sentimeter. Pinggir itu diberi bingkai emas sekelilingnya.
02250d005a	Dibuatnya empat gelang untuk kayu pengusungnya dan dipasangnya di keempat sudut kaki meja.
02250e0040	Gelang untuk menahan kayu pengusungnya dipasang dekat tepi meja.
02250f003e	Pengusung itu dibuat dari kayu akasia dan dilapis dengan emas.
02251000a4	Ia juga membuat piring-piring, cangkir-cangkir, kendi-kendi dan mangkuk-mangkuk untuk persembahan air anggur. Semua perlengkapan meja itu dibuatnya dari emas murni.
02251100b1	Bezaleel membuat kaki lampu dari emas murni. Alas dan pegangannya dibuat dari emas tempaan. Bunga-bunga hiasan, termasuk kuncup dan kelopaknya dijadikan satu dengan pegangannya.
0225120046	Pada pegangan itu dibuat enam cabang, tiga cabang pada setiap sisinya.
0225130059	Pada setiap cabangnya dibuat hiasan berupa tiga bunga badam dengan kuncup dan kelopaknya.
0225140055	Pada pegangannya dibuat hiasan berupa empat bunga badam dengan kuncup dan kelopaknya.
0225150035	Di bawah setiap pasang cabang itu dibuat satu kuncup.
022516006c	Seluruh kaki lampu itu dengan kuncup-kuncup dan cabang-cabangnya dibuat dari satu potong emas tempaan murni.
0225170073	Pada kaki lampu itu dibuatnya tujuh lampu dengan alat untuk membersihkan sumbu pelita dan talamnya dari emas murni.
022518004f	Untuk membuat kaki lampu dan perlengkapannya diperlukan 35 kilogram emas murni.
0225190100	Bezaleel membuat dari kayu akasia sebuah mezbah untuk tempat membakar dupa. Mezbah itu berbentuk persegi; panjang dan lebarnya masing-masing 45 sentimeter dan tingginya 90 sentimeter. Di keempat sudut atasnya dibuat tanduk yang jadi satu dengan mezbah itu.
02251a0070	Bagian atas, keempat sisi dan tanduk-tanduknya dilapisi dengan emas murni dan sekelilingnya dibuat bingkai emas.
02251b006b	Dibuatnya juga dua gelang di bawah bingkai emas pada kedua sisinya untuk menahan kayu pengusung mezbah itu.
02251c003f	Pengusung itu dibuat dari kayu akasia dan dilapisi dengan emas.
02251d005e	Bezaleel juga membuat minyak upacara dan dupa murni yang harum, dicampur seperti minyak wangi.
02260100b3	Bezaleel mengambil kayu akasia, lalu dibuatnya mezbah untuk kurban bakaran. Mezbah itu berbentuk persegi, panjangnya dan lebarnya masing-masing 2,2 meter, dan tingginya 1,3 meter.
022602006e	Pada setiap sudut atasnya dibuat tanduk yang jadi satu dengan mezbah itu. Seluruhnya dilapisi dengan perunggu.
022603007c	Dibuatnya juga kuali-kuali, sekop, mangkuk-mangkuk, garpu-garpu dan tempat api. Semua perlengkapan itu dibuat dari perunggu.
0226040076	Dibuatnya anyaman kawat dari perunggu yang dililitkan pada mezbah bagian bawah, tingginya setengah dari tinggi mezbah.
022605004d	Lalu dibuatnya empat gelang untuk kayu pengusung pada keempat sudut bawahnya.
022606004c	Kayu pengusung itu dibuatnya dari kayu akasia yang dilapisi dengan perunggu.
022607009c	Lalu kedua kayu pengusung itu dimasukkannya ke dalam gelang-gelang pada kedua sisi mezbah itu. Mezbah itu dibuatnya dari papan dan bagian dalamnya berongga.
022608008f	Bezaleel membuat bak perunggu dengan alas perunggu. Perunggu itu dari cermin-cermin kepunyaan wanita-wanita yang melayani di pintu Kemah TUHAN.
0226090073	Bezaleel memagari pelataran Kemah TUHAN dengan layar dari kain linen halus. Di bagian selatan, panjangnya 44 meter,
02260a0072	ditahan oleh dua puluh tiang perunggu, masing-masing dalam alas perunggu, dengan kait dan sangkutannya dari perak.
02260b0029	Di sebelah utara dibuat seperti itu juga.
02260c0084	Di sebelah barat dipasang layar sepanjang 22 meter, dengan sepuluh tiang dan sepuluh alas; kait dan penyambungnya dibuat dari perak.
02260d0042	Di sebelah timur, yang ada pintunya, lebar layarnya juga 22 meter.
02260e006c	Di kiri kanan pintu itu dipasang layar, masing-masing panjangnya 6,6 meter, dengan tiga tiang dan tiga alas.
0226100045	Semua layar di sekeliling pelataran itu dibuat dari kain linen halus.
02261100c2	Alas tiang-tiangnya dibuat dari perunggu, sedangkan kait, sambungan dan puncak tiangnya dibuat dari perak. Semua tiang di sekitar pelataran itu dihubungkan satu sama lain dengan sangkutan perak.
02261200d8	Tirai pintu gerbang pelataran itu dibuat dari linen halus yang ditenun dengan wol biru, ungu dan merah serta dihias dengan sulaman. Panjangnya sembilan meter dan tingginya dua meter, sama dengan layar dari pelataran.
0226130083	Kain pintu itu ditahan oleh empat tiang dengan empat alas perunggu. Semua kait, tutup puncaknya dan sangkutannya dibuat dari perak,
0226140047	tetapi patok-patok untuk Kemah dan untuk pagarnya dibuat dari perunggu.
02261500f0	Inilah daftar logam yang dipakai dalam Kemah TUHAN, tempat kedua batu dengan Sepuluh Perintah Allah itu disimpan. Daftar itu dibuat atas perintah Musa dan disusun oleh orang-orang Lewi yang bekerja di bawah pimpinan Itamar, anak Imam Harun.
0226160056	Bezaleel anak Uri, cucu Hur dari suku Yehuda, membuat segala yang diperintahkan TUHAN.
0226170096	Pembantunya, Aholiab anak Ahisamakh dari suku Dan, adalah seorang tukang ukir, perancang dan penenun kain linen halus, serta wol biru, ungu dan merah.
0226180095	Emas yang dipersembahkan kepada TUHAN untuk Kemah Suci seluruhnya berjumlah seribu kilogram, ditimbang menurut timbangan yang berlaku di Kemah TUHAN.
0226190080	Perak yang diperoleh dari sensus bangsa Israel berjumlah 3.430 kilogram ditimbang menurut timbangan yang berlaku di Kemah TUHAN.
02261a0109	Jumlah itu sama dengan apa yang dibayar oleh semua orang yang terdaftar dalam sensus itu. Setiap orang membayar harga yang ditentukan, ditimbang menurut timbangan yang berlaku. Dalam sensus itu terdaftar 603.550 orang laki-laki yang berumur dua puluh tahun ke atas.
02261b0088	Dari perak itu, 3.400 kilogram dipakai untuk membuat keseratus alas tiang Kemah TUHAN dan kain pintunya. Tiap alas beratnya 34 kilogram.
02261c0099	Dari sisa perak itu, sebanyak 30 kilogram, Bezaleel membuat penyambung-penyambung dan kait-kait untuk tiang-tiangnya, serta tutup puncak tiang-tiang itu.
02261d004c	Perunggu yang dipersembahkan kepada TUHAN semuanya berjumlah 2.425 kilogram.
02261e0082	Perunggu itu dipakai untuk membuat alas pintu Kemah TUHAN, mezbah dengan anyaman kawat dari perunggu, seluruh perlengkapan mezbah,
02261f0064	alas layar sekeliling pelataran dan pintu gerbangnya, semua patok Kemah dan pelataran sekelilingnya.
02270100d1	Bezaleel dan Aholiab membuat pakaian ibadat dari wol biru, ungu dan merah untuk para imam pada waktu mereka bertugas di Ruang Suci. Pakaian imam untuk Harun dibuat seperti yang diperintahkan TUHAN kepada Musa.
022702004d	Efod dibuat dari kain linen halus, wol biru, ungu dan merah, dan benang emas.
022703009a	Mereka menempa lempeng-lempeng emas yang kemudian dipotong-potong menjadi benang tipis, lalu ditenun dengan kain linen halus dan wol biru, ungu dan merah.
022704004c	Sesudah itu dibuat dua tali bahu pengikat efod yang dijahitkan pada sisinya.
022705009f	Ikat pinggang tenunan halus dibuat dari bahan yang sama dan dijahitkan pada efod itu sehingga menjadi satu bagian seperti yang diperintahkan TUHAN kepada Musa.
022706009b	Mereka mengasah batu delima lalu memasangnya dalam bingkai emas. Dengan penuh keahlian mereka mengukir nama-nama kedua belas anak Yakub pada batu-batu itu.
0227070098	Kemudian batu-batu itu dipasang pada tali bahu efod sebagai tanda peringatan akan kedua belas suku Israel, seperti yang diperintahkan TUHAN kepada Musa.
0227080062	Bezaleel dan Aholiab membuat tutup dada dari bahan yang sama dengan efod, dan sulamannya pun sama.
0227090058	Bentuknya persegi yang dilipat dua, lebarnya dan panjangnya masing-masing 22 sentimeter.
02270a0072	Pada tutup dada itu mereka pasang empat baris batu permata. Di baris pertama batu delima, topas dan baiduri sepah.
02270b002c	Di baris kedua zamrud, batu nilam dan intan.
02270c0036	Di baris ketiga batu lazuardi, akik dan batu kecubung.
02270d0062	Di baris keempat batu pirus, yakut, dan ratna cempaka. Kedua belas permata itu diikat dengan emas.
02270e0076	Pada setiap permata diukir nama salah satu dari kedua belas anak Yakub sebagai tanda peringatan akan suku-suku Israel.
02270f0041	Lalu dibuat dua rantai dari emas murni yang dipilin seperti tali.
022710004d	Dibuat juga dua gelang emas yang dipasang di kedua ujung atas tutup dada itu.
0227110041	Lalu kedua rantai emas itu dimasukkan ke dalam gelang-gelang itu,
0227120085	dan kedua ujung lainnya diikat pada kedua bingkai, sehingga tutup dada itu dapat dihubungkan dengan bagian depan tali bahu dari efod.
0227130072	Lalu dibuat dua gelang emas lagi yang dipasang pada tutup dada itu, di ujung bawah bagian dalamnya yang kena efod.
02271400aa	Sesudah itu dibuat dua gelang emas yang dipasang di bagian depan kedua tali bahu efod, dekat sambungan jahitannya agak ke bawah, di atas ikat pinggang dari tenunan halus.
02271500b6	Sesuai dengan perintah TUHAN kepada Musa, gelang tutup dada dihubungkan dengan tali biru pada gelang efod, sehingga tutup dada itu tetap ada di atas ikat pinggang dan tidak terlepas.
0227160041	Jubah yang dipakai di atas efod, seluruhnya dibuat dari wol biru.
0227170047	Lubang lehernya diperkuat dengan pita tenunan supaya tidak mudah koyak.
02271800c5	Di sekeliling pinggir bawahnya dibuat hiasan buah delima dari kain linen halus dan wol biru, ungu dan merah, di selang-seling dengan kelintingan dari emas, sesuai dengan perintah TUHAN kepada Musa.
02271b0033	Mereka membuat kemeja untuk Harun dan anak-anaknya,
02271c0031	juga serban, destar dan celana pendek dari linen,
02271d0087	dan ikat pinggang dari kain linen halus, wol biru, ungu dan merah, dihias dengan sulaman, seperti yang diperintahkan TUHAN kepada Musa.
02271e0092	Juga dibuat hiasan dari emas murni, tanda bahwa mereka sudah dikhususkan untuk TUHAN. Pada hiasan itu terukir kata-kata "Dikhususkan untuk TUHAN".
02271f005a	Hiasan itu dipasang pada serban bagian depannya, sesuai dengan perintah TUHAN kepada Musa.
022720008d	Akhirnya selesailah semua pekerjaan membuat Kemah TUHAN. Orang Israel telah melakukan segalanya seperti yang diperintahkan TUHAN kepada Musa.
0227210079	Mereka membawa kepada Musa Kemah dengan segala perlengkapannya, kait-kaitnya, kayu-kayu lintang, tiang-tiang dan alasnya,
022722005b	tutup dari kulit kambing jantan yang diwarnai merah, tutup dari kulit halus, kain penudung.
022723004a	Peti Perjanjian yang berisi kedua batu dengan kayu pengusung dan tutupnya,
0227240032	meja dengan semua perlengkapannya dan roti sajian,
022725005d	kaki lampu dari emas murni, lampu-lampunya dengan segala perlengkapannya, minyak untuk lampu,
0227260040	mezbah dari emas, minyak upacara, dupa harum, tirai pintu Kemah,
0227270082	mezbah perunggu dengan anyaman kawat dari perunggu, kayu pengusung dan segala perlengkapannya; bak tempat membasuh dengan alasnya,
02272800ac	layar-layar untuk pelataran dan tiang-tiang serta alasnya, tirai pintu gerbang pelataran serta tali-temalinya, patok-patok Kemah; semua perabot yang dipakai di dalam Kemah,
022729007c	dan pakaian ibadat untuk para imam pada waktu mereka bertugas di Ruang Suci dan pakaian khusus untuk Harun dan anak-anaknya.
02272a005e	Orang Israel telah melakukan semua pekerjaan itu seperti yang diperintahkan TUHAN kepada Musa.
02272b0087	Musa memeriksa segalanya dan melihat bahwa mereka telah membuatnya tepat seperti yang diperintahkan TUHAN. Lalu Musa memberkati mereka.
022801001a	TUHAN berkata kepada Musa,
