0100000008	Kejadian
050429004e	Lalu Musa mengkhususkan tiga kota di seberang sungai Yordan, di sebelah timur,
05042a00d9	supaya orang yang membunuh sesamanya manusia dengan tidak sengaja dan dengan tidak memusuhinya lebih dahulu, dapat melarikan diri ke sana, sehingga ia, apabila melarikan diri ke salah satu kota itu, dapat tetap hidup.
05042b00a1	Kota-kota itu adalah: Bezer di padang gurun, di daerah dataran tinggi, untuk orang Ruben; Ramot di Gilead untuk orang Gad dan Golan di Basan untuk orang Manasye.
05042c003d	Inilah hukum Taurat yang dipaparkan Musa kepada orang Israel.
05042d007f	Inilah peringatan, ketetapan dan peraturan, yang dikatakan Musa kepada orang Israel, dalam perjalanan mereka keluar dari Mesir,
05042e00cd	di seberang sungai Yordan, di lembah di tentangan Bet-Peor, di negeri Sihon, raja orang Amori, yang diam di Hesybon, yang dipukul kalah oleh Musa dan orang Israel dalam perjalanan mereka keluar dari Mesir.
05042f0097	Negerinya diduduki mereka, dan juga negeri Og, raja negeri Basan: kedua-duanya raja orang Amori, yang diam di seberang sungai Yordan, di sebelah timur,
0504300054	mulai dari Aroer, di tepi sungai Arnon, sampai gunung Siryon--itulah gunung Hermon--
0504310072	serta seluruh dataran di seberang sungai Yordan, di sebelah timur, sampai Laut Araba, di kaki lereng gunung Pisga.
05050100e5	Musa memanggil seluruh orang Israel berkumpul dan berkata kepada mereka: "Dengarlah, hai orang Israel, ketetapan dan peraturan, yang pada hari ini kuperdengarkan kepadamu, supaya kamu mempelajarinya dan melakukannya dengan setia.
0505020042	TUHAN, Allah kita, telah mengikat perjanjian dengan kita di Horeb.
0505030096	Bukan dengan nenek moyang kita TUHAN mengikat perjanjian itu, tetapi dengan kita, kita yang ada di sini pada hari ini, kita semuanya yang masih hidup.
050504005a	TUHAN telah bicara dengan berhadapan muka dengan kamu di gunung dan di tengah-tengah api--
05050500a9	aku pada waktu itu berdiri antara TUHAN dan kamu untuk memberitahukan firman TUHAN kepadamu, sebab kamu takut kepada api dan kamu tidak naik ke gunung--dan Ia berfirman:
050506005b	Akulah TUHAN, Allahmu, yang membawa engkau keluar dari tanah Mesir, dari tempat perbudakan.
050507002b	Jangan ada padamu allah lain di hadapan-Ku.
0505080099	Jangan membuat bagimu patung yang menyerupai apapun yang ada di langit di atas, atau yang ada di bumi di bawah, atau yang ada di dalam air di bawah bumi.
05050900f4	Jangan sujud menyembah kepadanya atau beribadah kepadanya, sebab Aku, TUHAN Allahmu, adalah Allah yang cemburu, yang membalaskan kesalahan bapa kepada anak-anaknya dan kepada keturunan yang ketiga dan keempat dari orang-orang yang membenci Aku,
05050a008a	tetapi Aku menunjukkan kasih setia kepada beribu-ribu orang, yaitu mereka yang mengasihi Aku dan yang berpegang pada perintah-perintah-Ku.
05050b008d	Jangan menyebut nama TUHAN, Allahmu, dengan sembarangan, sebab TUHAN akan memandang bersalah orang yang menyebut nama-Nya dengan sembarangan.
05050c0063	Tetaplah ingat dan kuduskanlah hari Sabat, seperti yang diperintahkan kepadamu oleh TUHAN, Allahmu.
05050d0047	Enam hari lamanya engkau akan bekerja dan melakukan segala pekerjaanmu,
05050e0175	tetapi hari ketujuh adalah hari Sabat TUHAN, Allahmu; maka jangan melakukan sesuatu pekerjaan, engkau atau anakmu laki-laki, atau anakmu perempuan, atau hambamu laki-laki, atau hambamu perempuan, atau lembumu, atau keledaimu, atau hewanmu yang manapun, atau orang asing yang di tempat kediamanmu, supaya hambamu laki-laki dan hambamu perempuan berhenti seperti engkau juga.
05050f00f8	Sebab haruslah kauingat, bahwa engkaupun dahulu budak di tanah Mesir dan engkau dibawa keluar dari sana oleh TUHAN, Allahmu dengan tangan yang kuat dan lengan yang teracung; itulah sebabnya TUHAN, Allahmu, memerintahkan engkau merayakan hari Sabat.
05051000af	Hormatilah ayahmu dan ibumu, seperti yang diperintahkan kepadamu oleh TUHAN, Allahmu, supaya lanjut umurmu dan baik keadaanmu di tanah yang diberikan TUHAN, Allahmu, kepadamu.
0505110010	Jangan membunuh.
0505120010	Jangan berzinah.
050513000f	Jangan mencuri.
0505140030	Jangan mengucapkan saksi dusta tentang sesamamu.
05051500cb	Jangan mengingini isteri sesamamu, dan jangan menghasratkan rumahnya, atau ladangnya, atau hambanya laki-laki, atau hambanya perempuan, atau lembunya, atau keledainya, atau apapun yang dipunyai sesamamu.
05051600f4	Firman itulah yang diucapkan TUHAN kepada seluruh jemaahmu dengan suara nyaring di gunung, dari tengah-tengah api, awan dan kegelapan, dan tidak ditambahkan-Nya apa-apa lagi. Ditulis-Nya semuanya pada dua loh batu, lalu diberikan-Nya kepadaku."
05051700a7	"Ketika kamu mendengar suara itu dari tengah-tengah gelap gulita, sementara gunung itu menyala, maka kamu, yakni semua kepala sukumu dan para tua-tuamu, mendekati aku,
0505180105	dan berkata: Sesungguhnya, TUHAN, Allah kita, telah memperlihatkan kepada kita kemuliaan dan kebesaran-Nya, dan suara-Nya telah kita dengar dari tengah-tengah api. Pada hari ini telah kami lihat, bahwa Allah berbicara dengan manusia dan manusia itu tetap hidup.
05051900ab	Tetapi sekarang, mengapa kami harus mati? Sebab api yang besar ini akan menghanguskan kami. Apabila kami lebih lama lagi mendengar suara TUHAN, Allah kita, kami akan mati.
05051a008b	Sebab makhluk manakah yang telah mendengar suara dari Allah yang hidup yang berbicara dari tengah-tengah api, seperti kami dan tetap hidup?
05051b00dc	Mendekatlah engkau dan dengarkanlah segala yang difirmankan TUHAN, Allah kita, dan engkaulah yang mengatakan kepada kami segala yang difirmankan kepadamu oleh TUHAN, Allah kita, maka kami akan mendengar dan melakukannya.
05051c00d8	Ketika TUHAN mendengar perkataanmu itu, sedang kamu mengatakannya kepadaku, maka berfirmanlah TUHAN kepadaku: Telah Kudengar perkataan bangsa ini yang dikatakan mereka kepadamu. Segala yang dikatakan mereka itu baik.
05051d00a5	Kiranya hati mereka selalu begitu, yakni takut akan Daku dan berpegang pada segala perintah-Ku, supaya baik keadaan mereka dan anak-anak mereka untuk selama-lamanya!
05051e003a	Pergilah, katakanlah kepada mereka: Kembalilah ke kemahmu.
05051f0106	Tetapi engkau, berdirilah di sini bersama-sama dengan Aku, maka Aku hendak mengatakan kepadamu segenap perintah, yakni ketetapan dan peraturan, yang harus kauajarkan kepada mereka, supaya mereka melakukannya di negeri yang Kuberikan kepada mereka untuk dimiliki.
050520008f	Maka lakukanlah semuanya itu dengan setia, seperti yang diperintahkan kepadamu oleh TUHAN, Allahmu. Janganlah menyimpang ke kanan atau ke kiri.
05052100b1	Segenap jalan, yang diperintahkan kepadamu oleh TUHAN, Allahmu, haruslah kamu jalani, supaya kamu hidup, dan baik keadaanmu serta lanjut umurmu di negeri yang akan kamu duduki."
05060100aa	"Inilah perintah, yakni ketetapan dan peraturan, yang aku ajarkan kepadamu atas perintah TUHAN, Allahmu, untuk dilakukan di negeri, ke mana kamu pergi untuk mendudukinya,
05060200b1	supaya seumur hidupmu engkau dan anak cucumu takut akan TUHAN, Allahmu, dan berpegang pada segala ketetapan dan perintah-Nya yang kusampaikan kepadamu, dan supaya lanjut umurmu.
05060300f2	Maka dengarlah, hai orang Israel! Lakukanlah itu dengan setia, supaya baik keadaanmu, dan supaya kamu menjadi sangat banyak, seperti yang dijanjikan TUHAN, Allah nenek moyangmu, kepadamu di suatu negeri yang berlimpah-limpah susu dan madunya.
0506040041	Dengarlah, hai orang Israel: TUHAN itu Allah kita, TUHAN itu esa!
0506050068	Kasihilah TUHAN, Allahmu, dengan segenap hatimu dan dengan segenap jiwamu dan dengan segenap kekuatanmu.
0506060049	Apa yang kuperintahkan kepadamu pada hari ini haruslah engkau perhatikan,
05060700d1	haruslah engkau mengajarkannya berulang-ulang kepada anak-anakmu dan membicarakannya apabila engkau duduk di rumahmu, apabila engkau sedang dalam perjalanan, apabila engkau berbaring dan apabila engkau bangun.
050608006b	Haruslah juga engkau mengikatkannya sebagai tanda pada tanganmu dan haruslah itu menjadi lambang di dahimu,
0506090054	dan haruslah engkau menuliskannya pada tiang pintu rumahmu dan pada pintu gerbangmu.
05060a00ee	Maka apabila TUHAN, Allahmu, telah membawa engkau masuk ke negeri yang dijanjikan-Nya dengan sumpah kepada nenek moyangmu, yakni Abraham, Ishak dan Yakub, untuk memberikannya kepadamu--kota-kota yang besar dan baik, yang tidak kaudirikan;
05060b00dd	rumah-rumah, penuh berisi berbagai-bagai barang baik, yang tidak kauisi; sumur-sumur yang tidak kaugali; kebun-kebun anggur dan kebun-kebun zaitun, yang tidak kautanami--dan apabila engkau sudah makan dan menjadi kenyang,
05060c0083	maka berhati-hatilah, supaya jangan engkau melupakan TUHAN, yang telah membawa kamu keluar dari tanah Mesir, dari rumah perbudakan.
05060d0079	Engkau harus takut akan TUHAN, Allahmu; kepada Dia haruslah engkau beribadah dan demi nama-Nya haruslah engkau bersumpah.
05060e0052	Janganlah kamu mengikuti allah lain, dari antara allah bangsa-bangsa sekelilingmu,
05060f00ae	sebab TUHAN, Allahmu, adalah Allah yang cemburu di tengah-tengahmu, supaya jangan bangkit murka TUHAN, Allahmu, terhadap engkau, sehingga Ia memunahkan engkau dari muka bumi.
050610004a	Janganlah kamu mencobai TUHAN, Allahmu, seperti kamu mencobai Dia di Masa.
0506110070	Haruslah kamu berpegang pada perintah, peringatan dan ketetapan TUHAN, Allahmu, yang diperintahkan-Nya kepadamu;
05061200c5	haruslah engkau melakukan apa yang benar dan baik di mata TUHAN, supaya baik keadaanmu dan engkau memasuki dan menduduki negeri yang baik, yang dijanjikan TUHAN dengan sumpah kepada nenek moyangmu,
050613004d	dengan mengusir semua musuhmu dari hadapanmu, seperti yang difirmankan TUHAN.
0506140095	Apabila di kemudian hari anakmu bertanya kepadamu: Apakah peringatan, ketetapan dan peraturan itu, yang diperintahkan kepadamu oleh TUHAN Allah kita?
0506150098	maka haruslah engkau menjawab anakmu itu: Kita dahulu adalah budak Firaun di Mesir, tetapi TUHAN membawa kita keluar dari Mesir dengan tangan yang kuat.
0506160098	TUHAN membuat tanda-tanda dan mujizat-mujizat, yang besar dan yang mencelakakan, terhadap Mesir, terhadap Firaun dan seisi rumahnya, di depan mata kita;
05061700b1	tetapi kita dibawa-Nya keluar dari sana, supaya kita dapat dibawa-Nya masuk untuk memberikan kepada kita negeri yang telah dijanjikan-Nya dengan sumpah kepada nenek moyang kita.
05061800d8	TUHAN, Allah kita, memerintahkan kepada kita untuk melakukan segala ketetapan itu dan untuk takut akan TUHAN, Allah kita, supaya senantiasa baik keadaan kita dan supaya Ia membiarkan kita hidup, seperti sekarang ini.
05061900a0	Dan kita akan menjadi benar, apabila kita melakukan segenap perintah itu dengan setia di hadapan TUHAN, Allah kita, seperti yang diperintahkan-Nya kepada kita."
050701013a	"Apabila TUHAN, Allahmu, telah membawa engkau ke dalam negeri, ke mana engkau masuk untuk mendudukinya, dan Ia telah menghalau banyak bangsa dari depanmu, yakni orang Het, orang Girgasi, orang Amori, orang Kanaan, orang Feris, orang Hewi dan orang Yebus, tujuh bangsa, yang lebih banyak dan lebih kuat dari padamu,
05070200ea	dan TUHAN, Allahmu, telah menyerahkan mereka kepadamu, sehingga engkau memukul mereka kalah, maka haruslah kamu menumpas mereka sama sekali. Janganlah engkau mengadakan perjanjian dengan mereka dan janganlah engkau mengasihani mereka.
05070300bc	Janganlah juga engkau kawin-mengawin dengan mereka: anakmu perempuan janganlah kauberikan kepada anak laki-laki mereka, ataupun anak perempuan mereka jangan kauambil bagi anakmu laki-laki;
05070400c9	sebab mereka akan membuat anakmu laki-laki menyimpang dari pada-Ku, sehingga mereka beribadah kepada allah lain. Maka murka TUHAN akan bangkit terhadap kamu dan Ia akan memunahkan engkau dengan segera.
05070500d8	Tetapi beginilah kamu lakukan terhadap mereka: mezbah-mezbah mereka haruslah kamu robohkan, tugu-tugu berhala mereka kamu remukkan, tiang-tiang berhala mereka kamu hancurkan dan patung-patung mereka kamu bakar habis.
05070600a8	Sebab engkaulah umat yang kudus bagi TUHAN, Allahmu; engkaulah yang dipilih oleh TUHAN, Allahmu, dari segala bangsa di atas muka bumi untuk menjadi umat kesayangan-Nya.
05070700a9	Bukan karena lebih banyak jumlahmu dari bangsa manapun juga, maka hati TUHAN terpikat olehmu dan memilih kamu--bukankah kamu ini yang paling kecil dari segala bangsa? --
05070800f2	tetapi karena TUHAN mengasihi kamu dan memegang sumpah-Nya yang telah diikrarkan-Nya kepada nenek moyangmu, maka TUHAN telah membawa kamu keluar dengan tangan yang kuat dan menebus engkau dari rumah perbudakan, dari tangan Firaun, raja Mesir.
05070900ec	Sebab itu haruslah kauketahui, bahwa TUHAN, Allahmu, Dialah Allah, Allah yang setia, yang memegang perjanjian dan kasih setia-Nya terhadap orang yang kasih kepada-Nya dan berpegang pada perintah-Nya, sampai kepada beribu-ribu keturunan,
05070a00e3	tetapi terhadap diri setiap orang dari mereka yang membenci Dia, Ia melakukan pembalasan dengan membinasakan orang itu. Ia tidak bertangguh terhadap orang yang membenci Dia. Ia langsung mengadakan pembalasan terhadap orang itu.
05070b0078	Jadi berpeganglah pada perintah, yakni ketetapan dan peraturan yang kusampaikan kepadamu pada hari ini untuk dilakukan."
05070c00ef	"Dan akan terjadi, karena kamu mendengarkan peraturan-peraturan itu serta melakukannya dengan setia, maka terhadap engkau TUHAN, Allahmu, akan memegang perjanjian dan kasih setia-Nya yang diikrarkan-Nya dengan sumpah kepada nenek moyangmu.
05070d0129	Ia akan mengasihi engkau, memberkati engkau dan membuat engkau banyak; Ia akan memberkati buah kandunganmu dan hasil bumimu, gandum dan anggur serta minyakmu, anak lembu sapimu dan anak kambing dombamu, di tanah yang dijanjikan-Nya dengan sumpah kepada nenek moyangmu untuk memberikannya kepadamu.
05070e0090	Engkau akan diberkati lebih dari pada segala bangsa: tidak akan ada laki-laki atau perempuan yang mandul di antaramu, ataupun di antara hewanmu.
05070f00d8	TUHAN akan menjauhkan segala penyakit dari padamu, dan tidak ada satu dari wabah celaka yang kaukenal di Mesir itu akan ditimpakan-Nya kepadamu, tetapi Ia akan mendatangkannya kepada semua orang yang membenci engkau.
05071000d7	Engkau harus melenyapkan segala bangsa yang diserahkan kepadamu oleh TUHAN, Allahmu; janganlah engkau merasa sayang kepada mereka dan janganlah beribadah kepada allah mereka, sebab hal itu akan menjadi jerat bagimu.
0507110083	Jika sekiranya engkau berkata dalam hatimu: Bangsa-bangsa ini lebih banyak dari padaku, bagaimanakah aku dapat menghalaukan mereka?
0507120080	maka janganlah engkau takut kepada mereka; ingatlah selalu apa yang dilakukan TUHAN, Allahmu, terhadap Firaun dan seluruh Mesir,
0507130120	yakni cobaan-cobaan besar, yang kaulihat dengan matamu sendiri, tanda-tanda dan mujizat-mujizat, tangan yang kuat dan lengan yang teracung, yang dipakai TUHAN, Allahmu, untuk membawa engkau keluar. Demikianlah juga akan dilakukan TUHAN, Allahmu, terhadap segala bangsa yang engkau takuti.
05071400a2	Lagipula TUHAN, Allahmu, akan melepaskan tabuhan menyerbu mereka, sampai habis binasa orang-orang yang masih tinggal dan yang menyembunyikan diri terhadap engkau.
050715006c	Janganlah gemetar karena mereka, sebab TUHAN, Allahmu, ada di tengah-tengahmu, Allah yang besar dan dahsyat.
05071600d0	TUHAN, Allahmu, akan menghalau bangsa-bangsa ini dari hadapanmu sedikit demi sedikit; engkau tidak boleh membinasakan mereka dengan segera, supaya jangan binatang hutan menjadi terlalu banyak melebihi engkau.
050717007a	Demikianlah TUHAN, Allahmu, akan menyerahkan mereka kepadamu dan akan mengacaukan mereka sama sekali, sampai mereka punah.
05071800cb	Raja-raja mereka akan diserahkan-Nya ke dalam tanganmu, sehingga engkau menghapuskan nama mereka dari kolong langit; tidak akan ada yang dapat bertahan menghadapi engkau, sampai engkau memunahkan mereka.
05071900eb	Patung-patung allah mereka haruslah kamu bakar habis; perak dan emas yang ada pada mereka janganlah kauingini dan kauambil bagi dirimu sendiri, supaya jangan engkau terjerat karenanya, sebab hal itu adalah kekejian bagi TUHAN, Allahmu.
05071a00e5	Dan janganlah engkau membawa sesuatu kekejian masuk ke dalam rumahmu, sehingga engkaupun ditumpas seperti itu; haruslah engkau benar-benar merasa jijik dan keji terhadap hal itu, sebab semuanya itu dikhususkan untuk dimusnahkan."
05080100ea	"Segenap perintah, yang kusampaikan kepadamu pada hari ini, haruslah kamu lakukan dengan setia, supaya kamu hidup dan bertambah banyak dan kamu memasuki serta menduduki negeri yang dijanjikan TUHAN dengan sumpah kepada nenek moyangmu.
050802011b	Ingatlah kepada seluruh perjalanan yang kaulakukan atas kehendak TUHAN, Allahmu, di padang gurun selama empat puluh tahun ini dengan maksud merendahkan hatimu dan mencobai engkau untuk mengetahui apa yang ada dalam hatimu, yakni, apakah engkau berpegang pada perintah-Nya atau tidak.
0508030118	Jadi Ia merendahkan hatimu, membiarkan engkau lapar dan memberi engkau makan manna, yang tidak kaukenal dan yang juga tidak dikenal oleh nenek moyangmu, untuk membuat engkau mengerti, bahwa manusia hidup bukan dari roti saja, tetapi manusia hidup dari segala yang diucapkan TUHAN.
050804006d	Pakaianmu tidaklah menjadi buruk di tubuhmu dan kakimu tidaklah menjadi bengkak selama empat puluh tahun ini.
0508050067	Maka haruslah engkau insaf, bahwa TUHAN, Allahmu, mengajari engkau seperti seseorang mengajari anaknya.
0508060091	Oleh sebab itu haruslah engkau berpegang pada perintah TUHAN, Allahmu, dengan hidup menurut jalan yang ditunjukkan-Nya dan dengan takut akan Dia.
05080700a7	Sebab TUHAN, Allahmu, membawa engkau masuk ke dalam negeri yang baik, suatu negeri dengan sungai, mata air dan danau, yang keluar dari lembah-lembah dan gunung-gunung;
050808008a	suatu negeri dengan gandum dan jelainya, dengan pohon anggur, pohon ara dan pohon delimanya; suatu negeri dengan pohon zaitun dan madunya;
05080900c9	suatu negeri, di mana engkau akan makan roti dengan tidak usah berhemat, di mana engkau tidak akan kekurangan apapun; suatu negeri, yang batunya mengandung besi dan dari gunungnya akan kaugali tembaga.
05080a0088	Dan engkau akan makan dan akan kenyang, maka engkau akan memuji TUHAN, Allahmu, karena negeri yang baik yang diberikan-Nya kepadamu itu.
05080b00a8	Hati-hatilah, supaya jangan engkau melupakan TUHAN, Allahmu, dengan tidak berpegang pada perintah, peraturan dan ketetapan-Nya, yang kusampaikan kepadamu pada hari ini;
05080c0067	dan supaya, apabila engkau sudah makan dan kenyang, mendirikan rumah-rumah yang baik serta mendiaminya,
05080d0093	dan apabila lembu sapimu dan kambing dombamu bertambah banyak dan emas serta perakmu bertambah banyak, dan segala yang ada padamu bertambah banyak,
05080e0088	jangan engkau tinggi hati, sehingga engkau melupakan TUHAN, Allahmu, yang membawa engkau keluar dari tanah Mesir, dari rumah perbudakan,
05080f00ea	dan yang memimpin engkau melalui padang gurun yang besar dan dahsyat itu, dengan ular-ular yang ganas serta kalajengkingnya dan tanahnya yang gersang, yang tidak ada air. Dia yang membuat air keluar bagimu dari gunung batu yang keras,
05081000be	dan yang di padang gurun memberi engkau makan manna, yang tidak dikenal oleh nenek moyangmu, supaya direndahkan-Nya hatimu dan dicobai-Nya engkau, hanya untuk berbuat baik kepadamu akhirnya.
0508110076	Maka janganlah kaukatakan dalam hatimu: Kekuasaanku dan kekuatan tangankulah yang membuat aku memperoleh kekayaan ini.
05081200f0	Tetapi haruslah engkau ingat kepada TUHAN, Allahmu, sebab Dialah yang memberikan kepadamu kekuatan untuk memperoleh kekayaan, dengan maksud meneguhkan perjanjian yang diikrarkan-Nya dengan sumpah kepada nenek moyangmu, seperti sekarang ini.
05081300c4	Tetapi jika engkau sama sekali melupakan TUHAN, Allahmu, dan mengikuti allah lain, beribadah kepadanya dan sujud menyembah kepadanya, aku memperingatkan kepadamu hari ini, bahwa kamu pasti binasa;
0508140089	seperti bangsa-bangsa, yang dibinasakan TUHAN di hadapanmu, kamupun akan binasa, sebab kamu tidak mau mendengarkan suara TUHAN, Allahmu."
05090100ee	"Dengarlah, hai orang Israel! Engkau akan menyeberangi sungai Yordan pada hari ini untuk memasuki serta menduduki daerah bangsa-bangsa yang lebih besar dan lebih kuat dari padamu, yakni kota-kota besar yang kubu-kubunya sampai ke langit--
050902009e	suatu bangsa yang besar dan tinggi, orang Enak, yang kaukenal dan yang tentangnya kaudengar orang berkata: Siapakah yang dapat bertahan menghadapi orang Enak?
0509030133	Maka ketahuilah pada hari ini, bahwa TUHAN, Allahmu, Dialah yang berjalan di depanmu laksana api yang menghanguskan; Dia akan memunahkan mereka dan Dia akan menundukkan mereka di hadapanmu. Demikianlah engkau akan menghalau dan membinasakan mereka dengan segera, seperti yang dijanjikan kepadamu oleh TUHAN.
05090400fd	Janganlah engkau berkata dalam hatimu, apabila TUHAN, Allahmu, telah mengusir mereka dari hadapanmu: Karena jasa-jasakulah TUHAN membawa aku masuk menduduki negeri ini; padahal karena kefasikan bangsa-bangsa itulah TUHAN menghalau mereka dari hadapanmu.
0509050133	Bukan karena jasa-jasamu atau karena kebenaran hatimu engkau masuk menduduki negeri mereka, tetapi karena kefasikan bangsa-bangsa itulah, TUHAN, Allahmu, menghalau mereka dari hadapanmu, dan supaya TUHAN menepati janji yang diikrarkan-Nya dengan sumpah kepada nenek moyangmu, yakni Abraham, Ishak dan Yakub.
05090600a8	Jadi ketahuilah, bahwa bukan karena jasa-jasamu TUHAN, Allahmu, memberikan kepadamu negeri yang baik itu untuk diduduki. Sesungguhnya engkau bangsa yang tegar tengkuk!"
05090700b7	"Ingatlah, janganlah lupa, bahwa engkau sudah membuat TUHAN, Allahmu, gusar di padang gurun. Sejak engkau keluar dari tanah Mesir sampai kamu tiba di tempat ini, kamu menentang TUHAN.
050908006b	Di Horeb kamu sudah membuat TUHAN gusar, bahkan TUHAN begitu murka kepadamu, hingga Ia mau memunahkan kamu.
05090900de	Setelah aku mendaki gunung untuk menerima loh-loh batu, loh-loh perjanjian yang diikat TUHAN dengan kamu, maka aku tinggal empat puluh hari empat puluh malam lamanya di gunung itu; roti tidak kumakan dan air tidak kuminum.
05090a00b8	TUHAN memberikan kepadaku kedua loh batu, yang ditulisi jari Allah, di mana ada segala firman yang diucapkan TUHAN kepadamu di gunung itu dari tengah-tengah api, pada hari perkumpulan.
05090b007c	Sesudah lewat empat puluh hari empat puluh malam itu, maka TUHAN memberikan kepadaku kedua loh batu, loh-loh perjanjian itu.
05090c00fe	Lalu berfirmanlah TUHAN kepadaku: Bangunlah, turunlah dengan segera dari sini, sebab bangsamu, yang kaubawa keluar dari Mesir, telah berlaku busuk; mereka segera menyimpang dari jalan yang Kuperintahkan kepada mereka; mereka telah membuat patung tuangan.
05090d0071	Lagi TUHAN berfirman kepadaku: Telah Kulihat bangsa ini dan sesungguhnya mereka adalah bangsa yang tegar tengkuk.
05090e00c7	Biarkanlah Aku, maka Aku akan memunahkan mereka dan menghapuskan nama mereka dari kolong langit; tetapi dari padamu akan Kubuat suatu bangsa yang lebih berkuasa dan lebih banyak dari pada bangsa ini.
05090f007b	Setelah itu berpalinglah aku, lalu turun dari gunung yang sedang menyala itu dengan kedua loh perjanjian di kedua tanganku.
05091000d1	Lalu aku menyaksikan, bahwa sesungguhnya kamu telah berbuat dosa terhadap TUHAN, Allahmu: kamu telah membuat suatu anak lembu tuangan, kamu telah segera menyimpang dari jalan yang diperintahkan TUHAN kepadamu.
0509110066	Maka kupeganglah kuat-kuat kedua loh itu, kulemparkan dari kedua tanganku, kupecahkan di depan matamu.
0509120121	Sesudah itu aku sujud di hadapan TUHAN, empat puluh hari empat puluh malam lamanya, seperti yang pertama kali--roti tidak kumakan dan air tidak kuminum--karena segala dosa yang telah kamu perbuat, yakni kamu melakukan apa yang jahat di mata TUHAN, sehingga kamu menimbulkan sakit hati-Nya.
050913009e	Sebab aku gentar karena murka dan kepanasan amarah yang ditimpakan TUHAN kepadamu, sampai Ia mau memunahkan kamu. Tetapi sekali inipun TUHAN mendengarkan aku.
0509140075	Juga kepada Harun TUHAN begitu murka, hingga Ia mau membinasakannya; maka pada waktu itu aku berdoa untuk Harun juga.
05091500d5	Tetapi hasil perbuatanmu yang berdosa, yakni anak lembu itu, kuambil, kubakar, kuhancurkan dan kugiling baik-baik sampai halus, menjadi abu, lalu abunya kulemparkan ke dalam sungai yang mengalir turun dari gunung.
050916004d	Juga di Tabera, di Masa dan di Kibrot-Taawa, kamu selalu membuat TUHAN gusar.
05091700ed	Dan ketika TUHAN menyuruh kamu pergi dari Kadesh-Barnea dengan berfirman: Majulah dan dudukilah negeri yang Kuberikan kepadamu itu, maka kamu menentang titah TUHAN, Allahmu; kamu tidak percaya kepada-Nya dan tidak mendengarkan suara-Nya.
0509180035	Bahkan kamu menentang TUHAN, sejak aku mengenal kamu.
050919008b	Maka aku sujud di hadapan TUHAN--empat puluh hari empat puluh malam lamanya aku sujud--, karena TUHAN telah berfirman akan memunahkan kamu,
05091a00bf	dan aku berdoa kepada TUHAN, kataku: Ya, Tuhan ALLAH, janganlah musnahkan umat milik-Mu sendiri, yang Kautebus dengan kebesaran-Mu, dan yang Kaubawa keluar dari Mesir dengan tangan yang kuat.
05091b008c	Ingatlah kepada hamba-hamba-Mu, kepada Abraham, Ishak dan Yakub; janganlah perhatikan ketegaran bangsa ini ataupun kefasikannya dan dosanya,
05091c0106	supaya negeri, dari mana Engkau membawa kami keluar, jangan berkata: Sebab TUHAN tidak dapat membawa mereka masuk ke negeri yang dijanjikan-Nya kepada mereka, dan sebab benci-Nya kepada mereka, maka Ia membawa mereka keluar untuk membunuh mereka di padang gurun.
05091d0081	Bukankah mereka itu umat milik-Mu sendiri, yang Kaubawa keluar dengan kekuatan-Mu yang besar dan dengan lengan-Mu yang teracung?"
050a0100ab	"Pada waktu itu berfirmanlah TUHAN kepadaku: Pahatlah dua loh batu yang serupa dengan yang mula-mula, naiklah kepada-Ku ke atas gunung, dan buatlah sebuah tabut dari kayu;
050a0200a3	maka Aku akan menuliskan pada loh itu firman-firman yang ada pada loh yang mula-mula yang telah kaupecahkan itu, kemudian letakkanlah kedua loh ke dalam tabut itu.
050a0300a8	Maka aku membuat sebuah tabut dari kayu penaga dan memahat dua loh batu yang serupa dengan yang mula-mula; kemudian aku mendaki gunung dengan kedua loh itu di tanganku.
050a0400e2	Dan pada loh itu Ia menuliskan, sama dengan tulisan yang mula-mula, Kesepuluh Firman yang telah diucapkan TUHAN kepadamu di atas gunung dari tengah-tengah api pada hari kamu berkumpul; sesudah itu TUHAN memberikannya kepadaku.
050a0500ae	Lalu aku turun kembali dari atas gunung, dan aku meletakkan loh-loh itu ke dalam tabut yang telah kubuat; dan di situlah tempatnya, seperti yang diperintahkan TUHAN kepadaku.
050a06009a	Maka orang Israel berangkat dari Beerot Bene-Yaakan ke Mosera; di sanalah Harun mati dan dikuburkan; lalu Eleazar, anaknya, menjadi imam menggantikan dia.
050a070065	Dari sana mereka berangkat ke Gudgod, dan dari Gudgod ke Yotbata, suatu daerah yang banyak sungainya.
050a0800a7	Pada waktu itu TUHAN menunjuk suku Lewi untuk mengangkut tabut perjanjian TUHAN, untuk bertugas melayani TUHAN dan untuk memberi berkat demi nama-Nya, sampai sekarang.
050a0900b1	Sebab itu suku Lewi tidak mempunyai bagian milik pusaka bersama-sama dengan saudara-saudaranya; Tuhanlah milik pusakanya, seperti yang difirmankan kepadanya oleh TUHAN, Allahmu.
050a0a00b8	Maka aku ini berdiri di atas gunung seperti yang pertama kali, empat puluh hari empat puluh malam lamanya, dan sekali inipun TUHAN mendengarkan aku: TUHAN tidak mau memusnahkan engkau.
050a0b00dd	Lalu berfirmanlah TUHAN kepadaku: Bersiaplah, pergilah berjalan di depan bangsa itu, supaya mereka memasuki dan menduduki negeri yang Kujanjikan dengan sumpah kepada nenek moyang mereka untuk memberikannya kepada mereka."
