2800000006	Máté
280c1c007e	Ha pedig én Istennek Lelke által űzöm ki az ördögöket, akkor kétség nélkül elérkezett hozzátok az Isten országa.
280c1d00a5	Vagy hogyan mehet be valaki a hatalmasnak házába, és rabolhatja el annak kincseit, hacsak meg nem kötözi előbb a hatalmast, és akkor rabolja ki annak házát?
280c1e0041	Aki nincs velem, ellenem van, és aki nem gyűjt velem, tékozol.
280c1f008f	Azt mondom ezért nektek: Minden bűn és káromlás megbocsáttatik az embereknek, de a Lélek káromlása nem bocsáttatik meg az embereknek.
280c200096	Még aki az Emberfia ellen szól, annak is megbocsáttatik, de aki a Szentlélek ellen szól, annak sem ezen, sem a másvilágon meg nem bocsáttatik.
280c2100a5	Vagy legyetek jó fák, és teremjetek jó gyümölcsöt, vagy legyetek romlott fák, és teremjetek romlott gyümölcsöt, mert gyümölcséről ismerik meg a fát.
280c220081	Mérges kígyóknak fajzatai, hogyan szólhattok jókat, holott gonoszak vagytok? Mert a szívnek teljességéből szól a száj.
280c230085	A jó ember a szívének jó kincseiből hozza elő a jókat, a gonosz ember a szívének gonosz kincseiből hozza elő a gonoszokat.
280c240075	De mondom néktek: minden hivalkodó beszédért, amit beszélnek az emberek, számot adnak majd az ítélet napján.
280c250058	Mert a beszédedből ismernek meg igaznak, és a beszédedből ismernek meg hamisnak.“
280c260081	Ekkor feleltek neki némelyek az írástudók és farizeusok közül, és ezt mondták: „Mester, jelt akarunk látni tőled.“
280c27008e	Ő pedig ezt felelte nekik: „E gonosz és parázna nemzetség jelt kíván, és nem adatik neki más jel, csak a Jónás prófétának jele.
280c280093	Mert amint Jónás három éjjel és három nap volt a cethal gyomrában, úgy az Emberfia is három nap és három éjjel lesz a föld gyomrában.
280c2900bc	Ninive férfiai az ítéletkor együtt támadnak majd fel ezzel a nemzetséggel, és elítélik ezt, mert ők megtértek Jónás prédikálására; És íme, itt nagyobb van, mint Jónás.
280c2a00d5	Dél királynője felkel majd az ítéletkor ezzel a nemzetséggel együtt, és elítéli ezt, mert ő eljött a földnek széléről, hogy hallhassa Salamon bölcsességét; És íme, nagyobb van itt Salamonnál.
280c2b0076	Mikor pedig a tisztátalan lélek kimegy az emberből, víz nélküli helyeken jár nyugalmat keresve, és nem talál.
280c2c0080	Akkor ezt mondja: Visszatérek a házamba, ahonnan kijöttem. És odamenve üresen, kisöpörve és fölékesítve találja azt.
280c2d00da	Akkor elmegy, és vesz maga mellé másik hét lelket, gonoszabbakat magánál, és bemenve ott laknak, és ennek az embernek utolsó állapota gonoszabb lesz az elsőnél. Így lesz ezzel a gonosz nemzetséggel is.“
280c2e0074	Mikor pedig még beszélt a sokaságnak, íme, anyja és testvérei álltak meg odakinn, és beszélni akartak vele.
280c2f0064	Szólt neki valaki: „Íme, anyád és testvéreid odakinn állnak, és beszélni akarnak veled.“
280c30005b	Ő pedig így felelt annak, aki szólt: „Ki az én anyám, és kik az én testvéreim?“
280c310065	És kezét kinyújtva tanítványai felé, ezt mondta: „Íme, az én anyám és az én testvéreim!
280c320066	Mert aki cselekszi az én mennyei Atyám akaratát, az nekem fivérem, nővérem és az én anyám.“
280d010043	Azon a napon kiment Jézus a házból, és leült a tenger mellett.
280d02006e	Nagy sokaság gyűlt köréje, akkora, hogy bement a hajóba leülni, az egész sokaság pedig a parton állt.
280d030047	Sokat beszélt nekik példázatokban: „Íme, kiment a magvető vetni,
280d04005b	és amikor vetett, némely mag az útszélre esett, s jöttek a madarak, felkapdosták azt.
280d050072	Némely pedig a köves helyre esett, ahol nem sok föld volt, és hamar kikelt, mivel nem volt mélyen a földben.
280d06004b	De amikor a nap felkelt, kiégett, és mivel nem volt gyökere, elszáradt.
280d070057	Némelyek pedig tövisek közé estek, és a tövisek fölnövekedve megfojtották azt.
280d080085	Némely pedig a jó földbe esett, és gyümölcsöt termett, némely százannyit, némely hatvanannyit, némely pedig harmincannyit.
280d09002c	Akinek van füle a hallásra, hallja meg!“
280d0a006a	A tanítványok odamentek hozzá, és ezt mondták neki: „Miért beszélsz hozzájuk példázatokban?“
280d0b0090	Ő pedig ezt felelte nekik: „Azért, mert nektek megadatott, hogy megértsétek a mennyek országának titkait, őnekik pedig nem adatott meg.
280d0c0066	Mert akinek van, annak adatik, és bővölködik, de akinek nincs, attól az is elvétetik, amije van.
280d0d006d	Azért szólok nekik példázatokban, mert látván nem látnak, és hallván nem hallanak, sem nem értenek.
280d0e0096	És beteljesedik rajtuk Ézsaiás jövendölése, amely ezt mondja: »Hallván halljatok, és ne értsetek, és látván lássatok, és ne ismerjetek!
280d0f00f5	Mert megkövéredett e nép szíve, füleikkel nehezen hallottak, és szemeiket behunyták, hogy valami módon ne lássanak szemeikkel, ne halljanak füleikkel, és ne értsenek szívükkel, és meg ne térjenek, és meg ne gyógyítsam őket.«
280d100049	A ti szemeitek boldogok, hogy látnak, és a ti füleitek, hogy hallanak.
280d1100a3	Mert bizony mondom néktek, hogy sok próféta és igaz kívánta látni, amiket ti láttok, és nem látták, és hallani, amiket ti hallotok, és nem hallották.
280d120032	Ti tehát halljátok meg a magvető példázatát!
280d1300aa	Ha valaki hallja az igét a mennyeknek országáról, és nem érti, eljön a gonosz, és elkapja azt, ami az ő szívébe van elvetve. Ez az, amelyik az útfélre esett.
280d140061	Amelyik pedig a köves helyre esett, az az, aki hallja az igét, és mindjárt örömmel fogadja,
280d150089	de nincs gyökere benne, hanem csak ideigvaló, mihelyst pedig nyomorgatás vagy üldözés támad az ige miatt, azonnal megbotránkozik.
280d1600aa	Amelyik pedig a tövisek közé esett, az az, aki hallja az igét, de a világnak gondja és a gazdagságnak csalárdsága elfojtja az igét, és nem terem gyümölcsöt.
280d1700b6	Amely pedig a jó földbe esett, az az, aki hallja is, és érti is az igét, gyümölcsöt is terem, némelyik százannyit, némelyik hatvanannyit, némelyik pedig harmincannyit.“
280d180078	Más példázatot is mondott nekik: „Hasonlatos a mennyek országa ahhoz az emberhez, aki földjébe jó magot vetett.
280d190060	De amikor az emberek aludtak, eljött az ellensége, konkolyt vetett a búza közé, és elment.
280d1a0061	Amikor pedig felnövekedett a vetés, és gyümölcsöt termett, akkor meglátszott a konkoly is.
280d1b0087	A gazda szolgái ekkor odamentek hozzá, és ezt mondták neki: Uram, nem tiszta magot vetettél földedbe? Honnan van benne a konkoly?
280d1c0097	Ő pedig ezt mondta nekik: Valamelyik ellenség cselekedte azt. A szolgái ezt mondták neki: Akarod-e, hogy elmenjünk, és összeszedjük a konkolyt?
280d1d0073	Ő pedig azt mondta: Nem. Mert amikor összeszeditek a konkolyt, azzal együtt talán a búzát is kiszaggatjátok.
280d1e00f5	Hagyjátok, hogy együtt nőjön mindkettő az aratásig, és az aratás idején azt mondom majd az aratóknak: Szedjétek össze először a konkolyt, és kössétek kévébe, hogy elégessétek; a búzát pedig takarítsátok be csűrömbe.“
280d1f0084	Más példázatot is mondott nekik: „Hasonlatos a mennyeknek országa a mustármaghoz, melyet fog az ember, és elvet a mezejébe.
280d2000a5	Az kisebb ugyan minden magnál, de amikor felnő, nagyobb a veteményeknél, és fává lesz, úgyhogy reá szállnak az égi madarak, és fészket raknak ágain.“
280d2100ab	Más példázatot is mondott nekik: „Hasonlatos a mennyeknek országa a kovászhoz, amelyet fog az asszony, három mérce lisztbe belekever, amitől az egész megkel.“
280d220069	Mindezeket példázatokban mondta Jézus a sokaságnak, és példázat nélkül semmit sem mondott nekik,
280d230095	hogy beteljesedjék, amit a próféta mondott: „Megnyitom a számat példázatokra, és feltárom, amik e világ alapítása óta rejtve vannak.“
280d2400c0	Ekkor elbocsátotta Jézus a sokaságot, és bement a házba. Tanítványai odamentek hozzá, és ezt mondták: „Magyarázd meg nekünk a szántóföld konkolyáról szóló példázatot!“
280d250044	Ő pedig így felelt nekik: „Aki a jó magot veti, az az Emberfia,
280d260067	a szántóföld pedig a világ, a jó mag az Isten országának fiai, a konkoly pedig a gonosznak fiai.
280d270070	Az ellenség, aki a konkolyt vetette, az ördög; az aratás pedig a világ vége, az aratók pedig az angyalok.
280d28004d	Ahogyan összegyűjtik a konkolyt és megégetik, úgy lesz a világ végén.
280d290090	Az Emberfia elküldi angyalait, és az országából összegyűjtenek minden botránkozást okozót és mindenkit, aki gonoszságot cselekedett,
280d2a0048	és tüzes kemencébe vetik őket: ott lesz sírás és fogcsikorgatás.
280d2b0065	Akkor az igazak fénylenek, mint a nap Atyjuk országában. Akinek van füle a hallásra, hallja meg!
280d2c00c9	„Ismét hasonlatos a mennyek országa a szántóföldben elrejtett kincshez, amelyet megtalált az ember, elrejti, örömében elmegy, eladja mindenét, amije van, és megveszi azt a szántóföldet.
280d2d0052	Ismét hasonlatos a mennyek országa a kereskedőhöz, aki igazgyöngyöket keres.
280d2e0051	Amikor egy drágagyöngyöt talál, mindenételadja, amije van, és megveszi azt.
280d2f006f	Szintén hasonlatos a mennyeknek országa a tengerbe vetett hálóhoz, amely mindenféle fajta halat összefog.
280d30007c	Miután megtelik, kivonják a partra a halászok, és leülve, a jókat edényekbe gyűjtik, a hitványakat pedig kidobják.
280d310070	Így lesz a világnak végén is: Eljönnek majd az angyalok, és kiválasztják a gonoszakat az igazak közül.
280d32004b	És tüzes kemencébe vetik őket, ott lesz sírás és fogcsikorgatás.“
280d330075	Azután Jézus ezt kérdezte tőlük: „Megértettétek mindezeket?“ Azok ezt mondták: „Megértettük, Uram.“
280d3400c1	Ő pedig ezt mondta nekik: „Ezért minden írástudó, aki ismeri a mennyek országáról szóló tanítást, hasonlatos az olyan gazdához, aki ót és újat hoz elő éléskamrájából.“
280d350051	És történt, hogy amikor Jézus elmondta ezeket a példázatokat, elment onnan.
280d360097	És hazájába érve, tanította őket a zsinagógában, úgy, hogy álmélkodtak, és ezt mondták: „Honnan van ebben ez a bölcsesség és az erő?
280d370090	Nem ő annak az ácsmesternek a fia? Nem az ő anyját hívják Máriának, és az ő testvéreit Jakabnak, Józsefnek, Simonnak és Júdásnak?
280d38004a	És nővérei is nem mind közöttünk élnek? Honnan vette mindezeket?“
280d39008b	És megbotránkoztak őbenne. Jézus pedig ezt mondta nekik: „A prófétának csak az ő hazájában és házában nincs tisztessége.“
280d3a0034	Nem is tett ott sok csodát a hitetlenségük miatt.
280e010048	Abban az időben Heródes negyedes fejedelem meghallotta Jézus hírét,
280e02007b	és ezt mondta szolgáinak: „Ez Keresztelő János: ő támadt fel a halálból, és ezért működnek benne az erők.“
280e030086	Mert Heródes elfogatta Jánost, és megkötözve tömlöcbe vettette Heródiás kedvéért, testvérének, Fülöpnek feleségéért.
280e040042	Mert azt mondta neki János: „Nem szabad neked ővele élned.“
280e050056	De amikor meg akarta öletni, félt a sokaságtól, mert prófétának tartották őt.
280e060078	Hanem amikor Heródes születésnapját ünnepelték, táncolt Heródes lánya őelőttük, és megtetszett Heródesnek.
280e070036	Ezért esküvel fogadta, hogy amit kér, megadja neki.
280e08006d	A leány pedig anyja rábeszélésére ezt mondta: „Add ide nekem egy tálban Keresztelő János fejét.“
280e09005b	Megszomorodott a király, de esküje és a vendégek miatt megparancsolta, hogy adják oda.
280e0a003a	Elküldetett, hogy fejét vegyék Jánosnak a tömlöcben,
280e0b0056	elhozták a fejét egy tálban, odaadták a leánynak, ő pedig odavitte az anyjának.
280e0c0070	Azután eljöttek tanítványai, elvitték a testet, és eltemették. Majd elmentek, és jelentették Jézusnak.
280e0d008b	Amikor ezt meghallotta Jézus, elment onnan hajón egy puszta helyre egyedül. A sokaság ezt meghallva gyalog követte őt a városokból.
280e0e0065	Amikor kiszállt Jézus, látta a nagy sokaságot, megszánta őket, és betegeiket meggyógyította.
280e0f00d7	Mikor pedig esteledett, odamentek hozzá tanítványai, és ezt mondták: „Puszta hely ez, és az idő már későre jár. Bocsásd el a sokaságot, hogy menjenek el a falvakba, és vegyenek maguknak eleséget.“
280e100057	Jézus pedig ezt mondta nekik: „Nem szükséges elmenniük, adjatok nekik ti enni.“
280e110057	Azok pedig ezt mondták neki: „Nincsen itt csupán öt kenyerünk és két halunk.“
280e120031	Ő pedig ezt mondta: „Hozzátok ide hozzám.“
280e1300e3	Akkor megparancsolta a sokaságnak, hogy üljenek le a fűre, vette az öt kenyeret és a két halat, szemeit az égre emelte, hálát adott, megszegte a kenyereket, a tanítványoknak adta, a tanítványok pedig a sokaságnak.
280e14005d	Mindnyájan ettek és jóllaktak, felszedték a maradék darabokat, tizenkét teli kosárral.
280e150058	Akik pedig ettek, mintegy ötezren voltak férfiak, asszonyokon és gyermekeken kívül.
280e16009d	Mindjárt ezután Jézus kényszerítette tanítványait, hogy szálljanak be a hajóba, és menjenek át a túlsó partra, míg ő elbocsátja a sokaságot.
280e17007b	És amint elbocsátotta a sokaságot, felment a hegyre magányosan imádkozni. Mikor pedig beesteledett, egyedül volt ott.
280e180068	A hajó pedig ekkor már a tenger közepén volt, a haboktól háborgattatva, mert a szél szembe fújt.
280e190048	Az éjszaka negyedik részében hozzájuk ment Jézus a tengeren járva.
280e1a0087	Amikor látták a tanítványok, hogy a tengeren jár, megrémültek, és azt mondták, hogy kísértet, és félelmükben kiáltoztak.
280e1b005b	Jézus azonnal hozzájuk szólt, és ezt mondta: „Bízzatok, én vagyok, ne féljetek!“
280e1c0066	Péter ekkor így felelt neki: „Uram, ha te vagy, parancsold meg, hogy hozzád mehessek a vízen.“
280e1d006b	Ő pedig ezt mondta: „Jöjj!“ És Péter kiszállt a hajóból, hogy a vizeken járva Jézushoz menjen.
280e1e0074	De amikor látta a nagy szelet, megrémült, és amikor merülni kezdett, felkiáltott: „Uram, tarts meg engem!“
280e1f007a	Jézus pedig azonnal kinyújtotta a kezét, megragadta őt, és ezt mondta neki: „Kicsinyhitű, miért kételkedtél?“
280e20002c	Amikor beléptek a hajóba, elállt a szél.
280e210068	A hajóban levők pedig odamentek hozzá, leborultak előtte és mondták: „Bizony, Isten Fia vagy.“
280e220036	És átkelve a tavon eljutottak Genezáret földjére.
280e230084	Amikor megismerték őt annak a helynek lakosai, szétküldték hírét az egész környékben, és minden beteget odavittek hozzá.
280e24006d	Kérték, hogy csak ruhájának peremét érinthessék meg. Akik megérintették, mindnyájan meggyógyultak.
280f010056	Akkor írástudók és farizeusok jöttek Jézushoz Jeruzsálemből, és ezt mondták:
280f020074	„Miért hágják át tanítványaid az ősök rendeléseit? Mert nem mossák meg kezeiket, amikor enni akarnak.“
280f03006c	Ő pedig így felelt nekik: „Ti meg miért hágjátok át Isten parancsolatait a ti rendeléseitek által?
280f040081	Mert Isten parancsolta ezt: »Tiszteld atyádat és anyádat«, és »aki atyját vagy anyját szidalmazza, halállal lakoljon.«
280f0500b2	Ti pedig ezt mondjátok: Aki atyjának vagy anyjának ezt mondja: Áldozati ajándék az, amivel megsegíthetnélek, annak nem kell tisztelnie többé az ő atyját vagy anyját.
280f060054	Ezzel érvénytelenné tettétek az Isten parancsolatait a ti rendeléseitek által.
280f070037	Képmutatók, igazat prófétált felőletek Ézsaiás:
280f080067	»Ez a nép szájával közelít hozzám, és ajkával tisztel engemet, szíve pedig távol van tőlem.
280f090065	Pedig hiába tisztelnek engem, ha oly tudományokat tanítanak, melyek embereknek parancsolatai.«“
280f0a0053	És odahívta a sokaságot, és ezt mondta nekik: „Halljátok és értsétek meg:
280f0b0072	Nem az fertőzi meg az embert, ami a szájon bemegy, hanem ami kijön a szájából, az fertőzi meg az embert.“
280f0c0080	Akkor odamentek tanítványai hozzá, és ezt mondták neki: „Tudod, hogy a farizeusok e beszédet hallva megbotránkoztak?“
280f0d006b	Ő pedig ezt felelte: „Minden palántát, amelyet nem az én mennyei Atyám plántált, ki fognak tépni.
280f0e0068	Hagyjátok őket, vakoknak vak vezetői ők! Ha pedig vak vezeti a vakot, mindketten a verembe esnek.“
280f0f004e	Péter pedig ezt mondta neki: „Magyarázd meg nekünk ezt a példázatot!“
280f100030	Jézus erre ezt mondta: „Még ti sem értitek?
280f11005f	Nem értitek, hogy minden, ami a szájon bemegy, a gyomorba jut, és az árnyékszékbe kerül?
280f12005a	Ami azonban a szájból jön ki, a szívből származik, és ezek fertőzik meg az embert.
280f130096	Mert a szívből származnak a gonosz gondolatok, gyilkosságok, házasságtörések, paráznaságok, lopások, hamis tanúbizonyságok, káromlások.
280f140061	Ezek fertőzik meg az embert. De az, hogy mosdatlan kézzel eszik, nem fertőzi meg az embert.“
280f150033	Elment onnan Jézus Tírusz és Szidón vidékeire.
280f1600af	És íme, egy kánaáni asszony jött ki abból a tartományból, és így kiáltott neki: „Uram, Dávid Fia, könyörülj rajtam! Leányomat gonoszul gyötri az ördög.“
280f170082	Ő pedig egy szót sem felelt neki. Tanítványai odamentek hozzá, és kérték őt: „Bocsásd el, mert utánunk kiáltozik.“
280f180054	Ő pedig ezt mondta: „Nem küldettem, csak Izrael házának elveszett juhaihoz.“
280f190062	Az asszony pedig odaérve leborult előtte, és ezt mondta: „Uram, légy segítségül nekem!“
280f1a0053	Ő pedig ezt felelte: „Nem jó a fiak kenyerét elvenni, és az ebeknek vetni.“
280f1b0083	Az pedig így felelt: „Úgy van, Uram! De hiszen az ebek is esznek a morzsákból, amelyek az uruknak asztaláról lehullanak.“
280f1c0091	Ekkor így felelt neki Jézus: „Ó, asszony! Nagy a te hited! Legyen neked akaratod szerint.“ És meggyógyult a leánya abban a pillanatban.
280f1d005a	Onnan eltávozva elment Jézus a Galileai-tenger mellé, felment a hegyre, és ott leült.
280f1e00af	Nagy sokaság ment hozzá, vittek magukkal sántákat, vakokat, némákat, csonkákat és sok más beteget. Odahelyezték őket Jézus lábai elé, és meggyógyította őket.
280f1f00aa	Úgy, hogy a sokaság álmélkodott, látva, hogy a némák beszélnek, a csonkák felépülnek, a sánták járnak, a vakok látnak, és dicsőítették Izrael Istenét.
280f2000f0	Jézus pedig odahívta tanítványait, és ezt mondta: „Szánakozom e sokaságon, mert három napja immár, hogy velem vannak, és nincs mit enniük. Éhen pedig nem akarom őket elbocsátani, nehogy valamiképpen kidőljenek az úton.“
280f21007c	Tanítványai ezt mondták neki: „Honnan volna e pusztában annyi kenyerünk, hogy jóllakassunk ilyen nagy sokaságot?“
280f22006e	Jézus ezt mondta nekik: „Hány kenyeretek van?“ Ők pedig így feleltek: „Hét, és néhány halunk.“
280f230042	És megparancsolta a sokaságnak, hogy telepedjenek le a földön,
280f240080	azután vette a hét kenyeret és a halakat, hálát adva megtörte, tanítványainak adta, a tanítványok pedig a sokaságnak.
280f250062	Mindnyájan ettek, és jóllaktak, azután fölszedték a maradék darabokat, hét teli kosárral.
280f260052	Akik pedig ettek, négyezren voltak férfiak, asszonyokon és gyermekeken kívül.
280f27005a	Ezek után elbocsátotta a sokaságot, beszállt a hajóba, és elment Magdala vidékére.
281001007f	Odamentek hozzá a farizeusok és a szadduceusok, meg akarták kísérteni, és kérték őt, hogy mutasson nekik mennyei jelt.
2810020066	Ő pedig így felelt nekik: „Amikor esteledik, azt mondjátok: Szép idő lesz, mert vörös az ég.
281003009d	Reggel pedig: Ma zivatar lesz, mert az ég borús és vörös. Képmutatók, az ég ábrázatát meg tudjátok ítélni, az idők jeleit pedig nem tudjátok?
2810040089	E gonosz és parázna nemzetség jelt kíván, és nem adatik néki jel, csak Jónás prófétának jele.“ És otthagyva őket, elment.
2810050051	Tanítványai a túlsó partra mentek, és elfelejtettek kenyeret vinni magukkal.
281006006d	Jézus pedig mondta nekik: „Vigyázzatok, és őrizkedjetek a farizeusok és szadduceusok kovászától!“
281007005c	Ők pedig tanakodtak maguk között, és ezt mondták: „Nem hoztunk kenyeret magunkkal.“
281008008a	Jézus meghallotta ezt, és mondta nekik: „Miért tanakodtok magatok között, ó kicsinyhitűek, hogy kenyeret nem hoztatok magatokkal?
281009006c	Mégsem értitek? Nem is emlékeztek az ötezernek öt kenyerére, és hogy hány kosarat töltöttetek meg?
28100a004d	Sem a négyezernek hét kenyerére, és hogy hány kosarat töltöttetek meg?
28100b00a0	Hogyan lehet, hogy nem értitek meg, hogy nem a kenyérről beszéltem nektek, mikor mondtam, hogy őrizkedjetek a farizeusok és szadduceusok kovászától?“
28100c008e	Ekkor értették meg, hogy nem arról szólt, hogy a kenyér kovászától őrizkedjenek, hanem a farizeusok és szadduceusok tudományától.
28100d008a	Mikor pedig Jézus Cezárea Filippi környékére ment, megkérdezte tanítványait: „Engem, az Emberfiát kinek mondanak az emberek?“
28100e0090	Ők pedig ezt mondták: „Némelyek Keresztelő Jánosnak, mások Illésnek; némelyek pedig Jeremiásnak vagy egynek a próféták közül.“
28100f0035	Erre ezt mondta nekik: „Ti kinek mondotok engem?“
2810100052	Simon Péter felelt, és ezt mondta: „Te vagy a Krisztus, az élő Isten Fia.“
2810110087	Jézus így felelt neki: „Boldog vagy, Simon, Jóna fia, mert nem test és vér jelentette ezt ki neked, hanem az én mennyei Atyám.
2810120098	De én is mondom neked, hogy te Péter vagy, és ezen a kősziklán építem fel az anyaszentegyházamat, és a pokol kapui sem vesznek rajta diadalmat.
28101300aa	És neked adom a mennynek országának kulcsait, és amit megkötsz a földön, a mennyekben is kötve lesz, és amit feloldasz a földön, a mennyekben is oldva lesz.“
281014005e	Azután megparancsolta tanítványainak, hogy senkinek se mondják, hogy ő a Jézus Krisztus.
28101500dd	Ettől fogva kezdte Jézus jelenteni tanítványainak, hogy neki Jeruzsálembe kell mennie, sokat szenvednie a vénektől, a főpapoktól és az írástudóktól, és meg kell öletnie, de harmadnapon föl kell támadnia.
2810160065	Péter ekkor odafordult hozzá, és megfeddte őt: „Mentsen Isten, Uram! Ez nem eshet meg veled!“
281017009c	Ő pedig megfordult, és ezt mondta Péternek: „Távozz tőlem, Sátán, bántasz engem, mert nem az Isten dolgaira gondolsz, hanem az emberi dolgokra.“
2810180091	Ekkor mondta Jézus tanítványainak: „Ha valaki énutánam akar jönni, tagadja meg magát, vegye föl az ő keresztjét, és kövessen engem.
2810190071	Mert aki meg akarja tartani életét, elveszíti azt, aki pedig elveszíti életét énérettem, megtalálja azt.
28101a0095	Mert mit használ az embernek, ha az egész világot megnyeri is, de az ő lelkében kárt vall? Vagy milyen váltságot adhat az ember a lelkéért?
28101b0072	Mert az Emberfia eljön Atyjának dicsőségében angyalaival, és akkor megfizet mindenkinek cselekedete szerint.
28101c00b2	Bizony mondom néktek: azok között, akik itt állnak, vannak némelyek, akik nem kóstolják meg a halált, amíg meg nem látják az Emberfiát eljönni az ő országában.“
2811010082	Hat nap múlva magához vette Jézus Pétert, Jakabot és annak testvérét Jánost, és felvitte őket magával egy magas hegyre.
2811020066	Elváltozott előttük, és arca ragyogott, mint a nap, ruhája pedig fehér lett, mint a fényesség.
2811030041	És íme, megjelent neki Mózes és Illés, akik beszéltek vele.
28110400ba	Péter pedig megszólalt, és ezt mondta Jézusnak: „Uram, jó nekünk itt lennünk. Ha akarod, építünk itt három hajlékot, neked egyet, Mózesnek is egyet, Illésnek is egyet.“
28110500b9	Még beszélt, mikor fényes felhő borította be őket, és íme, szózat szólt a felhőből, mondván: „Ez az én szeretett Fiam, akiben én gyönyörködöm: őt hallgassátok!“
281106004f	És a tanítványok, amint ezt hallották, arcra estek, és igen megrémültek.
281107006a	Jézus pedig odament hozzájuk, megérintette őket, és ezt mondta: „Keljetek fel, és ne féljetek!“
281108004d	Mikor pedig szemeiket felemelték, senkit sem láttak, csak Jézust egyedül.
2811090099	Mikor a hegyről lejöttek, megparancsolta nekik Jézus: „Senkinek se mondjátok el, amit láttatok, amíg fel nem támadt az Emberfia a halálból.“
28110a0078	És megkérdezték őt tanítványai: „Miért mondják akkor az írástudók, hogy előbb Illésnek kell eljönnie?“
28110b005a	Jézus pedig így felelt nekik: „Illés bizony eljön előbb, és mindent helyreállít.
28110c00b1	De mondom nektek, hogy Illés már eljött, de nem ismerték fel őt, hanem azt művelték vele, amit csak akartak. Ugyanígy az Emberfiának is szenvednie kell majd miattuk.“
28110d004e	Ekkor megértették a tanítványok, hogy Keresztelő Jánosról szólt nekik.
28110e004f	Amikor a sokasághoz értek, egy ember jött hozzá, és térdre esett előtte,
28110f0093	és ezt mondta: „Uram, könyörülj az én fiamon, mert holdkóros, és kegyetlenül szenved, mivel gyakran esik tűzbe, és gyakran esik vízbe.
2811100043	Elvittem őt tanítványaidhoz, és nem tudták meggyógyítani.“
281111009f	Jézus pedig erre ezt mondta: „Ó, hitetlen és elfajult nemzedék! Vajon meddig leszek veletek? Vajon meddig szenvedlek titeket? Hozzátok őt ide nekem!“
2811120070	És megdorgálta őt Jézus, és kiment belőle az ördög, a gyermek pedig meggyógyult még abban az órában.
2811130084	Ekkor a tanítványok mikor magukban voltak, odamentek Jézushoz, és ezt kérdezték tőle: „Mi miért nem tudtuk ezt kiűzni?“
28111400ed	Jézus pedig ezt mondta nekik: „A hitetlenségetek miatt. Mert bizony mondom néktek: ha akkora hitetek volna, mint a mustármag, és azt mondanátok ennek a hegynek: Menj innen oda! – odamenne, és semmi sem volna lehetetlen nektek.
281115004a	Ez a fajta pedig nem megy ki, csak könyörgés és böjtölés által.“
2811160061	Amikor pedig Galileában jártak, ezt mondta nekik Jézus: „Az Emberfia emberek kezébe adatik,
281117004d	és megölik őt, de harmadnapon föltámad.“ És felettébb elszomorodtak.
2811180098	Amikor pedig eljutottak Kapernaumba, a drachmaszedők odamentek Péterhez, és ezt kérdezték tőle: „A ti mesteretek nem fizeti a két drachmát?“
28111900d7	Ő így felelt: „De igen.“ És amikor bementek a házba, megelőzte őt Jézus, és ezt mondta: „Mit gondolsz, Simon, a föld királyai kiktől szednek vámot vagy adót: a fiaiktól-e vagy az idegenektől?“
28111a0069	Péter ezt mondta neki: „Az idegenektől.“ Ezután Jézus ezt mondta neki: „Tehát a fiak szabadok.
28111b00db	De hogy őket meg ne botránkoztassuk, menj a tengerre, vesd be a horgot, és vond ki az első halat, amely ráakad. És felnyitva száját egy státert találsz benne. Vedd ki, és add oda nekik értem és éretted.“
281201007f	Abban az órában odamentek a tanítványok Jézushoz, és megkérdezték tőle: „Vajon ki nagyobb a mennyek országában?“
281202003b	Jézus odahívott egy kisgyermeket, közéjük állította,
281203009d	és ezt mondta: „Bizony mondom néktek: ha meg nem tértek, és olyanok nem lesztek, mint a kisgyermekek, semmiképpen nem mentek be a mennyek országába.
2812040058	Aki tehát megalázza magát, mint ez a kisgyermek, az a nagyobb a mennyek országában.
2812050043	Aki egy ilyen kisgyermeket befogad az én nevemben, engem fogad be.
281206009c	Aki pedig megbotránkoztat egyet e kicsinyek közül, akik énbennem hisznek, jobb annak, hogyha malomkövet kötnek nyakába, és a tenger mélyébe vetik.
281207009f	Jaj a világnak a botránkozások miatt! Mert szükséges, hogy botránkozások történjenek, de jaj annak az embernek, aki által a botránkozás történik.
28120800d4	Ha pedig a kezed vagy lábad megbotránkoztat, vágd le azokat, és dobd el magadtól: mert jobb neked az életre sántán vagy csonkán bemenned, mint ha két kézzel vagy két lábbal vettetel az örök tűzre.
28120900af	Ha pedig a szemed botránkoztat meg téged, vájd ki azt, és dobd el magadtól: jobb neked félszemmel bemenned az életre, mint ha két szemmel vettetel a gyehenna tüzére.
28120a0093	Vigyázzatok, hogy e kicsinyek közül egyet se utáljatok, mert mondom néktek, hogy angyalaik a mennyekben mindig látják mennyei Atyám arcát.
28120b003d	Mert az Emberfia azért jött, hogy megtartsa, ami elveszett.
28120c00b5	Mit gondoltok, ha valamelyik embernek száz juha van, és egy azok közül eltéved, vajon nem hagyja-e őket ott, és a hegyekbe elmenve nem keresi-e meg azt, amely eltévelyedett?
28120d008f	És ha történetesen megtalálja, bizony mondom néktek, inkább örvend annak az egynek, mint a kilencvenkilencnek, amelyik nem tévedett el.
28120e005c	Hasonlóképpen a ti mennyei Atyátok sem akarja, hogy egy is elvesszen e kicsinyek közül.
